7k/6pp/1p6/r7/P2NKP2/6P1/7P/8 b - -,a5a4
2krn2r/pp2b1pp/q3bp2/1N2B3/P1pP4/2P5/BR3PPP/3QR1K1 w - -,e5g3
5r2/7k/1p5p/2p5/3brNP1/Pp6/1P5P/2BR1R1K w - -,d1e1
5k2/R4p2/2p1r1p1/1p1p4/1P1P2pP/4P1K1/5P2/8 b - -,e6f6
1rr3k1/3n1pbp/4p1p1/p2pP3/2qB1PP1/2p4P/PP3QB1/R4RK1 w - -,b2c3
3r1rk1/pp4bp/n1p1q1p1/2P1N3/1P2Q3/P5P1/1B3PK1/R4R2 w - -,a1d1
8/3k4/6r1/2b5/6N1/p2K1P2/7p/R7 b - -,g6g4
r1bqrbk1/pp1n1ppp/2pp1n2/6B1/3NP3/2N2B2/PPP2PPP/R2QR1K1 w - -,a2a4
2r2rk1/1b1nqppp/p1pb1n2/1p2P3/P7/1PNBPN2/1B2QPPP/2R2RK1 b - -,d7e5
8/1p6/p1r3k1/P1n1r1pp/2R1p3/1N2P1P1/1P2R1KP/8 w - -,b3c5
1rb2rk1/2n1q1bp/pp1p4/2pPnPp1/P7/2N4P/1PQ1BPPB/R3RNK1 b - -,c8f5
r4rk1/pp3ppp/2n2n2/1Nqp1b2/8/4PP2/PPPQ2PP/R3KBNR w KQ -,c2c3
8/2b3p1/p3p2p/2k2p2/5P2/P1N1KP1P/1P6/8 w - -,b2b3
rn1qk2r/p3nppp/bpp1p3/3p4/3PP3/5P2/PPPQN1PP/2KR1BNR w kq -,g1h3
2r3k1/2n3p1/1pP1ppbp/8/1B4P1/5P2/P6P/2R2BK1 b - -,e6e5
3r4/8/2p2bk1/1p3bp1/1P2p3/1QN4P/2Pn1P1N/6K1 w - -,b3a3
8/8/3k4/P6P/2n5/4K3/1P6/8 w - -,e3f2
1r1r2k1/pbqnbpp1/1p2pn1p/2p1N3/2PP1P2/4PN2/PBB1Q1PP/2R2RK1 b - -,f6e4
3b4/p5N1/4P3/5P2/3k2Kp/8/P7/8 w - -,g7h5
r1b1kb1r/p4pp1/4pn1p/qpPnB3/8/1B6/PPPNQPPP/R3K1NR b KQkq -,f8c5
3q1rk1/p4ppp/1p2pn2/8/1PPQb3/P4NP1/5PBP/R5K1 w - -,a1d1
r2q1rk1/p4pbp/2pp2p1/8/2P1P3/2P2B1P/P2Q1PP1/R4RK1 b - -,g7e5
R7/8/P4k1p/1q6/6p1/3p1BP1/5PKP/8 w - -,f3g4
4r3/P4R2/2p3P1/2k2B2/5P1p/5K1P/3r4/8 b - -,d2a2
4r2k/pp3p2/2p2P1p/8/3PN2P/P3R3/KPQ2P1b/7q b - -,e8g8
r1b1k2r/p4ppp/2pp1n2/q3p3/2P1P3/2PB4/P1Q2PPP/1RB2RK1 b kq -,h7h6
8/Q4p2/4p3/4qp2/5k2/8/2K5/8 w - -,a7f7
r1bqk2r/pppnbppp/4p3/8/2BP4/2P2N2/P1Q2PPP/R1B2RK1 w kq -,f1e1
r2q1rk1/pb2bppp/1pn1pn2/2ppN3/3P4/PP1BP3/1BP2PPP/RN1Q1RK1 w - -,b1d2
rr4k1/2p1Rppp/2b5/2B5/8/R1P5/1PBb2PP/6K1 b - -,d2f4
rn1qk2r/pp3ppp/4pn2/1P4B1/4P3/2Q2N2/1P3PPP/R3K2R b KQkq -,b8d7
r5k1/pp2rppp/4b3/1P2P3/4p3/8/P3BPPP/R2R2K1 w - -,d1d4
3r2k1/p1rq2p1/1p3p1p/2nP1p2/2PRbP2/P1B1P3/Q4RPP/3B2K1 b - -,g8h7
rnbqkb1r/ppp1pppp/5P2/8/5P2/2p5/PPPP2PP/R1BQKBNR w KQkq -,f6g7
r3k2r/p2pnpbp/1q4p1/1pp1p3/P3P3/1QP2N2/1P1P1PPP/R1B1R1K1 b kq a3,b5b4
5N1k/P1n3b1/3B3p/8/2qp4/3R4/1P4PP/R5K1 b - -,c7a8
1r1q1rk1/2pbppbp/3p1np1/n2P4/1p1N4/1P4P1/PB1QPPBP/R2N1RK1 b - -,b8b6:e7e6
r2q1rk1/1pp1bppp/p1n1pn2/3p3b/1PPP4/P3PN1P/1B1NBPP1/R2QK2R b KQ -,f8e8
rn1qkb1r/p1p2ppp/bp2pn2/3P4/3P4/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,e6d5
5R2/p1r3p1/7p/1pp1Pk2/5P2/1P1K4/P6P/8 b - -,f5e6
4r3/p1R1k2p/4p1rb/7B/8/1P5P/P2p1R2/7K b - -,e7d6
r1bq1rk1/p3bppp/8/3p4/8/8/PP2BPPP/R1BQ1RK1 w - -,c1e3
4rr2/1k1p4/1p6/1pnPRP1p/2p4P/P4P2/1P6/3RKB2 w - -,e5e8
3n3R/ppk5/4p3/3pN3/3P1r1p/P1K5/1P6/8 w - -,h8h7
8/5pk1/4n1pp/b2Bp3/6P1/5K1P/4N3/8 b - -,e6g5
r2q1rk1/pp2ppbp/4b1p1/2P5/8/PnNBB2P/1PR2PP1/3QK2R b K -,a8c8
8/4kpp1/bp4p1/p2R4/8/1P3PN1/P1r3PP/6K1 w - -,g3e4
8/6kp/R5p1/P4p2/4p3/6P1/5PKP/r7 w - -,a6a8
8/5pkp/2p3p1/p1Nb4/2P3P1/1P1NrnRP/1P6/2K5 w - -,c4d5
r1bk3r/pp1n1ppp/2n1p3/1N1pP3/1q1P1P1P/8/PP1Q2P1/R3KBNR b KQ -,a7a6
r1b1nk2/pp4pp/n1pNpp2/2P5/P1N1P3/1P4P1/5PBP/3R2K1 w - -,d6e8
rnbr2k1/pp3pbp/2p2np1/4p1B1/4P3/2N3P1/PPP1NPBP/R4RK1 b - -,b8a6
2rq1rk1/1b2ppb1/3p3p/p2P2pP/Pn6/1Q2BNN1/5PP1/1BR1R1K1 b - -,b7d5
1rq1nrk1/4Qpb1/pp1p2p1/2pP3p/b1P1NP2/1R4PP/1P1B2BK/4R3 w - -,b3a3
2b2r2/r3qpkp/2p2Np1/1p2P3/5Q2/pP1P3P/P5P1/1K1R3R w - -,g2g4
8/8/6p1/8/R4nk1/1pK5/8/8 b - -,g4f3
4rrk1/p3q2p/2pp2P1/5n2/N1P1PP1b/1P5Q/P3B3/3RK1R1 w - -,e1d2
r4qk1/2B2ppp/1p4n1/8/4Q3/4P3/r4PPP/2R2RK1 b - -,b6b5
1r4k1/1br1bp2/p3p1pp/3p4/3N1P2/P1PR1BP1/1P5P/2K1R3 b - -,b7c8
3q4/3P1kpp/pp1Qp3/2p5/5P2/6P1/1P5P/6K1 w - -,g3g4
r1b1kb1r/1p1q1pp1/p2p1n1p/4pNP1/4P2P/2N5/PPP2P2/R1BQK2R b KQkq -,h6g5
8/8/p1k5/1p2p1p1/1PP1Pb2/2K5/P3bBB1/8 w - b6,c4c5
r4rk1/p1pbq1pp/2p5/2bpPp2/3NnP2/2P1B3/PP1N2PP/R2Q1RK1 w - -,d2e4
8/6k1/r4ppp/3N4/4P3/5PK1/4N3/8 w - -,e2d4
8/2k4p/1p2p1pP/1PpbPpP1/2P1pP2/p1R1P3/4BK2/r7 b - -,c7d8
r1bq1rk1/ppp1n1bp/1n3pp1/4p3/4P3/2N2NP1/PPP1QPBP/R1B2RK1 b - -,c8e6
7R/1p3k2/2p1q1p1/5bPp/2P2P1b/1P2r2P/P3N1BK/3Q4 w - -,d1d4
1r1q2k1/p5b1/b4rpp/2p1p3/2PpPp1P/1P3B2/PBPQ1PP1/K5RR w - -,f3g4
4k2r/p1pbbppp/2p5/2NpP2q/1r3n2/1N2BP2/PPP3PP/R2QR1K1 b k -,f4g2
3r1rk1/pp1nbpp1/1q2pn1p/2pP1b2/2P2B2/3N1NPP/PP3PB1/R2Q1RK1 w - -,f1e1
8/6p1/7p/1Rp4r/2P5/R7/4k1PK/3r4 w - -,a3h3
rnbqk1nr/pppp1ppp/4p3/8/1bP5/2N5/PPQPPPPP/R1B1KBNR b KQkq -,c7c5
8/7p/1prnrpk1/3Rp1p1/p3P1P1/P1P2K1P/1P3B2/3R4 w - -,f2e3
2r1kb2/1R1n1p2/p2p4/4pB2/8/2P1B3/P1P2P2/4K3 b k -,c8d8
r1bqkb1r/5ppp/p2p4/3Pp3/2B5/4n3/PPN2PPP/R2QK2R w KQkq -,c2e3
6r1/pp2kp1p/2p2n2/3b1P2/6P1/2N2B2/PP3K1P/3R4 w - -,h2h3
3r2k1/1p2qppp/p1b1pn2/2b5/P3PB2/2N2Q1P/1PB2PP1/3R2K1 w - -,d1e1
8/3b1kp1/1pp2p1p/2b5/2P1P3/3B3P/1B4P1/7K w - -,g2g4
rn2r1k1/1b3ppp/1pp1pn2/p2p4/2PP4/1PNNP3/P4PPP/R1R2BK1 w - -,c1c2
3R4/p4ppk/1p4p1/1bp4q/7Q/P4P2/1P4PP/6K1 w - -,h4h5
2Rq1rk1/1b1nbppp/p3p3/3p4/Pp1P1B2/6P1/1P2PPBP/RN1Q2K1 b - -,d8c8
4rrk1/p1pR1pp1/1p2p2p/2q1P3/2P1Q1PP/1P2P3/P4P2/3R2K1 w - -,e4f4
r1r4k/p5pp/1pRp2q1/3n4/QP2pP2/P3P3/1B4PP/5RK1 w - -,c6c8
8/4k3/7p/8/b7/b1K5/4B3/2N5 b - -,a3c1
3rkb1r/1b1p1p2/p2Rp2P/8/1p2PQ2/1P3P1B/P1P4P/2K4R b k -,f8h6
r2qk1nr/1bpnppb1/p2p2p1/1p4Np/3PP2P/2N1BP2/PPPQ2P1/R3KB1R b KQkq -,a8c8:d7b6
2kr1b1r/ppp1pppp/5n2/3Pq3/2P5/2N2B2/PP3PPP/R2QK2R w KQ -,d1e2
4r3/6k1/8/p2P1Qp1/2q5/2P5/PP3PK1/6R1 b - -,e8h8
5r2/1r2kpb1/p2pP1p1/1p5p/4P3/1PPp2P1/1PKN2P1/4R2R w - -,c2d3
8/2B1k2p/1p4p1/p1bB1b2/5P2/1P3K2/P6P/8 b - -,f5e6
r2q1rk1/pbppn1pp/1p2p1n1/5p2/2P1PP2/P1PBB3/1P1N2PP/R2Q1RK1 w - -,d1c2
3q4/r2k1p1p/r2p1Pp1/2pNb1P1/p1P1P3/Rp1P3P/1P1Q4/5R1K b - -,d8h8
r1b4r/3k1ppp/p1nNp3/1p5n/2B5/B1P5/P4PPP/R3R1K1 w - b6,c4b3
8/R2b2p1/6p1/4Pk2/3r3P/5KP1/8/8 w - -,a7a6
r1b2rk1/ppbnq1pp/2p1p3/2P2p2/3P4/3B1N2/PPQ2PPP/R1B2RK1 b - -,d7f6
3k4/R7/5N2/1p1pB3/3P4/3q4/6K1/8 w - -,a7a8
r1b3k1/ppq4p/2n1prp1/3p1P2/6P1/2NQ4/P3P1BP/1R3R1K b - -,g6f5
r3r1k1/1p1nqppp/2pb1n2/5p2/pPQ2P2/P3PBP1/1B1P3P/RN2R1K1 b - -,e7e6
r1bqr1k1/1pp2pbp/3p1np1/p1n5/P2NP3/2N3PP/1PP2PB1/R1BQR1K1 w - -,f2f4
2rr2k1/pb2qppp/1p2p1n1/8/2PPn3/4QNPP/P4PB1/2RR1NK1 b - -,e4d6
1rbq1rk1/5pbp/2npp1p1/7n/1p2PP2/3BNN2/1PP3PP/R1B1QR1K w - -,e3c4
r1b2rk1/pp3pbp/3pp1p1/n1p5/3nPP2/2PPB1P1/PP4BP/R2NNRK1 b - -,d4b5
r4n1k/r5b1/p1b1p2p/1pBpPpRB/3P1P2/3N4/PP5P/6RK w - -,g5g3
r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P1P1/2N1B2P/PP2NP2/R2QKB1R b KQ g3,c7c6
8/p7/4p3/1p4k1/1P1P3p/2P3r1/5K2/7R w - -,h1a1
8/6pk/8/P7/1Qp3p1/8/KPq2P1P/8 w - -,a5a6
r2q2kr/2pb2p1/p2bp2p/8/3PQ3/4P3/PP1N1PPP/R1B1K2R b KQ -,d8e8
r4rk1/pb2q1pp/1pn1pp2/2b5/2B5/P1Q1PNB1/1P3PPP/R4RK1 b - -,a7a5
8/pB6/1p1k1p2/6pp/1PPK2bP/P5P1/8/8 b - -,d6c7
r5k1/1ppb1ppp/3q1n2/3PR3/P6Q/2N5/B4PPP/R5K1 b - -,d6e5
1r1q1r2/3b2k1/p1np2p1/2p1p3/1pP1PP1N/3P3B/PP3R1P/R4QK1 b - -,d7h3
r1bk3r/pppn1p2/5Npn/4p2p/7P/1PN3P1/P1P1PPB1/3RK2R b K -,h6f5
rnb1kb1r/2qp1ppp/pp2pn2/8/2PNPP2/2N5/PP2B1PP/R1BQK2R b KQkq f3,f8b4
6k1/N1n2nrp/3pp3/8/1PP1Bp1q/6N1/4QPKP/7R w - -,g2f1
4k3/8/2bP1pp1/1p5p/p6P/P3KPB1/2P3P1/8 b - -,e8d7
3qr1k1/1b3pbp/6p1/Q2nN1Pn/1PB3N1/2P4P/3B1P2/4R1K1 b - -,d8d6
1r6/3Bp3/5kp1/7p/Pr1n4/6PP/5PK1/3RR3 b - -,b8b7
4b3/8/1p2kn2/p2p1pp1/P2Pp3/1PN1P1P1/3KBP2/8 w - -,e2a6
r1bn1k1r/1pq2ppp/p7/bB1pPp2/P2P4/1RP2N2/5PPP/2BQK2R w K -,c1a3
2r5/1pr1k2p/p2p2q1/4p1p1/2P5/4Q3/PP3PPP/2R2RK1 w - -,f1d1
r4r1k/p2p2pp/1q1Pp3/npp2p1Q/5B2/2PP2P1/PP3PKP/R3R3 b - -,a5b7
2r2b2/pp5k/7p/3P1Qp1/4P3/2rR4/2q4P/6RK b - -,h7h8
r5k1/pbp1r1p1/1p1p1q1p/3P1p2/Q2P4/P1R3P1/4PPBP/5RK1 w - -,f1c1
r1n2bk1/pprq1pp1/3p1n1p/P2Pp3/4P1P1/2N1BP2/1P1NQ1P1/R1R3K1 b - -,a7a6
3q4/3r2k1/1r1P1n1p/4Qp2/6p1/p2R2P1/P3PPBP/3R2K1 b - -,g7g6
8/bp2kp1p/p3p3/6p1/1P1pPn2/P5NP/3K1PP1/5B2 b - -,e7d6
4r1k1/1p1b2pp/8/p2qP3/P1p2B2/2Pp3P/1P1Q2PK/R7 b - -,d7c6
r1b1rnk1/ppq2pbp/2pp1np1/4p1B1/2PPN3/1P1BPN2/P1Q2PPP/3R1RK1 b - -,f6e4
8/8/7p/R3pkp1/7r/6KP/4P3/8 w - -,a5a3
8/1b5p/3kn1p1/1p1N4/1P1BP2P/4K1P1/8/8 w - -,d5c3
8/pk5p/8/4p1p1/P4P2/2K1B3/4rP1P/8 b - -,g5f4
6Q1/8/1p6/p1k3K1/8/8/8/8 b - -,c5b4
r1b3k1/ppr1q1p1/2p1pn1p/Q3Np2/2PP1P2/6P1/PP4BP/R4RK1 w - -,a1c1
8/k2Rbp1p/2p3p1/1p2rp2/8/PK2N2P/1P3P2/8 b - -,a7b6
8/1R4kp/2p3p1/6q1/8/6B1/1R5K/8 b - -,g7h6
rnbqk1nr/1pppppbp/p5p1/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq f3,b7b5
r4rk1/pq1nbppp/1p2p3/4P3/1P3B2/2N3P1/P1Q2P1P/R2R2K1 w - -,c2e4
r2q1rk1/pp2ppbp/2n3p1/3pP3/3P4/2P2N1P/P1b2PP1/R1BQR1K1 w - -,d1c2
4rrk1/1p6/q2bbp2/2p3pp/2PpPPnP/1R3QP1/1B4B1/2R2NK1 w - -,f1d2
1nr1r1k1/pp3pbp/3P1np1/q1p2bN1/2Q5/P1N1B3/1P2BPPP/R2R2K1 b - -,f5e6
3r4/p2P2kp/2b3p1/3B1R2/1P1b4/6P1/3N3P/7K w - -,f5f7
r1bq2k1/1p2nrbp/p1n2pp1/3p4/3P4/2NB1N1P/PP3PP1/R1BQR1K1 w - -,a2a3
r1bqrbk1/ppp2ppp/3p1n2/2nP4/8/2N2N1P/PPP1BPP1/R1BQR1K1 w - -,c1g5
rn1q1rk1/1bp1bppp/1p3n2/p2p4/3P1B2/2N2NP1/PP2PPBP/2RQ1RK1 b - -,b8a6
5rk1/1n2rppp/1p2pn2/3qN1B1/2pP3P/6P1/PP3P2/R2Q1RK1 b - h3,f8d8
r1b2rk1/2qn1ppp/2n1p3/pBPpP3/8/P1B2N2/2PQ1PPP/R4RK1 b - -,d7c5
r3k2r/1bq1bppp/pp1p4/2n1pP2/2P1P1n1/P1NBBN2/1P4PP/2RQ1RK1 w kq -,d1e2
1k1q1r2/1p3p1P/p3pQ2/1b2p1p1/4P1P1/2P5/PPB5/1KR5 w - -,f6e5
7k/1B4p1/3p1n1p/1P3p2/2bQ4/4P1P1/1Bq2P1P/6K1 w - -,h2h3
2r2rk1/2q2ppp/p2bpn2/8/Pp1N1P2/5Q2/1PP3PP/R1B2R1K w - -,c1e3
r1b2rk1/2qn1nbp/pppp1pp1/P3p3/2PPPP2/2NB1NBP/1P1Q2P1/R4R1K b - -,e5d4
r3qrk1/1p1b1ppp/2n1p3/3p4/3P1B2/b1P1PN1P/2Q1BPP1/RR4K1 b - -,a3e7
4r3/8/p5p1/1p1k3P/3npP2/1P1pK3/P2R3P/2R5 w - -,d2g2
8/6p1/2Kpk1B1/2p1p2P/2P5/3P3n/7P/8 b - -,h3f2
r3k2r/pbp1q1p1/4pn1p/1p2n2P/2pP4/2P3R1/P1QB1PP1/R3KB2 w Qkq -,d4e5
1B4k1/p7/P3p2p/3b2p1/4N3/5B1P/1q4P1/2R4K w - -,c1c8
8/7p/3p2p1/Pr3p2/2k5/R5P1/2K2P1P/8 w - -,a5a6
5k2/1R5p/4N3/3pP3/r5n1/7P/8/6K1 b - -,f8e8
8/1Q4rp/4kp2/4p3/1p6/3R4/1Pq3PP/5K2 w - -,b7b6:b7d5
r4rk1/p1qpp1bp/bnp2pp1/4P3/2PN1B2/NP6/P3QPPP/R3R1K1 b - -,f6e5
2k3r1/4bp2/1pp1pp2/1p3r1p/3P4/2PR1NP1/PP3P2/2K1R3 w - -,e1e2
5kn1/p1R1rp2/Pp5p/5R2/1K3p2/1B4P1/1P4P1/8 b - -,e7c7
8/p1kb1ppp/2p5/p3r3/Pr1R4/1PR1P3/4NPPP/2K5 b - -,g7g5
7k/p2qr1bp/1p5r/3B4/2P2p2/3P4/P3Q1RP/6RK w - -,g2g7
r4rk1/pp3pbp/1qnpp1p1/3pP3/3P1P2/P2BB2P/1PP2QP1/2R2RK1 w - -,c2c3
r1r2k2/pp6/4p1Qp/3nP3/P2P1P2/8/3q2PP/1B3RK1 b - f3,d2e3
8/8/2p5/4k1p1/4P3/4K3/6N1/8 b - -,c6c5
8/5Q2/5p2/2nk1b2/5P1K/7p/7P/8 b - -,f5e6
4r2k/5qp1/p1p4p/2PbQ3/1R6/P4PNP/6P1/6K1 w - -,b4b8
r1bq1rk1/ppp2ppp/1nn5/8/2BP4/5N2/PPQN1PPP/R4RK1 w - -,c4d3
1r3rk1/pp3pp1/2p1p3/3p2P1/8/3bPN1P/P5B1/1R3RK1 w - -,f3e5
8/p7/6p1/5p1p/2p1rB1P/PkPrb1P1/1P4R1/1K3R2 w - -,f4e3
r1bqk2r/pp2np1p/3p2p1/2p1p3/3nP3/2NP2P1/PPPQ1PBP/R3K1NR b KQkq -,c8e6:d8a5
1r2r1k1/p4ppp/2pp1n2/3q1N2/7R/5Q2/1b1B1PPP/3R2K1 w - -,f3d5
R4k2/2N2p2/6p1/2K3P1/1p3P1p/1Pn2r2/P7/8 b - -,f8e7
8/7p/3kn1p1/pR2NpP1/5P1P/8/8/r5K1 w - -,g1f2
5r1k/4ppr1/7p/p1qP1B2/P3P2P/2p5/1P1Q4/2KR4 w - -,d2c3
rnbq1rk1/ppppppbp/5np1/8/2PP4/3BPN2/PP3PPP/RNBQK2R b KQ -,d7d5
r3r1k1/1pqn4/2p2nQ1/p7/P1PP3p/5P2/4N1PP/R3R1K1 b - -,g8h8
3r2rk/2p2p2/1p5p/p4Pq1/P2Rp1n1/1PP1N1P1/3Q1P2/4R1K1 b - -,g4e5
2r3k1/Q7/p3p1n1/1q2r2p/1p5P/4B3/PPP3P1/4R2K b - -,c8f8
r1b2rk1/1p2nppp/3q4/8/p1Qp4/6P1/PP3PBP/R1B2RK1 w - -,f1d1
8/6pk/8/4PKp1/6P1/5P2/R7/5r2 b - -,f1f3
2r5/4Np1p/1R3pk1/3r4/8/2b3P1/4PP1P/6K1 b - -,g6g7
r1bq2k1/ppp2pp1/7p/4r3/4B3/2P5/PPQ2PPP/2KR3R b - -,d8e7
2rr2k1/pn2qpb1/1pp1b1pp/4p3/2P1P3/PP2B1PP/4QPB1/1N1R1R1K w - -,e2c2
1r3rk1/1p5p/p3pbp1/2pq4/Pn3P2/5N2/1PP1Q1PP/R1B2RK1 w - -,a1a3
1r2k3/p2prp1p/2p3p1/3p4/8/1P1N1BP1/P4P1P/2R2K2 w - -,c1c5
5k2/2n3pp/2B5/8/P1Pp3r/P3K3/8/3R4 w - -,d1d4
5b2/2R4p/5kp1/ppB5/2n5/8/5PPP/6K1 b - -,f8c5
2rr2k1/2q1bppp/p2p1n2/Qp2p3/2b1P3/1N1B1P2/PPP1N1PP/R4R1K b - -,c7a5
r3kb1r/5ppp/p1npbq2/1p2p3/4P3/2N1N3/PPP2PPP/R2QKB1R b KQkq -,f6d8
1N2r2k/5R1p/3pB1p1/3b4/2p1p3/1pP3bP/1P2K1P1/R7 b - -,d5e6
rn2kb1r/pp2p1pb/2p1pn1p/q2p3P/3P4/2PB2N1/PP3PP1/RNBQK2R b KQkq -,b8d7
1qr3k1/rbpnnpp1/4p2p/p7/Pp1PP3/4QNP1/1PRN1PBP/R5K1 w - -,a1c1
r2qnrk1/pp1nppbp/2p3p1/4P3/2PP4/2NBBQ2/PP4PP/R4RK1 b - -,d7e5
r7/2R5/3P4/1pB4k/p3p1b1/8/PPK5/8 w - -,c2c3
1r3k2/p4ppp/8/3Np3/3bP3/1P6/P5PP/1KR5 b - -,b8d8
r5k1/pp4qp/2p3p1/8/2P1r3/1P4P1/P3QP1P/4R1K1 w - -,e2e4
r1b2rk1/ppq1ppbp/2np1np1/2p5/4P3/2P2NPP/PP1P1PB1/RNBQR1K1 w - -,d2d4
1q3rk1/3rnpbp/3p2p1/Rp1Pp3/1P6/4B1P1/2PQ1PBP/5RK1 b - -,f8c8
8/8/p7/1pk5/4Kp2/PP6/1bN5/4B3 b - -,b2c1
r1bq1rk1/ppp2pb1/3p1npp/3Pp3/2PnP3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,f3d4
8/2R2pk1/1P1p1b2/p2P1Q1p/q7/1r5P/8/6BK b - -,a4a3
r1b1kb1r/pp2pppp/2p5/5n2/2Pq2P1/2NP4/PP2BP1P/R1BQK2R b KQkq g3,f5h4
5rk1/p4ppp/1pr5/8/2P1p1b1/P1K1P3/2P2PPP/1R5R w - -,b1b4
r2qk2r/1b1nppbp/p2p1np1/1pp5/3PP3/2N1BPP1/PPPQN1BP/R3K2R w KQkq -,e3h6
8/r3bk2/1p1Np2p/4p1pP/1nP3P1/5P2/P2R2K1/1B6 b - -,f7f8
3rr1k1/1bpn1ppp/1b6/p1p5/2P3P1/3BBP1P/PPN1K3/4R2R w - -,e1d1
7k/1p3pp1/3q3p/QB1p2b1/3p4/P2P1P2/1Pr2P1P/5RK1 b - -,g5f4
2r2rk1/p2qn2p/4bppb/N2p4/1P1pPP2/P2P4/4Q1BP/1R3RNK b - -,d5e4
r3r1k1/pp1b1pp1/3b3p/3P3q/8/1Q3N1P/PP1B1PP1/R3R1K1 b - -,b7b6
r1b1k2r/p2n1ppp/1qp1p3/2bpP3/5B2/5Q2/PPPN1PPP/1R2KB1R b Kkq -,c8a6
3rr1k1/1p3p1p/q1ppb1p1/8/1PP1P3/2Q3P1/3R1PBP/1R4K1 w - -,g2f1
8/p7/2Rk4/1P2prp1/3p3p/3P3P/P4PK1/8 b - -,d6d5
