1k6/8/6pp/R1p5/7P/3B4/1r4r1/5K2 b - -,g2d2
8/8/2B5/p1pn4/P3k3/2P5/2K5/8 b - -,e4e5
3b4/4kr2/1p1p4/3P4/2P4R/7P/4B1K1/8 b - -,e7d7
rn3rk1/4ppbp/p5p1/3q4/3P4/2N1P1P1/5PKP/R1B2R2 w - -,c3d5
2rr1nk1/pb2qppp/1p2p3/4N3/2PP4/8/PQ2BPPP/2RR2K1 b - -,f8g6
R7/8/8/3p1kN1/p2P1pn1/P1P2N2/5P2/1r4K1 w - -,g1g2
5r1k/6b1/p7/Pp1BP3/2pR2bp/2P2rB1/1P4KP/4R3 w - -,d4g4
r5k1/5p1p/6p1/P7/2p5/6P1/5P1P/R4K2 b - -,c4c3
8/5p2/8/p5kp/4K3/6P1/R4P2/4b3 w - -,e4f3
3k4/8/3Pb1p1/3n1pP1/p2N1P1p/2K5/6B1/8 w - -,c3b2
r1bqkb1r/3n1pp1/p2ppn1p/1p6/3NP2B/P1N5/1PP1QPPP/2KR1B1R b kq -,c8b7
3kr3/R1rn2pp/2p1bp2/2Ppp3/3P4/1N2PPB1/3K2PP/3R4 w - -,d1a1
rn3rk1/pbp3pp/1p2pq2/3p1pN1/2PPn3/P5P1/1PQ1PPBP/R1B2RK1 w - -,g5e4
r2qk2r/pbpn1ppp/1p1pp3/8/2PP4/5NP1/PP1QPPBP/R3R1K1 w kq -,e2e4
8/8/pk6/1p2K2p/1P3p2/6r1/5RP1/8 b - -,g3g5
8/2B4p/2b2b2/8/4k1KN/8/8/8 w - -,g4g3
3r2k1/5pb1/4p1pp/1p6/p2N4/PbPqBP2/1P3QPP/4R1K1 w - -,d4c6
8/1k4n1/pp2n3/3p3p/P2P1p1P/1PKB1P2/3B4/8 w - -,d2c1
r5nr/1qN1ppkp/pp1p1bp1/3N1P2/2P5/5Q2/PP4PP/R4RK1 b - -,a8c8
2r3k1/4r1pp/4pq2/Qb2N3/2pP1p2/1P5P/4RPP1/4R1K1 b - -,f4f3
rn2k2r/pp2p2p/q1p3pb/3pPn2/3P4/2NQ4/PPP1BBPP/1R2K2R b Kkq -,a6d3
R7/4bp1p/3kp3/1P1n2p1/6P1/P3P2P/5P2/1b3BK1 b - -,d5b6
2r2rk1/1b2ppb1/5np1/p3B1N1/1p1QP2P/2P2P2/q1PRB3/1NK3R1 b - -,b4c3
r2qk2r/pp2bppp/2n1b3/3pPp2/3P4/2N2N2/PP3PPP/R1BQ1RK1 w kq -,a2a3:f3e1
4k1r1/6bp/1p1Bp3/3n1p2/P1p5/6N1/r1P2PPP/2KRR3 w - -,g3e2
3r1k2/1p3p1p/p1rpp1p1/8/P1PbPP2/2NB3P/1P1B2P1/1K2R3 w - -,c3e2
8/p1p3pk/1np1q3/3r1p2/3PrP1P/1Q2pRB1/PPR1P2P/7K b - -,e6e8
5bk1/5p2/p1r5/2PQ3p/q3P1pP/4B1P1/4PPK1/2N5 w - -,c1d3
r2q1rk1/1p3ppp/p2b4/3pBp2/3Pn3/1P4PP/P1R1PPB1/3Q1RK1 w - -,d1c1
1r1q1r1k/pp6/2b1p2P/4P1p1/6R1/P2B1pQ1/1PP5/2KR4 w - -,g4g5
rnbqkb1r/ppp2ppp/4pn2/3P4/8/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -,e6d5
r7/5pk1/2n1p2p/p1R3p1/P1K5/1P2NP2/6PP/8 b - -,c6e7
7k/1p1r1r1p/p1p3p1/2P2p1n/1P6/1Q5P/P4PP1/4R1K1 w - -,b3c3
3R4/1p3ppk/3Nb3/7p/P2R3P/5BP1/4PPK1/1q6 b - -,g7g6
8/1r5k/p5pp/3N1p2/P1B5/4R1P1/1r3PKP/8 b - -,a6a5
8/3nk1P1/p1p2p2/Pp1p1P2/1P1K4/2P2B2/8/8 b - -,e7f7
8/4rppp/2p5/8/3k4/2p3P1/5P1P/2RK4 w - -,d1c2
3r3k/1p3p1p/5p2/pq3P1Q/2R5/4P1PP/B1p3K1/8 b - -,d8d2
1nr4r/1N3k1p/p2Rpp2/8/5p2/P7/2P3PP/2K1R3 w - -,d6e6
6k1/5p1p/p5pQ/1p6/3q3P/1P3RP1/4rP1K/8 w - -,h2g1
8/2p1K2p/pk1PR3/1p6/2p5/4q1P1/PP6/8 w - -,e6e3
2r2rk1/p2q2pp/1p2p2n/3pPp2/1b1P1PP1/4B2P/PP1N2Q1/3R1RK1 w - -,d2f3
r5rk/p1qn1ppp/b7/1p1PPN2/2p1NP2/P5Q1/1P4PP/R3R2K w - -,e4g5
5rk1/4Rp1p/pq4p1/1b1pQ2n/3N4/5R1P/5PPK/8 b - -,b6d8
2kr1br1/1pqb4/pn2p3/2Nnpp2/4N1PP/8/PPPB1Q2/2KR1BR1 w - -,c5d7
r1b1r1k1/ppqn1pbp/2pppnp1/8/P2PPPP1/2N1B2P/1PPNB3/R2Q1RK1 b - g3,h7h6
r1bqn1k1/pppp1ppp/8/3N2b1/2P5/8/PP1P1PPP/R1BQ1BK1 b - c3,c7c6
5k2/R2b2pp/3r4/1p2RpP1/3n3P/8/P4KB1/8 b - -,d7e6
8/8/3p4/k2r1Rp1/P4pP1/8/5K2/8 b - -,d5e5
8/p3q1kp/1p1p2p1/2pQ2P1/1PP1P3/P5P1/8/6K1 w - -,b4b5
r1bq1rk1/pp3pbp/2npp1n1/2p3p1/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,d2c4
r3k2r/1p1bnpp1/p1n1p2p/q2pP3/PbpP3N/4B3/1PP1BPPP/RN1Q1RK1 b kq -,e7f5
r2qk2r/1p2ppb1/p3b2p/3Np1p1/2PnP3/6B1/PP1QBPPP/R3K2R w KQkq -,h2h4
r3r1k1/p3q1pp/Pp2bn2/3p4/1P3P2/2Q4P/2BB2P1/R4RK1 w - -,a1e1
R7/4k3/2p5/p4p2/2Nnp1p1/6P1/r4PK1/8 w - -,c4a5
5k2/6Rp/p2p1Pp1/2pP4/8/2R2b2/P4PNK/1r3n2 w - -,h2h3
2b1r1k1/3n1p1p/p1pq1Pp1/2p1p3/N1PbP2Q/4B3/P5PP/3R1R1K w - -,e3g5
5rk1/pp1r1pb1/4q2p/3pP1p1/2pP4/2P1BQ2/P1P2RPP/R5K1 w - -,e3d2
6k1/7p/4Q1p1/p4n2/Pp1p1P1q/1Pr2R1P/4B1PK/8 b - -,g8g7
6k1/pp3p1p/4p1p1/3pP3/8/P2BP1P1/1P5P/3b2K1 b - -,g8f8
3rk2r/2qnbp1p/p1pp1np1/1p2p3/3PPP2/P1N1B2P/1PPQBP2/1K1RR3 w k -,d4d5
8/5p1k/P2r2p1/4p2p/2p4P/2Q1PqP1/5P2/R4rK1 w - -,a1f1
r2q1rk1/pp2ppbp/2n1bnp1/2p5/2N5/1P3NP1/PB1PPPBP/2RQ1RK1 b - -,a8c8
rq2nrk1/2bb1pp1/3p3p/p2Pp3/P1N1Pn2/1Np2P2/3Q1BPP/R3RBK1 w - -,d2c3
3r2r1/p1p1kp2/bp1ppn2/4P2P/3P1Q2/3P2N1/PPK5/8 w - -,f4f6
4k3/4q1pp/pp6/2pP1Q2/2P4P/5KP1/P7/8 w - -,f5c8
5r1k/1pR5/p2P2Bp/4pP2/3bPqn1/6N1/PP2Q1KP/8 b - -,g4e3
5rk1/p5p1/1p2qr1p/2p1pR2/P2pP1P1/1P1P3P/2P2QK1/5R2 b - -,f8f7
1k1r4/pp3R1p/1q2n1p1/1B1n4/3P2P1/7P/PP2N3/2Q3K1 w - -,c1c4
8/p3kpp1/1p2p2p/8/2r5/PRP1P3/4KPPP/8 w - -,e2d3
4r3/5pk1/p5p1/3p1n2/8/1PN5/1P3K1P/5R2 b - -,d5d4
2rr2k1/p6p/3q1pp1/2pP4/8/4BQ1P/Pb3PP1/R2R2K1 w - -,e3f4
3r4/pp1bn1k1/3b1p2/3p1P2/3P4/1PPB3P/P2B4/R4RK1 w - -,d2f4
r4rkn/p1pq2pp/1pn1b3/3pP3/N2P4/4B3/PPBQ2PP/R4RK1 b - -,f8f1
8/3b4/5k2/6p1/p2K3P/P2B4/6P1/8 w - g6,g2g3
1qb1r1k1/r2n3p/p1Rp2p1/P1pP1p1n/8/4N1P1/3BPPBP/2Q2RK1 b - -,c8b7
8/4qbk1/5pp1/2N4p/1Q1p3P/8/1P3PPK/8 b - -,e7d6
1r5r/3nkppp/p2bp3/Pq1p4/Qp1P4/3NP1P1/1P1BKP1P/R6R b - -,h8c8
r4b2/p1q1rpk1/2p2Np1/1pn1p2p/4P3/P1N4P/1PPRQPP1/3R2K1 w - -,e2f3
4r1k1/3b1ppp/3q1n2/1p6/p2N1n2/5P2/PPQ2BPP/R4BK1 w - -,d4b5
r2qkb1r/pp1npppp/2p1b3/3nN3/2BP4/5Q2/PPP2PPP/RNB1K2R w KQkq -,e5d3
2R2rk1/8/6K1/6Pp/8/8/8/8 w - -,c8f8
r1bqr1k1/1pp1bppn/p1n1p2p/3p4/2PP4/P1NBPN2/1PQB1PPP/3RK1R1 b - -,h7g5
8/3kbp2/1p2p3/p2p3n/P2P1P1n/1P2P3/N3K3/4B2B w - -,a2c1
8/5k2/p7/6N1/8/4P3/bP3K2/8 b - -,f7f6
2kr3r/ppqbn2p/4pp2/nPNp4/3P3P/P2B1N2/5P2/R1BQK1R1 w Q -,c5d7
3r1k2/p3bp1p/1p6/2n5/3nP1Q1/2B1R1P1/q4PKP/3R4 b - -,a2e6
rq3rk1/1p1b1pbp/n1pp1np1/p2Pp3/2P1P1P1/2N1B2P/PP1NBP2/R2QK2R w KQ -,h3h4
5k2/pb2qpp1/1p2p2p/2r5/1Q2n3/P3PN1P/1P2BPP1/3R2K1 b - -,b7d5
r1b1kbnr/2q2pp1/p1p5/1p2p3/4P1Pp/P1N1B2P/1PP2PB1/R2QK2R b KQkq -,g8e7
6k1/6pp/Q1p3n1/2Pp2q1/3Pp1b1/2N1P3/6PP/5N1K b - -,g5f6
6k1/1pp1rpp1/p2q2b1/1P1Pn2p/P2Q4/2N3PP/5PB1/2R3K1 b - -,a6a5
r1bq1rk1/p3npbp/1pnpp1p1/2p5/4PP2/2PP1NP1/PP2N1BP/R1BQ1RK1 b - -,c8b7
2r1k2r/3bbppp/p1npp3/qp4PP/4PP2/PPN1B3/1P1QB3/1K1R3R w k b6,b3b4
8/2p1kp2/6p1/4P3/1R4PP/8/2r3P1/5K2 b - -,e7e6
r2q1rk1/pb1nbpp1/1p3n1p/2pp4/3P3B/2NBPN2/PP3PPP/2RQ1RK1 w - c6,d1e2:d3f5:d3b1
3r1r2/p1q3kp/b3pbp1/2p1np2/PpN5/1P1PP1P1/2PN1QBP/3R1R1K b - -,e5g4
8/6k1/4Pp1p/3p1B2/1P6/P1n2K2/7P/8 b - -,g7f8
r2q1rk1/pp2ppBp/2bp2p1/3N4/2P1n3/8/PP2BPPP/2RQ1RK1 b - -,g8g7
6rk/2p2q1n/3pBb2/pNpPp3/2P1Pp1B/5P2/PP5P/4Q2K b - -,f7h5
r1bqr1k1/pp1n1pp1/2pb1p1p/8/3P4/2PB4/PPQ1NPPP/R1B2RK1 w - -,e2g3
r3k1nr/1p1bbppp/pqnp4/2p1p3/2N1P3/2P2N2/PP1P1PPP/R1BQRBK1 b kq -,b6c7
2r3r1/p3k2Q/1p3qp1/4Np2/3pn3/4PR1P/PPR3PK/8 b - -,g8g7
5rk1/pp1qbp2/7p/2pB3n/P2rPPp1/1PN2NBb/2P1QR1P/3R2K1 b - -,g4f3
r1bb1r1k/1p5p/pqn1np2/5Np1/1P6/P2N2P1/1B3PBP/R1Q1R1K1 w - -,g2e4
b7/8/1P2kpp1/7p/6PP/4KP2/8/4B3 w - -,e1g3
r4rk1/pp3ppp/4b3/2np4/8/P1P1BP2/3nP1PP/3RKB1R w K -,e1d2
8/8/p3p3/1q2P1bk/2p5/P1B2R2/1P3PP1/3R2K1 b - -,g5e7
1rbq1rk1/1p1nnpbp/p2pp1p1/2p4P/2PPP3/4BP2/PP1QNNP1/2R1KB1R b K -,c5d4
3k4/3P4/6p1/5p1p/P2Q3P/6P1/5P1K/2q5 b - -,c1c7
3rk2r/pp1npp1p/1q1p1bpB/3P4/Q3P1B1/8/PP3PPP/R4RK1 w k -,a1c1
r7/8/3p4/1p2k1p1/3p2P1/P1bP2K1/R4P2/2N5 b - -,a8a7
4r1k1/ppp2p2/3p1p1p/5b2/P1B5/2R4P/1PP2PP1/2R1r1K1 w - -,c1e1
