k7/2p5/2K3p1/8/5BPP/P7/8/1b6 b - -,b1c2
r3k2r/pp2bppp/2p1b3/3n4/3PB3/1P6/P1PBNKPP/R3R3 b kq -,e8g8
2q2rk1/1p4bp/3Rb1p1/pN2p3/P7/1P2BrP1/2P3QP/R5K1 w - -,e3b6
r4rk1/5ppp/1p2pn2/1P2Q3/4P3/1q3PP1/5NKP/2RR4 b - -,a8a2
1rb2rk1/pp3ppp/q2b4/1R6/3Q4/4B1P1/P3PPBP/1R4K1 b - -,f8e8
r3rbk1/pppq2p1/2n1b2p/4pp2/8/2NPB1PP/PPP2PB1/R2QR1K1 w - -,g1h2
1r6/6k1/8/1P5p/P2R4/8/1K6/8 w - -,d4b4
r3r1k1/ppqnbppp/2p2n2/3p4/3P1B2/2NN1Q2/PPP2PPP/R3R1K1 b - -,e7d6
r2qr1k1/pp2npbn/2p1p1p1/3pP2p/5B1P/P1PP2P1/1P2QPB1/R2N1R1K b - -,h7f8
1r1qr1k1/5pp1/2p2np1/6Q1/2PP4/1P1RP3/4B1PP/2R3K1 b - -,d8d6
r7/5ppk/1p6/1B1pP3/1P2bP2/8/5K1P/4R3 w - -,e1e2
3r1q1k/2R4p/p5p1/8/1p5P/4BB2/Pb3PP1/5RK1 b - h3,f8g8
r1n5/P1R2pk1/B3p1p1/3p3p/3P3P/5P2/6P1/6K1 b - -,a8a7
r2q1rk1/1b3ppp/p3nb2/2P5/1p1P4/1N6/1PB2PPP/R1BQR1K1 w - -,b3a5
8/8/2nkp3/r5p1/8/3K3p/7R/8 w - -,d3e4
8/3k4/8/P1b5/2N1KR1P/8/8/3r4 w - -,e4f5
r2qk2r/pp2bppp/n1p5/3P1b2/3Pn3/P1N2N2/1P2BPPP/R1BQ1RK1 b kq -,e4c3
8/2r1bp2/5kp1/1R2p2p/1p2P3/1B5P/P3KPP1/8 w - -,b5b6:e2d2
4n3/1p3pkb/p1p4p/4p1p1/P3P1P1/1PP2P2/7P/2B2BK1 b - -,f7f6
8/7k/6p1/5R1p/3q4/6BP/6RK/3n4 w - -,g3e5
4r1r1/2p4k/3n3p/p2q1p2/1p1Pp2P/P1P5/1P3QB1/1K2R1R1 w - -,c3b4
rnbqk2r/pp2ppb1/2p3p1/3pP2p/3P1Pn1/2NBB3/PPPQ2PP/R3K1NR b KQkq -,b7b5
8/8/p1p3pk/4np1p/P1P1p2P/qQ2P1P1/3r1P2/1R3BK1 b - -,a3b3
3k4/3nppNN/8/2n1P3/rp6/6PP/3R1PK1/8 w - -,e5e6
2r1r1k1/4bpp1/q6p/8/2P2p2/5P2/2R1Q1PP/1N3R1K b - -,e7f6
1rbq1rk1/p1p1ppbp/2p2np1/8/2pPP3/2N1B1P1/PP3PBP/R2Q1RK1 w - -,h2h3
1r1r2k1/pp2pp2/3p1np1/q7/P1PQ1Pp1/1P2PB1P/8/1R3RK1 w - -,h3g4
3k4/R7/2P3p1/2K5/p5P1/8/3r4/8 b - -,d2c2
r2q1rk1/p3bppp/2pp1n2/2p1p2b/2P1P3/2NP1N1P/PP3PP1/R1BQR1K1 w - -,b2b3
3k3r/pp1n1ppq/3bp3/6B1/B2PP2p/6P1/P4P2/2Q2RK1 b - -,f7f6
r4k1r/2qnnp2/1p2p1pp/2ppP3/3P3N/B1P5/2P1QPPP/R4RK1 w - -,f2f4
8/6p1/2K2k2/5p1P/7P/1B6/8/8 b - -,g7g5
r1b2bk1/1p2qn1p/2p3pP/p1n1p1P1/2P1Pp2/PP3N2/1BQ1BP2/2KR2R1 w - -,e2d3
6k1/1p1r1p1p/2p2b2/p4p2/P2P3P/6P1/3RNPK1/8 b - -,f5f4
r1bqr1k1/1pp2pbp/3p2p1/p1n5/2PNN3/PP4P1/1B2PPBP/2RQ1RK1 b - -,c5e4
4r1k1/pN1Nbppp/2p1p1n1/8/1P6/P5Q1/4qPPP/3R2K1 w - -,g3d3
8/7p/p5p1/2nk1p2/P1p2P2/2B2PK1/1P5P/8 b - -,c5a4
4rb2/p2k2p1/1p3pn1/2p5/2P1P2p/1P2BP2/P6P/3R1R1K b - -,d7c6
3b4/8/2k1p1p1/1b1pP1P1/p2BpP2/P3K3/1P6/3B4 b - -,d8a5
r2qk2r/ppp1nppp/2npbb2/8/2B1PP2/2P1N3/PP4PP/RNBQK2R w KQkq -,e3d5
r2q1rk1/pp1nbppp/4p3/2npP3/1P1Q4/2NP1BP1/P4P1P/R1B2RK1 b - -,d7e5
r1b2rk1/pp2qppp/5b2/2p1n2Q/8/1PP1B1P1/P3NPBP/R4RK1 w - -,h2h3
2r5/1q2p1kp/3p1pp1/3P4/2pQPP2/Pr1n2P1/1P1RR1KP/3N4 b - -,h7h5
2r2rk1/1p2npbp/1q1p2p1/3b4/1P2N3/1R1PP1P1/1B1Q1PBP/4NRK1 b - -,d5b3
4r2k/p1nn1qpp/1p4r1/3pP3/2pP1P2/P1P1NQ2/4R2P/2B1R2K b - -,g6h6
rn1q1rk1/pb3ppp/1p2pn2/2p5/2BP4/P1P1PN2/5PPP/R1BQ1RK1 w - -,a3a4
5r2/3q1r1p/2kp3b/1p1p3B/3Q3B/2P5/PP4PP/5R1K w - -,h5f7
2r2k2/1p2bpp1/p1q5/4B1P1/5P2/3Q4/PPP1R2r/1K1R4 b - -,h2e2
6k1/p4p1p/1p4p1/8/1P2Q3/4P1PP/P2q1P1K/8 w - -,h2g2
r2q1rk1/pp2npbp/2pp1np1/3Pp3/1PP1P3/2N3Pb/P2NBP1P/R1BQR1K1 w - -,d2b3
r2qkb1r/pQp2ppp/4pn2/3p1b2/3P4/2P2N2/PP2PPPP/RN2KB1R b KQkq -,a8b8
2r2nk1/3b1pNp/1p1R2p1/8/Pn5B/2p1PB1P/5PP1/1R4K1 b - -,c3c2
r4rk1/ppq3pb/1np1pb1p/3p4/2PP2P1/1P5P/PB1NP1B1/2RQ1R1K b - -,d5c4
8/6pk/p4p2/2Pr1P1p/5R1P/P5K1/6P1/8 b - -,d5c5
1k5r/pp2Q3/8/1P6/5p1p/P1qBnPpP/6P1/6RK b - -,c3c7
8/3q1kp1/5pp1/p7/1b2Q3/P5B1/1P3PKP/8 b - -,b4e7
r4r2/1b1n1pbk/pq1Ppnpp/1pp5/4P3/2N1B2P/PPQNBPP1/3RR1K1 w - -,d2b3
r2qn1k1/1ppb2b1/6r1/1p1Pp3/4PpPB/P1R2N2/1P2B1P1/3Q1RK1 b - -,d8c8
r4rk1/pq1n1ppp/1p3n2/2b1N3/B4B2/1Q2P3/P2N1PPP/5RK1 w - -,a4c6
5rk1/6pp/2rN1p2/2p1B3/1p6/8/1PP3PP/R5K1 w - -,e5g3
r4r2/pp1bppkp/1n1p2p1/3Pn3/3N4/2N5/PP2PPPP/R3KB1R w KQ -,e2e4
rnbqk2r/ppp2ppp/3p1n2/4p1B1/2P5/P2P4/1P2PPPP/R2QKBNR b KQkq -,b8d7
1rqr2k1/pp3ppp/2p1p3/3n1Pb1/2BP1P2/1Q6/PP2N1PP/2R2RK1 b - f3,g5f6
q1rbr1k1/1b1n1ppp/pp1ppn2/8/NPP1P3/PN3P2/4B1PP/2RQ1RBK w - -,d1d6
3n4/1p2kp2/3p4/1PpPp3/4P1q1/5N2/PP1KRQP1/7r b - -,f7f5
4rrk1/1n4pp/3q1b2/1p1bNP2/2pP1BR1/2P3QP/2B4K/4R3 b - -,d6d8
r3k2r/1ppnqppp/p1pbb3/4p3/3PP3/5N2/PPPN1PPP/R1BQ1RK1 w kq -,d1e2
r1q2rk1/pp2b1pp/n1b1p3/3p4/P2Np3/1PP1P1B1/4BPPP/R2Q1RK1 w - -,a1c1
3rrnk1/ppq2ppp/4pn2/2b1N3/2P4P/2B5/PP2QPP1/1BRR2K1 b - -,c7b6
3q3b/5k2/pp1p4/2nPp1p1/2P1PpB1/1P3P2/P4BK1/7Q w - -,h1h7
2k2r1r/pp2qp2/4pb1p/n2pP3/b1pP1BP1/P1P4P/1P2Q1B1/2R2RK1 w - -,e5f6
r5k1/p1p2pp1/1bp1r2p/8/8/2P1BP1P/PP3P2/R3RK2 b - -,e6f6
6k1/1p3pp1/2n3b1/3pp2p/3P4/4PP1q/KP2B1RP/2R1B3 w - -,g2g5
r4rk1/1p2ppbp/1n3qp1/p3n3/P7/1BN1B2P/1P2QPP1/R2R2K1 b - -,f8c8
1r3k2/6p1/1q1p1n2/2rPpB1p/5P2/P3Q3/1PPR3P/3K2R1 b - -,b6b2
8/3R2pk/p6p/1pr4P/5B2/PPP2K2/1n6/8 w - -,f3e4
6k1/6p1/p6p/7P/1r4K1/8/1P3R2/8 w - -,g4g3
r1r3k1/4pp1p/3p2p1/1P6/4P3/2NK1P2/1P4PP/2R5 b - -,g8f8
r1bqrbk1/p2n1ppp/1pp1pn2/2Pp4/3P1P2/P1NBP1N1/1P4PP/R1BQ1RK1 w - -,b2b4
rr4k1/p2nb1pp/2p1b3/2pqpp2/8/2NPB1P1/PPQNPP1P/R1R3K1 b - -,d5d6
r4rk1/1p4pp/1qn1p3/p6b/3Ppb1B/P1N2N2/1P2QPPP/R4RK1 w - -,e2e4
2r1r1k1/1p3pqp/p1n3p1/8/5Q2/P1N5/1P3PPP/2RR2K1 b - -,c6e5
4r1k1/pp4p1/2q2p2/2QRP2p/7P/P5P1/1P3PK1/8 b - -,c6c5
r6r/3b1pkp/3q2p1/1pRP1p2/3P4/3B4/3Q1PPP/5RK1 b - -,h8b8
r2q1rk1/pp1nbpp1/2p1pnp1/3p4/2PP4/2NBP3/PPQB1PPP/R4RK1 b - -,e6e5
r5k1/pb2qppp/1p2p3/3p4/2rQ4/2P3P1/PP1RPPBP/R5K1 w - -,d4e5
r2q1rk1/ppp3bp/3p2p1/5b2/1nPB1P2/2N3P1/PP4BP/R2Q1RK1 b - -,g7d4
2r3k1/2q2p1p/3pn1p1/4p3/ppr1P1P1/2PR1P2/PP1QN2P/1KR5 b - -,b4c3
r1r3k1/1bqp1p1p/4p1p1/p6n/Pp2PP2/1N1B2Q1/1PP3PP/4RR1K w - -,g3h4
R7/3kpp2/p2p3P/2r3p1/B2bP1P1/P1p2P2/8/3K4 b - -,d7c7
r7/7p/p3k3/1p2pp2/1Nn5/2P3P1/PP2R1KP/8 b - -,a6a5
2rqk2r/p3bppp/4p3/P1p5/3PQ3/2P3P1/5P1P/R1B2RK1 b k -,c5d4
8/5p1p/pp1kp3/5p2/PPPK1P2/1N4P1/6r1/8 b - -,g2g3
5rk1/pN3pp1/2p3p1/4n1Pn/P1qQ3P/4P3/5PB1/R3K3 b - -,e5d3
r1b2rk1/2p3pp/1ppp4/7q/1P2P3/2PQNpP1/P4P1P/R3R1K1 w - -,d3f1
b1rq1rk1/3nbppp/p3pn2/N1Pp4/1P2PP2/2NBB3/4Q1PP/R4RK1 b - -,d5d4
8/1p5k/3nB2p/3P3K/3r3P/P5R1/8/8 w - -,g3b3
2r5/4pk1p/p5p1/1P6/3R1P2/2B1n3/1PP4P/2K5 b - -,a6b5
r1bqr1k1/pp1nb2p/2p3p1/3p1p2/3P1P1P/P1NBPN2/1PQ2P2/R3K2R w KQ f6,e1c1
3k4/4b3/2b1pp2/pp4pp/4P3/1P1B1P1P/PB3KP1/8 w - -,b2d4
3r1Rk1/1bp1q1np/p3p1p1/4P3/8/P1Np3P/2PQ2P1/1NKR4 b - -,e7f8
r1bq1rk1/6bp/p2p4/1p1Ppp2/8/2P3P1/PPN3BP/R2Q1R1K b - -,a8a7
8/2k5/p3p1pp/2p1Pp2/2P2P2/P4K1P/8/3Bb3 b - -,g6g5
r1br2k1/p4ppp/1q2p3/1p1n4/8/N3P1P1/PPQ2PBP/R4RK1 w - -,f1c1
r4rk1/p3qppp/1p6/2pp4/8/5NP1/PP3PBP/1RB2RK1 w - d6,c1f4
2rbnrk1/5p1p/6p1/1pppP3/3P1B2/5N2/1Pb2PPP/RNR3K1 b - -,c2b1
8/RB2r2p/P3n1p1/2p2p2/2Pk4/7P/5P2/6K1 b - -,e6d8
r1b3k1/ppQn1rpp/5q2/P2p1p2/1P1Pp3/4P3/R2BBPPP/5RK1 b - -,d7f8
rn2kbnr/pp2pppp/3p4/q1P5/6b1/4PN2/PPP2PPP/RNBQKB1R w KQkq -,b1c3
r5k1/5pp1/1nPNp3/rP1n3p/8/1R1R4/2N5/1K6 w - -,c2a3
2R5/6p1/p2b1nk1/P7/3ppqPQ/2p4P/8/4N2K w - -,h1g2
1r2q1k1/1r1nppb1/pP4p1/2pPP2p/2N2P2/1QNR3P/6P1/1R4K1 w - -,b3a4
5r2/1kp3q1/1p1n4/p1pPpb2/P1P1Pr2/1P1B1Rp1/2Q3P1/1K3R2 w - -,f3f4
4r1k1/2p2p2/r6p/2PpP3/3Bb3/2P5/PR4PP/R5K1 b - -,e8e6
2r3k1/1p2rppp/p2p4/8/P2QP3/1NN4q/1PP4P/4RK2 w - -,f1e2
2b2r2/r3nppk/1q5p/p3p3/RpB1P1N1/2P3PP/4QP2/R5K1 w - -,c3b4
2r2r1k/1pNn2bp/3P2p1/p3pq2/4p3/1Q2B1PP/PP1R1PK1/R7 b - -,b7b6
rnq1k2r/pb1p1ppp/1p2pn2/2b5/2PN4/1QN1PB2/PP3PPP/R1B1K2R w KQkq -,e1g1
8/3K4/2P5/1R6/7P/3r2P1/1pk5/8 w - -,d7e7
r2q1rk1/2p1nppp/pp1p3n/3P3P/3NPPb1/2N3P1/PP1Q4/2K1RB1R w - -,f4f5
2r1r1k1/2q4p/1p2p1p1/1P1p4/1BnQ3P/2P3R1/2P2PP1/4R1K1 b - -,c7d7
r2r1bk1/2q1npp1/pp1pp2p/2n4P/2P2Q2/BPN2NP1/P3PPK1/2RR4 w - -,b3b4
6k1/pppb4/3p4/1P1P2qp/4Br2/3P1Np1/P6P/4Q1K1 b - -,g3h2
r2qk1bb/ppp1p3/2n3p1/5pNB/3PpB2/4P3/PPP2PP1/R2QK3 b Qq -,g8f7
r7/1pp2pk1/3p2p1/3N4/1PP1qp2/4bNPb/4Q2P/1R5K w - -,d5c3
1R3bk1/r4p2/4p1p1/2p1P1Bp/2Pn4/1p6/5PK1/3R4 b - -,g8g7
6k1/1pp3p1/p6p/3q1n2/1P6/2P4P/1P1N2Q1/6K1 b - -,d5g2
8/p2k2p1/1r2p2p/2pp4/5P2/1P3K1P/P1P3P1/4R3 w - -,f4f5
2r2rk1/p1qnnpp1/1pp1p1p1/8/3P4/1N4P1/PPPRQPBP/R5K1 b - -,f8e8
2rq1rk1/1b1nb1pp/4p3/1p2Np2/1P1PpB2/6P1/2Q1PPBP/1R3RK1 w - -,c2a2
r1b1k2r/pppnqppp/3p1n2/3Pp3/2P1P3/5N2/PP1NBPPP/R2QK2R w KQkq -,b2b4
3r3b/p3k2q/1pppnp1P/4p2Q/2P1P2P/2NPB3/PP5K/6R1 w - -,c3e2
1q6/3nnk2/p3p3/1p1p1p2/1P1P1Pp1/P2P2P1/3NBK2/2Q5 w - -,c1h1
1q3r1k/2n2pb1/pr1p1npp/2pPp3/N1P1P3/R2BB2P/1PQ2PP1/1R4K1 b - -,b6b7
2r4k/pp2bp1p/2n1p3/3p1P2/3P4/2q1PQ1B/P7/6RK w - -,f5e6
r2q1rk1/4bppp/bn2p3/p2pP3/1n3BNP/1P1P1NP1/1P2QPB1/R3R1K1 w - -,e1d1
r3r1kb/1b3p1p/p2Q1Pp1/1q2p1P1/1P2P3/3P3P/4N1B1/2B2RK1 b - -,a8c8
3q2k1/1Q4bR/4n3/2pNp1p1/2P1B1P1/5P2/PP1r4/1K6 w - -,e4g6
rnb2rk1/p3ppbp/6p1/qBpP4/7P/2N2N2/PP3PP1/R1BQK2R b KQ -,g7c3
3k4/p2P2qp/1p2r3/2p5/6p1/P2RN1P1/1P1R1P2/6K1 b - -,e6e5
4r1k1/bp3ppp/2pp3r/Q1P1nbq1/1P3N2/P3P2P/1B2BPP1/2R1R1K1 b - -,a7b8
1rbq1r1k/4b1pp/2np4/p2NpP2/1pP4P/1P4P1/P1N2PB1/R2Q1RK1 b - -,c8f5
8/p2q2pk/2prp1Rp/2Q2pbP/8/P7/1P6/1K4R1 b - -,d6d5
8/7R/4pkp1/8/5P2/1r4P1/6rP/K6R w - -,h7a7
8/5pk1/5qp1/p1p5/PpPn2BP/1P2Q1P1/8/6K1 w - -,g1g2
2k5/p4rpN/7p/1b6/1p6/8/PPP1p2P/1NK1R3 w - -,c1d2
2rqk2r/pp1bbppp/4p3/3pP3/3P2P1/PP2P3/R3B2P/1N1Q1RK1 b k -,e8g8
2r2r1k/2p2qb1/1p1p3p/p1nPp3/2P5/P3B1NP/1PQ2PR1/2KR4 b - -,c5d7
5k2/8/2NPP3/4K3/7p/8/8/3r4 b - -,f8e8
r2qr1k1/pp1nbppp/2p1b3/4N3/3PQ3/2B3P1/PP3PBP/R3R1K1 b - -,d7f6
5q2/1p4k1/2pN1n1p/p5p1/P1P1prP1/1P3P1P/2P3K1/3RQ3 w - -,f3e4
BR6/2r3pp/p1P5/p1k5/P2ppp2/8/4K1PP/8 w - -,b8d8
r2qkr2/pp3pp1/2p1pnn1/2Q3B1/2PP2P1/7P/PP4B1/R4RK1 b q -,f8h8
r2q1rk1/pp3ppp/5n2/1N1pn3/1b6/3BP2P/PP2QPP1/R1B2RK1 b - -,a7a6
3rk2r/pp1n1pp1/3bp3/3p3p/P2P3P/3B4/1PP2PP1/R1B2RK1 b k -,e8g8
7k/4Q3/1K2p2p/1P5B/8/8/8/q7 w - -,e7e8
1r4k1/5pp1/2bR2p1/4p3/p3P2P/2P1N3/1P4P1/7K b - -,c6e4
6B1/p2b2p1/2nk1p1p/4p3/8/2R3P1/P1PN1PKP/1r6 b - -,d7f5
2rqnrk1/pp1b2pp/2pnp3/3pN3/2PPP3/1P1Q2P1/PB4BP/2RR2K1 b - -,d5e4
3r2k1/pp2r1p1/3p4/P1pPp3/5nB1/2PP2P1/1P6/4RRK1 b - -,f4d5
7k/7p/pb3prQ/1pqP1N2/8/P6P/1PP3P1/5R1K w - -,f1e1
8/5p2/6kp/5p2/4p2P/1R2P1K1/3r2P1/8 w - -,b3b1
r1bq1rk1/p1p1bppp/1pn1pn2/3p4/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,c8b7
8/8/3k2p1/p4p2/P3p1PP/4P3/5PK1/8 b - -,f5g4
r1q1k2r/p2b4/3Bp1pp/5p2/2Pbp3/Q2p4/PP3PPP/R3KB1R w KQkq -,a1c1
5rk1/1bq2ppp/p2r1n2/1p2p3/P2nP2B/2N5/BPP2QPP/4RR1K w - -,a4b5
r2q1rk1/pb1n1pbp/1p2pnp1/2ppN3/3P1B2/2N1PB2/PPPQ1PPP/R3R1K1 b - -,a7a6
r1rq2k1/pp1b1p2/3pp2p/6pn/3P4/2N1PN2/PP3PPP/R1RQ2K1 w - -,d4d5
6k1/pbR3pp/1r6/3pN3/1P2pP2/P3P3/6PP/6K1 b - f3,e4f3
r2qk2r/ppp2ppp/1bn1bn2/3Pp3/8/1BNPBN2/PPPQ1PPP/R3K2R b KQkq -,f6d5
8/1r6/1P2p3/2kp4/P7/8/5P1K/1R6 w - -,a4a5
1r1q1rk1/1ppbbppp/p3pn2/8/1nNP4/2N1P1P1/PP2QPBP/R1B2RK1 w - -,e3e4
8/5p1p/2p2kp1/2P5/1r6/1P5P/5PP1/3R2K1 b - -,b4b3
3k4/p1r2p1p/1p4p1/b2BP3/P4P2/3KP2P/8/1R6 b - -,d8e7
3r1r1k/ppNN2pp/5b2/7q/5PP1/1B1Q3P/P3P3/5RK1 b - -,h5h4
r1b2rk1/1pq1ppbp/p1np1np1/8/2P5/2N1B1PP/PPN1PPB1/R2Q1RK1 b - -,c6a5
r1bq1rk1/pp1nppbp/3p1np1/3P4/8/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
8/p1R4p/3rkp2/p7/6p1/4Bn2/1P3P1P/5K2 w - -,c7h7
r2q1rk1/1pp1ppbp/p2p1np1/n2P1b2/2P2B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,d1a4
r2q1rk1/pb3ppp/1p6/2bpn3/8/2PBBP2/PP1QN1PP/R3K2R w KQ -,e1c1
r2qk2r/pp1nbppp/2p1pn2/5b2/2QP4/2N2NP1/PP2PPBP/R1B2RK1 b kq -,e8g8:h7h6
r5k1/1b3pp1/1q2p2p/1p1pP3/1P1N4/2PQ4/r4PPP/1R2R1K1 b - -,b7c6
2r5/p1k2p2/q2p1Q1R/1b1P4/8/1P6/1KP1rPP1/3R4 w - -,d1a1
r1q2rk1/ppp1bnp1/5n1p/3Ppb1P/Q7/2N1B1P1/PP1N1PB1/2R1K2R w K -,c3b5
r1bq2k1/1p3ppp/p3pn2/2b5/3NP3/1BN4P/PP2QPP1/R1B3K1 b - -,c5d4
5rk1/3b2p1/ppp1p2p/5q2/2PP4/1PB4P/P2Q2P1/4R1K1 b - -,f5f4
3r1rk1/p3ppnp/1p1p2p1/6P1/q1n1P3/1RN2P1B/1PP4P/3Q1RK1 b - -,a4e8
5rk1/1p4b1/n1rpp2p/1pp2pp1/3P2P1/P1PNPP2/1P1NK1P1/R2R4 w - f6,d3f2
rnr3k1/1p1qppbp/p2p1np1/8/2PNP3/1PN1BP2/P2Q2PP/R3K2R b KQ -,e7e6
r3r1k1/pb2qp1p/1pp1p1p1/4Q2n/2PP4/1P3N2/P1B2PPP/3RR1K1 w - -,c4c5
8/2nk3p/1pp1p1pP/3b1pP1/2RP1P2/1P1PK3/3BB3/r7 b - -,b6b5
1r2q1k1/p1Q1Br1p/1n1p2p1/4Rp2/2Pn4/2NB3P/PP3PP1/R5K1 b - -,d6e5
8/8/3p4/4rpkp/pRR5/P3PKP1/1P1r4/8 w - -,c4d4
r1q1r1k1/ppp2pb1/3pb1pp/2n2P1n/2P1P3/1PN2N1P/P1BQ1BP1/3RR1K1 b - -,g6f5
4b3/6k1/3bpp2/pp1p4/2pP1nP1/P1P1BB2/1P3P2/2K1N3 w - -,f3d1
3r3r/ppk1n2p/6p1/1bp1Pp2/P1B5/3R4/1PP3PP/2KR4 w - -,a4b5
8/5pk1/5p1p/r6P/4PPK1/8/4R3/8 w - -,e2d2
