2b5/8/5K2/3k4/8/8/8/R7 b - -,c8h3
8/2R5/8/p4p2/5k2/8/r7/5K2 b - -,a5a4
2rq1rk1/1p1nppb1/p1np2pp/3N4/2P5/4PN1P/PP1Q1PPB/2R2RK1 w - -,f1d1
4rr1k/p1q2p2/bp2pNpn/2ppP3/6QP/2PP4/PP3PB1/3RR1K1 w - -,g4g5
r4rk1/1bq1bppp/p2ppB2/1p3P2/4P3/1PN3N1/PP4PP/R2Q1R1K b - -,e7f6
rn1q1rk1/pbppbppp/1p2p3/8/2PP4/2n2NP1/PPQ1PPBP/R1B2RK1 w - -,c2c3:b2c3
2krr3/p1p1Qp1p/1pb3p1/2p4n/4P3/2N2P1P/PPPN2P1/2KRR3 b - -,e8e7
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/1P2PN2/PB3PPP/RN1QKB1R w KQ c6,f1d3
8/4k3/5RKP/4P3/8/8/8/5r2 b - -,f1g1
r6r/pp1kpp1p/2bpn1p1/8/2PbP3/1PN1BP2/P2KB1PP/2R4R w - -,e2d3
2k1r3/1p1nq2p/p1p3p1/5p2/2Pr4/5BPQ/P4P1P/1RR3K1 b - -,d7e5
r4rk1/p1pn2p1/1bppbp1p/8/4P1P1/1P3P2/PNPB2P1/2KR1B1R w - -,f1a6
3r2k1/p1Qb4/4pq1p/2P4P/6N1/P5p1/2B2rP1/2R2RK1 b - -,f6h4
4b3/p3k3/1p2p3/3pP1p1/3P2P1/2N1K3/PP6/8 b - -,e8c6
1r2b3/1pb1rpk1/p1p2qp1/P7/1PNQPp1p/1BPR1P1P/6P1/3R3K w - -,d4c5
r3r1k1/2qb1pbp/p2p1np1/1p1P4/N1p1PP2/4N3/1PBB2PP/R2Q1RK1 w - b6,a4c3
1r4k1/q6n/p2p2p1/R1pPp2p/2P1P1n1/Q2N2P1/6BP/6K1 w - -,a3a2
2R5/7p/P4n2/5pp1/r1Bk4/2p3P1/5K1P/8 w - -,c4e6
5rk1/p1p3q1/P2pp2p/2Pb2p1/4N3/5B1P/1rQ3PB/4R2K w - -,c2c1
4r1k1/2p2ppp/1p1p4/8/1nP4P/1P3N2/1P3PP1/2R3K1 w - -,f3d4
4rr2/pb3pk1/1p4p1/2q1P2p/7P/2PB2Q1/P4PP1/2R1R1K1 w - -,e5e6
8/3q2bk/1p3ppn/p1p4p/PnPp1B1P/1P1P2P1/3NQP2/4NK2 w - -,f1g2
r5k1/ppnr1p1p/2ppb1p1/4q2n/2PNP3/P1N3PP/1P1RQPB1/3R2K1 w - -,d4e6
r1bqk2r/ppp1p1bp/2n2np1/1B1p2B1/3P4/2N2N2/PPP1Q1PP/R3K2R w KQkq -,f3e5
3k4/p4p2/1p2p1p1/nB5p/P6P/1P1RP1P1/1r3P2/5K2 b - -,d8c8
r2q2k1/pb4bp/2p1p1p1/n1pp4/1N1P4/1P2PQP1/PB4BP/2R3K1 w - -,c1c5
3r4/5p1p/5p2/p3k2p/R7/3KP1P1/5P2/8 w - -,d3c4
8/8/2k5/p7/Pp1KP3/8/8/8 w - -,d4c4
2rrb1k1/R4pp1/2q1pn1p/1p6/2NP4/1P3Q1P/P4PP1/1B1R2K1 w - -,c4e5
6k1/4rb2/6pp/3p4/NppB1p2/6P1/5K1P/3B4 b - -,f4g3
2kr1b1r/pp2pppp/2p1bn2/q3P3/5PP1/2N2Q2/PPPB3P/R3KB1R b KQ -,d8d2
2r2rk1/4ppbp/1pnpb1p1/6P1/4PP2/1N1PB3/PP3R1P/R6K w - -,f4f5
6k1/pp3p2/6p1/3r4/2Nn4/1P1pK3/PB6/2R5 b - -,d4c2
1q1r2k1/1b1r1pb1/ppn1pnp1/2p3N1/2P2PBP/2NPP3/P2R1Q2/B2R2K1 w - -,g4f3
5rk1/pb1rqppp/3bp3/2p1B3/2p1n3/1P2PN2/P1Q1BPPP/R4RK1 w - -,e5d6
8/5p2/1p5p/2b2rk1/5Np1/P2R2P1/1P4P1/5K2 w - -,b2b4
rnbqkb1r/pp3ppp/4p3/2pn4/8/5NP1/PPPPQPBP/RNB1K2R b KQkq -,b8c6
r2q1rk1/pb2bppp/np3n2/2pp4/3P1B2/2N2NP1/PP2PPBP/R2QR1K1 w - c6,e2e3:a1c1
rn1qkb1r/pbpp3p/1p2pnp1/5p2/2P5/1P1PPN2/PB3PPP/RN1QKB1R w KQkq -,b1c3
8/8/7k/1PKQ1qp1/8/2P5/8/8 b - -,f5f2
r3r1k1/pp3n1p/1q2bb1P/2ppp1p1/8/1QP1P1B1/PP1NBPP1/R3K2R w KQ -,b3c2
r4k2/pp2Rp1p/1n1q2b1/8/3N3Q/2P4P/P2B1P2/6K1 w - -,d4e6
rr4k1/p3n1pp/4p3/4bp2/PP6/3BN2P/5PP1/2R2RK1 w - -,b4b5
1r1r2k1/p4pbp/2nq2p1/3pn3/5B2/3N1B2/PP3PPP/R2Q1RK1 w - -,a1b1
5rk1/3r3p/1p6/p1p1bqp1/P7/N1PbR2P/1P3PN1/R3Q1K1 b - -,e5b8
r5k1/pbpn2pp/1p1pp2r/5p1q/2PP4/P1PBPP1P/1B3QP1/4RRK1 b - -,d7f6
3B4/6pk/1p6/1P1Bpp1p/4P2P/5PP1/4K3/r7 w - -,d8b6
5rk1/1p5p/8/P4p2/2P5/1P2B1PK/5P1P/8 b - -,g8f7
r5k1/ppqbn1p1/2n1pr1p/3p4/P1pP2PP/2P2N2/2P2P2/R1BQRBK1 b - g3,a8f8
r1bqr1k1/ppn2pb1/3p1npp/2pP4/4P3/2NBBN1P/PP3PP1/R2Q1RK1 w - -,a2a4
r2q1rk1/p1p2ppp/bpn1pn2/3p4/2PP4/PPN1P3/4BPPP/R1BQK2R w KQ -,e1g1:a3a4
8/R7/5p2/5k2/8/3r4/P3KP2/8 b - -,d3c3
8/p7/1p4pp/1Ppk4/P3p2P/2K5/6P1/8 w - -,g2g4
1r1r2k1/2R2p2/Np2b1pp/p3Pn2/3q4/6PP/P4PB1/1R2Q1K1 w - -,a6b8
rnbqk2r/pp2ppbp/5np1/2pp4/5P2/3P1NP1/PPP1P1BP/RNBQK2R w KQkq -,e1g1
b1r2rk1/5pp1/4p2p/1q1nP3/1pnPN3/1Q4P1/5P1P/R3RBK1 w - -,e4d6
b1r1r3/q4pbk/p1p1n1pp/B3p3/2P1P1P1/5N2/P1BQ1PP1/1R2R2K b - -,e6d4
6N1/4R2P/8/8/8/4k3/4p2r/4K3 b - -,e3f3
8/8/6p1/1pn3p1/p1k5/P1P1K3/1P6/2N5 b - -,g5g4
3R1R2/4r2k/1p5p/p5pP/Prp5/2K5/8/8 w - g6,f8h8
r3r1k1/1p3pp1/1qn4p/p2p1n2/6b1/1NPB1NP1/PP3PP1/1R1QR1K1 w - -,d3f5
r3r1k1/1p3pp1/pq2b2p/2b5/3Np3/7P/PPPQNPP1/R3R1K1 w - -,c2c3
6k1/8/1Q3K2/p1p5/2P5/1P6/P4q2/8 w - -,f6e7
1qrr2k1/pb1nbp1p/1pp1pnp1/8/PPNPP3/3B1N2/2R1QPPP/1RB3K1 w - -,c1g5
8/2p2k2/1p3p1p/p7/P4K2/1P4P1/7P/8 b - -,f7e6
2k4r/pp1r1p1p/6P1/q2p1Q2/7R/1PP5/1P3PP1/1K1R4 b - -,f7g6
r1bq1rk1/pp4pp/2pb1n2/4pp2/4P3/2NP2P1/PP2QPBP/R1B2RK1 b - -,d8e7
2rqkb1r/pp1n1ppp/4p3/3p4/3P1Bb1/1P3N2/P1P1BPPP/R2Q1RK1 b k -,f8e7
2r1r1k1/p3qp1p/1p4p1/5P2/2p3B1/P1R3N1/3Q2PP/5RK1 b - -,e7c5
2q2nk1/2r2pbp/p3p1n1/1p1pP1BQ/3P3p/1P3N2/P4PP1/1B2R1K1 w - -,f3h4
1rr4k/2n5/1np2q2/P1b1p1pp/1P2Pp2/1QN2P2/5BPP/3R1RK1 w - -,f2c5
r5r1/2p1k3/pp2P3/3P1pn1/2N5/2P5/PP3K2/5R2 b - -,b6b5
r3r1k1/1p1nqpbp/1n4p1/1P1Pp3/p1p2P2/R4B2/1PQN2PP/2B2R1K w - -,d5d6
2kr3r/pp1bb1pp/2n1p2n/3pP3/5P2/PP2q1PB/1B2N2P/RN1Q1K1R w - -,e2d4
3r2k1/1p1n2r1/p1p1pn2/4Np2/2PP3Q/qPN1R1R1/P5PP/6K1 w - -,e5d7
1r3k2/p4p1p/3p2p1/1P2p3/r3P3/4NP2/6PP/2R2RK1 w - -,c1a1
1r1r1qk1/1p3ppp/pQ2p3/3n4/3N4/4P3/PP3PPP/2R2RK1 w - -,b6b3
8/p7/8/4R3/2p2r1k/PnP5/1P3KP1/8 w - -,f2e3
1r1r3k/2p1ppbp/1np1q1p1/2Q1P2P/p2P1P2/2N5/PP3P2/K1BR2R1 w - -,c3e4
1r3rk1/p5pp/1p2q3/2ppPp2/1Pb1nP2/4BBP1/PQR1P2P/R5K1 w - -,b4c5
r2q1rk1/1b1nppbp/p1pp1np1/1p6/P2PP3/3BBP2/1PPQN1PP/R2NK2R w KQ -,c2c3
r4rk1/2p1qppp/1p2n3/p2nP3/P1N5/1P1PP2P/2Q3P1/R4RK1 b - -,e7g5
8/5p2/5k1K/5P2/2N1P3/6b1/8/8 b - -,g3c7
5rk1/1bp3b1/pp4pp/4p3/6P1/1PP2Pn1/P1RR1KP1/3QN2q b - -,g3e4
1n3r1k/pq3ppB/1p2pn1p/3b2N1/1P1Q4/P3P3/1B3PPP/2R3K1 w - -,d4f6
8/5pk1/7p/3r2p1/7P/1R3KP1/8/8 w - -,h4g5
r2qk2r/3nbppb/n1p1p2p/pp1pP3/5PP1/2NP1N2/PPP1Q1BP/R1B2RK1 b kq -,d8b6
r1q2rk1/1pp5/2np1b1p/p3pPp1/2P1P1N1/6P1/PP1QNRKP/3R4 b - -,g8g7
r1bq1rk1/1ppn1pbp/3p2p1/p1nPp3/2P1P3/2N1B1P1/PP3PBP/R2QNRK1 b - -,f7f5
2b2rk1/pp2n3/2pNn1p1/2p1Pr2/2P2P1p/1P5P/P2RN1B1/5RK1 b - -,f5h5
2brR3/p1r2pkp/2pq2p1/2Qp4/8/1P1B3P/P1P2PP1/4R1K1 w - -,c5d4
4r1k1/5p1p/p2P4/5R2/8/1P4P1/P2r1KB1/8 w - -,f2f1
8/8/8/4p1p1/1p2PpB1/1P1bkP2/8/2K5 b - -,d3e2
