8/1p6/1p1p4/2k3K1/3R2P1/P1P2r2/8/8 w - -,d4f4
4b3/p5pk/r1p1r2p/4N3/4R3/1P5P/P2R1PP1/6K1 w - -,f2f4
4r1k1/1Q3ppp/1p3n2/5q2/8/P3PPB1/1P3P1P/2R3K1 w - -,g1g2
4r1k1/n4p2/p2Pq2p/P5p1/Q1B1p1P1/4P3/6P1/6K1 b - -,e6e5
1r1q2k1/1pr1ppb1/p2p1npp/P2P4/2Bp4/3P1Q1P/1PPBRPP1/4R1K1 w - -,f3g3
5rk1/pb2nppp/1p2p3/3n4/1P1N4/P5P1/1B2PPBP/2R3K1 b - -,f8c8
r1b1kbnr/1pq2ppp/p2pp3/8/3nP3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,d1d4
r2qr2k/1bpn4/1p1p1N2/p2P2p1/2P4p/4PR1P/PPQ3PB/5RK1 b - -,e8e7
rnbqr1k1/ppp3bp/3p4/3P1pP1/2P2p1P/2N2P2/PP2B3/R2QK1NR b KQ -,b8d7
7k/2R5/7p/5r1b/8/8/2P3PK/8 b - -,h5f7
rn1q1rk1/1p2ppbp/2p3p1/3p1b2/p1PP4/NP2PPP1/PB4BP/R2Q1RK1 b - -,a4b3
2k1r3/ppp3p1/2nb3p/8/3p4/P4N2/1PP2PPP/R1B3K1 w - -,c1d2
2rq1rk1/pb2bppp/1pn1pn2/3p4/2PP4/1P1B1N2/PB1N1PPP/2RQ1RK1 w - -,d1e2:f1e1
8/4kppp/2p1b3/pr1p4/1P1R4/2K1P1P1/1P3PBP/8 b - -,e7d6
r1bqr1k1/1pp1ppbp/1n4p1/p2P4/1n2P3/2N2NPP/PP3PB1/R1BQ1RK1 b - -,e7e6
2rr2k1/p4ppp/8/4BP2/1P2n3/8/1Q2BqPP/R6K w - -,a1f1
8/2p3k1/8/1p6/nP1KN3/2P5/6r1/5R2 b - -,g2g4
rnbqkb1r/pppppp1p/6p1/4P2n/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,d7d6
6k1/R7/7p/5r2/5P2/6KP/8/8 b - f3,f5b5
4r1k1/r2b1p1p/p1n1p1p1/1pR5/3P4/4P1B1/P3BPPP/1R3K2 b - -,c6e7
8/8/2p1q3/2p1P3/1kP3p1/6P1/1Q3PK1/8 b - -,b4a4
8/8/1k6/4K3/4N3/8/2R5/7r w - -,e5d5:e4f6
8/p4p1p/4b1pP/2k3P1/5P2/P2K4/8/3B4 w - -,d3e4
3r4/2R3pk/5p1p/2K2P2/6P1/2B5/2n5/8 b - -,h7g8
r3rnk1/pbpq2b1/1p1p2p1/4PpQ1/2PP1P2/2NBB3/PP4PP/4RRK1 w - -,d3c2
2q2k2/pb2bpp1/2p1pn1p/2PrN3/1P3P2/2B5/P1Q3PP/1BR3K1 w - -,a2a3
r5qr/p2knp2/1p2p1p1/3pP1Np/2nB1PP1/P1PQ3P/2P3K1/R4R2 w - -,g5e4
r3kbnr/p2q1p1p/1p2p1p1/2p1p3/2P1P3/2NPB3/PP2QPPP/R4RK1 w kq -,a2a4
r4rk1/pppq1pp1/1bnpb1np/3N4/1PB1P3/PQ3N1P/1B3PP1/R4RK1 w - -,a1c1
1r1r2k1/1b2qpp1/3ppn1p/p7/P1P1PQ2/2N2P2/3RB1PP/2R3K1 w - -,c1d1
r1r5/pp2Rpkp/6p1/2n5/8/1P3N1P/P4PP1/R5K1 b - -,c8e8
r5k1/pbp1qr1p/1p4p1/3pn3/8/2N1P2Q/PP2BPPP/R4RK1 w - -,a1d1
rn1q1rk1/1bppbppp/p3pn2/8/2BP1B2/2N1PN2/PP3PPP/R2Q1RK1 w - -,a1c1
5k2/R7/P2p4/4n3/4p1P1/4n3/8/5BK1 b - -,e5f3
2rq1rk1/1p2bpp1/1n2pnp1/p7/3P4/P1N3P1/1PQB1P1P/R2R1BK1 w - -,f1g2
1rr3k1/1p2ppb1/p2p1np1/q7/N1bN1PP1/1P4KP/4P1B1/1R1Q1R2 w - -,b3c4
r2N2k1/3R1p2/3br1pp/4p3/P2p4/3P2P1/4PP1P/R5K1 b - -,e6f6
1r6/2r4k/2Bb1p1P/p2Pp1p1/1p2Pn2/PP2B3/2PR4/1K5R b - -,h7g6
2rr2k1/pbqn1ppp/1p2p3/2p5/2PPn3/P2BPN2/1B2QPPP/2RR2K1 b - -,d7f8
1rbq1rk1/1pp1ppb1/p1np1npp/8/2PP1B2/2NQ1NP1/PP2PPBP/2R2RK1 b - -,f6g4:g6g5
rn2k2r/pbp1q1p1/3p3p/2p1pP2/2P1P1P1/5R2/PP1BQ1BP/R5K1 w kq -,f3b3
rn1qk2r/pp2ppbp/3p1np1/8/2P5/2N1P3/PP2NPPP/R1BQK2R w KQkq -,e1g1
r4rk1/pbpnq3/1p1pp2p/5pp1/2PP4/P1P2P1P/2Q1P1PB/R3KB1R b KQ -,e6e5
r2qk1nr/1p2ppb1/p1np2p1/2p4p/2P5/2N1PBPP/PP1P1P2/R1BQ1RK1 w kq h6,d2d4
r1bqn2k/4n1bp/p6r/2BPp1p1/2P1Pp2/1QN2P2/P3B1PP/1R3R1K w - -,c5b6
r2q1rk1/pp1n2bp/2p1p3/3pPpp1/2P2P2/1P2P3/PB2B1PP/2R1QRK1 b - -,g5g4
8/1p6/2b2k1p/p5p1/2P1p1P1/1P5P/P2KB3/4N1b1 w - -,e1g2
1rr2k2/3bbppp/p2p1n2/4p3/2p1P3/P1B2P2/NPP1B1PP/2KR3R w - -,h1e1
r1b1r1k1/1pp3bp/p3n3/3Bppq1/2QB4/2N3P1/PP3P1P/R4RK1 w - -,f2f4
2r4k/6bp/pB4p1/7P/1p6/q1r5/P1R1BPP1/3Q1K1R w - -,h5g6
2k1q3/pp1n1pp1/2pQp2p/4P2P/2P2PP1/1P6/P7/2KR4 w - -,g4g5
r4rk1/3bbppp/3qp3/1p1p4/1P1P4/P1RN2P1/5PBP/3QR1K1 b - -,a8a7
r7/2q4k/p2r2n1/1p3Q2/6p1/PPN2b2/1BP1p3/2K1R3 w - -,c1b1
3r1rk1/p3bppp/1n6/2p3P1/1p2NP2/7P/PPP5/2K1RBR1 b - -,f7f5
8/p4k1p/2P1bpp1/PP1pn3/3p4/3B4/4R1PP/6K1 w - -,e2e5
4k3/3b4/1pq5/2pnpp1p/4N2P/3P1P2/1P1BP2R/R3K3 w Q f6,e4f2
6k1/1r3pp1/p5rp/4R3/2PpP3/1P1P3P/6P1/R5K1 w - -,a1b1
r2br2k/1p4pp/p1b1np2/2B1p3/2P1N3/8/PP3PPP/R3RBK1 w - -,c5b4
6rr/3qbpk1/2p1p1p1/1p1pP2p/pPnP1P1P/P1P3PB/4RB2/R1Q3K1 w - -,c1e1
1r3r2/3b2kp/3p2Pb/4p1qQ/pN2P2R/2PB2p1/1P3P2/R3K3 w Q -,h5g5
r1bqr1k1/1pp2p2/p2b1n1p/3Pp1p1/8/2NBR1BP/PPP2PP1/R2Q2K1 b - -,g5g4
r1bqk2r/pp1p1ppp/2n1pn2/2b5/2P5/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq -,e8g8:a7a5
8/4rkp1/8/3nBP2/1pp3Pp/3b1K1P/8/R3R3 w - -,a1a5
r2r2k1/1p2qpb1/n1ppb1p1/4p2p/1PP1P2P/B1N1P1P1/3RQPB1/1R4K1 b - -,a6c7
6k1/4bp2/3p2p1/pr1B1q1p/4p3/4B2P/3Q1PP1/2R3K1 w - -,c1d1
1k3r2/pp1r4/7p/2p1b3/4B2P/P4P2/1PP5/1K4RR b - -,b8c7
2k1rb1r/1pp3pp/p1p5/4qb2/2Q1p3/1PN5/P1PP1PPP/R1B1R1K1 b - -,f8d6
r2qr1k1/1b3pbp/p2p2p1/8/PBnNP3/7P/1PB2PP1/R2QR1K1 b - -,c4b2
3r2k1/1p3pbp/pN2n1p1/1nP5/1P1PKP2/5NP1/1B5P/3R4 b - -,a6a5
r4rk1/p1p1qpbp/3p2p1/2n1p3/2P5/4P1PP/PPQ1NPK1/R1B2R2 w - -,b2b4
rn1qk2r/ppp1ppbp/3p2p1/5b2/2PPn2N/2N3P1/PP2PPBP/R1BQK2R b KQkq -,e4c3
rnbqk2r/4bppp/pp1p1n2/2pPp3/P3P3/2N2N2/1PP1BPPP/R1BQ1RK1 b kq -,b8d7
4rrk1/5p2/p2q3p/3P2p1/1PB1n1Q1/P3bN2/6PP/3RR2K w - -,e1f1
r2q1rk1/1pp1ppbp/p3bnp1/2Npn3/2PP4/6P1/PP1QPPBP/R1B2RK1 w - -,d4e5
8/8/1P3pp1/6k1/pKR5/6P1/P1r4P/8 b - -,c2a2
r2q1rk1/p3b2p/5pp1/4pb2/2Np3Q/2B3R1/PP3PPP/3R2K1 b - -,d8c7
2r4k/6p1/3p1q2/4pPbp/2P5/5P2/4Q1PP/1R3R1K w - -,e2e4
8/pp3r1k/6pp/2r1Bn2/8/1P6/P3RPPP/R5K1 b - -,g6g5
r2qk2r/ppp1nppp/3p4/3NpbN1/PP6/2PP1Bb1/2Q3P1/R1B2K1R b kq -,e7d5
4rrk1/1bbn2n1/p1p1q2p/Pp1p1pp1/1P1P4/4P1PP/2RB1PBN/2NQR1K1 w - -,c1d3
rnbqkb1r/pp2pppp/5n2/3p4/3P4/3B4/PPP2PPP/RNBQK1NR w KQkq -,c2c3:c1f4:h2h3:g1f3
8/4k3/4p1Pp/p2pPn1P/P7/3N1K2/3b1N2/8 w - -,d3c5
r5k1/ppp1rpp1/2nb1q1p/3B4/Q7/2N4P/PP3PP1/R3R1K1 w - -,d5c6
3rr1k1/1bq2p1p/p2p1bp1/1p2pP1n/4P3/P1NBB2Q/1PP3PP/4RR1K w - -,h3f3
6k1/6p1/5p1p/8/2pR1P2/2r1P1P1/4K2P/8 b - -,c3c2
4rb2/R1R3p1/3p2kp/4p3/1rP5/1p1KB2P/1P3PP1/8 w - -,a7b7
8/5p2/4bk2/1r4p1/6P1/R4B2/6K1/8 w - -,g2g3
8/8/8/1nN2p2/1PNn4/4pkP1/3p4/3K4 w - -,c4d2
r3kb1r/pp1nppp1/1qp2n1p/3p1b2/3P1B2/1QP2N1P/PP1NPPP1/R3KB1R b KQkq -,e7e6
r1q2rk1/1p2b1pp/3ppn2/pQ2p3/4P3/2N1BP2/PPP3PP/2KR3R w - -,d1d3
6k1/3nppbp/p2p1np1/1q6/8/1P2PQP1/PB2NP1P/2r1N1K1 w - -,e2c1
3r2k1/7p/p4Q2/2p5/7N/2P2PP1/PP1q2KP/8 w - -,g2h3
r1b1r1k1/1p3pb1/4p1p1/7p/3qNQ2/3P2PP/PPP3B1/R4R1K b - -,f7f5
3r1r1k/5qp1/pp6/5pQb/7P/5P2/PPB5/1K2R2R w - -,e1e7
r2q1rk1/pbpnppbp/1p1p1np1/8/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R w KQ -,e1g1
r2q1rk1/p4pb1/1n1pbnpp/2p5/4P3/2B2N2/PPQ1BPPP/RN2K2R w KQ -,e1g1
4r1k1/2p2ppp/1p1p3r/p7/2P1Q3/PP2P1P1/5P1P/3R1RK1 b - -,e8e4
4r3/4p2k/3p1pn1/p1bP1NB1/4PPB1/n6R/1r4PP/5R1K b - -,h7g8
4r1k1/p2r1pbp/q1p3p1/2B1p3/4P3/3R2Pb/PPR1QP1P/4N1K1 w - -,d3d7
r1r5/2p1qnk1/p2p1pp1/Pp1P3p/1P1PPp2/2R1Q2P/3N2P1/2R3K1 w - -,e3f4
r2q1rk1/pp2ppbp/n1pnb1p1/8/P1pPP3/5NP1/1PQN1PBP/R1BR2K1 w - -,e4e5
r3qr1k/n1p1b3/2n1p2p/2PpP1p1/Pp1P2NP/3B1N2/P4P2/1RBQ2K1 w - -,c1e3
5n2/1p2kq2/p1p1bpp1/3p4/P2P3Q/2PBN3/1P1K1PP1/8 b - a3,e7d7
3br1k1/pp3p1p/1qp3pB/4P3/1P4Q1/P5P1/5P1P/2R3K1 w - -,c1d1
8/8/p7/1Pp1Pkpp/3P4/1PP2K1P/8/8 b - -,a6b5
r7/p1p4k/1p1p2pp/3Pp2q/2P1P3/2P5/P4Q2/3R2K1 b - -,h5d1
2rr2k1/pp1qppbp/2np1np1/8/2P1P3/2N1N3/PP3PPP/R1BQ1R1K w - -,h2h3
1k6/ppr4p/8/5Q2/PP3P2/6KP/2r4P/8 w - -,b4b5
8/8/pp6/5RR1/P2qp1P1/4k1KP/8/8 w - -,g5g6
6k1/p2r2pp/1p6/3p4/PP1B4/2P4P/4rPP1/R5K1 b - -,d7e7
4r3/R7/1p2P3/2p5/2Pk4/1K6/8/8 b - -,e8e6
8/1B4R1/4K3/p7/P4k2/6pp/8/8 b - a3,g3g2
2rr2k1/p4p1p/R1p3p1/1nPp4/5B2/2n5/4BPPP/4R1K1 w - -,e2b5
r3rbk1/2q4p/p1nRbnp1/2Q5/4P3/2P1BPN1/2P3P1/2KR4 w - -,c5c6
r1b5/ppn1p1k1/4p1pp/4P3/B1P5/8/PP4PP/R1B2K2 b - -,a7a6
5rk1/pq3pp1/1n2p2p/3bP3/8/6P1/PQ3P1P/2R1NBK1 b - -,b7d7
r4rk1/pppb1pbp/1n4p1/2qp4/8/2PBPN1P/PPQ2PPB/3RR1K1 w - -,e3e4
1r1q1rk1/1ppbnpbp/p2ppnp1/8/P1PPPB2/2N2NP1/1P1Q1PBP/2R2RK1 b - e3,f6h5
3r2k1/1q2bp2/2p1p1p1/p2rPn2/Pp1P1P1p/1P1R1N1P/4QBP1/3R2K1 w - -,g1h2
8/1p1k4/2p5/p1P2p2/2K2P1r/1P6/P4R1P/8 w - -,c4c3
8/8/p7/4kp2/Nn2p1p1/1P2P1P1/3K1P2/8 w - -,a4b2
r2r2k1/1b3pb1/pp1pp1pp/2q5/P3P1P1/2PB1PP1/1PN2QK1/4R2R w - -,f2d2
8/1b3pk1/4p1pp/Q1p5/2P2P2/1P5P/P5P1/q4B1K w - -,h1g1
5rk1/1ppb4/5r2/1P1P1p2/P1qNp1p1/4R1P1/7P/3Q1R1K w - -,d4e2
r4r2/3q1nk1/3p2pn/2pPp2p/1pP1P2P/1P2Q1PK/4BR1N/5R2 w - -,h3g2
2r2rk1/1b1n2pp/pq2pb2/1p1p2B1/5P1P/3B4/PPPQN1P1/1K1R3R w - -,e2g3
7r/2R5/k7/p7/N3n3/1P6/P5K1/8 b - -,h8f8
8/1p3R2/2b5/2P5/p5k1/2K5/8/8 b - -,g4g5
r1bqk2r/b3nppp/p1npp3/8/Pp2PP2/1N1B4/1PP1N1PP/R1BQ1R1K b kq -,e8g8
8/1p1r1p1k/6pp/1R3P2/3prB2/P7/1PP2P1P/3R2K1 b - -,e4f4
2r2rk1/1q1b1pbp/3p4/1p1Pp3/pQ2P2p/3BBP2/PP4P1/2R2RK1 b - -,b7b8
6k1/5pp1/3ppb2/8/5NQP/6P1/1q3P2/2r2RK1 w - -,f4e6
6k1/5pp1/4rq1p/1pb1p3/4P3/6QP/4BPP1/1r2R1K1 w - -,e1b1
r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N1B3/PPPQB1PP/R4RK1 b - f3,c6d4:d8c7
1r3rk1/p2q2bp/3p2p1/1p1Pp3/1PpnP3/P1N1BPPb/6BP/1R1Q1RK1 w - -,c3e2
r1bq1rk1/p3bppp/1n1p1n2/p1pPp3/4P3/2N2N2/1PPB1PPP/R2QRBK1 b - -,c8d7
r5nk/1ppqb1pp/8/pP1p1r2/P7/2P1B3/4QPPP/RN2R1K1 b - -,e7d6
4kr2/3rn3/p2p1pp1/qp5p/2pPPBbP/2P2N2/1KB3P1/3RQ3 w - -,d1a1
r2q1rk1/3nppbp/b2p1np1/p1pP4/Pp2P3/1P4P1/2PNNPBP/1RBQ1RK1 w - -,f1e1
8/7R/4r1p1/6k1/8/4P3/6PK/8 w - -,h7h3
2rb1rk1/1p3qpp/p1p2p2/2Pp4/3BP3/2Q4P/PP3PP1/R3R1K1 b - -,d8c7
r4rk1/4ppbp/3p2p1/q2Pn3/P1b5/2N3P1/4PPBP/BRRQ2K1 w - -,g2e4
4r3/1b3p1k/pq4p1/1pn1p2p/2p1P2P/P1P3N1/1P1Q1PPK/4RB2 b - -,b6f6
r1b1k2r/pp4pp/1qn1pn2/3p4/1B1P4/3B1N2/PP2NPPP/R2QK2R b KQkq -,c6b4:b6b4
3r1rk1/4q1p1/b1pNpn1p/p1P1p3/Pp1PQPP1/8/2B3RP/4R2K w - -,e4e5
6r1/1pb1kp1p/p1npp3/P7/2r1P1p1/1NB2P2/1PPRK1PP/R7 b - -,g4f3
8/b4p1p/2pkbp2/4p3/4P3/2PBN2P/1P1K1PP1/8 b - -,a7b6
8/1kp5/p7/1b6/p7/2N5/KPPR4/4r3 b - -,c7c5
r1b2rk1/ppq1npbp/2p2np1/8/4P3/2N1BN2/PPPQB1PP/3R1RK1 w - -,e3c5
6k1/pp4pp/2n1r3/P4r2/R3p3/1N4P1/4PPKP/5R2 w - -,f1c1
r3k2r/1p1b1p2/pq2pn1p/4P1p1/3N2P1/nPR4P/P1P1QBB1/2K4R b kq -,d7b5
r4rk1/2q2ppp/1p2b3/p3pn2/P7/1N1B1P2/1PP2QPP/R2R2K1 w - -,b3d2
6k1/2p2pb1/4p2q/p2bPpR1/P1nB4/2P2NQP/5RP1/1r4K1 w - -,g1h2:f2f1
r5rk/2q2p1p/bn3npQ/p3pN2/1pp1P3/1P3P2/P1P2NPP/R2R1BK1 b - -,f6e8
2kr1q1r/1bp2p1p/pn2p1p1/4P2P/Pp1P4/2p1NP1N/1PP1Q1P1/1KR4R w - -,a4a5
6k1/1r1bq3/nr1p1p1p/pNpPp1pP/PnP1P1P1/2Q1NPK1/4B3/R6R w - -,e3f1
3Q4/4p1k1/2p4p/p1P3p1/P3q3/3p2P1/5P2/6K1 w - -,d8a5
5R2/p7/P1Qp4/kn5p/3pB1pP/3P4/8/4K1q1 w - -,e1d2
rn1qk2r/1b2bppp/p3pn2/1ppp4/4PP2/P1NP2P1/1PP1Q1BP/R1B1K1NR w KQkq -,g1h3
5rk1/5p2/pr1p2p1/3Pp3/1P1p1b1q/B2P1R1P/2QP2P1/R5K1 w - -,a1f1
3rrbk1/1b3n2/p2pp1p1/1p2p3/1B2P2q/P2R2N1/BPP1QPP1/3R2K1 w - -,c2c4
7r/4q2k/1bp1nppB/1p2p2n/4P1N1/2P3PP/1PB1QP1K/3R4 w - -,h6e3
r2r2k1/pbq4p/1p1bp1p1/4Np2/2PBpP2/1P2P3/P3Q1PP/3R1R1K b - -,c7e7
7r/1p3ppp/2k1p3/2P1n3/1P2P3/8/4B1PP/3R2K1 b - -,h8a8
r1bqnrk1/6bp/pp1p2p1/2pPnp2/P7/2N1P2P/1P1NBPPB/R2QR1K1 b - -,a8b8
r2r2k1/ppq2ppp/2n2n2/2pPpb2/8/P1P1PN2/5PPP/R1BQRBK1 w - -,c3c4
7k/6p1/6qp/p2pP3/Pn1P3R/2r5/4QPN1/6K1 b - -,c3c1
r4rk1/p2q1pb1/2p2np1/3p3p/4p1b1/1P2P1P1/PBPQNPBP/R1R3K1 b - -,g4f3
r4rk1/5ppp/2n5/3R4/3P4/6P1/1P1NbP1P/1N2R1K1 b - -,c6b4
2r5/5p2/4pk1p/6p1/1Pr1P3/R1PR1P2/3K2PP/8 b - -,f6e5
8/5p2/p4R2/8/4k1p1/6P1/r4P1P/5K2 b - -,e4e5
r1bqr1k1/1p1n1pbp/p2p2p1/P1pPn3/5B2/2N1P2P/1P1NBPP1/R2Q1RK1 b - -,f7f5
r1bqk2r/ppp2npp/2n5/2b5/2BpP3/8/PP3PPP/RNBQ1RK1 w kq -,c4f7
r7/1pp4p/2k2p2/1p4p1/8/1PP5/P1K2PPP/R7 b - -,c6c5
8/nq3pk1/2pQb2p/1p6/1P1PBp2/2PN3P/6P1/6K1 b - -,b7a6
1q6/5p2/k3p1b1/2pnN1P1/1p1p2P1/pP1P4/P1PB1K1Q/8 w - -,d2f4
3r1rk1/1pp1b1pp/p7/4N3/2PPnp2/4BP2/PP4PP/3R1RK1 w - -,e3f2
2kr4/pp4pp/2n2b2/4pp2/8/PNPbBPP1/1P5P/3BK2R b K -,b7b6
r3k2r/pp1n1pp1/2pbpqp1/8/2PPQ3/5N2/PP3PPP/R1B2RK1 w kq -,f1e1
8/k1p5/2r2b2/8/1p2RN2/8/4K3/8 b - -,b4b3
r2qr1k1/2pb1pb1/p1np1np1/1p5p/3Pp3/PP2P1P1/1BPQNPBP/R3K1NR b KQ -,c6e7
3r1b2/5qk1/4Rn1p/2p2Q2/p1Pp1P2/6PP/PP6/4R1K1 w - -,f5d3
2r2rk1/4qpp1/p3bn1p/3N2B1/7Q/2P5/P4PPP/1R2R1K1 b - -,e7c5
8/8/3kp3/6r1/1P2B1r1/2B1R3/K7/8 w - -,a2b3
4r3/pp3p1k/2p1pB2/5nRp/3P3P/2P2P2/PP6/1K6 b - -,f5h4
4r3/4P1kp/6p1/p3N3/P2rnP2/1p6/2R3KP/R7 w - -,c2b2
5r2/p5kp/1p3pn1/2p1p3/6Q1/2P1q1PP/PP1rN1RK/5R2 w - -,h3h4
1k4rr/1p3p1p/p2Pp3/1q1pP3/b7/P1R2BP1/1Q3P1P/R5K1 w - -,b2d2
2R5/4Kp1k/3Q2bp/q7/5P2/8/8/8 b - -,a5f5
r1q2rk1/1bp2ppp/p2b1n2/Bp2n3/1P6/P4NP1/2Q1PPBP/RN3RK1 w - -,b1d2
r4rk1/pp1qnp1p/2p1pp2/8/2nP4/3Q1BP1/P3PP1P/1RB2RK1 b - -,b7b5
r1b1k2r/pp1n1pp1/4pn1p/q2p2B1/1b1P4/2NBPN2/PPQ2PPP/R3K2R w KQkq -,g5h4
5bk1/p6p/4p1p1/3p1p2/3B1P1Q/3qPK2/P1r3PP/4R3 w - -,f3g3
r3k2r/1bq1bppp/p3pn2/2p5/4NP2/1P1B1Q2/PBP3PP/4RRK1 b kq -,a8d8
r3r1k1/4bp1p/bq2pp2/3pn3/1p1P4/1P2N1P1/1B3RBP/R2Q2K1 w - -,d4e5
8/pp4kp/5rp1/2PQn3/7q/5p1P/PP1p1R2/3R3K w - -,f2d2
r3k1r1/pp1n1pp1/4pn1p/3q4/1B1p1P1P/Q5N1/PPP3P1/2KRR3 b q -,a7a6
r4rk1/pp2ppb1/2p1q2p/1nP3p1/3P4/3NPPP1/1BQ3KP/R3R3 w - -,h2h4
r4r1k/8/pp1qN1p1/8/P1B1QR2/1P4KP/6P1/8 w - -,e6f8
4r3/2pk3p/p2p2p1/3n1p2/8/5P2/PP1B1KPP/3R4 b - -,c7c6
8/5pk1/6p1/3KP2p/r4P2/6P1/2R4P/8 b - -,a4a7
