8/7r/7P/P2pkN2/6P1/3B1K2/2Pb4/8 b - -,d2h6
r1bq1rk1/p2nbppp/1p2pn2/2pp4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 b - -,c8b7
3rr1k1/1p3ppp/p1pp4/4q3/2PRn3/1P2P1PP/2Q1NPK1/5R2 w - -,e2c3
6k1/p4r2/1p3npp/2p1Q3/4p1PP/1P6/P6K/8 w - -,h2g3
r3k1nr/1b1q1p2/pb1p2pN/1p2p3/2P1n2N/1BP2Q1P/PP3PP1/R1B1R1K1 w kq -,e1e4
r3r3/1pBb1pkp/6p1/pp1P4/4N3/6PP/PP4BK/R7 b - -,b5b4
1r1q1r2/5pk1/p2pb1pb/1p1Np2p/4P3/2PQ1B1P/PP3PP1/R4RK1 b - -,d8d7
8/1p3k2/2p5/p4p2/P7/1PP4r/3K4/6R1 w - -,g1b1
r2q1rk1/pbp3pp/1p1pp3/7n/2PPN3/3B4/PPQ2PPP/R4RK1 w - -,e4g3
7n/4Q1pk/6r1/8/3B4/5K2/8/8 w - -,f3e4
7r/6p1/p1p1k1p1/1p1pb1P1/1P2rpPP/1PP5/2R1PBK1/3R4 b - -,h8a8
8/1NN1k2p/p1K1P3/1p4p1/1P6/8/3r3P/8 w - -,b7c5
8/8/4k3/1R6/5K2/5P2/1P2r3/8 w - -,b5b6
1rbqnrk1/3n3p/p2p1pp1/2pP4/Pp2P1B1/1P2N2P/2QN1PP1/R4RK1 b - -,e8g7
rnb1k2r/pp1p1ppp/5n2/q2Pp3/8/1Q6/PB1PPPPP/R3KBNR b KQkq -,d7d6
8/1p6/1q5k/1P1p1pp1/P1R1r2b/5Q2/8/2R2K2 w - -,c4c6
rq4k1/4bppp/1n1p4/pBnPp3/P3P3/Np2B1P1/1r3P1P/R2QR1K1 w - -,e3c5
r1r3k1/1q1nppb1/1pp1bnpp/3p4/P2P1BP1/1QN4P/1P1NPPB1/R4RK1 b - -,h6h5
3qr1k1/2Rp3p/p2Bp1p1/1p6/4Q2P/1P6/1b3PP1/6K1 w - -,e4g4
2r3k1/1bp1qpb1/pp1r2pp/1B1Pp3/Q3P3/4BP2/PP4PP/2RR2K1 w - -,b5c6
r4rk1/1p2qp1p/2bpp1p1/p1n1b3/2P1P3/1PN1BP2/P2Q2PP/1RR2BK1 w - -,c1c2
5k2/8/5n1p/P7/1P1q4/8/6Q1/5RK1 w - -,g2f2
3r1rk1/3npp1p/p1B3pB/8/1PP5/2b3PP/5P2/R2R2K1 b - -,c3a1
2r2rk1/pp1q2pp/2n1p1b1/1B1nPp2/3P3Q/P4N2/3B1PPP/2RR2K1 b - -,a7a6
rnbqkbnr/1p3ppp/p3p3/2p5/P3NP2/5N2/1PPP2PP/R1BQKB1R b KQkq -,b8c6
r4r1k/pp1q2bp/2npbnp1/2p1p3/2P1PP2/1PN1B1PP/P3N1BK/R2Q1R2 b - -,a8e8
r1bqk1nr/1p1nbppp/p2pp3/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 b kq -,b7b6
R7/1b3p1p/1q1p1k1P/2pPr1p1/3p4/3P1BP1/5PK1/2Q5 w - -,a8h8
3r4/1p4kp/2pN1npN/4p3/r1P5/6P1/5PBP/1R4K1 w - -,b1b7
r1br2k1/pp2bppp/1qn2n2/1Q1p4/8/2N2NP1/PP2PPBP/R1BR2K1 b - -,d5d4
1r3r2/3R2k1/b3ppp1/4b2p/2P5/1P2BB2/P5PP/2K4R b - -,f8f7
r4rk1/1p2ppbp/3p2p1/q2P4/p1PBP1n1/3Q4/PPN3PP/R4R1K b - -,g7d4
r4rk1/2q1nppp/1p1p1b2/p1nP4/P1P3B1/6BR/1P1Q2PP/2N2RK1 b - -,f8e8
r1bb1rk1/1pq5/p1p1n3/2Pp1pP1/1P1Pp3/4Q1PB/P1N1NP2/R3R1K1 b - -,c7h7
8/8/7p/8/R4p2/2P1k1rp/1P4PK/8 w - -,g2h3
2kr1bnr/1pp3pp/p1p5/4p3/6P1/2P2N1P/PP3P2/R1B1R1K1 w - -,f3e5
8/p5k1/3Q3p/2p2qp1/7P/8/P1P3PK/8 w - -,d6e7
r1b1rnk1/ppq2pbp/3p1np1/2pPp3/1PP1P3/P1N1BN1P/3QBPP1/R4RK1 b - b3,b7b6
6k1/1pp2p1p/2n3p1/r7/2B1bPP1/2K1N3/7P/4R3 b - -,a5c5
r4k1r/1b2bp2/pqn1p1p1/1p2Pn1p/3p1P2/1Q1P1NPB/PP1BN2P/2R2RK1 w - -,a2a3
2r3k1/2r1pp1p/pN1pnnpb/2p5/P3q3/2PNP2P/1P2QPPB/R3R1K1 b - -,c8b8
4rrk1/pb1q2bp/1p1n1pp1/2Ppp3/8/2P1PN1P/PPQ1BPPB/2R2RK1 b - -,b6c5
2r3k1/1p2pp2/2bp1bpB/7P/3N3P/3Q1P2/1qPK4/rN1R3R w - -,h6e3
5b1r/4pk2/1R3pp1/2B1P2p/3K1P2/8/6PP/8 b - -,f6e5
2r4r/1p1n1kb1/p5p1/1pPp1pPp/3PpP1P/1P2P3/1P2BK2/R1R1B3 b - -,d7b8
rnb1k2r/pp3pbp/2pp1np1/4p3/2BPP1q1/2P1B1P1/PP1KN2P/RN1Q1R2 w kq -,c4d3
rn1q1rk1/pbppbppp/1p2pn2/8/2PP1B2/4PN1P/PP2BPP1/RN1QK2R b KQ -,d7d5
2r1r1k1/1bqn1pbp/pp1p2p1/4n1P1/P2BP3/2N4R/1PP2QBP/2N2R1K b - -,c7d8
r2qr1k1/pp1n1ppp/2pb1p2/8/2PP2b1/4BN1P/PP2BPP1/R2Q1RK1 b - -,g4h5
1brqr1k1/pb4p1/1pp1p2p/2PnNp2/1P1P4/6P1/PBQ2PBP/3RR1K1 w - -,c2b3
8/8/3k4/3Pn1p1/1K2PpPp/7P/4B3/8 b - -,f4f3
R7/8/2r2p2/p3pkp1/2n5/3KB1PP/5P2/8 b - -,c4e3
r1q2kbr/1p2p1b1/1np2pQ1/p1NnN3/P2P1P2/4P3/1P4PP/R1B2RK1 w - -,e3e4
5k1r/R7/2r2p2/1Bp1pb1p/6nP/2P5/5B2/2K3R1 b - -,c6c8
8/8/2B5/8/3p1k1n/6p1/4K3/8 b - -,d4d3
8/3b1pk1/p1pP1bp1/Pp6/1P2BP2/5NP1/5K2/8 b - -,f6c3
r6k/1pp5/3p3p/5Pn1/1PP2N2/4Q1PP/1q4BK/8 b - -,h8g8
6Q1/1ppk2Pp/3b1pb1/1P3p2/2PB4/1q1B1N2/1P3K1P/7R b - -,b3d3
r1b1r1k1/1pqnbp1p/2pp2p1/p3p2n/2PPP3/2N1BN1P/PPQ1BPP1/2R2RK1 w - -,a2a3
3rk3/2R1ppbp/6p1/2p5/2N1P3/2P3P1/1PK2P1P/8 w - -,c7c5
r1b1n1k1/2p1r1bp/1p4p1/2PPpp2/4P3/P1N5/3NBPPP/R4RK1 b - -,b6c5
5rk1/6p1/6rp/p2pR3/5p2/1PP2P2/1P1R1P1K/8 w - -,d2d5
r2qkb1r/pp2pppp/2p2n2/3n4/3P2b1/N1PB1N2/PP3PPP/R1BQK2R b KQkq -,e7e6
3r1r1k/1pp1N3/p2p2Bp/8/2Pb1Pb1/B5P1/P1R3KP/8 w - -,h2h3
rnbq1k1r/ppp2pp1/4p2p/3pP3/3PnQ2/2P5/P1PB1PPP/R3KBNR b KQ -,c7c5
r4k2/4p2p/3pb1p1/4n3/1p1BP2P/1P6/P1RKB1P1/8 b - -,f8f7
2b1r3/1p2rn2/p1p2qpk/2Pp1p1p/P2P1P2/1R2PN1P/2B2QP1/1R4K1 b - -,e8g8
r7/5p2/1P1kp2p/p1p5/4KP2/1R6/P5PP/8 w - -,g2g4
r6r/3kbpp1/4p3/p2pP2p/1p2b2P/3NN1P1/P1P2P1K/R1R5 w - -,e3g2
8/1R6/3p2p1/1p4k1/3n1R2/3r2P1/P6K/8 w - -,h2h3
8/p7/1p3k2/2p3pp/2P1p3/1PP1K1P1/P6P/8 b - -,f6e5
rnbqk2r/pp4pp/2pbp3/3p1p2/2PPn3/1P1BPN2/PB3PPP/RN1Q1RK1 b kq -,e8g8
6k1/1p5p/p3N1p1/6P1/4B3/PP6/5K1P/r7 w - -,a3a4
1k1r1r2/ppp5/3bR3/3P2pp/5Q2/P1P2P1P/1P4P1/4R1K1 b - -,d6f4
r1b4r/pp1nk2p/2p2Np1/6B1/2Bq4/1Q3p2/PP3P1P/2K3R1 b - -,h7h6
r2q1r2/pbp1npbk/1p1ppnpp/8/3PPP2/2N1BB1P/PPPQ2PN/3R1RK1 b - -,d6d5
r7/1bk2p2/1pp1pr1p/7R/1PPP2P1/2K5/3R1P2/3B4 w - -,c3b2
6r1/2b1kp2/B1b1p3/8/3rN2R/7P/2P2PP1/1R4K1 w - -,a6d3
8/8/5p1k/5PP1/3R1K2/r7/8/8 b - -,f6g5
2r1r1k1/1p3ppp/8/p1qPpbPP/P7/1B2RP2/1PPQ4/1KR5 w - -,c1e1
2B5/8/1KNk4/1P6/8/8/8/5r2 b - -,f1f8
r1r3k1/3qppbp/p4np1/2Pp4/3B2b1/4PB1P/P1QN1PP1/2R2RK1 b - -,g4f3
2rq2k1/p3rppp/2p1pn2/8/2BP1QP1/P7/1P3P1P/2RR2K1 w - -,g4g5
5rk1/1pp4p/3p2p1/3Pp3/1PP1B3/4P2P/q5P1/1R3RK1 b - -,f8f1
r2q1rk1/1bpn2pp/1p1p4/p2P1p2/2P1pP2/2QN2P1/PP2P1BP/3R1RK1 w - -,d3e1
8/6pk/8/p3r1P1/1b5P/1K3R2/2P3N1/8 b - -,e5e4
8/7p/6pk/5p1P/2nNp3/2n1P1P1/6N1/4K3 w - -,h5g6
3rr1k1/p3qpp1/1p3n1p/2np1P2/1R2p1P1/2P1B1QP/P1P1BP2/3R2K1 b - -,c5d7
7r/p2k1p2/1pqBp3/4Pp2/3P1P1p/1Pr4P/P3Q1PK/6R1 w - -,e2a6
8/5R1p/1k2Bp2/p1r1p3/1p2b3/P3N3/1K3P1P/8 w - -,e3c4
2k2q1r/1ppb1rb1/2npp2p/1B4pQ/p2PN1P1/P1P5/1P1NRPP1/2K4R b - -,c8b8
1r3rbk/1q4bp/8/pp1p1P1Q/4pP2/2P1N3/PP4BP/R2R3K b - -,b8d8
r1b1k2r/pp2qppp/2n1p3/8/2B5/P3P3/1P1Q1PPP/2R1K1NR w Kkq -,g1f3
2b2rk1/2Qn2pp/p3pq2/1p1p1p2/3Pn3/P2BPN2/1P3PPP/2R2RK1 w - -,f3e5
r3k2r/1pp1qppp/1b2bn2/pP2p1B1/2B1P3/2PP4/P2NQ1PP/R3K2R b KQkq -,h7h6
4b1k1/pp2n1pp/4p1r1/3pB3/3P1P1q/5QR1/PP3P1P/5RK1 b - -,e7f5
r2q1rk1/pp3pb1/2p2np1/4Np1p/2PP3P/1P6/PBQ2PP1/R3R1K1 w - -,a1d1
8/2pp1r2/pp1kp3/7Q/2P2q2/P2BN3/6KP/8 w - -,c4c5
7r/5pk1/3p2p1/2p3Q1/5P2/P7/5K2/3q1R2 b - -,d1d2
r3kb1r/pp1n1pp1/2pqp3/8/2PPQ2p/7P/PP2BPP1/R1B2RK1 b kq -,d7f6
3n1b2/5pk1/1qr3pp/1p2p3/p2pP1P1/P2P1NNP/1P1Q1PK1/2R5 b - -,f8d6
r1bqr1k1/1p3p1n/p2p1np1/2pP4/P2bP2p/2N2N1P/1PQ1BPP1/R1B2R1K b - -,d4c3
5k1r/2p5/3b2rp/pQ2p3/4P2B/2P5/PP3PPP/6K1 b - -,h8g8
1rqbr1k1/pb4pp/1p2pn2/2ppB3/3P4/2P1N1P1/PP2QPBP/3RR1K1 w - -,e5b8
2r1r1k1/p4pbp/1p1p1qp1/3P4/b1p1PN2/Pn4P1/1R2RPBP/1QN4K b - -,f6d8
r2r2k1/2p1q1p1/4p2p/2b1p3/p1Q1P3/N4P2/PPP3PP/K2R3R b - -,g8h7
r4r2/p2qp1bk/n1pp1npp/5b2/2P5/2N3P1/PP1BNPBP/R2Q1RK1 w - -,d1a4
3r2k1/1p3pb1/p5pp/P1nP4/5B2/2N5/1P4PP/4R1K1 w - -,e1d1
3r4/p1r2kn1/1P4pp/P7/3p4/3B3P/1B3PP1/R5K1 b - -,a7b6
4R3/3B4/p2r1k1p/1p3p2/8/1P5P/P4P2/5K2 b - -,d6d7
5k2/p2q1pp1/1p3n1p/8/2P5/P3QBP1/5PKP/8 b - -,d7d6
6k1/5p2/4p1p1/7p/1p1qPP2/1B2nP2/Q4K1P/8 w - -,f2g3
r6k/1p4p1/2p4p/1nP1B1bQ/1P2P3/4q2N/5r1P/3R2K1 w - -,h3f2
8/2p2kpp/1pp1n3/p3P3/2P3PP/1PB3K1/P7/8 w - -,g3f3
8/3bk3/4p3/p7/P2pR3/1PrB4/7r/3KR3 w - -,d3c4
rnbq1r1k/1p2p1bp/2pp1np1/p4p2/2PP4/2N3P1/PP2PPBP/1RBQNRK1 w - a6,d4d5
8/3kpp2/8/3P2P1/2pb3P/3n2N1/2K2PB1/8 b - -,d3e1
3r2k1/6pp/3bp3/5p2/2QP1P2/5BP1/1q2n2P/5NBK b - -,e2g1
1r4k1/n3ppbp/3p2p1/Pp1R4/2r5/1NP3P1/P3PP1P/B1R3K1 b - -,c4a4
r5k1/pp2pr1p/5np1/2q1Q3/2Pp4/3P2B1/P4PPP/1R2R1K1 b - -,c5a3
r1bQR1nk/1p4q1/7p/2p4N/p2p4/3P4/PPP3BP/6K1 b - -,g7g4
7r/p3kn2/4p3/1p6/2p2B2/P1P3P1/4KP2/3Rr3 w - -,d1e1
2r1k2r/2q2ppp/p4n2/2b1p3/3p4/5BP1/1P1QPP1P/R1BR2K1 w k -,a1a6
r4rk1/4qpp1/2p5/1p2p3/4P1b1/1P2Q1P1/2P1N2P/R4RK1 b - -,f8d8
2RQ1nk1/1p2r1qp/1PbN2p1/5p2/4p3/3pP3/5PPP/5R1K b - -,e7d7
r5k1/pppq1rb1/3p1n1p/1P1Ppp2/1P6/1Q4P1/PB3P1P/2R1RBK1 b - -,a8f8
6k1/2R5/p5p1/1p2B3/8/4n2P/6r1/7K b - -,g2g5
r3r1k1/3n2bp/5np1/3pp3/q7/p1BP4/3N1PPP/2RBQRK1 b - -,a4a6
rq3rk1/p1bnn1p1/Q1p4p/2Pppp2/RP1P1P2/3BPNN1/4K1PP/1R6 w - -,d4e5
8/6pk/1R5p/5p2/8/6P1/3r3P/6K1 b - -,d2a2
6k1/4p3/pnq1prPp/1p4NQ/4RB2/1Pb5/P4PP1/6K1 b - -,b6d7
r1b1kb1r/pp3ppp/2p1pn2/q2p4/2PP4/1QN1PN2/PP3PPP/R3KB1R b KQkq -,f8d6
8/6R1/5p2/4n1kp/4P3/R5K1/3r2P1/8 b - -,e5g6
8/7p/4k3/2B2p2/4p3/nr4P1/4NP1P/6K1 b - -,a3c2
r3rbk1/1ppn1ppb/p1q4p/3n4/2P1p1P1/1P2P2P/PBQ2PB1/3RRNK1 w - -,d1d5
4r3/1p2r3/p1kb1p2/2p1p1pp/2P3P1/PPBP3P/2K1RP2/4R3 w - -,c2d2
4kb1r/3b1ppp/p3p3/Np6/2P5/4nPB1/PP4PP/2K2B1R w k -,c4b5
6k1/1p3p1p/2bNp1p1/2n3B1/2PbPP2/1Q6/6PP/5BK1 w - -,g1h1
rr4k1/2Q1p3/p1p1qbp1/2Pp1bp1/3P4/2B1P1P1/PP1R2BP/4R1K1 b - -,a6a5
6k1/1pp2ppp/3b4/pP1Pn3/8/P3P1P1/3r3P/R4RK1 b - -,d6c5
2r2k2/6b1/R3K1P1/2B1P3/8/8/8/8 b - -,f8g8
2brr3/p1q2pk1/1pp2npp/2p1p3/4P3/3PQ1NP/PPP2PPN/4RRK1 b - -,c7d6
1r1q2k1/1p2bppp/2n1p3/3pP3/P2P2P1/2R1B3/1QN2P1P/6K1 b - -,c6a5
3q2k1/1b4p1/p3Rn1p/1P1r4/8/1Q4RP/1P3PP1/6K1 b - -,a6b5
r4rk1/pR2pp1p/N5p1/3Pn2n/4P3/2b1B3/3N1PPP/4K2R w K -,b7e7
r1b2rk1/1p2q1pp/2pbp3/p2p1p2/2PPN1n1/PPN1P1P1/1BQ2PBP/R4RK1 b - -,f5e4
2rqk1nr/p3bppp/1p1p4/1P1Qp3/4P3/5N2/P1P2PPP/R1B1K2R w KQk -,d5d3
1r2b3/1pr1kpp1/p3pn1p/P3N3/3R4/2P5/1P2BPPP/3R1K2 w - -,e5c4
bq2rbk1/2rn1p1p/pp1ppnp1/8/2PNP3/1PN1BP2/P2Q2PP/1BR1R2K b - -,e8c8
8/6pk/7p/8/pPq5/7P/1P2RRP1/7K b - -,c4b4
r1bqk1nr/pp1p1ppp/2n5/2b1p3/4N3/5N2/PPP1PPPP/R1BQKB1R b KQkq -,d7d5
8/p2r2p1/1pkr1p1p/P1p1pP1P/2P3P1/2KPP3/R7/3R4 b - -,c6b7
2r2rk1/1p1qb1p1/p2p1n1p/4pN2/4P1P1/5Q2/PPP1N2P/2KR3R w - -,h2h4
1rb1k2r/5ppp/pp2p3/2q5/8/6P1/PPQ1PPBP/R3K2R w KQk -,c2c5
r2r2k1/1b3p1p/pq2pp2/1pbP4/2p1P3/P1N3PB/1PQ2P1P/R4RK1 w - -,a1d1
8/7p/p2rp1p1/R7/2P2P2/4K1Pk/7P/8 w - -,a5a2
8/8/8/p3kP2/2K5/r7/5R2/8 b - -,e5f6
8/8/4k3/2p2p2/5K1p/5P1b/2N5/8 w - -,c2e3
2r3k1/1p3p1p/2p1pnb1/r2nN1p1/P2P2P1/BB2P2P/2R2P2/2R3K1 w - -,c2b2
r1r3k1/1q2Bpp1/npb1p2p/p1bpP3/2P5/P1NB1N2/1PQR1PPP/1K1R4 b - -,c5e7
r2qr1k1/1p3pbp/n1ppb1p1/p3p2n/1PP5/PQ1P1NP1/1B1NPPBP/R1R3K1 w - -,f3e1
r7/2pR4/1p2p3/1P2bkPp/1BP2n1P/P4K2/5N2/8 b - -,e5d6
8/5p1p/1n2pn1k/pN3p2/r1pP4/5P2/1P4RP/1BK5 b - -,b6c8
r1bq1rk1/pp2b1pp/3p4/2pPnp1n/2P1p3/1PN2PPN/P3P1BP/R1BQ1RK1 b - -,e7f6
8/3R2k1/4r1pp/2p5/p1b5/P1P2N2/5KPP/8 b - -,g7f6
r2r4/4kp1R/1p2b1p1/p2p4/P2P4/4N3/1P1K4/7R b - a3,b6b5
