2k5/1N4R1/4p3/p2pP3/8/5K2/1r6/4b3 w - -,b7d6
8/1kp5/1p1n4/p3Q3/P3p3/1PBqP2P/3P2PK/8 b - a3,b7c6
4r1k1/2p2ppp/2p1r3/3pPbP1/1P6/2B5/P1P2RPP/R6K b - -,f5e4
rn3rk1/pbp1q1pp/1p1bp3/1N3p2/2P5/P4NP1/1PQnPPBP/R4RK1 w - -,c2d2
3r1rk1/1p2qppp/p1b1pn2/2b5/P3PB2/2N2Q1P/1P3PP1/RB1R2K1 w - -,b1c2
r3r1k1/3n1ppp/p1Nb1n2/1p1P2B1/1PpP4/P1N3P1/5P1P/R3R1K1 b - -,g8f8
8/3k2p1/q3pp2/3b4/3P3p/5P1P/pQ4P1/R6K b - -,a6a4
r1bq1rk1/1pp1ppbp/p1np2p1/8/2PP1Bn1/2N2NP1/PP2PPBP/R2Q1RK1 w - -,h2h3
r2r2k1/pp3ppp/5n2/2P4q/Q5n1/P4N1P/1P2B1P1/2R1R1K1 b - -,g4e3
2rr2k1/1bq2pp1/p1nbpn1p/2p5/P7/N3PN1P/BP2QPP1/2RRB1K1 b - -,c7e7
2krr3/ppq2pp1/1N4b1/3R4/P5P1/2N5/1PP2P1b/1K3Q1R b - -,a7b6
8/8/4k3/5n2/7P/1r3K2/R7/B7 w - -,f3g4
1r4k1/q1pn1ppp/2p1b3/8/4P3/3BBP2/2P3PP/5RK1 w - -,e3a7
2q2rk1/4ppbp/3p1np1/1rp5/1n1PP3/4B1PP/1P2NPBK/2RQ1R2 b - -,b4a2
b5k1/2q2ppp/1p1p4/2nPp3/1QP1P3/1N4P1/5PBP/6K1 b - -,a8b7
8/2p3pp/ppb1kn2/4p3/4P3/BPN2P2/P1P2KPP/8 w - -,a3b2
1r3rk1/4qp1p/pNp1bR2/2Pp2Pp/8/3Q4/PP4PP/2R3K1 b - -,b8e8
3q1r1k/pp5p/2p5/2Pp4/3Pn1pN/6P1/PPQ2r2/4RRK1 w - -,f1f2
2rq1rk1/pb2ppb1/1pn3pp/3p4/3P1n1B/2P2N2/PPQNBPPP/3RR1K1 w - -,e2b5
bq2r1k1/2r2pp1/pp1ppbn1/4n3/1PPNP2p/P4P1N/Q3B1PP/2RR2BK w - -,d4b3
rn3rk1/pp2qppp/4pn2/2p2b2/PbNP4/1QN1PP2/1P4PP/R1B1KB1R w KQ -,d4c5
r5k1/pb2rp2/2p3p1/2P4p/PP3q2/2Q1N2P/4K2n/1R2R2B w - -,b1d1
3qrrk1/pp4pp/2bnp3/2Bp4/P2b4/1P1Q2PB/6KP/2R3NR w - -,c5d4
r1r3k1/pp3ppp/2q1p3/8/2nP4/1QP2N2/P4PPP/R1R3K1 b - -,c8c7
8/1k6/8/PPKN4/8/8/8/5b2 w - -,d5b4
r1b1r1k1/p3qpb1/1p1p2np/2pPn3/4P3/2N1N1B1/PP2B1PP/R2Q1R1K b - -,a7a6
8/4kp2/1pp1r1p1/p1b1p2p/2P1P3/P2R1P1P/1PNK4/8 b - -,e6d6
8/8/5k1p/p1Np1b2/P1nP4/5pP1/8/4B1K1 w - -,c5b3
1r1q1rk1/pp2np1p/3p4/2p2P2/3b1p2/2NP3P/PPPQ2B1/R4R1K b - -,d4e3
r3r1k1/p1p2p2/2pp1p2/3N2pb/3P4/8/P2b1PPP/R3R1K1 w - -,d5f6
2r2k2/3b2pp/1R6/8/4N3/5P2/6PP/2R3K1 b - -,c8c1
1k2r3/1p5p/p1br2q1/2Qpp1P1/7P/2P4B/PP3R2/2KR4 w - -,h3f5
r4rk1/pp2bppp/1n2pn2/2p2b2/3P1B2/2N1P3/PP1NBPPP/R4RK1 w - -,d2b3
6r1/1k3p1r/2p1p1n1/p1RpP3/Pp1P4/1P1P2BP/7K/7R b - -,g6h4
rnbqkb1r/pp2pppp/3p1n2/2p5/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c3
r4rk1/1p2q3/p2p2p1/2pPp3/P1P1Nb1p/5P1P/1P3QPK/3R1R2 w - -,h2h1
3r2k1/bpn2pp1/7p/4P3/N1Bn4/P4PB1/1P5P/5RK1 w - -,a4c3
2b2rk1/p5bp/6p1/3pq3/2p5/2P1B2Q/PP4PP/1R3B1K w - -,h3g3
r1bq1rk1/p3bppp/2p2n2/2ppN3/5P2/2N5/PPPPQ1PP/R1B2RK1 b - -,c8b7:d8c7
3r1rk1/ppn2q1p/5ppb/3p1n2/3P1P2/2NN1Q2/PP3BPP/2RR2K1 w - -,c1c2
r1b1k2r/pppnq1pp/3pp3/8/3P4/3B1NQ1/PPP3PP/R4RK1 w - -,a1e1
rnbq1rk1/pp2bppp/2pp1n2/8/3NP3/2N1BQ1P/PPP2PP1/R3KB1R b KQ -,b8d7:f8e8
r1r3k1/p3qppp/bpp1p3/3pP3/2PP3n/1P2P3/PQ2NPBP/2RR2K1 w - -,g2h1
2r1nB1k/5p1p/pp1p1pb1/2pP4/P1P5/1P6/5P2/4R1RK w - -,e1e7
8/3k4/5R2/8/4pKP1/r3B3/8/8 w - -,f4e4
5nk1/6pp/r1N1p3/5p2/p1PP4/R5P1/Pr3P1P/3R2K1 w - -,c6e5
2rnkr2/2qbb3/1p2p1p1/pP1pPn1p/N6P/P2B1NP1/RB3PK1/3Q3R b - -,d8b7
r4rk1/1b1q1pbp/pp2p1p1/4P3/P2p1P2/1B1P3R/1P1B2PP/R2Q2K1 b - -,a6a5
8/8/8/8/3K1pkP/8/3Nb3/8 w - -,d4e4
6k1/R5p1/P6p/5P1P/r5K1/8/8/8 w - -,g4f3
8/p5pk/2p2r1p/4qN2/4Pn2/5Q2/PP1R1P1P/6K1 w - -,g1h1
2nR4/1K6/P6k/6p1/8/2r4p/8/8 b - -,g5g4
8/6kp/5pp1/3Q2P1/3b4/7P/pq6/5R1K b - -,f6g5
3r4/8/1pp1kpB1/p2p4/P2n1P2/1P6/2P4P/4R2K b - -,e6d6
r1bqk1nr/bp3ppp/p1np4/4p3/4P3/1NNBB3/PPP1QPPP/R4RK1 b kq -,g8e7
8/p5k1/5p2/1P2nQp1/3q3p/7P/5PP1/5BK1 w - -,f5e6
3r2k1/2qn1pP1/p1p4p/1p6/4PP2/1PN3PB/PBR4P/6K1 b - -,d7c5
rnbqkbnr/pppp2pp/8/4pp2/2P5/3P2P1/PP2PP1P/RNBQKBNR b KQkq -,g8f6
4k2r/1p1n1p2/p6p/1B2P3/8/2N2P2/PP3b1P/2K4R w k -,b5d7
2r3k1/1p2bpp1/pqp4p/3p4/1P1P4/P1RQPNP1/4KPP1/8 b - -,b6b5
3rk3/p4p2/2b2b2/P3p3/2r5/1N3P2/1P1BP3/3Q1K2 w - -,d1b1
8/pp1nkp2/2b1p2p/2p5/7P/2P1KP2/PP3NP1/3R4 w - -,f2g4
3r1rk1/1q2bppp/3p1n2/pp1b4/3B1P2/P4BQ1/1PP3PP/3RR2K w - -,f3d5
2B2r2/2q4p/1k1p4/2pQ2B1/1pP4P/1r3P2/6P1/4R2K b - -,f8c8
r3k2r/1b1p1ppp/p1q1pn2/8/1b2PP2/2NBB3/1PPQ2PP/R3K2R w KQkq -,e1g1
r2r4/pb4bp/1p2knp1/8/8/2B4P/2PP1PP1/4RQK1 b - -,e6f7
r4rk1/1bp2ppp/p2b4/1p1qN3/Pn6/1N1P1P1P/1PP3P1/R1BQR1K1 w - -,d3d4
8/8/4R3/1p5r/5K2/8/8/6qk b - -,g1d4
8/2r2pkp/p5p1/1p1Bp3/1P1rP1P1/P1b5/5PP1/R1R2K2 w - -,a1a2
r1b2rk1/1pn2pbp/p5p1/2Q1P3/1q6/1P2BN2/1P3PPP/R3RBK1 b - -,b4c5
2r5/5pbp/8/5p2/1kN5/1P4P1/3r1PBP/2R3K1 b - -,g7d4
rnbqk2r/pp4pp/2pbpn2/3pNp2/3P4/6P1/PPPNPPBP/R1BQ1RK1 b kq -,e8g8
6k1/2qb2bp/p2p2p1/n1pPpp1n/2P1P3/2B3PP/P1QNNPB1/1r4K1 w - -,c2b1
2r3k1/1p1n1pbp/p5p1/B7/P3P3/7P/5PP1/4RBK1 w - -,e1d1
1r1q1rk1/pp1bppbp/3p1np1/n7/3NP1PP/1BN1BP2/PPPQ4/R3K2R b KQ h3,b7b5
rnbqk2r/p5pp/3bpn2/3p1p2/8/3NB1P1/PP2PPBP/RN1QK2R w KQkq -,e1g1
8/8/1k6/2R1Pp2/5n2/K6P/8/8 w - -,c5c3
5r1k/2p3p1/3p3p/1R2p3/rR2P3/2P4P/6P1/7K b - -,a4b4
3r4/p5kp/1p4p1/6b1/5PN1/6P1/PP5P/4R1K1 b - f3,g5f6
8/1R3k2/4p3/3pPn1p/3P1n2/5P2/r7/5BK1 b - -,f7g6
rn3rk1/pppq1ppp/3b1p2/3p1b2/2PP4/3BPN2/PP3PPP/RN1Q1RK1 b - c3,d5c4
r1bqk2r/pp1n1ppp/2p1pn2/3p2B1/2PP4/P1b1PN2/1P3PPP/R2QKB1R w KQkq -,b2c3
rq1b1rk1/1b1n1pp1/3ppn1p/pN6/P3PP2/1N1B4/1P2Q1PP/R3BR1K w - -,a1d1
r1bq1rk1/1ppnbppp/p1p5/4p3/4P3/1P1P1N2/PBP2PPP/RN1Q1RK1 b - -,f7f6
2rq1rk1/1p1bbppp/p1nppn2/8/2PNP3/1P4P1/P3NPBP/R1BQ1RK1 w - -,c1b2
6k1/6pp/1pn2r2/rN6/Pp1p2P1/3R1p1P/1P3P2/R5K1 w - -,a1d1
r4rk1/pp1bppbp/2np1np1/q7/2P1P3/2N1B3/PPN1BPPP/R2Q1RK1 w - -,a1b1
1n1r2k1/p1r2pnp/1p2pbp1/1PP5/3P4/4NB2/1B1R1PPP/3R2K1 b - -,g7f5
5rk1/p3p1b1/n1q1n1p1/2p1P2p/1rPpRP2/3P1NP1/P4NK1/R1B4Q b - -,f8b8
8/8/1p6/p1p2k1p/PnPp4/1P1P1pP1/6K1/2N5 w - -,g2f3
1r3rk1/3qn1bp/1pnpb1p1/2pN4/1PP1p3/2N1P1P1/3BQPBP/1R3RK1 w - -,g2e4
3nn3/6k1/p1P1p1p1/4N3/4PP1p/8/P4N1P/6K1 w - -,g1g2
2r4r/p3npk1/1p3b1p/3p2p1/3p2b1/3N2P1/PP1BPPBP/2R1RK2 w - -,c1c8
8/p5p1/1prrp1k1/7p/2PPR3/2K4P/4R1P1/8 b - -,a7a5
rn3rk1/1pq1bppp/3pbn2/p3p3/P3P3/1NN1BQ1P/1PP2PP1/2KR1B1R w - -,g2g4
r3k2r/ppn1p1bp/2pp2p1/q4bP1/3Pp2R/2N1B3/PPPQ1PP1/2KR1B2 w kq -,c1b1
5rk1/rpqbppbp/6p1/3pP3/5P2/1P2BN1P/1PP2QP1/5RK1 w - -,e3a7
8/p2r1p2/6kp/3prp2/1P3RP1/7P/P2R1KP1/8 w - -,a2a4
rn1q1rk1/pbp1pp1p/1p1p1bp1/8/3P3P/2PBPN2/PP1N1PP1/R2QK2R b KQ h3,c7c5
4k3/8/2N3p1/p1P1K3/5P1p/1r5P/6P1/8 w - -,c6a5
8/5k2/5p2/1R6/7P/5K1P/1p6/1r6 w - -,f3g2
rn2kbnr/pp2pppp/1qpp2b1/8/3PP1P1/4BN1P/PPPN1P2/R2QKB1R b KQkq -,d6d5
r4rk1/2qbbppp/pn1p1n2/1pp1p3/3PP3/1PP2N1P/PBB2PP1/R2QRNK1 b - -,c5c4
8/1p3pkp/6p1/Q3p3/2P1P1P1/1P6/3B2PK/3r1q2 b - -,f1g1
2kr3r/pp1nbpp1/1qp1pn1p/7P/3P3N/2PQ2N1/PP3PP1/R1B1R1K1 w - -,h4f5
4r3/p2r1np1/1p1P1k1p/2pR1p1P/5BP1/1P2PP2/P4K2/3R4 b - -,f5g4
r5k1/pN4b1/1p3p1p/2pqP3/4p3/1Q1PB3/PP5P/R5K1 b - -,d5b3
8/7p/5k2/8/4Kp2/6P1/7P/8 w - -,g3f4
rn2kb1r/pp2pp1p/2pp1np1/7q/3PPPb1/2NB3P/PPP2QP1/R1B1K1NR b KQkq -,f8g7
1r4k1/p5p1/4b2p/4Np1q/2P2P2/PnQ1P3/1P4PP/1K3B1R w - -,f1d3
r3k3/p1R4p/1pp1p1n1/5p2/1bP2P2/4B2P/P1B1P1K1/8 w - -,c7h7
r2q1rk1/1bpn1ppp/pp1b1n2/3p4/1P1P1N2/P1N1P3/1B2BPPP/R2Q1RK1 w - -,f4h3
8/p2r1pk1/1p2p2p/2rP4/4P3/1P1R4/6PP/3R2K1 w - -,d5e6
r1b2rk1/ppqp1ppp/2n1pn2/8/1bP1P3/1NN1BP2/PP4PP/R2QKB1R w KQ -,f1e2
r1bqk1nr/pppn1pbp/3p2p1/4p3/8/1P1PPN2/PBPN1PPP/R2QKB1R b KQkq -,g8e7
8/pp1knp2/r7/5p1R/P2P1N2/1P1K2P1/2P2P2/8 b - -,a6a5
8/pkr4p/4Q3/pP6/2r2PK1/7P/7P/8 b - -,a5a4
3qB2k/r2np1b1/p1p4p/Pp2P3/3P3B/2P4P/1P2Q1PN/5RK1 b - -,d8e8
2r1r3/ppq1ppkp/n2p1np1/3P4/4N3/2P2B1P/PP1Q1PP1/1R2R1K1 b - -,a6c5
r1bqk2r/pppp2pp/2n2n2/2b1pp2/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,e2e3:g1f3
8/pp1n1Pk1/3p4/2pP3p/2P1QBq1/2P5/P4KP1/8 b - -,d7f6
4r1k1/pp5p/6p1/5p2/2b5/b5P1/P2BPP1P/R3R1K1 b - -,b7b5
2r2b1r/ppkbpppp/3p1n2/6B1/3NP3/2N2P2/PPP3PP/2KRR3 b - -,c7b8
rnb2rk1/bpp1qpp1/p6p/3Pp3/1P6/4PNP1/PB3PBP/R2Q1RK1 b - -,b8d7
2br2k1/r1q2ppp/pQ6/3Bp3/2PnN3/8/PR3PPP/1R4K1 b - -,g8f8
8/8/2p3Rp/1pkn4/4p1PP/8/5P2/6K1 w - -,g4g5
4bk2/6pp/3n1p2/rp6/1R2P3/P1N1K1PP/1P6/5B2 b - -,f8e7
2k5/2p3pp/5p2/ppp1n3/4PP2/1PP3PP/2P5/3K2N1 b - -,e5c6
r4rk1/pbpnq1pp/1p1ppn2/5p2/1PPP4/P1Q2NP1/1B2PPBP/R4RK1 b - -,b7e4
r2qr1k1/1pp2pbp/1n2p1p1/3nP3/p2PQ3/5NP1/PP3PBP/R1BR2K1 w - -,d1e1
2r1qr1k/1p2bppp/p7/P2PB2n/8/3B3Q/1PP3PP/R2R3K b - -,e7h4
3r3k/1p1q2pp/1Q3p2/4p3/p3P3/3P2P1/5P1P/2R3K1 w - -,c1c7
2r1n1k1/1r3pbp/p1q1p1p1/B1Pp4/3P4/3NP1P1/3Q1P1P/R1R3K1 w - -,d3b4
2r5/2b1B1kp/1p2p3/2n2p2/8/5PP1/P2R3P/7K b - -,g7f7
3r4/3P1pk1/p2Q1bp1/4p2p/2p5/7P/1P3PP1/6K1 w - -,g1f1
2kr4/pp3Q2/2q1p3/2P4P/3R4/8/PP3Prb/1K1R4 b - -,d8d4
8/5pk1/2b2qpp/2p1b3/1pP1pN1P/1P2P1P1/3QBP2/5K2 w - -,f1g1
2r3k1/pp2bppp/8/3qPp2/3P4/1R2B2P/n4PP1/3QN1K1 w - -,d1b1
rr2bk2/6pp/n1N1pn2/3p1p2/pp1P1P2/P3P3/NPR2P1P/2R2BK1 b - -,b4b3
r5k1/ppb2pp1/2p5/7p/4P1n1/2N1B3/PP2QPBq/3R1K2 w - -,e2f3
1r2q3/5pk1/Rp1b2p1/2pnp2p/2PpP2P/3P2P1/1Q1B1PK1/8 w - -,e4d5
3q1r2/4ppk1/p2pb1p1/1p5n/2r1P2P/2N2P2/PPPQN3/1K1R3R w - -,h1g1
3r2k1/1n3q1p/p1b2Pp1/1p2p1P1/2p1P3/2P1QR2/PP4BP/2N3K1 b - -,c6d7
2k3r1/ppp1n2p/3bpp2/8/3P3r/2P3NP/PP3PP1/R3RKN1 b - -,d6g3
3r1r1k/7p/2np4/p1qQppb1/1pP5/1P2N2P/P1N2PP1/R2R2K1 b - -,f5f4
1r1r2k1/pR5p/2np2p1/2p5/2P3B1/P1P5/5PPP/3R2K1 w - -,g4e6
r2b1k1r/pp1q1pp1/3p2b1/2p1p1P1/4P2p/1QPPNN1P/PP3P1K/R5R1 w - -,b3d5
r2q1rk1/pb1nb1pp/1pn1p3/1Npp4/3P1P2/2P1BN2/PP1QB1PP/R4RK1 b - -,d7f6
r1bqnrk1/ppp1n1b1/3p2pp/2PPppN1/1P2P3/2N5/P3BPPP/R1BQ1RK1 w - -,g5e6
2r3k1/6p1/3Rpr1p/p1n3q1/1pP2R2/1P2QBP1/5P1P/6K1 w - -,h2h4
rn2kb1r/pp2pppp/1qp2n2/8/3P4/2N2Q1P/PPPB1PP1/R3KB1R w KQkq -,f3d3
6k1/4q2p/2pp1np1/5r2/1PPb1p2/2N4P/3N1PB1/2Q2RK1 w - -,d2f3
r6k/p2n1p2/1p1p1q1p/2pP2r1/2P1PQ2/2PN1PRb/P3B2P/1R5K b - -,g5h5
rnb2Nk1/8/3pp3/p1p2Pp1/2P5/p2B4/Rb1N1PPP/5RK1 b - -,g8f8
r1bqkbnr/pp2pppp/2n5/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3:c2c3:f1e2:b1c3
8/2p1r1k1/bp1p2p1/p2P1p1p/2P1rP2/P3NRPP/4PK2/2R5 w - -,c1c2
3r1rk1/1p2npp1/pqn4p/3p4/6b1/1NPB1NP1/PP3PP1/R2QR1K1 w - -,d1d2
2r1rbk1/1pqb1ppp/p5n1/3p1N2/3B4/2PB3P/PP1Q1PP1/R3R1K1 b - -,e8e1
1r6/4k3/6p1/3r2p1/1p6/1P5P/P3B1P1/5R1K w - -,e2c4
r2qkb1r/pp1bpppp/2n2n2/1Bpp4/5P2/1P2PN2/PBPP2PP/RN1QK2R b KQkq -,d8b6:e7e6
4r1k1/pp5p/6p1/2p2p2/2Pb4/PP3RP1/2PBr2P/3R3K w - -,c2c3
8/4k3/R7/3K4/4P1r1/8/8/8 b - -,g4g1
2b1r1k1/3n1p2/2p1q1p1/pp2b2p/4PP2/P1N1B1P1/1P3Q1P/3R1BK1 b - -,e5c3
8/7p/1r6/1P4R1/2P1p3/6P1/3BK1k1/8 b - -,h7h5
8/3k4/6Kp/p7/2PB4/8/3b4/8 b - -,d7c6
2r3k1/2B3pp/2q1p3/2Pp1p2/4r3/2R1P2P/5PP1/1R1Q2K1 b - -,c6c7
8/p3Q2p/2P1p1pk/3p4/3P1q2/5P2/P3p1KP/8 w - -,e7e6
8/5p2/3k4/1R1P4/3n3r/2B2P2/5K2/8 w - -,c3b4
r2q1rk1/pp2b1pp/n1pp1nb1/3Pp3/1PP1p1P1/P1N3NP/5PB1/R1BQK2R b KQ -,c6d5
r1b2rk1/ppq2ppp/2n1pn2/2p5/3P4/P1P1PN2/B4PPP/R1BQ1RK1 b - -,e6e5
r2qk2r/ppbb1ppp/2n1p1n1/3pP1B1/8/1NPB1N2/PP3PPP/R2QR1K1 b kq -,d8c8
r3kb1r/ppp2ppp/2qp1n2/4p3/3P4/4BPP1/PPP1P1BP/R2Q1RK1 w kq -,e3f2
r1bq1rk1/p3bppp/P1n1pn2/3p4/5B2/2PQ1NP1/3NPPBP/R4RK1 b - -,f6d7
8/2q4k/pnPppb1r/8/5P2/6B1/1P1QB1K1/2R5 w - -,e2a6
8/4b1p1/2k1p3/1pp1P1p1/p3p1P1/P2rP2P/KR1B1P2/8 b - -,c5c4
r2q1rk1/p2n1pbp/1p2p1p1/3b4/3N4/1P1BP2P/PB2QPP1/2R2RK1 b - -,a8c8
8/5p1p/ppb5/7k/P7/1R3P2/7P/3nK3 w - -,b3b6
3r1rk1/p2q1pbp/1pQ3p1/3NP3/5Pn1/3bB1P1/PP4BP/3RR1K1 b - -,g4e3
r2b4/r1p5/1p1p2k1/PP1Pp2p/4P3/R4KP1/8/R3B3 b - -,b6a5
r1b2bnr/ppkn3p/2p2pp1/4p3/2B1P3/2N1B3/PPPRNPPP/2K4R b - -,f8h6
r1bqkb1r/pp4pp/4np2/2p1p3/3nN3/3PBNP1/PP2PPBP/2RQ1RK1 b kq -,f8e7
5rk1/5qp1/p3p1pp/1p2Pb2/3P3P/P3B1Q1/1P3RP1/7K b - -,f7b7
7r/8/8/1k6/3NK3/8/8/2R5 b - -,b5b4
2r2r2/p4p1k/1n4pb/2N4p/1P5P/3P2P1/P3PPB1/BR4K1 w - -,a2a4
rnb1k2r/2p1p1bp/1p1q2p1/p2p2P1/3P4/1N6/PPPQ1PP1/1K1R1BNR b kq -,a5a4
r2q1rk1/4p1bp/1np1Ppp1/p7/p1PP1B2/2PB1P1P/4Q3/R4RK1 b - -,a8c8
rn1q1rk1/p1pp2pp/1p2pb2/5p2/2PPb3/1P3NP1/PB1QPPBP/R4RK1 b - -,d7d6
r2qkbnr/pp2p3/2n1p3/3p1pNp/3P1P2/N1P5/6PP/R1BQK2R w KQkq -,a3b5
4r2k/2qr1ppp/2pR4/1pP1P3/4PP2/2Q3P1/7P/4R1K1 w - -,e1d1
7k/r4p2/1pBp3p/1PpPp1bP/n1P1P3/1R4P1/2Q2PK1/q5N1 w - -,g1f3
2r2rk1/pp3pp1/2b4p/8/3P4/8/PP1KBPPP/R6R w - -,f2f3
1r1q4/2p1b2Q/pp1p1kn1/3Ppp2/1PP5/2N1B3/P7/2K4R w - -,e3g5
1n1br1k1/2r2p1p/RNbp2p1/4pPP1/2n1P3/1pP3N1/1P4BP/2B1R1K1 b - -,c4b2
r6r/kp5p/2pqN3/p2p1BQ1/3P2P1/4P3/P3K3/1R6 w - -,g5g7
4n3/3k2p1/4NpP1/1p2pP2/1P2P3/8/4K3/8 b - -,d7c6
r1b2r1k/4b1pp/p3p3/3pPp1P/1q1P1Q2/1n1B1NR1/1P2NPP1/3R1K2 b - -,c8d7
8/3n1k2/2pP2pp/Pp3p2/3B1P2/1P3KP1/7P/8 b - -,d7b8
1r2r1k1/p1R2ppp/qp2pn2/7b/1Q1PN3/P5PP/1P3PB1/R5K1 w - -,e4f6
5r2/2q5/1b2kp2/p6Q/PpP1p3/1P4PP/7K/5R2 w - -,h5d5
1r1q1rk1/3p1pbp/b1nN1pp1/8/1ppP4/5NP1/PPQ1PPBP/1R3RK1 b - -,b4b3
3Q4/8/8/1p1n3p/p2P3k/P4qp1/1P3P2/6K1 b - -,d5f6
8/6kp/2p5/2n2p2/2B2R2/2r4P/8/6K1 w - -,c4e2
4B3/5P2/7p/2k4P/P1p5/5r2/K7/8 w - -,a4a5
1r2rbk1/2qn1ppp/p2p4/1b1Pp3/1Rp1P3/B1P4P/P1BNQPP1/R5K1 b - -,d7c5
r3r1k1/p2p1p1p/np2b1p1/P3p1BN/n1P1P3/PR6/2B2P2/4K1R1 b - -,g6h5
4r3/pR5Q/3kn3/3pq3/8/8/P5P1/3Rr1K1 w - -,d1e1
6k1/p1R1p3/8/3P4/3b4/8/P4r1P/4KB2 b - -,f2a2
4rr1k/ppp1q1pp/5n2/4pb2/2P5/2PQ2P1/P3PPBP/4RRK1 w - -,d3f5
3rb1k1/2R5/6rp/R1N3p1/3pPp2/1P3P1P/6P1/4K3 w - -,e1d2
2rqr1k1/pb3ppp/1p2p3/3nP3/1b2N3/1P6/PB2RPPP/2RQ1BK1 b - -,d5f4
r7/pnk1r1b1/2pN4/1pP1p2p/1n5P/1B2B1R1/PP4P1/2K2R2 w - -,d6f5
r2q1r2/pp2ppkp/1n2b1p1/4N3/8/3B1n1P/PP3PP1/R2QR1K1 w - -,d1f3
2b2rk1/5ppp/2pbpn2/1p1p4/1n6/2N1P2N/1B1PBPPP/R5K1 w - -,h3g5
6k1/3b1p1p/p1q2pn1/1p6/4P3/1P1Q2R1/P5PP/5B1K w - -,d3d4
1r3rk1/2q2pbp/4pnp1/nbp5/1p2PN2/1P4P1/PB2QPBP/R2NR1K1 w - -,e2c2
r1br2k1/ppqnbppp/2p1pn2/3p4/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 b - -,b7b6
2k2r2/1b2b3/4Q2p/1p4p1/2p1p1P1/2P1N3/1P1q1PP1/1B3K1R b - -,c8b8
8/2R1pq1k/5bpp/3p4/4Q3/6P1/5P1P/6K1 w - -,e4e2
