3Q4/5pk1/1p6/p3P3/4K3/5P2/1P6/6q1 b - -,g1e1
2rq1rk1/1p1bbppp/pn2p3/3pP3/Pn1P1P2/1P1BBN2/3N2PP/2RQ1RK1 w - -,d3b1
4r2r/1p2Qpk1/pq4p1/3pn3/5RP1/1P6/P3N2P/R6K w - -,e7b4
8/8/8/2R5/1P6/1k4P1/2p1KP2/1r6 w - -,f2f4
rnb1r1k1/ppq2pbp/3p2p1/2pP2B1/2P5/3B1N1P/PP3PP1/R2Q1RK1 w - -,d1d2
2r3kb/1p3q2/pn3p1P/3p1Qp1/3P2N1/1P5P/1P2RP1B/2r1R1K1 w - -,g1g2
r2r2k1/ppqnbpp1/2p1pnp1/6B1/1P1P4/P1N3PP/2P2PB1/1RQ2RK1 w - -,f1d1
6k1/5p2/4p1p1/2P4p/P4P1P/4QK2/2q5/8 b - -,c2a4
2r2rk1/n1pqppb1/1p4pp/p2PP3/Pn5P/1Q2BN2/1P2NPP1/2RR2K1 b - -,f8d8
2rqk2r/pb1nbppp/2p1pn2/1p6/3P4/2NBPN2/PPQ2PPP/R1BR2K1 b k -,a7a6
2k2r2/pp2bpp1/2p1p2p/3r1q1P/3Pn3/1Q2BN2/PPP2PP1/K3R2R b - -,d5b5
3r1r1k/pb3p2/1p2p2p/2p5/3p1nP1/P2P1N2/1PP2P2/R3R1KB b - -,f7f6
r3k1nr/ppq2ppp/2nbp3/3p3b/3P4/2PB1N1P/PP1N1PP1/R1BQR1K1 b kq -,g8e7
r5k1/1p2rppp/p1p2n2/3p3b/N2P4/3BPP2/PP4PP/4RRK1 w - -,g1f2
r1b1r1k1/1p3ppp/pq6/2pPnP2/P3P3/8/N2NQ1PP/2R2RK1 w - -,g1h1
8/6kp/1p4p1/p1P1R3/P7/1r6/6PP/4K3 b - -,b6b5
r2q1rk1/p4pb1/2pp2p1/4p1Pp/3nP3/4QN2/PPP1NPP1/2KR3R b - -,c6c5
3r3k/8/p4bp1/5p2/qPP1pB1P/3r3P/4QPB1/1R5K w - -,h1h2
6k1/p3qpp1/1bp1r2p/3p4/8/1PPQ2P1/P4PKP/1N3R2 w - -,b3b4
2rq1rk1/1p1n1pbp/p2p1np1/P2P4/2p1P3/2N5/1PQB1PPP/R3RBK1 w - -,a1a4
3k4/7R/r7/pN1ppPPP/n1p5/2P1K3/P7/8 w - -,g5g6
bqr1n3/4rpkp/ppnpp1p1/8/P1PNPP2/1PN1Q2P/6P1/2RR1BK1 w - -,d4f3
8/1p3k2/3p4/p1n1r1P1/P1P5/1Pb5/5B1P/5RK1 w - -,f2c5
2r2k2/1p1qpp2/p3bb2/4p3/2PnP1p1/1P4B1/P1NQBPP1/2R1K3 w - -,c1d1
1qr2rk1/3n1pp1/pb1p1nP1/1p2pPN1/2P1b3/2N1B2B/PP2Q3/2R1R1K1 b - -,e4a8
r2qk2r/pp1n1pp1/2pbp1p1/3n4/3PN3/3Q1N2/PPPB1PPP/R3K2R b KQkq -,d6c7
r3r1k1/ppp2pbp/1n4p1/8/6P1/1PN1PBP1/P4P2/R1BR2K1 b - -,g7c3
r2q1rk1/ppp1bppp/2npBn2/4p3/4P3/2P2N1P/PP1PQPP1/RNB2RK1 b - -,f7e6
rrb3k1/4ppbp/3p1np1/q1pP2B1/n3P3/2N2P2/PP1QB1PP/1R1N1RK1 b - -,c8a6
r1bq1rk1/pp2ppbp/5np1/4Q3/8/2N5/PPP1BPPP/R1B2RK1 w - -,f1d1
2b1r1k1/1p1p2b1/1p1Rpqpp/4Nn2/4Q3/2P4P/PPB2PP1/4R1K1 w - -,d6b6
r1b2rk1/p1p1qppp/1p1p4/4n3/2P2B2/P3P3/1P1QBPPP/R4RK1 w - -,f1d1
2bq1br1/3k1p1p/2np4/3Npp2/4P3/2P5/P4PPP/R2Q1RK1 b - -,f5e4
8/2k1r1pp/2n2p2/pp6/8/P2R1N1P/1P4P1/5K2 w - -,b2b3
4rk2/PR3p1p/8/4nRK1/2r5/P7/7P/8 b - -,c4a4
r1b2rk1/pp1nppbp/3p1np1/2q5/P3P3/2NB1N1P/1PPB1PP1/R2Q1RK1 b - -,c5c7
r2q1rk1/1b3pbp/1p2p1p1/p2p3P/1n1P1PP1/3BBN2/PPPQ4/2KR3R b - -,b4a2
r3Qrk1/pp2bpp1/4pn1p/2p4P/n2P4/5N2/PPPB1PP1/1K1R1N1R b - -,f8e8
R7/3k1K2/5P2/8/8/8/8/6r1 b - -,g1g2
8/8/8/8/1R6/K1R3Pk/4q3/8 b - -,e2a6
8/b6p/2k3p1/P4p2/2K1p3/1N2P1P1/5P1P/8 w - -,b3d4
8/2R5/p3ppk1/r4n2/4N3/5P2/5K1P/8 w - -,e4c5
8/3pk3/p1b2p1n/1p2pPrN/4P3/1PPK3p/P5R1/3B4 w - -,g2g5
1r3rk1/p3q2p/b2p2p1/3P1pN1/P4P2/1np3P1/4PQBP/3RR1K1 w - -,e2e4
8/2p2rp1/1p1p1k1p/1P1R1P2/5K1P/8/8/8 b - -,f7e7
2b1r1k1/Rq5p/3p2p1/1pB1bp2/8/1NP5/1P4PP/3Q2K1 b - -,b7e4
2rqrbk1/p4p1p/1p4p1/nQ2P3/3p1P2/6P1/RB1N2BP/3R2K1 b - -,d4d3
r1b2rk1/ppn2pb1/3p1qpp/1BpPp2n/4P3/1NP1BNPP/PP3P2/R2QR1K1 w - -,b5f1
rn2kb1r/ppq1pppp/2p2n2/4N1B1/3P4/2N5/PPP1QPPP/R3K2R b KQkq -,e7e6
2r1nrk1/bpqb1ppp/p2pp3/4n3/P3PB2/1NN3Q1/1PPRBPPP/5RK1 w - -,f1d1
2k5/4bn1p/1KPp2p1/3Pp3/1B2P3/5N1P/6P1/8 b - -,e7d8
r1b1r1k1/2q1bppp/ppnppn2/6P1/P3PP2/1NN1B3/1PP1B2P/R2Q1RK1 b - -,f6d7
2brqrk1/npp1ppbp/p2n2p1/P2P4/1R1N4/1P1N2P1/1BQ1PP1P/3R2KB b - -,a7b5
8/1p6/p1b2k2/1r4p1/2B3P1/1P3P2/4RK2/8 b - -,b5e5
8/5pp1/4p3/4P1Pp/p3kP1P/P1K5/8/8 w - -,c3b4
rn2kb1r/1bq2ppp/p2ppn2/1p6/3NPP2/P1NBB3/1PP1Q1PP/R3K2R b KQkq -,b8d7
2r3k1/3n1pp1/3r3p/1B2p3/2P1P3/4BP2/6PP/5RK1 b - -,d7c5
5rk1/p4pb1/2R2np1/6q1/2B1p3/1P2PrP1/PB2Q2P/5RK1 b - -,f6h5
r4rk1/1p3bpp/1qp2p1n/2bp1P2/1p2p1P1/P3P3/1B1N2BP/RN2QRK1 w - -,h2h3
5rk1/1p1nQ1pp/1qp1b3/p7/2P2P2/P1N4P/1P1RB1P1/7K b - -,e6f5
3q1bk1/p4bp1/1p1P2p1/3PQpP1/7P/6B1/PPr3BK/5R2 b - -,d8d7
r4rk1/1p1qnp1p/p1n1pQp1/3pP3/8/2N5/PPP1NPPP/R4RK1 w - -,g2g4
8/7p/p2k4/np3p2/5P1P/PP6/2K1N3/8 b - -,d6d5
6k1/p5p1/4p1p1/1p1r4/1P1BNP2/P5P1/2K4P/8 b - -,d5d4
r1b1k2r/1pq1bppp/p1nppn2/8/4PP2/1NNBB3/PPP3PP/R2Q1RK1 b kq f3,e8g8
r1rq2k1/3n1p1p/2ppb1pb/n7/2PPPp2/3B1N1P/2QBN1P1/R3R1K1 w - -,e2f4
8/3R4/3R1p1k/P6P/8/4pK2/3r4/8 b - -,e3e2
8/8/7p/6p1/4k1PP/4p1P1/4K3/8 w - -,h4h5
r4r2/p1pbq1kp/1p1p1np1/3Ppn2/2P1N3/3B1PN1/PP1Q2PP/1K3R1R b - -,h7h6
5rk1/p1qn1ppp/1p2p3/1P2P3/P7/2r3P1/4QP1P/RB3RK1 w - -,f1e1
r2qr1k1/1pp3p1/p1n2bpp/3p4/3P2P1/2N1PN1P/PP3P2/2RQ1RK1 w - -,d1b3
8/8/K2pk3/2p2p2/1r6/1P2b3/8/7R b - -,e6e5
7r/4K3/8/3RN3/kpP1Pp2/p7/P7/8 w - -,e5c6
r1bqkb1r/pppn1ppp/3p1n2/8/2BNP3/2N5/PPP2P1P/R1BQK1R1 b Qkq -,d7b6
r2k3r/ppqB1b1p/2n2p1b/2Np4/1P1P2P1/P3Pp1P/4Q3/R4RK1 w - -,e2f3
r1bq1rk1/1pp3bp/8/p1pPpP2/2P1N3/7P/PP2BP2/R2QK2R b KQ -,c8f5
rq2r1k1/p2n1ppp/2n1p3/1p1p4/3P4/2PB1QNP/PP3PP1/R3R1K1 w - b6,a2a3
r1bqk1nr/1p3pbp/p2pp1p1/2p1P3/4NP2/3B1Q2/PPPP2PP/R1B2RK1 b kq -,g7f8
r4rk1/pp1q1bpp/1bpp1n2/8/2P2P2/P3NB2/1P1QN1PP/2R2R1K b - -,f8e8
r1b2rk1/pp2qpp1/2pbpn1p/8/3P3Q/3B1N2/PPP2PPP/R1B1R1K1 b - -,f6d5
r2q1rk1/pb1n1ppp/B1pbpn2/8/R2P4/5NN1/1PP2PPP/2BQ1RK1 b - -,d8c8
r3r1k1/p4ppp/np2qn2/3p4/2pP4/P1P1PP2/3NQ1PP/R1B2RK1 w - -,f1e1
1r3k2/3n1p1p/p1RN2p1/2n5/6P1/2N5/P3KP1P/8 b - g3,b8b2
1r3rk1/1p2q1b1/1Np1b1p1/2P1p2p/4PnP1/Q6P/PP3PBN/R4RK1 b - -,e7h4
2r1rnk1/1pq1bppp/p1b1p3/3pP3/8/2P1BN2/PP2QPPP/1B1RR1K1 w - -,e3f4
r2qr1k1/1p1n1ppp/p1pbp3/8/2PPQ3/1P3N2/PB3PPP/3R1RK1 b - -,d8c7
r1b3k1/pp2p2p/4p1p1/5q2/NP1b4/PQ4P1/5PBP/5RK1 w - -,b3c4
3r1q1k/pP5p/1bQN4/4p3/2P5/3b1BP1/PP3PK1/R7 w - -,c4c5
6k1/2R2pp1/7p/8/4P3/5P1P/1r4P1/6K1 w - -,g1h2
6k1/5p1p/2Bn2p1/3P2P1/4pK1P/Prp1P3/8/3R4 b - -,b3a3
5rk1/1p3p2/b2Rp1p1/p1r1P1q1/P1p5/2Q3P1/1P2PPB1/R5K1 w - -,f2f4
2kr3r/1bqnbp2/p2ppp2/1p5p/3NPPP1/2N2Q1P/PPP3B1/2KRR3 w - -,f3e2
1r4k1/4qrPp/6p1/Qbb5/2R1P3/1P3P2/NPP5/1K5R w - -,c4c3
rn1qk2r/1p1bppbp/p2p1np1/8/3NP3/2N1BPP1/PPPQ3P/R3KB1R w KQkq -,d2f2
6k1/1r1bpp2/p1Np2p1/3P3n/2p1P1P1/2P2P1P/R3QB1K/5q2 b - -,f1e2
5rk1/ppbr2p1/2p1pp1p/4P2P/3P4/2P2N2/PP4P1/1K2R2R b - -,f6e5
6k1/5pp1/r2B4/3PPq1p/p4P2/Rr5P/3Q2P1/7K b - -,f5e4
8/R6p/5ppk/1p3n2/5q2/1r3P2/6QP/5R1K w - -,a7f7
r4rk1/p1q1bppp/2ppbn2/4p3/N1P1P3/1P1B1P2/PB2Q1PP/R4RK1 b - c3,f6h5
8/2Rn1r2/1p1B2k1/p2p2pp/P2P4/6P1/7P/6K1 w - -,g1g2
r2q1rk1/1b1n1pp1/p1pbpn1p/1p4N1/3P4/2NBP3/PPQB1PPP/2R1K2R w K -,c3e4
r3kbnr/pp1b1ppp/1qn1p3/2ppP3/3P4/P1P2N2/1P3PPP/RNBQKB1R w KQkq -,b2b4:f1e2
r2qr1k1/pn3ppp/1p2p3/1NnP4/8/B1P1Q1P1/P2RPP1P/R5K1 b - -,e6d5
8/4B2p/5pp1/4p3/2k3P1/4PP2/1nK4P/8 b - -,b2d3
1r4k1/1q2pp1p/3p2p1/2pPb3/4P3/2P2PP1/P1QB3P/5RK1 b - -,h7h5
r6r/ppp2p1p/2nkb3/8/3p1N2/8/PPP2PPN/3RR1K1 b - -,a8e8
1r3r2/R1R3bk/1p1p2pp/1P1Pp2n/4P1q1/1Q1P2P1/1B1N1PK1/8 b - -,g4e2
r1bqk1nr/pp2bppp/2n1p3/3pP3/8/B1P2N2/3P1PPP/RN1QKB1R w KQkq -,d2d4
4r1k1/p5pp/2n5/1q3p2/2pBp1nP/6P1/PPQ1PPB1/3R2K1 w - -,g2h3
r2qk2r/p1nbb1pp/2n2p2/1pp1p3/2N2P2/2NP2P1/PP2P1BP/R1BQ1RK1 w kq b6,c4e3
b4rk1/2p2ppp/1bnn4/3N4/1P4N1/1B4P1/1P3P1P/2B1R1K1 w - -,d5b6
8/5k2/3R2pb/8/4K3/6P1/8/8 b - -,h6c1
r3kb1r/1bq2ppp/p1npp3/1pn5/4PPP1/1NNBB3/PPP2Q1P/1K1R3R b kq -,c6b4
1q4k1/5ppp/1p3n2/1N6/2P5/4p1PP/1P2PP2/3Q2K1 w - -,d1d4
8/6k1/1P1N2p1/4P3/4P3/6KP/6P1/r7 b - -,a1b1
2R5/2n5/1k6/4Pp2/8/K6P/8/8 w - -,h3h4
r1b2rk1/1pq3bp/p1n1p3/2p2pPQ/2P2P2/2NBB3/PP5P/2R2RK1 w - -,f1f3
2r3k1/8/3n2p1/2pP1p1p/p1P1pP1P/2q3P1/1bN1B3/3Q2RK w - -,e2h5
2rr2k1/1p2npb1/p1qp2p1/2n4p/2PNPp2/1PN2Q1P/P2R1BP1/3R2K1 b - -,c6e8
4r3/ppqb2bk/2p3pp/2Nn1p2/2P5/3B4/P1PB1PPP/3R1QK1 b - -,d5f6
r1r5/4kppp/2n1p3/Pp1pP3/2b2PP1/P3KB2/1B5P/2R4R b - -,a8a5
r7/2b4p/3pkpp1/2pR2P1/R1P1PP1P/2B5/2K5/8 b - -,a8a4
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,f8e7:d7d6
r1b2rk1/2q1bppp/1n2pn2/p1p5/8/4PN2/PPQNBPPP/R1BR2K1 w - -,b2b3
6r1/1p2k2R/p2p4/2pPpn2/2P1N3/6P1/PP1K4/8 b - -,g8g7
4r1k1/1b3ppp/p2q1b2/5P1Q/1r1pp3/P5P1/1PP1B2P/1R1N1R1K b - -,d4d3
rqnr2k1/5pp1/p1b1p2p/1pQ5/4P3/1B4N1/PP3PPP/2R3K1 w - -,c5c6
r1r5/5pkp/p4np1/4N3/1P6/8/2Pp1PPP/R2R2K1 b - -,c8c2
4R3/7p/3b4/5p2/2kB1Pn1/7r/4K3/8 w - -,d4e5
1k1r3r/np4p1/pNb2p1p/P1R1pP2/1P1pP1P1/3P4/3BK2P/2R5 b - -,a7c8
2kr1b1r/1p3ppp/p3p3/q1Pp4/2n5/2N4P/PPPBQPP1/R3K2R w KQ -,c3e4
rnbq1rk1/ppp3bp/3p1np1/4pp2/2P5/2NPPNP1/PP3PBP/R1BQ1RK1 b - -,b8c6
r4rk1/1b3ppp/pb2pn2/1pn5/3N4/4PP2/PPBBN1PP/R2R2K1 b - -,f8d8
3k4/6R1/7p/3P1p1P/1PK3P1/5r2/8/8 w - -,g4g5
1R3b2/3kp1p1/5p2/3P4/3r3p/7P/5PP1/6K1 w - -,b8f8
6k1/1N3ppp/P2p3r/2pPb3/6K1/1P1n1R1B/r7/1R6 b - -,d3f2
r1b2k1r/pp1q1p2/2p1pn2/5p1p/3P4/1B3Q2/PPP1NPPP/R4RK1 w - -,c2c4
r2qk2r/pp1nbppn/2pp2p1/4p3/2PPP3/1QN1B3/PP2BPPP/R3K2R b KQkq -,d8b6
4k3/3q1pb1/1p1pb3/1P3p2/2r4B/7P/3Q2P1/2R2RK1 w - -,c1c4
4kb1r/r4p2/1n2p3/1b1pP1Bp/qPpP3P/p1Q3R1/P4PBN/1R4K1 w k -,g5f6
2r1r1k1/3q2pp/4p3/pP3p2/1n1P4/1P3PP1/3RQNKP/3R4 b - -,b4d5
rn1qk2r/pbppppbp/1p3np1/8/3PPP2/3B4/PPP1Q1PP/RNB1K1NR w KQkq -,g1f3
8/p4pk1/2p1r1p1/7p/3q4/2N2NP1/PP3K1P/8 w - -,f3d4
2r2rk1/ppNb1p1p/1n4pn/3P4/6P1/5N2/P4PBP/2R1R1K1 w - -,h2h3
6r1/pkp5/1pq2r1p/n2p1p2/P1PP3p/3PNQ2/5PP1/1RR3K1 b - -,f5f4
r1b3k1/1p5p/2p1r1p1/p1np4/P2R1PP1/2N3P1/1PP1BK2/4R3 b - -,c8d7
8/6KP/8/4pk2/5p1r/8/5R2/8 w - -,h7h8q
r1q2rk1/1pp1b1pp/1n2bp2/pP2p3/3n4/P1NP2P1/1B1NPPBP/R2Q1RK1 w - -,e2e3
2rr3k/1p3qpp/3p1pb1/pPb5/P7/4P1PP/1Q1RNPB1/R5K1 w - -,e2f4
5rk1/1b2bppp/p3pn2/8/Pq1Q4/3BBN2/1r3PPP/R4RK1 w - -,f1b1
r6k/pRp3pp/1bB1Nr2/7b/5B2/8/P1P3PP/5R1K b - -,f6e6
8/3P1ppk/1br4p/8/1Q3RPq/8/5PK1/5R2 b - -,c6g6
8/6p1/1prrp2k/p1P1R2p/3P4/2K4P/4R1P1/8 b - -,b6c5
rn2k2r/pp2ppbp/1q4p1/3p1N2/2pPnB2/2PBP3/PPQ2PPP/RN2K2R b KQkq -,g6f5
8/b7/P7/5p2/RP1rk2p/7P/7K/8 w - -,h2g2
brr3k1/q2nppn1/p2p2pp/P7/4PPP1/2NQ3P/2P1N1BK/R4R2 w - -,f1b1
r2qr1k1/5pp1/p2p1n1p/1p1P4/bp1NP3/3R3P/1B3PP1/2Q1R1K1 b - -,e8e4
rn1q1rk1/pb1p1ppp/1p2pn2/8/1pPP4/1P1Q1NP1/P3PPBP/RN2K2R w KQ -,b1d2
2b5/4k3/4p1p1/2b1Pp1p/2BN1P1P/2P3P1/2K5/8 w - -,c2b3
2r3k1/1b2pp1p/1q1p2p1/p7/4PP2/1P4PP/P1RQ2BK/8 w - -,c2b2
1R6/4p3/3pk3/p4r1p/P7/4K1P1/1P3P2/8 b - -,f5e5
r4rk1/bppq1pp1/p1np1n1p/3N4/1PPp4/P3PNP1/1B3PKP/2RQ1R2 b - -,f6e4
rnb2rk1/ppp1qppp/3p1n2/4p3/2PP4/P1N2NP1/1P1QPPBP/R3K2R b KQ -,f8e8
1r4k1/p4ppp/1p2pb2/8/8/3N2P1/PP2PPKP/2R5 w - -,b2b4
rn1qkb1r/ppp1pppp/5n2/5b2/3P4/1Q3N2/PP1NPPPP/R1B1KB1R b KQkq -,d8c8
1r4k1/5ppp/p2P4/3NP1P1/3K1P2/8/1q6/5Q2 w - -,d4c5
r4n1k/pb4p1/1p3Q1p/2pp1B2/3P4/6P1/PP1N1P1P/2R1r1K1 w - -,c1e1
4Q1k1/5p1p/2Pq2p1/1P1n4/3P1P2/7P/6P1/7K b - -,g8g7
r3q1k1/1p2rpn1/2pR2pQ/2P2b1p/1PB5/p4N1P/P4PP1/3R2K1 b - -,g7e6
8/4k1p1/3p3p/2b5/5NP1/n4K2/5P2/4B3 w - -,f3e4
r3r1k1/ppp2pp1/2n2b2/5q1p/2QP4/2P3BP/P4PPN/R3R1K1 w - -,h2f1
8/5p2/p1p1kb2/1pB2p1p/2pP1P1P/2P3P1/PPK5/8 w - -,c2d2
3rk2r/pp3pp1/2p1pn1p/q6P/P1PPnB2/Q5N1/1P3PP1/R4RK1 w k -,b2b4
6k1/1r4p1/5p2/7P/3P4/4N1P1/5PK1/8 w - -,e3f5
3r2k1/1bb2pp1/p4q1p/2p1p2P/Pp1r1P2/1P1B2PR/1NPPQ3/1K1R4 b - -,e5f4
2r5/1R3pp1/4p1k1/4P1bp/1nbB4/1p4PP/7K/1R6 b - -,b4c2
4b1k1/q4p2/4p1p1/3pP1P1/5b2/3B4/4Q1K1/7R b - -,a7d4
5R2/8/1pr2k2/2p1b3/2B1Pp2/5K2/5P2/8 b - -,f6e7
r5k1/pQ5p/3pr1q1/5p2/8/4B2P/P4PP1/3R2K1 b - -,a8f8
5k2/8/3b1p1p/1p6/1Pb1PP1P/3p1B2/r2B4/1R2K3 b - -,f8g7
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq -,d4e3
r2q2k1/2p1b1pp/p1Ppb3/4pr2/Q1P2n2/4BN2/PP1N1PPP/R4RK1 w - -,b2b4
