8/8/6k1/8/7B/5K2/8/8 w - -,h4g5
r5k1/pp2rpp1/2p2n2/3p1n2/3P1P1p/PP2PP2/R4K1P/2B1RN2 w - -,c1d2
8/1p3r1p/p7/4k1PP/4b1Q1/8/PP6/6K1 w - -,g4g3
r3r1k1/1p3p1p/2pb2p1/3p1bq1/1P1P4/3Nn2P/1N1Q1PP1/RR3B1K b - -,a8a1
4kb1r/1p1q1ppp/p3p3/3pPn2/N2P4/P1Q2P2/1P1KBP1P/7R b k -,d7a4
2k4r/Q1q1bppp/2p1p3/4P3/2P5/7P/P4PP1/3R2K1 w - -,a7a8
r2qk2r/1p3p1p/2pbP3/p2n4/P2P4/1QN2P2/1P5P/2KR1B1R b kq -,f7e6
8/5k2/4p1p1/pp2P3/3P4/P1P1n3/2K5/6R1 w - -,c2d3
3rnbk1/p1p2p1p/1pnr1Pp1/4p1P1/2q1P2P/1NP5/PP2B1QK/R1B2R2 b - -,c4a4
r1bqk2r/1p1n1ppp/p1pbpn2/3p4/2PP4/2N1PN2/PPQ1BPPP/R1B2RK1 b kq -,d5c4
r3k2r/1pp4p/p1npb1p1/4q3/4P3/2P1B3/P2Q1PPP/RN2R1K1 w - -,d2d1
nrb2k2/6bp/p2p2p1/3Npp2/4P2P/6P1/P4PB1/R4RK1 w - -,a1b1
8/4q1k1/8/5Qp1/5nP1/5PK1/8/8 b - -,e7e1
8/3k4/1p1b4/3p1p1p/3PnPp1/1P1NP1P1/6K1/4B3 b - -,d7e6
n7/1q3nk1/3p1pp1/QppPp3/4P2P/1PP2NP1/5PK1/1N6 w - -,f3d2
4kr2/3npp1Q/2p3p1/3nPbN1/3PN3/Pq1B4/1p4PP/1K1R3R b - -,b3a3
r1bq1rk1/pp3ppp/2n1p3/3pP3/2PBn3/1QN5/PP2BPPP/R3K2R w KQ -,a1d1
8/8/5pk1/3B1p2/1R2pb2/7r/P1P2K2/8 b - -,h3h2
r2r1k2/pp3pp1/2p1q1Np/2b4P/6P1/8/PPP1QP2/1K1R3R b - -,f8g8
r1bqr1k1/1p1n1pbp/p1p1pnp1/3p4/PPPP4/BQN1PN2/4BPPP/R4RK1 b - -,b7b6
4k3/p2r4/R6N/1p2p1N1/1Pnn3P/6P1/5K2/8 b - -,c4b6
r1b2rk1/1p2bppp/p3p3/q6n/3N4/2N1BQ2/PPP2PPP/3R1RK1 b - -,h5f6
rnbqk2r/2p1bppp/1p2p3/p2pPn2/5P2/P4N2/1PPPB1PP/RNBQ1RK1 w kq -,d2d4
r2qr1k1/3b1pp1/p2p1n1p/2pPn3/7B/3BP3/P3NPPP/2RQ1RK1 w - -,e2c3
8/8/1p2k1p1/p2p4/P2P1bPp/1P3K2/5PB1/8 b - -,f4d2
3rr2k/2q1b1pp/2p2p1n/2p5/PB1PP2P/2NR3Q/6P1/3R2K1 w - -,b4c5
3r1rk1/pb2b1pp/1pn1p3/5pN1/P1P4P/6P1/1PPq1PB1/R2QR1K1 w - -,g5e6
8/2k1r1b1/p2p3p/2pP1R2/KP6/4r3/2PN2PP/3R4 b - -,c5b4
6k1/5p2/pr4p1/2r1n2p/2pN4/P3PPK1/2R3PP/2R5 w - -,f3f4
1k6/ppp4p/6p1/3P4/1bP2R2/1P3P1P/5PK1/4r3 b - -,b7b6
6k1/4qpb1/3N1p1p/1pPP2p1/rP2P3/3QB1P1/7P/n4RK1 b - b3,a4a2
1k6/1p6/3p1P2/3Pn1B1/7P/1R1pK3/5rr1/1R6 b - -,f2f3
r3kb1r/3n1ppp/pq3n2/3ppPB1/Pp6/3B4/NPP1QPPP/R4RK1 w kq -,c2c4
5rk1/1qrNppbp/4b1p1/1Q2p3/4P3/4B3/P3BPPP/1R1R2K1 b - -,b7b5
2r3k1/4r3/1q4p1/1p1p1nP1/p3p3/1N6/PPB4Q/1K2R1R1 w - -,g1h1
7k/p4p1p/1p1p1q2/2pN1n2/3bB3/3P4/PPP3QP/7K b - -,f6h4
2rq1rk1/pbnn1pb1/1pp1p1pp/8/P2PPB2/1QN2N1P/1P2BPP1/2RR2K1 b - a3,a7a6
6k1/R5pp/1p4b1/3PQ3/2PK4/8/5qPP/8 w - -,e5e3
rq3r2/1pb3k1/2p1p1p1/p1PpP3/3P1p2/1P1Q2P1/PB6/R4RK1 b - -,b8d8
5rk1/4npp1/5q1p/2ppN3/3P4/4P3/1Q2bPPP/5RK1 w - -,b2e2
1rb2rk1/5pp1/1qpp3p/p3p3/1P2P3/P2PP3/3QB1PP/R4RK1 b - b3,a5b4
r6r/ppp1k1pp/2nbpn2/4p1B1/4P3/5N2/PPPN1PPP/2KRR3 b - -,a7a6
8/5pbk/2p1pnpp/2Pp4/3P1PP1/p3P2P/PN2B1K1/8 w - -,b2a4
4rbk1/1p3p1p/pB4p1/P6q/2P4P/1P1Q1PP1/3R2K1/8 b - h3,f8b4
7k/2Q3rp/5p2/4p3/4q3/7P/6PK/8 w - -,c7d8
rnbqkb1r/pp3ppp/4p3/1NPn4/3P1B2/Pp3N2/5PPP/R2QKB1R w KQkq -,f4d6
r1br2k1/pp1pppbp/2n2np1/q7/2PN4/2N1P1P1/PP2QPBP/R1B2RK1 b - -,a5h5
2r1k2r/1b2qpp1/p3p3/3p2N1/5P1p/3RQ3/PPP3PP/2K1R3 b k f3,e8f8
r2qk2r/pp3p1p/2n2n2/2b1p3/1PN3p1/P3P3/4NP1P/R1BQK1R1 b Qkq -,d8d1
8/4k3/p6p/P1p2p1P/5P2/2KpP3/8/8 w - -,c3d3
1rr2k2/1p2ppb1/p2pb1pp/2nN4/2P1P1P1/1P2BP1P/P2KB3/2R4R w - -,c1c2
2b3k1/5p1p/p2p1Pp1/1p1P4/4P3/3q4/P1r3QP/5NRK w - -,f1g3
6k1/1q2pp2/3p2p1/p6p/5n1P/PPnNP1P1/2Q2P2/6K1 w - -,d3f4
8/4Rbk1/3q1p2/2p3p1/1p6/1P2Q3/5PPK/8 w - -,g2g3
8/8/8/p2b2kp/2p5/P3K1P1/1P2N3/8 b - -,g5g4
8/1k2bp2/ppn1p1p1/7p/PP3P2/1KPB2P1/7P/2B5 b - -,e7d6
5r1k/3q2bp/1pn1p1p1/2p5/p1P1Q3/P2PB1P1/1P3P1P/R4RK1 b - -,c6e5
8/1b6/4p1p1/4P1Pp/p4K1P/P1B5/5k2/8 b - -,f2g2
5r1k/1R5p/pn6/1n6/2p3Np/3p3P/1P3PP1/1B4K1 b - -,b6a4
8/2r5/4k3/4p3/1Pp1R2p/2K2P2/6P1/8 b - -,h4h3
r1b2rk1/ppq1p1n1/7Q/3pP3/5P2/2p2NPP/PP5K/2R2R2 b - -,c7b6
8/7p/p2p1k2/1p1P1n2/2p1KNbP/8/1P6/5B2 w - -,f1h3
5rk1/pp2pp1p/5bp1/q1p5/6P1/2P2P2/1P2QBK1/6R1 w - -,g1h1
1rR5/pB2rkbp/3qppp1/8/3P4/1Q4P1/PP3P1P/5RK1 w - -,c8b8
r2qnrk1/1b1n1ppp/p3p3/1pb1P3/3N1B2/P1N5/BPP1Q1PP/3R1RK1 b - -,d7b6
rqb3k1/5pbn/3p2p1/1P1P2Pp/1pp2P2/7P/RPQNP1B1/R6K b - -,a8a2
r7/2b4p/r2pkpp1/2pR2P1/P1P1PP1P/2B5/2K5/R7 b - -,a6a4
2r2r1k/1q3pp1/p2p3p/1P1Np1b1/4Q3/1P2P1P1/P2R1P1P/3R2K1 b - -,a6b5
k2r4/1p2q3/p3P1pn/3p2p1/3N2r1/1P1P2Qp/PBP3bP/1K2R1R1 w - -,g3e5
2r2rk1/1b4pp/pq2pb2/1pnp2B1/5P1P/3B2N1/PPPQ2P1/1K1R3R w - -,g3h5
r1bqk2r/pp3pp1/4p2p/2bn4/8/3B1N2/PPPB1PPP/R2QK2R w KQkq -,e1g1
r4rk1/1pp1q1bp/p1n1pnp1/4p3/P3P3/2N1BN1P/1PP2PP1/R2Q1RK1 w - -,d1d3
8/1p6/2bR4/2P5/pK6/8/2k5/8 b - -,c2b2
6k1/5nb1/p1r1pq1p/1p1p4/3P1BQ1/1P4P1/P4PK1/1B2R3 w - -,e1e3
6k1/p2bpp2/qr4p1/3P2Pp/8/QP3P2/KBr3P1/3R3R w - -,a3a6
r3qr1k/1p1n3p/p2p1n2/2pPpPN1/P1P4P/2BQ1P2/1P4K1/6RR b - -,b7b5
rn1qkb1r/pb3p2/2p1pn1p/1p2N3/2pPP1pP/2N3B1/PP2BPP1/R2QK2R b KQkq -,h6h5
4r1k1/5ppp/Q1nr4/p7/8/P2pqP2/1P3BPP/R2R2K1 b - -,e3e6
2kr3r/ppb2p2/2np1n1p/P1p1pqp1/1P6/2PP1N1P/2B1QPP1/R1B2RK1 b - b3,c5b4
2r1k2r/3p1pp1/Q3p3/2q1P2p/1p2BPn1/8/PPP3PP/R4R1K b k -,e8g8
2r2r2/pp2n1kp/3p1pp1/q3p3/3nPP2/2NP2PN/PP1Q1R1P/5R1K b - -,b7b5
rnbqk2r/1p3pb1/p2p1npp/2pPp2P/2P1P3/2NB4/PP3PP1/R1BQK1NR w KQkq -,h5g6
8/6k1/B7/3bP1pp/3r1r2/R1K2p2/5R1P/8 w - -,a3a5
5rk1/1r1nbppp/pp2p3/8/2P5/1PN3P1/PB3P1P/R2R2K1 w - -,d1d2
4r3/r4bk1/p1p2p1p/PpNp1Pp1/1P1P2P1/4PPK1/4R3/4R3 b - -,a7a8
B5k1/2q1np2/6pp/1bp1p3/8/4P1P1/5P1P/2RQ2K1 w - -,d1b3
7R/8/3kP3/2p4p/8/6P1/6r1/4K3 b - -,c5c4
rnb2rk1/1p2ppbp/p2p1np1/q1pP4/P1P1P3/2N4P/1P1B1PP1/R2QKBNR b KQ -,e7e6
r3k2r/pp1qbppp/2n1p3/3pP3/3Pn3/P2Q1N2/1P3PPP/RNB1R1K1 b kq -,e8g8:c6a5
1n1q1rk1/rp1nppbp/p1p1b1p1/3pN3/2PP4/6P1/PPQNPPBP/R1B2RK1 w - -,e5f3
r1bq1rk1/4bpp1/1n1p2np/p1pP4/PpB1P3/1P3N1P/1BQN1PP1/3RR1K1 w - -,e4e5
r4rk1/1q1nppbp/3p2p1/2pP4/2n1P3/2N2NP1/PPQ2PKP/R1B1R3 w - -,f3d2
rn1qkb1r/pp3pp1/2p1pnp1/3p4/3P2P1/5N1P/PPP1PPB1/R1BQK2R b KQkq -,b8d7
8/8/8/8/7p/2R2kp1/4r3/6K1 b - -,e2e3
r1bqk2r/pp3pp1/2nb1n1p/2p1p3/2Pp4/1P1PPNP1/P4PBP/RNBQ1RK1 w kq -,e3d4
r5k1/1ppb2qp/p1nbp1p1/3p2Q1/3P4/P1PBNP2/1P3P1P/4RRK1 b - -,a8f8
rnbqk2r/pp3pp1/2p1pn1p/6B1/PbpPP3/2N2N2/1P3PPP/R2QKB1R w KQkq -,g5f6
rnbqk2r/pp2ppbp/6p1/8/3PP3/5N2/P4PPP/R1BQKB1R w KQkq -,f1b5
r1b1k2r/p1qpb1pp/4p3/2p2p2/N1P1PPn1/3B4/PPQ3PP/R1B2RK1 b kq -,g7g6
2r2rk1/4qp2/3p2p1/p2P4/1p3R1p/3Q3P/PPP3P1/3R3K w - -,d1f1
2rqk2r/1p2bppp/pn1pb3/4p1Pn/4P3/1NN1BP2/PPPQ3P/2KR1B1R w k -,c1b1
2r3k1/5q2/4bp1p/1B1p2p1/Pb1P4/1P3QB1/2r2PPP/R1R3K1 w - -,c1c2
r1b5/4rppk/p2R2n1/1p4q1/1PP1p2p/1B2P2P/5PP1/R2QB2K w - -,e1c3
5B2/3r2k1/2q2pp1/4p1Qp/P7/3nP2P/2p3PK/5R2 b - -,g7f8
6k1/1pq2p2/2p2bp1/p1n1p2p/P3P2P/1PB2NP1/2P2PK1/4Q3 b - -,b7b6
r4nk1/1b3rpp/p3p3/3pP3/PqpB4/8/1PB1QPPP/R4RK1 w - -,a1a3
2q3k1/4nN2/3pP1p1/p4p2/Pp1b1P2/1Q6/1P2R1PP/2r1BK2 b - -,c8a6
r5k1/p2rp1bp/1p4p1/5P2/2np4/2P3N1/P4BPP/2R2RK1 w - -,c3d4
3q1rk1/r1pnbppp/p3pn2/Bp6/3Pb3/5NP1/PP1NPPBP/R1Q2RK1 b - -,e4d5
r2q1rk1/pb2ppb1/1pn2np1/2ppN3/3P1B2/2N1P3/PPP1BPP1/R2QK2R w KQ -,e2b5
1qr1n1k1/2rb1p2/pp1p2p1/3Pp2p/1P2P2P/PB2Q1P1/5P1N/2R1R1K1 w - -,h2f3
r2q1rk1/pbpnbppp/1p2pn2/3p4/2PP1B2/1QN2NP1/PP2PPBP/R2R2K1 b - -,c7c6
5rk1/1pr3b1/p1nq3p/P2p1Pp1/R2Pp3/2P3QP/1PB1NP2/R5K1 b - -,d6g3
2rq1rk1/1bp1bppp/p3pn2/1p1n4/3P1B2/2N2NP1/PP2PPBP/R1QR2K1 w - -,c3d5
6kr/2R2pp1/4p3/3pP2p/p3n3/P4NP1/1P3P2/6K1 b - -,g7g5
6k1/8/7p/3N2p1/3pP2q/5r2/2B2P2/5QK1 w - -,f1c4
8/5p2/4p3/1p2P1k1/p1p1K1P1/P1P4r/1P4R1/8 w - -,e4d4
8/1n5p/p1k3p1/P4p2/1BK5/7P/6P1/8 b - -,b7d6
b2rr1k1/p2nqppp/1ppbpn2/3p4/2PP4/1PN1PN1P/PBQ1BPP1/3RR1K1 w - -,e2d3
r2r2k1/pp1bppbp/2n3p1/q7/2BpP3/2P1BP2/P2QN1PP/1R1R2K1 w - -,c3d4
8/p4p2/p2k2pp/3P4/b2N1P2/8/P4KPP/8 w - -,d4e2
r2q1rk1/4bppp/b3pn2/pp1pQ3/2P5/PP1P2P1/1B1N1PBP/1R1R2K1 b - -,d8b8
8/6Rp/1p3p2/4b2k/2P4N/2r2KP1/8/8 w - -,f3g2
2r5/p4k2/1p2pp1p/5np1/3P4/3RPN2/Pb3PPP/5RK1 b - -,b2c1
8/7p/6p1/P4p2/4p1k1/4P1P1/RPr5/6K1 b - -,g4g3
2r3k1/pp2rpb1/6Rp/2P1N3/2Bp4/1P6/P4PPP/2R3K1 b - -,e7e5
5k2/p3bpp1/1p2p2p/2p1P2P/2P2P2/4B1P1/PPK5/8 b - -,f8e8
1q4n1/6k1/3p3b/2pPp1p1/2P1N1P1/1P6/3B3P/5QK1 w - -,f1f3
r1bqk2r/p4ppp/2p1p3/3pP3/5P2/1N1BB3/P4KPP/b2Q3R w kq -,d1a1
r4rk1/pp1qbppp/2n1pn2/3p4/3P1B2/1QP5/PP1NBPPP/R4RK1 w - -,a1e1
6k1/5p1p/6p1/p7/2n1p1P1/p2qP3/B4PKP/3Q4 w - -,d1a4
8/1r2bk2/6pp/3K4/1p3P2/1P4P1/P1R4P/8 b - -,b7d7
r2q1rk1/1p3ppp/p2b4/4n3/Q3p1b1/4P3/PP1BBPPP/2R1NRK1 w - -,f2f3
2r5/3k1pp1/p4n2/1p1P3p/B3P3/P4P2/1R3KPP/2B5 b - -,c8c1
1R6/8/6n1/8/8/3r1k2/8/4K3 b - -,g6e5
r1bqkbnr/1p3ppp/p1n1p3/2pp4/4PP2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,g7g6:b7b5:d5d4:g8f6
8/3b2bk/n2N2pp/2pn4/P7/1P1P4/2PB2P1/4RK2 w - -,c2c4
1q6/2b1nkp1/4p1p1/1p1p1nP1/1PpP1P1P/2P2N2/2NB1K2/2Q5 w - -,f2g2
r4rk1/1pq2p1p/p1n1pnp1/3p4/3P4/2PB1NP1/PP3P1P/2RQR1K1 w - -,d1d2
1r3r2/3qnpkp/pp1p2p1/2p1p3/b1P1P2N/1nNPQ1P1/1P3PBP/1R3RK1 w - -,f2f4
8/5p2/4pk2/6p1/4P1P1/R3KP2/8/1r6 b - -,b1c1
3r1nk1/q1r1ppbp/3p2p1/pPp5/P3PPB1/1P6/3Q1BPP/2RR3K b - -,f8e6
2k2r2/p6p/1pp1b1nb/2p1p3/N2qP1P1/1PPP1Q2/P2R2PP/1NK4R b - -,d4d7
r4rk1/1pB1bppp/p1b1pn2/6N1/3q4/1PN2Q2/1PP2PPP/R4RK1 w - -,f3e2
r2q1rk1/pp4bp/2bp2p1/2p2p2/1n6/5NP1/PP1QPPBP/R1BR2K1 w - -,a2a3
8/6R1/p2kb1p1/1r2p3/4P3/2K2P2/1p4PP/1B6 b - -,a6a5
2rq1rk1/1p1bpp1p/p2p2p1/3P4/3bP3/5P2/PP1QB1PP/2R2RK1 w - -,d2d4
r3k2r/pp1qbpp1/4p2p/3pP2P/1n1P1P2/4B3/PP2Q1P1/RN3RK1 b kq -,a8c8
1k5r/1pr4p/pb1q1p2/2NPpP2/1PQn4/4B3/6PP/R1R4K b - -,h8d8
r1b1r1k1/ppqn1ppp/2p1pn2/2P5/1P1PN3/P2B4/4NPPP/R2QK2R b KQ -,f6e4
8/8/8/2K1rp2/R4Q2/5P2/1q4k1/8 w - -,c5d6
8/6p1/2nk3p/4p3/8/5KP1/7P/R7 b - -,d6d5
r2qr1k1/1p1b1pbp/p2p2p1/2pN4/2PnPP2/3BB3/PP1Q2P1/R4RK1 w - -,f4f5
2r3k1/8/4q1p1/7p/p3p2P/4Q1P1/PPR5/1KNr4 b - -,d1h1
r3k2r/4np2/1pq1pp2/8/8/Q1P2NP1/P3PPK1/2RR4 w - -,a3b2
2kr4/2p5/1p2q3/p1n2pp1/P1R4p/2PrPP1P/Q5PB/R6K w - -,h2c7
8/8/p1k3p1/3ppp2/PPP1p2P/4K3/5P2/8 w - -,b4b5
3r4/p1k1b1p1/2p5/4p2p/N1R1p3/P3n1P1/1P2KP1P/8 w - -,f2e3
r5k1/pp1n1ppp/2p1b3/3p4/1q1P4/2NB2PP/PPPQ2PK/4R3 b - -,g7g6
r2qkb1r/1b1npp1p/p2p1np1/1pp5/4P3/2PP1N2/PPB2PPP/RNBQ1RK1 w kq -,f1e1
5rk1/1qpbbpp1/2np1n1p/1p2p3/1P2P3/2PPBN1P/3NBPP1/1Q3RK1 b - -,f8a8
5rk1/2p3pp/pr6/4NQ2/3P1b2/2P2P2/PP3P1q/R3RK2 w - -,f5g4
3kb3/p7/4p1p1/R2p1pP1/P2P1P1r/1P1N4/2PK4/8 b - -,h4h7
1r3r1k/6pp/p1n5/1Q2p3/1P1pR3/3P4/5PPP/1R3BK1 b - -,b8b5
r3r1k1/2R2ppp/p2b4/3pn3/QP1Nq3/4B1PP/5P2/4R1K1 w - -,c7a7
6b1/p3n1kp/2n5/6R1/4PPPP/1PR1K3/P7/3r4 b - -,g7f8
rr4k1/4qpp1/4b2p/pBnp4/P1p5/2Q1PN2/1P3PPP/2R2RK1 w - -,c3a3
8/8/P7/2b5/7k/5b2/3N3K/8 b - -,f3d5
r1bqkb1r/ppp1npp1/2n1p2p/3pP1B1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq -,g5e7
r5k1/1pp3p1/p2pb2q/PP2p2p/2P1Pn2/3P2QP/5RBK/1R6 b - -,a6b5
3r2k1/pp3pp1/1n2b2p/2rp2q1/P7/2NQ2P1/1P2PPBP/2R2RK1 w - -,f2f4
r1bq1rk1/1p3pbp/2pp1np1/2nPp1B1/2P1P3/1PN4P/3NBPP1/R2Q1RK1 b - -,a8a1
2k4r/pp1q1p1p/n1p2P2/6r1/2b5/Q1B2P2/PPP1N1PP/1K3B1R w - -,b2b3
2r2rk1/p5pp/bppbpnq1/3pNp2/2PP4/1P2P1P1/PB3PBP/2RQR1K1 b - -,g6e8
7k/p3p2p/4Pqp1/2pBbr2/2P1Q3/2P1R3/P4P1P/6K1 b - -,f6g5
1rq2rk1/2nnppbp/pp1p2p1/3P4/PpB1PP2/2NQB2P/2P3P1/1R3RK1 w - -,b1b4
2r1r1k1/ppp3pp/3p4/1b1P4/1B2PP2/PP1p1BP1/1b5P/1R1R3K b - -,b2d4
6k1/5rNp/1p6/p1pq4/P3n3/5p2/1B3R1P/4Q1K1 w - -,g7h5
r4k2/1pq2n1p/p2b1Qp1/3ppR1B/3B4/2N5/PPP3PP/6K1 b - -,g6f5
6k1/p3q2p/4n1p1/2pp4/3P4/P1Q3P1/2P1N2P/6K1 w - -,c3e3
3r3k/4n1q1/2p1Q2p/6p1/8/4p1PP/6B1/5R1K b - -,d8f8
r4r1k/pQ2p2p/3q1pp1/5b2/3P1b2/1P6/PB2PPBP/R4R1K w - -,e2e3
8/1B4p1/p2k3p/1p3p2/1P2p3/n1P1P3/4K1PP/8 w - -,b7a6
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2PBBP2/PP1N2PP/R2QK2R w KQ -,e1g1
r1b2rk1/pp2qpp1/2p1pn1p/3p4/2PP2P1/2N1P3/PPQ2P1P/2KR1BR1 b - -,e6e5
r2qr1k1/5ppp/bPn1p3/3p4/p1P1nP2/PP1QPN2/6PP/RBB1K2R w KQ -,f3d4
5bk1/5pp1/p3q2p/P1pn4/1pQ5/1P4NP/1BP2PP1/6K1 b - -,d5c7
3rr3/p5qk/1p1p2b1/1PpPbp1p/2P1pB1P/R5PB/P2Q1P2/4R2K b - -,d8d7
r1bqk2r/pp2bppp/2nPp3/2pn4/2BP4/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d8d6
r1bn1rk1/1pp1qppp/5n2/pB2p3/P3P3/1NP1bN2/1P2QPPP/R4RK1 w - -,e2e3
rn2k2r/pbp1qppp/1p1ppn2/8/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R w KQkq -,f1e2
r2qkb1r/pppn1ppp/4p3/3p1b2/3Pn3/2P1BN2/PP1NPPPP/R2QKB1R w KQkq -,g2g3
r1bqkb1r/pp1n2pp/2n1pp2/3pP3/3P4/3B1N2/PP3PPP/RNBQ1RK1 w kq -,e5f6
4r3/8/4p1kp/3r1p2/1BRPn1p1/P5P1/6KP/5R2 b - -,e8d8
r1b1nrk1/6b1/1p1p3p/3Pp1p1/2P1q3/8/4BBPP/1RNQ1RK1 w - -,e2d3
8/8/b1k3p1/5p1p/p2K1P1P/N5P1/8/8 b - -,c6b6
6k1/1p2bpp1/p1q1p2p/n2p4/3P1B2/3NP2P/PPQ2PP1/6K1 w - -,c2c6
2r2rk1/p3q2p/4n1p1/1p2Pp2/3p1P2/1P1N2PP/P2Q4/2RR2K1 b - -,e7b7
4r1k1/p4p2/1q4pb/2N4p/3rPp2/5Q2/PP2R1P1/1K2R3 w - -,c5b3
rnbq1rk1/pp2ppbp/5np1/2pp4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ c6,d4c5:c4d5:f1e2:d1b3
2r5/6kp/6p1/2B1P3/p7/1r6/5RPK/R7 w - -,c5d6
r3r3/1pp1qk2/3p2p1/p2P4/2P1pP2/4R3/PPK1Q1R1/8 w - -,f4f5
r2r2k1/1pq1ppbp/2n2np1/p1Pp4/P5b1/2P1PN2/1PBNQPPP/R1B2RK1 w - -,h2h3
r4rk1/pb1pbppp/1qn1pn2/2p5/Q1P2B2/2N2NP1/PP2PPBP/R2R2K1 w - -,a4b5
r3k1nr/pp1nb1p1/2p1p1qp/5p1N/3P1B1P/3B4/PPP1QPP1/R3K2R w KQkq -,e1c1
1r1n2kb/7p/3B2pP/3Pp1p1/4P3/5P2/P7/4K1R1 w - -,d6b8
2krb2r/p1p1qp2/p3p3/6pp/1n1P4/Q1P1PNP1/P4PP1/1R1R2K1 b - -,f7f6
8/1p3r1p/p2k2p1/2P3P1/3KR2P/1PP5/8/8 b - -,d6d7
Nk1q4/pP3p1p/4p3/8/2P5/P4nPb/5K2/R6R w - -,f2f3
3r2k1/p4pp1/1p2qn1p/2p5/4P3/P2rBPQ1/1P4PP/R3R1K1 w - -,a1c1
r2q1rk1/ppp3pp/2pb4/2n1pb2/5PN1/2NP3P/PPP3P1/R1BQ1RK1 b - -,e5f4
2q2r2/p1B1Q1bk/1pP4p/6p1/4P1b1/6P1/P6P/2R1R2K b - -,f8f2
r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/P1N5/1P2PPPP/R1BQKB1R b KQkq -,d8b6:f8e7:c6d4:d7d5:f8c5
r2q1rk1/ppp1ppbp/1n4p1/4P3/1n1P2b1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,d1d2
r7/1pq2p1k/p1b3pb/5pBn/1P2P2Q/P1PB1R2/7P/4R2K w - -,g5h6
b3k2r/4b1pp/2p1B3/1pn5/2p1P3/2N3P1/1P3P1P/2BR2K1 w k -,e6f5
2b2nk1/2r1b2n/1p2p1pR/pP1pPp2/3P1NP1/3B1N2/P2BKP2/8 b - -,g8g7
5rk1/pp5p/3p2p1/3P1p2/4n3/P3RP1P/1Pr3PN/1R4K1 b - -,e4f6
8/1p6/p7/3k1p2/8/1P1b2r1/3R4/5KB1 w - -,f1f2
rnbqk2r/pp2ppbp/2p3p1/3pN3/3P4/2P3P1/P1P1PPBP/R1BQ1RK1 b kq -,b8d7
8/1bP1pk2/6p1/1p2Bp2/3P3P/P4PP1/7K/8 b - -,b7c8
r1bq1rk1/pp2bppp/2nppn2/8/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 b - -,c8d7
5r1k/6p1/p1q2p1p/1pn1p3/2r1P3/P1N2R2/1PP1Q1PP/4R2K b - -,f8d8
r6k/8/ppb2r2/2pRpB2/4P1P1/2P5/PP5P/6K1 w - -,d5e5
r2k3r/1p1n1p2/2p1bp1p/p3pN2/4P3/P2BP3/1PP3PP/2KR1R2 b - -,e6f5
