8/2pn1k1p/3p4/P2Pp3/2P1N3/8/8/3K4 b - -,f7e7
1n3r2/4rk1p/4p1p1/1Bpp1q2/P1P5/8/4QPPP/R3R1K1 w - -,a4a5
3rkb1r/1p1n1pp1/p1p1pn1p/2Pp1b2/1P1P4/2N2NPP/1P2PPB1/R1B2RK1 b k -,f8e7
6qk/4Q3/1p2Np1p/4nP2/3p4/6P1/4P2P/6K1 b - -,g8f7
2bq1rk1/p4pbp/1r1pp1p1/2p1nP2/4P1P1/2PPB3/P3Q1BP/2RN1RK1 w - -,d1f2
rn1q1rk1/1p2bppp/1n1pb3/p5P1/4Pp1P/1NN1B3/PPPQB3/R3K2R w KQ -,e3f4
r3rbk1/ppqn1pp1/2p1bn1p/P3pN2/4P1P1/2N2Q1P/1PP2P2/R1B1RBK1 b - g3,g8h7
3qkb1r/2r1pp1p/Q1p3p1/3p4/3P1P2/5N2/PPb3PP/R1B2RK1 b k -,f8g7
8/3R4/1r2kp2/p4N1p/2p3pP/6Pn/1PR1PbK1/8 w - -,d7h7
r2r1bk1/2q4p/p2pb3/2p1p1p1/2P1Pp2/1PNR1P2/PB3QPP/4R1K1 w - -,c3d5
2r1nk2/4bpp1/p1r1p2p/q2p4/2nPP3/P2B1PB1/4QP1P/R2N2RK b - -,a5b6
3r3k/3q4/5Q2/3p1N2/6P1/1P6/2PP4/1K6 b - -,h8h7
r4rk1/ppn3bp/3R2p1/2p2pN1/8/P5P1/1P2PPKP/R1B5 b - -,f8d8
r3r1k1/1p1b1ppp/pb3n2/3p4/1P1N1N2/2PqBP2/1P3QPP/R3R1K1 b - -,d3c4
5r1k/1r4bp/p1PP3q/5N2/1n2p2P/Pb4P1/1B2N1B1/4R1K1 w - -,c6b7
6r1/2bk1p2/2p1p1p1/1pPnP1Pp/1P3P2/r4N1P/3B2K1/2R2R2 b - -,g8a8
8/3nppkp/1p1p4/2r2Pp1/2P1P1P1/1B5P/P4K2/4R3 w - -,a2a4
2r2bk1/6pp/3npp2/BpR5/1P1NP3/6P1/5PKP/8 b - -,c8c5
r5k1/1pprq1pp/1nn1b3/pN3p2/Pb1Pp3/2B1P1P1/1PQN1PBP/2RR2K1 b - -,c6d8
8/4Q3/6p1/8/1p4k1/1P6/P2q4/6K1 b - -,d2c1
2rr3k/1pq1ppbp/p1npbnp1/5P2/2PNP3/1PN1B3/P2QB1PP/2R2R1K b - -,c6d4
5rk1/2q2pbp/4p1p1/3p4/2n1B3/4PN1P/P4PP1/1RQ1B1K1 b - -,d5e4
2r4k/pp5p/5rP1/2n5/8/1P1P4/1P5P/1KBR2R1 w - -,b3b4
r3k2r/pp1nbpp1/2p1p2p/8/3PbBP1/P4N1P/1PP1BP2/1K1RR3 b kq -,e8c8
2r5/pp1b2kp/4ppp1/n2P4/4P2P/3BK3/P2N1PP1/7R b - -,c8c3
8/2p3p1/3k1p1p/pPbP4/2B5/5PP1/3K3P/8 b - -,c5g1
2r2rk1/pp3pbp/6p1/4pPB1/2q1P3/4Q3/PP4PP/R4R1K b - -,f7f6
1r1r4/1p1b2pk/p1p1q2p/P1QpPp2/1P3PPP/4PB2/4K3/2R3R1 w - -,g4g5
2n5/2P2p2/4k1pp/2K1p3/4P1P1/5PP1/8/8 b - -,e6d7
1r4k1/1r1bppb1/p2p1np1/2pPn3/Pqp1P3/2N1NP1P/RP1QBBPK/5R2 w - -,f1e1
3rr1k1/1pp1bpp1/p1q1bn1p/P6N/2BpRB2/3P3P/1PP2PP1/R3Q1K1 w - -,h5f6
r4rk1/ppq1b1pp/2B1b3/4pp2/8/PN2P3/1PQ2PPP/R1B2RK1 b - -,a8c8
2b2b1r/1pk1nppp/2n5/r1Bp4/2pP4/2P3P1/P2NNPBP/R4RK1 b - -,b7b6
1r3k2/1p3pp1/p7/2Pp4/3P2b1/1P4P1/P7/4RRK1 w - -,e1e5
r2qrnk1/pp3p2/2p3p1/3p3p/1P1P4/2N1PPP1/P2B2P1/1RQ3K1 b - -,f8e6
rnbqk2r/pp2b1pp/2p1pn2/3P1p2/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,c6d5
8/6kp/5p2/8/ppqB4/4PKP1/P2R1P1P/8 w - -,h2h3
r5k1/pp1r1ppp/2q5/2p1PP2/2P1bR2/P1Q1P2P/1B2B1P1/6K1 b - -,a8d8
r5k1/p2q4/1pnPpppQ/7p/4P3/5N2/P4PPP/5RK1 b - -,d7h7
r2qkb1r/ppp2ppp/1nn1p3/4Pb2/3P4/1BN5/PP2NPPP/R1BQK2R w KQkq -,c1e3:e1g1
r1bq1rk1/bpp1nppp/p1np4/4p3/1PP5/P1N2NP1/3PPPBP/R1BQ1RK1 w - -,d2d3
b2r4/5rk1/3p2p1/pBp1b1qp/1pP1p3/1P2P2P/P2R1PP1/1N1R2QK b - -,f7f6
2r5/n2q2k1/8/r1pnpp1p/1p4pP/1P1PP1P1/2RRNPQ1/2N3K1 b - -,c8c6
2b2r1k/5rn1/2p3q1/1pPpRp1p/P2N1P2/2Q3P1/6BP/4R1K1 w - -,a4b5
3rk2r/Q3bppp/p3p3/1p1P3P/2p1n2q/2P4P/5PB1/1RB2RK1 w k -,d5e6
r4rk1/pbpnq1pp/1p2p3/5p2/3PP3/2nB1N2/PP3PPP/R2QR1K1 w - -,b2c3
6k1/1R5p/5pp1/p2p4/1b6/1P2P3/5PPP/5K2 b - -,b4c3
r4rk1/3q1pb1/1pn1b1np/p1p1P1p1/P1Pp2P1/N2P1NBP/1P1Q2B1/4RRK1 b - -,c6a7
r4rk1/pp3ppp/1qp5/3b1N2/5Q2/1P1R3P/n3PPB1/4R1K1 b - -,d5g2
rnbqk1nr/pp1p1pbp/4p1p1/8/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,f3d4
rnb1k2r/ppp2ppp/4pn2/3q4/1b1P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3:c1d2
r2qrbk1/1bp2ppp/pp2p3/2n1P3/2p2P2/1PN1P3/PBB3PP/R2Q1RK1 w - -,b3c4
2b2rk1/1pb4p/2pp3q/6P1/1PP5/4P1P1/1Q3PB1/3R1RK1 b - -,h6g5
3b2k1/pp5p/8/P2r2p1/5p2/5N1P/1P3PPK/2R5 w - -,c1c8
r5k1/1pp2pp1/p2p1b1p/3Pr3/8/P1P1BP2/1P2R1PP/3R2K1 w - -,f3f4
4B3/2k2p2/4p1p1/4P1P1/5n2/8/3K4/8 w - -,e8f7
5r2/pp4k1/2b3p1/3r3p/4p2P/1P4P1/P4P2/R2R1BK1 w - -,d1d5
r2qkb1r/pp2pppp/2bp1n2/2p5/4P3/1P1P4/PBP1NPPP/RN1QK2R b KQkq -,g7g6:e7e6
rnq2rk1/ppp1ppbp/3p1np1/8/1PP3b1/3P1NP1/PB1NPP1P/R2QKB1R w KQ -,f1g2
r6r/2q1kppp/p2Np1n1/1p1bP3/2pP1n2/P3QN2/1PB2PPP/R4RK1 w - -,h2h4
8/5bk1/p4rp1/1pR5/3N4/PPP1K3/8/8 w - -,b3b4
8/7R/8/5p2/7P/3n1k2/1r6/6K1 b - -,b2b1
r1b1k2r/pp3p2/1Bpp1q2/4p1p1/2B1P3/2PP1Pp1/PP4P1/RN1QR1K1 b kq -,a7b6
r4rk1/pp5p/6p1/1PNq1p2/5P2/P2Pp1Nn/1Q2P2P/R1R2K2 b - -,h3f4
4Q3/3r1pk1/p1B3p1/7p/7P/2p2Pq1/P5P1/4R1K1 b - -,d7d2
r3k1nr/ppp1qppp/2n5/1B1pB3/8/1P2PQ2/P1PP2PP/RN2K2R b KQkq -,e7e5
2k2bnr/1pp3pp/p3bp2/2p5/4PB2/1NN5/PPP2PPP/3R2K1 w - -,c3d5
1r3k2/4ppb1/p1Rp2pp/3P4/pP2P3/6P1/5P1P/2R3K1 w - -,c6c8
r4rk1/pb1n1ppp/1p2pn2/8/2BPq3/2R2NB1/PP2QPPP/5RK1 w - -,c3e3
r2qkb1r/1b3ppp/p3pn2/2nN4/1p1NP3/8/PPB2PPP/R1BQR1K1 b kq -,f6d5
r1b1k2r/ppp1qpbp/1n1p1np1/3Pp3/4P1P1/2N1BP2/PPPQ3P/2KR1BNR b kq -,c8d7
r2qkb1r/1p1b1ppp/p2ppn2/4n3/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 b kq -,a8c8
4b2k/7p/2nP4/p3p1p1/1p2PpP1/1P3P2/P4KB1/4N3 b - -,c6d8
rnbqk2r/pp2ppbp/5np1/3pN3/3P4/2P5/PP3PPP/RNBQKB1R w KQkq -,f1d3
8/3qP1pk/7p/8/8/4RP2/7P/7K w - -,e7e8q
R7/3r1pkp/1p2p1p1/2p5/2P5/3PP1P1/4KP1P/8 w - -,a8b8
3r4/p2r1pk1/1qp1nnpp/1pb1p3/4P1N1/5PPP/PPP1B1Q1/2BRR2K b - -,f6g4
8/5pk1/3p2p1/3Pp3/1qB2b1p/1N5P/2Q2PP1/6K1 w - -,g1f1
3r4/1p3kp1/2p1p3/3q4/pP1R1P2/P3QnP1/5K1P/4R3 b - -,f3d4
3b2k1/2pb4/np1p4/pN1Pp3/P1P1Pp2/3N1Pn1/1P4B1/1K2B3 b - -,g8f7
8/4bk2/p3p2p/1pN1P1p1/1P3p2/8/2n1r1PP/5RBK w - -,c5a6
2q3rk/p2r1p1p/1p1PpPp1/2p5/1nP1Q3/5B1P/P2R1PP1/4R1K1 w - -,a2a3
2r5/p4p1p/4p1p1/2kp4/8/1Pr2P2/P1PRR1PP/6K1 w - -,g1f2
r2q1k2/ppp2pp1/2np4/8/2B1Rp1r/2P5/PPPQ1P1P/2KR4 w - -,e4f4
3q1bk1/1p4pp/2p1p3/p1p1P3/P1P1Qn2/1P2RNNP/5PP1/3r2K1 w - -,g1h2
8/5R2/1p6/p2kr1p1/3p2Pp/1P3P2/P2K2P1/8 w - a6,f7c7
rnbqk2r/4ppbp/p1p2np1/1pPp4/3P4/2NBPN2/PP1B1PPP/R2QK2R b KQkq -,a6a5
K7/P2k4/8/7R/8/8/8/1r6 b - -,d7c7
3r2k1/6pp/6b1/5PR1/3Q4/P7/7P/6K1 b - -,d8d4
6rk/qp3Rpp/p7/P3Q3/3nP3/3P3P/1BP3P1/7K b - -,d4e2
8/8/7k/5PRp/4p2P/r5P1/4K3/8 b - -,a3b3
3R4/1p2r1kp/6p1/1Prp4/6P1/2P4P/8/2R2nK1 w - -,g1f1
5r2/1pp3kp/n5p1/p2rqp2/4p3/PPQnP1P1/4NPBP/1R1R2K1 w - -,e2d4
r1b1r1k1/1p2bpp1/1qp2n1p/p1n1R3/P2N1B2/2N4P/BPPQ1PP1/R5K1 b - -,c8d7
2q1r1k1/5pbp/r1bBp1p1/p7/P3B3/1Pp1Q3/2P2PPP/3RR1K1 w - -,e4d3
8/1bp3kp/p5pN/2p3P1/2P1r2K/1P5P/P7/5R2 w - -,h6g4
5k2/5p1p/p3pp2/8/1R4PP/1P2P3/1r3P2/6K1 w - -,h4h5
r3r1k1/pp1n1pp1/2p2q1p/8/2QP4/1P3B2/P4PPP/R3R1K1 b - -,d7b6
r1bq1rk1/4bpp1/p1np1n1p/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 w - -,h2h3
r4rk1/p3Rp1p/npN2p2/1b1P4/8/6P1/PP3PBP/3R2K1 b - -,a6c5
r5kr/6b1/p3p1Bp/1pP1P1qQ/2pB2P1/2P5/PP6/R3K3 w Q -,a2a4
rn1q1rk1/1b2bppp/p7/1ppp4/3PnP2/2N2NPP/PPP3BK/R1BQ1R2 b - -,b8d7
r4rk1/2p2ppp/bpnbqn2/p3p3/P3P2N/2P3PP/1PQ2PB1/R1B1RNK1 b - -,d6c5
r4rk1/pp1n1pbp/2p3p1/3p1nq1/3P2B1/1P4PP/PBP1NP2/R2Q1RK1 b - -,f8e8
rnb1k1r1/ppq1n2Q/4p3/3pPp2/7P/P1p5/2P1NPP1/R1B1KB1R b KQq h3,b8c6
8/1k6/1p6/p1p1p3/P3P3/1PqP4/2P2QK1/8 w - -,g2g3
4q1k1/6p1/4p1Np/3r1p1P/3P4/4PQP1/5PK1/8 w - -,g6f4:f3f4
8/6kN/8/8/4KP2/6n1/8/8 w - -,e4f3
3r2k1/pp3p1p/1q2bnp1/2n5/7N/2N3PP/PP1QRPB1/6K1 w - -,d2g5
6k1/pp3Rp1/6P1/8/5K1P/8/r7/8 w - -,f7b7
r1b2rk1/1p2bppp/p2ppn2/8/N2NPPn1/6P1/PPP1B1P1/2KR2BR b - -,e7d8
r4rk1/p2b1pbp/3p1np1/qppP4/4P3/P1NnBP2/1P4PP/1RNQ1RK1 w - -,c1d3
rn1qr1k1/pbp1bppn/1p2p2p/4P3/3P4/2PBNN2/PP2Q1PP/R1B2RK1 w - -,e3g4
7r/b3k3/Br1p1np1/4p3/1N6/B1n5/P4PPP/R4RK1 w - -,a1c1
1r4k1/1bbq2pp/2p2p2/2Pp4/3P1P2/3B4/3Q2PP/R3B1K1 b - -,d7g4
2rq1rk1/1p2ppbp/3p1np1/p5B1/PnBNP3/2N5/1PP2PPP/R2QR1K1 b - -,c8c4
6k1/6p1/p7/1p1QP3/7p/P3b2P/KPP3P1/2q5 b - -,g8h7
r1r3k1/1b2bppp/pq2pn2/1P6/3pN3/1QN1P2P/4BPP1/R1R3K1 w - -,c3a4
r3kr2/4qp1R/pB1p2P1/4pb2/1p2Pb2/1P1P4/P4Q2/1K1R4 w q -,e4f5
r1Q2b1r/qp1nkpp1/4p3/1pN1n1p1/3N4/3R4/2P3PP/5RK1 w - -,d4f5
r1bqnrk1/pp3pbp/n2p2p1/2pP4/2N2B2/2N5/PP1QPPPP/R3KB1R w KQ -,c3e4:g2g3
3r2k1/3q1rpp/5p2/8/1Q3B2/1bNP2P1/4PPBP/6K1 b - -,d7e6
r1rq2k1/3bb2p/3n1pp1/1N1Pp3/Ppp1P1P1/2P1B2P/R1Q1B3/4R1K1 w - -,c3b4
5r2/R6k/1p1pqn1b/4p2p/2PpP2N/1P4PP/4Q1B1/6K1 b - -,f8f7
r2q1rk1/pp1n1ppp/2pbp3/8/N1PP4/PP2B3/3Q1PPP/R4RK1 b - -,d8c7
1r2nrk1/1ppbqppp/3p4/p1nPp3/2P1PP2/2N3P1/PPNQ2BP/4RRK1 w - -,b2b3
8/R2nk1pp/4p3/2rnb3/8/2P2Q2/1rK3PP/4R3 w - -,c2b2
2b1rnk1/1p2bppp/1q1p4/3Pp3/1PP2n2/QN3N2/1B3PPP/4RBK1 w - -,b2c1
8/4kpn1/1R4p1/3KP2p/7P/6P1/8/8 b - -,e7f8
8/8/2R2pk1/5q1p/2p1N3/5K2/8/8 w - -,f3e3
r2n1r1k/pp1b2pp/3qpn2/3pN2N/3P4/3B4/PP3PPP/2RQR1K1 w - -,d3b1
8/1K2kp2/1P3p1p/3BbP2/4P1P1/7P/8/8 b - -,e5d4
r1bq1rk1/pp2bppp/2n1p3/1BPp4/3Pn3/2N2N2/PPQ2PPP/R1B2RK1 b - -,f7f5
3r1rk1/3qPpb1/1p2b2p/1Pp3p1/7Q/1P4P1/5PBP/2B1R1K1 w - -,e7f8r
8/3k1p1p/1p4p1/pP6/1n1P4/1PB1P1P1/5P1P/2R3K1 b - -,b4d5
8/2q2pk1/b5p1/3Qp3/1p2Pb2/1P3PN1/P4NKP/8 w - -,d5d1
1qrr2k1/pb2bpp1/1p2p2p/n6n/2PPN3/P2BQ1PP/1B1N1P2/2RR2K1 b - -,d8e8
8/3Bp1k1/4p2p/p5p1/bp1P4/3K4/1P3RPP/r7 w - -,d7e6
r2r2k1/p3bp2/1pp1nn1p/6p1/2B1P3/2N1BPPP/PP3K2/R2R4 b - -,e7c5
8/6k1/1p2qpp1/pQ5p/P6P/1P4P1/6K1/8 w - -,g2h2
1r1qrnk1/1p3pb1/p2p1n1p/PbpP1PPB/4P3/R7/1P1B1NP1/2QNR1K1 b - -,f6h5
r1q2rk1/4bppp/p1n1p3/1p2n3/Q2NpB2/2P5/PP2BPPP/3RR1K1 w - b6,a4c2
8/6k1/8/8/5p2/4K3/8/8 w - -,e3f4
3B4/p7/4b3/1pk4p/6p1/P1P5/3R2PP/3K4 w - -,d1e2
8/8/p3RPP1/kp2K3/4N2r/P7/8/5r2 w - -,g6g7
4r3/2pn1k2/1p3p1p/p2P4/P1PP2r1/4p3/2P4P/1R2RN1K w - -,c2c3
r3r3/2pk1pp1/5b2/1pPp3p/p2P3P/2P1BbN1/1P1K1P1R/R7 b - -,g7g6
r1b1r1k1/1p3pbp/1qpp2p1/p7/2PNn3/BPN3PP/P4P2/1R1QR1K1 w - -,c3e4
b6r/6k1/7q/3p1p2/3R2p1/1Bp1P1P1/P1Q2P2/5K2 b - -,h6h1
r1bqk2r/1pp2ppp/p1np4/2bnp3/4P3/2P3P1/PP1PNPBP/R1BQK2R w KQkq -,e4d5
rnbq1rk1/4bppp/p1p1pn2/1p4B1/3P4/2NBPN2/PPQ2PPP/R3K2R b KQ -,b8d7
3r1rk1/1p2qpb1/p1p1b1p1/8/1P5p/P3P1P1/2QNBPP1/2RR2K1 w - -,g3h4
1k5r/pp3p2/4p3/4P1p1/2BP2b1/2P1R3/PP2R1r1/3K4 w - g6,d1e1
r1bqk2r/p2pnpbp/1pn1p1p1/2p5/2P5/2NP1NP1/PP1BPPBP/R2QK2R w KQkq -,d1c1
rn1qk2r/pp2ppb1/1np1b1pp/8/8/2NPBNP1/PP1QPPBP/R3K2R w KQkq -,e1g1
1r3r1k/p2nq1pp/1pp1p3/2Pp1p1b/3P1P2/2PNPP2/PR3QBP/1R5K b - -,b6c5
2r1k2r/1p1q1ppp/p2bpn2/3p1b2/N2P4/1Q2P3/PP1BBPPP/2R1K2R w Kk -,e1g1
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQ -,f1g2
1r2b3/1pb1rpk1/pNp2qp1/P1Q5/1P2Pp1p/2PR1P1P/B5PK/3R4 w - -,b6d7
r2qkb1r/1b3ppp/p1n1pn2/2ppN1B1/Pp1P4/2P1P3/1P1NBPPP/R2Q1RK1 b kq -,f8e7
2rr2k1/2q2ppp/2p1P3/pb6/1p6/4Q1PB/P4P1P/2RR2K1 b - -,c8b8
2r1r2k/p6p/1pq5/3p1Q2/1npN2R1/1P3PP1/P4RKP/8 b - -,c6d6
8/6p1/5k1p/8/4P3/2PrR1P1/1P3K2/8 b - -,d3d2
r1b1r1k1/1pq2pb1/3p1npp/pPn5/2P4B/2N2N2/P1Q1BPPP/2R1R1K1 w - -,f3d4
rnb1qrk1/ppp1b1pp/3p1n2/4p3/4Pp2/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - -,d3d4
r5k1/1bq1bppp/1p2p3/p1n1p3/2PrP3/1P4PP/P2NQPB1/R2RN1K1 w - -,e1c2
r2qk1nr/pp2p1bp/2p2np1/3p1bB1/3P4/2N2P2/PPPQ2PP/2KR1BNR w kq -,g1e2
1rbq1rk1/2p1bppp/2np1n2/1p2p3/4P3/1B1P1N2/1PPN1PPP/R1BQR1K1 b - -,c8e6
r1b2rk1/ppp1nppp/5q2/2bpn3/3NP3/2P1B3/PP1NBPPP/R2Q1RK1 b - -,f6d6
7k/2bP4/p6p/5pp1/8/4B1P1/P1P2P1P/6K1 w - -,c2c4
1rb1r1k1/5pbp/pn1p2p1/3Pn3/2p1PP2/RP2B3/3KBNPP/3N3R b - -,c4b3
r5k1/pp1n2bp/2p5/2Pp1r2/1P1P4/4PNB1/4KP2/R6R b - -,d7f8
7k/pp3p2/n5pP/3p2N1/6P1/8/PPP5/4K3 b - -,f7f6
r2q1rk1/p3ppbp/b1np2p1/2p3B1/1p2PP2/N1PP3P/PPB3P1/2RQR1K1 w - -,a3b1
4rrk1/1p1bq3/p2p1pp1/2pPn1b1/2P1P2p/P3N3/1P1BB1PP/2Q1RRK1 b - -,b7b5
4r3/1kpr1n1p/1p6/n2p1Np1/8/2P2P2/PP2N1PP/2KR3R w - -,e2g3
r5k1/1p2qpp1/2p5/2n1p2p/4P2P/1BP2PP1/P2Q3K/3R4 b - -,g7g6
r1bqk2r/pppp2bp/2n2np1/4pp2/3P1N1P/6P1/PPP1PPB1/RNBQK2R w KQkq e6,d4e5
r1b1rnk1/ppp1qpb1/3p1np1/7p/1PPPp3/2N1P3/PBQNBPPP/R2R2K1 w - h6,a1c1
8/8/5kP1/5P1p/4pP2/6PK/8/8 w - -,h3g2
r3r1k1/pp3pb1/1qn1b1pp/2p5/4PB2/P1P2Q1P/1PB3PN/1R2R1K1 b - -,h6h5
2k2b1r/pp3ppp/2n5/2P1r3/8/1NPBPp1P/PPK5/4RR2 b - -,f8c5
r5k1/pp4p1/8/2qp1n2/6PP/2Pp2bR/6P1/RNBQ3K b - -,a8e8
r5k1/5pp1/2N2b1p/p2R4/r7/6P1/3BPPKP/8 b - -,a4c4
r3k2r/pbqnbppp/1pn1p3/2p1P3/2Pp3P/3P1NP1/PP1N1PB1/R1BQR1K1 w kq -,d1e2
1r1qrbk1/1p1n1p1p/p1n1p1p1/1B1p4/3P4/1QN1P3/PP1B1PPP/2R2RK1 w - -,b5e2
2r2k1r/3n1p2/pq5p/1bbP2p1/1p1N1Bn1/6P1/PP1Q1PBP/2R1R1K1 w - g6,g2h3
1r2b1k1/2p1q1pp/4pp2/8/3P4/2QNP2P/5PP1/R5K1 b - -,e8g6
6k1/p5p1/4bp1p/2n1p3/2P1PP2/6PP/r2N2B1/3R2K1 w - -,f4e5
2kR4/pp2qpp1/1np1p2p/4P2P/2P5/6P1/PP2QP2/2K4R b - -,e7d8
8/5k1p/3p4/1p1p4/3B4/1PP5/Pb4PP/6K1 b - -,b2a3
8/8/R7/4Pkp1/8/p7/r7/5K2 w - -,e5e6
rnbr2k1/1pq2ppp/p3p3/8/1b2N1P1/7P/PPP1QPB1/R1B2RK1 b - -,c8d7
4r3/pb3kpp/4pp2/1Pp5/2P5/P1B1R3/2r2P1P/R5K1 w - -,e3d3
2r1rnk1/2q1b1pp/p3pp2/1b1pP3/5Q1P/1PP2N2/3B1PP1/1BR1R1K1 b - -,a6a5
r3k2r/1p1bqpp1/2pp1n1p/p1b2P2/P1BpP3/3P4/1PPN2PP/R1BQ1RK1 w kq a6,d2b3
8/1p6/8/2kb4/p5R1/P7/1P1K3r/8 w - -,d2c3
r2r2k1/1b2qpb1/pp1pp1pp/8/P2NP1P1/2PB4/1P2QPP1/R3R1K1 b - -,e7g5
r1b3k1/1pq1bp1p/4p1p1/p2nN1B1/3R3P/2P5/PPB1QPP1/6K1 w - -,e5g4
7R/8/8/5p2/5krp/4p3/6PK/8 w - -,h8e8
r2qr1k1/1p3pb1/p2p3p/P1pPn1p1/N5b1/5PP1/1PQBP1BP/R4RK1 b - -,g4d7
1r3rk1/2q2pp1/p1n2n1p/4p3/2N5/bP1PP1P1/PN4bP/R1Q2RK1 w - -,g1g2
3rr1k1/pp3p1p/2np2p1/8/2P5/1P1R1N2/P4PPP/2K4R w - -,h1d1
8/6n1/1R4P1/4kP2/2r1P1K1/8/8/8 w - -,g4g5
r3r1k1/ppq2ppp/2p3n1/4p3/3P4/1Q3N1P/PP3PP1/3RR1K1 w - -,d4e5
8/8/6kp/1P1p1p2/q2Bp3/4PP2/6PP/5BK1 w - -,f3e4
3q1rk1/4bp1p/2Q3p1/p2Ppn2/1p6/6P1/P1P1BB1P/3R2K1 b - -,e7d6
2r2rk1/3nbppp/b3pn2/q2p4/2PB4/6P1/PNQ1PPBP/3RNRK1 b - -,a5a2
r2r2k1/2p1qpbp/p3bnp1/1p2p3/P3P3/1PP1N3/2B2PPP/R1B1QRK1 w - -,c1a3
1rbr2k1/p1pqppb1/6p1/3p3p/3P1B2/1NP2Q2/PP3PPP/R3R1K1 w - -,b3c5
1r1q1r2/1p2n1bk/3pb1pp/4pp2/1RP5/2NP2P1/3BPPBP/3Q1RK1 b - -,d6d5
7R/3P4/8/1p1B2b1/1k1r4/5P2/2K5/8 w - -,d7d8q
6k1/5p2/3p1pp1/2p5/P1Bp1r2/R2P2P1/6rP/4K3 b - -,f4f2
r4rk1/pp2bppp/1n2pn2/3q4/3N4/1P1NP2P/PB2QPP1/R4RK1 b - -,f8d8
r3rnk1/1bq1bpp1/p2ppn1p/1p6/3P3B/1BP2N1P/PP1NQPP1/3RR1K1 b - -,f8g6
5k2/1p3p1p/2p3p1/2PR4/1n6/5P2/2N3PP/5K2 b - -,b4d5
r2qr1k1/ppp2ppb/7p/n1N2Pb1/2PQ2P1/PP1pP3/1B4BP/R2R3K b - -,d8d4
2rr4/p4kpp/1p2pb2/5p2/2Pp1P2/P3PP2/1B5P/2R2RK1 w - -,e3e4
1b3r2/p7/2p5/2P3kp/4pp1R/6PP/P1r2P2/2B1R1K1 w - -,e1d1
bqr3k1/3n1pbp/3ppnp1/Npp5/4P3/Q1PP1NP1/1P1B1PBP/5RK1 w - -,c3c4
r3k2r/ppqb2pp/4pb2/3p3P/3B4/3B4/PP3PP1/2RQ1RK1 b kq -,c7f4
