6k1/6p1/3B4/8/1P4q1/4P3/5K2/7Q w - -,h1d5
8/3bk1pp/p7/1p2p3/1P2P3/P3KP2/2P3PP/3R4 b - -,d7e6
6k1/5n1p/1Nbp2p1/2p2p2/5P2/2P3PP/4rB2/R5K1 w - -,b6c8
8/1pr3kp/8/4p3/P1B5/1Pb1P1P1/3pK2P/3R4 b - -,c7d7
2r1k2r/5pp1/p3p3/Pp1qP2p/1P1N1Pn1/2PQ1RPP/8/4R1K1 w k -,d3e4
2r2k1r/1p1n1pb1/p1n1p1pp/3p2B1/P2P4/2P2N2/1P2NPPP/R3R1K1 w - -,g5f4
8/8/p1P4p/P4p2/5Pk1/3p2P1/5K2/8 b - -,d3d2
2b1r1k1/1q2ppbp/1prp2p1/p1nN2B1/2P1P2Q/1P3P1P/P5P1/3RRBK1 b - -,g7f8
r3k2r/1q1pbp2/p3p3/1p1bP1pp/8/3BBPQ1/PPP3PP/2R2R1K b kq -,g5g4
8/p5pk/7p/2p5/1b2PN1P/6P1/1P2K3/8 b - -,g7g5
2b2rk1/3ppp1p/1qp3p1/8/P1P5/6P1/P3PPBP/Q4RK1 b - -,b6b4
8/8/6kp/8/8/3p4/6pB/3K4 w - -,d1d2
8/3B4/8/p5k1/P5p1/4Kpb1/8/8 w - -,e3e4
r4rk1/1b1n1p1p/p1pN2p1/1p1np3/P2P4/2PB1P2/1P2N1PP/R4RK1 b - -,f8b8
rnbq1rk1/pp4bp/2pppnp1/2P2p2/3P4/1QN3PN/PP2PPBP/R1B2RK1 b - -,d6d5
r5k1/7p/4p3/1p6/pBbP4/2P3P1/3K4/R7 b - -,a8a7
8/1p2r3/pPr4p/P4R1P/1k1p2P1/3B4/2PK4/8 b - -,c6c5:e7g7
1r1r3k/2q1bPpp/p7/1p1bP3/4R3/P2B3Q/1PP3PP/5R1K b - -,g7g6
2r1r3/4qpbk/2pp1npp/p7/3BP3/1PN2P1P/P2Q2P1/3RR1K1 b - -,e7b7
1r4k1/7p/pq1pp1p1/3b4/P2R4/5PP1/3QK1BP/8 b - -,d5c4
4r1k1/p5pp/8/4p3/P1Pp4/q7/2P1Q1PP/1R5K w - -,e2e4
3r2k1/pbp2p1p/2p2Pp1/3B4/8/1P6/1BK2PPP/4R3 b - -,c6d5
r1b2rk1/1pq1bppp/p1n1p3/2ppP3/5P2/2PP1N2/PP1N2PP/R1B1QRK1 b - -,f7f6
6k1/1b3pp1/7p/p7/3Nn1n1/1Pr1P3/1B4PP/R4BK1 b - -,c3e3
b2r2k1/p3bppp/8/2p1N3/PpN1q3/1Pn3P1/3BPK1P/R1Q2B2 b - -,e4f5
r1bq1rk1/1p2bppp/p1n1pn2/8/5B2/2N1PN2/PP2BPPP/2RQ1RK1 w - -,d1d8
r2qkb1r/2p1pppp/pn6/3P4/3P4/1BN4b/PP5P/R1BQK1R1 w Qkq -,d1f3
1r3rk1/p3ppb1/2ppb2p/q5p1/2P5/1PN1P1P1/P2QBPP1/2R1K2R w K -,e1g1
8/8/6K1/3nk3/4Np2/2P2P2/8/8 b - -,d5e3
1r4k1/1r1bppbp/p2p1np1/2pPn3/2P1P3/2N2P1P/P1RBBNP1/5RK1 b - -,d7e8
rr4k1/3nppbp/3p1np1/3P4/P1p1P3/R1N3P1/1PNB1PKP/1R6 b - -,d7c5
5k2/5p2/4n1p1/1N1r3p/8/1RP5/P4KPP/8 b - -,d5d2
1rbqr1k1/4bppp/p2p2n1/3PpNP1/2p1P2P/2N1BP2/PP3Q2/2KR2R1 b - -,e7f8
r3qrk1/p5b1/n1pp1n1p/4pbp1/2P5/2N1BNP1/PP3PBP/R2QR1K1 b - -,e8b8
6k1/1Q3p1p/2n1p1p1/p2q4/P1N5/1P5P/5PPK/8 w - -,b7c7
r7/1p2kpp1/1p1b1np1/1Bnp4/N4P2/2B1P3/PP2K1PP/2R5 w - -,a4b6
8/7p/2b2k2/p4p2/P2K1p2/1N6/7P/8 w - -,b3a5
4b3/pp3kpr/2p1p1q1/3p1p2/2PP1Pn1/PP2PBP1/1B2K1Q1/7R w - -,h1h7
1B6/6bk/6p1/p2p3p/P1rP4/4P1P1/5P1P/5RK1 w - -,f1a1
2rr2k1/4ppbp/1qp1n1p1/pp2P3/3P4/1P2NQPP/PB3PK1/2RR4 b - -,e6d4
r5r1/1p3ppk/pq1p3p/2nPpP1n/4P2P/2N2P2/PP4R1/1K1R1BQ1 b - -,h5f4
r2qr1k1/1pp2ppp/1b3n2/p2Pp3/P5b1/1PN1P1PP/2Q2PB1/R1B2RK1 b - -,g4h5
8/8/6p1/5k2/7p/4r2P/6RK/8 w - -,g2f2
r7/4P3/1R3kp1/1p5p/p4P1K/P5P1/1P6/8 b - -,f6e7
2r5/2rq1pk1/2p1p1pp/pp2P3/P1RPQ1PP/1P3PK1/2R5/8 w - -,c4c5
r4r2/N2b1pk1/2pp2qb/4p3/1PP1Pn1p/1N2BP2/P4QP1/R4R1K w - -,b4b5
3r2k1/pbqr1pb1/2pN2pp/1pn1P3/2PR4/4P3/PBQ3PP/1B3RK1 w - -,d6f7
r4rk1/pp2qpp1/1n2b2p/8/1p2QR2/4PN2/BP3PPP/5RK1 b - -,e7d7
3rr1k1/ppq2ppp/2n2n2/4p1Q1/1bPp4/1P5P/PB1N1PP1/1B1RR1K1 w - -,d2e4
r4rk1/4npbp/p5p1/8/1p1Np3/1P1bP3/1B1PNPPP/R3R1K1 b - -,f8c8
6k1/3n1p1p/1q1rbBp1/2pB4/8/1P5P/6P1/2Q1R1K1 w - -,d5e6
6B1/6pp/8/1n6/1k6/p2K2P1/7P/8 b - -,h7h6
5k2/3b1n1Q/3p2p1/2pP1p2/1pP2P2/1Pq2B1P/3NK1P1/8 b - -,c3f6
8/1q3pk1/6p1/2p1p2p/K1Qb4/1P1R4/8/8 w - -,d3g3
2b1k2r/p3ppb1/qrp2np1/4B2p/2pP3P/2N2P2/PPPQN1P1/KR5R b k h3,e8g8
r1b1r1k1/ppQ2npq/4p3/3p3P/2pP4/P1P5/3BBP2/2K1R1R1 b - -,e6e5
6k1/p4r1p/1pp3n1/3p1r2/PP6/2PPBN2/3K1PPR/8 b - a3,g6f4
r3k2r/pppbqp1p/5np1/2p5/4P3/2N1QN2/PPP2PPP/R4RK1 b kq -,d7c6
r2qk2r/pbpnnpbp/1p1pp1p1/8/3PP3/1B3N2/PPPN1PPP/R1BQR1K1 w kq -,d2f1
Q5k1/4np1p/5qp1/1P6/3p2P1/3NnP2/P6P/2R3K1 b - -,g8g7
8/7r/1K1Bp3/3bP3/5k2/3N4/8/8 b - -,f4e4
r2r2k1/1p3p1p/6p1/1Pp1p3/2Nb4/P2RP1P1/5P1P/3R2K1 b - -,e5e4
b4rk1/7p/6p1/1p2p3/1N6/P3R2P/1P2r1P1/6K1 w - -,e3e2
8/1p4b1/2pqn1pk/8/pP2B2P/P3R1P1/5PK1/1R6 w - -,b4b5
2rq1rk1/3nbppp/p2pb3/1p4Pn/4PB2/1NN5/PPPQ3P/2KR1BR1 b - -,h5f4
2kr3r/p5p1/1pp3p1/3P1p2/2P1P1b1/5pP1/P2N1K1P/1R5R w - f6,d2f3
r5k1/5pp1/2b4p/2p1b1q1/Pr1p4/R2NP2P/5PP1/2BQ1RK1 w - -,d1g4
r1bqkb1r/pp3ppp/2n2n2/1B1p4/3QP3/2N2N2/PP3PPP/R1B1K2R b KQkq -,d5e4:f6e4
r1Br2k1/pp3pp1/5n1p/8/1p1q4/6N1/P2P1PPP/1R1QR1K1 b - -,a8c8
2kr1q1r/pb1p1n2/3Pn1p1/p3Pp2/Q4P1p/2b3PN/1K4BP/3RR3 w - -,b2c3
3r2k1/p4ppp/2p5/8/1b2P1P1/1N2p3/PP1Nb1PP/4R1KR b - -,e3d2
Q7/1rk2p1p/1p2p3/3p1p2/1qp5/6P1/P3PP1P/5BK1 w - -,a8e8
r2n2k1/bb2qppp/p3pn2/1p6/1P6/P1NBPN2/1BQ2PPP/4K2R w K -,e1g1:f3g5
8/1r6/R7/4k3/4P3/3K4/8/8 w - -,a6a5
r2nq1kb/pbpr3p/1pnp1Pp1/3N2N1/1PP1P3/4B2B/P2Q3P/3R1RK1 w - -,h3d7
5rk1/pp5p/2p3p1/1PPnR3/8/PQ4P1/5qK1/4R3 w - -,g2h1
r1qr2k1/p2B1pp1/2p2nnp/4p3/4p2P/1PQ2PP1/P1P2B1K/2R2RN1 b - -,c8d7
1n1r2k1/1NN1q1bp/1P4p1/3Ppp1n/b3P3/4BP1P/r3B1P1/1R2QRK1 b - -,f5f4
8/8/4N1k1/r7/3R1K2/8/8/8 w - -,d4d6
rn1q1rk1/p3ppbp/2p2np1/1pP5/2BP2b1/2N1BN2/PP3PPP/R2Q1RK1 w - b6,c5b6
r1bqk2r/1p1nbppp/p2p1n2/2pPp3/P1P1P3/2NB4/1P2NPPP/R1BQK2R b KQkq a3,b7b6
8/8/4k3/8/pB1KP3/1b1R4/8/r7 b - -,a1c1
5rk1/5p1p/3p2pQ/p1nPpB2/4P3/4P2R/2q1K1PP/8 w - -,e2f3
8/5p2/6k1/pn5R/1r4P1/1B4K1/8/8 w - -,b3c2
4rr1k/p6p/1pq5/2pRp3/2P1Pb2/8/1P2QB1P/4R1K1 w - -,g1h1
3rr1k1/pb1nqpp1/1pp1p2p/3p4/1bPP4/1PN1P1P1/P1Qn1PBP/B2RR1K1 w - -,d1d2
r1bq1rk1/pp4pp/2pbpn2/3p1p2/2PPn3/2N2NP1/PPQ1PPBP/1RBR2K1 w - -,f3e5
rn1qk2r/ppp2pbp/3pbnp1/8/4P3/2NBB2P/PPP2PP1/R2QK1NR w KQkq -,g1e2
1r1r2k1/p4pb1/1pQ1p1pp/2p1P3/P1q5/2P2N1P/1P3PP1/R3R1K1 w - -,c6b5
8/8/4k2p/Np1p2p1/1P3p2/5P1P/2K2bP1/8 w - -,c2d3
3b4/8/8/1P6/3pkP2/1K6/3B4/8 b - -,d8b6
r1bq1rk1/pp2np1p/2pp1p2/4p3/3PP3/2PB1N2/P1P2PPP/R2Q1RK1 b - -,e7g6
4k3/8/p7/5P1r/4b1Rp/P6P/1Pr3P1/4R1K1 w - -,e1e4
rnbqr1k1/pp3ppp/2p2n2/3p4/1bPP4/2N2N2/PP2BPPP/R1BQ1RK1 w - -,h2h3
r1b2rk1/6p1/2pp2qp/p3pp2/2P5/4P1P1/PPQN1P1P/2KR3R w - -,f2f4
4rqk1/3b2bp/p2p2p1/2pP1p2/1r6/4P1P1/RPQN1PBP/4R1K1 b - -,d7b5
r1bqkb1r/pppp1ppp/6n1/1B6/3nP3/2N5/PPP2PPP/R1BQK2R w KQkq -,d1d4
r1bq1rk1/pp1pppbp/2n2np1/1B6/3PP3/5N2/PP3PPP/RNBQR1K1 b - -,d7d6:d7d5
8/1r2npk1/2p1qp2/4p2p/P1R1P2P/2R3P1/2Q2PK1/8 b - -,b7d7
r1b1r1k1/1pq2ppp/2p1n3/p3p1B1/P3P3/4Q1PP/1PP2PB1/R2R2K1 b - -,f7f6
r2r2k1/6p1/3nbp1p/2q1p3/p1P1P3/2Q3PP/2RN1P2/R4BK1 w - -,c2a2
6k1/7p/p1q1N1p1/1p2P3/3QR2P/P4r2/1P3r1P/2R3K1 w - -,d4d8
1r6/4kp2/4pn1R/2p5/r1P5/P5R1/3N3P/2K5 w - -,h6h3
r1bq1rk1/pp2bppp/3ppn2/6B1/3QP3/2N5/PPP2PPP/2KR1B1R w - -,f2f4:e4e5:f2f3
8/6pk/7p/4n3/1r6/2N4P/r2B2PK/R7 w - -,a1a2
r1b1k1nr/p1q1ppbp/1pn3p1/2p5/4P3/2P1BN1P/PPQ1BPP1/RN2K2R b KQkq -,g8f6
5r1k/6p1/3b1Q1p/3P4/1r3P2/p5P1/B1R2P1P/2R3K1 b - -,g7f6
1r6/p2k1p2/2p5/1p1p3p/P2PpPb1/1PP1N1P1/3K3P/R7 b - a3,b5b4
r1n5/1b1k1pp1/p3p1p1/1p1pP2r/1P1Q4/4R3/q1PN1PPP/1R2N1K1 b - -,a6a5
2br4/pp2kp1p/2p3p1/P1P1p3/1R2P3/7P/2P1BPP1/6K1 b - -,a7a6
r7/5pk1/r5p1/7p/7P/6P1/P2R1P2/R1K5 b - -,a8a7
8/4b1kp/2P2pp1/p3P3/5r2/5P2/5P1P/2R3K1 w - -,c6c7
8/3K1p1p/1p1PQ1pk/8/1p6/4P2P/8/8 b - -,f7e6
r5k1/6pp/p3pp2/1p2N3/3P3B/2n1P3/Pnr2PPP/4RRK1 w - -,e5f3
r3k1nr/pppqnpbp/3pb1p1/3Np3/2P1P3/3P2P1/PP2NPBP/R1BQK2R w KQkq -,c1e3:h2h4
4rrk1/pb4p1/1p5p/1Pp5/2P1Pp1P/P2P1NnB/5R2/1R4K1 w - -,b1e1
5k2/p6p/8/n3N2p/2Kp1P2/P3P3/1P1r4/7R w - -,c4b5
8/1p6/5pp1/2kP1n1p/7P/5B2/2K5/8 w - -,d5d6
2b1r1k1/1p1n1pbp/n1pB2p1/8/3P4/2N1PNP1/5PBP/R5K1 b - -,e8e6
r2q1rk1/1p1n1ppp/1bn1p3/p7/P3P3/1NB2BP1/1P3P1P/R2Q1RK1 b - -,d7e5
2r2r1k/p6p/PpB3p1/5pb1/1PpP3q/2P2R1P/4R1Q1/7K w - -,b4b5
r1b3k1/5pp1/p2q1n1p/1p1pr3/N7/PQ1BP2P/1P3PP1/2R2RK1 w - b6,a4c5
r7/1pkn2R1/p3pr1p/2q5/2Pp4/3B4/P2Q2PP/1R5K w - -,d2e1
1r2r1k1/R1Q3pp/4pnq1/8/2p5/6NP/5PP1/5RK1 w - -,c7c4
2r2r2/1b1nppkp/1qpp1np1/p7/1p1PP3/2PBNP2/PP1Q2PP/R1N2R1K b - -,c6c5
2rqr1k1/1b2bp1p/pp2nnp1/3pN3/P1pP3B/4P2P/1P2NPP1/1BRQR1K1 b - -,b6b5
8/kpp1R3/p7/P1p2p2/2P2Pp1/6Pp/3R1KnP/1r6 b - -,c7c6
8/p3k1p1/1p2P2p/2b5/2B2P1P/6P1/P5K1/8 b - -,b6b5
r3k2r/p1p1n3/1p1q1p2/3p1np1/3P2b1/P1PB2Pp/2PQ1P1P/1RB1RNK1 b kq -,e8c8
r6k/ppn4p/8/2p1P3/P1B5/2P4R/1P4P1/2K5 w - -,h3h1
r5k1/p2rbp1p/1pp2p2/6p1/3P1B2/2P2P2/PP2RP1P/2K4R w - -,h1e1
r1b2rk1/1pq2ppp/p3pb2/3n4/P7/1N4P1/1PP1QPBP/R1B2RK1 b - -,c8d7
1nb2rk1/5Rpp/8/pP1Bp3/1b2P3/2N5/1PP3PP/R6K b - -,f8f7
rnbq1rk1/1p2bppp/p2ppn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w - -,c1e3:a2a4:g3g4
1n3k1r/r1q3p1/p3Q1p1/1pb5/1P6/4PP2/P2B2PP/1K1R3R b - b3,c7d6
2kr4/pp1r1ppp/4bn2/2p5/5b2/1P3N1P/P1P1RBP1/R2B2K1 w - -,e2e1
r1q1r1k1/pbp2pbp/1p4p1/8/4BB2/2P1R3/PP3PPP/RQ4K1 b - -,b7e4
rnbq1rk1/1p2bppp/p2ppn2/8/2PNP3/1PNB4/P4PPP/R1BQ1RK1 b - -,b8c6
8/1k4p1/p2n3p/p2bp3/1P6/2PBB1P1/7P/2K5 w - -,e3c5
2kr4/1p2b1p1/2nNp1p1/P1P2p2/2P5/P4P2/r3B1PP/1R2K2R b K -,e7d6
8/2r1k2p/4pp2/p2p2p1/PpnP4/1N2PP2/4K1PP/R7 w - -,e2d3
2rb2k1/1R3pp1/2P1p2p/3n4/3P4/rN6/5PPP/2R2BK1 w - -,g2g3
6k1/1b3p2/1prp2p1/4p3/pBP1P3/Pn6/4B1PP/3R2K1 b - -,b3d4
4r2k/pp3pbp/6p1/8/4nq2/1B3N1P/PP2QPP1/3R2K1 w - -,g2g3
3r3r/5kp1/3Rp3/2p1Pp1p/2P2P1Q/3KP1N1/2P5/4q3 b - -,d8d6
r3k2r/1p2qppp/2npb3/p1b1p3/2P1P3/P1NQB3/1P2BPPP/R2R2K1 w kq -,b2b4
1r1qr1k1/nbp1bppp/1p1p4/p2P3n/Q1PN4/P1N1B1P1/1P3PBP/R4RK1 b - -,e7g5
r2r2k1/4Q1pp/4Np2/8/4P3/1P5P/q2p1PP1/2R1R1K1 b - -,d2e1q
2krr3/ppqb4/5P2/n4n2/5P2/P1PQ2P1/4NK1P/1RB2BR1 b - -,d7e6
rn1qk1nr/1bppppbp/p5p1/1p6/3PP3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq -,f1e2
8/4R3/6pk/5p2/4p3/6PP/3r4/6K1 b - -,d2d6
QB6/7p/1N6/1pK2p2/8/1k6/2q4P/8 w - -,c5b5
3r2k1/1p3p1p/3pb1p1/8/3RPP2/pP6/P3B1PP/1K6 w - -,g2g4
r4rk1/1bq2ppp/B2bp3/3n2B1/3P4/5N2/1P2QPPP/R2R2K1 b - -,h7h6
1r5k/1r3qpp/3p4/3n1p2/2QBp3/4P1PB/1P3P1P/R5K1 w - -,a1a5
1r2r1k1/2p1pp2/8/pnPP1p2/1pR5/5BP1/PP3PK1/4R3 w - -,c4f4
1r3k2/p1n4p/4b1p1/1p3p2/2pP4/5B2/P3RPPP/4K2R b K -,b8d8
r1b2rk1/pp3pb1/1np2qpp/3Pp3/2B1P3/2N2N2/PP2QPPP/R4RK1 w - -,f3d2
5rBk/1p4pP/2p2n2/R7/p3n3/q3P2Q/6P1/5NK1 b - -,a3b4
8/1p1R1pk1/1r1rp1pp/p1n5/P1P5/1P2P1P1/2B2K1P/1R6 w - -,d7d6
3r1bk1/pb1q1pp1/6rp/n1pnp2N/1p6/1BPP1P1N/PPQ3PP/2BRR2K w - -,e1e5
3rq1k1/6p1/1R2p2p/3rNp1P/3P4/4PQP1/5PK1/8 b - -,d8b8
2r5/p4ppk/q3p1bp/3pP3/r2N4/7P/PR1Q1PPK/3R4 b - -,a6a5
5r2/8/8/3k4/3b2N1/6K1/4RP1P/8 b - -,d4c5
2kr1br1/ppnbp3/1qpp2p1/5pB1/1P1PP1n1/P1N2PP1/2P1N1B1/R2QK2R b KQ -,c7e6
rn1qk2r/pb2bppp/1pp1p3/8/Q2PP3/P1N2N2/1P3PPP/R3KB1R b KQkq e3,e8g8
4r1k1/3q1p2/3p2p1/3P3p/1pNbPP2/1Pp3P1/2Q3KP/R7 b - -,h5h4
2r3k1/1p1p1ppp/p4n2/4q3/2P1p3/P3P2P/1PQ1BPP1/5RK1 w - -,f1d1
1r1q1rk1/p3bppp/1p2pn2/8/QP2B3/4P1P1/PB3P1P/R2R2K1 b - -,d8e8
8/1p3pk1/p1bp1qpp/8/2Pr4/P3Q2P/1P3PP1/4RBK1 b - -,d4e4
8/5pp1/1nB1b2p/8/1k1K4/6P1/N3PP1P/8 b - -,e6a2
rnbqk2r/ppp1ppbp/5np1/3p4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1:b1d2
2b1qrk1/1pp2pbp/n2p2p1/2PPp1Bn/1P2P3/Q1N4P/3N1PP1/4KB1R b K -,h7h6
2rq1rk1/pb1pppbp/1pn2np1/2p5/2P5/1PN1PN2/PBQPBPPP/R4RK1 w - -,a1c1
r1b1r1k1/pp1nq1pp/2pb1p2/4p3/2PPB3/1PB3P1/P2NQP1P/R4RK1 w - -,a1e1
8/3p4/p7/1p3k2/2p4K/2P3B1/PPP1p3/8 b - -,e2e1q
rnbqk2r/ppp1bppp/3p1n2/1P2p3/8/4PN2/PBPP1PPP/RN1QKB1R b KQkq -,e8g8
8/8/P1n5/6pp/3k4/6P1/5K2/8 b - -,d4e4
r2qk2r/3pb1pp/b1n1pn2/2p5/8/5NP1/PP1NPPBP/R1BQK2R b KQkq -,e8g8
r1b1k2r/1p3ppp/p1n1pn2/2b3B1/2N5/2P2N2/PP3PPP/3RKB1R w Kkq -,b2b4
r2qrbk1/1b3p1p/1pn1pnp1/p2p4/2PP4/PP1B1N2/1B1NQPPP/3RR1K1 w - -,f3e5
8/5kp1/1q3p1p/2p1p2P/6P1/2PP1P2/Q4K2/8 b - -,f7f8
2rqr1k1/1b3p1p/p3p1pB/1p1n2b1/3P4/P2N3Q/1P3PPP/1B1R1RK1 w - -,f1e1
r1b1k2r/1p2ppbp/pq1p1np1/2p5/3PP3/N1P2Q1P/PP3PP1/R1B1RBK1 b kq -,c5d4
r1bqkb1r/ppp3pp/2n1p3/3pPp2/3Pn3/5NN1/PPP2PPP/R1BQKB1R w KQkq -,g3e2
2n2r2/6q1/4R1pk/3B4/4Qp2/P3n3/KP6/6R1 b - -,f8f5
r1bq1rk1/pp2ppbp/3p1np1/2nP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3d4
rnbqk2r/pp1p1ppp/2p1pn2/b7/2PP4/P1N2P2/1P2P1PP/R1BQKBNR w KQkq -,e2e4
rnb2rk1/ppq1ppbp/2pp1np1/8/3PP3/2N1BP2/PPPQ2PP/2KR1BNR w - -,g2g4
r7/p5k1/Rb6/8/2pP1P2/2P3P1/8/6K1 w - -,g1f2
5r2/1Qpq4/6k1/2Pn2N1/3P4/P3PP1p/3B1K1P/8 w - -,f2g3
3rrk2/2q1p1bp/p4pp1/P1pPn3/2P1R3/2B4P/5PP1/3QRBK1 b - -,e5f7
r7/2kn4/8/P2Rp2p/1PK2p2/5P2/5B1P/8 w - -,f2c5
2r1b1k1/ppr2pp1/2n1p2p/3pP3/8/P1B1RN1P/1PPR1PP1/4K3 b - -,a7a6
1rb5/pp2k1pB/4p3/8/3R1r2/8/PPP3PP/1K1R4 b - -,f4d4
r4rk1/2p2ppp/pqn1b3/3pP3/4n3/1B2QN2/PP3PPP/RN1R2K1 w - -,e3b6
6k1/p2b1ppp/2n1p3/2R5/8/5NP1/P1P2P1P/1r3BK1 b - -,g8f8
4r1k1/pb1n3p/2p2b2/P1n3p1/1NP1pp2/2B5/P3BPPP/1R1N2K1 b - -,f6e5
8/1p3k2/p1p1np2/2Pp3p/1P1P3P/P4P2/2b2K2/2B2B2 w - -,f2e3
r2qrbk1/1p1b1ppp/2pp4/8/nP1N1N2/4PPP1/6BP/1RBQK2R b K -,a4c3
2r5/1pr1b2p/p2pk1p1/P1PRp3/1P2K3/4BP1P/6P1/3R4 b - -,c7c6
8/pp3pkp/6r1/1P6/2N5/P3N2P/5PK1/8 w - -,g2f3
8/pp6/4k3/4pbR1/8/2P1B3/PrP1K1P1/8 w - -,e3a7
3r1b1k/4NB1p/1p3P2/p1p3P1/4R3/2P3KP/2r5/8 b - -,c2c3
r3kb1r/2pbnp1p/p2p1qp1/1p6/4P3/1BN5/PP2QPPP/R1B2RK1 w kq -,e4e5
2rr2k1/1p2q1pp/p3pn2/P2bNp2/2BPn3/5N1P/1P2QPP1/R1R3K1 b - -,e7b4
r1b2rk1/pp1nqppp/2pb1n2/4p3/2pP4/2N3P1/PPQNPPBP/R1BR2K1 w - -,d2c4
5k2/8/1r4p1/3P3p/4PP2/8/R5K1/8 b - -,b6b4
3r2k1/bpq2pp1/p1pr3p/Pn2p3/4P3/2P2BPP/1P2QPK1/R2RB3 b - -,c6c5
