8/2k2b2/3np3/pB2P1P1/Pp1KP3/8/8/8 w - -,e5d6
1Q6/p4k1p/b3qPp1/2p5/3r4/P7/6PP/4RRK1 b - -,a6f1
r1bqkbnr/ppp2ppp/2n5/3pp3/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq e3,g8f6
6kn/1p5p/4Q3/pq1pN3/3P4/2P2P2/PP4PP/6K1 b - -,g8g7
r1bq1rk1/pp3ppp/3p1n2/4b3/3BP3/2N5/PPPQB1PP/R4RK1 w - -,a1d1
6r1/3rk3/1p2p3/5p2/1Q4pp/PN6/1P3b2/K7 b - -,e7f7
8/p7/1p4K1/1P5P/k7/8/6P1/8 b - -,a4b5
r1bq1rk1/1p3pbp/p1n3p1/2pnp3/8/N1P2N1P/PP1P1PP1/R1BQRBK1 w - -,a3c2
4rqk1/1p1b3p/1np3p1/p1npR3/P2N3P/1PP2PN1/6P1/1B2Q1K1 w - -,h4h5
6k1/p4p2/qr1p2p1/2pP2Pp/r1P1P2P/2Q2PK1/P1R5/2R5 w - -,e4e5
1r4k1/2q2pp1/3R3p/1p3N2/3QP3/2p3P1/1b3P1P/6K1 b - -,c3c2
1r3rk1/p2qnpp1/4p2p/1NPp4/8/Q7/P4PPP/1R3RK1 w - -,a3a7
4rrk1/1b1p2bp/p1nP1pp1/1pqN4/2p1P2P/Pn3NB1/1P3PP1/RB1Q1RK1 w - -,a1a2
r5k1/pp3qbp/2n3p1/3p2B1/2p5/2Pn1P2/PP2QPKP/3RRN2 b - -,d3e1
r1bq1rk1/p3bppp/1pn1pn2/3p4/3P4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,c8a6
5rk1/3qn1bp/4p1p1/p1pnP3/2P1Q1PP/8/P2B2B1/3NR2K b - -,d5b4
1r2n3/3P4/p4k2/1p1PpB1p/4Pp1K/2N2P2/P7/8 b - -,e8d6
r5k1/6bp/2p3p1/pq3p2/2b1P1P1/3PNR1P/8/4Q1K1 w - -,e3c4
r1bqk1nr/p4pbp/1pp3p1/2p1p3/4PP2/2NPB3/PPPQ2PP/R3K1NR b KQkq f3,g8f6
1rbq1rk1/pp1pnpbp/2n1p1p1/2p5/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1 w - -,f1e1
r1b1kb1r/ppp2pp1/2p4p/4Pn2/8/1PN2N1P/P1P2PP1/R1B2RK1 b - -,b7b6
2r3k1/pp1rp1b1/2npNp2/3NnPpp/P1P1P1b1/1P2K1P1/5BB1/2R4R b - -,c6a5
8/5pk1/1p6/pQ4bP/8/PBP1q3/KP6/8 b - -,g5f6
r3r1k1/pp3pqp/3p1bp1/P1pP4/4P3/5BPP/1P1Q1P2/1R2R1K1 b - -,b7b5
6rk/4q2n/5p2/2PR3Q/3BP3/5PP1/6K1/8 b - -,e7g7
3r1rk1/ppp1qppp/2n2n2/3p2B1/1b1P2b1/2N2NP1/PP2PPBP/R2Q1RK1 w - -,h2h3
1r2r1k1/5p1p/6pP/2pP4/2p2Q2/8/1q3P1P/RR4K1 b - -,b2b1
3r4/1b2k1pp/1pp1nb2/p1P1p3/4Pp2/1PBN1B2/P2R1PPP/6K1 b - -,e6c5
6k1/5pb1/6p1/1pqn4/2p3P1/2P2P2/1P3QN1/5NK1 b - -,c5c6
r1bqkb1r/ppp2ppp/2n5/1B2p3/8/2n1PN2/PP1P1PPP/R1BQK2R w KQkq -,b2c3
8/7P/2p1k3/4p3/6P1/2r1KP2/8/8 w - -,e3e4
8/5p2/5R2/p1p2p2/2P3p1/1P2PkP1/r7/6K1 b - -,f3g3
8/p3R2p/2p2r1k/3p2q1/2P4P/1P4P1/P3Q1K1/8 b - h3,g5g6
5b2/ppp3pp/4kp2/3b4/3P4/P1B1N2P/1P3PP1/6K1 b - -,f6f5
4rk2/Rp4r1/2bp1qp1/2p5/PnP1PP2/1PN2B2/1K1Q4/3R4 b - -,c6e4
5r2/p7/kpn1pp1p/3p2rq/b1pP1B2/P1P1NQ2/2P1RPP1/4R1K1 w - -,f4g5
1r3rk1/1bnnq1bp/3pp1p1/1pp5/4PP2/2P1BNNP/1PB1Q1P1/R3R1K1 b - -,d6d5
8/3k4/nBp3pp/p1Pp1p2/P4P2/2PK4/6PP/8 w - -,d3d4
r3r1k1/p1qn1pp1/2p2n2/1p1p1P1p/1P1P1N2/P1QB1PP1/7P/4RRK1 b - -,c7d6
2nk3r/1p1b1ppp/1N1bp3/pP1p4/P7/8/4BPPP/2R1R1K1 w - -,b6c8
1rbqr1k1/3n1pb1/3p2pp/Ppp1p3/4P3/P1PPBN1P/5PP1/R2QRBK1 b - -,d8a5
rnb1k2r/1pq1bppp/p3pn2/3P4/2B5/1QN2N2/PP3PPP/R1B2RK1 b kq -,e6d5
3k4/7R/2n1p2p/4Pp2/N1P2P2/4r3/4N1K1/4b3 w - -,g2f1
2r1r1k1/1bqn1ppp/p1p1pn2/1pPp4/3P1P1N/1PN1P1P1/P3Q1BP/2RR2K1 w - -,g3g4
3r1rk1/1b1nbppp/1q3n2/p4B2/1P1N4/4PN2/1P1B2PP/R3QRK1 b - -,a5b4
r1b1kb1r/pp1p1p1p/4p1p1/1B1nP3/3q4/1QN5/PP3PPP/R1B2RK1 b kq -,d5c3
r1bq1rk1/pp2n1pp/4p3/1P1pBn1P/3p4/P2B1N2/2PQ1PP1/R4RK1 b - -,d8e8
8/5r2/pp1k2p1/7p/PP1K3P/7B/3n4/8 b - -,d2f3
2q1r1k1/1p1nppb1/5np1/r2P3p/p1PB4/6P1/P1QN1PBP/1R2R1K1 w - -,c2b2
1rbq1rk1/p4pb1/2n1p1p1/1p1pP1Bp/2pP2nP/1NP2NP1/PP3PB1/R2QR1K1 b - -,d8b6
2q2rk1/5r1p/3pp1p1/2p2p2/1pPnPP2/pPbPBB1P/P5P1/1RQ2R1K w - -,e3d4
1B3b2/6k1/3p2pp/3Pp3/r3P3/5KPP/4R3/8 b - -,a4a3
rnb1kb1r/pp3pp1/4pq1p/2pp4/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQkq d6,e2e4
R7/4b3/4k3/2p2b2/3p4/3P3p/P1P3K1/8 w - -,g2h1
1r2r3/1p1q2k1/p1p2p2/2Rn2p1/3P4/3PpRPb/P1Q1P1BP/2B3K1 w - -,g2h1
N1bk1b1r/pp2pppp/3p4/6B1/3nP1n1/8/PPP2PPP/R3KB1R b KQ -,d4c2
r1bq1rk1/1p2ppbp/nnp3p1/p2P4/P1p1P3/2N1BNPP/1P2QPB1/R2R2K1 b - -,c6d5
5k2/1pR2pp1/p6p/P1Kr4/1P3P2/5bP1/4B2P/8 w - -,c5c4
r3r1k1/p1p2ppp/1p3n2/2P1q3/P3p3/B1P1P2P/4QPP1/R4RK1 b - -,e5c3
8/5p2/p2P1k1p/3r1p2/Pp1N4/1P3KP1/7P/8 w - -,d4c6
N1k4r/pp1n1ppp/4b3/b7/4PB2/2P2N2/PP3nPP/2K1RB2 w - -,b2b4
6k1/8/4p2p/1p1p1p1P/pP1P1P2/3K4/8/2B5 w - -,c1e3
1rrb2k1/3q2p1/2n1p2p/1ppnPp2/3p3N/1P1P2P1/2PBQPBP/R3R1K1 w - -,h4g6
8/6k1/3qppp1/8/3PPPP1/4Q3/6K1/8 w - -,g2h3
8/1p6/1kp5/4R1P1/p7/5K2/PPP5/6r1 w - -,f3f4
r1bqkb1r/2p1npp1/p1np3p/1p6/3pP3/1BP2N2/PP3PPP/RNBQ1RK1 w kq -,c3d4
r2q1br1/p6k/1p1Nn1b1/3pP3/8/7Q/PP2N2P/R1B3K1 b - -,g6h5
r4k1r/2p2p2/p6p/1pp2B2/3b1P2/6q1/PPQ5/1K1RR3 w - -,c2e4
r2qnrk1/p1n3bp/b2p2p1/N1pP1p2/5B2/R5P1/1P1QPPBP/3N1RK1 b - -,e8f6
r1q5/1r1nkb2/1Pp1p1p1/P1Pp1p1p/3Q1P1P/3N1PP1/R1B3K1/1R6 b - -,d7b8
3rr1k1/5ppp/b7/p2n2q1/2pB4/P4B2/2P2PPP/R2Q1RK1 w - -,f3d5
r1b1k1nr/ppp1q2p/2np2p1/8/2Q1P3/2P2N2/P4PPP/RNB1K2R w KQ -,e1g1
r1bq1rk1/1p3ppp/1pnp4/2p5/2B1PN2/3P4/PPPQ2PP/R3K2R b KQ -,b6b5
8/7k/4r2p/8/P1p1nRPb/3q4/2Q3RP/7K b - a3,e4g3
r1bq1rk1/1pp1p1bp/2n2np1/p2p1p2/3P4/2P2NP1/PP1NPPBP/R1BQR1K1 w - d6,d2b3
r5rk/7p/4N3/p6p/P1PP4/3K1P2/1P5R/8 b - -,a8b8
r2q1b1k/pp3Q2/2p2n1p/5bp1/8/PB3PB1/1P4PP/4R1K1 w - -,g3e5
2R1bk2/4p3/6p1/3P1p2/2B5/6KP/5PP1/2r5 b - -,g6g5
rn1q1rk1/pb2bppp/1p2p3/2p5/3PP3/2PB1P2/P3N1PP/R1BQ1RK1 w - -,c1e3
rnbqkb1r/ppppppp1/5n1p/8/3P2P1/2N5/PPP1PP1P/R1BQKBNR b KQkq -,d7d5
8/1b2qpk1/4pp2/p1r1P2p/1p1p1P1Q/3P3P/P4RPK/8 w - -,h4h5
8/7p/1p2p1p1/p3PpP1/3k1P2/1P1P3P/1P2K3/8 b - -,b6b5
5n2/1pq3pk/2p2p1p/p1P2b2/2Q1Np2/1P2rBnP/PB5K/3rR3 w - -,e4f6
rn2kb1r/p4ppp/1q2pn2/1p2Nb2/2pP4/6P1/PP2PPBP/RNBQ1RK1 b kq -,f5e4
r4b2/N5r1/1p2b2k/1Bp1p3/2P1Ppp1/8/R4PPP/R5K1 b - -,g7c7
5rk1/pp1b1pnp/2p1rqpQ/3pR3/3P4/2PB2N1/PP3PPP/4R1K1 w - -,e1e3
8/8/p3k1p1/1pb2p1p/4p3/1P2PP1P/PB2K1P1/8 w - -,b2c3
1R6/7p/3k2p1/8/1N3p2/1Pr1n3/2P3PP/6K1 w - -,b8d8
r4rk1/5p1p/1P6/4p1p1/2RpP3/3BbP2/2Q1KP1q/5R2 b - -,g5g4
6k1/8/8/2n5/p3p2P/2K5/p7/2N5 w - -,c1a2
3rqrk1/2n1ppbp/pp4p1/2pP4/P1P1NP2/7P/1P1QB1P1/3R1R1K w - -,a4a5
3r2k1/1p1r1qbp/p2p1np1/PP3p2/4nN2/4P1P1/2Q2PBP/R2RB1K1 b - -,d6d5
rnbq1rk1/1p2bppp/2pp4/p1nPp3/2P1P1P1/1PN1BP2/P2QN2P/R3KB1R w KQ -,e2g3
1r3nk1/3r2bp/2Q2pp1/4p3/2N5/2B3P1/1P3PKP/8 w - -,c4d6
r2q1rk1/pp2ppbp/6p1/2p5/2nnP1b1/2N1QNP1/PP3PBP/1RBR2K1 w - -,e3f4
2r1k1nr/1q2bppp/p1b5/1pB1p3/1Q1pP3/1NN5/PPP2PPP/3RR1K1 w k -,c3d5
r4rk1/1p1q1ppp/p3pnn1/2Pp4/bP1P1P2/P1BB4/3NQ1PP/R4RK1 w - -,f1f3
r4rk1/1pqnbppp/p1p1pnb1/8/P1BP3N/1QN1PPP1/1P1B3P/2R1K2R w K -,h4g6
6k1/5p1p/2q2p2/1p3PP1/2pPrB2/2Pn2KP/1P1Q4/5R2 b - -,c6d7
r1bq1rk1/pp3pp1/2nbp2p/2pn4/3P4/2P2NP1/PP3PBP/RNBQ1RK1 w - -,d4c5
3r2k1/5bpp/1p6/5p2/5P2/2n1p1P1/4P1BP/2N2RK1 b - -,b6b5
r7/ppq2kb1/2p2p2/2Pp1bBp/R3rP2/1PN2Q1P/1PP2RPK/8 b - -,f6g5
4n1k1/5qb1/2p2pp1/1pP4p/p1b1PB2/P5PP/1P3QBK/3N4 w - -,d1e3
2b2rk1/6b1/3p1n1p/1p1P2q1/pQ2pp2/P2N1P2/1P3BPP/1B3R1K w - -,f3e4
r3qrnk/1ppb2bp/3p2p1/p1nPpp2/2P1P3/PPN4P/2QNBPP1/1RB1R1K1 w - f6,b3b4
8/3kbp2/1p2p3/p2N1n2/P2P1P2/1P1KPBn1/5B2/8 b - -,e6d5
rn1qk2r/1p1bbppp/p3pn2/2p1N3/P7/8/1PPP1PPP/RNBQRBK1 b kq -,b8c6
r2qk2r/ppp2ppp/2nbp3/5b2/Q7/2NP1N2/PPP2PPP/R1B2RK1 w kq -,f1e1
r1bqr1k1/ppp2ppp/1b3n2/3p4/3BP3/2P5/PPQNBPPP/R4RK1 w - d6,d4b6
8/8/3p1k2/3P2p1/3BpbP1/7P/6K1/8 b - -,f4e5
r1bq1rk1/pp1n1ppp/2p1p3/3p4/2PP4/6P1/PPQNPPBP/R4RK1 w - -,e2e3
r6r/pp4k1/2pb1pp1/6q1/2PP4/2B1PQP1/P5K1/R3R3 w - -,a1b1
2k2b1r/5R2/4pP1p/pp1p3P/2pP4/2Pn4/P2BN1P1/6K1 b - -,b5b4
2rn4/4kppp/p7/6q1/2p5/P2BP3/2Q2P1P/4K2R w K -,d3e2
2rr4/1b3k2/7p/pp2PN2/1p1pP1qP/3Qb3/P5PK/3RN3 w - -,d3b3
8/8/8/5pk1/P1B2Rp1/6P1/5P2/3q2K1 w - -,c4f1
4k3/1p2rp2/p1pR4/P1P1P2B/4bP2/6K1/8/8 b - -,e8f8
8/5K2/8/2kp4/5PP1/b7/2r5/5R2 b - -,d5d4
r5k1/3n1pp1/3brn2/p2p1NB1/NppP3P/P3PP2/1P3K2/R6R w - -,f5d6
4B3/6p1/7p/p1k5/2Pb1pPP/3K1P2/8/8 b - -,d4f6
r1b2rk1/pp4bp/1qnp4/2p1p3/8/2P3nP/PPNP1PB1/R1BQ1RK1 w - -,f2g3
7r/1b1nkppp/p2bp3/P7/Np2P3/3BBP2/1Pr3PP/R2R2K1 b - -,c2c6
8/1p6/2p4p/2P5/6k1/P3K3/1P2P3/8 w - -,e3f2
r7/2k1p2p/2np2p1/1R2p3/1p2P3/1P3PP1/1BK4P/8 w - -,b5d5
8/4Bk2/5ppp/pB6/P6P/2b3P1/5P2/3b1K2 w - -,e7c5
5r1k/ppp1b1p1/4P2p/3nR3/3r4/P2B3P/1PP2PP1/R5K1 w - -,g2g3
q2r2k1/1b3r1p/p2B1b1P/1p4p1/P4p2/1QN5/1PPR4/2K2R2 b - -,b5a4
6k1/5R2/4p3/3pN2p/3Pn1pP/4r3/8/5K2 w - -,f7e7
rn3rk1/p4pp1/1ppqbb1p/3p4/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 w - -,d1d2
4B3/3P4/4n3/4k1K1/p6P/N2b4/8/8 w - -,g5h6
r3r1k1/pbqn1pp1/1ppbp2p/4N3/2PP1B2/3BQ3/PP3PPP/3RR1K1 b - -,d7e5
8/8/6p1/N1b1kp2/1p6/3B1K2/2P5/8 w - -,a5c4
r1b1rbk1/5p2/p1p3p1/1p2n2p/2P1PN1P/1PN1BPP1/1P2BK2/3R4 b - -,a8b8
7r/1p2p1k1/3n4/p1p1pBp1/P3P3/2PK2P1/4PP2/1R6 b - -,h8h2
8/8/4p1R1/4P2p/1r3P1P/8/5k1K/8 b - -,f2f3
1rb1k2r/p4p2/1qp2n1p/n3p3/N5p1/3P2P1/PPP1Bb1P/R1BQ1KNR b k -,b6d4
2rr2k1/1p2ppqp/p1b3p1/4P3/3R4/1PN1Q2P/1PP3P1/4R1K1 w - -,e1d1
2r5/1p5b/3kp2p/p2p4/B7/P3bP2/1P2N3/4R2K b - -,h7c2
5Q2/kp5P/p7/4pp2/P4bp1/2P2P2/KPq2P2/8 w - -,f8c5
1r3rk1/5ppp/B1qPp3/2Pn4/pP1Q4/7P/5PP1/RR4K1 w - -,b4b5
8/5pkp/R1N3p1/1p1n4/3q4/7P/4RPPK/8 b - -,d4f4
1rb1k2r/2q2ppp/p1pppn2/8/1b1QPP2/2N1B3/PPP1B1PP/R4RK1 w k -,d4d3
2r1r1k1/2q2pbp/3p1np1/1bnP4/1p2P3/5N1P/1PB2PPK/R1B1RQ2 w - -,f1b5
r4r2/p1p1qpkp/4bnp1/2p5/3pP3/3B2N1/PPPQ1PPP/2K1R2R w - -,d2g5
r4rk1/pppn1q2/4p1pP/3p4/5P2/2P1PB2/PPQ3P1/R3K2R b KQ -,f7f5
3rnR2/pp1k2p1/3P3p/4n3/8/7P/PPP3P1/3R2K1 w - -,f8f5:d1e1
2rqkb1r/1p1n1ppp/p1n1p3/3p1b2/N2P1B2/4PN2/PP2BPPP/2RQ1RK1 b k -,f8e7
8/4k3/8/7R/1P1K2p1/2P3rp/8/8 b - -,g3g2
8/7R/2k2p2/3n3P/3P4/P5P1/4b3/6K1 b - -,e2d3
7R/8/8/3n4/3k4/3r4/2K5/8 b - -,d5e3
r1b2rk1/p3pp1p/2q3p1/1p2Q2P/2p5/4P3/PP3PP1/2R1KB1R b K -,c6f6
rnbq1rk1/ppp1ppb1/3p3p/7B/3P3p/4P3/PPPN1PPP/RN1QK2R w KQ -,d2f3
1rq1r1k1/5ppp/p7/Q2Pn3/2pBP3/2N2PP1/P5KP/5R2 b - -,e5d3
1r1r4/p4p2/N3P2p/2p1k3/8/2n5/PPP3PP/2KR3R b - -,c3a2
1Q6/b5k1/2p4p/4p3/2BqPp2/1Q3P2/4K2P/8 b - -,a7b8
1q1rn1k1/pb1nbppp/1p2p3/3pP3/3P4/1P1Q1NP1/PB1N1PBP/2r1R1K1 w - -,e1c1
8/8/8/8/PK3pp1/6k1/1p1Q4/8 w - -,d2b2
8/p4rkp/3q1p2/2pN1Pp1/6P1/8/PP3Q1P/6K1 w - -,d5c3
3k4/8/3K3r/3P4/8/8/8/2R5 w - -,d6c5
1R6/8/1pr2kp1/7p/5K1P/P7/8/8 w - -,b8b7
2q1nRk1/r3n1bp/2p5/1pN3p1/p1bP3N/P1P3QP/1PB3P1/4R1K1 b - -,g8f8
r2qr1k1/2pnbpp1/p1Qp3p/8/3BN3/1P6/P1P2PPP/R3R1K1 w - -,e1e3
4r3/p1pb3p/1p1p1k2/7r/2P1pP2/2P1P3/P2N3P/2R3RK w - -,g1g3
r2q1rk1/1p1nbpp1/p1p1pn1p/2Pp1b2/1P1P1B2/2N1P3/P2NBPPP/R2Q1RK1 b - -,f8e8
r7/rp3pkp/n2p4/1b2p1p1/1P6/3P1NP1/5PBP/1R1R2K1 b - -,h7h6
5Q2/5p1k/4p1p1/3pP2p/1p3P1P/6P1/2q5/6K1 b - -,c2c7
rn1qkb1r/pbpppppp/1p3n2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,g7g6:c7c5:e7e6
3r2k1/2q2ppp/p1r5/PpNp1Q2/1PnPpR2/2P3P1/5PP1/2R3K1 w - -,f4g4
3r1k2/p1n4p/1p1p2pN/2p3P1/1PP2P2/P2P1qQP/7K/6B1 b - -,f3g3
2n1Bn2/8/3k4/P1pPp2p/2P1Pp1K/3N1P2/6P1/8 b - -,f8h7
3rr1k1/pbq1bp1p/1p2pnpB/6N1/1PnPN2P/P7/4QPP1/1B1RR1K1 b - -,c4d6
r1b1rbk1/p4ppp/2p2n2/1pp1q3/4PB2/2N3PP/PPQ2PB1/R2R2K1 b - -,e5e7
4r2k/4qpp1/2Q4p/1p1n1B2/1PnP4/4P1P1/r4PP1/1RR3K1 w - -,c6d5
8/5N2/R3p1K1/r7/p4k2/1n6/8/8 w - -,a6b6
3r2k1/R7/3p3R/p1pPp1p1/4P1P1/1r1P2P1/3K4/8 b - -,b3b2
r3r1k1/1p1b1p1B/1q3n1Q/2p5/p7/1P4P1/PB3P1P/R3R1K1 b - -,g8h8
rn1qk2r/pbpp1pp1/1p2pn1p/8/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3:f3d2
r4rk1/1p2qppp/3p4/p1nPp3/P1R1P3/5BP1/1PQ2P1P/5RK1 b - -,g7g6
rnbqk2r/pp1n1ppp/3pp3/b1p3P1/1PP5/P1N2N2/2QPPP1P/R1B1KB1R b KQkq b3,c5b4
6k1/p2r4/1pb1K1P1/2p1B2p/2P5/1P6/P7/5R2 w - -,f1f7
r7/r3bkp1/2n1p1p1/pp1p2B1/2p3BP/P1P1P1P1/1P3PK1/RR6 b - -,b5b4
6k1/4q1np/p2p1r2/2pP1p2/1P2rN2/P1Q3P1/7P/1R3RK1 w - -,b4c5
8/5p1k/2Q2P2/4P2K/7p/2P5/1r4rP/2b5 w - -,c6e4
4B3/p5k1/5p2/5P1P/1P4K1/P7/8/4b3 b - -,e1d2
6k1/6p1/6pq/3PQP1n/1r2B1K1/8/6PP/8 b - -,h5f6
8/8/4KpNk/p5pp/3p3P/3B1bb1/1P6/8 w - -,g6e7
r4rk1/pp2bppp/1qpp2n1/4p2n/4P3/2PP1N2/PPQ2PPP/R1B1RNK1 w - -,f1e3
r2q2k1/1pr2pb1/4b1pp/2Ppp3/1P6/3P2P1/2QN1PBP/1R3RK1 w - -,c2d1
rnbqkb1r/ppp1p2p/3p1np1/5p2/3P3P/6P1/PPP1PPB1/RNBQK1NR w KQkq -,b1c3
2rq1rk1/pp2b1pp/2b1pn2/3p1p2/3P4/2N2PP1/PPQ1P1BP/R1B2RK1 w - -,c2d3
rn3rk1/p4pp1/b1p1p2p/3n4/P2q4/1QN2NP1/1P2PPBP/R4RK1 b - -,d4b6
8/5k1p/4pp2/2R5/2N5/P4KP1/1P2nP1P/6r1 b - -,e2d4
2rqkb1r/1b1n1ppp/pn1pp3/1p4P1/3NP3/2NBBP2/PPP2Q1P/2KR3R b k -,c8c3
4r2r/p2n1pk1/Pp1p4/2pP1P2/2P1N1P1/1P4P1/6K1/4R1N1 w - -,g1f3
2r3k1/1brn1pp1/1p1q3p/pBpp4/3P4/1P2PN2/P1R1QPPP/2R3K1 w - -,e2d2
8/5pk1/7p/R7/1p6/3K1Pn1/8/8 w - -,a5b5
6k1/5p2/7p/R7/6P1/8/P1r3P1/6K1 b - -,g8g7
4r1k1/pq1r1pp1/1pp1p2p/3p4/1bPPPP2/1P5P/PBQ1R1P1/3R3K b - -,b4f8
r3kb1r/pp2nppp/1q2p3/8/2QP4/P4N2/1P1B1PPP/2R2RK1 b kq -,e7c6
r4rk1/1q2bpp1/3pbn1p/p3p3/1pP1P3/1P1QNPN1/P5PP/R1BR2K1 b - -,f8d8
r2q1rk1/pp1bnppp/2nb4/2p1p3/7P/1P1PNNP1/PBP2PB1/R2Q1RK1 b - -,c6d4
b5k1/3nqpbp/6p1/1pp5/1P3p2/1BPP1NNP/4QPP1/6K1 b - -,d7e5
r3r1k1/1b2bppp/pq6/4BR2/4P3/3B4/PPQ3PP/R6K b - -,f7f6
2r5/pkrbn1p1/1p2p2p/3pP2P/1R1PpBPN/P1P4R/2PK1P2/8 b - -,e7c6
3qk2r/2p2ppp/p3bn2/P1Q5/4P3/3p1N2/1r1N1PPP/R1R3K1 b k -,d8d6
bq2r1k1/2r1nppp/1p3n2/p1p1N3/1b1PPN2/1P1R1PPB/1Q3B1P/R5K1 w - -,d4d5
8/1p2k2r/8/3pP2p/P2K3R/8/8/8 w - -,d4d5
6k1/1p2r1bp/p2p2pP/2pP4/P1P5/5Q2/1P2r2P/2R2R1K b - -,g7h6
r2qk1nr/pbp1ppbp/1pnp2p1/7P/3PP3/3B1N2/PPP2PP1/RNBQK2R w KQkq -,c2c3
2k1r3/1pp2p2/p1p4r/2b1B1pp/4P3/5P1P/PPP2P2/3RR1K1 w - -,e5d4
r1bq1rk1/1p1pppbp/p1n2np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,e2e3:a1b1:b2b3:c4c5:h2h3:d4c2:c1f4
r2q1rk1/pp2ppbp/2np1np1/2p5/2PP2b1/2N1P1PP/PP2NPB1/R1BQ1RK1 b - -,g4e2
5r1k/pp3r2/2pb1n2/3ppP1p/1P4Pq/2Q2P1P/P5B1/1R3RKN b - -,f7g7
8/5p1p/3b2p1/p5k1/P3B3/6PK/8/8 w - -,h3g2
r2q1rk1/pp1n1pp1/2pb1n1p/4p2b/2P1P3/1P3NPP/PB1N1PB1/2RQ1RK1 w - -,d1c2
r3brk1/1p5p/1bn1pq2/p2p2p1/P4n2/1NP2NB1/1PBQ1PPP/3R1RK1 w - -,d1e1
3r1b1r/pk4p1/2p1b2p/5p2/R1Np4/1P1P4/1PPN1PPP/5RK1 b - -,e6d5
r1bqkb1r/pp3ppp/3p1n2/3Np1B1/2PpP3/3P2P1/PP3P1P/R2QKB1R b KQkq -,f8e7
8/3R4/5b2/5ppk/1r6/5K2/8/8 b - -,g5g4
2r1kr2/1p2ppQp/p1bp1np1/q7/4P3/1BN2P2/PPP3PP/R4RK1 b - -,a5h5
1rbq1rk1/pppnbppp/4p3/8/3P4/5NP1/PPP2PBP/R1BQR1K1 w - -,d1e2
