8/4k1p1/2p5/pP1PKPPp/7P/8/P7/8 b - -,c6b5
8/p3k1p1/1p2p2p/3pP3/2PPp3/1P5P/P5P1/5K2 w - -,f1e2
r1bqk1nr/1p1p1ppp/p1n1p3/2b5/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,a2a3
3q1rk1/4bpp1/2r1p2p/3p1P2/2pP3N/1pP3P1/1P2RP1P/RQ5K w - -,h4f3
8/8/8/6pN/4n3/5k2/2K5/8 b - -,f3e2
7R/8/8/5k2/8/r4K2/7p/8 w - -,f3g2
r3k2r/p2b1ppp/1qp1p1n1/3pP3/3Q4/1PP5/P3BPPP/RN3RK1 w kq -,b1d2
8/4k3/3R1p2/2Pp3r/1K1P4/8/8/8 b - -,h5g5
2r3k1/1p1r1p2/p5p1/8/8/3q1R2/1P3QPP/5R1K b - -,c8c2
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQR1K1 w - -,e2e4
2k5/pp2b3/4p3/3p4/1P1P1P1p/P3BKpP/8/8 w - -,f3g4
8/5p2/2k5/pp6/4KP2/1PN5/2P2b2/8 b - -,f2e1
8/4k2R/3p2p1/8/p4Pb1/P5P1/8/4K3 b - -,e7e8
b6k/3r1pp1/pQpPp2p/P3P1q1/8/1P1B4/5PPP/2R3K1 w - -,f2f4
r1br2k1/pp4pp/2n1p3/1B1p4/5P2/2q2NP1/PPP4P/2KR3R w - -,b2c3
8/4p3/4k3/2ppP2R/8/1K6/8/8 w - -,b3a4
2r3k1/3n2np/4p3/q2p1Pp1/3P2P1/b2BP2P/4N2B/R2K2R1 w - -,g1f1
r2qk2r/pp2ppbp/2B2np1/2p5/8/2N3P1/PP2PP1P/R1BQ1RK1 b kq -,b7c6
7k/pp3q1p/3n3b/3p2nP/3P2Np/PP1QpP1B/6RK/8 b - -,f7f4
3r1r2/p2bq1kp/2pp2p1/4p3/2P5/PP2N3/3R1PPP/3Q1RK1 b - -,d7e6
8/5p2/4p1p1/4P1Bp/1r3P1P/5k2/3K4/8 b - -,b4f4
r2q1rk1/p2nnpp1/1p1bp2p/2pp4/P2P1N2/1QP3P1/1P2PPNP/R1B2RK1 w - -,b3c2
1r4k1/1P3p2/2q1pnp1/3p3p/1Q6/4P1PP/5PB1/1R4K1 w - h6,g1h2
r2qkb1r/pp1bpp1p/2np1np1/1B6/3NP3/2N1B3/PPP2PPP/R2Q1RK1 b kq -,f8g7
8/1Q3pkp/p1p5/6q1/PP4B1/6P1/5PK1/8 w - -,g4f3
r1b2k1r/ppnppp2/5qp1/2P5/3N4/6P1/PP1QPPB1/2RR2K1 b - -,f8g7
rnbqk2r/pp2ppb1/2pp1npp/8/3PP2B/2N2N2/PPP2PPP/R2QKB1R w KQkq -,d1e2
r1bqkb1r/1pppnppp/p1n5/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,g7g6:d7d6
r1b3k1/ppp1r2p/6p1/5p2/1nPP3N/4nPPB/PP1Q3P/4R1K1 b - -,b4c2
rr2b1k1/2q1bppp/2p1pn2/p2p2B1/N2P4/2PB1Q2/PP3PPP/1R2R1K1 b - -,c7d8
5n2/4k3/p6p/2NP1p2/3K4/P6P/6P1/8 b - -,e7d6
r2qk2r/pbpn1pb1/1p1pp1pp/1N6/2PP4/P3PN2/1PQ1BPPP/R4RK1 b kq -,e8g8
1r1r1nk1/1R3pp1/p3p2p/q1p1P1b1/n1P1Q2P/P4N2/2B2PP1/B3R1K1 b - h3,b8b7
5r1k/2p3b1/3p4/2pPp2p/p1P1N2q/P5RP/1PQ2P2/2K5 w - -,c1b1
6k1/6R1/4K3/4B3/8/8/8/5r2 b - -,g8f8
5k2/5p2/p2N1P2/2pPp3/4Bn2/1b6/1P1K4/8 w - -,d6b7
r2qk2r/4bpp1/p2p1n1p/1pp1nb2/4P3/PBN1B2P/1PPQ1PP1/2KR3R w kq -,e4f5
8/2Rkr3/6p1/1p2BpP1/p1bK1P2/P1P5/1P6/8 b - -,d7e8
6k1/5p2/6pp/1Pb5/3p3P/1N1Q2P1/q4P2/3K4 b - -,c5b6
r2q1rk1/1p1b2bp/3p2p1/3P1p2/2PBp3/p1R4P/PP3PPN/3QR1K1 w - -,b2b3
5R2/R5pk/6r1/2r2p1p/7P/4P3/5PP1/6K1 b - -,g6b6
r4rk1/pbqn1pbp/1p1p1np1/4p1B1/4P3/1NPB1N1P/PP3PP1/R2QR1K1 b - -,h7h6
r3kb1r/pp1b1ppp/1qn1p3/3pPn2/3P4/1B6/PP2NPPP/RNBQ1RK1 w kq -,c1e3
r1bqkb1r/ppp2ppp/2Bp1n2/4p3/8/1P2P3/PBPP1PPP/RN1QK1NR b KQkq -,b7c6
8/8/p1p1kp2/1pP1p2p/1P2P2P/P2K1P2/8/8 w - -,d3e3
r3r3/1pp2p2/3p2p1/2nPk2p/p1P1Pb2/P4P2/1PB1NPKP/1R4R1 b - -,a8a5
r1b2rk1/1p1nbppp/p7/q3pN2/5BPP/2P2B2/PP2QP2/R3K2R b KQ -,f8e8
3qn1k1/1p2rp1p/3p2p1/pQ6/3N4/1P2P2P/P4PP1/2R3K1 w - -,c1c4
6qk/p5p1/1pQ4p/4P2P/8/6K1/2p5/8 w - -,c6c2
r3qr1k/ppp3pp/3pn3/4p3/4PnQ1/2P1NP2/PP4PP/R2BR1K1 b - -,f8f6
8/2k5/4p3/2P2p1p/1p5P/1P2PpP1/r1bN4/2R1K3 b - -,c2e4
3N1rk1/5ppp/3b4/p2ppq2/P7/1P5P/1B2QPP1/4R1K1 b - -,f8d8
r2q1rk1/pbpnbppp/1p1pp3/8/2PPn3/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,c3e4
3q1rk1/2r2pbp/pnn1p1p1/1p1pP3/3P3P/1P2BN2/P2Q1PP1/R3RBK1 b - -,d8e7
5rrk/p1p3q1/3p4/P1p1p3/4P2p/2P2R1P/2P1Q1P1/4R1K1 w - -,e1f1
2r3k1/p3p2p/3p1pp1/4qP2/Pp2P3/1P3Q2/1Pr3PP/R4R1K w - -,f5g6
2rq1rk1/2pb1ppp/pbnp4/1p1B4/3PP3/4BN2/PP3PPP/R2QR1K1 b - -,c6e7
r5k1/1p3p1p/3b1Np1/3p4/P7/2P3P1/1P3P1P/4R1K1 b - -,g8h8
r1b1kb1r/1q1n1p1p/p1n1p3/3pP1P1/3N4/2P1B3/1P1Q2PP/R1N1KB1R b KQkq -,c6e5
8/6kp/5bp1/1q3p1P/1pNrp3/1P4Q1/2P2PP1/4R1K1 w - -,h5g6
5k2/4Rp2/6p1/7p/5P2/6PK/3r3P/8 w - -,e7a7
rn3rk1/p1b2ppp/1p3q2/3bp3/8/1N3N2/PPP1QPPP/R2R2K1 w - -,d1d5
rnbq1rk1/1pp1bppp/p4n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQ -,f1d3:d1c2
r1b1kb1r/pppn1pp1/3ppq1p/8/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,a7a6
r1bqr1k1/1p3ppp/2p2n2/p1bPp3/2P5/2N3PP/PB1QPPB1/2R2RK1 w - -,d2c2
1r3rk1/pp3pbp/2n3p1/2pqp3/2N5/1P1PP1P1/PB2QP1P/3R1RK1 w - -,a2a3
rnb1k2r/p4p2/2p1pb1p/8/P1Bq2p1/6B1/1PQ1NPPP/R3K2R b KQkq -,d4c5
5qk1/4rb2/3p1pp1/p6p/2PQ3P/1P4P1/P4PBK/3R4 b - -,e7e2
r1b1qrk1/pp3pbp/n1p3p1/4p1B1/2P1P1n1/2N2N2/PP2BPPP/R1Q2RK1 w - -,f1d1
1n1r1rk1/pbq1ppbp/1p2n1p1/2p1P3/BPP5/P4N1P/3NQPP1/B2RR1K1 w - -,h3h4
2r1r1k1/5pbp/3qp1p1/p1p3P1/4PP2/2P3Q1/P5BP/4RR1K w - -,e1d1
rqbr2k1/1p1nbp1p/p3p1p1/4P3/8/PBN1BQ2/1P3PPP/2R1R1K1 w - -,e3f4
6k1/1r3p2/3p3p/b2Pp1pP/N1R1P1P1/5P2/1P6/5K2 b - -,b7b3
r1b2rk1/q3npbp/1pn1p1p1/p2pP3/N2P1B2/5NP1/PP1Q1PBP/R3R1K1 b - -,c8d7
r4rk1/1b3pp1/pB1ppn2/1p5p/4PPn1/1N4P1/PPP1B1P1/2KRR3 w - h6,e2f3
8/5pkp/6p1/q2PQp2/r7/7P/5PP1/R5K1 b - -,g7h6
4nrk1/1p1r1p1p/2p1p1p1/p1PpQ3/1q3PPP/1P1P3B/P4P2/2R1R1K1 b - -,d7e7
5rk1/R4ppn/3p3p/3Q4/8/1Bq1B2P/1bP2PP1/3R2K1 b - -,h7f6
1k6/2p1qp2/1nbp4/p1N1BB2/P1P3P1/1P2Q3/2K5/8 b - -,e7e5
r3k2r/pppqbppp/1nn1p1b1/4P3/3PB3/P1N1BP2/1P2N1PP/R2Q1RK1 b kq -,e8g8
r5k1/4q1n1/3p2p1/2pPbp2/1pN5/3QP1P1/1P3PB1/1R4K1 w - -,g3g4
5k2/1r6/R7/5K1P/6P1/8/8/8 w - -,g4g5
2r2rk1/1p3ppp/p4B2/b3p3/P3P3/2N4P/1PP3P1/R4RK1 b - -,a5c3
1rr3k1/3q1p1p/b2p2p1/3PP2n/1pP5/3Q1N1P/5PPB/1RR3K1 b - -,d6e5
r3rb2/pp1b1kpp/2p2p2/3p4/3P1B2/2P2N1P/PP2RPP1/4R1K1 w - -,e2e8
3rr3/ppp2pkp/6p1/1N1P4/2n5/6P1/PP3P1P/2R2RK1 b - -,c4d6
r1b1r1k1/p1pp1p1p/2p3p1/N5Pn/2B1P3/2P2P2/PP3P2/2KRR3 b - -,e8e5
3r4/6bk/2q1p2p/p3PrP1/2nB1NR1/2P5/4Q1P1/R5K1 w - -,g5h6
r2q1rk1/1pp1bppp/p3pn2/3b2B1/P2P4/5NP1/1PQ1PPBP/R4RK1 b - -,d5e4
2kr3r/1p3p2/1qp1b3/p2pP2p/3N2pP/P3P1P1/1PQ2P2/R3K2R w KQ -,e1c1
3rb1k1/pp3ppp/4p3/1P1nP3/4NP2/4Q1P1/6BP/1R5K b - -,d5e3
rnbq1rk1/pp2bppp/4pn2/2Pp4/2P1P3/2N2N2/PPQB1PPP/R3KB1R b KQ e3,d5e4
r3r3/2k1p2p/6p1/2pPp3/P1Nb3P/1P3R1K/4R1P1/8 w - -,c4e5
r4rk1/1b1n1ppp/pq6/1pb1pN2/4P1n1/1P1B1N2/PB2QPPP/2RR2K1 w - -,d1f1
2b1rnk1/1p3p1p/1r1q2pQ/p1R3N1/P2P4/4P1P1/1p3PBP/1R4K1 w - -,g2d5
8/8/p1p3r1/P4k2/1P4RK/5P2/8/8 b - -,g6h6
r3r3/pbq2p1k/2p1nnpp/1p2p3/4P2N/P3Q3/1PP1NPPP/3RRBK1 w - -,e2g3
4r3/1p3pk1/1bp3p1/p1n4p/P1B4P/1PP1B1P1/5P2/3R1K2 b - -,e8e7
3B4/5p2/pR2p1k1/2r3p1/P4nPp/7P/5P1K/8 w - -,b6a6
3r2k1/p4p1p/1b4p1/1p6/4pB2/1P2P1P1/P1R2P1P/6K1 w - -,f4e5
5k2/p3P3/2b5/p4N2/2P3p1/8/1r4pP/4R1K1 b - -,f8f7
r1bq1rk1/pp2nppp/2nb4/3p4/3P4/1PPBBN2/5PPP/RN1Q1RK1 b - -,c8f5
1br1r1k1/pp3ppp/2nq4/3p3b/QP1Nn3/P3PNP1/1B2BP1P/2RR2K1 b - -,h5g4
r1bqr1k1/pp2bpp1/1n2p2p/3n4/3P1B2/PBN2QN1/1P3PPP/R4RK1 w - -,c3d5
8/2B5/p7/1p6/1P3P1p/PP2nkpK/8/8 w - -,f4f5
4k3/ppp3p1/5p2/7P/1P6/P7/3r1PP1/5RK1 w - -,f1c1
rq2b1k1/5pp1/2p1p2p/p1RpN3/3PP3/1P5P/P3QPP1/6K1 b - -,a5a4
r4rk1/ppnbb1pp/2pp2n1/7q/2P1NP2/PP4PP/1BQ3B1/R3NRK1 w - -,c2c3
rnb1kb1r/pp2qppp/2p5/8/P1BP3N/2N1n3/1P2QPPP/R3K2R w KQkq -,e2e3
8/1p1r2k1/p3bpp1/3p3p/3K1B2/1PP2P2/P2R2PP/8 w - -,h2h3
r3k2r/p1p3bp/b1ppq1p1/Q3Pp2/2P2P2/BP6/P3B1PP/R3K2R b KQkq -,e6c8
6k1/1R6/4K3/4B3/8/8/8/4r3 w - -,b7g7
1r4k1/1pRb1r2/pQ1p1q2/3Pp3/1P2P1p1/6Pp/P1R2P2/5BK1 b - -,f6f3
2r3k1/5p2/1q2p1p1/1p1n3p/7Q/1N1NbPP1/P3P2P/3R1K2 w - -,h4e4
8/p4pp1/2pkp2p/2r5/P2R4/1P3KPP/4P3/8 b - -,c5d5
r4rk1/1pq1bppp/p2pbn2/4p3/4P3/1N1B4/PPP1NPPP/R2Q1RK1 b - -,b7b5
5r2/4pnbk/p1q3pp/1pPr4/4N2P/4QN2/PPP3P1/1K2R2R w - -,h1f1
5rk1/1p3ppp/2b5/b3p2r/2P1Nnq1/P3Q1P1/1B1N1P1P/1R2R1K1 b - -,h5h2
3Q2k1/p5p1/2P4p/4p3/8/6PP/qr4BK/8 b - -,g8f7
r2q1rk1/1p1bnpb1/p3p2p/3pP1p1/3P2P1/2NBPN2/PP5P/2RQR1K1 w - -,d3b1
r4rk1/1b3pp1/1qn1p2p/pp1pP3/1P6/P1PQ1N2/3N1PPP/R3R1K1 b - -,a8a7
rn3r1k/1b2q2p/1ppp2p1/1N1Pp3/1PP1B3/5PP1/4Q2P/1R3RK1 w - -,b5c3
8/5k1p/6p1/2bp4/2p5/4N2P/4K1P1/4N3 b - -,f7e6
r2qr1k1/3n1ppp/ppbb1n2/2Pp1B2/8/1PN1PN2/PBQ2PPP/2RR2K1 b - -,b6c5
6k1/4R1p1/5p1p/4p3/5q2/7P/6P1/Q6K b - -,h6h5
4n2k/pp4b1/3p3p/7p/3P4/1B3P2/PP1B2P1/6K1 w - -,d2e3
2brrbk1/p1q2p1p/1pp1pn2/5p2/1PPP4/P2N2P1/2Q1NPBP/3R1RK1 b - -,c8b7
8/5pk1/6p1/6Pp/5P1P/r3PNK1/5N2/8 w - -,e3e4
r1bq2k1/6pp/p7/1p1p3r/3bp3/P5P1/1PPQ2BP/R4RK1 w - -,d2d4
3k4/5p2/7p/2bNp1pP/4P1P1/p1P2P2/1nK1B3/8 w - -,d5b4
1rbqk1nr/5pbp/p1n1p1p1/1pppP3/5P2/2N2N2/PPPPB1PP/R1BQ1RK1 b k -,d8b6
8/6k1/R7/4N3/7r/4K3/8/8 b - -,h4b4
1r3nk1/2pq1pp1/3p1b2/1p6/1P1PP1p1/1N3PB1/3Q2PP/2R3K1 b - -,g4f3
5rk1/5ppp/p1P5/3Pp3/3r4/8/4B1PP/3R3K b - -,f7f5
r1bqk2r/p1p1bppp/1pn1p3/3pPn2/3P1P2/P4N2/1PPBN1PP/R2QKB1R b KQkq -,c8a6
1r1q1rk1/1pp1npbp/p2p1np1/P2P1b2/2P2B2/2N2N1P/1P1QBPP1/R4RK1 b - -,b7b6
2r3k1/4pr1p/p2p2p1/6Pn/q2RPP1R/nNQ5/2P3B1/1K6 w - -,b1b2
r4r1k/1pp2ppp/2n3b1/p3p3/P3P1Pb/1BPP2NP/1P3q2/3RRNK1 w - -,g1f2
2r1r3/p2n1pkp/4qnp1/2p1p3/1p5Q/1P1P2P1/PBRNPPKP/2R5 w - -,d2f3
rnbqk2r/pp2ppbp/5np1/3p2B1/3P4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,e8g8
2r2rk1/pb2bp1p/1p2p1p1/6N1/1PnP1q1P/P4N2/2B1QPP1/R2R2K1 b - -,e7g5
1rbq1rk1/1p2b1np/p4n1B/2pPpp2/P1P5/2N3PP/1P1QN1B1/R4RK1 w - -,d2e3
3R4/8/8/1Pk1p3/3p4/1r3P2/4K3/8 w - -,d8c8
r1b1r1k1/1pqnbppp/p3p3/n3P3/3N1B2/2N5/1PP1B1PP/R2Q1R1K b - -,d7e5
r1bqr1k1/1p2bppp/p1ppnn2/8/2PP4/2NB1N1P/PPQ2PPB/R3R1K1 b - -,g7g6
r3kb1r/pp1b2pp/2n1p3/q4p2/2BPp3/2P1B3/PP1N1PPP/1RQ1K2R b Kkq -,a5c7
2Q3k1/1p5p/p3p1p1/Pq6/1P2P3/4KP2/6PP/8 b - -,g8f7
3r1rk1/p5p1/2pp1q2/8/2b4p/2N2P2/PP1Q2PP/3R1RK1 w - -,f1e1
8/2p3r1/2R2n1k/1pb1pP2/1P1pP1P1/P2P1K1P/8/8 w - -,c6f6
r4r1k/2q3bp/2bN1np1/2p1p3/nP2P3/4B1NP/2Q2P2/2R1KB1R w K -,b4c5
8/8/1p1b4/1P1k4/4Rp1P/4pP2/4B3/r4K2 w - -,f1g2
r5k1/p6p/4p1p1/4n3/PBr1P3/8/1b2N1PP/3RK2R w - -,b4d6
rnbqkb1r/pppp1ppp/5n2/4P3/2Bp4/8/PPP2PPP/RNBQK1NR b KQkq -,d8e7:d7d5
8/7p/4k3/1n2P1P1/p3K3/8/8/2B5 b - -,a4a3
4rr1k/p1p4p/1p2q2b/3pP1p1/Q1nP1p2/P4N1P/2P1RBP1/1R5K b - -,a7a5
1k1rr3/pp3pbp/2p5/PnN3pP/R2P4/4Q3/1P2N1P1/5RK1 b - -,e8e3
r4r1k/pppq2bp/3p4/2NPpbB1/2P3B1/P6P/1P3P2/R2QK1R1 b Q -,d6c5
r1bqkbnr/p4ppp/2p5/3pp3/8/6P1/PPP1PPBP/RNBQK2R w KQkq -,e1g1:c2c4
1r2qr2/2p2pbk/p1bp2pp/B6n/2PNP3/1B5P/P1Q2PP1/3RR1K1 b - -,b8c8
6k1/p7/6B1/5p2/2Pb2P1/3K4/P3n2P/8 b - -,f5g4
1r1qkb1r/ppp2pp1/2n1bn1p/8/2P5/1QN3P1/PP1N1PBP/R1B2RK1 b k -,f8e7
5rk1/ppqr2pp/2npbp2/2p5/2P1P1PQ/1P3P2/PB5P/3RR1KB b - -,c6e5
8/p7/3p4/4bk1p/5rp1/5N1P/P1R3K1/8 w - -,f3d2
q2rn1k1/pb1rbppp/1pn1p3/2p5/2P1N3/P2PPNPP/1BQ2P2/2RR1BK1 b - -,e8d6
rnbq1rk1/pp3ppp/2p5/3P4/P1B1p3/2P2N2/5PPP/R2QK2R w KQ -,f3g1
r2qk2r/ppp2ppp/1b1p1n2/3Pp3/1PPn4/P2P1N1P/1B3PP1/R2QKB1R b KQkq -,d4f3
r2q1rk1/pb1nbpp1/1p2pn1p/2p5/2BP3B/2N1PN2/PP2QPPP/2R2RK1 b - -,c5d4:f6e4
2r2rk1/1b1qpp1p/p2p2p1/1p6/8/2bP1NP1/3NQPBP/R2R2K1 w - -,a1a2
8/4R3/1rk2b1N/3p4/2p5/8/8/2K5 w - -,e7e6
1rbr2k1/2q2pn1/p1npp1p1/6P1/4P3/1NN4P/RPP2QB1/5RK1 w - -,g1h1
rn3rk1/2q1ppb1/p1p3pp/Pp2Pb2/3PN2B/1B3N1P/1PP1Q1P1/5RK1 w - -,e4c5
r1bq1rk1/ppp2pbp/2np1np1/4p3/8/1P1P1NP1/PBPNPPBP/R2QK2R w KQ -,e1g1
r2q1rk1/1p3p1p/2pp1bp1/p4P1n/P3P3/2N1BP2/RPPQ2RP/6K1 b - -,d6d5
2R5/6k1/r1P3p1/7p/8/6P1/4PK1P/8 w - -,c6c7
2r2r2/5kp1/p3pb1p/1p1p4/8/2N1P1PB/Pn3P1P/1R1R2K1 w - -,b1b2
8/5pk1/1R4p1/p6p/P1r5/4P1P1/5P1P/6K1 w - -,b6a6
1r3kr1/3bb3/p4p2/1pp2p2/4P3/P1N5/2P1B1PP/2KR3R w - -,d1d7
4r3/5kp1/2p2p2/pb1p4/3P1BP1/2P2P2/P2R1K2/8 w - -,a2a4
8/R1P2pk1/3b4/3N4/4K3/8/2r5/8 b - -,c2c1
r1bqrnk1/1p3ppp/2pb4/3p4/p2P1B2/P1QBPN2/1P3PPP/3R1RK1 w - -,f4d6
2r5/1pp1k1pp/3n1p2/p3n3/PP2PB1P/1KP3P1/8/4RB2 w - a6,b4a5
2r4r/1p2qpk1/p2pbnp1/4p2p/4P3/1B2NQ1P/PPP2PP1/R4RK1 w - -,f1d1
2R5/p4ppk/3Npn1p/4p3/4P3/P4PP1/r6P/6K1 w - -,d6f7
1k1b4/2qP4/1p6/1PnQ4/7p/7P/5PP1/3R2K1 w - -,d5f5
2q1kr2/Rb3p1p/2p5/1pbpQ3/2p1PB2/2N3P1/1P3P1P/6K1 b - -,e8d7
8/6k1/5p2/6p1/4K1Pp/4R2P/5P2/6n1 w - -,e4f5
2kr3r/1p2q1pP/p1n1ppb1/1Nppn1P1/P4B2/3P2Q1/1PP1B3/R3K2R b KQ a3,g6h7
r4rk1/3n2pp/p1p3q1/P2p4/1P5Q/2PbB2P/3N1PP1/R3R1K1 w - -,e3d4
1rb2rk1/p1n2p1p/1p3Pp1/2pP4/4B3/B1P5/P5PP/R4RK1 w - -,c3c4
r4nk1/4qp1p/pp6/2p2R2/4pP2/7P/PPQ1BPP1/3r2K1 w - -,c2d1
r4rk1/pp2bppp/n1p1pn2/q3Nb2/1P1P1B2/P1N5/2P1BPPP/R2Q1RK1 b - b3,a5d8
2r2nk1/1p3n1p/1Pp5/N1Pp1p2/P2P3q/5NpP/6K1/4R3 w - -,f3h4
2R5/8/5kp1/4pp1p/7P/2P1K1P1/2r2P2/8 b - -,f6e6
r5k1/pp2q2p/2p3p1/3p1p2/7P/2P1QP2/PP4P1/4R1K1 b - -,e7e3
r3r1k1/pq3ppp/1pn1p3/8/1B1b4/1Q1N2P1/PP2PP1P/2R2RK1 w - -,c1c4
r1bq2k1/p3rpbp/n2p1np1/pBpP4/4P3/2N5/1P1N1PPP/R1BQ1RK1 w - -,f1e1
8/8/8/1b1kBp1p/3P4/4K2P/8/4b3 w - -,e3f4
1k1r3r/p4ppp/Bpb5/2pNb3/P1P5/7P/1P3PP1/R2R2K1 w - -,a4a5
rnb1kb1r/pp3ppp/4pn2/q7/2PQ4/2N2N2/PP2BPPP/R1B1K2R b KQkq -,b8c6
7r/1kqnbppp/4p3/P1p1P3/Qp2P3/6P1/1B3P1P/2R2BK1 b - -,h8c8
2k3r1/1p1bbp1r/pB1pp3/q5p1/4P3/2NR1P1P/PPP2Q2/1K5R b - -,a5e5
2k4r/ppqn1ppn/2pbp1p1/7r/3P3P/4BNP1/PPPQ1P2/R3RNK1 b - -,d7f6
r4bk1/1p1q2r1/p3p3/3pPp1Q/3N1P1p/4P2P/5P1K/R5R1 b - -,d7f7
2bq3k/p3bQpp/1p6/3n4/3P4/1P2B1P1/P4P1P/R5K1 b - -,d8g8
r1r3k1/4bppp/2b5/p3pP2/4P3/PqNRBQ2/1P5P/3R2K1 w - -,c3d5
rnb2rk1/pp2ppbp/1npq2p1/8/2BP4/2P2N2/PP1N1PPP/R1BQ1RK1 w - -,c4b3
1br3k1/pb3ppp/1p2pn2/8/1P2P3/P1Q1BP2/4N1PP/1qN1K2R w K -,c3d4
8/1p4k1/3p3p/2PP4/8/5QPp/5P1K/5q2 w - -,c5d6
3r2r1/p6q/kpn1p1p1/3pP2n/b1pP1PB1/P1P3B1/2PQ3R/3N1R1K w - -,g3h4
r3r1k1/p1q1npp1/2pb1p1p/5P2/2pP4/2P1B2P/PP1QN1P1/4RRK1 w - -,b2b3
8/5bk1/pR6/1p2p3/4B2P/5PK1/r5P1/8 b - -,f7c4
8/8/1B2kp2/4b1pp/2K1P3/1p3P1P/P5P1/8 w - -,a2b3
8/8/r1p2k1p/2R2p1P/5P2/6P1/2K5/8 w - -,c2b3
r2qnrk1/pp1b2bp/n2p1pp1/2pPp3/2P1P1P1/2NBB2P/PP1N1P2/R2QK2R b KQ -,d8b6
1r2r3/2qb2kp/p2p1pp1/2p5/2PpPP2/1P4PP/P2Q2BK/4RR2 w - -,h3h4
3rr2k/2q1b1pp/1pp2p1n/p1P5/PP1PP2P/B1N2R1Q/6P1/3R2K1 w - a6,f3d3
2k5/2b1n3/r3bp2/6pp/1BNpB3/3P2P1/1R2KP1P/8 b - -,c8d7
5k2/p7/P1R4p/1P4p1/3r2P1/8/6K1/8 w - -,b5b6
rnb2rk1/1p2qpp1/pN1p3p/2pP4/7P/1PBB4/P4KP1/R2Q3R b - -,a8a7
6r1/1b3q1k/1p1bp1r1/pPp1n2p/P1PpP1p1/3P1Pp1/1R1NB1KP/1QB1R3 w - -,f3f4
