8/pp4K1/1kp1PQ2/8/8/P5q1/8/8 w - -,g7f7
2r5/5kp1/p1p1bp1p/P1B5/8/2R4P/5PP1/5K2 b - -,c8d8
r5n1/pp1b2bB/2n2k1p/3pp3/3p4/5PB1/PP4PP/RN2K2R b KQ -,g8e7
r1q2rk1/4bppp/1B1pb3/1P2p1P1/pn2P2P/1NN2P2/1PP5/2KRQ2R w - -,b3a5
5n2/p3k3/1p2p2p/1Pp3p1/P1P1KPP1/3B3P/8/8 b - -,f8d7
r1nb1rk1/p7/3p2p1/1P1Ppp1n/4P2p/2N1BP1P/4N1P1/R4RK1 w - -,a1a6
8/3n4/1p1Pk1p1/1Pr1pp1p/P1N5/4K1P1/7P/2R5 w - -,e3d3
8/8/4qbk1/Q2B1p2/6p1/6B1/5PK1/8 b - -,e6d7
8/2K5/4P3/8/2Q5/1rp5/1k6/8 w - -,c4d4:e6e7
8/8/3k3p/4p3/6pR/5rP1/4KP2/8 b - -,f3a3
r1bqr1k1/1p1nbpp1/p1p1pn1p/8/2BP3B/2N1PN2/PPQ2PPP/3R1RK1 b - -,b7b5
5rk1/1pr2pp1/p1nqpn1p/3p4/3P4/P1NQPN1P/1PR2PP1/5RK1 w - -,f1c1
3qk2r/pr1nbppp/1p2p3/1QppN3/3P4/2P1PN2/PP3PPP/R3K2R b KQk -,e8g8
2r2rk1/1b1n1ppp/pq2pn2/1pb5/5B2/P1N2NP1/1PQ1PPBP/3R1RK1 b - -,f8d8
8/3k2pp/p1pp4/2p2p2/P1R2P2/5K2/2P2P1P/r7 w - -,h2h3
6k1/p6p/3n1p2/8/1P6/P2K1P2/1B4P1/8 b - -,g8f7
8/p4pk1/B4n1p/4N1p1/3n4/7P/PP3RP1/2r3K1 w - -,g1h2:f2f1
r2q1rk1/1pNnppbp/p2p2p1/2pP4/P3PP2/3B1Q1P/1PP3P1/R1B2RK1 b - -,d8c7
8/8/8/1P3Rpk/p7/6PP/1r6/6K1 w - -,b5b6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/P1N5/1P2PPPP/R1BQKBNR w KQkq -,c1g5
r5k1/5ppp/4p3/1bqpP3/rp1N1P2/8/P1PQ2PP/R3R2K b - -,b5d7
r1bqk2r/1p2npbp/2np2p1/p1p1p3/2P5/P1NP2P1/1P2PPBP/R1BQKN1R b KQkq -,e8g8
rn2k2r/pp2nppp/2p4q/3pB3/1b1P4/P1NQ4/1PP1NPPP/R4RK1 b kq -,b4d6
2rr2k1/1b3p1p/pp3np1/4pqQ1/P2P4/2P2P2/3BB1PP/R4RK1 b - -,e5d4
2r1rnk1/p4ppp/bpp5/q7/3PpB2/P1P1PN1P/1Q3PP1/R1R3K1 w - -,f3e5
6k1/1q1nBpb1/1p1Pp1pp/p3r3/2PN4/1P5P/P3Q1P1/3R3K w - -,e2f3
r3k2r/1p2ppb1/p2p1npp/q7/3NPPb1/2N2BP1/PPP1Q2P/2KR3R b kq -,g4f3
2b5/8/pnNp1k2/1p2p3/1P2Pp2/P2P1N2/3K2P1/8 b - -,c8b7
4R3/8/p4B2/3p4/1pp2P2/3k4/PP6/7K w - -,f4f5
r5k1/6pp/p7/4Bn2/1R6/1P4P1/r6P/4R1K1 w - -,b4b7
r4rk1/1p2bppp/pB2pn2/8/8/2P5/PP3PPP/RN2R1K1 w - -,b1d2
8/3b1p2/4pp1p/1p1k4/1P4PP/4KP2/2P1B3/8 w - -,e2d3
4r2k/p1R4p/P3p3/8/1p1PK3/7P/r7/6R1 b - -,a2a6
r1q1r1k1/1b1n1pbp/p4np1/2p5/1B2P3/2N2NPP/PPQ2PB1/R2R2K1 w - -,b4a5
5rk1/5qpp/p2Rp3/1pr5/2p2P2/P3P1P1/2Q4P/R5K1 w - -,d6a6
8/1Q4k1/p3bp2/4pq2/7p/4B2P/6PK/8 b - -,e6f7
8/7p/3p1q1P/Q2Pp1k1/P1P2pP1/5K2/1P6/8 b - -,f6e7
2r2bk1/1p2pp1p/1n4p1/pB6/3PbB2/P3PN2/3K1PPP/2R5 b - -,c8c1
8/p6p/1b4p1/1P2kp2/8/2N1nP1K/P3N2P/8 w - -,f3f4
4r1k1/p1QR1rb1/5q1p/2P2p2/p1n2Pp1/4P1P1/P4N1P/2B2RK1 b - -,c4e3
2rq1rk1/3b1pp1/3b3p/p1nPp3/8/1P4P1/PBQ1NPBP/R2N1nK1 w - -,g1f1
4k2r/4bp2/4p2p/p2pP3/2pP3p/Pb2R1P1/2N2PK1/1B6 w k -,c2a1
qr2r1kb/4pp1p/1n4p1/1QNbN3/p2P4/P3BP2/1P4PP/2R1R1K1 w - -,c5a6
8/p5k1/1p2p1p1/1b2P1r1/2pR4/P1P5/2P1BK2/8 b - -,g5f5
r3kb1r/1p1n1ppp/p3pn2/3pNb2/1q1P4/2N1P3/PP1B1PPP/2RQKB1R b Kkq -,b4b6
r3k2r/pbpnqp2/1p1ppn1p/6p1/2PP3B/P2BPN2/1P2QPPP/R3K2R w KQkq g6,h4g3
rnbq1rk1/ppp1ppbp/5np1/3p4/3P4/2N2NP1/PPP1PPBP/R1BQ1RK1 b - -,c7c6:b8a6
2n1r3/1k1b4/4pPp1/1p1p3p/pPpP1qpR/P1P2N1P/4Q1K1/7R w - -,h3g4
2k2r1r/pp1bn3/2n5/q2pp2N/2p4P/P1P3P1/2PB1PB1/R2Q1RK1 w - -,d2g5
r5r1/pp1bk2p/1q2pp1b/8/6n1/1BN3N1/PPR2PPP/3Q1RK1 w - -,g3f5
1r2k3/5p2/1P1R2p1/p2Pp3/4P3/3P2P1/6KP/8 b - -,a5a4
r3k1nr/1pp3pp/p1pb4/4p1B1/4P1b1/5N2/PPP2PPP/RN1R2K1 w kq -,b1d2
2rr2k1/pp2p1bp/4p1p1/2P5/8/Pn1BB2P/1PR1KPq1/3Q3R w - -,d1g1
8/7p/6pK/8/2n1k3/3p4/7P/2B5 w - -,h6h7
4r3/2n2k1q/p2p1P1n/P1p1b3/4N1pQ/8/1P2RBPP/4R1K1 b - -,h7g6
5r1k/pp5p/5n1q/6p1/3Q4/2B1rPP1/PP4KP/3R1R2 b - -,e3e2
8/p5kp/1b6/4p3/5p2/1P4P1/P4P1P/3B2K1 b - -,g7f6
2r5/1R3p1p/3k1p2/4p3/4P3/8/2n1K1PP/2R5 w - -,e2d2
8/pp1k2r1/3Pp3/5p2/r5BP/6R1/2P5/1K4R1 w - -,g4e2
2r3k1/1p2bpp1/1r2p3/3p1b1p/2pP3P/P1P2PP1/1P2BK2/2BR3R w - -,d1e1
4R1k1/3q1rp1/p2r1n1p/1p6/3PQ3/PB5P/1P3PP1/4R1K1 b - -,f6e8
4b2k/1p6/p2p3p/3Pp3/PP2P3/K1Q2PR1/2R3P1/3qr3 w - -,f3f4
1r4k1/4qp1p/3p2p1/2pP1n2/1r2N3/1P5P/P2b1QP1/4RR1K w - -,e4d2
r4rk1/pp3pp1/4p1p1/q2pN3/3P3b/2P4R/PP1Q1PP1/5RK1 b - -,a5d8
6rk/1pN5/5n1p/p2Pp3/3nR3/8/PP4B1/6K1 w - -,e4e3
3rr1k1/p1qnppbp/1pnp2p1/2p5/3PP3/2P1BNNP/PP3PP1/R2QR1K1 b - -,e7e5
4b3/4r1k1/8/R4P2/p3BKP1/8/8/8 w - -,g4g5
8/3n1K2/3k2p1/1p3p1p/7P/1B4P1/8/8 w - -,f7g6
r2r2k1/2p3pp/5b2/p2R4/Np2R3/1P3P2/1PP2KPP/8 w - -,d5d8
8/3B4/1k6/1P6/b2p4/5PP1/4K3/8 w - -,e2d3
3r2k1/pb3pp1/1p2p2p/3n4/4Bq2/P4P1P/1P3QP1/3RR2K b - -,d8c8
1k5r/1p1r1p2/pnn1p1p1/3p2Pp/3b3P/BP5R/P1PPNP2/1K1BR3 b - -,d4g7
2rq1rk1/p4ppp/1b6/1B1p4/4n1b1/1N1Q4/PPP2PPP/R1B2RK1 w - -,c1e3
rn1qk2r/1bpp1ppp/1p2pn2/p7/1b1PP3/2NB1N2/PPP1QPPP/R1B1K2R w KQkq a6,e1g1
r1bq1rk1/ppb2ppp/2p1pn2/3nN3/P2P4/1P3NP1/2Q1PPBP/R1B2RK1 b - -,d5b4
2b2rk1/2qn1pp1/2p5/2Pp2bp/Q2Pp1n1/2B1P1P1/P4PBP/1RN1N1K1 b - -,d7f6
2q1r1k1/1b1rbppp/p2p1n2/1p2P3/4P3/P1NBBR1Q/1PP3PP/5R1K b - -,d6e5
7k/6p1/5n1p/3q4/3n3P/2pBQPP1/6K1/2B5 b - -,d5a2
2rb1rk1/pp3qpp/3p4/nP1NpP2/2P5/3P1N2/5PPP/1R1QK2R b K -,f7f5
5r2/6pk/p1p3n1/1p1Nrp2/4pN2/P3B2P/1PP1K3/3R4 w - -,f4g6
4r1k1/1bq3pp/p2bpr2/1p3p2/2pPnP2/2P4Q/PP2BNPP/2B1RRK1 b - -,f6h6
4r3/p1p5/2pbk1p1/4p3/r1P1P1P1/8/PBR2PK1/R7 w - -,b2c1
r4rk1/ppqnbppp/2p2n2/4p3/2P3b1/1PN2NP1/PBQ1PPBP/R4RK1 b - -,d7c5
8/1p6/8/n7/3k4/3p2N1/7P/3K4 w - -,h2h4
r3kbnr/p2b1ppp/1q2p3/2ppP3/8/2PB4/PP2QPPP/RNB2RK1 b kq -,g8e7
8/8/Q5pk/2q2p1n/3N4/1p1P2P1/5P1K/8 w - -,a6a1
6k1/4pp1p/3p1np1/3P4/Q2P1q2/1r3B1P/6P1/3R3K b - -,b3e3
5k2/5p2/P2Rp3/8/1K4p1/8/2P5/r7 b - -,g4g3
r5k1/1ppn1ppp/3q4/pPQp1P2/P5P1/1NP4P/5P2/R5K1 w - -,c5e3
r1bq1rk1/pp1pnpbp/4p1p1/8/2BpPP2/2NP4/PPP3PP/R1B1QRK1 w - -,c3d1
r1bqk2r/pp2bppp/2n1pn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,b7b6:e8g8:b7b5
1b6/8/8/3pn3/1P2k1p1/1NP2P2/4K3/6B1 b - -,g4f3
3rkn2/p1q1b3/P4p1r/3p3p/1p1P4/1N1P1Q2/1P2RPPP/4R1K1 b - -,h6h7
7k/1R1Nn1bp/8/r2Pp3/4Pp2/5B2/6PP/6K1 w - -,b7b8
8/8/1p2p3/p7/P3k1pR/2p1n3/2P1K3/8 w - -,h4h6
6k1/7p/6p1/2RPp3/3r4/1P6/6PP/6K1 w - -,g1f2
r3k2r/5pb1/p2R1n1p/1p2pPp1/q3P3/P4Q2/1PP2BPP/2K2B1R b kq -,e8g8
2rr2k1/pb3ppp/1p1pp3/4n1q1/PPPQ4/1N2PP2/4B1PP/R1R3K1 w - -,d4f4
r1r3k1/1b1p1ppp/p3pn2/1p2n3/3NP1P1/P1P1BP2/1KP4P/3R1BR1 b - -,d7d5
1kr1b3/1pqn1pp1/p1r1p2p/3pPP1P/1R1Q2P1/P1N5/1PP5/1K1R1B2 w - -,d1e1
r1bqk1nr/pp3pbp/3pp1p1/8/2BpPP2/3P4/PPP3PP/RNBQ1RK1 w kq -,b1d2
8/7R/3k4/5P2/5K1p/5N2/5b2/r7 b - -,a1a4
1qr2rk1/1b1n1pb1/pp1ppnp1/7p/2P1P3/1PN1N3/P2BQPPP/1BR2R1K w - h6,f1e1
2r1r1k1/1b1q1pb1/p2p2p1/R2P4/3Nn2p/Q3B1P1/1P3PBP/3R2K1 w - -,d4c6
6k1/3R4/4P3/5P2/5KPp/r7/8/8 b - -,h4h3
r1b1kb1r/p4pp1/1qp2n1p/n3p3/4N3/3B1Q2/PPPP1PPP/RNB1K2R b KQkq -,f8e7
2rq2k1/4n1rp/p2pQ3/1p1Pp2P/5p2/2N5/PP2B3/R3K2R b KQ -,g8h8
3rrnk1/1p2np1p/2p1p1pQ/p1q5/2P1P2P/1P3NP1/PR3PB1/5RK1 w - -,b2d2
2r1r1k1/1q2ppbp/1pNp1np1/p1nP4/4P3/1P3P2/PB1NR1PP/2RQ2K1 b - -,c5d3
4Q3/5p1k/6p1/p6P/8/1q3pK1/5P2/8 b - -,a5a4
r4rk1/1p3p1p/2bR1bp1/q1n1p3/p1P1P1P1/2N4P/PPQ1BP2/2K2N1R b - -,f6g5
8/7P/8/6k1/1r6/6K1/8/3R4 b - -,b4b8
r1b5/2pq1p1k/pbNp1p1p/1p1Pn1r1/PP2P3/5NPP/2B1QP1K/2R3R1 b - a3,h6h5
2kr3r/pbp2n1p/Bpnqp3/5pp1/Q2P4/2P2P2/PP1NN1PP/2KR3R w - -,d2c4
r1q5/4kppp/5n2/pp2p3/1p2P3/1P2BQ1P/P4PP1/4R1K1 w - -,f3g3
8/8/8/5p1p/2kr3P/3p4/3Q1PPK/8 w - -,f2f3
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,f8b4:f8c5:d7d6:d7d5:g7g6:f8d6
r1b1kb1r/pppp1ppp/3q4/4n3/8/2PBB2P/PP3PP1/RN1QR1K1 w kq -,e3d4
6rk/2p4p/4R1b1/1PpPqp2/2B5/8/5PPP/6K1 w - -,e6e5
2r3k1/4pp1p/p2p2p1/1p1P4/8/1P4P1/PR2PPKP/8 b - -,g8g7
rnbqk2r/pp2ppbp/6p1/5n2/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,d4d5
r4rk1/2p2p1p/p1pb2p1/1p2p3/4P3/3PNP1P/PPPBnP1K/R3R3 b - -,e2d4
2r2r1k/2b5/p5B1/3Q4/3P3q/P1P4P/1P4P1/2RR2K1 b - -,h8g7
r7/1p4kp/2n5/p3r1N1/P1p5/2P4P/1P4P1/R3R1K1 w - -,g5f3
r7/1R5p/6p1/1p3pk1/8/1N3P2/2r2P1P/4R1K1 b - -,a8a2
r1b2rk1/ppqn1pBp/2pp1np1/8/3pP3/2N2N2/PPP1BPPP/R1Q2RK1 b - -,g8g7
r1b1r1k1/p4ppp/1p2pn2/1qN1N3/1n1P4/6P1/1P2PPBP/R2Q1RK1 b - -,b4d5
3rr1k1/pp1nqpp1/2pbp2p/8/2PP4/2N1BQPP/PP3P2/2R1R2K w - -,f3g2
q1r1kn1r/1b2bp2/pp1pp3/4n1P1/1PPNPQ2/2N5/P3B1KP/2R2RB1 b k -,f8g6
r1bq1rk1/p1p2ppp/2p5/1BbpP3/4n3/8/PPP2PPP/RNBQ1RK1 w - -,b5d3
rn1q1rk1/pb2b1pp/1p3n2/2pp1p2/8/1PN1PNP1/PB1P1PBP/R2Q1RK1 w - c6,d1c2
r1bq1rk1/pp1pppbp/2n2np1/8/2PN4/2N3P1/PP2PPBP/R1BQK2R w KQ -,d4b3:e1g1:d4c2
r2q1rk1/ppp1p2p/2n2bp1/7n/3P2b1/2NBBN2/PPPQ2PP/R3K2R w KQ -,e1c1
8/5k2/3p2p1/p2r4/Pb2R3/8/1B2K3/8 b - -,d5d2
r2qr1k1/5ppp/b2p1bn1/2pP4/pp2PPN1/4B1PP/PPB1R3/1R1Q2K1 w - -,e2e1
8/6k1/2b2p2/6p1/2BK3P/2B5/5P1P/8 b - -,g5h4
r3rbk1/1bqn1ppp/pppp1n2/4p1B1/1PPP4/P1N1PN2/2Q1BPPP/2RR2K1 w - -,h2h3
2b3qk/p5rp/2p5/5p2/1P2pP2/2Q1N2P/P6K/8 b - -,g8a2
r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1P1b1/2PP1N1P/PP3PP1/RNBQ1RK1 b kq -,g4f3
2kr1b1r/1ppq1ppp/p1n1p3/5b2/Q1PPn3/P1N1BN1P/1P2BPP1/R4RK1 w - -,f1d1
rnb2rk1/2q1bppp/p2ppn2/6B1/1p1NPP2/2N3Q1/PPP1B1PP/2KR3R w - -,g5h6
3r2k1/4q2p/1prNppp1/p1n1P3/P1R5/4Q3/1P3PPP/4R1K1 w - -,e3f3
2k5/2b2p2/p3p2p/4P3/1PP2P2/4B3/2PQ2qr/1K1R4 b - -,g2d2
8/8/3pk3/4p1p1/3rP1P1/2R2P1r/PKR5/8 b - -,d4b4
3qr3/kp4p1/1b3pPn/p7/P2R1P2/3Q3P/1P4B1/1K1R4 b - -,d8d4
8/5pkp/R1n3p1/p4P2/1r1nP3/6P1/1P1R1K1P/8 w - -,f5f6
b1rqr1k1/5ppp/3p4/1Q1P1P2/1p2P2N/1Rb1B2P/2B3P1/3R2K1 b - -,d8h4
r1b1n1k1/6pp/p1n1p2r/1p1pN3/5PK1/P1NB2P1/1PP4P/4R2R b - -,c6d4
5k2/6p1/7p/p6r/3P1q2/1QP2P1N/6P1/3R2K1 b - -,f4g3
1rb1k3/8/p3p1pp/1pbpPp2/2nP1P2/P5P1/NPR2K1P/2R5 w - -,d4c5
r1bqk2r/3nbppp/pp1ppn2/8/2PP4/P1N1BN1P/1P3PP1/R2QKB1R w KQkq -,f1d3
r4rk1/2q4p/b1p1n1pQ/p1P1p3/3pN3/6PP/PP1R1P2/R4BK1 w - -,f1a6
1r1qk2r/pb1n1pbp/1pBp1np1/2pPp3/2P1P3/2N2N2/PP3PPP/R1BQ1RK1 w k -,c3b5
r1r3k1/5pp1/2pB2q1/p1P2nnp/p7/3Q4/1P1N1PPP/2R1R1K1 b - -,c8e8
3r4/8/2k5/5q2/7b/2P5/PP6/1K2QR2 w - -,f1f5
2kr3r/pp2npp1/2pq1np1/3p4/3P4/3B1PN1/PPP1Q1PP/R3R1K1 b - -,d8e8
r1b1nrk1/pp3ppp/2npp3/6B1/1bP5/2N1P3/P2NBPPP/2RR2K1 w - -,e2f3
8/1B4k1/7p/1pb5/6p1/2r3P1/R1N3KP/8 w - -,a2b2
2rq1rk1/pp4pp/4pb2/3p2P1/P2PnP2/3Q3P/1P1N4/R1B2RK1 b - -,f6g5
8/5kp1/8/5P1p/K6P/6P1/1q2b3/8 w - -,a4a5
r7/2p1k2p/1p2bpp1/p1r5/3RPP2/2P3P1/P1RK3P/5B2 b - -,a8h8
1br3k1/p5pp/1p2pr2/n2p4/3P4/2P2NP1/P4PBP/R3R1K1 w - -,a1c1
3rr1k1/2q2pbb/2p2npp/1p6/1P1pP3/P5P1/1BQN1P1P/3RRBK1 b - -,c7b6
3qr1k1/1b2bp2/p4p1p/np1p1P2/3P3B/2r2B2/P2N2PP/1Q2RR1K w - -,e1e2
4k2r/1pq1bpp1/2p1b3/3pP1p1/8/1PN1B3/1PP2QPP/5RK1 w k -,f2g3
r3kb1r/1pq1pppp/p1p5/3NPb2/8/1Q2P3/PP3PPP/R1B1KB1R b KQkq -,c6d5
r1q1n3/1ppb3k/3b2rN/3Pp1P1/4Pp1B/8/1P2B1P1/2RQ1RK1 w - -,e2h5
4r3/5p1p/8/p5k1/bpR1P3/6P1/P2r2BP/4R1K1 b - -,e8e5
r3nrk1/1p1bb1pp/p2Bp3/5p2/2P5/2N3P1/PP2PPBP/R2R2K1 b - -,e7d6
r3r1k1/ppqn1ppp/2pb1n2/3p2B1/3P2b1/2PB1N1P/PPQN1PP1/R3R1K1 b - -,g4h5
2br2k1/p3ppbp/pr4p1/2p1P3/B4P2/5NnP/PPP2KP1/R1B1R3 b - -,g3f5
2r3k1/7p/4p1p1/4P3/Pp6/r3R2P/P1p2PP1/2R2K2 b - -,a3a2
r3k2r/p4ppp/2p1bn2/2bq4/3p4/3Q1NP1/PPP1NP1P/R1B2RK1 b kq -,e6f5
2r2rk1/pp3pbp/8/R4p1N/2pq4/1P3Q2/P1P2PPP/3R2K1 b - -,d4g4
6k1/5p2/p1n3p1/1p2b2p/5N2/1P4PP/P3NP2/6K1 w - -,f4d3
4r3/1p3pkp/b1pR2p1/p3q1P1/P3P2P/8/2P2QB1/4R1K1 b - -,e5d6
8/2p3k1/3p1npp/p2Pp3/P3P1b1/2PB2P1/3N2KP/8 b - -,g4d7
8/1b6/1p1k3p/p3pBpP/6P1/bP2P3/P2BK3/8 b - -,b7a6
5r1k/4n1rp/2pNpqp1/1pP1R3/p2PQP1P/P5K1/1P3R2/8 w - -,f2h2
8/8/p3r3/6PP/5Q1K/4r3/P5k1/8 w - -,f4g4
r1bqk1nr/1p1pppbp/p5p1/1B6/3pPP2/8/PPPPN1PP/R1BQK2R w KQkq -,b5d3
r1b2rk1/p2nq1pp/1pp1pn2/3p1p2/2PP4/1P3NP1/P2NPPBP/R2Q1RK1 w - -,d1c2
8/pp1k3p/3r4/PP2bp2/2Rnp3/7B/5P1P/3R3K w - -,c4d4
3r1bk1/1bn3rp/1Nq2p2/p1Pp1Pp1/1p6/1P4PP/P1R2BBK/2QR4 w - -,c2d2
2q2B2/2r1Q1pk/4p1p1/pp2P2p/1Pb4P/P1R2P2/6P1/6K1 w - -,e7d6
r4rk1/p2bpp1p/1qpp2p1/4P3/7b/1BN3P1/PPP2P1P/R2QR1K1 b - -,h4g5
5rk1/1pqb2pp/p7/4b3/P1p5/2P1BN2/1P1Q2PP/R5K1 b - -,d7c6
2rn4/pbn1k1bp/1p3pp1/2p1p3/2P5/P1B1PN1P/1P2BPP1/1N1R2K1 b - -,d8e6
r2q1knr/1bpn1ppp/p2bp3/1p2N3/P1pPP1Q1/2N3P1/1P3PBP/R1B2RK1 w - -,e5d7
rnb1kbnr/pppp1ppp/5q2/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq -,d4e3
8/7p/2b1k1p1/4pp2/2P1P3/3NKP2/r1B3PP/8 w - -,e3d2
8/7p/1K3Pp1/3k1r2/P3R2P/8/8/8 w - -,e4e7
6k1/3rbppp/p3p3/1p2P1P1/2q2B2/1PP2Q2/P6P/1K3R2 b - -,c4c8
r3n1k1/2p1qp2/1p1r2p1/pQ1Pp2p/P3P3/3R1PPB/2R2K1P/8 b - -,g8g7
5rk1/2R2pp1/7p/p2r4/8/1P3P2/P5PP/4BK2 b - -,d5d1
3r2k1/1n2rppp/1p2pn2/5qB1/2pP2NP/6P1/PP3P2/R2Q1RK1 w - -,g5f6
4rrk1/1p3p1p/p2pP3/3P4/P1p2PP1/2Nb1R2/1P5K/R7 w - -,f4f5
