8/5pk1/6pp/8/2RN1P2/4pKP1/3b3P/r7 w - -,d4c2
5rk1/1p4p1/p3p2p/3pP2P/b1nP2R1/3R1PQ1/P3N3/1q2K3 w - -,e1f2
2r1r3/1b3k1p/p3p3/1p1pBp2/4nPP1/PP1BK3/2P4P/R5R1 b - -,e8g8
r1bq1r2/pp2ppkp/6p1/3p4/3P3P/2PBP3/P4PP1/R2QK2R b KQ -,d8a5
8/p2q4/P2p2k1/Rp1Pr3/1Pr1p1p1/2P1RpPp/3Q1P1K/8 w - -,e3e1
1r1q1rk1/3b1pbp/2n1p1p1/3pPn2/3P1B2/5NP1/2N2PBP/R2QR1K1 w - -,c2e3
8/1p2k3/2p1p1b1/1PPpN1r1/3P2pR/4r2P/1R5K/8 w - -,h3g4
r1bqrnk1/pp2bp1p/2p2np1/3p2B1/3P4/2NBPN1P/PPQ2PP1/1R3RK1 b - -,f8e6:a7a5
r3r1k1/p1q2pp1/2p2nbp/1p2P3/6P1/2N2Q1P/PP2P1B1/R4RK1 b - -,c7e5
8/2r2pk1/7p/8/P4P2/1P1RR2P/1r4PK/8 w - -,d3d5
8/P7/2b5/6N1/3K1p2/5Pk1/8/8 w - -,d4c5
8/7k/3b3p/p6r/2P1P3/1P1K4/P3R2P/8 w - -,d3d4
Q7/5kp1/p1rp1p1p/1p1RP2P/1P3P2/5PK1/8/5q2 b - -,f1e1
r1bqkbnr/pp1p1ppp/2n5/4p3/1p2P3/P7/1BPP1PPP/RN1QKBNR w KQkq -,g1f3
2r2r1k/1p1b2pp/p4q2/P2Pnp2/1P1Qp2P/6P1/3NBP2/R3R2K b - -,c8c2
r4nkb/7p/p1p3pP/1pPpPq2/3P2pR/2NQPr2/PPKB4/6R1 b - -,f8e6
3r2k1/1b6/p4qpp/PpQP4/6B1/5PP1/4r2P/3R1RK1 b - -,f6b2
8/1R2p2p/3rbkp1/5p2/5P2/1pN3P1/1P1KP2P/8 w - -,d2e3
r2qkb1r/ppp2ppp/2np1n2/1B2p3/3PP1b1/2P2N2/PP3PPP/RNBQK2R b KQkq -,f6d7
r2q1rk1/pb2bppp/1p6/2nn4/8/PPN2NP1/3B1PBP/R2Q1RK1 w - -,b3b4
r3k3/p3pp1p/Bp1n2p1/8/8/5P2/P1R2KPP/8 w - -,f2e3
8/kp2p3/1q5p/p3QB2/P5p1/2p1P1P1/1b3rPK/1R6 w - -,f5e4
r2q1rk1/pppnbppp/5n2/4p3/2B1P3/5N1P/PPP1QPP1/R1B2RK1 b - -,c7c6
3br1k1/1b1r1ppp/pq2p3/1p2B2n/5P2/P2BN1Q1/1PP3PP/4RR1K w - -,g3h3
5R2/8/1p6/p5pp/P5k1/8/1r5P/7K w - -,f8f1
5k2/7R/6RP/7r/6K1/6P1/r7/8 b - -,h5h1
r1bq1rk1/ppp1ppbp/2nn2p1/8/3P4/1P2PN2/PB1NBPPP/R2Q1RK1 b - -,c8e6
8/r2N1pk1/5b2/p2R2p1/8/6P1/r4P2/3R2K1 w - -,d7f6
3rk2r/pp3ppp/2n1b3/2B5/7q/P3QNn1/1P2B1PP/2R2K1R w k -,h2g3
2r2rk1/2p2ppp/p6q/1pP3N1/2n2p2/1P2P3/P1Q2PKP/R4R2 w - -,e3f4
r4rk1/p3qppp/1ppbnn2/4p2b/2P1P3/1P3NPP/PBQRNPB1/5RK1 b - -,h5f3
r3kb1r/p2n1pp1/n3p2p/4P3/p1pp4/2N2N2/1P1B1PPP/2R2RK1 w kq -,f3d4
8/p5p1/3kp2p/1P6/3K3P/1P3P2/6P1/8 b - h3,e6e5
r2qk2r/pbpnbppp/1p1ppn2/8/3P4/1P3NP1/PBPNPPBP/R2Q1RK1 b kq -,e8g8
r1b2qk1/3n3p/p4pp1/1pPp4/P3p3/2QBP2P/1P3PP1/R4RK1 w - -,d3e2
rr4k1/1pRn1p1p/1P1p1np1/1Q1p1q2/3P4/4PNP1/3N1PKP/5R2 w - -,f1c1
rnbq1rk1/pp1p1ppp/2p2n2/4p3/2P5/P1QP2P1/1P2PP1P/R1B1KBNR b KQ -,f8e8
8/8/2pr1pp1/p3k1p1/Pp1pP1P1/1P3P1P/2P1K3/R7 w - -,a1h1
r2r4/p2q1p1k/2pP4/1p2pp2/4P1n1/1B5Q/PP5P/2KR2R1 b - -,g4h6
2r5/4bpp1/2k1p1p1/B1p3P1/P1P1N2r/3R3P/1Pn2PK1/4R3 w - -,e1e2
r3r1k1/1b3ppp/1pp5/2p1B3/8/5P2/PPP2KPP/R4R2 w - -,e5g3
1k1r4/1bqn4/p1pr1p2/1p2pB2/4P3/3N1P2/PPP2Q2/2KR3R b - -,c7b6
1r6/1r1n2k1/3npp2/6qp/1N1P4/1R1NPPP1/4Q1K1/1R6 w - -,d3f4
1r1q2k1/1ppnn1b1/p2p2rp/2PPp1p1/N1N1Pp2/1Q3P2/PP3BPP/2R2RK1 w - -,c5d6
r1bb2k1/pp3ppp/2n5/1N2p3/8/P3P1B1/1P3PPP/4KB1R w K -,b5d6
4Q1k1/6q1/4P3/p2p3p/2p4P/2P4K/1r3PP1/8 b - -,g7f8:g8h7
rqr3k1/1p1bppbp/3p1np1/1N2n3/N3P1P1/1B2BP2/PPP1Q2P/2KR3R b - -,e5f3
R4b1r/1P1npkpp/5p2/6P1/1P6/N6P/P4P2/5K2 w - -,a8d8
r1bqkb1r/p1pp1p1p/5np1/1p2p3/2BnP3/2PP4/PP3PPP/RNBQK1NR b KQkq -,b5c4
r3k1nr/pp2bppp/2n1b3/qBpp4/3P4/N1P2N2/PP3PPP/R1BQR1K1 b kq d3,a7a6
8/5np1/R4bk1/7p/3B1K2/5P2/8/8 w - -,d4f6
r6k/pp1qnr1p/1np2p1B/3p4/3P1P2/P1PQ2N1/6PP/4RRK1 b - -,e7g8
r2q1rk1/pppnppbp/3p1np1/8/3PP3/2N2B1P/PPP2PP1/R1BQ1RK1 w - -,c1e3
2r1nrk1/pp1bppbp/1qn3p1/4P1N1/3P4/2Q1B2P/PP1NBPP1/R4RK1 b - -,e8c7
3r4/pb1r1pkp/1p1R1np1/1Pn5/2N1P3/2N2P1P/B1P3P1/4R1K1 w - -,e1d1
r4rk1/pb2bpp1/4pn1p/q1p1N3/1p1P2P1/3B4/PPPBQP1P/1K1R3R w - -,h1g1
8/5pkp/2N3p1/8/8/4P1P1/1r2BPKP/8 b - -,b2e2
8/R3k3/2p5/4P1pp/2B2rb1/2P1Kp2/1P6/8 b - -,e7f8
2r1r1k1/1p1q1pp1/p4n1p/P2p1b2/1Q1P1B2/7P/1P3PP1/R3RBK1 w - -,f4e5
8/5p2/8/1p2PPk1/p3K3/8/1P6/8 w - -,e5e6
r2q1rk1/1p1bbppp/p1np1n2/8/3NPB2/1BN4P/PP3PP1/R2Q1RK1 w - -,d1d2
1r2r1k1/p1q2pp1/n2pbn1p/1p2p3/4P3/BQPP2PP/P3NPB1/1RR3K1 w - -,b3c2
rn1qk2r/pp2ppbp/2p2np1/3p4/2PP1P2/2NbPN2/PP4PP/R1BQK2R w KQkq -,d1d3
r6r/4n3/1k3pp1/2b4p/2RNPB1P/5P2/1PP1N1P1/5K2 b - -,h8c8
2r4k/6Rp/1q5p/4pP2/8/6QP/1Pr3PK/R7 b - -,b6f6
4B3/5P2/7p/2k4P/P1p5/3r4/K7/8 b - -,d3f3
8/1r3k2/4p1Nr/2pqP3/P1pP2R1/7P/5QPK/8 b - -,f7e8
3n1k1r/R6p/3Ppp2/p2p2p1/2pP3P/P4N2/3B1nP1/1K6 w - g6,h4g5
r4r2/pp2ppkp/2n3p1/q1p5/4P3/1PP2B1P/P1Q2PP1/R4RK1 b - -,e7e5
rnbqkb1r/pp3ppp/4pn2/8/1pPP4/4PNP1/P5BP/RNBQK2R b KQkq d3,f8e7
8/5pk1/5bp1/8/2RP2Kp/3r2PP/2N2P2/8 b - -,d3d2
r1b1k2r/bp2qppp/p1pp1n2/4p3/2P5/BP2P1P1/P2PNPBP/R2QK2R w KQkq -,h2h3
6k1/1p3np1/2r4p/p7/PbN1pP2/4B1P1/1P2P1K1/2R5 w - -,b2b3
r3k1nr/2p2pbp/pp1pbqp1/3B4/P3P3/1Q6/1PPN1PPP/R1B2RK1 b kq -,g8e7
r5rk/2p4p/1p1p2q1/3Pbp2/2P5/1Q3R2/P5PP/4RBK1 b - -,g6h5
1rb2rk1/2qpppbp/p1n2np1/2N5/1P6/P1N1B1P1/3QPPBP/2R2RK1 b - -,e7e6
2rb1rk1/1q3pp1/3p3p/p2bp3/1p2P1P1/4B3/PPPQ1PP1/2KR3R w - -,d2d5
3r2k1/1p1qbpp1/p3b2p/3p4/2r5/2B1P1PP/PP1Q1PBK/3R1R2 w - -,d1c1
r3kb1r/pp1npppp/1qp2n2/3p1b2/2PP1B2/1Q2PN2/PP3PPP/RN2KB1R w KQkq -,c4c5
2r2q1k/6p1/pp2Qr1p/8/2PRR1P1/5p1P/P4P2/6K1 w - -,e6d7
3r2k1/p3ppbp/1p4p1/2p1P1q1/2P5/1PBPR1QP/P5P1/5K2 b - -,g5g3
2kr4/p3n1pp/1p3b2/4pp2/8/PNPbBPP1/1P2B2P/4K2R w K -,e2d3
4r1k1/1pR2pp1/p7/1b1P3p/1B4Pr/5PbP/PP4B1/2R3K1 w - -,d5d6
r7/5pkp/2prbqp1/p1n1p3/1pP1P3/1P2R1P1/P1Q2PKP/2R2NN1 w - -,c1d1
r1b2rk1/p3n3/7p/1PN1np2/2P1p3/3p2PN/P3BP1P/3RR1K1 w - -,c5d3
1k1r3r/pp1q1p2/2np2P1/2p5/7P/2b5/P3BN2/R2Q1KR1 w - -,g6g7
6r1/1R4p1/5p1k/1P5p/5RPP/8/1r3PK1/8 b - -,h5g4
8/6K1/5p1p/p1p4P/2PkP1P1/1P6/8/8 w - -,g7f6
r4rk1/4npp1/pq1p1P1b/1p2p3/P5Qp/2P4P/BP3PP1/R4RK1 w - -,f6e7
8/5p1k/2q3p1/1p5p/1P1Q3P/5PP1/4K3/8 b - -,c6c2
r1b1k2r/1pB1bppp/4pn2/n2p4/P1pP4/4PN2/1P1NBPPP/R4RK1 b kq -,c8d7
4n1k1/3q1pb1/p1N3pp/1pQP4/8/6PP/PP3PB1/6K1 w - -,b2b3
rnbqk2r/pp2bppp/4p3/2p2n2/4N3/1P4P1/PBPP1PBP/R2QK1NR w KQkq -,g1f3
2kr4/pp6/2n1R2p/3r2p1/3p1qP1/PR3N2/2P1QPP1/6K1 b - -,d5d6
2r2bk1/pbqr1ppp/1p1pp3/6P1/2P1PP2/1P2Q3/PB1N3P/1K1RR3 w - -,d2f3
4r1k1/1p3q1p/2p3p1/p3b3/P1b5/B1P1Q1P1/7P/1R2R1K1 b - -,e8e6
2r2rk1/p1q2ppp/bp2p3/2npP3/5B2/2P3P1/PP3PBP/R2QR1K1 w - -,e1e3
8/8/8/8/p7/1pK2R2/k7/8 b - -,a4a3
1k1r2r1/3npNQp/Bqp1p1p1/4P3/1p3n2/7P/1PP2PP1/R4RK1 w - -,g7h6
8/1k4pp/1pp5/8/5N2/1P6/1P5r/K7 b - -,g7g5
1r4k1/4pp1p/p2p2p1/2rP4/1pB1P1P1/1Pb1KP2/P1R4P/7R b - -,a6a5
r1bq1r1k/pp3Bbp/6p1/8/3pN1P1/3Pp3/PPP4P/R2Q1RK1 b - -,d8d7
2r1N1nr/1q2ppkp/pp1p1bp1/3N1P2/2P5/5Q2/PP4PP/R4RK1 b - -,g7f8
r6r/1pBnbpk1/1p2b3/1N1p3p/P2P1p2/1P1B3P/6P1/2RR2K1 w - -,c7f4
4k3/6p1/4K1P1/r5P1/8/P2R4/8/8 w - -,d3c3
6k1/pp2qr2/2p4p/3pP3/1P1n1P2/P2R2NQ/3B1K2/8 b - -,e7e5
rn1q1rk1/pp2ppbp/2pp1np1/8/3PP3/2N1Bb1P/PPP1BPP1/R2Q1RK1 w - -,e2f3
r2q1rk1/4npbp/2p1p1p1/pb6/2p1PP1Q/2N1BN2/PPP3PP/R3R1K1 w - -,e3c5
3r4/1R1n1pbk/p5pp/2q1p3/3pP3/2rP1NPP/P4P2/1R1Q1BK1 w - -,f3d2
4r3/5pbp/2k3p1/2pp4/1p2PPPP/1P3K2/P1R5/2N5 w - -,e4e5
r4rk1/pb1nqpp1/1p5p/2Pp4/8/2n1PN2/PPQ1BPPP/R2R2K1 w - -,c2c3
r5k1/pp1bpp1p/3p1np1/Q7/3RP2P/1N3P2/P1P1q1P1/1K5R w - -,a5d2
r2qkb1r/pp1n1p2/3pb2p/2p3P1/2P1P1nB/2N2N2/PP4PP/R2QKB1R b KQkq -,f8e7
rn1q1rk1/pp2ppbp/1n1p2p1/5b2/2PP4/2N1B2P/PP3PP1/2RQKBNR w K -,g1f3
3r4/1p2k3/p2nnpp1/N1p1p2p/1P2P2P/2P1NPP1/1P6/R3K3 w - c6,b4c5
r5k1/ppq1rpbp/4p1p1/4P3/3B1R1P/1bP5/PP2Q1P1/5RK1 w - -,a2b3
r2qk2r/pp2bppp/1np1pn2/3p4/N1P5/3PBPP1/PP3PBP/R2Q1RK1 b kq -,e8g8
8/2p2p2/1pp5/3k4/1PP3P1/P2P4/8/6K1 b - c3,d5d4
3r4/p1k5/bppp2Q1/4p3/5P2/2NP4/PP1B3q/n1K1R3 b - -,h2h3
r7/5pk1/p2Rb2p/1p6/7P/P5P1/1PP2P2/7K w - -,h1g2
2br2k1/5pbp/2p3p1/p1N5/8/1P2PP2/P2r1PBP/2R2RK1 w - -,f3f4
3r2k1/1R4p1/p4br1/2R5/3P4/1PBK3P/1P6/8 w - -,d3c4
8/5pkp/R3p3/p2nP3/1b2K1P1/7P/8/8 w - -,e4d4
1qk1r2r/1p4pp/1Pp1n3/Q1Ppp2b/P7/2PBB2P/5PP1/R3R1K1 b - -,h5g6
rn1q1rk1/pbp1ppbp/1p4p1/8/3PPB2/2P2N2/P1Q2PPP/3RKB1R b K -,b8d7
2rq1bk1/1p6/3p2pp/p2Ppb2/4N1P1/2r2N1P/PP2QP2/2R3K1 w - -,b2c3
1r3rk1/bp1q2pp/p1Bp4/4p3/1P6/P3P3/1B3PPP/2RQR1K1 b - -,b7c6
6k1/6pp/3b1p2/2pPqP2/1pPpr3/1P4P1/6NP/3QR1K1 w - -,e1e4
6r1/pn5p/1pk1p3/8/2PR4/P3B3/6PP/6K1 b - -,e6e5
rnbq1rk1/pp1p1ppp/2p5/2bPp2Q/8/2N1P3/PP1P1PPP/R1B1KB1R b KQ -,f7f5
6k1/p3qp1p/3r4/1P1nbB2/2R2p2/4pPP1/P1QpP1KP/5R2 w - -,c4c8
4rr2/3k2pq/1pp2p1p/p1np1N1P/1P4P1/Q7/P1P2P2/2K1R2R b - b3,g7g6
rn2k2r/pb1p1pp1/1p2pq1p/2p5/2PP4/2Q5/PP1NPPPP/R3KB1R w KQkq c6,e2e3
4r2k/pp2q1pp/8/2p1p3/2PRQ3/8/PPP2PPP/5RK1 b - -,e5d4
r3r1k1/p1bnq1pp/1pp2p2/2Ppn3/1P1Q1B2/2NN2PP/P3PP2/3R1RK1 w - -,g1g2
5k2/1pp2ppp/pn1p4/3P4/1PPQ1Pb1/P4BPq/7P/4N1K1 b - -,g4f3
6k1/pp4p1/2p2p2/3p2p1/6Q1/2P5/Pq3NK1/8 w - -,g4c8
2rqr1k1/1p1n1ppp/p2p1b2/3Pn3/8/1NP1B1P1/PP1QBR1P/5RK1 w - -,e3f4
r2q1rk1/pp1n1ppp/4pn2/2b3N1/5B2/2PB3P/PP3PP1/R2QR1K1 b - -,d8b6
7r/2pk2p1/3b2p1/1p6/p2PK1P1/4B3/PP3P2/4R3 w - -,e1c1
5r2/1P6/5kq1/pB2p1b1/P5b1/2P2pP1/1P6/R3KQ2 b Q -,g6e4
rn3rk1/ppq3bp/3p1np1/2pP1b2/2N5/1QN1B3/PP2BPPP/R3K2R b KQ -,a7a6
5r1k/1p4p1/2p1B2p/p7/P2r1n2/4RP2/1P3P1P/6RK b - -,d4a4
r1b2r2/ppp1k1p1/2np1nqp/2b1p1N1/4P3/1BNP3P/PPP2PP1/R1BQ1RK1 w - -,g5f3
8/4kpp1/4p2p/3p4/7P/1Pr5/R1P2PP1/5K2 w - -,f1e2
6k1/p2p3p/1p2p1q1/3bP1p1/3N1rP1/P1Q4P/1P3P2/4R1K1 b - -,g8g7
2kn4/p7/1pP1p3/1P2Pp2/2K2P2/6P1/4N3/8 w - -,e2d4
2r3k1/pr1n2p1/1p1P1p1p/4p3/1qP5/5Q1P/PB3PP1/2RR2K1 b - -,b7b8
8/2k2ppp/r1n1p3/p2r4/2N1R3/4B2P/2P2PPK/8 w - -,c4a3
r2q2k1/ppn3pp/2bp1n2/4r3/1P3N2/P2Q1PP1/4P1BP/R1BR2K1 b - -,c7d5
4r2r/2k3pp/Q1p5/5q2/8/RPN5/P4PbP/1K1R4 w - -,b1b2
8/6pk/1R6/6PP/1P1r4/5PK1/8/8 b - -,d4d1
K7/8/8/8/8/4q3/6p1/1Q4k1 b - -,g1h2
8/6k1/8/1R3pp1/5r1p/4K2P/6P1/8 b - -,f4e4
8/1ppNk2p/p7/8/1P2b3/6PP/5K2/8 w - -,d7c5
8/2R5/8/p7/1P1kbpr1/P7/5K2/2B5 b - -,g4g2
r1b2rk1/pp2qppp/2n2n2/2b1p3/2B1P3/5N2/PP1NQPPP/R1B2RK1 w - -,d2b3
r1b1rn2/1pq1bk1n/2pp3Q/p3P3/P3P3/2N2N1P/1PP2PP1/R3R1K1 w - -,h6h5
8/1prRp1k1/6pp/p2R4/P7/1P5P/5PPK/2r5 b - -,b7b6
r4rk1/p3bpp1/4pn1p/q1pbN3/1p1P2P1/1P1B4/P1PBQP1P/1K1R2R1 b - -,f6h7
8/8/p1b5/1pk1Pp1P/3p2K1/P1rB4/8/3R4 w - -,g4f4
r3r1k1/pp4pp/3b1p2/2pqnP2/P3p1PP/1PP1P1NK/1B6/R2Q1R2 b - -,e5d3
6k1/4r3/6p1/3R1p2/5B2/5P1P/5bPK/8 w - -,f4e5
2r3k1/pp2n1p1/4Nq1p/5P2/1P1Q2P1/P7/7P/4R1K1 b - -,f6d4
2kr1r2/ppb1qpp1/1np5/4P1Nn/5Pb1/1BN5/PPQB3P/2KRR3 w - -,c3e2
1kr4r/1p1bbp2/1q1p1p2/pB5p/Pn2PQ1P/1NN5/1PPR2P1/1K5R b - -,d7g4
1r3rk1/p1qn1ppp/2n1p3/2P5/PpQ5/4PP2/1P2BP1P/R2RB1K1 w - -,a4a5
8/8/4R1p1/4P2p/5k1K/7P/6r1/8 w - -,e6f6
6k1/1p1b3p/1p2p3/3pP1p1/5rP1/1P2KB2/1P2P2P/r1R5 w - -,c1a1
r1bqk2r/4bppp/p1npp3/1pp5/4PP2/2NPBN2/PPP1Q1PP/R4RK1 b kq -,e8g8
r5k1/p5p1/2p1b2p/1p1p4/3PN1pP/1P6/1P2B3/1K3R2 b - -,d5e4
r1bq1rk1/pp2ppbp/2n2np1/3p4/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,c8e6:b7b6:c8f5
r1b2rk1/1p2qp2/p2p2pQ/2pPb3/2P1P3/N2B3P/P4PP1/1R3RK1 b - -,b7b5
r4rk1/2qnppbp/p1Bp1np1/1pp3B1/P2P4/2P1P2P/1P1NQPP1/R3NRK1 b - -,c7c6
r2r2k1/pp2ppbp/2B3p1/4P3/3P4/4B3/P2K1PPP/2R4R b - -,b7c6
8/1R2Pk2/r6p/7K/p7/P6P/1P6/8 w - -,h5g4
8/6pk/4p2p/8/2N2n2/P5KP/1R4P1/r7 b - -,g7g5
r4rk1/5ppp/p3p3/npNp4/3P4/4P1P1/P3RPP1/2R3K1 w - -,e2b2
b5r1/2n2p2/4k2p/3p3N/5PP1/4P3/3R1KB1/8 b - -,c7b5
4r1k1/p2q3p/3P2p1/8/3R4/1Q5P/P1p3P1/6K1 b - -,d7e6
1rbq1rk1/p3ppbp/n2p1np1/1pp1P3/3P4/2P1B1PP/PP2NPB1/RN1Q1RK1 b - -,f6d7
r3r1k1/2p1np1p/5qp1/1P6/2Q2P2/P1bBB3/R3RP1P/3K4 b - -,a8d8
rn1qk2r/3pppbp/b4np1/2pP4/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3:e2e4
3r2k1/4bppp/8/p5P1/2B5/6R1/1PP4P/2K5 w - -,g3g4
8/8/3k4/3P4/7r/5p1P/5P1P/3R1K2 w - -,d1d3
r1b1r1k1/ppq1bpp1/2pp1nnp/4p3/P2PP3/2N2NBP/1PPQBPP1/R3R1K1 b - -,f6h5
1r6/3n1pk1/1b1p3p/3Pp1p1/1qB1P1P1/1P2BPP1/R3Q1K1/8 w - -,e3d2
2kr4/ppq1np2/4p1pr/3P4/Pb3P1p/1P3Q2/2B1R1PP/B4R1K b - -,e6d5
r5k1/pp4Pp/4p3/n2rPpB1/8/2q5/P3QPP1/R3R1K1 b - -,c3c4
5b2/r4qk1/4Rn1p/2p5/2Pp1P2/1P1Q2PP/4RK2/8 b - -,a7b7
r1bqkb1r/p4ppp/2p2n2/3Pp3/1p2N3/1P1P2N1/1PP2PPP/R1BQK2R b KQkq -,c6d5
4rrk1/1b2q2p/3p2pb/p1p1n3/1pP1p1B1/1P2P2P/PBQN1PP1/3R1RK1 w - -,b2e5
r2qr1k1/pp3pbp/2bp2p1/8/4nP2/1NPQBN2/PP4PP/R3R1K1 b - -,d8f6
8/8/1b6/3kp1Np/8/5KP1/8/8 w - -,g5e4
2r1qk2/8/pBp1p1p1/P2pPp1p/1P2nP2/7P/2R3P1/5QK1 b - -,c8a8
1r4k1/5p2/3qpn2/3p4/3P3p/4PPp1/QP3KPP/2N4R w - -,h2g3
4r1k1/2r2pp1/4p1p1/p1qpP3/5QP1/1PR5/P4PP1/2R3K1 b - -,c5c3
1r6/3k1p1p/pp4p1/P3b3/6P1/1N5P/2R2P2/5K2 w - -,a5b6
r3kb1r/1b1n2pp/pq2p3/1p1nP3/2p5/2N2N2/PPB2PPP/R1BQ1RK1 w kq -,f3g5
3r1rk1/p4pbp/1pb5/3B2p1/1Qp5/2P3BP/PP1R1PPK/RN2q3 w - -,d5c6
1r4k1/p4p2/2b1pQp1/q5Pp/3R3P/2N2P2/P1PK4/8 b - -,b8c8
r3k2r/p1qb1pp1/2pbpn1p/1p2N3/3P4/3B4/PPPBQPPP/2KR3R w kq -,f2f4
rn1q1rk1/1b2npbp/p2p2p1/1pp5/3pP3/1NP2NP1/PP3PBP/R1BQR1K1 w - -,c3d4
rnb1k2r/pp2ppbp/2pp1np1/q7/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R b KQkq -,b8d7
8/pppk2p1/5p1p/2n5/8/P1B5/2K2PPP/8 w - -,c3d4
6k1/1p5p/4p1p1/8/1n1b4/1B3PP1/P6P/2B4K b - -,g8f7
r2qk2r/pp2bppp/2n2n2/3p2B1/3p4/5QPP/PPP2PB1/RN3RK1 w kq -,g5f6
3qr1k1/1b3ppp/ppp5/7r/2BPp3/2R1P3/PPQ2PPP/2R3K1 w - -,c2b3
2r2rk1/pp1bbpp1/1qn1p2p/3pP3/3P4/2NBPN2/PPQ2RPP/R5K1 b - -,e7b4
8/3b1k2/p1q2ppp/Pp4P1/1P1B1Q1P/5P2/8/6K1 b - -,h6g5
r4rk1/ppq1pp1p/2p1n1p1/8/2P1P3/1P3NP1/P2R1PKP/3QR3 w - -,d2d7
r1bqk2r/pp3ppp/4pn2/2np4/2P5/P1Q3P1/1P2PPBP/R1B1K1NR b KQkq -,d5d4
r4r2/5p2/5k2/3p2pn/p2N4/3P2R1/PP3PP1/1K1R4 w - -,g3f3
3nQbk1/1pp2pp1/r5p1/6P1/p6P/2P1B3/PP2PPK1/r7 w - -,e8d8
4rrk1/p2b2q1/1p1p1b2/n1pP3p/2Pp4/1P4PP/P1Q1RNB1/4RNK1 w - -,f2d3
r3r3/p1R2bk1/1p3q2/3pN2p/1Q1P4/4P3/PP3PPP/6K1 w - -,c7f7
8/3bN3/3P1p1k/3R4/1r6/4NK2/5P2/r7 w - -,d5d2
8/3Q1k2/2r3b1/p1r5/1p2P3/1P6/P1P3PP/1K6 b - -,f7f6
6k1/2p2pp1/pp2P3/2p5/4KP2/2P1R2Q/P2r4/1q6 w - -,e4f3
