8/8/2k3rp/pp6/3K2P1/P3RP2/8/8 w - -,e3e5
5rk1/pr2bppp/b1p1p3/P1n5/1n4q1/5NP1/NP2PP1P/RQ1RBBK1 b - -,b4a2
rn1qk2r/pp3ppp/3bbn2/2p5/2P2P2/3P1N2/PP4PP/RNBQKB1R b KQkq -,e8g8
4r1k1/2q3p1/p1bb1rN1/1p1pp1nQ/8/P1P1B2P/1P3PP1/2R2RK1 w - -,e3g5
1k1rr3/pp1q1ppp/2n5/5b2/1bP2N2/1Q1P2P1/PB3PBP/R4K1R b - -,g7g5
8/1p6/2p5/2P5/1P1k1K2/8/8/8 b - -,d4c4
8/6p1/pp2kbp1/4pp2/P7/NPP1nPPP/4N3/4K3 b - -,f6e7
7k/8/6KP/8/8/8/8/8 w - -,g6g5:h6h7
5R2/8/8/6k1/2P4p/8/2r1rbPP/5R1K w - -,c4c5
1R6/1P4k1/5p2/3K4/4p1P1/8/5P2/2r5 b - -,c1d1
r3kb1r/1bqp1ppp/p3p3/1p1nP3/2P1NP2/3P4/1PP1N1PP/R1BQ1RK1 b kq -,b5c4
r2r2k1/p2qp1bp/1pn1p1p1/2p1N3/4N3/P6P/2PP1PP1/1RBQR1K1 b - -,g7e5
8/4rkp1/1R2p1Rp/ppr1p2P/2p1P3/2P5/1P2KPP1/8 b - -,a5a4
r1b1k2r/1p2qpp1/p1pb1n2/4pP1p/2P1P3/8/PP2B1PP/RN1Q1RBK w kq -,e2f3
8/8/8/3n1p1p/2pP1ppk/2P2P1P/3B1PK1/8 w - -,f3g4
r2q1rk1/1p2p1bp/2p2pp1/p7/P1NPn3/BP1QP1P1/5PKP/R3R3 b - -,f6f5
r1bqk2r/pp1p1ppp/2N1pn2/8/1b2P3/2N5/PPP1BPPP/R1BQK2R b KQkq -,b7c6
r1b2rk1/1pqn1pbp/p2p2p1/2pP3n/P3PB2/2N2NP1/1P3PBP/R2Q1RK1 w - -,f4d2
1rb3r1/1p2b2k/p2pp3/4n2B/1PP1pN1P/R3B3/1P3PP1/3R2K1 w - -,c4c5
r4r1k/pp2q1pp/2n5/4pp2/2R5/3P2P1/PP1NPPKP/R2Q4 b - -,a8d8
8/8/5p2/1p6/6p1/1k1K4/1p6/1R6 w - -,d3d2
1r3rk1/1p3pb1/p3q1p1/3Pn3/1PbB4/P5P1/B1P2R1P/Q2R2K1 b - -,c4d5
2r2k2/R5pp/3pKb1P/3Pp3/2P5/4B1P1/5P2/8 b - -,f8g8
rnb1qrk1/ppp1b1pp/3ppn2/1P3p2/3P4/4PN2/PBPNBPPP/R2QK2R b KQ -,b8d7
r1bqkbnr/ppp2ppp/8/3PpP2/2p1P1n1/2N5/PP4PP/R1BQKBNR b KQkq -,g8h6
5k2/4p3/3p1p2/2n5/Np3PQP/1P6/P5PK/5q2 w - -,a4c5
r1bq1rk1/pp3pp1/1bp2nnp/3Pp3/B7/2PP1NNP/PP3PP1/R1BQR1K1 b - -,f6d5
2rq1rk1/pb1n1ppp/1pp1pn2/3pN3/Q1PP1P2/8/PP1NPPBP/R4RK1 b - -,a7a6
8/8/1p3n2/pP1P2p1/P2K1k2/4N3/6P1/8 b - -,g5g4
3q1rk1/1b2ppbp/np1n2p1/p1rp4/P7/1PP1PN2/1BQNBPPP/R2R2K1 w - -,a1c1
2r4r/6k1/pq1pbpp1/6b1/4PRp1/2B3P1/PPP2QBP/R6K b - -,b6d8
8/p2r1kpp/3Bb3/1P2Q3/P3p3/4P3/4qPP1/2R3K1 b - -,g7g6
rn1k1b1r/pbp3pp/4pn2/1p3p2/8/5NP1/PPP1PPBP/RNB1K2R w KQ -,e1g1
r4rk1/b1qn1pp1/b1p1p2p/p2pP3/2P2PP1/PPN5/B2BQ2P/3RK2R b K g3,f8e8
r1r5/p1Qnq1k1/2b3pp/1p1p1p2/2pP4/4PN2/PP3PPP/1BR1R1K1 w - -,c7g3
8/3B4/3b4/6k1/5pp1/7p/8/2B3K1 b - -,d6c5
2n1r1k1/1p6/p3q1pB/8/1P6/P5Q1/6PP/3R3K w - -,h2h3
6k1/1R1b1pp1/p4n1p/2b5/3N4/4P1B1/5PPP/2r2NK1 w - -,d4b3
r1b1r1k1/ppqnppbp/1np3p1/8/2PP4/1B3N1P/PP3PP1/RNBQR1K1 w - -,b1c3
4R1k1/5pp1/3p1n1p/B2P4/2p2PP1/1r6/6P1/2R3K1 b - -,f6e8
rn2k1nr/pp3ppp/2pbp1b1/7N/3P1N1q/2P5/PP3PPP/R1BQKB1R b KQkq -,g6h5
1r3r2/ppqb1Bk1/6p1/2pQn3/4P3/2P3N1/P5PP/1R3RK1 w - -,f7e6
r1b1kr2/3q1p1Q/8/2PppN2/1p6/nP2P3/P4PPP/2RK1B1R w - -,f5d6
1r6/p1p2k1p/3p1pN1/4p1r1/5b2/3P1B1K/PP3P1P/R5R1 b - -,h7g6
6k1/1n4P1/5K2/2pP4/2P5/3B4/8/8 w - -,d3f5
5k2/1R6/8/p3K3/PPn5/7n/3r4/8 w - -,e5f6
5rk1/pp3Qp1/8/3pR3/2nP4/P1P4P/3B1PP1/6K1 b - -,f8f7
5bk1/1R5p/1p6/3Pp3/3n4/1P4P1/5PK1/8 b - -,b6b5
2k1B3/5R2/1p1PnK2/2r2P2/P1p5/4P3/1B2b3/8 b - -,c4c3
8/1p1nkp1p/2p1b1p1/r1P1P3/4NP2/6P1/7P/2R2BK1 b - -,e6d5
r1bq1rk1/4bppp/p1np4/1p6/4PP2/4Q2P/PPB3P1/R1B1RNK1 b - -,c8b7
4rbk1/5ppp/2p2P2/ppp1B3/P3N3/2Pr1P2/BP3PKP/4R3 w - -,f3f4
3q2k1/1p3pp1/p1p1n2p/P3P3/1PQ5/3r1N1P/5PP1/4R1K1 b - -,d8d5
r2q1rk1/1p2bn1p/2p1bpp1/2p5/p3PB2/2NP1NQP/PPP3P1/R4R1K b - -,b7b5
n3r3/6k1/2R3pp/1P2bpB1/2B5/6P1/4PP1P/6K1 w - -,g5e3
8/1p1NRpk1/2p1n3/5K2/3r4/8/8/8 b - -,b7b5
3rr1k1/2p2pb1/6pp/1pBq4/1PbP4/2Q3PP/2B2P2/3RR1K1 b - -,e8e6
r1bqr1k1/2b2pp1/p3nn1p/3pN3/p1pP1B2/2N1PB1P/1PQ2PP1/3RR1K1 w - -,c2a4
4r3/1b1r1pkp/p1p2np1/8/PqPPp3/1B2Q2P/4NPP1/R3R1K1 b - -,a6a5
r3k2r/1p3ppp/p1nqpnb1/3p4/3P4/2NBPP2/PP2N1PP/2RQ1RK1 w kq -,e2f4
8/p1r4p/6p1/5p1k/4p2P/6P1/PP1R1P2/6K1 w - -,b2b4
2r1k3/1brqbpp1/p1n1p2n/P3P3/QpRp1PP1/3P4/1P1BN1BN/2R3K1 w - -,b2b3
3r2k1/pp3b1p/2n3p1/2pB1p2/2P5/1P1R2PP/P3PP2/3R2K1 b - -,f7d5
r1b2rk1/1pq1ppbp/p4np1/2n5/Q7/N1P1BN2/PP2BPPP/R2R2K1 w - -,a3b5
1k5r/1q1b1ppp/4p3/Rp1p2P1/1Br1PP1P/8/1PP1Q3/1K1R1B2 b - -,c4b4
r4rk1/pp1nbpp1/1qp2p1p/3p1b2/2PP4/1Q2PN2/PP1NBPPP/R3K2R w KQ -,e1g1
8/2k2ppp/r7/4p3/p1PnRPP1/B6P/7K/8 b - f3,d4c2
1r2r2k/3q2bp/4n1p1/4pp1n/1R6/4NP1P/1PBB1P1Q/4R1K1 w - -,b4b8
3r4/4R2p/6p1/3p1k2/2n1p3/2N3PP/P1n2K2/2B5 w - -,g3g4
8/5p2/3k2pp/p2P4/7P/1B4P1/P4PK1/2r5 w - a6,g2f3
6k1/p1q2p2/1p2p2p/6p1/P7/2PQ2PP/1P3P1K/8 b - -,c7c5
rn2k2r/1bq2ppp/2p1pn2/p7/PpN5/B5P1/P1QPPPBP/1R2K2R b Kkq -,e8g8
1n1qr1k1/1r3pb1/pp1p2bp/2pP2p1/P1N1P1n1/1QN3PP/1P1B1PB1/R3R1K1 b - -,g4e5
r2qr1k1/5pp1/7p/pQ1R4/6n1/4P1B1/P4PPP/5RK1 b - -,d8c8
5rk1/2p1q1pp/3ppn2/1pPn1p2/rP1P4/1QB3P1/3NPPKP/2R2R2 w - -,c1a1
r2qk2r/ppp1bppp/2n1pn2/3p4/3P2b1/4PN2/PPPNBPPP/R1BQ1RK1 w kq -,b2b3
r4rk1/pp2ppbp/nqp1bnp1/8/3PP3/2NQ1N1P/PP2BPP1/R1B2RK1 b - -,f8d8
r1b3k1/2q3p1/8/4p1P1/3p1rpP/pP1R4/P1P5/1K1RQB2 w - -,f1g2
3r2k1/Bnq2p1p/b3p1p1/2p1P3/1p2Q3/1P2P3/P4PPP/1BR3K1 b - -,b7a5
8/2R2pp1/8/6K1/1p1kP1PP/8/8/5r2 b - -,b4b3
8/2bk1p2/2p1p1p1/1pPnP1Pp/1P3P2/1r3RKP/2NB4/1rR5 w - -,c1b1
1r6/rp1n2k1/1NpNqnp1/P1P1p2p/1Q2P3/7P/5RP1/5RK1 w - -,b6d7
r1bqkb1r/1p3ppp/p1n2n2/3p4/5B2/1N1B4/PPP2PPP/RN1Q1RK1 b kq -,f8e7
r3k3/1pp1q1bp/8/p1pPpr1P/2P1Q3/8/PP3P2/R3KB2 w Q -,e4f5
bn1q1rk1/5pbp/3p1np1/3P4/1pp1P3/2N2N1P/1P3PP1/2BQRBK1 w - -,c3b5
8/8/4kp2/3p3p/1B1P3P/4K3/5n2/8 b - -,f2g4
rnbqk1nr/ppp3bp/3p4/4pp2/2PP2p1/2N2NBP/PP2PPP1/R2QKB1R w KQkq -,h3g4
6k1/pb2n1bp/6p1/4Pp2/1P1Q1P2/P2p1NK1/2q4P/R7 w - -,d4d8
r4rk1/5ppp/2N2q2/3p4/6b1/3P4/PP1Q1PPP/R2R2K1 w - -,d1c1
8/p7/1p1k1p1p/1P1p1Pp1/P2Pb1P1/4K3/7P/3B4 w - -,e3d2
1r3rk1/pp2pp1p/3p4/3PbBp1/6R1/2P3P1/PP3PP1/R5K1 b - -,h7h6
2B3k1/p1n2p1p/2P3p1/4p3/1P1r4/8/4K1PP/1R6 b - -,g8g7
3r2k1/2q2pp1/1p2pb1p/p1n5/2P5/1P2B3/P3QPPP/1B1R2K1 w - -,d1d8
r1b2rk1/pp3pbp/2pp2p1/P1q1n3/4PQ2/1BN2N1P/1PP2PP1/R4RK1 w - -,f3e5
rn2k2r/1p1b2bp/pq2ppp1/2pPp3/P1B2PnB/2N2N2/1PPQ2PP/R4RK1 b kq -,g7h6
r2r2k1/pb3npp/1pn1p3/4P3/2N2p1q/B1PB1P2/P1Q3PP/R4RK1 w - -,f1e1
r5rk/P1n1n2p/3p4/2pP1p2/2Bb1P1B/2N4P/RP2R1P1/7K b - -,e7g6
4k3/1p1n2p1/p1p1r3/5p1p/1P1R1P2/P2N1K1P/2P3P1/8 b - b3,e8e7
6k1/4r3/4p1p1/1B1pPpPp/P7/2R1P3/5P2/5K1r w - -,f1g2
r1b2rk1/1p2ppbp/p1np1np1/q1p5/2PPP3/P1N1BP2/1P1QN1PP/3RKB1R b K -,e7e6
rnb1kb1r/pp3ppp/4p3/5qB1/2PP4/5N2/P4PPP/R2QKB1R b KQkq -,f8b4
r3r2k/3q1pb1/4b2p/1p4pN/p3P3/P1pP4/3QBPPP/2R1R1K1 w - -,d2e3
8/8/7P/p6P/2b2p2/4bk2/1Bp5/2N1K3 b - -,f3g2
2rq1rk1/pp1bp1bp/2np1n2/5p2/5P2/2N1B1PP/PPPQN1B1/3RR1K1 b - -,d8a5
2r2rk1/2qnbpp1/p2p4/3PpP1p/1p6/1N1QB1P1/PPP4P/1K1RR3 b - -,a6a5
8/1r5p/3pBp2/1Pk2P2/2P1P3/PK6/6PP/8 b - -,b7g7
r1bq1rk1/pp1pppbp/2n2np1/8/8/1N4P1/PPP1PPBP/RNBQ1RK1 w - -,b1c3:c2c4
2b5/3pk3/pr2p3/R1p1Pp2/2P2Pp1/6P1/PPKR2Br/8 b - -,c8b7
8/8/7p/4pp2/N2k4/4bP1P/6K1/8 b - -,d4c4
r2qkb1r/1p2pppp/p1n2n2/3p4/3P2b1/2NBB3/PPP2PPP/R2QK1NR w KQkq -,f2f3
r3k3/p1B3p1/R1p1p1nr/1p1b4/4N1P1/2P2P2/2P2K2/4R3 w - -,c7g3
Q1b1q1k1/1pp2rb1/3p3p/1P1Np3/2P3p1/3P1nP1/1B3PBP/5R1K w - -,h2h4
8/1p1nk3/4p3/pP3p1p/P3r2P/6P1/1N1RKP2/8 w - -,e2f1
8/1k6/R4p2/8/6P1/6K1/pr3P2/8 w - -,a6a4
r3r1k1/3n2pp/pq1p1p2/2pPnP2/R1P2Q2/1PN1R3/2B3PP/6K1 w - -,h2h3
1k1r3r/p1pq1pp1/1pn1p1n1/3pP2p/P2P3P/3Q4/1PPNNPP1/R4K1R w - -,c2c3
4r1k1/p5p1/1p6/8/7p/2P3bP/PP4P1/3R2BK w - -,d1b1
3rr3/1p3b1k/p4p1B/3p1P2/2p3P1/3n1P2/PP1R2B1/R6K w - -,g4g5
5r2/Rpr2kp1/1R2bp1p/3pp3/8/2nPP1P1/3N1PBP/5K2 b - -,f8b8
3k4/p2b4/rp1nBp2/3P2p1/7p/7P/6PN/4R1K1 b - -,b6b5
2rr2k1/1p3pb1/pn1B1nQ1/2p4p/8/2N2P2/qPP3PP/3R1R1K w - -,g6g7
rnbq1rk1/1p2bppp/p2p1n2/4p3/4P1P1/2N2N1P/PPP2P2/R1BQKB1R w KQ -,g4g5
r1bqrbk1/1p1n1p1p/p1pBpnp1/2Pp4/3P4/2N2NP1/PPQ1PPBP/R4RK1 w - -,d6f8
2r2r1k/2p1n2p/1p1p1q2/pP1P4/P1Q1PNRP/6R1/8/6K1 b - -,f8f7
8/4k3/R4pp1/5n2/5PKP/8/8/8 b - -,f5e3
R7/5ppk/8/p6p/8/4PK1P/r4PP1/8 b - -,h5h4
2qr1rk1/5ppn/ppP2b1p/2p1B3/8/P5PP/1PQ2PBK/R2R4 w - -,e5d6
3q2k1/1p3pbp/p1p1r1p1/4p3/2P1P3/1PB3P1/P1Q2P1P/3R2K1 b - -,e6d6
r4rk1/2q1bppp/p1pp1B2/4p3/4P1b1/2N2N2/PP2QPPP/2RR2K1 b - -,e7f6
1R6/1P4p1/2R2nk1/8/7p/7P/1r3rK1/8 w - -,g2g1
rnbq1rk1/p2pppbp/1p3np1/2p5/5P2/2P1PN2/PP1PB1PP/RNBQ1RK1 w - -,b1a3
q1r3k1/rb1nbp2/p3pn1p/B5p1/N1p1P3/6P1/PPQN1PBP/R2R2K1 b - -,b7c6
B3r2k/6b1/1N5p/p1P2n2/3p2b1/BP4P1/4P2P/3R2K1 b - -,g4e2
8/2R1br1k/3p1q2/3Pp2p/4P1p1/6P1/4QB1P/6K1 b - -,h7g7
2r3k1/1p2qpbp/p4Bp1/3p2r1/5N2/1P1QPP2/P5P1/3R1RK1 b - -,g7f6
4q3/p4pk1/3p2p1/2pB3p/N1Pb2nP/PP4P1/R2Q1PK1/4r3 b - -,d4f2
1b1r2k1/pp2npp1/q3p2p/4P3/2P3P1/P4N2/1B2QP1P/2R3K1 b - -,e7g6
8/2p3p1/1p1k2p1/p2b4/P2B4/3N4/1KP2Pr1/R7 b - -,g2g4
3r4/4kp2/1R5p/3b1P2/P2p4/1p1B4/1P3K1P/8 w - -,f5f6
rnbqk2r/pp2ppbp/3p1np1/2p5/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 b kq -,b8c6:e8g8
3R2k1/1p3p1p/p1n2qp1/8/Q7/PP2PB1P/5PP1/6K1 b - -,c6d8
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq -,f8g7
5rk1/4ppbp/r2p2p1/2pPn3/4P3/2N4P/PP1B1PP1/1R2K2R w K -,b2b3
2r1kb1r/p3p1p1/2p2np1/2pq2Pp/3p1P1P/1P2P3/PBPP4/RN1Q1RK1 b k -,f6g4
rnbqk2r/ppp1bppp/3p1n2/4p3/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq d3,c7c6
6k1/3r3n/p7/5PP1/Ppp1pB2/3b4/6B1/3R2K1 w - -,g2e4
r1bq1rk1/5ppp/4pn2/p2p4/1b6/2N3P1/PPPB1PBP/R2Q1RK1 w - a6,f1e1
r1b1nrk1/6p1/1qn1p1Qp/1p1p4/1P1b3P/3B2P1/2N2P1N/1RB1R1K1 w - -,c2d4
1k3b1r/1p1r2pp/p3pp2/5b2/N2P4/4PB2/PP2K2P/2R4R b - -,f8d6
8/4qk1p/3p2p1/Q1pP1p2/2Pb1P2/1P4BP/P3r1P1/1R4K1 w - -,g1h1
r1b1kb1r/ppqpppp1/2n4p/2p1P3/2B2B1P/2P2N2/PPP2PP1/R2QK2R b KQkq -,e7e6
8/8/8/7P/4bK2/3k4/R6B/1r6 b - -,b1f1
2k1rb1r/p1ppqppp/b1p5/4P3/1nP5/1P3N2/PB2QPPP/R3KB1R b KQ -,c6c5
5rk1/6pp/2p4q/5p2/Q1pP1P2/6P1/2P4P/5RK1 b - -,h6e6
5rk1/1b3pb1/p2Pp1pp/2r5/PpP5/1B6/3N1PPP/3RR1K1 b - -,f8d8
2r1kn1r/1pq1bp2/p2pbn1p/P3pNp1/4P1P1/2N1B2P/1PP2PB1/R2Q1RK1 b k -,f8g6
r7/3k1P2/8/8/2K5/8/1p6/5R2 b - -,d7e7
2r3k1/pq2bp2/4p3/1b4pp/1P1P4/P2Q2B1/B4PPP/4R1K1 w - -,d3d1
3r2k1/b1nb1rpp/p1BR1p2/1pp5/4P3/2P1BN2/PP3PPP/3R2K1 w - -,d6d7
r7/8/8/7k/8/p1K2P2/R7/8 b - -,h5g5
7Q/2p5/p3n2r/4p1k1/4PbP1/7P/P7/7K w - -,h8g8
7k/6qp/1pp1Q1p1/p4r2/2P1N1N1/1P6/P5K1/8 b - -,f5f8
2r5/5pk1/p1B1p1n1/3P1p2/2P5/3Q3P/P4q2/6RK b - -,f2f4
2r5/8/6p1/5k2/1KP4p/7P/4R1P1/8 b - -,c8b8
2rr2k1/4pp1p/1pP3p1/p1n1P3/Pn5P/B1R1P1P1/5PBK/5R2 b - -,d8d2
2rn1rk1/p2bnpb1/1p1qp1pp/2p5/NPPp4/P2P1NP1/2QBPPBP/1R3RK1 w - -,e2e3
8/8/5pk1/6p1/1b5p/3K1P2/3p2n1/3R4 b - -,g2e1
rn2kb1r/1p3ppp/p1b1pn2/q2p4/3P1B2/1RNBP3/P3NPPP/3Q1RK1 w kq -,d1b1
r1bqk2r/pp1pbppp/2n1p3/2p5/4P3/2P2Q2/PP1P1PPP/RNB1RBK1 w kq -,b1a3:d2d3
3r2k1/p1b1r1p1/Qp4p1/2p1q1P1/4P3/B4R1P/2P1R3/7K w - -,f3f1
8/7p/4kp2/2bp1p2/1p3P1N/1K4P1/7P/8 b - -,c5f8
rq3rk1/1b3ppp/p3p3/3n4/3N4/3QBP2/PbP1B1PP/1R3RK1 b - -,d5e3
3r4/5p1k/p1r1p2P/1p2P1P1/1P1pPP2/8/R2KB3/8 b - -,h7g6
r3r1k1/1pq2pp1/2p4p/6nP/3P2P1/1PPNRP2/p1Q5/K2R4 w - -,d1e1
r2q1r2/1p1bp1kp/p2p1nP1/2p1n3/6PP/2NP1P2/PPPQN1B1/R3K2R b KQ -,h7g6
8/8/2pB4/1pPb2Kp/p7/PkP2P2/6P1/8 w - -,g5h5
8/2n5/pr1p1k1p/2pP2p1/2BbP3/RP2NKP1/7P/8 b - -,d4e3
2b2n2/B3r1pp/p2R1pk1/3B4/4PP2/6P1/1P5P/6K1 w - -,a7b6
r1bqk2r/ppp2ppp/2n5/1B1pP3/Qb1Pn3/2N5/PP3PPP/R1B1K1NR b KQkq -,c8d7
rn1qkb1r/pp2nppp/4p3/2ppPb2/3P4/5N2/PPPNBPPP/R1BQK2R w KQkq -,d4c5
2n5/1p6/2p1bk1p/4pp2/1PP5/4KPPP/1N6/5B2 b - -,c8d6
2q3k1/1p5p/4b1p1/3p4/3bpB1P/Q5P1/P3PPB1/6K1 b - -,d4f6
1rb1qr1k/p1p1p1bp/2p2ppn/4P3/3P4/1PN2N1P/P1P1Q1P1/R1BR2K1 b - -,f6e5
5k2/7K/1p6/p3p2P/8/2P2B2/Pn6/8 w - -,h7g6
1kr5/p2b3p/3PnB2/1p1R4/2p2p1p/5P2/P4KP1/3R4 w - -,d5h5
r1bqk2r/pp3ppp/3p1n2/3Pn3/1bPQN3/2N5/PP3PPP/R1B1KB1R b KQkq -,f6e4
4kb1r/pp2nppp/4p3/nPqpPb2/8/2P2N2/5PPP/RN1QKB1R w KQk -,a1a5
rb2r3/1pq2pk1/3N2p1/p1p1Pb2/P1Pp4/1N4pP/1PQ3B1/R3R1K1 b - -,c7d6
b3r3/p7/Pp3pk1/1P1p3p/2pNrPn1/2B1PKP1/4R3/4R3 w - -,c3b2
5bk1/3q1p1p/1p3P2/p1p1B1Pp/P1P2P2/1PK2Q2/8/8 w - -,f3h5
8/pp2kpp1/2n2n1p/2p2PP1/7P/2P2K2/PPB2N2/8 b - -,h6g5
8/p2p3p/3k2p1/1P2p3/P3K3/8/6PP/8 b - a3,d6e6
7R/1b1k1r2/5p2/p1p1nPp1/4P1P1/1Pb2B2/6K1/2R5 b - -,c3d4
r6r/1q2bkpp/pBb1pp2/1p2p3/4P3/5P2/PPP2QPP/2NRR1K1 b - -,h8c8
6k1/R7/1p4P1/5p2/1r3P2/p5K1/8/8 b - -,b4b5
2r1r1k1/2qbbppp/p2p1n2/8/2pNPB2/P4N1P/1P3PP1/R2QR1K1 b - -,c7b7
b3r1k1/5ppp/q2b1n2/2pP4/2p2P2/2N1B1P1/1Q4BP/1R4K1 w - -,e3d2
5b1k/3r1ppq/4b3/p1p5/4n3/PP4N1/2Q2PPP/2B1R1K1 w - -,g3e4
3q1rk1/4b1pp/r1p1p3/1pPp1p2/pP1P1P2/P1Q1P3/3N2PP/R4RK1 w - -,d2f3
8/p1r3pp/3kpp2/1p3b2/1PpK1P2/R5P1/P5BP/8 w - -,d4c3
r3k1r1/pppq3p/2b3p1/4Q3/4p3/1PB1P3/P2P2PP/R4RK1 b q -,d7e7
2n3k1/pp4q1/4p1B1/3p4/3n2Q1/PP4P1/5PK1/5R2 w - -,f1d1
8/1p5B/4k3/p1K1P1p1/P1P5/1P6/6b1/8 b - -,e6e5
1rbq1rk1/1p2ppbp/p2p1np1/n1pP2B1/P1P1P3/2N2P2/1P1Q2PP/R1N1KB1R b KQ -,f6d7
r1q2rk1/1ppb3p/2np2pb/p3pPN1/P7/2PPB1P1/1P3PBP/R2QR1K1 b - -,d7f5
8/7p/p2p1k2/1p1P1n2/2p1KN1P/7b/1P6/8 w - -,f4h3
2Rrbk2/5npp/p3Bp2/1p6/5P2/P5P1/1P5P/2R3K1 b - -,f8e7
r2q1rk1/pppn1pbp/3p2p1/8/2PnP3/2N4Q/PP2BPPP/R1BR2K1 w - -,e2d3
