8/5k2/4p3/3bPp1p/1p6/4K1PP/PR6/8 b - -,h5h4
5Q2/5pRp/p2p2p1/1p2q1k1/1P6/2P4P/1P3PPK/4r3 w - -,g2g3
4rb2/2q2k1p/bBp2pp1/3p1n2/N4P2/6P1/PPPQ2BP/1K1R4 b - -,c7b7
r1bq1k1r/pp1p1pp1/2n2B1p/4p3/4P3/2b1N3/PPP2PPP/R2QKB1R w KQ -,b2c3
2r1rbk1/1bqn1ppp/pp1p4/1P1Pp3/4P3/4B3/P2NBPPP/1QR2RK1 b - -,d7c5
4r3/4q1pk/ppQ1p3/4P2p/3P1R1P/4p1P1/PP6/6K1 w - -,c6e4
4k3/5R2/8/p2BN1p1/2P4p/P3b3/KP2q1PP/8 b - -,e3d4
3r1r1k/p4pbp/1p1pnqp1/8/bP1pP3/P2Q1NP1/1B1R1PBP/4R1K1 b - -,d8d7
6k1/3Bp2p/2pbP1p1/2q2p2/8/7P/6P1/4Q2K b - -,c5c4
2r1r1k1/2q3bp/p4np1/1pBpn3/1P4PP/P2B2Q1/2P1N1K1/1R3R2 w - -,g4g5
4r1k1/7p/5pp1/3R4/P1P1nP2/1P4PP/8/6K1 b - a3,e8b8
4r1nr/2kbqn2/1p1p1pp1/pPpP4/2P1PQPp/2N4P/P1N1R1B1/5RK1 w - -,c3b1
6r1/p4pp1/2p4p/3kP3/5P1P/2R5/P1P3P1/2K5 w - -,g2g4
2r2rk1/1p3pp1/p3b2p/3p4/3P4/6bP/PPB2RPN/3R3K w - -,f2e2
r3kb1r/1p3p2/p1q1p2p/2p2RB1/8/2PP4/P1P1Q1PP/R5K1 w kq -,g5f6
3r2k1/6pp/pbb1p1r1/1p2q2n/4N3/2B2P2/PPP4P/1KR1QB1R b - -,b6d4
1r2r1k1/2p1bpp1/4pn1p/1q6/2NP4/1P3PP1/4QK1P/BR1R4 b - -,b8b7
r2q1rk1/pb1nppbp/1p3np1/2ppN3/3P1P2/2PBP3/PP1N2PP/R1B1QRK1 b - -,e7e6
r1b2rk1/pppnq2p/3pp1p1/3P2P1/4N3/4Q3/PPP2PP1/R3KB1R b KQ -,c7c6
3q2k1/1b4n1/r3p3/pNppNp2/P4P2/1P1P3P/2PBRK2/6R1 b - -,d8h4
r1q4k/1pQ1b1pp/8/1N2Pp2/p3bP2/P3P1P1/1B3K1P/4nB2 w - -,c7e7
r3k2r/2pqnpb1/bp1p2p1/p2P2Pp/2P1PB2/2N5/PP1QB2P/2KRR3 b kq -,e8g8
3qk2r/1p1nbpp1/p1r1p2p/3p4/3PPB1P/2NQ4/PP3PP1/2R2RK1 b k -,d5e4
4r3/bp1r1pk1/p1ppqnp1/4p2p/1PP1P3/PN1RPQPP/1B3PK1/3R4 w - -,b3a5
r2q1rk1/pp1nbpp1/2p1pn1p/3p1b2/2PP4/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,a1c1:f3d2
1k1r3r/np1bq1pp/p3pp2/3pP2P/1P3P2/P1NQ1N2/1KP3P1/3R3R b - -,d8c8
r5kb/2q4p/p1pp2p1/Pp2nb1N/4p3/1PP1B1QP/5PP1/3RR1K1 w - -,e3b6
5kr1/1b3p1p/pp3b2/5n2/1Pp5/P5P1/4Q2P/4R1K1 w - -,e2e8
r1b2k1r/1pq1n1pp/p1nNpp2/b2pP3/P2P4/BQP2N2/5PPP/R3KB1R w KQ -,a1c1
r2r3k/pp3Ppp/6q1/4Q3/5B2/5N2/P4PPP/R5K1 w - -,e5e7
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P5/1PN1PN2/PBQPBPPP/R4RK1 b - -,b8d7
8/8/r2pk3/1P1Rp1pp/2r1Pp2/7P/5KP1/8 w - -,b5a6
4r1k1/1p3pp1/p6p/P2q4/3p4/3P1Q1P/1PP2PP1/R5K1 b - -,d5f3
r4nk1/5ppp/b3pn2/8/3NP3/4NP2/4B1PP/R6K b - -,a6b7
r1b1k1r1/1p3pPp/p7/3p4/5B2/3B4/PPP2qPP/R2Q3K w q -,f4e5
2B5/8/1p1k1pb1/p2p2p1/1PpP2P1/P1P1K3/5P2/8 w - a6,c8b7
8/1pR1rk2/p2q1n2/3p1P2/3P2pp/1P2P3/P4PB1/2Q3K1 w - -,c7e7
r5k1/3R3p/p3n1p1/1prR1pP1/7P/2P4B/PP3P2/6K1 w - -,h3g2
1q4k1/4rpp1/1pB4p/1Pp1bb2/2N2P2/4P2P/3R2P1/2Q4K b - f3,e5c7
2r2r2/1b4k1/pq1p2p1/1p1P1p2/3N1bPp/PQP5/1P4BP/3R3K w - -,d4e6
rnb1k2r/1p2bppp/p2qpn2/8/3P4/2NBBN2/PP3PPP/R2Q1RK1 b kq -,e8g8
r3kbnr/p4ppp/bqp1p3/4P3/2p5/1P3N2/P1P1QPPP/RNB2RK1 w kq -,b3c4
5k2/1p1bppbp/p2p2p1/3P4/4P3/1P2BP2/P2KB1PP/8 b - -,f8e8
8/5p2/p1k3pp/1p2P3/1P3nPP/2K1N3/1P6/8 b - -,f4d5
1rb1r1k1/1pq2pb1/p1pp1np1/2n3Bp/2PNP3/1PN3PP/P2Q1PB1/3R1RK1 w - -,f1e1
r2q1rk1/1b3ppp/ppnppn2/6B1/2P5/P4NP1/1P2PPBP/R2QK2R w KQ -,e1g1
8/8/1p1k4/p1bBn1B1/P3P3/1P6/8/5K2 b - -,c5d4
r7/1p2kp1B/2p1p3/4n2p/1P5R/6P1/4PP2/6K1 b - -,e5g4
3k4/6R1/7r/4K3/3B4/8/8/8 w - -,e5d5
7r/r2bbkp1/p2pp3/1p4Np/2n1PPnP/P1NR2BB/1PP5/2K4R b - -,f7e8
r2r1bk1/1q3pp1/pp1pp2p/2n4n/2P4P/1PNNBPP1/P2QP1K1/2RR4 b - -,c5d7
1r1qr1k1/pp1b1p2/5n1p/4b1p1/3N4/1Q2P1B1/PP3PPP/1BRR2K1 b - -,d8a5
2Rn4/5pk1/bq4p1/p2Pp2r/1p2P3/5N1P/PP1Q1RBK/8 b - -,a6c8
r1bq1rk1/pppnppbp/3p1np1/8/1PP5/4PN2/PB1PBPPP/RN1Q1RK1 b - -,e7e5
r3rn2/pp4P1/1bp1bB1k/3p4/8/1P1BPN2/P1P3R1/4R1K1 b - -,b6c7
2bb2k1/5p2/p7/1p1Np2p/2p1B3/5P2/PPP3PP/2K5 w - -,f3f4
2r5/8/1n2k3/4pppp/8/1K6/2P3PP/2N1R3 w - -,c1d3
2kr3r/1pp5/p1p2Rp1/2n1p2p/4P3/3PN1PP/PPP3K1/R7 b - -,d8d6
8/5pk1/4p1p1/4P1K1/b1P1rPP1/2Q5/8/8 w - -,c3h3
r1b1kb1r/1pqn1ppp/p1npp3/6P1/4P2P/1NN5/PPP2P2/R1BQKB1R w KQkq -,f2f4:h4h5
8/8/8/8/7r/2R1nk2/P1B5/4K3 w - -,c2d1
r3kb1r/ppp2ppp/2p1b3/4Pn2/8/5N2/PPP1NPPP/R1BR2K1 b - -,e6d5
4r2k/p5pp/1p6/2b4q/2Q2P2/6KP/P4B2/R7 b - -,c5f2
8/8/1p1pB2p/5PkP/KPPb2P1/8/8/8 w - -,a4b3
5rbk/ppq3p1/2n2r1p/3pP3/6B1/2R2PP1/PP1QN1P1/4R1K1 b - -,c7b6
r2qnrk1/3nbppp/8/4p1P1/3BP2P/Pp3P1b/1P1QN3/1KNR3R w - -,h1h3
2rqkb1r/1p1b1ppp/p1nppn2/8/3NP3/1P4P1/PBP2PBP/RN1Q1RK1 w k -,c2c4
2k5/pppr2p1/3b2n1/8/3p2Q1/5PR1/PPq2PK1/R7 b - -,d6g3
8/7k/1ppR4/p2pr1P1/7K/7P/P7/8 w - -,d6c6
2r2bk1/5p1p/3p1np1/1p2p3/4P3/P2P1PNP/1r4P1/R4R1K w - -,a3a4
r1b2rk1/pp2ppbp/2n2np1/q1P5/2p1P3/2N2NP1/PP2QPBP/R1B2RK1 b - -,a5c5
6n1/pp4k1/3Q2p1/1q3p2/1P1P4/P1P5/5PPP/4rNK1 w - -,d6c7
3r1rk1/1p4p1/p1q2pb1/4p1Nn/2p1P2P/2P1BP2/PP2Q3/3RK1R1 w - -,g5h3
r2qkb1r/3bpppp/p2p1n2/6B1/1p1nP3/5P2/PPPQN1PP/2KR1B1R w kq -,e2d4
8/1k5b/r1p3qp/1R1p2p1/1P1P4/5PBP/1K4P1/2Q5 b - -,b7c8
r3r1k1/pp1n1p1p/2p2bp1/q1Pp1R2/3P2Q1/PPN3P1/1B4BP/5RK1 b - -,f6d4
r4rk1/1ppqbppp/2np1n2/p7/P3P1b1/1NN3P1/1PPQ1PBP/R1B2RK1 w - -,c3d5
8/p1k1r2p/1p2n1p1/2p3P1/4B2P/1P3PK1/P7/3R4 w - -,g3g4
r5k1/pp1b2p1/3r4/5nN1/4QP1p/2P5/q5PP/3R1RK1 w - -,d1d6
1R1Q4/r3p1b1/3p2pk/1b1P1pN1/1q3PPp/1P2P3/r6P/1R3BK1 b - -,f5g4
3nB3/3P4/8/4k1K1/p6P/N2b4/8/8 b - -,d8e6
8/8/ppr1KPpk/6Np/7P/2P5/PP6/8 w - -,e6e7
8/p7/3k1pN1/1PP2p1p/3K3P/8/3n4/8 b - -,d6c7
r1bq1rk1/ppn1n1b1/3p2p1/2pPp1Pp/2P1Pp1P/2NN1P2/PP1Q4/R3KBBR b KQ -,b7b6
rnbq1rk1/4bppp/p2ppn2/1p6/3NP3/P1N5/BPP2PPP/R1BQR1K1 b - -,d8b6
r4rk1/3n1p1p/1q2bppQ/p1pp4/3P4/1PPB4/P3NPPP/R4RK1 w - a6,f1e1
r1r3k1/1p1npqbp/3pb1p1/3N1p2/1PP1PP2/4BB2/3Q2PP/1RR2K2 b - -,f5e4
8/pp4k1/2n5/5p1p/4pPP1/2P1b1B1/PP4P1/3B3K b - -,h5g4
k2r4/1p1r2p1/p4p1p/5q2/8/1RP5/PP2R3/2K1Q3 b - -,f5d3
r4rk1/ppn1nppp/2p3b1/8/3PP1qP/1QNB4/PP2N1P1/2R3KR w - -,h4h5
4r1k1/7p/2p3p1/1p6/P6P/2PQ2P1/5PK1/4r3 b - a3,b5a4
r1bq1rk1/1p3pNp/p2pp1p1/2p2P2/3bP1Q1/1PNP4/1PP3PP/R1B2R1K b - -,d4g7
2r3k1/5p1p/1p2p1p1/8/3b1P2/1nN3P1/1P2P1BP/3RK3 b - -,c8c4
r2qk2r/pb2bppp/2N1pn2/1p6/8/1PN3P1/1BQPPPBP/5RK1 b kq -,d8b6
3rk3/6p1/3b4/p3qp2/1pp1bN2/4B2P/PPP2QP1/4R1K1 w - f6,f2g3
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -,b2b4:f3d2:h2h3
8/3nkp2/3b2p1/p2P3p/Pp1B1P2/2P2K1P/2B3P1/8 w - -,c3b4
4k2r/1pqn1pb1/p2p2pp/P1rPp2P/Q1P1P1P1/B4PN1/6K1/3R3R w - -,a3c5
8/1p2kp2/3p2p1/PP1q3p/5P1P/2Q3P1/8/2K5 w - -,a5a6
3r4/pp3rpk/2n3qp/8/4Rn2/BN3P2/P1Q3PP/2R4K w - -,c1g1
k2r4/1p6/p1p2p2/P7/8/1R3PPp/1PB1Kb1P/5Qq1 b - -,d8d2
rnb2rk1/1p3ppp/p4n2/4p1B1/2p5/P1N3P1/P3PPBP/R2R2K1 b - -,b8d7
r1bqk2r/pppp1ppp/2n1pn2/b7/3PP3/P1NB4/1PP2PPP/R1BQK1NR w KQkq -,c1e3
6k1/4q1n1/3p4/p7/4p1Qp/8/PPP5/1K5R w - -,g4h4
r3k2r/5p2/2n4p/p2p2p1/1qbPn3/4P1B1/B3NPPP/R1Q2RK1 w kq -,a2c4
2rr2k1/1p1q1ppn/pb2p1p1/3pP3/8/2PB2B1/1P1Q1PPP/R3R1K1 w - -,a1d1
r4rk1/pp1qpp1p/6p1/2PpR3/3P4/8/PP3PPP/R2Q2K1 w - -,d1f3
4r3/p1p2kpp/1p1p4/5p2/2PRr3/1P2PKP1/P4P1P/3R4 b - -,f7f6
r1bqkb1r/1p3ppp/p2ppn2/2n5/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQkq -,f2f3
8/5P2/4K1kb/2B5/8/8/8/8 w - -,c5d6
2r5/6p1/p3kp2/2prpn1p/Pp5P/1P1PR1P1/2P2PK1/B3R3 w - -,e3e4
r1bqk2r/pp2bppp/2n1pn2/3p4/1PP5/P1N1PN2/1B3PPP/R2QKB1R b KQkq -,e8g8
r3r1k1/1pq4p/2p1b1p1/2n1N3/p4P2/2P3P1/3R2BP/3Q1RK1 w - -,c3c4
6k1/2p3p1/p4p1p/b1pP1b2/4rN2/BP5P/P4PP1/2R3K1 w - -,f4h5
8/1p2pr1k/4p3/q1Pb1rBp/7P/5P2/5QP1/3RR2K w - -,f2c2
8/5k2/4R3/3P4/3KP1p1/8/8/6r1 w - -,d4e5
8/p7/1P4P1/P1kN4/4K3/8/1b6/8 b - -,a7b6
6k1/pp1r2p1/2n1p2p/1R6/2Pb1B2/6PP/P4PB1/6K1 b - -,c6d8
r1b1k2r/2q1bp2/p3p1pp/1pnpP3/5P2/1NP1B2P/PP1NQ1P1/R4RK1 b kq -,c5a4
8/8/7P/5kBp/r2K1N1P/8/8/8 w - -,d4d5
b1r3k1/4qpp1/1n3n1p/3p1B2/1ppP4/4PP2/1P1N1BPP/2Q2RK1 b - -,c8d8
4rrk1/pp4pp/1qb2n2/3pp3/8/PN1B1P2/1PPQ2PP/1K1RR3 b - -,g8h8
8/7p/2k3p1/5p2/1BP1p2P/P3P1P1/4KP2/2r5 w - -,c4c5
5Q2/bpk5/p1p2p1p/P3p2P/1P6/1BP3P1/3q1PK1/8 w - -,f8f6
r2q1rk1/pb2bppp/1pp1p3/n7/3PP3/P1P2N2/B3QPPP/R1BR2K1 w - -,e4e5
4r1k1/p1q4p/1p3rp1/2P1pp2/PPRn4/3BQ3/6PP/1R4K1 b - -,f5f4
r3r1k1/pp3ppp/2n5/8/3pB3/P4q2/1PP2PPP/R3R1K1 w - -,e4f3
8/pk1rn1p1/5p1p/1R6/2NP4/8/5PPK/8 b - -,b7c8
r1bqr1k1/pp3ppp/4pn2/4N3/3p4/6P1/PP2PPBP/R1QR2K1 b - -,d8b6
5rk1/Q4ppp/2pb1q2/4n3/2r2P1n/4B3/PPB1N2P/R4RK1 b - -,e5f3
8/6k1/6p1/5p2/8/1B4RP/4p1P1/3r2K1 w - -,b3d1
r4rk1/1p1q1p2/4p1np/2Pp2bN/1p1P1pP1/PQ1R3P/5PB1/4R1K1 w - -,b3b4
2R5/8/8/2bk4/1p3K2/8/P7/8 b - -,d5d4
1rbQ1r2/1p1n1pk1/pN2pp1p/8/1P6/6P1/P3PPBP/R4RK1 b - -,f8d8
1rrq2k1/1b1nbpp1/pp1ppn1p/8/NPP1P3/PN2BP2/3Q2PP/1RR2B1K b - -,h6h5
r3r3/1p1nq1k1/2b1p1pp/p2p1p2/3P1NnP/4PNP1/PPRQ1PB1/2R3K1 w - -,f4d3
8/6k1/3p2p1/2pPp2q/PbP1B3/6P1/5PK1/3Q4 w - -,d1h5
r1bq1rk1/p2nppbp/3p1np1/2pP4/1p2P3/2N2NP1/PPP1QPBP/R1B2RK1 w - -,c3b1
rnbqkb1r/p4ppp/2p1pn2/1p6/3P4/3BPN2/PP3PPP/RNBQK2R b KQkq -,c8b7:a7a6
r2q1rk1/pppnppb1/5npp/3p1b2/1P1P3B/2P1PN2/P2N1PPP/R2QKB1R w KQ -,a2a4
r3k2r/p4ppp/3B1n2/1p1P4/b3P3/2pB4/P4PPP/1R3RK1 w kq b6,f1c1
6k1/4bp1p/4p1p1/p2nP3/3P4/P1qB1N1P/1Q4P1/7K w - -,b2c3
rn1qkbnr/pbpppp1p/1p4p1/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq f3,d7d6
r1b2rk1/p3q2p/2pb2p1/1p3p1n/3BP3/P4PP1/1P2BN1P/R1Q1K2R w KQ f6,c1c6
r4b2/2p2k1p/bpp2p2/p5p1/3P4/2P2PPN/1P1N2P1/R5K1 b - -,f8d6
5b1k/1bq2npn/p1pNrpQp/1pP2N1P/5P2/1P6/PBB3P1/3R2K1 b - -,e6d6
rnbqk2r/ppp1ppbp/5np1/3p4/5P2/1P2P3/PBPP2PP/RN1QKBNR w KQkq -,g1f3
7R/8/5K2/3p4/8/4k1r1/8/8 w - -,f6f5
r1bqk2r/ppp1ppbp/3p1np1/3P4/2P5/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e2e4
6k1/5p1p/4p1p1/p3P3/2qP1P2/2p1K2P/P1Q3P1/8 w - -,h3h4
3rr1k1/ppqn1ppp/2p2n2/2b1p3/4P3/2NP1BPP/PPQB1P2/3R1RK1 w - -,f3g2
r4rk1/1b3ppp/ppq1pb2/n1p5/P4P2/2NPB3/BPP2QPP/R4RK1 w - -,f1d1
r3r1k1/pp3pbp/3q2p1/P2P3n/1PBp1N2/1Q1P1PPb/3B3P/R3R1K1 b - -,g7h6
8/6bk/2R4p/2N3p1/2P5/2n1P1P1/4P2P/6K1 w - -,c6c7
2r2rk1/2qn1pbp/p5p1/P3pP2/4R3/1NP1B3/1P4PP/3Q1RK1 b - -,c8b8
8/1p3k1p/2p1pbP1/p3q3/P1P5/1P2B1P1/2Q2PBK/8 b - -,h7g6
2rq1r2/1p4k1/p1p3pp/3p1pn1/PP1P2nN/3BPPP1/6K1/2Q1RR2 b - -,g4f6
1r3rk1/2n3bp/3p2n1/1pqP4/2p2p1B/5N2/1PQ1BPPP/R2R2K1 b - -,c7d5
r1b2rk1/1p1nqppp/2pb1n2/p3p3/2P5/1P1PpNP1/PBQN1PBP/2R2RK1 w - -,f2e3
r4r2/p2bq1bk/3p2p1/1p1Pp2n/2p1P3/2P1N1N1/PP4PP/3QRRK1 w - -,g3h5
r4rk1/pp1nppbp/2p2np1/8/3P1B2/2P4P/PP1NNPP1/R4RK1 b - -,f6d5
4r1k1/p2bppb1/3p2P1/q6n/2rNP2P/2N1B3/PPPQ4/2KR2R1 b - -,f7f5
1n6/p2q1pk1/1p2p1p1/2p1P1P1/4BP2/1P5Q/PKP5/8 w - -,h3h6
8/4k3/p2r2pb/2RBp3/Pp2P2r/1n2N1R1/4KP2/8 w - -,d5b3
8/7k/4r1pp/2r5/P3p3/4R2P/6P1/4R2K w - -,e3e4
3r4/p1n3k1/1p6/2p2P1p/4R2N/1P2n1P1/P6P/6K1 w - -,e4e3
8/1R6/2K5/4kpp1/7p/6P1/8/8 w - -,b7b5
rnb1k2r/pp3ppp/4pn2/3q4/1b1P4/4BN2/PP3PPP/RN1QKB1R w KQkq -,b1c3:b1d2
rn3rk1/pp2Rp1p/6pb/8/2BP1qb1/N4N2/PP3PPP/R2Q2K1 b - -,b8c6
5rk1/q3bp1p/1n2p1p1/1Rp1P3/2P2P2/4BQ2/P5PP/5BK1 b - c3,f8c8
r4rk1/pbp3pp/np1np3/8/2P1p3/2N4N/PP2BPPP/2KR3R b - -,e4e3
8/p4kbp/3B2p1/2p2p2/2N1p3/1P1nP2P/P4PP1/6K1 w - -,g1f1
rq3rk1/1b1n1pbp/1p2pnp1/pPpp4/P1PP4/1Q2PN2/1B1NBPPP/2R2RK1 w - -,f3e5
rn2kb1r/ppq2ppp/2p1pn2/5b2/2BP4/5NN1/PPPB1PPP/R2QK2R b KQkq -,f5g6:f5g4
r2q1rk1/p2pppnp/1p3np1/2pP4/2P5/2NB1PP1/PP1Q1P1P/R3K2R b KQ -,e7e6
8/4n3/4Npk1/4p1pp/8/5PPP/5K2/8 b - -,e7f5
8/r4p2/4p3/3pk3/6R1/5rP1/5P1R/6K1 b - -,a7a2
7k/8/2P5/p6p/2N1B1b1/1PbR2P1/2r1n2P/4K3 w - -,c4d2
2Q2b2/4qkp1/4p3/3pB3/3P4/4PK2/5P2/8 b - -,e7h4
r3k2r/1pq2pp1/1np3p1/2bnp3/p7/P2P1NP1/1PQBPPBP/R4RK1 b kq -,b6d7
1r3rk1/1b2ppbp/pn1p1np1/q1pP2B1/4P3/1BN2N1P/PP3PP1/1R1QR1K1 w - -,g5d2
6R1/8/3r4/pk2n1p1/1p2K1P1/1P6/P7/8 w - -,g8g5
r1r3k1/pb1nppbp/1q1p1np1/1P1p4/1P6/2N2NP1/PBQ1PPBP/3R1RK1 w - -,c2b3
r2q1rk1/pp1nbppb/2p1p2p/3n3P/N2P1B2/PB4N1/1PPQ1PP1/R3R1K1 w - -,a1d1
8/8/6p1/7n/2N1p2P/3n4/4k1K1/8 w - -,g2h3
r1b1rnk1/1p2bpn1/2p3p1/p5P1/2PPNq2/P4NR1/1BB2PK1/RQ6 w - -,d4d5
r2qr1k1/pp1bppbp/2np1np1/8/2P1P3/2N1BN1P/PP2BPP1/2RQ1RK1 b - -,d8a5
8/8/8/4k2P/1p2P3/1Pb5/2P1K3/8 w - -,e2d3
rn1q1rk1/p3bpp1/1p1P3p/4p2n/4Q3/2N1PN2/PP3PPP/R3K2R b KQ -,d8d6
5rnk/2p3bp/1p1p2p1/rP1Ppq2/P3Nn2/RB6/5PPP/2BQR1K1 b - -,g8f6
r4rk1/1p2q3/p1pbpn2/P2p1p1p/1PPPN1p1/4P1P1/5PBP/1RRQB1K1 b - -,f5e4
5k2/p3r3/8/R6B/5b1P/8/P5K1/8 b - -,e7e5
r7/2k5/2p1qpp1/p1R5/3Q4/PP2P3/4KP2/8 w - -,c5c4
8/pp1k4/2pp4/4b1P1/8/2PN4/PP1N2K1/7r w - -,d3e5
r3k1nr/ppqnbppp/2p1p3/5b2/3P4/2NB1N1P/PPP2PP1/R1BQR1K1 b kq -,f5d3
4r3/1p3k1p/p3p1p1/4Q3/2q2P2/6P1/P1P4P/2K1R3 w - -,e5e4
2r3k1/1R5p/p2p1np1/P2Pr1q1/4p3/4R2P/5PP1/3Q1BK1 b - -,e5d5
8/5bkp/2R3p1/4pp2/P7/2N1PP2/P2r1KPP/8 w - -,f2g1
r3k2r/pp2bppp/4p3/1q1pP3/3P4/4PN2/PP1Q2PP/2R2RK1 b kq -,e8g8
r2n1qrk/p2nb2p/1pb1p1p1/3pPp2/2pP1PP1/P1N1BBN1/1PPQ2RP/2R4K w - -,c1g1
3rr1k1/1ppq1b1p/pnn2p2/2R3p1/5B2/P3P1N1/3PBPPP/1Q3RK1 w - g6,f4g5
rn1q2k1/p3b1p1/7p/1R1pN3/3Pb3/4P3/Q5PP/5BK1 b - -,g8h7
2r2rk1/1pq1bppp/p1npp3/8/2P1P3/1PNR4/PB2QPPP/R5K1 b - -,c6e5
r1bq1rk1/pp1nnpbp/2p3p1/4p3/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f1d1
8/8/1K2B3/4p3/1k2P3/p1b5/8/8 b - -,c3d4
r3r1k1/ppqnbppp/2p5/4pb2/3P4/2P1P1PP/P3QPB1/R1BRN1K1 b - -,a8d8
8/4kp2/4p1pp/2b1p3/b1B1P3/2PP4/4NPP1/6K1 w - -,d3d4
r3k2r/1b1p1pp1/p3pn2/1pq4p/4P3/P1NB3Q/1PP2PPP/R3R1K1 w kq -,h3e3
3r2k1/3r1q1p/1p2pPp1/p1n5/P1R5/2N2Q2/1P3PPP/4R1K1 b - -,e6e5
r3k1nr/1bq2ppp/p2bp3/2p5/4B3/2N5/PPP1QPPP/R1B2RK1 b kq -,g8f6
4r2r/2qb1kb1/p2p1ppp/1p1P4/2pB4/1P3BP1/P1PQ1P1P/R3R1K1 w - -,h2h4
3q2nr/1Qr1kpp1/p1Bbp3/1pp4p/5B2/3P2P1/PPP2P1P/R4RK1 w - -,b7a6
8/4k3/2R5/4K3/5N2/8/1r6/8 b - -,e7d7
1B6/3n3p/4k1p1/4pp2/7P/6P1/4KP2/8 w - -,b8c7
8/1B3p1p/4b1p1/p1p1k3/8/1PK3P1/7P/8 w - -,b7f3
rnbq1rk1/pp2bppp/5n2/2pp4/8/1Q3NP1/PP1PPPBP/RNB2RK1 w - -,d2d4
8/4pp2/5kp1/3P4/p1B2P2/2n3P1/P4K2/8 b - -,c3e4
r4r2/p2qn1k1/1pnp1p1p/2pPp1pP/5P2/3P2P1/PPPQN1B1/1K3R1R b - -,c6a5
r1r4k/pb2q1pp/1n6/2np1p2/3P4/Q4NP1/P3PPBP/1R3RK1 w - -,d4c5
