8/R2k4/5K1p/8/4P3/8/8/7r b - -,d7e8
3r2k1/5p2/2rp1npp/4p3/4P3/P3RN1P/5PP1/4R1K1 w - -,e3d3
8/5p1k/q6b/P1Pbp3/4P2Q/1N5p/1P5P/6K1 w - -,e4d5
R7/6k1/5p1p/6p1/5rP1/6K1/5P2/8 b - -,h6h5
2r5/3rkp1p/3p2p1/1Pq1p3/p1P1P1QP/6P1/2R2PK1/3R4 b - -,a4a3
r1r3k1/p4n1p/1p1nN1p1/1bNPp3/1P3P1q/P3R2B/R7/3Q2K1 b - f3,b6c5
r2q3k/1p4b1/p2pQ2p/6p1/2P5/4Nr2/PP3P1P/3RR1K1 b - -,d8f6
1rr3k1/pp1bppbp/2np1np1/3N3q/2PN4/1P2P1P1/PB1Q1PBP/R2R2K1 b - -,f6d5
2r3k1/qp1npp1p/3nbbp1/1P1p4/pB1P4/4PN1P/P2NBPP1/1QR3K1 b - -,a7b6
r3k2r/pp1bnppp/2n1p3/8/1P2P3/1N2B1P1/1P3PBP/R4RK1 b kq -,c6b4
2r1r1k1/3nqppp/bppbpn2/p2p4/2PN1P2/PPNPP1P1/1B2Q1BP/R4RK1 b - -,g7g6
8/pp2kppb/7p/1P2P2P/2B1p1P1/8/P4PK1/8 w - -,g2g3
5bk1/p3qp1p/1pp1n1p1/2n1p3/N1P1P1B1/1P2B3/P2Q1PPP/5K2 w - -,a4c5
8/pp4pp/3k4/8/2P5/4K3/PP2R1PP/1r6 w - -,e3d4
3r4/8/4pk2/p3b1p1/1pP2P2/1N3PnP/P2B1KP1/4R3 b - -,g5f4
7r/5k2/6n1/3Pp3/1PN1P3/8/1KB5/8 b - -,h8b8
5k2/7R/6p1/5b2/5P2/2n2B2/6P1/7K b - -,c3b5
B4k1r/5pp1/5n2/p4b1p/1b6/1PN3P1/5P1P/R1R3K1 w - a6,c3d5
3r1k2/7p/5ppP/R2Bb1P1/1pp5/7K/8/8 b - -,d8d5
r2r1k2/pp3N2/2n3p1/2p1P3/2P2P2/2P1K1Q1/q5PP/3R3R b - -,f8f7
rnb1r1k1/ppq2pbp/3p2p1/2pP2B1/2P5/3B1N1P/PP1Q1PP1/R4RK1 b - -,b8d7
1r4k1/p4p1p/2p3p1/2P2n2/1P3P2/P3p1P1/3q2BP/3QR2K w - -,d1e2
1R6/4Kpk1/r1NR2p1/4Pr2/8/8/8/8 w - -,b8b7
r1bqkb1r/pp3ppp/2n5/2p1p3/8/2P2NP1/P1QPPPBP/R1B1K2R b KQkq -,f8e7
4r2k/p1p1q1rp/3n1b1R/3Pp3/4Pp2/P2Q1N2/5PP1/B1R2K2 w - -,c1c6
r1b1r1k1/ppp4p/1n3Bp1/q3pp2/P7/2PB1N1P/5PP1/R2Q1RK1 b - -,e5e4
r1bqk2r/pp3ppp/2n1pb2/1BPp4/3Pn3/P1N2N2/1PQ2PPP/R1B1K2R b KQkq -,c8d7
Q7/5ppk/7p/2P1rP2/8/P5PP/1q3PK1/5B2 w - -,c5c6
r4rk1/bppbqpp1/p4n1p/n3p3/4P2B/2P4P/PPBNQPP1/R3KN1R b KQ -,e7e6
7r/pp1r2pp/2k1p3/3pP1B1/Pbp1P3/1n3P2/1P3KPP/3R1B1R w - -,e4d5
1r1r2k1/1p3pp1/p1P2n1p/8/PP6/4Nn1P/5PP1/2RR2K1 w - -,g2f3
8/2n1k1pp/1p1n1p2/4N3/8/1B4P1/P4P1P/6K1 w - -,e5c6
3r1rk1/3b1ppp/p3p1q1/Ppb5/1n1NB2R/1QN3PP/1P2PP2/5RK1 b - -,f7f5
2r3kr/p4bpp/4pb2/n2p4/3P2PP/3BR3/4QPK1/8 b - -,a5c6
8/4R3/8/4n3/3k4/8/r7/4K3 b - -,d4e4
3n1b2/prkn1pNB/2b1pP2/q2pP3/P1pP4/2P2N2/3B3P/R2Q3K b - -,d7c5
r1b1kbnr/ppp3pp/4p1n1/8/2p1PP2/2N5/PP4PP/R1BK1BNR w kq -,f1c4
1n2r1k1/pb1n3p/1p3pp1/3P4/5P2/B2B1N2/P5PP/5RK1 w - -,d3c4
8/8/P5pB/6k1/5p1R/3K2P1/r4b2/8 b - -,g5f5
3r1rk1/1p3pb1/p3p1p1/1PP2bqp/P2Pp3/1Q5P/1B2BPP1/3RR1K1 b - -,a6b5
4k2r/3bbppp/p3p3/q2pPP2/r2B2P1/1P1B4/2P2Q1P/1K1R3R b k -,e7c5
1kr5/pb3pb1/1p4q1/3pPn2/1NrP1Ppp/1R6/P2BN1PP/3Q1RK1 w - -,b4d3
8/ppk2p2/4nP2/3r4/8/P7/1P2Q3/1K6 w - -,e2c2
1r4rk/2q2pp1/Rp3n1p/1Pp2P2/2PpP1Q1/3P1N2/7P/R6K w - -,g4g3
3r1r2/pN2kppp/8/3p4/4bP2/8/PP4PP/3RR1K1 b - -,d8b8
r5k1/1q1n1pbp/6p1/p2p4/Nn1Pp3/1P2P1P1/3B1P1P/RQ2NK2 b - -,h7h5
8/2n3p1/2kp1p1p/2p1p2P/1r2P1P1/3KBP2/2P5/R7 w - -,e3d2
8/1p3k2/pPn1p1p1/P1p1P2p/2P1NK1P/6P1/8/8 w - -,e4d6
1r3r2/p2bppkp/1q1p2p1/1n2nP2/4P1P1/2pPN1NP/P1PQ2B1/R4R1K w - -,f5f6
2brr3/2qn1pbk/p2p1npp/1ppPp3/PP2P3/B1P2NNP/2B1RPP1/1Q1R2K1 w - -,a4a5
8/1B3pbk/R3n1pp/4P3/1P4P1/7r/4r3/4BRK1 b - -,e6g5
2Rr2k1/pb3pp1/1p2n2p/1B1p2q1/1P1N4/P3P2P/4QPP1/3R2K1 b - -,b7c8
8/5pk1/4r3/R3p1p1/1P5p/8/P4P2/5K2 b - -,h4h3
8/6pk/4p2p/p7/8/2pq2PP/5P1K/Q7 w - -,a1a5
r4rk1/pp2b2p/1np3p1/4Nb2/5P2/N5nP/PP4B1/R1BRK3 w - -,c1e3
rnbqrbk1/ppp2ppp/3ppn2/8/1PPP4/P1N1P3/4NPPP/R1BQKB1R w KQ -,e2g3
rn3rk1/pp1q1pbp/2pp1np1/1P2p3/2P3b1/2NP1NP1/P3PPBP/1RBQ1RK1 b - -,g4h3
2kr3r/pb1nqp2/1pp1p1pp/3pP3/3P1PPP/P1QB2N1/1PP5/2KR3R b - -,c8b8
4rr1k/pp1b1pb1/1qn1p2p/3p4/3P2p1/1NP3P1/PPB2PPN/RQ2R1K1 b - -,f7f5
1r6/2K2p2/8/1R3P2/7p/6k1/8/8 w - -,b5b8
3k4/8/3P4/p2K4/6p1/1P4Pp/7P/8 w - -,d5c6
6k1/5p1p/p1q2Bp1/3r4/1p6/1P1R4/1PP2PPP/3R2K1 w - -,d3d5
8/4bppk/4p2p/4P3/3P4/p4QP1/1q3PKP/4N3 w - -,f3f7
r1b2rk1/pp5p/6p1/2p1qp2/2PpP2P/1Q1B1P2/PP1K2P1/1R5R w - -,b1e1
5r1k/1p2b1pp/p3q3/P2rPp2/3B1p2/2P4P/1P2Q1P1/R2R2K1 w - -,e2f3
1r1q1rk1/5p2/p2Pb1p1/1ppn4/6Pp/1P5P/P2N1PB1/bR1Q1RK1 w - -,b1a1
r4rk1/2p2qpp/1n1b4/1P2pp2/p6n/2PP1QNP/P1B2PP1/1RB1R1K1 w - -,f3h5
r1b3k1/pp1p2pp/2pPr3/3n1p2/5P2/3B4/PPP3PP/R1B1R1K1 w - -,c1d2
4rrk1/pb2pp1p/1p1p1np1/1Pq5/P1P1PP2/2N2B2/Q5PP/R2R2K1 w - -,g1h1
4r1k1/1p4p1/r7/1n1pP2p/2p3PP/p1PnBP2/R7/3N1RK1 w - -,f3f4
2r3k1/6bp/p5p1/1pBp2Pn/1P5P/P5q1/2P1Q3/1R3R1K b - -,g7e5
3r2bQ/2p2kP1/1p3p2/3rp1p1/P7/2P1KP2/4P3/R7 w - -,h8h6
5rk1/3b1pp1/pp1p1n2/2pPr1q1/P1P1P1Pp/1PN4P/5Q2/3R1BRK w - -,f1d3
8/8/4pkp1/rp6/5PKP/P1R5/5P2/8 w - -,c3b3
k7/5R2/P3p3/8/2K5/8/8/6b1 w - -,f7f1
1r1q1rk1/pp1b1pbp/3p2p1/n1pPp2n/2P1P3/1PN3P1/PBQN1PBP/R4RK1 w - -,a2a3
r1b4r/2bpkp1p/4pp2/1B6/P4P2/2P1B3/4K1PP/1R1R4 w - -,c3c4
r2qkb1r/1p2pppp/p2p1n2/2p5/2BnPP2/2NQ3P/PPPP2P1/R1B1K2R w KQkq -,a2a4
1qb2rk1/3p1p1p/p3pbp1/2N1n3/1P3Q2/P5P1/4PPBP/2R2RK1 b - -,f6g7
1rbqr1k1/1p1n1pbp/p2p1np1/2pP4/P3P3/2NB3P/1P2NPP1/R1BQR1K1 w - -,e2g3
5rk1/p1p3pp/2p5/3p4/3Nr3/2P4P/PPN2qP1/R2Q1b1K w - -,d1f1
r1b2rk1/ppp2pp1/2n1pq1p/3p4/2PP4/P3PN2/1P1Q1PPP/R3KB1R w KQ -,d2c3
r1b3rk/1pRn4/p3p3/3p1p1p/1P1P1P1q/N2NP1pP/P1Q3P1/5RK1 b - -,h4d8
8/5pkp/8/1Nr4P/3R1n2/8/PP3P2/5K2 w - -,d4f4
r1q2rk1/pp1nbpp1/2p1pn1p/3p1b2/2PP1B2/1QN1PN1P/PP2BPP1/2R1K2R w K -,e1g1
8/5p1k/p4bpP/1p2p3/3qQ3/1Ppr1P2/P1K2R2/2B5 b - -,b5b4
2r5/5pk1/pq4pp/3p4/Q2Nn3/PN2P1PP/5P2/5BK1 w - -,a4a6
1rb2rk1/2q3bp/pp1p1np1/2pPpp2/P1N1P3/1PN2P2/2PQ2PP/R3RBK1 b - -,g8h8
6k1/p3qp1p/1p2p3/1Pp2p2/8/5BP1/P2Q1P1P/6K1 w - -,h2h4
8/R5b1/3P1pnk/5Kp1/3B3p/6P1/PP1r3P/8 w - -,a7a4
8/4k3/3pp3/p3r3/2P2K2/1n3B2/6P1/R7 w - -,a1a3
8/1b2r2p/p3k1p1/1p1p4/8/P6P/1PP1N1P1/5RK1 w - -,e2d4
r4r1k/1pq1bppp/p1bppn2/5P2/3BP3/2N2B2/PPP3PP/3RQR1K b - -,f6d7
r5k1/1p1r1ppp/2n2q2/p2p4/8/1P2P1P1/P3QPBP/3R1RK1 b - -,f6e5
5R2/2r2kp1/p6p/2Bp4/1Pb5/2P2P2/5KPP/8 b - -,f7g6
3q1rk1/3b4/3p1nBp/1P1Pp3/PR6/4P2P/1R1NQ1PK/2r5 w - -,b2b1
r1bnkr2/1p3p1R/4p3/3pP1NQ/2pP1P2/2P5/pqPKB1P1/R7 w q -,h5h1
1r2r3/p6k/3ppBpp/5P2/6P1/2Pp4/P2Q3K/8 w - -,f5g6
r4rk1/p2b2p1/1pn1pPnp/3p4/P1pP1B2/2P2N2/2P1BPPP/R4RK1 w - -,f4d6
8/7p/1p6/p2Pk1p1/4b1K1/P5P1/B7/8 w - -,g4g5
7k/8/p2p1N1n/2pPp2p/4P3/1P3K2/P7/8 w - -,f6h5
r3qrk1/p4ppp/bnNb1n2/2pP4/Pp6/6P1/1PQN1PBP/R1BR2K1 w - -,d2e4
8/8/p7/1p6/5R1P/1P1kb1B1/7K/r7 w - -,f4f6
8/8/P7/2bB2R1/r1k3P1/5P2/2K5/8 b - -,c4b4
2kr1b1r/p1qn1pp1/2p2n2/4p2p/Pp2PP2/1N3B2/1PP1Q1PP/R1B2R1K w - -,f4f5
2k5/pppr2p1/3b4/4nqp1/3p3P/5PR1/PPPQ1P2/R5K1 w - -,g1g2
4r2k/5q1n/1pn1pP2/p2p2pP/P2P2N1/6Q1/3B4/5RK1 b - -,c6d4
2r1r1k1/pp2qpp1/2p2n1p/3p4/1P1P2N1/2QBP3/P4PPP/1R3RK1 b - -,f6g4
3k3r/pp1bq1n1/3p4/2pPpP2/P1P5/1P3QR1/5N2/3N1K2 b - -,g7f5
2bk4/8/1Pp5/2BP4/2K5/6b1/2N5/8 w - -,d5c6
r2q1rk1/pp3pb1/2npb1pp/2p1p3/P1N1Pn2/2PP3P/1PQ1BPPN/R1B2RK1 w - -,c1f4
r2r2k1/pp1q1pbp/4nnp1/1PPpB3/3Pp3/P1N3P1/4NPKP/1R1Q1R2 b - -,e6g5
2r1k3/1pqbbp1r/3p2n1/p3p1p1/P1P1P3/1P4QP/R1N2P2/2B1RBK1 b - -,g6f4
r1b5/p1p1NQpk/3p3p/1p6/4P2P/1BPP4/P3qnP1/1K6 b - -,e2e1
2b2r2/3n2rk/4Q3/p2Pb3/4PB2/1p3P2/1P2N2P/1B5K b - -,g7g6
8/5pk1/3p2p1/3Pp2p/4P2P/3pP1P1/8/4rK2 w - -,f1e1
2r3k1/5ppp/1pr1b3/p2p4/3B1P2/2P5/PP2R1PP/4R1K1 b - f3,g8f8
8/1R3p2/6p1/rp5p/5K1P/k4P2/8/8 w - -,b7f7
r1rb2k1/2n1qp1p/2p1b1pQ/1p2P3/p2PN3/P2B1N1P/1P3PP1/3RR1K1 b - -,e7f8
8/2k2p2/p2n2p1/1pq3P1/8/PP1Q4/2P5/1K6 w - -,a3a4
r1b1r1k1/ppq2ppp/4p1n1/8/2P1R3/1P3NP1/PQ3PBP/2R3K1 w - -,f3e5
1rq3rk/p1p2pbn/1pBpp1pp/1P6/P2PPP2/2PQ1NP1/R6P/5RK1 b - -,c8d8
rnbqkb1r/1p3p1p/p2pPnp1/2p5/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c8e6
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/1P3N2/PBPPP1PP/RN1QKB1R b KQkq -,f8d6
1r2r1k1/1p3pb1/p6p/N1PRPPp1/1P2p3/2B5/1P5P/6K1 b - -,e4e3
r2qkbnr/1b1p1ppp/p3p3/1pp5/3NPP2/2N3P1/PPPPQ1BP/R1B1K2R b KQkq -,c5d4
2rr4/1b2qpkB/p3pp2/1p6/8/1P2P3/PBQ3PP/2R2RK1 b - -,c8c2
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQkq -,d1e2:h1g1:f2f4:f2f3
8/p2rkpp1/2p1p2p/1b2P3/5P2/4NKP1/PR5P/8 b - -,a7a6
4rk2/pp3p2/2pRbPn1/8/3KP3/2N2B2/PP6/8 w - -,f3h5
8/p6p/1p2p1pk/2R5/3p4/3Nb1qP/PP4P1/3R1K2 w - -,c5e5
rnbqk1nr/pp2ppbp/2p3p1/3p4/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq d6,b1d2
8/1R5p/6pk/1p1Np3/5p1P/5P2/3r2PK/8 w - -,d5f6
2k2r2/8/p1B2B1b/1p1N1p1p/7P/3K2P1/P1P2P2/8 w - -,f2f4
8/5p2/6k1/7p/1pr5/8/5KP1/R7 b - -,b4b3
r1rq2k1/4bppp/4p1P1/p3n2P/4PN2/1b1B4/1PPB2Q1/1KR4R b - -,d8d7
5rk1/pb1q1rbp/1pnPp1p1/2p1P3/2P1B3/P4NB1/1P2Q1P1/3R1RK1 w - -,e2e3
8/6p1/2Q5/2p1qP1p/P7/8/4K3/6k1 w - -,e2d2
B1rr2k1/3Q1ppp/p3p3/8/P1q5/6Pn/1P4NP/R3R2K w - -,d7b7
8/4kpp1/p3p3/1pn1P1P1/2p4r/2P3KP/PP1r2P1/1R1BR3 b - -,h4h8
rnb2r1k/6pp/2p2q2/p3p3/2P1N3/Q1R1P1P1/5PBP/R5K1 b - -,f6f7
1r1r1nk1/4q1b1/p2p2p1/1p1Pnp2/8/1P2B1QN/P3B1PP/4RR1K b - -,e7b7
5k2/p1B4p/1pp2p2/2b1nP2/2P5/1P5P/P3B1K1/8 b - -,f8e7
1r6/2q2pk1/1r2pn2/p1p1p1pp/2P5/P3P1PP/1P1RRPB1/1Q4K1 b - -,g5g4
r2q1rk1/pb2bppp/1p1p1n2/4p3/2PBP1P1/2N2P2/PP2B2P/R2Q1RK1 w - -,d4e3
8/5pk1/p1p2n1p/3qQ1p1/8/7B/P4RK1/8 w - -,e5d5
r1b1k2r/2qnbppp/p2pp3/1p2n1P1/4P3/1NN1BP2/PPP2Q1P/2KR1BR1 b kq -,c8b7
8/pp1r1pk1/4b1pp/8/3nBP2/2N5/PP3KPP/4R3 b - -,f7f5
rnbqk2r/ppppppbp/8/6p1/3Pn3/8/PPP1PPPP/RNBQKBNR w KQkq -,f2f3
6k1/5pp1/2R1n2p/2p1B2P/4P3/3r1P2/6P1/6K1 b - -,g8h7
1r6/3bk1p1/4p2p/3pPp2/pP1N1P2/2PK2P1/7P/R7 b - -,g7g6
4r1k1/p4p1p/2p3p1/3q4/8/1PP1P1P1/P1Q4P/5RK1 b - -,e8e3
8/1p6/8/4k3/PpP5/1P1K4/8/8 w - -,a4a5
8/8/6R1/7p/2p4r/2k5/8/1K6 b - -,h4g4
8/7p/2pp2p1/5k2/pP6/K4P1P/P1P5/8 b - -,f5f4
8/6k1/1p4p1/pR1P4/7p/PP5P/6PK/3r4 w - -,a3a4
r2q1rk1/4bppp/p2pbn2/n1p1p1B1/Pp2P3/3PNN2/BPP2PPP/R2QR1K1 w - -,g5f6
r2q1rk1/pb2bp1p/1p2p1p1/8/3P4/P2nB1N1/5PPP/R2QK2R w KQ -,d1d3
r1b1qrk1/1p1nb1pp/2p1pn2/p1PpNp2/3P4/1PN3P1/P3PPBP/R1BQR1K1 w - -,e5d3
5q1k/1ppR4/1r3bQp/2P2RnP/p3p3/P7/1P2B3/nK6 b - -,b6b2
2r1b1k1/pp2pp1p/2r3p1/q3P3/1nBPP3/2R2N1P/PP4P1/R1Q3K1 b - -,a5c7
1r3k2/1p3ppp/1np5/p4P2/P3N3/1B1nPK1P/1P3P2/6R1 w - -,f5f6
8/4R3/5p2/3k2p1/6P1/r4PKP/8/8 w - -,e7e8
r3k2B/pp2np1p/2pQ4/4pb2/2P2q2/6N1/PPnK1PPP/R4B1R w q -,d2c3
1r3rk1/p2n2p1/1q2pb1p/2pp4/8/2N1P3/PPQ1BPPP/1R2K2R b K -,f6c3
2r2rk1/3nb1pp/p1qp4/1p6/4pP2/P1N1B1Q1/1PPR2PP/3R2K1 b - -,d7b6
2k1r3/8/pp3b2/2p2p2/5Bp1/PbPNP1P1/4K3/5R2 w - -,f1b1
r1bq1rk1/ppp1n1bp/1n1p1pp1/4p3/3PP3/2N1B1P1/PPP1NPBP/R2Q1RK1 w - -,d1d3
5k2/1p6/p1p1b2p/2Pp2p1/PP1Pp1P1/2N1P2P/4K3/8 w - -,e2f2
6k1/pp3p2/4p1p1/1q2P2p/4QP2/1P1r2PP/P1R3K1/8 w - h6,h3h4
8/p2q3k/1pp4p/6p1/2Pb4/1PNb1Q1P/P5P1/4B2K b - -,d7f5
r3r3/1p3kb1/p1p1bpnp/6p1/2PPR1P1/1PB4P/1P1N2B1/4R1K1 b - -,g6f4
4r3/Rb1q1k1p/2p3p1/1pQpPp2/3P3P/4PB2/1P2K1P1/8 b - -,e8e7
1r1q1rk1/4ppbp/Q1np2p1/2p5/2N1P1n1/6P1/PP3PBP/R1BN2K1 b - -,c6d4
5n2/1pB2pk1/p2Pp1p1/P3p3/1P3PBb/7P/6K1/8 w - -,g4f3
8/6pp/p3k3/1p1r2KP/1P4P1/8/R7/8 w - -,g5f4
8/1Qbk2pp/pp6/4q3/8/6P1/7P/3R2K1 b - -,d7e7
r3r1k1/2nb1p1p/3b2p1/p1pp4/6nq/P1N1P1N1/1PQBBPPP/3R1RK1 w - -,e2g4
4rr2/p3p1kp/1p3np1/2pP1b2/2P2N2/4P2P/P5P1/1BR2RK1 b - -,e7e5
6k1/p4p2/1n2b1p1/Nr2p2p/3pP2P/3P2P1/2Nb1PB1/R4K2 w - -,a5c6
4qr1k/rp1nb1pp/p1p1Q1p1/2P4P/3Pp3/2P4B/P2B1P2/1R2K1R1 b - -,d7f6
1r6/1pn4p/p1p2pk1/2N2p2/1P1P3P/2R1PKP1/P7/8 w - -,a2a4
6k1/2r2p1p/1R2pbp1/Rp1r4/8/3N2P1/1P2PP1P/6K1 b - -,c7c2
R4nk1/1R5p/8/6K1/8/6P1/5r1r/8 b - -,f2a2
rn3r2/p2q1pkp/bp4p1/3P4/8/5N2/P3BPPP/2RQ1RK1 b - -,f8d8
r3n3/1p1rk3/p1p1b1pp/N1R1p3/PP2P3/3P2P1/7P/1R3BK1 w - -,c5e5
r3kb1r/ppqn1ppp/2p1pnb1/8/8/3P1NN1/PPP2PPP/R1BQRBK1 b kq -,f8e7
1q3r2/pr2npbk/1pn1p1pp/1P6/2P5/5NP1/3BPPBP/1RQR2K1 b - -,c6a5
r3k2r/1p3ppp/p1n1p1b1/3q4/1b1P2P1/5N1P/PP3PB1/R1BQR1K1 w kq -,f3e5
8/2r1p1kp/3p1pp1/3PP3/1rpQ1P1P/2R5/6P1/6K1 w - -,h4h5
r2qkb1r/3b1pp1/p2ppn1p/1p2n1P1/3NP3/2N1BP2/PPPQ3P/2KR1B1R b kq -,h6g5
2kr3r/2q2ppp/pp2p1n1/8/1nP1N2P/4bN2/PP2QPP1/1K2R2R w - -,f2e3
1r1q2nr/pp1b3p/5bpk/1P1Q1p2/4pN2/B3P1P1/P4PBP/3R1RK1 w - -,d5d7
rn1q1rk1/pb3ppp/4p3/1p1pP3/2pPn3/2P2NP1/PPQN1PP1/R3KB1R w KQ -,d2e4
2r2rk1/pb1n1ppp/4p3/2p5/1P6/4P3/P2NBPPP/2R2RK1 w - -,a2a3
3r1rk1/1bq1bppp/p1n1p3/1p6/1P2NP2/P1Q1BB2/2P3PP/2R2RK1 b - -,a6a5
2b1rrk1/2p3b1/p1p4p/2Ppq1p1/1P6/P2B1P1P/3QRBP1/2R3K1 b - -,e5f6
r3kb1r/1b4p1/pq2p3/1p1p1n1p/5P1P/2N2NP1/PP1B2B1/n1Q1R2K b kq -,f8e7
k7/8/PK6/7R/1nr4P/8/8/8 b - -,c4c8
r1b1k2r/1p5p/pn1bp1n1/3pqp2/3N4/2PBN3/PP3PPP/R1BQ1RK1 w kq -,g2g3
8/8/6K1/8/5P2/8/4r2k/8 b - -,e2g2
1rq2rk1/R1p3pp/3p4/3Pb3/1pP1p3/1B3P1Q/1P3P1P/1R4K1 w - -,h3c8
8/2p2rk1/2Bp3P/1PpP4/5p2/P4K2/1P6/8 b - -,g7h6
r4bk1/1p3p2/1qp1b1pp/4p3/4P2P/1PP3P1/2Q1BPK1/rRN2R2 b - h3,h6h5
rn1q1rk1/4ppb1/p1p1Bnpp/1p2B3/4P3/3P1NP1/PQN2P1P/R3K2R b KQ -,d8d3
k7/8/4n3/4r3/3p4/7P/3B2P1/4R1K1 b - -,e5e1
r2qr1k1/pb3pBn/1pnp2p1/2pNp2p/2P1P3/3P1NPP/PP1Q1PB1/R4RK1 b - -,g8g7
6k1/5pp1/p2Qp1p1/3p4/1P3P2/P5P1/4q2P/6K1 b - -,g8h7
rnb1k2r/pppn1pp1/4p2p/3pP1q1/3P4/2NQ3N/PPP2PP1/R3KB1R b KQkq -,g5d8
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PPNB2/P3PN1P/1P3PP1/R2QKB1R b KQ -,f5e4
6r1/pp3Q1k/2pqP2p/8/7N/6PP/PP5K/8 b - -,h7h8
2rr1bk1/5ppp/5n2/ppq1NN2/4nB2/P1pR3P/1PQ2PP1/R5K1 w - -,d3d8
r1b2rk1/ppq1bppp/2p5/4pPBn/4P2P/1PN3Q1/1PP3P1/R3K1NR w KQ -,g3f2
2r5/5pk1/6pp/2r5/p3n1P1/R2R1K1P/5P2/8 w - -,f3e4
4n1rk/pp2P1q1/7p/3Q4/P4N2/1P6/7P/4R2K b - -,g7g5
r1b1k2r/1pp1qppp/2np1n2/p2Np3/2PP4/5NP1/PP1QPPBP/R4RK1 b kq -,f6d5
r1bq3k/5p1p/pp1p2r1/3NpNb1/2P1P3/7Q/PP3B1P/3R1B1K w - -,d5b6
1r4k1/5pb1/2n1pq2/pN2n3/Ppp1P1p1/2P1B1P1/1PQ1BPK1/3R4 b - -,b8d8
r2q1rk1/p1R2ppp/1n2pn2/1p1bB1Q1/8/P2P1NP1/P4PBP/3R2K1 b - -,h7h6
r1bqk2r/pp3ppp/2n1p3/3pP3/3N1P2/1N1BB3/P4KPP/b2Q3R w kq -,d4c6
r1bq1rk1/1p1nppbp/p2p2p1/2pP4/2P1P3/1PN1BP2/1P1Q2PP/R3KB1R b KQ -,d8b6
r1b2r1k/pp3p1p/2p2b2/3p1q2/1PPPpPp1/P3P1P1/3N2NP/2R1QRK1 w - -,g1h1
r1bqkbnr/1p2pppp/p1n5/2pp4/8/1P2PNP1/P1PP1P1P/RNBQKB1R w KQkq -,f1g2
8/5p1p/4p3/4Pkp1/R2B1b2/5P2/2rr2PP/6RK w - -,a4b4
4rr1k/3qb1pp/3p2n1/1p1B2P1/4P3/1P6/P2BQ2P/R4RK1 b - -,d7h3
3rr1k1/1pqn1pbp/p1p1b1p1/2P1p3/NP2P3/4B1PP/P1Q2PB1/1R3RK1 w - -,f1d1
r4rk1/pb2qnb1/3p1n1p/2p2pp1/2P1p3/BPN1P1P1/P2QNPBP/1R1R2K1 b - -,a7a5
r2qk2r/1p2bpp1/p1nppn1p/2p4b/2P1P3/P1NPBN1P/1P1QBPP1/R4RK1 b kq -,h5g6
1r6/2N2k2/5p1p/3P1p1p/8/8/2R4K/8 b - -,f7e7
r1bq1rk1/pp1nbppp/4p2n/4P3/1P1N4/P7/1B1P1PPP/RN1QKB1R w KQ -,d4f3
