1B5k/7p/p5p1/1p6/8/7P/PP3PP1/6K1 b - -,h8g7
r2q2k1/p1pn1ppp/2p2b2/2Pp4/3P1B2/2NQ3P/PP3PP1/R3r1K1 w - -,a1e1
rnbqkbnr/pp1ppp1p/6p1/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq -,e7e6
r1r3k1/p5p1/1p2p1np/3pP3/b1p2PP1/P1P3B1/2P1B2P/2R2RK1 b - -,a4d7
8/1k6/8/NKp2ppp/5b2/7P/8/8 b - -,b7c7
r3k2r/1p1qbpp1/2n1p2p/3pP3/p2P4/PP1Q3P/3B1PPN/R3R1K1 w kq -,b3b4
r4rk1/2qnbp1p/bpp1p1p1/p1Pp4/1P1P1P2/P1N2NP1/2Q1BP1P/R4RK1 w - -,a1b1
8/7p/1p3k2/1B2p3/Pb6/1P2P1P1/3p3P/3K4 w - -,b5e2
2b1r1k1/p1r3p1/2P1p3/4Np2/4n1p1/1B4P1/P1R2P1P/3R2K1 w - -,g1g2
4k3/1p1n4/p2p1PB1/P2Pp3/1P6/8/3BK3/6b1 b - -,e8d8
r2r1nk1/pp1b2p1/2nbpq1p/3p4/3P4/P1N1BN2/1PB2PPP/R2Q1RK1 w - -,d1d2
5r2/p7/1p1k2p1/6P1/P3K3/1P1B4/8/8 w - -,e4e3
8/3R2pp/1r2pbk1/4p3/4P3/5PP1/R5KP/8 b - -,h7h6
r2r1bk1/1bq2p2/p2p1npp/1ppPp3/4P3/1PP1B1N1/1P1N1PPP/2RQR1K1 w - -,b3b4
2r5/2Bbk1p1/1p3pp1/3pp3/3P4/4PP2/P4KPP/2R5 b - -,d7e6
8/4bpk1/4p1p1/4P2p/p2pBP1P/Pq1Nn1P1/1P5K/2Q5 b - -,e3g4
r1bq1rk1/ppp1npbp/2n3p1/3p4/4P2P/2N1Q3/PPPB1PP1/2KR1BNR w - d6,e3g3
r2r2k1/ppqn1pp1/2p1p2p/3n4/3P4/P1B2N2/1PPQ1PPP/R3R1K1 w - -,b2b4
r1bq1rk1/pp3pp1/2nbpn1p/8/2Pp4/BP1P1NP1/P4PBP/RN1QR1K1 b - -,f8e8
5nk1/pp1n1ppp/8/1N6/5q2/PPQ2P2/1B4Pb/5R1K b - -,f8e6
1b1r2k1/1p3pp1/p6p/2N5/1P1n1q2/P1R2P1P/5PR1/3Q3K b - -,f4f5
r2qk2r/p2nbppp/bpp1pn2/8/3P4/5NP1/PPP1NPBP/R1BQ1RK1 b kq -,e8g8
r1bq1rk1/p3nppp/2pbp3/2p5/3pPP2/3P1N2/PPP3PP/RNBQ1RK1 w - -,b2b3
2rr2k1/p2b2bp/1pp1npp1/4p3/8/1PBP2P1/P2NPPBP/R1R3K1 w - -,b3b4
r1bn1rk1/2p3qp/p2p2p1/1P1Pnp2/3NpN1P/1P2P1P1/PQ3PB1/2KR3R b - -,a6b5
r3rbk1/2qn1p1p/1pp3p1/2p1p3/1PN1P3/2BP3P/2PQ1PP1/R4RK1 w - -,b4c5
4k3/8/1p3p2/pP3P2/P7/8/2pp1K2/7R w - -,f2e2
2r3k1/pbrn1pp1/1p3n1p/1P6/2PRpP1Q/q1B1P3/4B1PP/2R1N1K1 w - -,c3d2
r1b1kR2/1pq4p/p2bp1p1/3pn2B/3B4/2N5/PPPQ2PP/4R1K1 b q -,e8f8
rn1qk2r/8/B1p2bpp/p3pp2/Pp5P/3QPN2/1PP1NPP1/R3K2R b KQkq -,b8a6
2r3k1/6pp/p7/8/2NR2P1/P2K4/1PP3r1/8 b - -,g2g3
4n1b1/1p4k1/p1p2p2/P3p1pp/1P2P1P1/2P2P2/7P/2B2BK1 w - -,g4h5
8/8/8/3b2p1/2pb1kP1/4N2P/1P2K3/8 w - -,e3d5
rn2kb1r/pb1ppppp/1q3n2/1pp3B1/P2P4/4PN2/1PPN1PPP/R2QKB1R b KQkq a3,c5d4
r2qk2r/pp1bppbp/2N2np1/2p5/8/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,d7c6
8/8/1R6/pP3pp1/P4k2/7P/3r4/5K2 b - -,d2a2
4r3/p4pkp/bp4p1/2p5/2P3P1/4P2P/PP1KB3/5R2 w - -,a2a3
2rqr1k1/p3bppp/1pn5/2pp4/N2Pn3/1P2PNP1/P2B1PKP/1QR4R w - -,h1d1
4rr1k/2R4p/p2p2p1/3Pp3/4Ppnq/5Q2/P5B1/3NR1K1 w - -,e1e2
r4r2/pp3pkp/q3pnn1/5p2/2NP4/1P2QN1P/P4PP1/R3R1K1 w - -,c4e5
4r1k1/1bR1b1p1/p3p1Np/5p2/1q5P/1pB1P1Q1/1P3PP1/6K1 b - -,f5f4
r1bqk2r/ppp2pb1/3p2p1/3Pnn1p/2P5/2N3PP/PP2NPB1/R1BQK2R w KQkq -,c3e4
8/1p1r1n1k/pBnp3p/3B1p2/2P1RP2/1P6/P5rP/3R2K1 w - -,g1g2
8/p4kpp/1p2n3/4p3/P1n1P2P/3N4/5PP1/2B2K2 w - -,g2g3
6k1/pbp3pp/1p2p2q/4Pp2/2P2Pn1/1P2P1P1/PB5P/3Q1NK1 b - -,h6h3
rnb1k2r/pp3ppp/4p3/q1pp4/2PPn3/P1P4N/1BQ1PPPP/R3KB1R w KQkq d6,e2e3
r2qk2r/pp2bppp/2nppn2/2p5/4P3/3P2PP/PPP2PB1/RNBQ1RK1 b kq -,d6d5
2q1k2r/1p1b1p2/pb4np/3pPp1N/1P1P4/P3BN1P/8/R2Q2K1 w k -,a1c1
rnb1qrk1/ppp3bp/3p1n2/3Ppp2/2P4N/2N3PP/PPQ1BP2/R1B1K2R b KQ -,b8a6
3r4/p4p1k/b1B1p1p1/q3b1Bp/4P2P/7Q/P5P1/1R5K b - -,d8d3
r1b2nk1/1p4b1/p2Np3/4P2Q/3N3p/3B4/PPPq4/R5K1 w - -,h5f7
1b6/p3k3/Pp3p2/1N2p1pp/2P1P3/Rn3PPK/7P/8 b - -,b3c5
r4rk1/2pbqppp/n2p4/1p1Pp3/p1P1PPn1/P1B3P1/1PQN2BP/4RRK1 w - b6,h2h3
3r4/5rbk/p3p2p/3b1p2/8/4N3/PP3PP1/1B1RR1K1 w - -,g2g4
8/8/8/4NkPb/5P2/4K3/8/8 b - -,h5e8
8/8/3k1p2/3p2p1/3N2P1/r3R2P/4K3/8 b - -,a3a2
5r2/4qr1k/pN4p1/P1pP1n1p/4pR2/2Q1P1P1/5R1P/6K1 w - -,b6c4
6k1/4r2p/8/1p4p1/p1nB1p2/P1PR4/1P4PP/6K1 b - -,c4b2
r1bqkbnr/ppnppp1p/6p1/8/2BPP3/2P5/5PPP/RNBQK1NR w KQkq -,g1f3
8/6pk/5bp1/8/P6P/1Q3PK1/4bP2/r7 b - -,e2d1
r2qkb1r/ppp2pp1/2n1pnNp/3p2B1/3P3P/2N2P2/PPP1P1P1/R2QKB1R b KQkq -,f7g6
1r1b3k/3R2r1/4pq1p/p3N3/1p2Q3/1P4P1/1P1R1P1P/5K2 b - -,d8b6
1R6/2B5/p3r1p1/1p2Pp2/1b3k2/7P/3R2K1/8 b - -,b4d2
2r2r1k/pp3pbp/n1pp4/4qP1n/2P4B/5B2/PP3PPP/R2QR1K1 b - -,e5f4
3r1r2/1p1k3p/p2Pbpp1/4p3/4PnPN/1PP1K2P/3R1R2/3B4 w - -,c3c4
3r2k1/5pb1/2n1p1pp/rpq1P3/3p1PP1/3P1Q2/P3RBP1/1R3BK1 b - -,c6e7
nrb3k1/1p3p1p/p5p1/2NPp3/P7/3B3P/1PP2PP1/R5K1 b - -,a8b6
8/8/8/R7/P2Ppk2/1r6/6K1/8 w - -,a5h5
r3r3/pp1k1p1p/1np1b1p1/8/3P4/P4PB1/1PBK2PP/3RR3 b - -,a7a5
8/2b1k3/1p2p2p/pB1bN3/3P1K1P/P7/1P6/8 b - -,e7f6
1r5r/1p2k3/3b1q1p/1Q2npp1/p7/4PNP1/1P3PBP/2R2RK1 w - -,f3d4
2r3r1/Rp2qp1k/2pp3p/4p3/4Pn1p/1P1P1N1P/1PP2PP1/3Q2RK b - -,g8g7
4b1k1/1pr3p1/p2qpr1p/P2pN3/1P1Q4/2P3RP/5PP1/4R1K1 b - -,f6f5
r1b2rk1/p1q1ppbp/2p3p1/8/8/2P1B1P1/P3PPBP/R2Q1RK1 w - -,d1a4
1r6/p3k3/1bp3p1/p3p3/P1N1P2p/1P1R1P2/6PP/5K2 b - -,b6c7
3r2k1/1r3p1p/6p1/pqRP4/2p5/4Q2P/1P4P1/3R3K b - -,b5b6
r4rk1/2q1ppbp/pp1p2p1/2nP4/P1p1PP1P/2P1BQ2/1PB3P1/R4RK1 b - -,a8e8
4k3/1R6/6p1/5r1p/1P2K3/6P1/8/8 w - -,b4b5
5B2/2b4p/p1k1p1p1/1p6/3PP1P1/3K3P/P7/8 b - g3,c7b6
1r1q1rk1/4ppbp/Q2p2p1/2p5/2NnP1n1/6PP/PP3PB1/R1BN2K1 b - -,d4e2
r1b2rk1/p3bppp/1pnqpn2/8/3P4/P1N1BN1P/1P2BPP1/R2Q1RK1 b - -,c8b7
8/6kp/B1p5/1p1b4/1Pp4P/P3R1P1/1r6/6K1 w - -,a6c8
8/B6p/8/pP6/4K1k1/5p2/7b/8 w - -,a7b6
1r1rb3/2p3k1/1n3ppp/2b1p3/p1P1P2B/5P1P/BPKN2P1/3RR3 w - -,f3f4
6r1/1p4kp/2pN4/p1P1P3/5n2/5r2/PP6/1R3B1K b - -,g7f8
r7/P5R1/3R3p/2p1pp1k/5b2/7P/8/5K2 w - -,d6b6
4r1k1/1pp1qppn/pb1p3p/3P3B/1P1P1R2/P2Q2PP/3B2K1/8 b - -,h7f6
r7/2pk1ppp/p1Nr4/2Rp4/P2P2P1/4P1K1/1P3P1P/8 w - -,c6e5
8/8/2kp4/2n1p3/4P3/5KN1/4Q3/1q6 w - -,e2c4
r1bqkb1r/pp3ppp/2n1pn2/3p2B1/8/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,f8e7
2r2rk1/q4ppp/p2pbb2/1p1Bp3/3nP3/PNNQ4/1PP2PPP/R4RK1 w - -,f1d1
1rb1r1k1/p3pp1p/2p3p1/2N5/8/1Pn2P2/PKP3PP/4RB1R b - -,c3b5
rnb1kb1r/1p2pp1p/pq1p1np1/8/4P3/1NN2Q2/PPP2PPP/R1B1KB1R w KQkq -,c1e3
r5k1/6p1/1qp1pr1p/p3p3/Pp1bP2P/1P1P2PN/2P1Q3/2KR3R w - -,g3g4
6k1/pp2rpp1/2p1r2p/5R2/PP1Pp1P1/4P3/7P/5RK1 b - g3,e6g6
r4qk1/2p1ppb1/1n6/p2bPp2/P7/2P2N2/4Q1PP/R1BR2K1 b - -,f8e8
3r1rk1/pp3p1p/2p2bp1/8/2bN1P2/2P1q2P/PPQR2B1/2K4R b - -,f6d4
r2qkbnr/5ppp/1n2p1b1/pp1pP3/2pP4/2P2NNP/PP2BPP1/R1BQR1K1 b kq -,f8e7
2b3k1/1p3pbp/p5p1/n2BP3/5P2/4B1P1/P2N3P/6K1 b - -,g7f8
8/p4r2/2p5/R1Ppk2p/4rp2/PP1R1K2/5PP1/8 w - -,a5a6
3n2k1/2R5/r5p1/5p1p/1B5P/5KP1/5P2/8 w - -,c7c8
8/4k3/R2bN1p1/3P3p/2pKP3/8/1Pr5/8 w - -,e6f8
r1b1k2r/pp3pbp/2pp2p1/3Pq3/1PP1Q1nP/2N1PP2/P4P2/1RB2K1R b kq -,c8f5
8/4R2p/1p4p1/7r/1kp5/8/2K2PP1/8 w - -,e7b7
r4rk1/pq1nbppp/4pn2/4N3/PpNp4/1Q2B1P1/1P2PP1P/R2R2K1 w - -,e3d4
5k2/R5pp/5p2/3p4/p2P2P1/1b3K1P/1P3P2/8 b - -,h7h6
4k3/8/4P1p1/4K3/6rP/2R5/8/8 b - -,g4h4
rn1qk2r/1b2nppp/p7/8/PbNP4/2P2N2/5PPP/R1BQR1K1 b kq -,b7d5
8/6r1/p1kb4/2p1p1pp/2P1P3/R3BP1P/1P2K1P1/8 b - -,c6b7
2rq1rk1/pp3ppp/2n1bn2/2bp4/N7/1P3NP1/PB2PPBP/R2Q1RK1 b - -,c5e7
3r2k1/pq3pbp/1p2pnp1/8/1PnN4/P2QPPP1/1B5P/5RK1 w - -,d3c4
rn2nrk1/1pq1bppp/4p3/p1P3P1/2P5/1N1NP3/PBQ2P1P/R3K2R w KQ -,h2h4
2rqr1k1/p2n1pb1/b1p1p1pp/3p4/N2P1B2/6P1/PPQ1PPBP/2RR2K1 b - -,g7f8
1r4k1/p1qQr1pp/2p5/2P5/1P6/6PB/P4P1P/1R4K1 w - -,d7c7
2R5/p2r3p/P7/4P3/8/4K2P/k1p5/8 b - -,a2b1
r2q1rk1/pbpn1ppp/1p6/4N3/1bBPpP2/4P3/PP4PP/R1BQ1RK1 b - -,b4d6
N7/3Q3p/p2p2p1/1Pp4k/2Kb4/3P1q2/1PP4P/R5R1 b - -,a6b5
r2q1rk1/6b1/1pn3pp/p1pbpp2/1P6/P2P2P1/3BPPBP/1RRQN1K1 b - b3,c5b4
4rrk1/1pp2pp1/1n5p/p2qnB2/P7/1PP3P1/2Q3PP/R1B2RK1 b - -,e8d8
r1bk3r/1pq1npbp/p3p1p1/1Bp1n3/P2pPP2/1N1P2N1/1PP3PP/R1BQK2R w KQ -,b5c4
1r6/pq1k2p1/3pn3/4p1P1/5nQ1/2P2PR1/7r/4RK2 b - -,b7b2
2rqrnk1/pp1nbppp/4b3/2ppP1B1/3P4/2NB1P2/PPQ1N1PP/4RRK1 w - -,g5e7
r2q1rk1/pp2bppp/2n2n2/3p4/5Bb1/2N2NP1/PP2PPBP/2RQ1RK1 w - -,f3e5
r2q1rk1/pp2bppp/2bp1nn1/2p3N1/P3PP2/1BNQB2P/1PP3P1/R3R1K1 b - -,f6h5
2kr3r/p2n1p2/2p3p1/qp2Pp1p/PbpP3P/2N5/1PQ1BPP1/R4RK1 b - a3,a5b6
R7/7p/3r2k1/2p2pP1/P3pP2/7P/4bPK1/8 w - -,a8a7
r1q2rk1/3nbpp1/p3pn1p/1b6/1PpPpB2/2P2N1P/R1BNQPP1/R5K1 w - -,d2e4
5n2/7p/3R4/P1pP1k1p/8/6BP/r5P1/7K w - -,a5a6
r2q1r2/5k1Q/1p1p1bp1/p1nPppp1/P1P5/B4N2/1P3PPP/R3R1K1 b - -,f6g7
r1bqk2r/pp2bppp/2n1pn2/2pp4/8/1P1P1NP1/PBP1PPBP/RN1Q1RK1 w kq -,b1d2
4brk1/1p5r/p1p1p3/2P1Np2/PP1PpPPq/4P1p1/R5R1/2Q3K1 w - -,g1f1
6k1/qp3p2/p5p1/P2p3p/1P2bP2/2B1bNPP/7K/4Q3 w - -,f3g5
rr4k1/p4n1p/2ppbbp1/2p1p3/1q2P2P/1P2BNN1/P1QR1PP1/2R3K1 b - -,a7a5
6k1/2p1b1rq/1p1p2r1/3Pp3/pPP1PpPp/P2R4/1R2Q1PP/5N1K b - -,g6g4
1n2rbk1/3b3p/p3p1p1/N4p2/N2PpP2/4P3/1P4PP/R1R3K1 w - -,a5c4
r4k1r/3qbp1p/2p1pnp1/pP6/1nBPPN2/1Q2BP2/1P3P1P/2R1K1R1 b - -,a5a4
8/5qk1/1p3p1p/3n1p2/PP6/4Q3/3N4/3K4 w - -,e3d4
r2b1k2/5p2/5Np1/3P3p/3B4/1K4n1/8/1B2R3 b - -,d8a5
2r3k1/7p/5Rp1/P1p1p3/2R5/r4P2/6PP/6K1 w - -,a5a6
1rb1r3/2qn1pbk/1p1p1npp/pPpP4/P3P1P1/2NBBN1P/3QRP2/2R3K1 b - g3,g6g5
r1bqk2r/pp2bppp/2n1pn2/2pp4/2P5/1P1PPN2/PB1N1PPP/R2QKB1R b KQkq -,d5d4
r4bk1/7p/5pp1/8/3N4/2p3BP/P1R2PP1/6K1 b - -,f8b4
rn1qk1nr/pp3pp1/2p1p1bp/8/3P1B1P/2P3N1/PP3PP1/R2QKB1R b KQkq -,g8f6
3r1r1k/1Qp2qpp/8/2PnBp2/8/3PP1P1/5PBP/5RK1 b - -,c7c6
rnb1kb1r/1p1qpppp/p4n2/3P4/Q2p4/2P2N2/PP3PPP/RNB1KB1R w KQkq -,a4d7
r1bqk2r/pp2bppp/2n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,a2a3:e1g1
8/p6p/1p2k2n/3p4/2pP2p1/P1P2P2/1P1NK1P1/8 b - -,e6f5
r3k2r/1b2bppp/p1n1pn2/1p6/4N3/4P3/PP1NBPPP/R1BR2K1 w kq -,e4f6
r1bqk2r/pp2nppp/2nb4/3p4/8/1N3N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
1n3rk1/1r3pp1/p3p2b/1p2P2p/7P/1PN3P1/PKP5/3R1B1R b - -,b8d7
r4rk1/2qn1pp1/b1p1p2p/ppP1N3/3PPP2/P5P1/2Q4P/R2R1BK1 w - -,e5f3
7b/8/8/p5Pp/6k1/BP4P1/2K5/8 w - -,g5g6
r1bq1rk1/pp2n1bp/2pp1n2/5p2/2PPp3/BPN3P1/P3NPBP/R2Q1RK1 w - -,d4d5
rn1qkb1r/p2p1ppp/1p3n2/2pb4/8/2N2NP1/PPQ1PPBP/R1B1K2R b KQkq -,d5b7:d5c6
r5k1/1Pp1bqpp/2P1b1r1/3p4/2N1Q3/5NPP/P4PK1/2RR4 b - -,a8f8
3r4/1pp5/4pknp/4p1p1/P3P3/4BP1P/1P2KP2/R7 b - -,g6f4
1nk2rr1/p1pq4/1p1p4/1P6/2PQ2pp/P2PBP1P/7K/1R3R2 w - -,f3g4
r3qrk1/pb3p1p/np4p1/2bpNN2/4nB2/1P3QP1/P3PPBP/2R2RK1 w - -,f5h6
1qrr2k1/1p2bppp/p4n2/3P4/2P1p1Bn/1P2B2P/PQ4PN/2RR2K1 b - -,f6g4
3n4/pb6/1p4k1/5p1p/8/1P1B1PP1/PB3K2/8 w - h6,f2e3
rnbqkb1r/pp2pp1p/3p1np1/2pP4/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8g7
1R6/5k2/8/1Pr4p/5K2/8/5P2/8 w - h6,b5b6
6k1/2n2p1p/6p1/1p6/PR3P2/3r1B1P/5PK1/8 b - -,b5a4
r4r2/2n1Np1k/3p1P2/p1pPqbQ1/1pP1P1P1/1P6/P5B1/4R1K1 b - -,e5d4
2rr2k1/q2b1ppp/p2p2n1/PpbPp3/4P1P1/1P3Q1N/R2B1PP1/4RB1K b - -,c8c7
r4bk1/p1R4p/1n2p1p1/3bP1N1/1P1R4/7P/P4PP1/6K1 b - -,f8g7
2r2rk1/4b1pp/bq2p1pP/p7/1p1Np3/5P2/PPPQN3/1K4RR w - -,h6g7
3r2k1/p4p2/1p2p2p/2b3pP/2P1P1P1/P7/KP6/2QrNR1R b - -,d1c1
6b1/1pk5/p7/4p1pp/5p2/1P3PP1/P1PrNK1P/2R5 w - g6,g3f4
r1bq1k2/np2npp1/p1pp1N1b/4p2Q/P3N3/1P1PP3/1BP2P2/R3K2B b Q -,e7d5
8/5kp1/1ppq1n1p/3p4/8/P1N2PP1/1PP1Q2P/5K2 w - -,e2d3
6k1/8/p2p2p1/3r1p2/2p1b3/1PP4R/P4KPP/2B5 b - -,d5d1
1k1rr1n1/1pp1bpp1/p1n1q2p/4p3/1P6/P1NPBB1P/2P1QPP1/R3R1K1 b - b3,f7f5
6k1/5R2/5qpp/4p3/1bQ5/6PP/5P2/5RK1 b - -,f6f7
r4rk1/2q1bppp/4p1P1/p6P/1pN5/1PB1QP2/P1P5/1K1R3R b - -,b4c3
r1bqkbnr/1p3ppp/p2p4/4p3/2BpP3/3P4/PPP1NPPP/R1BQK2R b KQkq -,f8e7
1r3nk1/p1ppb1pp/b1p5/4P3/2PB4/PP4P1/3N2BP/R5K1 b - -,c6c5
3r1k2/1p2rp2/2b3pp/1pPp1p2/P2R4/4P3/1R3PPP/3B2K1 w - -,a4b5
1r5r/3R3p/4pkp1/8/P1P1b3/1p4K1/1N6/3R4 w - -,d1d4
r2q1rk1/4bppp/pn1pbn2/1p2p3/4P3/PNN1BP2/1PPQB1PP/R2R2K1 b - -,d6d5
2kq4/pp3pp1/1npPp2p/B1P4P/5P2/3Q2P1/PP6/1K6 w - -,d3d4
2r1kbnr/1pqb1pp1/p2p3p/4p3/2P1P3/N2Q1N2/PP3PPP/R1B1R1K1 w k -,c1d2
r1b1k2r/pp1n1pp1/7p/q1pp2N1/2PP4/4P3/P3BPPP/R2Q1RK1 w kq -,g5f3
6k1/8/7P/p4KP1/P7/5B2/8/8 w - -,f5f6
r1r3k1/p1nqppbp/1n1p2p1/2pP4/P1N1P3/1P3N2/2QB1PPP/1R3RK1 b - -,c7a6
r1b1r1k1/1pqn1pbp/p2p1np1/3Pp3/2P5/2N2NB1/PPQ1BPPP/R2R2K1 b - -,f6h5
8/Br3k2/2R5/6p1/4ppP1/7P/3n1P2/6K1 w - -,a7b6
r5k1/pp2rppb/1qp2b1p/5P2/3PP1P1/PP6/1B4B1/R2Q1RK1 w - -,g1h1
2r5/3b1p2/r2p1kpp/1NpPp3/P1P3P1/6KP/1R1b1P2/1R1B4 b - -,d2f4
8/6k1/8/1B4p1/3P2p1/pKP1n3/8/8 b - -,g4g3
r1b2rk1/ppq2ppp/2n1p3/2p3Q1/2P5/2P2NP1/P3PPBP/2R2RK1 w - -,g5c5
6rr/1p1k1ppp/4p3/4P3/p1p5/PnP1B1P1/5P1P/1RR3K1 w - -,c1d1
r1r3k1/pp2qpp1/4p2p/3p1n2/1N1P4/2N1P3/PP2QPPP/2RR2K1 b - -,e7b4
7r/1p4b1/pBnkpr2/3p2p1/2P3B1/6PP/PP6/2KR3R b - -,c6e5
r5kr/pppq2pp/2nb1p2/8/4N3/3P4/PPP2PPP/R1BQ1RK1 b - -,d6e5
1r3r2/1p3bk1/p1np1p1p/q1p1pPp1/2P1P1PP/2NP4/PP1Q1KBR/3R4 b - -,b7b5
k2r2r1/pp3p2/8/4p3/2qBPnn1/2P2Q1p/P1PR3P/6RK w - -,g1g4
r2q1rk1/pp1bppbp/2pp2p1/2nPn3/1PP2B2/2N1P2P/P1QNBPP1/R3K2R b KQ b3,c5a6
r1bq1rk1/p3ppbp/1pnp1np1/2p5/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
4q3/p1P5/3Qp1k1/3p4/3P4/P1K5/1P3P2/8 w - -,c3d2
8/8/2P4p/bP4p1/4k3/6P1/4BPKP/8 b - -,a5b6
krq5/1p3rb1/pPp1p3/2Pp1n2/PN1P3p/1R2P1pP/4Q1P1/1RB3K1 w - -,e2d3
8/8/2p1R1R1/1p5k/2r1PK2/8/1P6/5r2 w - -,f4e5
r3kb1r/p1q1pp1p/2p2np1/5b2/2B1pP2/2N1B3/PPP2QPP/4RRK1 w kq -,e3d4
3r2k1/1q5p/p4Pp1/3b4/1pp3N1/2b4Q/P1B2RPP/7K w - -,f6f7
6k1/5pp1/2R4p/pp6/P1br1N2/6P1/5K1P/8 b - -,d4d2
rnbq1rk1/ppp1p1b1/3p1npp/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,b2b3
r1b3kr/1pb3pp/p1n1p3/3p3q/P2P4/BQPB1N1P/5PP1/2R1R1K1 b - -,g7g5
r5k1/3n1ppp/pp1p4/2pP4/P6q/4r3/1P1NB1PP/R2Q1K1R w - -,d2f3
1q3r2/1b3pkp/pn1ppNp1/4P3/5P1Q/3P1N2/1Pr3PP/R4R1K b - -,h7h6
2rqrnk1/4bppp/pp6/2p1p3/P7/2NPB1PP/1PP2Pb1/R2QR1K1 w - -,g1g2
b1kr1br1/2qp1n2/4p3/N1p5/P1P1NPP1/2Q2P2/1P6/R3R1K1 w - -,c3d2
r5k1/pp1b4/3p4/3Ppr1p/1q6/4QPP1/P5K1/R2N1R2 w - -,e3h6
1r3rk1/p1p3p1/2pp2bp/4pP2/2P4q/P1QP2NP/1P2PP2/R3K2R b KQ -,g6f5
6k1/pp3p2/6pp/n2PrN2/q1P3Q1/7P/6P1/2R3K1 w - -,f5h6
5bk1/2q2p1p/p2r1np1/2pPNP2/1pP3P1/1P3Q1P/P5B1/2B3K1 b - -,d6d5
r1b1kb1r/p2n1p2/2p1p2p/qp1nP1p1/2pPN3/2N3B1/PP2BPPP/R2QK2R b KQkq -,c8b7
2rq1rk1/pb2bppp/1pn1pn2/4N3/3P4/P1NQ4/BP3PPP/R1B1R1K1 w - -,e5f3
