8/1p1k4/pK6/P7/2P1bB2/1P3p2/5P2/8 b - -,d7c8
r2qr1k1/ppp1ppbp/1nn3p1/8/3PP3/1PN1BB2/P2Q1PPP/3RK2R b K -,e7e5
3rr1k1/1pq2pp1/2pbpn1p/p7/P2P4/1QP2BPP/1P1B1P2/3RR1K1 w - -,g1g2
r4rk1/pppqbppp/2bp1n2/8/4PP2/2NB4/PPP3PP/R1B1QRK1 b - -,d6d5
1r3rk1/1bnnq1bp/1pp3p1/p2p1pP1/P2P1P2/1P1Q2NP/2P3B1/1NBR1RK1 b - -,f8e8
5rk1/2q2rp1/4p2p/ppppb3/3P4/P1P1PRQP/1P4P1/5RK1 w - -,d4e5
8/4k2p/1R1r1p1p/2R1pP2/2p1P2K/6P1/8/8 b - -,d6b6
2br1rk1/1pb2pp1/p1nq2np/3p4/1P1P4/3NPNP1/P2B2BP/3QRRK1 w - -,a2a4
8/4k2p/6p1/1B1p2P1/3Kb2P/4P3/8/8 b - -,e7d6
rn1qkb1r/pp2pppp/5n2/2pb4/8/3P1NP1/PP2PPBP/RNBQK2R b KQkq -,e7e6
r1b4r/pp1pkn2/4p3/4bp2/3Np2P/2N5/PPP2P2/1K1R1B1R w - -,f1e2
r4rk1/pp3ppp/3qpn2/2pp4/3P2b1/1QP1P3/PP1N1PPP/R3KB1R w KQ c6,b3a3
3r2k1/pp3p1p/2p3p1/8/2b2q2/1P5P/P1Qr2B1/2KR4 w - -,d1d2
r4rk1/1n4bp/1pppbpp1/4pP2/2P1P3/1PN3P1/P3N1BP/3R1RK1 b - -,e6f7
8/p1q2k2/1p3pp1/1P5p/1B6/P5PP/4Q1K1/8 b - -,c7d7
1k1r1q2/1pn5/p4Q1p/3pP1r1/1PpP1N2/2P3PB/3B3K/5R2 b - -,f8g8
r2r2k1/pp2pp1p/1n1q2p1/3P1b2/3Q4/1PN2N2/1P3PPP/R3R1K1 w - -,d4h4
r2k3r/1pp1np2/3p2pp/pN1Pb3/2P2n1P/4BP2/PPK2P2/4RB1R b - -,e7f5
r1br2k1/1p3pp1/1np2q1p/b2pN3/P2P4/2N3P1/P1Q1PPBP/1RR3K1 w - -,b1b3
2r1k2r/4bppp/pp1ppn2/8/2PNqP2/1P2P3/PB2Q1PP/3RR1K1 w k -,d4f3
r4rk1/pp2qp1p/1np3p1/3p3n/3P3P/2NBPP2/PPQ2P2/1KR4R b - h3,a8c8
5rk1/6pp/2p2q2/p2bN3/3P4/P5P1/2Q4P/2R3K1 b - -,c6c5
1r1qr1k1/p3ppb1/6p1/PbpPp1Pp/p1N1P2P/2PBNP2/1P1Q4/5RK1 w - -,f1d1
r1r5/1q2bkpp/pBb1pp2/1p2p3/4P3/5P2/PPP2QPP/2NRR1K1 w - -,c1b3
QK3Bk1/6P1/7p/7P/8/8/6b1/8 b - -,g2a8
r1r3k1/1p1qppbp/6p1/p1pP4/2P5/1P1B1P2/P2Q2PP/1R2R1K1 b - -,d7d6
r4rk1/2qbbp1p/p2p2p1/nppPp3/4Pn2/1PP2N1P/P1BN1PPK/R1B1QR2 b - -,c5c4
2r2rk1/p2q2pp/1p6/3pBp2/3PnQ2/2PR3P/P4PP1/4R1K1 w - -,f4c1
r5k1/p2R2pp/Qp2qr2/2p5/8/6P1/1P3PP1/3R2K1 b - -,a8e8
4br2/1q2ppk1/p4rpp/2P5/1P1NBn2/7P/R1Q2PP1/1R4K1 b - -,b7c8
2R5/8/8/8/4p2P/2p1k3/r5K1/8 w - -,g2g3
r2q1rk1/pp1b2p1/2n1pn1p/3P4/3P3B/P2B4/2Q1NPPP/R4K1R b - -,e6d5
R7/5rkp/3p2p1/3P1pb1/B1P1p3/3n4/1r3PPP/R4NK1 w - -,a4b5
8/2q1b1kp/pn3r2/3N1p2/1p6/5QP1/PPP2PKP/R4R2 b - -,b6d5
r2q1rk1/p4pbp/2npb1p1/1pp1p3/1P2Pn2/P1PPNN1P/2B2PPK/R1BQR3 b - -,a7a5
6k1/4qpn1/1pp3p1/p1b1p2p/2N1P2N/2P2QP1/PP3P1P/3r1K2 w - -,f3d1
r3kb1r/1bq2ppp/p1n1p2n/3pP3/1p2NP2/P4N1P/1PP3PB/R2QKB1R w KQkq -,e4d2
2r4k/6p1/p4bq1/Pb3p2/1RP1pB1p/1Q1r2PP/1P3PB1/5RK1 w - -,b3a2
r1bq1rk1/b1p2pp1/p1np1n1p/Pp2p3/3PP3/1BP1BN1P/1P1N1PP1/R2Q1RK1 w - -,f1e1
2r2rk1/1pqnbppp/p2pbn2/4p3/P3P3/1NN3PP/1PP2PB1/R1BQR1K1 w - -,a4a5
rnbqk1nr/pp2ppbp/2pp2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3:a2a4:f1c4:c1e3:f1e2:h2h3
5k2/p4p2/1p4p1/7p/5P2/P3K1P1/1P2Q2P/7q b - -,h1c1
8/4k2p/6n1/p2p2P1/B5bP/2P3B1/2PK4/8 w - -,d2d3
6R1/4r3/8/4k3/4P3/5K2/8/8 b - -,e5e6
1r6/3b2kp/pr1p1pp1/1ppP4/2PbP3/1P1BNR1P/P3K1P1/5R2 w - -,g2g4
r1bqk2r/pp3pp1/2n1p2p/3pP3/1b1P4/3B1NP1/PP3PP1/R1BQ1K1R w kq -,c1e3
5nk1/1r4n1/2pN2p1/1PP1r3/8/4P2P/5PB1/R5K1 w - -,d6b7
r4rk1/pp1np1bp/q1p2pp1/3pPb2/3P1P2/1PN1B2P/P1PQN1P1/R4RK1 b - -,f5e6
2r2rk1/pb4p1/1p2pn1p/1B1n1p2/3P4/P4P2/1P1N1BPP/R1R3K1 b - -,c8c1
8/p2nk3/1pp1pp1p/6pP/1PP2PP1/4K3/P3B3/8 w - -,f4g5
4r1k1/Q4pp1/2p1qb1p/2pp4/3P4/3NP1P1/P2r1P1P/2R1R1K1 w - -,d3c5
6k1/1p1npp1p/3p2p1/3P4/2P5/1PR1P1PP/8/1r3BK1 w - -,g1f2
rn1qk2r/1b2ppbp/p2p1np1/1p6/3NP3/1BN1BP2/PPPQ2PP/R3K2R b KQkq -,b8d7:h7h5
r1bq1nk1/ppp1r1bp/2n5/4p1p1/2P1Pp2/BP3NPB/P4P1P/R2Q1RK1 w - -,d1d8
8/R3bk2/2n2p2/5R2/4P3/4rPK1/8/8 w - -,a7c7
6rk/1bp4r/pp1pp1n1/7P/P2PPp1q/1PP2P2/2QRR1B1/2N3K1 b - -,h7h5
rnbq1rk1/pp2bppp/4pn2/3p4/2PN4/6P1/PP2PPBP/RNBQ1RK1 w - -,c4d5:b1c3:b1d2
r3r1k1/1pp2pp1/3p2b1/p1PP2qp/Q4b2/2B4P/PP3PP1/R3RNK1 b - -,e8e1
1r1q3r/5pk1/4b1p1/p2pP1Rp/1pp2Q1P/P1P1R3/1PB2PP1/6K1 w - -,e3g3
2b5/4k3/2Pp4/3P4/3BP3/r5pr/1R1N1p2/6K1 w - -,d4f2
8/6k1/8/1P3p2/4r3/2P3p1/3K4/R7 w - -,b5b6
8/1b2Np2/4rP1k/6pp/2p5/7P/2P3PK/1RB5 b - -,b7e4
r3b1r1/1p2q2n/2p1pkp1/p1PpNp1p/1P1P1P1P/P2B1PP1/1Q4K1/R3R3 b - -,a5a4
r1bqk1nr/1p2bp1p/p2pp1p1/8/P1B1P3/1N6/1PP1QPPP/R1B1K2R b KQkq -,d8c7
4rbk1/B2R2pp/8/8/8/6PP/5PK1/8 w - -,a7e3
3q1rk1/1r2bppp/1pbp4/p1n1pP2/P1P1P2P/1PN2QPB/1R3B2/4R1K1 w - -,e1d1
r3rbk1/5qp1/pp6/3pp1R1/4P2Q/7B/PP1N3P/2R4K b - -,f8e7
8/8/8/6R1/p1P1k3/r7/5PK1/8 b - -,a3c3
rn1qkbnr/pb3ppp/1p2p3/1PppP3/P7/5N2/2PP1PPP/RNBQKB1R b KQkq -,b8d7
r4k2/1p1P2p1/4pp1p/3pN3/3P3P/5R2/5PP1/1b4K1 w - -,f3b3
r1b1k2r/pppn1qp1/2nbp2p/3p4/3P4/1NP2NB1/PP3PPP/R2QKB1R b KQkq -,e8g8
r1n2rk1/1p2bppp/3pbn2/q2Np3/4P3/pP1BBP2/P1PQ2PP/2NR1RK1 b - -,e6d5
r3k1r1/pp3p1p/1np1p3/4Ppq1/2P5/1B3QP1/PP3P1P/1K1R3R b q -,b6d7
2r3k1/5ppp/pb3P2/1b2rqP1/7R/1PB3Q1/1PP4P/1K6 w - -,g3e5
8/2k1n1pp/1P1npp2/2B5/P1bNPP2/7P/6P1/6K1 b - -,c7d7
8/1p1b4/2pb1nkp/P1n1p1p1/2B1P1P1/1PN2K1P/2PB1N2/8 b - -,d7e6
r1bqr1k1/1p2bppp/2pp1n2/p1n5/P2NP3/2N2Q1P/BPP2PP1/R1B1R1K1 b - -,e7f8
8/8/8/4k3/3p4/3K3r/8/2R5 w - -,d3d2
3q1rk1/3nbpp1/b1n1p2p/3pP1B1/p1pP3P/PrP2NP1/4QPB1/R1R2NK1 w - -,g5f4
r3kb1r/p2p1ppp/np2p3/3nP3/3P4/P4N2/1P3PPP/RNB2RK1 w kq -,c1d2
6k1/5pp1/p1n1bn1p/Pp1p4/3P2P1/1B5P/1P1BNP2/6K1 w - -,f2f3
r2q1rk1/4bppb/1n2p2p/pp6/2pPp3/2P4P/PPBN1PPB/R1Q1R1K1 w - -,c2e4
2k1rr2/ppqn1pp1/2p1p2p/P2pP2P/3P2P1/1PN2PK1/2P5/R1Q4R w - -,c1e3
r5k1/1bp1qpp1/p4n1p/P3p3/1pBrP3/5P1P/1PP1Q1P1/R1B1R1K1 b - -,e7c5
8/8/7R/4k3/8/5p2/6rp/5K2 w - -,h6h5
r1bq1rk1/pp3pb1/2p3pp/2nn4/3N4/2P3P1/PP1N1PBP/R1BQR1K1 w - -,d2b3
8/5p2/6k1/8/7K/R7/8/6r1 w - -,a3f3
2r3k1/1R4p1/4p2p/3pPp1P/2qNbP1K/2P3P1/8/Q7 b - -,g8h8
3r3k/6b1/p2rR2p/3p1P2/8/P7/1P3P2/1B1R2K1 b - -,h6h5
8/r2nk3/2p2pp1/P1P5/3PPP2/3B4/2K4p/7R b - -,a7a5
8/5p2/3k3P/1p1P4/pp1b2P1/8/2R5/7K w - -,h6h7
3r2k1/5pp1/1q2p2p/1pQ5/3P4/1b3PN1/6PP/R5K1 b - -,b6d6
rn1q1rk1/pp1bppbp/6p1/2p5/3PP3/Q3BN2/PP3PPP/3RKB1R b K -,c5d4
8/5k2/r7/8/8/4R3/4N3/4K3 w - -,e1f2
r4r1k/p1pp1pb1/1p6/6qp/4QNp1/1P2P1PP/P2P1P2/2R1K2R b K -,f7f5
rnbqkbr1/ppp1pp1p/5p2/8/2pP4/4P3/PP3PPP/RN1QKBNR w KQq -,b1c3
8/p4k1p/6p1/r2p4/P3R2P/6P1/5P2/6K1 w - d6,e4e5
r1b2rk1/pp2qpbp/n1p3p1/4p3/1PP1P1n1/2N2N2/P3BPPP/1RBQ1RK1 w - -,c1a3
r1bq1rk1/ppp2pbp/3p1np1/5p2/1PPP4/2N1P1P1/P3NPBP/R2QK2R b KQ b3,c7c6
r2qkb1r/1p1bnppp/p3p3/3pP3/3B1PP1/2N2Q2/PPP4P/2KR1B1R b kq -,e7c6
2br1bk1/2q2p1p/p2r2p1/2pRpP1n/NpP1P3/1P3QPP/P5B1/2B1R1K1 b - -,c8d7
1qr1r1k1/pb2bpp1/1pp1pn1p/3pN3/2PP1P2/1P4P1/PBQ1P1BP/3R1RK1 w - -,f4f5
2R1nk2/8/5P1p/2P5/p1r4P/5B2/5PK1/8 b - -,c4h4
r5k1/b1p2p2/p1p1b2p/1p2P3/4N2B/P1P5/5PPP/3R2K1 w - b6,h4e7
5r1k/p5pp/4R3/4br2/2R5/1NPp1P2/P4K1P/8 w - -,b3d2
3R2k1/1pb2pp1/2b2nnp/5N2/4pP2/1B2B2P/PPP1NKP1/8 b - -,c7d8
r3r1k1/pbpnqppp/1p1p1n2/3P2B1/2P5/2PQPN1P/P4PP1/R3R1K1 w - -,f3d2
rnb1kb1r/ppp2ppp/5n2/3qp3/8/3P4/PP1NPPPP/R1BQKBNR w KQkq -,g1f3
r7/P7/8/6pk/R7/5K2/8/8 b - -,g5g4
1r3r2/1p4kp/p2p2n1/P1pPnR2/4B3/1QN1q2P/1P4PK/5R2 b - -,f8f5
rR6/2pb2q1/3b3k/2pPp1np/2P1Pp1B/5P2/r3BN1P/1R1Q3K b - -,d6e7
r4nk1/1p4pp/5p2/2p1p3/1nP1P1K1/1P1P2P1/1B3P2/2N1R3 b - -,f8e6
4k2r/pp3p2/3b2p1/1q1p1b2/1P1PpN2/P3P1P1/2Q2PB1/5RK1 w k -,f1c1
2r5/2q3k1/3b1Qpp/p7/8/7P/6P1/5R1K b - -,g7h7
r2r2k1/1pqbbppp/p1pp1nn1/3Pp3/1PP1P3/2NNBP2/P2QB1PP/2R2RK1 b - b3,d7e8
r2r2k1/1p3ppp/p7/4N3/4bP2/P6P/1P4P1/3RR1K1 b - -,e4d5
1r1n3k/3q2b1/3p1npp/1pp4r/5P2/1QPP3P/1P3N1K/RNB1R3 w - -,e1g1
3q1n2/p4bkp/6p1/1B2Qp2/P2p1p1P/2P2P2/6P1/5NK1 b - -,d8f6
1r3r2/3q2bk/3pb1pp/1p2pp2/1P2P3/P5P1/3NQPBP/2R2RK1 w - -,e2d3
8/5kb1/1R3p2/5p1p/2KB1P1P/6P1/8/4r3 w - -,b6b5
4r1k1/p4r1p/B1p1Np2/2Pp2p1/4b1P1/4P2P/4KP1B/R7 w - -,e6d4
r2qk2r/1b1n1ppp/p2b1n2/3p4/Np1N4/1B2B3/PP3PPP/R2Q1RK1 b kq -,e8g8
2r1b1k1/1q4pp/1np1p3/3pPp2/1P1B1P2/4P1P1/2Q1B2P/R5K1 b - -,c8a8
r2q1rk1/pb3ppp/1p2pb2/1Bp5/Q2PpP2/2P1P2N/PP4PP/R4RK1 w - -,b5a6
r4r1k/pbp1n1pp/3qBn2/3P4/8/P1N1B3/1P3PPP/R2Q1K1R w - -,f2f3
1r5k/R2pq2p/2b2p2/4p3/4P3/6PP/1P1Q1PBK/8 w - -,a7a3
r4n1k/p3R1bP/1pQ2q2/2pP4/8/3b4/P4PBP/4R1K1 b - -,a8d8
rnbq1rk1/pppp1ppp/8/3Pp3/1b6/1P6/PBPP1PPP/R2QKBNR b KQ -,d7d6
2r1rbk1/3n3p/1qbBp1P1/pp1pPpN1/3P4/1B6/PP1Q1PP1/2R2RK1 b - -,h7g6
r3k2r/1p3ppp/p1nqpn2/3p4/3P4/P1NQPN2/1P3PPP/R4RK1 b kq -,e8g8
r3kb1r/1p1b1p1p/pqnppp2/8/4PP2/1NN5/PPPQ2PP/R3KB1R w KQkq -,f1e2:e1c1
r7/6k1/1q2bn1p/p3p1p1/5pP1/P6R/1PP2P1P/R1Q3K1 w - -,c2c4
r3q1k1/2p1b1pp/p1Ppb3/4p3/QPP2r2/5NP1/P2N1P1P/R4RK1 b - -,f4g4
rr4k1/2pbqppp/n2p1n2/3Pp3/p1p1PP2/1P1N2P1/P1QN2BP/R4RK1 w - -,b3c4
r1bqk2r/1ppn1ppp/3p1n2/p3p3/1bPP4/2N2NP1/PP1BPPBP/R2QK2R w KQkq -,e1g1
4rr1k/1ppb2p1/2np3p/p1bB1pN1/2P2P1q/P3PNR1/1PQ2P1P/R6K b - -,h4h5
r2qk2r/1pp1bn1p/2n1bpp1/p1N1p3/Q1Pp2PN/P2P3P/1P2PPB1/R1B1K2R b KQkq -,e7c5
n1q1kbr1/3b1pp1/4p2B/3pP2N/1p1P4/nPrB1N2/R2Q1PPP/5RK1 w - -,d3h7
r5k1/3n1p1p/1p2p1p1/pN1p4/1b1P4/1R2P1B1/PPr2PPP/1R3K2 b - -,a8c8
5nk1/5pp1/2pq3p/1p1p2PP/3P1P2/pP6/Pr2r3/KBQ2R1R b - -,d6b4
8/1p2b2p/p1k1p1p1/P2pPpPP/1P2nP2/1K2P3/4B3/4B3 w - -,h5h6
5r2/p2nqpk1/1pRp2p1/1n1Pp1Np/4P2P/1P3PP1/P7/2R1Q1K1 w - -,e1e3
2b2rk1/r4pbp/p1p1pBp1/q1ppP3/N1Pn4/1P1P1N2/P4PPP/2RQR1K1 b - -,a7c7
2q3r1/pk1Q4/1p4B1/4P2p/2pR4/2P5/P1P2PbP/6K1 b - -,b7b8
8/8/4pk2/3p1pp1/1r1b4/3B1PP1/2R1K3/8 b - -,b4b7
r3kbnr/pppq1ppp/2n1p3/7b/3P4/2N1BN1P/PPP1BPP1/R2QK2R b KQkq -,e8c8
8/5k2/R6p/6B1/p1r3P1/4K3/7P/8 b - -,h6g5
8/5p1p/2R3pk/4p3/2B1P1P1/pp1r1K2/Pb5P/8 w - -,c4d3
1q3rk1/6b1/5pp1/4p3/3pP1P1/Q6P/1n4B1/4BR1K b - -,f8c8
2b1r1k1/r2n3p/1bp5/3p4/3N4/P3BN2/1P3PP1/2KR1B2 b - -,d7f6
r1b1rqk1/bp3pp1/p3n2p/8/4B3/1P3N1P/PBQ2PP1/2R1R1K1 w - -,f3e5
2r2rk1/p3ppbp/3p1n2/3P3b/1N6/5N1P/P1B2PP1/3RR1K1 w - -,c2b3
1r2k2r/1b2qppp/p3p3/1pnn4/8/5NP1/PPQ1PPBP/RNR3K1 b k -,b8c8
8/2r1k2p/p1nRp3/4Pp2/1P3Pp1/4K1P1/1P2N2P/8 b - -,c6b4
rn1q1r2/ppp1ppkp/6p1/3p1b2/3Pn1P1/2N1QN2/PPP1PP1P/R3KB1R b KQ g3,f5g4
3q3k/6p1/4Qb1p/3B3P/4PP2/6P1/6K1/8 b - -,f6c3
r4rk1/ppp2p1p/2n1b1p1/1B2b3/2n1P3/2N1BP2/PP1RN1PP/4K2R w K -,b5c4
r3k2r/pp1bnppp/4p3/4b3/2P2P2/2NBB3/PPK2P1P/3R3R b kq -,e5b8
rnbqk1nr/pp2ppbp/2p3p1/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq c3,d5c4
2R5/1r4pk/r1p2p2/p3p2P/P1R4P/2P5/4PPK1/8 b - -,b7b2
r4rk1/1pp1qpp1/1pnpb1np/1N6/2P1P3/4B3/P1Q1BPPP/R4RK1 b - -,f7f5
kr6/r4p2/1q2b1p1/1PNpPpNp/2nP4/1Q6/2R2PPP/2R3K1 b - -,c4a3
8/6k1/7p/4R3/5PK1/1r4P1/8/8 b - -,g7g6
r3k2r/pp3ppp/3b1n2/2pP4/3pN3/5b2/PPP2PPP/R1B1K2R w KQkq -,e4d6
r1b1kbnr/ppqp1p1p/2n1p1p1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R b KQkq -,g8f6
r1q1kr2/1p2bpp1/p1p1bn1p/4N3/2BP4/2P3B1/PP2Q1PP/4RRK1 b q -,b7b5
rn3rk1/ppq2ppp/2pbp1b1/8/3PN3/5B1P/PPPB1PP1/R2QR1K1 b - -,d6f4
rnbqkbnr/ppp3pp/4p3/3p1p2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq d6,c1f4
8/R4k1p/2p1r1p1/1p1pB3/1P1P3n/8/5PP1/6K1 b - -,e6e7
8/5p1p/4pk2/1R4p1/8/3N2P1/4KP1P/r7 b - -,a1h1
4B3/6p1/1p3p2/p6P/2p2P2/PkPb4/1P6/2K5 w - -,e8f7:e8b5
r3r1k1/ppq2pbp/2p1nnp1/4p3/2P1P3/1PN2NPP/PB1Q1PK1/R4R2 w - -,d2e3
6k1/p3R1b1/8/8/3P2N1/1P1K2P1/6P1/2r5 w - -,g4e3
8/4r1p1/7p/ppk2P2/2p3PP/2P2K2/PP1R4/8 b - -,b5b4
2r3k1/1p3p1p/p1b1p1p1/2P1P3/1P1Q1N2/6qP/1P4P1/3R2K1 b - -,h7h5
4Q3/pp4kp/2pn4/3p1p1p/3P1P2/2P4q/PPB5/3RR1K1 b - -,h3g3
2r3k1/pb2qpp1/1p2pb1p/4N3/3P4/P5P1/1P2QPBP/4R1K1 b - -,b7g2
r1r3k1/Pp1nb2p/2p3p1/N1Pp1p2/3P1P2/4PB2/1P1K3P/R3R3 w - -,b2b4
4r3/1b5k/pp1Rpq2/5p2/1PP4p/4QPr1/P5P1/4RBK1 b - -,b7f3
r3k2r/1bqnbppp/p2ppn2/1p4B1/3NPP2/2NB2Q1/PPP3PP/2KRR3 b kq -,b5b4
8/5kp1/5b1p/1p2r2P/1B6/pPPK2R1/P7/8 w - -,g3h3
1k1r1b2/p4p1p/2p2pp1/2N2b2/1PPP1n2/R1K2N1P/5PP1/5B2 b - -,f5c8
2r4R/p2bppk1/1q4p1/1p1p4/3PP3/1RPB4/P2Q1PP1/4K3 b - -,c8h8
r1bk1bnr/pp1n2pp/2p2p2/4p3/8/2N1B1P1/PPP1PP1P/2KR1BNR b - -,d8c7
1R6/8/8/8/p2K4/kr6/8/8 w - -,b8a8
8/1pr2bk1/3q2p1/pP5p/3p3P/P2Q2P1/5RBK/8 w - -,f2f4
2b5/5R1p/p1rk2p1/P3p3/4P3/1p2KP2/6PP/3B4 w - -,e3d2
2r5/bpp3R1/p1p3p1/2P1P3/5P1p/1N6/PP2KP1k/8 w - -,g7g6
5k2/1r3pbp/1p4p1/p2N4/P7/1P1nP1PB/R4P1P/6K1 w - -,a2c2
8/p7/1p6/4kp1p/1Pbr1p2/P3K1P1/5N2/1R6 w - -,g3f4
r1b1r1k1/ppq2pbp/2p2np1/4n3/2PN1B2/P1N4P/1P1QBPP1/3RR1K1 b - -,b7b6
2b2rk1/R2n1pb1/2Bp1q1p/2pP2p1/1r2P3/2N2N2/1PQ2PPP/4K2R b K -,g5g4
5r2/1p4k1/2pP2p1/2P1p2p/1PQ1B3/4P3/P3R1PK/5q2 b - -,f8f2
2n5/p7/K1P4p/2B5/2P2k1p/5P2/6PP/8 b - -,h4h3
r1b1k1nr/pppp1ppp/2n2q2/2b2N2/4P3/2P5/PP3PPP/RNBQKB1R w KQkq -,c1e3
2b1rrk1/p1p2qbp/1p4p1/5p2/3R3B/P1Q2P2/1PP1NKPP/7R w - -,c3d3
1rr1k3/R4ppp/4p1P1/1pn4P/p4P2/2P2B2/PPK5/3R4 b - -,h7g6
7k/4R3/8/3r4/2R4K/4Pr1P/8/8 b - -,d5d8
8/8/5k2/6p1/2N5/P4PK1/4n3/8 w - -,g3g4
r7/5pkp/3p2p1/1p1P4/8/1BP4P/4KPP1/4B3 w - -,e1d2
rn1qkb1r/1p2pppp/p1p2nb1/3pN3/2PP4/2NBP3/PP3PPP/R1BQK2R b KQkq -,g6d3:e7e6
8/8/8/P5R1/1p1k1pP1/5K2/2r2P2/8 w - -,g5g8
r2qkb1r/p2b1ppp/1pn2n2/1BPp4/8/2N1PN2/PP3PPP/R1BQK2R b KQkq -,b6c5
5rk1/2b1q1pp/p7/2pb1p1Q/4p3/1PB1P3/PN3PPP/3R2K1 b - -,d5c6
r6r/1p1k1ppp/4pn2/B2p4/PbpP4/4P3/1P1NBPPP/R4RK1 b - -,a8a5
R4B2/5pkp/5b2/3P4/7P/6P1/6K1/3r4 b - -,g7g6
