8/8/pp4pk/8/4nN1P/1P6/P2K1P2/3B1b2 w - -,d2e1
6k1/5p1p/3rb1p1/1B6/4R3/1p5P/1P3PP1/6K1 b - -,d6d5
rnbqkb1r/1pp2ppp/p3pn2/3p4/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq -,b1d2
rn2k1nr/ppq3pp/2p1ppb1/4N3/3P2PP/P1P5/2P1BP2/R1BQK2R w KQkq -,e5g6
8/R5p1/5pk1/2r4p/7P/6P1/5PK1/8 w - -,a7b7
rnbqk2r/pp3ppp/4pn2/8/2pP4/P1N5/1P3PPP/R1BQKB1R w KQkq -,f1c4
1r3r2/p3Nkpp/3R1p2/4n3/8/2Nb4/PP3PPP/4R1K1 w - -,e7c6
r1b1r1k1/p1qn1pbp/1pp1p1p1/8/2PP4/1PB2NP1/PQ3PBP/3RR1K1 w - -,h2h4
2kr3r/pbpp2b1/1pn1pq1p/6p1/3P4/2PB1NP1/PP1NQPP1/2KR3R b - -,c8b8
3r2k1/1QP2p1p/6p1/8/p7/1q4P1/5P1P/4RK2 b - -,b3c4
r4r2/3bppkp/nq1p2p1/p2P4/1p6/1P3NP1/P1RQPPBP/5RK1 w - -,c2c4
r2r2k1/1p3pp1/1n2qn1p/p1b1p3/P3P2B/3BN2P/1P2QPP1/R2R2K1 w - -,e3f5
2k3b1/6Rp/2N2pp1/3p1P2/4r1P1/7P/2K5/8 w - -,f5g6
4rk2/p4ppp/1p4b1/8/1P3R2/P5P1/7P/2R3K1 w - -,c1c7
8/4n3/6p1/p3K1P1/3N4/1Pk4p/8/8 w - -,d4f3
2r5/7p/1p1BP3/5bbk/1K6/P4R1P/8/8 w - -,f3f5
2b5/rp3k2/2p2p2/r1q1p1p1/P1PnP2p/R1N2P1P/1Q4P1/1R3B1K w - -,a3a1
rnbqk2r/ppp1ppbp/3p1np1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,c7c6:e8g8:b8a6:h7h6:b8d7
r3k3/4P1r1/6p1/4Rp1p/pK3P1P/2P5/2P2P2/4R3 b - -,a4a3
4k3/6K1/7p/7P/8/8/8/8 b - -,e8e7
1r3r2/pBp1ppbk/4qnpp/8/3P4/P1NbP1PP/1P1B1P1K/R1Q1R3 w - -,b7g2
8/7p/6k1/p2pr1r1/P7/2P5/5RR1/1Bb2K2 b - -,g6g7
1nbqk2r/1pp1bpp1/6r1/p2Pp2p/2P1P1n1/P1N4N/1P2B1PP/R1BQ1R1K w k -,b2b4
r2qr1k1/3b1pbn/pp1p1np1/2pP4/PP2P2p/2N1BP2/3QB1PP/1R3RKN b - -,f6h5
2bq1rk1/pr2p1bp/2pp1np1/2p5/8/2NP2NP/PPP1QPP1/1RB1R1K1 w - -,c1d2
8/7p/p7/1p4P1/1P2k1KP/P6R/8/r7 b - -,a1g1
6k1/1R3p1p/6p1/1b6/6P1/5B2/6KP/1r6 b - -,b1b2
r1bqk2r/pp1pnpbp/6p1/4p3/1n2P3/5NP1/P2PQPBP/RNB2RK1 w kq -,b1c3
r1bq1rk1/pp4bp/2np2p1/2p1p2n/2P1PP2/2NB1NP1/PP5P/R1BQ1RK1 w - -,f4f5
r2q1k1r/3nnpb1/p1b3pp/Ppp1p3/4P3/2NB1NBP/1PPQ1PP1/R2R2K1 w - -,d3f1
8/p1k2n2/1pP1p3/1P2Pp2/2K2P2/2N3P1/8/8 b - -,f7d8
8/8/8/2R5/5kp1/1P1K4/P4PP1/6r1 w - -,g2g3
r2qk2r/ppp3bp/2npbp2/3Np3/4Pp1N/3P4/PPP1BPPP/R2QK2R w KQkq -,e2h5
r2qr1k1/1p1n1pp1/3bb2p/2p1p3/pPPpP3/P2N2PP/1B2PPB1/R2Q1RK1 w - -,a1c1
3rr1k1/p3q1pb/2p1p2p/2pp1P2/1nP3P1/1P1P2BB/P4Q1P/3R1R1K b - -,e6f5
bqr1rbk1/5pp1/pp1ppn1p/2n5/2PNP3/1PN1RPPP/PB1R2BK/3Q4 b - -,b8a7
r2r2k1/3n2p1/p1qppn1p/8/p1pBPP2/8/B1P3PP/1R1QR1K1 w - -,b1b4
r4rk1/6bp/5np1/1Nppqb2/Pn6/N4P2/1P1BB1PP/R2Q1RK1 w - -,d2c3
r1bq1rk1/ppb2ppp/2p1pn2/4N3/Pn1P4/1P3NP1/4PPBP/RQB2RK1 b - -,f6d5
8/4n1pp/ppnrkp2/4p3/1P2P3/P4NPP/1B2KP2/R7 w - -,a1c1
6k1/3n2p1/r1pq3p/3p4/1P1N4/8/3Q2PP/5R1K b - -,a6a8
r1bq1rk1/1p3pbp/6p1/p2ppP2/P3P3/1P1P4/1P2NQPP/R1B1K2R b KQ -,d5e4
8/5k1p/p4p2/1pP2p2/1P1N1n2/1K6/2P4P/8 w - -,c2c4
r1bqk1nr/pp2ppbp/2np2p1/1Bp5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,c8d7
8/1p3N2/p1r1pnk1/3pR3/P2P2p1/2P2pP1/1P3P2/6K1 w - -,f7d8
r4rk1/pppq2bp/3pb3/4np1P/2P3p1/1PN1P1B1/P3BPP1/2RQK2R w K f6,c3d5
2r5/pp4kp/3q1pp1/3P1b2/1p1Q4/5N1P/P4PP1/4R1K1 b - -,b7b6
nrr4k/2n3q1/2pR4/P1B1p1pp/1P2Pp2/1QN2P2/6PP/5RK1 w - -,f1d1
3rr1k1/1pb2qp1/pNp1bp2/2P5/3BP1n1/P1Q5/5PP1/3RRBK1 w - -,f1c4
2r1rqk1/1b3pBp/p2p2p1/Pp1P3n/1Pp1P3/5RNP/2BQ1PP1/4R1K1 b - -,h5g7
2k5/p2r2pp/8/1p2n3/1P4b1/K1Pp3P/PN1B2P1/5R2 b - -,g4e2
r2qr1k1/pp3p1p/4bbp1/3p2Bn/3P3Q/2N3PP/PP3PB1/R4RK1 w - -,g5f6
Q7/2k2K2/1q4pp/p7/6PP/8/8/8 b - h3,g6g5
5r1r/p2b2k1/1p1p3p/4p3/P1P1B1PR/1P2KP2/8/7R w - -,g4g5
2rr2k1/4qpp1/pp3n1p/2p1p3/3B3Q/P2P1bP1/1P2PPBP/1RR2K2 w - -,d4e3
r2qr1k1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BPP1N2/1P1N1PPP/R1BQR1K1 b - -,c6a5
8/5p1p/1pbk4/8/P1P2P2/3KN2P/P7/8 w - -,a4a5
8/p2b4/2nP1k2/2P1r1p1/5p2/2Q5/P3p1PP/4K3 w - -,g2g3
8/7Q/6p1/4K1k1/4p3/5q2/8/8 b - -,e4e3
r3k2r/pp1q1ppp/2nbpn2/1B1p4/3P4/2P5/PP1N1PPP/R1BQ1RK1 b kq -,a7a6
r2qnrk1/pb1pb1pp/1pn1p3/2p1P3/2P5/2N2NP1/PP3PBP/R1BQR1K1 w - -,c3e4
8/6p1/4k3/1K4pp/8/5P2/3Bn1PP/8 b - -,e6f5
3r2k1/1b3ppp/1pr1pn2/p1q5/1Pp5/P1Q1P2P/1K3NP1/R4B1R b - -,c5f5
r4k2/1p2pp1p/p1n3p1/2n2b2/2P5/N1N3P1/P3PPBP/2R3K1 b - -,c6a5
7R/1p3k1p/p1p3p1/4Kp2/P1Pr2P1/7P/8/8 b - -,d4e4
5k2/pp1n1r2/2p1rPp1/4P2p/2P2B1P/1P2R3/P1K5/3R4 b - -,f8e8
rn2k2r/p1pqbppp/4pn2/1p4B1/2pP1P2/P1N1P3/1PQ2P1P/R3KB1R b KQkq -,b8a6
r4rk1/1pp1ppbp/p1qp1np1/5b2/3P1B2/2P1PN2/PP1N1PPP/R2Q1RK1 w - -,d1e2
rnq1kb1r/pb1p1ppp/1p2p3/1Nn1P3/2P2P2/PN3B2/1P4PP/R1BQ1RK1 w kq -,b3d4
1r4k1/p2p1ppp/b1n2q2/6Q1/2p1r3/P1P2P2/3BB1PP/3R1K1R b - -,f6g5
4qn1k/pb2b2p/1p1NPpp1/2p5/P7/1P1Q2P1/1BB2P1P/5K2 b - -,e8c6
r2q3r/1p2k1pp/p2p1n2/4pb2/2Pn4/2N5/PP2BPPP/RN1Q1RK1 w - -,e2d3
r6k/4qpp1/p2p1b2/P2P1Q2/2p5/5RBP/5PPK/8 w - -,f3f4
rnbqk1nr/pp1pppb1/6p1/2p4p/2B1P2P/P1N5/1PPP1PP1/R1BQK1NR b KQkq -,b8c6
r1bqrbk1/1p3ppp/2n1pn2/p7/2Pp4/PP1P1NP1/1B3PBP/RN1QR1K1 w - -,f3e5
3r2k1/p4ppp/1p2q1n1/3pP1b1/3B4/P6P/1P2NPP1/1Q2R1K1 b - -,g5d2:d8e8
3r4/5pk1/N2np3/6pR/2PP4/6P1/5P1P/6K1 b - -,g7g6
8/2Q2p1k/1K2pBp1/3pP1Pp/Pq3P2/1P6/7P/5b2 w - -,b6a7
r7/5k1p/p4pn1/8/5P2/2R4P/2P5/3R2K1 w - -,f4f5
8/1p4n1/p1n1k2p/3p1p2/P2P3P/1PB1KP1B/8/8 b - -,c6e7
3R4/1p3r2/1Ppn4/N1p1k1p1/4P3/3P4/3b1PK1/7R w - -,a5b3
3qk2r/4bp2/n1p1pp1p/1p6/2pP4/2N1PNP1/1P3PKP/3Q1R2 w k -,d1e2
rnb1kbnr/pp2p1pp/1qp5/3p1pB1/2PP4/4P3/PP1N1PPP/R2QKBNR b KQkq c3,e7e6
2b2rk1/1pp1qp1p/4p1p1/1P1nP3/8/4P3/1B1Q1PPP/R4RK1 w - -,b2a3
r1b2rk1/pp4pp/1np1pn2/5p2/1qpPPQ2/2N2NP1/PP3PBP/R3R1K1 w - -,f4d2
5n2/7k/1p1n1p2/p1pPp2p/P3q3/1P1NP1Q1/1BP4K/8 w - -,g3f2
r2Q2k1/p4pp1/1p5p/4RN2/5Pb1/P5P1/1P1p1K1P/4R3 b - -,a8d8
8/6pp/5p2/P2pr3/1B6/2P2R2/2kn1KPP/8 w - -,f3e3
8/1b3p2/1r3k2/1p3B2/1P2p3/p1R1P3/P4KP1/8 w - -,g2g4
2rr1bk1/1b3pp1/2n1pq1p/p1p4P/6Q1/P2PBNP1/2R1PPB1/4R1K1 b - -,c6d4
R7/8/8/8/1r5p/1k5P/p7/4K3 w - -,e1d2
r4rk1/pbp1ppbp/1pq3p1/8/2nPP3/2PB1N2/P1Q2PPP/2BRK2R b K -,b6b5
r4rk1/4qpp1/p1bb1n2/2pp3p/8/PPNBP1P1/2Q2P1P/R1BR2K1 w - h6,c1b2
r1b3k1/1pq2pp1/2p2np1/p2p4/P2P4/3B2NP/1PP2PP1/R1Q3K1 w - -,c1d2
r1b1qrk1/ppp1n2p/3p1n2/5pp1/2PPp3/B1P1P1P1/P3NPBP/R2Q1RK1 b - -,f6g4
r7/p5k1/2R2np1/4p2p/1rP5/3N1P2/R5PP/6K1 b - -,b4b1
r2qkb1r/pp1npppp/2pp1nb1/8/2PPP3/2N3P1/PP2NPBP/R1BQK2R b KQkq -,e7e5
4k3/r1B2p1p/p2P2pb/Pp2Pb2/5P2/6P1/R3BK1P/8 b - -,f5e4
r5k1/ppp1p1bp/3qb1p1/8/2n2B1Q/2N2P2/PP3P1P/R3R1K1 b - -,d6c6
1k6/2p5/1p2p1r1/5p1p/4bP2/PB2P1P1/1P1r4/K3R1R1 b - -,b8b7
r1b2rk1/pp3ppp/1qn1pn2/1N1P4/8/2N5/PPPQ1PPP/R3KB1R b KQ -,e6d5
rnbq1rk1/ppp3bp/3ppnp1/5p2/1PPP4/5NP1/PB2PPBP/RN1QK2R w KQ -,e1g1
r2qk2r/ppp1bppp/3p4/4n3/2P3b1/2P1BN2/PP1Q1PPP/R3KB1R w KQkq -,f1e2
r4rk1/pp3ppp/2b2q2/1Np5/2P3Q1/3P1pPP/P1P2P2/R3R1K1 b - -,a8d8
3r1rk1/pp2bpp1/2p1p2p/4N1P1/qn1P3P/8/PPPBQP2/1K1R3R w - -,d2b4
2rq4/p4k2/2Qb1n1p/4p1p1/6b1/3PB3/PPP2PPP/R4RK1 w - -,c6b7
5rk1/1pq1b1pp/3pbp2/2n1p1P1/pR2P2P/2P2Q1B/P1PN1P2/K6R w - -,g5g6
rnbqk2r/2p1ppb1/pp1p1np1/7p/P2PPP1P/2N1BN2/1PP3P1/R2QKB1R w KQkq -,f3g5
2r3k1/pN3pp1/6p1/6Pn/Pn1QB2P/1q2P3/4KP2/R7 b - -,b4c2
6k1/1p3pp1/p1p1n2p/P2qP3/1PQ5/3r1N1P/5PP1/4R1K1 w - -,c4g4
8/R7/p1r2kp1/1R5P/5PK1/8/8/8 b - -,a6b5
8/1p6/p1k1p1p1/3p2Pp/PPnP1P2/2BK2P1/8/8 w - -,d3c2
3r3k/1R2R3/1p1p2p1/p2P1P2/b1p4P/8/6P1/7K b - -,g6f5
r2q1r2/1p1nppkp/2bp2p1/p7/2P1P3/2NBR3/PP1Q1PPP/R5K1 b - -,g7g8
3r4/7R/p3k1p1/5p2/P1r1pP2/1p2b1P1/1P2N2P/1R1K4 w - -,d1e1
8/5pk1/B7/P4r2/1B1bp2p/8/7P/5R1K b - -,f5g5
r2q4/1b3Ppk/2p2n2/pp1p3p/5P1N/2P1P2P/PPQ5/2KR3R b - -,h7h8
r1bqr1k1/2p1bppp/1pn2n2/p3p3/P3P3/2P2NP1/1P1N1PBP/R1BQ1RK1 w - -,d1b3
1k4r1/pp3p2/2p2n1b/8/P5nP/2NR1Q2/1P2PPBq/1R3K2 b - -,h2h1
2r5/1p6/p2k4/3pp1pp/PR6/1P3P1P/2P2KP1/8 w - -,b4b6
r1bq1rk1/1p2bppp/p2ppn2/2n5/P2NPP2/2N1BB2/1PP3PP/R2Q1RK1 b - a3,d8c7
8/8/8/p2p4/2pN3R/3q4/1k2N1K1/8 w - -,h4h6
2nq1r2/5r1k/1p1p2p1/pP1Pp1Nn/N3P2p/7P/P4BP1/R2QR1K1 b - -,d8g5
r2q1rk1/3n1pb1/pp1p1np1/2pP2Bp/4PP1P/6N1/PP1QB1P1/R3K2R b KQ -,d8e8
3r1rk1/2q2p1p/6pb/p7/P7/1NP2Q1P/5PP1/1R1R2K1 w - -,b3d4
5rk1/2R2p1p/r5p1/8/p7/5N1P/Pb3PP1/4R1K1 b - -,a4a3
br3Bk1/2q2p1p/4p1p1/4b3/2PN4/2Q2P2/2B5/R4R1K b - -,c7d8
8/2r3p1/4kp2/8/pR1B1PP1/Pb6/1P1K4/8 w - -,f4f5
2q1rnk1/4r3/b6p/pp1P2p1/2P2p1P/3QP3/2BN1PPB/4R1K1 w - -,h4g5
2rr2k1/1p3pp1/p3b2p/1q1p4/2n5/P2QPN2/BPR2PPP/5RK1 b - -,b5b6
2q5/7p/3p1Q1P/1p1P1b2/p7/Pk3PK1/1P2N3/8 b - -,f5d3
r1b2rk1/pp1p1pbp/2n3p1/2qQ1p2/2P5/2N1P1P1/PP2NPBP/R3K2R b KQ -,c6b4
4r2k/p5p1/2qp3p/8/5P2/6P1/3Rr2P/1Q1R2K1 w - -,d2d5
r1bqk2r/6pp/p4b2/1p1pp3/8/1N1Q4/PPPB2PP/R4RK1 w kq -,d2a5
rn2kb1r/ppq2ppp/4pn2/2p1N3/8/2N5/PPPPQPPP/R1B2RK1 b kq -,a7a6
r1b1kb1r/pp3pp1/2n1pq1p/3P4/2B5/2N5/PP3PPP/R2QK1NR b KQkq -,e6d5
8/2r4p/p1B2p2/4b3/8/P4N2/KP3kPP/8 w - -,c6e4
2nr1rk1/1pq3b1/2ppP1pp/p1n1p3/2P1PpBP/BPN5/P4PP1/R2Q1RK1 w - -,a3c5
8/8/8/p1kp4/2P2R2/PK3P2/3R4/2r3r1 b - -,a5a4
1k6/pqbp1p2/1p2p3/5p1p/2Q2P1P/4Pb1K/PPP1N1r1/3R4 w - -,e3e4
7k/p1n2rp1/1p1p1q1p/2pP1b1B/P4P2/2N3QP/1P4RK/8 b - -,f7e7
2k3r1/1pp5/pnn2q1p/3ppP2/1r5P/3P2PN/PP2NQ2/1K2RR2 w - -,a2a3
1r1rb1k1/1P2qppp/2p2n2/4N3/p1B5/P3P3/1Q3PPP/1R3RK1 w - -,c4f7
2r1kb1r/2pq2pp/p3p1n1/1p1P1p1Q/4PP2/1B4B1/PP4PP/2R2RK1 w k -,d5e6
4b3/R4p2/1p3k2/2bB1Pp1/P3K1Pp/7P/8/8 w - -,a7a6
r2qkb1r/pp1n1ppp/2P1p3/3n4/8/6P1/PPQ1PPBP/R1B1K1NR b KQkq -,f8b4
6k1/pp3pb1/r7/3R4/3P4/1P1KN1P1/P4RP1/r7 w - -,d5d7
6R1/7k/8/3B4/p5pN/P7/KP3qPP/8 w - -,g8g4
r1r3k1/3nbppp/pp1pp3/2N5/2P5/1PN1P3/PB3PPP/R2R2K1 b - -,d7c5
4r1n1/3r4/1p4kp/p1pP1pp1/2P2P2/1P1RK2P/1P6/5RN1 w - -,e3d2
r4rk1/1pq1bppp/p2p1n2/4p3/2b1PP2/2N1B2P/PPPQB1P1/R4RK1 w - -,e2c4
5rk1/ppnn1p1p/2p1p1p1/4P3/P1QP4/1P4PP/1q3PB1/3RR1K1 b - -,d7b6
8/2b5/k1n2p1p/1pp1pPpP/3pP1P1/1P1P4/2PB4/1N1K4 b - -,c7a5
5r2/pppq2k1/3bb1p1/3p1n1n/3Pp3/1BP1B2P/PP1NQPP1/2KR1R2 w - -,c1b1
1r2q1k1/2Q3Bp/p6r/3P4/2p5/3n2P1/P5KP/5R2 w - -,g7h6
8/5p2/7R/4pk1P/4r1p1/2P3P1/3K4/8 b - -,e4a4
r1r5/3nkpp1/3b1n1p/pp2pP2/2p5/1P2BN1P/PKP1BPP1/3R3R b - -,a5a4
3brrk1/3Q2p1/4p1q1/p2pP3/1ppP1PP1/5NK1/PP6/3R1R2 b - -,e8e7
r2q1rk1/1pp2nbp/p1np2p1/4Pb2/B2P4/2P1B2P/PP4PN/RN1Q1RK1 b - -,d6e5
1r1qk2r/pb1nbppp/2p1p3/1p2N3/2pPPP2/2P3P1/P5BP/1RBQ1RK1 w k -,e5g4
r5k1/n4pb1/6pp/1p2p3/2p1P1P1/2PN1P2/1PKNR1b1/2B5 w - -,d3b4
8/8/4Kp2/5P2/6p1/7k/8/8 b - -,g4g3
8/1p6/p2p1k2/P1pP4/2P1B1p1/5pK1/2P5/8 w - -,g3g4
1qr3k1/2r1bpp1/pp1p1n1p/4pP2/1PP1P1P1/4BB2/P1RQ3P/2R3K1 w - -,h2h4
1r6/8/2p1k3/P3pp2/8/2P1b3/P1K3P1/4R3 w - -,e1e3
6k1/pbp2pbp/1p1p2p1/8/8/2P1r1P1/2Q1KPqP/1R2R3 w - -,e2e3
r2qkbnr/1p1b1ppp/p1npp3/2p5/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq -,d2d3
rnbqkb1r/p3pp1p/2pp1np1/1p6/2BPP3/2N5/PPP1QPPP/R1B1K1NR w KQkq b6,c4d3
rr4k1/1pb1qbpp/2p5/5p2/1PNPp3/1R2P2P/2Q2PP1/4RBK1 w - -,b3b2
6k1/p4p2/1p2p1pp/8/1B1PnP1P/P4QP1/2q5/6K1 w - -,b4e7
8/bp1b1p1k/p2pp2r/2q1n3/1PN1PN2/3B3P/2P3Q1/5R1K b - b3,c5c8
3q1r1k/r1p3pb/p1pp1n1p/8/3Pp3/2P3NP/PP1NRPP1/R2Q2K1 b - -,d6d5
rq2k2r/pp1bbppp/8/1B1Pn3/1n6/N4N2/5PPP/R1BQK2R w KQkq -,e1g1
1r2r3/2qbbppk/p2pp3/4P2n/1n3P2/2N1BNQ1/1PP3PP/3R1RK1 w - -,g3h3
2r2r1k/p7/2b1Q3/5PP1/1p1Pp3/4q2P/5NRK/8 w - -,e6e5
2k1r3/1p1b3p/r1nRp1p1/p1B1Pp2/5P2/1P3BP1/1P4KP/R7 b - -,h7h6
r2r2k1/pp3ppp/2n2R2/2p5/4P3/2N2NQ1/PqP3PP/R6K w - -,a1f1
6k1/pp1b1pp1/2p2n1p/3p4/3P1n2/2PB1NNP/PP3PP1/6K1 w - -,d3c2
r1bqr1k1/1p1nbppp/p1pp1n2/4p3/2PPP3/1PN2N2/PB2BPPP/R2Q1RK1 w - -,a2a4
4k1n1/pq1bbp1r/1p2p2P/3p1p1Q/P2P1P2/1P6/1B1N3P/2R3RK b - -,g8f6
3r2k1/4Qp2/3q2p1/1p5p/1Pr2P2/2P5/7P/4RR1K w - -,e7d6
4r1k1/3q1p2/pB4p1/Pp6/2p1P3/5Q1P/1b1r2P1/R4RK1 w - -,a1d1
r2q1rk1/pp4pp/2n1b3/1B1pP3/5p2/1PB5/P4PPP/R2QR1K1 w - -,a1c1
8/pb1k1p2/1p4p1/3P2P1/2r1N3/P3K3/5P2/3R4 w - -,d1d3
2r2rk1/ppnqp1bp/2pP2p1/5b1n/2PPN3/1PQ2NP1/PB3PB1/R3R1K1 b - -,e7d6
rn1qkb1r/1p2ppp1/p1p2n1p/3p4/2PP4/2NbPN2/PP3PPP/R1BQK2R w KQkq -,d1d3
2rr2k1/pb2qpb1/1pnnp1p1/1Bp3Pp/P3NP2/2PP1N2/1P2Q2P/R1B2RK1 w - -,f3h4
8/PQ3pk1/1p6/8/7p/1KP5/6p1/5q2 b - -,g2g1q
1kr1r3/pbq3p1/1ppbpp1p/3nN3/3P1P2/3B4/PPPBQ1PP/1K1RR3 w - -,c2c4
8/p3r1pp/5k2/3B4/2P2P2/4n1PP/PR3K2/8 w - -,f2f3
4r1k1/pb3pp1/1p3n1p/4q3/1P6/1Q2N2P/P4PP1/1B1R2K1 b - -,e5g5
1qb1r1k1/4rpp1/6p1/pppP4/1b2BP2/1P2N1P1/R1Q2B1P/3R2K1 w - -,e4d3
r2q1rk1/1b1nbppp/p7/1pp1p3/2n1P3/2P2N1P/PPB2PP1/R1BQRNK1 w - -,d1e2
r2q4/p4kbp/2pBbp2/3p2p1/3P2Pn/1PNN4/P1P2Q1P/2K1R3 w - -,d6g3
6k1/5p2/b1p1BnpQ/p1P4p/Pp5P/1P4K1/2Pr4/3r3R b - -,f6e4
r1b2rk1/pp3ppp/2n1p3/3pP3/2PPn2q/P7/1BQ2PPP/2KR1BNR w - -,g1h3
r1b1k2r/ppqpbppp/2n2n2/2p1p1N1/2B1P3/2PP4/PP3PPP/RNBQ1RK1 b kq -,e8g8:h7h6
2kr4/2pq2pp/ppnr1p2/P1p1p3/2P1P3/2PPR3/2QN1PPP/5RK1 b - -,c6a5
r4rk1/p3q1pp/2ppb3/2p1p3/4N3/1P1P4/P1P1QPPP/4RRK1 b - -,a8e8
6k1/5p2/B5pp/8/6PP/6K1/3R4/6r1 w - -,g3f4
1R2r1k1/5ppp/1Qp1r3/3q4/3P4/4PpP1/5P1P/1R4K1 w - -,h2h4
rr4k1/4ppbp/b2p2p1/q1pPn3/2n1P3/P1N3PP/1PQN1P2/1RBR1BK1 w - -,g1g2
r1q2rk1/1pp1bppp/2bp1n2/p7/3QP3/2N1B1PP/PPP2PB1/3R1RK1 w - -,g3g4
8/8/p1k5/Pp3pp1/1Pp5/6P1/3K1P2/8 b - -,g5g4
r6r/1b1p4/p1q1pk2/1p5p/5Qn1/2PB4/P1P2PPP/R3R1K1 b - -,f6e7
r2qr1k1/b2b1p2/2p4p/p1Pp2p1/3Nn3/1N1Q2B1/PP3PPP/2R2RK1 w - -,a2a4
rn3rk1/pp4pp/2pb1n2/4pb2/2P5/1PN1BNP1/1P3PBP/R4RK1 b - -,b8a6
2r1rnk1/1b2qpb1/p2pp1p1/1p1n2N1/3PN3/2PB2Q1/PP1B1PP1/2R1R1K1 b - -,c8d8
3r1k2/1R1B1p1r/6p1/1P2P3/3p1P1p/2b5/6P1/3R2K1 w - -,g1f2
3r1rk1/1b2qppp/p7/1ppnP3/5P2/1PN5/PQ2B1PP/R4R1K w - -,e2f3
3r1rk1/1Q1nnppp/4p3/3pqb2/2P5/1N2B3/P4PPP/2R1KB1R b K -,f5g6
2b3k1/5pPp/p3rnp1/q1p5/2P2P2/1Pp1r1PP/P1Q1NKB1/3RR3 w - -,d1c1
8/6bp/3Pkpp1/3r4/4NB1P/6P1/4KP2/8 w - -,f4d2
r2q1rk1/2pn2pp/1p1pp3/5p2/pPPP4/P3PQ2/1B3PPP/R4RK1 b - -,b6b5
r2q1rk1/1p1bppbp/3p1np1/p2N4/Pn2P3/6PP/1PP1NPB1/R1BQ1RK1 b - -,f6d5
1r6/p1bB1nkp/4R1p1/1Pp5/P2p1P2/1P4P1/3B2KP/8 w - -,a4a5
8/8/8/4B2k/5P2/3KN3/p4r2/N7 b - -,h5g6
r1b2rk1/pp1nbppp/2n5/q2pp1P1/2PP3P/PP3N2/1B1N1P2/R2QKB1R b KQ -,c6d4
3r4/ppp1qr1k/2n3bp/6p1/3pP3/1P1N1P1P/PBQ3P1/2RR2K1 b - -,a7a5
r5k1/5p1p/4p1p1/1Pp1q3/2Q5/3Pp1PP/4P1K1/5R2 b - -,e5b2
8/1b2kp1p/5P1R/pB4p1/P2KP3/8/7P/2r5 b - -,e7e6
1r2r3/4bpk1/1p4p1/p1p1Pq1p/P1QpNP2/1P1P2P1/4R3/5RK1 w - -,e4f2
r4rk1/1b3pbp/p1nqp1p1/1p6/3PP3/3BBN2/PQ3PPP/2RR2K1 w - -,d3b1
5bk1/R4p2/2N2r1p/6p1/1P3P2/P5P1/3r3P/2R3K1 w - g6,c6e5
r1bqk1nr/pp1np1bp/2p3p1/3p1pB1/3P4/2N2P2/PPPQP1PP/2KR1BNR w kq -,e2e4
5rk1/1p1nq1pp/p1p5/P2pP2b/3P1r2/2Q2N2/1P2B1PP/R3R2K w - -,c3b3
