8/2Q2bk1/5pp1/7p/7P/6P1/q4PK1/8 b - -,a2c4
r3q1k1/1b3pb1/pp4pp/2pp1P2/8/2NB1Q2/PP4PP/2R4K b - -,a8d8
4r1k1/1b2rp1p/p7/1p3qp1/2p5/P1N2P2/1PPQ2PP/3R1R1K w - -,c3e4
r4rk1/ppbn2pn/2p1pqp1/2Pp1p2/1P1P4/4PN2/PB2BPPP/R2Q1RK1 b - -,h7g5
1r6/1Bp2kp1/3b3p/pR1Pp3/P2K1P2/6P1/7P/8 w - -,f4e5
rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP4/1QN1P3/PP3PPP/R1B1KBNR w KQkq -,b3b6
2r1k3/3R2p1/4Np2/1p2nP1p/4P3/1P6/1PP1KB2/8 w - -,d7d2
r2qr1k1/1b1nbpp1/ppp1p2p/4P3/2BP4/2NQ1N2/PP3PPP/2RR2K1 w - -,d3e4
r1bq1rk1/pp1n1pp1/2p1pb1p/8/2BP4/2N1PN2/PP3PPP/2RQK2R w K -,e1g1
r5k1/1p1r1p2/2bppq2/p1n3pp/2P1P3/1PN1QP2/P1R1B1PP/3R3K w - -,c2d2
5k2/5rbp/r5p1/2pnB3/4R3/5N2/PP3PPP/1R4K1 b - -,d5b4
r2q2k1/2pn1rb1/1p1p2n1/1N1Pp2p/P1P1PpP1/1N6/5BPP/R2QR1K1 b - -,f4f3
r4rk1/1bqnbppp/pp2p3/2pn4/P1N1NP2/3P2P1/1PPB2BP/R2Q1RK1 b - f3,d7f6
8/p7/b2k3p/4p1p1/P3P3/5PP1/2B2KP1/8 b - -,d6c5
8/6k1/p5p1/P1RP4/3n1rN1/7P/8/6K1 w - -,d5d6
6k1/5p1p/1p4p1/p3p3/2P5/1q3P2/5RPP/2R3K1 w - a6,g2g3
2r3k1/4pqbp/p7/2p1n3/6p1/2PPB1PP/2Q3BK/5R2 b - -,f7e6
r4rk1/1bqn1pbp/pp2p1p1/4N1B1/P2P4/1BPQ4/5PPP/2R1R1K1 w - -,e5f7
r1b1r1k1/pp3pbp/q1pp1np1/2n5/2P1P3/2N1B1PP/PP2NPB1/1R1Q1RK1 w - -,e4e5
5k2/R6R/p5p1/8/Pp4P1/1r6/5PPK/1r6 b - -,b1h1
r2qkb1r/pb2nppp/1pn1p3/2pp1P2/4P3/2NP1N2/PPP1Q1PP/R1B1KB1R w KQkq -,f5e6
3Q2k1/5p2/p3q1p1/1b6/8/4B1K1/6B1/8 b - -,e6e8
6k1/pN5p/2p2bp1/P1P2p2/4rP1P/5KP1/8/3R4 b - -,f6d4
2r3k1/5p1p/R3p1p1/1pP5/8/4PP2/5P1P/6K1 w - -,c5c6
8/4p1kp/2p2p2/p3n3/1p2P3/2r2pPP/3Q1P2/1R4K1 w - -,b1a1
7r/2bqn3/r1p3k1/Ppp1p1pp/4P3/3PN1P1/R1P1QP2/R1B3K1 w - -,e3f1
r3r1k1/pp3p1p/1nn1b1pB/1B6/8/5N2/PKP2PPP/3RR3 w - -,f3g5
8/5p2/PK2p1k1/2Q2r2/1P4p1/4R3/2P5/q7 w - -,c5c4
r3r1k1/ppb2pp1/6np/3pnQ2/3N3q/1NP1B2P/PP3PP1/3RR1K1 b - -,a8d8
r2q1rk1/1b1nbpp1/2p1pn1p/p2p4/2NP4/1Q3NP1/PP1BPPBP/2R2RK1 b - -,e7b4
1r4k1/4pp1p/3p2p1/p7/3bP3/7P/2P1B1P1/5R1K w - -,e2c4
r1b1qrk1/pp5p/2p1pn2/3pN1p1/1PPPnp2/1QN3P1/P3PPBP/3R1RK1 b - -,e4d6
r1bkr3/1pp2ppp/p2p1n2/6q1/1n1NP3/2N3P1/PPP1QPBP/R4RK1 b - -,c8g4
3r1r1k/1p3pp1/pNqpb1np/P3pNb1/4P1P1/1P1Q1PB1/2P4P/R2R3K w - -,c2c4
r2qk2r/3bbpp1/p1nppn1p/1p6/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w kq -,c1b1
3rr1k1/p1n2ppp/1p6/3p2Pq/2pP1Pb1/P1N1P1P1/1P3QB1/2R1R1K1 b - -,h7h6
2knr3/1pB5/R2p4/3Q1pq1/2PN4/3PP1Pp/P4K2/1R6 w - -,a6a8
8/pp1k2pp/2n2p2/2b5/2B1RPPP/1P6/PBK5/3r4 b - -,d1h1
8/5pk1/1b4pp/8/n7/4N1P1/P4P1P/5BK1 w - -,g1g2
r2q1rk1/pp1nn2b/2p1pb1p/3p2p1/3P4/1N2B3/PPP1BPPP/R2QNRK1 w - -,f2f4
1r6/6k1/npbp1pp1/p1n1p3/P1P1P1P1/1PN1P1K1/2BN4/7R b - -,a6c7
6k1/5pp1/p5n1/1p1qp1P1/1P4Nr/1PP1Q1RP/7K/8 b - -,d5b3
rn1qkb1r/pb3ppp/1p1ppn2/2p5/2P1P3/2N2N2/PPBP1PPP/R1BQK2R w KQkq -,d2d4
8/7p/p1pp1N2/P4p2/2k5/2B5/1P6/2K5 w - -,f6h7
2rq1rk1/p2bp1bp/1p1p1np1/8/2PB4/2N2B1P/PPQ2PP1/3RK2R w K -,c2e2
r2qkb1r/pb1nnppp/4p3/2p1P3/2Pp4/5NP1/P2P1PBP/RNBQ1RK1 w kq -,d2d3
r1bq1rk1/pp2bppp/1n2pn2/4N3/3P4/1BN5/PP3PPP/R1BQR1K1 b - -,c8d7
1r2n1k1/2pb2b1/3n2p1/pP1Pp2p/1q2P2N/2N3QP/4B1P1/2B2RK1 w - -,h4g6
5r1k/6p1/5r1p/p1pPpP1q/PpPbQ3/1P3R2/3B2K1/5R2 b - -,h5f7
3r2k1/1bq1b2p/p1p1Q1p1/1pNr4/3P4/4P3/PP3PP1/1BRR2K1 b - -,g8h8
4R3/5p2/p2k4/1pr4p/5PbP/P1P3P1/1P3K2/8 b - -,c5c8
2r2rk1/Q1p2p1p/1p4p1/2nPp3/2P1q3/4PN2/P4PPP/2RR1K2 w - -,a7a3
2r2rk1/pb1q1p2/1n2pPp1/2pp2Np/1nP2Q1P/1P4P1/PB3PB1/3RR1K1 w - -,g5f3
8/5p2/2k3p1/1p3r1p/3R3P/P4PK1/8/8 b - -,c6b6
r1bq1rk1/pp2bppp/2n5/2p1P3/2p2pP1/1P3N2/PBPPQ1P1/RN2K2R w KQ -,e2e4
7k/p4q1p/1p1nB3/2pp4/P2b4/1P3Q1P/6PK/4R3 b - -,f7f3
8/p4p2/1p4p1/8/7P/2P1K1k1/PP6/8 w - -,a2a4
rn1qk2r/pb1p1pbp/1p2p1p1/8/2PpP3/5NP1/PP3PBP/R1BQR1K1 w kq -,f3d4
3r1rk1/pb2bpp1/1p2qn1p/2ppBN2/1n1P4/2N3P1/PP2PPBP/1Q1R1RK1 w - -,f5e7
4b3/8/6p1/1P2k2p/3Np2P/4K1P1/8/8 b - -,e8d7
2k1b3/1p4R1/p1p1p3/2P5/PP2PP2/8/2K5/8 w - -,f4f5
r4rk1/1q1n1ppp/p2p4/R2Pp3/2P5/5N2/1PQ2PPP/3R2K1 b - -,h7h6
r2qkb1r/3n1pp1/p2pbn1p/1p2p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R b kq -,b5b4
8/8/2p5/3r1k2/P1R3p1/2K3P1/8/8 w - -,c4c6
4n3/5k1p/p5p1/Pr1pP3/1B6/2P2P2/1P3K2/4R3 w - -,e5e6
8/5p1k/P2p2pp/8/2p4P/P5P1/1Q3PK1/3q4 b - -,d1d5
5rk1/7p/1q4pb/pP1p4/P1pPp3/2B1PNP1/3Q3P/5RK1 b - -,e4f3
rn1qkb1r/pp2p1pb/2p1pn1p/3p3P/3P4/6N1/PPP2PP1/RNBQKB1R w KQkq -,f1d3
2rr2k1/p4p1p/1p1n2p1/3p1b2/q2P2P1/PNR1PP2/7P/R1Q2BK1 b - -,c8c3
rnbqkb1r/pppppn1p/6p1/5p2/3P3B/2N2P2/PPP1P1PP/R2QKBNR b KQkq -,f8g7
r2qr1k1/p3bpp1/2p1bn1p/3p2B1/8/3B1Q1P/PPP1NPP1/R3R1K1 w - -,g5f4
8/1p1kp2r/p2p4/6r1/PP6/2N3RP/4R1PK/8 b - -,g5f5
r2r2k1/5pb1/1p4p1/3p1PP1/3Pn3/1P2NK2/1BR3R1/8 b - -,g6f5
3r4/5pk1/R1B1p2p/2KnPP2/1p6/1P6/7P/8 b - -,d5f4
4rr1k/3q4/B2b1ppN/p1nPp3/np2P3/2p1B1N1/PP3PP1/1R1Q1RK1 b - -,c5a6
5rk1/p4pp1/Bp4rp/1N1pRb2/3P4/5R1P/PP3PP1/6K1 b - -,f5e4
3k1r1r/p1p5/Q1p5/6q1/3Pp3/2R1P1pp/P1P5/6RK w - -,a6c6
4r1k1/6pp/p1nq1p2/1p1p1b2/3P4/1PN4P/P2Q1PPN/2R3K1 w - -,h2f1
r5k1/3q3p/p4r1p/1ppb4/P7/3P3P/B4PP1/Q3R1K1 w - -,a1f6
r7/1b6/1b2pB1k/p2pPp2/1p1P1P2/P5R1/1P4PP/3R2K1 w - -,d1d3
r1r3k1/5ppp/p2qpn2/np1p4/N2P4/P2QP3/1P1N1PPP/2R2RK1 w - b6,c1c8
6k1/6p1/1pq4p/4pp2/3Q3P/3P2P1/4rP2/1R4K1 w - -,d4c4
8/6p1/2nk3p/p1N5/P1P3n1/4p1P1/4K2P/6B1 w - -,c5b3
2kr3r/1ppb1Qp1/pbq5/7p/1P1pP3/3P3P/P1P3BB/1R3R1K b - -,d7e6
3rr1k1/1b3pp1/p2qpn1p/3n4/1p1N3Q/1N1B1P1P/PPP1R1PK/4R3 w - -,h2g1
1rbq1rk1/1pp1ppbp/p1n2np1/3p4/2PP4/2N1BNPB/PP2PP1P/R2Q1RK1 w - -,f3e5
r4bk1/pp3ppp/1np5/q6b/4r1P1/1Q2BN1P/PP2PPB1/2RR2K1 b - -,h5g6
2r1k1r1/p3npBp/1p2p3/2npP3/q2N4/P1P2Q2/2P2PP1/R3K2R w KQ -,h1h7
4q1k1/p5p1/3r3p/2p2p2/2P2P1P/3pPQP1/P4K2/2R5 w - -,g3g4
4r3/ppp3k1/5pp1/3P4/5P1p/3N3P/P2Bn1PK/8 b - -,e2g3
8/pk1r4/1n1N1R2/2q1pP1p/8/2P3PP/3p3K/1Q6 b - -,d7d6
4q2k/1p2b1r1/p2pn1p1/3NRp1P/8/1NQ5/PPP5/1K5R b - -,d6e5
8/8/4Nk2/3Pb1R1/2K5/3r4/8/8 b - -,d3c3
6k1/6p1/7p/4R3/1P3p2/1rP2P2/5P2/6K1 w - -,e5c5
3rr1k1/ppq2p1p/2pb1np1/8/3NPpP1/2PP1Q1P/P4PB1/3RR1K1 b - -,d6e5
8/1R6/2n3rp/1p2p3/2k5/p1N2P1P/PP2PK2/8 w - -,c3d1
rnbqkb1r/3ppppp/5n2/1ppP4/8/4P3/PP3PPP/RNBQKBNR w KQkq -,f1b5
1rb2rk1/p4ppp/1p1qp3/8/2PP4/1Q3B2/P4PPP/R2R2K1 b - -,c8b7
r3nrkb/7p/2n4P/3pP3/2pp1P2/5N2/PP1N2K1/R1B4R w - -,h1h4
2r1k2r/p5p1/4p2p/1p3p1P/2PR4/1PBR1Pb1/P5P1/2K5 b k -,g3e5
r3kb1r/pp3ppp/2n1pn2/2P4P/P5P1/2NPBP2/1P6/R3KB1R b KQkq -,e8c8
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,a7a6:a7a5:f8e8:e7e5:c7c6:c7c5:a8b8
1r1qr1k1/3b1pb1/p2p2pp/P1pP3n/4PPn1/1p4P1/1PNBN1BP/R2Q1RK1 w - -,c2e1
r1bq1rk1/pp1p2bp/4p1pn/8/2BpP3/6QP/PPP1NPP1/R1B1K2R b KQ -,d7d5
rn1qkb1r/pbpp1ppp/4pn2/1p6/P2P4/5NP1/1PP1PPBP/RNBQK2R b KQkq a3,b5b4
8/5R2/8/p1P1k3/1P2p3/P1K2p1r/7P/8 w - -,c5c6
3nr3/5pk1/prppq3/7R/4P2Q/8/PP4PP/4R1K1 w - -,e1e3
rnb4r/1p3k1p/pq5b/4p1Q1/4N3/8/PPP2R1P/2KR4 b - -,f7e8
8/p2R4/p4pkp/6p1/8/5nBP/1r6/5K2 w - -,d7a7
8/5pk1/1R2b1pp/8/p4K2/P3P3/7P/8 b - -,e6c4
3r1rk1/1pq1bpp1/2ppbn1p/p1n5/2PBPP2/2N3NP/PP1QB1P1/3RK2R b K -,d6d5
1rb2rk1/ppqnbppp/2n1p3/2p1P3/3p1B2/3P1NP1/PPP2PBP/R2QRNK1 w - -,h2h4
