8/8/8/2k5/6K1/6P1/8/8 b - -,c5d5
rnbq1rk1/pppn1pbp/3p2p1/4p3/3P1B2/2P1PN1P/PP2BPP1/RN1QK2R w KQ e6,f4h2
8/3nk2p/2Bp4/2p2p2/2p2P2/p3K3/1P3P1P/8 w - -,b2a3
1R6/5pkp/4p1pb/8/4P3/P4P2/2rNK2P/8 w - -,b8d8
2nb3R/1p1k4/r3p3/1N1pPp2/pP1P1Pp1/P2K2P1/8/2B5 w - -,c1d2
r5k1/1b1r1pp1/1p2qn2/1P1p3p/PQpPpP2/2N2PP1/5R1P/4RBK1 w - -,f3e4
5k2/2KR1p2/7p/3B3P/8/8/5r2/8 b - -,f2f1
r1bq1rk1/5pbp/p5p1/n3p3/Pp2P3/1N5P/1PB2PP1/R1BQ1RK1 b - -,a5b3
1rb2rk1/ppp2ppp/2n1pn2/3q4/2pP4/2P2NP1/P3PPBP/RQB2RK1 b - -,d5f5
5rk1/1p4qp/r2p2p1/p2N4/3pP3/PQ6/5PPP/5RK1 w - -,d5c7
2rr4/6p1/p4k2/P4p2/2p2K1P/2R5/4N3/8 b - -,d8d3
r4rk1/1b1nqp1p/p4npb/2p1p3/NpP1P3/1P4P1/P1Q2PBP/R1B1RNK1 b - -,h6c1
8/4rp2/p2kr3/2pb1Bp1/7p/1P2RP1P/P3RKP1/8 b - -,e6e3
rnbqkb1r/4pppp/2p2n2/ppPp4/3P1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,a2a3
2b5/2P5/1K5k/7P/5p2/5B2/8/8 w - -,b6a7
4k3/4b3/pp2pn2/6p1/P3q3/2Q5/1PP3PP/R6K b - -,e8f7
3r4/5Rpk/4Q3/4ppq1/1P6/6P1/5PKP/8 b - -,f5f4
r1bq3r/5kb1/2n1ppp1/1p1pP2p/p2p1P1P/P2P2Q1/BPP1N1P1/R1B2RK1 w - -,f4f5
8/8/1pP5/pBk1b1pp/P2pP3/1P3KP1/7P/8 b - -,c5d6
6Q1/4kn2/3b4/4p2p/4qp2/P7/1P6/K1R5 b - -,f4f3
2r5/1p2kp2/3n2p1/3P3p/PR1K1P1P/3B2P1/8/8 w - -,a4a5
3rrnk1/pbq1bpp1/1pn1p2p/2p1P2P/2P2B2/5NP1/PPN1QPB1/R2R2K1 w - -,d1e1
r1bqk2r/pp3p2/2n4p/2Pp2p1/1b2n3/2NBP1B1/PPQ2PPP/R3K1NR b KQkq -,c8f5
6k1/2pq1ppn/6n1/p1p1p3/P1P1P3/2P2QPP/3N2BK/8 w - -,f3e3
r7/8/5R2/6P1/4k3/7K/8/8 b - -,e4e5
4r3/2R2p2/R3bbk1/1rNp1pp1/1P1P4/2B3P1/5PK1/8 w - -,c7c6
r2q1rk1/ppp1ppbp/5np1/n2P4/1Q2P3/2N2B2/PP3PPP/R1B1K2R b KQ -,c7c6
8/4Q1k1/3n1p1p/1p1q2pP/3P4/2P5/1PB3P1/6K1 b - -,d6f7
2r2rk1/p1q3pp/b1p1p3/P2nPp2/1pN1n3/1PpNP3/2Q1BPPP/R2R2K1 w - -,e2f3
1rr3k1/2qn1ppp/2pb1n2/1p1pp3/2P5/3PP1P1/PBQNBP1P/RR4K1 w - -,d2b3
8/p1p5/1p1p1kp1/4rp1p/2PR4/1P2P1P1/P3KP1P/8 b - -,a7a5
8/r7/5p2/8/PR1pk2p/8/3K2PP/8 w - -,g2g3
8/p6P/1p1nk1p1/2p3P1/P4K2/2P2B2/8/8 b - -,d6f7
2b2r1k/p6p/1pQ1p1pb/4Np2/2B5/8/PPP2q1P/1K1R3R w - -,c4e6
5rk1/5pp1/2B2nq1/1P3Q2/3R2p1/7P/5PK1/8 w - -,h3g4
r3k2r/ppqb1p2/2n1p2p/3p2p1/3P2n1/2PB1Nb1/PP3PPP/R2QRNK1 w kq -,f1g3
r1bqk2r/pp2nppp/2n1p3/2ppP3/3P1P2/8/PPPQN1PP/R3KBNR b KQkq f3,d8b6:b7b6
8/6p1/2q2nk1/8/p2P1Rp1/P3RPP1/5B2/6K1 w - -,d4d5
2kr4/Qpp2ppp/p2p1n2/1q1P4/4r3/4BP2/PPP3PP/R3R1K1 b - -,e4e8
5rk1/5pp1/bp2p2p/p3P2Q/P3p2P/4PN2/1P1R2PK/2q5 w - -,d2d4
r2q1rk1/pb1nppbp/1p1p1np1/3N4/2P1PP2/4B3/PP1NB1PP/2RQ1RK1 w - -,d1c2
2r1r1k1/p3pp1p/1pn1b1p1/1N2P2n/2P3P1/1P2B2P/P2R4/1B3RK1 b - g3,h5g7
r4bnr/pp1kq1pp/n7/3PpQ2/4N3/P1N5/1P3PPP/R1B2RK1 b - -,d7e8
1rb2r2/4ppbk/3p1npp/1PpPn3/1q2P3/1PN1BPN1/2Q3PP/2R1KB1R b K -,c8d7
7k/pp4qp/8/3p1N2/5b2/2Q5/PnK1rP2/R6R w - -,c2b3
8/3k4/3P4/pN1P1p1p/2pK1Pb1/2P5/1n4Br/6R1 b - -,b2d3
7r/8/3pk3/R3p1n1/6P1/2P4r/1P3KN1/4R3 b - -,h3f3
1r1r2k1/p1p1np2/1p2b1pp/4P3/1Nq5/6PP/P4PB1/1R1RQ1K1 w - -,d1c1
5rk1/2r2pp1/pp2p3/2pqn2p/P3Q3/2PP2P1/3NPPKP/R1R5 w - -,c1b1
rq3rk1/1bp4p/1n1p3b/3Ppp1n/8/1PN2P2/P2QN1PP/K2R1B1R w - -,d2h6
5rk1/pp3p1p/5p2/4p3/6nq/6Q1/5PPP/1R1R2K1 b - -,h4g3
2kr3r/Bb5p/6q1/1p1pnpp1/1b6/3P4/PP2BQPP/2RK3R b - -,e5c6
r1b1r1k1/pp2Nppp/1qp2nn1/4p3/4P3/P5PP/1PPNQPB1/R1B2RK1 b - -,e8e7
r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/2bBPN2/PP3PPP/R1BQ1RK1 w - -,b2c3
1Q6/p3qpkp/6n1/4rp2/8/P4B1P/6P1/5RK1 w - -,a3a4
rn1q1rk1/pb3ppp/1pp2b2/3p4/Q2P4/P1N2NP1/1P2PP1P/R3KB1R w KQ -,a1d1:f1g2
2r3k1/p1rn1pp1/1p1q3p/3PpQ2/2P5/7P/PB3PP1/2RR2K1 w - -,f5e4
r1bqnrk1/1pp1nppp/3p4/p1b3B1/2P5/1NN3P1/PP2PPBP/R2Q1RK1 b - -,c5a7
8/3n1pk1/6p1/p2qP1N1/1p1P1Q2/P6P/1P3PP1/6K1 w - -,a3b4
1r4k1/b4pp1/4p2p/5q2/1pR2P2/1P1P1QP1/3R1n2/1N3K2 b - -,f2g4
1r2k3/1pr2pp1/p3p2p/8/3R4/PRP1P3/4KPPP/8 w - -,e2d3
2r1k2r/1b3p2/1q2p1p1/3pP3/pPpR1P1p/P5PP/1Q4BK/2R5 w k -,g3g4
1bb2rk1/2q2ppp/p1ppp3/3n4/3N4/B4BP1/P2Q1P1P/5RK1 w - -,f1c1
3r1nrk/2q2pb1/p1bp1npp/P1p1p3/1pP1P1P1/1P1PNN1P/3B1PB1/R1Q1R1K1 b - -,h8h7
3r4/pp3k1p/2n1bpp1/4p3/2NbP3/P1BB3P/1P3PP1/3R1K2 w - -,d3e2
2rk4/1Br2p2/K3p1p1/2P4p/1R1P3P/2P1P3/6P1/8 b - -,c8b8
r3r1kb/pq1b4/np3Pp1/3p3p/7Q/3BBN2/5PPP/1R3RK1 b - -,e8e4
5k2/npq2ppp/n2p4/3Pp3/QP2P2P/3N2P1/5PB1/6K1 b - -,c7b6
rn1q1rk1/pp1b2bp/2pp2p1/4Pp1n/P3P3/2N1BNPP/1PP2PB1/R2Q1RK1 b - -,f5f4
8/8/4bp1p/3p4/3P1K1P/2k1P1P1/4B3/8 b - -,c3d2
5b2/7R/3k1p2/3p1p1B/2nP1P1P/r3p3/4NK2/8 w - -,f2g2
8/1PR5/8/7p/3p2pK/8/1r1k2PP/8 b - -,b2b5
8/p3bk2/1p3pp1/3p1p1p/PP1P1P1P/2PNK1P1/8/8 b - b3,f7e6
4r1k1/5ppp/p3qb2/Pp6/1B1pn3/1P2QNP1/2R1PP1P/6K1 w - -,e3d3
r1q2rk1/3nbpp1/1P2p2p/pPPp4/4b3/4PNB1/P3BPPP/R2Q1RK1 b - -,e7c5
8/3k2N1/6Kp/2B5/8/8/6r1/8 w - -,g6h6
r2r2k1/pp2qppp/8/3p1b2/3Q2P1/8/PPPN3P/2KR3B b - -,f5e6
1kq3r1/p2bp3/1p1p1b2/2pP1p2/8/P1PPNB2/1P2QP2/1K5R w - -,e3c4
6k1/1p3rpp/p1nR4/4p3/1P6/P3PP2/1B3PKP/8 b - -,g8f8
3B4/8/3p4/2kPp2p/b3Pp2/5P2/1K2B1P1/4b3 b - -,e1b4
r5k1/1b1rq1bp/pQnn4/4p3/2P5/P1N1BP2/1P4PP/2RR1B1K b - -,c6d4
r2qkbnr/pb1p1ppp/1pn1p3/2p5/2P1P3/2NB1N2/PP1P1PPP/R1BQ1RK1 b kq -,g8f6:g7g5
8/8/2NR2p1/5p1k/4r3/3K4/8/8 w - -,c6d4
r2q1rk1/pbpnppbp/1p3np1/3pN3/5P2/3P1NP1/PPP1P1BP/R1BQ1RK1 b - -,c7c5
6k1/1p4pp/3K4/8/3P1pP1/2rP1B1P/8/8 w - -,f3e4
7r/3kbp2/1pp1p1p1/r2nP2p/p2P1P2/P2RB1P1/1P1N1KP1/2R5 w - -,d2e4
8/1p3k2/p3p3/P2bPp1p/1P5P/6P1/4NK2/8 b - -,f7e7
rnbqkbnr/pppp1pp1/4p2p/8/5P2/3P1N2/PPP1P1PP/RNBQKB1R b KQkq -,f8e7
1rbqn1k1/3n2bp/p2p2p1/2p2r2/NpP2P2/1P1PB2P/P2QN1B1/4RRK1 w - -,d3d4
rnbqkb1r/pppp2pp/4pn2/5pB1/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq c3,f8e7
b3Q3/5pk1/1p4p1/p4r1p/4p2P/P1q1P1P1/4BPK1/5R2 b - -,a8d5
5r2/P7/4p3/1p6/6k1/8/4K1p1/R7 b - -,g4h3
rnbr2k1/1p2q1bp/1P1N2p1/1N1Ppp1n/4P3/4BP1P/4B1P1/1R1Q1RK1 b - -,c8d7
2rqk2r/4bppp/3p1n2/p3p3/1pn1P1PP/1N2BP2/PPP1Q3/1K1N2RR w k -,h4h5
q5k1/1bp3p1/1p1ppn1p/1P1P1p2/2P2P2/1Q2P2P/rB1NK3/6R1 b - -,f6h5
2br1nk1/1p2qpp1/3b3p/3Pp3/6PN/3PB2P/1Q3PB1/4R1K1 w - -,h4f3
8/8/4B3/5P2/1p3k1b/1N6/4r3/5K2 b - -,f4e3
3q1nk1/1p3p1p/2p1n1pb/p7/2P1PP2/1PN3PP/P4BB1/3Q2K1 b - -,d8d1
2r1r1k1/1bqnbpp1/pp3n2/3P1PBB/P3p2p/1NN4P/1PP1Q1P1/4RR1K b - -,f6d5
r4rk1/6p1/pp1p1p2/2pP2q1/P1B1P1bp/2P5/1P3QPP/R4RK1 w - -,f2f4
5k2/R4n2/2p4p/8/P2PN3/5KP1/8/2r5 b - a3,c1f1
2r1r1k1/pp3pp1/1qn2bp1/3p4/B2P4/5P2/PP1Q1BPP/R4RK1 b - -,f6d4
2r2rk1/5ppp/1Rn2q2/8/4B3/8/5PPP/2Q2RK1 b - -,c6d4
8/5pk1/P2p2pp/2bP2n1/1p6/3q3P/6QK/5R2 w - -,h3h4
6k1/1p1rbppb/1rpnp2p/p2p3P/P2PPB2/2P2BP1/RP1N1P2/4R1K1 w - -,g1g2
r3r1k1/2bb1pqp/2p3p1/1p1pP3/3N1P2/2PQ3P/1P4PB/3RR1K1 b - f3,c7b6
r2q1rk1/3n1pbp/3p2p1/p1pP4/P3PP2/1pNQnB1P/1P4P1/2R2RK1 w - -,f1e1
7k/2r3p1/p3qn1p/1pn1pN2/3pP3/QPr2PPP/P5BK/3R1R2 w - -,a3a5
b2q1nk1/4brpp/Bn1p4/3P1pP1/5P1P/1N6/1PP1Q3/1K1R3R b - -,a8d5
r1bq1rk1/1p1n1pbp/p1pp1np1/8/3PPN2/2N1BP2/PP4PP/R2QKB1R b KQ -,b7b5
r1b1rbk1/1p3p2/2p3p1/p3p1q1/P2PPn2/3PNRN1/1PQ2BP1/R5K1 b - -,e5d4
8/4B3/6p1/3kP2b/5K1P/3n4/8/8 w - -,f4g3
7r/1p3pk1/4p3/3bP3/3N2p1/P7/KPP5/3R4 w - -,b2b3
2r5/2p1r2p/1pbk4/pP1p1pP1/P4P2/3PPB2/5K2/2R5 w - -,c1c6
8/3k4/5p2/2p1pP2/Kpn1P3/6N1/8/8 w - -,a4b5
3rr1k1/5ppp/4qn2/pp4R1/3B1PP1/P1PR1Q1K/7P/8 b - -,h7h6
5r2/4qr1k/p3n1pb/4p3/1p1p3P/1P1P3P/P1R1QBBK/5R2 w - -,f2g3
r1bqr3/pppn1pbk/5npp/4p3/2P1P3/2N2N2/PP1BBPPP/R1Q2RK1 w - -,f1d1
r1bqr1k1/pp3pb1/2pp1npp/2n5/2PNP3/2N1B2P/PPB2PP1/R2Q1RK1 w - -,d1f3
4B3/8/1p6/8/P4n2/4p3/2k5/4K3 w - -,e8d7
r3kb1r/1bq1pp1p/pnpp1np1/1p6/3PP3/3BBP2/PPPQN1PP/R2N1RK1 w kq -,c2c3
1rq1n2k/5Rbp/4Q1p1/p1P3P1/2B4P/1P6/P7/4B2K b - -,c8e6
6k1/2p2p2/n6p/5RP1/Pr1B4/1p5P/1P2rKP1/8 w - -,f2e2
6k1/1b5p/ppn5/2p1pp2/3p1b1q/1P1P1P1P/PBN1QR2/7K w - -,e2f1
6k1/p3b1qp/1p1ppB2/5r1Q/3P1p1P/5N2/PP3PP1/5RK1 b - -,f5h5
2r3kr/pp3pbp/3q1n2/3ppP2/B2p4/3P4/PPPB2PP/R3QRK1 w - -,e1g3
r2r2k1/4bpp1/pq2p2p/1pp1P3/PP2b3/4B1P1/2Q1PP1P/R2R2K1 w - -,c2e4
3R4/pp3p2/3b1r2/7p/4k3/2P1N3/PP2K3/8 w - -,d8h8
7r/1p2pkb1/1B1p4/3Pn3/5pP1/P7/1PR1B1P1/2K5 w - -,c2d2
1r1rbbk1/1p1nnppp/pq1pp3/6P1/2P1PP2/1PN1N3/P2BQ1BP/2R2R1K w - -,e3g4
8/2k5/1n3p1p/1B2p1pP/1P2P1P1/1K3P2/8/8 w - -,b5e8
8/4kp1p/6p1/2b1p3/4P3/1B2PK2/6PP/8 w - -,b3c4
2kr3r/ppbbqpp1/2p1p3/2P5/3PN3/3B4/PPQ2P1P/1K1R3R b - -,h8h2
r4rk1/1p1b2p1/p1pp2pn/7p/8/1P1NP2P/PBPP2P1/R4RK1 w - -,e3e4
r3k1nr/1ppq2pp/p1p1bp2/4p3/4P3/2NPbN2/PPP1QPPP/R4RK1 w kq -,e2e3
r4rk1/1ppq1bp1/1b1p1p1p/3Pp3/p1QPPP2/P1B3P1/1P4BP/R4R1K b - -,e5d4
3k4/5R2/3N4/4pP2/nP2P3/8/4r3/2K5 b - -,a4c3
8/8/1P3k2/5Pp1/2K5/1N3P2/1r5p/8 w - -,b6b7
r4rk1/1p1qppbp/p2p2p1/3P4/2Pn4/1P6/PB3PPP/R2Q1RK1 w - -,b2d4
r4rk1/pp2ppbp/2n2np1/2P5/2p3b1/1PN1PN2/PB2BPPP/R2q1RK1 w - -,a1d1
3rr3/1Nn2kp1/pp2pp2/7p/1PP2P2/P5P1/7P/3RR1K1 b - -,d8d1
r3k2r/pp1q1pb1/2npn1p1/2p1p2p/4P2P/1BPP4/PP1B1PP1/R2QKN1R w KQkq -,f1e3
r2qrnk1/pb2ppb1/1p1p1npp/8/P1NP3B/2PB1N1P/1P3PP1/R2QR1K1 b - -,a8c8
1r2r1k1/3q1ppb/1b6/1p1Bp1B1/1n1pN2N/R6P/1P3PP1/1Q2R1K1 b - -,d7d5
r1r3k1/2qb1ppp/n2p4/1p1Pp1b1/4P1P1/P3N3/P2B1PP1/RB1QR1K1 w - -,f2f3
r1bq1nk1/4b1rp/p3p1p1/1p1pPp2/3P3P/3NBPQ1/PP4P1/R2N1RK1 w - -,e3g5
rnbq1rk1/pp3ppp/4p3/b2p4/2PPn3/P2BPN2/1B3PPP/RN1QK2R w KQ -,b1d2
r1nb1k1r/PQp2p2/Rn1p2pp/Bq1P4/3P4/5N2/1PB2PPP/4R1K1 w - -,a5b6
5r2/1p2k1p1/p1n1p1P1/P1P1P3/4K3/2B1P3/8/5R2 w - -,f1h1
2r2rk1/pb2bppp/1p2pn2/n2p4/P2P4/2P2N1P/3NBPPB/R1R3K1 b - -,f8d8
2k1r2r/1b1nq2p/pp1p2pQ/2pP4/P3PN2/2N5/1P4PP/R4RK1 b - -,c8b8
8/1k6/5R2/1p1b4/1P3K2/2P5/3N4/4r3 w - -,f6d6
q4rk1/2p1Qppp/3p4/8/5P2/2N2b2/1PP4P/4R1K1 b - -,a8c8
8/p4P2/1p6/4K3/P7/2P4k/8/6q1 w - -,f7f8q
4k2r/pp1n1ppp/2p1B3/2b2qB1/5P2/8/PPPQ1P1P/2KR4 b - -,f5e6
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/3B4/PP3PPP/RNBQK1NR w KQkq -,b1c3:h2h3
2kr3r/1pp2pp1/p1n4p/2bbp3/6P1/1BPP1P2/PP1N1P2/R1B1K2R w KQ -,d2e4
2rq1rk1/1p1n1p1p/p2p1np1/3Pp3/4P3/3B1Q1P/PPP1N1P1/R4R1K b - -,h7h5
3r4/8/1p2ppp1/p1bp1k1p/P1P1RP2/1P3PKP/4R3/8 w - -,c4d5
rn1q1rk1/pp3pbp/5pp1/3p4/3P1P2/2NB1R2/PPPQ2PP/R5K1 b - -,f6f5
7r/7P/4p3/3k1p2/3P4/3K2P1/2p2P2/7R w - -,d3c2
7k/p1R2pp1/8/3pP3/r6p/5N1K/8/8 b - -,f7f6
3r2k1/5pp1/pq2pn1p/1pn5/4P3/5PBP/PP2BP2/1Q1R2K1 b - -,c5a4
r4rk1/ppq1Bpbn/3p2pp/3P4/b5P1/1P2QN1P/P1P2P2/2KR1B1R b - -,f8e8
r5k1/p1pp1p1p/2p3p1/3Pr3/8/1P4P1/P4PBP/RN3bK1 w - -,g1f1
r2r2k1/qp3ppb/2p1pn1p/2b1N3/4P3/P2R2P1/1BP1QPBP/R5K1 b - -,d8d3
r1b2rk1/1p2p1bp/p1npn1p1/q4p2/2P1P3/2N1BP2/PPNQB1PP/2R2RK1 w - f6,b2b4
r3rb2/2pn3k/4p1pp/1p2P3/1n2P3/3PBNNP/5PP1/R2R2K1 w - -,a1a8
1r3bk1/2q2p1p/bn2r1p1/p1npP3/P2N4/B1P3Q1/2BN2PP/R3R1K1 b - -,e6e8
8/2p5/1pkp4/4P1p1/1KP5/PP1R4/6r1/8 w - -,e5d6
r1b2rk1/2q1bppp/p2p4/np2np2/4P1PP/2N2P2/PPPQBB2/1K1R3R w - -,c3d5
8/5k1p/4p1p1/8/3R1P2/1P4P1/P1r2r1P/1K5R b - -,c2b2
r4rk1/pbpn1qp1/1p1ppn1p/5p2/2PP3B/2QBPP1P/PP4P1/2KR2NR w - -,g1e2
3r1r2/3b2kn/p2q1pp1/2pPp3/PP2P1P1/4Q1N1/1P2B1K1/3R1R2 b - -,c5b4
1r6/2b1k1pp/4b3/1p1Rpp2/p7/2P5/PPB2PPP/3R2K1 w - -,d5c5
3r1r1k/6p1/b2p4/3Pp1P1/P3Bp1q/2Q1nP2/2P4P/4R1RK b - -,a6c8
1rbqkbnr/2p2ppp/p1p5/3p4/3P4/2N1B3/PPP2PPP/R2QK1NR w KQk -,a1b1
8/4nk2/4b3/8/3B1KP1/8/6B1/8 w - -,g2e4
8/p6k/1p5p/1P2rR2/8/8/4r2P/5R1K w - -,f1f2
qr4k1/3p1ppp/n1b1pb2/p7/PN1P1P2/B4NP1/Q3P1BP/2R3K1 b - -,a6b4
6k1/4pp1p/6pb/4Pb2/2PB4/8/1P2K1PP/1r3B1R b - -,f5e4
8/3b1pp1/1p1k3p/3p4/5P2/P1KB2P1/1P1R3P/5r2 b - -,f1e1
1r6/4PK2/R7/6p1/8/5k2/8/8 w - -,a6f6
r2q1rk1/pbpn1pb1/1p2p1pp/4P3/2BP1B2/2P2N2/P4PPP/RQ3RK1 w - -,b1d3
4Q3/5npk/8/2pP4/4P3/2r3q1/6PK/1R6 w - -,h2g1
r1bq1r1k/1pp2p1p/p2p2p1/4n3/4PN2/1BPPp1P1/PP2Q2P/R4R1K b - -,e5g4
r2qr1k1/pp1n1pp1/2p1pnbp/8/Pb1PP3/2NB1N1P/1P2QPP1/R1B2RK1 w - -,c1f4
1nrq1rk1/p3bpp1/1p2bn1p/3pN3/3p3B/2NBP2P/PPQ2PP1/R4RK1 w - -,e3d4
8/5k2/2r4R/p2rp2P/1pR5/1P1K4/8/8 w - -,d3e4
2kr3r/p1pqn3/1pn3pp/3p1pB1/3P4/P1PP1QN1/5PPP/1R3RK1 w - -,g5e7
r2qk2r/1b2bppp/p1p1pn2/1p6/3P4/2NBPN2/PP3PPP/R2Q1RK1 w kq -,c3e4
r4rk1/pp2ppbp/1n4p1/2pPB2q/2P5/N3PBP1/P1R1QP1P/5RK1 b - -,h5e5
2r1k1r1/4bp2/pq1p1p1p/1pnRpP2/4P1PP/PN4R1/1PP1Q3/1K3B2 b - -,c5b3
