8/8/3q2pk/5p2/2Br4/1P1N1Q1P/6PK/8 w - -,f3g3
r1bq1rk1/1p1nbppp/p2pp3/6P1/3nP3/1BN1B3/PPP2P1P/R2QK1R1 w Q -,e3d4
r1bq1rk1/5pbp/pn4p1/1Ppp4/4P3/2N1BP2/PPQ3PP/R2R1BK1 b - -,d5d4
3r4/8/1p1n2k1/1Ppppp2/8/2P1P3/2P2PR1/2BK4 b - -,g6f6
1r2r3/1pp2pk1/p1bp2p1/P6p/1PPRPP2/6PP/6B1/3R2K1 b - c3,b7b6
q2bk2r/3b1ppp/4p3/3pP2P/3P4/1R3N2/2B2PP1/3Q2K1 w k -,f3e1
5rk1/p4pp1/2p4p/2RpP3/Pq6/8/1r3P1N/3QR2K w - -,c5c6
rn3rk1/4bpp1/p2qpnp1/1p1p4/3P4/2N1PPP1/PP1BB2P/2RQ1RK1 w - -,d1c2
r1b2rk1/ppq1bppp/2n1pn2/2pp4/2P5/1P2PNP1/PB1P1PBP/RN1Q1RK1 w - -,b1c3
2b1nnk1/r7/1pPqpr1p/pP1pNpp1/P2P1N2/3BR3/5PPP/1R1Q2K1 w - g6,f4h5
r1r3k1/5bbp/3p2p1/1q2pP2/p2pP1P1/1P5P/PB4BK/1R1Q1R2 w - -,b3a4
r1b1r3/pp1nkppB/2n1p3/3pP1N1/2p2P1B/2q1P3/P5PP/R2Q1RK1 b - -,f7f6
8/p2k2p1/1p2p2p/3pP3/2PPp3/1P5P/P3K1P1/8 w - -,c4d5
8/7N/4k1K1/8/8/8/6r1/8 w - -,h7g5
8/5kp1/8/7P/2K3n1/2B1b3/8/8 w - -,c4d3
1r2qrk1/2p1b1pp/b1n1p3/pPnpP3/7P/1PP2NN1/5PP1/RBBQR1K1 b - -,b8b5
r4rk1/p2bn1bp/3p1np1/q2Ppp2/1p2P1P1/3BBP1P/PP1Q4/1KNR2NR b - -,f8b8
2r1b1k1/pp2pp1p/2r3p1/q2nP3/2BPP3/5N1P/PPR3P1/R1Q3K1 b - -,d5b4
r5k1/p1p3pp/1p1p4/3Pn3/2PNb3/P1B5/1P4PP/R5K1 w - -,b2b3
2rR4/1rP2kp1/p4p2/B3pb2/7R/5K1P/6P1/8 b - -,c8c7
r5k1/pp2q1p1/7p/5rB1/2p5/2P5/PPP4Q/1K1R3R b - -,f5g5
3q1rk1/4r2p/1P6/3p1p2/3B1P2/6PP/1Rp3B1/4R1K1 w - -,e1c1
r5k1/3qppbp/3p1np1/2pP4/4P3/2P1NPP1/P2B3P/1r1Q1RK1 w - -,d1b1
r5k1/3R3p/p3n1p1/1prR1pP1/7P/2P5/PP3PB1/6K1 b - -,a8c8
r3k2r/pp1b1p2/4p2p/2qPP1p1/3n4/P2B2B1/2PQ1PPP/R3K2R b KQkq -,c5d5
3r2k1/1p3pp1/p2p2n1/P2P1Nq1/1PP1r3/5RPp/5Q1K/6R1 w - -,f3e3
4r1k1/5pp1/7p/p1pp2P1/2b5/P1P1q2P/1Q2P3/4KBR1 w - -,g1g2
1r2r1k1/1pqb1pbp/p2p1np1/P1pP4/4PB2/2N3PP/1P1Q1PB1/R3R1K1 b - e3,f6h5
2k1n3/5Rp1/1pN5/3PK1p1/4P1r1/8/8/8 b - -,g4e4
8/8/7R/4kp2/4p3/4K1P1/r6P/8 b - -,a2a3
2b1k2r/1p1p1ppp/n1p1pn2/1qb5/8/4P2N/2QP1PPP/BN2KB1R b Kkq -,a6b4
8/8/5Kp1/5n2/5p2/5k1P/8/6B1 b - -,f5g3
4r1k1/p1P2pp1/1q5p/8/2p2B1P/6P1/P4PB1/3R2K1 w - -,g2h3
r2qk2r/1p2ppbp/p1b3p1/2p5/2QPP3/2B2N2/PP3PPP/R3K2R b KQkq -,c6e4
r1bqkb1r/pp1npp1p/5np1/1B2p3/3Q4/5N2/PPP2PPP/RNB2RK1 w kq -,d4e5
7k/r5pr/8/p2nBpRp/7P/8/6PK/R7 w - -,e5d4
r2qkb1r/1p3pp1/p1bppB1p/8/PP1QP3/2N2N2/2P2PPP/R4RK1 b kq -,d8f6
2r1r3/2pRP1k1/1pNb2pp/1P6/7P/5RP1/5PK1/8 w - -,g3g4
2r1rnk1/1pp2p1b/p1n3p1/4p1P1/B2bP3/3P1NNP/PP3P2/R1BR2K1 w - -,f3d4
r2r4/pp1qpp1k/6pb/3n3p/3PQ2P/5PB1/PPBnNPK1/R4R2 w - -,e4d3
8/1p6/4k3/r2pb2p/2p3p1/P5K1/1Pb1N2P/4RB2 w - -,g3h4
r1bq1rk1/ppp2pp1/3p1n1p/2b1p3/4P2B/1P1P1N1P/1PP2PP1/RN1Q1RK1 b - -,d8e7
rn3rk1/pp1b1pbp/1q1p1np1/3Pp3/7N/2N1P1PP/PPQ2PB1/R1B2RK1 w - -,e3e4
8/6kp/p5p1/3p1b2/QPp4P/2P3P1/P3q2K/5R2 w - -,h2g1
8/8/8/8/2K4Q/6p1/6k1/8 w - -,c4d3
5rk1/2q2pp1/2p2b1p/pQ3N2/R7/1P2P1P1/3r1P1P/5RK1 w - -,b5a5
8/p6r/1pRp3k/3N1Pb1/4P1pp/P2K4/1P6/8 w - -,c6d6
r1bq1rk1/p4pp1/2p2n1p/2b5/3p3B/P1NBP3/1P3PPP/R2QK2R w KQ -,c3a4
6k1/3npp1p/1q1p2p1/8/1p1RP3/1N3P2/PP4PP/1KR5 b - -,d7e5
3Q4/5pk1/2K5/3Nq3/6Pp/3r4/8/8 w - -,g4g5
r3r1k1/3n1ppp/2pqb1n1/p2p4/Pp1P4/3BP2P/1PQNNPP1/1RR3K1 b - -,e8c8
8/8/r1b1kp2/P3N3/1K3R2/8/8/8 w - -,e5c6
5rk1/3n1p1p/4p1p1/p2pPP2/3P2P1/2r4q/P2R2KP/1R1Q4 w - -,g2h1
rn3rk1/pb1q1ppp/1p2p3/8/3P3P/P1B2B2/1P3PP1/R2QK2R b KQ h3,b7d5
8/2k5/1p4pp/1K1B1p2/2P2P1P/6P1/4b3/8 w - -,d5e6
r1b5/3pkp2/p3p3/3q4/1p3r2/5NQP/PPPK4/R4B2 w - -,d2e3
6r1/3Bn3/4P1p1/3pkp1p/4p2P/4P1P1/1R3PK1/8 w - -,b2a2
rq2r3/2n3kp/2p1bnp1/p1P2p2/1P2p3/P1Q3P1/3N1PBP/R2NR1K1 w - a6,d1e3
r1b2rk1/pp3ppp/2n1p3/3p4/1PP1n2Q/P3PN2/1q1B1PPP/2R1KB1R w K -,f1d3
r7/p1Rb4/k4rp1/1pQp2p1/8/1P4Pq/P4P1P/5RK1 w - -,c5a3
R7/5pkp/4p1p1/8/8/7r/p3K3/1nN5 b - -,b1a3
8/8/5pk1/7p/R6P/P4K2/5P2/r7 w - -,f3e4
3r4/p7/1p1pk3/n2npp2/6r1/8/P2R1N1P/4R1BK b - -,g4h4
2r3k1/2qrpp1p/p1bp1np1/1p6/4P3/2NQ1B1P/PPP2PP1/3RR1K1 w - -,a2a3
r4rk1/4q1pp/p1n1p3/1p1pP2b/n1pP4/2P1NN2/PP4PP/R1QB1RK1 w - -,g2g4
r3r2k/pppb2b1/3p1q1p/2nPpp2/2B3PP/2N1BP2/PPP1Q2R/2KR4 w - -,d1g1
r1b2rk1/pp1n1pbp/2p1pnp1/q2p4/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 b - -,f8e8
8/5r2/2p1k2P/p1BbP3/1p1P4/5pK1/5R2/8 b - -,f7h7
2r3k1/q2b1pb1/3pp1p1/1n1P4/1p2P1P1/4B2P/2PQN1B1/5RK1 b - -,a7a4
8/7b/1kp5/pp6/7r/P1N5/1KP3R1/8 b - -,b6c5
r1b2rk1/pp2ppbp/1qn2np1/2pp4/3P1P2/2P1PN2/PP1NB1PP/R1BQ1RK1 w - -,f3e5
r1bq1rk1/1ppnppbp/3p1np1/p7/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - a6,f1e1:b2b3
1r4k1/2n1Q2p/1q1p2p1/2pb2N1/1p6/7P/1PP2PP1/R5K1 w - -,a1e1
2rqr1k1/pb1n1ppp/5n2/1Pppp3/P1P5/2QBPP2/4N1PP/R1B2RK1 w - -,a4a5
8/6p1/p1Qp2k1/1pp5/1P4P1/2P4K/2P5/5q2 w - -,h3g3
r4rk1/pb1nbppp/1q2pn2/2p5/1p1P1N2/1B2PN2/PP2QPPP/R1BR2K1 w - -,f3d2
8/8/1RP5/5bkp/2K5/8/8/2r5 w - -,c4d5
r2q3r/1ppknp1p/p1npb1p1/3N4/4PP2/2Q5/PPP3PP/2KR1BNR w - -,d5f6
4rrk1/ppp1q1pp/1b1p1n2/3P1p1b/4p3/1PNPP1P1/PB1Q1PBP/4RR1K w - -,c3a4
8/p2nk1p1/2r1p1Bp/2pp4/5P2/1P3K1P/P1P3P1/4R3 w - -,g6d3
2r2rk1/1p1q1ppp/p3p3/n2P1bP1/Pbp2P2/2N1B3/1P2Q1BP/3RK2R b K f3,f5d3
4rnnk/ppq2ppp/r6b/2p1P3/2PpBP2/P2P1N2/1P1B2RQ/6RK b - -,f7f6
6k1/3q1p2/B6p/4np2/8/P2p4/1P1Q1PPP/6K1 w - -,b2b4
rn3rk1/3qppb1/ppp3pp/4Pb2/P1BPN2B/5N1P/1PP1Q1P1/5RK1 w - -,a4a5
5r1k/p3q1p1/1p1Np2p/4P2b/3PQP2/P3K3/1P6/6R1 w - -,g1h1
r2qk2r/ppp2ppp/2nbpn2/1B6/Q2P4/2N1PP2/PP3P1P/R1B1K2R b KQkq -,e8g8
br1q1rk1/3nbpp1/2n1p2p/2p1P2P/ppP1N3/3P1NQ1/P4PP1/BR2RBK1 w - -,g3g4
4k2r/rb1qbppp/2np4/1BpQ4/PpN1P3/5P2/1P4PP/3R1KNR b k -,e8g8
1rbq1rk1/p4pp1/2pb1B1p/3p4/8/1PNB1Q2/P1P2PPP/4RRK1 b - -,d8f6
rnbq1rk1/ppppppbp/5np1/8/1P1P4/5N2/PBPNPPPP/R2QKB1R b KQ -,d7d6:d7d5
r1r2bk1/p4p1p/bpn1p1p1/3NP2n/6P1/1B2BN2/PP3P1P/R1R3K1 b - g3,a6e2
2k1rb2/1p3ppp/pBp5/3rn3/1P1R4/P3P1N1/5PPP/2R3K1 b - -,d5d4
rn2kb1r/2pp2pp/8/1B3P2/6P1/8/PP3B2/RN2K1Nb b Qkq -,b8c6
r3qrk1/1pp1bppn/p6p/2B1p3/4P1QN/1P1P3P/1PP3P1/R4RK1 w - -,c5e7
r1b1k2r/1pp1q2p/3p1pp1/p3n3/2P2B2/2Q1P3/PP2BPPP/R4RK1 b kq -,e8g8
8/8/4K3/2k5/4P1p1/R7/p4P2/r7 w - -,e4e5
5bk1/1q3p2/1p3np1/rN1p3p/P2P4/1Q5P/1B3PP1/2R3K1 w - -,b2a3
8/1p5p/p1r3p1/4R3/6P1/5P1P/1k6/7K w - -,e5e7
rnbq1rk1/pp3pbp/6pn/4p3/1PPp4/3P1NP1/PB3PBP/RN1Q1RK1 b - -,c8f5
1r3rk1/p3qppp/2pbbn2/2Ppp3/N7/PP1BPP2/2Q3PP/R1B2RK1 b - -,d6c7
q3k2r/1b1nbppp/4p3/1p1p4/3N4/3P2P1/1PQ1PPBP/2B2RK1 b k -,b5b4
2rr2k1/pbq2ppp/1p1bpn2/2B3N1/2P5/3B2N1/PP2QPPP/3R1R1K b - -,d6c5
8/8/5N2/3P2p1/5rP1/5k1K/5P2/8 w - -,f6d7
6k1/p2p1p1p/1p4p1/2bP4/2P2P2/3K2P1/q2BR1BP/8 b - -,a2b1
r1b2rk1/pp2qpbp/1n4p1/1N1n4/8/5N2/PP2BPPP/R1BQ1RK1 w - -,c1g5
8/1q3pk1/p2p2p1/1r5p/1P1P4/P3QPPP/2R3K1/8 b - b3,a6a5
2r3k1/4b1p1/3p1p1p/4p3/ppr1P1P1/4BPP1/PPPR3R/3K4 w - -,d2d3
4kb1r/1p4p1/p1n1q3/3p1pNp/3P3P/1P6/P4PP1/2B1R1K1 w - -,g5e6
2b1k3/p1nq3p/1p1p3Q/2pP4/P3rP2/1PB4P/R6K/8 w - -,a2g2
2rq1rk1/3nn1b1/2ppb2p/1p2pp2/1PP3p1/2NP2P1/1BQNPPBP/1R3RK1 w - -,b1a1
1r2R1k1/p4p2/5bp1/1p1r3p/2pP4/2P4P/PP1B1KP1/4R3 b - -,b8e8
8/3k4/pp1p3p/2pP1r2/P1P1N1KP/1P6/8/8 b - -,f5e5
1r3rk1/4ppnp/3p2p1/1q6/1Q2P1n1/1P6/2RR1PPP/1B3NK1 w - -,b4b5
6k1/1b3p2/6p1/p2p4/P2bp2p/1P2P1P1/2BR1PKP/2r5 w - -,e3d4
8/p4n2/1p3k2/r4pP1/2P2R1P/1b3P2/4R2K/8 b - -,f7g5
1r3b2/5k2/2p2p2/2p1pNpn/p1P1P2P/P1B3R1/1P3PPK/8 w - -,g3d3
r2qnbk1/1b1n1ppp/p2p4/2pP4/2B5/1PN3N1/PBQ2PPP/R5K1 w - -,c3e4
8/1p6/p4kp1/1PPp1p2/P4n1r/2K2BR1/8/8 b - -,a6b5
1r3k2/p4pp1/4r2p/2p5/2Pp4/1P1R3P/P4PP1/4RK2 w - -,e1e6
4rb2/p4p1k/5P1p/3r4/1p3QR1/1Ppq1NP1/P4RPK/8 b - -,d3e3
6k1/1n6/1B1bp3/P4pp1/2P5/1P5P/8/3B1K2 b - -,d6c5
r1bqkb1r/ppp1pppp/2np1n2/8/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq -,f1e2
r3n3/p4kp1/1pp5/3pB1P1/2nP4/P1N4P/2P2P2/R5K1 b - -,e8d6
2r2b2/p2q1k1p/1pn2pp1/3p4/P2P1BP1/1P1Q1B1P/5PK1/4R3 b - -,c6b4
r4rk1/p1qn1pp1/1p1pp2p/2p5/2PPQ3/B1P1P2P/P4PP1/R4RK1 b - -,d7f6
6k1/3b1p2/2p5/1pn3b1/2p5/2P5/1P2B1P1/3NN1K1 w - -,e1f3
r3r1k1/pp1b1ppp/1n1qp3/8/3PR3/1P1B4/PB3PPP/R2Q2K1 b - -,b6d5
8/1p1b3k/2p3pp/p1n1pp2/P1P1P3/1P3PPP/6B1/1NN1n1K1 w - -,b1d2
1r1q1rk1/2pnbppp/3p4/pB2p3/P2PP3/2PQ1b1P/5PP1/R1B1R1K1 w - -,d3f3
r5k1/3brqn1/1ppR1npp/1P2p3/2P1Pp2/2N2N1P/2Q1BPP1/3R2K1 b - -,g7e8
1q6/6k1/PKR3p1/1p6/1P3P2/1B6/3r4/8 w - -,b6a5
5r2/ppk1n3/4p3/8/2n5/P3P3/1B1RNP1P/4K3 w - -,d2c2
2k5/pp2pn2/6p1/5r2/8/1PN1KP2/P5P1/7R w - -,h1h7
r2qk1nr/ppp2pbp/2npp1p1/8/3PP3/2PB1Q1P/PP3PP1/RNB1K2R w KQkq -,c1e3
r2q1rk1/1pp1b1pp/pnn1bp2/4p3/1P6/P1NP1NP1/1B2PPBP/R2Q1RK1 w - -,a1c1
2r1rb2/1bp2p1k/1p2qnpp/p1nNp3/2P1P2N/PP2B1PP/1Q3PB1/3RR1K1 w - -,b3b4
r1bq1rk1/p1p3pp/2p3n1/2N1p3/3P1p2/P1P5/1P3PPP/R1BQK2R w KQ -,e1g1
8/1r2k3/5p2/p1p1pPp1/PpP1P1P1/3R4/2P3K1/8 b - -,b7b6
6k1/p4p1p/5r2/5qp1/8/5P2/PP3QKP/5B2 w - -,h2h3
r2q1rk1/pR4pn/2p5/4p1P1/2P1p2P/P2p4/3PBP2/2Q2RK1 b - -,d3e2
r3kb1r/3n1pp1/p1p1pn1p/1pPp1b2/1P1P1B2/2N1PN1P/1P3PP1/R3KB1R w KQkq -,f1e2
r1bq1rk1/pp2bpp1/4pn1p/3n4/3P4/2NB1NB1/PP2QPPP/R4RK1 b - -,a7a6
r1b1k2r/ppppnpp1/1bn2q1p/1B2p3/P3P3/2PPBN2/1P3PPP/RN1Q1RK1 b kq a3,e8g8
4r2k/1p6/3p1q2/PN4pp/2PP1pP1/5P2/3Q1K2/8 w - -,b5c7
1rbq1rk1/6p1/p2p3p/2pNnp2/2P1Pb2/3P1N1P/1P2Q1P1/R4RK1 w - -,d5f4
r1bqkbnr/pp1npppp/2pp4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4
2r1r1k1/ppq2pp1/2n1p1p1/2npP2P/6P1/2P2N2/PP2QP2/R1B1R1K1 b - -,g6h5
3k4/1b1qn3/pr6/3pPpQ1/1p1P4/3B4/PP6/KN3R2 b - -,b6g6
4r1k1/1p1r3p/6p1/3q1b2/PQ2p3/2P1R1P1/1P4BP/4R1K1 w - -,g2e4
2r1qrk1/pb1n1pp1/1p2p1np/8/2BQP3/P4PB1/1P2N1PP/3RK2R b K -,d7e5
r2q2k1/p4ppp/4p1b1/1Qn5/4P1P1/2N4P/PP3PB1/2R3K1 b - -,d8e7
4r2r/pp1k4/2p2p2/3p1p2/3P2Pp/2N1P1b1/PP1B2K1/4RR2 w - -,f1f5
2br2k1/ppq2pb1/2r3pp/PR2p2n/4P3/2P2N1P/1Q1B1PP1/4RBK1 b - -,h5f4
3n1rk1/6r1/1p2p3/p2p1ppP/5P1K/8/2R3P1/1B2R3 w - -,f4g5
1rbq1rk1/p3ppbp/3p1np1/n1pP4/2P5/5NP1/P1QNPPBP/1RB2RK1 b - -,b8b1
7r/kp3p2/p1p5/2b5/4R3/5KP1/PP5r/1RB5 w - -,c1f4
4r1k1/1R2ppb1/3p2p1/8/3NPP2/p2P4/5KP1/7R b - -,g7d4
1rbqk2r/4npbp/3pp1p1/2p5/1p1nP3/3PB1PP/1PPQNPB1/R2N1RK1 w k -,e2c1
2r2rk1/4ppb1/p2p3p/1p1Pn1p1/3B4/5P1P/PPPR2P1/1K3B1R w - -,h3h4
5r1r/3qb1k1/3p2P1/3Ppp2/1p6/3Q2NP/1PP2P2/3RR1K1 w - -,g3e2
rn1qkbnr/pp2pppp/2p5/5b2/2BP1B2/4P3/PP3PPP/RN1QK1NR b KQkq -,e7e6
r1b1k1r1/bpqpn2p/p1n1ppp1/8/P1BNP3/2P1BN2/1P3PPP/R2Q1RK1 w q -,c4a2
5R2/8/4K3/4p3/6k1/4r3/8/8 w - -,e6d5
r4k2/p3R2p/5r2/3R2p1/8/8/P5KP/8 w - -,e7h7
8/5k2/p3p3/1pN1P2P/1P6/n2K1p2/8/8 b - -,a3c4
r7/pb3ppk/1p1r1n2/PQp5/2P5/3q1P2/1B4PP/R4R1K b - -,b7c6
5k2/1Bp4p/1b6/3PR3/p4p2/3rnPPK/4R2P/8 b - -,a4a3
q1r3k1/3r1ppp/R1n1pb2/2Pp4/p2P4/3QPPB1/4N1PP/1R4K1 b - -,d7a7
r1b2b1r/pp2kn1p/2p1p1pP/5p2/4P1n1/2NN1PP1/PPP3B1/R1B1K2R b KQ -,g4h6
8/7p/3K1kp1/r2p4/3Pp3/4P1P1/2R2P2/8 b - -,h7h5
5rk1/p2n2p1/P5r1/1bp2p2/2q1pP1p/2B1Q2P/2PPN1PK/4R1R1 b - -,b5a6
8/1p3R2/2p3Q1/6r1/P4p1k/8/5PPK/2q5 w - -,f7h7
r1b5/p4kb1/1p1p4/2pNn1p1/1PPpP1Q1/P2P2pr/3B1PB1/1R4K1 b - -,c8g4
r2qbb1k/2p2r1p/p1p2pp1/Np6/P3Pn2/3P2N1/1PP2QPP/R4R1K w - -,f2f4
2r2rk1/1p2bppp/q1p1pn2/p7/PnNPPB2/2N3P1/1P1RQPKP/R7 b - -,f8d8
8/6p1/1kn1p3/pp1pP1p1/3P1rP1/P3KB1P/1P6/3R4 b - -,f4f8
5r2/3b4/1p1b1k1p/p2Pp3/P3P3/1P3PKp/8/4R2B b - -,f8g8
1r1r4/3nppkp/2pp2p1/p1q2P2/4P3/PPN1R2P/2P2QP1/5R1K b - -,d8f8
r1b2rk1/pp4pp/2p5/3pP3/3P1p1q/2P1P3/P4PBP/R2Q1R1K w - -,e3f4
8/8/8/8/Pkp4R/6r1/2K5/8 w - -,h4h8
6k1/p3r3/2pn4/3p4/3P1p2/P2N1P2/1R6/1K6 b - -,e7e3
8/1b3kp1/pp1rpr2/4Rpp1/2BP4/4KP1N/PP4P1/2R5 b - -,f7g6
6k1/2qn1p1p/1p1np1p1/p2p4/3P4/2NBP1P1/PP1Q1P1P/6K1 b - -,g8g7
5rk1/3nq1bp/p2np1p1/Pp3pP1/1P1Pp2P/1Q2P2B/3N1P2/2B1K1R1 b - -,f8c8
1r5k/1P3rp1/1pQ2npp/2b1p3/8/8/PPP1RPPP/R5K1 w - -,a2a4
3r2k1/3bppbp/nn1P2p1/8/5p2/rPN3PP/2QR1PB1/3R2K1 b - -,e7e6
4r1k1/B5bp/2N2np1/P3pp2/8/6P1/4rPKP/1RR5 b - -,e5e4
1r4k1/p2n1ppp/2pN4/5b2/3P4/Pr1q2P1/3Q1PBP/R3R1K1 w - -,d2f4
r1bq1rk1/6pp/p1P1p3/1p1pN3/1P1PpB1b/1Q2P2P/5PP1/R4RK1 b - -,h4e7
4n2k/2p1r2p/1p5R/1P1p4/1P6/4rPK1/2B5/7R b - -,e7g7
6k1/5pp1/r1p5/1p3P2/1n2BPP1/2R3K1/8/8 w - -,g4g5
8/3R1k1p/6p1/npN5/1p2KPP1/2b1B2r/8/8 b - -,f7e8
r2q2k1/pp1b1pp1/3p1n1p/8/3P4/1BNQr3/PP3PPP/2R3K1 w - -,f2e3
r5k1/ppr1q1pp/4p3/2PpPp1b/1Q1P1P2/5B2/P3P2P/1R3RK1 b - -,h5f3
b1r5/2brk2p/P2p1pp1/p3p3/2P1P1P1/1N2BP2/5K1P/R2R4 w - -,a6a7
4rrk1/p7/3p1qnp/2pPpp2/1pP2P2/1P1PQ2P/P2N3K/4RR2 w - -,f4e5
B5k1/5ppp/4b3/1N6/1nP2P2/1P6/5P1K/8 b - -,b4d3
6k1/ppb2pp1/2n5/6P1/2B3Pp/1N2r3/PP5P/3R2K1 b - -,e3e4
4r1k1/ppr1qppp/2p2n2/Q1b1p3/2Pp4/1R1P2P1/P3PPBP/1R2N1K1 b - -,h7h6
8/5kp1/1BbQ1p2/2P1p2p/q3P2P/5PK1/2P3P1/8 b - -,a4a8
2r3k1/1pr1bpp1/4p2p/1p6/4R3/2P4P/PP3PP1/3R3K w - -,a2a4
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/4PN2/PP2BPPP/RNBQ1RK1 b - -,c5d4:b7b6
rnb1kbnr/pp1pqpp1/2p4p/4p3/2B1P3/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,g8f6
3r2k1/p2q1pbp/R2p1np1/1rpP4/2N2B2/3Q3P/1PP2PP1/5RK1 b - -,d7f5
5k2/5p2/3q4/2pr3p/1p3p2/1P2bPpP/P1Q1R1P1/4R2K b - -,d5d3
4Rn2/3r2kp/1p1p1r2/2p2pN1/2P2P2/P2P4/7P/5RK1 w - -,f1e1
r1bqk2r/ppp2ppp/2n1p3/1Q1n4/2pP4/5NP1/PP1bPPBP/RN2K2R w KQkq -,b1d2
6k1/5pp1/3Pb1rp/p1PBp1q1/4P3/1Q6/5PPP/R5K1 w - -,g2g3
7Q/6r1/8/3k4/8/8/4K3/8 b - -,g7e7
8/p4k1p/2p1pbp1/2P1n2r/3N4/4QPPq/PP2PR1P/3R2K1 w - -,e3e4
r1b2rk1/p1pp1ppp/2p2n2/2b5/4P2q/3B4/PPP1QPPP/RNB2RK1 w - -,b1d2
6k1/p7/7p/3R2p1/Pb2q1P1/1P2N3/4KR2/8 w - -,d5d8
1qr1rbk1/6pp/p2pn3/3b4/1pP1BP2/1P2N3/PBQ4P/6RK w - -,e3d5
r1b2r1k/1p2bqpn/2p1p2p/p2nP3/3PQ3/P2B1NN1/1P3PPP/R1BR2K1 b - -,g7g5
8/8/2R2k2/p6p/8/4r1P1/6K1/8 b - -,e3e6
r1b1k1nr/ppppqppp/2n5/1N6/1b2P3/8/PPPB1PPP/RN1QKB1R b KQkq -,d7d6
r3k2r/pp2nppp/2nqp1b1/3p4/3P1N2/2PB1P2/PP1Q2PP/RN2R1K1 b kq -,e8c8
5rk1/pp3pp1/5bn1/3rq1p1/P5P1/1Q2B2P/1P3PB1/2R3K1 w - -,b3d5
