1r2r3/6k1/2RP4/4b3/p7/2N5/P1K1R3/8 w - -,d6d7
4k3/6pp/pnr1pp2/1pB5/1P2PP2/P5P1/4K2P/2R5 b - f3,b6a4
2r1r1k1/1pqnbppp/2p1pn2/p2p4/P3P3/2PP1bNP/1PQ1BPP1/R1B1R1K1 w - -,e2f3
8/6k1/7p/1p4p1/1Pb4P/P1N3R1/2r3PK/8 b - -,g7g6
rq3rk1/3nbp1p/p1p2np1/1p2p3/P3P3/2B1NBPP/1PP2PK1/R3QR2 b - -,b8c7
r2qr1k1/pppb1ppp/2n1pn2/6B1/P1pP4/2P2NP1/4PPBP/R2Q1RK1 b - -,h7h6
2r5/8/2P5/1K6/p3k2P/5p2/P2R4/8 b - -,e4e3
r2r2k1/qb3ppp/p3p3/1p1nP3/3pNP2/3P1N1P/PP1Q1RPK/4R3 b - -,d5e3
r2b3k/1p3p2/8/Pb1p1q2/3PpPpN/P1R1P1Pr/5Q1P/2R2NK1 b - -,d8h4
r6r/p4kp1/2p2b2/R7/8/BPP5/P1KP2p1/RN6 w - -,a3c5
8/2p4p/1pp3P1/2qb3B/4p3/1P2P3/PK3k2/Q7 b - -,h7g6
2r3k1/2r2p1p/3p2p1/2qPn1Q1/P1b1PN2/2p4P/2B3P1/2R1R2K b - -,g8h8
1q3rk1/r4ppp/2npb2b/p2N3Q/1pP1PP2/1P6/P1N3BP/R4R1K b - -,f7f5
6k1/1bq2p1p/p2pp1pb/7n/PPN1P3/5P1P/B3N1P1/1Q5K w - -,b4b5
r6r/2R5/Pp1p1p1k/3P1Pp1/8/pR4P1/P7/6K1 b - -,g5g4
7k/8/pr2r2p/2R1pBp1/1n1p4/3P2P1/4RP1P/6K1 b - -,b6c6
r5k1/1ppb1q2/n2p1npb/1N1Pp3/p1P1P2p/2N5/PP2B1PP/R2Q2BK b - -,h4h3
r2q1rk1/1b2bppp/p3pn2/1pn5/5B2/P1N1PN2/1PB2PPP/R2Q1RK1 b - -,c5e4
r1b2rk1/5ppp/pp2pn2/2q1p3/P3P3/3B1P2/1PP3PP/RN1Q1R1K b - -,c8b7
2R5/4r1pk/3N1p1p/4pK1P/6P1/4B3/5P2/3r4 w - -,d6e4
7R/8/6k1/7p/1r6/6KP/6P1/8 w - -,h8g8
r2q1rk1/pp3pbp/4b1p1/2p1p3/P1N1P3/2PBP1P1/1PQ4P/R3K2R b KQ -,d8g5
2rq1rk1/1n1pbppp/ppb1pn2/8/1PP2B2/P1N2NP1/4PPBP/R2Q1RK1 w - -,a1c1
rr4k1/2nnpp1p/Q2p2p1/2pP4/P3P3/1R3NP1/1R1B1PKP/8 b - -,c7a6
2R3B1/3K2p1/3r4/4k3/8/2p5/8/8 w - -,d7e7
r1b1k2r/pp1nppb1/3p1np1/q6p/3BP3/2N3PP/PPPQNPB1/R3K2R b KQkq -,d7b6
8/8/3k4/8/3BK3/2R5/8/1r6 w - -,d4e5
6R1/8/8/8/8/8/4K1p1/5rk1 b - -,f1f6
2r2rk1/1pq1ppbp/pnbp2p1/8/P3PP2/1PN1BB2/R1PQ1RPP/6K1 b - -,e7e6
5rk1/3n1pp1/1p2q2p/p2pP3/3NR3/6P1/4PPKP/Q7 b - -,e6g6
r5k1/1p2bppp/p1np2q1/4p3/P1P1P3/1P4P1/1B2QPKP/R2R4 b - -,h7h5
r5k1/2p1R2b/p7/4P3/2p1P3/2N5/PP3rP1/2K4R b - -,h7g6
1n1k3r/np1bbp2/1q2p2p/rP1pP1pQ/3P1P2/2NBB2P/2N3P1/1R3RK1 w - -,f4g5
8/7p/4k3/1n6/p1NP2P1/4K2P/8/8 w - -,d4d5
r2r1bk1/ppq2pp1/4p3/1P5Q/8/2B4P/PP3PP1/R2R2K1 w - -,h5e5
2rr1bk1/1bq2p2/p2pnnpp/R3p3/1P2P1P1/2P1B1NP/Q3NPB1/3R2K1 w - -,b4b5
5rk1/qp1r1pbp/2p1p1p1/p7/3P1P2/1BP4P/PP3QP1/3R1RK1 w - -,a2a3
r1bq1rk1/ppp2ppp/2n1pn2/3p4/1bPP4/2NBPN2/PP3PPP/R1BQ1RK1 b - -,d5c4
6k1/5pb1/3p2p1/8/1pbnPNP1/4B2P/5QBK/3q4 b - -,g7e5
1r1r1nk1/1p2qppp/4pn2/pPp5/P1P2Q2/2NR2P1/4PPBP/3R2K1 b - -,f8g6
r1b2r1k/2q2nbp/1p3pp1/pBp1p3/P1Q1P3/2P1BN2/1P3PPP/R2R2K1 w - -,d1d2
r3k2r/1b1nq1pp/p1n1p3/1p1pP3/1P6/P1NB1N2/2P2QPP/R4RK1 b kq -,d7e5
4rrk1/1p1b2pp/pqnbpn2/3p4/1P1P4/P1NB1N2/5PPP/R1BQR1K1 w - -,c1g5
2k5/ppp2npp/8/4p1b1/1PP1P3/P4P2/3R3P/2K5 w - -,c1c2
r5k1/pp1q1rb1/4p2p/3p1bp1/3P4/BP3PP1/P2Q2BP/R3R1K1 b - -,g8h7
r1bqk2r/pp2ppbp/2n3p1/3p4/3P4/2NBPNP1/PP3PP1/R2QK2R b KQkq -,e8g8
r1b1r3/pp1nqpbk/2pp1npp/4p3/2PPP3/2N1BNPP/PP1Q1PB1/3R1RK1 w - -,f1e1
8/3n1p1k/R3b1pp/R3p3/8/2rB4/2P3PP/6K1 b - -,e5e4
8/8/4kp2/3r3p/8/4K1P1/3R4/8 b - -,d5d2
