8/6k1/1N6/8/3R2pP/2p1P1P1/5K2/2r5 w - -,d4g4
r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/2PB1N1P/PP3PP1/RNBQK2R b KQkq -,g4h5
1k1r1r2/pp3pp1/1qpbp1p1/3n4/Q1NP1P1P/1P1BP1P1/P1R1K3/R7 b - -,b6b4
4r1k1/p4pp1/4q2p/2p1P3/2P1R3/5Q2/r5PP/5R1K w - -,h2h3
r4rk1/2p2pp1/6p1/p2pPqN1/1pnP4/2P3QP/P3RPP1/R5K1 b - -,f7f6
4r1k1/p4pp1/7p/2Rp3q/4r1n1/3Q1NP1/PP3PP1/2R3K1 b - -,h5h1
r2q2kr/1bp3pp/p1nbp3/1p2p3/4N3/2P5/PP3PPP/RNBQR1K1 b - -,d8f8
5r1k/6p1/7p/p2pR3/q4p2/2P2Q2/6PP/7K w - -,h2h3
r1bq1rk1/pp1pbppp/2n2n2/2p1p1B1/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 b - -,d7d6
3Q4/p2Rp3/kp4b1/8/8/8/PPP2qPP/1K6 w - -,d8c8
2N5/8/2p3bp/2k5/6p1/6P1/3K3P/8 b - -,c5d4
2rq1rk1/p3nppp/8/1BpP4/6PP/8/PPPQ4/1K1R3R b - -,c8b8
r1b2rk1/3n1ppp/p2p4/2qNpPP1/1p2P3/3B1Q2/PPP4P/R4R1K b - -,c8b7
4r1k1/1b1n2b1/p3p1pp/npp3P1/1PPpP2B/P2P1NN1/6B1/2R3K1 b - -,c5b4
4r2k/pp2r1bp/2pR2n1/2P1p2q/1PQ1Pp2/PN3P2/1B2KP2/3R4 b - -,g6f8
r3r1k1/pp3ppp/2p2nq1/3p4/3PPR2/2NQP3/PP4PP/5RK1 b - -,e8e7
r3k2r/1bqnbpp1/pp1ppn2/7p/P3PP2/1NNBB3/1PP1Q1PP/4RR1K b kq -,g7g6
2rn1k2/1pr2p2/pR2p1p1/2P4p/B2P3P/2PKP3/6P1/R7 b - -,c7e7
r1b3k1/ppr1q1p1/2p1pn1p/Q3Np2/2PP1P2/6P1/PP4BP/2R2RK1 b - -,b7b6
r1b5/p3k1p1/2p1p1Q1/Pp2q1P1/1P6/1nnp1P2/2K2P2/7R w - -,c2b3
rnb1kb1r/2q2ppp/3p1n2/2pP4/1pN2B2/5P1N/PP4PP/R2QKB1R b KQkq -,f8e7
r2qkb1r/1b1n1p2/p2ppnp1/1p4p1/3NP2P/2N1BP2/PPPQ4/R3KBR1 w Qkq -,h4g5
r1b1kb1r/ppqn1ppp/3p1n2/2pPp3/2P1P1P1/2N5/PPQNBP1P/R1B1K2R b KQkq g3,f8e7
r2q2kr/p5pp/2pbb3/8/5n2/8/PPPP1PPP/RNB1KQ1R b KQ -,e6d5
8/8/8/1k6/p1b5/3rK3/2p5/2B4R w - -,e3e4
r1bq1rk1/3p1pbp/ppn1p1p1/2p5/P1BnPP2/2PPBN2/1P2N1PP/R2Q1RK1 b - -,d4f3
8/pp3ppp/2p1k3/2P5/8/8/PK4BP/8 w - -,b2c3
r6k/ppp4p/3pB2B/3Pp3/1PP2p1b/7P/PKQ2n2/6r1 w - -,c2a4
8/7p/pR6/2p2p2/r4P2/2k1P2P/4K3/8 w - -,b6f6
5k2/4b2R/4Bp2/2p5/4P3/1PK5/6rP/8 b - -,e7d6
2rqk1nr/1p3ppp/p1npb3/3Np1b1/2P1P3/N3B3/PP3PPP/R2QKB1R w KQk -,e3b6
5k2/3R4/4K3/7P/4r1P1/4N1n1/8/8 w - -,e6f6
8/5r2/8/8/8/R5k1/6p1/6K1 b - -,f7f3
6k1/6p1/2p1p3/1pP1P2p/pPqrQ2P/P4PP1/5K2/4R3 w - -,e4c6
r2qr1k1/1p2bppp/p1p1p1n1/8/2PPQB2/P2R1N2/1P3PPP/R5K1 w - -,f4g3
3bb1k1/5pp1/2p1n2p/1p1p1N1P/3P1P2/2PB2P1/1P1B2K1/8 b - f3,d8c7
q1rb4/p4rkp/1pbpnp2/3Np1pP/1PP1P1P1/P1R1BPK1/B2Q4/2R5 b - -,f7d7
2r2r2/pp3pk1/1n2bnpp/8/1P1NPP2/P2P1R1P/4N1B1/5R1K w - -,f3g3
r3r1k1/1pqb1pbp/p2p1np1/2pP4/P4B2/2N3PP/1P1QPPB1/R3R1K1 w - -,a4a5
8/6kp/p1n1Rpp1/1p6/5P2/1n5P/P5PK/2Q5 b - -,b3c1
rn1q1rk1/pp2ppb1/3p1n1p/2pP1bp1/2P5/2N1P1B1/PP1NBPPP/R2QK2R w KQ c6,h2h4
r1b2rk1/1p1n1p1p/p2p1np1/2pPq1B1/1b2P1P1/2N2PN1/PP1QB2P/R4R1K b - -,e5d4
rnbq1rk1/4ppbp/p4np1/1p1p4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - -,c1d2
r2q1rk1/5p1p/2np1bp1/p2Np3/1pP1P2P/6Pb/PPN2P2/R2QK2R w KQ -,h1h3
3r1rk1/4q1pp/4bp2/p2pp3/P2n4/3P2P1/3NPPBP/R2QR1K1 w - -,e2e3
r1bqk2r/2p1npbp/p1n3p1/1p1P4/3P4/5N2/PPB2PPP/RNBQ1RK1 b kq -,c6b4:e7d5
1r3rk1/p3ppbp/3pb1p1/q7/2P1N3/1P4P1/P1Q2PBP/R1B2RK1 b - -,g7a1
r1b1r1k1/pp2qp2/2n2n1p/6p1/1bP5/2N1QNB1/PP2BPPP/2R2RK1 b - -,b4c3
8/4p3/4P3/p1pP1k2/PpP3p1/1P4R1/4NK2/3q4 w - -,g3e3
r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq -,f1g2
4rnk1/2pqrppn/bp1p3p/p2P1B2/2PB1PP1/2P4P/P1QN4/1R3RK1 b - -,d7d8
8/7p/2n1k1p1/1p3p2/5P2/1PB2K2/6PP/8 w - -,f3g3
2r1r1k1/pbp2qpp/1p2pp2/5P2/1b1PP3/1P1B4/PB2Q1PP/3R1RK1 b - -,g8h8
2r3k1/1b3ppp/p3p3/8/2N3r1/1P6/8/RB2R2K w - -,h1h2
r5k1/2bq4/1pp1p1pp/p4r2/3P4/2Q5/PP3PPP/1B1R1RK1 b - -,f5f6
4rrk1/1b2bp1p/p1n3p1/P1p1P3/1pNpN2q/1P1P4/R1P3BP/Q4RK1 b - -,b7a8
6k1/5pb1/pp4p1/3q2B1/P1Nr2Pp/7P/1P2QP2/R5K1 w - -,c4d2
r5k1/p3pp1p/6p1/qp4b1/6b1/2PB4/1PK3PP/1Q3R1R b - -,b5b4
2r5/k7/1q1p4/4p3/1P2Bp2/1KPQ4/8/8 w - -,d3d5
1rbq4/6kp/pp1P1np1/2p1Q1N1/P1Bn4/2N5/1P4PP/R6K w - -,a1f1
4r1k1/1q2r1b1/p4pp1/1p2n2p/4Q2P/1P3P2/P4BP1/2RR1B1K b - -,b7e4
rn1q1rk1/1b2bppp/p3pn2/1p6/3P4/2NB1N2/PP2QPPP/R1B2RK1 w - -,f1d1
1k6/1b1r4/p1p2p1R/1p2p3/4P3/5P2/PPP5/2KN4 b - -,d7f7
r7/1R1K1pk1/2NR2p1/4P3/8/8/8/2r5 b - -,c1e1
8/2R3pk/8/r7/2nB1K2/p2p4/8/8 b - -,d3d2
2k2N2/p4Ppr/7p/1b1r4/1p6/4p3/PPP4P/1NK3R1 b - -,d5f5
1rb1q1k1/1p2n1bp/p1n1p2r/P1p2p2/2NpPP2/3P2N1/1PP3BP/R1BQ1RK1 w - -,f1e1
r6r/1pkn2b1/2p4p/p3pb2/P3N2B/5B2/1PP2P1P/2KRR3 b - -,f5e4
r3r1k1/p4ppp/1p6/8/8/2q1P3/P2R1PRP/3Q1K2 w - -,d2d4
8/2k5/Ppn1p3/4Pp2/3N1P2/5KP1/8/8 w - -,d4e6
4qrk1/1B2bppp/1B2b3/4Q3/2p1P3/r4P2/P5PP/1R1R2K1 w - -,f3f4
3r4/p4kb1/4p2p/2pn4/1P3P1R/8/1PB2P1P/1K1R4 b - -,d8b8
r1b2rk1/pp4pp/1qnbpn2/3p4/3P4/2BB1N2/PP2NPPP/2RQ1RK1 b - -,c8d7
r1bq1rk1/1pp3pp/pbnp1n2/4pp2/1PP5/P1NP1NP1/3BPPBP/R2Q1RK1 w - -,d1b3
5rk1/2p1qppp/p1pnp3/PrN5/2pP4/4P1P1/1PQ2P1P/R2R2K1 w - -,c5a6
4r1k1/pp4bp/4bpp1/2pNq3/2P1P3/1P3B2/P3Q2P/5RK1 w - -,g1h1
r4rk1/pppq1pbp/2n2np1/3Pp3/2P1P3/2N3P1/PP4KP/R1BQNR2 b - -,c6d4
1n3nk1/6bp/rBp5/3p1R2/P7/1P5P/6P1/2R3K1 w - -,b6f2
r1b1rbk1/5pp1/p3n3/1pp1p3/4P2N/1PP1BPNP/1P6/3RK2R b K -,e6f4
r4rk1/pp1bppbp/2np1np1/q7/2P5/1P4P1/PBN1PPBP/RN1Q1RK1 w - -,e2e4
r3k2r/pb1qbppp/5n2/3pp3/Q7/2N3P1/PP2PPBP/R1B2RK1 w kq -,a4d7
r1bq1rk1/1pp3b1/p2p1n1p/3Pp1p1/1PP1Pp1n/2N4P/P2BBPPN/2RQ1RK1 w - -,c4c5
r1r3k1/1pq2pp1/4b2p/P2pPp2/3N1P2/PQ6/2P3PP/RR4K1 b - -,c7a5
r4rk1/ppq2pp1/2p2n1p/3n4/PP6/2N5/3B1PPP/1R1QR1K1 b - b3,a8d8
1b3r1k/1p4pp/p1n5/3pp3/3P4/4Q1Pq/PP4B1/3RR1K1 b - -,h3d7
8/r5p1/2nk3p/p6P/4RK2/1B6/2P4P/8 w - -,h2h3
2r2r1k/pb1Q2pp/1pn2bq1/8/8/2P1BN2/PP2BPPP/2KR3R w - -,e2d3
r3kn2/1pbq1p2/2p5/2Pp1Qp1/1P1P2Pr/P3P3/5R2/RNB3K1 w q -,f2g2
r1qr2k1/pp2bppp/1np1p1b1/8/2BPPB2/1QP2N1P/P4PP1/R3R1K1 w - -,c4f1
8/7p/2R5/Pr1p1kp1/3K1p2/2B2P2/7P/8 w - -,c6c5
8/8/4p3/P3P1k1/3K2p1/R5P1/8/3r4 w - -,d4c5
5rk1/5Rpp/8/p2Bp3/P7/2b3PP/6K1/3R4 b - -,f8f7
r5k1/5ppp/p1RB2n1/1p4P1/1P6/P3P3/4KP1P/8 b - -,f7f6
rq1r2k1/3n1ppp/2p3b1/p7/PpB1P2P/1N3Pb1/1P3BP1/2RQK2R b K -,d7f6
8/8/1R2Pk2/5P2/6P1/1p2r3/6K1/8 b - -,e3c3
8/8/1N6/6pr/3k4/8/3K4/8 w - -,d2e2
1k1rr3/pp4p1/1np2nQ1/2N5/P2q4/7P/1P3PB1/R1R3K1 b - -,b6d5
2r1nk2/1p1b1p1p/p3p1p1/3pP3/8/P1PBPN2/3K1PPP/2R5 b - -,e8c7
3n1rk1/5ppp/5r2/2qP4/1p1p1R2/1B6/1PP2QPP/5R1K b - -,f6f4
r2b3r/kp4pp/1qp2n2/1B1pQ3/P2P4/8/1PPB1PPP/R3R1K1 w - -,d2b4
r1b1k2r/pp1nppbp/6p1/q1PP4/5B2/2P1PN2/3Q1PPP/2R1KB1R w Kkq -,c3c4
8/R4pkp/1p4p1/3pPp2/1P2bP1r/2P1K3/4N3/8 b - -,h4h3
1r1q1rk1/1p1b2b1/3pn2p/2pNppp1/1PP5/3PP1P1/5PBP/1RBQR1K1 w - -,b4b5
8/p1r2p1k/4p2p/1p3p1P/3q4/1P3Nn1/P4PP1/4R1K1 w - -,f3d4
1k2rrq1/ppp5/3p1p2/1P2nQpp/2Pp4/3P2PP/PNK3B1/4RR2 b - -,g5g4
8/p7/2pk4/6K1/3b4/1B5P/8/8 b - -,d6c5
1Q2nk2/pp2qp2/5r2/3p1N1P/3P4/1P6/P4R2/2r2BK1 b - -,e7c7
1r3r2/3qn1kp/4bpp1/p1p1p3/Pp1nP3/1P1PN1P1/2PQNRBP/5RK1 b - -,b8d8
8/3r4/p4k2/2p1p1pp/P1K1Pp2/1PB2P1P/2P3RN/3r4 b - -,d7c7
r1bq1rk1/pp3ppp/2pp4/2b1pP2/2PnP3/2NP2PP/PP4BK/R1BQ1R2 b - -,f7f6
r1bqkb1r/p2p1ppp/2p1pn2/8/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq -,d7d5
3r2r1/pbk2p1p/1pp1p3/4R3/2PP2p1/1P3B1P/P1K2P2/3R4 w - -,h3g4
4r1k1/1p4pp/3p4/3P4/1R2p1B1/6P1/1n3P1P/6K1 b - -,b2d3
6r1/ppb2p1k/2p4p/2P4q/PP2PRp1/3P4/3Q1P1P/5RNK w - -,d3d4
2r4r/ppNk1ppp/3p1b2/7n/2Q1P1q1/P3B3/1PP2PPP/R3K2R w KQ -,c4f7
r3nrk1/p3qpp1/1p2b2p/2ppP3/8/2NBP3/PP2QPPP/R4RK1 w - -,f2f4
r4rk1/pp2qppp/2b1p3/2npP3/3N1PP1/2N1Q2P/PPP5/2KR3R b - -,a7a6
8/p4k1p/1pR3p1/1n2p3/3p2P1/1P2bP2/P3BK1P/8 w - -,f2f1
r2qk2r/1p2nppp/p1npb3/4p3/2P5/N1N1PB2/PP3PPP/R2QK2R b KQkq -,f7f5
rn1q1rk1/1b2bppp/p3pn2/1p2N3/3P4/1BN1B3/PP3PPP/R2Q1RK1 b - -,b8c6
3q1rk1/r3bpp1/p3p1p1/1pP5/1Pp5/2Q1PPB1/P5PP/2R2RK1 b - b3,a7d7
r3rbk1/1pQ2np1/7p/pq2pp2/2N5/P3BPP1/1P2P1KP/2R1R3 w - -,c7b6
r5k1/1p4b1/p2p4/2pP1r1n/P4P1q/5Q1P/1P2N1B1/R3R1K1 w - -,f3g4
r5k1/1p3pb1/2nN2p1/6n1/p1P1PNqp/4R1P1/PP3BbK/1Q1R4 w - -,h2g2
5rk1/rp1n1pnp/p1ppq1p1/P3p3/1PP1P3/2PQN1PP/3N1PK1/3RR3 b - -,d7f6
8/8/3p4/4p3/1Qpk4/2r5/5K2/8 b - -,d4d5
8/2pk4/5p1p/P2P1K1P/2B1PP2/1p6/3b4/8 w - -,a5a6
8/p1r5/R1p5/2P1k2p/PP1p1p2/2R2K2/5PP1/8 b - -,d4c3
8/1B3k2/8/P6n/1n1P4/5K1P/5P2/8 b - -,b4c2
8/p7/2P1p3/4P3/P5pk/7p/3R1Q1K/4q3 b - -,e1f2
6k1/5pb1/5npp/4p3/3p4/3P1BP1/4PP1P/2N3K1 b - -,g7f8
rq3rk1/p2n1ppp/1p6/8/2p1NP2/3nP3/PPBRQP1P/R5K1 w - -,c2d3
r2q1rk1/3b1pbp/3p1np1/2nPp2P/1p2P3/1P2B1N1/3QBPP1/1R1NK2R b K -,c5e4
rnbqr1k1/pp2ppbp/2p2npB/3p4/3P4/5NP1/PPP1PPBP/RNQ2RK1 b - -,b8d7
rn2nrk1/p2bq1bp/3p2p1/2pPpP2/PpP5/1P4PB/1BQNNP1P/R3K2R b KQ -,d7f5
1r2bk2/8/2p2r1p/1p2RB2/pP3KP1/P6P/8/3R4 w - -,h3h4
5rk1/ppp1q1b1/3p1Rp1/3P2p1/2P1p1P1/1P2P2P/P3Q2B/4R1K1 b - -,f8f6
1r3rk1/ppp2pb1/2nq2pp/4p3/4P1b1/2PP1NP1/P1Q2PBP/1RBR2K1 w - -,h2h3
2rrb1k1/1pq1bp2/p1n1p1p1/4P3/4QB2/2PB1N2/P4PP1/2R1R1K1 b - -,d8d5
4r1k1/p2p2p1/1p1P1p2/2pQb2p/6q1/P3PRP1/4P2P/3R2K1 b - -,g8h8
8/6p1/7p/7P/5PK1/1r4P1/2Rb2k1/8 b - -,b3d3
r2q1rk1/1b1nbppp/pp2pn2/3p2B1/P1PP4/1P1B1N2/3N1PPP/R2QR1K1 b - -,a6a5
2r1k2r/pp3pp1/1q2pn1p/2b1N2P/8/8/PPPBQPP1/1K1R3R w k -,d2c3
6r1/pp3k2/3b4/2pN3p/2P1r1b1/1P2BP2/P6K/4R1R1 w - -,h2g2
1rbq1rk1/4ppbp/p1n2np1/1p1p4/1P1P4/P1N1PN2/3BBPPP/R2Q1RK1 w - -,d1b3
8/p2r3p/4kpp1/1b6/3B4/1P3P2/P2R1KPP/8 b - -,e6f7
2rk1r2/1p1bq1p1/p1n1pn1p/3p4/1P5Q/P1P2N2/2BN1PPP/3RR1K1 w - -,c3c4
4r1kb/1br2p1p/1q1p2pP/ppnPp1B1/4Pn2/1BP2N2/1P1QNPP1/3RR1K1 w - -,b3c2
r1bqk1nr/1ppn1p1p/p2pp1p1/5P2/3PP1Q1/2NB2P1/PPP4P/R1B1K2R b KQkq -,d7f6
1rrq2k1/p3bppp/4pn2/3p4/NPb5/P1B1P1P1/5PBP/R2QR1K1 w - -,a4b2
r3q2k/1pp3pp/5pb1/pP6/n5P1/3P1Q1P/1B1N1P2/R5K1 w - -,a1a4
r1bq1rk1/ppp1bppp/1n4n1/8/3P1N2/2N1P1P1/PP4BP/R1BQ1RK1 w - -,e3e4:f4g6:a2a4
1r1q1rk1/R1n3p1/1p1b3p/1PpNpp2/2Pn4/4B1PP/Q3PP1K/R4N2 w - -,e3d4
r2q1rk1/pb4p1/3b3p/2p2p2/3BP3/2N2B2/PPP2PPP/R2Q1RK1 b - -,c5d4
1rr3k1/p4ppp/2p1bn2/1p2q3/7Q/2N3PP/PP1RPPB1/5RK1 b - -,b5b4
5rk1/2p4p/Q4p2/5Pp1/4Pq2/P2r4/1PPN1B2/4K3 w - -,c2d3
rnbqkb1r/pp3p1p/3p1np1/2pP4/8/5NP1/PP2PP1P/RNBQKB1R w KQkq -,b1c3
rnb1kb1r/1pp1pppp/p2q1n2/8/8/2NPBN2/PPP2PPP/R2QKB1R b KQkq -,g7g6
r1q5/pb4k1/1p2p2r/5p1p/4nN2/1B6/PP1Q1PPP/3R1RK1 w - -,d2d4
2r5/1p1qkr2/p2b2p1/3Pp1Pp/4P3/3QBP2/1P3RK1/5R2 w - -,f2c2
5rk1/1p4p1/2p5/p1Pp2nq/3P1b2/PP3r1P/3Q4/2BB1R1K w - -,f1f3
1r4n1/2q3bk/pp2r1pp/2pbNp2/P1P2P2/2BPR3/1P2Q2P/4R1K1 w - -,c4d5
3r2k1/p7/1p1p3p/4Bp1p/2N1p3/6PB/P3rP2/3R2K1 w - -,c4d6
r1b2rk1/ppp1qpbp/2n3p1/4p2n/2B1P3/2P2N1P/PP2QPP1/RNBR2K1 w - -,c1g5
3r4/pbp1r1k1/3q2p1/pPR1pp1p/7P/3P1N2/P3QPP1/2R3K1 b - -,b7d5
r1bqk2r/ppb3pp/2p2n2/2Ppnp2/8/1P2PNP1/P2N1PBP/R1BQK2R w KQkq -,e1g1
r2qk2r/3bppbp/p2p2pB/3Pn3/1p1N2P1/5P2/PPPQ3P/1K1R1B1R b kq -,g7h6
8/5pp1/p4P2/3kp3/R5Pr/7p/7P/7K b - -,g7f6
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq d3,g7g6:b8c6:c8g4:e7e6:b8d7
N2k3r/1b1n1pp1/p6p/8/1b2q3/8/RPPQBBPP/4K2R w K -,c2c3
8/6pk/7p/8/p3q2P/5RPK/1P3R2/8 b - -,e4e6
R7/P4pk1/8/4P2K/5P2/8/8/7r w - -,h5g4
5rk1/5qb1/3p4/3Pp1pp/2B1PnP1/1P2Q3/3K1B1P/3N4 w - h6,e3g3
6k1/2b2ppp/p3p3/1p2P3/5P2/4B3/PP3KPP/8 b - -,g8f8
rq1br1k1/1b1n1pp1/5n1p/pN1p4/P3P3/1NB4P/1P2Q1P1/1B1R1R1K w - -,e2f2
1r2qr1k/3n3p/p2p1n2/2pPpPN1/P1P4P/2BQ1P2/5K2/6RR b - -,e8h5
r1r3k1/4qpb1/1p1p1npp/pNpPp3/P1P1P3/5NP1/1PQ2P1P/R3R1K1 w - -,f3h4
3k4/8/5PR1/2PBp3/1p2P3/pP2nr2/P2K4/8 b - -,e3d5
2rr1bk1/1q3pp1/p3pn1p/1p2N3/2pP4/2P1N1P1/PP2QPP1/3RR1K1 b - -,g7g6:b7e4:f6d7
r2q1rk1/pp3ppp/2p1bn2/4b3/Q1P5/2N1PB2/P4PPP/R1B2RK1 w - -,f1d1
8/8/2B3p1/4k2p/1Pp4b/8/3K4/8 w - -,d2c3
4rrk1/ppp2ppp/2nq1n2/3p4/3P1Nb1/2PB2QP/PP3PP1/RN3RK1 b - -,g4d7
2b3k1/1q2br1p/2pppp2/7N/1PPP3Q/2B5/5PPP/R5K1 b - -,e6e5
8/5p2/p3p1k1/1p4p1/8/P1P2b1P/1P3QPK/1q6 w - -,g2f3
r1bqk2r/pp2bp1p/2np1p2/1N2p3/4P3/8/PPPN1PPP/R2QKB1R b KQkq -,a7a6
2r3k1/1p2ppb1/p1n4p/3pPqp1/3P4/BP3N1P/P1Q2PP1/2R3K1 b - -,f5c2
8/4k3/5p2/2N2K2/1r1P2P1/5P2/8/8 w - -,c5e4
6k1/1p3pp1/p6p/3p4/3P4/1qP4P/5PP1/4Q1K1 w - -,e1e8
r1b2rk1/pp3ppp/1qn1p3/8/3PP3/5N2/P2QBPPP/2R2RK1 b - -,f8d8
r2qkb1r/4pppp/p4n2/n2p4/Pp1P4/3QPN2/1P3PPP/RNB1K2R b KQkq -,e7e6
2k3rr/1q1nbp2/pp2p2p/2p4P/2Pp1B2/3P1pP1/PPNQ1P2/1R2R1K1 b - -,e6e5
r1r5/8/1p1p2k1/p2P4/n1P1p2b/B7/1P2RP2/R5K1 w - -,e2e4
2r3k1/3p3p/p3p2r/2n1Ppp1/3N4/2Pb2P1/1PB2R1P/R5K1 b - -,d3c2
r3k2r/1p2ppbp/1pn2np1/3p1B2/3P1B2/2P4P/PP2NPP1/RN3RK1 b kq -,g6f5
r2qk2r/2p1bppp/p1np1n2/4p3/Pp2P1b1/1BP2N2/1P1P1PPP/RNBQR1K1 w kq -,d2d4
4q3/kp6/p1p5/7p/1R6/2P2B2/PP4PK/5R2 w - -,b4e4
1r3rk1/1pb3pp/p3pn2/P1q1p3/1RNpP3/3P2P1/2P1QPBP/1R4K1 w - -,b4b7
r2qk2r/1bpn1pbp/p2ppnp1/8/1p1PP2P/1B2BQ2/PPP1NPP1/1N1RK2R b Kkq -,f6e4
3rk2r/p2bbppp/1q2p3/2p3B1/2P1N3/3Q4/PP3PPP/R4RK1 w k -,g5e7
r4rk1/p3q2p/1pp1pnpQ/4B3/2PP2P1/4R2P/P4P2/5RK1 w - -,f1e1
2B5/5p1n/P7/4kP1p/8/3R3P/1K6/r7 b - -,a1a4
8/pp1kn1p1/2B2p2/4bp2/2P5/2B3PP/PP1N1P2/6K1 b - -,d7c6
2r1k2r/ppq1b2p/2n1Qp1B/8/1P3N2/2P2P2/P5PP/5RK1 w - -,f4d5
r1bqk2r/pp2bppp/2p1pn2/3n4/3P1B2/1BN2N2/PPP1QPPP/R4RK1 w kq -,f4d2
3r3k/p4p1p/1pn2Pr1/2p1pqP1/2P1N3/P2PP1R1/2Q5/4K2R w - -,g3h3
8/1q1rppkp/5np1/3pQ3/8/2N2P1P/4R1PK/8 w - -,g2g4
5rk1/1n2rppp/1qNnp3/8/1P6/6P1/1B2QPKP/R1R5 b - -,e7e8
8/2K3k1/p1nR1r2/8/Pp6/1P6/8/8 b - -,c6a5
rn2k2r/1p1b1ppp/p3p3/3q4/3N2P1/2Q4P/PPP2P2/R3KBR1 b Qkq -,d5e5
r2q1rk1/p2nbppp/1pn5/2p1p3/P1NpP1b1/3P1NP1/1PPB1PBP/R1Q1R1K1 w - -,f3g5
rn1q1rk1/pp3pbp/2ppbnp1/4p3/1PP5/2NP1NP1/P1Q1PPBP/R1B2RK1 b - b3,b8d7
r2r2k1/1p2qppp/2p2n2/p2pN3/1b1P4/1P1QP1n1/P4PPP/RR2B1K1 w - -,h2g3
6k1/5pp1/4bn1p/4q3/1P1p2P1/Q2P3P/2K2R2/8 b - b3,f6d5
8/5k2/1pr3p1/p1p1RPP1/P1P5/1P6/4K3/8 w - -,f5f6
r1bq1rk1/pp2bp1p/4pn2/3p1p2/3P4/2NBPN1P/PPQ2PP1/R3K2R w KQ -,g2g4
r2qk2r/ppp2pbp/2np2p1/8/3NP1b1/2N1B3/PPPQ1PPP/2KR3R w kq -,f2f3
2r2rk1/4bppb/2p1p2p/p1nqP3/3N4/4B3/PP2BPPP/2RQ1RK1 w - -,e2f3
rnb2r2/p1p1n1bk/1P3q2/4p2p/4Ppp1/NN3P2/PP2BBPP/R1QR2K1 b - -,c7b6
8/8/5p1k/1r1N4/4K2p/8/6R1/8 w - -,d5f6
1r3rk1/3nbppp/bqn1p3/pp1pP2P/3P1B2/5NP1/PP3PB1/R2QRNK1 b - -,f8c8
1r2r1k1/p1q2pp1/3p3p/3P4/b1PpRP1b/3P4/P2Q2BP/R1B3K1 b - -,f7f5
2b2k2/1p3pp1/1pp4p/3r4/8/1P1B1P2/1PP1K1PP/7R w - -,b3b4
5rk1/1p5p/pN1p2p1/P1pPb2n/4P2q/5P1P/1P2QPKB/6R1 b - -,h5f4
8/2p2kr1/1p1n2r1/p1pP1p2/P1P1pPp1/1P2N2P/5KR1/6R1 w - -,h3g4
r1bq1rk1/pp3ppp/1n2p3/3nN3/3Q4/2N1P3/PP2BPPP/R4RK1 b - -,f7f6
rnb2rk1/ppq2ppp/5n2/4p3/4P2N/P1pB4/5PPP/R1BQ1RK1 b - -,c8e6
1r4k1/p4pbp/P3p1p1/n2nP3/N1r3P1/2P2N1P/2BB1P2/4R1K1 w - -,f3d4
