8/5pkp/6p1/4P3/r7/p3K1PP/R7/8 b - -,g7f8
2r1qr1k/pp1b2pp/1b2p3/5pB1/2BPP2P/8/P3QPP1/2R2RK1 w - -,e4f5
r2q1bk1/1p6/2b1r2p/5p2/2p1P1p1/P2p1PP1/1P1N3P/R1BQR1K1 w - -,e4f5
5rk1/3r2pp/1qp5/p3p3/Pp1bQ3/7P/1PP2PP1/R1N2RK1 b - -,f8f2
8/1r6/8/2n1p1k1/6N1/8/8/4R1K1 b - -,g5g4
r1b2rk1/p1qn1ppp/1p2pn2/8/2BP4/2P2N2/P2BQPPP/R4RK1 w - -,c4d3
1rq1r1k1/1ppb1pb1/p1np1np1/7p/P3PN2/2N1B1PP/1PP2PBK/R1Q2R2 b - -,c6e5
r5k1/2q2pb1/4p1p1/6Q1/pp5r/3B1P2/PPP4P/1K4R1 w - -,g5h4
r2qrbk1/pp1n1pp1/2p4p/3p1Q2/3P1B1P/2N2P2/PPP3P1/1K1R3R b - -,e8e6
r1nq1r1k/p1p3b1/1p1p1np1/3Pp2p/PPP1Pp2/B1N5/3NQPPP/R4RK1 w - -,c4c5
6k1/5pbp/6p1/1p6/1qnp4/3B1QPP/2P1NP2/6K1 w - -,f3a8
8/8/p1k5/2B1P3/1PK5/r7/8/8 b - -,a3a2
r2q1rk1/1b1nbpnp/1p2p1p1/pPp5/2PpPP2/3P2P1/PBQN2BP/R3NRK1 w - -,e1f3
r4r2/1bpq1pk1/pp2pbp1/3nP2p/P2P3P/3B1NQ1/1P3PP1/2RR2K1 w - -,e5f6
r1b1kb1r/pp1n2pp/1qn1N3/2ppp2Q/3P4/2PB4/PP1N1PPP/R1B1K2R b KQkq -,e8e7
4r3/2n4p/p1k2p2/2PpbPpP/PP1Bp1P1/3bP3/1R3K2/4R3 b - -,e8b8
8/5k2/8/6K1/3B3P/6n1/8/8 b - -,g3e4
r1br1bk1/pp5p/2n2pp1/3Bp3/6n1/2NN2P1/PP2PP1P/R1B2RK1 b - -,g8g7
1B4k1/pp3pp1/2p1p2p/1r1b4/6P1/7P/PK3P1R/8 w - -,b2a1
8/5ppk/Q7/Pp5P/1P6/4KP2/2q5/8 b - -,c2c3
2rb4/3k2p1/4p3/P5pP/R1NP2P1/2P5/5K2/8 b - -,d8c7
3r4/8/p2P4/Pp2pk2/1Pp5/2P2K2/8/3R4 b - -,f5e6
4r1k1/p1q2p1p/2b1p1pP/1pp1P1b1/4PQ2/2Pr2P1/P4PB1/2R1R1K1 w - -,f4g5
8/1k6/3b4/1P1p1p2/p7/2K1BP2/P7/8 b - -,d6f8
8/3bk3/1p1n1p2/p1p3p1/P1P1p1P1/1PB1P1K1/4B1P1/8 w - -,e2d1
1r5k/2q3p1/3N1p2/p1PQpPp1/8/7P/P6r/K1R5 w - -,d5f3
r4rk1/p4p1p/5n2/3p4/5b2/5P2/PP1N2P1/1RB2RK1 w - -,d2b3
1r1qr3/p4p2/2Qp2pk/2p1bP2/1p6/3P3B/PPP2R1P/R6K b - -,d8h4
r3k2r/1p1q1ppp/p2bpn2/3p1b2/N2P4/1Q2P3/PP1BBPPP/2R1K2R b Kk -,a8c8
2r2r2/p5k1/2npq2p/4p1p1/3nP1P1/2NPQ2N/1P3R1P/R6K w - -,f2f5
rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq c6,g5f6:d4c5:d4d5:b1c3
3r2k1/p2q1rb1/B5bp/2Bpp1p1/1P6/P5P1/5P1P/2RQR1K1 b - -,d7f5
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1d3
r3r3/1p2q1kp/2bp1ppn/p7/4PP2/PPN3PP/1Q4B1/3R1RK1 b - -,h6f7
3Q4/5p2/p2p3k/2pP4/4qp1P/8/P7/1K6 w - -,b1c1
8/2kn1p1q/2p5/1pPpPpQp/1P1N4/1R5P/r4PK1/8 w - -,e5e6
1k1r3r/pp1bn2p/3qpp1b/PP1p4/3P4/2NBPN2/4Q1PP/R1R3K1 b - -,d7c8
rn1qk2r/ppp2ppp/4pn2/2bp4/5Pb1/1P3NP1/PBPPP1BP/RN1QK2R b KQkq -,b8d7
3rk2r/pb4pp/1p3p2/2b1p3/4P3/2B3P1/PP3P1P/R3RBK1 b k -,c5d4
1r3nk1/2r1npp1/p1qNp2p/P1p1P3/2P2PPP/3RB3/5Q2/3R2K1 b - g3,e7c8
r1bqkb1r/p2n1ppp/1p2pn2/3p4/3P4/2NQ1NP1/PP2PP1P/R1B1KB1R w KQkq -,f1g2
8/4r3/P2k4/R7/6p1/6P1/3p1P2/5K2 w - -,a5a1
2r2rk1/1p1qbppp/1n1pbn2/p3p3/P3P3/2N1NB2/1PPB1PPP/R2QR1K1 b - -,b6c4
2r1r1k1/5nqp/4n1p1/3Q1p2/P2P1P2/4P1NP/6P1/4RRK1 w - -,e1b1
r1b3k1/p4rpp/2p1p3/q2n2P1/2BP4/2p1P1N1/P1Q2P2/2R1K1R1 b - -,c8a6
8/2p2p2/4p1k1/3nP3/6P1/2r3P1/R2BK3/8 b - -,c3g3
8/6kp/4n3/p2BPp2/2R2p2/7q/P4R1P/5K2 w - -,f1g1
8/ppp5/3p1k1p/3P1b2/8/1P2rBP1/P2R2K1/8 w - -,d2d4
rn1qrbk1/pbp2ppp/1p1p1n2/3P4/4P3/P1N2N2/1PQ1BPPP/R1B2RK1 b - -,c7c5
r1b1k2r/pp1n2pp/1qn1pp2/3pP3/1b1P1P1P/4BN2/PP3KP1/R2Q1BNR b kq -,f6e5
rn2k2r/1p2bp1p/p4p2/q3pP2/3pN3/3Q4/PPP1BPPP/R3K2R w KQkq -,e1f1
r2q1rk1/pb2bppp/3ppn2/1N6/2P2B2/2N5/PP3PPP/R2QR1K1 b - -,f6e8
2r1r1k1/1p1bqp2/5npp/p2p3P/P2N2P1/1P1BPP2/7Q/3RR1K1 b - -,g6h5
r1b1kb1r/pp1n1p1p/2n1p3/3pP1NP/1q6/3B1N2/PP1B1PP1/R2QK2R b KQkq -,b4b2
8/4kn2/p3r3/2P4P/b7/6Q1/4p3/4K3 w - -,g3a3
2kr1b1r/pp3pp1/2p2np1/8/4Q3/6P1/PPPB1P1P/2KR1B1R b - -,f6e4
8/3k4/7p/3PB3/2P5/8/p2rp1K1/4R3 w - -,g2f2
3rr1k1/pbp2ppp/3R4/1n2P1P1/1P3P2/P1Q4B/5K1P/R1B5 b - -,b5c3
2r2rk1/3n2p1/4b2p/2q1ppb1/pp6/3B1PQP/PPPNN1P1/R2R3K b - -,d7f6
3rr1k1/pp1bqpp1/1n2pn1p/2b5/P2N1B2/1BP2N1P/1P2QPP1/R3R1K1 b - -,a7a5
r2qk2r/4ppbp/bn1p1np1/2pP4/8/2N2NP1/PP2PPBP/1RBQK2R w Kkq -,e1g1:b2b3
8/4k3/7p/8/b1K5/b2N4/2p1B3/8 w - -,c4c3
8/5k2/p2p1n1p/n1pP1p2/1qP1pP2/4P2P/PQ1NBK2/8 w - -,b2c2
8/8/1B4p1/7P/P1k5/2p5/1bK5/8 w - -,h5g6
r5k1/3b1pb1/pB2p1p1/P2n2r1/1pN1B3/6P1/1P3P2/R3R1K1 w - -,a1d1
r1br2k1/pp2bppp/2nqp3/3n4/3P4/2N1BNP1/PP3PBP/R2Q1RK1 b - -,d5c3
r3k2r/pp1n1n2/2p1p2q/3pPb1p/2P5/5NB1/PP2B1PP/R2QR1K1 b kq c3,f5e4
8/3bqp1p/k3p1pP/pp1pP3/5PP1/P1r5/1PP5/1K2QB2 w - -,e1c3
r2q1rk1/pp1n1ppp/2pb1n2/3pp3/4P1b1/1P1P1NP1/PBPN1PBP/R3QRK1 b - -,f8e8
1r3rk1/pbqnb2p/2p1ppp1/2PpP3/5P2/1N1BP1P1/PBQ2K1P/1RR5 w - -,b3d4
8/p5k1/2B3p1/1p3p2/2p1pq1p/2Pr4/PP3P2/4RK1N w - -,c6e4
8/5k2/7K/5bpp/1R5P/8/8/8 b - -,g5h4
r3q2k/pp1bb3/2p1p1r1/1PPp1p2/Q2P1Pp1/2N1P1p1/P4R1P/1R3BK1 w - -,h2g3
r4rk1/1ppnq1pp/3p1np1/p2Pp3/2P3P1/PPQ1B2P/4PPB1/R4RK1 b - -,h7h6
1k1rr3/ppqn2pp/2pb1n2/5R2/2BP4/7Q/PPP1N1PP/R1B3K1 w - -,c1g5
r1b1k2r/pp1n1ppp/2p1pn2/q2p4/1bPP3B/2NBP3/PP2NPPP/R2QK2R b KQkq -,e8g8
8/3B2N1/5p1p/p3kP1P/Pb4b1/8/5K2/8 b - -,e5d6
3qk2r/pb1nppbp/1p1p1np1/2rN4/2PQ4/5NPB/PP2PP1P/R1BR2K1 w k -,e2e4
rq3rk1/7p/3p2p1/3p4/2nN1P2/P2N2Pb/1P6/1R1QR1K1 w - -,d3f2
7r/1kq1bp2/p2rp3/P1p1P1pn/1p5p/4BP2/1PP1Q1PP/R4RK1 w - -,e5d6
6k1/5p1p/3bp1p1/8/3P4/5NPP/1Q3P1K/5q2 b - -,f1d3
r4rk1/2bnnpp1/1pp1bq1p/3pN3/3P4/2QB3P/PP1N1PP1/R1B1R1K1 b - -,f8c8
8/pR2pp2/3r1kp1/7p/5P1P/r4KP1/P1R1P3/8 w - -,b7b3
6k1/p3nbp1/1p5p/1P1pqp1P/3N1N2/4P3/P4PP1/2Q3K1 b - -,e5d6
2rr2k1/pp2bpp1/5n1p/3p4/3Bq2Q/1P2PN1P/P4PP1/2RR2K1 b - -,b7b6
4b3/8/8/4rk2/8/R4P2/5K2/8 w - -,a3e3
8/6k1/1p6/p2B2p1/P7/1P5n/5r2/4R2K w - a6,e1e7
r1bqr1k1/1p1n2bp/p2p2p1/2pP1p2/Pn2PP2/2N2N1P/1P4P1/R1BQRBK1 w - f6,e4f5
8/1p5r/p2kp1R1/4bRP1/3p4/2N3P1/PP4K1/8 w - -,c3e4
8/1p3k2/5b2/2BP4/1P4p1/3b2P1/3N4/6K1 b - -,f6c3
4rrk1/1pq2pb1/1np4p/p3p1n1/P3P3/2N2QB1/BPPR1PP1/3R2K1 w - -,f3f5
6k1/5pbp/8/p3P3/1pBR1P2/1P3K1P/r7/8 b - -,a2h2
6k1/1p3R2/p5p1/2p1r3/3p3P/3P2P1/P7/R6K b - -,g8f7
5rk1/1R3pbp/2p1p1p1/4P3/5P2/1Pq1B2P/5KP1/3Q4 b - -,g6g5
3r3k/3n1pp1/p3p2p/1p1n3q/3P1B2/P4PRP/P1Q2P1K/1B6 b - -,d7f8
r2qkb1r/pppb1ppp/2np1n2/1B2p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3
rnbqkb1r/2pn1ppp/1p2p3/pB1pP3/P2P4/1N3N2/1PP2PPP/R1BQK2R w KQkq -,c2c3:e1g1
r1b1r1k1/1pbnqpp1/p1p1pn1p/3P4/3PN2B/P1NBP3/1PQ2PPP/1K1R3R b - -,c6d5
r1b1r1k1/pp1n1pbp/1q3np1/3p4/3Pp3/2N1P2P/PPQNBPPB/R4RK1 w - -,c3b5
2r1qk1r/1p1bb3/3p1p2/2nPp1pp/4B3/4N1BP/5PP1/1QRR2K1 w - -,e4g6
3rr1k1/1p3ppp/p1n5/3npB2/7q/2P3P1/PP2QP1P/R1B2RK1 b - -,h4e7
8/4b3/p1k5/2PpBpp1/3P3p/1P3P1P/3K4/8 w - -,d2e2
6k1/5p2/4pb1p/1pPb2p1/rP1Pp3/2N3P1/3R1PBP/6K1 b - -,a4a1
4r1k1/Q6p/3P2p1/1P1n4/4bP2/6P1/5K1P/8 w - -,a7d4
r2r4/pp3k1p/3npbp1/8/1P6/P3P2P/1BR1BPP1/3R2K1 w - -,c2c7
r1r3k1/p5pp/1ppp1nq1/3p4/QPP1pP2/P3P3/1B4PP/2R2RK1 w - -,c4d5
1r4k1/p2r1p1p/3b2p1/1p1B4/5Pn1/P5P1/1PP3NP/1K1R3R w - -,d5c6
6k1/npq2pp1/p3p2p/3pPP2/1b1P3B/1P1Q3P/P3N1P1/6K1 b - -,a7b5
r1bqk2r/p2nbppp/1ppp1n2/4p3/P2PP3/2N3P1/1PP1NPBP/R1BQK2R w KQkq -,e1g1
1r2nrk1/1p2qp1p/pR1p2p1/P2Pp3/R1N1P3/4Q3/2P2PPP/6K1 b - -,e8c7
1k1r3r/1p1bbp2/p2ppp2/n1q2P1p/P3P3/2N5/BPPNQ1PP/2KR1R2 w - -,f1f4
2k4r/pp1r1npp/2pbbp2/4n3/2P1P3/1PN1B2P/P1KNB1P1/R6R w - -,d2f3
2Rbr3/5rpk/6bp/p2RB3/1p3P2/4P3/PP4PP/6K1 b - -,f7f8
6k1/5pp1/p1p4p/5q2/3R4/1PQ3P1/1KP1rP1P/8 w - -,d4f4
r2q1rk1/4ppbp/n5p1/p1pP4/6b1/2N1PNB1/PQ3PPP/R2R2K1 b - -,c5c4
rq3rk1/2pnbppp/1p2p3/1P2P3/2N5/6P1/2Q1PPbP/1RB2RK1 w - -,g1g2
8/3R4/4n3/4k3/PKB5/8/8/2r5 b - -,c1b1
r2q1rk1/2pb2b1/p1p1p2p/2Pp2p1/1P1P1n2/P1NBBP1P/3Q2P1/2R2RK1 w - -,d3b1
r1qr2k1/pp2ppbp/nn2b1p1/2p5/3P4/2N2NPP/PPQ1PPBK/R1BR4 w - -,d4c5
6k1/1pn5/2p5/5rN1/PpPPR1r1/1P2Q3/5p1K/4R3 b - -,f2e1q
1rB5/1PR5/6pk/4p2p/8/b5P1/5P1P/6K1 b - -,h6g5
4k3/5p2/p3r1p1/1p1rP2p/1P6/PK2R1P1/7P/4R3 b - -,g6g5
8/8/p1pr4/P4k2/1PR2P2/4K3/8/8 w - -,c4c5
1rb2rk1/1pqpbppp/p1n1pn2/2p5/2P1P3/1PN2NPP/P2P1PB1/R1BQ1RK1 w - -,d2d4
2rq1rk1/4bppp/p1np1n2/1p6/3BP3/7P/PPB2PP1/RN1QR1K1 w - -,c2b3
8/7k/1R5P/r3Kp2/5P2/8/8/8 w - -,e5d4
rnb2rk1/pp5p/3p2p1/1NpP1p2/1b5q/3nP1NP/PPQ2PP1/R1B2RK1 w - -,c2d3
8/7R/5k2/5p2/5N1P/p1P2K2/8/r7 w - -,h7h6
rn1qkb1r/pb1ppp1p/5np1/1pp5/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,e2e4
r3r1k1/1bqnbppp/p1p2n2/1pPpp3/1P2P3/P1NP1N1P/2B2PP1/R1BQ1RK1 w - -,c1b2
r7/1p1b2pk/2p2p2/p3b3/P1P5/1P3N1P/6P1/B4RK1 b - -,e5c7
8/pp1k4/3P2p1/2P2p1p/1r5P/1P1R1KP1/P7/8 w - -,a2a3
r7/rR3pkp/1R2p3/3p2p1/3P2P1/4P2P/5P2/6K1 w - -,g1g2
r5nr/ppp1kp1p/2p1b1p1/8/4P3/2N5/PPP1BPPP/2KR3R b - -,g8f6
r1b1kb1r/1p1n1p1p/pq1p2p1/2pP2Bn/4P3/2N2N2/PPQ2PPP/R3KB1R b KQkq -,f8g7
2r1k2r/1p3p2/p2p1qp1/4p3/P3Pn2/1PN1Q1R1/2P1N1Bn/R3K3 w k -,e3f2
4R3/8/6r1/3k4/8/6K1/5P2/8 w - -,g3f4
rn2k2r/1bqp1ppp/p3pn2/1p2b3/3NP3/P1NB2P1/1PP2P1P/R1BQ1RK1 w kq -,c1e3
k5r1/1pp3r1/p1b1p3/3q1p1p/3P1Q1B/P4P2/1P3RPP/2R4K b - -,d5d6
r1b2rk1/3n1pnp/1pNp2p1/2BPP3/2P2P1q/3N4/P1Q3BP/4RR1K b - -,d7c5
1r1r1bk1/2p2pp1/p3bn1p/P1q5/B1pPPB2/1p3N1P/1PP1Q1P1/R4R1K b - -,d8d4
8/5p1p/5np1/p1k1K3/1p4P1/1P3P1P/P1N5/8 b - -,f6d7
r1bq1rk1/p5b1/1pnp2np/2pNp1p1/1PP1PpP1/P2P1N1P/3B1PB1/R2Q1RK1 w - -,a1b1
8/1p2b3/8/1k1p1p1p/3PnPp1/1P2P1P1/4K3/2N1B3 w - -,c1d3
rnbq1rk1/4ppbp/p1p2np1/1p1p4/2PP4/2NBPN1P/PP3PP1/R1BQ1RK1 w - b6,b2b3
r1bq1rk1/2ppbppp/p4n2/4R3/p2N4/8/PPP2PPP/RNBQ2K1 w - -,b1c3
r4b1k/1p3bp1/1qr1pp1p/p2p3P/3P4/2P1B1N1/PP1Q1PP1/4RRK1 w - -,f2f3
1r1n1rk1/pppq2b1/3p2pp/1P1Npp2/P1P5/3P2Pb/2QNPP1P/1R2R1KB b - -,d8e6
3qkb1r/p2n1ppp/1pn1p3/3pP3/2rP1P2/P2Q1NP1/1P1B2BP/1R1R2K1 w k -,b2b3
1r1r2k1/5ppb/p2qpn1p/2NpN3/1P1Q4/2P2P1P/P5P1/R3R1K1 b - b3,f6e8
7r/r4pk1/3p2p1/2q3b1/1pPpP1B1/1P3QP1/5PK1/R4R2 b - -,a7a3
2r3k1/1b3ppp/pp1q1n2/3Pp3/P7/4NP2/1P4PP/3RQBK1 w - -,g1h1
8/4p1k1/3p1pp1/2pP3p/4P2P/1rP1RRP1/2r2P2/5K2 b - -,c2c1
k3q3/pp6/2p3p1/8/6B1/1P2B3/P7/5K1R b - -,e8f7
r5k1/pp2nr1p/1q1p2pB/3P4/4PRb1/2NB4/PP1Q2PP/7K b - -,f7f4
r5k1/1p1n1rp1/2pP1p1p/p1P2P2/1P2RBP1/P5P1/8/4R1K1 b - -,a5b4
6k1/2R5/6p1/pp1r4/2nB3P/8/7K/8 w - -,d4a1
1B3bk1/5p1p/p5p1/1p6/1P3n2/PB4NP/5PP1/5bK1 b - -,f4e2
5k2/1p3p2/p1r4p/2b1PN2/P2p1PP1/1P1B1K2/2P5/8 b - -,f7f6
r2q1rk1/2pb1pbp/3p1np1/3Pp3/1Pp1P1P1/P1N1BPN1/1K1Q3P/3R3R b - -,d8c8
r1bqk2r/pp2bppp/2n2n2/4p3/1PPp1N2/P2B1N2/4KPPP/R1BQ3R w kq -,b4b5
2k4r/4pp1p/prP3p1/R7/4P3/8/5PPP/R5K1 b - -,h8d8
r5k1/7p/1pp5/4Rq2/3P4/1PP3P1/3Q2K1/8 b - -,f5f6
3Q4/5pk1/2B1p3/2bpP3/8/3b4/1K6/6q1 w - -,d8f6
1rq2rk1/2pbp1bp/p1np2p1/5pN1/1pPP4/4B1PP/PP2PPBK/2RQ1R2 b - -,h7h6
1r6/1r1R1pk1/6pp/pp6/6PP/P4K2/1P3P2/3R4 w - -,d7b7
2R3n1/3r1pkp/p1BP1bp1/2B5/P7/6P1/1PP2P1P/6K1 b - -,d7d8
2r2rk1/1p3ppp/p4n2/4R3/1b2P3/2NqB2P/PPP3P1/R5K1 w - -,c2d3
r3rbk1/1p1n1ppp/p3qn2/3p4/N2P2b1/1P1N1BP1/PBQ1P2P/2RR2K1 w - -,c2d2
8/1p3pb1/2p1p1k1/4P1p1/2P5/1PB2P1r/4K2P/3R4 b - -,h3h2
rn6/pnpkp3/1p2p2Q/3p4/3P4/2P1BP2/PP1N2q1/R3K1N1 b Q -,c7c5
8/6k1/8/4R1P1/1K6/4P1r1/8/8 b - -,g7g6
3r1rk1/pp1q1ppp/2n2n2/2bp4/6b1/1P3NP1/PB2PPBP/2RQ1RK1 w - -,c1c5
rnbqkbnr/2p1pppp/p7/1p6/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,a2a4
2R5/p2r3p/P4p2/1k6/4P3/2p1KP1P/8/8 b - -,b5b4
3k4/p3pp1p/2p1b1p1/1p6/2p1P3/P4P2/1b2KBPP/5R2 b - -,c4c3
rn1qk2r/p2pbppp/1p2pn2/2p5/3P4/2P1PN2/PP1NQPPP/R1B2RK1 w kq -,e3e4
r2qk3/1p5r/2np1pp1/p1p1p3/2P3pP/P1NP4/1PNQP1B1/5RK1 w q -,c3d5
2r1k2r/5ppb/1np1p2p/1p1q3P/p2P1B2/P1P3N1/2P2PP1/R2QR1K1 w k -,d1g4
2rq3r/1b1nkppp/4p3/3nP3/Np1p4/3B1N2/1P1Q1PPP/R4RK1 w - -,d3e4
3r4/ppp2k1p/5np1/5b2/P1N1pR1P/1P2P3/1BP2P2/4K3 w - -,b2f6
5R2/1K6/4k3/7p/5P2/6p1/8/8 w - -,f4f5
8/pr6/5k2/6p1/1P6/P6R/8/K7 b - b3,g5g4
r2q1rk1/2pn1p1p/1p1p2p1/p2P2b1/2P1PP2/8/PPQ2BNP/R2R2K1 b - -,g5f6
r2q1rk1/ppn2bbp/2n2pp1/2Pp1P2/BP1Pp3/P1N1B3/3QN1PP/R4RK1 b - -,g6f5
3r2k1/ppnr1pbp/5np1/q2Pp3/2Q5/P1N1BB2/1P3PPP/1R1R2K1 w - -,e3g5
2kr4/pp1r2pp/5pb1/4p3/2P5/P3B1P1/1PnN1P1P/2R1K2R w K -,c1c2
rn2r1k1/ppq2pbp/2p1bnp1/4p3/4N3/2NP2P1/PP2PPBP/R1BQ1RK1 w - -,c1e3
r2q1rk1/1ppbppbp/p1np1np1/8/2PP4/2N3P1/PPN1PPBP/R1BQ1RK1 w - -,b2b4
8/8/4p1r1/4R3/6K1/3k1N2/8/8 w - -,f3g5
rn3rk1/4ppbp/5np1/2pN2N1/2p2B2/4P3/PP3PPP/2R1KB1R b K -,f6d5
r1b1r1k1/2qnbppp/p1npp3/1p4P1/4PP2/PNNBBQ2/1PP4P/R4RK1 w - -,f3h5
1r2k2r/2qbbppp/p3p3/3pP3/1p3PP1/4B3/PPP2Q1P/2KR1B1R w k -,f4f5
2r1r1k1/pp1q1p2/2p3pQ/3pPn1p/1P1P3P/5NP1/P4PK1/2R1R3 w - -,h6f4
2k1r1r1/pp3p2/8/n4P2/2pPn3/P1P1BB1p/2R1K2P/7R b - -,e4d6
5rk1/1Q4pp/8/6b1/8/1P1P3P/1qP3P1/4R2K b - -,b2c3
r5k1/pp1r1p2/1qp1p1p1/8/2PBR3/1P3QP1/P4P1P/R5K1 b - -,d7d4
1k1r4/1pq2p1R/p3pr2/3p4/2nP1bB1/P1N5/1PP1QPK1/1R6 w - -,b1h1
2rr2k1/p2qpp1p/1p4p1/3N1b2/2Pb4/1R1P2P1/P1Q1PP1P/2R3KB b - -,d4g7
r1b2rk1/pp1n3p/4pqp1/3p4/3b4/2NB2B1/PPP1QPPP/R4RK1 b - -,a7a6
2r2rk1/1p1qb1pp/p3p1b1/3pP3/3P4/PQB5/1P2B1PP/2R2RK1 b - -,e7g5
r1b1kbnr/pp3ppp/1qn1p3/3p2B1/3P4/2N5/PP1QPPPP/R3KBNR w KQkq -,e2e3
r2qk2r/1p1b1ppp/p2p1n2/2p5/3pP3/3P2PP/PPP1NPB1/R2Q1RK1 b kq -,e8g8
r1b2k1r/p4pp1/2p2q1p/2Pp4/Q3pP2/4B3/P1P3PP/3R1RK1 w - -,e3d4
5k2/1R5p/p7/r4pN1/5PPK/8/8/8 b - -,h7h6
8/3k1pB1/7p/7P/2b1P1P1/R4PK1/p7/1r6 w - -,a3a4
r4rk1/1bq1ppb1/p2p1np1/1p2n1N1/3NP3/2P1B3/PPB1Q1PP/3R1RK1 w - -,e2e1
rnb1kb1r/pp2q1pp/2pp1n2/4p3/2B1P3/1P3N2/P1PN1PPP/R1BQ1RK1 b kq -,b8d7
8/7p/1kpB2p1/4p3/P1P1K1P1/5P1P/8/b7 b - -,a1c3
r3kbnr/pp1b1ppp/1qn1p3/3pP1B1/3P4/1P3N2/P4PPP/RN1QKB1R b KQkq -,f8b4
8/4k1b1/pN1pp1np/N4pP1/1P3P1P/3PK3/5B2/3b4 b - -,e7d8
