8/6kp/1n3R2/3PppB1/1r6/7P/5PPK/8 w - -,f6f5
1rr3k1/5pb1/4p2p/p1PpP1pP/1q6/4Q3/PPR2PP1/R3N1K1 b - -,d5d4
4r1k1/2q2p1p/5P2/1p1R2P1/7p/6b1/PPQ5/1K1R4 b - -,c7c2
8/2p5/3p1k2/3Pr2p/1pPb2p1/1P1B1p2/5P1P/3R1K2 b - -,d4c3
r4rk1/ppp2ppp/2nn4/3B4/3P3q/P4P2/1P3P1P/R1BQ1R1K b - -,c6d4
1b1k4/1K6/2Pp4/3PpBp1/5p1p/5P1P/6P1/8 b - -,b8c7
r1r3k1/p3qpbp/b3pnp1/1N1pB3/8/1Q4P1/PP2PPBP/R2R2K1 w - -,a1c1
8/2p5/2p5/1kP1p2p/pP4P1/P1R4P/1r6/5K2 b - g3,h5g4
4rrk1/4q3/p1p1n2p/2N1Q1p1/1P1P2P1/4P3/5RK1/5R2 w - -,e5e6
2r2rk1/4pp1p/p2p2p1/1q2N3/4P2P/1P2R3/PQ3PP1/3R2K1 b - -,b5e5
2k1r3/p7/2p1n1p1/3p3p/3P4/P1N1R2P/1P3PP1/6K1 w - -,c3e2
1r3rk1/1p3qpp/pN1Q1p2/P1p1pb2/2P1P3/1nP2N2/1P4PP/R4RK1 w - -,a1d1
r2qk2r/1p2bpp1/2p1pn1p/p6P/3P1BP1/5N2/PPP1QP2/2KR3R b kq -,a5a4
2bqr1k1/1p2bpp1/2np3p/2p1n3/2P1P3/1PB1QB1P/3NNPP1/R5K1 b - -,e7g5
5n2/5kpp/1p1rp3/8/2B2P2/4P1P1/5K1P/1R6 b - -,f7e7
8/2Q5/p1p1k3/3q3p/2N3b1/1P6/P5PK/8 w - -,c7c8
6k1/R6p/8/1r4PK/5P2/8/8/8 b - -,b5b1
4rr2/pb2p2k/1pq3p1/2p2ppn/8/3RQPB1/P1P3PP/3R2K1 w - -,e3g5
8/p6k/5b2/1b3P2/8/6KP/P1p5/2B5 b - -,f6g7
r4rk1/1pp3b1/3ppqp1/4n3/p1P1P3/2N1B3/PP2QPP1/2KR3R w - -,a2a3
8/8/6R1/5P1p/4K3/1r4P1/pk6/8 w - -,g6a6
4rk2/5ppp/p2r1p2/1pn5/8/1P3B2/P1P2PPP/R2R2K1 b - -,e8d8
r1b1r1k1/pp5p/1np3p1/3p2P1/5P2/1PPBB3/P2K3P/3R3R w - -,h2h4
6k1/3n1pp1/2p1pn1p/b1Pp4/3P1B2/2N1PN1P/5PP1/6K1 w - -,c3a2
1rq1r1kb/2p2p1p/p2pb1pB/2pN4/2P1P3/1P5P/P2Q1PP1/3RR1K1 b - -,h8d4
r2nkb1r/1p1b1ppp/pn2p3/1B2P3/8/2N2N2/PP3PPP/R1B2RK1 w kq -,b5e2
8/pb2kpp1/1p1np2p/8/1PN5/P2BPP2/4K1PP/8 w - -,c4d6
4R3/p1B2ppk/R5bp/1p6/3b4/5N2/Pq3PPP/6K1 b - -,b2f2
r1b1k2r/pp2np2/6pp/8/3N4/4P3/P1P3PP/R3KB1R b KQkq -,e7f5
rnbq1rk1/ppp1npb1/3p2p1/4p1Bp/2P4P/2NP2P1/PP2PPB1/1R1QK1NR b K -,c7c6
8/p6p/5k2/1p4p1/3N4/3K4/n4PPP/8 b - -,a2b4
2r2rk1/3qbp1p/b3p3/p2P2p1/Ppp5/4B1P1/QP2PPBP/2RR2K1 b - -,h7h6
8/p7/1p4k1/7p/P1p4P/2PnBKP1/2r5/R7 w - -,e3d4
q1r3k1/5p1p/2bNp1p1/2Rn4/3b4/1Q4BP/1r3PP1/4RBK1 w - -,b3c4
8/6k1/pb4p1/1p1b4/4N3/PPN1nB2/7P/7K b - -,d5b3
r1b2rk1/1p1n1pbp/p2Rp1p1/4p3/2P1P1P1/2N1BP2/PP2B2P/5RK1 w - -,c3a4
q5k1/1b3pbn/pn4p1/1pp3P1/2P1PP2/1PNrBB2/P3NKQ1/4R3 w - -,e4e5
r1bn1rk1/pp3ppp/8/2P1N3/8/bP3N2/P3BPPP/2R2RK1 w - -,c1c3
8/prp4p/2p1k1p1/2PbB3/R4PK1/8/PP5P/8 b - -,h7h6
r2qkb1r/1b3pp1/p1nppn1p/1pp5/4P3/2NP2PN/PPP2PBP/R1BQ1RK1 w kq -,f2f4
2r1k2r/1p3pp1/p6p/4p3/8/1P1nP3/1PP4P/1K4RR w k -,c2d3
r1br2k1/1p3pb1/2pp1q1p/2n1n1p1/1pPNP3/P1N1BP2/3Q2PP/3RRBK1 w - -,a3b4
r4r2/4Npkp/3p2p1/8/6P1/1nK4P/1P6/1B3R2 b - -,f8e8
r5k1/pp3pb1/7p/2B1n1p1/P7/2P1RP1P/1P1r1P2/R4BK1 w - -,a1e1
2rq1rk1/3b1ppp/p2p4/1p1P4/3Q4/3B4/PPP3PP/R4RK1 b - -,d8g5
r1bqr1k1/2n2pbp/p2p1np1/2pP4/1Pp5/2NBBN1P/P2Q1PP1/1R3RK1 w - -,d3c4
rn2k2r/1pq1bppp/p2pbn2/4p3/2B1P3/1NN1B3/PPP1QPPP/R3K2R w KQkq -,c4e6
k7/8/p4P2/7R/r7/6P1/1p4K1/8 w - -,f6f7
1r2r3/6k1/3b4/1Pp2p2/3p2p1/1N1P4/1P1B1P2/1K4R1 w - -,f2f3
1k1r4/p3r2p/1p6/4p1p1/2P1Q3/1q2PPP1/1P3RKP/R5N1 b - -,d8d3
r1b2rk1/pp2qpp1/2pb1nQp/4p3/2BPN3/4PN2/PP3PPP/R4RK1 w - -,e4d6
8/pbB4p/8/1Pp2kp1/P1r2p2/7P/5P2/R5K1 w - g6,a4a5
2r2r1k/2q2p1p/2bp1Pp1/pp2p3/4P2b/P1N4P/BPPQ1RP1/4R1K1 w - -,e1f1
rn1qk2r/pp2bpp1/2p1pn1p/3p1b2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d1b3:f3e5:f3d2:a2a4
r3k2r/pp1nqppp/2pb1p2/7Q/3PB3/4B3/PPP1NPPP/R4RK1 b kq -,e7e4
rnbq1rk1/p3bppp/3ppn2/2pP2B1/2B1P3/2N2N2/PP3PPP/R2QK2R w KQ -,e1g1
2r2rk1/p3qp2/1p2n1p1/4Q3/1P3P2/P3P3/6PP/2R2RK1 b - f3,c8c1
8/6k1/6p1/5p2/8/3B1q2/8/3RK3 b - -,g7f6
3r4/3n1k1p/1p2pbpP/pPp5/5P2/1P6/1BP2P2/3RR1K1 w - -,b2f6
r2r2k1/p2n2pp/4p3/2p1Ppb1/2qPP3/B1N2R2/P4QPP/3R2K1 b - -,c5d4
1qbr1k2/1pRnbn1p/1P1p2p1/N2Ppp2/2N1P2P/BQ3PP1/6B1/6K1 b - -,d7c5
5rk1/1bq3pp/4p1n1/3pPP2/B1pPn3/1pP1P1BP/1P2Q2K/R4R2 b - -,e6f5
4k3/6R1/8/8/3PNr1K/6p1/8/8 w - -,h4g3
8/8/8/1p2K3/8/5n2/2k5/4B3 w - -,e5d5
8/4k1p1/2p1p2p/p1Pn3P/P1BPK1P1/8/1B1b4/8 b - -,e7d7
8/8/3n1p1p/1PkBp1p1/4P1P1/2K3P1/8/8 b - -,d6b5
6k1/1p2b1pp/p3p3/2p1Pn2/2P2P2/1Pr1Br2/P1N1R2P/4R2K b - -,c3c2
r6k/1pQ2pp1/2p2nnp/3p4/3qP3/1B1P3P/3b2PB/1R3R1K b - -,d4d3
r1bqk2r/ppppnppp/2n5/1Bb1p3/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq d3,e5d4
4k1r1/1bq2p2/p3pQ1p/4P3/1pNr2P1/3B4/PPP4P/1K3R2 b - -,c7e7
2k2b1r/2p3pp/pqp5/4p3/PP1rN3/4QP2/2P3PP/R4RK1 w - -,a4a5
3q2k1/p1pN1n1p/2Q1Bbp1/8/5p1P/8/Pr3PP1/5RK1 b - -,g8g7
r1b4k/ppq3p1/2nbp2p/3p3B/3P3B/5r2/PPQ1NPPP/R4RK1 b - -,f3f8:d6h2:f3f5
rnbqkb1r/1p3ppp/p3p3/3N4/3N2P1/8/PPP1BP1P/R1BQK2R b KQkq -,d8d5
r3r1k1/ppp2p1p/1n4p1/8/3bP3/1P3B2/P4PPP/3RK2R w K -,d1d4
4rr1k/5pp1/p3nq2/1p3N1P/2P1B3/2P5/PP1Q1PP1/3RR1K1 b - -,e6g5
6k1/5n2/p2r3p/4bpp1/P1B3P1/4BP1q/1r2Q3/2R2RK1 w - -,c1c2
8/1Q1q2k1/8/8/2Br1pNp/1P5K/6P1/8 w - -,b7a8
5n2/p3r1k1/2R1p3/4P1N1/1p1N1P2/2p5/Pb4PP/5K2 b - -,a7a5
6k1/r1b3p1/3p4/2pPp2p/7P/PR2B1P1/5P1K/8 w - -,f2f4
2rkbb1r/pp4p1/2n1p3/3p4/3P4/P1N2N2/1PB2PPP/R3K2R b KQ -,e8h5
2r3k1/p1rq1pbp/Bpnnp1p1/3p4/NP1P4/1Q2P1P1/P1RB1P1P/2R3K1 b - -,d6b7
r6k/pp2p1b1/3p4/2pPq1pQ/2P3p1/4PR2/PP4P1/5RK1 b - -,h8g8
rnbq1rk1/pp3ppp/2pbpn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQK2R b KQ -,b8d7
4k3/P6p/5p2/b1B2P2/8/3p2RP/r5P1/5K2 b - -,a2a1
8/5Q2/5p2/p4P2/P1pk1PK1/8/3b4/8 b - -,c4c3
1rr2k2/1b3p1p/4p1p1/2R1P3/1P3P2/2Nq3P/5QP1/2R3K1 b - -,c8c5
rnbqkb1r/1pp1pp1p/p4np1/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8g7
8/8/R4p2/4pk1p/7P/3r1P2/6K1/8 b - -,d3d4
8/pp5p/4k3/4p2K/PP6/3R2PP/5r2/8 w - -,h3h4
1q4k1/1p3ppp/8/p7/2p5/2P2R1P/PPB2P1P/6K1 b - -,g8f8
6k1/p5bp/1p1n2p1/2p2pP1/5P2/2P2K2/PPB4P/4B3 b - -,g8f8
2r2rk1/2q1ppbp/p1bp1np1/1p6/4PP2/2N1BB1P/PPPQ2P1/3R1RK1 w - -,a2a3
6r1/pppk1p1p/5p2/8/2B1bP2/q1P4P/P3Q2K/R7 w - -,a1d1
8/1p6/8/p1Pk2pp/P1N5/6KP/8/8 w - -,c4a5
1k1q4/1p3p1b/1npr3p/p1b1p3/P3P1B1/1PP2NP1/2Q2PK1/B4R2 b - -,f7f6
rn2k1nr/p4ppp/2p5/2q1p3/8/3b4/PPP2PPP/R1BQK1NR w KQkq -,d1d3
r3k2r/1bqnbppp/pp1p1n2/4pP2/2P1P3/2NB1N2/PP2Q1PP/R1B2R1K b kq -,e8g8
r3k2r/5ppp/pqb1pn2/1pb1P1B1/3R4/2N5/PPPQ2PP/2K2B1R w kq -,d4h4
3k3b/p7/1n1p4/B1pPp1PK/2P1P1B1/8/P7/8 b - -,d8e7
2r1q2r/pk2bR2/4p2p/1n1pP1p1/1ppP2P1/6Q1/PPP1N1NP/1K3R2 b - -,c8c7
r2q2k1/pp1bbrpp/4p3/n7/1n1P4/5NB1/P3BPPP/2RQ1RK1 w - -,g3c7
5nk1/1pq2pp1/1p5p/1BpQp3/P3P2P/2P3P1/1P3P2/6K1 b - -,g7g6
2rb3k/1pr2p1p/p2p2p1/P2Pp3/2N1Pq2/2Rn4/1PQ2PPP/5RK1 w - -,c2d3
N2k2nr/ppR1pp1p/3pb1p1/1q6/1B2P3/1Q1P1N2/Pb3PPP/4K2R w K -,b3b2
1br2rk1/1p3pp1/p3q1np/3Np3/1P2P1n1/P4NPP/1B2QP2/R2R2K1 b - -,g4f6
2r3k1/R3p3/1npb4/8/6P1/1P2P3/P4P1P/3R2K1 b - -,b6d5
1rr3k1/5p1p/2npp1pB/1pbN3n/p3P3/6P1/PP3PBP/2RR2K1 w - -,g3g4
r1b1k1nr/pp1n2bp/2p3p1/q2pPpB1/N6P/2PBP3/PP3PP1/R2QK1NR w KQkq -,b2b4
2r3k1/5pp1/4p2p/2PpP3/1Qn5/6P1/qp3P1P/1R2R1K1 w - -,h2h4
3r3r/pp2ppk1/1np1bn1p/q3N2p/3P1Q2/P1N3P1/1PP2PB1/2K1R2R w - -,g2f3
1nb2rk1/r4pb1/p2pq2p/1pPN2p1/P3P3/3Q1NB1/5PPP/R4RK1 b - -,g7a1
1rn1r1k1/1pq2p1p/p1pp1Pp1/4n3/1PP1P2P/R1Q1B1PB/8/5RK1 w - -,c3c1
8/p7/2P1p3/4P3/P6k/6pp/5R2/6K1 b - -,g3f2
2r2rk1/3qn1b1/p2p1pp1/1p1Pp3/n3P2N/4B1P1/PP3P2/1R1QRBK1 b - -,g8f7
1r3r2/p2q1pbk/3p2pp/2pnp3/P1Q5/1P1P2Pb/3BPPBP/1R2NR1K b - -,h3g2
8/5p1k/4pP1r/pprPBp2/7R/7P/5PP1/6K1 w - -,d5e6
2kr3r/ppp1bppp/3pb3/4n3/q2N4/2PBB2P/PPPQ1PP1/2KR3R w - -,a2a3
6k1/pp4pp/2pb1nB1/8/3P4/2P3qP/PR6/2B2Q1K b - -,h7g6
rn2k2r/p4ppp/1qp1bn2/8/Qb6/4PN2/PP3PPP/RNB1KB1R w KQkq -,b1d2
3r3r/pp3kp1/4bp2/4q2p/2B1Np2/2P1bP2/PP2Q1PP/R3R2K b - -,e6c4
3rk2r/1b2bpp1/p1qppn2/1p3P2/3BP2p/P1N4P/1PP3P1/R2QRBK1 b k -,e6e5
7k/1n4p1/pp3r1p/3Pqp2/1PPB4/PN6/6PP/3Q2K1 b - -,e5e4
8/8/pR5p/3k1p1p/r4P2/8/6P1/6K1 b - -,a6a5
r2qr1k1/4bppp/p1npbn2/1pp1p3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,f3g5
r1b1k1nr/ppp3pp/1bnp1p2/1N6/4P2q/2B2Q2/PPPN1PPP/R3KB1R w KQkq -,d2c4
8/8/8/5b2/5kp1/2R5/1r3K2/8 w - -,f2g1
8/p1p1r1k1/1p6/6pP/8/8/PP1R2P1/1K6 w - -,g2g4
3rk2r/ppq1ppbp/2n3p1/2p4P/3P2b1/2PBPN2/P1Q2PP1/1RB1K2R w Kk -,f3g5
5R2/3r2pk/p1b4p/P1B5/8/7P/6P1/6K1 w - -,f8c8
7k/1p5p/p4p1P/5PPK/3q4/8/P3Q3/8 b - -,d4d7
6k1/5pp1/R3p1bp/pr5n/2NPP3/5P1P/r2N2PK/2R5 w - -,d2f1
3rrbk1/pp1q1ppp/2n2n2/3p3b/1P6/PQN2NPP/1B2PPB1/3R1RK1 w - -,d1d2
6k1/p2n2b1/2p5/2Pp4/3P1p1q/1N3Q2/P2B1PP1/6K1 b - -,g7h6
5rk1/pp3p2/2p1pnpp/4P3/8/2Pr2PP/PPB3P1/R5K1 w - -,c2d3
2rb2k1/1B3ppp/5n2/p3B3/1pq5/4P1P1/1Q3P1P/5RK1 b - -,c8c5
r4rk1/1ppq1ppp/1bnpbn2/p3p3/PPB1P3/2PP1N2/3N1PPP/R1BQR1K1 w - a6,b4b5
5b2/2r4k/1R3N1p/2p3pP/1p1p4/1P1P2P1/2P2PK1/8 b - -,h7h8
rn1qk2r/pbppbppp/1p2pn2/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,e1g1:d2d4
4b3/4r1pk/5p2/2QBpP1q/4P2P/1PP5/5R2/4R1K1 b - -,e7d7
rn2k2r/pp3ppp/2p1pn2/7q/1bBP1B2/2N2P1P/PPP1QP2/R3K2R w KQkq -,e1c1
2kr1b1r/pp2qpp1/2n1b2p/3p4/2pP4/1PQ1BNPP/P1P2PB1/R4K1R b - -,e7b4
2b2rk1/2q2pp1/1r3n1p/1Bnp4/pp1N1p2/3P3P/PPPN1QP1/1K1R3R w - -,h1f1
4k3/5p1p/1qn5/3R4/2K1p3/1N6/1PP4P/R7 w - -,a1a8
r3brk1/ppq5/2p1pnNp/2Pp1pp1/1P1P2PP/P2NP3/2Q1BP2/R3K2R b KQ -,e8g6
r2q3r/ppp2kp1/2n4p/3pPb2/3P4/2Q2N1P/P4PP1/R1B3KR b - -,h8e8
2kr3r/pp2bppp/2p1p1n1/2p1P3/3PNP2/2P1B2P/PP2KP2/R5R1 b - -,c5d4
6k1/5p2/3p2p1/1P1Pp3/2p1P2p/5Q1P/3b1PP1/1q4NK w - -,f3f6
1r1q1rk1/1p2bppp/1N2bn2/Q2Pp3/8/4BP2/PPP3PP/R3KB1R b KQ -,f6d5
2r1r3/7k/p1q1b1pp/1p2pp2/P5Pb/1PP1QP1P/2B5/3RB1K1 w - -,e1h4
2r3k1/4Rrbp/p4pp1/BppP1b2/8/P4N1P/1P3PP1/3R2K1 w - -,e7e2
8/2B2p2/p7/7p/6k1/1N1K4/1P5P/6b1 b - -,f7f5
6r1/3q3k/3P1Q2/p2N3P/2Pp4/1P1p4/P6K/5R2 b - -,d3d2
r2qk2r/pp3p2/2np3b/4pb2/3P3p/2PNP3/PP1NQ1PP/R3KB1R w KQkq -,e3e4
r3r1k1/pp2ppn1/4n1p1/1NP1Q2p/P1R5/3P1BPq/4PP1P/4R1K1 b - -,a7a6
rnb1k1nr/pp1p1ppp/4p3/q1b5/N2NP3/8/PPP2PPP/R1BQKB1R w KQkq -,c2c3
6rk/1pp2prp/p2pn2p/8/1P2P2P/P5P1/3RBP2/5KR1 b - -,g8a8
8/4r1k1/7p/3np1p1/p7/R6P/2B3P1/7K w - -,a3a4
r2q1rk1/ppp1n1b1/3p3p/3Ppbp1/1PP1Nn2/5N1P/PB3PP1/R2QRBK1 w - -,f3h2
8/4kp1P/4b3/3q1p2/Pp1bp2P/1P6/K1Q5/3R4 w - -,h7h8q
6k1/2r3b1/1p4p1/3Ppp2/r7/1NP4P/1P3RPK/R7 b - -,a4a1
8/2k5/K7/5p2/4p3/8/6pp/2R5 b - -,c7d6
4r3/5pkp/4b1p1/RQ1Np3/4P2P/6P1/3q1PB1/2r3K1 w - -,g2f1
1r6/r2n1kpp/pp2p3/2p2p2/P1P2PP1/1RBPPK1P/8/R7 b - -,g7g6
8/5k1p/4p3/4bpp1/6P1/3B1K1P/2P5/8 b - -,f7f6
7k/q5p1/3p1bQ1/p2PpN1P/Pp2P3/1P6/2P2r2/2K3R1 w - -,h5h6
r2q1rk1/pp2p1bp/2n2pp1/5b2/3P4/2N1BN1P/PPP1QPP1/R3K2R b KQ -,d8a5
1r4k1/2n1ppb1/b2p2p1/2p3Bp/4P3/2PP1NPP/1q3P2/2RQ1BK1 b - -,g8f8
r1bq1rk1/ppp3pp/2nppn2/5p2/2PP4/2P3PN/P3PPBP/R1BQ1RK1 w - -,c1a3:d4d5
r2q1rk1/ppp2p1p/2nb1pb1/6B1/3P1N2/3B1P2/PPP3PP/R2Q1RK1 w - -,g5h6
r4rk1/1bq2ppp/p1p1p3/Pp2P3/n1p1PP2/Q5P1/1P4BP/R2R1NK1 b - -,c7a5
1Q2k3/5p2/p1q1bP2/2Pp4/1B4P1/P7/5K2/8 b - -,e8d7
8/8/8/R1nk4/6K1/5r2/8/8 b - -,f3f7
r4rk1/p2n1p1p/2p1bbp1/q7/5B2/1PpB1N2/P1P1QPPP/R4RK1 w - -,f1e1
r1b2rk1/pp1n1ppp/2pbpq2/8/2PP4/5NP1/PP3PBP/R1BQ1RK1 b - c3,e6e5
r5k1/1b4p1/5pQp/2p2P2/6P1/8/7P/r3R1K1 w - -,e1a1
8/p7/6p1/3Bp1k1/1R2n1P1/8/P5PK/4r3 b - -,e4c3
2rq1rk1/pp1bbppp/2npp3/3nP3/2BPQ3/5N2/PP3PPP/RNB1R1K1 w - -,a2a3
8/2R2pp1/2p1k2p/2n5/2r1p3/5PP1/4P2P/4NK2 w - -,c7c6
8/7p/2r1p1p1/6R1/2P2P2/4K1P1/7k/8 w - -,c4c5
1R6/6p1/1PR2nk1/8/5r1p/7P/1r3PK1/8 w - -,b6b7
r1b1k2r/pp1nq1pp/2pbpn2/3p1p2/2PP4/1P1BPN2/PB3PPP/RNQ2RK1 b kq c3,a7a6
2r3k1/1qr1bppp/p1nppn2/1p6/2P1PP2/1P1NBNP1/P4Q1P/2RR2K1 w - -,f3d2
8/1p3r1k/p1pn2pp/3p4/3PpP2/1P2P1Nq/P4P1P/3Q2RK w - -,d1e2
2rq1rk1/pp2ppbp/2npb1p1/3N4/2P1P3/1P4P1/P2BQPBP/2R2RK1 b - -,a7a6
rnbqk2r/1p2ppbp/p4np1/3p4/5B2/NQP2NP1/PP2PP1P/3RKB1R w Kkq -,f1g2
r4rk1/p1ppqppp/bpB2n2/4p3/2PP4/PQN1P3/1P1B1PPP/R3K2R b KQ -,d7c6
2rq1rk1/n3bppp/pp2p3/3pP3/bP1P4/PN2BN2/1Q3PPP/R4RK1 b - -,d8d7
r3r3/p5kp/2p3p1/2p2p2/3p4/3P1PPP/PPP2K2/R3R3 w - f6,f3f4
R7/3r1ppk/2p4p/3b4/1P6/4B2P/5PPK/8 w - -,e3c5
2kr1b1r/1p3p2/1np5/p2q1Npp/4p2P/2B1P3/PPP1Q1P1/R4RK1 b - -,h8h7
r1b1r1k1/ppqn1ppp/2pb1n2/3p4/3P1N2/P3P3/1PB1NPPP/R1BQ1RK1 w - -,e2g3
r3kb1r/ppqn1pp1/2p1p1p1/3p4/2PPnP2/1Q2PN2/PP4PP/R1B1KB1R w KQkq -,f1d3
6Q1/2k1pr2/p1qp1r2/1p2pP2/2P3P1/3R3P/P1P2P2/1R4K1 w - b6,c4b5
r1q1r1k1/npp1ppbp/6p1/3P4/b7/2B1PNPP/Pp2QPBK/R1R5 w - -,e2b2
8/7k/6p1/5p2/1P6/3K4/5Brp/R6R b - -,g2f2
r5k1/3nppbp/1q3np1/1PpPp3/8/P1N2N2/3BQPPP/5RK1 w - -,f3e5
r1r3k1/3nbppb/1q2p2p/pp1pP3/5PP1/P5R1/1B1N2KP/R2B1Q2 b - -,c8c7
2rqkb1r/pb1p1ppp/1p2pn2/8/1nPP4/2N2N2/PP2BPPP/R1BQ1RK1 w k -,d4d5
8/5pk1/1p2p3/4P1pp/1p1P4/1P1R3P/3KR1P1/1q6 w - -,d2e3
8/1p6/4ppk1/8/8/1P3PP1/1rr3PR/4R1K1 w - -,g3g4
2qr1b2/2p2kp1/2n1rn1p/pp2p3/1P6/P1PP1QNP/5PP1/2BRR1K1 b - b3,a5b4
8/5k2/2P1n2p/1p2Pp2/1P1B1p2/8/5K1P/8 b - -,f7e8
r1b2rk1/pp1n2pp/2p1pq2/5p2/2pP2n1/1P1NPN2/P3BPPP/R2Q1RK1 w - -,b3c4
8/8/1pp5/p4p2/P1P3p1/kP2P1P1/2K5/8 w - -,c2c3
8/8/8/8/4pk1p/6pP/R3K1P1/1r6 w - -,a2a8
3q1k2/5p2/p3b1r1/1p1N3p/6p1/4Q3/PP3PP1/4R1K1 w - -,e3c5
r3k2r/1p1nbppp/1pp1pn2/3p1b2/2PP1B2/P3PN2/1P1NBPPP/R3K2R b KQkq -,d5c4
2rr2k1/pb2pp1p/1pn2bp1/8/8/1Pp2N2/P3BPPP/3QR1K1 w - -,d1c1
rnbqk2r/pp2ppbp/2p2np1/3p4/P1BPP3/2N2N2/1PP2PPP/R1BQK2R w KQkq -,e4d5:c4d3
2br2k1/r6p/1p2ppp1/p7/P4P2/3B2P1/1PP1R1P1/R5K1 w - -,d3c4
1r2n1k1/pp3ppp/2q5/P2b1Q2/2pP4/2P2P2/3B2PP/R3R1K1 b - -,e8d6
1k4Q1/pr1q2b1/7p/5pp1/1p6/1N1N2PP/PPP5/1K6 b - -,d7c8
r1bqk3/1p1n1p2/p2p1npr/2pPp3/2P1P2p/2N4P/PP2BPP1/R2QKN1R w KQq -,d1d2
2rr4/pp2p1kp/5pp1/2nP1b2/1PBN4/4P3/5PPP/2R1R1K1 b - -,c5e4
R2r1b1k/1p4p1/5p2/1N5p/4p1P1/4P3/2r2P1P/R4K2 b - -,c2c8
8/5p1p/3r1nk1/1pb2p2/3p1R2/PB1P3P/1B4P1/6K1 w - -,g1f2
r2r4/2p1kp2/p5pp/Bp2b3/4Pp2/3R4/PPP3PP/2K1R3 w - -,d3h3
r3r1k1/ppp2pb1/5npp/1P2p3/PB2P3/2Pq1NP1/5P1P/R2QR1K1 b - -,a8d8
5r2/8/1p1p2kp/p1b5/P1P1RN2/1P3KP1/7P/8 b - -,g6f5
8/p7/5k2/1B3pR1/P2pbr1K/8/7P/8 w - -,h4h5
r2qr1k1/ppp2ppp/1b3n2/nP2R2b/2B5/2PP1N1P/P2N1PP1/R1BQ2K1 w - -,g2g4
1r6/6b1/6k1/6pP/8/4Nb2/3N1P1P/4R1K1 b - -,g6h5
3rk2r/pp1b1p1p/1b2p3/5p2/3N4/6P1/PPP2PBP/3R1RK1 b k -,d7a4
8/2k1r3/1pqp1Qp1/pR2p2p/2P1P3/1P5P/P5PK/8 b - -,c6e8
8/5n2/4k1p1/4p2p/2N1P2P/4K3/8/8 b - -,e6f6
2r1r1k1/pp3p1p/5p2/3RN3/6b1/P7/1P2PPPP/4KB1R b K -,e8e5
3rbk2/pp4p1/3bRn1p/3P3q/1P5P/PBR3P1/8/3Q2K1 w - -,d1f1
r3rk2/1p1R1pp1/p3p2p/8/5n2/5NP1/PPP4P/1K5R b - -,f4g6
8/3pk2p/R3b1p1/Pp4P1/1P1R3P/4K3/5r2/8 b - -,f2b2
8/4np2/2pkp1p1/p6r/3P1P1P/2pN3R/PP6/2K5 w - -,b2c3
1r1q1rk1/3n1pbp/3p2p1/nbp1p3/1p1PPB2/1P3PP1/P2QNNBP/2RR2K1 w - -,d4e5
7k/8/5p1P/pR3N2/P3K3/1P6/1r6/8 b - -,h8h7
