8/2k5/KR6/8/1P6/8/8/7r b - -,h1a1
8/7p/Rpp1n1p1/4P3/2Pk1P2/5K2/3b3P/8 b - -,d4c5
5rk1/3qppbp/3p2p1/1NnP4/r1P1P3/1N1nB2P/2Q2PP1/1R3RK1 b - -,f8a8
r2qk2r/ppp1nppp/2npb3/4p3/Q1P5/2P2NP1/P2PPPBP/R1B2RK1 b kq -,e6d7
8/4ppk1/3p2p1/pB1P3p/P2bPP2/7P/4K1P1/8 w - -,e2f3
r5k1/2p1qpp1/1r1p3p/1p1P2nP/1N2P1P1/P4P2/1P6/1KQ1R2R w - -,f3f4
2r3k1/6p1/1qr1p1p1/pp1pP3/n2P1P2/P1P2QP1/2RB1K2/2R5 w - -,f3g4
3qk2r/3nbpp1/p2p1n1p/1p2pPP1/2r1P3/1NN1B3/PPPQ3P/1K3RR1 b k -,h6g5
8/5r1k/3p2pp/2b1p3/4P3/5PPP/q1PQ2K1/1R6 w - -,b1f1
2rqk2r/1b1nbppp/p2ppn2/1p6/3NP3/P1N1BP2/1PPQB1PP/R2R2K1 b k -,e8g8
2k1r3/ppp4p/2n2pn1/2q5/1bP5/1N2PQBP/PP4P1/2Kr1B1R w - -,c1d1
1r1q1r1R/n2k1pQ1/pp2B3/1bR1P1P1/1P1P1P2/P3B3/6K1/8 b - -,d7e6
1r1q1rk1/1bp1bppp/p1n1pn2/8/PppPPB2/2N2NP1/1P2QPBP/R2R2K1 w - -,c3b1
1r4k1/5p2/8/6p1/1P6/5PK1/6P1/1R6 b - -,g8g7
6k1/1pp2p2/3p2pp/1P2r3/2P5/5PPP/2b1P1BK/4R3 w - -,f3f4
r1bq1rk1/pp1nppbp/5np1/2p5/2BP4/2N1PN2/PP1B1PPP/R2Q1RK1 w - -,c4b3
r2qk2r/pp1bb3/2n1pp2/2NpPp2/1P1P1P1p/4B1P1/P3N1KP/1R1Q1R2 b kq -,b7b6
3r1q1k/1RR3p1/3p3p/3Pp3/2P3Q1/7P/5PPK/r7 b - -,f8f4
3r2k1/pp3pbp/6p1/3P1B2/3p4/1N3N2/PP3PPP/5K2 w - -,f5e4
7k/6pp/1qB5/5p2/8/Pr4P1/4rPKP/B1Q5 w - -,a1g7
rn1qkbnr/pp3ppp/2p5/3p4/8/2N1PQ2/PP1P1PPP/R1B1KB1R w KQkq -,d2d4
5rk1/pp1q3p/n1pPbrp1/5p2/3N4/6P1/PQ3PBP/3R1RK1 w - -,f1e1
4r2k/2b2q2/1p1p2p1/1Qp3p1/P1Pp4/3P1BPP/R4P1K/8 w - -,h2g2
r2qk1nr/ppp2pb1/3pb3/3N3p/2B1P1p1/1Q5P/PPPB1PP1/2KRR3 b kq -,c7c6
2r3k1/2q2pp1/7p/1p1pp2n/1P1P4/R1PpPPP1/5KP1/3Q1N2 b - -,e5e4
2rq1rk1/pp3ppp/2n2n2/4pR2/1b2P3/2NBB3/PPP3PP/R2Q3K b - -,b4c3
2r5/1p2k3/p1r2n2/P1N1p1p1/1PP1pp2/4P1PP/3R1K2/3R4 b - -,b7b6
b1R3k1/4qppp/4p3/3n4/8/3B1N1P/P4PP1/6K1 b - -,e7f8
r1bq1rk1/1pp1bppp/p1p5/4B3/3P4/2P5/PP3PPP/RN1QR1K1 b - -,c8e6
3r3r/2knbpp1/p2pb3/Np1Np2p/1B2P1P1/P4P1P/1PP5/2KR3R b - -,e6d5
1rb2rk1/2qnbppp/p2pp3/5P2/1p1BP1P1/2N4P/PPPQ2B1/3R1RK1 w - -,c3e2
1rb2rk1/5ppp/1p6/1Q1p4/5P2/P7/qPP3PP/2KR1B1R w - -,b5b3
r5k1/pppq1rb1/3p1n1p/3P1bR1/2PBpP2/2N5/PP1QB2P/2K3R1 w - -,g5g2
2r5/8/3K4/8/7p/6k1/1P6/1R6 w - -,b2b4
r1bnr1k1/1pq2p1p/p2p2pB/4p2n/2P1P3/2PBQN2/P4PPP/R2R2K1 w - -,d3e2
rr6/4bpk1/4b1p1/ppnPp3/6Pp/P3BP1P/1PP5/R2R1BK1 b - -,e6g4
r2qk2r/pppb1p2/3p1n1p/6p1/1PP1P3/2N3P1/1P3PP1/2RQKB1R b Kkq -,d8e7
r1b1k1nr/pp1p1pbp/6p1/2PPp3/1q1pP3/8/P2N1PPP/R1BQKB1R w KQkq -,a1b1
4r1k1/3bppbp/3p2pB/2pPn3/3qP2Q/6PP/5K2/4RBN1 w - -,f2g2
1r4k1/4pp1p/3b2p1/p5P1/3B4/2Q2P1P/P1R3K1/1q6 b - -,e7e5
3Q4/1p3pb1/p3p1k1/4P1p1/4qP2/1P4P1/P2BK3/8 w - -,e2f2
r4rk1/p7/b3p1Bp/2QPq1p1/8/8/P2NnPPP/R3R1K1 w - -,g1h1
2r1kb1r/pp1bppp1/3p1n1p/q5B1/3QPP2/2N5/PPP3PP/2KR1B1R w k -,g5h4
r7/3b1pk1/3q1npp/2p1p3/2BpP3/rP4NP/PRP1QPP1/R5K1 b - -,d7c6
8/5pk1/3b2p1/8/5PK1/6p1/4R2P/3r4 w - -,h2g3
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/4P1P1/PP2NPBP/RNBQ1RK1 b - -,d5c4:b8d7:b7b6
5rk1/pb6/1p1qpr1p/3pN1p1/2pP2P1/2P1P2P/PP2Q1K1/3R1R2 w - -,f1f6
r4rn1/1p1bq1kp/p2p1pp1/P1pPn3/2P1P3/1PN2N1P/2BQ1RP1/5RK1 w - -,c3e2
r1r2nk1/1p2ppbp/2p1b1p1/q7/2PPB2N/1pB3P1/P1Q2P1P/2R1R1K1 w - -,a2b3
8/p5p1/4pk2/1r5p/2N4P/P4PK1/1P2r3/3R4 w - -,b2b4
2rq1rk1/pb1pbppp/1p2pn2/8/2PB4/1P2PB2/P2N1PPP/R2Q1RK1 b - -,b7f3
r2qnrk1/pp1b1pp1/4p2p/1N1p4/2nP2P1/3R2QP/P1P1NPB1/1R4K1 b - -,d7b5
r4b1r/1pk3pp/n1p1bp2/p1n1p3/2P1P3/1PN1BP2/PKBRN1PP/7R b - -,f8e7
8/8/pN1p1kp1/P2P3p/6PP/5P2/3n2K1/8 b - -,f6e5
1rq2k2/R1n2p1r/1pBQ4/7p/2P5/2N3PP/1P5K/8 b - -,f8g7
1r3bk1/5pp1/p6p/3Pp3/8/2P3NP/Rr3PP1/3R2K1 w - -,a2b2
r1bqk1nr/pp1nppbp/3p2p1/2p3B1/3PPP2/2N5/PPP3PP/R2QKBNR w KQkq c6,g1f3
1q3bk1/5p2/1P1n1npp/p1BQ4/8/5NPP/5PBK/8 w - -,d5c6
rn3rk1/pp1qppbp/2p3p1/3pPb2/2PPn3/1QN2N2/PP2BPPP/R1B2RK1 w - -,c1e3
rnbqk2r/pp1p1ppp/4p3/b3P3/3N2Q1/2P5/P1PB1PPP/R3KB1R b KQkq -,e8g8
rr6/p2k1ppp/3np3/R2p4/8/N2K2P1/P3PP1P/5R2 w - -,f1b1
3rr2k/pQ5p/1p1P4/2p1q1p1/4P3/1P4P1/P5BP/3R2K1 w - -,d6d7
r1b1r1k1/ppqn1pb1/2p2npp/2P1p3/4N2B/2N1P3/PP2BPPP/R2Q1RK1 b - -,e8d8
5rk1/5rp1/2p4p/1p1nB2P/p2Pp2R/1P2P3/1P2K1P1/R7 w - -,e5g3
r1b1k1nr/pppp1ppp/5q2/2b5/2B1P3/2P2Q2/PP3PPP/RNB1K2R w KQkq -,f3g3
2k1r3/ppp4p/6p1/8/3P3q/P1P1P1Q1/1P1K3P/4R3 b - -,h4e7
r1r2nk1/ppqb1pp1/4p2p/2NpP2P/3P4/QP4P1/P2R1P2/2R2BK1 w - -,d2c2
4r3/2p1q2k/1p2bpp1/p3p1b1/4P1P1/1NP2Q2/PP3PN1/3rR1K1 w - -,e1d1
8/5k2/8/8/P4P2/1P2Q3/5BK1/1q6 b - -,b1g6
4r1k1/1p3p1p/p2rb1p1/3p4/P2N4/1P6/1KP1RPPP/4R3 b - a3,g8f8
rnbqkbnr/pp2pppp/3p4/2pP4/2P5/8/PP2PPPP/RNBQKBNR b KQkq c3,g7g6:e7e6:e7e5:g8f6
1n2qrk1/r1B1bppp/pN2pn2/8/1pQpb3/5NP1/PP2PPBP/3RK2R w K -,d1c1
2krr3/pp1q2p1/2p4p/8/2Pp2Q1/P5PP/1P3PK1/3R1R2 w - -,d1d4
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/4P2P/PPPN1PP1/R2QKBNR w KQ -,g1f3
1r1kr3/R6p/4p1pn/1Np1b1N1/2Pp4/3P4/6PP/2R3K1 w - -,c1e1
rnbqk1nr/ppp2ppp/8/3p4/1bPP4/2N5/PP3PPP/R1BQKBNR b KQkq -,d8e7:g8f6
r3kb1r/p1p1qp1p/b1pp2p1/3nP3/2P2P2/1P6/P2Q2PP/RNB1KB1R b KQkq -,d5b6
r2qr1k1/pb1nbppp/3ppn2/1pp5/4P1P1/3P1N1P/PPP2PB1/R1BQRNK1 w - -,f1g3
1rb2r2/3n2k1/p2N2p1/3Pp2p/1P1n3P/R1NB4/5PP1/4K2R w K -,e1g1
r2qk2r/pp1nbppp/2p1p3/3n4/2BP4/5Q1P/PPP2PP1/RNB1R1K1 w kq -,c2c3
1nnq4/5k2/3p2p1/pNpPp1p1/2P1Pp2/1PN2P1P/1K4P1/4Q3 w - -,c3a4
1B6/1R3pp1/6k1/5p2/3n2P1/7p/2r5/5K2 w - -,g4f5
2r2q2/5k2/2R1bpp1/1pP1p1p1/1P2P1P1/5PP1/8/3Q1BK1 w - -,f1b5
1Q6/4q3/6p1/2n4p/1pB2k2/1P5P/8/7K b - -,e7e5
q3r1k1/4Bpbp/r2P2p1/1Np5/P7/4n3/1P2Q1PP/R4RK1 b - -,e3f1
2k5/p1p1r1p1/2R4p/8/3KP2P/P5P1/1P6/8 b - -,c8b7
1r3rk1/p2qb1pp/3Np3/2p1Pp2/R4B1P/1nnP2P1/1P3PB1/3Q1RK1 w - -,b2c3
2r3k1/5pp1/1q5p/8/1P1R4/2PQ4/r6P/3R2K1 b - -,c8c6
r5q1/1p2b2r/nnk3N1/p2pPQ1p/P1pP4/2P4P/1P4P1/R1B2RK1 w - -,g6e7
1r2b1k1/5p2/p3pR2/3p2p1/1n4P1/1Pr1P2P/P2R2B1/3N2K1 b - -,c3c1
4r1k1/p6p/2p3pb/5p2/1P6/P3P3/1B4PP/4R2K w - -,b2d4
5rk1/p1pn1pp1/1p3q1p/8/2P1R3/P4N2/2PQ1PPP/6K1 b - -,d7c5
5b2/8/6p1/4pk1p/1pNp4/1P1P4/2P1KPPP/8 w - h6,c4d2
r2q1rk1/p2b1pbp/2p2np1/2p1p3/3p4/1PPP2P1/PB1NPPBP/R2Q1RK1 w - -,a1c1
2kr3r/1p1qb1p1/p1p1pp2/2Pp1n1p/3P1Pb1/PP2PN2/1B1N2PP/2R1QRK1 w - -,b3b4
8/1p3k2/2p5/p1p1RP2/P1P3r1/3P1K2/8/8 b - -,g4d4
1r4k1/6pp/2p1Nb2/2B2n2/8/P4P2/2P4P/2KR4 w - -,c5b4
qr4k1/p4p1p/4bbp1/1Q6/3pB3/1P4P1/P2BPP1P/2R3K1 b - -,b8b5
8/1p2pk2/2rpb3/r2Nn1p1/p1PR4/5P2/PP4P1/3R1BK1 w - -,f1e2
rnbqk1nr/pp3pbp/2pp2p1/4p3/3PP3/2PB1P2/PP2N1PP/RNBQK2R b KQkq -,d8h4
2k5/1p4p1/p4b1p/5P1P/1P4P1/P7/4K3/8 b - -,b7b5
4rr2/bp1q3k/p1p1bp1p/3pp3/P2PPn2/1QP1RNNP/1P3PP1/R4BK1 w - -,e4d5
2r2rk1/p1qb3p/4p1p1/8/2p3Q1/P1P1R3/B1P3PP/4R1K1 b - -,f8f4
2Nr2k1/1pb2p1p/p4np1/3p4/1P2p3/P5PP/1R1PPPB1/6K1 w - -,c8e7
r1b1r1k1/1pqn1pb1/p1pp1npp/3Pp3/2P1P3/2N1BNPP/PP3P2/1R1QRBK1 b - -,d7c5
3r4/p7/b1r3k1/1p1p1R1p/7P/8/PPP3P1/2K2R2 w - -,f5g5
5b2/7p/6p1/6P1/2Pk4/4NK1P/5P2/8 w - -,h3h4
r1r3k1/3q1ppp/1R1Pp3/p2b4/2pP1B2/2Q2P2/P5PP/1R4K1 w - -,b6b5
r4rk1/1p2qpbp/6p1/pb1PP3/1n1N4/1Q2B2P/1P3PP1/R3R1K1 b - -,b5d7
7r/p3kpp1/1nqPP2p/1b6/2pP4/1n3N2/2Q1BKPP/1R5R b - -,c6d6
8/1k3pR1/6b1/1pp3r1/8/P4P2/1P1K4/3B4 b - -,g5d5
4nr2/1pr3kp/p2p1qp1/3R1p2/2P5/1P3B1P/PQ3PP1/3R2K1 w - -,b2d2
6k1/4qp2/p5p1/3B4/1pP5/1P6/P4Q2/5K2 b - -,e7c7
8/8/5kp1/3Q3p/1P2p2P/6P1/P4K2/1q6 w - -,b4b5
8/8/1p1k3p/P4K2/P4PB1/2P4P/3b4/8 b - -,b6a5
r3r1k1/pp2qppp/2p5/6Pb/2nPB2P/P1B1P3/2Q2P2/R3K2R w KQ -,e4h7
3rR1k1/p1n2p1p/6p1/2p2b2/2P4P/P1N3P1/5PB1/1R5K b - -,c7e8
3r1rk1/pp1nqp1p/1bb1pnp1/4N3/2BP1P2/P1N1B3/1P2Q1PP/3R1RK1 w - -,e3f2
r1b1r1k1/pp2bppp/1q1p1nn1/2pP4/2P2P2/2NB3P/PP2N1P1/R1BQK2R w KQ -,e1g1
r2r2k1/1p5p/3p2p1/2n1q3/2P1PRB1/4Q2P/6P1/3R2K1 b - -,d8f8
rnb1k1nr/pp1p1ppp/2p5/q3P3/2P5/2P3P1/P3PP1P/R1BQKBNR b KQkq -,a5c3
r5k1/1q1nbpp1/4p2p/p1pn4/P1N5/1P2PN1P/5PP1/BQ1R2K1 w - -,e3e4
rnb2r1k/pp4pp/2pbpq2/3p1p2/2PPnN2/5NP1/PPQ1PPBP/R1B2RK1 w - -,f4d3
6k1/p1n2pp1/1n2pbp1/4N3/2P5/1P4PP/PB3P2/3B2K1 b - -,b6d7
8/3B2pk/4prpp/8/3Pn1Pb/8/2R2PK1/R7 w - -,f2f3
rnbqkb1r/ppp2ppp/5n2/3p4/4P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,e4e5
r3k2r/p1pbq2p/1b2p1pQ/2ppP3/5P2/2P5/PP3BPP/RN3RK1 b kq -,e7f8
r3k2r/1bqnbppp/pp1ppn2/8/2PNP3/P1NQBP2/1P2B1PP/R4RK1 w kq -,f1c1
r1bqkb1r/pppnp1pp/3p1n2/5pB1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq -,g7g6:c7c6
r3k2r/p1nnqppp/1p2p3/3pP3/2pP4/2P2N2/PP1NQPPP/R4RK1 w kq -,f3e1
rnbqkb1r/ppp1pp1p/5np1/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3
r1bqk1nr/3nppbp/p2p2p1/2p5/Pp1PP3/3BB3/1PPQNPPP/R3K1NR w KQkq c6,c2c3
2kr3r/pp1q2b1/2p1np2/3p2pp/3P4/P1N1Q1PP/1PP2PB1/1K1R3R b - -,f6f5
3R4/3r3p/1p1qN1p1/p1pB2Nk/P1P4n/1P6/5P2/4R1K1 w - -,g5f7
rn1q1rk1/pbp1bppp/1p3n2/3p4/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,a1c1
r5k1/1r1b2pp/3p4/2pP1p2/1qPbpP2/1P2B1P1/2Q1R1KP/1R1B4 b - -,d4e3
2B1k3/4b3/pN1p4/P2Pp1r1/4PpNn/2B5/1P4P1/6K1 w - -,c3e1
r1bq1rk1/ppp5/4p2p/3pn1p1/5p1P/P1P1PP2/2P2BP1/R2QKB1R w KQ -,h4g5
N7/pp1q3k/7p/2PBp1b1/4P3/3K1R2/PP6/5R2 b - -,d7a4
1rbqr1k1/ppn2pbp/3p1np1/2pP4/P1N1P3/2N5/1P2BPPP/R1BQ1RK1 w - -,f2f3
2B5/4R3/P7/6p1/1K4P1/6k1/8/8 w - -,a6a7
r4rk1/pp3ppp/2n1b3/3p2q1/3B4/P3PP2/1P3KPP/2RQ1B1R b - -,a8c8
r2n1rk1/1ppq1pb1/3p1npp/1P2p3/2P5/2NP1NPb/1B2PPBP/1R1QR1K1 w - -,g2h1
5rk1/pp1rqpb1/1np1p2p/3nP1p1/3PN3/1B1R1QBP/PP3PP1/3R2K1 w - -,f3g4
2b3nk/q3r1pp/3R1p2/1p2p3/4P1P1/1QP2P2/PP5P/2KR4 w - -,c1b1
r1bq1rk1/pp2n1bp/2npp1p1/2p2p2/4PP1N/2PP2P1/PP1N2BP/R1BQ1RK1 b - -,a8b8
r3r1k1/1b3p2/3p2p1/p1p4p/1p2P2P/3PR3/PPPKNPP1/R7 b - -,g8g7
8/5p2/5p2/2k2B2/r1b5/4P2P/p5P1/2R3K1 w - -,c1a1
8/3nqpk1/1rp1p1p1/p2p2P1/P6P/1r2Q3/1PP5/2KR3R w - -,c2b3
4r1k1/2Q3pp/2p2pb1/2p5/2P1nB2/P5PP/1q4BK/4R3 b - -,b2f2
6k1/5r2/7p/2pP2p1/1pP3K1/1P2p3/P7/2N5 b - -,g8f8
2r1rbk1/3q1p2/p1n1p1p1/3pPnPp/bP1P1P1P/N6B/3Q1B2/1RN2RK1 b - -,a6a5
4n3/8/2k5/4pp1p/2p4P/1P1K1P2/3B4/8 w - -,d3c4
r5k1/pbq3bp/6p1/2p5/3N1P2/1P2r1P1/PBPQ3P/4RRK1 b - -,c5d4
1r2r1k1/2b3pp/4nn2/p1PRp3/2B1p3/7P/1P4PB/R3N1K1 w - -,d5d2
r2qk2r/1b1nbppp/p2ppn2/1pp5/3PP3/2P2N2/PPB2PPP/RNBQR1K1 w kq -,b1d2
8/8/3k4/p1p1p3/1pP1Br2/1N2K3/PP3P2/8 b - -,f4f7
r2q1rk1/pbpnbppp/4pn2/3p2B1/Pp1P4/5NP1/1PPNPPBP/R2QR1K1 w - -,d2b3
2R5/1p1r1kpp/p1b2p2/P1B5/1P2p1P1/4P2P/5PK1/8 w - -,g2g3
8/2p5/1n4pp/4kp2/2p5/P1N3PP/1P3P2/5K2 w - -,f1e2
r7/1p3p2/1bkpb2p/1p4p1/1P1B4/r1PNKP2/1R4PP/2R5 b - -,a8e8
6k1/2pb4/np1p4/pN1Pp1bn/P1P1Pp2/3N1P2/1P1B4/1K3B2 b - -,h5g3
r1bqr1k1/2p2pbp/p5p1/3p4/8/2P1B3/PP1N1PPP/R2Q1RK1 w - -,d2b3
rnb1kb1r/2q1pppp/p2p1n2/1p6/3NPP2/2NB1Q2/PPP3PP/R1B1K2R b KQkq -,c8b7
q7/5n2/1p3Pk1/6p1/4N3/2R5/5N1P/5K2 b - -,b6b5
r5k1/1p2R2p/3p2p1/2nPp3/1pP2PB1/1P1p4/r5PP/1R4K1 b - f3,e5e4
r1b1r1k1/pp1n2pp/2pqpn2/3p1p2/2PP4/1P3NP1/P2NPPBP/R2Q1RK1 w - -,e2e3
4rr1k/2b2qpp/n1p2n2/p1PppP2/N5P1/P3BPN1/1P2Q2P/R4R1K b - -,a6b8
1k1r4/pp3pp1/2prpb1p/8/3P3q/PQP2B1P/1P3PP1/1K1R1R2 b - -,h4f4
3rq1k1/Rp2rp2/1Pp2bb1/2Pp2p1/3P2p1/5PBP/3Q4/R4BK1 w - -,h3g4
r4rk1/pp2bppp/1n2pn2/1N1p4/6b1/3PBNP1/PP2PPBP/R4RK1 b - -,f6d7
r3q2k/ppQbBrbp/3P2p1/8/8/5PP1/PP3P1P/R2R2K1 w - -,c7b7
r4rk1/1b2qppp/1p1ppn2/p1n5/1PP5/P3PN2/1BQ1BPPP/R4RK1 b - -,c5d7
r1b2rk1/1p2qpbp/p2p1np1/2pP4/P4B2/2N3P1/1P2PPBP/R2Q1RK1 w - -,d1d2
r2bqrk1/ppp3pp/3p4/3Ppb2/3n4/6P1/PP2NPBP/R1BQ1RK1 w - -,e2d4
r1b2r1k/1p2q2p/p1n1pbp1/2P2p2/2BP4/P5P1/1BQ1NP1P/1R1R2K1 w - -,d1e1
6r1/5R2/p6k/4P1q1/8/1PP1Q1Pb/P7/6K1 w - -,f7f6
8/8/8/3k3R/5p2/6bP/3NK1P1/2r5 b - -,d5e6
1q4n1/p3r1k1/3R1pp1/7p/3QP1P1/1P3P1P/P4K2/8 b - -,h5g4
r1b1k2r/pp2nppp/3ppn2/1N6/2P5/P7/1P2PPPP/R1B1KB1R b KQkq -,e8d7
8/8/8/2p5/6R1/1k6/7r/2K5 w - -,g4g3
6k1/3bB1b1/p2p2p1/Pp1Pp3/1Pp1Pn2/2P2q2/3Q1N2/2K3R1 w - -,c1b1
4r3/8/8/pp4k1/2pP1p1p/P1P4P/1P3KN1/8 b - -,b5b4
rnb4N/ppp1k3/3bpq1p/3p3Q/3P2pP/2N3p1/PPP2PP1/R3KB1R b KQ -,g3f2
r2q1rk1/pb3pbp/1pn2np1/1N1P4/8/2N1BP2/PP1QB1PP/R3K2R b KQ -,c6e7
r3kb1r/p1q1nppp/1pn1p3/1bppP2P/3P4/PBP5/1P2NPP1/R1BQK1NR w KQkq -,h5h6
r2qr1k1/ppp2ppp/2nb4/4pb2/4P3/P1PP1NP1/2Q2PBP/R1B1K2R b KQ e3,f5g4
rnbqk2r/ppp3pp/3bpn2/3p1p2/2PP4/6PN/PP2PPBP/RNBQ1RK1 b kq -,c7c6
rnbqr1k1/pp3pbp/6p1/2n1p3/2Pp4/1N1P1NP1/PB2PPBP/R2Q1RK1 b - -,c5a4
2kr3r/1p1qbp1p/2n1b2B/pNP1p3/P1Pp2p1/1N1Q4/1P3PPP/3R1RK1 w - -,f1e1
8/3k1nB1/p6p/1p1K1P2/1P4P1/P7/2p5/8 w - -,g7b2
8/2r2ppk/1p6/3Qn1p1/1q1N4/p3PP1P/P4P2/3R2K1 b - -,b4c5
r1bqkbnr/ppp2ppp/2n1p3/3P4/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,e6d5
6K1/5r2/3pk2P/6R1/4P3/8/8/8 b - -,f7a7
8/8/5n2/2k5/5N2/3p2p1/4Kn2/8 w - -,e2e3
1r2br2/p5pk/2p4p/2pnqN2/3p2Q1/3P2R1/PPPB3P/R5K1 w - -,a1e1
8/6R1/p3rp2/1p3k1p/2pP3P/2P5/PP3PP1/3K4 w - -,d1d2
2rr2k1/1p4pp/4pp2/p3P2Q/N2b4/PP1q2P1/5PBP/4R1K1 b - -,d3d2
7k/4q1pb/7p/1p2B3/pP2PQ2/P6P/5RPK/4r3 w - -,f4f8
r1b1k2r/1pq1bpp1/p1nppn1p/2p5/4PP2/2NP2PN/PPP3BP/R1BQ1RK1 b kq f3,c6d4
2kr3r/p1p1bp2/1qp1n3/3pP2p/Q7/1N1P4/PP1B2PP/R4R1K b - -,h8g8
7r/6k1/3p4/4ppqp/1pPP1nb1/r3N1QP/1RB2PPK/4R3 w - -,c2f5
2b5/4kp1p/1R2p3/pB2rPp1/P3P1P1/3K4/7P/8 b - -,e6f5
8/2r2k2/6p1/3R1p1p/2P2PnP/1P2P1P1/4K3/5N2 w - -,d5d4
1r1q2r1/p2k1p1p/3Np1n1/3p4/5Q2/1P5P/P4PP1/R3R1K1 w - -,f4f7
r2q1rk1/ppp2ppp/2n1p3/1Q1n4/1b1P4/2N1P3/PP1B1PPP/R3KB1R b KQ -,a7a6
8/3nrkp1/1p1q1p1p/p3p3/P1P1QP2/1P4P1/4RBKP/8 w - -,e4f3
5k2/p3p2p/2p2r2/3pNb2/3P1Q2/2R4P/qr3PP1/5RK1 w - -,c3c6
r6r/5ppp/1k3n2/1B1bN3/pBP1n3/8/PP4PP/4RRK1 w - -,f1f4
5rk1/2p3b1/6p1/p1Q1pq1p/1pP5/PPn3BP/3R1PP1/4N1K1 b - -,c3e4
3R4/1p3r1p/2p3p1/4B1pk/n3PnN1/2P5/P1P2P1P/2K5 w - -,g4f6
1r4k1/p4pp1/1q2p2p/3n4/3P4/2B3P1/PP3P1P/2Q1R1K1 b - -,b8c8
1rr3k1/5pbp/5np1/Q1nB4/3p4/P5PP/1P3P2/R1B1N1K1 b - -,f6d5
