8/pbR4k/3r2pp/1B3p2/8/7P/P4PP1/6K1 b - -,h7h8
r1bqk2r/pp2ppbp/2p2np1/5n2/3PNP2/5N2/PPP1B1PP/R1BQ1RK1 w kq -,e4f6
1r2r1k1/n2q1pb1/1ppp2p1/1P3p1p/1P1P4/4PNP1/Q4PBP/2R1R1K1 w - -,f3g5
8/2b3pk/p1q1p2p/2pb1p2/P4P2/1PB1P2P/3NQ1PK/8 b - -,c6b7
2rqr1k1/pp1nbpp1/2pp1np1/8/2PP4/1P1Q1N1P/PB1N1PP1/R3R1K1 b - -,d6d5
8/p3k3/br2p2p/R2pPp1B/2pP1K2/P5P1/2P4P/8 w - -,g3g4
8/p2r1p2/1bp1p1p1/3r3p/2pP1P1P/PkP3P1/1PRR1B2/2K5 b - -,d7d8
8/1knqr3/2p1p1Q1/p1RnP3/Pp1B1pP1/1P3B2/5PK1/8 b - -,c7a6
1nrq4/bR1b1k2/3Bpn1p/p5p1/4P3/2R3P1/1P2QPBP/6K1 b - -,a7d4
2k5/R7/8/6p1/3n4/1b4P1/5NP1/2K5 b - -,d4e2
1rk1r3/pp4p1/2p2pNp/2b1P2P/2Pn2P1/1R3PB1/6K1/1R6 w - -,b3b2
r3r1k1/pp3pp1/2n3qp/4pb2/4N3/P1PB1Q1P/2P2PP1/R3R1K1 b - -,c6e7
r1b1kb1r/1p1n1ppp/p3pn2/2pq4/3P4/2P1BN2/PP2BPPP/RN1Q1RK1 b kq -,b7b6
1r6/p4ppk/6bp/2R1pq2/7P/4P3/P7/K1Q3R1 b - -,f5f2
2rqk2r/1b1pbppp/p3p3/1p1nP3/3QNP2/3BB3/PPP3PP/1K1R3R b k -,e8g8
r5k1/1b2q1bp/1n1pp1p1/1Pp3Nn/4P3/2N1B3/1P2BPPP/1QR3K1 w - -,e2g4
3k4/2p5/1pK2P2/8/p1P5/Pn6/1P4Bp/8 b - -,b3c5
5rk1/1r2q1pp/p2bpp2/1pn5/8/1PQ1PN2/PB3PPP/2RR2K1 b - -,f8d8
8/4r1p1/ppkp1p1p/5R2/PPPKP1PP/8/8/8 b - h3,e7e6
5rk1/p5p1/b1pbq3/7Q/2n1Pp1P/P4R2/1PP2P2/RNB3K1 w - -,b1c3
4r3/8/8/8/2R1b2P/5kP1/7K/8 w - -,c4b4
r3k2r/ppq1bppp/8/P3P3/2nN4/8/1P2QPPP/R1BR2K1 b kq -,a8d8
8/1p2pk2/3p2p1/Q2Pr3/PPP5/3n1K2/8/8 w - -,a5b5
3r2k1/qp3pn1/2p1pbp1/7p/2PP1P1P/rP1R1NPB/2Q2P2/3R2K1 b - -,a3a2
r1bq1rk1/3nbppp/p7/1p1pP3/3B2P1/7P/PPP1QPB1/2KR3R w - -,g2d5
r4rk1/ppq1pbb1/2n3pp/3p1p2/N2P1P2/5N1P/PP3PP1/2RQRBK1 w - -,f3e5
r2q1rk1/ppn1ppbp/2p3p1/8/2QPP3/4BB2/PP3PPP/2RR2K1 b - -,e7e6
6k1/pp3p1p/3q1Pp1/1b4P1/3P1P1P/1BP1Q1K1/8/8 w - -,c3c4
2qr1rk1/p3ppbp/bp4p1/8/P3PPPN/4QNP1/B5K1/R1BnR3 w - -,e3b3
2r3k1/4qppp/pr1p1n2/3bp3/2p1P3/P1N4P/1PP1QPP1/1R1R2K1 w - -,c3d5
4k3/2b3p1/1n1p3p/N2Pp3/4Pp2/3K1P2/3B2PP/8 w - -,g2g3
3r4/3Pk3/R1B2b2/4p1p1/1P2P2p/5PP1/6K1/8 b - -,h4g3
R4nk1/4r1b1/P2p4/8/2Pp3P/5NpK/3B4/8 w - -,a6a7
8/8/6B1/2K4p/8/2P3k1/8/8 w - -,g6h5
r2qr1k1/p1p1bpp1/1pp1bnNp/8/3PP2B/1QP2N2/P4PPP/R3R1K1 w - -,g6e7
8/5p1k/1p4pp/1r1q4/2Q5/4P3/5PPP/5RK1 w - -,c4d5
3rkb1r/pp1n1ppp/2b1p3/8/2N5/4PP2/PP1B2PP/R3KB1R b KQk -,b7b6
2r1k2r/1b3ppp/5b2/p2p4/P2np3/1P2B1P1/R3PPBP/1N3RK1 w k a6,e3d4
1r3R2/6k1/p1p3pp/R3P3/1n4P1/5N1P/5P2/6K1 b - -,g7f8
rn1q1rk1/pbp1bppp/1p2p3/4N3/2BP1B2/2P5/P1P2PPP/R2Q1RK1 b - -,b8d7
r1bq1rk1/1ppn1ppp/p3pn2/8/2p5/P4NP1/PBQPPPBP/R3K2R w KQ -,c2c4
r4r2/p2bppkp/6p1/2n5/8/5NP1/q2PPPBP/1R1Q1RK1 b - -,a7a5
8/p2R2k1/1p3r1p/n1p4p/4q3/5N2/P2Q1PPK/8 b - -,g7g6
r1b2rk1/ppq1bppp/1n2p3/4N2n/2BB4/5N2/PPP2PPP/R2Q1RK1 w - -,c4b3
r1b1rnk1/ppp1qp1p/3p1np1/4p3/2PPP3/2P1NPP1/P2QBR1P/R1B3K1 b - -,f8e6
b2n1k1r/4bp2/3p4/p1q1pP1p/1p6/3B1N1Q/PP1B1nPP/2R2R1K w - -,f1f2
r4rk1/1bqnbppp/pp1p1n2/4p3/P3P3/1NN1BP2/1PPQB1PP/R2R2K1 b - -,a8c8
2nqrbk1/1r3p1p/pp2pnp1/3p4/P2P4/1QP1N2P/1P1N1PPB/3RR1K1 w - -,d2f3
r2q1rk1/1b1nbpp1/pn1p3p/1ppP4/4PB2/1PP2N1P/P1B3P1/R2QRNK1 b - -,f8e8
1rn1q1k1/2n2r1p/pp1pp1PB/2p5/2P1P1B1/2PQ3P/6P1/3R1RK1 b - -,f7f1
r4rk1/p2bppbp/2Np1np1/qp6/4P3/1BN1B2P/PPP2PP1/R2QR1K1 b - -,d7c6
4r1k1/5p2/1r4p1/2bqP2p/2p5/2Bp3P/P2R1PP1/Q3R2K b - -,c5b4
8/p2k2p1/1p2pp1p/1P1p4/2nP4/4P3/1P3PPP/3N2K1 b - -,c4d6:h6h5
r2q1rk1/p2pbppp/bpn1pn2/1N6/2P2B2/1N4P1/PP2PPBP/R2Q1RK1 b - -,a8c8
4r3/1p2rppk/2p4p/p3N2P/Pn1PpR2/1P2P3/1K3PP1/7R w - -,f4f5
6k1/5r1p/p5p1/b1qp4/2pp4/4PQ1P/P5P1/5R1K w - -,f3f7
r1bq1rk1/ppn1ppbp/2pp1np1/8/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b - e3,a7a6
r2qkb1r/pp1bpp2/2n3pn/1BppP3/Q4P1p/2P5/PP1P2PP/RNB1KN1R w KQkq -,d2d4
5rk1/p1p1rp1p/2Bp2p1/1p1P4/R1bb4/4B2P/P4PP1/4R1K1 w - -,c6b5
8/6k1/1R4n1/8/6K1/8/7P/8 w - -,g4g5
2r2rk1/5ppp/p2qbn2/1p2p1N1/n2pP3/P2p3P/BPP1QPP1/R1B1R1K1 w - -,c2d3
6k1/3p2p1/2r1p3/1p1n2qp/4Q3/6BP/1P3PPK/3R4 b - -,c6c4
8/8/2pr1pp1/p3k1p1/Pp1pP1P1/1P3P1P/2P1K3/7R b - -,f6f5
r5R1/3q3k/p2p1Q2/3npP1P/1p6/1P2b3/P7/K5R1 w - -,f6h8
8/pK6/4N3/P7/4B1k1/8/7p/6b1 b - -,g1e3
4r1k1/pp3rbp/4Q1p1/1q2p1B1/4P1P1/3R1P2/1PP5/1K5R w - -,e6a2
rn2r3/pp3pbk/2p1pnpp/3q4/3P1B1P/2PB2N1/PP1Q1PP1/R3R1K1 b - -,d5d8
r4r1k/pQ1b1q1p/2p3p1/3p4/3R2P1/7P/PP3PB1/5RK1 w - -,b7c7
7Q/8/6p1/5qk1/7b/8/5P2/6K1 w - -,h8d8
r2q1rk1/ppp1np2/1b1pbn1p/4p1p1/B3P3/2PP1NB1/PP1N1PPP/R2Q1RK1 b - -,e7g6
3r1bk1/3p1ppn/b1pNq2p/p3P3/2pQR3/2P4P/P1B3P1/R5K1 b - -,h7g5
r4rk1/2p2pp1/p6p/1p2b2Q/3pP3/P2P1N1P/1Pq2PP1/R3R1K1 b - -,f7f6
2kr3r/ppq2pp1/2p5/5P1p/3Pn2P/5Q2/PPPB1P2/2KR3R b - -,d8d4
k1r4r/1p2n1pp/p4B2/Q4P2/4p2q/4P1NP/PP3P2/1K1R3R b - -,h4f6
8/8/8/6p1/2k3P1/K5P1/p1r5/3R4 w - -,d1f1
4r1k1/2b2pp1/6p1/2pq4/2N3Q1/2P2P2/1P5P/5R1K w - -,c4e3
r1bqk2r/1p2bp1p/p1n1p3/3pN3/1PPP2p1/P1Q1B3/5PPP/R3KB1R b KQkq -,c6e5
3r2k1/5pp1/2p1p3/3b3p/N2qn3/1P3N2/P3QPPP/2R3K1 b - -,d4f6
3r1rk1/pp2ppbp/1q2b1p1/2n5/4n3/Q1N1BNP1/PP2PPBP/R2R2K1 b - -,e4c3
6k1/5N1p/2pb2p1/5p2/2P2P2/r1B1K1PP/8/2R5 b - -,g8f7
8/2Q5/8/8/8/2p5/k5K1/8 b - -,a2b2
r3r1k1/5pp1/2q4p/2PRPP2/1pQ3P1/1Nb5/P3R3/1K6 w - -,c4e4
r2q1rk1/pp4bp/2p2pp1/3pp3/2PPn1b1/1P2PN2/PB2BPPP/R2QR1K1 b - -,g4f3
2rqk2r/3bbpp1/p3p2p/3n4/1pnN1P2/8/PPP1Q1PP/1NBRRBK1 w k -,d4f5
8/3b4/1p1k1n2/p2p1pp1/P2Pp3/1PN1P1P1/3K1P2/5B2 b - -,d7e8
r3k2r/pppqb1pp/2n1bp2/3np3/4N3/P2P1NP1/1P1BPPBP/2RQK2R b Kkq -,e8g8
r4rk1/pb2qpp1/1p2nb1p/3p4/1P1Nn3/5NP1/P3PPBP/1QRRB1K1 b - -,f8c8
r5k1/pp4p1/1np4p/4Np2/4pN2/Pb2P1P1/1P1Q2BP/3n2K1 b - -,a7a5
r2qk2r/pp1bppbp/3p1np1/1B6/2PnP3/2N1BP2/PP4PP/R2QK2R w KQkq -,e3d4
8/p6p/4r3/1p1k1pp1/8/1P1K2P1/P1R2P1P/8 w - -,b3b4
8/7p/6p1/7k/1K6/4b2P/3N2P1/8 w - -,d2f3
4k3/p2b4/3pp3/2r4p/2pNPq2/8/PPP5/1K1Q2R1 w - -,g1g8
r1q3k1/2p2p1p/1pb1r1p1/2bNp3/p1P1P3/P1N4P/1PQR1PP1/5RK1 b - -,a8a5
3r2k1/pbqrbppp/1p2p3/2p5/2P1NP2/3PP1P1/P3Q1BP/R2R2K1 w - -,a2a4
8/8/3k1p2/pBnP1P1p/P2BK1pP/8/6P1/4b3 w - -,d4c5
8/1qB3pk/rP4p1/nQ1p1p2/3Pp3/1P2P2P/P7/1KR5 b - -,g6g5
r2q1rk1/pppn1ppp/2b1pn2/8/3P4/1P1B1NP1/P1P2PP1/R1BQR1K1 b - -,f8e8
5rnk/4b1p1/p5q1/2prP3/1p5p/3P3Q/PP3PPP/2BRR1K1 w - -,f2f4
3r4/q4rkp/3p2b1/3Ppp2/1Q6/P1R3PB/5P1P/2R3K1 w - -,c3c6
2r3k1/3q1p2/3pb1pb/1p2p2p/nP2P3/P5PP/1B3PBK/RQ3N2 b - -,h5h4
8/p7/5pp1/Rr2b1P1/2k5/4BK2/8/8 w - -,a5b5
r1bqk2r/pp2pp1p/5bp1/1BnP4/4P3/2N5/PP3PPP/R2QK1NR b KQkq -,e8f8
5r1k/p5pp/1p1q1r2/2ppN3/b7/P1P2P2/1P1Q2PP/2R1R1K1 b - -,h8g8
8/4N3/8/q4p2/P1p4k/4PB2/1P4R1/1K6 b - -,c4c3
5rk1/3R1p1p/p1B2Qp1/1p2p3/8/6P1/qPP2P1P/6K1 b - -,f8a8
2Q2b1k/p6p/6p1/3p4/3q2P1/Pp2p3/1P1p2P1/3R3K b - -,d4c5
2k1r3/1pp5/p7/P4p2/2B2nbP/1P6/1KPR1B2/8 w - -,f2c5
2r2bk1/5p1p/2q2P2/2r3P1/pp1R3P/4Q3/PPP5/1KR5 w - -,e3d3
r4rk1/pp1bb1pp/2n1pq2/5p2/5P2/P1N1B3/1P2Q1PP/RB3RK1 w - -,b1a2
k2r4/ppq2p2/2np1N2/1Bp5/3b3P/5Q2/P7/1R3K2 b - -,d4f6
r1b1kb1r/pp3ppp/2nqpn2/8/2Bp4/1N3N2/PPP2PPP/R1BQ1RK1 w kq -,d1e2:b3d4:f3d4
4r2k/1b1Qq1p1/4P2p/p2p4/1p1R1P2/6P1/P6P/4R1K1 w - -,d7e7
5rk1/1bq3pp/p2bpn2/3p4/8/2NQBB1P/P1P3P1/1R5K b - -,f6d7
3B3k/7p/p7/1p2b3/5p2/1P5P/1P4P1/2K5 b - -,h8g7
3rr1k1/1p3ppp/1ppn1n2/3p2PP/5B2/2P1PP2/PP1N4/R4K1R b - -,d5d4
3r4/4qpk1/2p1n1p1/2p1p3/2P1P3/r2P1QPP/5R2/1R3BK1 w - -,h3h4
4R3/6p1/8/8/3kp3/8/5K2/4r3 b - -,e1a1
r3b1k1/r5n1/2pb1qpp/1p1p1p2/1P1P1P1N/4P1P1/NR1Q3P/1B3RK1 w - -,h4f3
3r2k1/1p6/2p2p1n/8/p2qrNp1/8/PP3QP1/2R2RK1 w - -,f2d4
6r1/2p5/6rp/2p2k2/P3pp2/2P2Q2/6PP/1R4K1 w - -,f3f2
1R6/4Rpk1/3p2pp/3r4/5PP1/2b4P/P3r1BK/8 b - -,e2a2
3qk3/r2b1r2/4pPQ1/1B5p/4P3/P1N2n2/1PP4P/2K5 w - -,g6g8
2rr4/1b2ppkp/2n3p1/8/1pN5/1Pn3P1/4PPBP/R1R1NK2 b - -,c3e2
1r3r2/1p1q1pbk/2npbnpp/p1p1p3/2P5/P1NP1NP1/1PQBPPBP/1R1R2K1 w - -,c3b5
4b3/2pk3p/r1p3p1/N1K2p2/1PP2P1P/p3R3/P3P3/8 w - -,e3a3
3rbrk1/1p2bppp/nqp1pn2/p2pN3/2P1PP2/PP1P2PB/1BQN3P/3R1R1K b - f3,a6c5
5rk1/5p1p/3p2pQ/3Pp3/r7/7P/2n2PPN/6K1 w - -,h2f3
4bnk1/1p2nrqp/pr2p1pR/3pP1P1/PB1P1NP1/1P1B1R2/3Q4/6K1 w - -,d3b1:d3c2
r1bqk2r/pp2npbp/2np2p1/2p1p3/1PP5/P1N2NP1/3PPPBP/R1BQ1RK1 b kq b3,c8e6:e5e4:e8g8:a8b8:c6b4
r4r1k/3pb1pp/bq6/3QP3/ppP1NPp1/8/PP4BP/R1B4K w - -,c4c5
2kr3r/1p2bppp/2p5/p3P3/4BPb1/4B1P1/PPP5/2K1R2R b - -,c8c7
8/kp6/p7/5p1Q/8/7p/1P6/1K1B2q1 w - -,b1c2
4r3/3QP1kp/R5P1/8/2rb4/8/2KB1q2/4R3 w - -,c2d3
8/1p1kbp1p/2qp1p2/p1r1pP2/2Pn4/3B3P/PP1Q1PPK/R5R1 w - -,g1e1
r5k1/5pp1/4n1p1/1p3q2/8/1P2B2P/4QPP1/3R2K1 w - -,d1c1
4q3/2p2p1k/5bpp/5n2/NpR1b3/1Pn2QPP/P1N2B2/6K1 w - -,c4e4
2r1r1k1/ppqb2bp/2pp1pp1/6n1/3P2PB/N1PB2QP/PP1N4/R5K1 w - -,h4g5
r2q1rk1/1b1nbppp/p3pn2/1p4B1/2pPP3/2N2N2/PPB1QPPP/R4RK1 b - -,b5b4
k7/p1p5/1bp5/5p2/3p2pQ/P2P4/1PP3bP/1K6 b - -,f5f4
7k/4Qq2/1p2Np1p/4nP2/3p4/6P1/4P2P/6K1 w - -,e7d8
1r3rk1/p2B1ppp/1q2nb2/3Q4/8/2N4P/PPP2PP1/R4RK1 w - -,c3a4
r1b2r2/1p1nq2k/p2p2pp/2pP1p2/P1P1PP2/1P4n1/1B4BP/R3QRK1 w - -,h2g3
2r1brk1/p3p3/1p2Pq2/5p2/2p2N2/6PP/P3QPB1/1R4K1 w - -,b1c1
r4rk1/pbp2ppp/1p1q4/n1p1n3/P1B1PR2/3PB2P/1PPN2P1/R2Q2K1 w - -,c4a2
2r1r1k1/pq2npbp/1p2p1p1/3b4/1P1P4/P3N3/1B2QPPP/1B1RR1K1 w - -,b1d3
8/r2np2k/1N6/PrpPp1qp/4Ppp1/1PQ2P2/1R4PP/1R5K w - -,b6c4:b6d7
1r2rk2/5n1p/p3Bp2/nppP4/5P2/6P1/P1N2R1P/4R1K1 w - -,c2e3
1q1rn1k1/1p2npb1/p2p2pp/N2Pp3/1B2P3/4Q1PP/PP3PB1/2R3K1 b - -,f7f5
2rr4/p4pkp/1pn1p3/4P1p1/P2P2P1/4RP2/1P5P/1B1R3K b - -,d8d4
r5k1/pp2pr1p/3p2p1/4b2P/4p1P1/1B2B3/PPP5/2K4R w - -,h1f1
r6k/pb4pp/1q2Rn1b/1P1p1B2/7Q/5P2/PP5P/1K1R4 b - -,b6d8
1R6/P4pk1/6p1/4p1P1/6Np/5PbP/4K3/r7 b - -,a1a2
3r2k1/pp3p2/7p/6pq/2nPQ1b1/2P3P1/P5BP/2K1R1B1 b - -,g4e6
1r2r1k1/6q1/1pbp1n2/p1pNb1pp/P1P1Pp2/1P1B1P2/2R2BPP/3R1Q1K b - -,c6d7
r1b2rk1/1p1p1ppp/1qn1pn2/p7/1bP1PB2/1NNB4/PP3PPP/R2QK2R w KQ a6,e1g1
8/5pk1/1p2p3/4P3/2R3p1/P3R1P1/5P2/1q4K1 w - -,g1h2
8/8/4k3/1p2p2n/3pN1pP/P2P2P1/4K3/4B3 w - -,e2d1
5r2/p2k4/4p3/4b1P1/4B2P/2nP2K1/2R2P2/2R5 w - -,g3h3
3rr1k1/pp2bpp1/6bp/q1nPp3/2P4P/4N1P1/P3QPB1/R1BR2K1 w - -,h4h5
rn2r1k1/1p2qpbp/p1ppbnp1/8/P1P1P3/2N1BP2/1PN1B1PP/R2Q1RK1 w - -,d1d2
r2r2k1/1q2ppb1/4b1pp/p1RpP3/p2Q4/1P4P1/1B2PPBP/3R2K1 w - -,b3a4
8/8/2k1r3/8/3Q4/3K4/8/8 w - -,d3c4
rnbqk2r/1pp1ppbp/p2p1np1/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1d3:c1f4:a2a4
r2r4/pp2k2p/8/2P1pb2/1P2n1p1/P3P3/5NPP/R1B1K2R w KQ -,e1g1
3r1bk1/7p/2P1b1p1/1Rr1pp2/P7/4N1P1/5PBP/5RK1 w - f6,b5c5
8/5p2/4p3/7p/2kP2p1/5PP1/2r3P1/3R2K1 b - -,c2c3
8/3r4/2p3p1/2P1kp1p/7P/4PPP1/2R1K3/8 b - -,d7d8
8/5p1p/6p1/2nP4/2PkP3/6PP/2B3K1/8 w - -,g2f3
5rk1/1p5p/4q1p1/p2p2nr/3Q3P/1P1N1PP1/P5K1/3R1R2 w - -,d3f4
2r3k1/pq2ppbp/1n1p2p1/3P4/pPr5/3QB1PP/P4P2/1RR2BK1 w - -,c1c4
4k2r/2q1bppp/2p1p3/r1npP3/2P5/2Q1BB2/P4PPP/R4RK1 w k -,c4d5
4rbk1/7p/p5p1/4ppB1/2R1p3/1P4P1/4PP1P/6K1 w - f6,c4c6
r3k1r1/q2bnnp1/1p2p2p/2bpPp1P/3N1B2/2PB2RN/PQ3PP1/1R3K2 w - -,d3b5
8/5ppk/p2Rp2p/1p3r2/6nP/P1N3P1/1PP2P2/6K1 w - -,c3e4
8/p2kp2p/N1p2rp1/8/3P4/7P/PP3PP1/5RK1 b - -,f6d6
3r1rk1/p4ppp/4b3/1Qp1q3/5Bn1/2N3P1/PP2PP1P/R4RK1 b - -,e5h5
r1bq1rk1/1pp4p/2n1p2b/p2pBp2/P2Pn1p1/1NP2NP1/1P2PPBP/R2Q1RK1 w - -,f3e1
r4rk1/p4pp1/4p3/Bpbn2P1/7P/3R4/PPP1NP2/2K4R b - -,c5f2
6k1/1p1r1pp1/5n1p/1Pppr3/4n3/R1N1P3/1P3PPP/3RBK2 w - -,a3a8
3rr1k1/2q2p1p/5np1/p2P4/1p2p3/1P1N1P2/1PPRQ1PP/R6K w - -,d3e1
r1bq1rk1/1ppn2bp/p2p1np1/3PppB1/2P1P3/2N2P2/PP1QN1PP/2KR1B1R w - -,e4f5
r1b2rk1/1pqn1pb1/p2ppnpp/2pP4/2P1P2B/1NN5/PP2BPPP/R2QK2R w KQ -,d5e6
8/ppR1k1pp/5p2/8/4P3/6P1/PP1r1PK1/8 b - -,d2d7
rnbqk1nr/ppp2pbp/3p2p1/8/3NP3/2N3P1/PPP2P1P/R1BQKB1R b KQkq -,g8e7
r3r3/2pk1pp1/5b2/ppPp3p/3P3P/2P1Bb1R/1P1K1P2/R1N5 b - -,f3e4
3r1k2/4p2p/p5p1/2Pn1p2/2B2P2/2p4P/6P1/2R3K1 w - -,c4d5
5r2/1pp3kp/1p4p1/1b2p3/4R3/2Pn2PP/P1Nn3K/R4B2 w - -,f1d3
r2q1rk1/ppp2ppp/6b1/4b3/6P1/B1P4P/P1P2PB1/R2Q1RK1 b - -,e5c3
b1r1r1k1/6p1/p3pq1p/np1nNp1Q/3B4/P7/BP3PPP/3RR1K1 b - -,d5f4
rn1r2k1/1p2bpp1/p3p2p/4q3/4N2P/2P3P1/PP2QP2/R1B2K1R b - -,b8c6
r2q1k1r/3n1p1p/p5p1/2pR2b1/Q1pP4/2N5/PP4PP/4R1K1 w - -,d5d7
4r1k1/p7/4qpp1/3p3p/1BpPn3/2P1P3/4Q1PP/R5K1 b - -,a7a6
2r2rk1/5ppp/1n3q2/pnbp1N2/1p6/1P1QBBPP/P6K/3RR3 w - -,d3b5
r2q1rk1/pb2bppp/1pn1pn2/2ppN3/3P3B/2PBP3/PP1NQPPP/R3K2R b KQ -,c6e5
8/R4pp1/3n1k2/1p1P2bN/1P6/P2r1B2/5K2/8 b - -,f6e5
2b1r1r1/6pk/1p3q1p/p1p1NP1P/P1Q3P1/2P1R2K/8/4R3 w - c6,h3g3
8/p2q2k1/P2p4/Rp1Pr1p1/1Pr1p3/2P1RpPp/5P1K/3Q4 b - -,g5g4
r3r1k1/8/2p1pp2/3q1npp/2RPQ3/bP3N1P/5PPB/4R1K1 b - -,d5e4
4r2k/1pp1qpb1/p3r1p1/P2p3p/1P1P4/2P2PP1/3Q1NKP/R3R3 w - -,e1e6
r4rk1/1bqn3p/pp2Qbp1/3n4/P4P2/2NBB3/1PP3PP/R4R1K b - -,g8g7
r6k/pp3qp1/2p4p/2Qnp3/1P5P/r5P1/5PB1/3RR1K1 w - -,g2d5
r1b2r1k/1q2bppp/p2ppn2/4n3/Np2P3/1B2BP2/PPP1NQPP/R2R2K1 b - -,a6a5
8/8/B1kb4/P5R1/r5P1/5P2/2K5/8 b - -,d6c5
r2b4/5pkp/RpR3p1/3p4/1B1P1P2/6P1/5K1P/8 b - -,a8a6
r4k2/1bR2pp1/p3pn2/1p2Q3/8/5qP1/PP3P2/1B2B1K1 w - -,c7b7
8/1p1rk2p/p2n2p1/2p5/2P1N3/3R4/PPP3PP/6K1 w - -,e4d6
8/4k1p1/pN2p2p/3b4/Pr6/1P5P/6P1/5BK1 w - -,a4a5
3rkb1r/1p3ppp/p3b3/4p3/4N3/2n5/PPP2PPP/R1BR2K1 w k -,d1d8
1r4k1/p2q1p1p/7b/p2P2p1/3BPP2/3Q1K1P/B5P1/8 b - -,g5f4
8/8/R6P/p7/8/1K4k1/7r/8 b - -,g3g4
4r3/7P/6k1/3K1p2/4p2R/4P2P/5P2/8 b - -,e8h8
3q2k1/r2b1p2/2p1p1p1/2RpP3/3P1PQ1/2B5/PPP5/2K5 w - -,a2a3
r2qrbk1/1pp2pp1/p1n1bn1p/4p3/4P3/1BP1BN1P/PPQ2PP1/R3RNK1 b - -,d8e7
r2q1r1k/1p3p2/p2ppP1p/3Nb3/4Q3/8/PPP3PP/R4RK1 w - -,e4e3
r4rk1/pbp3pp/np1pp3/3P1pn1/2P4q/B1PBPP2/P1Q3PP/R3NRK1 w - -,f3f4
5k2/5p2/2BNrn2/p1Pp2B1/3P4/1b3K2/8/8 w - a6,g5h6
2r1r1k1/1b1q1pb1/p1Np2p1/R2P4/4n2p/Q3B1P1/1P3PBP/3R2K1 b - -,h4h3
3r1rk1/p3n1bp/2pp3n/q3pp2/2P1P2N/2N2P2/PP2Q1P1/3RK1BR w K -,g2g4
4r1k1/ppr1bppp/2p1bn2/3P4/8/2N1N1PP/PP3PB1/2R1R1K1 b - -,c6d5
1rbqrnk1/5p1p/p5p1/5PbR/Np1pp3/1P6/P1PN2BP/3RBQK1 w - -,f5g6
8/5ppk/3P3p/2R5/r2r2P1/7P/P3R1K1/8 b - -,d4d6
