8/6p1/1k6/p7/Pp6/1PnB4/1KPr4/4R3 b - -,d2d1
1k1r3r/1p2R2p/p1p2P2/7P/q7/8/1P1NB3/2BK1R2 w - -,d1e1
r3k2r/2qbbp2/pnn1p1p1/1p1pP2p/2pP1P2/1P2NN1P/P1P1B1P1/R2QBRK1 b kq -,e8c8
1r1r1bk1/1q2np1p/ppn3p1/2p1p2P/P3P3/N1P1BBP1/1P2QP2/R2R2K1 b - -,e7c8
rn1qkb1r/p2p1ppp/bpp1pn2/8/2PP4/5NP1/PPQ1PP1P/RNB1KB1R w KQkq -,f1g2:e2e4
r3kb1r/1pqnpppp/p4n2/5b2/Q7/N1P1BN1P/PP3PP1/R3KB1R w KQkq -,a1d1:e3f4
1rb1r1k1/1pqnpp2/p3P1pp/2pP4/P1Pb2nB/2NB1N2/1P1Q2PP/4RR1K b - -,f7e6
rqbr2k1/p2nbppp/1p2pn2/2p5/2NP4/BP1BPN2/P1Q2PPP/2R2RK1 b - -,c8a6
r2r2k1/1pn1qpbp/2ppb1p1/pPn5/P1P1PP2/2N2QP1/R3N1BP/2B2RK1 w - -,f4f5
8/2p3P1/1p5K/4k3/2b4P/p7/8/8 w - -,h6h7
r2qr1k1/3nnpbp/1p2p1P1/pP1pP3/2pP4/2P1NNP1/1PQ2PK1/R1BR4 b - -,h7g6
b1rr3k/p3Qpqp/1p2p1p1/2pP4/2P5/1P5R/P4PBP/3R2K1 b - -,e6d5
8/8/6k1/6P1/4KP2/2n3N1/8/8 w - -,e4e5
2bq1rk1/rpp2ppp/p1np4/4p2n/4P3/1BPP1N2/PP1N1PPP/R2Q1RK1 w - -,d2c4
4b3/7B/3Bnk2/pppp2p1/8/P1P1K3/4N2P/8 w - -,h7g8
rn1qkb1r/pp2pppp/2p2n2/3PN3/3P2b1/8/PP2PPPP/RNBQKB1R b KQkq -,c6d5
r2n4/3q1kbp/1n1p1pp1/2pPp2P/p1P1P1Q1/2N1B3/P2N1PP1/1R4K1 w - -,g4d1
rnbq1r1k/pp5p/1n1p2p1/4bp2/2P5/1QN1BN1P/PP2BPP1/3RK2R b K -,d8f6
2kr4/pp3p2/2pqpnp1/7r/PbPP1P1p/1P3Q2/2B1R1PP/B4RK1 b - -,f6g8
r4rk1/p1qn1pp1/1p1pp2p/2p5/2PPn3/B1P1P2P/P1Q2PP1/R4RK1 w - -,c2e4
1r6/8/8/R4pkp/4p1p1/6P1/5PKP/8 w - h6,a5c5
r1bq1rk1/1ppn1pbp/p1np2p1/3Np3/BPP1P3/3PBN1P/P4PP1/R2Q1RK1 b - b3,c6d4
1R6/p1rn1pk1/2p4p/2P1p1p1/2P3P1/P3BP1P/P3K3/8 w - -,b8b1
3k4/3P4/1pB5/2p1p3/P3P2r/2PK4/8/8 w - -,d3c4
2rr2k1/p3qpb1/1p2b1p1/2p1p2p/1n2N3/PPQPP2P/1B2BPP1/1R1R2K1 b - -,b4d5
8/4k3/4p3/3n1p1B/P4Pp1/1PK3PP/3N4/3b4 w - -,c3d4
2r3k1/1qr2pp1/3bp2p/ppNp4/1PnP4/PQR1P1P1/5P1P/2R1B1K1 b - -,d6c5
r1q1k2r/pppnbpp1/n3p1p1/8/2PP2P1/1QN1B2P/PP2BP2/R3K2R w KQkq -,e1c1
r1b4k/p3N1qn/p2p1r1p/3P4/3B1P2/2NQ4/PP6/2K4R w - -,c3e4
2bq1rk1/1p2npbp/r5p1/p1p1p3/2Pp4/PPnPPNP1/1BN2PBP/R2Q1RK1 w - -,b2c3
2r3k1/4qp1p/p2p2p1/1p1PR3/1P6/3r2P1/P4P1P/1R4K1 w - -,e5e7
3r1bk1/2q2p2/1p4pp/pB1Pp3/1P2Q1P1/P6P/5P2/3R2K1 w - a6,b5c6
8/p4pkp/3p1bp1/3Pp3/4P3/Pq1Q2PP/1rp2PK1/2R1N3 w - -,d3b3
3r2k1/5ppp/8/8/p4P2/2R3P1/5K1P/8 b - -,d8a8
4r3/1k1n4/2b2n2/1pb1p1B1/8/3qN3/PP4PP/R3QR1K w - -,a1c1
4r3/R1Q3pk/8/5p1b/1P1KP3/P2P1P2/6q1/8 b - -,h5f3
r6k/6p1/p1p2b2/1r2p2p/2N2p2/2P2P1P/1P4P1/R4RK1 w - h6,g1f2
2r4r/3nkp1p/p2q1npB/3Pp2P/8/5B2/PP2Q2P/1KR2R2 w - -,c1c6
r1bqr1k1/ppp2pbp/1nn3p1/4p3/8/2NPBNP1/PP1QPPBP/2R2RK1 b - -,c6d4
2r1kb1r/1bqn1p2/p3p1pp/2p1P3/2Pp1BQP/1P1B4/PN3PP1/R3R1K1 b k -,d7b8
r1br2k1/pp2qpbp/2p2np1/P1n1p3/2B1P3/2N1B2P/1PPN1PP1/R2Q1RK1 w - -,d1f3
3q1rk1/1p2bpp1/p2pb2p/2r1p3/P1P1P3/1PNQ4/5PPP/R2R1NK1 b - -,f7f5
r4rk1/pp1nppbp/2pq2p1/3n4/2BP4/5N1P/PPP2PP1/R1BQR1K1 w - -,c4b3
8/2R2pk1/6p1/2prn3/7p/4N2P/5PPK/8 b - -,d5d2
2b1r1k1/1p1Nppb1/1qp2np1/r2p3p/p2P1B2/P1N3PP/1PPQPPB1/1R1R2K1 b - -,c8d7
r2q1rk1/1p2ppb1/3p2p1/1bpPn2p/4PN1P/Pp1PBPP1/5RB1/1R1Q2K1 w - -,d1b3
6k1/4bp2/1q1p3p/1p2np1Q/p3P3/7P/PP1r1PPB/1B2R2K w - -,h2f4
r2q1rk1/1p2bppp/2p1pn2/8/p1PP4/3QB2P/PP2BPP1/R2R2K1 w - -,d3d2
rnbqk2r/pp2ppbp/2p3pn/3pP3/3P4/2P5/PP1N1PPP/R1BQKBNR w KQkq -,f1d3
1r3k2/5p2/2R2pp1/p3p3/p3P3/1PP2P2/6PP/6K1 w - -,b3a4
3r2k1/p6p/4qbp1/3p1pB1/1Pp2P2/2P5/P3P1Q1/3R1K2 b - -,f6g5
8/3k4/7R/3K4/3P2r1/8/8/8 b - -,g4g5
5B2/8/n1k1p1pp/4Pp2/2PK1P1P/6P1/8/8 b - -,h6h5
r1n1k2r/pp3ppp/4pn2/1P1p4/3P1N2/2PK1P2/RP1N2PP/R7 b kq -,e8d7
r1b2rk1/2qpbppp/p1n1pn2/1p2P3/3N1P2/2N1B3/PPP1B1PP/R2Q1R1K b - -,f6e8
r3r1k1/1p1b1pbp/p2Pq1p1/2P5/P1N1pP2/2B5/1P3QBP/R6K w - -,c3g7
3rr1k1/p1p2pbp/2ppbnp1/8/1qP1P1P1/2N1BP2/PP1QBR1P/2R3K1 w - -,a2a3
rn1qkb1r/pp2pppp/2pp1n2/3P4/2P5/2N2P2/PP3PPP/R1BQKB1R b KQkq -,g7g6
r2R4/2k2p1p/2p1b1p1/1pb1p3/4P3/1PN2P1P/1PK1N1P1/3R4 b - -,a8d8
r6k/6b1/p1b4p/1p2PPpq/1P1B4/1QP5/5K1P/R2R4 w - -,f2e1
2b5/3rkp2/2p3r1/p3p3/P1B1P3/2P2Pp1/2K3R1/6R1 b - -,d7d6
r4rk1/pb4p1/1p1p1q1p/n1p1pP2/2PP4/2PB2B1/P1Q3PP/1R3RK1 w - -,d4d5
r1b1q1k1/1p3ppp/5n2/p2P2B1/1b1p4/1Q1B1N2/PP3PPP/R5K1 b - -,e8d8
6r1/7p/2p1pk2/1bP1Np2/5KP1/4R2P/8/8 b - -,g8a8
8/3k4/PR1P4/8/3r4/1K6/8/8 b - -,d4d1
r3k2r/pp3ppp/2n1pq2/2Bp4/1P6/P1P1PB1P/5PP1/Q4RK1 b kq -,b7b6
5rk1/p2Rpp1p/1p1b2p1/2r5/2P5/5B2/PP3PPP/3R2K1 w - -,b2b3
r1bq1rk1/pp2nppp/3b1n2/3p4/3P1p2/1BN2N2/PPP3PP/R1B1QRK1 w - -,f3e5
r2q2k1/p4pb1/2p3pp/4p3/4NnPQ/4BP2/PPP4P/2K4R w - -,h4d8
1r1q1rk1/2pbppbp/p1np1np1/1p6/2PP1B2/P1N2NP1/1P2PPBP/2RQ1RK1 w - b6,c4b5
r1b2rk1/p1p2ppp/2p2n2/6q1/3P4/2BQpPP1/PP2P2P/R3KB1R w KQ -,f1g2
3r2k1/2q1bppp/1pp1n3/p3p3/P1P1P3/1P2B1P1/2Q1NPKP/3R4 b - -,e7c5
2kr3r/ppp1q3/1b1p1p1p/4p2n/PPB1P1bB/2PP1NP1/5P2/R2Q1RK1 b - a3,a7a6
4r3/4q1kp/2Q3p1/1R2p3/1P1b4/8/6PP/5R1K b - -,g7h6
8/7R/1p6/8/rk6/8/1K6/8 b - -,a4a8
3N4/3K1k2/1b3p2/6p1/4P1P1/5P2/8/8 b - -,f7f8
r1b2rk1/pp1np1bp/2n3p1/1BpNp3/5P2/5N2/PPPB2PP/R3K2R w KQ -,d5c7
r1bq1rk1/pp3ppp/2nb1n2/3p4/3N4/1P1BP3/PB1N1PPP/R2QK2R w KQ -,d4c6
5nk1/bp3ppp/p3p3/8/bPNpPN2/P6P/5PP1/1B4K1 b - -,f8d7
8/p7/1b3k2/3B3p/7K/7P/P5R1/7r b - -,h1d1
5r2/1R5p/Pp4p1/2pP4/2P2p1P/2K3k1/8/8 w - -,a6a7
r2q1rk1/1bpn2p1/1p1p3p/p2Ppp2/1PP5/P4NP1/3QPPBP/R4RK1 w - -,d2b2
7R/3b1k1p/2p2ppB/4p3/2P4P/6P1/4PP1K/4r3 b - -,d7g4
8/5pk1/2pqp1p1/1p1n4/1PnP4/2PQ2P1/r4PB1/1R2B1K1 b - -,d6d8
r4rk1/1pqnppnp/p2p2p1/2pP4/P1PbPP2/2N4P/1PQ1B1PB/3R1R1K w - -,e2f3
q3r1k1/1b1r1ppn/8/p1b1pPB1/PpPpP3/1P4NP/2P3BK/R3QR2 w - -,g5h4
8/5P2/p2p3K/7P/8/2k2P2/8/1q6 b - -,b1f5
4r3/6k1/p6p/2R3p1/1p2rp2/7P/PPP1R1P1/2K5 w - -,e2e4
r3rk2/pbq2p2/1p1bpp2/5N2/3P4/P1P4Q/2B2PPP/R3R1K1 b - -,d6h2
r4n2/6k1/4p1p1/2p3Pp/2Pq1P2/1P3Q2/6P1/5R1K b - -,a8a1
1N3r1k/3n3p/1p1P1bp1/2pQ1p2/5N2/q3P3/P4PPP/1R1R2K1 b - -,f8b8
r3kb1r/5pp1/2q1p2p/p1p1B2Q/1pP5/P3R1P1/1PP2P1P/4R1K1 b kq -,g7g6
r5k1/pB2b1p1/1p3p1p/n3p3/7P/P1N1P1B1/1P3PP1/3K3R b - -,a5b7
2rrn1k1/4q1bp/1p3np1/pPpR1p2/P1P1p3/4P1BP/2Q1BPPN/3R2K1 w - -,g3h4
1r6/ppk2p2/r3p1p1/3p4/PR1P3P/2P3P1/3K1P2/1R6 w - -,g3g4
8/4pk2/4n1pp/1R2P3/4N1P1/r7/5K2/8 w - -,b5b7
r3k2r/1pqbbpp1/p1npp3/6Bn/3NP3/2N2P2/PPPQ3P/1K1R1B1R w kq -,g5e7
1r2r1k1/1b3pp1/pN2qn2/1n2P3/2pp2P1/4BB2/PPQ1PP2/2RR2K1 w - -,e3f4
6k1/1p1b2bp/6p1/3P1p2/4p3/1B1PP3/1B3PPP/6K1 w - -,d5d6
r1b1rnk1/ppq2pb1/2pp1npp/8/2PP4/2N3B1/PPQNBPPP/3R1RK1 b - -,c8f5
4r3/1pp2rp1/p3kp1p/3Rp2P/7N/2P3K1/PP6/3R4 w - -,h4g6
r3r1k1/2p3p1/1p1pnp1q/3P3n/P1P1pP2/4P3/1B2Q2P/R5RK w - -,d5e6
r3bq1r/p2k4/2n1p2p/1p1pPp1P/2pP1Q1N/2P5/P1PKBP2/R6R w - b6,a1b1
r1r3k1/1p1bpp1p/3p1bp1/5P2/1qP1P3/1PN5/3QB1PP/3R1RK1 w - -,c3d5
r2qr1k1/pp3pp1/2np1n1p/3ppb2/3P4/P1P1PN1P/1P1NBPP1/2RQ1RK1 w - -,c3c4
1r1q1k1r/2nbpp2/1p1n1bp1/p1pP2Bp/2P5/1NNB1P2/PP1Q2PP/3RR1K1 w - -,g5f6
r5k1/3n1p2/p1qpr1p1/2p4p/4PB2/1P3P1P/2P2QP1/R2R3K b - -,d7f6
5bk1/p3pp1p/4n3/3NPQ2/q2r4/7P/1rp2BP1/2R1R1K1 w - -,f2d4
r1bq1rk1/pppp1ppp/2nb1n2/1B2p3/8/1P2P1N1/PBPP1PPP/RN1QK2R b KQ -,g7g6:f8e8
8/4p3/3p1b2/3P1k2/1p2r3/1Pr5/5PK1/1R1RN3 w - -,g2f1
2bn4/n3k3/2P2p2/N1P2P1p/BN3KpP/8/8/8 w - -,b4d5
r1bqkb1r/1p1n1ppp/p1n1p3/3pP3/2pP1P2/2N1BN2/PRPQB1PP/4K2R b Kkq -,f8b4
2r1k1r1/4ppP1/3p2p1/3N2Pp/1Kn1P2P/7R/6B1/3R4 b - -,c4e5
r4k1r/p1q3p1/2pbpnnp/1p6/P2N4/1QP5/1P1N1PPP/R1B2BK1 b - -,d6h2
8/6p1/4Kpkn/2R4p/7P/5PP1/8/8 w - -,c5d5
8/4bpk1/1P2p1p1/pq1rP3/Np2QP1p/1P5P/5BPK/8 w - -,e4c4
r2q1rk1/2pn1ppp/1p1ppn2/8/2PPb3/PpB3PB/1Q1NPP1P/R4RK1 b - -,e4c6
3b4/8/8/8/2P3KP/4k3/8/5B2 w - -,c4c5
8/5p2/4pBp1/4P2p/2k2P1P/4K3/8/3r4 w - -,f6g5
r2q3k/1p4p1/p1n1p1B1/3pP3/3P2bb/P3P3/1PQ4N/R1B3K1 b - -,d8g5
2rkr3/3b1p2/p2p1P2/1p1Pp1Qp/2q1B2P/2P5/PPN5/1K2R3 b - -,d7g4
3r4/3k4/7R/P5p1/2p5/8/5P2/6K1 w - -,h6h3
rn2kb1r/pp1bnpp1/4p3/2PpP1Pp/8/NPP2N2/1P3P1P/R1B1KB1R b KQkq -,e7g6
3r2b1/p2r2k1/1p6/6N1/2p2pP1/PP3P2/8/2R2BK1 w - -,f1c4
5rk1/1p3pp1/p2qp2p/3p4/3P4/2R1P2P/PPQ2PP1/6K1 w - -,a2a3
3R4/1p4k1/p4np1/4N2p/2P1n3/1P4P1/4r1BK/8 b - -,e4d2
2r1r1k1/1p2bpp1/q3p2p/pN6/PBP5/3R3P/1PQ2PP1/3R2K1 b - -,e7b4
6k1/3q1p2/1p3N1p/p5p1/3p4/P5PQ/5rPK/8 b - -,f2f6
8/1pk2p2/5p1p/PQPr1p2/4r3/3R1N2/KP4PP/5q2 w - -,f3e1
2b1n3/1pq2rkp/r2pppp1/1R6/4P3/1QN3P1/P1P2PBP/3R2K1 w - -,b5b4
2k5/1p3pp1/1q2pb1p/p1P5/P1P1Q3/1P3P2/K2B2PP/8 b - -,b6c5
rnbqkb1r/ppp2ppp/8/3N4/4Pp2/8/PPPP2PP/R1BQK1NR b KQkq -,g7g5
5k2/4R3/3K2p1/8/6b1/8/8/8 w - -,e7a7
r1b1r1k1/5pp1/p4q1p/1p1Pn3/1P1QPn2/2N1NP2/2K1B1PP/1R5R w - -,h1d1
r3r1k1/1pp2ppp/p2qnn2/3p4/3P4/P1NBPP2/1PQ2P1P/R4R1K w - -,b2b4
8/4k3/8/r7/4PK2/8/7R/8 b - -,e7e6
r2qkb1r/5ppp/p4n2/2n1pP2/Np2p3/1B6/PPP3PP/R1BQR1K1 w kq -,c1e3
2brr3/pp2kp2/2pp2p1/7p/2P5/1P2P1PP/P2RNP1K/3R4 w - -,e2f4
8/5p2/6p1/4Pk1p/1p6/1B2K1P1/7P/8 b - -,f5e5
r2qbrk1/1p2bppp/p3pn2/4N1B1/PnBP4/2N5/1P2QPPP/R2R2K1 w - -,a1c1
5k2/1R6/2r2P2/p3P2p/3B2pP/8/3K4/8 b - -,g4g3
8/8/4k1p1/p4p2/P2KpPp1/1P1p2P1/2r4R/8 w - -,h2h1
8/p2k1p2/8/1PPp1K2/8/8/8/8 b - -,f7f6
r7/6R1/6K1/2kb4/6P1/P3R3/8/8 w - -,g4g5
rnbqkb1r/pp3ppp/2pp1n2/4p3/3PP3/2N3P1/PPP2PBP/R1BQK1NR b KQkq d3,d8c7
8/5p2/5k2/8/1P4rP/PR6/7K/8 w - -,h2h3
rq3rk1/3b2bp/p2p2p1/1p1Ppp2/1P2P3/4BP2/P1BQ2PP/R4RK1 b - b3,f5f4
8/5kpp/8/2P2P2/1R1P4/7P/2r5/4K3 w - -,e1d1
r2r2k1/p4ppp/5n2/2np4/8/P1N1PP2/4K1PP/1RBR4 b - -,c5e6
6bk/R6p/7P/8/2pK4/2P5/p7/r7 w - -,d4c5
8/6pk/1Rp4p/2P1p3/PK6/5r2/5P1P/8 b - -,f3f2
8/pp1rp1bk/2p1Q1pp/6q1/3P4/1PB2P1P/P2R2P1/7K b - -,d7d6
4n1k1/1Q4pp/p3q3/3p1p2/3B3P/1P1bP1PB/5P2/6K1 w - -,h3g2
6k1/5p2/b5p1/6P1/3p4/P2Bn1B1/3K3P/8 b - -,e3f1
5k2/p2r4/1p3P1p/2ppq3/5RPP/1P3Q2/P5K1/8 w - -,g2h3
2kr3r/pp1nppbp/1qp3p1/3nP3/3PN3/3B1Q1P/PPP3P1/R1B2R1K w - -,c2c3
rn3rk1/pbp2npp/1p6/4q3/4pB2/1QN3P1/PP4BP/R4R1K b - -,e5h5
2r4k/pp2pN2/6p1/2q4n/4P2Q/P7/B5PK/8 b - -,h8g7
2rq1rk1/p3bppp/4bn2/1pPp4/5BP1/P1NP1N1P/1P1Q1P2/1K1R3R b - -,d5d4
r2b1rk1/pppq3p/2np1pp1/3Np3/1PP1P3/3P2P1/P4PKP/R1BQ1R2 b - -,c6d4
2r5/4kpp1/1pb1p3/nB5p/2P4R/P3P3/3N1P1P/4K3 w - -,h4h5
2rq1rk1/4bp1p/pn2pp1Q/8/P2P4/2p2bP1/4PPBP/R1R2NK1 w - -,g2f3
1B6/3b4/ppk2p1p/2p3p1/P1Pp3P/3P2P1/8/2K5 b - -,c6b7
3QQ3/1k6/p7/1p4pp/8/5P1P/4r1r1/3K4 b - -,e2e8
2r5/4kp2/4b3/1p4p1/4B3/1P3KP1/P2R1P2/8 w - -,d2c2
3r2k1/1Q3p1p/6p1/p7/2P5/1P4P1/q4P1P/4RK2 w - a6,c4c5
8/4pk2/8/2pP1K1p/2P2R2/7P/6r1/8 w - -,f4h4
3r4/5k1p/2Rbpp2/3p2p1/3P2P1/1P2PN1P/5PK1/8 w - -,c6b6
1r6/p5kB/2n1p3/3pP1p1/Rn4P1/1PK4P/3N1P2/8 w - -,h7c2
r5k1/6pp/8/2R5/p7/R1P4P/1r3PP1/6K1 b - -,h7h6
3rr1k1/ppqnb1p1/2p1p2p/4Np1Q/1PPPpP2/P3P1P1/1B5P/R3R1K1 b - -,d7e5
r6N/ppp1k1pp/3b1n2/4n3/3p4/P7/1P3PPP/RNB1R1K1 w - -,f2f4
2B2n2/1r2bbkp/2R2p2/7p/4PP2/4B1P1/5K2/8 b - -,b7b2
6k1/pQ1nqpBp/4p1p1/3p4/8/6P1/PPr1PPBP/3R2K1 b - -,g8g7
1n6/3rkp1p/p2b2p1/1p6/1P3P2/2P4P/R2B2P1/3B1K2 w - -,d1f3
4k3/3p1p2/p3pQp1/3pq2r/3R3P/P1P5/1P3P2/2K5 w - -,f6e5
r1b1k2r/1pq2pp1/p2bpn1p/5N2/8/6P1/PPP2P1P/R1BQRBK1 b kq -,d6f8
8/5pk1/4p1p1/4b3/2R5/6PP/7K/8 b - -,g6g5
rnb2rk1/ppq1ppbp/5np1/2ppN3/3P4/2PBP3/PP2QPPP/RNB2RK1 b - -,b8c6
2r2b2/p4pkp/6p1/3QP3/1P3P2/2r5/PR4PP/6K1 w - -,e5e6
3k4/1p3p1p/p3p1p1/PP6/2P1bP2/6P1/4BK1P/8 b - -,d8c7
6R1/8/5r2/5k2/5p2/5K2/8/8 w - -,g8a8
rnbqkb1r/ppp1pppp/8/3pP3/8/2PP4/P1P2PPP/R1BQKBNR b KQkq -,c7c5
5qk1/1r3p2/4p1p1/Q1p1P3/2Pp4/3B2R1/5PP1/3b2K1 w - -,a5d2
r1Q1rbk1/pp1b1p1p/5np1/3p4/3n4/P3P1PP/1P2NPBK/R1B2R2 b - -,a8c8
4k3/p1p1bpp1/1p6/3N4/7p/1P5P/P1P2PP1/6K1 b - -,e7d6
r3kb1r/p1nqpp1p/2p2p2/1p6/P2P4/2P3Pb/1P2NPBP/R1BQ1RK1 w kq -,g2h3
8/p5r1/3k4/1R1P4/1K2B3/1P3P2/P7/2r5 w - -,b5b8
