8/8/8/5pk1/3R4/1P6/P1p2p1r/2Rb1K2 b - -,d1g4
8/p7/1pB2k2/5p1K/PP3Pp1/6b1/8/8 b - -,g3f4
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/8/1P3NP1/P1PPPPBP/RNBQ1RK1 w kq -,c1b2
3r2k1/3n3p/2p1qpp1/4p1b1/2P1P3/5P2/2B3PP/B3QR1K w - -,e1e2
5R2/r6k/7P/5pB1/2K2P2/6n1/8/8 w - -,c4b5
r3kb1r/ppq2pp1/1np1p1p1/3n2P1/3P4/2N1P2P/PP2QPB1/R1B1K2R b KQkq -,f8e7
5rk1/3n1pbp/bqn1p1p1/pp1pP1B1/3P2NP/P4NP1/1P1Q1PB1/2R3K1 b - -,f8c8
7k/pp2q1p1/2pb1np1/P4pB1/2BPr2P/2P2Q2/5PP1/R5K1 w - -,a1f1
r1b1kb1r/1p3ppp/pqnppn2/8/4PP2/PNN2Q2/1PP3PP/R1B1KB1R b KQkq -,b6c7
3r4/pp1r1kpp/8/5PP1/3p1K2/1P1R3P/P1R5/8 b - -,d8e8
8/8/5p2/1R4p1/1p5k/2b5/6K1/8 b - -,h4g4
3r4/1pnnpkb1/2p1p1pp/1p2P3/3PNP2/1P2B1PB/5K1P/r4R2 w - -,f1a1
1r3rk1/p1pq4/3p2pb/PPpPpb1p/2Q1N2P/3P2P1/5PB1/1R3RK1 b - -,b8b7
r1b1kb1r/ppp1qp1p/2n2p2/1B2P3/5B2/2P5/PP3PPP/R2QK1NR b KQkq -,f6e5
5rk1/ppr2pp1/2nq3p/3np3/3p4/PP1P1BPP/2PBQP2/R3R1K1 b - -,f8e8
r2r2k1/pp3p2/3bq2p/P1p3p1/3pP1P1/5P2/1PP2BP1/R1QR2K1 w - -,g2g3
r1bqnrk1/pppn2bp/3p4/3P1Pp1/2N2p1P/2N5/PPP1B1PB/R2Q1RK1 b - -,h7h6
rn1q1rk1/pb2npbp/1p1p2p1/1Pp1p3/2P1P3/P2P1NP1/1B1N1PBP/R2Q1RK1 b - -,b8d7
r1b3k1/5r1p/p1q3pP/4p3/4Pn2/4BK2/PpP2PP1/R6R w - -,a1d1
3rrbk1/1b3n2/p2pp1p1/4p3/1BB1P2q/P2R2N1/1P2QPP1/3R2K1 b - -,d6d5
7r/1p3k1p/p4bp1/3p1p2/3P1P2/2B5/PP3KPP/2R5 b - -,h8e8
4r1k1/2p2pbp/bp4p1/p2p4/P2P1q2/2P5/5NPP/R2QN1K1 w - -,e1d3
rnbq1rk1/ppp1ppbp/1n4p1/8/3PP3/2N1BN2/PP3PPP/R2QKB1R b KQ -,b8c6
3rk3/pp3p2/2B1p3/4P3/5P2/P1p1Q3/2P4q/1K1R4 b - -,b7c6
b3r2k/p3r3/2p4p/2Nn1p2/2B1p3/1P3PP1/P6P/3RR1K1 w - -,f3e4
r1bq1rk1/pp1nppbp/2p2np1/8/2PP4/2NBBN2/PP3PPP/R2Q1RK1 w - -,d1d2
r3k2r/2q1bppp/b1p2n2/p2p4/2P2B2/PPN3P1/5PBP/R2Q1RK1 b kq -,c7d7
r1bq1rk1/p3bpp1/2p2n1p/3p4/7B/2NB1Q2/PPP2PPP/R3R1K1 b - -,g7g5
1r1q2k1/2bn1pp1/p2p2np/P1pPp3/2P1P3/R1P1B1PP/2BN1P1K/Q7 w - -,c2a4:a3b3
4rrk1/pp4bp/3p3q/3b3n/1P3p2/3R1NP1/P4PB1/2Q1BRK1 b - -,d5e4
n1k4r/pp2qpn1/2p3p1/P2p4/3P2b1/1QNBP1N1/1P3P2/2K1R3 b - -,a8c7
3n4/5p1p/6p1/K2kN1P1/5P1P/1P6/8/8 w - -,a5b6
8/3R1R2/p3r1k1/P5pp/6P1/4P1KP/5P2/1r6 b - -,h5g4
1r2nrk1/1p1bqpbp/p2p2p1/P1pP3n/2N5/1QN3P1/1P1BPPBP/R3R1K1 b - -,h5f6
5n1k/1p3rpp/q1p3b1/5PB1/1b2P3/6NQ/2P3PP/3R3K w - -,f5g6
1r3r1k/2qbb1np/p2p1pp1/1ppPp1n1/4P1P1/PPP1B1NP/2BQ1P1K/R3N1R1 b - -,g5f7
8/3n2k1/3r4/5K2/2R2p1P/3B4/3R2P1/7r w - -,f5f4
r1bqk2r/pp2bpp1/1n1p1n2/2pPp2p/2P1P2P/2NB1P2/PP2N1P1/R1BQK2R b KQkq -,f6h7
3r2k1/p1q3p1/7p/3p1R2/2r4P/BQ1pP1P1/P4P2/3R2K1 w - -,d1d3
rnbqk2r/pp2nppp/2pb4/3p4/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
3r1bk1/5pp1/p1n1b2p/2n1pN2/2p1P3/1PP1B2P/1PB2PP1/4RNK1 b - -,c4b3
3k3r/p4pp1/1p4p1/1Pqpn2r/P3B3/2P2PP1/3QR2P/3R1K2 b - -,e5c4
8/8/2p5/1p6/2P2kP1/1R3P2/6r1/4K3 b - -,b5c4
rnbqk2r/ppp1n1pp/3b1p2/3p4/3P3B/3B1N2/PPP2PPP/RN1QK2R b KQkq -,e7g6
r3r1k1/5pbp/4p1p1/pppqPP2/2pPb1P1/4B2P/PP1Q1R1K/4N1R1 w - -,f5f6
r4rk1/2p2pp1/3ppnbp/1q6/3PP1P1/P1Q2P1B/1B3R1P/R5K1 b - -,f8b8
3r2k1/7p/1p1P2p1/4p3/6P1/7P/P5B1/3R2K1 w - -,d6d7
r2q1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQK2R w KQ -,c1e3
1r6/ppp1k1p1/3p1pb1/PP1Bp1n1/4P1P1/2PPKPN1/8/7R w - -,g3f5
8/4n1k1/r5p1/4PpPp/1B1p3P/3b2q1/3Q2B1/4R2K b - -,a6e6
1q2r1k1/5n1p/Q5p1/2pP1p2/8/6P1/4PPBP/4R1K1 w - -,e1c1
3r2k1/4pp2/p2b2pp/p7/7r/1B6/PB3PP1/4R1K1 w - -,g2g3
7r/3kbpp1/2p1p3/1p1nPP1p/3P4/8/1B1N1RPP/3bN1K1 w - -,f5e6
3r4/2k3pp/1n3p2/N4P2/P7/5K2/2B2P1P/8 b - -,d8d4
2rr2k1/4bpp1/p6p/1p2p3/3P4/P1N2b2/1PPR1PPP/1R4K1 w - -,g2f3
r5k1/3Q1pp1/7p/4P3/p7/1q1R2P1/5PKP/8 b - -,b3e6
rn1q1rk1/pbp1ppbp/1p1p1np1/6B1/2PP4/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1g1:d1c2
1r6/2p1ppkp/r3b1p1/2p5/p1P5/1PK1P3/P1B2PPP/3R3R b - -,a4b3
2b2rk1/1r2n1bp/1qn1pPp1/1p1p4/1P1P1B2/2NQ2P1/4NPBP/1R3RK1 b - -,g7f6
1rbq1rk1/p4pp1/2p2n1p/3p2B1/NbP5/3B4/PP3PPP/R2Q1RK1 w - -,g5h4
r3kb1r/pp3ppp/4bn2/2p5/4n3/1N3N1P/PPP3P1/R1BBR1K1 b kq -,f8d6
2r3k1/1R3pbp/2pp2p1/8/3PN3/4P1P1/r4P1P/2R3K1 b - -,g7f8
1k1r4/pp4Q1/2p2p1p/3P4/2Pq1P2/7P/P1P3P1/2KR4 b - -,d4a1
r2qr1k1/1pp1bbpp/p1p1np2/4p3/P3P1P1/1P1P1N1P/1BP2PN1/R2Q1RK1 b - -,e7f8
6k1/p5p1/2p1r1P1/3pP2p/5B1P/3KP1R1/P2n4/8 b - -,d2e4
2b5/1p2b1k1/p1p2p1p/2P3p1/1P3P2/1B2K1B1/P5PP/8 b - -,c8f5
r1q1r1k1/pp2ppbp/2p3p1/1n1n2B1/3Pb3/QN3NP1/PP2PPBP/R1R3K1 w - -,a3a4
r2q1k1r/1b2bppp/p3p3/1p2P3/1n1Pp1Q1/1B2B1N1/PP3PPP/R4RK1 w - -,g3h5
r1bq1r2/1pp2pkp/3p2p1/p7/2P2Pn1/1P4P1/P2QP1BP/RN3RK1 w - -,b1c3
r5k1/5ppp/p1rbp3/B2p4/3Pn3/1B2PP1P/RP4P1/R5K1 b - -,e4f6
3kn3/3p1p2/2p2P2/4pq2/P7/6RQ/2P4P/1r3BK1 b - -,f5h3
r4rk1/5pp1/b1q4p/pp1pPQ2/4n3/2P4P/PPB3P1/R1B1R1K1 w - -,c2e4
r1bq1rk1/1ppn2bn/3p3p/p2Pp1p1/1PP1Pp2/P1N2P2/3NBBPP/R2Q1RK1 b - b3,d7f6
8/p5pk/1p1P1r1p/n4b2/2p5/4Q1BP/P5P1/7K w - -,g3e5
8/1p2r3/2p5/5R2/3P2pk/P3r3/5KR1/8 w - -,g2h2
1r4k1/5n1p/1p1p1rp1/p2B1p2/2PR4/8/PP4PP/5RK1 w - -,f1d1
r1b1k2r/1pp1qppp/p1pN1n2/4p3/8/1P2P3/PBPP1PPP/R2QK1NR b KQkq -,c7d6
3r1rk1/pb2qpp1/1p2p2p/4N3/5PP1/3B3Q/PPP2b1P/2KRR3 w - -,e1e2
1r2r1k1/6p1/1p3bq1/p3p3/P1P4p/1PNbBR2/3Q1RPP/6K1 b - -,e5e4
r2q1rk1/pp2bppp/2B1pn2/3p4/8/2NP1Q1P/PPP2PP1/R1B1R1K1 b - -,b7c6
r2q1k1r/p2pppnp/1p3np1/2pP4/2P3P1/2N2P2/PP1Q1P1P/R3KB1R b KQ -,h7h5
1r4k1/8/R5K1/1p4P1/8/7P/8/8 b - -,b5b4
r1bqr1k1/pp2bppp/n2p1n2/2pP4/P7/2N2N1P/1PP1BPP1/R1BQK2R w KQ -,e1g1
7k/pR5p/2n1R3/3p2B1/8/8/P4PP1/3q2K1 w - -,g1h2
6b1/7p/8/N1k2p2/5p2/8/5K1P/8 w - -,f2f3
8/4k3/8/1PR1Pp2/2Pp1Pr1/r4K2/6p1/1R6 w - -,f3f2
4rr1k/1pp4p/n2p2b1/p2Pp1N1/2P5/P1N1P3/1P1K2R1/7R w - -,g2h2
r1b2rk1/4ppbp/p5p1/qpp1P2n/4BP2/2N2NP1/PPP1Q2P/2KR3R b - -,a8a7
6k1/p4rb1/1p2b2p/1Ppn4/4N3/B3pP2/4B2P/2R3K1 w - -,e2c4
2r3k1/1p1r2pp/p1b1p3/q2p1p2/3P4/1Q1NP3/PPR2PPP/2R3K1 b - -,d7c7
2rr2k1/pp1b1ppp/8/2n5/3N4/1P2P3/P4P1P/3RKBR1 w - -,f1c4
r2q1rk1/1pp1bppp/2np4/p1n1p3/P1P1P3/2P2N2/1PQ2PPP/R1B1RNK1 b - -,d8d7
r2qk2r/pb3ppp/1p2pn2/4P3/1pPP1b2/3Q1N2/PB1N2PP/R4RK1 b kq -,f6g4
2r3k1/pb2b1pp/1p1p2Q1/8/2PB4/PP1R1P2/4rP1P/5BK1 b - -,h7g6
8/2b4p/p2k1pp1/1p6/1PpKPP2/P4NP1/7P/8 b - -,c7b6
b3qbk1/6pp/pr6/3pN1n1/1P1N1R2/2P3B1/6QP/7K b - -,g5e4
5rk1/p1rn1ppp/q1nNp3/1pp5/P7/2PPQ1P1/1P3PBP/R2R2K1 b - a3,b5b4
8/8/1p2p3/pP2Pk2/1n4p1/6K1/1P3R2/8 b - -,f5e5
8/8/8/2K1k3/5p2/8/8/2R5 b - -,e5e4
r3r1k1/1pp3p1/p5np/3q4/3P4/6NP/PP3QP1/R4RK1 b - -,a8d8
1r1r2k1/2q2ppp/p1bppbn1/P1p5/2N1P3/1P4P1/2PBQPBP/1R1R2K1 w - -,c4b6
r2qk2r/1p2bpp1/p2pbn1p/4p3/4P1PP/1NN1nB2/PPP1QP2/2KR3R w kq -,f2e3
r1bqk2r/ppp1bppp/3p1nn1/3Pp3/2P1P3/2N2N1P/PP3PP1/R1BQKB1R w KQkq -,c1e3
r4r1k/1bp1q1pp/pn6/1p6/1P1P1b2/PBN1P3/1BR3PP/3QR1K1 b - -,f4e3
7r/p1p1k1p1/1pp1p3/3rPn1p/4N3/7P/PPP2PP1/3RR1K1 w - -,e4c3
4k3/5p2/p3p3/1p2Pp2/3P1P2/4Bq2/1P4K1/4b3 w - -,g2f3
2rqr1k1/5pp1/p1pbbn1p/3pp3/PP6/2P1PN2/1B1N1PPP/RQ2K2R w KQ -,b1d1
5rnr/p1nk1p1p/1p2p1pP/3pP1B1/q1pP1Q2/P1P2N2/2PK1PP1/1R5R b - -,d7c6
r1r3k1/1p2pp1p/2n2bp1/1p6/2pPR3/2P2N2/PP3PPP/R4BK1 w - -,a2a3
rqb2rk1/3pbppp/p1n1pn2/1p4B1/4P3/P1N2N2/1PPQBPPP/R4RK1 b - -,f8d8
b2rr2k/7p/p2P1pp1/1pN3q1/1P3n2/P1N5/Q4RPP/5R1K b - -,d8d6
2r5/5k1p/P7/6p1/1P3b2/1KP2R2/7P/8 b - -,f7e6
8/6pk/7p/pqr2p2/3prP2/1P4P1/P2R1Q1P/3R2K1 b - -,c5c3
r1bqk2r/ppp1nppp/1bnp4/6B1/4P3/1NN5/PPP1QPPP/R3KB1R b KQkq -,e8g8
8/p6p/1k3Np1/1P2p3/8/6P1/6KP/4b3 w - -,g2f1
8/1p2k3/p2b2p1/3Pp1Pp/2r1P3/2B2P2/1P4K1/5R2 w - -,f1a1
5bk1/5p1p/p1p3p1/8/P3P3/1n2B2P/5PP1/5BK1 b - -,a6a5
r1b2rk1/4nppp/2n1p3/pp1pP3/1P3P1N/1NPpq1P1/P5BP/R2QR2K b - -,e3f2
r3r1k1/pp3p2/2pb1np1/3p3p/3P3N/P1N1P1P1/1PK2PP1/3R3R w - -,h4f3
r1b1k2r/ppppqppp/2n1pn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq -,c1d2
r3r1k1/pp3pbp/q1p3p1/4N3/2P5/7P/PPQB1PP1/R3R1K1 b - -,g7e5
r4rk1/3pbppp/pqn1pn2/2p5/2P5/1Pp1PNP1/P1Q2PBP/R1BR2K1 b - -,c6b4
8/2nbbk2/1p1p1npp/p1pP1p2/P1P2P2/2N2NPP/1P1B1K2/3B4 w - -,b2b3
8/5k1p/1R6/1Pr5/5K2/8/5P2/8 w - -,b6b8
r1bqr1k1/pp1nbp2/2p4p/3N2p1/3P4/3BPNn1/PPQ2PPP/R4RK1 w - -,d5e7
r5k1/p1r1R2p/6p1/5p2/8/2P4P/P5P1/6K1 w - -,e7c7
r4rk1/4ppbp/6p1/p7/3NpB2/R1P1P3/1P2bPPP/R5K1 b - -,e2d3
rnbqrbk1/ppp2ppp/4pn2/3p4/2PP4/P1N1P1N1/1P1B1PPP/R2QKB1R b KQ -,b8d7
r1bqr1k1/1p1n1pbp/p1p2np1/4p3/2P1P3/2N2NPP/PPQ2PB1/R1BR2K1 b - -,d8c7
1r4k1/p4ppb/5B1p/Q4p2/2p3P1/5P1N/P1P4q/2KR4 b - -,g7f6
2r1kb1r/1bq2pp1/p3p3/3pP2p/Pp2nP2/1N1BB2P/1PP3PK/R2Q1R2 w k -,d1e2
6k1/p1p5/1p1rRqpp/3P4/3b1r2/1B6/PP1Q1PP1/5RK1 b - -,f6g5
q5n1/2Q2pk1/pP3pp1/1r6/5N2/8/Pr4PP/3R1RK1 w - -,f4e6
4NQ2/8/2k4p/3q4/8/8/5K2/3b4 b - -,d5d4
8/1p5k/5p1p/2P4P/b4P2/2B5/p3K3/8 w - -,c3f6
rnbqkb1r/p4ppp/1pp1pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,c4d5:d2d4
1r1q1rk1/p3pp1p/6P1/5P1P/1p2p3/3b3R/PP3bB1/R1BQ3K b - -,e4e3
8/8/2n1p3/2BpP3/p1pP4/2P1k3/2P5/2K5 b - -,e3e2
r5r1/2q1kp2/p3b3/2Pp4/N4P2/4Q1P1/PP4B1/R2n2K1 w - -,a1d1
r2q1r1k/ppp3bp/3n2p1/5p1n/3P4/1BN2Q1P/PPP2BP1/R3R1K1 b - -,d8g5
r2r4/5pk1/q2p1pp1/7p/R3P3/1P3PP1/1Q1R2KP/8 b - -,a6c6
rn1qkb1r/ppp1pppp/3p1n2/8/3PP1b1/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,b8c6:e7e6:c7c6
r6k/4p2r/3q1bR1/5Q1P/3P4/2P3R1/5PP1/6K1 w - -,f2f4
4r1k1/p4p1p/6pb/R7/3p3N/3P1BPb/Pr2PP1P/R5K1 w - -,h4g2
3r2k1/3bbppp/1n2p3/1p2P3/1Nn1NP2/P7/BB2K1PP/3R4 w - -,b2c1
4q1k1/5p2/p4PPK/1p1Q4/1P5P/P7/8/8 b - -,e8f8
1rr3k1/pp2qppp/2nNp3/3p4/3P4/1Q2P2P/PP1nBPP1/2R2RK1 w - -,d6c8
5rk1/pb3rp1/1p1Rp1pP/4Bq2/2P1pP2/PP2P2P/1Q5K/3R4 b - -,g7h6
r5k1/3r2bp/1p3p2/2pP2p1/pnP5/5PB1/2B2P1P/4RRK1 w - -,c2f5
8/1p6/pBk5/P7/2P1p3/6K1/3b4/8 b - -,c6d6
3r1k2/5pp1/7p/p7/3nP1PP/1P3P2/PP6/1K1R4 w - -,d1d3
r4rbk/p1p1q1bp/Pp4p1/2PPnp2/3Np3/4P2P/3QBPPB/2RR2K1 b - -,g8d5
r1bqkbnr/pp2pppp/2n5/3p4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq e3,d5e4
r3r3/1p3p2/2p1nkp1/p1n1p3/P3P2p/2NN1P2/1PPR1KPP/3R4 b - -,a8d8
r2r2k1/1pqbbppp/p3pn2/2p3B1/3P4/2PB1N2/PP2QPPP/3RR1K1 w - -,f3e5
5r2/1b2ppkp/pq1p1np1/1p1N4/2r1PP2/PN5P/1PPQ2PK/4RR2 b - -,b7d5
8/2n2R2/2k1pP2/3pP3/2pP3r/1bP1N3/r5B1/2R2K2 b - -,h4f4
r6k/1q4pp/2bp1p2/4pP2/1pPbP1PP/1P3B2/3RQ1NK/3r4 w - -,d2d1
6k1/1p2Qp1p/1B2b1p1/1B2b3/4P1n1/PqN5/1P1r1PPP/1RR3K1 b - -,d2b2
7r/2k2p1p/3pb1pB/8/1r1Q4/2pP2PP/6B1/5RK1 b - -,b4d4
8/6k1/Rp2p1p1/1p1nP2p/4Nrp1/1P6/5P2/6K1 w - -,e4g5
8/p5r1/1n1kpp1p/1P6/3K2PP/3BP3/R7/8 w - -,a2g2
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -,f5d3
3rk2r/1p1bbp2/4p2p/Q5p1/3p2P1/P4B2/1q1B1P1P/1R2R1K1 b k -,b2a3
r3kb1r/pppbn1pp/2n2p2/1B1q4/Q2Pp3/2P2N2/PP3PPP/RNB2RK1 w kq -,f3d2
8/8/p4b1p/2pk1Pp1/Ppp3P1/2P1K2P/1P2N3/8 b - a3,a6a5
4n3/pb1n1p1p/1p3kp1/1P6/2N1P3/2N1KP1P/B1P3P1/8 b - -,f6e7
8/8/1kp1R3/p4K2/1P4p1/2n5/8/8 b - -,a5b4
r7/4kp1p/pr1p2p1/3np1P1/1P2Nn2/1R3P2/PP5P/1KR2B2 b - -,a8a7
2rq1rk1/p3bpp1/3pbn1p/1p2p3/2P1P3/1P1B1P2/PB1NQ1PP/R4RK1 b - c3,b5b4
r1r3k1/1b1n1ppp/pp2pn2/2pp4/P1PP4/1PN1P3/1B3PPP/2KR1B1R w - -,c1b1
r1b1k2r/p2pbpp1/n5qp/1ppP4/4P3/5N2/PPQN1PPP/R3KB1R w KQkq -,f1b5
2rqkb1r/3n1pp1/p2p4/1p1Pp2p/8/1N1QBP2/PPP3PP/1K1R3R b k -,g7g6
2r3k1/1b3pp1/pn1qp2p/Q1p5/4P3/P4PP1/1PR1BN1P/6K1 w - -,c2d2
1r4k1/p1p3q1/P2Pp2p/3b2p1/4N3/5B1P/1r4PB/2Q1R2K b - -,c7d6
R7/P5k1/5r2/7P/4K3/8/8/8 b - -,f6a6
1rbqkb1r/2pp3p/ppB2np1/4pp2/QPP5/P1N3P1/3PPP1P/1RB1K1NR b Kk -,d7c6
4rr2/p6k/1p1p2pp/2bP1p2/2P1p3/1R3PPP/P3B3/3R1K2 b - -,f5f4
2r2rk1/pp2b1pp/2Q1b3/4pp2/8/PN2P3/1P1B1PPP/R4RK1 b - -,c8c6
r5k1/r1qnbp2/1pp1b1p1/3pPpPp/NP1P1P2/1NP1B3/R3Q2P/R5K1 b - -,d7f8
rnbqkbnr/ppppp1pp/8/5p2/2PP4/8/PP2PPPP/RNBQKBNR b KQkq d3,g8f6:e7e6
6k1/2n1q2p/pp4p1/2p5/P1Pp1r2/3R1B1P/1b1Q2P1/5RK1 b - -,e7f7
8/8/1p1r4/p1p2ppp/2P1k3/R3P2P/PP2K1P1/8 w - -,a3c3
r2qkb1r/3b1ppp/p1p1pn2/3pN3/QP1P1B2/2N1P3/P4PPP/R3K2R b KQkq b3,d8b6
8/6pp/5p2/p1k2P2/4PNP1/1KP4P/3n4/8 w - -,b3a4
8/p5k1/1p2p1p1/1b2Pr2/2pR4/P1P5/2P1BK2/8 w - -,f2g3
2br4/pp3pk1/2p2Npp/4b3/2P5/1R1P2PP/P4PB1/5K2 w - -,f6e4
r5k1/1p2rp1p/2bN2p1/1pp1P1PP/p7/1P3PK1/P1P5/3RR3 w - -,h5h6
rnb1k2r/p1q1npp1/1p2p2p/1BppP2P/3P4/P1P2N2/2P2PP1/R1BQK2R b KQkq -,c8d7
8/5p2/4bkpp/1B6/3r3P/1p3PK1/1P2R1P1/8 w - -,b5a6
2rq1rk1/1p2bpp1/p3bn1p/3p4/3P4/1PNNBQ1P/1PP3P1/4RRK1 b - -,f6e4
r3r1k1/5ppp/p2b4/1p1pq3/8/2PbBQP1/PP1N1P1P/R3R1K1 w - -,g1g2
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2B1P3/P1NPB3/1PP2PPP/R2QK1NR w KQkq -,c4a2
r4rk1/p4pbp/bqp3p1/8/4p3/1BP1B1RP/PP4P1/R3Q2K b - -,b6c7
rn1qkb1r/pp3ppp/5n2/2pP4/8/2N2N2/PP3PPP/R1BQ1RK1 b kq -,f8e7
8/7p/4k1p1/1pr1p3/1R1bp2B/8/P3KPPP/8 b - -,c5c2
r3k2r/p3pp1p/6p1/8/3RP3/5P2/P4P1P/4K2R b Kkq -,e7e6
1rb1r1k1/5p1p/p2p2pb/2pP4/2P1BP2/1P2P2P/1B3R2/R2N2K1 b - -,e8e4
2k5/2r2r1p/p1bqp3/1pQ5/1P2p3/P5P1/5PBP/2R2RK1 b - -,d6c5
r4r2/4npkp/1q1p2p1/2pP4/1p2P3/3b4/1PQN1PPP/R4RK1 w - -,c2d3
1r2Bk2/4pPb1/4q1p1/4r3/2Rn4/8/3Q1PP1/4R1K1 w - -,e1e5
r2q1rk1/1bppbppp/p4n2/1p2p3/P2NP3/1B6/1PP2PPP/RNBQR1K1 b - -,e5d4
