8/5R2/P7/1P3kPp/3K4/r4p2/8/8 b - -,f5g6
2r3k1/5p2/p4rpq/1pNP1P2/1P1R2Q1/P5RP/8/7K b - -,c8e8
1kqQ4/2p1P1n1/ppP2N2/4p3/4Pp2/7p/PP3P2/2K5 b - -,h3h2
1qr3k1/5ppp/p3p3/1pPpP3/1P4QP/P7/1R3PP1/6K1 b - -,b8e5
rn1qkbnr/1b3ppp/pp1pp3/8/3NP3/1P1B4/PBP1QPPP/RN2K2R b KQkq -,g8f6
1nr2bk1/R4ppp/bp6/8/8/1PB1P1P1/P4PBP/R5K1 b - -,c8c3
r3qrk1/pbp1bppp/np2pn2/3pN3/2PP1B2/P5P1/1PQ1PPBP/RN3RK1 w - -,b2b4
2r4r/1p3pk1/pq4p1/3pn3/5RPQ/1P6/P3N2P/R6K w - -,h4e7
2kb4/6pp/1P1p4/3Pp3/2P2p2/3K1P2/5BPP/8 b - c3,c8b7
r1bq1rk1/1pp2pbp/3p1np1/pPn1p3/2P5/2NP1NP1/PB2PPBP/R2Q1RK1 b - -,f8e8
rn1q1rk1/pppn1pbp/3p2p1/4p3/2PPP1b1/2N1BN2/PP1QBPPP/2KR3R b - -,b8c6
r1b2bk1/2q2p1p/2p1nnp1/1pP1p3/pP2P3/P1N1BNPP/2Q1BPK1/3r3R w - -,h1d1
6k1/3n3p/6p1/1Np1n3/8/4R3/6PP/6K1 w - -,e3a3
5b1k/6pp/Q4p2/4p2N/p3P1Pn/1q6/1P5P/1K6 w - -,h5f6
3r1rk1/1p3p2/3qbbp1/p1np2Np/3p1N1P/PB1P2P1/1PP1QP2/R3R1K1 b - -,a5a4
4b3/1p2k2p/1n2B1p1/8/2PK3P/P1N5/1p6/8 w - -,e6g8
1r3rk1/1b2b3/ppq1pn1p/2p3p1/2P1P1P1/1NN3BP/P2Q2B1/2R1R1K1 b - -,b8d8
8/8/p5p1/PP2pk1p/2KbN3/5P1P/6P1/8 b - -,a6b5
r2qr1k1/1bpn1pbp/p2p1np1/1p2p3/3PP3/1PP2NNP/P1B2PP1/R1BQR1K1 w - -,c1b2:d4d5
r1b1r1k1/1p1nqpbp/2pp2p1/2n5/p1PNPP2/1PN3PP/P2Q1BB1/3RR1K1 w - -,c3a4
r1bq1rk1/p1p3pp/1npb1p2/4P3/8/5N2/PPP2PPP/RNBQR1K1 b - -,f6e5
r2q1rk1/2p2ppp/5n2/2b2b2/1pPp4/3P1PP1/PR3NBP/2BQ1K1R b - -,d8d7
r3k2r/pb1nbppp/2p1pn2/q7/Np1PP3/1P1QBN2/P4PPP/R3KB1R w KQkq -,f3d2
r1b2rk1/pp1nqpp1/2p3np/4p3/3PP3/2PB1NB1/3Q1PPP/2R2RK1 w - -,f1e1
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/P1NQ1NP1/1P2PP1P/R1B1KB1R w KQ -,f1g2
r4nk1/1pqbrp1n/2pp2p1/p3bPPp/2PNP3/2N1B2P/PP1Q1RB1/5RK1 w - -,f2f3
2r3k1/8/b2p2p1/2pP2p1/4PbPq/1p1N1P2/1P2K3/1R4QB w - -,h1g2
2kr3r/p2q4/1p2p3/2p1np1p/1PP3pP/P3B1P1/2Q2PB1/4R2K b - -,e5d3
2kr3r/ppp1q1p1/5p2/8/P1pP3p/2P2Q1P/2P2PP1/1R3RK1 b - -,c7c6
r5k1/1p3rpp/p1p2b2/P4p2/2Rp4/P2P2P1/4PPBP/5RK1 b - -,a8e8
8/8/8/3Pk3/2B5/4p1P1/2pKN2r/8 w - -,d2c2
r3r1k1/pp3ppp/5n2/3p2q1/3Q4/P7/1P2BPPP/2RR2K1 w - -,e2f3
r1bqkb1r/4pppp/p1pp1n2/8/2PQP3/5N2/PP3PPP/RNB1K2R w KQkq -,e1g1
r1bqr1k1/pp1n1pbp/3p2p1/2pP3n/8/2N3PP/PP1NPPB1/R1BQ1RK1 w - -,d2c4
r1b3k1/ppp4p/3pp1p1/3Pb1P1/2P1P3/3B4/PP2Nr2/2KR3R b - -,e6d5
r5k1/7p/2Rp4/Pp1Pp3/5b1N/7P/P4P2/6K1 b - -,a8a5
8/3n4/2p2p2/2P2Pk1/3B4/3B3b/5K1P/8 w - -,f2g3
3r4/4n1kp/1p1q1pp1/8/1PRpPP1P/3B2P1/3Q3K/8 b - -,d8c8
r1bq1rk1/1pp2ppp/p1n1pn2/3p4/2PP4/P1B1PN2/1PQ2PPP/R3KB1R b KQ -,f6e4
4rrk1/1p3pq1/p1bp2p1/5R2/4p2Q/2N4R/1PP3PP/7K b - -,e8e6
r1b2r2/pp1n1pkp/q7/2p2QB1/2n5/7P/P4PP1/R2R2K1 b - -,a6g6
r1bq1rk1/1p1nppbp/p1p2np1/3p4/2PP4/1PNBPN1P/P1Q2PP1/R1B1K2R b KQ -,f8e8
R1br4/1p2qpk1/1Qp3p1/7p/7P/4P1PB/5P1K/8 b - -,f7f5
5bk1/pQ3p1p/6p1/4P2q/5P2/4P2P/P2r2BK/5R2 w - -,f1c1
8/1q1p4/3k2r1/p1p1R3/2P3NR/4P1P1/5P1K/8 w - -,e5d5
4r1k1/1p2r1bp/p2p4/P2Pn3/2PN1p2/2Nb3P/5PB1/2RR2K1 w - -,c3e4
r1b1n1k1/ppq2pbp/2p3p1/8/2B5/2B3NP/PPP1QPP1/R5K1 b - -,c8e6
5r1k/2Q3bp/pp4p1/3NP1qn/1PP1bp2/PR4P1/4PP1P/2B2RK1 b - -,g7e5
1n6/1pr3k1/2b1p2p/rB1pPp2/PN1P2pP/6P1/2R2P2/R5K1 b - -,g7f7
rnb2rk1/ppp1b1pp/3pp1q1/5p2/2PPN3/5NP1/PP3PBP/R1BQR1K1 b - -,f5e4
8/pbQ3kp/4p1p1/3p4/3q1n2/1P2R3/3N3P/5BK1 b - -,g7f6
1r5k/p5bp/3q1pp1/3BrP2/2Pp4/8/P2Q1P1P/R3R1K1 w - -,e1e5
r6k/ppbb3p/2p1p2q/2PpP3/1P2pp2/4P1Q1/P3B1P1/1R3RK1 w - -,e3f4
2r3k1/7p/pp2p2p/4p3/2qp2PP/3QbPN1/PP4K1/5R2 w - -,d3a3
4r1k1/1p3pp1/p1p4p/8/3PpP1n/1Q2P2q/PP1NNR2/6K1 w - -,f2h2
rnb1k2r/pp1pppbp/5np1/2q5/2P5/1Q3NP1/PP1BPPBP/RN2K2R b KQkq -,f6e4
5r1k/pp3rpp/2nR4/8/6Q1/4B1P1/PP1R1PKP/2q5 b - -,c6e5
4n3/5k2/R3p1p1/1PB2n1p/2P2P2/5P2/3b4/5K2 b - -,d2f4
r1bq1rk1/pp2ppbp/2n3p1/8/2BP1B2/2P2N2/P4PPP/R2Q1RK1 b - -,c6a5
8/pp2kpp1/2p1bn1p/8/4PP2/2N3P1/PP4BP/6K1 w - -,e4e5
7r/1R5r/3k1p2/P1R3p1/3P2P1/4PPK1/5P2/8 w - -,b7h7
8/5pk1/1P3p2/8/4Q2p/6rq/4R3/5K2 w - -,f1e1
r2n3r/p2qk1bp/2pp1pp1/4pb2/2P5/3P2P1/P2BPPBP/1R1QK1NR w K -,d1a4
r2r4/p3qpkp/2p3p1/3BpbP1/4N2P/5P2/PPPQ4/2KR3R w - -,d2a5
8/5pk1/2p3p1/p1r5/Pp6/1P5P/1P3R2/1K6 b - -,f7f5
1k4rr/1bpqbp2/pp2p1p1/3nP2p/1P1PBP2/P4R1P/2Q1NBP1/2R3K1 w - -,e2c3
8/6R1/6p1/5p2/2P2P1P/5k2/2r5/6K1 b - -,c2c1
8/1pk5/p2p2p1/8/PP1Q1P2/8/1K2q3/8 w - -,b2b3
4b3/p1p3pp/1k2p3/3pP3/3K4/2R2P2/PP4PP/8 w - -,c3b3
r1bq1rk1/1pp3bp/p1np2pn/5p2/3PPN2/2N2BP1/PPP2B1P/R2Q1RK1 b - -,f5e4
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/3BP3/PPPNNPPP/R2QK2R b KQkq -,b8c6
rnb1kb1r/pp2pppp/1qp2n2/8/2BP4/2N5/PPPB1PPP/R2QK1NR w KQkq -,d1e2:g1f3:g1e2
r4rk1/4n1b1/pqnpb2p/Npp1p1p1/1P2P3/PNPP2P1/1B1Q1P2/R3RBK1 b - -,f8f7
r4rk1/pp1n1ppp/1q6/3P1b2/1P6/P4P2/3QNBPP/R4RK1 b - -,b6g6
r1k5/p6p/2pqbQ2/3p1p1B/4p3/2P5/P5PP/4RR1K w - -,f1f5
2r1kb1r/1b1npppp/p2p4/1p4P1/2q1P3/2N1BP2/PPPQ3P/1KNR3R b k -,b5b4
r2qkbnr/pp1bpppp/2np4/8/2P1P3/5N2/PP3PPP/RNBQKB1R b KQkq -,g8f6
2brr1k1/1p3ppp/p1p3n1/P6n/3pP3/1NP1BP2/2BR1KPP/3R4 w - -,c3d4
6k1/4b2p/3p2p1/1rpPp3/p3P3/r5PP/1PRB1K2/1R6 w - -,b2a3
r1bq1rk1/p4pbp/1npp2p1/2p3B1/2N5/3P1N2/PPP2PPP/R2QR1K1 b - -,f7f6
5R2/8/6bK/8/8/4k3/8/6r1 b - -,e3e4
6k1/5pbp/2n1p1p1/1pNpP3/1P1P4/2B3PP/5PK1/8 b - -,g7f8
3r2k1/p4pp1/4p2p/q1p5/P1P3P1/4P3/2Q2PP1/1R4K1 b - -,g7g6
r1b1qrk1/1p4pp/2ppPb2/p1P1np2/8/1PB3P1/P2NPPBP/R2Q1RK1 w - -,e2e4
r4rk1/ppq2ppp/2p2n2/4bR2/2P2B2/2N5/PP2B2P/R4QK1 b - -,c7b6
r4rk1/pp3p1p/2b2np1/3p4/P6q/1P1BQ1NP/2P2PP1/1R3RK1 w - -,g3e2
r1bqk2r/pp2bppp/2nppn2/8/2BNP3/2N1B3/PPP1QPPP/R3K2R b KQkq -,e8g8:a7a6:c8d7
r5k1/pb4pp/1p2p3/2p1Ppb1/2P2P2/4P3/PB1r2PP/1BR2RK1 w - -,c1c2
8/6k1/p4pp1/1p6/2r1P3/P4RKP/6P1/8 w - -,f3e3
8/7p/4b1p1/8/1pk1B3/4PP1P/1K4P1/8 b - -,c4c5
2r2rk1/1p2ppbp/p2p1np1/q2P4/P4P2/3QBB2/1PP3PP/R4R1K b - -,f6d7
r6r/4p1k1/2np2P1/pq3P1p/1pb4P/4B3/PKP3Q1/3R2NR b - -,b5a4
8/4bp2/6p1/1k1p1p1p/3P1P1P/1K3P2/1P6/4B3 b - -,e7d8
r5k1/3qbp1p/1r1p2p1/2pPp3/p1Q1P3/P5PP/1P1B1PK1/1RR5 b - -,f7f5
3r4/5Pqk/1p2Q1p1/p1p1P1Pp/PnP5/3P3R/6KP/8 w - -,e6f6
2kr4/pppq4/7r/1B2p3/Q5b1/2P5/PP4p1/R3B1K1 w - -,b5d7
2r3k1/p1r1bp2/1p2p1p1/4P3/b2BR3/2P2N2/3R1PP1/6K1 w - -,f3h2
r3r1k1/1bq2ppp/pp1b4/2pPn3/P3n3/2NBP2P/1BQ2PP1/3R1RK1 w - -,c3e4
r1bq1rk1/pp3ppp/5b2/4p3/5R2/6P1/PPP1QPBP/R1B3K1 w - -,f4b4
4kb1r/5ppp/1qn1p3/1B1p1b2/4P3/P1N3Pr/1P2QP1P/R1B1K2R b KQk -,d5e4
4r3/pp4pk/3pP1np/3N2n1/3N3b/8/PPP1K2B/5R2 w - -,d5c7
r2q1rk1/1p2bppp/3p4/p2bp1PQ/4P3/1P2B3/1PP2P1P/2KR2R1 w - -,d1d5
6k1/p5pp/1p6/3R4/8/r5P1/P4P1P/6K1 w - -,d5d2
r2q1rk1/p1p2ppp/bpn1pn2/3p4/2PP4/PP2PN2/2Q2PPP/R1B1KB1R w KQ -,f1d3
r1b2r1k/1p4p1/pqp3Bp/4Bp2/PbP1n3/5N1P/1PQ2PP1/R2R2K1 w - -,a4a5
1r1q1rk1/3bppbp/p2p1np1/n1pP4/2P1P3/6P1/PBQN1PBP/R2N1RK1 b - -,e7e5
R7/5pk1/8/7p/2b5/1r2N1K1/p4P2/8 w - -,g3f4
r1q4k/pp1n1pbp/3B2p1/1NP4n/3Pr3/1Q6/PP4PP/2KR1B1R w - -,b3f7
4k3/3b1r2/pp2n3/2p2p1Q/2P5/1P4P1/PB3P1P/3r1BK1 b - -,d1d2
r2qr3/ppp2pk1/1b1p1n1p/1B1PnQp1/8/1N4B1/PPP2PPP/2KR3R b - -,d8c8
r1bq1rk1/ppp1npbp/1n4p1/3Pp3/2P5/1QN1BN1P/PP2BPP1/R3K2R b KQ -,c8f5
r2q1rk1/1p2bppp/p4n2/n1pPNb2/P1p5/2N1B1P1/1P3PBP/R2Q1RK1 b - -,e7d6
Q7/p1q3r1/4pk1p/2p1p1pP/2P5/1P3PP1/P2RK3/8 b - -,g5g4
2kr3r/pppq1p2/3p3p/4pn2/1P2P1n1/1NPP2b1/P5K1/R1BQ1R2 w - -,f1f5
r1b2rk1/pp3pbp/1qnpp1p1/2p5/3nPP2/2PPBNP1/PP2N1BP/1R1Q1RK1 b - -,d4e2
r4r2/2pq2bk/3p2pp/1R1Pp3/p1P1N3/R3P3/P5PP/4Q1K1 w - -,h2h3
2qr1rk1/p3bppp/1pb5/2ppP3/4nN2/1P2P1P1/PBQ2PBP/2R2RK1 w - -,f4d5
3q1rk1/1ppnbppp/r1np4/p6b/P2NP3/2P1B2P/1PBN1PP1/RQ2R1K1 b - -,c6d4
3q1r2/1pb1r2k/2np1p1p/pB2pPpP/P3N1P1/1PQ2P1K/8/3R1R2 w - -,e4c5
2Q1rbk1/3n1p2/p5p1/Pp1N3p/8/8/1P3PPP/3RB1K1 b - -,e8c8
7r/5pk1/1rp1p1p1/p2pP3/3P3p/2P4P/PP2R1P1/5RK1 b - -,h8b8
r1q3k1/2p4r/npPp4/1N1Pp1n1/RP2PpP1/8/3NQ1P1/5RK1 b - -,h7h4
3rrbk1/pb1q1ppn/1p1p4/2pPn3/2P1P3/2N1B2P/PP1NB2K/1Q1R2R1 w - -,g1g3
1k3r1r/pbpp3p/1np5/4PN2/2P2P2/1P1B4/PK5P/3RR3 b - -,h8g8
r6k/1p1qpQ1p/6p1/p1R5/P7/3rb1P1/7P/5RK1 w - -,g1h1
r2q3r/4bpk1/2n1p1p1/p1PpPn2/5P1p/3B1Q1P/P3NBPK/1R3R2 b - -,d8c7
8/4r2p/pR2br2/P1pB4/2P4k/3P1p2/5K1P/6R1 w - -,g1e1
q3rbk1/3n1ppp/p2pb3/4p3/1B2P3/2PB3P/1R3PP1/RQ4K1 b - -,d7b8
8/1p3p2/p1r1k2p/8/P3R3/6P1/5PKP/8 b - -,e6d6
6k1/2p2rp1/7p/2R4P/6P1/5PK1/8/8 w - -,g3f2
2rr2k1/p4ppp/Q7/2p1n3/6q1/B3R1Pn/P4P1P/5R1K w - -,f2f3
3rrnk1/4bpp1/p3b2p/4P3/P1p5/2q2N2/R1BBQPPP/4R1K1 b - -,d8d2
7k/4b2p/4p3/3pPp2/2pP4/2p1P2P/1P5K/4B3 w - -,b2c3
3q1rk1/1b2bppp/4pn2/1Ppp4/1nP5/1Q2PN2/3NBPPP/B3K2R w K d6,e1g1
r4rk1/1bqpb1pp/p3ppn1/2p1P3/2N5/1P2QN2/PBP2PPP/3R1RK1 w - -,f3e1
8/4b3/4k3/1R1p3p/5P2/5K2/8/8 w - -,b5b6
8/3rnpk1/2p1qp2/4p2p/P1R1P2P/2R3P1/4QPK1/8 b - -,d7d4
r1bqkb1r/1p2nppp/p1n1p3/3p4/3NP3/2PB4/PP3PPP/RNBQ1RK1 w kq d6,d4c6
8/p6p/r5p1/2Pk1p2/1p2n3/1P4P1/P1R1R1KP/8 b - -,e4c3
r3r3/4qpk1/4p1pp/P2pP3/1bb4P/P5P1/3Q1P2/2R1RBK1 w - -,a3b4
1r6/RB1r2k1/7p/N4ppP/8/5P1K/8/8 b - -,d7c7
2kr3r/1p2bpp1/nqp1pn1p/p7/2PP1NP1/PBB2Q1P/KP3P2/3RR3 b - -,d8d7
r5k1/2p3pp/3ppr2/1pPn3b/pP1P4/P1BR1PPq/1Q2P3/4RNK1 b - -,a8f8
r1bqk1n1/p4p2/1np3pb/1p2p3/4P3/2N2P2/PPP3QP/R3KBNR w KQq -,a1d1
2r1r1k1/pp1bp1Bp/2np3q/3N1pp1/2P1n3/PP2PN2/2Q1BPPP/2RR2K1 b - -,h6g7
5q1k/bp1r1pp1/p3p2p/4P2N/P1Rn3P/5NP1/5PK1/1Q6 w - -,b1d3
8/3R4/3k4/n4p2/BK6/2N5/8/r7 b - -,d6e6
rn1q1bkr/1p2p1pp/p2p4/2p2bN1/P3N3/8/1PPP1PPP/R1BQK2R w KQ -,d1f3
r1b1k2r/ppp1bpp1/2p5/4Pn1p/4N3/1P3N1P/P1P2PP1/R1B2RK1 b - -,c6c5
rnb1kb1r/pp2p3/2q3pp/P2pP1N1/2pP2B1/2P5/2P3PP/R1BQ1RK1 w kq -,g5f7
3r1bk1/p4p1p/br2p1p1/p1p1Pn2/5PP1/1PP4P/P1BN1K2/R1B1R3 b - g3,f5e7
8/3k1KP1/2n5/8/8/8/8/8 b - -,c6e7
1r2kn1r/4bp2/1q2p2p/pp1pP1pP/2pP2N1/P1P2R2/1PQB1PP1/4R1K1 b k -,h8h7
1r1qnrk1/pp1b1pb1/2npp1p1/7p/2P2N2/1P2PNPP/PB1Q1PBK/2R2R2 w - -,b2g7
r4q1k/p1pnrpb1/1p2p1pp/6P1/3PN2P/2P1B3/PPQ2P2/2KR3R w - -,h4h5
8/5R2/8/1Pb5/6p1/PK4P1/1P2k3/5q2 w - -,f7f1
5n2/pp2q1k1/8/2pPp2p/4Pp2/5P1P/PP3QBK/8 b - -,f8g6
r5k1/2rb1pp1/q2p1b2/p2P1P2/PpN1P1Pp/1P1QB2P/8/2R2BK1 b - -,a8c8
r2q1nk1/pbp2rpp/1p2pp2/8/3P1B2/3B1P2/PPPQ2PP/2KR3R w - -,h1e1
8/2b2p2/p3k3/2Bp1p1p/PP2rP2/6P1/5K1P/4R3 w - h6,h2h3
r3qrk1/pppb2pp/3ppn2/4p1B1/4P3/2N3Q1/PPP2PPP/3RR1K1 b - -,e8g6
4n3/4P2p/6p1/2p5/p2p4/N2P3P/k2K2P1/8 w - -,a3c4
1r1q1rk1/2nbppbp/ppnp2p1/8/PPP1P3/2N1BP2/2NQB1PP/1R3RK1 b - b3,c6e5
2k1r3/3q1p1p/1pn3p1/1Nb2n2/p2p1BB1/P5P1/1P3P1P/2RQ2K1 w - -,d1a4
rn1q1rk1/5pp1/p1p1pn1p/1p1pNb2/1bPP4/PPN3P1/1B2PPBP/R2Q1RK1 b - -,b4d6
3r3k/4qp1p/1p2pp2/p7/2P4P/1P3QP1/P3KP2/3R4 b - -,d8d1
3r2nk/pp1r1pb1/3pq1pp/2p5/2P1P3/1P2BPPP/P2Q2K1/3RRB2 w - -,g2h2
3r2k1/ppp2pp1/2prb2p/8/3P4/2PB4/PP3PPP/R2R2K1 w - -,d3e2
8/8/1bR5/4K3/8/1r6/1k6/8 w - -,e5f5
r1q2r2/p3b1kp/1p1pPnp1/2p1p3/2P5/1P1N2P1/P1Q2PBP/R2R2K1 w - -,g2a8
8/1k2n2R/p3r3/P7/K7/1P6/8/8 b - -,b7c6
r1bqk2r/p3n1b1/1pnp2pp/2p1pp2/2P1N2P/P2P1NP1/1P1BPPB1/R2QK2R w KQkq f6,e4c3
bqrr1b1k/2nn1ppp/pp1pp3/6P1/2PNP3/1PN1BP1B/P4Q1P/2RR2K1 w - -,a2a4
r1b3k1/1pq2pn1/1np3pp/p7/P2PP3/5N1P/BP3PP1/R2QR1K1 b - -,g7h5
8/2p2k2/1p5p/5K2/p1P2P2/Pn1B4/1P6/8 w - -,f5e5
r1bq1rk1/ppp1Bpp1/4p2p/3n4/3P4/P1PBPN2/2Q2PPP/R3K2R b KQ -,d5e7
8/1p6/4kp2/3b2p1/8/r3B1P1/1R3K2/8 b - -,a3a4
2r1r1k1/2qn3p/p1n2ppb/1pp5/P2pPP1P/1P1P4/1BPNQRB1/R5K1 w - -,e2f3
8/p7/6p1/1P2P3/P5Np/1kp1P3/4K3/8 w - -,g4f2
1r1q1rk1/3b3p/3ppnpQ/8/p1pNP1P1/2N2P2/PPP5/2KR3R w - -,e4e5
r1bq1rk1/1p4bp/p1p1p1p1/2PpBp2/N2Pn3/6P1/PP2PPBP/2RQ1RK1 b - -,g7e5
r1bqr1k1/pp3pp1/2pb1n1p/3p4/3P4/2N3P1/PP1NPPBP/R2QR1K1 b - -,d8b6
r2q1rk1/3nppbp/ppbp2p1/2p5/P1PnPP2/2NPBNP1/1P4BP/R2Q1R1K b - -,a8b8
r1b5/p1p2r2/3p1k2/1P1P2p1/2P4p/1N2RP1P/6K1/R7 b - -,f7e7
6k1/p3qp1p/P1R2Qp1/8/3P4/1r2P1P1/3r2P1/4R1K1 b - -,e7f6
r1bqk2r/3p1pnp/p1p3p1/4P3/Pb2P1PP/2N1B3/1PP5/R2QKB1R b KQkq h3,h7h5
2rq1rk1/pp3ppp/8/2BpP3/2bQ4/1N6/P4PPP/R5K1 w - -,c5f8
4r1k1/3n1pbp/3B2p1/3P4/4PN2/2p3P1/7P/4R2K w - -,h1g2
3r2k1/5ppp/8/3p4/3B1n2/4rP2/1P4PP/3R2K1 w - -,d4e3
r1bqk2r/pp3pbp/2np1np1/2p1p3/2P5/1PNP1NP1/PB2PPBP/R2QK2R b KQkq -,e8g8
2r1k2r/1pqnbpp1/p2pbn2/4p2p/4P3/1NNBBP1P/PPPQ2P1/1K1R3R b k -,h5h4
5rn1/2p2Rk1/1p1q2p1/pBpPp1p1/P3P1P1/8/1PP2Q2/5RK1 b - -,f8f7
8/8/R4p2/6k1/4K3/4P3/p7/r7 w - -,a6a8
3r4/5ppk/n4nbp/q3p3/1pQ1P3/1B3PPP/3N2K1/3RB3 w - -,c4e2
rr3nk1/1p3pp1/p2p2Pp/n1p1p2P/2P1PqQB/2PP3B/8/1R2K2R w K -,g6f7
8/4p2p/4P1p1/p1p1k3/2P5/PP2PK2/7P/8 b - -,g6g5
R7/8/8/3Br2P/6K1/p7/1k6/8 w - -,d5g8
5N2/6p1/1p6/p7/P3k1n1/1PK5/8/8 w - -,f8e6
2rqr1k1/p4pbp/1p1np1p1/3pn3/3P1B2/2PQ3P/PP1NRPP1/2R3K1 w - -,f4e5
1R6/8/8/3k4/P2p4/r3p3/2K5/8 b - -,a3c3
r2qr1k1/pp1bn1pp/3p4/2pPb3/2P1NP2/1PNQB3/P2K3P/4R2R b - -,e5c3
2krr3/R1p3p1/1p3P2/2n4p/2PpPP1P/5NP1/1R6/7K b - -,g7f6
3rk2r/ppqbbp1p/n3pp2/8/1PB5/2P1BP1N/P3Q1PP/3R1RK1 w k -,e3h6
4rr1k/2qnbppp/p1b1p3/Ppp5/2P1PP2/5NN1/1P1BQ1PP/4RR1K w - b6,a5b6
4r3/pp1Q1rkp/3n1pp1/2qPp3/8/P2B4/1PP3PP/R4R1K w - -,d7a4
1R6/1p2r3/2p1b2p/Pp2k1p1/4B1P1/1P3K1P/2P5/8 w - -,b8h8
r3k2r/ppp1qpp1/4b3/4p1Pn/1bB1P3/2N2Q2/PPPBN2P/R3K2R b KQkq -,e6c4
r1b2rk1/pp1nqppp/4pn2/b1p5/2BP4/P1N1PN2/1P1BQPPP/R4RK1 b - -,a5c3
1rb2k1r/p1pq1ppp/2pb4/6B1/Q5n1/2PB1N1P/PP3PP1/R2R2K1 b - -,h7h6
r2q1rk1/pb1nbppp/1p1ppn2/2p5/2P5/1PN1PN2/PBQPBPPP/R4RK1 w - -,a1d1
2r2bk1/p5p1/4qp1p/2pnp3/2N1Q3/2P2NPP/PP3PK1/3R4 b - -,c8d8
r1bqkb1r/p4ppp/1pn1pn2/2pP4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,e6d5
r2qkb1r/pp1n1p1p/2p1pnp1/3p4/4P2P/2NP2Q1/PPP1BPP1/R1B1K2R b KQkq -,h7h5
5K2/2k2P2/8/2pR4/1p6/1P6/P7/6r1 b - -,c7c6
3q1bk1/5b2/2p2p1N/2N3p1/1p1P3Q/1P6/3r1PP1/4R1K1 b - -,f8h6
8/3rbk2/p1b3pp/1p2p3/4PpP1/P1N2P1P/1PR2B2/5K2 b - -,a6a5
1r4k1/5bpp/1r1ppq2/2p2p2/p1P2P2/P5P1/1PR1R1BP/K3Q3 w - -,g2f3
