8/6kp/5pp1/1r6/2B4P/6P1/4KP2/8 b - -,b5b4
8/8/3N1pk1/4p3/8/2P1Bb2/1P5K/4b3 w - -,e3c5
3Q1k2/4n3/6p1/2p2pP1/3b1P2/1K6/p7/r7 b - -,f8f7
r7/PR1p3p/3Pn1p1/4k3/5p2/8/2PK1B1P/8 b - -,e5d6
1rb2rk1/p1q3pp/2P5/1pQnppNn/3p4/1N4P1/P3PP1P/R1R3K1 w - -,c5d5
2rqr1k1/p3bp1p/bpp1p1p1/n3P3/2PPNB2/P2Q4/5PPP/RB1R2K1 w - -,b1a2
r1bqk2r/p3bppp/2pp1n2/4p3/4PP2/2N1BQ2/PPP3PP/R3KB1R w KQkq -,f4e5:f4f5
2rq1rk1/p2pbppp/1p2pn2/4n3/2P1P3/2N1N1P1/PP2QPKP/R1B2R2 b - -,d8c7
2r5/1R2kb2/p3p1pp/2N1Pp2/3n1PP1/7P/1P6/3K4 b - -,e7f8
2k5/1pr2ppp/1n1rp3/1R6/3P4/R1P2B1P/5PP1/6K1 w - -,a3b3
r2q1rk1/1bn2pbp/3ppnp1/2pP4/P1B1P3/2N2N2/1PQ2PPP/R1BR2K1 b - -,e6d5
6k1/8/1R1N2rp/3K4/6P1/8/3b4/8 b - -,g6g4
6k1/5rp1/4p1R1/1p1pP2R/p7/P1P3KP/1P2r3/8 b - -,e2e3
2r2rk1/p2nq2p/bp2pn2/3p1pp1/3P4/1P1NN1P1/P3PPBP/2RQ1RK1 w - -,d1d2
8/8/R2Bp3/1p1pPkp1/3n4/PP5r/5K2/8 b - -,h3b3
8/3kB2p/3P4/2p1K3/rb6/p7/R5PP/8 b - -,c5c4
3rr1k1/1p4pp/1p2p3/8/4Nn1q/2P4P/PP2QPP1/1R3RK1 w - -,e2g4
3rk2r/pp2ppb1/1np3p1/8/3PN3/6B1/PPP2P1P/1K1R3R w - -,c2c3
3N4/2p1r1kp/1b4p1/5p2/1P3P2/6P1/2K4P/2R5 w - -,c1d1
8/4kp2/8/4Pb1p/R4K1P/6P1/8/8 b - -,f5g4
8/8/7p/8/4kPp1/2K1P1P1/6P1/8 w - -,c3d2
r1bq1rk1/pppp1ppp/5n2/4N3/1nP1p3/4P3/PP1P1PPP/R1BQKB1R w KQ -,a2a3
2r3k1/1p2q2p/3p2p1/3P1p2/2PR3P/6P1/PP3K2/4Q3 b - -,e7e5
2r2r2/2P3k1/8/p3R3/3pp3/P7/7P/3R2K1 w - -,d1d4
r3k2r/2q1bp1p/b2p1p2/p2PpP2/1p4P1/8/PPPNQ1BP/2KRR3 w kq -,e2e4
8/1p6/p2p3p/2bPppk1/P1P5/1P3PN1/7P/7K w - -,g3e2
r7/2b1kppp/4p3/8/P5PP/4B3/R4PK1/8 b - -,f7f5
r3k2r/1bqp1ppp/p3pn2/2p5/1bQ1P3/2N1B3/PPP1BPPP/R4RK1 w kq -,a2a3
rn2k2r/pp1b1ppp/4pn2/q7/2BP4/2N1BP2/PP2N1Pb/R2Q1RK1 w kq -,g1h2
1k5r/1p6/p2r4/n2p1R2/P7/5B2/1P3P1P/2R4K b - -,a5b3
6k1/5p2/8/1P2q1p1/3b1rP1/3Q3P/4BP2/5RK1 b - -,d4b6
2b1r1k1/rpb1qpnp/2p3p1/3pP3/P2P1N2/3B2P1/1Q3PPN/RR4K1 w - -,h2f3
8/8/7K/b3kBp1/P3P3/7P/8/8 b - -,e5f6
7r/B3kp1p/4p3/4b3/P1R5/1rP2P2/5P1P/R4K2 b - -,b3c3
2n5/3b4/B2p1k1p/3Pp2P/4P1p1/NPQ3P1/2Nb2K1/2q5 w - -,c3c7
2r2rk1/p2n1pbp/3Pbnp1/q1p1p2P/1p2P1P1/1P2BP2/PN1Q4/1KR2BNR b - -,d7b6
5rk1/2qn3p/p3p1p1/2p1P1Q1/2P2B2/2P2b2/P1B4P/5RK1 b - -,f3b7
rn2kbnr/pp3ppp/1qb1p3/2PpP3/1P1p4/P4N2/5PPP/RNBQKB1R b KQkq -,b6c7
1rb2bk1/2q2p1p/1n4p1/1p2p3/1p2P1B1/RNP4P/2Q2PP1/R5K1 w - -,a3a7
r3r1k1/p4ppp/2ppb3/q6n/2P1P3/1P2Q3/P1B1N1PP/R4R1K b - -,h5f6
rnb1k1nr/pp1p1ppp/4p3/q1P5/2P5/2P5/P2BPPPP/R2QKBNR b KQkq -,g8f6
rn2k1nr/1pq2ppp/p1b1p3/3pP3/PPp5/1P1P1N2/1B3PPP/R2QKB1R b KQkq -,c4c3
r1bq1rk1/1pn1ppbp/2np2p1/p1p5/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -,f1e1
r2qr1k1/1ppb1pbp/2np1np1/1p2p3/P1P1P3/2NP1NP1/5PBP/1RBQ1RK1 w - -,a4b5
8/1p2k3/3pp3/p3b2p/P1P4P/1P1RNKP1/8/6r1 w - -,e3g2
4k2r/pp1bppb1/1q5p/3p2p1/P2P1n2/1Pr2PB1/R1B2KPP/1N1QR3 w k -,g3f4
r1b2rk1/pppp1pp1/1bB2q1p/4p3/3PP3/2P2N2/PP3PPP/RN1Q1RK1 b - -,f6c6
r4r1k/ppq1ppbp/2n2n2/3p1p2/3P1B2/2P2N1P/PP3PP1/RNQ1R1K1 b - -,c7d7
r4rk1/p1pq1ppp/1pn3n1/3p1bN1/3P3P/P1PB2Q1/2P2PP1/1RB2RK1 b - h3,f7f6
r1bqr1k1/ppp1ppbp/1n4p1/2B2n2/8/2NP1NP1/PP1QPPBP/2R1K2R w K -,h2h4:e1g1
2r2q1r/4k1p1/2b4p/3Rp2B/1Q2pP1P/8/1PP5/1NK1R3 b - -,e7e6
2b3k1/2q2p2/2p3pb/pp2p2p/P3P3/1BPQ1P2/1P3NPP/6K1 b - a3,c8a6
r1b1rnk1/ppp1q2p/3p1pp1/3Pp3/2P1P1n1/2N2N1P/PP1QBPP1/R4RK1 w - -,h3g4
r7/3r2pp/1pn2k2/2p2p1P/3p1P2/P3PN2/1P2KP2/R2R4 w - -,f3g5
1r2r1k1/p1qnppbp/2pp1np1/8/4PP2/1PN1B3/P1P1B1PP/3RQRK1 w - -,e2f3
6k1/1p3p1p/r5p1/3K4/p5P1/N1P1PR1P/3N4/7r b - -,h1d1
3qb3/R6p/4n1pk/2p1Np2/P2r1P2/1P2Q1P1/7P/5BK1 w - -,f1d3
8/p3kp1p/1p4p1/3BP3/Pb2KP2/2rRP2P/8/8 b - -,c3d3
r4rk1/4qpbp/p1n1p1p1/2Pb4/Pp6/4QN2/1P1BBPPP/R2R2K1 w - -,a1b1
2Q4k/P7/8/1P1q4/K7/8/6P1/8 b - -,h8h7
r3q3/6k1/2p5/p2pP2p/Pb1PbNp1/1P3r2/5PNP/2RQR1K1 b - -,b4e1
rn3rk1/pp4bp/4pqp1/2np4/5P2/5BPP/PPP1Q3/RNB2RK1 w - -,c2c3
r6r/pppbnk1p/1n1p4/8/4Pp1B/2N5/PPP1B2P/2KR2R1 b - -,e7g6
r2qkbnr/1pp3pp/p1p1bp2/4p3/4P3/3PBN2/PPP2PPP/RN1QK2R w KQkq -,b1d2
k7/p4p2/1p3q2/3Ppbp1/P6p/Q6P/1P3PP1/2B3K1 w - -,a4a5
r1bqk2r/pp1nbpp1/2pp1n1p/4p3/P1BPP3/2N1BN2/1PP2PPP/R2Q1RK1 b kq a3,d8c7
4rnk1/2q1rppp/p2b2b1/1pp1p3/2P3QN/PP1PR1PP/1B3PB1/4R1K1 b - -,c7c8
1k5r/1pp1q3/p4p2/4pP2/6P1/2Q5/PPP5/2KR4 b - -,e7g7
8/2pk3p/3r1p2/3b1P2/1p1Bn1P1/1N2K3/P6P/3R4 b - -,d7c6
8/R7/3kp3/4Nr2/6K1/8/8/8 w - -,e5f7
8/2bnkppp/4pn2/1B6/N3P1P1/4BP2/6KP/8 b - -,f6e8
8/8/2R3pk/5p1p/r4P1P/5KP1/8/8 b - -,a4a3
8/p2k3p/1p2ppp1/8/1PP2P2/4K1P1/P1R4P/3r4 w - -,c2d2
r3qrk1/pb4bp/1p2pnp1/2pp4/5PQ1/2PBP1B1/PP1N2PP/3R1RK1 w - -,g4e2
r2r2k1/pp1bbppp/2n1pn2/8/2P5/1N3NP1/PB2PPBP/R2R2K1 w - -,f3e5:f3d4
rnbqkb1r/pp1ppppp/5n2/2P5/8/2P5/PP2PPPP/RNBQKBNR b KQkq -,e7e6
r1br2k1/1p3pp1/p2ppb1p/8/4q2P/1N1B4/PPPQ1PP1/1K1R3R b - -,e4e5
r1bq1rk1/p3bpp1/1p2p2p/n6Q/3PN3/2PB4/P4PPP/R1B2RK1 b - -,d8d5
r4rk1/1bq2pbp/p1n1p1p1/2p1PnB1/1p4P1/2PP1N2/PP2QNBP/R4RK1 b - -,f5e7
3k4/1p1b1pb1/6p1/P1Bp2P1/1K1P1P2/3B4/8/8 b - -,d8c7
7k/5p1p/2R5/p7/P2P3p/7P/3r2P1/5BK1 w - -,c6d6
Rb2r3/1p1q2k1/1Pp3pp/1np1p3/2N1PP1P/3PQ3/5PK1/5R2 b - -,e5f4
r1b1k2r/1pp3p1/1b1p1pq1/p2Pp2p/P2P3P/2P1n1P1/1P1QNPB1/R4RK1 w kq -,f2e3
5rk1/1p2bppp/4p3/1p1n4/2r5/2PR1R1P/PPN2PP1/7K b - -,f8c8
1r3bk1/3r1ppp/3p4/ppqNp3/4P2P/P5P1/1PPQ1P2/3RR1K1 w - -,d2a5
r2qnrk1/pb1n1ppp/1p1p1b2/2pP4/2P2P2/1PNB4/PBQN2PP/R4RK1 b - -,g7g6
1rbq1rk1/p3npbp/2p3p1/8/4p3/1NN1B3/PP3PPP/R2QR1K1 w - -,e3c5
8/7k/5pp1/7p/4KP2/4B1R1/8/1r6 w - -,g3g2
r1bq1rk1/pp1n1pp1/2pbpn1p/3p2B1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,g5f6
r2q1rk1/ppp1bppp/2n1b3/8/1n1P4/1PN2B2/PB2NPPP/R2QK2R b KQ -,c6d4
8/ppkn3Q/2p2p2/6q1/5p2/8/PP3PP1/3B2K1 b - -,c7d6
8/R7/5kp1/5p2/p7/P7/1r3KPP/8 w - -,f2f1
r3r1k1/2q2ppp/p1pb4/1p1BnPNn/P2Q4/7P/1PP2PPB/3RR1K1 b - -,c6d5
r1b1k2r/2qnbppp/p1npp3/1p4P1/4PP2/1NNB4/PPPBQ2P/R3K2R w KQkq -,e1c1
r4rk1/1pp1qppp/p1n1pn2/8/1b1PP1b1/2N1BN2/PPQ1BPPP/3R1RK1 b - -,a8d8
7Q/8/4p3/8/q7/3pk3/8/1K6 b - -,a4b4
rnb1k1nr/pppp1ppp/1b2p3/8/NP2P2q/P4Q2/2PP1PPP/R1B1KBNR b KQkq -,b8c6
r4rk1/3n1pp1/1q2p2p/pp1pPn2/2pP2N1/P1P4P/1PQN1PP1/2R2RK1 w - -,g4e3
1k6/pp6/3b4/2p1p3/P2pR3/3N1p1r/1P1B1RrP/7K w - -,f2g2
2r2rk1/pp1b1ppp/3q1n1n/3p4/8/PN2PN1P/1P2BPP1/2RQ1RK1 w - -,b3d4
4rr1k/ppq3p1/2nbp2p/3p4/3P4/P5B1/1PQ1NPPP/R4RK1 w - -,b2b4
2r2rk1/1pqbbppp/p2p1n2/3Pp1B1/4P3/2NB3P/PP3PP1/R2QR1K1 b - -,h7h6
8/1p6/1p4k1/3b2p1/PP1r1pp1/2R5/3BKP1P/8 b - -,d5f3
r2r1k2/pb2bppp/1pn1pn2/8/8/PPN1P3/1B1NBPPP/R2R2K1 w - -,b3b4
r1b1k2r/1p2bppp/p1n1p3/q7/3PN3/P3nN2/1P2BPPP/R2Q1RK1 w kq -,f2e3
1r1qk1nr/p3b2p/2p2pp1/4pb2/4N3/2B3P1/PPP1QPBP/R3K2R w KQk -,a1d1
rn1qkb1r/pb1ppppp/1p6/3nP3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq -,c3d4
r1bqk2r/4npb1/p1n4p/1p4pP/2p5/N1P1BN2/PPB1QPP1/R4RK1 b kq -,c8e6
2rq1rk1/pb1nbppp/1p2pn2/3p4/2PP4/1P1B1N2/PB1NQPPP/2R2RK1 b - -,d5c4
3q1rk1/r3npb1/1pn3pp/p1pp1b2/P7/2PP1NP1/1P1B1PBP/R2QRNK1 w - -,d3d4
3r2n1/1bknppr1/p2p2p1/qp1P2Pp/8/P1N1QP1B/1PP4P/1K1R2NR w - -,f3f4
r4rk1/1ppb1pp1/p1nbp1qp/8/2QPP3/2N2N2/PP2BPPP/R2R2K1 b - -,f8d8
2r3k1/1q3p2/p3p1p1/1p1p2Pn/2rP1P2/P1N1P3/1PR3Q1/2R3K1 b - -,a6a5
2br4/Q3k1p1/p3n2p/1p6/7P/1P3PK1/P5P1/8 b - -,d8d7
1rq1r3/p3p1k1/1p1p1pnp/3N4/P1P3Q1/1P4P1/4PP2/3R1RK1 w - -,g4h5
1r2r1k1/Rb3pbp/3Pn1p1/4P3/1pB1N3/7P/1P4PB/5RK1 b - -,b7e4
r1b2rk1/ppbn1ppp/2pp3q/8/5N2/4PN2/P1PPBPPP/R2Q1RK1 w - -,c2c4
3Q4/kp6/p7/7p/5p2/P1P4P/KP6/4q3 b - -,e1e3
3b2k1/pp3p2/3q2pp/1p1B4/8/4PQP1/PP3P1P/6K1 b - -,d8f6
r2qk2r/1p1nbppp/p2pbn2/4p1B1/4P3/1NNQ4/PPP1BPPP/R4RK1 b kq -,a8c8
r3k1nr/pp1qppbp/2np2p1/8/2P1P3/2N5/PP2NPPP/R1BQK2R b KQkq -,g8f6:g8h6
8/8/4pqpk/8/8/KP4Qp/P1B3b1/8 w - -,b3b4
4rnk1/1q3pp1/p6p/3pP3/3Q3P/P5P1/5PK1/2BR4 b - -,e8d8
2R2bk1/5p2/2nr3p/8/3p4/3b3P/1P2NPP1/r1BR2K1 w - -,d1d3
4k3/1p3ppp/pN1rb3/2nN4/2PR4/6P1/P3PP1P/6K1 w - -,d5f6
6r1/1b1p4/5kB1/p1rP1P1P/1p1R4/5K2/8/3R4 w - -,f3f4
R2n1rk1/4p3/3p1bq1/3p2pp/2P1N1n1/B3P1P1/P2NQ2P/6K1 w - -,c4d5
r2q1rk1/1b1nbpp1/pp2pn1p/3pN3/2PP4/2NB2BP/PP3PP1/R2Q1RK1 w - -,d1b3
b2r1r1k/p2q1ppp/1p1Np3/4P3/3P1P2/2P3Q1/P5PP/R3R1K1 w - -,e1e2
r2qkb1r/pp1b1ppp/4pn2/n1p5/3P4/3Q1NP1/PP2PPBP/RNB2RK1 b kq -,a8c8:d7c6
3r1rk1/2p2pp1/1pN1p1np/p3P3/P7/2P1BN2/1P1R1KPP/8 b - -,d8d2
3r1k2/pp3ppp/1qp1bb2/4p3/2P5/P2B4/1PP1QPPP/1K1R3R w - -,d3e4
rn1q1rk1/pp2ppbp/2p2np1/3p4/2PP2b1/1P1BPN2/PB1N1PPP/R2QK2R b KQ -,e7e6
1rbq1rk1/1p3pbp/p1n2np1/3pp3/1P2P3/1QPP1NP1/3N1PBP/R1B1R1K1 b - -,d5d4
3r2k1/p1rnqppp/bp1pp1n1/8/1PP1PP2/P5P1/3NQ1BP/B1R1R1K1 w - -,e2e3
r4rk1/1bq2ppp/pnp1p3/Pp2P3/2p1PP2/4Q1P1/1P4BP/R2R1NK1 b - -,b6a4
rnbqkb1r/pp3ppp/4p3/2p5/2PpB3/6P1/PP1PPP1P/R1BQK1NR w KQkq -,d1b3
8/1p3pk1/2p1b1p1/7p/pPP1P2P/P3R1P1/2q1B3/3RK3 b - h3,g7f6
6k1/r5pp/4bp2/pP1np3/7P/1P2P1P1/R2N1PB1/6K1 w - -,d2c4
6k1/5pbp/p2Np1p1/P1pn4/1r6/1R1P2PP/4PP2/1R4K1 w - -,b3b4
r5k1/1p1b2b1/4p2p/p2p3B/3n3q/P4PN1/1P1B1nK1/R2QR3 w - -,e1h1
1k1r3r/pp1qbp1p/3p4/4pp2/5P2/2P1B3/PP4PP/R2Q1RK1 w - -,f4e5
6k1/p5p1/1p6/1Pbp2p1/8/2PR2BK/6P1/1r6 w - -,h3g4
6k1/p6p/3q2p1/1p1P1rP1/4pr2/2P1Q2R/PP4RK/8 w - -,e3a7
5rk1/5pnp/2R3p1/8/8/PBq5/5PPP/4R1K1 w - -,c6c3
r4k2/p1r2p2/Bn2b1p1/2N5/P2Pp1n1/4P1P1/5P2/2R1R1K1 w - -,c5e6
2rr2k1/1p2ppbp/2bp2p1/4q3/4P3/1BNQ2PP/PPP2P2/3RR1K1 w - -,b3d5
2krN2r/pb1pnP1p/1p4p1/3p4/3q4/5N2/PPP2PPP/R4RK1 w - -,f3d4
r1br2k1/5ppp/pqpQpb2/4P3/5P2/2N5/PPP3PP/2KR1B1R w - -,d6a3
2r3k1/2r2pp1/1bbpp2p/pp2P3/3P1P2/P3N2P/1P1RN1P1/R6K b - -,d6e5
8/8/1k6/p7/K1pP4/2P5/2P5/8 w - -,d4d5
8/5rk1/3q3p/3P2p1/2P3P1/pP3p1P/3Q4/R6K b - -,d6g3
3r4/1p1r2k1/p5p1/3Pqp1p/1Q2p2P/1P4P1/P3RP1K/3R4 b - -,e5d6
r2r2k1/1q2bppp/pp2pn2/3bN3/P2B1P2/2P5/1P2Q1PP/2NR1RK1 w - -,e5g4
rnb2rk1/pp2b2p/3ppn2/5q2/2P2Np1/P1N3PB/1P2QP1P/R1B1K2R w KQ -,h3g2
B7/4pk2/6p1/2p3B1/2P1P2P/b5P1/P1b1KP2/8 b - -,c2b1
2r2rk1/pb3ppp/1p1qpn2/4N3/1n1P4/P4N2/1P2QPPP/1B1RR1K1 b - -,b4d5
r2q2k1/ppp1Bpbp/8/5R2/8/3P4/PP4PP/R2Q3K b - -,d8e7
4k3/6pp/p6r/1pQp3q/4p3/P1P3P1/6K1/8 w - -,c5c8
rnbqkbnr/1pp2ppp/8/1P1pp3/8/8/PB1PPPPP/RN1QKBNR b KQkq -,f8d6
4Nk2/R7/2p1Qp2/2P1p3/pP4p1/P7/1B6/2K4q w - -,c1d2:c1c2
3r1r2/p5bk/4Q2p/5n2/2P3pN/2P3P1/P2q2NP/R3R1K1 b - -,f5h4
r3k3/1p2bpp1/p3pqp1/2P5/1Pr5/5PB1/P2Q1P1P/R4RK1 w q -,a1d1
2q3k1/ppr1bppp/1n2p3/B2pP3/3P2P1/3Q1N2/PP3P1P/4R1K1 b - -,c7c6
3k4/7R/2KB4/8/8/8/8/4r3 b - -,e1e2
6k1/3R1p2/5bp1/5p2/3P1N2/4PKP1/r4P2/8 b - -,a2a8
r2qk2r/pp1nbpp1/2p1pn1p/3p1b2/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 b kq c3,e8g8:f6e4
8/p2B4/1p3kn1/8/P7/5P2/r6P/6RK b - -,g6e5
3rr1k1/5pp1/4b2p/4b3/q1ppP3/5BN1/2P2PPP/2QRR1K1 b - -,a4a5
r1bq1rk1/ppp1p1bp/3p1np1/3Pnp2/2P5/1QN2NP1/PP2PPBP/R1B2RK1 b - -,h7h6
r6k/5r2/2pP1q2/1pP1p3/p3Ppb1/P2R4/5QP1/R3N1K1 w - -,d6d7
r2q1rk1/1bp1nppp/pp2pn2/2PpN3/1P1P4/4P3/P1QNBPPP/R4RK1 b - -,c7c6
r3r1k1/1ppn1pbp/p2q2p1/3p1b2/3P1PPQ/2P5/PP2N2P/R1BB1RK1 b - g3,f5d3
6k1/4Bpp1/p7/1p1pP1KP/1P1P2P1/8/4b3/8 b - -,e2d1
r2q1rk1/pp2pbbp/2n3p1/2pp1p2/2PPn3/1P2PNP1/PB1NQPBP/R4RK1 w - -,c4d5
2r2rk1/pp1n1pbp/1q4p1/2nN4/4P3/4BB1P/PPQ2PP1/R4RK1 b - -,b6e6
6k1/1p1R1pp1/bB3b1p/P7/P4N2/4P2P/3K1P2/r7 w - -,b6d4
6kr/p3ppb1/6p1/7p/1Q2P3/4B2P/qN3P2/3R1BK1 b - -,a7a5
r7/1p3k1p/2nRb3/5p2/P1P1pB2/1P4PP/8/5BK1 b - -,f7e7
8/2Q2ppk/4p2p/p7/1b1PqNP1/5P1P/7K/8 b - -,e4d4
3rrbk1/1b3p1p/pq3np1/npp5/3pPPPN/PP1P1B1P/1B1N1Q2/2R1R1K1 w - -,g4g5
rnbk2nr/ppp3bp/5pp1/4p3/2P4B/2N2N2/PP2PPPP/R3KB1R b KQ -,d8e8
1Q6/1p3ppk/r4Np1/8/8/1q6/r4PPP/3R1RK1 b - -,a6f6
5r2/8/p2n1pR1/1p2k3/PR2P3/1P6/1KP5/8 w - -,a4b5
5rk1/pppqnrbp/3pb1p1/3Npp2/2PNP3/3PBPP1/PP1Q2BP/2R2RK1 b - -,e5d4
r3r1k1/ppp2ppp/8/4p3/5B2/2PP1n2/PP3P1P/2KR1B1R b - -,e5f4
rn1q1rk1/pp2ppbp/2pp2p1/5b2/2PPn3/2N3PP/PP1NPPB1/R1BQ1RK1 b - -,e4c3
5rk1/pp1r1pp1/4pnp1/4P3/1q4P1/4Q1NP/1P3P2/3RR1K1 b - -,d7d1
8/3k4/R7/5R2/2pP1pK1/3r4/P7/8 w - -,f5f4
3r2k1/1q2bp2/4p3/4n1p1/Np1NP2P/3n1P1P/1PQ2B2/5R1K b - -,d3f2
2r2rk1/5ppp/3Rp3/1p6/1Q3P2/P4qP1/7P/3R2K1 w - -,d6d3
r3k1nr/1pq3p1/p2bpp2/2p3Bp/P1PpP2P/5P1R/1PP1NP2/R2QK3 w Qkq -,g5d2
8/4rp2/3R2p1/p1r1k1P1/1pp3P1/2P1K3/PP1R4/8 w - -,d6d4
8/4K3/3p2k1/3Pp3/4P3/r1p2P2/2R5/8 b - -,g6g5
8/5p2/4pN2/p1k1P3/b3BP2/P5n1/2PK2P1/2B4r w - -,e4d3
r2r2k1/pp1b1ppp/2n1pn2/1N6/5P2/5BP1/P1P1N2P/2KR3R b - -,c6a5
r1bqk2r/pp3ppp/1bn1p3/3n4/1P6/P1N1PN2/5PPP/R1BQKB1R w KQkq -,c1b2
r2qr1k1/pb1nbppp/1pp1pn2/4P1B1/3P4/2N2NP1/PPQ2PBP/R4RK1 b - -,f6d5
r1b2rk1/pp1n1q1p/2pb1PpP/3p1pB1/3P1N1Q/P1N5/1PP2PP1/2KR3R b - -,d7f6
r1b2rk1/pp3p1p/7b/4p1p1/B1PP4/3n2BP/P3NPP1/RR4K1 w - e6,b1b3
8/p4k2/1p1N3p/2N3pn/P7/1P1P1KP1/8/2r5 b - -,f7e7
8/8/6p1/R3bk1p/4p3/4P2K/5B2/1r6 b - -,b1b6
2r1kb1r/pp1q1ppp/3ppn2/8/2R1P3/2N1B3/PPP1QPPP/R5K1 b k -,c8c4
2q1rbk1/5pp1/p2p2r1/2pNn2p/Q1P1P3/5P1P/P2R1BPK/1R6 w - -,b1b6
r1bqk2r/4bp1p/p2p1npB/1ppP3n/8/2N5/PPQNPPPP/R3KB1R w KQkq -,h2h3
r1r3k1/5pp1/p3p2p/3n4/2N3P1/P4P2/2PB3P/2K1R2R b - -,c8c4
5r1k/1p3ppp/pq2p1n1/5r1N/8/P1P4P/1P3PQ1/1R2R1K1 w - -,h5g3
7r/2p1kpp1/p4n1p/1p1bp3/4P3/1P3P1P/1PP1B1P1/2KR4 w - -,e4d5
8/p7/1p1p2p1/2pP1k2/2P1b3/1P4K1/P4R2/8 b - -,f5e5
8/8/2n2k2/1pP1p3/1P1p1pp1/3P1nP1/r2b4/1R1KBN2 w - -,e1d2
r3r1k1/p4pp1/2p2n1p/q1Np4/6b1/6PP/PP2PPB1/2RQR1K1 b - -,g4f5
1r1r2k1/p1q3pp/1pb1np2/3p4/P1pPP2P/1QP3P1/3N1PB1/R3R1K1 w - -,b3a2
5k2/1R6/6p1/5pP1/8/2n2K2/5P2/8 w - -,f3f4
8/8/3k3R/8/2p1K2P/P1Pp4/6r1/8 b - -,d6d7
r1bq1rk1/p2nbppp/1pp2n2/3p4/3P1B2/P1NBPN2/1PQ2PPP/R3K2R b KQ -,c8b7
6k1/pb3p2/1p1q2p1/8/1P4Q1/PB5P/6P1/3r3K w - -,g4d1
r4rk1/1p2bppb/1np1p2p/p7/3P1N1P/1BP3P1/PP3P2/R1B2RK1 w - a6,a2a4
8/p2r2r1/2pk3p/3pp3/6PP/2PR1P2/P1PK4/4R3 b - -,d7e7
2kr3r/ppp1qpp1/2n2np1/3p2B1/3P2P1/P1NQ3P/1PP2P2/4RK1R b - -,e7d7
8/pp6/4p3/4k1b1/3r2p1/1PNK4/P5P1/5R2 w - -,d3c2
3rrbk1/p1pqn1p1/1p5p/4pp1b/8/P1NPBPPP/1PP1R1BK/R3Q3 b - -,e7c6
r3q1k1/p2bnr1p/1p2p1p1/1P1pBp2/1R3Q1P/2PB4/2P2PP1/4R1K1 b - -,a7a5
1Rr5/2P1k2p/b5p1/3B1p2/7P/6P1/5PK1/8 w - -,d5c4
rnbq1rk1/ppp3bp/3p2p1/3Pp2n/2P1Pp2/2N1BP2/PP1Q2PP/2KR1BNR w - -,e3f2
r2r2k1/pp3p1p/3qp1pb/8/3nN3/3Q1B2/PP3PPP/2RR2K1 b - -,d6e5
rnbqkbnr/ppp3pp/8/3P1p2/4p3/3P1N2/PPP1QPPP/RNB1KB1R b KQkq -,g8f6
8/6k1/4Q3/6K1/5PPp/P6P/8/8 w - -,e6e7
5rk1/5p1p/6p1/3R4/4PP2/3Q2P1/2r3KP/4q3 w - -,d3c2
r1bqkb1r/1p1pnppp/p3p3/8/3nP3/2N1B3/PPP1BPPP/R2QK2R w KQkq -,d1d4
5k2/8/6p1/4p1P1/2BpP2Q/qP1P3P/8/1K6 w - -,h4h8
Rb2r1k1/1p1q1ppp/1Pp5/1np1p3/2N1P3/3P2P1/5PKP/3Q1R2 b - -,g7g6
