2b5/8/8/3nBp1p/2k2P1P/8/3K4/8 b - -,c8a6
r4bk1/p2r1p1p/1p2pBp1/q2bP3/8/1Q4P1/P3PPBP/1RR3K1 w - -,g2d5
2k5/pp2R3/2p5/2Q1PP2/P7/1r1K4/6r1/8 w - -,d3c4
r2q1rk1/6pp/1pb1p3/p2pPp2/P4P2/b1P5/1P2B1PP/R2Q1R1K w - -,a1a3
r2n1rk1/pp1qnpbp/3p2p1/2pP4/4P3/5NPP/PP3PB1/R1BQR1K1 b - -,f7f6
2k4r/1p1rbppp/p3p3/5q2/QPP5/4B1P1/P4P1P/1RR3K1 b - -,d7d3
r1bqk1nr/1ppnppb1/p2p2p1/7p/3PPP1P/2N1BN2/PPPQ2P1/R3KB1R b KQkq -,g8f6
4rr1k/2p3p1/p3bq1p/5p1P/2P2P2/5Q2/P2RPKN1/3R4 w - -,c4c5
8/1p3k2/1p3Pr1/8/P3R3/2P4K/7P/8 b - -,f7f6
8/p6p/1p6/3k4/1P1B4/P2K4/8/8 b - -,h7h6
r5k1/1p4pp/5r2/p1b1p3/2PpPP2/3B2P1/PP3R1P/R5K1 b - -,a8f8
3q2k1/p4pp1/1p6/2p3P1/1n2BB2/1Q1b4/5PP1/6K1 w - -,e4f3
r5k1/2R2p1p/1q2p1p1/2np4/4R3/PP5P/2Q2PP1/6K1 b - -,c5e4
r2b2k1/1q3p2/p1n1p1p1/2P1p2p/RPQ1P2P/1N3PP1/K1N5/8 w - -,a2b2
3r1k2/ppp1rpbB/b3Pq2/3P2Qp/6pP/6P1/5P1N/3RR1K1 w - -,g5h5
r1b1kb1r/pp3pp1/1qnppn2/6B1/4P3/1NN5/PPPQ1P1P/R3KB1R b KQkq -,a7a6
r1bqkbnr/1p1npppp/p2p4/2pP4/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,h7h6
2r1kb1r/1bqn1ppp/p2p4/3p2P1/1pPNP3/1P2B3/P3QP1P/1R2K2R w Kk -,e4d5
rnbqkb1r/pp2pppp/2p2n2/3p4/3P1B2/4P3/PPPN1PPP/R2QKBNR b KQkq -,c8f5
3Q4/kp3p2/p3r3/P5p1/1P2n3/2P1P2P/6PK/8 b - b3,g5g4
r1b1k2r/pp3ppp/2n1p3/3pP3/1P1n4/P7/1B2NPPP/R2BK2R b KQkq -,d4e2
8/p2bppk1/3p3p/p2Pq1p1/4P3/5P2/PP1QN1PP/6K1 w - -,e2c3
r1bqk2r/pp2nppp/2n1p3/2PpP3/3P4/P4N2/5PPP/R1BQKB1R b KQkq -,b7b6
5R2/8/8/7p/6nP/5kPK/r7/8 b - -,f3e2
r1k4r/2pqn1p1/p2b1n2/3P2N1/Pp1P4/1B4P1/1P5P/R1BQR1K1 w - -,d1f3
8/3k4/p1b2p1r/1pPpR2p/1P3PpP/P5P1/3K2B1/8 w - -,e5e2
1r3rk1/3b1pb1/3p1pp1/pp1N3p/3PP2P/P4PP1/3KN1B1/R6R b - -,g8h7
6k1/1p3p2/2p3p1/1PP1bp2/2Q1p3/2q1P1PP/5P2/5BK1 b - -,g8f8
6k1/1b3rbp/p7/1pB1pR2/1P2p1P1/P1N4r/1P2R3/6K1 b - -,h3g3
1rb3k1/p1nr1pbp/6p1/Bpp5/3P4/1P2P1P1/1N3PBP/2R2RK1 b - -,c7a6
4b3/1pr3k1/p3p3/2PpNp1p/n2P1P2/N3P1pP/P3K1P1/2R5 w - -,e2f3
2rk3r/p2npBbp/1p4p1/8/3P3B/4PP2/P2K1P1P/1RR5 b - -,c8c1
2k4r/pp3p2/1np1p3/5p2/2Pr4/PP6/4BPPP/2KR3R b - -,d4h4
r4rk1/p1qb1pbp/5np1/1p2N3/3pPB2/P2P2P1/1P2NPBP/3Q1RK1 b - -,f6h5
5rk1/5p1p/3p2pQ/3Pp3/r3B3/7P/2p2PPN/n5K1 w - -,e4c2
2rq1rk1/4ppbp/p5p1/1p1nP3/3P3P/1R1b1N2/P2B1PP1/3Q1RK1 w - -,b3d3
rn1qk2r/pbpn1ppp/3pp3/1p6/4PP1P/3P4/PPP3BP/RNBQ1RK1 b kq -,d8h4
r1q2rk1/p2n1bbp/2pB1pp1/8/8/2N2N1P/PP2BPP1/2RQR1K1 b - -,f8e8
6k1/3n1p2/8/1P1r2pP/1R4P1/N7/2K5/8 w - -,c2c3
5rk1/1pp4p/p1np2p1/8/2PbRP2/1P4N1/P2B2PP/6K1 w - -,g1f1
1r2kbr1/1q2np2/4bBpp/p2pPp2/PppP4/2P3QP/1P2N1P1/R2B1RK1 b - -,e8d7
3R1bk1/1r3p1p/6p1/p7/4P3/1B4P1/PPP2r1P/2K4R w - -,d8a8
2r4r/1pqbppbk/2pp1npp/p2P4/P1P1P1P1/4BPN1/RP1QB1KP/2R5 b - -,c6d5
2r1k2r/1bq2ppp/p3p3/3pn1PP/1b2PP2/2N4B/PP1QN3/2KR3R b k -,e5f3
Q7/8/6pk/4p3/4Pq2/2PP3p/5K2/8 w - -,f2e2
r1bqk2r/1p1nbppp/p2ppn2/8/3pP3/2P2N2/PPB2PPP/RNBQ1RK1 w kq -,c3d4
8/5pk1/3p4/2bPp3/1p2P1B1/1P4P1/6K1/8 b - -,c5a7
r3nrk1/1q3ppp/ppbp4/4p3/PNP1P3/1P3B2/1Q3PPP/R3R1K1 w - -,b2d2
7r/R4pk1/2Bb2p1/1P4P1/6KP/8/8/8 b - -,d6c5
r1b1k2r/pp2ppbp/2n3p1/3q4/Q2p3B/2P1PN2/P4PPP/R3KB1R w KQkq -,c3d4
2Nr2k1/5pbp/p3q1p1/Ppp1p3/4n3/1bP1P2P/1P2QPPB/3RRBK1 b - -,b3d1
r2qkb1r/pp2pppp/2n2n2/3p1b2/3P1B2/2N1P3/PP2BPPP/R2QK1NR b KQkq -,d8b6
3r1k2/pp4pp/2pr1p2/P3p2b/2B1P3/R5PP/1PP2P2/4R1K1 w - -,a3d3
3rr1k1/1bq1bpp1/ppp1pn1p/8/N1PP4/PP4P1/1BQR1PBP/3R2K1 w - -,c4c5
5k2/R4p2/6pp/p3P3/5K1P/5P2/8/r7 b - -,a5a4
2rr2k1/5pp1/p3b2p/3p1p2/Nb1P3P/P3B1P1/1P3PK1/1RR5 b - -,b4e7
r1b1nrk1/pp3p1p/3p1np1/1Pp5/2PNP3/P1N2P2/4B1PP/R2R2K1 w - -,d4c2
r2q1rk1/pb1nbppp/1p2p3/2p5/2P1N3/4PNP1/PB1PQPBP/R4RK1 b - -,b7e4
r4rk1/1Q2p3/p1p1qbp1/2Pp1bp1/3P4/2B1P1P1/PP1R2BP/5RK1 w - -,f1e1
r2q1rk1/1p1nppbp/p2p1np1/2pP4/4P3/2N1BB1P/PPP2PP1/R2Q1RK1 w - -,a2a4
r4rk1/ppq2ppp/3Qb1n1/4p3/4P3/2N5/PPP1B1PP/3R1RK1 b - -,c7a5
r2qk2r/1b1n1ppp/p3pn2/1pb5/8/1BN1PN2/PP3PPP/R1BQR1K1 w kq -,a2a3
2k4r/1q2pp2/2p1b1p1/1pBnP3/p2Q2Pr/P4P2/BPP5/1K1R1R2 b - -,h4h2
r6r/pbpnk1pp/1p6/2n5/1bP5/2N2B2/PP1B1PPP/R3K1NR b KQ -,e7f7
6k1/ppp1pp2/4bbp1/8/8/P1P1B2P/1P2BPP1/3K4 b - -,g8g7
3n4/8/pR2p1k1/r5p1/2P3P1/1P2PK1N/8/8 b - -,g6f6
4R3/7R/2n5/pp2Pk2/8/8/P7/1K6 w - -,h7h5
6k1/3b2qp/p2p3Q/3P1P2/1p2r2P/5N2/P5P1/6RK w - -,h6d6
r2qrbk1/1p3ppp/1nppbn2/p7/P2NPP2/2N3PP/1PP3B1/R1BQ1R1K b - -,e6c4
4r1k1/p5bp/3p1n2/2p1pb2/1p3p2/1P5R/P2B1N1P/4R1K1 w - -,h3f3
6k1/8/1p2p1pq/pPn3Bp/4P2Q/1P3P2/P5PP/3r1BK1 b - -,h6g7
1qr1r1k1/1b3pbp/pp1p2p1/3Pp2n/2P3N1/BP5P/P2Q1PP1/1BR1R1K1 w - -,b1c2
r6b/2P4p/p3k1pn/4Pp2/2pB4/2P4P/5PK1/RR6 b - -,a8c8
rnb1kb1r/ppqppppp/8/2p3B1/3Pn3/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,c5d4
r1br2k1/2q1bppp/2p1p1n1/p1ppP2N/P1P2P2/1P1PBN2/5QPP/R3R1K1 b - -,c7b6
r2r2k1/1b2qpbp/p1nppnp1/2p5/2P5/1PN1PN2/PBQRBPPP/3R2K1 w - -,f3e1
5rk1/pp2b2p/n1ppb1p1/4p3/2P1PrPq/1PN2PNP/P3Q1BK/R4R2 b - -,g8h8
r3r1k1/p1p1qbpp/1p6/1BP1p3/1P2Pp1P/P1Q5/5PP1/3RK2R b K -,e8d8
r2q2k1/ppp1b1pp/2npQ3/5r2/5Pn1/2N5/PPPB2PP/2KR2NR b - -,g8h8
6k1/pn4bp/1pp1b1p1/4p3/2P1P3/1P4PP/P2BN1BK/8 b - -,g7f8
2rr2k1/1pp1q1pp/p1n1pn2/5p2/1b1P4/1P2PN1P/PB1NQPP1/2RR2K1 b - -,b4d2
r1b1kb1r/pp1n2pp/1qn1pp2/3pP3/3P4/3B1N2/PP2NPPP/R1BQK2R w KQkq -,e5f6
1r2r1k1/p2p4/2q3p1/4n3/P2pp3/6Pp/1P2RP1P/R1BQ2K1 b - -,e5f3
6k1/3q2p1/8/3bP2p/p7/P3QP1P/6PK/4B3 b - -,d5e6
2nr3r/pkpq1p2/1pn1b1pp/3p4/P2P4/2PB1QNP/2P2PP1/1RB1R1K1 w - -,c1a3
8/3r2p1/3b3p/3kp3/1pR3P1/3KB2P/1P6/8 w - -,e3d2
r3kb1r/1bqp1ppp/p3pn2/8/2pQP3/PNN1BP2/1PP3PP/R3K2R w KQkq -,b3c5
7k/4q1r1/1p1p3p/p2PbP1P/5P1Q/1P6/P3B2K/3R4 w - -,h4e7
8/pp6/2p3k1/6rp/3P4/PKP5/1P6/7R w - -,c3c4
r1bq1rk1/pp3ppp/2n5/3Np3/1b6/3B1N2/PPPB1PPP/R2QK2R b KQ -,d8d5
3QN3/7k/4q1p1/4bp1p/4pB1P/3p2P1/5PK1/8 w - -,f4g5
5k2/2q1r1pp/2P2p2/p7/1n6/3Q2P1/P4PBP/2R3K1 w - -,d3h7
8/6p1/3p3p/1k3P2/p2K2PP/8/R4P2/3r4 w - -,d4c3
2kq4/pp3ppp/2n1p3/2p5/5B2/P1P3PP/1PP1QP2/2K5 w - -,e2h5
8/5p2/3k3P/p2P2P1/P3BP2/2b5/1p4K1/8 w - -,g2f3
1r3r2/7Q/p1p1kpp1/n3p3/Pp2P3/4PN1P/1PP3P1/6K1 b - -,a5c4
1rr3k1/5pp1/Q3pnqp/2bpn3/5B2/2N3PP/PPb1PPB1/R3RNK1 b - -,f6d7
8/2q3kp/b4r2/p1p1pnN1/1p6/2P5/PP2nQBP/R2R3K b - -,c7e7
3r4/4k2p/2p1p3/2P5/1pK2p2/P6R/7P/8 w - -,a3b4
4rr2/ppp3kp/3p4/3P3P/2P1N3/5n2/PP1R1P2/2K4R w - -,d2e2
8/1p1R1kp1/2N5/p1r1p1q1/P1Pn4/KP6/7Q/8 b - -,f7e6
7r/1b2kp2/p3pbp1/1p2n2p/2p1PN1P/P1P2PP1/1PNRBK2/8 w - -,f4h3
r2qr1k1/1bp2pbp/pp1p1np1/3P4/PPBBn3/R1N2N1P/2P2PP1/3Q1RK1 w - -,a4a5
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/3P4/N1P2NP1/PP2PP1P/R1BQKB1R w KQkq -,a3c2
1r1r2k1/3BpPb1/6p1/2pP4/2Qn4/1P6/q4PP1/1R2R1K1 b - -,g8f8
3r2rk/pp1b1q1p/8/2Pp1p2/3NpPnQ/1P4PP/P7/3RRBK1 w - -,h3g4
rnb1k2r/pp2bppp/1qp1pn2/8/3PP3/2NQB3/PPP3PP/2KR1BNR b kq -,f6g4
2n1r1k1/rR5p/p3p1p1/2Pp1pP1/N4P2/4P1P1/P7/2R3K1 w - -,c5c6
3r2k1/1bR2ppp/p5n1/3p4/5P2/P4BP1/1P5P/4N1K1 b - -,d8b8
6k1/1R6/6P1/5K2/1p1p4/pBr5/P7/4b3 b - -,c3b3
8/2Rn4/3r2pk/p7/8/P3PB1P/5KP1/8 w - -,c7a7
2N2rk1/7p/1p1rp1p1/p1npR3/5P2/2P3PB/PP5P/2KR4 b - -,f8c8
3r4/8/3kp2p/1Rp2p2/P7/1P4P1/4KP2/8 w - -,e2e3
r2q1rk1/pp1n2pn/2pbp1p1/3p1p2/2PP4/1P2P3/PB1NBPPP/R2Q1RK1 w - f6,d2f3
6k1/6p1/5pnp/8/r1N1P1P1/6K1/1R3P2/8 w - -,b2c2
2rq1rk1/pb1nbppp/5n2/2pp2B1/8/2NBPN2/PPQ2PPP/R2R2K1 w - -,d3f5
1n6/4k1pp/bp1npp2/3p4/3P4/2N1P1P1/1PN2P1P/5BK1 w - -,f1a6
r3k1nr/pp1n1ppp/3p4/q1pPp1b1/2P1N3/3B1P1P/PP2KPP1/R1BQ3R b kq -,g5e7
1q2rbk1/pp3pp1/6np/6n1/3Nb3/4N2P/PQ1B1PP1/3R1BK1 w - -,d2c3
1rb2rk1/3q1pp1/p4n1p/2n1p3/1N6/2Q1P1P1/1P3PBP/R1B2RK1 b - -,c5e4
r4r1k/1pq1n1pp/p1pbp3/8/4PPQ1/2N1B3/PP4PP/R4RK1 b - -,e6e5
2r3k1/5ppp/p3p3/1p6/1P6/P1q1P3/1N3PPP/3RN1K1 w - -,b2d3
rn1qk2r/pbp1ppbp/1p3np1/3p4/5P2/2NP1NP1/PPP1P1BP/R1BQ1RK1 b kq -,c7c5
r2qkb1r/pp1n1ppp/2p1pnb1/8/3PN3/3BBQ2/PPP1NPPP/R3K2R w KQkq -,e2g3
r2qnrk1/ppnb2bp/3p2p1/3Ppp2/4P3/P1N1B2P/1P1NBPP1/R2Q1RK1 w - f6,e4f5
6k1/pp2qppp/2pn4/3p1n2/5Q2/1PPN1P2/P1P2BPP/6K1 b - -,b7b6
2kr4/1p6/2p1pq1r/2Pp2p1/1b1P1p2/pP2PPP1/P4QB1/2RR2K1 w - -,e3e4
4R1k1/p2q2p1/2p2p1p/P2p4/1P1Q4/2P4P/5PP1/6K1 b - -,d7e8
r1k4r/pp1n1ppp/2p1bn2/4p1B1/Bb2P3/2N2N2/PPP2PPP/2KR3R w - -,g5f6
r5k1/1b3pp1/1q1p4/2n5/2P1pP2/2Q1R1PB/2N1PK1P/8 b - -,b6b1
r4rk1/ppb3p1/2nqp1p1/3p4/3P2P1/1N2BBnP/PP3PK1/R2Q3R w - -,h1e1
4r1k1/p3qp2/4rnp1/1p1p1p1p/2pP4/1PP1PP1P/P1QNR1P1/4R1K1 b - -,h5h4
rn2r1k1/1bp2ppp/pp1b3q/3pN3/3Pn3/1P1BP3/PBQ1NPPP/2R2RK1 w - -,e2g3
5bk1/8/3p1p1p/3b1p2/8/5QP1/3R3P/5NK1 b - -,d5f3
1rb1q1k1/ppp3pp/2np1r2/4pp2/2P5/1QPP2P1/P2NPPBP/R4RK1 b - -,g8h8
6k1/2p5/2Np2p1/1P1n4/1P3rP1/8/4PK2/5R2 w - -,f2e1
8/4k3/6p1/4P1P1/2K5/5N2/4n3/8 w - -,f3d4
7r/5p1r/p4p1P/3pkP2/1p2p1PR/1P6/P1PK4/7R b - -,h8c8
r1bqk2r/1p2bppp/2np1n2/pB2p3/2P1P3/1N3P2/PP4PP/RNBQK2R w KQkq -,b1c3
8/1p5p/3p2p1/k2P1pP1/1pK2P2/1P5P/P7/8 w - -,c4d3
rn3rk1/1pp1qpp1/1b1pbn1p/pP2p3/P1BPP2B/1QP2N2/3N1PPP/R4RK1 b - -,e6g4
2R5/pp1r1p1R/5k2/2p1r1p1/4P1P1/P1PPK3/5P2/8 b - -,f6g6
1k4r1/1R3R2/8/1p6/1P6/K1P5/1P5r/8 b - -,b8a8
3r1rk1/6b1/pp1q1n1p/3p2p1/2P2p2/3Q3P/PP4PB/3BR2K w - -,d1c2
4r1k1/pp5p/2p1rn2/4Np2/1P1P1P2/4PK2/P2B4/R1R5 b - -,e8e7
r1b1kb1r/pp3pp1/2n2q1p/3p4/2B5/2N5/PP3PPP/R2QK1NR w KQkq -,d1e2
4k3/2Kr1p2/4pQP1/1p5p/1P6/8/8/8 w - -,c7c8
4rk2/5p2/6p1/p1RpbN1p/8/5K1P/8/8 w - -,f5h4
r2q1rk1/p5pp/b1p2b2/2P1np2/3NPQ2/6P1/PB2P1BP/2R2RK1 b - -,e5g6
1r4k1/2R4p/6p1/5p2/5N1K/2P3P1/1P3R1P/4rb2 b - -,e1e4
r3r1k1/b1q2pp1/p1p2nnp/1p2p3/4P3/PQP1BNNP/1P3PP1/3RR1K1 w - -,e3a7
r1bq1rk1/pp3p2/2n2b1p/4p3/2Pp2p1/PQ1P2P1/3NPPBP/RR2N1K1 w - -,e1c2
r1bq1rk1/4p2p/2np1ppQ/2p1P3/p1P5/1PR2N1P/P4PP1/1B3RK1 b - -,d8e8
3rb1k1/Np2bppp/q3pn2/4p3/PP2P3/2Pr1B2/R3QBPP/4R2K w - -,b4b5
8/6b1/1R3pk1/5p1p/2KB3P/6P1/5P2/4r3 w - -,f2f4
rn1qk2r/1p1bppbp/p2p1np1/1B4B1/3NP3/2N5/PPP1QPPP/R3K2R w KQkq -,b5d7
r4rk1/3nppbp/1q1p1np1/1PpP4/4P3/2N2N2/1P1B1PPP/R2Q1RK1 w - -,d1e2
1q6/pp1rr1k1/5np1/R2p1p2/P1pP1N1p/2P1PP2/1R4PP/2Q3K1 b - -,d7d8
8/1R3pk1/6p1/2n4p/3bPP1P/6P1/B5K1/8 w - -,b7f7
8/8/8/1pk4R/p1p5/P1K2P2/1P4rp/8 b - -,c5d6
2kr3r/pppb1ppp/3p1n2/2q5/2P1PP2/2BB4/P1P1Q1PP/1R2K2R w K -,e2f2
5bk1/5p2/5P2/3rp2p/3P2P1/2Q2q1P/3B4/4R1K1 b - -,f3c3
2kr1b1r/1pp2ppp/p1nq1n2/4p2b/3P4/2NBBP2/PPPQN1PP/R4RK1 w - e6,d4e5
r2q1rk1/pb1n2pp/1ppbpn2/3p1p2/2PP1P2/1PNBPN2/PB4PP/R2Q1RK1 w - -,d1e2
r2r2k1/2p1qppp/bpn2n2/p1b1p3/P1N1P3/1P3NP1/1BP1QPBP/3R1RK1 b - -,d8d1
r3k2r/pp2b3/2n1pp1p/3n4/8/5NB1/PP1N1PPP/2RR2K1 w q -,d2e4
2rR2k1/2p1rp2/1p3q2/pQ2pPn1/P4pP1/2P2P2/2P5/3R1BK1 b - -,c8d8
1b6/8/pBp5/3p1k1p/P2P4/2P2K1P/8/8 b - -,b8d6
rn1q1rk1/pb2ppbp/1p1p1np1/P7/3p4/2P2NP1/1P1NPPBP/R1BQ1RK1 w - -,c3d4
2r3k1/1r4pp/p7/2P2p2/2PR4/2B5/P1b2PPP/R5K1 w - -,d4d2
4rrk1/pb3ppp/1p1qpb2/2p2P2/2PpPB2/3P3B/P1P3PP/R2Q1RK1 b - -,f6e5
4kr2/5p2/p3p3/4n1P1/Q6P/1p2P1N1/1qP1K3/6R1 b - -,e8e7
r7/1p3bk1/2pq1b2/3pNp2/1P1P4/4P1PK/1Q2BP2/2R5 b - -,f6e5
8/7p/6p1/5pk1/3NpN2/4P1PP/nn3K2/8 b - -,a2c3
6k1/6pp/1p6/2p3R1/p1P4P/K1P2b1B/P1r2r2/R7 w - -,h3e6
3r2k1/pp6/r2B1bnp/8/P2p4/1P3NK1/3P1R2/4R3 w - -,d6c5
8/p1r3kp/1p4p1/8/2Pn4/P7/6PP/1N2R1K1 w - -,g1f2
3rqr2/1pp1ppkp/p5p1/3PP3/3QN1b1/5N2/nPP3PP/1K1R3R w - -,b1a2
r4rk1/1p2bppp/1qn1pn2/p1pp3b/P2P1B2/1PPBPN1P/3N1PP1/R2Q1RK1 w - a6,d1e2
5nk1/5pp1/p3q2p/2pr4/P3n3/4PN1P/2Q2PP1/B1R3K1 b - -,f8g6
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b - -,c8g4:a7a6:c8d7
r1b1r3/2q2pk1/p2p1npp/1p1Pp3/2p1Pn2/2P1NQ1P/PPB1NPPK/R3R3 b - -,f4e2
8/8/2R3p1/4kp1p/7P/1r6/7K/8 b - -,b3b4
3r1r2/p6p/1p2ppk1/2p3pN/2Pq2P1/3P3P/PP1Q1P2/3R2K1 w - -,h5g3
3r4/5ppk/2p1pb1p/7P/q1PP4/4BQ2/5PP1/3R2K1 w - -,d1c1
rnbqkb1r/pp2pppp/8/2ppP3/3P4/2P5/P1P2PPP/R1BQKBNR b KQkq -,b8c6
3k2r1/pp1bqpp1/2p1p3/4P1P1/3PBQ2/7R/PPP5/1K6 w - -,a2a3
2q2rk1/2r1ppB1/p2p2p1/1p1P3n/6p1/1PN2P2/P1PQ4/1K1R3R b - -,h5g7
r2qk2r/pp1nnpbp/2p1p1p1/3p2B1/3PP3/2N3QP/PPP2PP1/2KR1B1R b kq -,h7h6
1k1r3r/pp1n2Q1/4qp1p/4p3/1P6/6PP/PB4PK/2RR4 w - -,d1d2
8/5p1b/1p3k1p/4p2P/P1PbP1Q1/5BP1/8/1r1K4 w - -,d1c2
r3r1k1/p4ppp/2p5/B1P5/5Kb1/8/P4P1P/R4B1n w - -,f1g2
5rk1/3n3p/1q2pbp1/8/n1PN1P2/1p2Q3/rB4PP/1R1B1R1K w - -,e3b3
8/8/4k2p/N1n3p1/P5K1/6P1/5P2/8 b - -,c5a4
6r1/3r1n1k/pp1n1bp1/2pPp2p/P1P1P2P/1PN1BN2/6RK/5R2 b - -,d7b7
3r1rk1/3n1pp1/1qp1bn1p/ppb1p3/4PP2/4N1P1/PPP1QNBP/R1B2R1K b - -,e5f4
r3rbk1/1bp1qp1p/1p4p1/3p4/1PnP4/1QN1PNP1/R4P1P/1R3BK1 b - -,a8a2
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/4P3/1BNP4/PPP2PPP/R1BQK1NR w KQkq -,f2f4
1q1r2k1/r3Qppp/p3p3/1p2b3/4N3/P3P3/1PB2PP1/R1B4K w - -,e7h4
1q2r2k/3bppbp/p1r2npB/1pP5/1P1N3Q/2N5/P5PP/4RR1K b - -,c6c8
8/8/8/3K1p2/5Pk1/R5P1/4r3/q7 w - -,a3a1
r7/4B3/3P1K2/6R1/2p1kn2/p1Pr4/8/R7 w - -,g5e5
2r3k1/5p2/7p/2qp2pP/p7/P2Q1P2/1PP3P1/1K1R4 w - -,c2c3
2k5/8/8/6R1/4pp2/7P/1r2K1P1/8 w - -,e2f1
2q3k1/2r1bp1p/4p1p1/pp2P1P1/5B1P/1PP2Q2/PK6/2R5 w - -,f3d3
1r6/2pk4/R2b4/4p3/1r2Pp1B/5PPK/1PR5/8 b - -,b4b3
r3r1k1/1ppq1pbp/p2p1np1/4n3/3NP3/2P1B1PP/PPQ1BPK1/R4R2 b - -,d6d5
r2q1rk1/p3p1b1/2pp1ppp/8/2bQPP1B/2N2R1P/PPP3P1/R6K b - -,c4f7
8/5p2/2k4b/1p2pP2/1p2N1rP/6P1/PPP5/1K5R w - -,h1e1
r1bqkbnr/1p2pppp/pn1p4/8/2BQP3/5N2/PPP2PPP/RNB1K2R w KQkq -,c4b3
3r3r/pp1b2k1/5qp1/2pPRp1p/2B5/3Q3P/PPR3P1/5NK1 w - -,c2e2
2r4k/1p1b2pp/8/p2p4/2PPp1nP/4P1P1/P3BP2/2R2K1R w - -,e2g4
8/8/2Q3K1/8/4p3/3r4/5nk1/8 b - -,d3f3
2r1r1k1/pbqn1ppp/1p3n2/2bp1N2/2P5/1PQ3P1/PB1N1PBP/R3R1K1 b - -,d5c4
r2qk2r/pbpnbppp/1p2pn2/8/1PBP4/P3PN2/1B1N1PPP/R2QK2R b KQkq -,e8g8
r1b1k1nr/ppp2ppp/1b1p4/1P1B4/4P3/8/P1Q2PPP/qNB2RK1 w kq -,c1b2
r3k2r/2qnbp2/p6p/1p1pP1pb/2pP4/5PP1/PP1BB1NP/2RQ1RK1 w kq -,f3f4
8/1R6/2n4p/1pk1pN2/8/P4P1P/r3PK2/8 w - -,h3h4
r1bqr3/p1p2pkp/2pp2p1/4n3/4P3/1P5P/P1PNBPP1/1R1Q1RK1 b - -,d8f6
R7/1p1n1p2/pk6/5P2/3KB1q1/1Q6/P6P/6r1 b - -,b6a5
3q3k/1rpp1n1p/p3rpp1/2pN1N1n/2P1P3/PP6/1B4Rp/3Q1R1K b - -,c7c6
2r1k2r/p2npp1p/1p1pb1p1/n2N4/2PRPP2/2P1B3/P3B1PP/4K2R b Kk -,e6d5
8/3k4/p7/2b5/2PN4/1PB3Kp/2b5/8 b - -,c5d4
6rk/1q3p1n/5n1Q/2pP1N1p/1pP5/3B3P/1P4P1/4R1K1 b - -,b7a8
4r1k1/2r1pp1p/p2pb1p1/2p5/2P1P3/1PR1BP2/n3B1PP/3R2K1 w - -,c3c2
