8/5pk1/2R3p1/7p/5P2/r4K2/6PP/8 w - -,f3f2
6k1/pp1n1ppp/4b3/8/Pp6/1Pr1PPP1/3N2BP/1R1K4 w - -,b1c1
2r2rk1/1p2bppp/p2p4/N7/P7/2P1n3/1P4PP/R3R1K1 w - -,e1e3
8/1p6/pQ3rkP/8/6PK/5r2/P7/8 w - -,b6b1
3b1k2/R4p2/4b3/2p4p/1p6/1P4PP/2P5/5RK1 w - -,a7a8
8/pp1b2bk/5npp/2P1p3/1BPpP2P/P2q2P1/4R1K1/4Q3 b - -,d7c6
6k1/5p2/6p1/3np3/1p4Pp/1Pb2PQP/P2B4/3KN3 b - -,h4g3
r2q1rk1/5ppp/p2p1b2/np1NpP2/4P3/5N2/PPP1Q1PP/R4RK1 b - -,a5c4
3r3k/2R4p/2p5/2b1p3/1pR5/6P1/5PKP/8 b - -,c5f8
2r1n1k1/1p2rpp1/p4B1p/P2R4/BP4P1/5PP1/5K2/3R4 b - -,e8f6
1r4k1/2R2p2/1p2rPpp/1Pp1P3/2Pp2n1/3P1NP1/8/R5K1 b - -,g4e5
5r1k/1q4p1/p5Pp/1pp4R/3bPr2/1P5Q/PBP4P/1K1R4 b - -,f4e4
r1qr2k1/1p2bppp/2p5/p3Pb2/P1B1pB2/4Q2P/1PP2PP1/R2R2K1 w - -,e3b3
6k1/1Q3p2/1p5p/3P2p1/1P4n1/2rNq3/P2RK3/8 w - -,e2d1
rn1qr1k1/1b2bppp/pp1p1n2/2pP4/P6N/2N3P1/1P2PPBP/R1BQR1K1 b - a3,b8d7
2rq1rk1/pp2bppb/2n1pn1p/3p1P2/P3P2N/1P1P2P1/1B1N2BP/R2Q1RK1 b - -,c6b4
3k4/8/2pKPRp1/7p/5P2/7P/3r4/8 w - -,d6c6
r2qr1k1/p2p1ppp/n1B5/b1p1P3/2p2Bn1/P1N3P1/1P2NP1P/1R1Q1RK1 b - -,d7c6
r1b2rk1/p3ppbp/6p1/3p4/8/2P1BP2/PP4PP/R3KB1R b KQ -,e7e5
8/4kpp1/pp1np2p/3p4/1K1P4/PP2P2P/3N1PP1/8 b - -,a6a5
7r/1p4k1/2p1b3/3pPp2/1P6/4P1Pq/1Q3PB1/2R3K1 b - -,h3h2
r5k1/p3R1bp/4p1p1/n3Pp2/3P4/3KBN2/r4PPP/7R w - -,h1c1
r1bqr1k1/pp3pbn/2pp2p1/4n1Pp/2PNPB2/2N2P2/PP1QB2P/3R1R1K w - -,f4e3
1r3b1k/p1R4p/8/2N2p2/1nN5/1P2P3/P4P1P/6K1 b - -,f8c5
5k2/1R4pp/P1K5/6P1/8/8/8/5r2 w - -,a6a7
8/1ppk4/8/p2P2p1/P1P1r3/1P2p1pP/4R1K1/8 w - -,g2g3
rnbqk2r/p3bp2/2p1p3/1p1nP1pp/2pPN3/P5BP/1P2NPP1/R2QKB1R b KQkq -,b8d7
3r4/p1p2p2/5P1k/1p1pP1Rp/6pP/P7/2P5/7K w - -,h1g2
8/2k2Qp1/5pBp/2qr4/8/6P1/5P1K/8 b - -,d5d7
r6r/2k2ppp/2p1bn2/ppb1p3/4P1PP/2NB1P2/PPPB4/2KR3R w - -,d1e1
r3r1k1/1b1q1pbp/p2p2p1/R2P4/4n2N/Q3B1P1/1P3PBP/3R2K1 b - -,a8c8
q4rk1/3bbppp/2np1n2/1p2p3/3PP3/5N1P/1PBN1PP1/2BQR1K1 b - -,f8c8
5rk1/pp1R1pp1/7p/2nQ4/1r2p3/qPN1P2P/P4PP1/1K1R4 w - -,d7d8
r4rk1/3bbppp/1q2p3/1pp5/2PBPN2/3P2PP/5PB1/1R1Q1RK1 b - -,c5d4
8/p1R1q1nk/1p3b2/3p1rp1/3Pp3/4P1BN/PP2Q2P/7K b - -,e7e6
r2q1rk1/1p3ppp/p1pbbn2/8/PPBPp3/BQN1PNP1/5P1P/R3K2R b KQ -,e6c4
5r1k/6p1/p3p1Pp/1pnpP3/q4PQ1/2PR1R2/2PK4/8 w - -,g4h4
1kr5/ppq2pp1/2p1rn1p/2Pp1Q2/6P1/2N1PP2/PP4P1/1K1RR3 b - -,c8e8
5r2/4p3/8/2R3p1/4k3/1P4pP/P3K1P1/8 w - -,c5c4
rn3rk1/p4pbp/2p3p1/5b2/1p1P4/1B3N1P/PP3PP1/R1B1R1K1 b - -,b8d7
r1R3k1/p2nbppp/1p2pn2/3p4/3P4/6P1/PP1BPPBP/RN4K1 b - -,a8c8
8/8/8/8/1Q3K2/2r5/3k4/8 b - -,d2c2
5rk1/2q4n/pn4pp/1p3pb1/4p3/P5NP/1PP2PP1/R1BrQBK1 w - -,e1d1
7r/p2k1p2/1rn1p3/3pPp2/2pP3P/1PR2N2/PR3KP1/8 b - h3,h8b8
r4r2/1pp2pk1/3p3p/4Pb2/3b1Q2/3B2P1/Ppn4P/1K1R3R w - -,b1c2
r1b2rk1/ppqpbppp/2n1pn2/8/2P5/1PN1P3/P1N1BPPP/R1BQ1RK1 b - -,f8d8
rn1qk2r/pbp2p1p/1p2p1p1/8/8/2PP1NP1/P2QPPBP/R3K2R b KQkq -,d8f6
r2qk2r/4bppp/p1npb3/3Np3/PpB1P3/4N3/1PP2PPP/R2QK2R b KQkq -,a6a5
8/3k3p/3P1Kp1/1p4P1/1P6/P7/2n4P/8 b - -,c2a3
r2q1rk1/pb2pp1p/1p1p2p1/2n5/2PbP3/2N2P2/PP1BB1PP/R3QR1K w - -,a1d1
8/5pB1/2k4p/7P/4P1P1/R4P2/p3b2K/1r6 b - -,c6d7
8/8/5pk1/1R4p1/7p/7P/6PK/4r3 b - -,e1c1
8/5k2/3R1P1p/ppr1n3/1P3KP1/P7/7P/8 b - b3,e5g6
8/1pQ5/p1b3k1/P1B3Pp/1P2q3/8/7K/8 w - -,c7d6
5k2/1p6/3p2p1/K7/3Pr3/8/PP1R1PP1/8 b - -,f8e8
8/6pk/5q2/7Q/3b3P/6P1/5PK1/8 b - -,f6h6
rn1q1rk1/pb2p1bp/4P1p1/1p1P1pN1/4p3/1B5P/PP3PP1/R1BQK2R b KQ -,b8a6
3rr1k1/pp3bpp/5q2/3p4/2nN4/5P2/PPB2QPP/3RR1K1 b - -,f6f4
4rrk1/1b2n1bp/1q1pp1p1/2p2p2/1p2PPP1/3PBB1P/1PP2Q2/R2N1RK1 b - -,e8a8
5k2/1r3p2/rPR3pp/3p4/3NbK2/4P3/1R4PP/8 b - -,f8e7
4kr2/6R1/3KP2p/p1p5/2P5/8/8/8 b - -,h6h5
6r1/p6k/Ppq1pbrp/2p1p1p1/4PpQ1/1PBP3P/2P2PP1/R2R2K1 b - -,c6e8
2bqr3/2p2pbk/1n1p2pp/3Pp2P/4P3/4QNN1/1P2BPP1/R5K1 b - -,g6g5
3r2k1/pp2bpp1/2p1p2p/q3P2P/5B2/8/PPP1QPP1/1K1R4 w - -,f2f3
r1b2rk1/4bppp/pq3n2/2ppP3/4P3/P1N5/1PP2QPP/2KR1B1R w - -,e5f6
8/8/8/RPP5/5p1p/3r1K2/5P1k/8 w - -,f3e4
rnbq1rk1/pp3ppp/2p5/4P3/4P1nb/P1NB2P1/1PPQN2P/R3K1BR b KQ -,g4e5
3k4/1p1n4/p4p2/P2N1p2/1PPK1B1P/6P1/4b3/8 w - -,d5e3
8/7p/2B1k3/4b3/1K4P1/4n2P/8/1b4B1 b - -,e3d5
4R3/8/8/8/4b1P1/4k1K1/8/1r6 w - -,e8e7
6k1/7p/Q2p2p1/2pq1p2/P7/6PP/4PP2/6K1 w - -,a6d3
8/5R2/8/6k1/r1N5/5K2/8/8 w - -,f7c7
r4r1k/pbqn1pbp/3p1np1/2pPp3/PpP1P1P1/3BBN1P/1PQN1P2/R3R1K1 b - -,f6g8
6k1/6pp/8/RPp5/8/1r4PP/5P2/5K2 b - -,h7h5
r3kb1r/2qn1pp1/p2p1n1p/1p2pP2/4P1P1/PNN1BQ2/1PP4P/R3KR2 w Qkq -,e1c1
2r1r1k1/1b3pp1/3p1n2/p2P4/1q2PP2/1PpQ4/P1R2NB1/3R2K1 b - -,a5a4
r3rbk1/5pp1/p1npq2p/1pp1p3/4P3/P1PPBN1P/1P1Q1PP1/R3R1K1 w - -,d3d4
r2r4/pp2bkp1/2p1pp2/2P2q1p/3P3Q/4R1B1/1P3PPP/4R1K1 b - -,f5g4
2q2b1r/4k3/p2Rbp1p/6p1/3Q2P1/2P1B2P/PP3P2/2K5 b - -,e7f7
r1q2rk1/p1b1n1pp/bpn1N3/2p1Pp2/8/P1pP2P1/1P1NBP1P/R1BQ1RK1 w - -,e6c7
4k3/1p3p2/p3pP2/2R5/8/P6R/1P3r2/K5r1 w - -,a1a2
3Q4/8/8/8/3K2kp/1P3bp1/1P2r2P/8 w - -,d8d7
5r1k/1p2r3/p3p1p1/3p1p2/1R6/2PB3P/PP4P1/4R1K1 w - -,b4b6
8/6k1/7p/1ppR4/P7/2r1K3/3N3P/8 w - -,e3e2
r2q1rk1/1b3ppp/p1n1pb2/1p6/3P3P/1BPQ1N2/P4PP1/R1B1R1K1 w - -,f3g5
r3r1k1/pp3pbp/nq4p1/2pP1b2/2Q1nB2/1PN2N2/P3BPPP/3R1RK1 w - -,c3a4
2r2rk1/p4p2/bp2pq1p/2b3p1/Q1P1N3/5nP1/P4PBP/R2R2K1 w - -,g1h1
2k5/pp2b1pp/8/2Pr4/4N3/5r2/P4P1P/2R1R1K1 w - -,e4d6
r1b1qrk1/pp1n2bp/2pp1pp1/4p2n/2PPP3/2N1BNP1/PP2QPBP/3R1RK1 b - -,f6f5
5k2/2B1n2p/8/p2p4/B5PP/2P5/2P3b1/2K5 b - -,g2h3
4r1k1/pp3ppp/1bq1rn2/2p5/4P3/1P3PP1/PBR2Q1P/3R1NK1 w - -,c2c4
3r2k1/r4p2/1R1p1qpQ/2nP4/4p3/6PB/4PP1P/5RK1 b - -,c5a4
8/4k1p1/1p3p1p/p2BpP1P/P5P1/1P1K4/8/b7 b - -,e7d6
8/5p2/4bkp1/7p/5P1P/1p1BR1K1/1P4P1/r7 b - -,a1d1
r2q1rk1/1p2ppbp/2npbnp1/p7/P3PP2/1NN1B3/1PP1B1PP/R2Q1RK1 b - f3,a8c8
4r1k1/p1p4p/Pr1n2p1/1p1Pn3/1P2P3/2N3PP/R6K/1R3B2 w - -,h2g2
4r2k/3n1q1p/4p2n/ppp1P1R1/3P1P2/2N2b2/PPQ2P2/1K5R w - -,h1h6
2r4k/1b2pp2/3p1q1p/5P2/4P1RP/2N2Q2/PP6/4K3 b - -,c8g8
rn1q1rk1/p3ppbp/bp1p1np1/8/2PP4/N3PN2/1B2BPPP/R2Q1RK1 w - -,d1b3
4k3/Q5pp/2p2p2/2n1pP2/1bP5/BP4PP/q4P2/7K w - -,a7b8
r3n1k1/4rpb1/1q1p2nP/1NpP4/P3P1P1/5NK1/1P2QP2/R6R b - -,g7e5
r1bqkb1r/1pp2ppp/2n1pn2/p7/P3P3/2P2N2/1P1N1PPP/R1BQKB1R b KQkq -,f8c5
1Q6/p4pk1/4p1p1/P1b1P2p/1pBr1P2/1P4rP/4K3/8 w - -,b8c7
r1b2rk1/pp4pp/n1pq4/3p1p2/Q5n1/2NP1NP1/PP2PPBP/R4RK1 w - -,a4f4
2k1r2r/1pp3pp/p1pb4/4qb2/2Q1p3/1PN3P1/P1PP1P1P/R1B1R1K1 b - -,h7h5
2q4r/1pp1k1bp/4ppp1/P1Nr4/3P4/2P3PP/2Q2PK1/RR6 w - -,c2b3
2rq1rk1/pb1n1ppp/4p3/1pp3P1/2PPp3/PP2P1Q1/1B2BP1P/R4RK1 b - -,b5c4
8/7p/3b2k1/8/1p1N1p2/1P6/2P1K1PP/8 b - -,g6g5
r1b2rk1/2p3p1/1p1p2Qp/p1nPp3/2P2q2/PP3P1P/4BRP1/1R3NK1 w - -,g2g4
rn1qk2r/pb3pbp/1pp1p1p1/3n4/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQkq -,c3e4:c3d5
8/3R4/3r4/3k4/3N4/4K3/8/8 w - -,d7a7
r3r1k1/1p2qpp1/2pn4/2Qp1b1p/pP1P4/P2BP3/3N1PPP/R3R1K1 w - -,d3f5
2r1k2r/1p3ppp/pqnpbb2/3Np3/4P3/2N5/PPP2PPP/2RQKB1R b Kk -,b6a5
8/pB2kp2/4p2Q/2b1q2P/b2n4/6P1/P4P2/1R4K1 b - -,a4c2
r4rk1/1q2bppp/p2pp3/6P1/1n2PP2/2N1Q3/1PP3BP/2R2R1K b - -,b4c6
8/4kpb1/p7/8/2p5/2p3PP/PrR2RK1/8 b - -,e7d6
r1bq1rk1/pp4bp/4pnp1/2p1p1N1/2Bn4/2NP4/PPP3PP/R1BQ1RK1 w - -,a2a4
4r3/pbqp1Npk/2n1Pr2/8/5PQ1/1N2b3/PPP3P1/R4R1K w - -,g4h5
1r3rk1/2p2pp1/p2p1Q1p/2b5/P7/2P3Pn/B2B2PK/4RR2 b - -,g7f6
2br1k1r/4q1b1/p1n4p/1p1p1p2/2pP2p1/4P1P1/PP1NBPP1/1Q1NRRK1 b - -,h6h5
r4rk1/1pp4p/pn1b1q2/5pp1/1P4b1/P2BP1P1/2QRNPNP/2R3K1 b - -,g4h3
r4r1k/5pRP/p3pP2/Kp4R1/2p2PP1/P7/1P6/8 b - -,a8d8
r1bq1rk1/pp2bppp/1npp1n2/8/2Pp4/1PN1P1P1/P3NPBP/R1BQ1RK1 w - -,e2d4
1r3rk1/pq1n1ppp/1pp1pnb1/2Pp4/1P1P2PN/P3P2P/3NB1P1/R2Q1RK1 b - -,g6e4
r2qk2r/p2nbp2/2n1p1pp/1p1pP3/2pP4/2P2NN1/PPQB1PPP/R3R1K1 w kq -,h2h3
6bk/6p1/7p/4q3/7P/P4BP1/r3PQ2/4R1K1 w - -,e1c1
2b2k2/2q5/7p/3P1p1P/P2Q1P2/6P1/6BK/8 b - -,f8g8
8/4kp2/p1r1n1p1/1p5p/2B2P2/KPP4P/P2r4/4R1R1 w - b6,c4e6
r2q3k/1p4rp/p1n2p2/P3pQ1P/6pR/3pP1P1/1P1B1P2/R3K3 w Q -,a1a4
r3rnk1/pp1bq1bp/2p2pp1/3np3/8/PP1PPN2/1B1NBPPP/1QRR2K1 w - -,g1h1
3r2k1/ppR2pp1/7p/3b4/PP6/4KPP1/4B2P/8 b - -,g8f8
r3k2r/2q2ppp/2pb4/3p4/P1nP4/2N5/4BPPP/R2QK2R b KQkq -,c7a5
8/4K2k/4P3/8/8/3r4/8/6R1 w - -,e7e8
r1br4/ppR3kp/5qp1/3B4/3QP2P/8/P4PP1/6KR b - -,d8d7
7r/1k3p2/2n1pN2/3pP2P/1Pb2NP1/6K1/8/3R4 w - -,d1e1
r4rk1/pp1n2pp/2p1pq2/3p3b/5PP1/1P5P/P1PNP1B1/R2Q1RK1 b - -,h5g6
6k1/5p2/2n3p1/8/R4P2/8/1PKR4/3Nq3 b - -,e1e6
3r2k1/1p1r1p1b/7p/p1p1P1p1/P2p1nP1/1P3PKP/BBPR4/4R3 w - g6,a2b1
1r1bn1k1/2q2pp1/2p1p1np/1rPp4/3P1PP1/2B1PN1P/2QN4/R4R1K b - -,g6e7
r2q1rk1/pb1nppbp/1p4p1/3n4/1p1PN3/3BPN2/PB2QPPP/R1R3K1 w - -,d3a6
5rk1/7p/3p1n2/3P1p2/2N5/5bP1/6KP/4R3 w - -,g2f3
8/2P1pk2/4b1p1/1p2B3/3P2pP/P4P1K/8/8 w - -,f3g4
8/2r2pk1/1q3pp1/1p1B4/1P1b1QP1/3R3P/5P2/6K1 b - -,d4e5
2rr2k1/p2qppb1/1pnp1npp/2p5/3P4/P1P1PN1P/1P1NQPPB/R3R1K1 b - -,e7e6
8/2R5/p3p1k1/P1n1p1P1/4Pn2/2P2P2/3K1RP1/r7 w - -,c7c5
3rk3/1bp1b1qp/pp3nn1/5Q2/P1B5/2BP1P2/1PP3PP/2K1R2R b - -,d8d6
r4rk1/ppq1ppbp/2n2np1/2ppNb2/3P1P2/2PBP3/PP1NQ1PP/R1B2RK1 b - -,f5d3
r2q1rk1/p3bpp1/2p1pn1p/1p2P2P/8/6N1/PPPBQPP1/1K1R3R b - -,f6d5
2b1kN2/p4p2/1pp3p1/4q2p/2P5/1P4P1/P3PP1P/2Q2RK1 b - -,e8f8
r4rk1/pb1nqpbp/1ppp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/R2QR1K1 b - -,f8e8
1brr2k1/1q1n1pp1/p1b2n1p/Pp2p3/1P6/4BNP1/1Q1NPPBP/2RR2K1 w - -,d2b3
r1b1rbk1/5pp1/pqn2n1p/1p2p3/3p1B2/5NNP/PPB2PP1/2RQR1K1 w - -,f3e5
r1b2rk1/1pp2ppp/2n5/p7/1B6/1N2P3/PP2BPPP/3RK2R b K -,a5b4
r1bq1rk1/1ppp1ppp/2n5/p1b1P3/2P3n1/P1B1PN2/1P3PPP/RN1QKB1R b KQ -,f8e8
4r1k1/1bq1rpbp/p2p2p1/1p6/3NnP2/2PQ1B2/PP4PP/3R1RBK w - -,d4c2
4r3/pp2rpk1/2pn2b1/3p3P/3P3N/PP2PP2/3K4/R3RB2 b - -,g6h5
8/6k1/P7/5pr1/2B1p3/2b4p/7P/5R1K w - -,a6a7
8/1p3rp1/2p4p/p2kp2P/P7/2P1K1P1/5P2/1R6 w - -,f2f3
r7/1p3ppk/2p1b3/r1n1p3/PQP1P2p/2N1qP1P/R5P1/3R1B1K w - -,a2a1
r3rk2/p3bp2/1p2pn1N/qB1b1P2/3P4/8/1P2Q1PP/3R1RK1 b - -,e8d8
r4rk1/pp3ppp/4p3/8/3bq3/1Q2B2P/PP3PP1/R4RK1 w - -,e3d4
4B3/5p2/4p1k1/5p1p/p2b1P1P/6PK/r7/1R6 w - -,b1d1
8/5r1k/2P4p/1p6/pP2R3/P4n1p/5B2/4R1K1 w - -,g1h1
r1bq1rk1/2pn1ppp/1pNp1n2/8/p1P1P3/P1BB4/1PQ2PPP/R4RK1 b - -,d8e8
8/8/8/2p1pk1p/2r4P/4BP1K/3P2P1/8 w - -,g2g4
r5k1/1pp1b1p1/n2p3p/p2Pp3/2P5/PPN1BrP1/5P1P/1R3RK1 w - -,c3e4
Q5k1/p5bn/3N4/P2P1p2/2P2n2/7P/1P1pqPP1/3R2K1 b - -,h7f8
r2q1rk1/pp3ppp/2n1p3/2bpPn2/5B2/3B4/PPPN1PPP/R2Q1RK1 b - -,c6e7
8/8/2p1k2p/1p2pp2/1Pp3P1/2P2PN1/Pn1K4/8 b - -,f5g4
2rn1b1r/2qbkp1p/3p1p2/p2BpP1Q/1p2P3/1N4P1/PPP4P/2KR2NR w - -,b3a1
2k2b2/3n1p2/p4r2/1q2PQ2/2pp1B1P/P2P2P1/2P5/R3R1K1 w - -,f5e4
Q7/p6k/6pp/8/3N2nP/6q1/6B1/7K w - -,a8a7
8/8/5p2/4p3/1b3p1p/1kp2P1P/2N3P1/3K4 w - -,d1c1
r3k2r/pp1qbppp/2n1p3/5b2/4n3/1QN2NP1/PP3PBP/R1B2RK1 w kq -,c3e4
5rk1/pb3ppp/1p2p3/4B3/1Pr1P3/P4P1n/4KP2/2RR4 w - -,c1c4
2rr4/p4ppp/2k5/8/2Pb4/5P2/P2R1P1P/3R2K1 w - -,d2d4
8/2b5/7p/P2k4/8/8/3B1P2/6K1 w - -,a5a6
8/1B3pkp/P3pb2/5np1/8/r5PP/1R3PK1/5R2 w - -,b2d2
8/4kppp/2p5/4P3/4PPB1/1b2b1P1/rP5P/1K5R w - -,h1e1
b1rq3k/4N3/1np2rpp/1p6/1P1PQ3/3BP3/5PPP/2R2RK1 w - -,e7c8
rnbqkb1r/ppp1pp1p/3p1np1/3P4/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3
8/1Q4k1/pp2p1pp/8/2P1P3/1P2q3/P3B1K1/8 b - -,g7f6
r5rk/4BRbp/1p4p1/p2Pp3/3nP2q/2NQ4/6PP/5R1K b - -,h4h5
1rr2qk1/2p2nbp/bn1p1pp1/3Pp3/P3P3/1PQ1BNNP/2B2PP1/3RR1K1 b - -,f7h6
3r2k1/4pp1p/R2b2p1/1R1P2P1/p2N4/7P/r4P2/5K2 b - -,a4a3
6k1/1p1b1pp1/4r2p/p2p4/P2B4/1PPP1P2/3K3P/6R1 b - -,g7g6
r1b2rk1/1pp1q1b1/3p1nB1/3Pp2Q/2P2B2/1PN3PP/5P1K/1R3R2 w - -,f4g5
5rk1/p5pp/8/p1pNbp2/8/PP1P4/2P2PPP/5RK1 b - -,f8e8
2r2b2/pp5k/6pp/3P4/4P3/r1BR2Q1/2q4P/6RK b - -,g6g5
r2q1rk1/pb2bpp1/1pnp3p/4p3/3PPBn1/3B1N2/PP1N1PPP/R2QR1K1 w - -,f4g3
rnbq1rk1/pp1pppbp/2p3p1/8/2PPn3/1P3NP1/P3PPBP/RNBQ1RK1 b - d3,d7d5
2r2rk1/p5pp/1p2p3/3n4/2Pq4/P5P1/5P1P/R2RB1K1 w - -,d1d4
r1bqnrk1/ppp1n1b1/3p4/2PPp1pp/4Pp2/2N2P2/PP2BBPP/R2QNRK1 w - -,a1c1:h2h3:a2a4
3r1rk1/pp3ppp/4p3/3n4/4R3/5N1P/PP3PP1/R5K1 w - -,e4c4
r1bq1rk1/pp2ppbp/2n2np1/8/2BP1B2/2N2N1P/PP1Q1PP1/R3K2R b KQ -,d8b6
r3k2r/p3bpp1/4p2p/2nBN3/8/6P1/PP3P1P/R3BRK1 b kq -,e6d5
1R6/6R1/r1p4p/p1P1B1pk/4P3/7P/r7/1K6 w - -,b1a2
5r2/5P1k/p6p/1p1Np1q1/b3P3/bnP4R/4Q1B1/6K1 w - -,e2f3
