1K6/6pk/P2Q4/8/6p1/8/2q4P/8 b - -,c2b2
1r2qrk1/6bp/p2pb1p1/PpP5/1Q1pPP2/1N1B4/1P4PP/R4R1K b - -,d6c5
3R1bk1/1p5p/p5p1/8/1P2N3/1r2P2P/5KP1/8 b - -,b3b4
8/5bp1/3k1p2/pp3P1p/3K1N1P/P5P1/8/8 b - -,b5b4
4r1k1/2q2pb1/p1p1b2p/1rP2pp1/Q1pP4/4P1P1/P3NPBP/1R3RK1 w - -,a4a6
6k1/6pp/pq3p2/1p1P1N2/1Br1P3/Pn1n1P1P/Q5P1/5RK1 w - -,g1h2
8/3q2k1/pb3pp1/1p2pn1p/4N3/1PQ1PP2/P2B2PP/6K1 w - h6,g1f2
2rq1rk1/4ppbp/2bp2p1/1p6/8/1P3NP1/P2QPPBP/2R2RK1 w - -,d2b4
r1b1kb1r/2N2ppp/pBnp4/1p2p3/4n2q/N7/PPP2PPP/R2QKB1R b KQkq -,e8d7
5k2/7p/5p2/n2B1N1K/P5PP/8/5b2/8 b - -,f2e1
7r/1p6/3ppp2/4k1p1/1PP1PnR1/5P2/3R3P/r4BK1 w - -,c4c5
4r1k1/pb3p1p/1q4p1/8/3b4/3pP1Q1/PP1B2PP/2R1NBK1 b - -,d4e3
r4rk1/3nq1b1/3p2pp/1PpPpp2/p3P3/P2QB1P1/3NRP1P/3R2K1 b - -,f5f4
8/5ppk/2r4p/4p3/4q3/1P4R1/P4P1P/3Q2K1 b - -,f7f5
r2r2k1/1bq2pp1/pp2pb1p/n7/P1pN4/2PP4/1PQ2PPP/2BRRBK1 w - -,d3c4
3r1rk1/4qpp1/p1pp4/2n1p2p/4P3/Q3NP2/PPP3PP/3RR1K1 b - -,g7g6
3r3k/6pp/1pQN1pb1/p1p5/3b4/P3N1P1/1P3P1P/6K1 b - -,h7h5
3rr1k1/1p1b1pbp/1npp2p1/q1n5/p1PNPP2/P5PP/1PQ2B1K/1N1RRB2 w - -,b1d2
1Q6/5p2/P1N3p1/3b4/8/1q6/1k3PP1/6K1 w - -,b8b3
8/1pk3p1/3pR1B1/2pP4/3b2P1/8/PPP4r/3K4 w - -,b2b3
rr4k1/3P1p2/6p1/p1B1n2p/P3Pb2/1P1R3P/6P1/1R4K1 w - -,d3d4
R1br2k1/5p2/6p1/1p5p/1P1N3P/P3P1P1/6K1/8 b - -,c8h3
r1nqr2k/pb4bp/3p2p1/1P1P1pP1/1N2pP1P/2N5/PP3BB1/R2Q2K1 w - -,f2e3
2r1k2r/pp2p1bp/2nppnp1/q7/3BPPP1/2N5/PPPQB2P/2KR3R w k -,d4f6
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P4/1P3NP1/P1P1PPBP/RNBQK2R w KQkq -,c1b2
6R1/8/5k2/7p/7P/1r5K/6P1/8 w - -,h3h2:g8g3
r1b2rk1/pp3pp1/2nbpq1p/2pp4/3P4/2P1PNP1/PP1N1PBP/R2Q1RK1 b - -,f8d8
2r1brnk/1q2bpp1/4p2p/1p1pP3/7B/1PNBP3/2R1QPPP/R5K1 w - -,h4e7
2r2rn1/3q1nbk/p2p3p/1p1Npp2/5P2/PQ1P1BPb/1B1N3P/1RR3K1 w - -,d3d4
1r1q1k2/3b1p2/4pNrp/pp1pPn2/2pP1Q2/P1P2RpB/2PK1P2/R7 w - -,h3f5
r1b1kb1r/pp1npppp/2p5/3q4/3P4/4Q3/PPPB1PPP/R3KBNR b KQkq -,d7b6
r4rk1/p1b1pp1p/1p4pB/8/3Pp3/2P5/PP4PP/3R1RK1 b - -,f8e8
8/3b2kp/1r1p1np1/p2Pp1N1/1r2P3/1BR3NP/5P2/R5K1 b - -,b4b3
r4k2/1pq2p2/3Np3/4n1p1/3RP3/8/PPP3PP/1K1R4 w - -,a2a3
r2q1rk1/pp2ppbp/2n3p1/2p5/1P2P3/P1N2QPP/3P1P2/1RB1R1K1 b - -,c6e5
5r1k/1p6/3P2n1/p3pN2/1P2P1Pb/P5B1/2r1BK2/7R b - -,h8g8
3r3k/1p4pp/p1n2b2/2QN4/2K1P3/3PBr2/PP2q2P/R6R b - -,b7b5
2r1kb1r/pppnpppp/1q6/1N4P1/3PPn2/4N2P/PPPQ4/R3KB1R b KQk -,b6e6
8/N4p2/2R1pk1p/1P1n2p1/6P1/5P1P/1r6/4K3 w - -,c6c4
r4rk1/p3qpb1/2pn2p1/5b1p/3PN3/1P1Q2P1/PB4BP/2R2RK1 w - -,c1e1
r3k2r/pp2ppb1/n2nb1p1/3N2P1/8/3P4/PP1qN1BP/R1B1K2R w KQkq -,c1d2
4r1k1/3b1pp1/7p/p1rp4/1qpNn3/Q3PP1P/PPR3P1/3R1BK1 b - -,e4f6
rnbqk2r/pp2ppbp/2p3p1/5n2/2PPN3/4B3/PP1Q1PPP/2KR1BNR b kq -,e8g8
r2r4/1R3p2/p2p2b1/3P2kp/5R2/BPP3P1/P7/2K5 b - -,a6a5
2rq1rk1/pb3npp/1pp1p3/3pPp2/2P5/1P3PP1/PBQRP1BP/3R2K1 b - -,d8c7
1B6/8/p2Nkb2/1b5p/pP6/P3K3/8/8 b - -,f6e5
r1b1r1k1/pp2qpbp/2p2np1/2n1p3/2P5/1PN1PNP1/PB2QPBP/R4RK1 w - -,h2h3
2r2rk1/4bppp/pn2pn2/1p2N1B1/8/2P2N2/PP3PPP/R2R2K1 b - -,b6a4
r7/2p3pp/1p2kp2/pP2p3/P1n1P3/1NP2PP1/2K4P/2R5 w - -,c2d3
1r6/8/8/4p1R1/3k2p1/6P1/4PK2/8 w - -,e2e3
r2q1rk1/pppnbppp/1n1pp3/4P3/2PP2b1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,e5d6:b2b3
r1b2rk1/pp1nqppp/2p2n2/3p4/3P4/2NBP3/PPQ1NPPP/1R3RK1 b - -,d7b6
5r2/2q3kp/r2p2p1/p2Bpb2/2P5/4P3/RP1Q2PP/5RK1 b - -,a6a7
r1bk3r/pppn3p/5ppn/4p3/2P5/2N2NPB/PP2PP1P/2KR3R b - -,c7c6
rnbqkb1r/ppp2p2/4pn1p/3p2p1/2PP4/5NB1/PP2PPPP/RN1QKB1R b KQkq -,f6e4
r3k2r/1pq2pp1/p3bn1p/2p1p3/4P3/2N3P1/PPPQ1PBP/3R1RK1 w kq -,f2f4:c3d5
r4rk1/2p3p1/1p1b3p/p1pPp3/2P1N3/PP4P1/5P1P/1R2R1K1 w - -,a3a4
2k5/1pq1b3/p1bpp2p/2p1n1pN/4P1Pn/PP1PB2P/2P1NQB1/6K1 w - -,g2h1
4K3/5p2/3b1k2/5P2/4P3/3N4/8/8 b - -,d6g3
8/5p2/4k1p1/4P2p/4KP1P/R5P1/8/2r5 w - -,e4f3
r2qk2r/pp1nppbp/2p3p1/2p5/P3P3/2NPBP2/1PPQ1P1P/R3K2R b KQkq -,e8g8
8/1P6/3p4/4p3/2P1P2k/7P/5p1K/5Br1 b - -,g1g8
8/1p1k4/3b4/R6p/P7/7r/5B2/6K1 b - -,d7c6
rn1q1b1r/ppkbpQ1p/2pp4/8/2PPP3/2N5/PP3PP1/R1B1KBN1 w Q -,c4c5
4kb1r/1p3ppp/p3p3/8/P1pP4/4B1P1/1P3P1P/1K5R w k -,h1c1
8/2pnk2p/bp1p2p1/p1n1p3/2P1P1P1/1PN1P1NP/P3K1B1/8 w - -,e2d2
r1bq1rk1/1p2bppp/p1n1pn2/8/2BP4/2N2NB1/PP3PPP/R2Q1RK1 w - -,c4b3
8/p2r2k1/1pb3p1/2p1pp2/8/P2Pb1NP/1P4P1/3R1R1K b - -,c6a4
1Rb3k1/p1N2p1p/4p1p1/8/4P3/3K1P2/P5nP/6b1 w - -,b8c8
3r2k1/ppq3bp/1np2pp1/2Nb4/3P4/1P4PP/P4P2/R1BQ1BK1 b - -,g7f8
7b/p4k1p/6pP/2pN1pP1/1pP1rP2/1P3K2/P7/3R4 b - -,h8d4
r1b2rk1/pp4b1/1q6/3np1N1/5pP1/1Q3P2/PP1B2B1/R4RK1 w - -,b3b6
q1r1r1k1/3nbpp1/pp1pp2p/4P3/2P2Pn1/1PN2N2/P3QBPP/2R2RK1 w - -,e5d6
8/5p2/B3bkpp/8/3r3P/1p3PK1/1P2R1P1/8 b - -,d4d6
4r1k1/r4pbp/pn1q2p1/1pp1pP2/4B3/PP2BQ1P/6P1/2R2R1K b - -,e8c8
3rqrk1/pp3pbp/3n2p1/2NNpb2/8/1Q4P1/PP3PBP/2R2RK1 w - -,c5b7
r2qr1k1/1pp2pp1/1Nnp3p/5b2/p1PPnN2/P3B1PP/1P3PB1/R2Q1RK1 b - -,c7b6
7k/6p1/1R3p1p/p7/P7/1P6/2r2PPP/5K2 w - -,h2h4
1r5k/2pn2p1/p6p/4pB2/q3P3/2P2R1P/5PP1/2Q3K1 w - -,c1d2
r3rnk1/1pqb1pbp/p2p1np1/2pPp1B1/1PP1P3/P1N4P/3QBPPK/2R1NR2 b - -,f6h5
r3r1k1/1p3p2/1qpb2n1/6P1/pP1p2Pp/P2P3P/3BP1B1/1RR2QK1 w - -,g2e4
6r1/p1k5/2b2p2/2p1pN2/4p1Q1/2P1P3/qP4PP/3R2K1 w - -,g4h4
1r2k2r/2q1bppp/b2p1n2/2p1p3/Np1PP3/1P3BP1/PB3P1P/2RQR1K1 w k -,d1d2
2r2rk1/1pq2ppp/p7/8/n2B4/2P3P1/PP1R2QP/R5K1 w - -,g2f2
3r2k1/p2b1ppp/1r1npq2/1p2N3/3P4/2P2B2/P3QPPP/1R3RK1 w - -,e5d7
4r3/p4k2/1pbqpP2/2p1Rp1p/3p1P2/3P2P1/PPPQ3K/4R3 w - -,d2e2
2R5/8/8/6k1/5r2/4K3/2B5/8 b - -,f4b4
2r2rk1/1bqnbppp/p2ppn2/p7/2PNP3/2N1BP2/1P1QB1PP/R1R3K1 w - -,d4b3
r3r1k1/1q2bppp/3p1n2/p1p5/2P5/1P1RB2P/P3QPP1/2KRN3 w - a6,e2f3
2r1kb1r/p2n1ppp/b2Np3/2p5/1p1P4/3BP3/PP3PPP/R1B1K2R b KQk -,f8d6
2k4r/p5pp/1nBRpp2/8/8/2P4P/PP4P1/2K5 b - -,e6e5
1k1r4/pB1n1pb1/1pq1p3/PN1p2p1/3P3r/1QP1NP2/1P4P1/1K1RR3 b - -,b8b7
r3qr2/1n1n1pkp/p1N1p1p1/1p6/1Q2p3/1P4P1/P4PBP/2R2RK1 w - -,b4e4
8/3R1pk1/5n1p/1p6/p7/3P1B1P/Pr4PK/8 w - -,d7b7
b7/3Pkp2/4p3/1PN3pp/P7/5P2/5K2/8 b - -,h5h4
r3rnk1/4bpp1/1qb1p2p/p1ppP3/5P1P/1P3NQ1/1BPPN1P1/R4RK1 w - -,h4h5
r2qrbk1/5p2/p1Q1n1pp/1p1pP3/3P4/PN3N2/1B3PPP/1B2R1K1 b - -,b5b4
1rq1r1k1/4bppp/pBb1p3/Pp1pP3/1n2BP2/1NN5/1PPQ2PP/4RR1K b - -,d5e4
4k3/5p2/5P2/4P3/8/2R4r/3K4/8 b - -,h3h5
8/p6p/1p1b4/1P1p1kp1/P2P4/3K1P1P/8/2B5 b - -,d6b4:f5g6
6k1/4qp2/p1p3p1/1p2p3/1P2P3/P4Pp1/2PQ2KP/8 w - -,h2g3
r2q1rk1/ppp2ppp/1nnp1b2/5b2/2PP2P1/2N1BN1P/PP3P2/2RQKB1R b K g3,f5d7
r2qk1nr/pp4pp/2p1p3/2bpPp2/6b1/1P4P1/PBPNPP1P/R2QKB1R w KQkq -,h2h3
8/8/2P2R1p/p1k5/4K3/6b1/P7/8 w - -,f6h6
r1b2rk1/pp2qp1p/2pb1np1/5p2/2BP4/2N1P3/PP1N1PPP/R2Q1RK1 b - -,f8d8
4n3/r2nqpk1/3p4/1B1Pp1p1/N2bP1P1/5P2/3Q2K1/2R4R b - -,f7f6
rnbqkb1r/ppp2ppp/4pn2/3pP3/3P1B2/5P2/PPP3PP/RN1QKBNR b KQkq -,f6d7
r4rk1/p1qbbppp/1pn2n2/2p1p1N1/4P3/2P2PP1/PP2Q1BP/R1BR1NK1 w - -,f1e3
3Bn3/2pb1k2/1p5p/p2P2p1/2P2p2/1P5P/P1B2KP1/8 w - -,f2f3
2rq1rk1/p1Bb1pp1/1p3b2/3N4/3P3p/P1R1QP1P/1P4P1/2R4K b - -,d8e8
r2qr1k1/p5pp/1pp2pn1/2n1p3/2PpPP2/BP1P2PP/P3Q1B1/3R1RK1 w - -,e2f2
8/3r4/1p6/1P2k3/1R1b2P1/3B1p2/2K5/8 b - -,e5f4
8/8/r1p2kp1/P3n1R1/4K2P/8/5P2/R7 b - -,e5f7
r1b2rk1/pp4pp/2n1pq2/5p2/1PP1p3/P3P3/2QNBPPP/R4RK1 b - -,c8d7
6k1/8/p6p/1p2Q1pq/3P4/5P2/6P1/2K5 b - -,h5h1
3r1rk1/pbqnbppp/1pp1pn2/3p4/2PP4/1PNBPN2/PB2QPPP/2R2RK1 w - -,c4d5
2k2b2/pp3pp1/2pqpnp1/5r2/3r4/2N1B2P/PPP2QB1/R1K3R1 w - -,f2e2
5rk1/5ppp/p4n2/1p2R3/8/1P3P2/1P4PP/R1Br2K1 w - -,g1f2
r3r1k1/1p2qppp/p2p4/2pP4/PnB5/2N5/1PP2P2/R1BQNbK1 w - -,c4f1
5rk1/4q1pp/1B1p4/3Pp3/2P1pn2/7Q/5PPP/5R1K w - -,h3e3
r1b2r2/pp1n1pp1/1qn1p1k1/3pP1N1/3b1PQ1/2P5/PP4PP/R1B2RK1 w - -,c3d4
4knQ1/1p2r3/p6P/7K/PP6/8/8/8 b - -,e7f7
8/2R2p2/4k3/2p4r/2P1bP2/4N1K1/8/8 b - -,e4d3
6k1/6p1/p2p1q1p/1p6/3R4/P1PQ3P/1r4P1/6K1 w - -,d4d6
1r3r2/2q1n1kp/b4pp1/p1p1pPP1/1p1nP3/4N2N/PPP2QBP/R2R2K1 w - -,g5f6
8/8/4k1p1/5p1p/4nP1P/4K1P1/8/6R1 b - -,e6f7
2rq1rk1/pb3ppp/np3n2/2bpN3/3p4/PP1Q2P1/1B1NPPBP/2R2RK1 b - -,d8e7
8/p7/4p3/3k1p2/PR6/3K1P2/5b2/8 b - -,f2c5
r3kb1r/1pq2ppp/p1n1pn2/2P5/2B3b1/1P2PN2/PB2QPPP/RN3RK1 b kq -,f8c5
1r3r1k/1p4pp/4np2/p1p3q1/P7/1QP1N1B1/1P4BP/4R1K1 w - -,g3b8
3r3k/1pq1rpb1/p5pp/P1p1pn2/4R3/1BPP1N1P/1P2QPP1/R5K1 w - -,g2g4
1r1r2k1/3bqpb1/1pp1p1p1/p4nNp/Pn1P3P/1Q2PNP1/1P3PB1/2RRB1K1 b - -,c6c5
1r6/6k1/6pp/p1p1p3/P2pP2P/1BnP2P1/2P3K1/4Rr2 w - -,e1f1
r2rn1k1/pq2b1pp/4pp2/Q1p1N3/1nP5/2BP1NP1/4PPKP/R4R2 w - -,e5g4
r1bqk2r/pppp1ppp/2n5/2b1P3/2P3n1/4PN2/PP1B1PPP/RN1QKB1R b KQkq -,g4e5
rnbq1rk1/pp3pb1/3ppnpp/2pP2B1/2P1P3/2NB4/PP2NPPP/R2QK2R w KQ -,g5h4
r1bqk1nr/ppp3pp/2p5/2b1p3/3Pp3/2P2N2/PP3PPP/RNBQK2R w KQkq -,f3e5
r3k2r/pp3p2/1npbq2p/3p2p1/3P4/P1N1P1P1/1PQN1PP1/2KR3R b kq -,e8c8
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1 b - -,a8b8
2rr2k1/1bq1npbp/pp1pp1p1/8/P1PpPP2/1P1P2P1/2Q1NBBP/3RR1K1 b - -,e6e5
3k1r1q/8/p2p1nB1/1rpPp2P/8/P5RQ/5P2/3R1K2 w - -,h3e6
r1q1k2r/1p2bppp/p1n1p3/4n3/Q2Np3/2P1B3/PP2BPPP/3R1RK1 w kq -,e3f4
8/p7/1p3k2/2p2p2/2P2P2/1P3K2/P7/8 w - -,f3g3
5nk1/4b1pp/3p2r1/P2Pp3/2q5/1N3QR1/1P1B1PKP/8 w - -,b3c1
2b1r1k1/4rp2/p2p1p2/1p1P3P/5P2/P1NR1R1P/1PP5/6K1 b - -,e7e1
rn1qkb1r/p1p2ppp/1p2pn2/7b/2PP4/1Q3N1P/PP2BPP1/RNB1K2R w KQkq -,c1g5
1r3qk1/3R1pbp/p6p/1p2P3/1n2QP2/1P3NPP/6BK/8 b - -,f8c5
2qrr3/pp3pbk/6pp/2Pp3n/1PnN4/4BP2/P2QB1PP/3RR1K1 w - -,e2c4
5r1k/1p2q1pp/p7/2pQp3/2P3B1/1P6/P6P/R5K1 w - -,a1f1
rnbqkb1r/5ppp/p3p3/1p1nN3/3P4/1p4P1/4PPBP/RNBQ1RK1 w kq -,d1b3
8/6pk/1p3r1p/p4q2/3Q3P/P7/1P3PP1/4R1K1 w - -,g2g3
r2r2k1/pp3p1p/2p2qp1/3p1n1n/NP1P4/P3PP2/2Q1BP1P/R5RK w - -,a4c5
1qr3k1/rp1b1pbp/3p1np1/P1nPp3/2N1P3/P1N1B3/1Q2BPPP/R1R3K1 b - -,f6e4
3rr1k1/bpp2qp1/p1n1bp1p/4p3/8/P1PP1N1P/1PB1QPP1/2BRR1K1 w - -,c1e3
8/1p6/4R3/2P5/1P3k2/2K1N3/P4n2/4r3 b - -,e1e3
3q4/6k1/3p2pn/2pPp2p/1pP1P2P/1P2Q1P1/4BK2/8 b - -,h6g8
r1b1rnk1/ppq2p1p/2ppn1pQ/4p1N1/2BPP3/2N4P/PPP2PP1/3R1RK1 w - -,d4d5
r1b1qrk1/ppp3pp/2np1n2/4pp2/2P2P2/2PP2PN/P3P1BP/1RBQ1RK1 b - f3,e5e4
r2qkb1r/pp2pppp/2n2nb1/3pN3/3p2P1/1P2P2P/PBP2P2/RN1QKB1R w KQkq -,e3d4
8/2r3kb/p4p1p/1PqP3P/4pP2/6P1/PQ2B3/4R1K1 w - -,g1g2
4r1k1/pp2r2p/2p1nnp1/8/2N1p3/2P1P2P/PP1R1PPB/3R1K2 b - -,e6c5
8/1p1b1kpp/3p4/p2Pp3/P3P3/nNN1K1P1/8/8 b - -,b7b6
8/8/6B1/2p1k3/1p1p4/1P1Kn3/8/8 b - -,c5c4
1r6/r2k1pp1/1pnppn1p/8/P1PP4/5N1P/2R2PP1/1R3BK1 b - -,a7a4
r6k/B4rbp/PP6/n4p2/4pn2/6P1/2R4P/3R1BK1 b - -,f4e6
r2qk2r/pp3pbp/1np1pp2/5b2/2PP4/5NP1/PP3PBP/R1BQ1RK1 w kq -,b2b3
3rr1k1/pp3pp1/1np2bp1/q7/3P4/PQ2B1P1/1P3PBP/R2R2K1 w - -,a1c1
2r2bk1/q1rn1ppp/ppn1p3/3pP1B1/NP1P2PP/P1RQ1N2/5P2/2R3K1 b - g3,c6b8
r1b1r1k1/pp3ppp/1bn2q2/3p4/3Nn3/4BNP1/PP2PPBP/R2QR1K1 w - -,a1c1
r5k1/1q4pp/3p1n2/3Pp3/1PN1P3/4Q1P1/2R4P/6K1 w - -,e3b6
5r2/5pkp/2p3p1/1pp1b3/2P1P3/1B2R1PP/P4P2/5K2 b - -,f8d8
r3qr1k/pppb3p/1n2p1p1/3Pb3/6P1/1QN1B2P/PP3PB1/3R1RK1 b - -,b6d5
r3k1r1/pp2pp1p/4qp1b/1PPp4/3P4/PQ1n2P1/4NPNP/R4K1R b q -,e6f5
3r1rk1/p3b2p/1pb1p2q/2p1Ppn1/2P5/3NPPP1/PB2Q1B1/3R1RK1 w - -,d3f4
1r2r1k1/pb2ppb1/1n1pP1pp/q1n5/1p1N1P1B/1B3N2/PPPQ2PP/K2R3R b - -,f7f5
8/8/3kp3/5p2/3P4/2P2K1n/1P2B1r1/4R3 b - -,g2g7
8/4q1kp/6p1/2b1p3/4B2P/5P2/1p4PK/1Q6 w - -,h2h3
r3k2r/1p2b1pp/p1p2nb1/2Pp1p2/1P1Pp3/4PPN1/1P1B2PP/2RB1RK1 b kq -,e8g8
r1br4/1p2bk1p/pq4p1/3R4/5P2/3B4/PPQ2PPP/4R1K1 w - -,d3c4
8/p1n2p1p/1pkb2p1/2p5/P7/4BP1P/4K3/1R6 w - -,h3h4
5rk1/4bppp/pp1p4/3Pp3/P1r5/5N2/1PP1RPPP/2R3K1 w - -,b2b3
2rr2k1/1p1bbppp/pq2pn2/8/1P3P2/P1NBPR2/1BQ3PP/2R4K w - -,c2e2
5r1k/r6p/1N4p1/4p3/P2pP3/1R2bPP1/6KP/5R2 b - a3,d4d3
r2q1rk1/1bppbppp/np2p3/pN6/2PPnB2/5NP1/PP2PPBP/R2Q1RK1 w - -,a1c1
r4rk1/pp2Bpn1/6p1/qb1P2Np/8/7Q/P4PPP/R4RK1 w - h6,e7f8
8/8/8/6p1/p5P1/1b1k1p2/1K6/7R w - -,h1h6
r3kb1r/3n1pp1/qpp1pn1p/3p1b2/3P1B2/1QN2NP1/PP2PPBP/R4RK1 w kq -,f3e5
8/1R6/4pp1r/1p6/p3kP2/8/PK6/8 b - -,h6h5
7r/3R1ppp/4pk2/1r6/7P/Q1P2q2/P4P2/5RK1 w - -,a3e7
5rk1/p4ppp/1p2p3/4q1P1/nPP4P/5Q2/P3BP2/3R2K1 w - -,e2f1
r1bq2k1/1ppn1p1p/3p2p1/pNP1r3/N7/1P2P2P/P4PP1/2RQ1RK1 w - -,d1d3
1k6/6p1/4R2p/1pBp4/1P2p3/6P1/2PK3P/7r w - -,h2h4
r1b1k2r/pp2ppbp/2n3p1/8/2BPP3/4B3/P2qNPPP/R3K2R w KQkq -,e1d2
3rr1k1/ppp1qppp/2n2n2/3p4/3P1Qb1/2N2NP1/PP2PPBP/2RR2K1 b - -,h7h6
2k1rb2/1p1b2p1/1Bn4r/2p2pNp/2B2PnP/2P3N1/PP4P1/2KR3R w - -,c4f7
2r3k1/1r3p1p/3p2p1/Rp1P4/1P2Q1Pn/2q5/R1P2P1P/5BK1 w - -,f1d3
3rk2r/1p2n1pp/p3bp2/4p3/4P3/P1NB2P1/1PP3P1/2R1K2R w Kk -,c3a4
rnbq1rk1/pp3pb1/2p1p1pn/3pP1Np/3P4/3B4/PPP1NPPP/R1BQK2R w KQ -,e1g1
r1b1k2r/1p3ppp/p3pn2/3pn1P1/3NP3/2P1BP2/P1P4P/2KR1B1R b kq -,f6g8
3q2k1/5pb1/6p1/3P3p/2N1Q2P/6P1/5PK1/8 w - -,d5d6
8/5p2/7p/Q5p1/2kq4/1p5P/6P1/7K w - -,a5a4
8/p4pRp/8/5k2/7r/3pPP1P/8/2K5 w - -,g7f7
2r3k1/p1q2p1p/2pp2pb/5b2/8/1P1N2P1/P1Q1PPBP/3R2K1 b - -,c7e7
2rq1rk1/pp2ppbp/1n1n2p1/3P1b2/3N4/1PN1B1P1/P2Q1PBP/2R2RK1 b - -,d8d7
8/5npk/5p1p/B7/P1R5/6PP/r4PK1/8 b - -,f7e5
4r1k1/1q3p2/pBp3p1/P1P1p3/2BnnP2/6Pp/5Q1P/3R3K w - -,f2e3
rnbq1rk1/pp2n1pp/2pb1p2/4p3/4P3/5NP1/PPPN1PBP/R1BQR1K1 b - -,c8e6
8/3r4/8/5p2/1R2pk2/5b2/1R6/5K2 b - -,f4g3
2br4/3p1p1p/p1nNpk2/1p1n1p2/5P2/P5P1/1PPRBK1P/3R4 w - b6,c2c4
6k1/5pb1/4p1pp/4P3/1q6/6P1/1P2QPPN/6K1 b - -,b4c5
1rb1k2r/ppn1qppp/2n5/4p3/Qb6/2N2NP1/1B1PPPBP/R4RK1 b k -,e8g8
3r4/pQ4bk/1p1p1rp1/4p1qp/2P3P1/1P3P1P/P2R1BK1/3R4 w - -,d2e2
8/4kp1p/2p1b1p1/1pb1p3/4P3/1PN2P1P/1PK3P1/2N5 w - -,c1d3
8/8/5b1p/p1BP1k2/P3q3/8/6P1/3Q2K1 w - -,c5b6
2r5/4n2p/2p1kpp1/R2p4/1P6/2P2N1P/5PP1/5K2 w - -,f3d4
r3r1k1/5p2/2p3pb/1p1b1n2/p2P4/P1B2N2/1P3PpP/R3RBK1 w - -,f1g2
8/5R1B/1K1b2p1/3P1bk1/5N2/6r1/8/8 w - -,f4e6
r2nk1nr/pppq1pbp/3pb1p1/3Np3/2P1P3/3P2P1/PP2NPBP/R1BQK2R w KQkq -,h2h3
Q7/6pk/4p2p/4Pp1q/8/2p3P1/5PK1/8 w - -,a8c6
r1bqkbnr/p4p1p/2pp4/2p1p1p1/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq d3,g5g4
4r3/3q1kpp/2p1b3/pp1p4/3Q4/P1P2BP1/1P3PP1/4R1K1 b - -,e6f5
r2q1rk1/pb1n1ppp/1p1b1n2/2pp4/3P4/P1N1PN2/1PQ1BPPP/R1BR2K1 w - -,b2b3
