7Q/4p3/pp1pq3/8/2P2k2/1P6/P5RK/8 w - -,h8h4
r1bqr1k1/pp3p2/2n2bpp/3Np3/1P1pP3/3P2P1/P2N1PBP/1R1Q1RK1 b - b3,f6g7
3r1rk1/2q1bppp/p7/1pp1R3/5P2/P3P3/1PQ2PBP/R5K1 w - -,a3a4
r1bbk3/pp3pp1/3Bp2p/N2n4/8/2P2B2/PP3PPP/3R2K1 w - -,a5c4
5r2/pp6/3N2k1/3P3p/4PB2/2R3Pb/PP5P/4n1K1 w - -,g1f2
5rk1/p4r1p/1p1p2pb/2pP1n2/P4P1q/2P2Q2/1P1B2BP/4RRK1 w - -,f3h3
r2r2k1/pp3pbp/2p1qnp1/8/4P3/2NPB2P/PP1Q1RP1/5RK1 b - -,d8d7
r1bq1rk1/2p1bppp/p2p1n2/np2p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - b6,a4c2
3r1r1k/1p4pp/p1npn2q/4p3/1PP3b1/P2R1NP1/1B1Q1PBP/R5K1 b - -,h6h5
r6r/1p1qp2k/3p1bp1/p2Pn3/2P3P1/1P2B2B/P1R5/3Q1RK1 w - -,g4g5
8/1r3p2/2R1p3/4P1R1/5P2/3k2P1/K7/5r2 b - -,f1b1:b7a7
8/4b1pp/p2n4/1k2p3/1P2P3/3KB3/2N2P1P/8 w - -,e3c5
1r1q1rk1/pp1b1p1p/3P2p1/b1p5/5P2/BRP5/P2QB1PP/5RK1 b - -,d7e6
r1b1r2k/p1p2p1p/2pp4/6p1/2BPPn2/1P3N1P/P4PP1/2R2RK1 b - -,h7h6
8/7R/k1p5/2P5/PP6/2r5/3K4/8 b - -,c3d3
r5k1/pb2b1pp/8/2p2r2/R3Np2/3P4/PPP3PP/5RNK b - -,a7a5
6k1/6pp/4p3/1R6/3r4/6P1/5PKP/8 w - -,b5b7
r1b2rk1/pp2bppp/4p3/1N1n4/2P1q3/2N5/PP3PPP/R1BR2K1 w - -,c3e4
r1bq1rk1/1p4pp/p3p3/3pQ3/6n1/2NB4/PPP2PPP/2KR3R w - -,e5h5
8/1R2bk1p/1n2rpp1/3p4/1P4P1/2B4P/5P2/5BK1 b - -,b6a4
2br1rk1/7n/pq6/1p2Q2P/n1p1P3/2P3N1/PP2B1PK/R4R2 w - -,a1d1
4q1k1/5p2/p4P2/1p4P1/1P4KP/P4Q2/8/8 b - -,e8e6
1rbq1rk1/p3n1b1/2n2pp1/1ppp4/P6Q/1BNP1N2/1PP3PP/R1B2RK1 b - a3,a7a6
r5k1/pp6/3p2Q1/2pP3p/2Pq2P1/1P3RP1/Pb4NK/4r3 b - -,d4g7
r3k1nr/pp2bppp/1q2p3/1b1pP3/1n1P4/5N2/PP2NPPP/RBBQ1RK1 b kq -,b6a6
8/5qkp/5p2/8/5PQ1/2n2N1P/6K1/8 b - -,f7g6
6k1/8/4p3/4Pb1p/3P2p1/1Np3P1/P5P1/6K1 b - -,f5c2
r1bqkb1r/p4ppp/1pn1pn2/2p5/5P2/3P1N2/PPP2NPP/R1BQKB1R w KQkq -,g2g3
1r4k1/1q1nrppp/p2B4/P1p2P2/1n1P4/1B3N1P/5PP1/R2Q2K1 b - -,e7e8
2r3k1/3r1pbp/1p1pp1p1/pP3q2/P1PP4/2R1B1P1/2Q2PKP/3R4 b - -,f5h5
rn1qk2r/pbp2ppp/1p1ppn2/8/2PP4/P3PN2/1P1QBPPP/R1B1K2R b KQkq -,b8d7
1Q6/5pk1/r2p2p1/2nPp2p/q3P2P/6P1/5PB1/1R4K1 w - -,b8d8
r1bqk2r/p3ppb1/1pnp2p1/2p5/4PNp1/3PB3/PPPQ1PPP/R2NK2R w KQkq -,c2c3
r4rk1/pp2p1bp/2p3p1/q3P3/4pB2/2P1P3/PP2QPP1/R3K2R w KQ -,e2g4
3r4/6k1/pn1PBp1p/1p6/7P/3R4/PPP3r1/3K3R w - -,d6d7
r3r1k1/4bpp1/5n2/3pRqB1/p1pP4/PnP2N1P/R2N1P2/6K1 w - -,e5f5
7r/3P4/4Qb2/6k1/6pp/8/6KP/8 b - -,h8d8
8/4Rpk1/7p/4p1p1/2r5/2r4P/2P2PP1/3R1K2 b - -,c3c2
r3kn1r/pp3pp1/2pqbb1p/3p4/3P1P2/2NBPN2/PPQ3PP/1R3RK1 b kq -,e8c8
n2R4/p1p1k1bp/b4p2/8/5B2/1P4P1/P3PP1P/2R3K1 b - -,e7d8
4rb1k/r2p1p2/2p4P/4qN1P/p1R5/3Q2R1/6PK/8 w - -,c4g4
1r1k4/4n2R/p5R1/8/PP6/6PP/1P3PK1/4r3 w - -,g6a6
br1q1rk1/3nppbp/ppnp2p1/8/2P1P3/1PN1QN1P/PB2BPP1/1R1R2K1 w - -,c3d5
r1bqk2r/1ppp1ppp/p1n1pn2/8/3PP3/P1P2N2/2P2PPP/R1BQKB1R w KQkq -,c1g5
r2qr1k1/pp3pp1/3p3p/2p1p3/2P1P1b1/P1QP1Pn1/1P1NR1PP/3R2K1 w - -,h2g3
3rr1k1/b1qn1pp1/1ppp2np/p4Q2/N1P5/1P2P1PP/PB3PB1/2RR2K1 b - -,d7c5
8/8/p1p3p1/PnP2k1p/7P/4K1P1/2N2P2/8 b - -,f5e5
r7/ppp3kp/3p2p1/3Pq3/5p2/5P2/PPPQ1P1K/R7 w - -,a1e1
2rq1rk1/p3np1p/2p1p1p1/8/Pb1PBP2/3QB3/1P4PP/R4R1K b - -,e7d5
rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/1P3N2/P1QPPPPP/RNB1KB1R w KQkq -,c1b2
6k1/3Nq2p/2n3pb/3p4/3Pp3/2rBPN2/4Q1PP/R5K1 w - -,f3e5
3r4/p7/8/1p3R2/2pP3K/P1P2kP1/1P6/8 b - -,f3e4
6k1/1p3pp1/3b4/8/P2Bq1P1/1P6/5QN1/6K1 w - -,f2e3
r3b1k1/pR4bp/1p1p1p2/3P1p2/P7/1p5P/2PBBPP1/6K1 w - -,c2b3
2rq1k1r/pp3pp1/3pb3/4p1p1/4P3/2P3P1/PP1Q1PBP/R3K2R w KQ -,b2b3
2kr3r/pp1bbn1p/2p1p3/5P2/2q1N3/2P2Q1N/PP3PBP/1K1R3R b - -,e6f5
r1b2rk1/pp1n2bp/1qp2ppn/4p3/2P1P3/1P3NPP/PB2QPB1/RN1R2K1 w - -,b1c3
8/6kp/1K4p1/5P2/1P6/7P/r7/8 b - -,g6f5
r4rk1/3bq1p1/pbpp3p/5p2/3P4/5N1P/PPQN1PP1/R1B3K1 w - -,c2b3
r1r3k1/5p1p/pn2p3/3p2p1/3P1bP1/1PN4P/PBR2P2/3R1K2 b - -,f7f6
r1b2rk1/1ppqbppp/p3pn2/8/3P4/2N2B2/PPP2PPP/R1BQR1K1 w - -,c1f4
3qk2r/pp1bbppp/3pp3/n7/3Nn1P1/1BP1B3/P1P1QP1P/2KR3R w k -,c1b2
r1bqk2r/1p2ppbp/p1n3p1/1N5n/3p4/3P1NP1/PP1BPPBP/R2QK2R w KQkq -,b5a3
5rk1/pp4pp/5p2/3p4/3P4/P3PNbP/1P4P1/2R2K2 b - -,g8f7
5rk1/1p1bb1pp/1n2n3/3pPp1q/p2P1P2/4BN2/PPB1NQ1P/6RK b - -,g8h8
r2qr1k1/pp1n1pb1/6p1/2pNN2p/2P2P2/1P2R1Pb/PQ2P3/R1B3K1 b - -,h3e6
2r4k/p6p/1p2pbq1/8/1Q3P2/1Pr1BN2/P3KP1P/3R4 b - -,c3c2
r3n1k1/6p1/1p1p3p/1N1P1P2/rP1Bn3/8/6PP/2RR2K1 w - -,b5c7
8/5pk1/6p1/7p/4QP2/2q4K/8/8 w - -,h3h4
8/4k1p1/3pr3/7p/2PRN2P/1r4P1/5K2/8 b - -,b3a3
R1b5/Qp2q1k1/5rp1/2p2p1p/2B4P/4P1P1/5P1K/8 b - -,f6c6
r3k1n1/pp1q3p/4p1p1/4n1N1/2Q5/6R1/P4P1P/R5K1 w q -,c4e4
rn1q1rk1/pbp1npbp/1p1pp1p1/8/4P3/2PP1NP1/PP2QPBP/RNB1R1K1 b - -,b8d7
6rk/6r1/2p2p2/1pPp3p/p2P1b2/P1B4P/1P3PR1/6RK w - -,g2g7
4R3/p7/1p2P1p1/2k2p2/7p/P5nP/1P4PK/8 b - -,c5d6
1r3k2/5b1R/p2p1K1R/P2P4/3P1p2/5P2/6P1/2r5 b - -,f7g8
r4rk1/1b2bppp/pqnppn2/1pp5/2P1PPP1/1PNPB2P/P3N1B1/R2Q1RK1 b - -,c6d4
1r6/2k1b1pp/2p1b3/p3p3/2P1N1p1/P1K1P3/1PB3PP/5R2 b - -,c7d7
7k/1b3R2/6qp/8/1N1p4/3Q2PP/5P1K/2r5 w - -,d3d4
2r1r1k1/1b2bp1p/p1q2np1/1p6/2pP4/P3BPN1/1PBQ2PP/R2R2K1 b - -,c4c3
8/5k1p/pN2pp2/8/3n4/P3K3/1P4PP/8 b - -,e6e5
7r/B1P2pk1/3pb1qb/4p2n/2P1P2p/1N3P2/P4QP1/R2R3K b - -,h5g3
k2r1q2/pp6/2p4R/2P2p1p/3P1p1P/PB1RnP2/1P6/2K1Q3 b - -,f8h6
3r1rk1/1p1qnp1p/p3nQp1/1bp5/4P1N1/6P1/PPP2RBP/2N1R1K1 b - -,h7h5
r2q1rk1/p1b1n2p/2n1bppP/1p2p3/2ppP3/P2P1NP1/1PPB1PB1/R2QRNK1 b - -,a7a5
r2rn1k1/2q2ppp/pp6/n1pPp3/2P1P3/P4Q2/3B1PPP/1R2RBK1 b - -,a5c6
r4rk1/pbqpppbp/1pn2npB/2p5/4P3/2NP2P1/PPPQNPBP/R4RK1 b - -,a8d8
8/p4r2/1p3rkp/8/2PPR3/1P2Kp2/P4R1P/8 w - -,e4g4
3R4/5ppk/7p/8/2q4P/5KP1/3p1P2/5R2 b - -,c4f1
3Q1rk1/ppB1p2p/1np1P1p1/q4p2/8/1Q3BPP/1P3bK1/2R5 b - -,f8d8
r6k/1p3Bb1/5n1p/p1R2bp1/P7/4p2P/1P3PP1/3RB1K1 b - -,e3e2
r3r1k1/2pbpp1p/2p3p1/p2n4/3P4/4P1P1/P2B1PBP/R1R3K1 b - -,a5a4
r1r3k1/4bppp/nqp1pn2/p7/PpQP4/1P1NP3/NB3PPP/R2R2K1 b - -,f6d7
2rr2k1/1p3ppp/p3nn2/8/2p1P3/2N2P2/PP4PP/R3KB1R w KQ -,a1d1
r1bqkb1r/pp2pp1p/2n3p1/3n4/3P4/1Q3N2/PP3PPP/RNB1KB1R w KQkq -,b1c3
3rr1k1/1b3p1p/pp3Ppb/2qp4/2P5/1P1Q4/PB1N2PP/4RRK1 w - -,b2d4
r2qk2r/1pp2pp1/pbnpbn1p/4p3/B3P3/2PP1NN1/PP3PPP/R1BQK2R b KQkq -,e8g8
2k5/pppr1p2/2n2qp1/3p3Q/P2PrP1p/N1P5/1P3RPP/5RK1 w - -,h5g4
r1bq1rk1/1p2ppbp/2n3p1/p7/PnNpP3/BP1P2P1/5PBP/R2QNRK1 w - -,e1c2
r2q1rk1/1p1bppbp/3p1np1/p1nP4/2PN4/2N1BB1P/PP3PP1/2RQR1K1 w - -,d1d2
3r1rk1/1p2n1b1/1qp4p/p1n1pP2/2P5/PP3R2/1BQ1N1BP/R6K b - -,e5e4
4r3/2k1n1pp/8/Pp2N3/1p5P/8/1P3PP1/3R2K1 b - -,e7c6
8/1p1q1k1p/p1p2pp1/2P5/1P1rRP2/7P/P3Q1PK/8 w - -,a2a3
2b2r1k/p3qpp1/1pB4p/1Pp5/P7/4P1P1/3R1P1P/3Q2K1 b - -,c8e6
3b2k1/4npp1/2p4p/3n1N2/4pP2/1B2B1PP/PPP2K2/8 w - -,f5e7
1rbq1rk1/p4ppp/3b1n2/2p3B1/N1Pp4/3B4/PP3PPP/R2QR1K1 w - -,b2b3
8/5pkp/8/1R6/5P2/6P1/1r3PKP/5R2 b - -,b2b5
r1b1kb1r/ppqnpppp/5n2/2p5/3P4/3B1NN1/PPP2PPP/R1BQ1RK1 b kq -,e7e6
r1bqnrk1/6b1/p2p3p/2pP4/P4p2/2N4P/3QBPPB/1R3RK1 b - -,d8g5
4rn2/p3k3/3p1q2/2pP1p1Q/1pP5/1P1P1N1P/P3r3/4R1RK w - -,f3d4
8/2q3k1/B5p1/5p2/7r/3p1P2/3R2K1/3R4 w - -,a6d3
8/p1p5/6p1/5pk1/P1B1q3/1P6/6RP/5K2 b - -,g5f6
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQK2R b KQkq -,f8e7:f8d6:d8c7
1k2rb1r/Nppb4/7p/3Rp2q/8/P4N2/1PP1QPPP/4R1K1 b - -,f8d6
8/5k2/1R6/r4P2/6K1/8/8/8 b - -,a5a1
8/2pn1ppk/1q5p/r2Pp3/8/5BP1/3Q1P1P/2R3K1 b - -,a5c5
4b3/2p1k1pp/2p5/2N5/4P3/1P2K1P1/P1R4P/5r2 b - -,e8h5
7r/3bkp2/4pp2/R7/P1B1P2p/5P2/6PP/6K1 b - -,h8c8
r1bq1rk1/4npbp/p2p2p1/np6/3pPB2/2N2N1P/PPB2PP1/R2Q1RK1 w - -,f3d4
3q4/3r2pk/1pQP1pp1/pK4P1/P2R3P/8/5P2/8 w - -,f2f4
2bqrbk1/1p3ppn/r1pp3p/p7/P2NPB2/2N2Q1P/1PP2PP1/R3R2K w - -,a1d1
8/5k2/6R1/4p2P/4K1P1/8/8/7r b - -,h1e1
3r1rk1/2p2pnp/1p2b1p1/4p1P1/2PqP2Q/P5RB/5P1P/2B2RK1 w - -,c1e3
rnbqk1nr/p1ppppbp/6p1/1p2P3/8/6P1/PPPP1PBP/RNBQK1NR b KQkq -,c7c6
8/6kp/q1p5/pnnpPrp1/8/1P4P1/3R1P2/2Q2RK1 w - -,c1c5
2krr3/pp1nqpp1/2pbp2p/7P/2PPQ3/2B2N2/PP3PP1/1K1R3R b - -,d6b4
8/p7/b1N4p/5R2/P2b4/3k4/5pPP/7K b - -,d4c5
3r2k1/p3b3/2p3p1/2p1Bb1p/2P4P/1P1rP1P1/PN3R2/4R1K1 b - -,d3d2
r2qr1k1/ppp3pp/1nn5/3b1p2/5P2/2PPPN2/P1Q3BP/R1B2RK1 b - -,d8d7
3r2r1/2Q1R1bk/p1b4p/1p6/3B4/P1P5/1P3RPP/1q4K1 w - -,f2f1
7k/pp1B2pp/2pb4/3p4/3P4/2P5/PP2Nrn1/4R2K w - -,e1g1
1r4k1/p2b1r1p/1qn1p2b/2pp1p2/5P1N/N1P3B1/PP3QPP/1R2R1K1 w - -,h4f3
2r2rk1/pb1qnpbp/1pn1p1p1/8/1PP5/2N3P1/3BPPBP/1R1QNRK1 w - -,c3b5
2rr2k1/pbqnbppp/1pp1pn2/3pN3/2PP1P2/1PNBP3/PBQ3PP/3R1RK1 b - f3,c6c5
2r4k/1p4R1/r2p3p/p2p1b2/P2N1P2/2Q3Pq/1PP4P/1K2R3 w - -,d4f5
4rbk1/1p1r1p2/1P1p2pp/R1pP4/1p2PBP1/1P3P2/7P/5RK1 b - -,f7f5
5rk1/2rb2p1/pqn4p/1p2pp2/8/4PN2/PP2BPPP/1QRR2K1 b - -,e5e4
r1b1k2r/ppp1q1b1/2nppnpp/5p2/3P1B1P/2N1P2N/PPPQBPP1/2KR3R b kq -,e6e5
r2r2k1/1pp1qpbp/2b3p1/2N1p3/1PQ5/3PPPP1/6BP/2R1R1K1 w - -,f3f4
4nrk1/3q1rb1/1p1p2pp/p1pPp3/P1P1N3/1P1R1PP1/4Q1KP/2B2R2 b - -,g8h7
3r2k1/1pq1bppb/1npNp2p/p1n1P3/8/PP4P1/1BP1QPBP/3RN1K1 b - -,b6c8
r1b1kb1r/1pqp1pp1/p1n1pn2/7p/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b kq -,f8e7
r4r2/pb4pk/4p1Np/1pq1P3/2np4/8/P1Q1K1PP/R2N3R w - -,g6f8
r1bq1rk1/ppp2pbp/5np1/4N3/4P3/2NB4/PPP3PP/R1BQ1RK1 b - -,d8d4
2k1r1r1/pp3p2/8/n4P2/2pPn3/P1P1BB1p/2R4P/4K2R w K -,e1e2
8/3b4/3k4/P7/5Kpp/8/4N3/8 b - -,d6c5
r1bq1rk1/pp3ppp/5n2/3pb3/8/1PNQ1BP1/PB2PP1P/R4RK1 b - -,c8e6
r4qr1/1k3p2/1p2pB1n/p2pP3/2nP1N2/2P2P2/2P2K2/R1Q4R w - -,f4d5
4rr1k/pbqnppbp/1p1p1np1/2pP2B1/P1P1PP2/3BNN1P/1P3QP1/4RRK1 b - -,e7e6
8/1p6/p2k4/4p3/2P3PR/4pn2/PP2K3/8 b - -,f3h4
3q4/Qp3rkp/3p2p1/n3p3/4P2P/5P2/P1r1B1P1/1R3K1R b - h3,d8c7
r2qk1nr/ppp2p1p/2np2p1/3N2b1/2PP2bP/5N2/PP3PP1/R2QKB1R w KQkq -,h4g5
3k4/R2br1R1/3n1p2/2p1p2p/7P/1KP5/8/8 w - -,g7g8
3r1rk1/1p2bppp/p1b1pn2/3qN3/1n1P4/5NR1/PP3PPP/RBBQ2K1 b - -,c6e8
5b2/1p3k1p/2p5/5PP1/P5K1/4B3/8/8 b - -,f8b4
6r1/4k3/1KR5/1R6/PP6/4r3/8/8 w - -,b6a5
rr4k1/1p3pbn/1Nn3p1/4p1p1/3pP3/1R1P3P/5PP1/2B1RBK1 b - -,a8a2
6k1/8/6pp/PB2n3/5r2/1Nb4P/2P5/2K4R b - -,f4f8
r2q1rk1/pp2nppp/4bb2/3B4/8/P1N1P3/1P1QNPPP/R4RK1 w - -,e3e4
rnbqkb1r/pp3ppp/5n2/3p4/2P5/4p1P1/PP1NPPBP/RNBQK2R w KQkq -,f2e3
