8/6k1/7p/8/pR4KP/P7/1P5r/8 b - -,h2f2
3bb1k1/4qn1p/2r1p1pP/1N1p2P1/PpnP1B2/6QB/5R2/5R1K b - -,c6a6
2k2r2/1pp3p1/7p/p6P/2Pr1B1R/1P4K1/P5P1/8 w - a6,h4g4
6k1/1pn3bp/1pp1p1p1/4P3/1PPr1P2/2N3PP/P7/1R3BK1 b - -,g7f8
rnbqkbnr/ppppp3/6pp/5p2/3PP2B/8/PPP2PPP/RN1QKBNR b KQkq e3,d7d5
8/p4k1r/4bnn1/1pp2pp1/2P5/PPB2PP1/4N1BP/3K3R w - b6,c4b5
r2q1rk1/pb2ppb1/1p1p2pp/6B1/2P1P1n1/2N3PP/PP1Q1PB1/R4RK1 w - -,g5f4
r1bqk2r/1pp1bppp/p1np1n2/4P3/4P3/P1N2N1P/1PP2PP1/R1BQKB1R b KQkq -,d6e5
8/6kp/5pp1/4p3/2P1Q3/5P1K/5bR1/5q2 w - -,e4b7
1r5r/5kb1/bq2p1p1/2pp1n2/1p3PP1/3P3N/PP3BBK/1R1Q1R2 b - -,f5d4
r1bqkb1r/pp1n1ppp/2p1pn2/3P4/3P1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,e6d5
4k2Q/3q1b2/1p1b4/pP3p2/8/3B4/1B4PP/5K2 b - -,d6f8
1r4k1/1r1b1pb1/3qp1p1/3p4/2pP4/2N1P1P1/1P1RQPB1/R5K1 b - -,f7f5
rnbqkb1r/pp1ppp1p/5np1/2p5/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,f8g7:b8c6
8/6p1/2pk4/1p2pK1p/1P2P2P/P7/6P1/8 w - h6,g2g3
r2r2k1/2RB1pb1/3p2p1/3Pp3/2P3Q1/3q2P1/5PK1/7R w - -,d7e6
r2r2k1/Bb1nnppp/2p1p3/R3P3/5P2/1P1N2PP/2P3B1/4R2K w - -,b3b4
r1b2k1r/pp1pp1N1/5pp1/q2P3p/7P/2QBBP2/1R1K2P1/7R b - -,a5d5
2r5/5ppk/4p2p/Qp6/1P1R4/6PP/2P2PK1/4q3 b - -,c8c2
8/1pr1pp1p/p2p1k1r/3P1p2/P2R1P2/1P4P1/2P4P/2R3K1 w - -,g1g2
6r1/pq5k/6p1/2pb1pQ1/4PP1P/2B3N1/2P2n1K/R7 b - -,d5e4
r2q1rk1/pp1b1pbp/3p1np1/2nPp3/4P3/2N1BP2/PPBQN1PP/R3K2R b KQ -,b7b6
6r1/3kb1p1/3p1p2/2pPpPP1/1pK1P3/3PB3/1P6/7R w - -,g5g6
R7/1r3pk1/4q1p1/3pP2p/7P/2Q2P2/1P3PK1/8 w - -,b2b4
2r2rk1/1b3pbp/pB2p3/1p1pPp2/3N1P2/PP4P1/n1P2KBP/2R4R w - -,c1a1
r5k1/1p5p/p1p1pP2/2Pr1p2/3RpP2/4P1pP/PP4P1/3R2K1 w - -,d4d5
r6k/2r3pp/3Nqp2/p1npP3/1p3Q2/3PR3/PP4PP/1K1R4 w - -,d1f1
5k2/1pB1bpp1/p1n1p2p/3p4/3P4/3NP2P/PP3PP1/6K1 w - -,g1f1
8/1k4p1/1r4P1/1K4P1/P7/6R1/8/8 w - -,b5c5
r3kb1r/pp3ppp/1nnqp3/7b/2p5/2P2N1P/PPBP1PP1/RNBQR1K1 w kq -,b2b3
r1rq2k1/p3bpp1/2n1p2p/5b2/1ppPnB2/2P2N1P/PPB2PP1/R1Q1R1K1 w - -,c2e4
8/8/5pk1/1b1Np2p/4P2P/5P2/1r4P1/4R2K w - -,h1h2
rnb1kb1r/1p3ppp/p4n2/4p3/3N4/2N3P1/PP2PP1P/R1B1KB1R w KQkq e6,d4b3
r5k1/pp3pbp/2p2np1/5b2/2P5/5NP1/PB2rPBP/R2R2K1 w - -,d1d2
rn1q1rk1/pp2ppbp/2p3p1/2Pp4/3Pb3/5NPP/PP1QPPB1/R1B2RK1 b - -,b8d7
8/2b4p/2r2kp1/r3pp2/PR5P/6P1/R4PK1/6N1 w - -,g1f3
r2qk2r/1b1nbppp/p1n1p3/1p1pP3/3p1P2/4BN2/PPPQB1PP/R2N1RK1 w kq -,f3d4
3r2k1/p4pp1/1q1pb2p/8/2P5/PP3QPP/4RP1K/3R4 w - -,f3e4
8/8/4b3/8/Bpk5/4K3/8/8 w - -,e3d2
rnb1kb1r/pp2pppp/2pp1n2/q7/3PP3/2N4P/PPP2PP1/R1BQKBNR w KQkq -,f1d3
r1b2rk1/1p3pb1/p3pnpp/8/2B4B/5N1P/PPP2PP1/3RR1K1 w - -,f3e5
1r2kr2/p1p2p1B/2p1b3/1q2P3/4NQ2/6PP/PPP4K/5R2 w - -,e4g5
r1r2k2/pp1b3p/6p1/PPppPp2/3P4/4P3/1R2B1PP/5RK1 w - -,e2f3
r3k1r1/2pq1p2/p3pQ1p/1p2P3/PbpP4/2N3P1/1P3PbP/R2R2K1 w - -,g1g2
2r1k2r/pp2ppbp/2npb2q/8/P4P2/1NP1N3/1P2B1PP/R2Q1RK1 b k -,e8g8
4r3/1p4k1/r1nqbp2/p1b3pp/2PpPp2/PP1B1P1P/1Q3KP1/R1R1NN2 w - -,f2e2
r3r3/2P2kpp/p3bp2/B3p3/8/8/6PP/2RR2K1 w - -,c1c6
3r1n1R/5kr1/1pp3p1/4PpP1/1p1p1P2/7R/PPP1N3/2K5 b - -,c6c5
rnbqkb1r/pp2pppp/2p2n2/8/4p3/1BN2P2/PPPP2PP/R1BQK1NR b KQkq -,c8f5
r4rk1/pp2bppp/Pqb1p3/3nN3/1nBPN3/8/1P2QPPP/R1BR2K1 w - -,a1a3
3r2k1/1R6/7P/p4B2/3p3P/1P6/P1P2n2/2K5 w - -,b7a7
r2q4/pp2npb1/1np1k1p1/3pP1B1/3P4/1P1B1N2/P1Q2P2/2K3R1 w - -,d3f5
r1bk3r/pp2ppbp/2p2np1/8/4PB2/2N5/PPP2PPP/2KR2NR b - -,f6d7:d8e8
3r4/8/2p1R1k1/2P4p/1B6/Pr4PP/6K1/8 b - -,g6g5
2r1r1k1/1pq1bp1p/p5p1/3p3n/P7/2P1BP2/1P1N1QPP/R2R2K1 b - -,e7d6
8/8/8/2p3R1/P2k3P/3p1P2/7r/3K4 w - -,a4a5
5rk1/p2b2pp/3r4/1pnP4/8/5N2/P1B3PP/4RRK1 w - -,f3g5
8/5pk1/6p1/3Q4/1p4Pp/2q1PK1P/8/8 b - -,b4b3
8/8/5p2/6k1/8/r3RK1P/6P1/8 b - -,a3a4
r1bq1rk1/pp1n1pb1/2p3pp/4p2n/2P1P3/2N1BN1P/PP1QBPP1/R4RK1 b - -,g8h7
2r3k1/1p4pp/p5p1/2b1r3/1R1B4/8/1P3PPP/5RK1 w - -,d4c5
4n2k/5pbp/p1N3p1/P2P4/1Bn5/6P1/5PBP/6K1 w - -,g2f1
2r1r1k1/1pBn3p/4pp2/1p1p1p2/1P1P4/P3P2P/5PP1/2RR2K1 b - -,g8f7
8/1k6/1P4R1/8/4pb2/2N5/1P5r/4K3 w - -,c3e4
8/1p3pk1/p5pp/3bq3/8/P6P/3Q1PP1/5BK1 w - -,a3a4
2r1r1k1/1p2bpp1/q3pn1p/pN6/P1P2B2/3R3P/1PQ2PP1/3R2K1 b - -,f6d5
r5k1/1p6/p2p4/3Pp1q1/2N1Pnrb/1Q3RB1/PPR5/5K1N b - -,a8f8
1r1q4/p5k1/2bp4/1pp2p1p/8/2PP1RP1/PP1Q4/6K1 w - -,f3f5
q1br2k1/5pbp/p2n2p1/3P4/2P1nB2/5N1P/P4PP1/2RQ1RK1 w - -,f1e1
8/6p1/1p3p1p/p3k3/PnP5/1P4P1/7P/2KB4 b - -,e5e4
r1bqkbnr/pppp1p1p/2n3p1/8/3p4/1P2P3/PBP2PPP/RN1QKBNR w KQkq -,g1f3
2n1rr2/1bqn2kp/pp2ppp1/2p5/2P4P/2NPPNP1/P3QPB1/1RR3K1 w - -,b1b2
2r1r1k1/1p3pp1/p6p/3pq3/8/1P2P2P/P2Q1PP1/2R1RK2 w - -,f1g1
r3r3/5kpn/1ppbp3/3p1n1p/p2P3P/P1NP1NP1/1P1BRP2/2K1R3 w - -,c1b1
r2qkbnr/pppnpppp/3p4/7b/3P4/4PN1P/PPP2PP1/RNBQKB1R w KQkq -,c2c4
r1bqk2r/2ppbppp/p1n5/1pnBP3/3p4/5N2/PPP2PPP/RNBQ1RK1 w kq -,f3d4
2q3k1/4bpn1/3p2p1/2pPPb2/1p3P1P/1P3NP1/1B3K2/r1Q2B2 w - -,c1a1
4r2k/6bp/pP4p1/P2B1b2/1P1pp3/1N6/3B2PP/4R1K1 w - -,d5c6
r4rk1/pb2bpp1/3q3p/n1p5/B3N3/P7/1PPPQPPP/R1B2RK1 b - -,d6d5
6k1/1p4pp/pN3p2/5p2/3Br3/P5K1/1P3P2/8 w - -,d4c3
2r2r1k/pp1b2pp/3P4/2nB4/1p1Np3/8/PP4PP/R4RK1 b - -,b7b6
6bk/7p/1Q2P3/3Pqp2/8/P1N5/2K1B1rP/8 w - -,c2d3
3r1r1k/1b2q1pp/1pn2p2/p2B4/8/P1Q3B1/1P3PPP/3R1RK1 b - -,e7d7
1r6/2q1kppr/p1bp1n2/4pP2/1PP1P2p/2N4R/2BQ2PP/3R3K b - -,b8b4
2kr3r/1pp1npbp/p1n3p1/4p3/4P3/2PPB3/PPBN1P1P/R4RK1 b - -,f7f5
1r3rk1/p4ppb/2q1pn1p/4N3/8/2P3P1/PP3PP1/R3RBK1 w - -,e5c6
r1bq3r/1p2kp2/p3p1pp/2pn4/3b3P/P4Q2/BPPP1PP1/R1BNK2R w KQ -,d1e3
2r3k1/1q3p1p/pn1Q2p1/1p6/6P1/2P4P/PPP2P2/1K1RR3 w - -,e1e7
3r1rk1/5p1p/4q3/1p2Ppb1/8/P4QP1/1B5P/3RR2K b - -,g5d2
6rk/p6p/2p1nP2/3p1N2/5B2/5B1P/P3P3/5K2 b - -,e6f4
5b2/1p1r1kpp/pBn5/P2prp2/8/1NPR4/1P3PPP/3R1K2 w - -,g2g3
5k2/4R3/3p1P2/5K2/2P5/8/1p1b4/8 w - -,e7b7
6rr/1bq1kp2/p1p2p1p/1pb1pP1N/P3P2Q/3B4/1PP3PP/R4R1K b - -,g8g5
2r1k3/pp3p2/4p3/qb1pPP2/5P2/P1p4Q/2n1NB1P/R2K1Br1 w - -,h3h8
8/5k2/3R4/4pp2/P3p1p1/1PN2r2/2K2P2/8 b - -,f3f2
2r1r1k1/1b3pp1/p1p1pn1p/qpP1N3/3P4/2PR4/P1B1QPPP/4R1K1 b - -,a5a2
r2q1rk1/pb1nbppp/1p2pn2/2ppN1B1/3P4/2PBP3/PP1N1PPP/R2Q1RK1 w - -,f2f4
r5k1/2qb3p/p2b2p1/1p1Pnp2/1Pp5/P1P4P/2BQ1PPN/4RNK1 w - -,d2e2
3rr1k1/1p3pbp/p1p3p1/2P5/P3P1n1/1R1Q2P1/4NPB1/R5K1 b - -,d8d3
8/5p1k/P3pnpp/8/2BP4/4P1P1/r4P1P/4RK2 b - -,a2a4
r2q2k1/3n1ppp/pr2pn2/Rb6/3PP3/1N2Q1P1/3N1PBP/R5K1 w - -,g2f1
4R3/rp3pkp/5p2/5p2/2P5/r1K2P1P/1R4P1/8 w - -,c3c2
r1bqr1k1/p2n2pp/1ppbp3/5pB1/2PP4/5N2/PP2QPPP/RB3RK1 b - -,d7f6
r7/4R3/p3pp1P/1p1b1k2/2pB1P2/P1P5/2P4P/6K1 b - -,a8h8
1n1q1rk1/3r1p1p/pp1ppbp1/8/2P2P2/2N1Q1P1/PP3PBP/2RR2K1 b - -,d8c7
1Q6/5ppk/4p3/6q1/1P6/4P2P/5PPK/8 b - -,g5f5
r1b1k2r/pp1n1pb1/1qp1pn1p/3p3P/3P1Bp1/3BPP2/PPP1N1P1/RNQ1K2R w KQkq -,b1d2
r1bq1rk1/ppp1n1bp/3p2p1/3P4/2PnpN2/2N3P1/PP4BP/R1BQ1R1K b - -,g6g5
6k1/5pp1/7p/1Q6/3qP3/P4PK1/2r1B1PP/8 b - -,d4e3
1r4k1/1r4p1/4pnQ1/1Pp2pN1/4P3/3q2PP/5PK1/1R2R3 w - -,e4e5
2rr2k1/p2b1pp1/4p3/1p1pP1N1/3P1P1Q/b7/1q4PP/1N3R1K w - -,h4h7
8/6rk/r6p/pbqpQNp1/5p2/2P5/1P3PPP/4R1K1 b - -,g7f7
rn1qkb1r/p4ppp/2p1pnb1/8/B2P2P1/5P2/PPP1N2P/RNBQK2R b KQkq -,f8d6
r2q1rk1/ppp2ppp/2n1b3/3np3/2B5/2PP1N1P/P1PB1PP1/R2QK2R w KQ -,e1g1
4kb1r/Bp3ppp/4p3/1P1pP3/b2P4/P1r5/4BPPP/R3K2R b KQk -,f8a3
r1bqk2r/4bppp/p2p1n2/1pp1p3/2P1P3/1P1P1N1P/1P3PP1/RNBQ1RK1 b kq -,a8b8
8/5pp1/3Q4/4p2p/4Pq1k/3K1P2/4B3/8 b - -,f7f6
8/N4pkp/1p4p1/8/6P1/2nKPP2/P1rR3P/8 b - -,c2d2
rn1qk2r/pb2ppbp/1p1p1np1/8/2PQ4/1P3NP1/PB2PPBP/RN3RK1 b kq -,e8g8
2q1kb2/1b3ppr/p2pp3/1p5P/2rBPP2/P1N5/1PP1Q3/2KR2R1 w - -,g1g3
2qr2k1/1p2ppb1/p5pp/8/4QPP1/2P4P/P1PB4/3R3K b - -,g7c3
8/8/5p1k/3pp3/1r1P2PP/4K3/6R1/1b1B4 w - -,g2d2
3r2k1/1pp4p/1n2bppb/4p2n/2P1P3/1Pq2N1P/2B1QPPB/3R1NK1 b - -,d8a8
8/4R3/3r3k/2p1p3/2P1rp2/6pP/6P1/1R4K1 b - -,h6g6
4rrk1/pp1n2p1/2pq1nQp/3pN3/3P2P1/1PP2N1P/P4P2/R3R1K1 b - -,f6e4
2Q5/6k1/1p1q1p2/6p1/7p/4R1PP/6PK/3r4 w - -,c8b7
5rkb/p3pp1p/1p1p2pP/8/3N2b1/P3K3/6B1/2R4R b - -,h8f6
8/q7/8/3Q4/8/1P2k3/8/3K4 w - -,d5d2
rnbqk2r/pp3pp1/2pb1n1p/3pp3/2P5/3P1NP1/PP1NPPBP/R1BQ1RK1 b kq -,e8g8
r4rk1/2p1bppp/p3pn2/n2q4/Pp1Pb3/1P3NP1/1Q2PPBP/R1BN1RK1 w - -,d1e3
3R4/6p1/2N1k3/5p2/3P4/5PP1/8/6K1 w - f6,d8g8
2r1r1k1/3q1pb1/2p1p1p1/1pR3Bp/p2PQ2P/P1P3R1/1P3PP1/6K1 b - -,g7f8
4rrk1/2pnn1p1/1p3p1p/p2P4/P1PP1p2/8/2PN1BPP/R4RK1 b - -,e7f5
r2q1rk1/1b1nbppp/4pn2/p1p5/PpBP4/1P1NPN2/1B3PPP/R2Q1RK1 w - -,d4c5
5rk1/ppp1r2n/3p3p/3PppNq/1PP5/3PP1R1/P5PP/3Q1RK1 b - -,h5d1
r1r3k1/1b1n1p1p/p4qp1/2n1p3/1p2P1Q1/5PN1/PP4PP/1B1RR2K b - -,f6f4
6k1/7p/p1R5/1p3p2/1P3Pp1/P5P1/3r1K1P/8 w - -,f2g1
r3kb1r/ppqbpppp/3p1n2/2pP4/2P1PP2/2N5/PP2BP1P/R1BQK2R w KQkq -,e2f3
r1bq1rk1/3nbppp/p2p4/4p1P1/R3PP2/1N1QB3/1PPN3P/4K2R w K -,h2h4
r1bq1rk1/1pppppbp/p1n2np1/8/2P5/2N2NP1/PP1PPPBP/1RBQ1RK1 b - -,a8b8
3r3k/1b3ppp/4rn2/p2Np3/2q1P3/B3RQ1P/3R1PP1/6K1 b - -,b7a6
1r4k1/3b2qp/2n1p1p1/1p1p4/1PnP1P1P/2N5/5PB1/1R1Q1RK1 b - -,c6d4
2r5/6nk/3Q2pp/8/2B2P2/PP2P2q/5R1P/6K1 w - -,e3e4
r2r2k1/1bq1bppp/p2ppn2/1p1Pn1B1/4P3/2N2N1P/PPB2PP1/2RQR1K1 w - -,f3d4
8/4k3/2R5/5Bp1/3b4/2p1r3/6K1/8 w - -,f5h7
2r3k1/p4ppp/2p2n2/1rN1q3/8/1P2P3/2Q2PPP/1RR3K1 w - -,h2h3
2r1r1k1/pp1bqp2/7p/QP1p2p1/N2Nn3/b2BP1P1/P4PP1/1R1R2K1 w - -,b1b3
1n3r1k/2q1b1pp/2nN4/1BP1pp2/QP6/5N2/5PPP/2BR2K1 w - -,b5c6
r2q1rk1/pb1n1ppp/1ppbp3/8/2PPB3/1P3N2/PB3PPP/R2Q1RK1 b - -,d8c7
3R4/1r3kpp/5pb1/1p2p3/4P3/P2B1P1P/1K4P1/8 w - -,d8d5
8/8/pB2k3/P3p1p1/1rp1P2b/7P/2RK1P2/8 b - -,b4a4
8/3r1pkp/3P2p1/pp6/4p3/r3P3/3R1PPP/3R2K1 w - -,g2g4
r2q1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N5/1P1NQPPP/R1B2RK1 w - -,d2c4
r1b2rk1/4bpp1/n1p1pn1p/p2p4/8/2N1PPBP/PPPNB1P1/2KRR3 w - -,c3a4
4b3/6p1/p2k1p1p/2p1pP1P/NpPnP1P1/1P2K3/P7/3B4 w - -,a4b2
6k1/pp3p1b/2p2n1p/4p1p1/P3P1P1/BPP2P2/3r2BP/R5K1 b - -,f6e8
r1bb1rk1/2q2ppp/3p1n2/pp1PpN2/1P2P3/2PpB2P/P2N1PP1/RQ2R1K1 w - -,b1d3
r3k2r/1b1qbpp1/p2pp3/1p5p/3NPPn1/2NP3Q/PP4PP/2R2RBK b kq -,e7f6
r1b1qrk1/pp2p1bp/n1pp1np1/5p2/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 w - -,a2a3
r1n1r1k1/1ppq2bp/5pp1/p2p4/P2P4/1PPN2P1/4P2P/R1BQ1RK1 w - -,a1a2
r4rk1/1pqb1pbp/p1nppnp1/8/2P5/QP3NP1/P3PPBP/R1BR1NK1 b - -,b7b5
r1b2rk1/2q2ppp/ppn2n2/2p1p3/3P4/P1P1PN2/5PPP/R1BQRBK1 w - -,d4d5
r2q1rk1/1b3pp1/1pn1pb1p/p2n4/3PN3/P2Q1N2/BP1B1PPP/3R1RK1 w - a6,f1e1
1r4k1/5p1p/6p1/1P6/p7/7P/5PP1/R5K1 b - -,b8b5
rnbq1rk1/pp3pbp/2p2np1/3p4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,c1f4
8/5pk1/3p2p1/2p1b1Q1/8/P4P2/1q4Rr/5RK1 b - -,b2d4
r1q2r2/ppp2pbk/2np2pp/2P1p2n/3PP3/2N1BNPb/PP1QBP1P/3RR1K1 b - -,d6c5
8/3q2k1/6r1/2R4p/1p2PN1P/1P1P1pP1/6QK/r7 w - -,g2b2
4r1k1/5pp1/pr3n1p/3p1N2/2p5/P3PP2/1PR3PP/3R2K1 b - -,h6h5
3R4/1p3pk1/3P2p1/4K1P1/p7/3r4/7P/8 b - -,a4a3
8/2RnB3/3Pk2P/4p1p1/8/6K1/5P2/3r4 w - -,g3h2
r3k2r/pppn1p1p/3bbp2/3Np3/2B1P3/5N2/PPP2PPP/R3K2R w KQ -,e1c1
2r2qk1/1p2ppbp/r2p2p1/1Nn5/p1P1PP2/Pn2BB1P/1PR2QP1/3R3K w - -,f2e1
2k5/1pr5/p3ppp1/P1P2b1p/1P3P2/5BP1/1KP4P/4R3 w - -,c2c4
r3r1k1/pp3ppb/q1p2n1p/2n5/3NP3/P1N2PP1/1PQ3BP/R2R2K1 b - -,a6b6
8/8/7p/p6P/2b2pPk/4bP2/1Bp5/2N1K3 b - -,h4g3
7k/1pp1r1pp/1p1p1q2/1B1Pn2P/3N2b1/P4pP1/1PPQ1P2/2K4R b - -,h7h6
r4r2/1p6/3p1k1p/1bnP1pp1/8/4P1P1/5PBP/1R1R2K1 w - -,b1b5
r1bqr1kb/ppp1pp1p/1n4pB/8/2nPP3/2N2P2/PP4PP/1KQR1BNR w - -,h2h4
3r2k1/3qn1b1/Bp1N2b1/3Pp1pp/4p3/BP4PP/P5QK/2R5 w - -,d6e4
r2qr1k1/pp3pbp/2p2np1/4p3/2PnP3/P1N1BB2/1P3PPP/R2Q1RK1 w - -,f1e1
r3kbnr/ppqn1ppp/2pp4/3Pp3/4P1b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,h2h3
r3r1k1/5ppp/p1nb4/2q1p3/2N5/2B3P1/PP2QP1P/R3R1K1 w - -,c4d6
2Nrk2r/1p2bp1p/pQ2qp2/1b2p3/1P6/P3PN2/5PPP/2RR2K1 w k -,d1d8
r6r/1kpq2p1/p2bNn1n/3P4/Pp1P1B2/1B3QP1/1P5P/R3R1K1 w - -,a1c1
6r1/N3np2/PpN2k2/2pP4/2P3P1/1P3K2/8/8 b - -,g8a8
6k1/5p2/1p4p1/p2p3p/qP3P1P/P2Q1KP1/5P2/8 w - a6,b4a5
q2rr2k/2p2pbp/1p1pnnp1/pP2p3/P1P1N3/B1NPP3/4QPPP/3RR1K1 b - -,h8g8
4qrk1/4ppbp/3p2p1/pb2P3/n2P1P2/4B1PP/2Q1N1B1/R5K1 w - -,e2c1
5n2/4k1p1/1p2r1p1/6P1/P2P4/1Q3K2/1P6/8 w - -,b3b4
r1bqk2r/1p3pbp/p1nppnp1/2p2P2/4P3/2N2N2/PPPPB1PP/R1B1QR1K w kq -,d2d3
r1b1r1k1/5pp1/2p4p/p7/1P5P/P3P3/5PP1/3RKB1R w K a6,b4b5
3r4/p7/1p6/2p2k2/5pp1/2P5/PP2K2N/7R w - -,h2f1
r2r2k1/1p3pp1/2n4p/p2bPn2/5P2/1NB5/P4KPP/2R1RB2 w - a6,c1c2
b1r3k1/4bpp1/p3p2p/1p1nN3/8/4P1BP/PP3PP1/1B1R2K1 b - -,g8f8
3rrb2/p1k5/b1p2p2/2ppp2p/2P4P/1PNP1NP1/PK3P2/3RR3 w - -,d1c1
r7/5pk1/5p1p/2bp1P2/1p4R1/4P1P1/PKB2P2/8 b - -,g7f8
r2r2k1/1b2nppp/1qn1p3/ppNpP3/1P3P1N/P1P3P1/1Q4BP/R1R4K b - -,a8a7
6k1/1p2npp1/pq4np/3r4/8/2Q4P/PP3PP1/3RRBK1 b - -,d5c5
3brrk1/1p3qp1/2p1p2p/3pBn1P/pP1P1PQ1/2P2R1P/P6K/5BR1 b - -,d8f6
5rk1/4b1pp/p3p3/3b4/3N3P/2P3N1/P5P1/3R2K1 w - -,g3f1
3r2k1/1p4p1/p1nRp1P1/P1P1P3/8/1KB1P3/8/8 b - -,d8e8
3b2k1/7p/p3N1p1/1p2R3/1P4P1/2q2B1P/P5K1/8 w - -,e5e2
r1bqkbnr/pp2pppp/2n5/1B1p4/3NP3/8/PPP2PPP/RNBQK2R b KQkq -,d5e4
r2b1rk1/3P3p/p1N1p3/5p2/4nP2/3R1KP1/P4B2/3R4 b - -,e4f2
2k2b1r/3q3p/p4pp1/1pp5/2Q5/4B3/PPP2PPP/2K4R w - b6,c4e4
4rk2/p1p2ppp/2p3b1/8/3rPR2/1B6/PPP3PP/4R2K w - -,h1g1
r1b2rk1/ppppnppp/1bn2q2/8/2BNPP2/2P1B3/PP4PP/RN1Q1RK1 b - f3,c6d4
r2q1rk1/pp3pbp/n4np1/2pP4/6b1/2NQ1N1P/PP2BPP1/R1B2RK1 b - -,g4f5
r2qrbnk/pp1n1ppp/2b5/2p1pN2/P3P3/1PNP2P1/4QPBP/R1B2R1K w - -,c1b2
rn1qr1k1/pp3pbp/3p1np1/2pP1bB1/2P5/2N2N2/PP1QBPPP/R3K2R w KQ -,e1g1
r1br2k1/pp2ppbp/2nq2p1/8/2BPP3/2B5/P3NPPP/2RQ1RK1 w - -,e4e5
1krrb3/1pq1bpp1/p2pp2p/n7/4PP2/1NN1Q3/PPP3PP/1K1RRB2 w - -,f1d3
3r4/ppnR4/2p1bkpp/5p2/8/1PN1P1P1/P4PBP/3R2K1 b - -,d8d7
8/5p2/5kpp/p3p3/P2bP1P1/3N1P1P/6K1/8 w - -,h3h4
5k2/4b2p/3p4/3Pp3/bPP1Pp2/5B2/4KP2/4N3 b - -,a4d7
2rqr3/1p1nbppk/p3pn1p/3p4/3P1B2/2P2N1P/PP1N1PP1/R2QR1K1 w - -,f3e5
8/1R4pk/1np4p/pr6/4N2P/P4PP1/5K2/8 w - -,h4h5
1rbqr1k1/3nppbp/p1p3pB/2p5/3pP1N1/3P3P/PPPQ1PP1/1R1N1RK1 b - -,d7e5
rn1q1rk1/pb2bppp/1p2pn2/3p4/3P1B2/2PB1N2/PP1NQPPP/R4RK1 b - -,b8d7
4r1k1/1pn1r2b/p1p1p3/P1Pp1p1p/3P1P1P/2N3P1/1P2RKB1/4R3 b - -,g8f7
r1bq1rk1/pp3pbp/3ppnp1/2p3B1/4P3/1nPP1N1P/PP3PP1/RN1Q1RK1 w - -,d1b3
6k1/1p5p/pPq3r1/3r1B1Q/1Pp1p3/2PbBn2/7P/R3R2K b - -,f3e1
r3k3/1q1n1ppr/2p1p2p/pbPpP2P/8/P2P1NR1/2QBNPP1/6K1 b q -,a8b8
rnbqk1nr/pp3ppp/4p3/2bp4/2P5/4PN2/PP3PPP/RNBQKB1R b KQkq c3,d5c4
r4r1k/2q1b1pp/p2pQ1n1/4pRP1/Pp2P3/3BB3/P1P4P/2KR4 b - -,g6f4
8/6k1/3p2p1/1q1Pp2p/pN2b3/P1Q3P1/5K1P/8 b - -,b5d7
