8/8/8/K5Q1/P4pp1/1p3k2/8/8 w - -,g5d5
3r2k1/6bp/p2q2p1/1rQPp3/N7/1P2R2P/6P1/4R2K w - -,c5c4
1r3rk1/5pbp/p1p1p1p1/2PpP3/3P3P/q1NQ2P1/P4P2/1R2R1K1 w - -,d3e3
r4rk1/pbq1npbp/1p4p1/1Pp1p3/4P3/P1P1BNP1/4QPBP/1R1R2K1 w - -,f3d2
6k1/ppq2pp1/4P2p/5P2/1Pr1Q3/P2p1P1K/7P/3R4 w - -,e4d3
8/nRK5/P5pk/7p/8/5r2/8/8 b - -,h5h4
r1b2rk1/pp3pbp/5np1/3N1P2/1Pn2B1q/P4N1P/2Q3B1/R4RK1 b - -,h4h5
2r2rk1/3b2pp/p2p2q1/1p1Ppp2/3nP3/BP1B1P2/P2Q2PP/1K1R3R b - -,a6a5
8/1k1N4/8/5K2/P7/1Pn5/8/8 b - a3,b7c6
3r4/1p6/p4k2/5p2/P1p5/4B3/1PP1KNP1/8 b - -,d8g8
6k1/4qpp1/1p2b2p/p1bp4/4n3/1P1QPN1P/P4PP1/BB4K1 w - -,a1b2
r3r1k1/1pqn1pbp/p2p1np1/2pP2B1/2P5/2NQ1N1P/PP3PP1/3RR1K1 b - -,d7f8
r1q1k2r/p1p3bp/b1pp2p1/Q3Pp2/2P2P2/BP3B2/P5PP/R3K2R b KQkq -,a6b7
2k5/pp3p2/7p/2pr2p1/8/PK4B1/1P2P1PP/2r2B1R w - -,h2h4
3R4/8/1B6/P4npp/4k3/7K/r7/8 w - -,d8e8
4q3/1p3rk1/p1rR2Q1/4p3/8/2P2P2/P4P2/4K1R1 b - -,g7f8
r1bq1rk1/1p4pp/2n5/p1b2p2/3p1P2/P2B2N1/1PPB1QPP/4RK1R b - -,d8d6
8/p3bkpp/1p2n3/5p2/1PP1p3/4B2P/PR1N1PPK/3r4 w - -,g2g3
r2qkbnr/p4ppp/2ppp3/2p1P2b/8/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,e5d6:d2d3
8/pp2pk1R/8/2P5/P4K2/1P6/2r5/8 b - -,f7e8
r4rk1/1bqnbp1p/pp1p1np1/8/2P1PR2/1P1B4/PBNNQ1PP/2R3K1 w - -,c1f1
8/4Q3/2q3p1/p7/k1p3P1/1p3P2/8/7K w - -,e7e2
r2q1rk1/5pb1/2p1b1pp/3ppn2/2P5/1NNP2P1/2Q1PPBP/1R3RK1 b - -,f5d4
1r4k1/4bppp/pq1pb3/2r3P1/4Pp1P/3R4/1PP4R/1KB1QB2 w - -,d3a3
r4rk1/ppqb2p1/2nb3p/3pP3/6n1/2BB1NN1/PP3PPP/2RQ1RK1 b - -,g4e5
8/8/3p4/2pPb1kp/2P1KN2/1P3P2/8/8 w - -,f4e6
rn1qkb1r/pp3ppp/2p1pn2/5b2/P1p5/1P3NP1/3PPPBP/RNBQ1RK1 b kq -,c4b3
3r4/2p1n1b1/ppn1k2p/4ppp1/P1P5/1N2N1P1/1P2PP1P/2BR2K1 w - -,d1d8
8/8/3n1p1p/kpp1pPpP/1b1pP1P1/1P1P4/2PN4/2BK4 b - -,a5b6
r1b1kb1r/1pqp1ppp/p1N1pn2/8/2P1P3/2NB4/PP3PPP/R1BQK2R b KQkq -,d7c6
8/p4k1p/r5p1/P1p2p2/3b1P2/3K2P1/3B3P/5R2 w - -,f1b1
r2qk2r/pp1nbpp1/2pnp1p1/3p4/2PP4/1PN1P1P1/P3BP1P/R1BQ1RK1 w kq -,f2f3
r2q1rk1/ppp2ppp/1nnp1b2/8/2PP2b1/1PN1BN2/P3BPPP/R2Q1RK1 b - -,f8e8:d6d5
3r1r1k/6pp/8/2P1Bn2/3PQP2/4PB2/4qP1P/1R4K1 b - -,e2a2
3r1rk1/pppn1ppp/4p3/2q1P3/2P2P2/1PN1R3/P1Q3PP/4R1K1 b - -,f7f5
2r2k2/3N1ppp/p7/P2Rb3/8/1P3P2/5P1P/6K1 b - -,f8e7
6k1/5p2/4r2p/5K2/1Q6/7P/8/8 b - -,g8g7
2r1kb1r/1p1b1ppp/p2pp1n1/q7/2PBP1P1/1PN5/P4PBP/2RQ1RK1 w k -,f2f4
3q1rk1/1p1bppb1/3p1np1/p1r3Bp/P1nNP2P/1BN1QP2/1PP3P1/1K1R3R w - -,e3e2
rn3r1k/pppqbppp/3p1n2/3Pp1P1/2B1P3/2P1BQ1P/PP1N1P2/R3K2R b KQ -,f6g8
r1b4r/1p1nbk1p/p2p1n2/q4N2/4P3/2N5/PPP2PPP/R1BQ1RK1 b - -,d7e5
3r4/4np2/r2p2k1/1NpP4/P3PK1P/1P4N1/8/3R4 b - -,f7f6
r4nk1/6pp/1qp1np2/pp2pN1b/4P3/PP2QNPP/2P2PB1/R5K1 b - -,b6e3
8/6p1/2kbp2p/1pp4P/2P1P1P1/1K6/8/4N3 w - -,e1f3
2bqn1k1/Qp3pb1/2p3pp/P3p3/1BPnP3/1P4PP/5PB1/R3N1K1 w - -,a1b1
2rn4/5pk1/3R2p1/7p/4PN1P/5PK1/6P1/8 b - -,d8b7
1k6/6p1/4p2p/3pP3/N2P1P1K/2P5/8/1r6 b - -,b1b7
r1bqkb1r/1p1n1p1p/p1n1p1p1/2ppP3/5PQ1/1P3N2/PBPPB1PP/RN3RK1 b kq -,c5c4
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/1P6/P3PPPP/RNBQKBNR b KQkq -,b5c4
r1b1r1k1/pp3ppp/1bpq1n2/3n2B1/3P4/P1NQ2P1/1P2NPBP/3R1RK1 b - -,c8g4
r4rk1/2p2ppp/pbnp4/1p2p1q1/4P3/2PPN1P1/PP3PK1/R1BQ1R2 w - -,e3f5
r1bqk2r/pp2nppp/2nb4/2p1p3/3pP2N/3P2P1/PPPN1PBP/R1BQ1RK1 b kq -,g7g5
r2qk2r/pp1nbpp1/2p2np1/4p1B1/2pPP3/2N3P1/PP3PBP/R2Q1RK1 w kq -,h2h4
8/p3k3/7p/2NpK2b/3P4/r3P3/8/6R1 w - -,e5d5
r1b3k1/1p1rbpp1/pBn1pn1p/3p3P/4Pq2/1NN2PP1/PPP2Q2/1K1R1B1R b - -,f4b8
8/2bN1p2/4p1p1/1kP4p/1P2K2P/4P1P1/5P2/8 b - -,b5b4
r2q1rk1/1pp2ppp/1pn2n2/3bp3/8/1P3PP1/PBPPN1BP/R2Q1RK1 b - -,d8d6
rnbqkb1r/pp2pp1p/2p2np1/4P3/2Pp4/2N3P1/PP1P1P1P/R1BQKBNR w KQkq -,e5f6
rnbq1rk1/pp2ppbp/5np1/2pp4/2P2P2/5NP1/PP1PP1BP/RNBQ1RK1 w - -,c4d5
1r4k1/RP1n1pb1/3p2p1/2nPp3/1N2P1P1/4BPN1/8/6K1 w - -,e3c5
2n5/7p/8/2B5/1Pk5/7P/6K1/8 w - -,g2f3
3r1k2/1p3ppQ/4b2p/8/p7/1Pq4P/P4PP1/1B3RK1 w - -,b1f5
2r4k/3P2p1/5p1p/8/4P3/1Q5P/2p3P1/7K b - -,c2c1q
2b5/4k3/3p1r2/p3rppp/2PRP2P/1PK1RP2/2B5/8 b - -,f5f4
6k1/R4p2/4pn1p/6p1/8/5B1P/1r3PP1/4K3 b - -,g8g7
r7/4kpp1/2n1p2p/r2pP3/PpbP1P2/2pBKN2/2P3PP/R1R5 w - -,g2g4
3r4/PQ3pk1/6p1/1K5p/1P3P1P/6P1/8/r7 w - -,b7b8
r4rk1/pq3bbp/2p2pp1/3p4/3P4/P1N3B1/1P1Q1PPP/2R1R1K1 w - -,c3a4
1nr1rbk1/1p1q1ppp/pB1pbn2/P3p3/4P3/2N3PP/1PP2PBK/R1NQR3 b - -,b8c6
r4k2/4bp1p/p1p1p3/4p1r1/2N5/6P1/PPP2P1P/2KRR3 b - -,g5f5
r3k3/1p1n1pp1/p3b3/3pp3/3P4/1NPB1P2/PP1K2P1/3R4 b q -,f7f6
8/1q3k2/4pp2/3p2pp/1b1P4/1P2QNPP/1P3P2/5K2 w - -,e3d3
r4rk1/1p3pp1/2p4p/4P3/Pp1R1P2/8/1Pb1B1PP/5R1K w - -,d4b4
8/6R1/3rpp2/8/5P1b/4P2k/4K3/8 w - -,g7g6
Q3n1k1/8/7p/8/2PpP1K1/6p1/3BP2q/8 w - -,a8e8
2k2r1r/p2bnp2/1pn1p2p/3pP1p1/q1pP4/P1P2N2/R1PBBPPP/3Q1R1K b - -,f7f6
r1bq1rk1/pp1n1pbp/3p2p1/2P1p3/2P1Pn2/2N2N2/PPQ2PPP/R1BR1BK1 b - -,d6c5
2rqkb1r/1p3pp1/pn1p1n2/3Pp2p/2P5/1N2BP2/PP1Q2PP/R3KB1R w KQk -,a1c1
5r2/1pp1brk1/p3q1p1/P4p1p/2NpP3/3P1R1P/1PP3P1/Q4R1K w - -,b2b3
r3rb1k/pbq2pp1/1pp1p2p/4P3/2P2B2/3B2Q1/PP3PPP/3RR1K1 w - -,d3c2
r4rk1/pp1b1p2/1q1p4/3Pp2p/1P2P3/4QPP1/P7/R2N1RK1 b - -,f7f5
8/2b1k1pp/1p3p2/pPpnpP2/P1N3P1/1P3K1P/3B4/8 b - -,e7d7
2k5/6R1/2r3p1/4N3/8/4p3/8/4K3 b - -,c6e6
8/8/p1k1p3/1pb1Pp2/5P2/1PpB2P1/P3K2P/8 w - -,a2a4
8/1p1r4/p3qk2/4p1pp/P4p2/7P/1Q3PPK/2R5 b - -,g5g4
6k1/5pp1/5np1/3PQ3/4P3/1r2qB1K/6PP/8 b - -,e3h6
6k1/3R3p/3p2p1/5P2/4K1P1/b7/8/8 b - -,g6f5
rnbqkb1r/ppp1pp1p/5np1/3p4/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq e3,d5e4
r7/P3kp2/6pp/3R1n2/5P1P/1p4P1/1P3BK1/8 b - -,h6h5
8/8/1pP1p3/1P1pP1k1/6pp/4K3/r4RPP/8 b - -,d5d4
5r2/3Rn1k1/3NBbp1/1qp1p3/4P2p/6P1/5P1P/6K1 w - -,d6b5
4rrk1/7p/p3p1p1/1p1p1n2/1P1P1PQ1/P5N1/2q3PP/3R1R1K w - -,g3f5
r2r2k1/1b4pp/5p2/3p4/1p1R1N2/6P1/PP2PP1P/4R1K1 b - -,a8a2
2r3k1/6p1/1p5p/p1qP3P/5P2/2Q1R1P1/PP1r4/4R1K1 b - -,c5c3
r1b1k2r/1pq1ppbp/p1np1np1/8/3NP1P1/2N1BP2/PPPQB2P/R3K2R b KQkq g3,h7h6
1kr5/1pr2p2/p1nnp1p1/3p2Pp/3P3P/1PP2R2/PKB2PN1/4R3 w - -,e1d1
2r1r2k/ppN2pp1/3n3p/3Q4/8/qP4P1/2R2P1P/2R3K1 b - -,e8d8
4R3/1ppr2kp/2n3p1/p7/7P/2P3P1/1P2R1K1/8 b - -,d7f7
r2r2k1/1p1bqpb1/2p1p1p1/p4nNp/Pn1PN2P/1Q2P1P1/1P3PB1/2RRB1K1 b - -,b7b6
2r1k2r/1pqnbppp/pn1pb3/4p1P1/4P2P/1NN1BQ2/PPP2P2/1K1R1B1R b k -,b6c4
8/1r6/4n1k1/5pPp/1PK5/4B1P1/8/7R w - -,h1a1
8/7p/1kp3p1/p7/2Pr3P/RP3K2/8/8 w - -,f3g3
8/3k4/5p2/3B1P1P/2PPp3/2P1r1bN/8/7K w - -,h5h6
r1bq1rk1/1p3ppp/2n1pn2/p1bp4/2P5/P1NBPN2/1P3PPP/R1BQ1RK1 w - a6,c4d5:d1c2
4rr2/p1pb2kp/1p1p2p1/3B4/2P1R3/1P4P1/P3PPK1/3R4 b - -,d7f5
r3k2r/pp1n1pp1/1q2p2p/3p4/1b1P1B2/2PQ1N1P/PP3PP1/2KRR3 b kq -,a8c8
8/8/1r1p3R/3Pnpp1/3K1k1p/5B1P/6P1/8 w - -,f3d1
2r2rk1/2q1bp1p/3pPp2/3b4/1p2P1B1/8/1PPQ2PP/2KR3R w - -,e4d5
r4rk1/1bpnqpb1/1p4pp/p3p2n/P3P3/1NPBB3/1P1NQPPP/R3R1K1 b - -,a8d8
8/pp6/2p5/2K3k1/2PP3p/P5r1/1P6/7R b - -,g3b3
r7/1pp2kp1/p2p1pp1/4r3/4P2P/2P1RPP1/PP6/3R2K1 w - -,d1d5
3rr1k1/p4pbp/2p1p1p1/q1BpPn2/N2P4/1PP4P/P3QPP1/R3R1K1 b - -,f7f6
rnbqk2r/p3ppbp/3p1np1/2pP4/P1B1P3/5P2/1P4PP/RNBQK1NR w KQkq -,g1e2
8/5k2/1p1p4/p1pN4/P1P2PK1/1P6/3n4/8 w - -,d5b6
r3r1k1/1pq1bp1p/p2p1npB/4pP2/3n4/1BN5/PPPQ1PPP/R4RK1 w - -,f5g6
4r1k1/pppb2pp/2n2r1q/2b1pp2/8/1P1PP1P1/PBPNQ1BP/4RR1K b - -,g8h8
1R6/5pkp/3pp1p1/2n1qN2/2PbP1P1/r4Q2/P3KPB1/8 b - -,e6f5
8/3k4/7p/8/p1pPp3/2P1NnB1/Pr6/5R1K w - -,f1f2:e3c4
6k1/4R2p/8/p3p1p1/6r1/5pN1/P4P1P/6K1 b - -,g4a4
1r6/1b1r1pk1/6p1/p1p5/1pB5/4B3/PP3R1P/5RK1 b - -,f7f5
r7/5pkp/pppN1np1/8/1PP2n2/2Nb4/P4PPP/4RBK1 b - -,a8d8
r1b1nr2/1pq3kp/3pppp1/1R6/3QP3/2N3P1/P1P2PBP/3R2K1 w - -,d4b4
3r1qk1/3r2b1/6pp/1Bp2p2/Pn3B2/1P3Q1P/5PP1/1R2R1K1 w - -,b5d7
r2qk1nr/4bp1p/p1bp4/1p1p4/3BP1p1/1B6/PP2QPPP/R4RK1 b kq -,f7f6
r2Br1k1/pp3p1p/2pp2pQ/3P1n2/8/5P2/PPP2P1P/R3R1K1 b - -,e8e1
1r3b2/R4p2/4p1k1/3p2pN/3P2P1/4P3/5PK1/8 w - -,f2f4
3R2k1/5p2/5B1p/5p2/8/7P/5nPK/4r3 b - -,g8h7
r7/2pk4/R4bp1/5p1p/2P5/4PPP1/1r2NKP1/R7 b - -,a8a6
5rk1/p2q4/8/1PQn1p2/8/2p1P3/3p1BPP/5RK1 w - -,f2g3
4n3/8/2k2p2/2p1pP1N/1pP1P3/1K6/8/8 b - -,c6d6
r4r1k/5npp/2PP1p2/5N2/1p2P3/p5P1/1B4P1/2R3K1 w - -,b2d4
1B3rk1/4bp2/p1q3p1/2p3p1/2PnQ3/3P2P1/P4PKP/R4R2 b - -,f8b8
r1b2rk1/pp2qppp/4pn2/2b1n3/2N5/6P1/PPQ1PPBP/R1B2RK1 w - -,c4e5
r2Qnrk1/4bppp/4b3/2n3P1/4pB2/PpN5/1P4BP/1KNR3R b - -,a8d8
rn2r1k1/ppq3bp/4b1p1/2pBP3/2P2pnN/1P6/PBQN1P1P/R4RK1 w - -,h4g6
2r2rk1/pb1n1ppp/4pn2/2p5/2P5/P4NP1/3BPPBP/R1R3K1 w - -,d2e1
bq1r1bk1/3r1pp1/1p1np2p/pN2P3/P1P2P2/1P1R2PP/3Q2BK/3R4 w - -,b5d6
1R2N3/1p1rbk2/6p1/4P3/p3K3/8/8/8 w - -,b8c8
rn2kb1r/pp3pp1/2p1p2p/4P3/1n5P/2NQ1N2/PP3PP1/R1B1K2R b KQkq -,b4d3
4r3/8/p1pk1p2/2ppq1p1/P2nP1Q1/1P1P3R/2P1K3/2R5 w - -,e2f1
2Q1nk2/pp3Np1/2pb4/1q5p/8/1B4P1/PP3P2/5K2 w - -,f1g2
r2qr1k1/pppb1pbp/1n1n2p1/3Pp3/P3P2N/1PN3P1/2Q2PBP/R1B2RK1 b - a3,a7a5
5q2/p4rkp/4p1p1/2p1p3/2P5/1P1R1P2/P2Q2PP/6K1 w - -,d2e3
2kr3r/ppp2ppp/4pn2/2b4b/2Nq4/3PB2P/PPP1BPP1/R2QR1K1 b - -,h5e2
rnb3k1/1p3ppp/p2r4/3p4/P2N4/2N5/1PP2PPP/R3R1K1 b - -,c8e6
7r/1p1q1pk1/p2b4/3PppP1/P7/4BQ2/1P3PK1/3R4 b - -,f5f4
2r5/6p1/k4p2/3p4/8/2p1P3/2R2P2/3K4 b - -,a6b5
8/1p3k1p/p1p3p1/P2n4/3R4/5P2/1P3KPP/4r3 w - -,f2e1
2r2rk1/4pp2/p2p2p1/1p1P2Pp/n4P2/3BR2P/PPP5/1K1R4 b - -,a4b6
r4rk1/2pqbppp/p7/np1pP2b/3P4/2P2N1P/P1B1QPP1/R1BR2K1 w - -,g2g4
r6r/p1pk1ppp/6b1/2PpP1n1/3N4/1N3P2/PP4PP/2R1K2R w K -,c5c6
3rr1k1/1pp2pq1/1n1p2bp/pP2p1pn/P2PP3/1BP1Q1B1/3N1PPP/R3R1K1 b - -,g8h7
8/8/4k1p1/8/8/B4N2/P1r2bPP/5K2 b - -,f2e3
r1b1k2r/ppppb1pp/2n2n2/2q5/2Bp4/1P1Q1N2/P1P2PPP/RNB1R1K1 b kq -,a7a6
r1bqrnk1/1p4p1/2pb4/p2p1p2/3P3p/P1NBPP2/1PQn2PP/R3RNK1 w - -,c2d2
6k1/3rb2p/p3bpp1/Np2p3/1P2qn2/P3N2P/1BP2PP1/2R2QK1 w - -,c1d1
4b1k1/pp1qPp1p/5Pp1/8/1n6/R4QPP/P2b1P2/4RBK1 b - -,d2e1
3rr1k1/2p2pb1/2n2qpp/1pBb4/1P2p3/2PP1N1P/2B1QPP1/R3R1K1 w - -,f3d4
8/5p2/3b3R/2pnk3/8/1P6/P5PP/6K1 w - -,g1f2
r2q1rk1/1ppb1ppp/2npp3/p7/2PPn3/4PN2/PP1QBPPP/RN3RK1 w - -,d2c2
rr4k1/5ppp/2pp1q2/p2n4/PnBN4/5P2/1PP2QPP/1K1RR3 b - -,d5c3
r5k1/5p2/6n1/ppr1p2R/3PP3/5K2/R1PB1P2/8 b - -,c5c4
r2qk2r/1p1n1ppp/p1pbpn2/3p4/2PPN2N/4P1P1/PP2BP1P/R1BQ1RK1 b kq -,f6e4
r1b1k1r1/ppq1np1Q/2n5/8/2B5/P3PN2/5P1P/R1B1K2R b KQq -,c8e6
rn1qk1nr/1bppppbp/p5p1/1p6/3PP3/2NB1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1:c1g5
r2qkb1r/pp1b1ppp/1nn1p3/4p3/3P4/1B3N2/PP3PPP/RNBQ1RK1 w kq -,d4e5
8/2R4p/4k1p1/5p2/3bP2P/8/6P1/r3BK2 b - -,f5e4
r2qr1k1/pb2bppp/2p1pn2/2pp4/2P1P3/2NP1N2/PP2QPPP/R1B1R1K1 w - -,b2b3
rnbqk2r/pp2ppbp/6p1/2p1P1N1/3Pp3/7P/PPP2PP1/R1BQKB1R w KQkq -,e5e6:f1c4
5rk1/2q2bp1/pb1pprp1/1p6/1P2PNQP/2P2RP1/P5BK/5R2 w - -,f4h3
r3r1k1/pb1n1ppp/1qp5/2bpP3/1pnN1PP1/7P/PPP1N1BK/R1BQ1R2 w - -,b2b3
r1b2qr1/p2pn1bk/1pnNp1pp/8/2P1NPP1/4B3/PP1QB2P/3R1RK1 w - -,f1f3
r2q1rk1/ppp2ppp/2np1n2/4p3/2PP2b1/2N2NP1/PP1QPPBP/R4RK1 w - -,d4e5
r4rk1/p2q1bb1/2p1n1pp/1nP1p3/NR1p1pP1/3PPN2/P1QB1PBP/5RK1 b - -,f4e3
2r1kb1r/1bq2ppp/p1nppn2/1p6/4PP2/1NNBB1Q1/PPP3PP/R4RK1 w k -,a2a3
2k5/p1r4p/R1P3p1/8/8/7P/6PK/8 b - -,c8d8
r7/5pk1/4qbp1/2p1p2p/r1P1P2P/6P1/PRRNQPK1/8 w - -,d2f1
r3r1k1/p4pp1/2p1bn1p/q1bp4/N7/6P1/PP2PPBP/2RQ1RK1 w - -,c1c5
1r3r1k/3q2bp/3pb3/pp1N1p2/4pPP1/2P5/PP2Q1BP/R2R3K b - -,d7b7
2b5/8/1p1n1bk1/p1pPp3/P3Pp2/1PN2P2/4BB2/6K1 b - -,c8d7
rnb1r1k1/ppp2pp1/3b2qp/3P4/3P4/2N2N2/PP2BPPP/R2QK2R w KQ -,e1g1
2r2bk1/1p2r2p/p3p1p1/4Q3/PPP1P3/3P1R2/4K1PP/8 b - -,c8d8
2r1nk2/R5p1/2p3bp/1p1pB3/6P1/1BP1KP2/1P4P1/8 w - -,b3a2
6k1/1p3pp1/4b2p/2P1B1PP/5P2/p3K3/8/8 w - -,e3f3
6k1/8/5n2/2R2p1P/5N2/5PK1/8/6r1 w - -,g3h4
6k1/8/p3p3/3p1np1/2rP4/2N2P2/PP1R2PP/3K4 b - -,f5d4
r1bq1rk1/bp3ppp/p1n2n2/3p4/1P6/PN2PN2/5PPP/R1BQKB1R w KQ -,f1e2
4b3/2p3k1/1p1pnN2/p3p3/2P1P1K1/P5P1/7r/1B3R2 b - -,e8g6
r6Q/p1pqnk2/2pp4/7P/5p2/2P5/PP6/2K2bR1 w - -,g1g7
3rr3/pp2kpp1/2p4p/4P3/5P2/6P1/PP3K1P/3R1R2 w - -,f4f5
2r2rk1/1B1n1ppp/p7/P3pPB1/3b4/5q2/5PPP/1R1R2K1 w - -,g2f3
r2q1rk1/1p1b1pbp/3p1np1/p1nPp3/1P2P3/P1N1B2P/2B1NPP1/R2Q1RK1 b - b3,a5b4
8/3k4/3n2R1/6p1/7P/r5P1/5K2/8 b - -,d6e4
r2qk2r/1bp2p2/pp1p2pp/3P3B/2Pb1P2/2Q4P/PP6/R2K3R w kq -,c3d4
r2qk2r/bpp2pp1/p2pbn1p/3Np3/1PPnP3/P2PB1PP/4NPB1/R2QK2R b KQkq -,c7c6
5k2/1pr1q3/p1b1P2p/3p1p2/2nN1P2/Q3P2P/P1R3PK/2R5 w - -,a3e7
3r3r/pkn4p/3p2p1/1pn5/3N2Q1/2P1BP2/q1bR2PP/4KB1R b K -,a2b1
r2qk2r/pb2bp2/2p1pnn1/1p5p/2pPP1pP/2N1N1B1/PPQ1BPP1/3R1RK1 b kq -,e8g8
rnb1kb1r/pp1p1ppp/1q2p3/2p5/3P1B2/2P1P3/P1P2PPP/R2QKBNR w KQkq -,g1f3
r1b2rk1/pp1n1ppp/3b4/2n1BN2/4p3/1P4P1/P3PPBP/R2R2K1 w - -,e5d6
2rr4/1p2bkp1/p1p1p1p1/3q1pP1/1P1PnP1P/4PB2/P3Q3/1RR1B1K1 w - -,e2g2
r1b2rk1/5p1p/2p1q1pQ/1pp1p2n/p3P1N1/3P3P/PPP1NPP1/1K1R3R b - -,a4a3
3r4/1pk2p1n/2p2P1p/1p2P2P/1P4B1/4K3/PP3R2/8 b - -,d8e8
6k1/7p/p3N1p1/1p4P1/P3B3/1P4K1/r6P/8 w - b6,a4b5
8/p4b1p/1pp5/8/1P1k2N1/P5PP/7K/8 b - -,d4c3
5rk1/p1Q2ppp/1p2p3/n7/4BP2/1P4P1/P2qnP1P/5R1K b - -,d2a2
r1r3k1/1b1nbpp1/3p3p/pp1PpP2/qP2P2P/P2Q2P1/2N2BB1/2R1R1K1 w - -,g2f1
rnb1k1nr/1p1p1pp1/p1qb3p/2p5/4B3/2N1BN2/PPP3PP/R1Q1K2R b KQkq -,c6c7
5r1k/6pp/2N1b3/1p2p3/8/1Pnp2P1/P2R1PP1/2B3K1 w - -,c1a3
8/1p4p1/p1p1k2p/4P3/P2PK2b/7P/1P1B4/8 w - -,d2b4
2kr3r/1bq1bp2/pp1p2p1/3Bn3/P3PB2/1NN5/1PP3QP/5R1K w - -,f4e5
8/5r1k/3N1p1p/2R3pP/1p2r1P1/3R2K1/P7/8 b - -,f7d7
r1q1kbnr/pp1n1ppb/2p1p2p/4P3/2BP3P/P1N3N1/1P3PP1/R1BQK2R b KQkq -,g8e7
r1bqk2r/ppp1nppp/3p1n2/3Pp3/2P5/2PBP3/P3NPPP/R1BQK2R w KQkq -,e2g3
1r5k/2p2p2/1r1p4/p1p1n1p1/Q1B1PqPp/2P2P2/PP3R1P/5R1K w - -,b2b3
8/p3Nk2/7p/1pp2p2/2P2K2/6P1/PP5P/8 b - -,f7e7
8/8/5p2/5kp1/1K6/1p1R1PBp/1Pb3nP/8 w - -,d3b3
rn3rk1/pb2q1pp/1pp1pn2/3p1p2/2PP1N2/1P4P1/P3PPBP/RN1Q1RK1 w - -,b1d2
5bk1/p2r1p2/1p4pp/2p1n3/2P1N3/1P2P1PP/P4PB1/5RK1 b - -,g8g7
8/8/p3k3/1p1p3p/PPnP4/2N2PP1/5K2/8 b - -,a6a5
