8/8/8/2p5/2k5/6R1/4r3/3K4 b - -,e2f2
r4rk1/p2b1p1p/1p6/7q/3NQ3/2P3P1/P6P/R4RK1 w - -,d4f5
r5k1/p2q1ppp/1p3b2/1b1p4/3P1P2/P1B5/1P2Q1PP/2R2RK1 w - -,e2f3
r2q1rk1/3b1pbp/p1pp4/1n1Pp1P1/2Q1P2P/2N1B3/PP1N1P2/R3K2R b KQ -,b5c3
3qr1k1/pbrnbpp1/1p1p1n1p/3PpB2/1PP4B/P4N1P/3N1PP1/2RQR1K1 w - -,h4f6
8/p2q2k1/1p1P1p2/2n2p2/P2Q1P2/1P4P1/4B2P/6K1 b - -,c5b3
2r1kb1r/1pqb1pp1/p2ppn2/7p/3NPPn1/2N2B2/PPPQ2PP/R4RBK w k -,a1e1
4b3/pq4kp/3Q4/8/4p3/2P1N3/1P1K1PPP/8 w - -,d6e5
5rk1/5pp1/1q2r2p/p3P3/Pp2QR2/7P/1P4P1/4R2K w - -,e4c4
8/1b2ppk1/3p3p/5P2/Pq2P2P/2N5/1P3Q2/4K3 w - -,f2g2
r1bqkb1r/pp2pppp/2np1n2/1B6/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq -,c8d7
n1B3k1/b4pp1/P2p3p/B2P4/P1P4P/6P1/5PK1/8 w - -,c8d7
r5k1/pp2qR1p/3p2p1/1n1P4/4P1B1/4b1PQ/8/B5K1 w - -,g1h2
r3rbk1/Pp1n3p/2p3p1/2Pp1p2/3P1P2/1N2PB2/1P1K3P/R5R1 w - -,g1e1
5R2/8/8/2p1BP2/2kpb1K1/5r2/8/8 b - -,d4d3
8/2rB4/2P2p2/2P2P2/1k1PK3/8/8/8 b - -,b4c4
8/5nk1/3p4/7P/6P1/5PK1/8/8 w - -,f3f4
r7/1b4pp/1k2pp2/4b3/1P4P1/4nP2/3RK2P/3B3R b - -,a8a3
3b2k1/r3nrp1/4p3/p1NbPp1Q/1p3P2/7P/PP5K/2R3R1 b - -,d8b6
8/5pk1/3R3p/5p2/5P2/3n2PP/1P1Nb3/4rBK1 w - -,g1g2
8/5bpk/5p2/8/1P3R1P/1NK2P2/8/1r6 w - -,b3d2
r4q1k/2p3bp/p1n3p1/4p3/1p1P4/4BN2/PP2BPPP/R4RK1 w - e6,d4e5
2r1nrk1/p3q1b1/Q2pb1p1/N1p1pp1p/1B2P3/2N5/PPP2PPP/3RR1K1 w - -,b4a3
8/8/p3k3/PpPp4/4pp2/2P5/3K4/4Bb2 w - -,e1h4
rnb1r3/1p2qpbk/p2p3p/2pP2pP/P1P1N1P1/4BP2/1P1QN3/R3K2R b KQ g3,b8d7
rnbq1r2/p5kp/1p2pb2/2pp1pp1/2PPN3/1Q2P1P1/PP3PBP/R1B1NRK1 b - -,f5e4
r2qkb1r/3b1pp1/p1nppn1p/1p6/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w kq b6,a2a3
2k3r1/pb1n1p2/3p4/1ppPqB2/2P5/P1P2Q1R/1K1R2P1/8 b - -,g8e8
rn1qkb1r/ppp2ppp/4pn2/3p1b2/5P2/1P2PN2/PBPP2PP/RN1QKB1R b KQkq -,b8d7:f8e7:f8d6
8/3N1b2/1kp5/p5R1/P1pK4/6P1/1r6/8 b - -,b6c7
4r1k1/pqn2p1p/1p2r1p1/3p4/P1pP4/2P1P3/2QBRPPP/4R1K1 b - -,b7c6
r4rk1/p7/Q2pbq1p/4bpnB/2P1pN2/1P2B1PP/P4P2/3R2RK b - -,e6f7
r3r1k1/3p1p1p/b5pb/2pP4/PnB1q3/1P2PN2/3Q1KPP/R2NR3 w - -,a1c1
rq1r2k1/1p3pp1/p1npbn1p/P3p3/R3P3/2NQ4/1PPNBPPP/5RK1 b - -,d6d5
r3rbk1/1q1b1p1p/6p1/3pB3/8/1n3N1P/P3RPP1/3QR1K1 w - -,a2b3
4b2k/8/5pPB/1p5K/6P1/3p3P/1P4r1/8 w - -,b2b4
r2qr2k/3b2pp/2p1p1n1/1pPpPpb1/pP1P4/P2BP2Q/4N1PP/R1B2RK1 b - -,e8f8
4b3/1rp2rk1/p3qn1p/2Rp1ppP/3Pp3/B3P1N1/P1Q2PP1/2R3K1 b - -,f5f4
R7/1p1rbk2/1r4p1/p3pp1p/7P/P2P2P1/1PR1PPB1/6K1 b - -,b6a6
1r2r1k1/1pp1bppp/p1nqp3/3n3b/3P4/2PN1N1P/PP2BPP1/R1BQR1K1 w - -,a2a3
r2q1rk1/1b2bppp/p1n2n2/1p2pP2/4P3/1NPB3P/P2NQBP1/R2R2K1 b - -,b5b4
r1bqr1k1/pp2ppb1/6pp/8/1B1Pp3/4P3/PP2BPPP/2RQ1RK1 w - -,e2c4
2r1k2r/1pqb1ppp/pn1bp3/8/3P4/P1PB1N2/2Q2PPP/R1B1K2R w KQk -,c1d2
r2qkb1r/1b1n1p1p/p2pp1p1/2n5/1p1NPPPP/3BBQN1/PPP5/2KR3R b kq h3,f8g7
r3k2r/ppqnbp1p/2p1p1b1/3pP2p/3P4/2P2N2/PP1QBPPP/R1N2RK1 b kq -,e8c8
2r1k2r/p3bppp/p1bppn2/6B1/4P2P/2N2N2/PPP2PP1/2KRR3 w k -,f3d4
8/1p3pk1/2p2b1p/pPP3pP/P3Q3/2q1PBP1/5PK1/8 b - -,c3c5
2r2k2/3n1p2/1p1P1npp/p4B2/P1pR1P2/2P4P/1P6/4R1K1 w - -,f5b1
r4rk1/1p2bppp/1n1p2n1/1NpP4/2PB2B1/1P4P1/7P/2KR3R w - c6,d4c3
4b3/N7/1n5p/1Pk5/4KP2/8/4B3/8 b - -,b6d5
2r2r1k/1p1q3b/p2p2pQ/3P3R/1PP1Pnp1/3B2K1/2RN4/6B1 b - -,f4h5
8/p4k2/8/1p1r1p2/2p2P2/P1Kb3p/7B/2R5 w - -,c3b4
1kbrr3/2p3pp/pp1b1pn1/2p5/4PN2/P3BP2/1PP1N1PP/2KR3R b - -,g6f4
r1bqrbk1/pp1n1ppp/2pp1n2/4p3/3PP3/2N2N1P/PPP2PP1/R1BQRBK1 w - -,a2a3
rnb2rk1/pp2qpp1/2p4p/3p4/3Pn3/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1d3
r2qk2r/pppnnpbp/4p1p1/3p4/3P1P2/2PB1NP1/PP3P1P/R1BQK2R w KQkq -,e1g1
r4rk1/1b1nq1p1/pp1ppn1p/2p2p2/P2P4/2P1PN1P/1PQNBPP1/3RR1K1 w - -,e2d3
8/pp4pp/2b2k2/8/1P5P/P1R3P1/3r4/5K2 b - -,f6f5
4R2k/1p5p/1N6/6pb/2B2n2/7P/PP4P1/6K1 b - -,h5e8
4k2r/5p2/4p2p/3pP3/p1pP2Pp/bb2R3/2B2PK1/N7 b k -,e8e7
r7/5rk1/2N3p1/4p2p/1p1b4/1P5P/P3RPP1/5RK1 b - -,d4c3
r1bqk1nr/bp3ppp/p1npp3/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 b kq -,g8e7
rnb1k2r/pp1pppbp/1q6/2pP1p2/8/2P1P3/PP3PPP/RNQ1KBNR b KQkq -,e8g8:e7e6
2q1kbr1/1p1b1pp1/1nr1p2p/B2pP2N/3P4/nP1B1N2/R4PPP/3Q1RK1 b - -,b6a8
2r2rk1/ppq2pp1/4p2p/2Ppn3/P2B3P/Q1P5/2P2PP1/1R3RK1 w - -,d4e5
r1bqk2r/p1npppbp/2p3p1/4P3/2PQ4/5N2/PP3PPP/RNB1R1K1 b kq -,e8g8:d7d6:c7e6
6k1/8/4p3/4N1b1/8/P3n1K1/1R6/7r b - -,g8g7
8/2bnk3/p3p2p/2p1p1p1/B1P1P3/3K1PP1/1P1B3P/8 b - -,d7b8
1r1q1rk1/4ppbp/3p1np1/1pp5/2BnPP2/2NPB2P/1PP2QP1/R4RK1 w - -,c4a2
7k/8/7K/4R3/8/1b6/8/8 w - -,e5e8
4k3/7p/3R1K1b/p1rBP3/1p3P2/1P6/8/8 b - -,c5c8
1rb1k2r/p1q2ppp/2p2P2/3np1B1/4N3/3B4/PbP1Q1PP/3R1RK1 b k -,g7g6
r2q1rk1/1bp1np1p/pp3bp1/3p4/1P1P4/P1NBPN2/3Q1PPP/2RR2K1 b - -,f8e8
4r3/8/3k4/p4Bp1/N1P2pp1/6P1/5K2/8 b - -,e8e3
3q2k1/p1r2pp1/2P1n2p/3r4/8/4Q1P1/P1R1BPP1/2R3K1 b - -,e6d4
r2q1rk1/p4ppp/5n2/2ppbBB1/8/8/PPP2PPP/R2Q1RK1 w - -,c2c3
r1b2rk1/1pp3pp/3p4/1Pn3q1/2P2pP1/1N1P3P/2Q1P1B1/2KR3R w - -,g2f3
3r1rk1/p1q2ppp/4b3/4P3/1n1pP3/1P1P2P1/3Q2BP/1R2NRK1 b - -,c7c3
4k3/4bn1p/5p2/3R1p2/1P1N4/5KBP/6P1/1r6 w - -,b4b5
8/5k1p/1N4p1/8/3p4/5P2/r4KPP/8 w - -,f2f1
3k4/3q2p1/5p1p/2r5/4B3/5QP1/5P1K/8 w - -,e4g6
rn1qk1nr/pp3ppp/2pbp1b1/8/2BP4/6N1/PPP1NPPP/R1BQK2R w KQkq -,e1g1:h2h4
8/pb1r1pkp/1p4p1/8/8/PPR1B2P/5PPK/8 w - -,h3h4
r1bq1rk1/pp4pp/2n1pn2/2bp1p2/2P2B2/2N1PN1P/PPQ1BPP1/R3K2R b KQ -,d5d4
6k1/1pp3pp/p3b3/4N3/4p3/1P5P/P5PK/R1Br4 b - -,e4e3
5r1k/4Q2p/p3p2q/5p2/8/6RP/PP4P1/6K1 w - -,e7d6
5r2/6k1/2BpQqp1/p1PP3p/P3p3/4B2P/4n1PK/8 b - -,h5h4
1r2kb1r/p1pp1pp1/2n1q2p/2p1P3/5B1P/P1Q2NP1/1PP2PK1/R6R b k -,e6d5
r3r1k1/p4pb1/1np3qp/2Np1bp1/3P4/1P2B1P1/P4PBP/R2Q1RK1 b - -,b6c8
r1r3k1/3nq1bp/2npp1p1/1p6/4PN2/4BP2/PP3Q1P/1BR2R1K w - -,a2a3
r1bqk1nr/pp1pppbp/6p1/1Bp5/3NPP2/8/PPPP2PP/RNBQ1RK1 b kq -,c5d4
8/8/P7/8/4pp2/5k2/5r2/1R3K2 w - -,f1e1
r3r1k1/1p3p1p/p1n1b1p1/q7/PB2Q3/3B4/1P3PPP/RN3RK1 b - -,c6b4
5r2/p5kp/1p4p1/1P6/4B2P/6P1/r4P2/5RK1 b - h3,a2e2
6k1/1p2RpPp/2pp4/8/2Pn4/1P3B2/r4KPP/8 w - -,f2g1
r4rk1/5ppp/1qnp4/p2Qp1b1/1pP1P3/5B2/PPN2PPP/R4RK1 w - -,f1d1
r1q2rk1/ppp2pbp/2n3p1/4P3/4P1n1/2P2NP1/PP1N2KP/R1B1QR2 w - -,d2c4
8/4r2k/7p/p3R3/2P5/bP2P3/P3K1RP/8 b - -,e7e5
rnb1k2r/ppp2p2/3p1q1p/4p1p1/3PP3/P1P3P1/2P2PBP/R2QK1NR w KQkq -,a1b1
8/5b1N/6p1/p1n1k1P1/4p3/1P2K3/8/3B4 w - -,h7f8
2r1kb1r/qbR1n1pp/p3Pp2/P2p4/1p1N1B2/6P1/1PP2PBP/R2Q2K1 w k -,c2c4
r7/ppr1qkpp/4p3/2PpPp2/1Q1P1P2/5R2/P3P2P/1R4K1 w - -,f3g3
2q4k/2p3pp/r5n1/P2P1nP1/1BQ2p2/5N1P/5PB1/6K1 b - -,a6a8
8/8/6p1/5kP1/8/5K2/8/2b3R1 b - -,c1g5
rnb1k2r/1p2qpp1/2p1pn1p/p3P3/2PP4/5NP1/PPQB1PBP/R3K2R b KQkq -,f6h7
r1bq1rk1/1p2bppp/4pn2/pP1pn3/2P5/P1NBPP2/2Q3PP/R1B1K1NR w KQ -,c4d5
2r1kb1r/pp2p2p/6p1/3Ppb2/q1P5/P3QN2/1P1R1PPP/2K2B1R b k -,b7b5
8/8/8/P4p2/2P1p3/3r2P1/1k2KP2/2R5 b - -,b2c1
1rq1k2r/3b1pp1/1b1Bn3/pN2R2p/8/3Bn3/1PP1Q1PP/4R2K w k -,d6a3
3rr1k1/7p/1p2bBq1/2p5/p3PRnP/P1Q3P1/1P4B1/5RK1 b - -,d8d7
r1b1R3/1p3kb1/1Bn3p1/p2p3p/P6P/4R3/5PP1/6K1 b - -,d5d4
r2q2k1/1b1r1pbp/p3p1p1/1p6/3P1Q2/P1P2N2/4BPPP/3R1RK1 b - -,a8c8
rn1q1rk1/pbpp2pp/1p2p3/5p2/1bPPnN2/2NBP3/PPQ2PPP/R1B1K2R w KQ f6,e1g1
2r4k/1p3pp1/p1p1r3/P7/1P1Ppn2/4PPqP/2Q3P1/4RR1K w - -,e3f4
2rr2k1/p2bbppp/1p2pn2/2n1N3/8/2N1B1P1/PP2PPBP/3R1RK1 b - -,d7e8
r2bn1k1/1q1b1ppp/3pp3/1P6/1NP1P3/4BP2/3QB1PP/2R3K1 b - -,a8a3
r1bRR3/pp3kp1/3n2p1/8/3P4/8/PP3P1P/7K w - -,e8e1
3r1b2/pp4p1/6k1/3pP2p/2pB4/5PP1/PP3P1P/3R2K1 b - -,g6f5
8/6k1/6p1/3p4/PppP4/4PR2/1P1K1P2/7r b - -,h1b1
rnb1qrk1/ppp2ppp/8/6B1/1bBPn3/2N5/PP2NPPP/R2QK2R w KQ -,g5e3
r5k1/5ppp/2p5/pb1p4/8/P1P1BPP1/1R4P1/6K1 b - -,a5a4
2Rq1rk1/1b2bppp/pn2pn2/1p6/1P1N4/P2BP1N1/1B3PPP/3Q1RK1 b - -,d8c8
2rr2k1/1pp2qpp/p3bp2/2Pn4/3R4/P5P1/1BQ1PPBP/2R3K1 b - -,c7c6
r1bqk2r/ppp2pbp/2np1np1/4p3/3PP3/2PBBN1P/PP3PP1/RN1QK2R b KQkq -,e8g8
4r3/pb3k2/1p1q1pp1/2pP3p/2P2P2/6PB/P2Q1K1P/4R3 b - -,e8e1
r2k4/p6p/R7/3P1p2/PPK3p1/4B1P1/5P1P/1r6 b - -,a8c8
r2q2k1/pp3r1p/2p3p1/P3bpP1/3P4/B3P3/6QP/R4RK1 b - -,e5g7
r1bqkbnr/1p2pp1p/p1n3p1/2p5/3pP3/3P1NN1/PPP1BPPP/R1BQK2R w KQkq -,a2a3
3r2k1/3r1p1p/pp4pb/4p3/2Pp4/1P3RN1/P4qPP/4R1K1 w - -,g1f2
6r1/8/3k4/5PK1/7P/8/8/4R3 w - -,g5f6
1Q6/5p1k/3p3p/3PP1pP/8/2b3P1/3r1P2/qBK2R2 b - -,h7g7
r1bq1rk1/p2nbppp/1p3n2/2pp4/3P4/1PNBPN2/P1Q2PPP/R1B2RK1 w - -,c1b2
8/2R3b1/pp4pk/r4p1p/8/P6P/1P1N2P1/5K2 b - -,g7b2
1krr4/1q2b1pp/2bp1p2/ppn1pPP1/4P2P/P1NBB3/1PP3Q1/1K1RR3 w - -,g2e2
6k1/pp3ppb/4pn1p/3pN3/8/1PrP2PP/P3PPB1/4R1K1 w - -,e5f3
1r1r3k/1p3p1p/p4p2/2bBp2b/7N/2PR4/PP3PPP/4R1K1 b - -,d8d7
1rbqr1k1/p1n2pbp/3ppnp1/1ppP4/2P1PB2/P1N2N2/1PQ1BPPP/R3R1K1 w - b6,f4d6
8/p4ppp/Pr6/2kp4/8/4K1P1/R4P1P/8 b - -,b6b3
1r2qrk1/5ppp/B1NPp3/2Pn4/pP1Q4/7P/5PP1/RR4K1 b - -,e8c6
4rk2/5pq1/1pp1r1p1/p2nP1P1/5P2/5R1Q/1P5P/1B3R1K b - -,f8e7
8/pp4k1/2n5/5p2/4pPp1/2P1b1B1/PP4P1/3B3K w - -,g3h2
1r5r/3bq3/4p1k1/1pRp1pb1/1P1P2p1/1Q2P1P1/2R4P/4BBK1 w - -,c5c7
rnbqk2r/pp1pbppp/4p3/4P3/3N4/3B4/PPP2PPP/RN1QK2R b KQkq -,d8a5
r5k1/5p1N/3qpP2/1p6/1n1p2PP/3p3K/1P1Q4/1R2R3 b - -,g8h7
5kbR/p1p4P/3p2r1/5p2/P7/1P3K2/8/8 b - -,g6g7
r2r1nk1/1bq1b1pp/p3p3/1ppnPp2/7P/2P2NNQ/PP3PP1/R1B1RBK1 w - -,g3h5
2r3k1/p4r2/1pqnnp1B/4p2p/4P1pP/2PB1RQ1/P1P3P1/5R1K b - -,e6g7
8/8/2B4p/2n2pp1/3k3P/5KP1/8/8 b - h3,g5h4
3rr1k1/1bqnbp1p/p1p1p1p1/4P3/Pp3PQ1/2NBB2R/1PP3PP/5RK1 w - -,c3e4
2b2r2/5pkp/p1p3pn/2N1p3/P1N5/3PP1P1/1r3P1P/R4RK1 b - -,b2c2
1rbq1rk1/1pn1ppbp/p1pp1np1/8/P1PPP3/2N2NPP/1P2QPB1/R1B2RK1 b - -,b7b5
1r2k2r/pp2ppbp/6p1/n1p2nP1/2P5/1N2P1P1/PP3PB1/R1BR2K1 b k -,a5c4
1k1rr3/ppqn1pbp/2p3p1/4pPPn/4P3/2N1B2P/PPP2QB1/2KR3R b - -,b7b6
8/4bpp1/p3r2k/Bp1R3p/1P6/6KP/5PP1/8 w - -,g3f3
3k4/5b2/8/8/1Q6/6P1/2r4P/6K1 w - -,b4f8
r2q1rk1/p2nppbp/1pp2np1/3p1b2/1PPP4/1Q2PN2/PB1NBPPP/R4RK1 b - -,f8e8
5k2/6p1/1rb1pp1p/pn1p4/2pP4/2P1P2P/PrB2PP1/RN2N1K1 w - -,g1f1
r1bqk2r/pp1n1ppp/3b1n2/3pp3/3P4/1PN1PN2/P1Q2PPP/R1B1KB1R w KQkq -,c3b5
8/8/5R2/2pk4/5K2/8/8/4r3 w - -,f6a6
r1bqk2r/ppp1npb1/2np2p1/4p2p/2P5/P1NPP1P1/1P2NPBP/R1BQK2R b KQkq -,c8e6
r2q1rk1/p3bppp/1nbp1n2/4p3/p3P3/2NBBN2/1PP2PPP/R2QR1K1 w - -,f3h4
2b1r1k1/3n1pbp/2n3p1/ppq1p3/4P3/1P1B1N1P/PB2NPP1/Q2R2K1 b - -,b5b4
r2r4/1p2ppk1/2q3pp/8/p4n2/2P2N1P/PPQ2PP1/R4RK1 w - -,g1h2
3B1k2/6p1/2Bnpp2/p6p/1b1Pp3/1P3P1P/4K1P1/8 w - -,f3e4
5rk1/5p1p/3npqp1/p1rp4/Q7/3B4/PP3PPP/1R1R2K1 w - -,a2a3
8/3b4/p1p5/1pPpKpk1/1P1P4/P2BP3/8/8 w - -,e5d6
r2r2k1/3qbppp/p1p1p1n1/1P5Q/1PPP3P/2BB2P1/5PK1/2RR4 b - -,a6b5
1r4k1/4q1b1/p5p1/3b3p/4Np2/3P1N1P/1P1RQ1PK/8 w - -,f3g5
r3n1k1/1pqn1pb1/p5p1/P1pPp2p/4P3/2N1BP2/1P2Q1PP/R1R3K1 w - -,c3a4
r2q1rk1/pp3ppp/2n2n2/4p1N1/1pP3b1/3BP3/PPQN1PPP/R4RK1 b - -,h7h6
r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P1P3/2NPBN2/PP2BPPP/1R1Q1RK1 w - d6,e3f4
2kr1n1r/1b1n1ppp/pq6/3pPP2/1p1P1N2/3BQ3/P5PP/R1B2RK1 w - -,e5e6
8/8/8/5r2/4k2P/8/5RK1/8 w - -,f2e2
r4rk1/pbqnbppp/1p1pp3/8/2PBP3/1P4P1/P3QPBP/RN3RK1 w - -,f1d1
8/8/1ppk3p/8/P7/2P3P1/1K2R2P/6r1 b - -,d6d5
8/2p4p/r1n2R1P/p1B1P3/P5k1/1P6/8/2K5 w - -,e5e6
3r4/1k3p2/p2qp3/5npr/3p3p/QPpR1N2/P1P2PPP/1K1R4 w - -,a3a5
