8/2K4p/2p4P/P6k/2PPb3/4Qp2/1r6/8 b - -,f3f2
2q1r1k1/1p1brppp/p2p1b2/P1pP2n1/2P2BP1/3B1P1P/RPN4K/3Q1R2 b - -,f6e5
8/3k2p1/p2r4/P6R/4K2P/4P1P1/r7/2R5 b - -,d6e6
r1bqr1k1/pppnbppp/1n6/1N4P1/1P1Qp3/PN2P2P/1BP2P2/R3KB1R b KQ -,e7f8
4r3/pp4p1/8/8/3Rbk2/8/PP1K1p2/4R3 w - -,e1f1
4k2r/p2q1pp1/1p2p3/n2pP1Bp/1brP1P2/2N2R2/PP1Q2PP/R3K3 w Qk -,a1c1
8/7p/5k2/8/8/2K5/8/8 w - -,c3d3
8/6R1/2pk3p/1p6/1P2p1P1/7P/2n2P2/6K1 b - -,c2b4
r1b2rk1/pp1n1pbp/2p5/3NpPB1/8/3P1N2/PP4PP/R4RK1 w - -,f5f6
3r1r1k/1p2q1pp/p1pbb3/5p2/1Pn2B2/P1QN2P1/4PPBP/1R3RK1 w - -,f1d1
5r1k/pp2b1pp/4p3/4P3/b1pP4/2P1NP2/3B3P/4R1K1 w - -,e1a1
r4rk1/pp6/nnp1p3/4q1pP/2p1P3/P1N1B3/1P2QP2/R2R2K1 w - -,e2g4
r1q2r1k/1b3p1p/p6Q/5p2/P2NP3/3B4/1PP3PP/R6K b - -,f7f6
6k1/1B3ppp/8/p1B5/8/PP6/3b1P2/5K2 b - -,h7h5
5bk1/4qr1p/pB4p1/p2Q4/P7/1P3n2/2P2R1P/3R3K b - -,f3e5
r1bq1rk1/pp1np1bp/2p1p1p1/3p4/5B1P/2N1P3/PPP1BPP1/R2QK2R w KQ -,h4h5
1r6/Rb2kp2/2p5/8/P7/2B4P/5PPK/8 b - -,e7e6
r1bqr1k1/pp3ppp/3p1nn1/2pPp3/2P1P3/P1PB3P/2Q1NPP1/R1B2RK1 w - -,g1h2
rnbq1k1r/pp1pbppp/3N4/2p5/3p4/5N2/PPPQPPPP/R3KB1R w KQ -,d6f5
8/5p2/4p1kp/4K3/3P2P1/3rPP1R/8/8 w - -,f3f4
2r2rk1/3p2p1/pq2p2p/2b1P3/1pPNb2Q/3R4/2P2PPP/4R1K1 w - -,e1e4
r1b1kb2/pp3p2/2n5/3p3q/1p6/1P1PPN2/PBP2QP1/R3K3 b Qq -,c8g4
1r6/R4p2/P1R2pkp/4p3/r7/5K1P/6P1/8 w - -,a7d7
4r1k1/5p2/5B2/3R3p/6bp/8/5P1K/8 w - -,f6h4
5r2/3b1qnk/1b1p1pp1/pp1Pp2p/1P2P1PP/P2B1PQ1/4N1R1/2N4K b - -,a5b4
3qr1k1/r3bp2/2p1n1p1/P1P1p2p/NB1pP3/3B2Pb/4QP1P/1R2R1K1 b - -,g8g7
r6k/1p4pp/2p1Qpn1/p6P/2P5/PP3Pq1/6P1/R4BK1 b - -,g6f4
8/7k/p4qrP/1p1p2pQ/3PrpR1/2P5/8/2B2RK1 w - -,c1d2
2rq1rk1/p2nbppn/bpp1p2p/8/2PPN3/1PN3P1/PB3PBP/1R1QR1K1 w - -,d4d5
2qr1bk1/pr3ppp/4n3/2pNP3/8/1P2BNP1/P1Q2PKP/3R4 w - -,f3g5
2r5/1p6/2rk1pp1/3p3p/3Pp2P/2R1P3/PP1K1PP1/2R5 w - -,a2a4
r3r1k1/1p1b1pb1/3p1np1/q1nP2Pp/p1P1p3/P1N1BP1P/1PBNQ3/R4RK1 b - -,f6h7
3r1rk1/5pbp/nq1Ppnp1/4B3/Rp1P4/1B6/1P2NPPP/3QR1K1 b - -,f6e8
3r1rk1/6q1/p1np1b1p/2p3p1/4P3/1P2RNQP/5PP1/3R1BK1 w - -,f1c4
8/R3k2p/8/1pP5/8/5b2/2r5/5K2 b - -,e7e6
r1b1qrk1/6b1/p1Np1nn1/1p1Pp2p/4Pp2/5P2/PP2B1Pp/2RQNRBK w - -,g1f2
r1bqkb1r/ppp2ppp/2n1pn2/8/2B1N3/2N5/PPPP1PPP/R1BQK2R b KQkq -,f8e7
r2qk2r/pQp2ppp/2n1b3/2bnp3/2B5/2PP1N2/PP3PPP/RNB1K2R b KQkq -,e8g8
r7/pp6/1k2Q3/2q2B2/8/4pP1P/6P1/6K1 b - -,c5c6
3r4/Q4p2/p2p1Pp1/1k1q4/Pp6/8/1PP4P/1K2R3 b - a3,b4a3
8/1p6/3k4/p3p3/2P3Pn/4K3/PP6/8 w - -,e3e4
8/5pkp/6p1/1p2Q3/2qpP3/5PP1/PPr1PK1P/R7 b - -,g7g8
r2q1rk1/pp1n1pbp/2p3p1/3np3/3P2b1/2P2NP1/PP1N1PBP/R1BQR1K1 w - e6,h2h3
8/5pk1/7p/p1p3p1/1pP3P1/1P3P2/P2R2P1/4r1K1 w - -,g1f2
2r3k1/p3Br2/4pP1p/P2pP1p1/2qQ2Pn/1RP5/7P/5RK1 w - -,d4c4
8/8/4k3/R7/pr4p1/8/5K2/8 b - -,e6d6
1r6/8/8/5p2/8/4pbk1/7R/R4K2 w - -,f1g1
2rr2k1/1q1b1pb1/p5pp/4P2n/2p5/2B1QN1P/PPB2PP1/3RR1K1 b - -,d8e8
r1b1r1k1/ppp1q1bp/1nn3p1/5p2/P1N1p3/1P2P1P1/1BPNQPBP/R4RK1 w - -,c4b6
r1b1k2r/1p1p1ppp/p3p3/6P1/3Qn3/2q1BN2/P1P4P/R3KB1R w KQkq -,d4c3
2r3k1/p4pbp/1p4p1/3pp3/qPr5/2PQP1P1/1B1R1P1P/2R3K1 b - -,d5d4
8/p3kp1p/4b1p1/2N5/1rn1P3/1N3PP1/P6P/R5K1 w - -,a1c1
6rk/p2n4/bppN1p1p/2p2N2/4PP2/1P1P1K2/P1P3r1/4R2R b - -,g8g6
rnbqk2r/pp4pp/2pbpn2/3pNp2/2PP4/4P3/PP1N1PPP/R1BQKB1R w KQkq -,f2f4
r2qk2r/ppp1nppp/1bn5/6B1/2BpP1b1/1N3N2/PP3PPP/R2Q1RK1 w kq -,e4e5
6k1/5p2/P1B4p/1p3Pp1/1Ppb2P1/8/6K1/8 w - -,c6b5
r5k1/1r1p1ppp/2b1nn2/2ppb3/8/1PNBPPB1/P3N1PP/2RR2K1 b - -,e5g3
r5k1/1bq2ppp/p1nRp3/2p1P3/4N3/8/PPB1QPPP/6K1 w - -,e2h5
1r4k1/4bpp1/R3b2p/4p3/N2qP3/3B2QP/1P4PK/8 w - -,a4c3
5r2/1Q1kbp2/4p1pp/2p1P3/2P5/1P4BP/2q2PPK/8 b - -,d7d8
2rk4/R2b2pp/1P2p3/2KpPp2/B1p2P2/2P3P1/7P/8 w - -,c5d6
r3k2r/pp1nbpp1/1qp1pn2/7p/2PP4/5N2/PPB1QPPP/1RBR2K1 b kq -,b6c7
rnbq1rk1/bp3ppp/2pp1n2/p3p3/2PP4/P1N1P1P1/1P2NPBP/R1BQ1RK1 b - -,b8a6
r1bq1rk1/1p1nppbp/p1p2np1/2Pp4/3P4/2N2NP1/PPQBPPBP/R4RK1 b - -,f8e8
8/5Qpk/5p1p/1b1p1P2/3Pq1P1/4P2P/5K2/8 w - -,f7c7
rn3rk1/pbp1qppp/1p1pp3/8/1PPPn3/2B1PN2/P1Q1BPPP/R4RK1 b - -,b8d7
r2q1rk1/1ppb2bp/n2p1p1n/p2Pp1p1/2P1P3/P1N3B1/1P1NBPPP/R2QK2R w KQ -,e1g1
4r3/pppk2p1/2n4p/8/3p1b2/3Q1NP1/PPP1rP1P/6K1 w - -,d3f5
rnbqk1nr/ppp1bppp/4p3/3p4/4P3/3P1N2/PPP1QPPP/RNB1KB1R b KQkq -,g8f6:c7c5
rnb2rk1/pp2q1bp/2pp2p1/5p2/1PPPN3/4PNP1/PB4BP/1R1Q1RK1 b - -,f5e4
r1b1k2r/ppppbppp/2q3n1/1B1NP3/4Q3/4B3/PPP2PPP/R4RK1 b kq -,f7f5
r2qk2r/bp1n1p2/2npb1pp/p2Np3/4P2P/1N1B1Q2/PPPB1PP1/2KR3R w kq -,a2a4
r1bq1rk1/pp1nbpp1/2pp3p/4P3/2B1n3/5NN1/PPP2PPP/R1BQR1K1 b - -,e4g3
8/p2kb3/8/1P3P2/P6p/3KNP2/8/8 w - -,e3g4
8/1p6/5k2/p4r2/P3K3/3pP3/7P/3R4 b - -,f5h5
rnbqkbnr/ppp1pp1p/6p1/8/4pP2/2N5/PPPP2PP/R1BQKBNR w KQkq -,c3e4
r4r1k/pp1b2pp/1q2p3/2bpPp2/4nN1P/3B1N2/PPP2PPQ/R4RK1 w - -,g2g3
8/8/p7/1p1k4/5B2/PP1K4/1bN5/8 b - -,d5c5
5k2/4b2p/4p3/3pP1p1/3P2P1/5N1P/1R3PK1/3r4 b - -,f8f7
2rr2k1/1q2bppp/p3p3/P1N5/1p6/4P3/1PQB1PPP/R2R2K1 b - -,c8c5
r5rb/1b2p2k/pp1p1np1/2pPP1Rn/2P5/1PNQB2q/P2KN1B1/R7 b - -,h3d7
r7/pp1n1p1p/6p1/2bkP3/4R3/8/P1PK1P1P/4R3 b - -,c5f2
2r1b3/4qpkn/1pr3p1/4p1P1/1pP4R/PB2QN2/5PK1/3R4 w - -,d1h1
2b1r1k1/2n2p1p/p2p2p1/2p5/Pp2PP2/3B3P/1b3NPK/R3R3 w - -,a1d1
8/3P2p1/1b6/4p2B/2N1Pk1p/5P1P/2K2n2/8 b - -,b6c7
8/2r1n2k/prp1q2p/2R1Np2/PpR2Pp1/1Q1P2P1/5K1P/8 w - -,c4c3
4r3/b4k1p/p4pp1/1p6/8/NP2B2P/P3KPP1/8 w - -,a3c2
2r3k1/4qp2/6p1/7p/p1pQP2P/P1R2KP1/5P2/8 b - -,e7e6:g8h7
1k1b3r/1pp1qppp/1pn5/3QP3/1P6/P1N2N1P/5PP1/3R2K1 b - -,h8e8
r2q1rk1/pp1nppbp/3pb1p1/8/1PP1P3/2N1BP2/P2QB1PP/R4RK1 w - -,a1c1
2r1n1rk/1p5p/pPb1p3/4Pp2/1qP5/2N1Q3/4B1PP/3R1R1K w - -,f1f2
r7/pr3ppk/2p5/3p4/3P1BP1/2Pb1P2/P4RK1/4R3 w - -,f4d6
8/6N1/1k6/5p2/8/3K1P2/2P1n2r/R7 b - -,e2g3
4rn2/p5kp/1pp1Rp2/7P/2P1NR2/P3P1P1/4KP2/8 b - -,e8e6
r2r2k1/1bp1b1pp/2p1n3/p2pPp2/2P2Pq1/1P2QNP1/PBB3KP/R2R4 w - -,h2h3
rr4k1/4ppbp/Q2p1np1/2pP4/1n2PP2/2N1BN1P/PP3KP1/RR6 b - -,a8a6
5rr1/1ppnk3/p2bpn2/4p1P1/4P1p1/4BP2/PPPNKN2/R6R b - -,g4f3
r3k2r/1bq1ppbp/1pp3p1/p1p1P1n1/P3Q3/2NP3P/1PP2PP1/R1B1R1K1 w kq -,c1g5
8/8/1p2p1k1/1n1pP1B1/bPpP2N1/2P2B2/8/2K5 b - -,g6g5
2bbk2r/ppp2pp1/2p3n1/4P2p/2P2P2/1P5P/PB2N1P1/R3N1K1 b - f3,g6e7
r1bq1rk1/pp4b1/6pp/n4p2/3PN3/3BB3/P2Q1PPP/R4RK1 w - -,e4g3
r1bqkb1r/ppp2ppp/5n2/3p4/3Bp3/1P2P3/P1PP1PPP/RN1QKB1R w KQkq d6,f1e2
2bR1r2/2r2pk1/p1p1pN1p/1p2P1p1/1P6/8/P1P3PP/2KR4 b - -,f8d8
1r2k2r/p3pp1p/p5p1/5b2/8/5P2/PP2N1PP/2R2R1K w k -,e2d4
r5k1/1b1nqppp/1p1ppn2/2p5/1PPP4/2Q1P3/1B1NBPPP/5RK1 w - -,f1a1
8/4pk2/3p3p/1RpP1Pp1/n1P1P1P1/6K1/2r5/1N6 w - -,g3f3
r1bq2k1/pppn1rbp/6n1/2pPp1p1/1P2Pp2/2N2P2/P3BBPP/2RQNRK1 w - -,b4c5
r1q2k1r/pp2ppb1/3p2pn/2p4p/1nP1NP2/1PN1P1PP/PB1PQ1K1/1R3R2 b - -,c8c6
r2q1rk1/p2b2pp/1p2p3/2pp1nP1/5P2/3P2P1/PPP3BK/R2QR1N1 b - -,a8c8
4r1rk/ppn1n1q1/2pppb1p/1P3p2/P1PP1B2/5NP1/2Q1RPBP/4R1K1 b - -,e7c8
1nrqk2r/3b1p2/4pPp1/3P3p/1Pp2P2/2B2N2/4Q1PP/R1R4K w k -,f3g5
r3r1k1/pp1q2pp/5b2/3p4/2nP1Bb1/2P2NP1/P4KBP/R2QR3 w - -,d1b3
2q2rk1/pr1nbppp/4pn2/B7/2P5/3N2P1/Q2NPP1P/R2R2K1 b - -,d7c5
8/r4pk1/1q3pp1/1p1Bb3/1P4P1/3R3P/3Q1PK1/8 b - -,e5b8
8/8/8/8/1Q1K4/1p6/2r5/1k6 b - -,b3b2
r1bqk2r/pp1nbppp/2pp1n2/8/3NP3/3B1N2/PPP2PPP/R1BQ1RK1 b kq -,d7e5
4r2k/1p3p1p/1q4p1/3PR2n/pP1p3P/P2B1Q2/3R1P2/7K b - -,e8e5
8/1R3p1p/p1n3P1/P1k2p1P/2b5/8/5K2/8 b - -,f7g6
4r1k1/2p3p1/R3bp2/8/1P1QPq2/P2P1P2/8/4K3 w - -,e1e2
3R4/1pr2ppk/2p1pnbp/8/Pp2PP2/1P4P1/5BBP/6K1 w - -,g3g4
2q1r2k/5ppp/2n4r/1QBN4/1p1P1N2/6P1/PP5P/5RK1 w - -,d5b4
r1b1nr2/1pqnbp1k/p2pp1pp/8/3NPPP1/2N1BR2/PPP1Q1BP/R5K1 w - -,f3h3
1rb1rbk1/1pqn1ppp/2pp1n2/p3p3/P2PP3/BPN2NPP/2P2PB1/R2QR1K1 w - -,d1d2
8/2Q4p/5pk1/P4p2/8/3q1P1P/5PK1/8 w - -,c7c8
4rnnk/ppq2ppp/3r3b/2p2B2/2PpPP2/P2P1N2/1P1B2RQ/6RK w - -,e4e5
rnbq1rk1/4ppbp/3p1np1/1BpP4/4P3/2N2N2/PPQ2PPP/R1B1K2R b KQ -,b8d7:c8a6:d8a5
2B3k1/p4pb1/6pp/r3nn2/P2p3P/1P1P1N2/4PPK1/2B1R3 b - -,e5f3
3r1rk1/ppp2ppp/1nn1p3/4P2q/1bPP1P2/2NQ4/PP2BB1P/R3K2R b KQ -,h5h6
r4rk1/1p1nqppp/2p5/p7/3Pp3/4P3/PPQN1PPP/1R3RK1 b - -,d7f6
r1br1bk1/p4p1p/1pnNp1p1/4P3/2BP3q/1QB5/P4PPP/2RR2K1 w - -,d6b5
5N2/6k1/4R3/p2B4/2P3pp/P7/KP4PP/3q4 w - -,f8g6
2b5/4rpk1/rQ1p1qp1/p3p1Np/4P2P/1BP5/PP3PP1/3R2K1 w - -,b6d8
8/6p1/5p2/R4Pkp/6P1/p4P1P/P2r1K2/8 w - -,f2e3
r3kb1r/pp2npp1/2p1p3/2nPP1Bp/q1QN3P/8/PP1N1PP1/R4RK1 b kq -,a4c4
8/2k2p2/4p2p/1pbr1p1B/p4P2/P1P3P1/1PK4P/5R2 b - -,d5d7
2r2rk1/ppqnppbp/3pbnp1/8/P2p4/2P1PN1P/1P1NBPPB/R2Q1RK1 w - -,e3d4
r4rk1/1q3np1/p1p1p2p/1pPp1p2/PP1P1P2/R2BP3/Q5PP/R5K1 b - -,a8b8
2rqk2r/5pp1/p1n1p2n/1p1pPbbp/3P4/2N2N2/PP1QBPPP/2RR2K1 w k -,d2g5
7k/1p4p1/p1p1r3/2Pp1q2/PP1P1n2/5Q1P/3N2RK/8 b - -,e6f6
8/8/3kB3/1p3p2/3PbP1p/P5pP/8/5K2 w - -,d4d5
1r1r1qk1/2p4p/5pp1/3n4/2QN4/1PP3P1/4RPP1/4R1K1 b - -,g8h8
r2q1rk1/1p3pbp/1n4p1/p2p4/1Q6/1B2P2P/PP3PP1/R1BR2K1 w - a6,b4b5
r1bq1r1k/1p3pp1/2p4p/p1P1p3/PbQP4/6P1/1P3PBP/RNR3K1 w - -,d4d5
r4rk1/p1n2b1p/2p3p1/2p1N3/2P5/1P4Nq/P2P1P2/R2Q1RK1 w - -,d1g4
8/p6p/2b2k2/5pp1/1Pp5/PrN1R1P1/5K1P/8 w - -,c3e2
r1br2k1/pp3pbp/2n2pp1/2q5/Q7/2P2N2/PP1NBPPP/R4RK1 b - -,c8f5
3k4/8/1pQ1p2p/p2p1p1b/P2P3P/KP1BP3/5q2/8 b - -,f2e3
rn3rk1/ppq1bppp/2pp1n2/4p3/P1BPP1b1/2N2N2/1PP1QPPP/R1B2RK1 w - -,d4e5
4r3/pk1r1pp1/1P1q1n2/P3nPN1/2ppP2Q/6R1/7P/3R1B1K b - -,a7a6
r4rk1/1b2bppp/p3pn2/1p2B3/1P6/P3P3/4BPPP/RN1R2K1 w - -,b1d2
5r2/ppp2qk1/1n3pp1/4P2p/4NP1Q/1P5P/P5P1/4R1K1 b - -,f6e5
5rk1/1pR3p1/4p2p/7q/3P1B2/6Q1/5PP1/1r4K1 w - -,f4c1
r2q1rk1/pppnppbp/5np1/3p1b2/1PPP4/4PN1P/PB1NBPP1/R2QK2R b KQ c3,c7c6
8/r4k2/1R1P2pp/2p5/1pP2P1P/pn1K1P2/8/4R3 b - -,a3a2
8/5ppp/3kp3/p2n4/1PK5/1P6/5PPP/2N5 b - -,d5b4
4r3/2p2p1k/1p5p/p2r1Pp1/P3n3/2P4P/1P4RK/R5B1 w - -,a1f1
r1b1r1k1/pp1n1ppp/2pb1n2/q2p2B1/3P4/P1NBP3/1PQ1NPPP/R3R1K1 b - -,d7f8
8/P7/1n5p/6k1/2B5/5P1P/8/6K1 b - -,g5f4
R4b2/1p1r1bkp/3p2p1/B2npp2/8/3P2P1/4PPBP/1R4K1 b - -,b7b6
rnbq1rk1/ppppppbp/5np1/8/2PPP3/2NB4/PP3PPP/R1BQK1NR b KQ -,d7d6
r2q1rk1/2pn1ppp/p4N2/Pn1Pp3/1p6/5N2/1PP2PPP/R1BQR1K1 b - -,d8f6
1r3rk1/2qn2pp/R2p1p2/1pp3P1/1P1PPP2/4QN1P/8/R5K1 w - -,d4c5
r1bq1rk1/1p3pbp/p5p1/8/1PPp4/1N3B2/1PQ2PPP/3R1RK1 b - -,d8b6
r1bq1rk1/p2n2bp/2p2p2/2pppP2/8/1PNP1N2/P1PB2PP/R3QRK1 b - -,f8e8
r1k5/7p/8/PRpb4/2N2B2/P2p2P1/3K4/8 b - -,d5c4
r5k1/3n1pp1/2b1p2p/2N5/8/4PP2/P3B1PP/2R3K1 b - -,d7c5
4r1bk/2p3pp/1pnq1r2/p3Pp2/3p1n2/PP3N2/1BQ2PPP/2R1RBK1 b - -,c6e5
2rqr1k1/pp2bpp1/2npbn1p/3Np3/1P2P3/2PBNP2/P5PP/R1BQ1RK1 w - -,g1h1
r7/3k4/4R3/5P2/4K3/8/8/8 b - -,a8e8
r2q1rk1/5pbp/p1ppb1p1/5p2/4PN2/2N5/PPPQ1PPP/R4RK1 w - -,a1d1
8/3b1p1p/1p1kn1p1/1P1p4/1K6/4PPP1/3N3P/5B2 w - -,f1h3
r7/3k3p/p2b2p1/2p2pB1/2Pp4/1P1K2PP/2P2P2/R7 b - -,d7c7
2r3k1/pp3pp1/q2bp2p/1b1p4/3P4/PN1BP1P1/1P2KPP1/1Q5R b - -,b5d3
r3k2r/pp1n4/3p1q1p/bPpp1Bp1/8/P3PNP1/1PQ2PP1/2KR3R b kq -,d7b6
r5k1/2R2r1p/3pp1q1/1Q3pp1/1P1Pb3/4P1P1/6NP/2R3K1 w - -,c7c8
r1bqk2r/1p1nbpp1/p2pp2p/8/3pP1PP/2N2N1B/PPPQ1P2/2KR3R w kq -,f3d4
3r4/p2rkppp/2b1pn2/3P4/6P1/1N2R2P/P4PK1/3R1B2 w - -,d5c6
1r2k1r1/5p2/p3bP2/6pP/3NP3/b1pB4/P1P5/K3R1R1 b - -,a3b2:e8d7
8/p5p1/P4p2/3Qbk2/8/6P1/2r1K2P/8 w - -,e2d3
4nk2/4bpp1/3p3p/B3p3/6P1/2n1N2P/4PPB1/5K2 b - -,c3b5
8/3k3p/2r2pp1/R7/2n2P1P/B6K/8/8 w - -,a5a7
r3r1k1/pp3ppp/5n2/1Nqpnb2/8/2P1PP1P/PP1Q1KP1/R4BNR b - -,h7h5
3qk3/1p1bbprp/p2ppp2/4rP2/1PP1PRB1/1PN4Q/6PP/R6K w - -,a1f1
3b4/2k5/2p2p2/1pPp1Q1p/1q1P4/4P3/3K1N2/8 w - -,d2e2
r4rk1/p5bp/4p1p1/2ppP3/6P1/2N1R2P/PP3P2/3R2K1 w - -,c3a4
r1bqkb1r/pppn2p1/5n1p/4ppB1/2N5/4PN2/PPP2PPP/R2QKB1R w KQkq -,c4e5
4r1k1/Q4r1p/3pp1pb/8/4Pq2/2P2N1P/PP3BP1/4RK2 w - -,a7d4
1r6/5kbp/1p4p1/1R6/5PP1/5K1P/8/8 b - -,g7d4
3rrbk1/1bq2ppp/p3p3/2pP4/Pn3P2/2N1BBQ1/1PPR2PP/3R3K b - -,e6d5
2r5/6P1/1k6/8/pp6/4R3/8/3K4 b - -,b4b3
r1b2rk1/pp3pp1/2pbpn1p/q7/2PP4/1P3N2/P1B2PPP/R1BQ1RK1 w - -,a2a3
1k1rbb1r/pp2npp1/4p3/3p2N1/2p5/P5P1/1PN1B1KP/1RB2R2 b - -,e7f5
7k/4q3/3r3p/p7/P3P1N1/1P4QP/2R4K/5b2 w - -,c2c8
8/2p5/3p2pp/2nPp1k1/b1N1P3/2P1K1P1/4B2P/8 b - -,a4c2
3r4/8/R3k1n1/6P1/4P3/5P2/PPP5/2K5 b - -,e6f7
4r3/p3bk1p/3p1np1/P4p2/1B2p3/1PP3P1/3R1P1P/2N2K2 b - -,f7e6
6k1/1r2pp1p/3n2p1/2R5/r1P1q3/2Q1B1PP/P4P1K/R7 w - -,e3d4
6k1/1pp1r3/p3pr1p/3p2p1/P2Pn3/2PNR1P1/1P2RPKP/8 w - g6,f2f3
3k4/8/8/2Q2p2/3n1B2/3q1PK1/2p3P1/8 w - -,c5c7
1q3rk1/3p1ppp/2b1p3/2R5/6P1/Pp6/1P1Q3P/K1R5 w - -,h2h4
8/5rkp/6p1/2pN3n/r1P2P2/8/6PP/2R2RK1 w - -,g2g3
7r/8/p2k4/Pp1p1ppp/3P4/4P1P1/3K1PP1/7R w - -,h1c1
8/3R1p2/6k1/2KP2p1/5b1p/7P/6P1/8 w - -,d5d6
r1bq1rk1/pp2bppp/2n1pn2/2p5/2PP4/5B2/PP2NPPP/RNBQ1RK1 w - -,c1e3
8/1Q6/1p6/4p1kp/1P3r2/P3K3/8/8 b - -,f4f6
8/8/3p2p1/n1pBp1bk/P3P2p/B1P5/5PK1/5N2 w - -,f2f3
2b2r2/3nkp2/pq1p2p1/1p2n1Pr/2P1P3/1N1B1N2/PP2Q3/1K1R1R2 w - -,c4b5
b7/3r2k1/P4rp1/4R2p/8/5pPP/5P2/R4BK1 b - -,f6d6
r2qkb1r/pbp1pppp/1pnp1n2/8/3PPP2/2PB4/PP2Q1PP/RNB1K1NR b KQkq f3,e7e6
2kr3r/ppbnqpp1/2p1p2p/7P/2PPQ2R/5N2/PP1B1PP1/2KR4 w - -,e4e2
1r2r1k1/1p3npp/pnp1bp2/N7/1P1RPP2/P1N3PP/4BK2/3R4 b - -,g8f8
b1q1r2k/2r3pp/p1pbp3/1pNn1p2/1P1P1PP1/P2QPBBP/2R5/6RK w - -,h1h2
r2qkb1r/2p1pppp/pn6/3P4/3P4/1BN2Q1b/PP5P/R1B1K1R1 b Qkq -,d8d7
rn1qkb1r/ppp1pppp/5nb1/3P4/3P2P1/5P2/PPP4P/RNBQKBNR w KQkq -,f1b5
b2r2k1/p3bpp1/2p1pn1p/N7/7B/5B2/PPP2PPP/R5K1 b - -,c6c5
4r1k1/2pq1pp1/2Npnn1p/3Pp3/2P1P3/6Pb/2Q1BP1P/3RN1K1 w - -,c6e5
8/p1p1kp2/1p5p/3B4/1PPN4/P2K2r1/8/8 w - -,d3e4
7k/6p1/1P1q3p/p7/5r2/4Q2P/P5B1/6K1 w - -,b6b7
3r2k1/1b3ppp/p7/4P3/3B1P2/1P4Pq/P4K2/Q5R1 b - -,h3h2
8/6k1/1p4n1/p2qP1p1/P2Pnp2/1P3Q2/4N3/4B1K1 b - -,g6e7
r1bq1rk1/pp2bppp/1np1p3/8/2NP4/2N3P1/PPQ1PPBP/R4RK1 w - -,c4b6
1r3k2/p2b1ppp/1p3b2/3Bp3/8/4BPP1/PP2P1KP/2r1R3 w - -,e1c1
