8/1pN2k2/3p3p/3PpP1n/1pP5/P7/4K3/8 w - -,a3b4
2Q5/pp3ppk/7p/2n5/4p3/2q1P2P/5PP1/1K1R4 b - -,c3b3:c3b4
5bk1/7p/3p2p1/3Pp1P1/q1p1Pp2/2Q2P2/P4B2/K7 w - -,a1b2
2b3k1/pp2q2p/6p1/1P1pNp2/P2Qn3/4P1P1/5PBP/6K1 b - -,e7e6
8/8/8/5R1p/2P5/pk2KP2/7P/r7 w - -,f5h5
r2qkb1r/pp2pppp/1nn5/8/3P4/1QN1BP2/PP3P1P/R3KB1R b KQkq -,e7e6
2kr3r/pp3p1p/1np1q1p1/2Q1P3/3p4/5B2/PP3PPP/3R1RK1 w - -,d1d4
3r2k1/1p5p/p4p2/3b4/1B3p1P/2P5/PP6/1K2R3 w - -,e1f1
1Q6/4k1pp/1p6/2pP4/2P4P/6PK/P7/1q6 w - -,b8e5
r2q1r2/pb1n1pp1/1p2pk2/2Pp4/8/2P1P3/PPQN1PP1/2KR3R w - -,e3e4
3rr1k1/1p3ppp/2p2n2/p7/2P1P1b1/Pn2B1P1/2RN1PBP/4R1K1 b - -,a5a4
1R6/2R2pkp/1P2p1p1/5r2/p7/1r3PKP/5P2/8 w - -,b6b7
8/B4k2/8/3NK3/8/8/8/8 b - -,f7g6
r1bq1rk1/4npbp/2np2p1/1pp1p3/p3P2P/P2PBNP1/1PP2PBN/R2QR1K1 b - -,c6d4
r1b1kb1r/2q2ppp/pnnpp3/1p4P1/4PP2/1NN1B3/PPPQ3P/R3KB1R b KQkq -,c8b7
8/1p3pk1/p1q3p1/7p/1P1Q3P/6P1/5P1K/8 b - -,g7g8
R4b1r/pp2pp1p/3k2p1/1n1P4/2Qn4/q7/P2B1PPP/3K3R b - -,d6d7
4r1k1/2Q2p2/2p1R1p1/4p3/2b1B3/4nPK1/5R1P/2r5 b - -,c1g1
1Q2k3/7p/1p1p3B/3P1bp1/2Pb4/8/2q3PP/5N1K b - -,e8d7
r4r1k/1pp1qp1p/p1n2p2/b4b2/2BP4/P1N2N1P/1P1Q1PP1/R4RK1 w - -,d2f4
rn1qkbnr/1b2pppp/p2p4/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQK2R b KQkq -,g8f6
r5k1/1ppr1ppp/2n5/8/5P2/P1R1B1PP/5K2/5B2 b - -,c6e7
r2qrbk1/5pp1/bn1p1n1p/p2P4/Ppp1PP2/1P4P1/1B1N1NBP/R2QR1K1 w - -,b3c4
r1bqr1k1/pp3pbp/2pp1np1/3Nn1B1/3NP3/1B3P2/PPP3PP/R2Q1RK1 w - -,d5c3
1rb1qrk1/1p3pbp/p2p2p1/P1pN4/2P5/1P2PNnP/R3PRB1/3Q2K1 b - -,c8e6
6k1/p3rpb1/1p4pp/8/Q3q3/7P/5PP1/1R1R2K1 w - -,d1d8
5rk1/p1p2ppp/4q3/2P1b2P/3pP3/2pQ4/PrB2PP1/R4RK1 b - -,e6g4
7r/2p4r/3k1p2/pKpP1p2/4pPp1/PP2P1P1/6RP/7R w - -,b5c4
2r2rk1/3bqppp/p3pB2/1p2p3/7P/5P2/PPPQB1P1/1K1R3R b - -,e7f6
6k1/5pp1/Q6p/2q5/3r4/7P/P4PP1/5RK1 b - -,d4d2
r4qk1/2p1nr2/3bQ3/1p2p1N1/1P1pPP2/P2P4/2R3PP/R5K1 b - f3,f8g7
r2qkb1r/pp1n1ppp/2p1pn2/8/2P2P2/6P1/PB1P1PBP/RN1QK2R b KQkq -,d7c5
2rqb1k1/1p4p1/p3pr1p/n7/2pP4/1P2Q1PP/Pb1N1P2/1B1RR1K1 w - -,d2e4
5brk/5p1p/1Q1p4/1N1PqP1p/3pP3/P2n3b/5RP1/4RNK1 w - -,e1e2
8/1r1RK3/5P1k/8/8/8/8/8 b - -,b7b8
r2qrbk1/1p3ppp/p1bp1nn1/P1p2P2/4P3/2NBBN1P/1PP3P1/R2QR1K1 b - -,g6e5
2qr2k1/pp3ppp/4p3/1NbbP3/P7/1P3B2/5PPP/3Q1RK1 w - -,f3d5
r1q2rk1/p3ppbp/2np1np1/2p5/1p2PPb1/2PP1NPP/PP1N1RB1/R1B2QK1 b - -,g4f3
r1bqk1nr/1p1p1pbp/p1n1p1p1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,g8e7
r2q1rk1/ppp1bppp/3pbn2/8/3N1B2/2P5/PPPQBPPP/R4RK1 b - -,d6d5
5R2/8/1p2k3/2p3BP/3p4/3b1K2/pr6/8 w - -,f8a8
r2qk2r/1b3p1p/p2p1pn1/3N4/Pp2PP2/1p2Q3/1PP3PP/R4RK1 w kq -,c2b3
r4rk1/5pbp/2R3p1/2N5/P2p4/q3PQP1/5PKP/5R2 b - -,a8a5
5rk1/3q1p1p/p5p1/3p3r/5P2/P3Q3/1P3PRP/3R3K b - -,f8e8
7r/1pR5/p3kp1p/3b3P/8/6N1/PP3PP1/6K1 w - -,a2a3
8/pp3k1p/2n2pp1/8/P7/4B3/5PPP/6K1 b - -,f7e6
7r/bpnk1pp1/p3p3/3pP2p/3P3P/1P1BBPP1/1P2K3/R7 w - -,e3f2
4q3/pp1n1kbp/3Br3/4Pp2/3p2P1/1Q6/PP5P/R5K1 w - -,g4f5
1n2rbk1/2q4p/pN1p2p1/2pP2n1/Q1N1b1B1/7P/1P4PB/R6K b - -,c7f7
r7/5R2/2k3pp/p2R1b2/2P5/7P/5PP1/6K1 w - -,f7f6
6k1/5p1p/1p3qp1/r2R4/3n1P2/Q5PP/1r3P2/3R1BK1 w - -,d5a5
r1b1k2r/ppq2p1p/1npPp3/7p/2PP4/5Q2/PP4PP/R1B2RK1 b kq -,c7d7
r3kb1r/pppnpppp/b7/8/8/5PP1/PP3PBP/RNBR2K1 w kq -,b1c3
1r5r/2q1bpk1/2b1p1p1/3pP3/1P1B1P2/1NP3QP/R5K1/R7 w - -,f4f5
3r4/1p6/2np4/pk2b2R/5N2/2P2p2/PP6/5R1K b - -,d8f8
r5k1/3n1pp1/2p5/3n4/3B1P2/6PP/2B4K/4R3 b - -,c6c5
8/p3RN1k/7p/3r3p/1n4K1/5P2/8/8 w - -,g4h4
8/8/4KP2/4N3/8/2b4k/8/8 b - -,c3d2
rq2k2r/1b1pbppp/pp2pn2/8/1PPn4/P3PN2/1BQ1BPPP/R4RK1 w kq -,b2d4
5b2/5p2/6kp/1R1P4/2n1KB2/8/5P2/8 b - -,f8d6
1r2r1k1/p2b2p1/7p/3p1p2/4n3/1P1B3P/P3NPP1/3RR1K1 b - -,d7e6
8/pp1b1p2/3kp3/4n1p1/2PN2P1/4K1P1/PP2B2r/6R1 b - -,a7a5
rn1q1rk1/p3bpp1/2p1pn1p/4Nb2/Pp6/1Q1P1NP1/1P2PPBP/R1B2RK1 w - -,a4a5
8/2r3k1/p1pR4/1p3K2/2P5/1P3P2/P7/8 b - -,b5c4
rnbqk2r/ppp1npbp/3p2p1/3Pp3/2P1P3/2N1B3/PP2NPPP/R2QKB1R w KQkq -,d1d2
r2k1b1r/pp1Ppp1p/6p1/8/8/8/PP3PPP/2KR1B1R w - -,g2g3
r2q1rk1/ppp2ppp/4p3/2bnNn2/5P2/2NP4/PPPBQ1PP/2KR3R w - -,c3e4
2r2bkr/1p1q3p/pBn1ppp1/3p4/8/3B3Q/PP3PPP/3RR1K1 b - -,c8e8
r1b1kb1r/1pq2ppp/p2p1n2/2p1p3/P3P3/2N2n1P/1PPP1PP1/R1BQRBK1 w kq -,d1f3
8/4nB2/2bk1bp1/pp3p2/3p4/3N4/PPNK1PP1/8 b - -,c6g2
4r1k1/pq2ppbp/4b1p1/1P2n3/7B/1Pr1N3/3NQ1PP/R3R2K w - -,b3b4
6k1/1ppbr1pp/p2p1p2/P7/2nN4/5P2/1PPB2PP/R5K1 w - -,d2c3
8/8/8/6p1/1B1k4/P3b2P/6r1/4KN2 b - -,e3f4
r1bqkb1r/pp2pp1p/2n3p1/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,f8g7:d5c7
1k5r/8/3p4/RP2n1B1/3b4/5pPp/5P1K/5R2 w - -,g5e3
7r/Bp2b1p1/4P1kr/1N3p2/3R1P2/8/Pn4P1/5RK1 b - -,b7b6
8/1p2r3/p1pN1n2/2P1k1p1/4P2p/5K1P/1P6/3R4 w - -,d6c4
r1bq1rk1/p3ppbp/2pp2pn/4P3/5P2/2N1B3/PPP1B1PP/R2Q1RK1 w - -,e5d6
1rbq1rk1/1p3pbp/p1Pp1np1/8/2PpP1P1/5PN1/PP2N2P/R2QKB1R b KQ -,b7c6
r1bqk1nr/2pn1pb1/p2pp1p1/1p5p/3PP2P/2N1BP2/PPPQ2P1/2KR1BNR w kq -,g1h3
8/1R6/8/8/2K5/8/p7/k7 w - -,b7h7
r4rk1/pQ3ppp/2p5/P2q1p2/2nPn3/2PBP3/5PPP/R1B2RK1 w - -,b7a6
4r1k1/3b1p1p/R2np3/1p1p2p1/1P6/2P2P2/4B1PP/R5K1 b - -,d6f5
1rbq1rk1/ppn1bppp/8/2n5/3N4/1QN3P1/PP3PBP/R1BR2K1 w - -,b3c2
7R/1ppk4/p2pr3/6B1/2P3p1/1P3nP1/P4PK1/8 w - -,h8h7
r1b1k2r/4qp2/ppnb2pp/2p1p3/P1BpP3/3P1Q1P/1PPB1PPN/R4RK1 w kq -,c4d5
2b5/p6r/2p1p3/6k1/8/1P1B1P2/P4K1P/8 w - -,d3h7
6k1/1R2pp1p/3p2p1/3P4/8/6P1/3r1P1P/6K1 b - -,g8f8
q2rn1k1/1p3ppb/1Qp1p2p/4P3/3P4/3BR1P1/5P1P/1R4K1 b - -,h7d3
r1bq1rk1/ppp1bppp/1n1p1n2/8/3pP3/1BN1BN1P/PPP2PP1/R2QK2R w KQ -,d1d4
8/2p3p1/3pk2p/4p3/4P3/1RP1K1PP/2r5/8 b - -,g7g5
r4rk1/p1p2ppp/Qp2pn2/3q4/3P4/P3PNP1/1P3PP1/2R1K2R b K -,c7c5
rnbq1rk1/pp2ppbp/3p1np1/2pP2B1/2P1P3/2N5/PP1Q1PPP/R3KBNR b KQ -,b7b5:b8a6:a7a6:d8a5
r2qr1k1/p1pb1pbp/2np1np1/1p6/4P1P1/2N4P/PPP1NPB1/R1BQ1RK1 w - b6,a2a3
1r1kn3/1p4pp/p2rpp2/2RN4/PN1P4/1R3P2/1P3KPP/8 b - -,e6d5
8/8/8/pBk5/P1P5/7r/K7/8 b - -,c5b4
4B3/5p1n/3p2k1/3P1p2/1P2pP2/2B1b1K1/8/8 b - -,e3b6
k7/8/P3R3/1K6/8/4b3/8/8 b - -,e3f2
1R2bk2/4r3/3p2p1/NB1Pp3/4Pn1p/1P3P2/3K2P1/8 w - -,b5f1
r4rk1/1pq1npp1/1p1pb2p/1R1P4/2P5/P2Q2P1/5PBP/2B2RK1 b - -,e6d7
r1bqkb1r/1p1n1pp1/p2p1n1p/4p3/2B1P3/2NQ1N2/PPP2PPP/R1B1K2R w KQkq -,a2a4
8/3R1p2/4pkpp/8/P6P/4PK2/r4PP1/8 w - -,d7d4
r3q1k1/2p2pbp/1p1p2p1/p1nPr3/P1QN4/1P4P1/R3PPBP/5RK1 b - -,e8d7
rnb1k2r/1pq1bppp/p2ppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 b kq a3,b8c6
rr4k1/4qpPp/p2p2p1/3Pp3/1B2b3/8/PP1Q4/2RNKB2 b - -,g8g7
2r3k1/p4p2/4p3/3p4/1prNn1PP/8/PPP4R/1K1R4 b - -,g8f8
5k2/1p6/4b3/p4N2/Pr1p4/1P3R2/2B2K1P/8 b - -,e6d5
8/8/p3kp2/2P2p1p/1P5P/3K4/8/8 w - -,d3d4
r1q3k1/pp3ppp/8/2bp1bQ1/2P3r1/PP3N2/1B3PPP/R4RK1 w - -,g5d2
2r2r1k/p1q2ppb/1pp1p2p/3nN3/2BP4/P1P2Q2/1P1R1PPP/4R1K1 w - -,c4a6
3rr1k1/2q1pp2/1pp3pp/p2nRb2/P2PNn1B/1BP2Q2/1P3PPP/R5K1 b - -,f7f6
r5k1/1p1b2b1/4p2p/p2p3B/3n4/P4PN1/1P1B4/R6K b - -,d4b3
r1q1r1k1/1ppb2bp/n2p2p1/p2Ppp1n/1PP1P3/P1N1BP2/3NB1PP/1R1QR1K1 b - -,a5b4
2n2r2/p2q2k1/1rpp1pp1/4p2p/2P5/R2PPNPb/Q4P1P/1R4KB w - -,f3d2
8/pR4p1/r3pk1p/8/6P1/8/5PKP/8 b - -,a6a1
r1b5/1p2pp2/3n1kpp/p7/8/1BP4P/PP1N1PP1/4R1K1 b - -,a5a4
r1bq1rk1/2p1ppbp/1p4p1/3n4/p2PN3/P1P2N2/BP3PPP/R2QR1K1 w - -,d1d2
r4b1r/pp1k1ppb/2n1p1qp/3N4/3P3P/5QN1/PPP2PP1/R1B1R1K1 w - -,h4h5
r4r1k/1pp3pp/2npqb2/2n2p2/p1P5/P3PN1P/1PQ1BPPB/3R1RK1 w - -,f1e1
3r1r2/pp6/5k1p/8/2B1pp2/1Pb4P/P3KPP1/1R1R4 w - -,c4d5
r3k2r/2qnbpp1/2p2n1p/pp2p3/4P1b1/P1N2N1P/BPPBQPP1/R2R2K1 b kq -,g4h5
rn1qkb1r/ppp1nppp/3pp3/8/3P1P2/6P1/PPP2P1P/RNBQKB1R w KQkq -,b1d2
8/4R1pk/1pq3rp/p1p5/P3Q3/5KP1/5P1P/8 b - -,c5c4
2krr3/2pp1p2/1n5p/p1p1P1p1/2P1R3/1PN2P2/P1K3PP/4R3 b - -,e8e6
r4rk1/1p1nbppp/1qp1p3/p2p1b2/2PP4/1P1N2P1/PB1QPPBP/R4RK1 w - -,c4c5
2k1rb1r/ppq2pp1/2p5/5bPp/2NP4/4p3/PPPB3P/2K2RQR w - -,d2e3
Q2Rk3/4q3/b3p1p1/2p1PpP1/3p1Pr1/r2P4/P5B1/1R2N1K1 b - -,e7d8
r2qk2r/1b1nbppp/1pp1pn2/p1Pp2B1/1P1P4/P1NBPN2/5PPP/R2QK2R w KQkq -,e1g1
2r3k1/pb1q1ppp/1p5r/2P5/P3p3/2P1P3/4QPPP/R1BR2K1 b - -,d7e7
8/7k/6p1/4Q1P1/p2nP3/P2P1qP1/6K1/8 w - -,g2h2
8/2k2p1p/5p2/p5p1/2BPK1P1/4P2P/5P2/8 b - -,c7d6
5rk1/5pbp/p2B1np1/1r6/1p1Qq3/1P3N2/1P3PPP/R3K2R w KQ -,d4e4
r3r1k1/pp4pp/2q1b3/3pB3/2nP4/1QP3P1/P3RKBP/R7 b - -,e8f8
r3q3/p2r2pk/1ppBp2p/2P1PpbP/8/8/PP2QP2/1K1R2R1 b - -,b6c5
2r1k2r/1p3p1p/pB2p1n1/4n1b1/6P1/1BN5/PP5P/1K1R1R2 w k -,c3e4
6k1/pp3pp1/4pb1p/3r4/2rP4/5NP1/PP2RP1P/3R2K1 w - -,e2d2
6k1/5p2/6p1/7p/2Q2PqP/8/7K/8 w - -,c4e4
5rk1/5ppp/pq6/1pb1P3/1n2pNP1/5N1P/PP2RP2/3Q2K1 w - -,e2e4
2r2r1k/1b4b1/p1q4p/1pp1p1p1/5p2/1BPP1P1P/PP2Q1P1/2BRR1K1 b - -,c8d8
6k1/6p1/pp2p1Np/7P/1P3Q2/1bPqR1K1/1P4P1/7r b - -,d3d8
4r1k1/pp6/4n2p/2pB4/2pb1RP1/2N4P/PP6/7K w - -,f4e4
1rbq1rk1/pp1pppbp/5np1/2P5/3Q4/2N3P1/PP2PPBP/R1B2RK1 b - -,b7b6
r2qnrk1/ppp1b1pp/2np4/8/2P2P2/2N1B3/PP2B1PP/R2Q1RK1 w - -,f1f3
5r1k/1r1b3p/1qNp1pp1/1p1P3n/1R2PP2/2R2BPP/1Q4K1/8 w - -,f3e2
4k3/2R2pp1/8/3pP1N1/3r1p1P/8/1bK3P1/8 b - -,b2a1
1r2k2r/q2bbp2/2pp1p2/p3pP1p/4P2P/1PN4R/P1PQB1P1/K2R4 b k -,b8b4
8/4kp1p/5p2/p7/2K2P2/R3P2r/P4P2/8 b - -,h3h5
r1b2rk1/ppq1bppp/4pn2/8/8/1NP3P1/PPQ2PBP/R1B1R1K1 w - -,c1f4
rnbqk2r/ppppppbp/5np1/6B1/3PP3/8/PPPN1PPP/R2QKBNR b KQkq e3,d7d6
4rkr1/1p3p2/pq1p3p/2P2Q2/1P2Pppb/8/P2N1PP1/2R2RK1 b - -,d6c5
r2q1rk1/pp2bppp/2npbn2/2p5/2P5/2N3P1/PPN1PPBP/R1BQ1RK1 w - -,b2b3
3r1rk1/p1q2bpp/2pb1p2/2pnp3/N3B3/P2P2BP/1PP2PP1/R3QRK1 w - -,c2c4
rnbqk1nr/pp3ppp/3b4/2Pp4/8/5N2/PPPN1PPP/R1BQKB1R b KQkq -,d6c5
rnbq1rk1/2p2ppp/1p2pn2/p2p4/2PP4/P4NP1/1P1NPPBP/R2QK2R w KQ -,e1g1
r1b2rk1/pp3pbp/2q2np1/4p3/3Q1P2/2N2N2/PPP3PP/R1B2RK1 w - -,f4e5
r5k1/1r1b2p1/pPnqpp1p/P1Rp4/3P4/1N6/2Q2PPP/2R2BK1 b - -,c6d8
r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 b - -,c5a7:h7h6
r2qkb1r/4pp2/p2p2pp/3P4/1p3P2/5Q1P/PPP3P1/2KR1B1R b kq -,f8g7
4r3/2nkb2R/pq2p3/3n2P1/1p1NQP2/1P6/1PPB4/1K6 b - -,d7c8
rnbqk2r/pp2bppp/2pp1n2/4p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3
r4rk1/1pp2ppp/2qpb3/6B1/p1n5/P1P4P/1PPQBPP1/1K1R2R1 w - -,d2d4
1r2r3/3qnk1p/p4pp1/3Pn3/2P2B2/1p1P2P1/1P1Q2BP/1R3R1K b - -,f7g7
2r1k1r1/pR2R3/2ppqpp1/6p1/8/8/P1Q2PPP/5BK1 b - -,e6e7
rnbq1rk1/ppp2pbp/5np1/4p3/2P5/1P2PN2/PB3PPP/RN1QKB1R w KQ -,d1d8
4k3/RN3ppp/8/6q1/4P3/Q7/5PP1/6K1 w - -,b7d6
3r1rk1/1R3p2/pP4p1/5b1p/3p4/1N6/PP4PP/2R4K w - -,b7e7
r2q1r1k/3npp1p/p1n3pN/2p1p3/4P3/2PP2QP/P4PP1/R3RBK1 b - -,d8a5
r2q1rk1/pp3nbp/5pp1/2p1pP2/2b1P1P1/2P2B1P/PP1R4/R1BNQ1K1 b - -,d8c7
5bk1/1q3pp1/ppn4p/1p1p4/4P3/3NNPPP/PPQ3K1/8 w - -,e3d5
2rrq1k1/pb3pb1/1n4pp/1P2p3/4N3/BQn5/P3BPPP/2RR2K1 w - -,e4c3
r5k1/2b2p1p/2p1q1p1/2P5/1P3P2/2QRPP2/4N1KP/8 b - -,h7h5
5bk1/5pp1/p6p/3p4/qpr5/3QB2P/1P2RPP1/6K1 w - -,d3d5
7r/1b1pbkp1/p3p2p/1p5R/4PPP1/P1PB1N2/1P1K4/8 b - -,h8d8
8/6pk/p1Np4/P1rP4/6p1/8/1P6/6K1 b - -,c5d5
rnb2rk1/4ppbp/p2p1np1/1P1P4/Pqp1P3/2N4P/1PBB1PP1/R2QK1NR b KQ -,a6b5
rn1q1rk1/1bp1ppbp/p2p1npB/4P3/1p1P4/2NB1N2/PPPQ1PPP/R3K2R w KQ -,c3e2
8/8/3K4/3P4/8/p1k5/P7/8 b - -,c3b2
8/2k1bp2/p3p1p1/n1p1P1P1/2P2P2/2PKB3/P4RB1/3r4 w - -,f2d2
r1b2rk1/ppq1bppp/2n1pn2/8/3P4/P1NB1N2/1P3PPP/R1BQ1RK1 b - -,f8d8
r1bqkb1r/pp1n2pp/2p1pn2/3pNp2/2PP1P2/2N1P3/PP4PP/R1BQKB1R b KQkq f3,f8e7
2kr1b1r/ppp2ppp/2n5/3P3q/2P1pBn1/5N2/PP2BPP1/RN1Q1RK1 b - -,e4f3
1r1rk3/3n1p1p/2qpp3/p5Q1/2P1P3/1P4R1/P4PPP/3R2K1 w - -,g5g8
3rr1k1/p1pb1ppp/1b6/2pB2B1/8/PP3P2/2P3PP/2KRR3 b - -,e8e1
3rr1k1/pq3pb1/1pb1n1p1/2p1p3/P1N1P3/2P1B1P1/1PQ2PB1/R3R1K1 b - -,g7f6
4r1k1/2nR2pp/6n1/1p3p2/4p3/P1NR2P1/1P3P1P/6K1 w - -,d3d6
r4rk1/4np1p/2nq2p1/3p4/p7/3P1NP1/1Q1P1PBP/2R2RK1 w - -,f3d4
rn3rk1/pp2bppp/2p1pn2/q7/2BP4/2N5/PPP1QPPP/R1B2RK1 w - -,c3e4
6k1/8/2n1p3/3pP1P1/P2n2KP/4RP2/8/1rB5 w - -,c1a3
2r2n2/b3rkp1/5p1p/1P1R4/2N3P1/1KB2P2/6P1/3R4 b - -,a7b8
r1bq1rk1/pp3pbp/2np1np1/4p3/4P3/1NPBB2P/PP1N1PP1/R2Q1RK1 b - -,b7b6
r6k/6p1/3BrpBp/8/1R6/8/6PP/5RK1 w - -,d6b8
1R2r1k1/p2q1pp1/n3b2p/3np3/2p5/B2P2PP/P1Q1NPBK/2R5 b - -,e8b8
2rr2k1/p1q2ppp/1n2pn2/2p5/2P5/P3PBP1/1BQ2P1P/3R1RK1 b - -,f6e8
r2qr1k1/b1p2pp1/p1npbn1p/1p2p3/4P3/1BPPBN1P/PP1N1PP1/R2QR1K1 b - -,a7e3
8/8/4p3/8/2P1k3/8/1bK5/8 w - -,c2b2
r1bq1r1k/pp1nb1pp/2n5/3Bp3/5P2/2PQ1NP1/PP2N2P/R1B2RK1 b - -,d7f6
8/8/pk6/8/1NPK4/1r6/8/8 w - -,b4d5
r1bqkb1r/p3pp1p/1npp1np1/1p6/3PP3/3BBP2/PPPQ2PP/R2NK1NR b KQkq -,a7a6
8/6kp/8/1R6/p4K1P/2r2P2/B7/8 b - -,c3c2
