8/1p6/1q6/kP2Q3/p1P4p/P6P/4Kp2/8 b - -,b6h6
3r2k1/p4p2/1pp1r3/2p1pNb1/4P1b1/2NP2P1/PPP2RK1/7R w - -,a2a4
rnb1kb1r/1pqpnppp/4p3/1p4B1/4P3/2N5/PPP2PPP/R2QKB1R w KQkq -,c3b5
r1bqr1k1/p1n2pbp/1p1p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQR1K1 b - -,a8b8
r1bq1r1k/1ppn2bp/5p1n/p1P1p1p1/QP2P3/2N2NB1/P3BPPP/R4RK1 b - -,c7c6
3r4/5kp1/p7/4p3/PN5p/1P2B1bP/2P3P1/5K2 b - -,a6a5
2rqr1k1/4bpp1/b3p2p/p1npP3/Pp1N4/1P3P2/1NPQ1BPP/4RR1K w - -,f1g1
2r1r1k1/pp3ppp/1qn5/3n4/3p1B2/Q2N2P1/1PR1PPKP/2R5 b - -,d5f4
2rr4/pb3pkp/1p2p2q/n7/4P3/5NP1/PQ3PBP/2R2RK1 b - -,h6f6
r1b1kb1r/pp1p1ppp/1qn1pn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,d4b3:e2e3:d4b5
rn1q1rk1/pp2bppp/2p1pn2/8/Q1PP2b1/2N2N2/PP2BPPP/R1BR2K1 b - -,d8c7
8/1p1r1pbk/2n1p1p1/p1q3Bp/P3P3/1BP3QP/1P4P1/5R1K w - -,g5e3
2r1b3/2r1q1k1/Q2p1pp1/3Pn3/3BP3/2p5/4B1KP/2R2R2 w - -,d4b6
r1bqr1k1/1pn2p1p/p1p3p1/2Ppb3/1P3B2/1QN1P2P/P3BPP1/R4RK1 w - -,f4e5
2r3k1/5ppp/4p3/1rBp4/p2P4/4PP2/P3n1PP/R4RK1 w - -,g1f2
5r1k/7p/2b2qr1/p1Q1p3/Pp2Ppn1/1B1N1N2/1PP3P1/2K4R b - -,c6e4
3r1b2/3r3k/1p1pp3/p7/P1P1p3/BP2R1P1/5P2/3R2K1 b - -,h7g6
r1bqkb1r/p2n1ppp/2p1P3/1pPp4/6n1/5NP1/PPQNPP1P/R1B1KB1R b KQkq -,f7e6
1r4k1/p4p2/3q1n1p/2p3P1/P1Pp4/3Br1P1/P5P1/R2Q1RK1 b - -,h6g5
4r2k/p1p3p1/3p3p/1pb1P2P/2P3b1/1P4K1/PN6/R2R4 b - -,g4d1
5bk1/7p/1Q4p1/3b1p2/4p1n1/P5P1/1P2PPKP/3r1B2 w - -,h2h3
r2q1rk1/1pp2pb1/p2p1np1/3P3p/1PP5/P1N1PP1b/1B2BR1P/R2Q2K1 b - -,f6d7
6k1/4rpp1/5b1p/pp6/2p2PP1/2P1BK1P/PP1R4/8 b - -,e7b7
1r3rk1/1p1n1pbp/p2p2p1/2pPp3/PqPnP3/2N1B1PP/1P1Q1PB1/1R3RK1 w - -,b2b3
7k/3q1r2/1p1p1rp1/p2Pp2p/2P2n1P/1P2N1R1/3Q1P2/3R2K1 w - -,d1f1
8/2k1n1pp/2n5/4PP2/p1R1K1P1/8/P6P/8 b - -,e7c8
r3k2r/pp3ppp/2p2n2/3pbb2/8/4PB2/PPP1NPPP/R1B2RK1 w kq -,c2c3
r1b1kb1r/pp3ppp/1qn5/4P3/8/5N2/PP1BP1PP/R2QKB1R w KQkq -,d1b3
6k1/5p2/1p2p3/p5p1/3P2Pp/nN2P2P/P1r2P2/R5K1 w - -,g1g2
r1bqkbnr/1p3ppp/p1np4/2p1p3/4P3/1P3NP1/PBPP1PBP/RN1QK2R b KQkq -,g8f6
6k1/5p2/p2p2p1/2pP4/Pp5q/3BKP1P/8/R7 b - -,h4d4
r3k2r/ppq1pp1p/3p1np1/3Pn3/4P3/2P2P2/P2Q2PP/1RB1KB1R b Kkq -,e8g8
r3r1k1/pppqnpp1/5bbp/n1Pp4/3P2P1/PPN1BN1P/Q3BP2/2RR2K1 b - -,a5c6
3r2k1/5pp1/p1pr1b1p/1p2p3/4P3/1P2BP2/PP3P1P/R1R2K2 w - -,f1e2
4k3/1R3p2/4p1p1/r2n3p/3PBK1P/4P1P1/5P2/8 w - -,e4d5
r2qkb1r/pp1b1ppp/2npp3/1B1nP3/3P4/5N2/PP3PPP/RNBQ1RK1 w kq -,b5c4
r1bq4/ppp2k1p/1n4p1/8/1P1P4/2N1r3/1PQ1N1PP/R3K2R w KQ -,e1g1
1k1r1b2/pbpp1r2/1pn2q1p/3N4/2B5/5N2/PPP1QPPP/2KR3R b - -,f6g7
1k6/2q2p2/Pp1p1p2/1B2p3/4P3/2r5/R3KN1P/7R w - -,a6a7
1rb1r1k1/2q2pb1/1p1p1n1p/pPpP2p1/P5P1/2NBB2P/3QRP1N/2R3K1 b - -,f6d7
rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/3P1NP1/PP2PP1P/RNBQKB1R b KQkq -,b8d7:f8e7
r4rk1/pp2ppbp/2q2np1/4p3/5P2/2N1BQ2/PPP3PP/2KR3R w - -,f4e5
Q7/5pkp/5qp1/8/4K3/P4RPP/3r4/8 b - -,f6d4
N4rk1/1p3b2/p5pp/2PpBp2/1P2nP2/8/P4qPP/2RQR2K b - -,f8a8
r4rk1/4qpp1/1bnNb1p1/p2p4/5B2/1N6/PPPQ1PPP/2KR3R b - -,a5a4
8/p7/1p3kp1/3B3p/7P/1P3KP1/P1b5/8 b - -,f6e5
r1b1kb1r/1p2nppp/1qn1p3/p2pP3/3P4/P4N2/1P2BPPP/RNBQK2R w KQkq -,b1c3
8/8/1Q3p2/p2pkP2/P4b2/4nB1K/2r5/8 w - -,b6e6
6k1/pp2r1bp/3p2p1/N1pP4/P1P2P2/R3B1P1/5K2/3b4 b - -,g7b2
4r1k1/7p/3n4/1P1pq1p1/8/3BP1P1/4Q2P/2R3K1 w - -,c1e1
r1b2rk1/ppq1ppbp/2n2np1/2p5/4P3/2PB1N1P/PP2QPP1/RNB2RK1 w - -,c1e3:f1e1
2r2rk1/1pqn1pbp/p2p1np1/3Pp3/4P3/2N1BB1P/PP1Q1PP1/R1R3K1 b - -,c7b8
r3r2k/1p4bp/6p1/qN4n1/p4P2/4BP1Q/PP1p3P/1R1RnBK1 w - -,f4g5
rnb1k2r/pp2nppp/2p3q1/3p4/3P4/1QN1P3/PP2NPPP/R3KB1R b KQkq -,e8g8
1rq2rk1/pp3pp1/2nbpnp1/3p4/3P1P2/2PBB1P1/PP1N3P/R2QK2R w KQ -,a2a4
R3r1k1/2p4p/3q1pp1/1pNbp3/1P1P4/2P1Q2P/5PP1/4R1K1 b - -,d5a8
r2q1rk1/1pp1bpnp/p1p1b1p1/4N3/3P1P2/2P1B3/PP1NQ1PP/R3R1K1 b - -,f7f6
8/8/Q7/3kp2P/2p1q3/P4RP1/5P1K/1r6 w - -,h5h6
r3kb1r/ppq2ppp/4pn2/2p5/5P2/N1P2Q2/PP1P2PP/R1B2RK1 b kq -,c5c4
2r3rk/1R4bp/2Pp2p1/4pp2/1Q6/3qP1P1/2bB1PBP/R5K1 w - -,a1a7
r2qk2r/pb1n1ppp/2pb4/1p2p3/3PP3/2NBnN2/PP2QPPP/2R2RK1 w kq -,e2e3
r2qr1k1/p4ppp/b4b2/2pN4/1n6/5NP1/PP1QPPBP/R2R2K1 b - -,b4d5
6rk/p4p2/1p2pq1b/4Nn2/4BPp1/8/PP3Q1P/R5K1 w - -,e4f5
5rk1/pp3q1p/2n3pb/2P5/3pN1P1/5p1P/PP3Q2/3RR1K1 w - -,g4g5
r2q1rk1/1b2bpp1/p1p1pn1p/1p6/3P4/1QN2NP1/PP2PPBP/R2R2K1 w - -,f3e5
rr4k1/4ppbp/6p1/p7/2RPn3/P4N2/3B1PPP/5RK1 b - -,e4d2
1r1q1rk1/1b4bp/p2pnnp1/2p2p2/2P5/2N1P1P1/PBQN1PBP/4RRK1 w - -,g2b7
r2qrbk1/1b3ppp/ppp2n2/5N2/3P4/P4QP1/1P3PBP/R1B2RK1 b - -,e8e6
5R2/N3k1np/4p3/1BPpPp2/1r3P2/8/7P/6K1 w - -,f8b8
rnb1kb1r/2q2ppp/p2ppn2/1p6/3NPP2/P1N1BQ2/1PP3PP/R3KB1R b KQkq -,c8b7
1b2r1k1/pp4p1/6p1/3p2Pp/3P1qbP/3BN3/PP1Q1PK1/7R w - -,d3e2
1qr3rk/1b2bppp/pp1ppn2/4B3/1PP1P3/PNN2P2/3Q2PP/2RR1B1K b - -,d6e5
8/8/8/4p3/2P2k1R/1r5P/3K2P1/8 b - -,f4f5
5k1r/5p1p/p1p1p1p1/4Pn2/4R3/1P1r1P2/P3NP1P/2R3K1 b - -,d3d2
r7/1pP1n3/1P6/3k4/7R/5K1P/8/8 w - -,h4h7
2k4r/pp1rbppp/2p1p3/3qP2P/3PP3/2R5/PPQ2BP1/1KR5 b - -,d5b5
r2r2k1/1q3pb1/2p3p1/p1B1pnPp/2P1N2P/1P3P2/P4Q2/1K1R3R w - -,c5b6
5k2/5ppr/N3p3/2b1n1P1/7p/7P/PPP2P2/2KR4 w - -,a6c5
2b2r2/3pp1kp/prp2pp1/4P3/5P2/2N4P/PPP3P1/2KRR3 b - -,f6e5
1B6/p6p/6p1/5k2/2pR4/P1Pp4/5K2/7r b - -,a7a6
r3r1k1/pp5p/2p5/Q3b3/2PpPBq1/6P1/PP5P/R4RK1 w - -,f4e5
r2qr1k1/ppp2pbp/2np1np1/4p3/2P1P3/2NP1BPP/PP3P2/1RBQ1RK1 b - -,c6d4
8/4b2p/2k2pp1/p1p5/2PpN1P1/3K3P/PP3P2/8 w - -,f2f3
2r3k1/p3pp1p/q3n1pb/3rP3/2pPR3/5NBP/P1Q2PP1/3R2K1 w - -,f3h2
4r2k/p1q3b1/1pn1b2p/2pp2pP/4PrP1/2P1NPNB/PP2Q3/R3R1K1 b - -,d5d4
rn1q3r/p2knpp1/1p2p2p/3pP3/b1pP1P2/P1P5/2P1B1PP/1RBQNRK1 b - f3,d8g8
r4rk1/pp1q1ppp/1n2bn2/3p4/P2Pp3/1PQ1N1P1/4PPBP/R1B2RK1 b - a3,f8c8
2k4r/8/3Pp3/p2q2Np/5Q2/2pb4/5PPP/2R3K1 b - -,c3c2
r4rk1/1pqb1pp1/p2ppb1p/2n4Q/3NPP2/1BN5/PPP3PP/1K1RR3 b - -,b7b5
rn1q1rk1/ppp1ppbp/3p1np1/8/3PP1b1/2N2N2/PPP1BPPP/R1BQR1K1 b - -,b8c6
8/2r1p2k/3p1qp1/p6p/5P2/1P2Q1P1/P1r1R1KP/4R3 w - -,e3e4
5r2/Q3nkpp/2b1p3/4P3/2p5/P1B3P1/P6P/6K1 b - -,f8a8
r4rk1/2pqn3/pb1p3p/3P1pp1/1P3P2/BQ4P1/2RPN1KP/R7 b - -,d7b5
6N1/5B2/7p/1P2kb2/7P/p2n4/8/2K5 w - -,c1d2
rnbqk1nr/pp3ppp/2p1p3/8/3P4/P1P2N2/2P1Q1PP/R1B1KB1R b KQkq -,g8f6
8/8/1p2R3/p7/Pr3k2/8/4K3/8 b - -,b4e4
7q/2p2r2/2P2k2/3Q1p2/4pP2/P7/KP6/8 w - -,d5e5
2q3k1/pb2n1b1/1p2p1pp/3pP3/1P1P2P1/P2Q3P/3N2B1/2N3K1 w - -,c1e2
8/1p2r1kp/2rp1p1p/2nR1B2/p2RP2P/P4PP1/6K1/8 b - -,e7c7
8/6p1/8/3k1p2/1P3P2/3K1nP1/2N5/8 w - -,d3e2
8/3B2k1/8/1p4pp/p2P4/2PK2P1/8/5n2 w - -,g3g4
4k3/8/3K4/4P3/8/r7/5R1P/8 w - -,e5e6
3r4/R4pk1/p3p2p/1p6/3rP1p1/4K1P1/PPR5/8 b - -,d4d3
8/8/7R/7B/5p1P/4k1nK/r7/8 b - -,g3h5
rnbq1rk1/4bp1p/p2p1np1/1ppP4/P3PB2/2N2N2/1PQ2PPP/R3KB1R b KQ a3,b5b4
2bqr1k1/1p1nppbp/1npp2p1/8/1PP5/r1NPBNP1/3QPPBP/1R3RK1 w - -,f1c1
r3k2r/pp1qppbp/2n1bnp1/1BPp4/N2P4/P3BP2/1P4PP/R2QK1NR b KQkq -,e8g8
r3k2r/1ppqb1pp/p1n1b3/3pPp2/1P2n3/PN2BNPP/2Q1PPB1/R3K2R b KQkq -,e8g8
5k2/5p2/8/8/4B3/8/3r3r/R4K2 b - -,f8g7
r3r1k1/1p4p1/p1pn1qp1/3p1p2/3P4/P2QP3/1P3PPP/R3RNK1 w - -,f1d2
rnbqkbnr/2p2ppp/1p2p3/p2pP3/P2P4/1N2B3/1PP2PPP/R2QKBNR b KQkq a3,g8e7
5rk1/5ppp/2r5/p1qpP3/1p6/1P6/P1PQ2PP/3R1R1K b - -,c5c2
2kr3r/Qpp1bqp1/2p4n/3bPp2/1P3P1p/2P1B3/P3B1PP/RN1R2K1 b - -,f7g6
3r3k/p5pp/1p1q1r2/2ppN3/b7/P1P5/1P1Q1PPP/2R1R1K1 b - -,d8f8
r2r2k1/1bb1npp1/4p2p/pp2N3/3P4/P6P/1P1BNPP1/1R1R2K1 w - -,b1c1
r1b1k2r/ppp1nppp/1bnp1q2/8/4P3/1NN1B3/PPP1QPPP/R3KB1R w KQkq -,e1c1
1b3r2/6R1/p7/1p3r1k/3B1P2/P5R1/1P3P2/7K b - -,h5h6
2br4/r1pnq1k1/1p1p1p1p/1B1Pp1p1/P1P1P3/4P2P/3BQ1PK/RR6 w - -,d2b4
r1bqk2r/pp1nb1pp/2p2n2/3pNp2/3P1B2/6P1/PP2PPBP/RN1Q1RK1 b kq -,e8g8
r2q1rk1/pb1nppbp/5np1/2p5/2pP4/4PN2/PB1NBPPP/1R1Q1RK1 w - -,e2c4
r1bqk2r/pp1nbp1p/2n1p1p1/2ppP3/3P3P/2PB1N2/PP1N1PP1/R1BQ1RK1 b kq -,d8b6
4R3/6pk/p4r2/1p3q1p/4Q3/5pPP/PP3P1K/8 b - -,h7g6
r1bqk2r/p2nbppp/2pp1n2/1p2p3/3PP3/P1N2NP1/1PP2PBP/R1BQK2R w KQkq -,e1g1
rr4k1/2pnbpqn/bp1p2p1/p2Pp2p/1PP1P3/P1NBBNPP/1R3P2/3QR1K1 b - -,h7f8
r5k1/p5p1/4p1Np/1pq1P3/2n5/3p4/P1Q1KNbP/R6R w - -,c2d3
8/4kp2/6p1/3p4/2pP1R2/r7/4KPP1/8 b - -,e7e6
r2qr1k1/1ppb1pbp/3p1np1/p1nPp3/2P1P3/1PN1B3/P2NBPPP/R2Q1RK1 w - -,a2a3
7k/5qp1/4P2p/p2P4/P2Q4/5P1b/7P/2rB2RK b - -,f7b7
r4rk1/p1qnbppp/2p1pnb1/1p6/3P4/2N1PNP1/PP2QPBP/R1BR2K1 w - b6,c1d2
8/6k1/8/1R4PK/5P2/8/8/5r2 w - -,b5b7
r3r1k1/1b1q1ppp/pp1bp3/2p5/2PPPPP1/3B4/PB1RQ2P/5RK1 b - -,c5d4
1k6/1pp1q1pp/4rp2/1P6/P6P/2Q3P1/5P2/2R3K1 b - -,e6e2
rr1qn1k1/1b1nppbp/2Bp2p1/2pP4/P3P3/2N2N1P/1PQB1PP1/R2R2K1 w - -,c3b5
r4rk1/pp2n1b1/3pb2p/qPp1pp2/P7/2PP1NP1/3B1PBP/R2Q1RK1 b - -,a5d8
3r4/1p3p2/2p3k1/2p1p1R1/4P3/P2P2P1/1P3RK1/8 b - -,g6g5
1rb2rk1/ppNn1pbp/1q3np1/3p2B1/3Pp3/Q3P3/PP1NBPPP/2R2RK1 w - -,g5f4
1r4r1/p2q4/4b1pk/1p1pPpRp/2pP1P1P/2P2B1K/PPQ5/6R1 w - -,c2g2
3q1rk1/p1rbb1pp/B1p1p3/2PpPp2/1P1Pn3/2N1P3/3B2PP/R2Q1RK1 w - -,b4b5
8/3q3p/6pk/p2P1p2/P3n3/1P1Q1R2/4r3/3R3K b - -,e2b2
5k2/1b3p2/p7/1p5r/4p2P/1P2b2B/P4PP1/4R1K1 w - -,f2e3
r1bq1rk1/ppn1Npp1/3p3p/2p1p3/4P1P1/1P1PBN1P/1PPQ1P2/R3K2R b KQ -,d8e7
8/p1kn1Q2/4p3/8/4B2P/4P1P1/2pq1P2/3n2K1 w - -,e4c2
1kb1r3/p7/2p5/5pq1/3P1b1p/PN3P2/1PR3P1/1K3Q2 w - -,b3a5
5k2/5p2/8/2p4p/1p1q1p2/1P1rbPpP/P1R3P1/1Q2R2K b - -,d4d5
2r1r1k1/pp5p/bn1q2p1/n2Pbp2/4pN2/1PN3P1/P4PBP/B1RQR1K1 w - -,c3e2
r4rk1/1p1q2pp/p1n1p3/4P3/3p1n2/5N2/PP1Q1PPP/1B1RR1K1 w - -,e1e4
7r/p3r3/2P2k2/2p1b1p1/2P2pp1/6P1/PP3P2/R3RBK1 w - -,f1d3
r2q1rk1/pb1nbppp/2p1p3/1p2P3/4P3/2NQ4/PP2BPPP/R1BR2K1 b - -,d7e5
1r3rk1/p1qb1pp1/2nb1n1p/2p1p3/2PpP3/P2P1NPP/1B2QPBK/1R2RN2 b - -,c6a5
r2q1rk1/1ppbb1pp/2n1p3/3p1p2/p1PPn3/PP4P1/1B1NPPBP/R2QNRK1 w - -,b3b4
2r4k/q5pP/4p3/1p1b4/1pr5/5P2/PPPQ2R1/1KN2R2 b - -,c4c2
3k4/1p6/p1rp4/4b1R1/2N2p2/8/PPb1B1P1/2K5 b - -,c2e4
3r1rk1/q4ppp/2p1pn2/p7/P1pP2PQ/1P5P/1BP2P2/R2R2K1 b - -,c4b3
r2qk2r/pp2bppp/2ppbn2/4p3/P1P1P3/1PN2Q1P/2P1NPP1/R1B1K2R b KQkq -,d6d5
rr2n1k1/1bq2p1p/p5p1/2p1p3/P1P1P3/3B1PQ1/4N1PP/RR4K1 b - -,c7d6
rnb1q1k1/p4r1p/1p1pN1p1/1PpPpp1n/2P2P2/2B3PP/P1Q1P1B1/3R1RK1 w - -,g1h2
1kr2r2/pp1q2p1/1n2p2p/n2pP3/3N4/P1P1Q3/3N1PPP/R3R1K1 w - -,a1b1
6k1/5p2/3pnP2/pQP1p1Pp/P2bP3/8/7P/r6K w - -,h1g2
r1nq1rk1/bb5p/p1n2pP1/3pp1B1/Pp2P1Q1/1N1B2NR/1PP3PP/R6K b - -,h7g6
2r1k3/7p/p1n1NPp1/8/2R3P1/8/1P5P/6K1 w - -,c4c6
r1b1qrk1/ppp2pbp/1nn3p1/3NP3/2Q2B2/4PN2/PP3PPP/3RKB1R w K -,c4c3
5r1r/1pk1b2p/p2p2n1/P1pPp1P1/2P1N3/4BP1R/1P6/1K3R2 w - -,f1h1
3r1r2/1q2k3/pp2pp2/2b2p2/2PB1PPP/P1Q1PK2/8/3R2R1 w - -,f3f2
r4rk1/2nb1pbp/pqnp2p1/2p1p3/2p1N3/PP1PP3/1BR1BPPP/Q3NRK1 w - -,b3c4
r7/1pr1kppp/1p2pb2/1b6/3pP3/P2R2P1/NP3PBP/3R2K1 w - -,d3d2
r1b1r1k1/1pq3b1/p3p1pp/2B1Np2/P7/3P2P1/1PP2QBP/1R3RK1 b - -,g7e5
8/p1b2pp1/1p2k1p1/1P2p3/P1K1P1P1/5P1P/8/2B5 w - -,c1e3
8/p5rk/3p3p/2p1b3/2Nr1p2/3P1R2/4P2P/1R5K b - -,e5f6
r1bqr1k1/p4p1p/1p4pB/2pnb3/3P4/N1P3P1/PP1Q2BP/R4RK1 b - -,c5d4
3R1rk1/p3qp2/6p1/2p3P1/5P1p/1P3nP1/PBQ5/5RK1 w - -,f1f3
6k1/1p5p/p5p1/q3r2r/2b5/1P3RQ1/P1P3PP/5R1K w - -,b3c4
