8/8/5Kp1/5b1k/8/8/8/6R1 w - -,f6e5:g1g2
7r/pkp2q1p/4r1p1/N2nP3/3P2Q1/4B3/5PPP/2R3K1 b - -,b7a8
8/p6p/8/1K2kp2/8/8/P5PP/8 w - -,b5a6
1nr1k2r/p1qbbpp1/1p2p2p/3pPn1P/NP1P2R1/P2B1N2/3B1PP1/R2Q1K2 b k -,e8g8
r1b2n1k/pp1r1pbp/6p1/2PN4/2BpN3/1P6/P4PPP/2R2RK1 b - -,f8e6
r3kbQ1/pR3p2/2p4q/3pp2b/8/8/P5P1/5R1K w - -,g8g3
1rr4k/p4p1p/4pP2/2qp4/1p1R3P/8/PPP2QP1/1K3R2 w - -,f2d2
r4r2/2pR2bk/pp2p1np/4Pp1p/2P2Pq1/2N1B1P1/PP3K2/3R3Q w - -,d7c7
3b4/5k1R/6p1/p2rp3/Pp2N1K1/1P6/2P5/8 b - -,f7e6
r2r2k1/p3ppb1/Bp2b2p/2p3pn/P2P4/2P1PP2/3N1BPP/1RR3K1 b - -,e6c8
r2q1rk1/1pp1npbp/p2p2p1/3Pp2n/1PP1P1b1/1B3N2/PBN2PPP/R2QR1K1 w - -,c2e3
n1n1qB2/1r5k/pp2B1p1/2p1Q3/2P5/2P4P/6P1/5RK1 b - -,e8d8
1r1q2rk/1p3p1p/p1p2PpB/2p1n1QP/1Pn1P3/6PB/8/3R1RK1 b - -,d8d1
rr6/3nk1pp/p2bpn2/1Pp1p3/4P3/1PNNBP2/2PR2PP/1K5R b - -,a6b5
8/p1r2qkp/bp6/5pQ1/1PP1p3/P3P1PP/7K/2R2N2 b - -,g7f8
5r2/1pp1q2k/3p2p1/1P1P3n/3BP3/2N1Q3/PP5P/7K w - -,e4e5
2r2rk1/4bp1p/2n1p1pP/p2pP3/3Nn3/2P2NP1/P4P2/RR2BK2 b - -,f8e8
8/8/4k3/5N2/5PKp/8/7r/8 b - -,h4h3
2r1rb2/1p3p1k/p2pq1p1/3Nnp1p/P1PBP3/1P3PP1/3Q3P/4RRK1 b - -,f8g7
4rrk1/pb4pp/1p3q2/3p1nN1/2pP3P/4PP1B/PPQ5/1K2R2R w - -,e3e4
1q3r1k/6pp/1P1p4/Q3p3/5P2/3n1P1P/3Nn1PK/BR6 w - -,b6b7
r7/1p3kp1/2p2p2/4p3/p2nP1P1/P2PN3/1PP3K1/7R b - -,f7g6
4Rrk1/2p3pp/2pp4/2r5/p1P5/1P3P2/P5PP/4R1K1 w - -,e8e7
1k4r1/p7/Bp1qp3/n4p2/4b3/P1P3pP/1P3P2/3R2K1 w - -,d1d6
2kr2r1/ppp1bpPp/2n5/8/3p1B2/5N2/PNb2PPP/4RRK1 b - -,e7f6
1r1r3k/pp1q1nbp/2p3p1/3p1p2/2PP1P2/BP2P2B/P2Q3P/2R1R1K1 w - -,h3g2
1rbqr1k1/1p1n1pnp/p2p2p1/2pP4/P3P3/N1N1R1PP/1P2QPB1/R5K1 b - -,f7f6
r1bqkb1r/pp3p1p/2n1p1p1/3n4/2BP4/1QN2N2/PP3PPP/R1B1K2R b KQkq -,c6a5
r2qk2r/pp3ppp/1npBpnb1/8/3P2P1/P1N2B1P/1PP2P2/R2QK2R w KQkq -,d6e5
6k1/8/p5p1/3q1p2/PP5Q/4P2P/5K2/8 w - -,h4f6
r2qr1k1/1p1b1ppp/p1p2n2/3p4/1P1P1N2/3BP3/1PQ2PPP/R3R1K1 w - -,f2f3
r3k2r/1bNnq1b1/p2p1np1/7p/Pp1PP2P/4B3/1PPQNPP1/R3K2R b KQkq -,e8f7
r3r1k1/2nn1p2/pp1p1qp1/2pP3p/P2bPB2/2N5/1P1Q1PPP/R3RB1K w - -,c3d1
2rq1rk1/p2nb1pp/bpp1p3/3p1p1n/2PP4/1P2BNP1/PQ1NPPBP/2R2RK1 b - -,f5f4
r1b1k2r/3nbppp/pp2pn2/8/1P6/P3PN2/4BPPP/RNBR2K1 w kq -,c1b2
1Q6/6kp/p3p1n1/1p3p2/2bB1p1b/PP3P1P/2P3PK/3r4 b - -,g7h6
r1b2k1r/1p1n4/p2Npp1p/2qp4/5Q2/3B1N2/2P2PPP/1R3RK1 w - -,d6b7
r4k2/p3q1p1/bp2PrQN/8/3R4/7P/P2R2PK/8 w - -,g6h7
8/3k4/3P4/1PK5/3P4/5p2/2R5/3r4 b - -,d1b1
r1b1k2r/pp1p1ppp/n1p2n2/q1b5/2PNp3/PQN3P1/1P1PPPBP/R1B1K2R w KQkq -,d4c2
r3r1k1/5p1p/p2q2p1/3P2b1/1p6/1N1Q3P/PPP3P1/1K1R3R b - -,g5f6
b2qr1k1/5rbp/1p1p2p1/pPpPp1P1/P1N1PN2/2B5/K1PQ1P2/3R2R1 b - -,f7f4
3k4/1p4p1/p2r1pb1/8/1P4PP/P1R5/4BK2/8 b - -,g6e4
r1bq1rk1/1pp2pb1/p1np1npp/4p3/B1P1P3/2NP1N1P/PP3PP1/R1BQR1K1 b - -,f6d7
r4k2/3Rn1p1/p1p4p/1pN5/1P6/P5P1/5P1P/6K1 w - -,d7b7
r1bq1rk1/ppp1n1bp/3p1n2/2PPp1p1/4Pp2/2NN1P2/PP1BB1PP/2RQ1RK1 b - -,f8f7:a7a6:h7h5:e7g6
r3k2r/pp1qbp2/6p1/3PR2p/2Q4P/2N5/PP3PP1/5K1R b kq -,e8g8
r1bqk2r/3pbpp1/p2P2np/1p6/8/1P2BN2/1P3PPP/R2Q1RK1 w kq -,d6e7
r1r2k2/1p1b1p1p/1pnbp1p1/1B1p4/P2P4/3NP2P/1P1B1PP1/R1R3K1 w - -,c1c3
5k2/1bq2rpp/p2p4/1p1P1p2/1P1B1P1P/4P1R1/1Q4P1/6K1 w - -,h4h5
r4rk1/1Q3pp1/p3qnp1/3p4/3P1BP1/P1P2P1P/8/R4RK1 b - -,e6e2
2rr1k2/5p1p/3ppp2/2n5/3N1P2/P4P2/2R1PK1P/2R5 w - -,d4b3
1rr3k1/p1q1ppbp/6p1/8/2P5/QP1RBP2/P5PP/2KR4 b - c3,c7e5
6r1/1p1nk2p/p5pP/3pPp2/1K3P2/1P2P3/1P4R1/2R5 w - -,c1c7
1R6/4k3/1p6/7r/1K6/2P5/1P6/8 b - -,h5h2
2r2nk1/1p3ppp/p1bq1br1/P2p4/3N4/4BPP1/1PP1NQ1P/R3R1K1 w - -,c2c3
1r1q1rk1/p1nb1pbp/Pn2p1p1/1p1pP1N1/1PpP1PP1/2P1BR2/2QNB2P/R5K1 b - -,b6a4
1R6/p2r2pk/2p1R1n1/8/7p/P1B5/1PP2r2/1K6 w - -,e6e3
8/1p1rk3/2p1npp1/p3p1p1/P3P1P1/1P1RKP1P/2P1N3/8 b - -,d7d6
5r2/pp1r1pkp/2pqb1p1/2p1p2n/P3P3/1P1PQ2P/2P1NPPN/R4RK1 w - -,g1h1
r3k2r/pppbqpp1/3b3p/3Pp3/4P3/3B1N2/PPP1Q1PP/R3K2R w KQkq -,a2a3
5Q2/5p1k/2p2Pq1/1p1pP1p1/3P2Pp/2P4P/8/2K5 b - -,g6g8
r3k2r/1pq1ppB1/p1bp2pp/6Pn/4P2P/2N2P2/PPPQB3/2KR3R b kq -,h5g7
r3k3/6pp/3B1p2/5P2/6K1/7P/5P2/8 w - -,f2f3
8/8/pB6/1p3pKp/6b1/P4kP1/5P2/8 b - -,f3e4
rr6/2p1k1b1/2Pp3p/3Pp1p1/4P3/2K1B2P/6P1/R4R2 b - -,g7f6
2brr1k1/ppq4p/2pp2p1/4bp2/2P2N1P/1P4P1/PB1QN1B1/3R2K1 w - -,b2d4
6k1/3bp2p/3p2p1/p2P1p2/1p1bP1P1/1P3P2/P2BB2P/7K w - f6,g4f5
8/p1q3kp/6p1/4pr2/1p2r3/1N6/PPPQ4/1K2R3 w - -,e1e4
8/5pk1/1p1p4/3PbPP1/8/p2K4/4N3/8 w - -,e2c3
1k2r2r/ppq2b1p/2pb1pp1/5p2/1PpP3P/PQN1P1P1/2PKNP2/R6R w - -,b3b2
rn1qk2r/pb1pbppp/1p6/3pP3/8/2N2N2/PP3PPP/R1BQ1RK1 w kq -,f3d4
1r2rn2/5pkn/1p3qpp/p1pRp3/2P1P3/2Q2NNP/PP3PP1/3R2K1 b - -,f8e6
8/5k1p/7P/3NKp2/p2P4/P2b3P/8/8 b - -,d3e4
1R6/1p1krp2/p2p1np1/8/3PP3/P1NK2P1/1P6/8 b - -,d7c6
r2q1rk1/pp2bpp1/2n2n1p/3p4/5Bb1/2N2NP1/PP2PPBP/2RQ1RK1 w - -,f3e5
3rk3/p4rpp/1pRPp3/8/3R1P2/6P1/P6P/6K1 b - -,f7b7
8/6k1/5r2/2P5/3BP3/5PK1/8/8 b - -,g7f7
4r1k1/p4pp1/2Q3qp/1B6/1P4rP/P3P2b/1B3RP1/6K1 b - -,e8e6
7R/8/5k2/4pB2/6P1/2r4n/5K2/8 w - -,f2g2
r4rk1/pppq2bp/2npb1p1/3Np2n/2P3P1/3P3P/PP2NPB1/1RBQ1RK1 b - -,h5f6
r4rk1/p1R3b1/1p5p/4p1p1/4N1P1/1P2PpBn/P4P2/5R1K b - -,f8f7
5rk1/5ppp/1p1Q4/1Pp1Bq2/8/P2P4/6P1/6K1 b - -,f5e6
1r1qk2r/5pbp/p1npbp2/1p1Np3/4P3/N2B4/PPP2PPP/R2Q1RK1 w k -,c2c4
8/2k5/2p4P/3p4/4r1P1/8/3QBK2/7q b - -,h1h4
2r5/5pkp/6p1/2p1N3/1p3P2/1P4PP/P2RbnK1/3R4 b - -,f2d1
2k1r3/pppr1pp1/2n2q2/3p3b/P2P1PQp/N1P5/1P3RPP/R5K1 w - -,g4h5
4brk1/6n1/p3pr1p/1p1pR1p1/1q1P4/2N3PB/PP1R1P1P/3Q2K1 w - b6,d1e1
1rb2r2/1p3pkp/1N4p1/p2B2P1/P7/1PP2R2/6P1/5RK1 b - -,c8f5
8/7R/pp6/b1p1k3/P1P2p2/3P1P2/2K2P2/8 w - -,h7a7
1r3k2/1r2pp1p/p3b1p1/3pP3/3P1P2/B1R2P2/P6P/2R3K1 b - -,f8e8
rnbqk2r/5ppp/2p1pn2/pp6/P1pP4/5NP1/1P1QPPBP/RN2K2R w KQkq -,b1a3
r4rk1/pp1nqpp1/2p1b2p/4P2n/3PN3/8/PPB1N1PP/R2Q1RK1 w - -,e2c3
1kr5/1p1n4/p3BP1P/3pP3/3P4/Pq4p1/1P4K1/2Q3B1 w - -,c1e3
8/1p6/3p4/p2B4/1rPk4/1P6/P6R/2n3K1 w - -,h2f2
r5k1/5pbp/pBp3p1/8/1P2bP2/2P3P1/5K1P/2RN4 b - -,a8b8
rn1qrbk1/p2p1p1p/1p4p1/1npPP3/5B1N/6P1/PPQ2PBP/R4RK1 w - -,h4f3
2b2r2/1p2r1pk/p1p2p1p/4n3/P2RP1P1/1P1NP1KP/2P3B1/3R4 b - a3,a6a5
r4rk1/pbpnqpbp/1p4p1/4p3/1PN1P3/2PBB3/P1Q2PPP/R4RK1 w - -,a2a4
6k1/r1pnr1pp/1p1p4/p2P1p2/3Bn3/P5P1/1P2PPBP/2RR2K1 w - -,b2b4
2r1rnk1/pp4pp/2q1pB2/3pPp2/3P3Q/PR6/1P3PPP/4R1K1 w - -,f6g7
1r2r1k1/3q2bp/3pp1pB/ppn5/4P1P1/P1PB1Q1P/1PR5/1K3R2 w - -,h6d2
2r3k1/5pp1/NpN2b2/1P1p2p1/2n5/3QPqP1/5P1P/2R3K1 w - -,a6b4
8/4R3/6k1/1p3p2/4p1pB/1P1n2P1/P3Kr2/8 w - -,e2e3
5rk1/p1q1ppbp/1p4p1/1Pn1P3/2P1R2P/P2R1NP1/5P2/5QK1 b - -,c5e4
1q2r1k1/r2n2np/pp1p1p2/2pP2P1/P1N1P1P1/2N1R2P/1PQ5/4R1K1 b - -,f6g5
r4k2/pb3p2/1qpNp1r1/1p1nP2p/6pP/1P1B2b1/5PP1/R2RQ1K1 w - -,d3g6
1r1r2k1/p3qpp1/2pb1n1p/3ppb2/N1P5/1P2P2P/PB2BPP1/Q1RR2K1 w - -,e2f1
8/5p1k/3K2p1/3QP2p/1P5P/5P2/2q5/8 b - -,h7g7
r3k2r/3bqpb1/p1pp1n1p/1p2n1p1/3NP3/1BN3B1/PP3PPP/R2Q1RK1 w kq -,h2h4
8/5bkp/1p4p1/1P6/4BNPP/5K2/2n5/3r4 w - -,e4c2
3r4/kp1r1p2/pq2p2p/2bnP1p1/4R3/PBP2NP1/KP2QP2/3R4 w - -,f3d4
3rk2r/1p1npp1p/1B3npb/1B6/8/2P5/PP3PPP/3RK1NR b Kk -,d8a8
5r2/3qb1pk/p7/1p2p3/3P4/P5NP/1P3PK1/2BR1R2 b - -,e5d4
8/1q3b2/2pQ1pk1/2B1p1pp/4P3/5P1P/6PK/8 w - -,d6f8
1r4k1/p3p2p/3p1ppb/2pP4/2P1P3/qP3KPP/2QNRP2/8 b - -,h6d2
8/8/8/1R6/8/p7/2K5/k7 w - -,b5h5
8/1p1r2pk/3b3p/R7/2bB1P1P/2P3P1/3K4/1R6 b - -,c4d5
4b3/p5kp/1p6/8/2P1p1PP/8/P3BP2/6K1 w - -,f2f4
2r1r1k1/1b1nqpbp/pp1p2p1/4n1P1/P2BP3/2NN3R/1PP2QBP/5R1K w - -,f2h4
6k1/6p1/3p1p2/3P1K2/4P3/p7/r1rN2R1/3R4 b - -,g8f7
4r1k1/1p3ppp/5nb1/2Npp3/1B2Pn1P/P4P2/1P5P/3RR1K1 b - -,f4h3
r2qk2r/pp1nbppp/2p1pn2/3p4/2PP2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,h2h3
2r3k1/1p3pp1/4p2p/p7/1N3P2/7P/PP1R2P1/1b4K1 w - a6,d2d1
r4rk1/p2b1pbp/3p1np1/q2P4/1p2P3/2NNBP2/1P4PP/R2Q1RK1 b - -,a5c7
8/1pk2p1p/2p2p2/8/p1P1B3/P3RK2/1P1r1n1P/8 b - -,f2e4
3rr1k1/bp3pp1/p1nq3p/3p4/1P1N2b1/P3P1P1/1B1RBP1P/3QR1K1 b - -,g4e2
r1q1r1kb/ppp2p1p/3p1npB/8/2b1P3/2N2N1P/PPPQ1PP1/3RR1K1 w - -,b2b3
8/8/3bk3/7p/1p2P1p1/1P1K2P1/2P2B2/8 w - -,f2e1
r3k2r/ppqnnppp/2pb4/3p3b/3P4/3BBN1P/PPP2PP1/RN1QR1K1 w kq -,b1d2
2q1r2k/3RBpb1/pP2p1pp/4P3/P2P2P1/7P/1Q4K1/8 w - -,d7c7
r4rk1/pbpqbppp/1p3n2/3p2B1/3P4/2N1P3/PP2BPPP/R2QK2R w KQ -,e1g1
r2q1rk1/2pb2bp/1p1p1np1/2nPpp2/pNP1P3/P1N1BP2/1PQ1B1PP/1R3RK1 b - -,d8e7
1r4k1/3q2p1/2pbp1p1/3p1p2/1PnP1P2/5rP1/4P1BP/1QR1B1K1 w - -,e2f3
r4rk1/1bqn1pbp/p3p1p1/1pP1p3/NP2P3/3BB3/P3QPPP/2R2RK1 w - -,a4b6
r4rk1/3R1pp1/4p2p/p3P3/2q5/2P1Q1P1/5P1P/R5K1 b - -,a5a4
8/p2r3p/5kp1/5p2/1P1p1P2/P2R2KP/2R3P1/r7 b - f3,a1e1
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP4/2N1PN2/PPQ1BPPP/R1B2RK1 b - -,d5c4
2rq1rk1/pb1nbp1p/1p4p1/2pp4/3Pn3/1PN1PN1B/PB3PPP/2RQ1RK1 b - -,f7f5
8/pp4k1/8/5R1p/7P/1P6/P2r2PK/8 b - -,g7g6
2q1r1k1/2p2pbp/p4np1/4Nb2/1r3P2/1PN3PP/P1Q3BK/2RR4 w - -,c2d2
3r4/3r1pkp/1p2p1p1/4P3/P1R1bP2/6PP/6B1/4R1K1 b - -,e4g2
2r2k2/pp3npp/1r3p2/2NRp3/8/2P2P2/PP1R2PP/6K1 b - -,f8e8
8/1b2kp2/pp2p3/6pn/1P2P3/P3KP2/3NB1P1/8 b - -,f7f6
8/3kp3/pB1p2p1/P2P1p1p/2P1nP2/2K4P/6P1/8 w - -,c3d3
5rk1/1b3qpp/r1npn3/P1p1pp2/2P5/2B1PP2/3QB1PP/1R1R1NK1 b - -,f5f4
2kr3r/pppqn3/1n2b3/5p2/5RpP/2NP4/PP2P1BP/R3QN1K w - -,h1g1
8/5rkp/p3q1p1/3pp1P1/3r4/4QPN1/1PPb4/1K3RR1 w - -,e3a3
8/1p1b1pp1/3k3p/3p4/1P1N3P/P5P1/5P2/6K1 w - -,f2f4
r4rk1/3n1ppp/b1nqp3/p2p4/NB1P1N2/4P1P1/1P3PBP/R1RQ2K1 b - -,a5b4
r2q1rk1/ppp2ppp/2nb4/4p2b/8/2P2NPP/P1PP1PB1/R1BQR1K1 w - -,d2d4
8/3n2p1/3k2p1/3pPp2/B2K4/5PP1/7P/8 b - -,d7e5
3r2k1/p4p1p/1p1r2p1/2qB4/4P3/PQ3RP1/3K3P/8 b - -,c5d4
5r2/4b1k1/2qp3p/pp2p1p1/4P3/3QB1P1/PP4KP/2R5 b - -,c6b7
8/6pp/5k2/4p3/n3P3/5P2/b1K3PP/1R6 b - -,a2b1
r1q2rk1/1p2bppp/2p5/p7/Pn1PRB2/1Q4P1/1P3PBP/5RK1 b - -,c8d7
8/2bk2N1/8/5Kp1/3B3p/3P1p2/4P2P/8 w - -,e2f3
4rrk1/2q3pn/p1bb2p1/1p1pp1N1/7N/P1P1B2P/1P3PP1/2RQ1RK1 w - -,h4g6
7k/6bp/1Q4p1/1N2p3/P4q2/7P/5PPK/8 w - -,g2g3
6k1/1p4p1/7p/p2r1p2/2Q5/P1P2P2/6PP/4qRK1 b - -,e1e3
b6k/2p2rpp/1b1pNn2/3Pp1B1/4P3/R6P/1PB2PPK/8 b - -,a8b7
r3k2r/1q1nbpp1/8/2p1P2p/2N1n3/1P4PP/1B2N1B1/3Q1RK1 b k -,a8b8
6k1/6P1/4KP2/6P1/5n2/8/8/8 w - -,e6d6
r3qrk1/pppbn1b1/3p3p/3Ppp2/2P5/2N1B1P1/PPBQ2PP/R4R1K b - -,e8g6
r1r3k1/2q1bppp/p1bppn2/1p2n1B1/4P3/P1N2N2/1PPQBPPP/3R1RK1 w - -,d2d4
6k1/1b5p/6p1/5r2/2R1P3/1P2b3/P3N3/4R2K w - -,e2g3
5k2/2p2p2/r4p2/2p5/2P1BPbP/1P1R2P1/5PK1/8 b - -,a6a3
2rqrk1b/5bnP/p2p1p2/1p1P2p1/2p2B2/5B2/PPP2PP1/1K1R1Q1R w - -,f4c1
2k3rr/1bq1npb1/1n1pp3/pp4BP/2pPP3/2P2B2/PP1QN3/1KNR3R b - -,f7f6
2kr3r/1pp2pp1/1bp1qn1p/p3p3/P3P3/1N1P3P/1PP1QPP1/R1B2RK1 w - a6,c1d2
5nk1/p3q1p1/1pbbpr1p/3p3Q/3P4/1P1BPN2/P2N1P1P/6RK b - -,c6e8
8/8/r4p2/5k1p/PR4pP/4K1P1/8/8 w - -,b4b5
r5k1/pp2Q1p1/b5qp/P7/4p3/1PR2N1P/5KP1/4R3 w - -,e7e4
r4k1r/pp1qbpp1/1n2p2p/3nP3/2pPR3/P4N2/1PBB1PPP/R2Q2K1 b - -,a8c8
1r2k3/1bq1bpp1/p2p3r/4p2n/2p1PP2/P1N3B1/NPPQ3P/K2RR3 b - -,h5f4
8/5pk1/2b1pNpn/2Q1P3/1p1P3K/5r2/1P5P/8 b - -,f3f4
5nk1/1b2r1p1/1Qq2p1p/2pp4/P3n3/4PN1P/2B2PP1/BR4K1 w - -,a4a5
8/r7/7k/5ppP/P1R5/7P/6K1/3N4 w - -,d1e3
r1bqr3/p3b1kp/1p2ppp1/3n1n1P/3P4/P2Q1NN1/1P3PP1/1BBRR1K1 w - -,d3d2
r1bq1rk1/pp1n2bp/2pp1pp1/4p1B1/2PPP1n1/2N2N2/PPQ1BPPP/R4RK1 w - -,g5h4
rnb1k2r/1pp2pb1/p2ppq1p/6p1/2BPP3/2N5/PPPQNPPP/R4RK1 b kq -,b8c6
1r1qknr1/p4p1p/4p3/3p1N2/1Q6/1P5P/P4PP1/R3R1K1 w - -,b4f4
5rk1/1pp5/p4q1n/3Pppp1/2P5/1P4pP/P4bB1/R2Q1R1K w - -,d1f3
3qr1k1/Q1pb3p/2pn1bp1/3p4/3P1B2/2N2N1P/Pr3PP1/R3R1K1 w - -,f3e5
8/pkr2ppp/1p6/1P6/8/6P1/5PKP/1R6 w - -,b1b4
6k1/3rn1p1/5p1p/B3q2P/Q1p5/P4P2/1p4P1/5RK1 b - -,e5e3
6R1/1p1k3r/1P3p2/4b1p1/2r5/P1p1BKPP/2R5/8 b - -,h7h3
3kb3/4qpb1/2n1pNp1/pp1pP1N1/2pP3Q/P1P3P1/1PB2P2/7K b - -,c6b8
8/pp1b3k/3bp2p/QP1p1q2/P2P1N2/5NP1/2r2P1P/5RK1 w - -,a5d8
2r1kb1r/pp1b1ppp/q7/3P4/3B1P2/3P4/PP1Q2PP/1R2KB1R b Kk -,a6a2
r2qkb1r/p2p1p1p/1p4p1/3Pp2n/2PpP3/P4P2/1P3PBP/R1BQK2R w KQkq -,f3f4
3r2k1/1pq2ppp/5bb1/2n1p1P1/2P1P3/4RN1P/1BQ2PB1/6K1 b - -,f6e7
8/8/p3ppp1/1p3k2/1P1b1P1P/P5K1/8/3N4 b - -,f5e4
r1bq1rk1/ppp1bppp/2n2n2/3p4/3PP3/5P2/PPB1N1PP/RNBQ1RK1 b - -,c6b4
8/p2Br1k1/P1K1P3/5P2/6p1/b2R4/8/8 b - -,a3b2
r2q1rk1/ppp1bpp1/2npbn1p/4p3/2B1P3/2PP1N1P/PP3PP1/RNBQR1K1 w - -,b1d2
r1b1kr2/2qn1pQ1/1p2p2p/pB1pP2P/P2N3b/R7/1PP2PP1/5RK1 b q -,h4e7
8/4k3/p4p1P/8/2K2n2/8/1B6/8 b - -,f4g6
8/8/3p4/1P1P1ppp/1rP1k3/4P1P1/3R4/3K4 w - -,d1e2
8/p4pk1/6p1/8/2P5/1K2R3/PP6/6r1 w - -,b3c2
r2q1rk1/2p1bppp/p1np1n2/1p2p3/P3P1b1/1BP2N1P/1P1P1PP1/RNBQR1K1 b - -,g4h5
2r5/p2q1Pkp/6p1/1r1n1bN1/2N5/1Q1n2BP/1P3PP1/2R2BK1 w - -,b3a3
r4rk1/ppn2pbp/2n1b1p1/3p2N1/7B/1BP4P/PP1N1PP1/R4RK1 b - -,e6f5
8/p3b3/1k4p1/7p/P1RN1P1P/5K2/8/4r3 w - -,c4c6
6k1/5p1p/p3n1p1/1p6/1Pr2b2/P3RN1P/2P1R3/5K2 w - -,e3d3
8/5R2/2P5/p3k3/1P2p3/P4r2/3K1p1P/8 w - -,f7f3
5rk1/p4ppp/5n2/1p1q4/6b1/1P1BN1P1/P1PP1Q1P/4R1K1 b - -,d5h5
3q1k1r/1p1R1p2/p4N1p/3pPQ2/1P1b4/P7/7K/8 b - -,d8c8
1rb1r1k1/p1p1qpb1/3p1n1p/2p3p1/2P1P3/2N2P2/PPQ1BBPP/1R1R2K1 b - -,c8e6
5r2/p1R2p1p/3Npkb1/5p2/PP5P/6P1/2P2b2/1K1R4 w - -,d1f1
5k2/5p1p/1nB3p1/p1p5/8/1P2P1P1/P3KP1P/8 w - -,e2d3
r1b2rk1/pp1n1pp1/2pbpq1p/8/2PP4/3B1N2/PP1B1PPP/R2QR1K1 b - -,c6c5
rn3rk1/1pq2p1p/2p1p1p1/p2p4/2P2P2/1PQ1PP1P/PKP5/3R1B1R b - -,b8a6
2r5/2P3k1/pp1R2pp/5p2/8/8/PP3PPP/5K2 w - -,d6c6
r2q1rk1/pppnbppp/4pn2/3pNb2/8/1P1P2P1/PBP1PPBP/RN1Q1RK1 w - -,f2f4
8/P1N2k2/1n4pp/4K3/5P1P/8/8/8 b - -,g6g5
4r3/1p1npk1p/3p1pp1/3P4/2P4R/1P2RP2/4BKPP/1r6 b - -,d7f8
r1bq1r1k/1pp3pp/2np4/p4n2/4pP2/1NN3P1/PPP1Q1BP/2KR3R w - a6,a2a4
8/5pkp/4p1p1/2r1q3/7P/3B2P1/2PQ1P1K/8 b - -,e5d4
1rbq1rk1/p3nppp/4p3/1BPp4/4n3/2N2N2/PP3PPP/2RQ1RK1 w - -,c3e4
r4rk1/5pb1/q2p1np1/1bnPp1Bp/1R2P1P1/5P1P/P1BQN3/3N1RK1 w - -,d1c3
3r1r2/ppp1Q1k1/1b1p4/5p1q/B2P1Rpp/2P3P1/PP3P2/3R2K1 b - -,g7h8
