5b2/8/R7/4kppp/8/p4K1P/5P2/8 w - -,a6a5
r1b2rk1/pp1pppbp/2n2np1/7q/2P4Q/2N2NP1/PP2PPBP/R1B2RK1 w - -,h4h5
r1b1qrk1/pp3p1p/n2p1bp1/3Np3/2P1P3/8/PP1QNPPP/R2BK2R b KQ -,f6g7
r3r1k1/1p4p1/1p5p/3p1p2/2Pq4/P2B2n1/1PQ2PP1/3RR1K1 w - -,c4d5
r4rk1/pp2bppp/2nq4/2pp4/8/2PQ2PP/PP3PB1/R1B1R1K1 w - -,c1f4
rnb1k2r/ppp1bppp/4q3/6B1/2Pp4/2P2N2/P3BPPP/R2QK2R w KQkq -,c3d4
4k3/1r3p2/1P1Rp1p1/p1K1P2p/P3P3/6P1/7P/8 w - -,c5c6
2r5/pp2k2p/3R1pp1/8/3N2b1/P4P2/1P4PP/4K3 w - -,d6d5
1rbq1rk1/3nppbp/pP1p1np1/2pP4/4P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,d7b6
r2q1rk1/pp1bppbp/3p1np1/8/3NP2P/1nN1BP2/PPPQ2P1/R3K2R w KQ -,d4b3:a2b3
8/4k3/5p1p/ppnB4/3K1P1P/1P4P1/P7/8 b - -,e7d6
7k/3R4/7B/4p3/P4pK1/1P5P/r2n1P2/8 b - -,d2b3
2rq1rk1/pp1nppbp/2b3p1/3p4/3P1B2/Q4NP1/PP2PPBP/2R2RK1 b - -,a7a6
6k1/5p2/3p2p1/3Pn3/2pQP2p/2P4P/Br3RPK/2q5 b - -,c1a1
8/8/2p2kp1/p1r5/Pp3pRP/1P6/1P6/1K6 b - -,f4f3
3rr1k1/qp3pb1/p4npp/P7/3pPPb1/P2P4/3B2BP/R2QNRK1 w - -,d1b1
1r1q1rk1/1bnp1ppp/pp2p3/4P3/P2PNP2/1N5P/1P2Q1P1/2RR2K1 b - -,b7c6
8/B7/4n3/7p/5p1P/8/5Pk1/4K3 w - -,e1e2
8/7p/2Rp2p1/1Pk2p2/P7/1r1p2P1/3K1P1P/8 b - -,c5d5
1r4k1/2r1bpp1/7p/1bpB4/4N3/4P2P/1P1R1PP1/R5K1 b - -,g8f8
6k1/5bbp/2p3p1/p1q2p2/P1Pp4/3P2P1/2QBPPBP/1r4K1 w - -,c2b1
8/1p5p/8/2k5/P2p4/1P6/6KP/8 w - -,g2f3
3r3k/p5bp/1p2p1p1/4prq1/2P5/1PB1Q3/P4PPP/R3R1K1 b - -,g5h4
r1r3k1/ppq2p2/1n1bp1p1/8/b2P4/P1PQ1N2/2BB1PP1/R3R1K1 w - -,c2b1
1rb1rbk1/1pq2ppp/p2ppn2/8/P1nNPP2/2N2B2/1PP2QPP/R1B2R1K w - -,b2b3
r2qkb1r/pp2nppp/4p3/3pP3/3P4/8/PP1NQPPP/R1B2RK1 w kq -,e2b5
4k3/2R5/pr3pp1/3pn3/1N2r3/1PP5/6PP/3R2K1 b - -,d5d4
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/1P3N2/P1P1PPPP/RNBQKB1R w KQkq -,c1b2
4r1rk/RR4bp/6p1/3p4/5q2/2P1N2P/3Q1PP1/6K1 w - -,b7f7
8/7p/8/4k1P1/1rp4P/6PK/1P1R4/8 b - -,e5e6
3r2nr/3k2pp/Bp6/8/N2n1B2/bP6/P1P2PbP/RK2R3 w - -,a4b6
8/p3k2p/np4p1/4B3/P1P5/1P2K1P1/7P/8 w - -,e5d4
r1bqrbk1/2p2ppp/p1n2n2/1p1pp3/4P3/2PP1N2/PPB1QPPP/R1B1RNK1 b - -,h7h6
r2qkb1r/ppp2ppp/3p1n2/8/2BnPB2/3P4/PPP1Q1PP/RN2K2R w KQkq -,e2f2
8/2R4p/4pkp1/4rp2/2p5/1b3PP1/3KB2P/8 b - -,e5a5
2r3k1/3qn1p1/1b2p2p/1p2Pp1Q/2pp4/1P1P2P1/2PB1PBP/4R1K1 w - -,b3c4
r6r/2pkbpp1/p1n1b2p/1p1p4/3P1B2/2P3N1/PPB2PPP/R3R1K1 b - -,e7g5
2Q5/bP3ppk/6p1/8/8/6PK/1r5P/8 w - -,c8a8
3r2k1/1n2q3/p2ppr1p/1pp4P/2P2NP1/1P2Q3/P3P1K1/3R1R2 b - -,e7f7
8/6k1/2B2pp1/6Pp/5K1P/8/8/8 b - -,f6g5
2r1kb2/pp1q1ppr/2n1N1bn/1BPpP3/8/2N1B2Q/PPP2P1P/R3K1R1 b Q -,h6f5
1r1nr1kb/pq2pp1p/2bp1np1/2p3B1/2P1P3/1PN2NPP/P1Q2PBK/R2R4 w - -,f3e1
r2qkb1r/pp3ppp/2n1pn2/3p4/3P4/2NQPN2/PP3PPP/R1B1K2R w KQkq -,e1g1
1k6/5Q2/2q5/p3PP2/np1B4/1P6/K7/8 w - -,f7f8
r3r1k1/1p3pbp/2p1p1p1/3n4/p1RP3N/4P1P1/PP3P1P/3RB1K1 b - -,e6e5
r4rk1/q2bb1pp/p1n1p3/1p1pPp2/3P4/3BPN2/PP2N1PP/R2Q1RK1 w - f6,h2h4
r5k1/2qn1rbp/1p1p2p1/1P1Ppp2/1pP5/1P3PP1/2B1R2P/1N2QRK1 b - -,c7c5
1r6/1qb3k1/pp2ppp1/8/PP1Pp3/4P1P1/QN3P2/2R3K1 b - -,g7f7
3r1rk1/1p3ppp/p3q3/2p1b3/8/P1N1P3/1PQ2PPP/3R1RK1 w - -,d1d2
2n4R/1K6/P7/6k1/6p1/2r4p/8/8 w - -,h8g8
r7/P3p2p/2p1kpp1/R3P3/5P2/3KB1P1/7P/2r5 b - -,c1d1
3r1k2/q3r1pp/pp4n1/3B1n2/PP6/3R1P1P/5QPB/3R3K b - -,g6e5
8/1R3ppp/2p2k2/p7/5qP1/1P5P/4B1K1/8 b - -,f6g5
2qr1nk1/3rbpp1/p2p3p/2pR4/2P1P1P1/1P2QPBP/P1N4K/3R4 w - -,f3f4
2r1r1k1/3n1pp1/p1pbp1p1/1p3q2/2PP4/1PB2N2/P3QPPP/2R1R1K1 b - -,g6g5
6r1/2R5/4P3/1p6/1b1p1B2/2pk4/P4K2/8 w - -,e6e7
1k3r2/pp4bp/1q6/3r2P1/3p1pb1/2PQ1N2/PP1B2P1/4R1KR w - -,c3c4
8/4kpp1/4p1p1/2r5/p1p1RP1P/P1Pr2P1/1PK3R1/8 b - -,d3d7
r1bqkb1r/ppp1p1pp/2n2n2/3p4/3P1Bp1/3Q3P/PPP1PP2/RN2KBNR w KQkq -,b1c3
2r2rk1/p3b2p/2n1p3/1pp2pp1/8/P2PPNP1/1PPN2KP/1R3R2 w - g6,h2h3
6b1/1pr2r2/p2k2p1/3p3p/7P/1P1N1P2/P2R1KP1/4R3 w - -,f2g3
8/p4k2/2prp1pp/2N2p2/P1b1P3/2P2RP1/1r3P1P/4R1K1 w - -,h2h4
r3r1k1/1bq2p1p/p1pb1p2/1p6/4P3/2N2BP1/PPQ2P1P/2RR2K1 b - -,a8d8
b4r2/p3r1k1/P2q3p/1p1Pp1bR/1Pp1B3/2B2PP1/3Q2K1/3R4 w - -,f3f4
1kr5/1q1r1p2/p1p1p1p1/2R1Pn1p/1PpP1P1P/PQ2B1P1/4NK2/8 w - -,c5c4
4k3/2p1rn1p/1p4p1/p1p5/P1P1PB2/1PP1K2P/8/5R2 b - -,e8d7
8/5p2/1Kp5/2B2n1P/6k1/8/8/8 w - -,b6c6
2r2rk1/2q2pbp/4p1p1/p3Pn2/Rp1P1P2/1Q3B2/1P3BPP/3R2K1 w - -,d1a1
r2r2k1/1p2bppp/2b1pn2/qN2p3/P3P3/2P1BB2/1P2Q1PP/R4R1K w - -,f1e1
8/8/2N3b1/p1bB3p/2P3p1/1Pk2p2/5P1P/6K1 w - -,c6a5
8/8/p7/4k2p/6r1/P4K2/6p1/6R1 b - -,e5d4
r1r3k1/4pp1p/qn1p2p1/3P4/1Pp1PP2/p4RNP/PbRB2PK/5Q2 b - -,a6a4
8/8/8/1N4pk/p1p2p2/P4r1P/2K5/8 b - -,f3h3
5rk1/pr4b1/6n1/2p1p2q/2Nn1P1p/1P1PQ3/PBP1NPK1/R3R3 b - -,d4e2
q4rk1/1b1nbppp/r3p3/p1p5/PnN5/3P1NP1/1B2PPBP/1QR2RK1 w - -,f1d1
r3nr1k/p1pbq1bp/3p4/2P1np2/1p3N2/1B2BP2/PP3QPP/1NKRR3 w - -,f4d5
6k1/p2rppbp/1pNqn1p1/1Pn5/P1Q5/4BNPP/4PPK1/5R2 w - -,f1c1
r2r2k1/p1q2pbp/1pn3p1/2pPp3/4P3/2P2PB1/P2QBP1P/2R2RK1 b - -,c6e7
rn1q1rk1/p1p2ppp/bp1ppn2/8/2PPP3/2N2PN1/PP1Q2PP/R3KB1R b KQ -,b8c6
2r1r1k1/2n1ppbp/2Qp2q1/pp6/2p1P3/P3BN1P/1P3RP1/5R1K b - -,c7e6
3r2k1/p2rqp1p/2bpp3/2p2p2/2P4N/2Q2PP1/PP1RP2P/3R2K1 b - -,f5f4
3r4/1p4r1/2bp4/p3kpp1/P1P1p3/1PN3P1/3R1P2/4RK2 b - -,g7h7
r1bqr1k1/1p2npb1/2pp2pp/3Np3/1PP5/3P2P1/3NPPBP/1R1Q1RK1 w - -,d5e7
1r6/5pkp/pP1R2p1/4P3/1pP5/5P2/7P/1K6 w - -,c4c5
8/2PQ3p/6pk/5p2/p6P/6PK/2q2P2/8 b - -,c2c4
8/4kp2/p5p1/2Pr3p/8/4K3/R4PPP/8 w - -,a2a6
r1r3k1/pbqnppbp/1p1p1np1/6B1/2P1P3/1PN2P2/P1NQB1PP/2R2RK1 w - -,c2e3
2rr2k1/1p1n1pbp/2b3p1/7q/p1PpP3/P2B1N2/2QN1PPP/1R1R2K1 b - -,d7c5
r1bqk2r/3nbppp/p2p1n2/1p2p3/4P2N/2N1Q3/PPP1BPPP/R1B2RK1 b kq -,g7g6
8/5k1p/2R5/5p2/p4N1P/2P2K2/8/r7 w - -,c6c7
2r3k1/7p/p5p1/1pBpb1qn/1P6/PR6/2P1Q3/5RK1 w - -,e2g2
r1b3k1/pp2r1pp/4pn2/2ppNp2/P1PPnP2/1P1BP1P1/1B2K2P/6RR w - -,h2h3
8/6k1/4R2p/8/5PP1/5K2/8/r7 w - -,f4f5
1Q6/5kpp/4pn2/8/8/1p2BP2/1Pr1q1PP/3R2KR w - -,d1d7
5rk1/p1r1qppp/8/3R4/Q2p4/1P2P3/3bBPPP/5RK1 w - -,a4d4
r1b2rk1/1p1nq1pp/2pbpn2/p2p4/2PPP3/1P1N2P1/PB1N2BP/R2Q1RK1 b - -,e6e5
4bk2/8/7p/r3N1P1/5PP1/8/1R3K2/8 b - -,h6g5
r4rk1/pp4bp/2p2pp1/N3qP1n/P7/3PB3/1P3Q2/R4RK1 w - -,a5b7
r4rk1/1p1q4/4ppp1/p2pR3/P5P1/1B5Q/1P3P2/R5K1 w - -,e5e2
8/1R4p1/5pkp/P7/6P1/8/6K1/r7 w - -,b7b5
5Q2/kp6/2p1p2p/p7/P1Pb1PP1/1q6/1P6/K1R5 w - -,c1c3
r1bkr3/pp3p1p/3p2p1/4p3/4P3/2PB4/PP1K1PPP/R6R w - -,d3c4
1r2r1k1/2p2pp1/b1pp3p/p1n5/4PP2/1PN1R1P1/P1P3BP/3R2K1 b - f3,g7g5
2r1r3/p5pk/4p3/PPpbBp1n/7p/4PP1P/3R2P1/2R2B1K w - -,h1g1
2kr3r/p3q3/b3p3/1pN2p2/2pP4/6P1/1P3PBP/3Q1RK1 b - -,e7c5
1r2k2r/p1pq2b1/6p1/1P3p1p/2Pp4/Q4NP1/P3PP1P/R4RK1 b k -,g7f6
8/2n5/1p1k1p1p/1P2p1p1/2B3P1/3K3P/8/8 b - -,d6c5
3r4/8/p2P4/1p2kNp1/6K1/4P1P1/PP6/8 w - -,e3e4
3r1rk1/p1q2pbp/1pb1p1p1/2p5/P1PP4/1P2PN1P/2B2QP1/3R1R1K w - -,f2h4
3r3k/6b1/p2p4/P1p5/4p1N1/1Pn3PK/3B3P/1R2N3 w - -,b1c1
r5r1/p1k2p1p/1ppbbp2/3p3N/3P3P/3BP3/PP3PP1/2KR2R1 b - -,d6h2
8/1k2K3/1P3p2/2P1p2p/4P2P/5bP1/8/8 w - -,e7f6
r3kb1r/1pq2ppp/p3p3/3pPb2/8/1Q2P3/PP1B1PPP/R3KB1R w KQkq -,a1c1
rnq2rk1/pp1bppbp/3p1np1/2pP4/2P5/2N3PP/PP1NPPB1/R1BQK2R w KQ -,g3g4
rnb2rk1/ppq3pp/2pbp3/3p1p2/2PP4/2nBPPP1/PPQ1N2P/R1B2RK1 w - -,e2c3
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/P1N1P1N1/1P3PPP/R1BQKB1R w KQ c6,c4d5:d4c5:f1e2
r2qk1nr/1p3ppp/p1npb3/4p3/2P1P3/2N5/PPN1BPPP/2RQK2R b Kkq -,d8g5
8/1p6/p1kr2pR/6PP/4K3/1P1P4/2P5/8 b - -,g6h5
rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/2N3P1/PPP2P1P/R1BQKBNR b KQkq -,f8g7
r2r2k1/1q2ppbp/p1pp1np1/P3n3/3NP3/1PN1BP2/2PQ2PP/R2R2K1 w - -,c3a4
1rnq1r2/4npbk/1p1p2pp/pNp1p3/2P1N1b1/PQBPP1P1/1P3PBP/1R1R2K1 w - -,d1e1
r2bn3/1p1q3k/r2p1p1n/PNpPp1pP/2P1P1P1/R4QK1/3B4/R2N4 w - -,d1e3
rnb1kb1r/ppp1qppp/3p4/8/4n3/5N2/PPPPQPPP/RNB1KB1R w KQkq -,d2d3
r1r3k1/pqnnppbp/1ppp2p1/8/2PPP3/1PB2NP1/PQNR1PKP/4R3 b - e3,e7e6
r3brk1/1pp1qp2/n4np1/p2PpR1p/2P1P3/3N2PP/PP1NQ1B1/R5K1 w - -,f5e5
r2q1rk1/1ppb2bp/3p4/3Pp1p1/1PP1Pp2/p1N2P2/P3Q1PP/3R1RBK w - -,c4c5
r2q1rk1/1p1b1pbp/6pB/p2np3/P2N4/2P2P2/1P2B1PP/R1Q2RK1 w - e6,h6g7
2b5/4kp1p/pp3np1/1P1p4/P2N4/4P1P1/4KPBP/8 w - -,e2d2
2r3k1/pbq3p1/1p2p3/5r1p/2PRpP2/4B1P1/PP2Q2P/4R1K1 w - h6,e1d1
3r2k1/3r1p1p/p2n2p1/P2R4/1pPp4/3B4/2P3PP/4R2K w - -,c4c5
5rk1/3q3p/1p1p2p1/p1nPp3/P3Pr2/2N2PRP/1P2Q2K/3R4 w - -,e2g2
r1b2rk1/p3bppp/1p1qp3/n7/3P4/2PB1N2/P3QPPP/R1BR2K1 b - -,c8b7
8/1p2k3/p1p1n1B1/2PpK3/1P1P1P2/8/1P6/8 w - -,g6f5
8/1kp5/1pp3p1/p1n1qP2/8/3P1QP1/PPP1N3/1K6 b - -,g6f5
7r/1b3k2/p2p1p1p/Pp1PpPp1/nPr1P1P1/7R/6BP/BR5K w - -,h1g1
1rbq1rk1/2p2ppp/2np1n2/3Np3/1p2P3/1B1PPN2/1PP3PP/R2Q1RK1 b - -,f6d5
8/R3ppk1/4bb1p/6p1/4B3/3PPNPP/5PK1/2r5 b - -,h6h5
rnbq1rk1/ppp1ppbp/6p1/3n4/2BP4/2P2N2/PP3PPP/RNBQ1RK1 b - -,b7b6
r1bqkb1r/ppp2p1p/2np1np1/4p3/2P5/1PN1PN2/PB1P1PPP/R2QKB1R b KQkq -,f8g7
6k1/pR5p/3Np1p1/8/3P3P/1Rr1nK2/P1r3P1/8 w - -,b3c3
8/2k3b1/p2pp2p/N4pP1/1nNP1PbP/3K2B1/8/8 w - -,d3c3
4r1k1/2n3pp/3qr3/4p3/1pPpQ1NP/pP4P1/P4P2/3RR1K1 b - -,d6f8
3k4/3P1R2/5p2/2pr4/8/8/6PP/6K1 b - -,f6f5
3r4/4kpp1/p3p2p/1p1R4/8/P1P2PP1/1P3KP1/3R4 b - -,e6d5
1k6/8/P2KP1p1/2B5/5bP1/8/8/8 w - -,d6d7
2r3k1/1pq2pp1/p3r3/5Q1P/3b4/2P5/PP3P2/1K1R2R1 w - -,d1d4
5rk1/1pr3p1/2n1p3/p2pP1p1/3P2P1/P7/1P2B2P/3R1RK1 w - -,f1f8
1r6/p1pbk2q/2p1pp1R/2P3p1/2BPp3/1P2P3/P5P1/2K1QR2 b - -,h7h6
rnb2rk1/pp2ppbp/1n1q2p1/2p5/P7/NBP2N2/1P1P1PPP/R1BQ1RK1 b - -,b8c6
3rrbk1/pb3ppp/p7/3Pp3/1qp1N1P1/4NPQ1/PPP4P/3RR2K b - -,b7a8
r1bq1rk1/1p2npb1/p1np2pp/2p1p3/2P5/1PNPPNP1/PB3PBP/R2Q1RK1 w - -,d1d2
rnbq1rk1/pp1p1pp1/4pn1p/8/1bPN3B/2N5/PP2PPPP/2RQKB1R b K -,d7d5
r3k2r/2qnbpp1/p3pnp1/1pP5/4P3/1QN2P1P/PP1BB1P1/2KR3R b kq -,d7c5
3r3k/1b4bp/p2r4/1p1Ppp2/4p3/PBN3Pq/1P2QP1P/2RR2K1 w - -,e2f1
3r1k2/4p2p/pnr2pp1/1p1N4/8/2P5/PP3PPP/3RR1K1 w - -,d5b6
7r/3Rpp2/pp3k2/2b3r1/P1P1R2p/1P3B1P/5P2/5K2 b - -,g5f5
r2qr1k1/1pp2ppp/2np4/p1b1nb2/2P2N2/PPN1P3/1B2BPPP/R2Q1RK1 b - -,d8h4
8/1p2b1p1/p3p2p/k1p4P/P1P1N1P1/2K1P3/8/8 w - -,c3b3
r2k3r/1b1nqp2/1p1ppn2/p1p4p/P1PP2pP/2PBP1B1/3N1PP1/1R1Q1RK1 w - -,d1c2
r1br1nk1/2q1bppp/p1pp4/4p3/2P1P3/BPNRQN2/P4PPP/R5K1 w - -,c4c5
r3r1k1/5pbp/2pB2p1/p1Ppn3/Q2N2q1/8/PP3PPP/1R2R1K1 w - -,a4d1
5n2/p5kp/4b1p1/1B2Pp2/P6P/5Pp1/8/5NK1 w - -,f3f4
1R6/2rr2pk/1R1p4/3Bp1bp/2P1P3/2P3P1/5PK1/8 b - -,h5h4
8/3R4/2p5/1p2k1p1/p7/P3KbP1/1P6/8 b - -,g5g4
r1b1r1k1/p3bpp1/2p1pn1p/qp4P1/3P3P/1BN1PN2/PPQ2P2/R3K2R b KQ -,f6g4
6k1/p7/6p1/2p5/2p5/P3P3/7P/3rNK2 b - -,d1a1
6k1/5pp1/1p1bpn2/P2p3p/q2P4/P2QPPP1/1B5P/2N3K1 b - -,a4a5
3r4/1k3p2/1p6/p3Pb1p/Pqp2P2/2Np2P1/1P1Q2P1/4R1K1 w - -,g1f1
2q4k/2p3p1/1r4bp/3Q4/5P1P/1P6/PBP5/2K1R3 b - -,c8f8
1r4k1/1rp2ppp/p1p2n2/P2b4/1P6/2N2P2/2N2KPP/1R1R4 b - -,h7h5
r4k2/5ppp/p7/1p1np3/8/4PNP1/PP3PKP/2R5 b - -,f7f6
r5k1/pp5p/4r1p1/2P2b2/3p2n1/8/PP2NPP1/R1BK1R2 b - -,f5d3
r1b2r2/1pp1q1bk/p2p1npp/3Pp3/2B1N3/7P/PPPQ1PPN/2KR3R w - -,e4g3
r3k2r/2q1b1pp/p1p1Rn2/3p2B1/7Q/2N5/PPP2PPP/2KR4 b kq -,e8g8
6k1/p2bbppp/4p3/1prpP3/3N1Q2/1P1B4/q4PPP/1R4K1 w - -,b1c1
6r1/1p2p2k/p1p2b1p/8/1PP1bN2/7P/4q1P1/R3R1K1 w - -,e1e2
8/5kpp/4pp2/1pb5/5P2/P4KP1/1r2P2P/2R5 w - -,c1c5
5rk1/ppr1p1bp/3qb1p1/3pNp2/3P1P2/1QPBRP1P/P5P1/R5K1 b - -,f8c8
1r1q1rk1/1Bn1bppp/2P1p3/1p6/3P4/2B3P1/5P1P/1R1Q1RK1 b - -,c7d5
2r3k1/6rp/R5p1/1p6/4NnP1/5P2/PPP5/2K4R b - -,f4e2
5q2/7k/2p1b1p1/p3r1p1/3RPr1p/1PN4P/P1PQB1P1/7K b - -,g5g4
r2qkb1r/p2b1ppp/8/nQ1PN3/4P3/2P5/P4PPP/R1B1K2R w KQkq -,e5d7
r1b1r1k1/pp1n1pp1/q1pp1n1p/5P2/2PPPB2/2PQ2NP/P5B1/3R1RK1 b - -,c6c5
r2q1rk1/4np1p/p3b2Q/1p1pp3/4p1P1/N4P2/PPP4P/2KR1B1R w - -,f3e4
8/p3b3/1p3pb1/8/2k1p1P1/P2pBP2/1P2n2P/2NR3K w - -,h1g2
7k/5r2/1p1p1rp1/p2Pp2p/2P2n1P/1q2N1R1/1P1Q1P2/5RK1 w - -,f1d1
