3R4/8/8/4k3/1K2n3/8/8/8 w - -,b4c4
2rr2k1/1p2ppbp/2nq1np1/pN1p4/N1P5/1P2PPPb/PB3Q1P/3RR1KB b - -,d6e6
6k1/5p1p/Bp2b1p1/4b3/8/P1N1P2P/1P1K1PP1/8 b - -,f7f5
r2q1rk1/1pp1b1pp/p1n1bp2/4pn2/1P6/P1NP1NP1/1B2PPBP/2RQ1RK1 w - -,c3e4
1r6/3r1pkp/1p2p3/1Pb2p2/R7/6P1/2R1BP1P/6K1 w - -,g1g2
r1b2rk1/pp2qppp/2p2n2/4b3/3BP3/1BN5/PP3PPP/R2QR1K1 w - -,d4e5
1k1K4/8/1P6/2P2R2/8/8/8/2r5 w - -,d8e7
r2qk2r/pb1n1ppp/1p1b1n2/3p4/3N4/1P2P1P1/P4PBP/RNBQ1RK1 w kq -,c1b2
6k1/pb2qpp1/2n1p2p/2p1P3/PpP4P/1P2QNP1/5PBK/8 w - -,e3d3
2rq1rk1/1p1bppb1/p1np1np1/P4P1p/4P3/1NN5/1PP1B1PP/R2Q1RBK b - -,c6e5
rn1qkb1r/1p3pp1/2p1pn1p/P2p1b2/8/P2P1NP1/2P1PPBP/RNBQ1RK1 b kq -,d8a5
3r1rk1/p2q1pbp/bp6/2pppn2/6P1/2PP3B/PPN2B1P/R2QR1K1 b - -,f5e7
2r2rk1/pbq1bppp/1pn1pn2/2p5/2P5/2N1PNP1/PB1PQPBP/1R1R2K1 b - -,f8d8
r4rk1/pp3pp1/3q1n1p/3Pp3/8/4Q1PP/PP3PB1/2R2RK1 b - -,a7a6
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/4P3/1PN2N2/PBPP1PPP/R2QKB1R w KQkq -,a2a4
r3qrk1/1ppb1pbp/n2p1np1/p2Pp1B1/2P1P3/2N4P/PP1NBPP1/R2QK2R w KQ -,b2b3:g2g4
r7/4p1kp/p2p4/1pp1pq2/5n2/P2P2RP/1PP2P1K/1RQ5 b - -,f4g6
3r4/3P4/p1P5/2K5/1P6/P4pk1/8/8 w - -,c6c7
rnbq1rk1/ppp1ppbp/6p1/6B1/2PPp3/8/PP1QPPPP/2KR1BNR w - -,g5h6
4k3/4P3/3P3p/3K2n1/1P6/5p2/7P/3B4 b - -,f3f2
8/b7/2B3pk/4p2p/1P5P/4PKP1/8/8 b - -,a7b6
r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,f3e1
2r3k1/pp1bbpp1/1q3n1p/3pN3/3P4/4BP2/PP1QB1PP/2R3K1 b - -,c8c1
r1b1qr2/pp1n1pbk/3p2pp/1NpPp2n/1PP1P3/4BNPP/P4PB1/2RQ1RK1 b - -,e8e7
r1b2rk1/3nppbp/3p1np1/qBpP4/4P3/2N2N1P/PPQ2PP1/R1B1K2R w KQ -,e1g1
r4rk1/pbpnqppp/1p2p3/3n4/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,a1c1
r3k2r/pp1q1pb1/2bpp2p/5P2/3NP1p1/2N1Q1P1/PPP3P1/2KR3R b kq -,h6h5
8/p5pk/1pR5/3nBr2/3Pp1p1/P3P1P1/5P2/6K1 b - -,f5f7
r1bqk2r/1pppnpbp/p1n3p1/4p3/B3P3/P4N2/1PPP1PPP/RNBQ1RK1 w kq -,d2d3
6k1/pp2q1pp/4pr2/3p4/2pP4/2PbQ2P/PP1N2P1/R5K1 w - -,a1e1
r1b2rk1/2pnq1b1/np1p2p1/pN1Pp2p/PP2PpP1/2PN1P2/3BQ1BP/R4RK1 w - h6,h2h3
2r5/P2kb2p/1B6/2p1p1p1/3pP3/3K1P2/1P4PP/2R5 b - -,d7c6
1rbq1rk1/4ppbp/p2p1np1/1p1N4/2P5/1P4P1/PB1QPPBP/R4RK1 b - -,f6d5
2kr1bnr/pppq1ppp/2n1p3/7b/3P4/2N1BN1P/PPP1BPP1/R2QK2R w KQ -,g2g4
1r1q2k1/1pp2pp1/p2prnnp/4p3/4P3/1QPPNN1P/PP3PPK/3RR3 b - -,c7c6
r1b2rk1/pp2b1pp/2nqp3/2pn1p2/3P4/1N3NP1/PPP1QPBP/R1B2RK1 b - -,c5d4
8/8/5k1p/4R3/5P2/1r4K1/7P/8 w - -,g3g4
r7/2b2k1p/2p2pp1/1BPp4/p2P4/RN4P1/3K1P1P/8 b - -,c6b5
3r2k1/8/p1p4p/3B2p1/1P1B2P1/2P2K1n/5P2/4R3 b - -,c6d5
r2qrk2/1b3pbQ/1p4p1/p2p1p2/1n1P2P1/3BBN2/1PP5/1K1R3R w - -,e3h6
r3k2r/pp3pbp/2pq1np1/2p1p3/2N1P3/3PB2P/PPP2PP1/R2QK2R b KQkq -,d6e7
1r3rk1/1pp2ppp/p5q1/3p1nP1/3P4/2P2NP1/P1P1QPK1/1R3R2 w - -,e2e5
2r5/1b4k1/p2p1p1p/Pp1PpPp1/nP2P1P1/4RB2/7P/BRr3K1 w - -,e3e1
2q1k2r/1p2b1p1/2r5/pQ2Np1p/P1P3nP/6B1/1P3P2/R2R2K1 w k -,e5c6
r4rk1/p5pp/Rn4q1/1B1p1pP1/3PpP2/PQ2P3/1BNn3P/6K1 w - -,b3a2
