8/Pk6/4K1P1/8/n7/8/8/8 b - -,a4c5
rnb2rk1/ppp2pp1/5q1p/3p4/1b1P4/2N1PN2/PPQ2PPP/R3KB1R b KQ -,c7c6
2R5/pr4kr/1p1p2q1/1P1Np3/P3P1p1/3PBpPn/5P2/3QK3 b - -,h3f2
rnbq1rk1/p3bppp/1pp1pn2/3p4/2PP1B2/5NP1/PPQ1PPBP/RN2K2R w KQ -,e1g1
2rq1r1k/p5b1/2bp1n2/4ppp1/2P3Pp/B1NP1P1P/P2NP1Q1/1RR3K1 w - -,g4f5
2kr4/pp3p2/1q2p2Q/2b4P/2Pp3R/8/PP3PrB/1K1R4 w - -,h6f4
3r1k2/2R2p1p/3P2p1/4p3/3b2PP/8/Bp3PK1/8 b - -,d8d6
8/5k2/2b5/6K1/4R3/7p/8/8 w - -,e4h4
8/7R/p3k1pp/4bp2/3r3P/6P1/P2NKP2/8 b - -,d4g4
8/p4k2/bp4p1/4P3/P2N3P/1P1pK1P1/3R4/2r5 b - -,c1e1
4r1k1/1bp2p1p/pnq3p1/4Np2/2P2P2/P7/1Q4PP/2R2R1K b - -,c6c5
2r2rk1/p7/1bRq2pp/3P1p2/7P/1B1Q3R/P4pP1/5K2 b - -,f8e8
4R3/8/8/7K/5kPP/8/8/3rq3 w - -,e8e1
r3k2r/4bp1p/p1bppp2/4qP2/1p2P3/8/PPP1NQPP/1K1R1B1R w kq -,f2b6
r1bqk2r/1p3p2/p1npp1np/4b1p1/2P1P3/1NNBB3/PP1Q1PPP/R2R2K1 w kq -,c3a4
8/1pr2pk1/p1b3p1/4r2p/P2R3P/2P5/1PB5/1K1R4 b - -,f7f6
7r/1R1nkpp1/3p4/5P2/3Pp2q/2P1P1N1/4QKP1/8 b - -,h8a8
8/3q4/3r2kp/Pp1pQp2/1r1P4/4PB2/5P2/4RK2 w - -,e5h8
3r2kr/1pq2pp1/pn1b1n1p/3ppP2/6PQ/P2B1P1P/1PPN2K1/2B1RR2 b - -,d8e8
8/pp4k1/3R3p/5pp1/4p3/4n1PP/PP4PK/8 b - -,e3f1
r2q1bk1/pb1n2pp/5n2/2pp1p2/Q1N2B1P/3N2P1/PP2rPB1/3R1RK1 w - -,c4e3
7r/1p2kp2/3pb1n1/p5p1/P1P1P1Pn/1PK2P1R/7R/3B4 b - -,e7f6:h8h6
r2q1b1r/pp3k2/2n1ppp1/3p3p/3P3P/2NQ1P2/PPP1N1P1/R3K2R w KQ -,e1f2
5r2/8/1R6/2p3pp/K1k1P3/P5P1/8/8 w - -,b6a6
1r3rk1/2p2pp1/p2q1n1p/np1p4/5Pb1/1Q1PPN2/PPN2PBP/3RR1K1 w - -,b3b4
r3r1k1/1p2qppp/2p1bn2/p3p3/2PPp3/P1Q1P2P/1P2BPP1/1NKRR3 w - -,g2g4
r5k1/6p1/4pq1p/1p1p4/2p5/2Pp1N1P/1P1Q1PP1/4R1K1 b - -,a8a2
8/1R3pk1/4p3/6pP/2K3P1/8/8/6b1 b - -,g1f2
8/5p2/6pk/2nN1p2/7P/6P1/5PK1/8 w - -,f2f3
r4rk1/pp3pp1/2nb1n1p/8/N1P5/1P4P1/1B4BP/R4RK1 w - -,c4c5
4rrk1/pppn1pbp/2np2p1/8/4PP1q/2P1B2P/PPBNQ1P1/4RRK1 b - -,d7f6
1r3N1k/6bp/3q2p1/1p2pP2/1Pnp4/3Q2P1/6BP/2B2RK1 b - -,b8f8
R1Q5/2p3pk/2B3p1/3P3p/2p2p1q/1rN5/4PP2/2R3K1 b - -,h7h6
5k2/6R1/6p1/2q5/4P2p/2B2B1P/2K3P1/8 w - -,g7g6
4qrk1/2pp2pp/2n1p3/2P1N1B1/1p1N4/7P/2Q2PP1/R5K1 b - -,c6e5
2rr2k1/3q2p1/1p3p2/p3p3/2PpQ3/1P1R3P/P4PP1/2R3K1 b - -,d7c6
r2q1rk1/pp2bppp/4b3/3n4/3Q4/P1N5/1P2BPPP/R1B2RK1 w - -,c3d5
8/1p3p1k/7B/3q4/8/7P/r5PK/5Q2 w - -,h6f4
r4Rk1/1p2pp1p/p1n3p1/2n2b2/2P5/N1N3P1/P3PPBP/1Rb3K1 b - -,g8f8
1r6/8/5kp1/1pPp3p/R2PpP1P/P3P1PK/8/8 w - b6,a4a6
6k1/5p2/6pp/1p6/2qP3P/2P2QP1/5PK1/8 w - -,g2g1
r2r4/3nk3/p1p2p1p/1pb1p1p1/4P2P/1BP2PB1/PP2K1P1/R2R4 b - h3,d7b6
r3k2r/pp1bp2p/1n1p1n2/q1pP1p1N/2P5/2PBP3/P1Q2PP1/R1B1K2R b KQkq -,f6h5
r1b2rk1/pp4p1/2n1p1Bp/3pP3/8/P3B3/2P2PPP/R3K2R w KQ -,f2f4
r3k2r/5ppp/p1p2n2/1p1P3b/4q3/1P3N1P/PBP1QPP1/R3K2R b KQkq -,h5f3
r1q1r1k1/pb2b1pp/1p2pn2/3p2N1/3Q1PP1/2N5/PPP1B2P/1K1R1R2 b - -,e7d6
1r3rk1/p2qppbp/5np1/1p1p4/3PPPb1/5NP1/PP2Q1BP/R1B2RK1 w - -,e4e5
2bqr1k1/1p3pb1/r4n1p/2p3p1/p1Pp2P1/P2P3P/1PNBPQB1/1R3RK1 w - -,b2b4
4k2r/3nbppp/1q2pn2/2p5/1p2N3/1Q1P2P1/1P1NPPKP/2B2R2 b k -,b6c6
3r2k1/1p3p2/3n2p1/4p1q1/3pP2p/P2B1PP1/1PRQ2KP/8 b - -,g5h5
3q1rk1/Q3bppn/4p3/1p2P3/3B4/P3P3/2r2PPP/R4RK1 b - -,d8c7
8/6pk/p3Q2p/3p4/8/BP6/P6q/K4R2 b - -,h2g2
r4rk1/1bq1bppp/pp1ppn2/4n3/2P1P3/NQN1BP2/PP2B1PP/2R2RK1 b - -,e5d7
8/r7/2n3pp/1p1k4/1P1p1PP1/3K3P/3B4/2R5 w - -,c1c5
7k/5Pq1/p2p2Qp/1p1P4/1p3PB1/5P1K/P6P/4r3 w - -,g6f5
2r1kbnr/ppq2pp1/1npp4/4p1BP/3PP3/2N2N2/PPP2P2/R2QK2R b KQk -,f8e7
r2r2k1/1p1nqppp/p2p1n2/3Pp3/2P5/4B3/PP2BPPP/2RQ1RK1 b - -,d8c8
1r1nnrk1/2qbbppp/p2p4/1ppPp3/4P1P1/1PP2N1P/P1B2P1K/R1BQRN2 b - g3,f7f6
2r1r1k1/1b2q2p/p2pp1pB/p1n5/P2bP3/1PN4R/2P3PP/3BQR1K w - -,e1e2
r3kbnr/pp2pppp/2n5/2p5/2B5/N1P2P2/PP1PqP1P/R1B1K2R w KQkq -,c4e2
5rnk/1p1Q2bp/1q4p1/1P2pp2/4pPP1/6P1/2R1N1B1/5R1K b - -,g8f6
1r6/7k/3PR3/1pP1p2P/pP2PqP1/R6K/4Bb2/8 b - -,f2g1
r2q3r/pp1bk3/1n1pp2R/1Bp1bpP1/8/2N1B3/PPPK1QP1/R7 w - -,b5e2
1rb3r1/pp3kb1/2p1p1pp/3n4/3P2P1/3B4/PPPQ1P1P/2KR3R w - -,c2c4
6k1/1pbr2p1/p1p5/4pq2/1P6/2PPB3/1P2Q1K1/7R b - -,d7d3
rnbqkb1r/1p3ppp/p3pn2/2p5/3P4/1B2PN2/PP3PPP/RNBQK2R w KQkq c6,e1g1:b1c3
3r2k1/p4p1p/1r3p2/2NPnN2/4P3/7P/P4PP1/2R2K2 b - -,b6b2
4r1k1/pq4b1/2p5/3p3p/4p1bP/Q1P3B1/PP1R1P2/4R1K1 b - -,g7h6
4n3/r5p1/1R2kp1p/4pN1P/p3K1P1/P3P3/1P3P2/8 b - -,e6f7
r2qkb1r/pp2pppp/2n2n2/3p3b/3P4/2PB1N1P/PP3PP1/RNBQK2R w KQkq -,e1g1:b1d2
r1b1n1k1/1p2rppp/1R6/p2pp3/P1B1P3/5Q1P/1PP2PP1/4R1K1 b - -,d5c4
r1q1r1k1/pppnppb1/3p1npp/8/PPP5/3P1NPb/1B1NPP1P/R2QR1KB b - a3,e7e5
r3r1k1/1p2p1b1/2p1R1Q1/6p1/p2P1qP1/P6R/1P3P2/6K1 w - -,g6h7
r2q1rk1/pb1pb2p/1p2ppp1/3nP3/1P1BB3/2P2N2/P3QPPP/R2R2K1 w - -,e5f6
r3r2k/pp4pp/2bq1n2/3p4/8/3BN1P1/PPQ2P1P/4RRK1 b - -,d5d4
3r1rk1/3bppbp/nq1P1np1/p3B3/1p1P4/PBN5/1P2NPPP/R2QR1K1 b - -,e7e6
r2qk1nr/ppp2pbp/2npB1p1/4p3/4P3/2N2N1P/PPPP1PP1/R1BQ1RK1 b kq -,f7e6
r3r1k1/p1pnqp2/2p4p/4p1p1/2P5/P1Q2NBb/1P2PP1P/3RK2R w K -,h1g1
8/p5pk/2p5/Pp2R3/r6p/8/1P3PP1/6K1 b - -,a4a5
8/1r1k2p1/P2pp2p/8/3P4/2nB4/6PP/R5K1 b - -,b7a7
8/8/1k4p1/1P3RR1/5P2/8/r6P/6K1 b - -,g6f5
8/5R2/7P/1p6/5p2/5k2/7r/4K3 w - -,h6h7
8/5R2/8/6k1/5p2/6PK/3rn1B1/8 b - -,f4f3
8/5k2/4pp1p/p1p3p1/P1P1P1P1/1P3Q2/3q3P/6K1 b - -,f7e7:d2c1
5k2/1p3p1Q/5p2/3N4/r1P5/b5P1/1q3P1P/4R1K1 b - -,f6f5
7r/5k2/3pRNp1/1npP1pPP/8/pP3NK1/P7/2n5 b - -,f5f4
r7/1p1r1k1p/1np1npp1/p7/3P2N1/P6P/1PR2PP1/3R1KB1 b - -,a8d8
4b3/6k1/8/3N1p1p/5b2/1P1P1B2/2P5/5K2 b - -,f4b8
r1bqk1nr/1ppn1p1p/3p2pB/p2Pp3/2P1P3/2N5/PP2NPPP/R2QKB1R b KQkq -,g8h6
r2q1rk1/pb2npp1/1p2p2p/8/2BP4/P1Q5/1P3PPP/2NR1RK1 w - -,c4a2
8/8/6p1/3k1p1p/1r1P3P/3KBPP1/8/8 w - -,d3c3
2r1brk1/4bppp/pq2pn2/1p1pN1B1/P1nP4/2NBP3/1P2QPPP/R1R3K1 b - -,h7h6
