8/2R5/8/4r1p1/1p4P1/1P5k/1KP5/8 w - -,c7c4
6k1/5pp1/7p/r7/1p2P1P1/1R1R1P1r/P2K4/8 w - -,d2e3
2R5/p7/1p4p1/3k4/8/8/Pb4PP/6K1 w - -,c8g8
3b1k2/p6r/4ppp1/1N2P3/3P4/5P2/P4P2/3R2K1 b - -,f6e5
r2q1bk1/1ppn1b1p/2n2p2/p5p1/2Pp2P1/PP1P1NBP/2NQ1PB1/4R1K1 w - -,f3d4
1rq1r2k/1ppbbppp/p2p2n1/2PPp2n/PP2P3/3BBN1P/2Q1NPPK/R4R2 b - -,c7c6
1q4k1/5p1p/4b1p1/2p5/2P1B3/1P3PP1/1K1Q3P/8 b - -,e6c4
rnb1qrk1/1pp3pp/1b1p4/p2Ppp2/3P4/P3P1P1/1P2NPBP/R1BQ1RK1 w - -,d4e5
r4rk1/pp3p1p/2n1b1pQ/3p1n2/P2P4/NPN3PP/6B1/R3R1K1 b - -,f5h6
r4rk1/pp3ppp/4n3/3Q3b/8/P3PN1P/Rq2BPP1/5RK1 b - -,a8d8
rn3rk1/pp1qppbp/5np1/2pp4/3PP3/2P2N2/PP3PPP/RNBQR1K1 w - -,e4e5
r4rk1/1q3pbp/2bp1np1/p1p1p3/2P1P3/2N2N1P/PPB1QPP1/R3R1K1 w - -,c2a4
rnbqk2r/1p2ppbp/p1p2np1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
r2qk2r/pb1nbppp/1p1ppn2/8/1PP5/P1N1PN2/2Q1BPPP/R1B2RK1 b kq b3,a7a6
2k4r/pp1r3p/1q6/n1bpQ3/2p4P/P1P3P1/1P3P2/R1B1RNK1 b - -,c5f2
2r3k1/1qrnppb1/p2p1n2/6p1/2N3P1/1PN1BQ2/P3PP2/2RR2K1 b - -,b7f3
1k2r1r1/1ppbq3/p2p4/P2Pbppp/8/2PB3P/1PKB1PP1/R4Q1R b - -,e7f7
8/8/r7/3kP2p/3P2p1/2K5/3R3P/8 b - -,a6a3
8/8/6k1/8/6P1/3q1RK1/8/6B1 b - -,d3d6
5rk1/p5p1/4p2p/1pp5/3PP3/3P1RqP/PP2Q1P1/6K1 b - -,f8f3
r1bq1rk1/1p1p1ppp/p1n1p3/8/4PB1b/2N1Q3/PPP1BPPP/R4RK1 b - -,b7b5
7r/1b3Q1p/p1k5/2qN3P/4pP2/4b3/PP6/1K5R b - -,c5d5
8/1p1nk2p/p2pbp2/4pP2/1PPpP1BP/1P1P4/3K4/6N1 b - -,e6f7
8/5ppp/1k2p3/1P1p4/3Pn2P/4P1P1/4NPK1/8 b - h3,b6b5
4r3/1p2P3/pk6/3pQ3/3PR3/8/PP2B3/1K5q w - -,b1c2
2rrq1k1/pb3pb1/1n4pp/1P1np3/4N3/BQN5/P3BPPP/2RR2K1 b - -,d5c3
5r2/6kp/p3qn2/1p1pr1p1/5bP1/2P2B1Q/PPN1N2P/4R1K1 b - -,f4d2
rr6/4b3/p2p1nk1/1Pp1p1p1/P7/4NPB1/1P4PP/R3R1K1 w - -,e3c4
3rkb1r/pp2p1pp/2p2p2/3q4/2PP4/3Q1PB1/1P4PP/3R1RK1 b k c3,d5d7
1n3rk1/1pq2ppp/2pnp3/5b2/1P1P4/1B3NN1/2P2PPP/Q4RK1 w - -,f3h4
3q2k1/1Q1n1p1p/1pp3p1/4N3/4Pn2/P1N4P/1P3PP1/5BK1 b - -,d7e5
1r6/4k3/p1p1Pp2/PpPr1Pp1/3P2Pp/3R4/1R1K3P/8 b - -,b8d8
8/5bkp/8/5pp1/4p3/1N2P1P1/5P1P/6K1 w - -,b3d4
1r2kbnr/pR3ppp/2n1p3/3pPb2/2pP4/2N1BN2/P1q1BPPP/4QRK1 w k -,b7b8
1r1qk2r/1b1nppbp/p2p1np1/1p1P4/3NP3/P1N1B3/1P1Q1PPP/R3KB1R w KQk -,f2f3
r3r1k1/5ppp/2q1b3/p2p4/P1p1nQ2/B1P1P2P/2B2PP1/2RR2K1 w - -,d1d4
6R1/8/5k2/7p/7P/1r6/4K1P1/8 b - -,b3b4
r3k1nr/1bpp1ppp/1pn2q2/p1b1p3/3PP3/2P2NP1/PP3PBP/RNBQ1RK1 b kq -,c5d6
6k1/5p2/b3p2p/p7/1p1KP2P/1Pp5/P1P2bB1/5N2 w - -,d4e5
r2r2k1/pp3p1p/n1p1b1p1/4P3/2n1P3/2N3P1/PP2NPBP/R2R2K1 w - -,e2f4
1b6/6k1/1pQqp1p1/1P1pP2p/P4P1P/6P1/2B3K1/8 b - -,d6c7
r4rk1/pp3pbp/4B1p1/8/4P3/4BP2/P4P1P/2R1K2R b K -,f7e6
1rr3k1/3bppb1/n2p2p1/pqpP2P1/4PP1R/2P1B1N1/PP1Q2B1/2K4R w - -,g2f1
r6r/2q2k2/2N1bp1n/pP4p1/1p1pP3/4N1Pp/4QP1P/1R3RK1 w - -,c6d4
8/5r1p/8/1p3P2/P7/k7/P4R1P/4K3 b - -,b5a4
6k1/5p2/1p2p1p1/1P6/1pBb1P1P/1P2q3/6KP/5Q2 b - -,e3d2
3r2k1/1p3pp1/4n2p/1PP5/2R2P2/4q3/2Q1N2P/6K1 w - -,g1f1
8/8/8/1k4pp/p2PK3/6P1/6P1/8 w - -,e4d3
7k/4KPbP/6B1/3p4/2P3p1/8/8/8 w - -,c4c5
r2q1rk1/1p2ppbp/2bp1np1/p2N4/2PBP3/5P2/PP1QB1PP/2R1K2R b K -,f6d7
3rrbk1/pb3ppp/1q1p4/2pN4/4P3/5P2/PPQ3PP/R1BR3K b - -,b7d5
rnbqk2r/ppp1b1pp/4pn2/3p1pB1/3P4/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,e8g8
rnbqk2r/ppp2pp1/3p1n1p/4p3/1bP1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQkq -,g1e2
r4rk1/p2nqpbp/1p1p1np1/2pP4/4PB2/2NQ1N1P/PP3PP1/R4RK1 w - -,f4h2
4b3/8/8/pk4p1/6B1/P1K5/8/8 b - -,b5c5
rnbq1rk1/p2nppbp/3p2p1/2pP4/2B1PP2/2N5/PP1N2PP/R1BQ1RK1 b - f3,c8a6
rn1q1rk1/pp2ppbp/3p2p1/8/3NP1b1/2N1BP2/PPPQ2PP/R3K2R b KQ -,g4d7
2n2r2/pp2ppk1/4Bnp1/4N2p/1q6/6P1/2Q2P1P/3R2K1 b - -,b4e4
8/r3kpp1/P1p4p/2PP1P1P/1p6/1Kb5/R7/3R4 b - -,e7d7
5k2/5p1K/4p1p1/1n2P2p/1P3P2/8/5P1P/8 w - -,h7h8
1qrr2k1/5ppp/p3p1n1/1p6/PQnP1b2/2R1NN1P/1B3PP1/4R2K b - -,a6a5
6k1/1p1n1p2/1bp2qp1/3p3p/P1nPr2N/3QB1P1/2R2P1P/5RK1 b - -,c4d6
r4rk1/p1pq2bp/1p1p2p1/2PPp3/PP1nB3/7R/3B1PPP/3Q1RK1 w - -,c5c6
2rqrnk1/1p1b1pp1/3p3p/pBpPp1b1/P1N1Pn2/BPN2Q1P/2P2PP1/3RR1K1 b - -,g5e7
4r1k1/1b2b1p1/p3p1Np/4Bp2/q6P/1p2P1Q1/1P3PP1/2R3K1 w - -,c1c7
8/p1r1kppp/4p3/2p5/4BPP1/8/4PK1P/3R4 b - -,h7h6
Q7/7p/5q2/8/3p3P/2p1k1P1/P6K/8 w - -,a8h1
r1r3k1/1bqp1ppp/p7/3BPp2/2n2P2/2PQ4/2P2BPP/RR4K1 b - -,b7d5
4r1k1/p4Rb1/q2pp1PB/4n1Q1/7P/2r5/PPP5/2K2R2 w - -,f7g7
8/8/1k5p/p7/K6p/1P3B2/P1P5/8 w - -,a2a3
r3kb1r/1pqn1p1p/p1p1p3/2P5/3Pp2P/1P2P3/PBQ2P2/R3KB1R b KQkq -,e8c8
r3k2r/1bqnbp1p/pp1p1np1/4p3/2P1PP2/1P1B4/PBNNQ1PP/2R2RK1 b kq -,e5f4
3r1r1k/6b1/p2p4/P1p1pn1p/4N1p1/1PP2PPn/3B2KP/1RN2R2 w - -,c1d3
3Rr3/5ppk/p7/5q1p/4p2P/1Q2n1P1/P4P2/4R1K1 b - -,e8d8
r2q1rk1/ppp2pbp/2npbnp1/4p3/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - -,b2b3
r6r/1p1nbk1P/2q1npR1/p1P1p1p1/P1P5/3NP3/1BQNKP2/6R1 w - -,g6h6
6k1/pp3pp1/5n2/5B1p/PP1ppP2/6P1/7r/1R2K3 b - -,h2h1
5rk1/p4ppb/2nq1n1p/2N2P2/1p1P4/8/PP1B1Q1P/4RRK1 w - -,c5e4
8/p2q2bk/1pp4p/5bp1/2p5/2NP2QP/PPP3P1/4B1K1 w - -,d3c4
6k1/1qr1pp1p/3p2p1/2rP4/8/2P1RPK1/1P1Q2PP/4R3 w - -,e3d3
5b1k/7p/pp3p2/5N1P/2P3Q1/1P2B1P1/P2n2K1/4q3 w - -,g4f4
r2b2k1/p1q2ppp/2b1pn2/1p2N1B1/5P1Q/2N5/PPP3PP/2K1R3 w - b6,e1e3
5rk1/5pp1/2p4p/q2b4/2pP3P/2R2NP1/3K1P2/Q5R1 b - -,a5b4
8/R4pk1/7p/4P3/5PK1/5P2/4r3/8 b - -,e2e1
5k2/5p2/1nbP1p1p/5B2/2p2P2/P5RP/6P1/6K1 w - -,g3e3
r4rk1/2q1ppbp/b1pp2p1/4n3/pPP1P3/P5P1/2QN1PBP/1RB1R1K1 w - -,c1b2
6k1/5p2/6pp/2q5/8/4QPP1/4BK1P/8 b - -,c5h5
3r4/p5p1/3P4/5k2/2BKp3/1P4P1/P7/8 w - -,d4d5
4r1k1/p3r1b1/1pq3pp/2pbPp2/3p1Q1P/1P3NP1/P1P1RPB1/4R1K1 b - -,g6g5
5rk1/p2r2qp/1p1PRp2/2p2Pp1/8/2P5/P2Q2PP/4R1K1 b - -,f8d8
2br1rk1/bpp1qpp1/p1n2n1p/3Pp3/2N5/2PP1N1P/PPQ1BPP1/2BRR1K1 b - -,f6d5
r2qk2r/1p2b1pp/p1npbn2/4p3/2P5/2NB4/PPN2PPP/R1BQK2R w KQkq -,e1g1:c2e3:b2b3
5b2/5k1p/3pQ1pP/p2b1pP1/8/1PB2P2/P7/1K3B2 b - -,f7e6
6n1/5pp1/3k4/6p1/3P2P1/3K3P/5PB1/8 b - -,g8e7
r2qnrk1/ppp3bp/2bp2p1/5p2/2P1P3/1QN1B1PP/PP3PB1/R4RK1 b - -,f5e4
r1b1r1k1/pp3pp1/2pb1q1p/1P1p4/3P3n/2NBP1N1/P1Q2PPP/1R2R1K1 b - -,c8d7
8/6kp/R5p1/8/p1r4P/6P1/5P2/6K1 w - -,a6a7
r3r3/p2q1pkp/2p1b1p1/1p1pP3/3P1QPP/2P1R3/P4P2/R2B2K1 b - -,d7e7
r4rk1/3q1pb1/3pbnpp/nNp5/1pP1P3/1P3NP1/2Q2PBP/1RBR2K1 b - -,f6e4
2kr1b1r/ppp1pppp/1n2q3/8/1n1P4/2N1B3/PP2BPPP/R1QR2K1 w - -,c3b5
8/1r2npk1/2p1b1pp/3pN3/3P2P1/4P2P/5PK1/R4B2 w - -,g2g3
1rbq1rk1/1p2npbp/p1np2p1/2p1p3/2P1PP2/2NP2PP/PP2N1B1/1RBQ1RK1 b - f3,e5f4
1r1rn1k1/2q3pp/2p2p2/p2p1b2/3B1N2/P1Q2B1P/1PP2PP1/1R2R1K1 b - -,c7f4
rn3rk1/1bq1bppp/pp1ppn2/8/2P1P3/1NNBBP2/PP1Q2PP/R4RK1 w - -,f1c1
1r5k/2pq1p2/3p1b1p/P2PpPp1/2Q1P1P1/PR2B2P/8/6K1 b - -,b8b3
r5k1/pp1R1pb1/5rpp/2p1N2b/P1B2B1P/2P3K1/1P6/4R3 b - -,a8f8
2k5/pp4p1/2p1r3/6Pp/1P1p4/P1N1nq2/4R3/4Q1KR w - -,e1f2
8/p2kr2p/2r1pRp1/3pR1P1/PPp4P/2P5/2K5/8 b - -,c6c8
3r2k1/4prb1/p1p1nnNp/2q1BN2/Pp4PP/1P3P2/2P1Q1K1/R4R2 w - -,g6e7
r1b2rk1/bpp1npp1/p2p1q1p/4p2n/3PP3/1BP1NN2/PP3PPP/R1BQR1K1 w - -,f3e5
8/8/5pk1/4K1pp/5nP1/R6P/5P2/8 w - -,e5e4
r1bq1r1k/3nbppp/2p1p3/p1ppP3/8/3P1NN1/PPP2PPP/R1BQR1K1 b - -,c8a6
r4bk1/1q3p2/1p1nn1pp/4p3/P3P2B/5P2/1N1N2PP/R1rQ2K1 w - -,a1c1
8/kpp2Q2/p2r1p2/3n3p/6q1/8/P2B1RP1/6K1 b - -,h5h4
r1bqk2r/p3ppb1/1npp1np1/1p5p/3PP1P1/2N1BPN1/PPPQ3P/R3KB1R w KQkq h6,g4g5
r3qr1k/1bpn2pp/pb1p3n/1p2p1N1/3P4/1BP1B1N1/PP1Q1PP1/R3R1K1 b - -,h6g4
6k1/1p1rr1p1/p1bpp1q1/4b2p/4P1nP/P1P2RP1/1PB1QN2/1K3RB1 b - -,g4f2
8/7p/4pk2/5pp1/3n2P1/3NKP2/7P/1B6 b - -,d4c6
8/p3k3/r1p1n3/4PK2/P1R5/1P1N4/8/8 w - -,d3b4
8/P1R3p1/4p1k1/r6p/8/6P1/5P1P/6K1 w - -,g1f1
2r1rbk1/p4pp1/Npp2q1p/3p1NnP/1P1P2P1/3QPP2/P4K2/2R4R w - -,d3e2
3k2nr/ppp3pp/5p2/5q2/3Q1P2/4B3/PP3PPb/4KB1R b K -,d8c8
6rk/2p3r1/3p4/p2P4/2PpQq2/P4PN1/5RKP/8 b - -,f4e4
2r1kb1r/5ppp/p1qpbn2/1p2p3/2P1P3/1P1QNP2/P5PP/RNB1K2R w KQk -,b1a3
r4k2/pp3pbR/2ppr3/5N2/2PP4/6P1/PP4P1/1K1R4 b - -,g7f6
6r1/pp1bkp1p/4p3/3pP3/1P1P4/1n2P1N1/2r3PP/3RKB1R w K -,f1d3
r1b2rk1/ppqnppbp/2pp1np1/6B1/2PPP3/2N2N1P/PP2BPP1/R2Q1RK1 b - -,e7e5
1r1q1r1k/B2nNp1p/p2p1Pp1/1p4PP/2n2P2/8/PPP1Q1b1/1K2R3 b - -,g6h5
rn1qr1k1/p5pp/4pn2/2p1p3/Q1p5/P1P3P1/5PNP/R1B2RK1 b - -,b8d7
2rr2k1/p4qpp/4pn2/1PpnBp2/P1B5/7P/1P2QPP1/2R1R1K1 b - -,f6e4
r2q1rk1/pb2bppp/1p2p3/3nP3/8/3B1N2/PP3PPP/R1BQR1K1 w - -,a2a3
r2qr1k1/pbpp1ppp/1p1n4/3P4/1n3B2/2R2NP1/PP2PPBP/3Q1RK1 w - -,f4d6
r1bq1rk1/pp2ppbp/5np1/2p3B1/3P4/3Q1N2/PPP2PPP/2KR1B1R w - -,d4c5
r2q1r2/1b2p2k/p2p1p1b/1pp2PpN/4P1P1/2NP1R1P/PPP3KQ/R7 b - -,d6d5
7R/8/8/8/1PK5/4k1rp/8/8 b - -,e3f2
8/pp1k4/2p3r1/2P5/5K1p/P6P/1P2R1P1/8 w - -,g2g4
8/6p1/p2kb2p/P3p3/2N1P3/1p1K3P/1P4P1/8 b - -,e6c4
5rk1/2pq1ppp/p5r1/1pQ1P2b/3P4/6R1/PP3PBP/4R1K1 w - -,e5e6
8/1pk2p2/2p1p3/5pn1/1PP3Pr/4K2P/4BP2/7R w - -,g4f5
4Nbk1/1p4p1/p1nNp2p/8/6P1/4PP2/PP5P/7K b - -,b7b5
3qkb1r/1Br2pp1/p3pn1p/1p5P/1npP2P1/P1N1PQ2/1P1B1P2/1K1R3R b k -,d8b8
r1bqk2r/bp3pp1/p1n1pn1p/3p4/1P2P3/P2B1N2/1BPN1PPP/R2Q1RK1 b kq -,e8g8
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,f8e7:c8g4
6k1/1pb3r1/p1p3Bp/3p3P/1PnP4/P3P3/6K1/2B2R2 b - -,c7d8
8/K1k5/8/P7/6bP/8/6B1/8 w - -,g2d5
5rk1/p5pp/3r1q2/1pn1p3/2p5/2P2P2/PPB1Q1PP/4RRK1 b - -,d6d5
r4rk1/4p2p/1n1p4/q1pP2p1/4P1n1/1Pb3P1/P1Q3KP/2R1RNB1 w - -,c2c3
3r4/pp2q1kp/1b4p1/1P1Bp3/4P3/2Q2PP1/2R3KP/8 b - -,d8e8
2rq2k1/p4ppp/1pb5/n2BQN2/3P4/P5P1/1P3P1P/4R1K1 b - -,d8d5
3r1r1k/pp1q1p1p/4pN2/2b5/3N4/1PP1P3/P5PP/R2Q2K1 b - -,d7e7
r1q1r1k1/pp1b1pbp/nnp3p1/4P3/5P2/BPN3P1/P1Q1N1BP/3R1RK1 b - -,d7f5
r4rk1/pbq1ppb1/1p3npp/2pP2B1/Q3P3/2P2N1P/P3BPP1/R2R2K1 w - -,g5h4
r2qkbnr/pppnpp1p/3p2p1/8/2PP4/5PP1/PP3P1P/RNBQKB1R w KQkq -,f1g2
r1b1r1k1/ppppqppp/2nb1n2/1B6/3Pp3/PP2P3/1BPN1PPP/RN1QK2R w KQ -,c2c4
r2qk2r/pb1p1ppp/1pp5/2bnP3/2B5/2N2Q2/PPP2PPP/R1B2RK1 b kq -,e8g8
5rk1/2qn1pp1/1p3n1p/p2pN3/3P3B/Q1P5/P4PPP/4R1K1 w - -,f2f3
r2qr1k1/5p1p/2bP1np1/p7/1pP5/1P3P2/NP1QN2P/R4RK1 w - -,a1d1
4r3/5p2/2p2b2/ppPr1k2/3P1p2/PP1R4/3R1BP1/3K4 w - -,d3h3
1r6/3k1p2/3p4/1P1P1Pp1/K2R2P1/8/8/8 w - -,d4c4
r4rk1/2n2pbp/1qpp2p1/p4b2/3P4/P1N2N1P/1PP1BPP1/1R1Q1RK1 w - a6,e2d3
r1b2rk1/1p2qppp/p1nbp3/8/1P2n3/P2BPN2/1B3PPP/R2Q1RK1 w - -,d3e4
4b3/6p1/pp6/4k1KP/1P6/P4B2/8/8 w - -,f3e2
2rqk2r/pp1bbppp/4p3/3pP3/3N4/3Q2B1/PPP2PPP/R3R1K1 b k -,e8g8
2r2rk1/ppqbppbp/2np1np1/8/1PPN4/P1N1P3/1B2BPPP/R2Q1RK1 w - -,a1c1
4R3/5K1k/5P2/r7/8/8/8/8 b - -,a5a6
r4rk1/pp1qppnp/4b1p1/2pp4/P4P2/NP2PB2/2PP2PP/R2Q1RK1 w - -,d1e2
1B3b2/1R2pk1p/2p2pp1/8/r2P4/4P2P/5PP1/6K1 w - -,g2g4
5r1k/prp4q/3pb3/1P2bN2/2P1P2p/3QP2B/7P/1R4RK b - -,b7b8
r1bq1rk1/ppp1bppp/2np4/4nN2/Q3P3/2N1B1PP/PP2PPB1/1R1R2K1 b - -,c8d7
r2q1rk1/pp1nppbp/2pp1np1/8/2PP4/2N1BP2/PP1QBPPP/R4RK1 w - -,d4d5
1r3rk1/3n1pn1/1q1p1bpp/p1pP4/2P2PP1/1P5Q/3BN1BP/1R3R1K b - -,f8e8
2k5/8/2p5/2K1P3/8/4N2N/6pr/8 b - -,h2h3
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/2NBP3/PPQ2PPP/R1B1K1NR b KQkq -,g7g6:f6e4
r1b1rbk1/pp3p2/2pRnqpp/2P1p2n/1P2P3/2N1B1PP/P1Q2P1N/3R1BK1 w - -,h2g4
r1b2rk1/pp2qppp/4pn2/8/Qnp5/P1N3P1/1P2PPBP/R1B2RK1 b - -,b4d5
5rk1/2qnbppp/pp2p3/4P3/2P1N3/PP3Q2/1B4PP/5RK1 w - -,f3g3
r1bq1rk1/pp2ppbp/3p1np1/n1pP4/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2c1:e2g3
1r4k1/8/2B3pp/2b5/2R4P/6P1/N3PpK1/1n6 b - -,f2f1q
8/p7/8/5p1p/3k3P/4p1P1/P2K4/8 w - -,d2e2
r2qk2r/p2bb2p/2p1pp2/1p1pN3/2PP3P/2N1PP2/PP2Q3/2KR3R w kq -,e5d7
2r2rk1/pp1nppbp/6p1/3Pn3/4N3/1Q1qN2P/PP1B1PP1/R2R2K1 w - -,b3d3
6k1/R4p1p/p3n1p1/6P1/6RP/8/r2r2B1/6K1 w - -,g1h1
1r4k1/5pp1/RnB1p2p/4P3/1p3P2/1P4P1/4K2P/8 b - -,g7g5
3r4/p3k3/1bpn1p2/7p/1P3P2/3RpK1P/P3B3/3R4 w - h6,a2a4
5rk1/p1b1r1pp/1p3p1q/2p1Pb2/2PpNP2/1Q1P2B1/P5PP/1R2R1K1 w - -,e4d6
4r1k1/5qbp/2p1r1p1/ppBb1p2/5P2/P1PB2QP/1P4P1/3RR1K1 b - -,d5e4
6k1/6pp/2nr4/pp6/4R3/P2N4/1P2KPPP/8 w - -,e2e3
