8/6k1/3Q2p1/2pPp2p/2P4P/4P3/5q2/7K b - -,f2h4
4n3/3q1r1k/1p1p2pb/pNpPp2p/P1P1P2P/1P1N2P1/4Q1K1/5R2 b - -,f7f1
7r/1p4r1/2pk1p2/p2p2pp/P2Pn2P/1P2PNP1/2R1KP2/7R w - -,f3d2
1r1q1rk1/b1p2ppp/p1np1n2/Pp2p3/3PP3/1BP1BP2/1P3P1P/RN1QR1K1 b - -,f6h5
8/8/p1p1k3/4N2p/6b1/1P6/P5PK/8 w - -,e5c6
r1bq1rk1/ppp1ppbp/2np1np1/8/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
r1bn2kr/1pq2ppp/p7/bB1pPp2/P2P4/BRP2N2/5PPP/3QK2R w K -,a3d6
r2qk2r/p1ppbppp/bp2p3/n7/2PP4/2PBPPN1/P3Q1PP/R1B2RK1 b kq -,d7d6
2brk2r/2q2pp1/1b6/1p1p1P1p/1P2p1n1/3P1NPP/2PB2B1/R3QR1K w k -,h3g4
4rnk1/1p3ppp/p1r5/3RP3/2P1qP2/1P2N1P1/P4Q1P/4R1K1 b - -,h7h5
8/6p1/8/pB3P1p/Pr1b3k/3R3P/8/5K2 b - -,h4g5
2r3k1/pp1rbppp/1qn1pn2/3p4/3P4/1PP3P1/PB1N1PBP/R2QR1K1 b - -,b6a5
1r2r1k1/5p1p/p1Pp2p1/Pp1Pp1B1/1Pn3qP/2Q3P1/5P1K/4RB2 b - -,g4d4
3r4/4kpb1/p1rpp2p/1p4p1/4P1P1/P1P1RN2/1P3PP1/3R2K1 b - -,a6a5
8/8/1b2k3/1P1pB1pp/3Pp3/4PP2/5KP1/8 w - -,f3f4
3r2k1/5pp1/1p5p/pb6/4P3/Pq1r2P1/1PR3BP/2Q1R2K b - -,b3e6
r3r1k1/pp4bp/3Pq1p1/2BQ4/4p3/2P3PP/PP2N1B1/R5K1 w - -,d5e6
3k4/R7/8/4KP2/4P3/p7/8/r7 w - -,f5f6
2rr2k1/3q2b1/1np1bp2/1p4pp/p2P1p2/P1QRNB1P/1PP2PPB/4R1K1 w - -,e3f1
r1q1k1nr/pp2ppbp/2np2p1/2pN4/2P5/P2P1NP1/1P2PPKP/R1BQ1R2 b kq -,h7h5
8/8/3R2p1/2p4p/1pP1k2P/1P3p2/6r1/4K3 w - -,d6d5
r1bqk1nr/pp1p1pbp/2n3p1/1B2p3/1p2P3/5N2/P1PP1PPP/RNBQR1K1 w kq -,a2a3
3r4/3P1k1p/5p2/8/5K2/7P/3R2P1/8 b - -,f7e6
7k/1N5p/2p2r2/2P3R1/8/b2K4/8/8 w - -,b7d8
r1bb1r2/pp2qpk1/2p3p1/4p3/P1B1P1p1/2P3P1/1P2QPP1/3RRNK1 w - -,e2d2
r2qnrk1/pp2bpp1/2ppn1bp/8/3PP1P1/5N1P/PPB2PK1/R1BQRN2 b - -,d6d5
8/2kn4/4Rp1p/2N2Pp1/7r/1PK5/6PP/8 w - -,c5d7
4k3/1r2p3/3p1p2/3P3p/2q3p1/6P1/4RPPK/3Q4 w - -,d1d2
r1b2rk1/1p2n1q1/pP1p4/2p1p3/Q1P2pp1/3P2P1/P3PPBP/1R2NRK1 w - -,a4d1
rnr3k1/pp3qpp/3b4/5p1b/R1p2P2/2N1B3/1PB1Q1NP/5RK1 w - -,e2d2
r3r1k1/pp1n1ppp/2p1bn2/8/3P2P1/P1N1B2P/1P3P2/R3KBR1 w Q -,g4g5
4rrk1/p7/3pb1qb/4pp2/1pPp1PpP/3P2P1/PP3QBN/1R2R1K1 w - -,h2f1
4rrk1/p3q1p1/1b2b3/2N1Q1R1/2p1P3/3P4/PPP3PP/R6K b - -,e7f7
1r4k1/p4pbp/1n4p1/2B1P3/8/3r1B2/P4PPP/R4RK1 b - -,g7e5
5r2/1R6/3p2k1/p1pPn1P1/N1P1PK1p/8/P2N4/8 w - -,f4e3
8/p2k2pp/8/3NbN2/4PP2/1P1K3r/P7/8 w - -,f5e3
7k/4r2P/6P1/1pP2K2/1p2p3/1P2B3/P7/8 b - -,e7d7
8/8/4bP2/8/7p/1pK5/k7/7R w - -,h1h4
r1b1rk2/1pqn1ppQ/2p5/p1p1P1N1/8/P1P3P1/4PPBP/3R1RK1 b - -,c7e5
r1b2r1k/pp4pp/3b4/2nNn1q1/2BNpp2/BPP2P2/P5PP/R2QR1K1 b - -,b7b5
r1bqkbnr/1p2pp1p/p1np2p1/8/2P1P3/1P3N2/P2Q1PPP/RNB1KB1R b KQkq -,f8g7
8/8/4k3/1p2P3/3K4/8/P1P4R/4r3 b - -,e1d1
r1b1k2r/pp1nqpp1/2p1p2p/8/1bpP4/2N2NP1/PPQ1PPBP/R4RK1 w kq -,c3e4
2rr4/5kpp/p4p2/1p6/n1bNP3/B1PB1P2/P2K2PP/R1R5 w - -,d3c4
6R1/1p3p2/4p3/PP2P3/8/7k/K1P3p1/7r b - -,g2g1q
1r4k1/5p1p/5b2/6p1/8/2P1B2P/1PR2PK1/8 w - -,e3c1
2rq1rk1/1b1nbpp1/3p3p/1p2p3/1B1PP3/PB3N2/Q4PPP/3R1RK1 b - -,b7e4
r1b1rnk1/pp2q1pp/2p5/5p2/3P4/2N1PN2/PPQ3PP/4RRK1 b - -,c8e6
rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/4PNB1/PPP2PPP/RN1QKB1R w KQ -,f1d3:b1d2
q1r1r2k/1bbn2pp/pp1pp1n1/5pP1/1PP1PP2/PNN3BQ/6BP/2R1R1K1 b - -,f5e4
rn1qr1k1/3p1ppp/1pp2n2/p2b4/8/PPB2NP1/4PPBP/R2Q1RK1 w - -,f3h4
r1b1r1k1/1nq1bppp/p2p1n2/1ppPp3/4P3/1PP2N1P/P1B2PP1/RNBQR1K1 w - -,a2a4
r3k2r/pp1b1ppp/1qn1p3/3pPn2/Pb1P4/5N2/1PN1BPPP/R1BQ1K1R b kq -,b4e7
r1b1r1k1/p1n2nbp/1p3pp1/2P1p3/2P1P3/2N2NBP/P4PP1/R3RBK1 b - -,b6c5
5rk1/3nbpp1/1q1p4/1B2p3/7p/1N1Q1P1P/PP4P1/1KR5 b - -,d7c5
1r4k1/5p2/3p3p/2nPb1p1/4P1P1/R1pBK2P/1rN2P2/3R4 b - -,b2c2
3r2k1/4rp2/P2q1np1/2p4p/2B1P3/1Q3P2/6PP/2R1R1K1 b - -,d6e5
r2qr1k1/1bpn1ppp/1p1p1n2/p3p3/2PP4/PPQ1PN2/1B2BPPP/R4RK1 w - a6,d4d5
2b3k1/p3Qp1p/1q4p1/2n5/1P1N4/P6P/5PP1/6K1 w - -,e7c5
2rr2k1/5pbp/3B1np1/p1p1Rq2/PpQ5/5B2/1PP2PPP/3R2K1 b - -,d8d6
4n2k/1r5p/1p1pBb2/2pP2p1/8/6P1/3B1P1P/1R3K2 b - -,b6b5
5rk1/1rq2pp1/Rp1pb2p/6bQ/2BBPp2/1P1P3P/2P3P1/R5K1 w - -,a6a8
3r1rk1/p1q5/3N2p1/2P1Q3/1P5p/P7/4PP2/1R4K1 w - -,e5d5
8/5Qbk/5npp/2p2p2/3q4/1B4PP/5PK1/2B5 b - -,d4e4
1r2r1k1/4qpb1/4bnpp/B3p3/2BpP2P/3P2P1/2QN1P2/RR4K1 w - -,c2a2
6r1/3k4/8/7p/2PK3P/1P3RP1/8/4r3 w - -,f3d3
6k1/pp2pp1p/5npb/3p4/PP1P2n1/3QPN2/2K1B1q1/2B2N2 b - -,f6e4
RQ1b2k1/3bqr1p/3p4/3Pp1pP/2P1Pp2/1P3N1P/5PBK/8 b - -,f7f8
1R6/6kp/p1p2r2/2Pp3q/P3pPp1/4P2r/1R3PQP/6K1 w - -,b2b7
8/7B/5k2/8/1r4p1/6P1/5K2/8 b - -,b4b3
6k1/r4p1p/P7/4n1p1/4K3/4P1PP/8/2R5 b - -,e5d7
2r5/pp3kpp/1bn1bp2/4p3/4P3/P1B2N1P/1P2BPP1/3R1K2 b - -,g7g6
1brr2k1/1p3p2/p1q1p1n1/5p2/2P4p/PN2R1PP/1PQN1P2/4R1K1 w - -,c4c5
3q1rk1/1b5p/pp1rp1p1/3PR3/P7/1P4PP/3Q1PB1/3R2K1 b - -,e6d5
r1bq1rk1/p2n1ppp/2pbpn2/1p6/3P4/2N1PN2/PPQ1BPPP/R1B1K2R w KQ -,e1g1
2r2rk1/ppp2p1p/3pb1pb/3Np3/2P1P1Pq/3Q1P2/PPPN3P/1K1R3R b - -,f8d8
r3b1k1/4q2p/2p3p1/p2pPr2/4n3/P1N1P3/1BQ3RP/R6K b - -,e7e5
6kq/1pR2p2/3nr1p1/4p1Q1/3pP1Pp/P2B1P2/1P4KP/8 w - -,c7d7
rn1qkbnr/pp3ppp/2p1p3/3pPbB1/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq -,f8e7
5r2/R6k/3Nn1pb/3pPp1p/3qpP1P/6P1/2r1BQ2/1R5K b - -,h7g8
r4qk1/4b3/2Q1p1pp/1B1pB3/3P2PP/2P3K1/pP6/R7 w - -,c6e6
5rk1/1b2r1pp/5b2/q2ppB2/2p3Q1/2P1B2P/P4PP1/3RR1K1 b - -,e5e4
r2qk2r/1b1pnp2/p3pbp1/1p6/3pP2p/1B1P2N1/PPP3PP/R1BQ1RK1 w kq -,f1f6
8/r7/4R3/5p2/8/5k2/8/6K1 w - -,e6e1
2B5/4k3/4P2p/5K1b/7P/8/8/8 b - -,h5f7
r1b2rk1/ppq2ppp/2p1nn2/4p3/P1B1P3/4Q2P/1PPN1PP1/R2NR1K1 b - -,e6f4
4r1k1/3nr1pp/p4p2/1p1pP3/2pP4/P1P2PB1/2R3PP/4R1K1 w - -,f3f4
1r6/5pk1/4p3/1pRpP1pp/p2n4/P1N2PK1/6PP/8 b - -,b5b4
8/5k2/4n3/3r1pPp/2R5/1P1KB1P1/8/8 w - -,d3e2
1R6/4k1pp/8/1B3p1b/1P1Pp3/4P1PP/5PK1/3r4 w - -,g3g4
1rb2rk1/4qpbp/1p2p1p1/8/4PP2/2N1B3/1PQ3PP/R2R2K1 w - -,c2f2
1qr3k1/4np1p/Q2p2p1/2rP4/4P3/R1p1N1PB/1n3P1P/2R3K1 b - -,c8c7
1b1rrqk1/1p3p1p/p4p2/3p1N2/P4P2/1P2P1P1/4Q2P/2RR2K1 w - -,e2g4
1r1qk2r/2Rbbppp/pB2p3/4P3/2pQ1P2/8/P5PP/1N3RK1 w k -,d4f2
6R1/8/4r3/8/8/5p2/3K3k/8 b - -,e6e2
3r3r/P4kpp/2Qbp3/2pN4/4pP2/8/1q4PP/R2R3K b - -,e6d5
8/2p3k1/p2p4/1p1P1R2/6p1/PP4r1/2P5/1K6 w - -,b1b2
7Q/p3r1pp/1p2p1k1/2b5/P7/4q1P1/1B1n2BP/R6K w - -,h8a8
r1bqkbr1/4np2/p5pp/1p1p4/B1p1PPP1/7N/PPP3P1/RNBQ1RK1 b q -,d8b6
1r6/2p3pk/5p1p/P1q5/2p2PP1/2BpRN1P/5K2/R7 w - -,a5a6
8/2Q2k2/4p1p1/1p6/5P1q/P6P/6PK/8 b - -,f7g8
r2qk2r/3n1p2/p3p1pn/1p1pP1Np/P1pP1N1P/2P5/1P2QPP1/R2R2K1 b kq -,e8g8
8/5pkp/p5p1/8/3NPK2/P1R2P2/6PP/4rb2 w - -,g2g4
2r1qr1k/p1pb2bp/1pnnp1p1/3p1p2/P2P4/NPPN1PP1/2Q1PBBP/R4RK1 b - -,e6e5
rn1q1rk1/pb1pb1pp/4p3/2p5/2P1pB1P/P3P1P1/1P1N1PB1/R2QK2R b KQ -,d7d5
2rr2k1/pp4bp/4bpp1/4B3/2PqN1PP/P2P4/6B1/R2Q1R1K b - -,d4e5
r1b3k1/1p3p1p/p1p5/4rPR1/3pP3/3P3P/PPP5/1K5R b - -,g8h8
1r2k2r/1pqbnpb1/p2p1n1p/2pPp1pP/2P1P1P1/2NB1P2/PP1B4/R2QKN1R w KQk -,d1e2
r2r2k1/1pp2ppb/p4n1p/b7/1nP1p1P1/1P2P2P/PB2NPB1/R2R1NK1 b - -,f6d7
q4rk1/4ppbp/r1p2np1/p2n4/2N5/3P1BPP/PB1QPP2/1RR3K1 w - -,a2a3
2rqr1k1/1b1nbppp/npp1p3/p2pN3/2PPP3/PPN3P1/2Q2PBP/R1BR2K1 w - -,c1f4
r5k1/pp3R1p/1q2p1pB/3p4/3P4/8/PP1Q2PP/6K1 b - -,g8f7
8/7R/2p2p1p/1p1k1pp1/2rP4/P5P1/1K5P/8 b - -,f5f4
1qr1k2r/5pp1/QNnpb2n/4p1b1/1p2P3/1N5P/PPP2BB1/1K1R3R b k -,c8d8
8/1p1k4/1P6/2Pp1ppp/3P1p1P/5P2/6P1/4K3 b - -,g5g4
r5k1/p3rp1p/1ppp4/6pn/2PRP3/P5PP/1P3PB1/3R2K1 w - -,d4d6
8/p6k/7n/2K5/PP1N1pp1/8/2P5/8 w - -,a4a5
3r1r2/pb2q1bk/1pn1p1pp/1Np1PN2/5P2/P2PB2P/2PQ2B1/3R1RK1 b - -,g6f5
r3r3/1pp1qppk/2n1b2p/p1b5/2PpPpP1/PP1Q3P/1B1NP1B1/R2R2K1 w - -,e4e5
8/8/8/5r2/1k6/5KP1/2p2P2/2R5 w - -,f3e3
8/8/2R1k3/4p3/6P1/2P2K2/3r4/8 b - -,e6d5
6k1/r7/4p2Q/3bP2P/8/5p2/5P1K/8 b - -,a7g7
6k1/5pp1/3R4/2nP4/1q3P2/p5pP/Qb4B1/4rR1K w - -,d6c6
8/N2b3p/P7/3pkp2/8/nPKN4/6PP/8 b - -,e5e4
3k3r/2pb2p1/p2n1p2/8/B2R4/2NP2Pp/P1K2P1P/8 b - -,h8h5
r4rk1/3b1ppp/1R3n2/3p1P2/3P4/4q1N1/4B1PP/3Q1R1K b - -,a8a4
8/8/8/8/4k3/pR6/6K1/r7 b - -,e4d4
1r1r1b2/p1p2k1p/P1p1ppp1/R7/1PNP1P2/2P1K1P1/7P/R7 w - -,g3g4
8/8/2n3Rp/1k6/p7/1p1R2P1/2r4P/3K4 w - -,g6h6
4r1k1/p4ppp/2R5/3p3q/3N4/1P2r1PP/P4RQK/8 b - -,h5e5
rr6/p1pk4/2p2pp1/2b1pb1p/1P5N/3P2P1/3KPP1P/1R4R1 w - -,b4c5
r7/4B3/7R/4n3/2Bp1k2/8/6P1/4K3 w - -,c4d5
7k/r2n1r1n/pp4QB/2b1pp2/P3q3/8/1P4PP/R4R1K w - -,g6f7
2r2r2/1q1bppk1/3p1np1/p2Pn2p/1p1NPN1P/PP2QB2/5PP1/3R1RK1 w - -,a3b4
bn3rk1/p3pp1p/3p2pB/8/4n2P/5B2/PP3bP1/R2K2NR b - -,f8d8
8/8/k5p1/3N1p2/5K1n/8/8/8 b - -,a6b5
r1b1kb1r/1p3ppp/4p3/3pP3/2pP4/5N2/PPnBKPPP/R1R5 w kq -,c1c2
8/3N1p1p/4k1p1/8/8/2r4P/5PPK/8 w - -,d7f8
5nk1/5bpp/8/3p4/P1p3r1/Q5N1/7P/2r2BK1 b - -,c1b1
2kqr1nr/pp4bn/2b3p1/3pP1Pp/5B2/1NQ2P2/PPP4P/1K1R1B1R w - -,f1h3
4B3/p7/8/2k5/2p1K3/P7/8/8 w - -,e8a4
r1r5/1p2kpp1/3pbn1p/p1n1p3/4P3/3B1P2/PPP3PP/R1B1RNK1 b - -,c5a6
3r1r1k/2p2qpp/1pnp1n2/p4p2/P1bPpN2/BQP1P1P1/5PBP/R2R2K1 w - -,b3b2
2bq1rk1/r3ppbp/n2p1np1/p1pP4/2P1P3/R4NP1/1PQN1PBP/2B2RK1 w - -,f1e1
8/p2r1k1p/3PqppP/2Q5/8/6P1/5P2/3R2K1 w - -,c5c2
r1bq4/p4pbk/2pprnpp/2P1p3/4P3/P1N1BN1P/1P1Q1PP1/R2R2K1 b - -,f6e8
1k1rrb2/4q2p/pp4pn/3pPp2/2pP1PP1/PnN1BN1P/1PQ5/1K1R2R1 w - -,e3f2
r1q1r1k1/pp2bppp/5n2/3p4/2nN1B2/2PN1P2/PP4PP/R2QR1K1 b - -,f6h5
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2NBPP2/PPQ1N1PP/R1B1K2R b KQ -,c7c5
4k2r/3nq3/r3pbp1/P1p4p/2P2PnP/4BN2/1P1Q2P1/3R1RK1 b - -,g4e3
3R4/p3rp2/P2Kpk2/1P6/2p3p1/7p/6bP/1R6 w - -,d8g8
r4r1k/1b2bppp/pp2p3/8/6qN/6B1/PPPQ1PPP/3RR1K1 w - -,d2d7
1r2r1k1/pp1b1p2/5n1p/6p1/3N4/2R1P1P1/PP3PP1/1B1R2K1 b - -,e8d8
2r2k2/2r2p1p/p3p1p1/1p1n4/7P/PN1B2P1/1P2KP2/1R6 b - -,f8e7
5rk1/ppq2rp1/4p2p/8/2PQp2P/4PbR1/PP1R1P2/4K1N1 b - -,f3h5
1k1r4/pp3pp1/2p1p3/4q1p1/nP1rP3/P2BQ2P/2P2PP1/1R2R1K1 w - -,g2g3
2k4r/1b3p1p/p1p1p1p1/b1B1P3/2p1BP2/P7/1PK3PP/3r3R w - -,h1d1
6R1/2n5/4p1k1/5p2/pR3P2/1p4PK/8/2r5 b - -,g6f6
r1bqr3/ppp2pkp/3n2p1/4p3/8/2NPPBP1/PPQ2P1P/R2R2K1 b - -,d8f6
8/5k2/B2p1b2/2pPn3/2P1K3/1P6/8/4B3 b - -,f7e7
rq3rk1/1p1n1ppp/p1pbpnb1/3p2N1/2PP4/1P1BP2P/PBQN1PP1/R4RK1 w - -,d3g6
8/pr3p1k/2Q3n1/3Pp2p/2p4P/P1B1q1P1/8/5RK1 w - -,g1g2
8/8/p2b4/2p1p1k1/1P2P1pp/2P3K1/8/3R4 w - -,g3h2
2b3k1/p4ppp/2p1pn2/1r2P3/Q7/P1P5/1qBr1PPP/2R2RK1 w - -,e5f6
1r3rk1/p1q4p/1p1pp1p1/3bP3/3P4/3B2Q1/PP3PP1/3RR1K1 w - -,e5d6
3r1r1k/pb2q1np/1p1pp1pN/8/P6b/2Q4P/BPP2PP1/2BRR1K1 w - -,e1e6
r3r1k1/1p3p1p/p3b1p1/q7/Pn2Q3/8/1P2BPPP/RN3RK1 b - -,e6d5
7k/ppp1nq1p/3b2pP/2pP2P1/2P1QrB1/8/PP1B1P2/2KR4 w - -,d2f4
8/5p2/3K4/8/4k3/5r2/8/6R1 w - -,g1e1
rnb1k2r/1p3ppp/2p1p3/8/2BPnq2/1PB2N2/2P3PP/1K1RQ2R b kq -,e4c3
r7/4ppk1/3p2p1/1NnP3p/2P1P3/3n1PP1/R2NK2P/1R6 b - -,a8a2
8/1p4k1/p1p2pq1/3r3r/3PpPbp/P3P3/1PR2QPK/2R2N2 b - -,g4d7
rn1qk2r/pp2bppp/2p1pn2/3p1b2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,h2h3
8/8/4n3/1P6/Pk6/1P6/1K6/8 b - -,e6c5
r1b2rk1/pp2ppbp/2np1np1/q7/2PN4/2N1P1P1/PP1B1PBP/R2Q1RK1 b - -,a5a6
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1e2:c2c4
3r1rk1/p3bpp1/2n1p2p/q3P3/3PNP2/1B1Q3P/P4BP1/5RK1 b - -,a5a3
r1b1r1k1/p1qn1pp1/2p2n1p/1p2b3/3NP2B/2N5/PP3PPP/R2QRB1K w - -,a1c1
4b3/5N2/4p1p1/4Pp1p/1k1K1P1P/6P1/8/8 w - -,f7g5
8/5p2/4p1kp/8/3PK1P1/4PP1R/3r4/8 w - -,e4e5
3r1rk1/pp2pqbp/5pp1/3b4/1n1NP1PQ/1P6/PB3PBP/R2R2K1 b - -,e7e5
8/3k4/3Np3/1PP2pp1/3n4/6P1/7P/2K5 w - f6,h2h4
7R/8/7P/2kbp3/8/4K2r/4N3/8 w - -,e3f2
2q2rk1/pb1n1pp1/1p2p2p/8/3PPQ2/3B1N1P/P4PP1/2R3K1 b - -,c8b8
8/p3pp2/5k2/R5pp/P7/1P4Pb/1r3P2/3BK3 w - h6,a5a7
8/p7/P3k2p/1P5P/4K3/2n5/8/5B2 w - -,e4f3
rnb1kb1r/p2p1ppp/1q3n2/2pN4/2p2B2/5N2/PP1QPPPP/R3KB1R b KQkq -,f6d5
r1bq1rk1/2p1p1b1/p1np1n1p/5p1P/1p1P1Np1/2N1P1B1/PPPQ1PP1/2KR1B1R w - -,f1c4
5rk1/pR3ppp/2pq4/4n3/1Q2p3/6PP/PP1rPP2/R4BK1 b - -,d6d5
