8/8/6B1/4k1p1/1p6/1n4Kp/5P2/8 b - -,b3d2
8/2rn2k1/p1pR1p2/P1P1pKp1/2P3P1/4BP2/P7/8 w - -,d6d2
r4rk1/3q1pb1/1p2p1p1/p2pP3/2pP1PQ1/2P5/PP5P/R1B2RK1 b - -,f8e8
r2q2k1/5bp1/1R1p3p/3Pp3/2P5/1RQ2N1P/5PPK/r7 b - -,a1a2
r4rk1/pbqnbppp/1p2pn2/2pP4/3P4/1QN1PN2/PP1BBPPP/2RR2K1 b - -,e6d5
6k1/pp1r1pp1/2p1bn1p/2q1n3/4P3/1PN3PP/PBQ2PB1/5RK1 w - -,f1d1
8/5pk1/2r2p2/p2ppPb1/Pp6/6Pp/1PP1R2P/5R1K w - -,h1g1
8/2p2ppk/2p2n1p/p7/2PQ4/7P/q4PP1/3R2K1 b - -,a5a4
r1bqk1nr/p4pbp/1pnpp1p1/2p5/4P3/2PPB1P1/PP1QNPBP/R2NK2R b KQkq -,c8a6
3rk2r/4qppp/2bppn2/p3P1B1/Pp1Q4/1B6/1PP2PPP/R3R1K1 b k -,d6e5
r2q1r2/2p3bk/bp2p2p/p2pNpp1/P2PnP2/1PP3P1/2Q1P1BP/R1B2RK1 b - -,g7e5
r4nk1/1p4bp/2p1b1p1/NpP1pp2/1P1rP3/P1NB3P/1K3PP1/3RR3 b - -,a8a5
8/ppQ2pkp/8/4r1p1/8/4P3/PP2RR2/4K1q1 w - -,f2f1
5r1k/4R2p/P4bp1/8/2Q5/5NP1/4BPKP/q7 b - -,f6e7
6r1/1pr1pknp/p4p2/2P2P1p/1P1N2P1/P3P3/4K3/3R3R b - -,g8d8
5k2/pp1b1p2/3P1p2/7p/1P3P2/P3KN2/3R3P/2r5 w - -,f3d4
3rr1k1/5pp1/R3bqn1/1p2p3/7p/1BpP2PP/1P2QP1K/5RN1 w - -,b2c3
rn1qkb1r/pbpppppp/1p3n2/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,g7g6:e7e6:d7d6
2r3k1/1b2bp2/1p2q3/pP1pPp2/2rP1Pp1/PQ4Pp/1B5P/3NRRK1 b - -,c8c7
r1b1k2r/ppppbppp/2n4n/4P2q/3P4/2NB1N2/P4PPP/R1BQ1RK1 w kq -,c3d5
r1bq1rk1/1p1nbppp/p2ppn2/8/P2NP3/1BN5/1PP2PPP/R1BQ1RK1 w - -,c1e3
5k2/1b2Bppp/1p2p3/pP6/P1nPP3/2N3P1/6BP/6K1 b - -,f8e7
8/5k1p/2p5/2Pp4/2nPp1b1/r1B3P1/5P2/1R3BK1 w - -,c3e1
r1bqkb1r/4pp1p/n2p1np1/2pP4/8/6P1/PP2PPBP/RNBQK1NR w KQkq -,b1c3
4r1k1/1q3pbp/p5p1/1p1b4/2n5/P3B2P/1P1N1PP1/1B1R1QK1 w - -,d2c4
3r1rk1/p3b1pp/2pq1pb1/2pnp3/4B3/2NP2B1/PPP2PPP/R3QRK1 b - -,g6f7
3r4/4b1k1/2nR4/p3p2p/Pp3p2/1P3N1P/5PP1/3RN1K1 b - -,d8d6
3r2k1/5pp1/p3pn1p/q7/r3P3/1R3NPP/P1Q2P2/4R1K1 w - -,e1e2
8/R5pp/4nk2/8/P4PP1/4K3/7r/8 b - -,h2b2
8/8/p3kp1p/1p5P/1Pn2pP1/P4P2/2N5/5K2 w - -,c2d4
6k1/5p1p/1p4p1/p3p3/2P5/3q1PP1/5R1P/2R3K1 w - -,c4c5
8/5p2/1R2k1p1/4P2p/1PK2P2/P5r1/8/8 b - -,e6e7
r2q1rk1/ppp2pbp/3p2p1/4n3/2P1P1b1/2N1BnP1/PP4BP/R2Q1RK1 w - -,g2f3
2kr3r/pp3p1p/2nbp1p1/1Q3q2/2B5/2P1PN2/PP4PP/R3R1K1 b - -,f5b5
4r1k1/p1p2pp1/1p4qp/4pb2/2Pr4/3P2PP/P1P1QPB1/1R2R2K w - -,e2e3
7r/p3kp2/2p5/6p1/2PPb3/4PpK1/P4P2/R7 w - -,a2a3
2br1k2/3rbppp/pp6/2pBp3/P3P3/1R1R2P1/1PP2P1P/3N2K1 b - -,b6b5
3k1r2/p2b4/p2b1p2/q1pP3Q/6r1/1P2B3/P1R2PPP/2R1N1K1 w - -,e1d3
1r4k1/p1q2pp1/4p2p/2p1P3/2br4/1P6/P4PPP/2R1QRK1 w - -,c1c4
r3kbnr/pp3pp1/2n1p2p/2qpP3/2P5/3Q2N1/PP1N1PPP/R1B1R1K1 b kq -,d5c4
3r2k1/5pp1/1q2p2p/1p6/3P4/1bQ2PN1/6PP/R5K1 w - -,c3c5
r5k1/pbpn1ppp/1p1p4/3P4/2q1P3/P1P3P1/7P/R1BQ1RK1 w - -,d1d4
3rr1k1/1p5p/p1p2qp1/3pnb2/N7/P6P/1PPQBPP1/1R2R1K1 b - -,e8e7
5rk1/pp2qpbp/1np2np1/8/4PB2/1QN2B1P/PP3PP1/3R2K1 b - -,f8d8
rnbqk2r/pp3pp1/4p2p/b2pP3/3Bn3/P1N5/1PP1NPPP/R2QKB1R w KQkq -,b2b4
3R4/8/2K5/1P2k3/8/8/1r6/8 b - -,b2c2
rnbqr1k1/ppp2ppp/5n2/8/1PP1p3/P1Q2N2/1B2PPPP/R3KB1R w KQ -,f3e5
3q1b1r/1p3kp1/p3pp2/n2pP2p/3P3P/1P1Q1N2/P4PP1/2B1R1K1 b - -,a5c6
r7/1p1rkppp/2p1p3/2N5/2n5/1P3BP1/P3PP1P/R5K1 b - -,c4d2
8/8/1R3pk1/7p/1P5P/6K1/1r3P2/8 b - -,b2b1
r2qr1k1/pp3ppn/2p1bn1p/8/2pPp1PP/2N1PPN1/PP2Q1B1/2KR3R w - -,g3e4
5rk1/p4r1p/3p2p1/Q1pPp3/2PnB2q/5P2/PR4PP/1R4K1 w - -,a5a6
r2q1k1r/pp2nppp/1b2p1b1/1B1pP3/1B4P1/3N3P/PPP2P2/R2Q1RK1 w - -,d3c5
2rqrbk1/5p2/3p1npp/1p2p3/pP1PP3/4N2P/P1B2PP1/1R1QR1K1 b - -,d8b6
6k1/4b3/1q2p1p1/3pP2N/2pP2Q1/p1P3P1/2R2PK1/1r6 b - -,b1g1
8/8/1p3N2/pP3K2/P5B1/3k3P/8/4b3 w - -,f5e5
r2q1rk1/pp1bbppp/2nppn2/2p5/2P1P3/2NPBN2/PP2BPPP/R2Q1RK1 w - -,d1d2
r1r3k1/p2nqppp/1p1ppn2/8/2PP4/2N2Q2/PP1N1PPP/3RR1K1 b - -,a7a6
2bn4/1p6/3kpr1p/n2pNp2/P2P1N2/3B2P1/4rP1P/1R4K1 w - -,d3e2
rnbqkb1r/pp3ppp/2p2n2/3p4/4p3/3P1NP1/PPPNPPBP/R1BQK2R w KQkq -,f3g5
r3k2r/pp3p2/3Bp2p/8/6P1/5b1P/PPP2P2/R4RK1 b kq -,h8g8
6bk/6p1/3Nr2p/2Qp1p2/q7/4P1P1/5PP1/5RK1 b - -,e6f6
rn2r1k1/pp3p1p/2p1qpp1/3P4/2P1bQ2/3B4/PP2NP1P/2KR2R1 b - -,c6d5
r4rk1/pbpnqppp/1p6/3p4/3Pn3/2NBPN2/PPQ2PPP/2R2RK1 b - -,f7f5
4r2k/1p4pp/2ppq3/Q4r2/P4P2/1NN3P1/1Pn4P/2KR4 w - -,a5b6
8/pp4pr/4k3/3pp1b1/8/7P/PP2B1P1/R5K1 w - -,e2g4
r3k2r/1bpnqpp1/1p1p1n1p/p2Pp3/P1P4B/2P1P3/3NBPPP/R2Q1RK1 b kq -,g7g5
1r3rk1/pp5p/n5p1/2pPb2P/2P1P3/P1NB4/1P4K1/R1B2R2 b - -,f8f1
6k1/5pp1/pp2b2p/4P3/1r1Bq3/6P1/P4Q1K/2R5 w - -,d4b6
r3k1n1/1bqnppb1/p1pp2p1/1p5r/3PP2P/4BP2/PPPQN3/2KR1BNR w q -,e2f4
r1b3k1/pp1p1rp1/2q1p1p1/4Q3/n1P1N1P1/8/P4P1P/B1R2RK1 w - -,e4g5
1r3rk1/1p1bppbp/p1np1np1/2q5/2PN4/1PN1P1P1/PB1Q1PBP/R4RK1 w - -,c3a4
5k2/p4p1p/2rp1PP1/5RP1/1pP5/1K1R4/PP4r1/8 b - -,f7g6
2r3k1/3n1ppp/2b5/1pN5/1P2P3/P1N3PB/2P5/7K b - -,c8c7
2r2rk1/p4p1p/1p1N1Rpq/3Pn3/1p2P3/8/P3Q1PP/5RK1 b - -,c8c1
1r2q1k1/1p1bbppp/p1n1p3/7r/3P4/1Q2PNN1/PP4PP/1BRR2K1 b - -,h5h6
7k/p7/7p/2p1R3/P1P1P3/8/r6P/7K w - -,e5c5
r1b2rk1/pp2nppp/1q2p3/1N1pP3/8/3n1N2/PPPQ1PPP/1R2K2R w K -,d2d3
8/8/R2pk1p1/P7/1P1b2P1/5P2/7r/4BK2 w - -,e1g3
6k1/5p2/2b1p1p1/3pP1b1/8/3B3q/2Q1K3/4R3 b - -,h3g2
6R1/5p1k/4b3/3np2p/7K/5PP1/1P1N4/8 w - -,g8e8
1R6/4p3/1P1p1kp1/7p/7P/1r4P1/5PK1/8 w - -,b6b7
1qrr2k1/5pp1/4p2p/1pbb4/1P6/3R1PP1/P3Q1BP/2R3K1 w - -,b4c5
r5k1/1b1nnpb1/2q3pp/1pp1p3/1P2P3/1NB2N1P/Q4PP1/R3R1K1 w - -,b3a5
r1n1k2r/pp1n2pp/3b1p2/1P2pb2/2B5/4PNB1/1P1N1PPP/R4RK1 b kq -,d7b6
8/2b1kp1R/p1p1b1p1/PpP1p1P1/1P1rP3/2K2PPN/4B3/8 w - -,h3f4
6k1/5p2/4q1n1/1p5p/pQ5P/P3r1P1/1PB5/K4R2 b - -,e3e5
r1b2rk1/ppqn1pp1/2pb1B1p/8/3pp3/2PB1N2/PP1NQPPP/R4RK1 w - -,d2e4
2rq2k1/pp3p1p/1n1P2p1/1Q3p2/2r5/2PR1N1P/P4PP1/5RK1 b - -,c4c5
r4rkb/p4p1p/1pnqp1pB/3p3N/3P2Q1/7P/PPP2PP1/3R1RK1 b - -,f8e8
2krr3/ppq2pp1/3bp2p/3nN2P/8/6P1/PPPBQP2/1K1R3R w - -,h1h4
r4n1k/2q2p1n/1pp2bp1/7B/1PP1PP2/2N1BN1b/1Q6/6RK w - -,e4e5
r2q1rk1/pb1nbppp/1pp2n2/3p4/3P1B2/1QN2NP1/PP2PPBP/R3R1K1 b - -,f8e8
R7/2r2pkp/4n1p1/3N4/4P3/6K1/8/8 w - -,d5c7
3r1rk1/pp2npp1/2p4p/3p1b1P/1PPR4/P1B1PP2/5KP1/2R2B2 w - -,c1d1
1rb2r2/2k5/5p2/2pqpP2/2P4P/1p1P2N1/1P3R2/5RK1 w - -,c4d5
5bk1/pp3pp1/2p1r3/2P2b1p/1P1Rp2q/P1N1P3/1B3PPP/5Q1K b - -,b7b6
2rb2k1/2q2pp1/3p4/1p1n3p/8/p5P1/PPPN2QP/1KR1B3 w - -,d2e4
5qk1/1p4p1/p1n1pr1p/2Rp4/1P1P4/P1Q2N2/6PP/6K1 w - -,a3a4
3k2rr/ppq2p1p/4b3/3BpN2/2P1Q1P1/5R1P/P3P2K/8 w - -,f3d3
6k1/1N4p1/5n2/pp1p1b2/7P/P4B2/1P4P1/2K5 b - -,a5a4
r1bqk2r/ppp1bpp1/2n1pn1p/8/2pP3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1c4
3R4/p7/2b5/Pp2k1p1/2p1pp2/7P/2r3P1/3KR3 b - -,c2g2
8/p2qk3/Qp2pb1p/2p3pB/P3P3/1P4PP/5PK1/8 b - -,f6d4
r2q1rk1/pp2ppbp/2np1np1/2p5/2P3b1/1P2PNP1/PB1P1PBP/RN1Q1RK1 w - -,h2h3
6k1/p3r1pp/1n6/4P3/3p1PP1/1PnK4/P1P4P/4R3 b - -,c3a2
1k3r2/1b6/p2N4/4P2P/6R1/4qn2/2Q1B2P/3K4 b - -,e3e5
5rk1/2Q1bqp1/2P5/7p/2p1Q1b1/5rP1/P4P2/1R1R3K b - -,e7c5
r6r/pppn1k1p/3bpp2/8/3P4/2N2N2/PP3PPP/2KR3R w - -,d4d5
2r2b1r/1pNRnk1p/p4pp1/8/4PB2/8/PP3PPP/2K4R w - -,c1b1
3rb1k1/5pp1/1q2pn1p/1pR5/1Q1PP3/3B1NPP/5P1K/8 b - -,b6a6
r6r/pp1k1ppp/4pb2/8/3P4/5N2/PP3PPP/R3K2R w KQ -,f3e5
r4k2/pp3pp1/2pRbn1p/8/4P3/2N3P1/PP3PBP/6K1 b - e3,f8e7
r2q1rk1/pp1bppbp/2np2p1/8/2PN2n1/1PN1P1P1/P4PBP/R1BQ1RK1 w - -,c1b2
r5k1/p2qrpbp/1p1p1np1/2pP4/Pn2P3/2N1NPP1/1P5P/R1BQR1K1 b - -,a7a6
r4rk1/pp2n1p1/3Nbq1p/1P1n4/3pp3/B5P1/P4PBP/R3QRK1 b - -,d4d3
r7/4k3/2p2p1p/4p3/P1N1P3/1rp4P/5PP1/R3K3 b - -,b3b4
rnb1k2r/1pqp1pp1/p3pn1p/8/1b1NP3/2N1BP2/PPP1B1PP/R2QK2R b KQkq -,d7d5
r1b2rk1/ppppq1pp/2n2n2/5p2/2PPp3/2N1P3/PP3PPP/R2QKBNR w KQ -,h2h4
2k5/4r2p/p1p3pQ/2p2p2/2P5/2P4P/P1q1rPP1/R2R2K1 w - -,h6f8
6k1/2n5/2R1np2/1N2p1p1/1P2P3/2P2P1P/4KBp1/3r4 b - -,d1f1
r3r1k1/3q1pbn/1Rpp1np1/p7/P1PPp3/B1N1P1Pp/3NQP1P/1R4K1 b - -,h7g5
r5k1/1pp1rppp/p1npbqn1/8/4P3/1NNBQ3/PPP2PPP/1K1RR3 w - -,g2g3
4b3/5p2/6p1/8/1PkN4/4P2P/5KP1/8 w - -,b4b5
r3k2r/ppq1bpp1/1np1pnp1/8/P1pP4/2N1PBP1/1P2QP1P/R1B2RK1 b kq a3,b6d5
r2qr1k1/pb2bpp1/np1p3p/5N2/4P3/5NB1/PP1Q1PPP/R3R1K1 w - -,g3d6
r5k1/ppp3pp/4P3/6B1/1nn4P/5b1B/PP2N2P/2KR4 w - -,e6e7
5r2/4Q1bk/1p4pp/4p3/2PqN2P/3P2P1/5NK1/8 b - -,d4d8
2kr3r/1pqnbpp1/p1pp4/3Npn1p/1PPP4/P3PN1P/1Q3PPB/2R1K2R b K -,c7b8
8/5pN1/1p2k3/1b1pP1K1/3P4/7p/1P5P/8 b - -,e6e7
6R1/4R3/7p/p4rpk/8/n5P1/5P1P/6K1 w - -,e7e6
3r2n1/p2k4/1p1pbKPN/2p2p2/5B2/2P1PP2/P5Q1/3r4 w - -,h6g8
1r4k1/5ppp/p1p1p1n1/2q1P3/7P/2N3Q1/PPP3P1/2K1R3 w - -,h4h5
6k1/p2r1pp1/1b5p/8/3N4/2P1P1qn/PP1Q2P1/3R1K2 b - -,h3g5
8/8/5kp1/3R3p/4p3/P5P1/2r1B2P/2b2K2 b - -,c1a3
r2q4/1r1k4/2b1p1p1/ppPpPpPp/3P1P1P/1P1B4/2R1Q3/1R2b1K1 w - -,e2e1
5r2/3k2pp/3p4/2p5/2P3P1/1P5P/4N1K1/8 b - -,f8b8
r3r1k1/pp3pb1/n1pB2p1/7n/2P1P2q/2N2P1b/PPN1B2P/R2Q2RK w - -,d1e1
r1bqkb1r/pp3ppp/2n1p2n/2ppP3/3P4/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,c5d4
r4rk1/3q1ppp/1Q1pn3/3Np1B1/1P2P3/p7/P1P2PPP/1K1R3R b - -,e6g5
rnbqr1k1/ppp2ppp/3p1n2/4p3/2P5/2P2NP1/P2PPPBP/R1BQ1RK1 w - -,a1b1:d2d3
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2NB4/1P2NPPP/R1BQ1RK1 w - -,h2h3:e2g3
rn1qbrk1/1pp3bp/p2p1np1/3Pp3/2P1PpPP/2N2P2/PP1QBB2/1K1R2NR b - h3,b8d7
8/R7/2k1K1p1/2p1Pp2/5r1P/8/8/8 b - -,f4h4
8/1k6/1Pn5/3K4/6n1/8/8/8 b - -,g4e5
2rr2k1/1q3pbp/4pnp1/1pBp4/1n1P4/1PP2BPP/5P2/R2QR1K1 w - -,c3b4
6k1/pRr3p1/2P4p/3nN3/8/7P/6P1/6K1 w - -,g1f2
8/3k3p/B1nppBp1/6P1/4PP2/5K2/7P/4b3 b - -,d6d5
r7/1pp1k2p/p5p1/4Pp2/5P1r/1P1n4/1P2N3/4nRK1 b - -,a8g8
3r1r2/1pp3kp/p1Bp1pp1/4q3/2P5/1PQ1P1P1/P4P1P/2RR2K1 b - -,b7c6
r1bqnb1k/ppp5/3P2np/3Pp1p1/4P1P1/2NNB3/PP2B2P/R2Q2K1 b - -,c7d6
8/8/2r1p1p1/prPk4/2R3Pp/2R4P/3K4/8 w - -,c4f4
6k1/1nN2pp1/1P5p/2n1N3/3R4/5P1P/1r4PK/8 w - -,c7d5
r1bqr1k1/bpp2pp1/p2p1nnp/4p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 w - -,c1e3:d3d4
rn2kb1r/1bq2p1p/p2ppp2/1p5Q/4PP2/1NN5/PPP3PP/R3KB1R w KQkq -,f1d3
r2qkb1r/1Q3ppb/2p1p2p/p3P3/Pn1P4/5N2/1P1BBPPP/R4RK1 b k -,a8b8
rnbq1rk1/pp1pbppp/4pn2/2P5/2P5/P3PN2/1P1N1PPP/R1BQKB1R b KQ -,a7a5
r1q1r1k1/4ppb1/1np3pp/8/p3PB1P/PbN3P1/1P1Q1PB1/R3R1K1 b - -,b6c4
r3k2r/p3ppbp/bqpp1np1/8/4P3/1BN2P2/PPP1Q1PP/R1B1K2R w KQkq -,e2e3
2rq1rk1/pb1nppbp/1p3np1/3p4/3P4/1QN1PN2/PP2BPPP/R1R1B1K1 b - -,f8e8
b7/2p1npk1/3p1p1p/4r3/1p2P3/1P2BPPB/2PR1K1P/8 w - -,h3d7
5k2/5p1p/p3p1p1/2P5/1r3P2/3B3P/1PK3P1/8 w - -,d3a6
2b5/5kp1/8/8/1pp1K2P/4P3/2B3P1/8 w - -,e4d4
rnbq1rk1/ppp1bppp/8/8/2PPN3/3BQN2/PP4PP/R3K2R b KQ -,f7f5
6nk/p4qp1/1p6/2p2P1p/5Q1P/2B3P1/7K/8 b - -,h8h7
5r2/8/3k1p2/p3r2p/P1BKP3/1P4R1/2P3PP/8 b - -,f8e8
q2r3k/8/1R1p2pb/2pNpp1p/2P1P2P/3P1PP1/r1Q3K1/1R6 w - -,b6b2:b1b2
7r/1b6/5k1p/1B2p2R/3p2P1/8/2P2K2/8 b - -,e5e4
5nk1/4pN2/p3prPQ/1p6/8/1P6/P4PPK/q7 b - -,f6g6
8/2k2r1p/2p5/5r2/3R4/6PP/2R2PK1/8 w - -,d4c4
8/8/R7/1r3p2/pk3P2/2p3P1/K1P5/8 b - -,b5d5
2k1r2r/1p3p1p/p1n2qb1/1N6/3Pn1p1/2P1Q1B1/PP4PP/R2K1B1R w - -,b5a3
2rr2k1/p3bp1p/4p1p1/n1pbN3/5qP1/P1P1Q2P/1PB2P2/3RRNK1 b - -,f4f6
rn1qkbnr/ppp2ppp/3p4/4p3/3PP1b1/5N2/PPP2PPP/RNBQKB1R w KQkq -,d4e5
6k1/5ppp/3B4/4P1P1/2r1P1KP/3n4/3N4/8 b - -,c4d4
8/5pk1/3p2pp/2pq4/P6P/P5P1/5P2/1Q4K1 w - -,a4a5
r2k4/1q1nRp1p/p1p2n2/3p1Br1/1pPP4/1P3QP1/P4P1P/4R1K1 b - -,g5f5
3r2k1/3R1p1p/p5p1/PnP5/1p1p4/3B4/2P3PP/4R2K b - -,d8d7
2kr4/pp3ppp/2p5/2b1BP2/P1B1P1K1/4q3/2Q3PP/7R b - -,d8d2
5rk1/1p3ppp/p1rbb3/3p1P2/2nB3q/P1N1P3/1PR1B1PP/3Q1RK1 w - -,g2g3
b2q4/5k1p/pp2p3/2p1Q2P/P7/2N5/1PP2PP1/6K1 w - -,e5f4
4r3/3r1k2/1p5R/3q1Pp1/3p2P1/5Q2/PP4K1/5R2 b - -,e8e4
1n2kbnr/r1p2ppp/p3p3/1P1qN3/2p5/6P1/1P1PPPKP/RNBQ1R2 w k -,e5f3
5k2/7p/6b1/4Rp2/PP3P2/1BK1R3/4p2r/1r6 b - -,b1c1
r3rnk1/pp1b1ppp/2pb1n2/3p4/3P1P1q/3BPRNP/PPQBN1P1/R5K1 b - -,e8e7
6r1/2p2pp1/2kn3p/1r2R2N/p4PP1/1P5P/P7/2R3K1 b - -,c6d7
7k/pp1B2pp/2p5/3p4/3P4/2P2n2/PP3bK1/8 b - -,f3d4
r2qk1nr/1b3pbp/p2pp1p1/1pp5/3nPP2/2NPB1PN/PPPQ2BP/1K1R3R w kq -,f4f5
r5rb/1bq1pp1k/pp1p1np1/2pP1PRn/2P1P3/1PNQBB1P/P3N3/R3K3 b Q -,c7d7
r2q1r1k/p2n3P/2p2pQ1/1p1p4/3P4/P3P3/1P2NPP1/R3K2R b KQ -,d8e7
6K1/3k2P1/8/8/4R3/8/8/6r1 w - -,g8f7
r1br2k1/1pbn1pp1/2pp1q1p/3Pp3/1p2P3/P1NB1N2/2PQ1PPP/3RR1K1 w - -,a3b4
8/6k1/2P2p2/bp1Np1pP/4P3/1K3P2/8/8 w - -,c6c7
r2qkb1r/pBp1pppp/1n6/4n3/8/7P/PPP2PP1/RNBQ1RK1 b kq -,d8d1
4k3/4P3/6n1/3p1bP1/1Pp2p2/p7/1P2Q2P/6K1 w - -,b2a3
r3k2r/1p2bpp1/npp1p1p1/8/2PPp1P1/7P/PP3PB1/R1B1K2R w KQkq -,g2e4
5rk1/p5pp/4pr2/8/2R1QP2/P7/1P3q1P/1K1R4 w - -,c4c7
r1b3k1/ppb4p/4p3/3p4/5r2/3B1PB1/PP3P1P/R4RK1 b - -,f4f3
r1b2rk1/pp2b1pp/1n3p2/2pPp3/4P3/1PPB2BP/3N1PP1/2RR2K1 b - -,e7d6
1rr3k1/5p1p/p3p1p1/2p3Pn/2P2P2/3RP2P/PbN3B1/3R2K1 w - -,d3d7
2r5/r1pqnpk1/b2p1n2/Pp1Pp2p/1P2P3/2R3Pp/2Q1BP1K/2R2NN1 w - -,f1e3
r2q1rk1/pp1nbpp1/2p1pn1p/3p1b2/PP6/1QPP1NP1/3NPPBP/R1B2RK1 b - -,f5h7
2r4k/nbq2pb1/6p1/pp2Pn2/3pNQNP/PP1P4/4B3/2B1R1K1 b - -,a7c6
8/p5bk/2p3pp/4p3/3rN3/7P/PP3PP1/4R1K1 w - -,f2f3
5k2/2R3p1/4ppp1/8/1P1P1PKP/4P3/5r2/8 w - -,h4h5
6B1/8/1p6/4p1p1/3kP3/2n2KP1/8/8 w - -,g8f7
r2q1rk1/ppp1ppbp/2n1b1p1/3n4/3PP2N/2N3P1/PP3PBP/R1BQ1RK1 b - e3,d5c3
5r2/6k1/4bqp1/pp2r2p/3p3R/3PnPP1/PP1Q2B1/2R3K1 b - -,e3g2
3k4/7R/2P1Kp2/1N3P2/6bp/8/8/3r4 b - -,d1e1
