8/8/1R6/P6p/5r1k/7p/5P1K/8 w - -,h2g1
3qr2k/r2np1b1/p1p3Bp/Pp2P3/3P3B/2P4P/1P2Q1PN/5RK1 w - -,g6e8
8/4kp1p/p2q2p1/P1np4/8/4P2P/1Q2BPP1/6K1 b - -,d6c7
r7/pb3pk1/1p1qpn2/3nR3/3P4/3B3Q/PP3PPP/4R1K1 w - -,h3g3
r1b2rk1/p4ppp/5n2/2pB4/8/QP3P2/2P1NKPP/7R b - -,f6d5
3r1rk1/pbq1bppp/1pn1pn2/2p5/2P5/P2PP1N1/1PQBB1PP/R3NRK1 b - -,e7d6
3R4/1p1Q2kp/p3qrp1/4p3/2P1P3/1P3P1P/P5K1/8 b - -,g7h6
rn2k2r/pp2b2p/2p1bpp1/8/2B3q1/2QP1N2/PP3PPP/R1BKR3 b kq -,g4g2
1rb2rk1/3nbp1p/p1p1p1p1/q2PP3/N4P2/3BB3/PPQ3PP/2R2RK1 b - -,c6d5
6k1/3n1ppp/2p5/1p3P2/1P6/r7/4N1PP/5R1K b - -,d7e5
r2q1rk1/1ppnp1b1/p2p3p/3P2p1/2P5/4P1P1/RPQ1NPBP/5RK1 b - -,a6a5
8/p4p2/1pp2p2/4pk1P/8/1P6/1P2K3/8 w - -,e2f3
6k1/5pp1/1p4r1/p2pR2p/3P3q/PP3P1P/2Q3P1/7K w - -,c2c8
3q2k1/p4pp1/2p1rb1p/7P/Q7/1P3NP1/P4PK1/2R5 b - -,d8b6
r1bkrq2/ppp4p/3n1bp1/3B1p2/8/2P3P1/PP2QPNP/R1B1R1K1 w - -,c1e3
r1b1kb1r/p1p2pp1/1pp5/4Pn1p/8/1PN2N1P/P1P2PP1/R1B2RK1 w - -,c1b2
8/4R3/2PP1k2/8/PP4K1/2r5/6pp/4R3 b - -,g2g1q
rn1qk2r/1bp3bp/pp1ppnp1/5p2/3P4/1P1NP3/PBP1BPPP/RN1Q1RK1 b kq -,e8g8
r1bqr1k1/1p3pbp/p4np1/3pn3/8/1PNBPN1P/PB3PP1/R2Q1RK1 w - -,f3e5
r1bq1rk1/ppp1b1p1/2nppn1p/8/2PPN2B/3B1N2/PP3PPP/R2Q1RK1 b - -,c6b4
5rk1/4pp2/R5pp/2p5/1bP5/1Q3BP1/2P1qPKP/8 b - -,e2d2
r4r2/1n1q1p1k/p4bpp/2pP4/RP6/5N1P/3N1PP1/3QR1K1 w - -,d2e4
2r1k2r/1b2bppp/p2p4/npq1pPPP/2nNP3/3B4/PPPBNQ2/1K1R3R b k -,c4d2
2b2r1k/p3p1bp/3p2p1/q2Q1p2/8/6P1/PP2PP1P/R1BR2K1 b - -,a5d5
6k1/5p1p/6p1/pB6/Pp6/6P1/1P2PPKP/3n4 w - -,g2f1
2r3k1/p3R3/1p5p/3P4/8/P6P/5KP1/8 b - -,c8d8
r1b2rk1/p2qppbp/2p3p1/8/8/4BB2/PPP2PPP/R2Q1R1K w - -,d1d7
1r6/Rn5p/3p1kp1/3P1p2/1PN1p3/4B2P/5PP1/6K1 w - -,e3d4
r1br2k1/1p2q1pp/3p1p2/p3n3/5B2/Q3P3/PP2BPPP/R2R2K1 w - -,d1d5
2r2k1r/8/p2p1pp1/1p1P4/4b3/1N6/PPP3Q1/1K6 w - -,g2e4
2rk3r/p4ppp/1p1Pb3/2P1n3/5R2/B7/P1P1B1PP/5RK1 b - -,b6c5
1rb2rk1/3nppbp/1qnp2p1/4P1P1/5P2/1p1P2NP/1P2N1B1/R1BQ1R1K b - -,d6e5
1k6/pppb1pp1/5q1p/3p3P/3P3R/2P5/PP1Q1PP1/2K2B2 b - -,f6h4
r1b2rk1/2q1ppbp/1np3p1/2N1P3/2P5/p4N1P/PBP1QPP1/R2R2K1 w - -,b2d4
4r3/p6p/1pPrk3/1P3p2/P1R1pp2/8/5KPP/4R3 b - -,e8g8
2r5/p3kppp/1p2p3/n2pP3/2rP4/Pn2BN2/1P3PPP/1R1R2K1 w - -,g1f1
5k2/5ppp/8/p7/2p1B3/2P2R1P/Pq3P1P/6K1 w - -,e4d5
rnbqrbk1/p1p2ppp/1p3n2/3p4/3P4/P1NBP1N1/1P3PPP/R1BQK2R w KQ -,e1g1
1br2rk1/1b4np/pq2ppp1/1p6/4p1P1/PP2P2Q/1BPNBP1P/2RR2K1 w - -,d2f1
2r5/4kpp1/p1p4p/2Rn4/PP6/5P1P/2N2P2/6K1 w - -,c5a5
1rb2rk1/pp1np1bp/2n1N1p1/1Bp1p3/5P2/5N2/PPPB2PP/R3K2R b KQ -,e5e4
r2qk2r/pp2bpp1/1np1p1bp/B2pP3/3P2PN/1N6/PPP1BP1P/2RQ1RK1 b kq -,e7h4
8/5k2/2P1np1p/1p6/1P2Pp2/8/1B3K1P/8 w - -,e4e5
r1br2k1/ppp2pb1/3p2pp/8/2PNqB2/7P/PP1Q1PP1/R4RK1 w - -,a1d1
r1bQk1nr/1pp2pb1/p1n3pp/4p3/4P3/2N1BN2/PPP1BPPP/R4RK1 b kq -,c6d8
8/1R4kp/4p3/3pP3/2pP2NP/Pp4P1/1P4K1/2b5 b - -,g7g6
rn1q1rk1/p3bppp/2p1pn2/1pPp4/3P1P2/2N1B3/PPQ1BPPP/R4RK1 b - -,g7g6
8/1p6/3R4/5p2/3kb3/8/4PKp1/8 b - -,d4c3
6k1/4qp2/6p1/7p/3Q3P/6P1/5K2/8 b - -,e7f8
5k2/1p1r1pp1/p1b1n3/6pP/8/1P2NPP1/P1R2K2/4N3 b - -,d7d4
r4rk1/1bp2ppp/1p2p3/p1nnP3/q1Q2B2/P4NP1/1P2PPBP/R3R1K1 w - -,c4a4
6k1/3b3p/p2P4/N1P1p3/7P/8/6PK/8 b - -,d7b5
r4rk1/p1q3b1/1ppnp1p1/2np4/5PP1/2N2B2/PPPQ1B2/2KR3R w - -,f2e3
3r2k1/5ppp/p1n2n2/5P2/P1N5/1PN5/6PP/5RK1 w - -,c3e2
4r3/7p/1p1k3b/1PpP1B2/6R1/1P5P/6K1/R3q3 w - -,a1e1
r1bq1rk1/5ppp/p1np1b2/1p1Np3/4P3/2P5/PPN2PPP/R2QKB1R b KQ -,f6g5:a8b8
1k1Q4/8/3Pp3/1Bqb1ppp/Pp6/4P3/1P3KPP/8 b - -,c5c8
r3k3/p2q2p1/2n1p3/2p2rB1/7P/P1P5/4QPP1/R3K2R w KQ -,e1g1
8/1p6/1k6/5P2/P7/2K2B1R/r7/8 b - -,a2a4
3r4/p1k1bp2/bpp1p1p1/3rP2p/5PPP/3PBK1R/PP3N2/3R4 b - g3,h5g4
r2q1r1k/2pb3p/1p1p1b2/1NnPp2n/p1P1Pp2/P1N2PP1/1PBR1BP1/4QR1K b - -,f4g3
8/8/P1R5/7k/2P3pp/8/r5P1/6K1 w - -,c4c5
2b1rrk1/p1qn2p1/2p1p2p/Pp6/2pPNP2/2P3P1/3QB2P/3R1RK1 w - -,e2f3
2q3k1/3b1pbp/pp1P4/3Q4/8/B5P1/P4PK1/8 w - -,d5g5
r2q1rk1/1p1nppbp/p1np2p1/2p5/4P3/2PP3P/PP1NQPP1/R1B1RBK1 w - -,d2f3
8/5R2/2p5/2b1kPP1/r7/2P5/3BK3/8 b - -,a4g4
5N2/1n6/3p2k1/p1pP1p1n/1pP4B/1P6/P2b1PP1/3B1K2 b - -,g6h6
8/2N2k1p/2P1p1p1/5p2/K2n4/2R4P/8/5r2 w - -,c7b5
5k2/7R/5p1P/5p2/5P1K/6P1/8/1r6 w - -,h4h5
1k1r3r/p1p2ppp/p1nb1n2/3P4/1P6/P1N1B3/5PPP/R4RK1 w - -,d5c6
r4r2/p1nk2pq/1ppN1p1p/3pP2P/6P1/8/PPPQ1P2/2K1R2R w - -,d6f5
r1b2r1k/pp2bpp1/2n3qp/4p3/1PPpN3/P2P2P1/2N2PBP/R2Q1RK1 b - b3,c8g4
4r3/4nk1p/2p2pp1/R1np4/8/1BP2N1P/P4PP1/5K2 b - -,c5b3
1b2b3/8/1p2p1pk/1P1p1p2/1B1P1P1P/4P3/3KB3/8 b - -,h6g7
2B4k/4q1b1/p5p1/8/r3p2p/2P4P/4RPPB/3R3K w - -,c3c4
r1b1kb1r/ppq1pp1p/3p1np1/1B1P4/8/1QP1BN2/P4PPP/1R3RK1 b kq -,c8d7
8/6p1/1p3p2/p1p2b1P/5P2/PkP5/1P4B1/2K5 w - -,g2d5
2rR2k1/1p2ppbp/p1b3p1/2B1p3/2P1P3/2N4P/PP3PP1/R5K1 b - -,c8d8
r3kb2/1p5r/2p1pp2/p1Pp1n1p/R2P2pP/1PNKP1B1/1P3PP1/R7 w q -,c3e2
r1b1q2r/1pp1nk1p/p1np1pp1/2N5/4PP2/2Q1N3/PPP3PP/2KR1B1R w - -,f1c4
1r2r1k1/4qpb1/pp1p1p1p/3P1B2/3p4/5QP1/PP2PP1P/3R1RK1 w - -,f1e1
r2qnrk1/pb1p1pp1/1pn1p2p/8/2P4Q/P1B1PN2/1P2BPPP/3RK2R w K -,h4g3
1r4k1/8/2B1b3/6K1/5B2/3r4/8/8 w - -,f4b8
r4k2/2p1Rpp1/p6p/8/1P1PN1n1/2PK2Pq/1P3P2/4Q3 b - -,h3g2
r1bqk2r/p2nbppp/2n1p3/1p1pP3/2pP4/2P5/PPBNNPPP/R1BQ1RK1 w kq b6,b2b3
rnbq1rk1/pp4bp/2pp2p1/4pp2/2PPP1n1/2N2N2/PP2BPPP/R1BQ1RK1 w - -,h2h3
rn3rk1/pp2qppp/2p1b3/8/8/P1nBP3/1PQ2PPP/R1B1K2R w KQ -,b2c3
5rk1/pppb1p1p/2nq2p1/2b5/8/PP2rN2/1BQ1B1PP/RN2K2R b KQ -,f8e8
6k1/1PK5/8/8/1q6/8/8/8 b - -,b4c5
r3kbnr/pp1np1p1/2pqp2p/3p3P/3P1P2/3Q2N1/PPP3P1/RNB1K2R b KQkq -,e8c8
8/5pk1/7p/2R1Pp2/6p1/6P1/1r5P/7K w - -,h1g1
7r/p3bkpp/2p5/2Pr1p2/3B1P1n/2N5/PP4PP/3R1RK1 b - -,d5d4
4rrk1/p5pp/1p2p3/1n1p4/8/1P3N2/P1PR1PPP/2K1R3 w - -,c1b2
rnbqr1k1/pp1p1ppp/3P4/2p5/4n3/2bQ1NP1/PP2PPBP/R1B2RK1 w - -,b2c3
8/6k1/p2R4/5p2/1P4pp/r7/6K1/8 w - -,d6c6
r1bq1rk1/ppp1bpp1/2np1n1p/4p3/2P5/P1N1PN1P/1PQP1PP1/R1B1KB1R w KQ -,f1e2
rn1qkb1r/pp3ppp/2n1p3/2PpPb2/8/5N2/PPP1NPPP/R1BQKB1R w KQkq -,c2c3
r3kb1r/1p3ppp/p3pn2/5b2/3B4/1PP5/1P1NBPPP/R3K2R b KQkq -,e8c8
2kr3r/ppp1np2/6pp/8/3q4/2NP1PP1/P1PQ2KP/1R3R2 w - -,f1e1
r3r1k1/6pp/p4bq1/1p3p2/5B2/2P2bP1/PP1N2K1/R3R2Q w - -,d2f3
2r2bk1/6pp/p1r3p1/2Pn4/2R1N1P1/1R5P/3B1P2/6K1 w - -,b3d3
r5k1/p4ppp/1n2q3/2pr4/4n3/B3PN1P/P1Q2PP1/2RR2K1 b - -,a8d8
4q2k/p2rP1Rp/1p1p1p2/n1pN4/Q7/4p3/PP3P1P/R3K3 b Q -,d7e7
r2q1rk1/pb1p2pp/4p3/5n1P/QP1P3R/P2BpNK1/1B4P1/2R5 w - -,d3f5
2rq1rk1/pb2ppbp/3p1np1/nppP4/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 w - -,a1b1
6R1/3k4/4pP2/1pP2p1p/1Pr5/6K1/8/8 b - -,f5f4
2k1r3/p7/5p2/3p2b1/3pr2p/P1N1PR2/1P3KPP/4R3 w - -,c3e4
8/7p/4kPp1/1pr1P1P1/8/P4K2/2p5/2R5 b - -,c5e5
8/p4rkp/2n2pp1/8/2R4P/P5K1/1BR5/8 b - -,c6e7
b2r1rk1/3qppb1/1p4p1/p1n1P3/PpPp4/1P1P1NP1/2Q2PBN/3RR1K1 b - -,d7f5
r4rk1/ppp2ppp/2nn4/8/2BP3q/P4P2/1P3P1P/R1BQ1R1K w - -,c4d5
6k1/1q2bp2/3pp1p1/7p/1r2PP2/1P1Q3P/6PN/4R2K w - -,e1e3
r4rk1/pbn2pbp/1p2p1p1/2p3B1/2PqN3/3P1B2/P1R2PPP/3Q1RK1 w - -,d1c1
6k1/5pp1/1Bp4p/7r/1P6/2P2R2/6PK/3r4 w - -,h2g3
r2r2k1/1bq2p1p/p1n1pnpb/1pPpN3/1P1P4/P2B1N2/2R1QPPP/2B1R1K1 b - -,h6g7
br3rk1/3q1p1p/p3pBpb/1pRpP3/1P1P4/3Q1N2/P4PPP/5RK1 w - -,h2h4
3q1rk1/r4ppp/pn2p3/2Np1b2/QP1P4/4P1P1/4BPP1/2R2RK1 w - -,a4a5
r3r1k1/5p1p/1p4p1/6P1/p7/2B2R2/PPP4P/1KN5 b - -,a8d8
1R6/3r1p1p/p1kB4/2p5/8/P1K2P2/6rP/3R4 b - -,d7d6
r2r2k1/5p2/2p3p1/3P3p/3R3P/1bNR1PP1/8/6K1 b - -,b3d5
2r3k1/p4pp1/q1r1p1p1/1p1pP3/n2P1P1P/2P2QP1/P1RB1K2/2R5 w - b6,a2a3
r1bqk1nr/3n1pb1/pp1pp1p1/2p3Np/P1BPP2P/2N1B3/1PPQ1PP1/R3K2R b KQkq -,d8e7
2b5/p7/1pB2kp1/1P3p1p/P7/4N1P1/5P2/5K2 w - -,e3d5
3b4/3B4/5k2/6p1/P5K1/6P1/7P/8 w - -,h2h4
2r3k1/1pr1bpp1/1pn4p/1B1nP3/N3p3/P4PB1/1P4PP/2R2RK1 b - -,c6d4
4r3/1r1n4/Rpkpp1p1/1R3p1p/2PBPP1P/3P2P1/3K4/8 b - -,d7c5
1r4k1/p3pnbp/5pp1/7q/Q2P3P/4NBR1/PP3P2/4K3 b - -,h5b5
5r1k/p5bp/1p2q1p1/8/2Q1p3/4N1PP/P3PPK1/5R2 b - -,e6c4
2r1r1k1/pp1bq1bp/1n1n2p1/3PBp2/5P2/1P2N3/P2QN1BP/4RRK1 w - -,e2d4
2r2rk1/1q3ppp/pn1bp3/1p1pP3/5N2/1P2PP1P/PB1Q2P1/2R2RK1 b - -,d6e7
3rr1k1/1bqn2bp/pp1ppnp1/8/2P1P3/1PN2N2/PBBQR1PP/5R1K b - -,f6g4
r1br2k1/pp3pbp/q1npp1p1/2p5/4PP2/P1PPBNP1/1P2Q1BP/3R1RK1 b - -,b7b6
1rb2r2/ppqP1pkp/6pn/2p1p3/2P1P1B1/7P/PP1Q1RP1/5RK1 w - -,d7c8q
5rk1/3q2pp/3n4/pppPp3/4P2B/2PQ3P/P5P1/4R1K1 b - -,c5c4
2rqr1k1/pb3npp/1p2p3/2npPp2/2PN1P2/B1P5/P1Q1B1PP/R4RK1 w - -,c4d5
1r4k1/7p/4pp2/p2p1n2/P2P3P/3KP3/2P3N1/R7 b - -,f5g3
r1bqr1k1/pp3ppp/2pp1n2/2b1p3/2P1P3/2NP2PP/PP2QPBK/R1B2R2 w - -,c1d2
2r1r2k/5R1p/p1p2p1b/1p6/4q3/4N1P1/PP2QP1P/2R3K1 w - -,f7f6
6k1/8/4p3/3nB3/6PK/1R3b2/8/8 b - -,f3e4
rq3rk1/1p1n2bp/p2p2p1/2pP1p2/P1PpP3/3B3P/1P3PP1/RN1QR1K1 b - -,f5f4
r1bq1rk1/1pp2pb1/3p1n1p/p1nPp1pP/2P1P3/2N1B3/PPQ1BPP1/R3K1NR w KQ -,f2f3
8/1R6/6p1/1p1Bk3/4P1q1/8/5P2/5K2 b - -,g4d1
r3r1k1/1pqb1pb1/2pp2pp/p1n4n/2P1P3/1PN1BPPP/P3N1BK/1R1QR3 b - -,a8d8
5r1k/r2nb2p/3p2p1/p1pBP1qn/P1P1N3/1P4PP/1B2Q2K/4RR2 b - -,g5h6
4b3/7p/1k1p2pP/3P1pP1/3K1P2/3B4/8/8 b - -,e8d7
1r3rk1/pp2ppbp/2npb1p1/7q/2P1P2P/1PN1QPP1/P2B2B1/3R1RK1 w - -,e3g5
r1b2rk1/pp2npbp/2B1p1p1/3q4/3N4/2P1B3/PP3PPP/RN1Q1RK1 b - -,e7c6
8/4p2p/4P3/p1p3p1/2P1k1K1/PP2P3/7P/8 w - -,g4g5
4k2r/p1b2ppp/B3p3/4n3/3Bp3/2P5/P4PPP/Rr4K1 w k -,a1b1
r1bq1rk1/ppp2pp1/2np3p/1B1np3/4P3/3PPN2/PPP3PP/R3QRK1 w - -,e4d5
3k4/pp3p2/1n4p1/BP1pP2n/3P3P/5P1B/P4K2/8 b - -,h5f4
rBbq1rk1/5ppp/p1p2n2/3p4/8/2N1P3/PP2BPPP/2RQ1RK1 b - -,a8b8
8/6pk/2Q3p1/4Pp2/3p1P2/5KPP/3q4/8 w - -,e5e6
r4b2/pk6/7p/2n1p2Q/PpRP1q2/6P1/1P3P2/R5K1 b - -,f4d2
2r3k1/R4pp1/4p2p/2r3nP/1N1R4/4P3/P1P3P1/K7 w - -,a2a4
7k/8/4PKRp/3p4/1p3r2/1P6/8/8 w - -,f6e5
r1b1k2r/p4n1p/1pn1ppp1/2p5/2P1PP2/2P1BN2/P5PP/2KR1B1R w kq -,g2g4
3r1rk1/pp3pp1/2p1bqB1/7R/2P5/1P3QP1/Pb3P1P/5RK1 w - -,h5h8
r2r2k1/1bqnbpp1/p3p2p/2p5/Pp1PN3/3BP3/1PQN1PPP/2RR2K1 w - -,d4c5
6k1/5p2/bppN2p1/p6p/2P2P2/b3P2P/6PB/4K3 w - -,d6e4
r3r1k1/1p1n1pb1/p1pp2p1/P3p2p/1PPnP3/2BP1PPq/1QN2K1P/R4N1R b - -,d4c2
4nk2/1Q2p3/6p1/2p5/N2b1P1p/5KP1/PP3q1P/8 w - -,f3g4
7k/1b2b3/p3NpQ1/1p1np3/1Pq5/P3P3/1B3PPP/6K1 b - -,e7f8
8/3p4/1p1k4/1p3PKn/2p4P/P2r1P2/1P6/6R1 b - -,h5g7
r3k2r/1ppqn1bp/p1npp1p1/8/4PP2/2N4Q/PPPB2PP/2KR2NR w kq -,g1f3
8/8/8/2kb1p2/1p2pP2/1P2P2p/2K4P/1R6 b - -,d5f7
2r3r1/1p2kp2/p3p3/4n1PR/8/7R/PPBn4/K1B5 w - -,c1d2
2rq1rk1/1p1bnpbp/3pp1p1/8/p2pPP2/P2P4/BPP1N1PP/R1BQ1R1K w - -,c1d2
r1bqk2r/pp2b1pp/2n1np2/8/1P1p4/P4NP1/4NPBP/R1BQ1RK1 b kq b3,e8g8:a7a6
2r3k1/2q1pr1p/p2p1npQ/1p2n3/2bNP1P1/P1N2P2/1PP3B1/1K1R3R w - -,h6d2
r1b2rk1/1p2q1pp/p1n1p3/2bpPp2/P1P2Q2/3B1N2/1P2NPPP/R4RK1 w - -,c4d5
2B5/pp2kp1p/2p3p1/1b2P3/1P2P2P/P1R3P1/3r4/7K b - -,d2d3
rrbqn1k1/p2nbp1p/1p1p2p1/2pPp3/NPP1P3/P2BBPN1/2RQ2PP/R5K1 w - -,c2b2
8/1p1k4/3P2p1/1rP4p/1P1R1p1P/5KP1/8/8 w - -,f3f4
2bqr3/1ppn2bk/3pn2p/4pp2/1PP5/2NPBNPP/2Q2PB1/R5K1 b - -,f5f4
5rk1/1b2rp1p/p3p1p1/1p2R3/3R3P/2P2P2/PPB3P1/6K1 w - -,e5c5
r1b1k2r/ppppqppp/2n1pn2/8/2PP4/P4N2/1PQbPPPP/RN2KB1R w KQkq -,b1d2
r2q1rk1/ppp1ppbp/2np2p1/5b2/2PP4/2P1BNPP/P3PPB1/R2Q1RK1 b - -,f5e4
r1b2rk1/1pqpbppp/p1n1p3/2P5/N2Nn3/4B3/PP2BPPP/R2Q1RK1 w - -,e2f3
1r5r/p2kppb1/3p1np1/1p2n2p/4PN1P/2P2NP1/PP2RPK1/R1B5 b - -,e5f3
8/4r2p/p5pk/4Npq1/PQpP4/2P5/2B1KPP1/8 w - -,e2d1
4r3/p1qb2pk/2pn1rnp/4bp2/8/1PNB1Q2/P1PB1PPP/1R2RNK1 w - -,c3a4
2rq1rk1/pb2ppbp/1pnp1np1/8/2P1P3/1NN1B3/PP2BPPP/2RQR1K1 b - -,f6d7
2r1r1k1/5pp1/1q2pnbp/p2pn3/1p1P4/1P2Q1P1/P2BPPBP/R1R3K1 w - -,d4e5
8/8/p5p1/1p1k1p2/1P4P1/P2KBP2/7r/8 b - g3,f5g4
r3k2r/1bqnbppp/p2ppn2/1p6/3NP3/P1NBBP2/1PPQ2PP/R4RK1 b kq -,e8g8
5qk1/p6p/1p2pBp1/3bPpQP/P1n5/2P2P2/3r2P1/1B2R1K1 b - -,f8c5
1nkr3r/1pp1p1b1/p3q3/1P3p1p/P1PP2p1/2NBP1P1/3Q1R1P/R5K1 b - -,h8f8
rq3rk1/1pp2pp1/p2pbn1p/8/3QPP2/2N3PP/PPP3BK/3R1R2 b - -,b8a7
r4rk1/P2qnp1p/4p1p1/2Q1p3/2P1P3/2NP4/1P3PPP/R4RK1 w - -,c5e5
2r2rk1/pbqn1ppp/1ppbpn2/3pN3/2PP1P2/1P1BP3/PB1N2PP/R2Q1RK1 w - -,d1c2
1R1q1r2/5pk1/5b2/p1Np1Pp1/2rPp1n1/2P3B1/3Q2P1/5RK1 b - -,d8b8
3rnbk1/pp3pp1/2n1b2p/2p1pN2/4P3/2P1NPP1/PP5P/R1B2BK1 b - -,g7g6
2r3k1/6pp/pp6/8/PP2N3/2R3P1/5P1P/2b3K1 b - -,c8c3
2r3k1/1p2rpp1/p4n1p/P2R4/BP4P1/5PP1/5K2/3R4 w - -,d5d8
2r1k3/3qbp1p/b2ppp2/p6N/P1n1P3/6PP/2P1R1B1/2BQ2K1 b - -,d7a4
r2q1rk1/1ppbb1pp/2n1pn2/p2p1p2/2PP4/PP3NP1/1B1NPPBP/R2Q1RK1 b - -,f6e4
8/8/1p6/p7/P7/1P2k3/3p2pK/6R1 b - -,e3d3
n3k3/8/p2p4/B1pPp3/2P2p2/P2K1P2/5Nn1/8 w - -,f2e4
1r2r3/5pk1/R2p1q1p/3P4/2p1PP1n/3bB2P/1P1Q2B1/4R1K1 w - -,d2f2
2rk4/ppb3p1/3r1q1p/nP6/4Q3/P5PB/4PP1P/2RR2K1 w - -,d1d6
8/pbr2r1k/1p1p1Qp1/3P1p1p/7P/1P3BP1/P3PPK1/8 w - -,f6d6
8/8/8/7N/pK4p1/6k1/4n3/8 b - -,g3h4
2q1r2r/p1p3k1/2np1pp1/2p5/2P1PN2/1PQ2BPb/P2R1P2/4R1K1 w - -,f4d5
4rrk1/1b1p2bp/pq1P1pp1/np6/1np1P2P/2N2NB1/PP3PP1/RB1Q1RK1 b - h3,b6c5
r7/p6p/1p3k2/3R1b2/2P1p3/8/P3BPPP/6K1 w - -,g2g4
4rr1k/NnR3pp/1P1n4/4pp2/6q1/4B1P1/Q4PKP/R7 w - -,f2f3
r4rk1/pp2ppbp/4bnp1/8/2NB4/1P4P1/P3PPBP/R4RK1 b - -,f6d5
rn1qk2r/p4ppp/bpp1p3/6N1/2PPp3/1P4P1/P2Q1P1P/R3KB1R b KQkq -,b8d7:c6c5
2r3k1/q2n1pp1/4p3/p2pP1Q1/N2P4/1P1B3P/P1r5/R6K b - -,a7d4
r6r/p2k1p1p/2pb2p1/B2q4/2NP1n2/8/2Q2PPP/RR4K1 w - -,c4e3
2b1kb1r/r5p1/p3p2p/2ppBp1q/5P2/1P2P2R/P1PN2PP/R3Q1K1 b k -,h5f7
4r3/1p6/r1p2n2/p2p1k2/P2P4/1P2P1Kp/3NR3/5R2 b - -,f5e6
r3rnk1/1p3pp1/2pRp2p/1qP1P3/p3Q2B/7P/PPR2PP1/6K1 b - -,f8g6
r1bq1rk1/p5bp/1pp2ppn/4p3/1P2P3/3PBN1P/2P2PP1/RN1Q1RK1 w - e6,b1d2
5k2/5p1p/6p1/pR2P1P1/1p2KPP1/6r1/8/8 b - -,g3g4
8/2B2k2/4r3/PPb2p2/6p1/7p/5P2/3R2K1 b - -,e6e2
rnb4q/pp3pk1/4pNp1/b3P2p/2B5/B5Q1/P4PPP/1R4K1 w - -,g3g5
5n2/1p3pkp/p1q2np1/3p4/3P4/PP2QPPP/5B2/5BK1 w - -,a3a4
5rk1/3rn3/2qbb1p1/1p2p1Pp/2pnP2N/2P1B1Q1/1P1N1PK1/R2B3R w - -,g2h2
2knn3/2p1bp2/1p1p3p/3Pp1pP/NPP1P1P1/4BP2/2K1N3/8 w - -,c2b3
1rbq1rk1/p2n2pp/1ppbp3/1P1p1p2/2PPn3/3BPN2/PB2NPPP/R2Q1RK1 b - -,c8b7
4r3/3b3p/5k2/R4p2/1pN2b2/1P1P1B2/2P2K1P/8 b - -,f4h2
8/1p4kp/p1b4R/6K1/PP6/8/8/8 w - -,a4a5
5rk1/2p1bppp/p3b3/2p5/2P1N3/4N3/Pr3PPP/R1R4K b - -,f7f5
2R3k1/3rbp1p/p3q1p1/1rn1P3/3p4/3P1QBP/P2N2P1/5R1K b - -,d7d8
r1b2rk1/1pp1q1bp/2n1p1p1/3p1p2/p2Pn3/1PP2NP1/PB1NPPBP/2QR1RK1 b - -,a4b3
3r2k1/1bpr2p1/1p2q1np/p1p1pp2/P1P5/1PBPPPPP/2Q1BR1K/6R1 w - -,c3b2:e2f1
