7k/R6p/1p6/4b3/1P6/3Bp2P/P2r4/6K1 w - -,d3b5
1k1r1r2/p6p/1pnq4/2p1p1p1/2P1Q3/2B1P3/PP3PPP/R3KRN1 b Q -,f8e8
4b3/4P3/2n2kp1/2B3N1/4K2P/8/8/8 b - -,e8d7
1n1q1rk1/r2nppbp/pp4p1/2p1P3/2P1bP2/2N1B3/PP2N1PP/R2Q1RK1 w - -,c3e4
4r1k1/3q2pp/3p4/p3Pr2/1pR5/1P6/P3R1PP/4Q2K b - -,e8f8
5rk1/2pbqr1p/1p1p1np1/p1nPpp2/2P1P2P/1PN2PP1/P2Q1BB1/4R1KR b - -,f5e4
6k1/p3R3/1b4p1/4R3/2P2r2/3K4/8/8 w - -,c4c5
r2r2k1/1p2ppb1/2q3pp/3n4/p7/2P1BN1P/PPQ2PP1/R4RK1 w - -,e3d4
r3k2r/pp2ppbp/2n3p1/6B1/2RP4/4P3/P2N1PPP/4K2R b Kkq -,e8d7
r3nrk1/pp2p1bp/2npp1p1/q7/4PPP1/2N1B2B/PPPQ3P/R3K2R w KQ -,g4g5
r1b2rk1/2q1ppbp/pp1p1np1/2n5/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K w - -,d1e2
2r4k/1b2Nppp/pp1pqn2/8/4P3/1P4PB/PB2QP1P/5RK1 b - -,e6e7
3r3k/ppp4p/6p1/4b3/2Bp4/6PP/PPP2P2/R5K1 w - -,a1e1
6k1/3r1ppp/1p3q2/1BpQp3/P4b2/2P2P1P/2P2P2/6K1 w - -,d5d7
8/p3p1nk/2p2q1p/2p1Np2/2P2P1P/1P2P3/P4Q2/5K2 b - -,g7e8
1Qr3k1/P1B2ppp/2q2b2/4p3/8/P2p4/5PPP/3R2K1 b - -,c8f8
r5k1/pppn1ppp/2bb4/3p4/3B4/P4N2/1PP1NPPP/R5K1 b - -,b7b6
r5k1/p6p/1p1P1qp1/2p2r2/2Qb1B2/6PP/PP4K1/R3R3 b - -,g8h8
R7/5rp1/2p5/3k1P1p/1pnP1BPP/P1P1p3/2P1K3/8 b - -,b4a3
4r1k1/1p1nqppp/p2R4/4b1P1/2r1PB2/1N5P/PPP3Q1/1K5R w - -,f4e5
7k/N4p1p/4p3/2p3p1/8/1P5P/P4PP1/2n2K2 w - -,a7c6
r1b2rk1/1p2bppp/p1n1pn2/q1ppN3/N2P1BPP/4P3/PPP1BP2/R2QK2R w KQ -,c2c3
6k1/3b3p/3rpb2/6p1/p2pBP2/6P1/P3P2P/1R2R1K1 w - g6,e1c1
6k1/1p4p1/2b2b1p/R7/3B1P2/2P4P/4r1P1/1K4R1 b - -,f6e7
r2r1bk1/ppq2p2/2p4p/P3p1p1/3nP1P1/2N1B3/1PP2PP1/R1Q1R1K1 w - -,c3e2
8/4ppk1/6p1/1p1P3p/r3q2P/p1PR2P1/Q4P1K/8 w - -,d3d1
7r/p1pn2kp/5p2/5P1b/4P3/6P1/PPnB2BP/2R3K1 b - -,c2d4
2r2rk1/pbpp1ppp/1pn3nq/1N6/P7/2PB1R2/1PQN2PP/4R2K w - -,d2e4
rn1qr1k1/p2pbppp/1pb2n2/2p2N2/4PB2/2N3P1/PPQ2PBP/3R1RK1 b - -,e7f8
6k1/1p1R1p2/4p2p/p5p1/r7/P1P2P1P/6PK/8 b - -,a4a3
rnb3k1/pp4bp/1qpp2p1/7n/2P1P3/2N2rP1/PP2NP1P/R1BQ1RK1 w - -,d1d6
8/5k2/4p3/1pPbP1p1/1P1R4/1r6/2N5/2K5 w - -,c1d2
1r2k2r/Rp3ppp/4pb2/1b6/4BP2/2P5/1P1BK1PP/7R w k -,e2f3
1R4k1/2q2pp1/3p3p/7n/p3PP2/P4N1P/1P2Q1P1/6K1 b - -,c7b8
2rr4/pb6/Np1n1kp1/1B1p3p/5P1P/8/PPPR2P1/2K4R w - -,b5d3
r1bq1rk1/pp2bppp/2nppn2/8/3pP3/2P2N1P/PPB2PP1/RNBQ1RK1 w - -,c3d4
6k1/8/5K1B/7P/8/8/8/8 b - -,g8h7
8/8/7p/2K5/1P5p/7k/8/8 b - b3,h3g4
2r5/1p2kpp1/p1rpbn1p/4p3/2n1P3/P2BBP2/NPP3PP/1K1RR3 w - -,e3c1
2r2r2/pp2qpk1/3b2p1/7p/3P1p1P/1B3QP1/PP3P2/3R1RK1 b - -,c8c7
r3qrk1/2p1bbpp/p5n1/1pP1p3/2N1P3/1P2BN1P/2Q2PP1/R2R2K1 w - -,c4e5
rq3r1k/p1p1n1pp/2p2p2/2b5/3NP3/1Q2B3/PP3PPP/R2R2K1 b - -,b8b3
rn2kb1r/pp3pp1/1np1p3/4N2p/PqPP4/5Q2/1P3PPP/RNB2RK1 b kq -,b4e7
4r1rk/1p2q2p/p1p3p1/4p1Q1/2PpP1P1/P2P4/1P4P1/2R1R1K1 w - -,g5e7
8/1p6/p6N/2p1k3/2P5/1B1r4/P3K1PP/8 b - -,d3d4
r2qk2r/pp1n1pp1/2pbpnp1/8/2PPN3/5N2/PP2QPPP/R1B1K2R b KQkq -,f6e4
2Rqr1k1/p4pbp/1p2b1p1/4P3/1P1pBP2/1N5P/P3Q1P1/5RK1 b - -,e6c8
1r6/p6k/5p2/2n1pNr1/2P1Pn2/2P3PB/P2R3K/4R3 b - -,f4d3
r2qk2r/pp1n1ppp/2pbp1b1/3n4/2BP4/5NN1/PPPB1PPP/R2Q1RK1 b kq -,e8g8
1rb3rk/1n3nqp/pR1p3b/3Pp3/P1P1NN2/3BBP2/3Q2PP/5RK1 b - -,e5f4
r1bqnrk1/2p1npbp/1p1p2p1/P2Pp3/2P1P3/BQN2N2/P3BPPP/R4RK1 b - -,a8a5
r4r1k/p6p/2qp2p1/1p1Rb3/8/2P1N2Q/PP4PP/3R3K w - -,d5d2
1n1rr1k1/5p1p/p2Pq1p1/5bPn/2pRNN2/2Q2P2/P5BP/5R1K b - -,h5f4
r3k2r/ppq1bpp1/2p2nn1/4pbBp/2P5/1PN2NP1/PQ2PPBP/R2R2K1 w kq -,d1d2
2Q4R/7p/p5pk/1p3p2/3q4/6PP/P4P1K/3r4 w - -,c8f8
8/7p/p7/1p3k2/5p2/1P1K3P/1b1B2P1/8 b - -,f5e5
r2nk2r/1p2n3/p1pbqp2/4p1pp/1P1PN3/P3P1PP/1B2QPB1/2R1K2R b Kkq -,d8f7
6k1/1p3rbp/p1p1n1r1/2Pp2pn/1P1Ppp2/4P1PP/1PN2PBK/R3B2R w - -,a1d1
8/5pk1/8/4P3/4KP2/R7/8/7r w - -,a3a7
r5k1/1b3pp1/B3p2p/8/1qn1P3/3Q3P/1P3PP1/R2N2K1 w - -,b2b3
rn1qkb1r/pp2pp1p/2p2np1/3P4/3P4/2N1PQ2/PP3PPP/R1B1KB1R b KQkq -,f6d5:c6d5
r5k1/p4pbp/4p1p1/q2pP1Q1/2rB4/8/PP3PPP/R4R1K w - -,f1d1
2q3k1/3r1p1p/r1pPp1p1/p1Pp4/8/4P3/P1Q2PPP/2R2RK1 w - -,c1b1
1r3rk1/p4ppp/1n2pq2/2pn4/2P5/1P3N1P/P3BPP1/R1QR2K1 b - -,d5b4
1q4k1/8/3p2nb/2pPprpp/2P1N3/3Q1PP1/1P1B3P/5RK1 b - -,g6e7
5rk1/pp1r1ppp/2n1qn2/8/1b1P1B2/2N2N2/PP3PPP/R2Q1RK1 b - -,e6c4
8/7p/3k2p1/3P2P1/1pp4r/4K3/1P1R3P/8 b - -,d6e5
r4rk1/1b3pbp/pp1p2p1/4n3/2P1P3/1P1Bq2P/P1QNN1P1/R4R1K b - -,e5d3
1r1r2k1/p4pb1/2B1q1p1/2Q4p/1P3P2/P3P1PP/5R1K/2B5 b - -,a7a6
b2qk2r/2pn1ppp/4pn2/8/2BP4/b3PN2/5PPP/1N1Q1RK1 w k -,b1a3
2R1r1nk/6p1/p2q3p/8/P1Q5/1P2NP1P/5P1K/8 w - -,h2h1
8/8/3pk1K1/5n2/7P/2n1p3/8/R7 b - -,e3e2
6rk/6q1/3Q2n1/6P1/p1P5/P2B3K/8/8 w - -,c4c5
2rqkb1r/1p3pp1/1n1p1n1p/p2Pp3/P1P5/4BP2/1P1N2PP/R2QKB1R w KQk -,f1d3
r1bqk2r/pp2bppp/2n2n2/3p4/3P4/PQ3NP1/4PPBP/RNB2RK1 b kq -,e8g8
6rk/2R1p1Q1/p2pP3/8/5pp1/5P2/P3P2P/6K1 b - -,h8g7
r2q1rk1/pb1n1pp1/1pp2b1p/3p4/1P1P4/1QN1PN2/P3BPPP/R4RK1 b - -,f8e8:a7a5
r2q1rk1/ppp3p1/7p/3p1bb1/2nN4/2P1P1PP/PPN3B1/R1Q2RK1 b - -,f5c2
r1bqrbk1/p2n1ppp/2pp4/2p5/N2PPB2/5N2/PP3PPP/2RQR1K1 b - -,d8f6
rnb2rk1/pp3pp1/4pb1p/q1Pp4/2P4P/2N1PN2/PP3PP1/2RQKB1R w K -,d1d2
8/2k2pp1/4p2p/2n5/P7/1K4P1/2N2PP1/8 w - -,b3b4
r1b2rk1/pp1nqp1p/2p1P1p1/2P5/2BQ1N2/8/PP3PPP/R4RK1 b - -,e7f6
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq c6,g1f3:d4d5
8/Q3ppkp/2Bn1bp1/3P4/8/pq4P1/4RPKP/8 b - -,d6f5
r1bq1rk1/pppnbppp/3p1n2/5N2/2B1P3/8/PPP1QPPP/RNB2RK1 b - -,d7e5
2r2rk1/1q1nbp2/pp2pn1p/6p1/2PP4/7N/PB2QPPP/1N1R1RK1 b - -,b7e4
2krr3/1b5p/p1p3p1/1p2np2/8/5B1N/PPP2PPP/2K1R2R w - -,h3g5
8/8/6k1/1R5p/6rP/4K3/8/8 w - -,b5g5
r4rk1/pp3pbp/n1p3p1/P7/2p1P3/2NqB1P1/1P3P1P/R2Q1RK1 w - -,d1a4
3rr1k1/pp2bppb/7p/B1nPp2P/2P3N1/6P1/P4PB1/R2R2K1 b - -,b7b6
2r5/Q4kb1/2P1qnpp/4r3/3p4/6P1/PP1B1P1P/2RR2K1 b - -,f7g8
6k1/1b1r1pp1/1p5p/1p6/1B6/P4P2/1P4PP/4R1K1 w - -,e1e8
r2qkb1r/1p1nnppb/p1p1p2p/P3P3/2BP4/1N3N2/1P3PPP/R1BQ1RK1 w kq -,d1e2:c1d2
5k2/1r3npp/p7/P2B4/8/8/5PPP/6K1 w - -,d5b7
2r2rk1/1bq2pp1/p4n1p/1pn1p3/4P3/P1N1QN1P/1PB2PP1/R3R1K1 w - -,a1d1
2r2r1k/p3q1pp/Nbpp4/8/4Pp2/2Q4P/PP3PP1/R4R1K w - -,c3f3
3r4/1p3k2/2p1np1p/4p1p1/1PR1P3/P5PP/1B2KP2/8 w - -,a3a4
2r1q2k/1p3pr1/p2b2np/8/2pBQP2/P1P5/1PB4P/1K2R1R1 w - -,e4e8
r1bqr1k1/ppp2pbp/3p1np1/2n5/2PNP3/2N3PP/PP3PB1/R1BQ1RK1 w - -,f1e1:f2f3
5rrk/2R1Q2p/pp1P1ppq/1b2p3/4P3/6N1/5PP1/3R2K1 b - -,b5a4
8/ppp3k1/4q1b1/2B1P1p1/1P4P1/2P1R2K/P7/3R4 w - -,d1f1
3rk1n1/pp3p2/4b1p1/2p1B3/1nP4r/1P3PN1/P2K2PP/R4B1R w - -,d2c1
r4rk1/p3ppbp/2n3p1/5q2/1p2NP2/2P2Q1P/PP4P1/R1B2RK1 w - -,c1e3
8/7p/p1p1k1p1/P2p4/1B1P1P1P/2PKn3/8/8 b - -,e3g2
2b2rk1/4bp1p/r2p2p1/1pnB4/1p1BP3/6RP/1PP1QPP1/6K1 b - -,c8d7
3r4/3qrp2/pk2p1p1/1p1pP1Qp/3P3P/5R2/PPP3P1/1K3R2 w - -,f3f7
4k2r/2p1bp1p/3npp2/3b4/3P4/qP1Q4/P3RPPP/1K1RN3 b k -,a3a5
8/p5pk/5r1p/2p2P2/2P1QP1P/4P1K1/q2p4/3R4 b - -,a7a5
2r3k1/5pp1/5n1p/4pP2/1q1nP3/2NRQB1P/6P1/6K1 b - -,c8a8
2r1k2r/p1qb1ppp/1p2p3/2npP3/1Q6/4BN2/PPP2PPP/R3R1K1 w k -,a1d1
r1bqk2r/ppp1ppbp/2n3p1/3n3P/3P4/2N2N2/PP2PPP1/R1BQKB1R b KQkq d3,d5b6:c8g4:c8f5
4q2k/p5p1/3QP2p/1p5P/8/6K1/8/8 b - -,e8h5
r4rk1/pp2bppp/4pn2/1BPp1b2/3P1B2/2P1PN1P/4KPP1/R6R b - -,f6e4
8/7p/5pk1/6q1/1R1BP3/3K2PP/p4P2/8 w - -,b4b6
3r1nk1/p1q2pp1/1p2p2p/1Pp1P3/P1P1B3/6PP/4QP2/3R2K1 w - -,d1d8
1r4k1/2qnppbp/r2p2pn/2pPP1B1/5P2/2N2N1P/PP1Q2P1/1R3R1K w - -,g5e7
r4rk1/pppqbppp/3p1n2/3Pp3/4P3/2N1B2P/PPP1QPP1/R3K2R w KQ -,g2g4
r4rk1/pp2bppp/2n1b3/8/8/Pq2BN2/1PQ1BPPP/R4RK1 w - -,c2b3
3r4/2p2ppk/1p5p/nP1p1N2/1BnRrP2/2P1p1P1/R3K2P/8 b - -,a5b3
5rk1/pp4bp/5Np1/2P1nqP1/3p3Q/5p1P/PP1R4/4R1K1 b - -,g7f6
r2rn1k1/2qn1ppp/2p1p3/ppPpP3/3P4/PPQ3P1/3N1PBP/R3R1K1 b - -,d7f8
8/p2r1p1k/2p4p/n3P3/2q5/3r2N1/P1QP2PP/4R2K w - -,c2b1
r1b2rk1/pp2q1pp/3bpn2/3pNp2/3Pn3/1P1BPN2/PB2QPPP/R4RK1 b - -,c8d7
r1r1k3/4p2p/1p2N1bn/3PPp2/8/nPpN3P/P3BP2/2R1K1R1 w - -,d3f4
8/pp6/2nk1p2/3p3P/3p1Nb1/P3p3/1PP3P1/5RK1 b - -,c6e7
8/5npk/4K3/8/8/7P/6R1/8 b - -,f7h8
3r2k1/pp2qpp1/4bn1r/2p4p/B1P5/5Q2/PB4PP/4RRK1 w - -,a4c2
r1bqk2r/pp2bppp/n2p1n2/2pPp3/2P1P3/2N3P1/PP3P1P/R1BQKBNR w KQkq -,f1g2
3rn1k1/5pp1/1q4p1/1p1Pp3/2p1P3/2P3NP/4Q1PK/3R4 w - -,d1a1
2r2k2/5pp1/6p1/1p1R4/1P6/2nB3P/5PP1/4R1K1 b - -,c3d5
2kr3r/1pp3p1/p1n1pp2/2P2nPp/2PP4/4BN1P/P1K2P2/3R3R w - -,c2c3
1b6/1P6/4p1k1/3pP1p1/3P4/5pPP/1R3P2/6K1 w - -,b2a2
5rk1/pp2r1pb/2pq1n1p/3p4/3P2P1/5P2/PP1QN1BP/R4RK1 w - -,e2g3
2r3k1/1p1r1pbp/p1npp1p1/7q/P1P1P3/1PN2P2/3Q1BPP/1R3R1K b - -,h5a5
3r2k1/1p1n1p2/1p4p1/3P1rR1/1P6/8/6B1/4R1K1 w - -,g5f5
5k2/2b2p1p/p4N1r/1p1p1PB1/3Pb2P/2P3P1/PP3K2/4R3 b - -,h6f6
r2qk2r/ppp1bppp/2npbn2/4p3/1P2P3/2PPBN1P/P4PP1/RN1QKB1R b KQkq b3,b7b5
2r3k1/p2q1bpp/Pp3n2/3p1P2/1P6/2Q4P/2BB2P1/4R1K1 w - -,c3d3
2r1k2r/1p1np1bp/p1p1b3/2P2p2/1P1P4/2NBB2P/1P4P1/R3K2R b KQk -,e8g8
r5k1/1bq1bppp/1p2p3/pPp1PP2/2P5/P3Q2P/1B1rB1P1/3R2K1 w - -,d1d2
R7/4p3/3p1k2/1r3n2/5P1p/1P5P/5K2/3B4 w - -,a8f8
6k1/p2q1r1p/1p3bp1/5p2/Q6P/1P4P1/P3NP2/2R3K1 w - -,a4c4
r3r1k1/1p1nppbp/1q3np1/1P1p2B1/2pP1P2/p1P1P2P/P1BNQ1P1/1R3RK1 w - -,g5h4
8/8/8/4Nkp1/8/7P/6PK/8 b - -,f5e5
rn2kb1r/pp2p2p/2p3p1/8/4q3/2P2N2/PPPB1QPP/R3K2R w KQ -,e1d1
r2r2k1/ppq2p1p/2nb2pB/4pb2/3PN3/2PQ4/P3BPPP/R3R1K1 w - -,e4f6
r1bqk2r/ppp2ppp/2n2n2/3p2B1/1b1P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,c8g4
1r5r/8/5N2/5P2/3kp2P/1p1b2K1/1P1R4/3R4 b - -,b8d8
r2q1rk1/p1p1nppp/1pn5/3p1b2/3P4/P1PB1N2/2P2PPP/1RBQ1RK1 w - -,f1e1
3Q2k1/5p2/4p1p1/2p1P3/5P2/6PK/4q3/q7 b - -,g8h7
r4rk1/1p3qbp/n1p3p1/p2b4/3Np3/1P2B1P1/P3PPBP/1RQR2K1 w - -,c1d2
r3k2r/ppQnbp1p/2p1p1p1/3n4/3PN3/2PB3P/PP3PP1/R1B1K2R b KQkq -,d5c7
2r2rk1/6pp/4pp2/2R5/3B2n1/P5P1/1P2bP1P/3R2K1 w - -,d1e1
1r6/4n3/4pk2/1P1n2pp/R1P5/6PP/1P1R1PK1/8 w - -,c4d5
r4rk1/pp1nbppb/q1p2n1p/3p4/4P3/2NPBNPP/PPQ2PB1/R2R2K1 b - -,d7c5
r3k2r/1p2b1p1/p1n2p1p/4pP2/3pN1PP/1P6/1PP2P2/1K1R1B1R w kq -,c2c3
r4r2/1pq3kp/2b3p1/p1p1pp2/4n3/1P3NP1/P1Q1PPBP/R1R3K1 w - -,c2b2
8/k1p5/1pn3p1/8/P1B5/7P/5PP1/6K1 w - -,f2f4
r2qnrk1/ppp2pp1/2n2b1p/4N3/2Pp1BbP/N2P2P1/PP1Q1PB1/R3R1K1 b - -,f6e5
1k4r1/p2q4/1p4p1/3nPpBp/3P4/R1r5/1QP2PP1/R3K3 b Q -,c3a3
2bqrrk1/4b1pn/p6p/2p1Rp2/2Pp2PP/1P1B1PB1/P4Q2/1N1R2K1 w - f6,g4f5
1rq2rk1/1p1n1ppp/pB1b1n2/2pP4/N7/1Q3B1P/PP3PP1/2R2RK1 w - -,c1c2
rn1q1rk1/pbp2pp1/1p2pb1p/3P4/3P4/2NBPN2/PP3PPP/2RQK2R b K -,e6d5
q1b1r3/1r1n1pkp/p5p1/Q3p3/1PP1P3/2N5/4B1PP/1R1R2K1 b - -,d7f6
r4r1k/2pqbppp/2n3b1/pp1pP3/3P4/PB2BN1P/1P1Q1PP1/2R1R1K1 w - -,e3g5
4r3/pb3pkp/1pN1p1p1/3BP3/8/qP4P1/P1RQ1P1P/6K1 b - -,e6d5
3r2k1/1p3p2/3P1p1p/2p2P2/1nP3P1/pP5P/P7/1K1R1B2 w - -,f1g2
r1b1k1nr/ppppqppp/1bn5/8/2B1PP2/2P2N2/PP2Q1PP/RNB1K2R w KQkq -,b1d2
r1bqk1nr/ppp3bp/2np2p1/4pp2/2P5/2NPP1P1/PP3PBP/R1BQK1NR w KQkq f6,g1e2
rn3rk1/p3ppb1/2Q2np1/1p6/2p5/2N1B3/PP2BPPP/2R1K2R b K -,b8c6
3r2k1/pp3ppp/6b1/8/1P3P2/1r4P1/1P4BP/2R3K1 b - -,b3b4
r3k2r/pp2npb1/2ppb2p/q3p1p1/1PPnP3/2NPBN2/P2Q1PPP/R2B1R1K b kq b3,a5c7
8/1b1q2kp/p5p1/5pn1/N1BQp3/1P2P1P1/P6P/6K1 b - -,d7d4
rn1qkb1r/pp2nppp/4p3/2ppPb2/3P4/N4N2/PPP1BPPP/R1BQ1RK1 b kq -,e7c6
2krr3/1pp2pp1/p2pb3/3B3p/P1P2B1b/5P1P/1PP3P1/2KRR3 w - -,d5e6
8/8/3B4/5k2/2K5/8/4R3/r7 w - -,d6c5
r1bq1rk1/1p3ppp/2np4/p1bNn3/2P2B2/PQ2PN1P/1P2BPP1/R3K2R w KQ -,e1g1
r1b3k1/ppp1n1bp/5n1r/2PPp2q/4PpP1/2NN4/P3B1PP/2RQ1RBK b - -,f6g4
8/2p4p/pp4p1/2k2p2/P1P2PP1/4K2P/2nN4/8 w - -,e3d3
6r1/7k/p7/4pp2/P4pPp/2p2P2/2NnK2P/6R1 w - f6,h2h3
rn4k1/p3bppp/4pn2/P1N1P3/1p1r1B2/6P1/1P3PBP/R1R3K1 b - -,f6d5
r3k2r/4bppp/b3p3/3pP3/3P4/p1P1BN2/5PPP/R1RK4 w kq -,f3d2
8/2p1kp2/7p/1pNbPP2/1Pp5/6KP/1P3R2/3r4 w - -,g3g4
8/R7/2p1k3/2PpP1r1/3P1p2/3Bp2K/3n4/8 w - -,d3a6
2r5/p1P2pp1/1p1Bp1b1/1k1p2Pp/3P3P/1P2PP2/5K2/2R5 b - -,b5a6
8/1k6/5R2/1p6/1PbK4/2P5/3N4/7r b - -,h1d1
bqrr2k1/3nbppp/pp1ppn2/8/1PPNP3/2N1BP1P/P4QP1/2RR1BK1 w - -,d4b3
8/4pk2/P3p1pp/1R6/2P5/1P3NPP/4rPK1/2b5 w - -,b5a5
2rqrbk1/3b1p1p/p1nN2p1/1pB5/3p4/3BP3/P3QPPP/1R3RK1 w - -,d6b7
3qrbk1/p2r1p1p/1p4p1/2p5/P3p3/1P1PP1P1/1Q3PNP/2RR2K1 w - -,b2c2
5k2/5b2/8/1Q3P2/6PK/8/3q4/8 b - -,d2h2:d2h6
2rR4/r1P2kp1/p1R2p2/B3pb2/7p/5K1P/6P1/8 w - -,c6c4
8/5pk1/p5p1/5n2/2rp4/3N4/1P3K1P/2R5 b - -,c4c1
r1r3kq/1p2pp2/3pn2p/pP2b1pQ/4P3/1P3P2/P2R2PP/2BR1B1K w - -,f1c4
r2q1rk1/pp3ppp/3b4/3Pn3/2p5/1PN3P1/P1Q1BP1P/R4RK1 b - -,a8c8
1rb2rk1/pp6/n1p2n1p/2P5/5b2/1RN2PP1/P3N1BP/1R4K1 w - -,e2f4
R7/2r1kp2/3n2pp/1p1P4/p4P1P/5B2/P4PK1/8 b - h3,d6f5
2rr2k1/pb1nppbp/1q3np1/1pp5/4P3/1P1P1NP1/PB1N1PBP/1QR2RK1 b - -,d7f8
4r3/rpn2pkp/2p5/p1Np2p1/P2P2P1/1P2PP2/2R2KP1/4R3 w - -,e1b1
2rr3k/pp2bpp1/2bppn1p/q5B1/3NPP1P/2N3Q1/PPP3P1/1K1R3R w - -,d1d3
rn1q1rk1/pb2ppbp/1p1p2p1/8/2P1n3/1PNQ1NP1/PB2PPBP/R4RK1 b - -,e4c3
rnbqkb1r/pp2pppp/2p2n2/8/4N3/8/PPPPQPPP/R1B1KBNR w KQkq -,d2d3
r4rnk/1p1q2pp/p7/1PRp4/P2PpP2/4P3/1Q4BP/4R2K b - -,g8f6
2r1qrk1/pb4p1/4p2p/PP3p2/1P2PP2/2n3P1/Q2R1NBP/1R4K1 w - -,a2b3
r1bq1rk1/pppnn1bp/6p1/4pp2/2P1P3/2N2NP1/PP3PBP/1RBQ1RK1 b - e3,h7h6
r2r2k1/p3pp1p/1pb3p1/2p1P3/n1P1PP2/N2nB1P1/P2R2BP/1R4K1 b - -,d3b4
r4rk1/1bq2ppp/p3pb2/1p1pn3/3NPP2/4Q3/PPPNB1PP/2R1R1K1 b - f3,e5c4
r4r2/2P1p1k1/3p4/8/Pn4P1/3BR3/7P/2R3K1 w - -,d3e4
r3rk2/1pp1nppp/1b2n3/1q1pP3/1P1P3P/2B1NNP1/3Q1PK1/R6R w - -,d2c2
r2qk2r/p2nbppp/bpp1pn2/3p4/3P4/1P3NP1/PBPNPPBP/R2QR1K1 b kq -,e8g8
r7/1p4nk/pQ1p1q2/8/3Pn3/5N2/1P3PP1/1K1R4 w - -,b6b7
8/1p4pp/p1k5/8/1PPK1rP1/P3R2P/8/8 w - -,d4d3
8/1p6/p4k2/P2p2pp/1P1PrP2/3K3P/6P1/5R2 b - -,g5f4
6k1/p4r2/1p3pp1/6nq/2PP1p2/2PB1P1b/P2NRQ1P/7K w - -,c4c5
3r4/3k1p1r/p1qbb1p1/1p1p4/3B4/1PN1RQP1/P1P2P1P/R5K1 b - -,b5b4
3k2nr/pprq2p1/7p/3pPP1P/2nP4/P4Q2/P5PK/R1B2R2 b - -,d8c8
1k6/2p5/1p2p2r/5p1p/2B1bP2/P3P1P1/1P1r4/K3R1R1 b - -,h6g6
8/2bB1kp1/4p2p/5p1P/p2B1P2/P5P1/1P4K1/3b4 w - -,g2f2
3r1rk1/1pq2pbp/2p1n1p1/p3p3/Pn2P3/4BN1P/1PPQNPP1/R3R1K1 w - -,d2c3
2q2kr1/5p2/8/2r2N1Q/3N1b2/6P1/5P1P/5RK1 b - -,g8g6:f4g5
