6R1/8/1P4p1/2K5/8/4p3/4k3/1r6 w - -,g8g6
4r2k/8/3pBq1r/2pP4/2P2Q2/1P6/7P/6RK w - -,f4g3
8/8/3R4/8/4kp2/5N2/r1n5/5K2 w - -,f3d2
r1b1k2r/1p1n1ppp/p1p1p3/q2p4/PbPPnB2/2N1PN2/1PQ2PPP/2R1KB1R b Kkq -,b7b5
2q2rk1/p3ppBp/r2p2p1/1p1n4/3P4/2P2NPP/b3PPBK/R1Q1R3 b - -,g8g7
2r3k1/1p1qppbp/p2p1np1/P2P4/3B4/1Q4PP/1P2PPB1/2R3K1 w - -,c1c4
2rr2k1/1p2pp1p/p1bp2p1/8/PqPQPP2/1P1R4/4B1PP/2R4K b - -,a6a5
4br2/p1q1r1bk/3p3p/P1pPnp2/2P1pB2/6PP/3QBP1N/1R2R1K1 b - -,e8d7
r2r2k1/p2q1pbp/bp2p1p1/1NnpP3/P2P1P2/4B1P1/1P4BP/R2QR2K b - -,c5e4
r1bq1rk1/p5p1/2p1pb2/3p1p1Q/5P2/2N4R/PPPB2PP/R6K b - -,c8d7
4r2k/5pp1/1p5p/3p2Q1/b2P4/P1B1R3/1P3PPP/6K1 b - -,h6g5
r2qk2r/3nppb1/2p1bnpp/ppPp4/3P1B2/P1N2NPP/1P2PPB1/R1Q1K2R w KQkq -,f3e5
3r4/6pp/1kpPbp2/pp6/4P3/1P6/P2RBKPP/8 w - -,f2e3
8/8/6P1/R7/4k1K1/8/8/5r2 b - -,f1g1
r1bqk2r/ppppnpb1/2n3pp/6B1/2BNP3/2P5/PP3PPP/RN1QK2R w KQkq -,g5e3
5k2/1R6/8/3K1PPp/7r/8/8/8 w - -,f5f6
r5k1/p1p3q1/2n3Q1/2pp4/4p1P1/6P1/PPP3K1/5R2 w - -,g6e6
7R/8/5k2/pp1b2p1/4p3/P7/1P2KP1P/8 w - -,e2e3
7r/8/3k4/2p1p2p/P1Bn1p2/1PK4R/6PP/8 w - -,c3d3
2b2b1k/1p5p/r2p1R1P/p1pPr1PB/P1P1P3/2N1B3/1P6/6K1 b - -,h8g8
6rr/kp1q4/p2p4/P2p4/3P1Q1p/2P2Rp1/2P5/4RBK1 w - -,f4f5
r1bqr1k1/pp3pbp/2pn1np1/3p4/3P4/1PN1P1P1/PB2NPBP/2RQR1K1 w - -,e2f4
1r1r2k1/1p2bpp1/p1p1p2p/7q/Q2P4/P3PNP1/1P2KPP1/2RR4 w - -,d1h1
r1bq1rk1/pppnbppp/3p1n2/4p1B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQ -,c7c6:f8e8:f6e8
6k1/2p4p/p2p4/1P3p2/1P2bB1P/1Pb1N3/6P1/6K1 b - -,a6b5
r3kb1r/pp2p1p1/n1p2p1p/2Pp3P/3PnB2/1q3NP1/1P2PPB1/1RQ2RK1 b kq -,h8g8
8/6R1/4pp2/7k/1p2PP2/r7/2K4P/8 w - -,g7e7
r1b1rnk1/2qn1pb1/pp1p2pp/2pPp3/1PP1P1P1/P1N3B1/3NBP1P/2RQ1RK1 w - -,e2d3
1r1b4/8/3p4/4k1pp/2B1Pp2/2P2K1P/1P3P2/6R1 w - -,b2b3
rn1qk2r/ppp2ppp/3bb3/3p1p2/3P4/3BP3/PPPNNPPP/R2QK2R b KQkq -,b8d7
r2q1r1k/pp4b1/2npb2p/2p2p2/5P2/2PPN3/PP1NQ1BP/R4RK1 w - -,g2d5
r2qk2r/pbpnnpb1/1p1pp2p/6p1/2PPP3/2NBBN2/PP1Q1PPP/R3R1K1 w kq -,h2h3
1r4k1/p2b1rb1/2n1p2p/qNp2p2/2Pp1P2/5N2/PP2QBPP/1R2R1K1 b - -,a7a6
7k/6p1/4Qn1p/8/P6P/2Pq1BP1/5P2/6K1 w - -,e6e3
6k1/pp3R2/5nB1/7p/3b4/1P4PK/5r1P/2B5 w - -,f7b7
rn1q1rk1/1bp1bppp/p3pn2/1p6/3P4/P4NP1/1PQ1PPBP/RNB2RK1 b - -,b8d7
8/4qp1k/1p5p/3p1P2/2rn2P1/2p2Q1P/2R1NK2/8 w - -,e2d4
r6r/2pk4/1p2p3/p2p1p2/P1nP1N2/2P4R/5PP1/R3K3 b Q -,a8e8
r1b1k1nr/pp2bppp/4p3/2p5/2PqN3/5Q2/PP1P1PPP/R1B1KB1R w KQkq -,f3e3
rn1q1rk1/p2pbppp/1p2p3/3nP3/3P4/P2b1N2/1P3PPP/RNBQR1K1 w - -,d1d3
2r3k1/1p3rpp/p7/1b6/4N3/8/P4PPP/R2R2K1 b - -,c8c2
r5k1/pp2r1p1/3qp2p/3b1p1N/3P4/2R5/PP1Q1PPP/5RK1 w - f6,c3g3
1r2n1k1/1r3p1p/3p2p1/3N4/1R2P3/5P2/6PP/1R4K1 b - -,b7b4
rnbqkb1r/pp2pppp/8/3p4/3PnB2/3B4/PPP2PPP/RN1QK1NR b KQkq -,b8c6:g7g6
r2r1nk1/pp1b1pbp/6p1/nBP1p3/4N3/1P2BN2/P4PPP/2R1K2R w K -,b5e2
7k/4b1q1/2Q1p3/1pp1Pr1p/6pP/6P1/PP4B1/4R2K b - -,g7g8
7k/1pp5/3p3p/p4K2/P2PP3/1B4P1/1PPr4/8 b - -,d2d4
r1bq1rk1/pppp2pp/2n1pn2/5p2/2PP4/P1b1PP2/1P1B2PP/R2QKBNR w KQ -,d2c3
r3k2r/pp1n1pbp/1qp1pnp1/3p2B1/3P1P1P/2P3P1/PPQN1P2/2KR1B1R w kq -,h4h5
r4rk1/1bqn2p1/p3p2p/3p1p2/3b1P2/PNPBPR2/6PP/RQ4K1 w - -,b3d4
4r3/4p1kp/3PQp2/1q2n3/2p1P3/4B3/5PPP/2R3K1 b - -,e7d6
r4rk1/ppp2ppp/2nq4/5b2/2BP1n2/5N1P/PP1Q1PP1/RN3RK1 w - -,b1c3
2N1q1k1/1bbr1ppr/2p2n2/B1Q1pP1p/2B1P3/1P1R4/P5PP/3R3K w - -,d3d7
r2qk2r/2p2ppp/p1n2n2/1p2P3/1b4b1/1BN2N2/PP3PPP/R1BQ1RK1 b kq -,d8d1
r2r2k1/pp1nbppp/4b3/2P1p3/N1P5/2N1KP2/PP4PP/2R2B1R w - -,g2g3
1r2r1k1/4qpbp/p2p2p1/1p1Pn1PP/3B1R1Q/PN6/1nP3B1/5RK1 b - -,b2c4
2rq1rk1/R2nbpp1/2b1pn1p/1pp5/4PB2/1P1P1NPP/2QN1PB1/R5K1 b - -,f6h5
2r5/6N1/p5k1/4Pp2/P4PnP/4P3/6P1/5RK1 w - -,g7e6
r1b2nk1/pp3ppp/4pb2/2P5/1PB2q2/P1N2NP1/4QP1P/3R2K1 b - -,f4g4
8/4k3/4b2p/pB1p1p2/3P1K1P/P5P1/8/8 b - -,e7f6
8/5pkp/1pN5/P4R1P/r2n2P1/5P2/8/6K1 w - -,c6d4
6k1/5p2/2q3p1/4p3/P6P/2b1QNP1/5P1K/8 w - -,f3e5
1r2r1k1/ppqn1ppp/2pbp3/5bB1/2NP4/1QP3P1/PP3PBP/R3R1K1 w - -,a1d1
4r2k/4B1p1/2qPQ2p/2p4n/2p5/2P3RP/5PP1/6K1 w - -,d6d7
1r4r1/pq2bp1k/npQppp1p/8/3PP3/3N4/PP1N1PPP/2R2RK1 w - -,b2b4
4rrk1/p1qn1pp1/B1p2b1p/2Pp4/1P1P1p2/P1N5/3Q1PPP/R3R1K1 w - -,a1d1
8/8/7k/6p1/7p/P3RP1K/2r5/8 b - -,h6g6
3r2k1/p4ppp/q1prpn2/8/2RP4/1P3N2/P1Q2PPP/2R3K1 w - -,a2a4
1r6/1n1rbk1p/1PRpppp1/8/1PN1PP2/5K1P/6P1/R3B3 b - -,d6d5
r4rk1/ppp1bppp/1n2b3/8/Pn2P3/2Nq1NP1/3P1PBP/1RBQ1RK1 w - -,c1a3
5k1Q/pp1r4/2b1p3/8/P1R2P1B/3B4/2P3q1/4K3 b - -,f8f7
8/5pk1/8/p1pPR1Pp/PpN4P/1P2K1q1/8/8 w - -,e3e4
k7/P1p2pp1/4p3/4P2p/1r1BPP2/n2K2P1/2R4P/8 w - -,c2c7
r5k1/1bq1bppp/pB2p3/3r4/P4P2/1N6/1PP2QPP/R4RK1 b - -,c7c4
r1b1qrk1/pppn1pbp/n2p2p1/3Pp1B1/2P1P1P1/2N2N1P/PP3P2/R2QKB1R w KQ -,h1g1:f3d2
r5k1/pp4pp/1q3p2/3b4/1B3P2/P3Q1P1/5K1P/4R3 b - -,b6a6
8/6kp/4ppp1/3p4/3Pr3/pP2q2P/P2R2PK/3Q4 w - -,d2d3
2rq1nk1/pb5p/1p2pb2/1Q1pNp2/3P4/1P3NP1/P6P/2R1R1K1 b - -,c8c1
8/8/4k3/6p1/4K1P1/8/6P1/8 w - -,g2g3
2r3k1/3n1pp1/p2qp3/2p4p/1n5P/1Q1P2P1/1P2PP2/R4RK1 w - -,f1c1
2r2rk1/1R3p2/p2p1R2/7p/3pP3/7P/P1P3P1/6K1 b - -,c8c2
4r1k1/p2R1p2/1p3qp1/7r/P2R3P/1P3PQ1/6PK/8 w - -,d7d6
4r3/4R3/p6R/3pk3/8/8/1K6/8 b - -,e8e7
rn1qkb1r/pp2pppp/2p2n2/3p1b2/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq e3,f5g6
r1bqk2r/p2n1p2/2p1pn1p/2P1B3/6p1/1Qp2N2/P3BPPP/R4RK1 w kq -,f1d1
r1bqk1nr/pppp1ppp/2n5/2b5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,c1e3:d4b3:d4c6:c2c3
r4rk1/1p1nqppp/2p2n2/4pP2/1bP5/1P4PP/1BQNRPB1/3R2K1 b - -,a8a2
8/1q1r3k/5p1p/2B1p1p1/b1p1P3/1pP2P1P/1P3QP1/1B2R1K1 w - g6,h3h4
8/p7/7R/2K1k3/2b5/4n3/P7/8 b - -,c4a2
8/2r1k1pp/2P2p2/1RPBp3/3p1P1P/6P1/3r3K/8 w - -,h2h3
8/4kp1p/1p2p1p1/r3P3/PR3PP1/7P/6K1/8 b - -,e7d7
B1b2rk1/p1q2p1p/np2pbp1/4N3/2Pp1P2/P2P2P1/1P5P/R2Q1RK1 b - -,f6e5
8/3n1k1p/1p6/p2Pp3/5pP1/P4P2/4NK1P/8 b - -,b6b5
4r1k1/1p3p1p/p2q2p1/4Np2/b2n1Q2/P7/BP3PPP/4R1K1 w - -,g1h1
r3rn2/1pp3k1/p2p1q1p/P2Pp1pR/4P1P1/6N1/1PPQ1P2/4R2K b - -,f6f3
2kr1b1r/pppq1ppp/2n5/8/3pP3/1P3Q2/PBP1NPPP/R4RK1 w - -,a1d1
8/3pk1Rp/4p3/4Pp2/5P1K/5r2/7P/8 b - -,e7d8
3rrb2/pkn3pp/1ppn1p2/4pP2/P3P3/1BP1BP1P/1PK2NR1/3R4 b - -,d6c8
8/1B3pk1/P7/3R4/3b1PKp/8/r4r2/5R2 w - -,f1f2
rq3rk1/5ppp/nb1p4/1p1Pp3/1P6/1Q4P1/P2B1PBP/R4RK1 b - -,b8a7
r2q1rk1/p3ppb1/1p1p1np1/3P1b1p/2P5/2N1BB1P/PP3PP1/2RQR1K1 b - -,a7a6
1rbq1rk1/3p1ppp/ppnPpb2/8/N7/4B1P1/PPP2PBP/1R1Q1RK1 b - -,a6a5
r4rk1/pb3pbp/1p1qp1p1/2p1N3/5P2/3P4/PPP1Q1PP/R1B2RK1 b - -,d6d4
5k2/1p1r3p/1PbN2p1/5p2/4p3/3pP3/5PPP/5R1K w - -,d6c4
rq3rk1/1p1nbppp/p2pbn2/4p3/P3P3/1NNQ1B2/1PP2PPP/R1B1R1K1 b - -,f8c8
4K3/4P3/1p6/6k1/2P2R2/8/3r4/8 w - -,f4f1
3rr3/p2q2bk/PpN1pnpp/1Q6/4N3/2R4P/1PP2PP1/4R1K1 w - -,e4f6
4k2r/2q1b1pp/2b2p2/1r2p1PP/p1p1P3/2B3Q1/PPP5/1KNR3R w k -,g5f6
r1bqkb1r/pppn1ppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq -,c7c6:f8e7
8/3rk1b1/p5p1/nppBp3/4P2r/1PP1N1R1/P3KP2/R7 b - -,d7d6
8/r2n1pk1/P1R4p/5Kp1/7P/4P1P1/8/8 b - -,g5h4
8/5kp1/p4p1p/3p1q2/bPp5/P1P1BP1P/6P1/4Q1K1 w - -,e1h4
2r3k1/1p3pp1/1pn3p1/3p4/B7/5P2/PP3rPP/3R2K1 w - -,g1f2
r4rk1/1p1qb1pp/p2pbn2/4p3/2Pn4/1PNBN3/PB3PPP/R2Q1RK1 b - -,g7g6
3r1bk1/2q2ppp/1p2p1n1/1r6/p1N1Q3/P3R1P1/1B1n1PBP/4R1K1 w - -,c4d2
r2qbk2/p3n1bR/2np1p2/1p2pPp1/1P2P1P1/1Q1PN1N1/PB3KB1/8 w - -,g3h5
r2qkbnr/pp2pppp/2n5/3p1b2/3P1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,e7e6
rn1qkb1r/pp3ppp/2p1pn2/5b2/2BP1B2/4PN2/PP3PPP/RN1Q1RK1 b kq -,f8d6
r1bq1rk1/1ppn1pb1/3p2pp/p1nPp3/2P1P3/2N1B2P/PPB1NPP1/R2QK2R w KQ -,d1d2
5qk1/1b1r2bp/npnp2p1/1N3p2/1PP2P2/2N1BB2/6PP/1R1Q3K w - -,c3d5
6k1/6p1/2p2p1p/3Np3/8/nq2PP1P/6P1/2Q1B1K1 b - -,c6d5
3r2k1/pb2rppp/8/2p1pR2/4P3/2N5/PPP3PP/R6K w - -,f5f2
5r1k/1p1rq1p1/3p3p/1R1Qp3/1P6/5PP1/4P2P/R5K1 w - -,g1g2
8/3b1rkp/1q2p1n1/p3Pp1Q/2R5/1P2R3/5PP1/1B4K1 w - -,e3h3
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P1P2/2PBP3/PP1N2PP/R2QK1NR w KQ -,g1f3
4b3/4kp2/2p3p1/1p2KPP1/1P1PB3/8/8/8 b - -,e7d7
r1b1kb1r/pppn1ppp/4pn2/q7/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,c7c6
r1b1kb1r/p4pp1/2p4p/4p1P1/4p2P/2P1B3/PP3P2/R2K1BR1 b kq -,c8e6
2r2rk1/pR3p1p/6p1/3Pp3/4P3/2p3P1/P3R2P/7K w - -,e2c2
1n1q4/1P2n1k1/2Bp4/1N2pQ1p/4P3/6PK/8/8 w - -,f5g5
rnbr2k1/pp2bppp/5n2/7q/3Np3/2N1B1P1/PP2PPBP/R3QRK1 w - -,f2f3
r2qr1k1/1ppb1pbn/3pn3/3N2p1/pPP1P1Pp/4BP1P/P3N1BK/1R1QR3 b - -,h7f8
r1r5/3Qk3/P2b1pp1/1p1Pp2p/1p6/5P1P/1P3BP1/R1R3K1 b - -,e7d7
8/8/8/2k5/1n3b2/2K5/8/8 w - -,c3b3
r2qr1k1/1p4bp/1n4p1/p7/P2nP3/1P5P/3R1BP1/3QRBK1 w - -,f2d4
r4r1k/pp2bqpn/2pp3p/4pPP1/2P1P2P/2N1B3/PP2Q3/3R1RK1 b - -,h6g5
rnb1kb1r/ppp1qppp/8/4P3/8/2BP4/P1P1Q1PP/R3KBNR b KQkq -,b8c6
r2q1rk1/p2pbppp/1pn1pn2/8/2P1P3/2N3P1/PPN2PKP/R1BQ1R2 b - e3,a8c8
rnbqk1nr/pp2ppbp/2p3p1/8/2PPN3/4B3/PP3PPP/R2QKBNR b KQkq -,b8d7:g8h6
r2q1rk1/4bp1p/3p2p1/pQpPp2n/8/5PP1/PPPBB2P/R2R2K1 w - -,f3f4
rnbq1rk1/pp3ppp/5n2/3pp3/8/P1PP4/B1P1NPPP/R1BQK2R b KQ -,h7h6
8/7p/1p2k1p1/2p2p2/p1P2P2/PPK3P1/7P/8 w - -,b3a4
5rk1/pp1nQ2p/5rp1/3q4/2pN1P2/2P5/P1P3PP/R4R1K w - -,a1e1
8/5pk1/1b1p2p1/3Pnq1p/1P2p3/2Q3P1/4BPKP/4B3 w - -,h2h3
r2q1r2/ppp1nkbp/1n1p2p1/2PPp1P1/4Pp1P/2N2P1R/PP2NB2/R2QK3 b Q -,b6c8
r3kb1r/pp1bqppp/2p5/4Q3/P1B1P3/2N2P2/1Pn3PP/R1B2RK1 w kq -,e5e7
3b1rk1/8/1r1p3p/1RpPpqp1/2P1Np2/3Q4/5PPP/5RK1 w - -,b5b6
8/2p4p/pp6/2p1k1p1/r1P1P1P1/P1RK4/2P4P/8 w - -,d3e3
r2q1rk1/pp3pbp/2np2n1/2p2P2/5B2/2NP4/PPP3BP/R2Q1RK1 b - -,g6f4
8/7p/b3k1n1/6B1/2K2p2/5P2/2N3PP/8 w - -,c4d4
1NR1k3/8/3bp3/p3r1Pp/2P4P/1P3K2/6P1/8 b - -,e8f7
8/4r1k1/p2q1bp1/3B4/1P6/P3NQP1/5PK1/8 b - -,e7e3
1r2k2r/4bpp1/p6p/1p1bB3/8/5N2/PP3PPP/R3R1K1 b k -,b8b7
1rr3k1/3R1p1p/2pR2p1/ppP1q3/8/4P3/PPQ2PPP/2K2B2 w - -,g2g3
rn1qk1nr/pp3ppp/2p1p3/3p1b2/3P1b2/1QP1PN2/PP3PPP/RN2KB1R w KQkq -,e3f4
3Q4/1p6/5p2/pkP5/4q2P/6P1/5P1K/8 w - -,d8b6
4k3/2q4p/p3p1p1/2p5/2P3P1/2Q1P3/3P3P/6K1 b - -,e6e5
6k1/R4p1p/4p1p1/2p5/8/7P/Pr3PP1/6K1 b - -,c5c4
8/8/8/2p2k2/2Prp3/5p2/2R1K3/8 w - -,e2e1
8/p4pk1/1np4p/3pq3/5P1P/1P6/P2Q2B1/6K1 b - -,e5a1
1r3k1r/2qb1p2/1p1p1n1p/p1p1p1p1/P1PPPn2/2P1NP2/2QR1BPP/4RBK1 b - -,f8g7
5rk1/1pqr2pp/p2pbp2/2p1n3/2P1P1PQ/1P3P1P/PB6/3RR1KB w - -,f3f4
r2r2k1/1p1nqppb/1np1p2p/p3N3/Pb1PPB2/2N3P1/1P2QPBP/R2R2K1 w - -,e5d3
2rq1rk1/pb2b1pp/1p2pn2/2ppN3/3n1P2/2N1B3/PPPQB1PP/3R1R1K w - -,e3d4
r1bq1rk1/6b1/p2p2pp/3Ppn2/1pB1N3/8/P4PPP/1RBQ1R1K w - -,b1b4
8/6bk/6pp/2q1n3/2PpP2N/7P/Q5P1/4B1K1 b - -,d4d3
1r3rk1/1b1q1pb1/1p1ppnp1/p1p3Np/2Pn1B1P/P1NP2P1/1P2PPB1/1R1Q1RK1 w - -,b2b4
r4r2/1p3pkb/1qn2R1p/p5p1/2Pp4/PP1P2P1/5QBP/1R2N1K1 b - -,b6d8
r1bq1rk1/pp2ppbp/2n2np1/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,h2h3
8/5pkp/5bp1/p7/8/2r1B1P1/R1N1KP1P/8 b - -,a5a4
3r1rk1/p2nqp2/2p2npb/3ppb1p/2P5/PP2P2P/1B1NNPP1/R1Q1RBK1 w - -,e2g3
r5k1/4n1bp/3rP3/1Bp1pp2/N1P5/6P1/P2n1P1P/3RR1K1 b - -,d2f3
3r4/5pkp/1p4p1/p1qBPP2/1b1R4/1Q4P1/1Pr4P/3R3K b - -,c2e2
r1b2rk1/1pq1npb1/p2pp1pp/2p5/P1B1P2P/2NP1QB1/1PP2PP1/R3R1K1 b - h3,h6h5
4r1k1/1pnr1pp1/p1p3bp/4n3/PP2P3/1N3PP1/5BBP/2RR2K1 b - -,e5d3
rq3rk1/pb2bppp/1pp1p3/4n3/3P1P2/2N5/PPQ1PPBP/R2R2K1 w - -,f4e5
8/1B6/3kp3/2p3pp/2K4P/2P3P1/8/8 b - h3,d6e5
8/1p1R2k1/pr4p1/8/8/P6R/1r6/6K1 b - -,g7f6
rnb1k2r/ppp2ppp/3qp3/3p4/3P4/4PN2/PPPn1PPP/R2QKB1R w KQkq -,d1d2
5k2/3rb3/4p3/p1p1Pp1B/b4P1p/B3K2P/P1R5/8 w - -,c2c3
rn1q1rk1/pp3p1p/3p2p1/2pPp1bn/2B1P3/1PP1N2Q/P4PP1/R1B1K2R b KQ -,h7h6
2r2rk1/1bq2pp1/pn2pn1p/1p6/4P3/P1N1QN2/1PB2PPP/R2R2K1 w - -,c2d3
8/1kp1N1p1/5rP1/2p1RP2/1pP2K2/pP6/P4R2/6rb w - -,e5c5
5rk1/1p2bp1p/p5pQ/q2pP1N1/3P2bP/P1r5/6P1/1BR2RK1 b - -,e7g5
r2q1rk1/1pp3bp/3p2p1/2nPpp2/p1PnP3/2N1B1P1/PP1Q1PBP/R4RK1 w - f6,e4f5
2rr1bk1/1q3ppp/3ppn2/1p2n3/1P2P3/5PP1/PB1RN1KP/1QRN4 b - -,e5c4
r3q3/3b3k/4p1pP/p3Pn2/2pp1B2/P1p2Q2/2P2P2/1R2K1R1 b - -,d7c6
2r1r1k1/3nbpp1/p2p2qp/1ppP4/4P3/P3BP1P/1PQN2P1/2R1R1K1 w - -,b2b3
5B2/8/1pn1NK2/1k1pP3/p7/8/5P2/8 w - -,e6f4
8/8/4kp2/5Rp1/4P1P1/1r3PK1/8/8 w - -,f5d5
6k1/1p1n1ppp/p2Npnb1/8/8/1N2PP1P/PP4P1/2r2BK1 w - -,b3c1
1kr4r/1p1bbp2/p2ppp2/q4P1p/4P3/1B2Q3/PPP1N1PP/1K1R1R2 b - -,c8c5
8/4r2p/5kp1/ppp5/1n3PPP/1P6/P2R1KB1/8 w - c6,g4g5
6k1/pp3p2/6pp/3Nb3/2P3P1/1P6/P6q/3KQ3 w - -,e1e3
1r6/1P2r3/2Bp4/6k1/2P2pp1/4p3/4K1P1/1R6 b - -,g5h4
5r1k/1p4p1/2p1n2p/2P5/1P2PbQ1/6B1/3q1NKP/5R2 b - -,e6g5
r3kb1r/1pqn1pp1/p2p1n1p/4pP2/2b1P1P1/1NN1B3/PPP1B2P/R2QK2R w KQkq -,h1g1
4r3/1p3rp1/p1p1kp1p/4pR2/4P1P1/1P1P3P/1PP4K/5R2 w - -,h3h4
8/pp1r3k/2p3b1/4RP2/1PP5/P3K3/4B2P/8 b - -,g6f7
r1b3k1/ppr2n2/4pqQ1/8/2pPB3/4B3/PP3PPP/2R2RK1 b - -,f6g6
r4rk1/pp2ppbp/2bp2p1/8/1q1BnP2/1BN1Q2P/PPP3P1/3R1RK1 b - -,e4g3
7k/2R5/p3N3/4p3/2n2P2/6KP/r5P1/8 b - -,e5f4
r2q1rk1/1b2bpp1/2p4p/p2pP3/1p3N2/3QP1B1/PP3PPP/R2R2K1 b - -,d8b6
4r1k1/1p3pp1/p1b5/2b3p1/2p5/P1P2NBP/1P3PP1/3R1K2 b - -,f7f6
rnb2rk1/ppp1q1pp/3p1n2/4pp2/2PP4/4PNP1/PP1N1PBP/R2Q1RK1 w - -,c4c5
r1b2rk1/p1qnnppp/2p1p3/Pp2P3/2pPN3/5N2/1P3PPP/R2QKB1R w KQ -,b2b4
3R4/8/8/8/8/2n1K3/2k5/8 w - -,d8b8
4r1k1/5p2/1pp1bRp1/3rP3/8/2BP4/1PP3P1/R5K1 w - -,a1a6
8/3k3p/pp1p1Kp1/3Pn3/4P3/2N1r3/8/2R5 w - -,c3a4
r1bq1rk1/pp2bppp/3p1n2/nBp1p3/2P5/1P1PPN2/PB1N1PPP/R2Q1RK1 b - c3,a7a6
4b1k1/7p/p4ppB/2q5/3b1P2/1B5P/P2Q2P1/7K b - -,e8f7
8/5b2/p2k4/1p6/3pp1BP/P1P5/1P1K4/8 b - -,d6e5
3r3k/1p4p1/7p/P2q1p2/1P2p2P/4P1P1/2Q2P2/2R3K1 b - -,d5d7
6k1/1r3pb1/2r1p1p1/2PpP1Pp/1p1P3P/pP1NK3/P4R2/5R2 b - -,c6c7
5n2/3p1rk1/R2p4/P2PpBp1/4P1Pp/1r5P/2R3K1/8 b - -,b3a3
1R3bk1/3Q1ppp/5q2/p7/8/6PP/2rN1P2/6K1 b - -,c2c1
3r2k1/r6p/p3pP2/1pbn3p/2ppBB1N/P2P3P/1PP2R2/R5K1 w - -,f4e5
r2k1b1r/p1R2p2/1p2p2p/3p1bp1/N2P4/4P1B1/PP1K1PPP/7R w - -,h1c1
8/7r/B4p2/3pkN2/P5PP/2b5/2P1K3/8 w - -,e2f3
r1r3k1/5pp1/2b1pq1p/p1PpN3/5n2/5Q2/PP3PPP/R3RBK1 b - -,f6f5
4rk2/p2Q1pb1/1p4p1/2p4p/7B/2P4P/PP2qPP1/3R2K1 w - -,f2f3
r2qk2r/pb1p1ppp/1pnbpn2/2p5/2P1P3/1PNB1N2/PB1P1PPP/2RQK2R b Kkq -,c6e5
r7/4r1k1/2pN2p1/2Pb3p/1R4PP/8/1P3K2/2R5 w - -,c1f1
8/r7/PR2pk2/8/2B2p2/8/1P6/1K6 w - -,b6e6
rnbqk2r/pppp1ppp/5n2/4p3/2P5/2b3P1/PP1PPPBP/R1BQK1NR w KQkq -,b2c3
3r2k1/p3rp2/2Ppn1p1/8/4P1p1/1B4nP/P4P1K/3RR3 w - -,h2g3
2r1r1k1/pb1P2p1/7p/p2P1p1q/P3p3/7P/Q4PP1/2RR2K1 b - -,c8d8
