8/6k1/8/r5Kp/7P/4R1P1/8/8 w - -,g5f4
r2qkbnr/pp1n1ppp/2p1p3/3pP3/3P4/2NQ1N2/PPP2PPP/R1B1K2R b KQkq -,g8e7
2R5/3r1pk1/6p1/3p4/2pP4/8/5PP1/6K1 b - -,g7f6
2r3k1/r1b1np2/1Rp2qpp/3p4/3P4/3BPN1P/2Q2PP1/5RK1 w - -,b6a6
3k4/8/1pQ1p2p/p2p1p1b/P2P3P/1P1BP3/1K3q2/8 w - -,b2a3
2rq1rk1/pb2bppp/1p1ppn2/2P1n3/1P2P3/PNN1BP2/4B1PP/R2QK2R w KQ -,c5d6
r1bqr1k1/5pbp/p2p1np1/np2p3/3PP3/5NNP/PPB2PP1/R1BQR1K1 b - -,e5d4
r3r1k1/pp2p3/4bbp1/3p1pN1/3P1B2/4P3/PPPK2P1/R6R b - -,f6g5
8/8/4kBp1/2n1P2b/5K1P/8/8/8 b - -,e6d5
r4rk1/ppp3bp/3N2q1/3Pp3/6b1/5N2/PPPQ1KP1/4R2R b - -,c7d6
k5r1/1ppqn1r1/p1b1pp2/3n3p/3PB2B/P1N2P2/1P1Q1RPP/2R4K w - -,c3d5
1N6/p4k2/7p/3n2p1/8/1P4P1/P6P/6K1 w - -,b8c6
8/R7/3k4/7p/2PN1Pb1/pB1pK1P1/1br4P/8 b - -,c2h2
1r4k1/3bbppp/p2p4/Nrn5/3pPPP1/Q2P1K2/5N1P/R7 w - -,g4g5
1r6/8/2p3kp/4P3/1p1P4/pPn3N1/P4P2/K1R5 w - -,f2f4
r2qk2r/bp1n1p2/p1npb1pp/3Np3/4P2P/1N1B1Q2/PPPB1PP1/2KR3R b kq h3,a6a5
r2qk2r/ppp1bpp1/1n2b3/1P2N3/3n4/P1NP2p1/4PPBP/R1BQ1RK1 w kq -,f2g3
2r2rk1/3R2pp/pp6/8/PP6/1P1P1P2/6PP/R6K b - -,c8c3
r1b1rnk1/pp4b1/2p3p1/5p2/P2qNQ2/3B4/1PP3PP/R1B2R1K b - -,e8e4
7r/1kq2p2/p2bp3/P1p4n/1p3p1p/4BQ2/1PP3PP/R4RK1 b - -,c7c6
r1bq1rk1/pp2bppp/3p1n2/2nPp3/4P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,d1c2:f3d2
8/8/8/p1p1k1p1/P1P3K1/1P1nP3/3N4/8 b - -,e5f6
r1b2rk1/1pq2pb1/p4np1/2pPp3/4P3/2N1B1Pp/PP2BP1P/R2Q1RK1 b - -,b7b5
2r2rk1/p2n1pb1/1qn1p1p1/1p1pP2p/1P1P4/P3B1P1/2N2PBP/2RQR1K1 b - b3,b6a6
r5k1/2pnbp1p/6pP/3Pp3/NpP1P3/5P2/P5P1/3RK2R w K -,a4b2
r1r3k1/2q1ppbp/n2p1np1/8/3p4/P1N1PN2/1PQB1PPP/R4RK1 w - -,f3d4
r3r1k1/bppq1p1p/2np1pb1/p7/2PP2P1/P1N4P/1P2NPB1/R2Q1RK1 w - -,d1d2
6k1/1p3pp1/b6p/P7/P2R1N1P/2K1P3/5r2/8 b - -,g7g5
5b2/5P2/5K2/4N2k/8/8/8/8 w - -,e5g6
5rk1/1pqr1pp1/p1b2b1p/P1pBpP1Q/2P1P2P/R5B1/1P4P1/3R3K w - -,g3f2
r2q2k1/1R2b1pp/p6r/2nN1p2/Q2Pp3/2B1P1P1/P5KP/R7 w - -,d4c5
8/2k5/4p3/2P4p/1R2p2P/1P2rpP1/8/5K2 b - -,c7c6
4r3/4qp1k/2pr1p1p/1p6/p2P2Q1/2P3P1/P1P2RKP/5R2 w - -,g4f5
4rrk1/pR3n1p/Q1N5/2Pp3q/3P1P2/4P3/P5P1/5RK1 b - -,e8e3
rn1qk2r/ppp2b2/4pnN1/3p3p/3P1bpP/2NBPP2/PPP5/R2QK1R1 w Qkq -,e3f4
r2qrbk1/pb1n1ppp/1p1ppn2/8/2PP4/1P1BNN2/PB3PPP/R2QR1K1 b - -,e6e5
8/5k2/7R/6r1/3N4/5p2/8/6K1 w - -,g1f2
r3r1k1/1p2pp1p/2bpn1p1/3N4/1PP1P3/q1Q3PP/5PB1/3R1RK1 w - -,c3a3
1N4k1/6b1/7q/3P1Q2/8/3Pr2p/4P2P/4R2K b - -,e3e5
1n2kb1r/rp3pp1/p5p1/2pqn3/6P1/2N1P2P/PP1BBP2/R3K2R w KQk -,c3d5
3r3r/pb2k1p1/1ppb2p1/3R4/2p5/5QP1/P4P1P/2R3K1 w - -,c1e1
2nr2k1/1p4p1/pn4Bp/3pR3/3P4/1PN4P/P4PP1/6K1 b - -,g8f8
2rqkb1r/pb1n1ppp/4pn2/P1pP4/1p1P4/5NP1/1P1NPPBP/R1BQ1RK1 b k -,b7d5
r2q1rk1/pppn1pbp/3p4/3Pp1p1/2P1Pn2/2N1BB1P/PP3PPK/R2Q1R2 w - -,g2g3
3r2k1/6pp/3qpp2/P5Q1/1p2P3/1P4PP/1B3PK1/8 w - -,b2f6
2r3k1/Q4pp1/2q1p2p/4P3/1p2pP2/1P5P/2rR2P1/R6K w - -,d2c2
r1b2rk1/pp3p2/5Qp1/4p2p/2P3n1/1N5P/PP2BPP1/1R1R2K1 b - -,g4f6
3R4/4k1p1/4bp2/p3p3/7K/3R3P/6r1/8 w - -,d8a8
1n1r1rk1/2q1bp2/p1bp2pp/1p6/1P1NPP2/P1BB4/4Q1PP/2R2R1K w - -,c3a1
r1bqk2r/pp2npb1/2np2pp/2pNp3/2P5/3P1NP1/PP2PPBP/R1BQ1RK1 w kq -,f3d2
r1q1r1k1/p4pbp/bp3np1/2pPp3/P3P1P1/1PN1B2P/5PB1/2RQR1K1 b - -,c8d7
r5k1/pp1bpp1p/5Np1/8/1r1P2P1/7P/PP2PPB1/R2R2K1 b - -,e7f6
2br1bk1/ppnn1p1p/1qp3p1/2P1r1N1/3P4/2N3PP/PBQ2PB1/4R1K1 w - -,e1e5
6k1/b6p/6pB/1P6/3R2P1/7P/8/6K1 b - -,a7d4
4r2k/3r1np1/p7/1ppn1PP1/5R1P/P1B1P3/1P6/4R1K1 w - -,f4f2
r2qr1k1/4bpp1/p1n1bn1p/1pp1p3/3pP3/P1PP1QNP/1PB2PPN/R1B1R1K1 b - -,d4c3
r1bq1rk1/1p3ppp/p1n2b2/3B4/8/P4N2/1P3PPP/R1BQ1RK1 w - -,d5c6
8/1p3r1k/4bqp1/pP1p3p/2r1p2P/PQ2RPP1/3R2BK/8 b - -,e4f3
3r4/4kp1p/4p1p1/2R5/3r4/7P/5PP1/2R3K1 b - -,h7h5
r3k2r/pppqn1bp/3p2p1/4nb2/2PN4/2N1B2P/PP2BPP1/R2QK2R b KQkq -,a7a6
2r5/5pk1/pq3npp/3p4/Q2N4/PN2P1PP/5P2/5BK1 b - -,f6e4
8/3k2p1/R7/1p5n/p3P3/1r2BP1P/4K3/8 b - -,a4a3
6k1/1pb2p1p/1pp5/2n1P1P1/6P1/4B2P/PPB2K2/8 b - -,c7e5
r2qk1nr/ppp2ppp/2np1b2/3P4/4P3/1N6/PP2BPPP/R1BQK2R b KQkq -,c6e5
2R5/8/5n2/R2p1k2/1p5p/1Pb2r1P/P3K3/8 b - -,f3h3
8/5R2/2r4p/3k4/2p4P/2K5/8/8 w - -,f7f4
1r3r1k/1Pp4p/2Pp4/p3p1p1/6nN/Bq2PpPn/PR3P1P/5R1K w - -,a2b3
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/P1NB1N2/1P3PPP/R1BQR1K1 b - -,d8b6:b7b6:d8d6:a7a6:g7g6
4r3/5k1p/2n3p1/2q2p2/1p1prP2/1P1Q3P/2PB2P1/4RRK1 b - -,e8e6
5r1k/1p2b2p/1N2b2n/B1P2ppq/3ppP2/P5PP/1PQ1P1B1/R4RK1 w - g6,a5e1
r3kb1r/1p1bnpp1/1qn1p3/p2pP2P/3P4/2B2N2/PPNQBP1P/R3K2R b KQkq -,h8h5
r1b4k/pp1r1p2/4nNpp/2P5/1PBp4/8/P4PPP/2R1R1K1 b - -,d7d8
r1bqkb1r/pp3ppp/5n2/2pp4/4P1n1/1N1P1N2/PPP1B1PP/R1BQK2R b KQkq -,d5e4
1q3rk1/3R1p1p/p1p1pbp1/1pP5/2n1QP2/6P1/P5BP/3R2K1 b - -,b8c8
r3rnk1/ppq3p1/2pbbp1p/3p3N/3P2N1/2PB3P/PP1QRPP1/5RK1 b - -,e6g4
6k1/2R2pp1/8/7p/2pr1P1K/r5PP/6B1/8 w - -,g2f1
4r3/4kpq1/1pp1r1p1/p2nP1P1/5P2/5R1Q/1P5P/1B3R1K w - -,f4f5
5r2/1k6/2p5/4p1p1/6P1/P3P2p/1P2KN1b/2R5 b - -,h2g3
8/p5k1/1p2B1p1/5pP1/P3p2P/1P6/3r1PK1/8 w - -,g2g3
2r2rk1/pp1b1p1p/6p1/2q1P3/3p3Q/3B4/PPP3PP/1K1R1R2 w - -,h4f4
1r4k1/5p2/2pr1Pqp/3PQ1p1/p3P3/5R2/P4PKP/8 w - -,e5d6
r1b2r1k/1pp4p/p2p4/3P3R/2P1pqP1/5P2/PPQ3B1/1K1R4 w - -,d1h1
8/3r1p2/5Pk1/2nNp2p/pR2P3/8/PPP4P/2K5 b - -,c5e4
3rk2r/1bq2p2/3p1p1b/p2PpP2/Pp2Q3/1N3BPp/1PP4P/R4R1K w k -,b3d4
r4r1k/pp1n3q/2p1R3/7N/1bBP4/4Q1P1/PPP2P2/6K1 b - -,a8e8
r6r/p2kppbp/1pn3p1/3P2B1/R1N5/4P3/P3KPPP/7R b - -,c6e5
8/p3kppp/1rp1p3/4n1N1/8/1P1R2P1/P3P1KP/8 w - -,d3d2
rnb1kb1r/1pqp1ppp/p3pn2/8/3NP3/2N2P2/PPP1B1PP/R1BQK2R b KQkq -,f8e7
r2qk1nr/1bpnppbp/3p2p1/p2N4/PpBPP3/5N2/1PP2PPP/R1BQR1K1 b kq -,g8f6
r1b2rk1/p1qnppbp/2p3p1/2pp4/2PP4/PP2P3/1B2BPPP/RN1Q1RK1 b - c3,a7a5
r1bkr3/1pp2p1p/p2b1p2/4p3/4P3/5P2/PPP3PP/2KR1BNR w - -,f1d3
8/8/p4Kp1/1k3b1p/1P1R4/8/2r5/8 w - -,f6g5
3r1nk1/2p2qpp/1p1n1p2/p2p4/P2P1NQP/2PP2B1/5PP1/4R1K1 b - -,g7g6
8/2R5/3p1kp1/2p5/2P2n2/5P2/1r1K4/6R1 w - -,d2c3
r2n2k1/1p4p1/p1ppr3/3Q4/4P3/2Pp3P/PP4P1/4R2K w - -,d5d3
4r3/pp4pk/2n4p/4qp2/3p1N2/Q2R3P/PP4PK/3Rr3 w - -,g2g3
3r2k1/1pqr1pp1/p3pnp1/8/1nP5/1P2RNN1/P1Q2PPP/3R2K1 w - -,d1d7
3q3r/2k1bp1r/p1p1p1p1/Pp1pP1P1/1PnP1B1p/2P2B1R/2K2PPR/2Q5 w - -,c2b3
2r4r/pp2k3/2n1pp2/3n2p1/6P1/2P2PB1/PP2BK2/R6R w - -,e2c4
1r3rk1/5pNp/p2p4/3Q4/1pP1p3/8/1q3PPP/3R1RK1 w - -,g7f5
3K4/3P4/6k1/6pR/8/8/3r3P/8 w - -,h5h3
2r3k1/7p/4q1p1/1p1b1p2/1P1p1Bn1/3P2PP/3QP1B1/5R1K b - -,g4f6
2R3k1/r2n3p/6pB/1r1P1p2/3bp3/6P1/5PBP/5RK1 b - -,g8f7
6rq/1rk2b2/2pbpp1p/3p4/p1pP1P1N/P1P1N1R1/1P3QPP/R6K w - -,g3g8
r4rk1/1ppn4/p2p2p1/3P1p1p/1PP4q/P3PPNb/1b1QBR1P/R6K w - -,d2b2
8/7k/1p1R2p1/1P1Pp2p/8/5P1P/r2r2P1/4R1K1 b - -,d2g2
r3r1k1/1p3ppp/1npb4/1p1p1b2/3PP3/P1N2PP1/1P1B1KBP/R6R b - e3,b6c4
r1b2rk1/p1p1qppp/2p2n2/3p4/1b1PP3/2NQ1P2/PPP3PP/R1B1KB1R w KQ d6,e4e5
6k1/1pnn1qpb/2p1p2p/2PpP2P/1PP2rP1/8/1B1NQ1B1/5R1K w - -,h1h2
rnb1kb1r/pp1ppppp/5n2/q1p5/3P4/2P2NP1/PP2PP1P/RNBQKB1R b KQkq -,c5d4
4B3/1k2q2p/1p3pb1/p1prpp2/P7/2P1Q1P1/1P3RPP/4R1K1 b - -,e7e8
r5k1/1N4p1/p3r1p1/1p2n3/8/1P2B2P/P4PP1/3R2K1 b - -,a8c8
4r3/p2q2k1/1p1P1p2/2n2p1B/P2Q1P2/1P4P1/4R2P/6K1 b - -,e8e2
4k3/pprrqp2/3bp1p1/7p/3PQ3/1RR2BP1/PP3PKP/8 w - -,e4e3
5r2/1pp2q1k/6p1/1P1P3n/3B4/2N5/PP2Q2P/7K b - -,h5f4
rnq2rk1/pp3nbp/2pp2p1/8/2PB4/2N2NP1/PP3PbP/R2QR1K1 w - -,g1g2
6rk/3Q2pn/pq5p/1p2R3/3N4/2P5/bPB3PP/6K1 w - -,b2b3
r1b1k2r/ppp1qppp/3p4/2bP4/1n2p2N/6P1/PP1PPPBP/R1BQ1RK1 w kq -,d2d4
3rr3/1ppq1p1k/p1n3pp/3p4/3PPPb1/3QB1P1/PP4BP/4RRK1 w - -,f4f5
5rk1/ppp1r1bn/3p2p1/3Pp2p/2P3qP/2NQ2P1/PPB2P2/4RRK1 b - -,f8f6
r1b2rk1/pp3qp1/2n1p2p/b4p2/3P1B2/PB3N2/1P3PPP/R2Q1RK1 b - -,f8d8
3r2k1/2Q1pp2/p5p1/8/3q3P/P7/1P4r1/K1R4R w - -,c7b7
1r3rk1/p1pqbppp/n3pn2/1p4B1/2pP1P2/P1N1P3/1PQ2PBP/R2R2K1 b - -,c7c6
r1b1k2r/1pqnbp2/p2ppn1p/6p1/3NPP1B/2N3Q1/PPP3PP/2KR1B1R w kq g6,f4g5
r1b1k2r/4bpp1/p1p1p2p/2qp4/4PPP1/1BNQ4/PPP4P/2KR2R1 w kq -,c1b1
r2q1rk1/pp2n1b1/2ppbnpp/1P1Ppp2/2P1P3/2N2B2/P4PPP/R1BQR1K1 w - -,d5e6
8/8/5r1p/1kpr1P1K/5RPP/8/2R5/8 b - -,d5d4
r4rk1/1bqn1ppp/4pn2/p3N3/1pPP4/3BP3/1BQ2PPP/R4RK1 b - -,d7e5
2kr3r/ppq2p2/1npb1p2/4pP1p/1P1P4/1BP1BQ1P/P5P1/R4RK1 w - -,d4e5
5rk1/1r4p1/2q1n3/1p1pBp2/pR1P1Pp1/P2QP1P1/7P/1R4K1 w - -,b4b5
1r4k1/1q2ppbp/1r1p2p1/8/RB6/1P2NPP1/3QP1KP/5R2 b - -,b6b4
r4rk1/1p3ppp/5q2/3pp3/2PnP1b1/NP1B4/1K1Q3P/R1N4R b - -,d4f3
8/r3n1k1/1R5p/5B1P/6P1/P7/1K6/8 b - -,a7a5
8/1p5p/p1pk2p1/3pr3/R6P/2P2P2/PP3K2/8 w - -,b2b4
r4k1r/2p2p2/p6p/1pp2B2/3b1P2/4q1P1/PPQ5/1K1RR3 b - -,e3g3
8/6k1/R7/P6p/7P/r5P1/6K1/8 w - -,a6a8
r1b1k2r/1pqnbp1p/p3p1pB/4n3/8/1NNB2Q1/PPP3PP/4RRK1 b kq -,h8g8
4r3/pp2rpkp/1npR2p1/4n3/1PP1P3/P6P/B2N2PK/5R2 b - -,e7d7
rn1qkb1r/pbp2ppp/1p2pn2/3p2B1/2PP4/P1N2N2/1PQ1PPPP/R3KB1R b KQkq -,f8e7
8/2R5/1p1r2kp/p2pr3/P4Rp1/1P2P3/4KP2/8 w - -,f4g4
1r2nrk1/p3ppbp/2pp2pB/q7/3PP1b1/2N2N2/PP1Q1PPP/1R2R1K1 b - -,g4f3
8/8/8/3k2B1/p1p3p1/1bP1P3/1K6/8 b - -,d5e4
8/8/2b5/p1k2p2/2Brp1p1/2K1B1Pp/5P1P/8 w - -,e3d4
r4rk1/3q1pbp/2n1p1p1/p1QpP3/P4P2/NPP2N2/6PP/R4R1K b - -,f8c8
3r4/8/8/5R2/1pk5/B2n1K2/3P4/8 w - -,a3b4
8/r5k1/2R2p2/7P/5PPK/8/8/8 b - -,a7a4
r4rk1/3nbpp1/5n1p/p2p4/NppP1BPP/P3PPN1/1P3K2/R6R b - -,f8e8
r1b1k1nr/pppp1ppp/5q2/2b1p3/2B1P3/3P4/PPP1QPPP/RNB1K2R b KQkq -,g8e7
8/p4pkp/4pnp1/1p6/5N2/2q3P1/P4PKP/3Q4 b - -,a7a5
r1b2rk1/ppq2ppp/2n1pn2/2pp4/2PP4/P1PBPN2/4QPPP/R1B2RK1 b - -,d5c4
r1b2rk1/pp1p1ppp/4p3/4n1q1/1bP1B3/1PN3P1/1P2PP1P/R1BR2K1 w - -,c1g5
3r4/1pq3k1/p1p1bpn1/4p2p/2P1P1pP/PP2Q1P1/2B1NP1K/3R4 w - -,d1d8
3r2k1/p2rnpp1/1qp3p1/2R5/P3PP2/1P2Q2P/5NP1/2R3K1 w - -,g1h2
5rk1/5pbp/6p1/q1p1P3/1p1p1PQP/1P1B4/4R1P1/r3R1K1 b - -,a1e1
5k1r/7p/2q2p2/2b1p3/1p6/3QB1R1/1PP3PP/6K1 b - -,c5e3
1rbq1rk1/pp2npbp/2npp1p1/2p5/P3PP2/3P1NP1/1PPN2BP/R1BQ1RK1 w - -,c2c3
6k1/3p2p1/1R6/3bPr2/2R3K1/5r2/PP1B4/8 w - -,c4f4
4r1k1/2pn1rbp/p4p2/1p2pP2/4N3/4B3/PPP3PP/R4R1K w - -,a1d1
r7/1p3pkp/1q1p4/1P1P1pP1/8/pP1Q4/Pb2R2P/1K2R3 w - -,d3f5
5r1k/p1r3pp/1p2p2n/3pPp2/qb1P1PP1/4BN1P/PP3RQ1/6RK b - -,a4a2
1k6/1p5p/p5r1/8/5P2/8/PP1pr1PK/R6R b - -,g6h6
6k1/p3pp1p/1p1p1bp1/8/PR2PP1P/5KPQ/2r5/2r5 b - -,c1a1
r1bqk1nr/pppnppbp/3p2p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3:e2e4
r3r3/pp6/2nk4/2npB3/2p2PQ1/4q3/P5PP/3R1R1K b - -,c6e5
4kb1r/1p3ppp/1p2p3/1rnpPb2/P2N1B2/1pP1P3/5PPP/R3K2R w KQk -,d4f5
2nrrk2/pqn1p1bp/1pp2pp1/4Pb2/2NP3P/1P2B1PN/P2R1PBK/2Q1R3 b - -,c7d5
1k6/1bq1bQp1/p1n4p/2p3p1/1p2PP2/2P1B3/PP2N2P/1K1B4 b - -,c7d7
8/6pk/2q2r1p/5P2/3Q4/P5PP/5PK1/5B2 w - -,g2h2
r3r1k1/1bq2p1p/2p1n1p1/p1P1p3/1p2P3/Q3B1PP/PP3PB1/2RR2K1 w - -,a3b3
2r1kb1r/1p1n1p2/pqbpp3/8/2P1Pp1p/1N1QR3/P4BPP/3B1R1K w k -,e3f3
5rk1/ppp1bppp/2q1p3/2PrP3/3P2Q1/7P/PP3BP1/R4RK1 b - -,f7f6
1r4k1/1NR2b2/p3pp2/6p1/1P1PP2p/3K1PP1/6P1/8 w - -,g3g4
7r/2p1n1kp/p3R3/Pp6/2prN3/8/1PP3PP/R5K1 b - -,e7g6
rn2k2r/pp3pp1/2p2np1/2b5/8/6N1/PPPBBPPP/R4RK1 b kq -,b8d7
2r5/p3k3/1p3p2/8/8/8/PP4PP/4R1K1 b - -,e7f7
1n5k/r2n1prp/1p2p3/pQ1p1p2/P2P1B1q/2PN4/1P3PPP/R3R1K1 w - -,f4b8
r4rk1/1p1n2pp/1qpbbp2/p2p1n2/1P1PpP2/P3P1P1/1BPN2BP/RN2QRK1 w - a6,c2c4
6k1/p5bp/2p3p1/2Pp1pP1/4rN2/1P4P1/P7/3R2K1 b - -,g7f8
2b1r3/p4kbp/2p2pn1/q1Np2p1/3P2P1/1PN3BP/PKP2Q2/4R3 w - -,e1e8
r1r3k1/p1nq1pbp/3p1np1/1p1Pp3/2N1P1b1/2NQBPP1/PP4BP/2R1R1K1 w - -,c4a5
1b3rk1/3r1ppp/p2Nbn2/1p2p3/7n/BPN1P3/P3BPPP/3R1RK1 w - b6,d6e4
8/5pkp/6p1/4p3/n1P4P/4P1P1/6BK/8 b - -,g7f6
2r3k1/5pq1/4p1p1/p2p2Q1/8/1Pr1R2R/5PPK/8 b - -,d5d4
8/8/6k1/5p1p/pB3K1P/P4PP1/1r6/8 w - -,b4c5
1rnr3k/2q2pbp/ppb3p1/2p1p3/P1N1P1P1/1QP1B1P1/1P3PB1/R3R1K1 w - -,e1d1
1r3r1k/6bp/p5p1/1p2pP1n/4b3/1P2BP2/1P1RN1PP/2K4R w - -,f3e4
r1bq1rk1/1pp2ppp/2n5/p1b1p3/8/P1BP1NP1/1P2PPBP/R2QK2R b KQ -,d8e7
r2qk1nr/ppp3pp/2n5/3p4/4p3/2N1P1b1/PPP1BPPP/R2QK2R w KQkq -,h2g3
6k1/8/2p4p/7q/3p2b1/1P1N4/P3n1BP/4Q2K b - -,h5f5
6k1/1b2b3/p1q1p1pp/1pp1Pp2/5P1P/1P3N2/P1PQ1BP1/5K2 b - -,g8f7
8/p2b4/3k1p2/PP5p/1K2BP1P/8/8/8 w - -,b4c4
1q1rrbk1/1b1n1ppp/3p1n2/1Np5/NpP2QP1/1P1B3P/1B3P2/3RR1K1 w - -,e1e8
rn1qkb1r/ppp1pp1p/3p2p1/3nP3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,d5b6
3r3r/1pk2pp1/2p4p/p2b4/P3N1n1/6P1/1P2PPBP/R1R3K1 w - -,e4c5
r2q1rk1/ppp2ppp/1b2bn2/8/2NP4/3Q1N1P/PP3PP1/R1B2RK1 w - -,c1g5
8/5p2/1R2p1k1/pP4p1/8/P3PKP1/r7/8 w - -,b6a6
r2q2k1/1pp1bp2/p3pP2/4n1PQ/8/P3P2R/1P3P1P/4K3 b - -,e7f6
3q2k1/5p1p/6p1/p1Q1b1P1/P7/2P1B3/1PK5/8 b - -,f7f6
8/7p/3nk1p1/1p2p3/6PP/3B1K2/P7/8 b - -,e6d5
8/8/3Q4/K7/P7/8/k7/2q5 w - -,d6d5
2r3k1/3R2pp/2N1p3/3p1p2/1b1P1P2/1r1BP1P1/7P/5RK1 w - -,c6b4
r1b2rk1/1p1nqppp/p3pn2/1Pp5/2P5/2N2NP1/P2QPPBP/R4RK1 b - -,a8b8
r4rk1/4p2p/3p2pb/2pPp3/1qN1P2P/1P5Q/P4PP1/R2R2K1 w - -,h4h5
rn1q1rk1/pbp3pp/1p1pp3/3P1p2/2P1n3/2b2NP1/PPQBPPBP/3R1RK1 w - -,d2c3
r1bqk1nr/p2nppbp/2pp2p1/1p6/3PP3/2N1BP2/PPPQ2PP/R3KBNR w KQkq b6,h2h4:g1e2
4r2r/pk1p3p/2q3p1/3p1p2/5B1P/PPb2Q2/2P2P2/1R3K1R w - -,f3d3
1r2k1r1/5p2/2n1b2p/pP1p1p2/2pP4/2P3P1/3NPPBP/2RK3R b - -,c6a7
8/5nk1/8/1N1p1P1P/5K2/8/8/8 w - -,b5c3
5rk1/pb3ppp/1n2p1q1/1pQ1P3/2p1P3/P2r2P1/PB3RBP/5RK1 w - -,f2f4
6k1/1p3pp1/1p6/2pP2r1/2P5/8/P2K4/1R6 w - -,b1b6
6n1/1p1rrppk/2p1q2p/p1b1p3/P1P1P3/2P3PP/2B1QP2/1RB1R1K1 w - -,g1g2
8/q5k1/3p1p2/1QpPpPn1/4P3/3K4/1B6/8 b - -,a7a2
r4rk1/pNqnppbp/3p2p1/5P2/4P3/2NbB3/PPP3PP/R2Q1RK1 w - -,c2d3
2r1kb1r/1b3pp1/p2p1n1p/4p3/PpB1P3/4BP1P/1PPN2P1/2KR3R w k -,h1e1
rn1qkb1r/pp3ppp/2p2p2/5b2/3Pp3/2N5/PPP1QPPP/R3KBNR w KQkq -,e1c1
8/8/4k2R/5p2/3P4/6KP/8/3r4 b - -,e6d5
4rr1k/ppp3pp/1bnq4/3p4/P2P4/2PbBN1P/2Q2PP1/R3R1K1 w - -,c2d3
r2qnrk1/1p1n1ppp/p2p4/P1pPp1B1/2N1P3/2N5/1PP1QPPP/R4RK1 b - -,d8g5
6r1/pp1bpk2/q2p1npQ/3N4/2r1P1p1/1N3P2/PPP5/1K1R3R w - -,d5f6
2r2rk1/1p1bppbp/pq1p1np1/8/2P1P3/1PNQBN2/P4PPP/R4RK1 b - -,b6a5
rnbq1rk1/pp2ppbp/3p2p1/2p1P3/3P1P2/2PB1N2/P1P3PP/R1BQK2R w KQ c6,c1e3
