8/6nk/8/5pr1/4Q3/3K2p1/6r1/8 w - -,e4g2
6k1/2pq2p1/p3p2p/1p6/8/4Q2P/PP3PP1/R2r2K1 w - -,a1d1
8/5kpp/8/3K4/7r/4RP2/8/8 b - -,h4f4
r2q1rk1/pb2bppp/1pp1pn2/2n5/2P1P3/1P3NP1/PB1N1PBP/R2Q1RK1 w - -,e4e5
3R4/8/3n4/3kpp2/1K1p4/1Nr5/8/8 b - -,f5f4
8/R7/3B2k1/3P4/4n1P1/6P1/3b2K1/8 w - -,d6e5
r4k2/1q3pp1/p3pn2/1p2Q3/8/2B3P1/PP3P2/1B4K1 b - -,a8d8
2r3k1/1p1b2pp/1q2p3/pP1p4/P2P4/5N2/5PPP/2Q1R1K1 w - -,c1a3
1k1r4/1p1n4/p3b3/2p1p3/2P1p1B1/4N1P1/PPKR3r/3R4 b - -,h2d2
2rr2k1/1bq1bppp/4pn2/Bp6/3pPP2/1P1N2P1/2P1Q1BP/R1R3K1 b - -,c7c6
r1bqr1k1/p4p1p/2p1pbpB/2p1p3/8/2NP1N1P/PPP3P1/R3QRK1 w - -,c3e4
8/2k2p2/p3pn2/4p2r/B1P3p1/P5P1/1P3P2/4R1K1 b - -,e5e4
r4r2/1pp2pk1/pb1q1n1p/nP2pB2/P6B/2p3Q1/5PPP/R3R1K1 b - -,g7h8
rn1qkb1r/ppp2ppp/4pnb1/3p4/3P1B2/2NBP3/PPP2PPP/R2QK1NR w KQkq -,g1f3:h2h4
3rk2r/1p3pp1/1q5p/2b1Pp2/p2pb2N/Pn1B2P1/1P2Q1P1/1RB1R2K w k -,h4f5
1r3rk1/1p2bpq1/1n1p2p1/pPp1n2p/P1P1PR1P/3PN1Q1/1B2B1P1/R5K1 w - -,d3d4
r3k2r/2q2p2/1b1p3p/3Rp1pn/1pP1P2n/p6P/PPQN1PPB/4KB1R w Kkq -,b2b3
8/2r5/8/2p5/P1Nk2R1/8/6K1/8 b - -,d4c3
1rb1k2r/p3pp1p/3p2p1/pP6/4P3/1P6/P2K1PPP/2R2B1R b k -,c8b7
4q3/4P2k/p5pp/2p1Q3/2P2P2/8/7P/6K1 b - -,h7g8
1r1r2k1/1q3p2/3b2pp/p3pQ2/2B2n2/1P3P2/P2R1BPP/5R1K w - -,f5f6
8/6kp/6p1/3Q1p2/q7/6PP/4PP2/6K1 w - -,e2e3
r1bqk2r/1p1nbp1p/4p3/p1Ppn3/3N2p1/2PB4/PP1N1PPP/R1BQR1K1 w kq -,d3b5
7k/5Rb1/p5np/1pp5/3pb1P1/1P4K1/P2R4/8 b - -,d4d3
r1q2knr/1bp1npb1/pp1pp1pp/8/2PPP1N1/3BBP1P/PP1QN1P1/R4RK1 b - c3,c7c5
3r2k1/p4ppp/3np3/2p5/2P5/2PP2P1/P4PBP/3R2K1 w - -,d1b1
r4rk1/pbq1bp1p/1pp1pnp1/4N1B1/2PP4/3Q4/PPB2PPP/3RR1K1 b - -,a8d8
q3kb1r/3b1p1p/2np4/1p1Npp2/1pP1P3/8/PP3PPP/R3KB1R w KQk -,d5c7
8/2n5/4pkNp/5pp1/2BK2P1/5P1P/8/8 w - -,g6e5
r3k2r/1pp4p/3nqppb/p3p3/P3P2B/2P2P2/1PQN2PP/R3K2R w KQkq -,h4f2
3rr1k1/ppq2pp1/2pb4/3p1PP1/3Pp1n1/5n2/PPP2PB1/R1BQRNK1 w - -,g2f3
r4rk1/1bq1bppp/p2ppn2/1pN3B1/4PPP1/P1NB4/1PPQ3P/2KR3R b - -,d6c5
3r1rk1/5p2/1q4pp/1P2p3/2Q1N1P1/3n4/1P2R1KP/5R2 b - -,d3f4
4R3/8/p4r2/P2b4/1p1k1pB1/2p5/1PP2KP1/8 w - -,b2c3
3r4/Rpr2kp1/2q2p2/3b1N1p/2p2Q1P/2P3P1/5P2/3R2K1 w - -,f5e3
8/8/1p6/8/3K3k/8/8/8 w - -,d4e4
3r1rk1/1p2ppbp/2p1n1p1/p3P3/8/PP2N1P1/1B2PP1P/R2R2K1 w - -,e3c4
2br1nk1/1pq1bpp1/7p/3np3/1P2P2N/3PB1PP/5PB1/Q4RK1 w - -,e4d5
r1b1kb1r/2qp1ppp/p1n1p3/1p6/4P3/2N1B2Q/PPP1BPPP/R4RK1 b kq -,c8b7
2r1r1k1/1bqn1p1p/1p1p2p1/pP1P4/P1pRNP2/2Q3P1/4P1BP/4R1K1 w - -,e2e3
4r3/p1p2p1k/1nq3p1/1pN4p/3QP2P/1P3P2/P2R2P1/6K1 b - -,e8e7
1krR4/pp3pp1/4p2p/q6P/8/6P1/PPP2P2/1K1Q4 w - -,d8d7
6k1/p5p1/2P1p2p/8/8/6PP/qr4BK/3Q4 w - -,d1d8
r4rk1/pb3ppp/1p1pp3/8/1PPP1n2/P1N2P2/3K2PP/RR3B2 b - -,f4g6
r4rk1/ppqnb2p/2p1pnp1/2Pp4/3PPP2/1QN5/PP2B2P/R1B2RK1 w - -,e4e5
r1bq1rk1/pp3ppp/2np1n2/2p1p3/2P5/2PP1NP1/P1Q1PPBP/R1B1K2R w KQ -,f3d2
2r1rkn1/1pp2ppp/p1bp4/3N4/4PP2/2P3P1/PPB2K1P/3RR3 w - -,d1d2
r1bqk2r/pp1nppbp/2p2Np1/8/3P4/5N2/PPP1BPPP/R1BQ1RK1 b kq -,d7f6
r4rk1/ppq2pbp/2npp1p1/3pP3/3P1P2/P2BB2P/1PP2QP1/2R2RK1 b - -,c7b6
8/8/8/8/1bk2B2/p1n5/1K6/8 w - -,b2a1
2r1kb1r/1bqn1ppp/pp1p1n2/4pP2/1PP1P3/2NQ4/P1N1B1PP/R1B2RK1 w k -,c1d2
r6k/1nq2n1r/1p1p1b2/pPpP1p2/QPN1pP2/P3B1pP/2R3B1/1R5K w - -,e3c1
br2r3/4kppp/p1qp1n2/P3P3/1p2P3/3B2Q1/1PPB2PP/R3R1K1 b - -,d6e5
1rr3k1/2qbbnnp/R2p2p1/1p1PpP2/1B6/2P1NN1P/2B1QPP1/R5K1 b - -,g6f5
r1bqk1nr/pp1n1pbp/3p2p1/2pPp3/2P1P3/3B4/PP2NPPP/RNBQK2R w KQkq -,b1c3
3r1rk1/ppp1b1p1/2q4p/3nPb2/3Bp3/1QN5/PP2PPBP/R2R2K1 b - -,g8h8
1k6/pp4p1/3r1p2/8/4p1PP/PPn2BP1/1R5K/8 w - -,b2c2
8/6b1/3N4/k2K4/1p6/1p6/P7/8 w - -,a2b3
1r1r2k1/p6p/n3p1pb/1bp2p2/6n1/PP4PN/1BK1PPBP/1N1R3R w - -,b1c3
rn1qkb1r/pbp2ppp/1p2pn2/3p4/3PP3/P1NB4/1PP2PPP/R1BQK1NR w KQkq d6,e4e5
r2r3k/1bqn1pp1/2p1p2p/2b5/pp6/3NP1P1/PPQB1PBP/R2R2K1 b - -,c7b6
8/8/p2rk1p1/2R2p2/PP1prPP1/3R1K2/8/8 w - -,a4a5
3r1rk1/1p3ppp/p2q4/2ppnP2/4P1P1/2P5/PPQN2P1/R4R1K w - -,c2d1
r4rk1/p1pq2np/1pn3pB/3pP3/3P1pP1/P1P2P1B/3Q1R1P/R5K1 b - -,c6a5
2br1r2/4p1k1/p5p1/p1pPpq2/6pP/1PN3PB/2P1Q3/3RR1K1 w - -,h3g2
8/5p2/p2rnkpp/1p6/3pR3/P5PP/1P3KP1/3R4 w - -,f2e1
r1b1k2r/ppp1npp1/3p1q1p/3Pp3/2P5/2Q1PN2/PP3PPP/R3KB1R w KQkq -,f1d3
8/1p1bkpb1/1p4p1/3p3p/3P4/4B1P1/PP1KBP1P/8 b - -,d7f5
4n2r/4k1b1/p2p2p1/P1pPp1P1/1pP1P3/1P2B2q/4B1N1/5QK1 w - -,e2f3
8/p7/5kp1/nPbK1pNp/5P2/6P1/7P/8 w - -,d5c5
8/8/k7/2K5/B1N2n2/P7/8/8 w - -,a4b5
r1k5/1pp2p1p/p4p2/8/2p1n2B/1P6/PK4PP/3R4 b - -,b7b5
r4rk1/pp1nbppp/1qp1pn2/3p4/2PP4/1PNBPQ1P/P4PP1/R1BR2K1 b - -,b6a5
r2qk2r/p1nbb1pp/2p2p2/2p5/Q1N2B2/2NP2P1/PP2P2P/R3K2R b KQkq -,c7b5
7k/8/1p1Q4/pq1p3p/3P4/1P2P2P/5PP1/6K1 b - -,b5b3
2br4/1p2r1kp/p1p5/3pPpp1/3NnP2/4R1P1/PPP3BP/3R2K1 b - f3,g7g6
3rr1k1/4bppp/Q2B4/1p1npN2/8/2P5/1P1q1PPP/3R1RK1 b - -,d2g5
r1b2rk1/1p1n1pp1/p3pn1p/q2pN3/1b1P3B/2NBP3/PPQ2PPP/R4RK1 b - -,b4c3
1k6/4Kr2/7R/3P2n1/P5P1/2n5/8/8 w - -,e7d6
r2r2k1/1b3pp1/4n2p/p1bpPN2/2p5/1pN4P/1P4P1/R2R1B1K w - -,f5d6
1r3r1k/pb2q1pp/8/2PBp1P1/1p2nP2/4B3/PPP4P/R3QRK1 w - -,c5c6
8/r3NKpk/7p/7P/8/5R2/8/8 b - -,a7a5
5k2/6R1/4pp1p/3p2pr/3P4/6P1/5P2/6K1 w - -,g7h7
1rb1r1k1/p1b1q1pp/2P1p1n1/1N2PpP1/2p2P2/4P3/PB2Q2P/1R1R3K w - -,e2c4
4R3/kpp5/2r1Nb2/8/8/8/4K3/8 b - -,b7b5
r2k1b2/7r/pqb1p1p1/1p1pPpPp/3P1P1P/2PB4/QP3B2/1RR3K1 b - -,h7a7
r3k2r/pp1np1bp/q1p2pp1/3pPb2/3P1P2/1PN1B2P/P1PQN1P1/R3K2R b KQkq -,e8g8
8/1r3pkp/2R3p1/1n6/B4PP1/8/5PKP/8 w - -,c6c5
8/pp3pkp/5rp1/8/5QP1/3p1P2/7P/3R3K b - -,f6f4
6k1/p1q2ppp/1p3n2/3Br3/2P5/P5P1/3Q1P1P/3R2K1 w - -,d1e1
r5k1/3qpp1p/p2p2p1/1p1P4/3QP3/1P3P2/P5PP/2r2RK1 w - -,f1c1
7k/5p2/7p/8/P2b4/6P1/2r2PKP/5R2 b - -,h8g7
2r3k1/pb4b1/1p1q1nNp/n4p2/2p2P2/N1P3P1/PP4BP/3RB1K1 w - -,d1d6
r3k2r/pp2npp1/1np1pb1p/8/2PP2P1/PP2BB1P/4NP2/R4RK1 b kq -,f6g5
rn1qk2r/p3bppp/1pb1p3/3n4/2BP4/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2r3k1/3n3p/2p1b1p1/pr1NPp2/3P1P2/bP2B1P1/2R3BP/R5K1 b - -,b5b3
8/1b1kb3/1p1np2p/p2pPpp1/8/PP2PPP1/1B1K3P/4NB2 b - -,d6e8
rn1qk2r/pbppbppp/1p2pn2/4P1B1/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f6d5
8/7p/1p3k2/2pbnp2/2P5/1P2K2P/P1B5/8 w - -,c4d5
r3r1k1/1p3pp1/2p2nbp/p3q3/PbQ1P3/2N1BPP1/1P4BP/R2R2K1 w - -,c3e2
5k2/3bppb1/pq1p2p1/n1pP2Bp/nrP1P3/6P1/P2N1P1P/1RQN1BK1 w - -,c1c2
3b3r/3R4/4pp2/3p1k1p/5P1B/2P1PK2/8/8 b - -,f5g6
r1b2rk1/ppppnppp/2n2q2/1N6/4P3/2P1b3/PP1Q1PPP/RN2KB1R w KQ -,d2e3
r2q1rk1/1p2ppbp/2n1b1p1/p7/P1NpP3/BP1P2P1/2nQ1PBP/R4RK1 w - -,d2c2
1r6/5pk1/3p1bpp/1P1P4/2rp4/5QPP/5P2/1R4K1 b - -,b8b6
8/p1b5/7p/6p1/1Pk2PP1/P4KBP/8/8 b - -,g5f4
r4r1k/3Q2p1/p1n5/3p4/2pP1P1q/P1P3bP/1P4P1/R1BR1BK1 b - -,c6a5
5rk1/4Qpp1/pqr1pn1p/1p6/3R4/P1N3P1/1PP2P1P/3R2K1 b - -,c6c7
6qk/ppp3r1/5B1p/n3p2P/2P3Q1/8/PPB2PP1/4R1K1 w - -,e1e5
8/2R2p2/3R4/1pPb4/3k4/8/2r5/5K2 w - -,c7f7
5rk1/pp2r1pp/2pb3q/3pNpnb/3P1P2/1PB1P1P1/P1RQ2BP/5RK1 b - -,g5f7
r1bq1rk1/bpp1nppp/p2p1n2/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 w - -,f1e1:f3h4
8/5k2/7p/2NP4/p1P2P2/2P5/8/3b3K w - -,d5d6
6k1/3R3p/p7/1p4K1/2p4P/P1P3P1/1P6/4r3 b - -,e1e2
3r1rk1/pp1b1ppp/1qn1p3/8/8/2Q1N1P1/PP2PPBP/R2R2K1 w - -,e3c4
r1bqr1k1/pp3ppp/2p1p3/P2n4/2NP2n1/2P1B1PP/2Q2PB1/R4RK1 b - -,g4e3
1r3qk1/r2nppb1/p2p2p1/1b1P3p/P1P1P3/2N4P/2QB1PP1/2RBR1K1 b - -,b5c4
4rq1k/3Qb2p/1rp5/p2npNp1/P5P1/3R4/BPP2PP1/4R1K1 b - -,d5f6
r2qk2r/1b1nbpp1/p2p1n2/1p2p1Bp/4P3/2N3PP/PPP1NPB1/R2Q1RK1 w kq -,a2a3
3r1r2/pp2b2Q/1qp2kR1/3b3P/2BP1n2/8/PP6/1K6 b - -,f6f5
rn1qkb1r/pp2pppp/2p5/3n3b/2B5/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,d2d3
1rq2rk1/1pp2pbp/4bnp1/p3p3/P1P1P3/2N1B1PP/1P2QPBK/R4R2 b - -,c7c6
3rrbk1/pp3pp1/2p5/2Pp1bqp/1P1QB3/P1N1P3/1B3PPP/3R1R1K b - -,d5e4
5nk1/5pn1/2p3p1/1pPp2P1/1P1P1NB1/4QP2/q5K1/8 w - -,g2g3
8/4kr2/4p3/p7/PpRPK2P/1P4P1/8/8 w - -,c4c5
r3r1k1/1p2qpbp/2p2np1/p1n1pbN1/P1P5/BPN3P1/2Q1PPBP/R2R2K1 w - -,g5e4
rnbqk1nr/ppp2pbp/3p2p1/4P3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,d6e5
r2r2k1/pbn1qppp/1p6/2ppN3/Q2P3P/P1P1P1P1/5PB1/2R1R1K1 w - -,a4c2
8/8/8/8/r5pk/2R5/6p1/6K1 w - -,g1g2
3r4/5nkp/q1p1bpp1/p1Q1p3/P3P3/B3N2P/5PP1/1R1r2K1 w - -,b1d1
6k1/1p4rp/2p5/5r2/1P1Pq3/P5PQ/4PP2/3RR1K1 b - -,h7h5
r1r5/2q2p1k/p3p2b/4P1pP/1p3N2/3b2Q1/PPP5/1KR2R2 w - -,g3d3
5n1k/p1Q5/7p/3QPKpP/8/1P3P2/6P1/6qn b - -,g1e3
1r5r/3q2bk/p1pp2p1/4npB1/N1p4P/4P1P1/PP2QPK1/1R1R4 b - -,c6c5
1r2r1k1/nq2pp1p/pNbp2p1/B3b3/1PR1P3/4QPPB/7P/2R4K w - -,h3d7
3q1rk1/5p2/1p1p2p1/pB1P2n1/P1P3Q1/5PPp/7P/4R2K b - -,f7f5
2b5/1B4pp/3k4/4p3/8/7P/6PK/8 w - -,b7c8
1rbn4/pp2kpbp/4p3/5p2/5P2/1NN3P1/PPP3BP/1K5R w - -,h1d1
r2q1rk1/pp3ppp/3b1nb1/3Bp1B1/4P1PN/1Q5P/PP3P2/R4RK1 b - -,d6e7
4k3/2p5/1pqpn3/p3p3/P1P1PrPb/1PP1Q1N1/K7/1R5N b - -,c6c5
1qr2rk1/5ppp/4p3/pp1p4/3P4/P1PQ2P1/1P3P1P/R1R3K1 b - -,g7g6
rnb1k2r/pp3pbp/2p2np1/q7/3BP3/P1N4P/1PP3P1/R2QKBNR w KQkq -,d1f3
3r1rk1/2q1bppp/b3p3/4P2P/n1Pp1B2/1Q4P1/1P1N1PB1/2RR2K1 b - -,a4c5
8/1p2k3/2p2p1p/7P/4PP2/3K1B2/bN3b2/8 b - -,b7b5
rn1qkb1r/pp3ppp/2p1pnb1/8/2BP4/6NN/PPP2PPP/R1BQK2R w KQkq -,e1g1:h3f4
1rbq1rk1/p4ppp/1p2pnn1/8/1P1P4/2N2B2/P2B1PPP/2RQ1RK1 w - -,f1e1
8/8/bp1k3p/p3p1pP/4B1P1/bP2PK2/P2B4/8 w - -,e4f5
5rk1/1pp2p1p/2npbqp1/2n5/2P1PP2/rP4P1/2BQNR1P/1R1N2K1 b - -,f8a8
4r3/2p2kb1/2p3p1/1bB2p2/p7/4Rn2/1N3PP1/3R2K1 w - -,e3f3
4r1k1/1p1npp1p/r2p2p1/2qP4/p1P5/4R3/PP1Q1PPP/4RBK1 b - -,d7e5
rnbqk2r/pp3pp1/4pn1p/2bp4/2P5/P1N2N2/1P2PPPP/R1BQKB1R w KQkq -,c4d5
5k2/p7/5P2/P6p/2bK4/6P1/8/8 w - -,d4c4
2r5/pp2qpk1/r1b1pnpp/4N3/1PPR4/P3Q3/2B2PPP/3R2K1 w - -,h2h4
r3k2r/1p1nbp1b/p3p1pp/q2pP3/3P1PQ1/1PN2N2/P2B2PP/R4RK1 b kq -,e7h4
5k1r/1n2pp1p/3p4/1bp2PP1/8/5R2/PPP4P/1K2R3 b - -,b5c6
r5k1/p1B2r1p/B3ppp1/3b1n2/PP1P4/2R2P2/5KPP/3R4 b - -,f7d7
6k1/N3bpp1/1p2pn1p/4B3/1PP5/P6P/3r1PP1/4R1K1 b - b3,f6d7
1r1q3k/1pNb2b1/p2pp2p/3p1pp1/P2Pn3/Q3P1P1/1PR2PBP/2R3K1 b - -,d8e7
2rnq1k1/1p1b1rpp/pB2p3/2RpPp2/1P3P2/P2P4/4NQPP/5RK1 b - -,c8c5
2rq4/pp2n1k1/3pr2p/2p2p2/1Pbn4/P1N1P1P1/1B1Q1PBP/1R1R2K1 b - -,d4b3
8/2p1k1p1/1n6/p2P1p1p/5P1P/P2K2P1/8/8 w - -,d3d4
r1bq3k/1pp1b1pn/p1np3p/P2P1r2/2B1p3/2P1B3/1P1N1PPP/RN1QR1K1 b - -,c6e5
4r1k1/5qpp/2Q2p2/1R6/p2P4/1p2P1P1/5P1P/6K1 b - -,h7h6
5rk1/6pp/4p1b1/p1n1P1P1/7Q/pqP2P2/1P1R4/K6R w - -,h1b1
r3qrk1/2pb1pbn/1p1p2p1/p7/P1PPp2p/2P1P2P/1R1NBPPB/3QR2K w - -,b2a2
2bq1rk1/1pp1npbp/3p2p1/r2Pp3/2P1Pn2/2N2N2/P4PPP/R1BQRBK1 w - -,a2a4
2r2k2/1p3pp1/1n1Rp1p1/p7/2P4P/PP3N2/5PP1/6K1 b - -,c8c6
2r1q1k1/5ppp/1Rn1pb2/1QPp4/p2P4/4PPB1/4N1PP/6K1 w - -,b5a4
r5k1/1pq1b1pp/p1N1pr2/2np4/5PQ1/2N1B2P/PPP3P1/4RRK1 b - -,c7c6
6k1/2p2ppp/8/4P3/1Q6/3P2qP/2P5/3K4 b - -,h7h5
r1b1qrk1/1pp3pp/2n1pb2/p2p4/2PP4/1P2pPP1/PB2P1BP/RN1QR1K1 w - -,b1a3
r1b1k2r/pp2pp1p/n5p1/2P5/7P/8/PP1NPPP1/R3KB1R w KQkq -,a1c1
r2qkb1r/pppb1p1p/2n3pB/4p3/7Q/2P2N2/PP2PPPP/R3KB1R w KQkq e6,h4d8
4r1k1/ppp2ppp/2nB4/5b2/2PPq3/P4N2/5PPP/R2Q1BK1 b - -,c7d6
8/1p4k1/p7/6Kp/8/1P1P4/2P5/8 b - -,h5h4
rnbqkbnr/p2p1ppp/2p1p3/1p6/3PP3/2P5/PP3PPP/RNBQKBNR w KQkq -,f1d3
1rq5/p3p1kn/2np2p1/2p2rPp/1p3P1P/3P4/PPPQN1BK/R4R2 b - -,e7e6
2r1kb1r/pp1b1p1p/1qn1pp2/3p4/3P4/2N1PN2/PPQ1BPPP/R4RK1 b k -,f8e7
3r2k1/6b1/R6p/3b2p1/2p5/2Pn2P1/3N1B1P/4R1K1 b - -,d3e1
r5k1/2R2ppp/p3p3/1p6/3b4/3n3P/2N2PP1/4BK2 b - -,d4b6
8/5k2/8/3p2Rp/3P2p1/6r1/5K2/8 b - -,h5h4
1q2r3/2p1r1kp/1pbpnp2/6p1/1PP1P3/1BQ2PB1/R5PP/3R2K1 w - -,a2d2
rn2k2r/pppqbppp/3pb3/8/5B2/2PB1N2/PPPQ1PPP/R3K2R b KQkq -,b8c6
8/p6p/3kp2K/R7/5P1P/P5P1/6r1/8 w - -,a5g5
r2q1rk1/pp3ppp/1np2n2/5b2/3P4/1BN5/PP1QNPPP/R3R1K1 b - -,d8d7
r2r1b2/pp1n1pk1/2p2pp1/8/3B2R1/1B6/PPP2PPP/4R1K1 b - -,d8e8
8/6p1/2p5/1n1k1p1p/3P1P1P/4K3/8/8 w - -,e3d3
r1bqr1k1/ppp1pp1p/5npb/6N1/3nPP1P/B1NP2P1/PP1Q2B1/2R1K2R b K f3,e7e5
2r3k1/1p1nr1p1/pq1bpnBp/2pp4/P2P1P2/2P1B2P/1P3QP1/RN3RK1 w - -,a4a5
8/1P6/2P5/6k1/6p1/2r4p/R6K/8 b - -,c3b3
8/5ppk/8/p6p/4P3/1Pp1N1Pb/P3K3/8 w - -,e2d3
1q3r1k/4p2p/2PpQn2/1Pp2p2/P2b1P2/8/4B1PP/4BR1K b - -,b8d8
rnbq1r1k/pp4bp/3pN1p1/4np2/2B5/2N1P2P/PP3PPB/R2QK2R b KQ -,c8e6
2R5/2p4k/1p1pn3/p3r2P/P1PNP3/1P2K3/8/8 b - -,e6c5
r1bqk2r/1ppnbppp/p3pn2/8/2BP1B2/2N1PN2/PP3PPP/R2QK2R b KQkq -,b7b5
r1bqkb1r/pp1ppppp/5n2/2p5/2BnP3/2N5/PPPPNPPP/R1BQK2R b KQkq -,e7e6:a7a6
8/2k2n1P/1p6/P7/1PK1B3/5P2/8/8 b - -,b6a5
r5r1/p1kq3p/3p1P1b/1p1pn2B/2p4B/2P5/PP2Q1PP/3R1RK1 b - -,e5d3
3r4/8/1p2pkp1/pP6/2PP4/6P1/1P3K2/3R4 w - -,f2e3
1Q6/p1r3k1/6pp/2q5/3p4/P2P2K1/5N2/8 b - -,c5g5
7R/8/p1rbk3/1p6/1P1B2K1/P1P4p/8/8 b - -,h3h2
r1b1k2r/2q1bppp/p2ppn2/2n5/1p1NP1P1/1B2BP2/PPPQN2P/2KR3R b kq -,a8b8
r1b1k2r/bpp1qppp/p1np1n2/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 b kq -,g7g5
8/8/2k2ppp/ppp5/2P1PP1P/1K4P1/P7/8 w - b6,c4b5
r1bqkb1r/ppp2ppp/2n5/4p3/4p3/3B1N2/PPPP1PPP/R1BQK2R w KQkq -,d3e4
rn5r/p2bkp2/1qp1p1Bb/2NpP2p/1P1P1N2/2P5/4QPPP/R3K2R w KQ -,e2h5
5rk1/2r1b1p1/2Np4/3PpBpp/1p5P/7b/PPP2R2/1K1R4 w - -,c6e7
r3kb1r/pbqp2p1/3n1pB1/2n5/2PN4/P1B5/2QN1PPP/R3K2R b KQkq -,e8d8
4r3/5pk1/p4Np1/2R3Qp/P2p4/3P1PK1/q6P/8 w - -,f6h5
2r3k1/pp3r1p/3p2p1/3Q3P/5qP1/8/PPP4R/2K1R3 w - -,h2d2
