8/7k/8/2P3P1/1Q5P/8/KP3q2/8 b - -,f2f7
b4bk1/2q4p/3p1pp1/1pnPp3/2p1P1P1/2P1B1P1/1PBN1P2/Q5K1 b - -,a8b7
r1br2k1/2qp1ppp/p1n1pn2/1p6/1b2P3/1NN1BP2/PPPQ2PP/1K1R1B1R w - -,d2f2
rnbqkbnr/ppp1p1pp/3p4/5p2/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,g8f6
8/8/5PkP/5r2/7K/6R1/8/8 b - -,g6h6
4r1k1/1q3pbp/pr1p1np1/2pP4/8/1P1BB3/P1Q2PPP/3R1RK1 w - -,d3c4
r1b3k1/6q1/n1p1p1p1/1pNrPp1p/p2P1PPP/2P1Q3/P1B2K2/3R3R w - -,c5a6
r1bq1rk1/pppp1ppp/2n2n2/4p3/2P5/2P2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
2r5/pp2kp2/4bn1p/3p2p1/3N4/3BP1P1/PP2KPP1/R7 w - -,a1h1
4r3/8/p5R1/1p1p4/3kn1PP/P2B4/1PP3K1/8 w - -,h4h5
6k1/3b1p1p/3p2p1/2pP4/2B1P3/3Q3P/1q3PP1/6K1 b - -,b2e5
r2qkb1r/pp1n1ppp/2p1p2n/3p4/3P1P2/3BPQ1P/PPP3P1/RNB1K2R w KQkq -,g2g4
3r1nk1/1p2p1bp/p1np2p1/4p3/2P4P/5NPB/PP2PP2/2RR2K1 w - -,f3g5
r4k2/2p2b2/5p2/1KN1p3/2P1P3/PR6/8/8 b - -,a8b8
r1bqr1k1/ppp1bppp/1n3n2/4p3/3Q1B2/2N2N2/PPP1BPPP/2KR3R w - -,d4e5
3q1nk1/2p2rp1/1p1p1n1p/p2P1P2/3B1P2/2Pb1B1P/P5Q1/1R2R1K1 w - -,b1d1
r3k3/ppp1bp2/2p1R3/6pp/8/7P/PPP2PPB/R5K1 b - -,f7e6
8/8/8/4Q1k1/p2K4/q7/8/8 b - -,g5g4
r1bqkb1r/1p1p1ppp/p1n1p3/2p5/4PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e1g1:d2d3
4rrk1/3nqppp/1pp1p3/2Pp1n2/p2P2N1/PP3PP1/1BQ1P2P/3R1RK1 w - -,e2e4
r1bq1bk1/pp2rppp/3p2n1/1BpP3n/4P3/1QP2N1P/PP1N2PB/R3R1K1 w - -,d2c4
2r3k1/5p1p/pR4p1/2P5/P5PP/1P4Q1/1K3P2/5q2 b - -,f1e2
6k1/p2br1p1/1rp1pp1p/2Rp3q/1P1P1P1P/P3RNP1/5PK1/2Q5 w - -,c5a5
2qRkb1r/pn2nppp/1p2p3/4P3/2p5/BP3N2/P1Q1NPPP/R5K1 b k -,b7d8
r3n3/pp3k1p/b1p3p1/8/5nP1/1PN1R2P/P4PB1/3R2K1 w - -,d1d7
r3b2k/pp4qp/2p3n1/4P3/1PBQP3/P4R2/7P/4K2R w K -,d4d6
r2rbk2/ppn1b1pp/2p1pp2/2P5/PPB1PP2/2N1B3/6PP/2R2RK1 b - a3,a8b8
R5bk/6p1/3b3p/pP6/P2P1P2/3r2P1/5K2/8 b - -,d3d4
8/p7/2kn1p1p/2p2p1P/2PP1K2/2PB4/P7/8 w - -,d3c2
2br2k1/2r2pb1/1n4pp/pB2p3/P7/2P1NPP1/4N2P/1R1R2K1 b - -,d8d1
1rb1nrk1/1p1nqpbp/p2p2p1/2pP4/P4B2/2N1PN1P/1P2BPP1/R2QR1K1 w - -,f3d2:a4a5:e2f1
2nr4/ppk4p/2p1p3/2P1P3/8/1B2Q2P/PP3Pq1/1K5R w - -,h1e1
r3rbk1/5pp1/p7/1pp5/4PN1N/1bP2P1P/1P6/3RK2R w K -,d1d2
1r1q1rk1/7p/2bp2p1/1p2p3/4p3/P2Q1P1P/NP4P1/R3R1K1 w - -,f3e4
r5r1/2p1n2k/3p2pb/pPpPp2p/2P1Pq1P/R4P1B/1P2KB2/3Q2R1 w - -,h3e6
8/p3k2p/1pprprp1/2n5/5P1P/1P1BR1P1/P1P5/3R2K1 w - -,d3e2
r2qr1k1/3b1ppp/2pb2n1/p2p4/P2P4/2NBP2P/2QN1PP1/1R2R1K1 b - -,a8b8
r3r1k1/5pp1/1p4p1/1Pnp4/3Nq3/4P1P1/R1Q2PP1/2R3K1 w - -,c1a1
3r4/p5kp/4n1p1/2P2p2/3P4/4K3/PN1R3P/2rN4 b - -,f5f4
5bk1/p4pp1/1p5p/1P1p4/5P2/2PR2P1/5BPK/2r5 w - -,g3g4
3r4/1Bn1kppp/p1P1p3/N2r4/R5P1/7P/P4PK1/8 b - -,d5d4
8/6k1/8/5p1R/4bP2/5r1P/3K4/5B2 w - -,f1e2
2kr3r/ppp1nppp/2nqb3/3p4/3P4/2PB2Q1/PP2NPPP/RN2K2R w KQ -,g3d6
r1bnk1r1/pp3p2/4pQp1/2npP1Np/qB6/P2B4/2P2PPP/R4RK1 b q -,b7b6
2kr3r/pp1nn1b1/q1p1pp2/7p/1PNP3P/3QBN2/P4PP1/R4RK1 b - -,d7b6
r1b2rk1/1ppnqppp/3p4/p2Pp3/2P5/1PQ2NP1/P3PPBP/R4RK1 b - -,f7f5
2k3r1/p4pr1/1p1Qp2p/q2pPp1P/2pP1P2/2P5/2P2RPK/6R1 b - -,a5a4
r1r3k1/p3bppp/Pp2pn2/1N6/2p5/2P3P1/1P2PPKP/R1B2R2 w - -,c1g5
3rk2r/Q3npb1/2pp2pp/8/2P1Pp2/3P1NPq/PP3n1P/R1B2RK1 w k -,a7f2
5r2/4p1kp/3p4/3P2pq/3QP3/5bP1/6BP/4R1K1 b - -,g7g8
r1bqr1k1/pp1n1ppp/2pb4/3p2n1/3P4/2P4P/PPB2PP1/R1BQRNK1 w - -,e1e8
r1b2rk1/2qn1pbp/pppp1np1/8/1P1PP3/2N3P1/P2BNPBP/R2Q1RK1 w - -,a1c1
5R2/5p2/2p5/2Np4/P2P3p/4k3/r7/7K w - -,f8c8
rr4k1/1bp1bppp/4pn2/1p1q2B1/pn1P4/4PNP1/P2N1PBP/RQ3RK1 w - -,f1c1
3r4/1p2kpp1/p3p2p/2Pn4/1P3P2/P4NP1/4K2P/2R5 w - -,f3e5
2r3k1/5bpp/3R1p2/4pP2/4P3/q1p2QP1/7P/2R1KB2 b - -,a3c1
2krr3/p2bR3/1p3ppp/nP6/3p4/P5P1/2P1BPP1/1RBK4 w - -,e7e8
4R3/2KP1k2/8/8/8/4p3/8/3r4 b - -,d1c1
1r1r2k1/1bq1bppp/p2ppn2/1p2n3/3NP3/2N1BPP1/PPP1Q1BP/2R1R1K1 w - -,c3d1
1r6/4k3/3pp2p/4b1pP/4P3/prP2P2/1P3P2/1RKR4 w - -,c1c2
r1b1nrk1/1p1n1pbp/p2p2p1/q1pPp3/P3P3/R1N1B2P/1PPN1PP1/2Q1RBK1 b - -,f7f5
r2q1rk1/1pp2ppp/p1nb1n2/4p3/3P2b1/1BN1PN2/PP2QPPP/R1BR2K1 w - -,d4d5
8/8/8/3pPk2/1p1P4/n2K4/8/8 w - -,d3d2
8/5p2/6p1/1kp2p1p/7P/1PK1P1P1/2R2P2/3r4 w - -,c2d2
r7/5pp1/brpk3p/p1Np4/P2P2P1/1P3P2/2RR1KP1/8 b - -,a8e8
8/5K1N/3k2r1/8/8/8/8/8 b - -,g6g2
4r2r/8/p2pp1kp/1p2np2/3R4/qP2QpPP/5P2/4RBK1 w - -,e1d1
6k1/1pnr2p1/p3N1p1/1bq1P1Np/7P/P2PQ3/1P6/4R2K b - -,c7e6
r1bqkb1r/ppp3pp/2np1n2/4pp2/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,a1b1:e2e3
r4r2/1pp1qpkp/3pb1p1/pP6/Q1P5/4P1P1/P4PBP/2R2RK1 b - -,a8a7
2kr4/1bp3pp/p1n2q2/1pb5/3P4/1BP5/PP4PP/R1BQR1K1 b - -,c6d4
7k/2pn2p1/p6p/4pB2/q3P3/2P2R1P/3Q1PPK/3r4 w - -,d2e2
6r1/pR2bkpp/2r1pp2/8/3P1B2/2P2P2/P4P1P/1R4K1 b - -,g8a8
5rk1/1p1qpp1p/2bp2p1/2n2P2/1RPNP3/r2P2PP/4Q1B1/5RK1 w - -,f1d1
8/7k/p2R4/2p1pP1K/2P1P3/4r2P/8/8 w - -,d6d7
6k1/pbr3rp/1pqp4/5pP1/2P2P2/1PQ5/PB5P/4RRK1 w - -,c3g3
8/1r3p2/4p3/3nPk2/6P1/6P1/2RB1K2/8 b - -,f5g4
2R5/r2n1k1p/6p1/3r1p2/3bp3/4B1P1/5PBP/3R2K1 b - -,d7b6
r3k2r/2q2pp1/2p4p/ppn1pPb1/6P1/P6P/BPPBQPK1/R2R4 w kq -,f2f4
8/8/2p5/8/2p2PP1/3k3r/4R3/3K4 w - -,e2e6
5rk1/pB2pp1p/6p1/4p3/2Pb2b1/P2P1PP1/7K/2B2R2 b - -,f8b8
8/2K2pk1/4p1p1/3r4/6P1/8/2Q5/8 w - -,c2b2
r2q1rk1/p1p1bppp/1p1ppn2/8/2PPbB2/4QNP1/PP2PPBP/2RR2K1 b - -,d8c8
rnbqk1nr/pp1p1pbp/4p1p1/2p5/4P3/3P2P1/PPP2PBP/RNBQK1NR w KQkq -,c1e3
8/5k2/5Pnp/1p6/1PrRK1P1/8/7P/8 b - -,c4d4
8/1r6/3p2R1/2nP1pp1/3K1k1p/5B1P/6P1/8 b - -,b7b6
8/8/8/2b4p/k1B1p3/P1B1P3/5K2/8 w - -,c3b4
r7/1pnnpkb1/2p1p1pp/1p2P3/3PNP2/1P2B1PB/5K1P/R7 w - -,a1a8
8/2r2p2/p2r3p/4k1pP/P2N2P1/1P2P3/3K1P2/1R6 w - -,d2d3
rnbq1rk1/pp2bppp/2p5/4p3/3PP1n1/P1NB4/1PPQN1PP/R3K1BR w KQ -,d4e5
1r1q1rk1/1p1nbppp/p2p1n2/2pPp2b/2P1P3/2N1BPP1/PP2N1BP/R2Q1RK1 w - -,d1d3
r2q1rk1/p2bp1bp/1pnp1np1/5p2/2P5/1PN2NP1/P1Q1PPBP/R1B2RK1 w - -,c1b2
r4rk1/pbnqppbp/1p3np1/3P4/3P1N2/1QN2B2/PP3PPP/R1B1R1K1 b - -,a8b8
8/2p2pp1/1p2p3/4P2p/2b2P2/P1P1K1Pk/8/4B3 b - -,h3g4
r3r1k1/1pqnbppp/2p1pn2/p7/2PP4/PP1Q1NN1/1B3PPP/R3R1K1 b - -,a8d8
1r6/p3kppp/1p3n2/P2p4/3P4/4PP2/1R1BK1PP/8 b - -,e7e6
2r5/R3pk1r/3p2R1/5p1p/1bPB1P2/5KP1/7P/8 w - -,g6f6
r1bqk2r/1p1nbp1p/4p3/p2pP1p1/Pn1P2P1/3B1N2/1P1N1P1P/R1BQ1RK1 w kq -,d3b5
1r3r2/3q3k/3p1bpp/3Ppb2/pBBnN3/3Q1P2/P5PP/1RR4K w - -,b4a3
6k1/p2b3p/1p3pp1/8/1B3q2/PP2R2P/8/4R1K1 b - -,d7c6
3r4/3rkp2/pp4pp/2P1p3/P3P1Pb/1P1B4/3RK2P/1R6 b - -,b6c5
1nR5/1q4kp/p3p3/1p1pbrpQ/5p2/PP5P/4NPP1/2R3K1 w - -,e2d4
rnbqk2r/3nbppp/p2p4/1p2p1P1/4P3/2N4P/PPP1NP2/R1BQKB1R w KQkq -,h3h4
5R2/3r1p1k/4pPp1/6Pp/1p6/6P1/1P3PK1/8 w - -,g2f3
8/B1p5/P6r/4p3/1P2pnk1/R7/3R4/5K2 b - -,h6c6
rnq2rk1/5ppp/p3p3/Qp1n1b2/3R4/2P2N1P/PP1B1PP1/4KB1R w K -,f1b5
3r4/rp3pk1/1qbp2p1/4p2p/p1PnP2P/3NR3/PP1Q1PPK/3R1B2 w - -,d2c3
r2qrbk1/3n1ppp/p2p2b1/1pp1pN2/1P2P1P1/2PP1N1P/1P3P2/R1BQR1K1 w - -,d1b3
r4rk1/1p2b1pp/p1np4/3Npp2/2P5/1P4P1/PB2PPKP/R4R2 b - -,a8d8
4rrk1/1bq2pbp/p2p2p1/2pPp3/Pp1nP3/1P1P1N2/2B2PPP/R1BQR1K1 w - -,f3d4
R7/8/8/8/4K1pk/8/8/5r2 b - -,h4h3
4qrk1/1p2b1pp/pP1p4/2rP4/4pp2/1R3PP1/1PP4P/3QKB1R w K -,f3e4
rn1qk1nr/pbpp2pp/1p6/3P1p2/2P5/3B4/PP1Q1PPP/RN2K1NR b KQkq -,d8f6
5rk1/1pR3p1/p1b1p1Bp/3pK3/1P1P1PP1/P7/7P/8 w - -,h2h4
rn1q1rk1/pbp1ppbp/1p1p1np1/8/4P3/3P1NP1/PPP2PBP/RNBQR1K1 w - -,b1d2
r5k1/pp4pp/1np4r/3pP3/3P1qb1/1Q3NN1/PP3PP1/2R2RK1 w - -,g3e2
r1bq1rk1/pp1n1pp1/2p1pb1p/8/2PPN3/3B1N2/PP3PPP/R2Q1RK1 b - -,b7b6
r2r2k1/pp3pPp/1n4b1/3q4/3N2Q1/2P4P/P2B1P2/R3R1K1 b - -,g8g7
rn1q1rk1/pbp2pbp/1p2pnp1/3p4/3P1P2/2PBPQ2/PP1NN1PP/R1B2RK1 b - -,c7c5
rnbq1rk1/1p1nppbp/p1p3p1/2Pp4/3P1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,f1e2
3r4/1p3pp1/p3bk2/2PpR3/PP1P4/6P1/8/4R1K1 w - -,g1g2
1r4k1/p3r1pp/4ppn1/8/PPb1PP2/4B1P1/3R2BP/R5K1 w - -,e3c5
8/2k5/R6p/p4pp1/1bP5/r2NP1P1/4KP1P/8 w - -,a6h6
r2q1rk1/pbp1bpp1/1p2pn1p/8/2BPN3/4PNB1/PP2QPPP/R4RK1 b - -,f6e4
6k1/pppq1p1p/1nnprQp1/8/2PP4/3B2P1/PP5P/4RRK1 w - -,e1e6
5rk1/1b2bp1p/pqN3p1/4p3/2p5/6Q1/PPP1N1PP/3R1R1K b - -,b7c6
2q2b1k/1pnb1r2/3p2p1/1PpPp1P1/2P1PppP/2Q5/3NBB2/2N2K1R b - -,c7e8
r1r2bk1/5p1n/B2pb1p1/4p3/1q2P2B/2N5/1PP3PP/R2Q1R1K b - -,c8b8
rnb1k2r/pp2bppp/2p2n2/4p3/4P3/2NBB3/PqP1NPPP/R2Q1RK1 w kq -,a1b1
r5k1/pp1rbpp1/1qp1pn1p/8/3P4/P1P2BPP/1P2QP2/2BR1RK1 w - -,e2c2
4r3/6k1/7p/5P2/4pP2/8/5K2/4R3 w - -,f2e3
r1bq1rk1/pp1nnpbp/3p2p1/2pPp3/2P1P3/2NB4/PP2NPPP/1RBQ1RK1 b - -,f7f5
r3r1k1/pbbp1pp1/3q1n2/3P3p/1pBR4/4PQN1/1P3PPP/1RB3K1 b - -,f6g4
2n5/8/k2p4/3Pp1P1/4P3/2pbNBP1/6K1/8 b - -,c3c2
6k1/pp2r1b1/2np2qp/8/3p2P1/5P2/PP1B1Q1P/R3N1K1 b - -,d4d3
8/4N3/1k6/pp1p4/2p3K1/1P6/P3R3/7r w - -,e7d5
3r1r2/p5kp/qpbN1pP1/2P1p3/4p1Q1/2P1P3/PP4PP/4RRK1 b - -,h7g6
rnb2knr/bpq2ppp/p2p4/3Np3/4PB2/1N1B2Q1/PPP2PPP/R3K2R b KQ -,c7d8
8/2R2p2/4p1k1/4P1p1/6P1/4PK2/2p2P2/2r5 w - -,c7c6
2r2r2/p1q1bpkp/1p2p1p1/8/Pn1PN3/1B3P2/1P1Q1PR1/6RK b - -,e7d6
2r5/5p1p/4p1p1/2p5/P1K1k3/8/3R1P1P/8 w - -,a4a5
3r1r1k/pp1P2pp/6q1/2N1pn2/6B1/4P2P/PP1Q2K1/2R2R2 b - -,h7h5
5rk1/1q2n1pp/4pr2/pB1p4/Pp3P2/4Q3/1PP3PP/R4R1K b - -,e7g6
5b2/6k1/3pQ1p1/3P1pq1/6Bp/7K/5P2/8 w - -,g4e2
r1bq1rk1/4bppp/p2p1n2/1p6/1n2P3/1N1p1N1P/PP3PP1/RBBQR1K1 w - -,b3d4
2rq1rk1/pb2bppp/1p2p3/2ppP3/8/PP1BP3/1BPQ1PPP/R4RK1 w - -,d2e2
8/p4k2/1p2R3/2r1PP2/8/2p5/3K4/8 w - -,d2c2
rbb2rk1/5qpp/p7/P2p4/1p1Qn3/1N2BN2/1P3PPP/2R2RK1 b - -,b8d6
4r1k1/pp4pp/2p5/3n3q/8/P3BPR1/1PP1QP1P/7K w - -,e2c4
1r1qr3/2pbppkp/p1np1np1/1p6/2PP4/2N2NP1/PP1QPPBP/2RR2K1 w - -,c3d5
r2q1rk1/pb2bppp/1pn1p3/2p1P3/3P3P/P1PB1N2/4QPP1/R1B1K2R b KQ h3,f7f5
1nkr3r/pppqbppp/3p1n2/P3p2b/1PB1P3/2PPBN1P/5PP1/RN1Q1RK1 b - -,a7a6
r2q1rk1/pb4bp/1p1npnp1/3pNp2/2pP1B2/2P1PP1P/PPBN2P1/R2Q1RK1 b - -,f6h5
8/8/6p1/3bkp1p/3p3P/3B2P1/4K3/8 b - -,d5e4
3r3k/1p3rbp/pR4p1/q2Nn3/P2BP3/1Q4P1/7P/3R3K w - -,b6e6
r1b2bk1/1p1n1p1p/4p1p1/pq1NP3/3p2Q1/8/PP3PPP/R3R1K1 w - -,d5c7
5nk1/8/6q1/3PQ2P/8/2p2PPK/8/2r5 b - -,g6h5
4r3/3R4/2P5/2P2p2/P4K2/4p1R1/4k3/8 w - -,c6c7
3r1r2/1Q3pkp/2p1pnp1/p3N2q/P2PP2P/5PP1/1PR3K1/2R5 b - -,d8d4
3r1n1k/p1q2np1/7p/5b1P/1Np2P2/P4QP1/5NB1/2R3K1 b - -,f7d6
r3r1k1/p4p2/2p2p1p/3bb3/8/1P1B2N1/P4PPP/3R1RK1 b - -,e5g3
r3r1k1/1p2qpb1/2p4p/4p1p1/2PnP3/1PB3PP/1Q3PK1/R2R1B2 b - -,e7f6
r2q1r1k/pp2bpp1/2p1pn1p/7P/3P4/3Q1N2/PPPB1PP1/2K1R2R w - -,g2g4
6k1/4brpp/8/3q4/pn2Q3/P1B3P1/4R1KP/8 b - -,d5e4
2r3k1/R5p1/p4b2/2R5/2KP3r/1PB4P/1P6/8 b - -,c8d8
1r2rb2/3k1p1p/p2p1P2/2qNp3/1p2Q3/8/PPP3BP/1K1R4 w - -,e4h7
r2r2k1/p4pb1/b3p1pp/2P5/4P2P/4B3/P3NPP1/1R1RK3 b - -,a6d3
3r2rk/p4p1p/6n1/3Pppq1/R3P3/5P2/5QPP/4RB1K b - -,d8d6
2rq1rk1/1b1nbppp/p2ppn2/p7/2P1P3/1NN1BP2/1P1QB1PP/R4RK1 b - -,b7a8
