8/2k3p1/6R1/2p4P/K1P5/P6r/8/8 w - -,g6g7
r1bqk1nr/ppp3pp/2n5/3ppP2/1b6/2NP1N2/PPP2PPP/R1BQKB1R w KQkq d6,c1g5
2bq1k1r/4np2/p2p2p1/p1pPp2p/PrN1P2P/1P3PP1/2PN4/R1Q2RK1 b - -,g6g5
1rq2rk1/p3ppbp/1p1p2p1/2n5/2P1PP2/1PN3Pb/P2Q2BP/R1B1R1K1 w - -,c1b2
8/8/8/5k1K/8/8/p2n4/B7 w - -,h5h4
6k1/5q2/3p2p1/1ppPR3/6P1/6QP/1P5K/8 b - -,d6e5
r3k3/p6R/2pbp1n1/1p3p2/2P2P2/4BK1P/P1B1P3/8 w - -,c2b3
4Q3/p7/1p3p1p/4n1k1/2r4p/5P2/P5P1/6K1 w - -,e8g8
r1bq1rk1/pp3p1p/4p3/3p1p2/3Pn1Pb/1QNBPN1P/PP3P2/R3K2R w KQ -,h1h2
r1bqkb1r/1p2nppp/p2pp3/2p5/3nP3/2NP2P1/PPP1NPBP/R1BQ1RK1 w kq -,e2d4
6r1/8/1P6/8/B4k2/2p4K/8/8 b - -,g8b8
r4rk1/2q1bppp/p2p1n2/1pnPp3/4P1b1/5N2/PP1NQPPP/RBBR2K1 b - -,f6h5
8/r4pp1/pk6/Rpp1qbPp/4P2P/3PQ3/2P3K1/R7 w - -,e3g3
2R5/1p6/3p1kp1/p2P4/2P5/6P1/1r5P/6K1 b - -,a5a4
6k1/1p4r1/p2p4/3Pp3/2N3r1/1PK1R1Bn/P5q1/3Q3N w - -,d1f3
5rk1/4b3/pp1p2pp/2r1pp2/P3P3/2P5/1P3PPP/R2R1NK1 w - f6,e4f5
4rrk1/p1Np4/1p3n1p/3P2p1/8/2P3P1/P4PP1/3R1RK1 b - -,e8e2
8/6k1/5rp1/1p1K4/1R6/8/7P/8 w - -,b4b5
8/8/3P1k2/2R2p2/1pn4p/5P2/3r2PP/6K1 w - -,c5b5
r5k1/1R3p2/2p1b1p1/4P1Pp/2n2P2/b1N4P/5BB1/7K w - -,b7b1
3q1rk1/pb2ppbp/nr3np1/1p1P4/3P1B2/PQN3P1/1P2NPBP/R3K2R w KQ -,e1g1
r2q1rk1/pp2ppbp/5np1/n4b2/3P4/N4NP1/PQ2PPBP/R1BR2K1 w - -,f3e5
r3k2r/1pp2ppp/3p4/p2Pp1qn/2P1P3/3Q1PPb/PP2N2P/R2NK2R b KQkq -,h3d7
3r2k1/pqr1ppb1/1p4pp/4N3/3PbP2/P1B1R2P/1P1Q2P1/4R1K1 b - -,e4d5
r3n3/p3n1kr/1p4p1/2p4p/1PPpP1q1/P2P1NP1/4Q1NP/R4R1K w - -,b4c5
r1r3k1/4bp1p/1p2p1pP/1B1p4/P2PnPP1/2PN4/1P6/1K2R2R b - -,c8c7
r7/pp2kprp/4p3/4P3/1PNR1R2/P4b2/5PPP/5BK1 b - -,f3d5
R7/8/P6k/4b1pp/4p3/4B1PP/7K/r7 b - -,h5h4
4k3/ppRr2pp/8/1b6/1P6/P7/6PP/6K1 w - -,c7c3
rrn5/q1bb1k2/2pp1np1/p4p1p/N1PNpP1P/PP2P1P1/3BQ2K/1RR2B2 b - -,f6g4
rnbq1rk1/ppp2ppp/4pn2/3p4/1bP5/2N2NP1/PP1PPPBP/R1BQK2R w KQ d6,c4d5:a2a3:d2d4
r3r1k1/1pp1qpb1/p1b3pp/3Bp2n/4P3/2P1BN1P/PPQ2PP1/3R1RK1 b - -,c6d5
1r1qr1k1/pb1n1pbp/6p1/PB2p3/3PNn2/1Q3N2/1B3PPP/R3R1K1 w - -,e4d6
r1bq1rk1/pp2n1bp/2np4/2p1p3/5p2/2PPNNP1/PP3PBP/R1BQR1K1 w - -,e3f1
5rk1/2rp1qp1/4p2p/4P3/1bP1Q2P/p1R2N2/5PP1/4R1K1 w - -,c3c2
r2q2rk/1b2bp1p/pp1p4/4p3/2P1P3/2N1N2Q/PP3B1P/3R1BK1 w - -,g1h1
8/8/5p2/8/6kp/8/4PK2/8 w - -,f2g2
2k4r/1pp3pp/p1p2p2/4n3/3R4/2P1BP2/P1P2PKP/8 b - -,h8d8
2r2rk1/p2q1p1p/1pbp1npQ/4p3/2P1P3/2N2P2/PP2B1PP/3R1RK1 b - -,d7e7
2n2r1k/1R5p/3pB3/p1pP1R2/3bP3/8/7P/7K b - -,f8f5
6rk/1p1bq2p/p1p1pn1r/P2p2N1/2PPpP2/1P2P1P1/2Q2N1P/R5RK w - -,g1g2
r1bqkb1r/ppp2ppp/2np1n2/8/8/5NP1/PPPP1PBP/RNBQK2R w KQkq -,e1g1
8/1q3pkp/rrpb2p1/3p4/3Pn3/3NP2P/2RN1PP1/2R2QK1 b - -,e4f6
r6r/4kpp1/5n2/8/p1NPp3/6P1/1P3P2/R3R1K1 w - -,c4d2
2r1nQqk/p4pp1/1pp2r2/3p1bR1/2PPp1RP/PP2P3/3N3P/B6K w - -,g5h5
r4rk1/1bqnbppp/pp1p1n2/4p3/2PNPP2/2NB4/PP1BQ1PP/4RR1K w - -,d4f5
3Q1rk1/5p2/1Q2p1pp/p7/1p6/6BP/1P3PP1/q5K1 w - -,g1h2
r1bq1rk1/1p3pbp/p1n2np1/4p3/3pP3/1N1P2N1/PP2BPPP/R1BQ1RK1 w - -,f2f4
r1br2k1/5ppp/pp6/1n6/3PB3/PP4N1/5PPP/2R1R1K1 b - -,a8a7
3r1rk1/2pP1pb1/p1p5/2N3P1/P7/5Q2/2q5/1R1R1K2 w - -,b1c1
1r1r4/3k1ppp/p7/8/NP6/8/KP4PP/2R5 w - -,a4c5
6k1/7p/5P2/2p3P1/3p3P/bP3r2/2P1K2R/8 b - -,f3e3
r1b2rk1/p4qbp/3n1p2/3pp3/3P2p1/R1P3N1/1PQ2PPP/R1B1N1K1 b - -,h7h5
1r3rk1/2b2pp1/6p1/2pq4/2N3Q1/2P5/1P3P1P/R5RK w - -,g1g2
r4rk1/ppqbp1bp/1n1p2p1/5p2/3pPP2/2P1BBP1/PPQ1N2P/3R1RK1 w - -,e2d4
3q4/5p1k/1pp2npp/p1b1p3/4P3/2P1NQNP/PP3PP1/6K1 b - -,h7g7
8/3PR3/2p3pk/1p2Np1b/1P5P/6P1/8/r3K3 w - -,e1f2
2kr3r/pp2b1pp/8/2p5/4N3/5P2/PP3P1P/2R1R1K1 b - -,d8d5
1r6/rp1k4/3p3p/1R1Pp1p1/6P1/7P/5PK1/1R6 b - -,d7e7
3rr1k1/1b2qpp1/pp2p2p/2npP3/3N4/2P2P2/PPBQ2PP/R3R1K1 w - -,a2a4
2r2rk1/1bqnbppp/p1npp3/1p6/P3PB2/2NB1N1P/1PP1QPP1/2R2RK1 b - -,b5b4
7k/2R5/4p2p/1b1pP2P/3P1Nn1/2P5/r5P1/1r2NK2 w - -,c3c4
r2qkb1r/1bpn1p2/p3pn2/1p2PNBp/8/2NB1P2/PPPQ4/2KR3R b q -,b5b4
6k1/p5pp/4p3/Pr6/1R4P1/3N4/4PK1P/8 b - -,b5a5
r2r4/2q1bbk1/p1pp1p1p/4p1p1/N1P1P2P/1P1R4/PB2QPP1/3R2K1 b - -,f7e6
r3k1r1/ppqnbp2/1np1p2p/4P2P/1PP2P1p/P1N4P/4Q1B1/R1B2R1K b q -,e8c8
r2qr1k1/pb2bppp/3ppnn1/2p5/2P5/PPNBP3/1B1N1PPP/2RQ1RK1 w - -,c3e4
2qr1rk1/2pb1pb1/1p1pnnp1/p3P2p/2PN1P2/1PN1B1PP/P4QBK/3RR3 b - -,d6e5
1kr4r/pp3p1p/1q2p2b/3pRp2/3P4/2PQ3P/PP1N1PP1/1K5R b - -,h6f4
q2b2k1/3n1pp1/2pBpn1p/1pPp4/1P1PP3/rNN2P1P/2Q3P1/2R3K1 w - -,c2b2
8/3r4/R7/p1p1k1p1/P4p2/2P5/1P3KP1/8 w - -,a6a5
r4rk1/1p4b1/p2p4/2pP1P1n/P4P1q/3Q3P/1P2N1B1/R3R1K1 w - -,d3f3
5b2/p2B4/1p1n2p1/3k1pP1/P1p2P2/2P1BK2/1P6/8 w - -,e3d4
2b5/1p5r/2p2k2/p4Pp1/4P1Pp/P2NK3/8/1R6 b - -,h4h3
r1b1k2r/1pp2ppp/1p2pn2/3P4/1P1n3q/P2P1Q2/1BP2PPP/R3KBNR w KQkq -,f3d1
Q7/q7/8/kp1p2p1/p2Pp2n/2P3N1/7K/8 w - -,a8a7
8/p1p5/1p6/1P6/2k2K2/P7/7P/8 w - -,a3a4
rn1qk2r/pb1p1ppp/1p2pn2/2p3B1/2PP4/P1Q2N2/1P2PPPP/R3KB1R b KQkq -,f6e4
5r2/pk4pp/4N3/1p2n3/2p1P3/b1P5/P1K3BP/3R4 b - -,f8f6
1r1qnk2/N2b2b1/4p1p1/1p2Pr2/3B2P1/1P1Q4/6B1/2R2RK1 b - -,f5f1
8/pk3p2/p6r/7r/P1pN2K1/1PRbP3/3R1P1P/8 w - -,d4f3
5k2/3r4/6p1/8/2K5/7R/8/8 w - -,h3d3
8/8/5N1p/2b1p1p1/Pk4P1/3K4/8/3B4 w - -,d3e4
r1bq1rk1/pp4bp/n1pp1pp1/3Pp3/2P1P1n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c6c5
3bk2r/p5pp/4Bp2/1ppP1P2/4p3/2P1Q3/6PP/1b4K1 w k -,e3g3
8/6pk/p3b2p/4b3/1P2P1P1/PK3B2/3r2P1/2R5 w - -,b3a4
4qbk1/4n3/5Q1p/2B1P1P1/1p5P/1PpB2P1/2P4K/8 b - -,h6g5
8/R7/2k5/5p2/8/p7/5K2/1r6 b - -,b1a1
3r4/4npkp/2p2p2/2R1p3/3qP3/P4RP1/2Q2PKP/8 w - -,f3b3
4r1k1/5pbp/pp4p1/8/2P2P2/1Pq2B2/P2Q2PP/3RrRK1 b - -,e1d1
3r1r2/1pq2pk1/p4bp1/5p2/PP1PpP2/2P1B3/4Q2P/2R2R1K b - -,c7e7
8/7p/p3R1pk/3P4/2p2p2/3b1B1P/q4RP1/4K3 b - -,a2a5
1R1n2k1/2r2n1p/p2p2p1/2pPPp2/b1P2P2/3N3P/P2N2BK/8 b - -,c7b7
qr2rbk1/3p1p2/4p1p1/p1P4p/4PPnP/B2Q1NP1/P3K3/2RR4 b - -,e6e5
r2q1rk1/1bnnppbp/p1p3pB/1pP5/3P4/2N2N1P/PP1QBPP1/3R1RK1 b - -,f8e8
2kr1q1r/1pp5/p1nb1p2/4pN2/1p1PP1P1/2P1B3/P1Q2P2/R2R2K1 b - -,f8g8
r2q1rk1/p2bbppp/1p1p1n2/2pP4/2P2P2/5N2/P1BB2PP/1R1QR1K1 w - -,d2c3
r2q1rk1/pp2n1bp/2n1bpp1/2p1p3/P1NpP3/3P1NP1/1PP2PBP/R1BQ1RK1 w - -,f3d2
2kr3r/ppp1q1p1/4p3/7p/nP6/4P1BP/P2NBPP1/3R1RK1 w - -,g3e5
2r2rk1/pp1bppbp/3p1nP1/q3n3/3NP1P1/2N1BP2/PPPQ4/2KR1B1R b - -,f7g6
2r3nk/p3b1p1/2brp2p/qp3PP1/3N4/P1NR2Q1/1PP3P1/1K5R b - -,e6f5
1Q6/8/5pk1/8/4q1p1/6P1/6K1/8 w - -,g2g1
rn3rk1/pp2ppbp/2pp1np1/q7/2PP2bB/2N1PN2/PP2BPPP/R2Q1RK1 b - -,a5b4
r2qk2r/pb2bp1p/2np1np1/1pp1p3/4PP1N/1P1P2P1/PBPN2BP/R2Q1RK1 b kq f3,f6d7
2r3k1/3R1p2/pp2rnpB/6Q1/2p3P1/2N2q2/PP5P/2R3K1 w - -,c1f1
r2q1rk1/pp4b1/2npb1pp/2p2p2/4Pp2/2PPN1P1/PP1NQ1BP/R4RK1 w - -,g3f4
qr4k1/3nppb1/r2p1npp/2pP4/4PB2/2N2NPP/PP2RPK1/R2Q4 b - -,d7b6
rn1qk2r/pp2bppp/2p1pn2/3p1bB1/3P4/2P2NP1/PP2PPBP/RN1Q1RK1 b kq -,h7h6
r1bq1rk1/ppp2pbp/n4np1/4p3/2PPP3/2N2N2/PP2B1PP/R1BQK2R w KQ -,d4d5
r1bq1rk1/ppppnpbp/2n3p1/8/2B1P3/2N1Q3/PPPB1PPP/2KR2NR b - -,d7d6
8/2p5/4kpB1/p1p4p/1p2PPbP/P1P1K3/1P6/8 w - -,e3d2
7r/p3q1k1/1p1p1ppr/2n1nP2/8/4R1Q1/P1P1B1P1/B2R2K1 w - -,g1f2
r7/2p5/1p1p1k2/p2Rp1p1/P3Pr2/1PP2PKP/1R6/8 w - -,c3c4
5rk1/4ppbp/1n4p1/q1pP4/2P1PP2/2NQ4/4N1PP/5RK1 w - -,f1b1
r3r1k1/2pq1pp1/2np1n1p/1p2p3/1P2P3/1QPPNN1P/5PP1/R3R1K1 b - -,c6e7
6r1/2R3P1/8/8/8/P1k4K/1p6/8 b - -,c3b3
r1b2rk1/1pp1q1pp/2n2b2/p3p3/2P5/4BNP1/PPQ2PBP/R4RK1 w - -,a1d1
4R3/8/5p2/2P1b3/4k1R1/2r5/4K3/8 b - -,e4f5
8/8/5k2/3P4/4K3/n1p5/2B5/8 w - -,e4d3
8/r7/8/PR5k/2N3p1/8/6K1/8 b - -,h5h4
3r4/1r5p/p3Bp2/4b3/8/P3kN2/1PR3PP/1K6 b - -,d8d1
4rk2/1p6/1np1qpQ1/6P1/1b3P2/pP2P3/P7/1K1R1B2 w - -,g6h6
5k2/p3pp1p/1r2b1p1/3q4/P7/3Q4/4BPPP/b4RK1 w - -,f1a1
4r1k1/p4r1p/1p3pp1/8/1b6/1P2BN1P/P2R1PP1/6K1 w - -,d2c2
r5k1/3n2pp/4p2n/p2NP3/1p1P1P1q/1Pr5/P2Q1RB1/R5K1 b - -,c3g3
r3k2r/ppnb1pb1/2n1p1pp/2B5/2B5/1NP2N1P/PP3PP1/2KR3R w kq -,c5d6
r1bqr1k1/1p1nbpp1/2pp1n1p/p3p3/P2PP2N/2N4P/BPP2PP1/R1BQR1K1 b - -,e5d4
rn1qk2r/pbppnpp1/1p2p3/7p/3PP2P/2PB1N2/PP1N1PP1/R2QK2R b KQkq -,d7d6
2r5/2r1k3/1Q2p3/3pPpq1/7p/2P2R1P/3bN1P1/6BK b - -,c7c6:c7d7
6k1/2Q4p/1p2p1p1/p7/P1P2P2/1q5P/6PK/8 w - -,c4c5
r3kb1r/pp1qpppp/5nb1/3pNQ2/8/4P3/PP1P1PPP/RNB1K2R w KQkq -,f5f4
4r3/6k1/1p1b1n1p/2p1pB2/P3P1p1/3P2P1/3B1PK1/2R5 w - -,c1b1
3rr3/pb4pk/1p5p/4qp2/1PB1p2Q/P3P1P1/2R4P/4R1K1 b - -,d8c8
8/p3R1pk/8/3n2pP/6K1/3rN3/r7/4B3 w - -,e3d5
5r2/1R3pkp/1R4p1/r7/1p5N/6P1/n4PKP/8 w - -,h4f3
r4rk1/pp2qbbp/5np1/n1Pp1p2/3P1P2/2N1PB2/P3N2P/1RBQR1K1 b - -,a5c4
1b4k1/3Qp2p/2p3p1/P2R1r2/8/4Bq2/1P3P2/2R2K2 b - -,f3h1
r1bqk1nr/p2pp1bp/2p2pp1/4P3/2B2B2/2N2Q2/PPP2PPP/R3K2R b KQkq -,c8b7
8/8/4k1P1/8/1p1BK3/8/P7/4b3 w - -,e4f4
5rk1/pb4p1/1p1n1q2/2p1RpN1/2P2P1p/P2B4/2Q3PP/6K1 b - -,d6e4
rn2kb1r/p1p2ppp/bp2pn2/3q4/3P4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,a6b7
r2q1rk1/pb1pb1pp/1pn1p3/8/3PNn2/5N1P/PP2BPPB/R2Q1RK1 w - -,h2f4
3r2k1/r2nqppp/p7/2b1P3/Pp1pB3/1P2PQ2/1B3P1P/2RR2K1 b - -,d7e5
8/8/p2k2r1/8/1KP5/8/1P4p1/6R1 w - -,b2b3
r1q1nbk1/1ppb4/6r1/3Pp1P1/1P2Pp1B/2R5/1P2B1PN/3Q1RK1 b - -,f8b4
6k1/pp3pp1/8/1P3P2/6PK/P1Npr3/1P1Rb3/8 w - -,h4g5
r1b1k2r/3pn1bp/p3p1p1/q3Pp2/Pp1p1P2/1P1B4/2PPN1PP/R1BQ1RK1 w kq -,c1b2
r4rk1/pp1qppbp/n2p2pn/2pPP3/5PP1/2N2N1P/PPP5/R1BQ1RK1 b - g3,f8d8
5k2/R7/3b2K1/1p1N3p/8/1P5r/8/8 w - -,a7a8
r4rk1/3n2pp/bppqp3/p2p1p2/2PP4/1PQ1PN2/P3BPPP/2R2RK1 w - -,f1e1
1R6/8/3b1pk1/8/5P2/p4K1p/P4P2/8 w - -,b8h8
8/1p3k1p/8/5PPK/Pbp5/8/8/2B5 b - -,b4f8
4q1r1/2p3pk/1rnp1p1p/p1p2P2/4P1R1/1PP3NP/P2Q2P1/1R5K w - -,g4h4
r2rn1k1/1q2ppbp/1n1p2p1/2pPP3/4RB2/2N2NPP/PP3P2/R2Q2K1 w - -,d1b3
4r1k1/R6p/3R2p1/2p5/3b1n2/1P1p1B2/5PPP/5K2 w - -,g2g3
2rqbknr/1p2p2p/1n2Pp1b/p1pP1PpP/P1p3P1/2N2QB1/1P2N3/R3KB1R w KQ -,f1g2
3rb1k1/Np3p1p/1P2p1p1/q1P1p3/8/7P/6P1/2R3QK b - -,a5b4
3r2k1/6bp/p2n2p1/2pb2N1/3n1R2/7P/1PB2PP1/3Q1RK1 w - -,f4d4
r3qrk1/p2n2pp/1p1bpn2/5p2/2PN4/3N2P1/PB2PPKP/R2Q1R2 b - -,d7c5
2r4k/5p1p/R3b2b/3p3P/3P4/6R1/2P3P1/6K1 w - -,a6a2
5k2/3n1ppp/1p6/p7/P2P4/4K2P/1P4P1/5B2 b - -,f8e7
5rk1/1rp3pp/p3pqn1/B2b1p2/2BPn3/PQ2PN2/5PPP/2R2RK1 w - -,b3d3
3r3r/p2b3p/1pn1qkpP/3pppP1/1P6/2P1PN2/PQ1N1P2/3RK2R b K -,f6f7
3Q4/8/6p1/2p1p3/2Pqk3/1K6/8/8 w - -,d8h4
r4rk1/1p2bpnp/p1np2p1/3Pp3/P3P3/1P4PP/3BNPBK/3R1R2 b - -,c6d8
2kr3r/1pq1bpp1/p1npbn2/7p/4PB2/1NN3PP/PPP1Q1B1/2KR3R b - -,f6d7
