8/1R6/2p2k2/2Pb1P2/6P1/2P3KP/8/5r2 b - -,f1f3
5rk1/1r1nbp1p/1q2p1p1/2p5/2B1P3/R5B1/1P2QPPP/3R2K1 b - -,d7f6
r2r2k1/pp3pbp/6p1/8/q4Pb1/3N4/PPPQN1PP/3R1RK1 b - -,g7b2
r1r3k1/1bq1b1pp/3pp1P1/4n3/pp1BP3/5PN1/PPPQB3/1K1R2R1 b - -,h7g6
3r4/1ppq1pbk/p1n3pp/8/4Q3/1PPP3P/1P4PN/2BR2K1 w - -,h2f3
r1bqk2r/3nppbp/p1pp1np1/1p6/2PPP3/2NBBP2/PP1Q2PP/R3K1NR w KQkq -,c4b5
r6k/2p3rp/1p1pP3/1P1P4/p3Bq2/P4P2/1P1R1Q2/7K w - -,f2h2
q1r1r1k1/1b1n1pbp/pp1ppnp1/8/1PP1P3/P1N3PP/1B1NQPB1/2R1R1K1 w - -,g1h2
r1bq1rk1/pp2ppbp/2np1np1/2p5/3PP3/2PB4/PP1NNPPP/R1BQ1RK1 w - -,f1e1
2kr1bnr/pppq2pp/2n2p2/3p4/3P2b1/P1N2N2/1PP1BPPP/R1BQ1RK1 w - -,b2b4
2b3rk/1p4r1/pR6/P1pqp2p/5p2/4QPPP/6RN/7K w - -,e3c1
2R5/6k1/3p1p2/p5pp/1pN5/5PP1/PP2r1PK/8 w - -,b2b3
r2qk2r/3pbpp1/2p1p1p1/p2nP3/2pPQ3/1P3N2/P2B1PPP/R3R1K1 w kq -,b3c4
r4rk1/1pqn1pp1/2pb1n1p/p2p3b/8/PP1P1NPP/1BQNPPB1/R4RK1 w - -,a1c1
3r2k1/1p3ppp/1p1b4/8/5B2/1P1P4/P5PP/5K1R w - -,f4d6
r2qk2r/1p1bbp2/p1npp1p1/7n/3NP2P/2N1B3/PPPQBP2/2KR2R1 w kq -,f2f4
rn2k2r/pp2bpp1/1qp1pn1p/3p1b2/3P1B2/1QP1PN2/PP1NBPPP/R4RK1 b kq -,b8d7
8/2K5/1p4k1/p1p3pp/Pr6/1P3R1P/8/8 w - -,f3g3
1rbq1rk1/2p1bppp/p1np1n2/1p2p3/P3P3/1B1P1N2/1PPN1PPP/R1BQR1K1 b - -,h7h6
3q1k1b/1r3p1p/4n1pN/2pp4/1p4nQ/7P/1PP3P1/R4RK1 w - -,h4g4
rn3rk1/1p2ppbp/2p3p1/q2p1b2/p1PPN3/1P2PNP1/PB3PBP/2RQ1RK1 b - -,f5e4
rnb1r1k1/pp3pp1/2p4p/8/1bPPN3/8/PP1BB1PP/R2K3R b - -,e8e4
2r3k1/3pn2p/pq4p1/1p1n1R2/4Q3/1N1B3P/PPP5/2K2R2 b - -,g6f5
r3k1nr/pppq1pp1/2np4/2b1p1Np/2P3bP/2NP2P1/PP2PPB1/R1BQ1RK1 b kq -,f7f6
4rrk1/nbpp2pp/p4q2/2PPp3/P4P2/4P1P1/1BQ3B1/2R2RK1 b - -,f6h6
3Q1bk1/4r2p/q3p1p1/p2pPp2/1n1P1P2/1P5R/1B3KPP/4N3 b - -,b4c6
3R4/5pkp/6pn/8/1rb5/4N1P1/p4P2/R5K1 w - -,e3c4
rn1q1rk1/p3ppbp/bp1p1np1/2p5/3P1B2/2P1PN2/PP1NBPPP/R2Q1RK1 w - -,f1e1
8/ppk4Q/8/3p4/2pP3P/P1P4q/BP6/4K3 b - -,c7b6
2rr2k1/p4pb1/3pp1pp/1p1n4/3PQ3/PqP2N1P/1P1B1PP1/3RR1K1 w - -,d2c1
1r2qrk1/2p2ppp/B2p4/n3p3/n2PP3/1pP2Q1P/1P3PP1/R1R2NK1 w - -,f3e2
r1qrb1k1/1p3ppp/p2Bpn2/8/2PN4/PP3B1P/1Q3PP1/3RR1K1 b - -,d8d6
4rrk1/1p2q3/p2p3p/1b1P1pp1/1P3P2/2NQb1BP/6P1/1R2R2K w - -,c3b5
r1bq1rk1/1ppn2bp/3p4/p1nPpp2/2P1P3/P1N1BN1P/1PQ2P2/R3KB1R w KQ -,e1c1
r5k1/Bp3pbp/1Qp1q1p1/8/4N3/P6P/4BPP1/5RK1 b - -,e6e4
2r3k1/2r2ppp/5n2/b3B3/1pP1P3/pK1P1BPP/P7/2RR4 b - -,c7d7
2r3k1/pp4p1/1q2p1Q1/n2pNrPp/3Pp3/8/PP3P1P/1R4RK b - -,b6d6
r4r2/pp3pkp/2n2qp1/2p5/3p1Q2/3P2PP/PPP2PB1/R4RK1 w - -,f4f6
r2rbnk1/1p2qppp/2n1p3/p1NpP3/3P4/3B1N2/PP1Q1PPP/2R1R1K1 w - -,d3b1
2rqr1k1/pb1nppbp/1p1p1np1/2p5/3PNB2/2PBPN1P/PPQ2PP1/2R2RK1 b - -,c5d4
r7/p1n2kp1/2p2p2/P1B4p/1PR5/6PK/2r4P/8 w - -,c4c2
8/5k2/1r6/1P3pp1/7p/3R3P/2r3P1/1R4K1 b - -,f7f6
8/2R5/3r4/p1p2pkp/2P1p3/1P4P1/4KP2/8 w - -,c7c5
r2qk2r/p1pbbppp/2pp1n2/8/3NPB2/2N5/PPP2PPP/R2Q1RK1 b kq -,e8g8
1rNR4/5pk1/p5pp/1pp1r3/2P2n2/7P/PP3P2/2KR1B2 w - -,c4b5
8/Np6/2k3p1/2P1prP1/8/1BP1n3/1K3N1b/6R1 b - -,c6c7
r1b2rk1/pp2ppbp/n5pn/8/3Nq3/2P2N2/PP2BPPP/R1BQK2R w KQ -,e1g1
6nk/2p3qp/1p1p4/pP1N4/2P5/P5P1/5Q1P/6K1 w - -,g1g2
r7/pp3qpk/2pQ3p/3n4/3P1N2/1B2P3/PP1r2P1/R6K w - -,f4d5
8/8/4b3/5k2/7p/4NK2/8/8 b - -,f5g5
2r2b2/p1r2k2/5n2/1p1p3p/3P1P2/P1N1PKPP/1P6/R4R2 w - -,g3g4
8/8/3B2k1/qP3p1p/4p2P/4P1P1/4BK2/8 b - -,a5b6
6k1/1p1r1pp1/pBp4p/7b/PP2PP2/2n3P1/1R3KBP/8 w - -,a4a5
8/1p4k1/2p2p2/2q4p/4P1p1/1P1B2r1/P1K1Qp2/7R w - -,c2b2
r5k1/5p2/r1bBp1p1/1p1pP1qp/1P1Q2P1/2PP1BK1/5P2/7R b - -,a6a1
8/4b3/p3p3/4q1k1/2pR1PP1/P1B4R/1P5K/8 b - f3,e5f4
r2qkb1r/pp1n1ppp/n1p5/4Nb2/P2P4/2N2P2/1P2P1PP/R1BQKB1R b KQkq -,d7e5
8/4k2p/1b1Rbpp1/4p3/8/4P2P/4BPP1/4N1K1 b - -,e7d6
2b1r3/p4k1p/2pPpnp1/1pP2p2/1P3P2/PBB5/4R1PP/6K1 b - -,f6e4
rn1q1rk1/p2pppb1/1p4pp/8/2P1p3/6PB/PP2PP1P/R1BQ1RK1 w - -,h3g2
r1bq1rk1/1p1nbpp1/p1p1pn1p/3p4/2PP3B/2N1PN2/PPQ2PPP/3RKB1R w K -,f1d3:a2a3
r1bqr1k1/pp3p2/1bn4p/3p2p1/3Nn3/2P2NB1/PP2BPPP/R2Q1RK1 w - -,f3e1
r1b1k2r/pp1q1p1p/2pPp3/6Bp/2nP4/5Q2/PP4PP/R4RK1 w kq -,g5e7
8/2p4p/4kn2/1p4K1/1Pp5/2P2P1P/3B4/8 b - -,f6g8
r1b2rk1/p2qnpb1/1p1p1npp/2pPp3/2P1P3/2N2NP1/PP3P1P/R1BQRBK1 b - -,f6h7
1r2kb1r/p2p1ppp/bqp5/2ppPP2/P7/3P1N2/1PP3PP/R1BQK2R b KQk -,b6b4
8/5npp/p3p3/k3Pp2/3P1P2/1p1N1KP1/1P5P/8 w - -,d3c5
1r3b2/7p/p1k3p1/1pp2p2/2P2P2/1P1RNK1P/P5P1/8 w - -,g2g4
r2q2k1/pbpn1ppp/1p1br3/3p4/3Pn3/1P1BPN2/PB2NPPP/2RQR1K1 w - -,e2g3
5r2/p6p/3k4/1prP1Bp1/2n1P3/6P1/P4P1P/2RR2K1 b - -,d6e5
1knb3r/1pn2pp1/1q2p2p/3pP2P/QB1P1PP1/P2B1N2/8/2R1K3 b - -,d8e7
r1bqkb1r/1p2pp1p/p1n3p1/8/B2P1n2/1QN2N2/PP3PPP/R1B1K2R b KQkq d3,f4g2
r1bqk2r/pp2bppp/1nn1p3/2ppP3/3P1P2/1BP2N2/PP4PP/RNBQK2R w KQkq -,c1e3
8/8/8/P1P5/4b3/1R3p2/r2kpK2/4R3 w - -,b3e3
3r4/1pkn3p/2p3p1/2P2p2/1PK1pP2/4R1P1/4P1BP/8 w - -,g3g4
r3k2r/1b1p1p1p/p3pPp1/2q5/5P2/3P4/1P4PP/R1BQ1RK1 w kq -,f1f2
r2qnrk1/pp2ppbp/1n1p2p1/4Pb2/3P1B2/1QN2N2/PP2BPPP/R4RK1 b - -,f5e6
8/p7/7k/5R1P/1P4KP/q7/8/8 w - -,f5f6
r2q1rk1/pp1bppbp/2n2np1/8/2Pp4/1Q1P1NP1/P3PPBP/RNB2RK1 w - -,b1d2
1kr5/1p3pp1/pr2p2p/3p4/2nP4/2PN1P2/PP2R1PP/4R1K1 w - -,d3c5
1rb2rk1/1p2qp1p/p1n1p1p1/2p5/P7/1BNP3R/1PPQ2PP/R6K b - -,c6d4
2rr1nk1/2q1b1p1/pp3p1p/4pN2/P1P3PP/1P1R1P2/1B4K1/3RQ3 b - -,f8e6
1r4k1/p1p3pp/2p5/3p1r2/2P2B2/1P1P4/P4PKP/1R2R3 b - -,f5f4
8/8/pB2p3/1n1pP3/2pP1k2/2P5/2PK4/8 b - -,f4f3
r4rk1/pb4pp/1p1b4/2pp1q1Q/3PpP2/1P1BP2R/PB4PP/R5K1 w - -,h5f5
r3r1k1/pb2bppp/1p2pn2/6B1/qP1NP3/P5P1/4QPBP/R2R2K1 w - -,d1c1
8/8/2R5/2P5/1r1p1k1P/3K4/8/8 b - -,f4e5
8/4qppk/3R3p/1QR1Pb2/4p1P1/4P2P/5PK1/r7 b - -,f5g4
r2q1rk1/1p3ppp/p1nbpn2/3p3b/3P1B2/2NBPP2/PP2N1PP/2RQ1RK1 w - -,f4d6:c3a4
1r3qk1/2pn1pp1/1p1p1n2/3Pp3/1PP1P3/2QN1PPB/8/R5K1 b - -,b8a8
8/5p2/3b1pk1/p5p1/r1PB4/3K4/5P1p/7R w - -,c4c5
2b1rnk1/r4ppp/p1p4q/1p6/8/1P1BP1R1/PBQ3PP/5RK1 b - -,f8g6
r2qnrk1/1b1nbppp/p1pp4/1p3N2/3PPBP1/P1N4P/1PP2QB1/R4RK1 w - -,a1e1
r2r4/4qpkp/4b1p1/1B2p3/np2P3/P5NP/1P2QPP1/R3R1K1 b - -,a4c5
3q2k1/5pp1/2p1pn1p/8/2P1pPP1/2P1B2P/2B1K3/7R b - -,d8a5
8/8/R7/P1p2pk1/8/2r2K2/8/8 w - -,f3e2
rn1q1rk1/pp3ppp/2p1p3/8/P1BPn3/2P1Pb2/2Q2PPP/R1BR2K1 w - -,g2f3
1r3rk1/n2bppbp/pq1p2p1/2pP1P2/2P1P3/2NQ2PP/1P3RB1/R1B3K1 w - -,h3h4
8/3n3k/1p3r2/4p1RB/8/6P1/4PPK1/8 w - -,h5e8
2bq2kr/5rn1/pp4pp/3Pnp2/P1B2B2/1QN4P/1P4P1/4RRK1 b - -,e5c4
3n4/5qkp/3p2p1/2pP2P1/1p3P1P/1PbBr1B1/2Q4K/3R4 w - -,d3c4
8/p1p5/1p2k3/8/n4P1N/P1P5/3K4/8 b - -,a4b2
8/5k2/p4r1n/2pP1pRP/1pP1pK2/1P6/1P2B3/8 b - -,a6a5
7r/6k1/1p2p3/3pn3/1P4q1/PN3p2/6RQ/R5K1 b - -,f3f2
r1b1kb1r/pp2pp2/5n1p/6p1/2Bn3B/2N5/PP3PPP/2KR2NR w kq g6,d1d4
8/1r5p/3k1pp1/p2Pp3/2R3PP/PPK2P2/8/8 w - -,c4c6
r4rk1/1p1bqpbp/6p1/n1n1p3/p1Pp4/P2P2P1/2QNPPBP/BR2NRK1 w - -,c2d1
4k3/6pp/4p3/1n1p4/pB1P2p1/3KPP2/P6P/8 w - -,f3g4
r1b2rk1/pppnqppp/3pp3/8/2PP4/2Q2NP1/PP2PPBP/R4RK1 b - -,e6e5
2kr3r/pp1q1bb1/2np3p/1N1n1p1P/2P5/4PB2/PP6/R1BQK2R w KQ -,f3d5
rn2k2r/1bq1bppp/pp1ppn2/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 w kq -,d1d2
r1bqk2r/pp2bppp/2n1p3/2p2n2/4N3/1P3NP1/PBPP1PBP/R2QK2R w KQkq -,e1g1
8/8/5kp1/2N1p3/4K1Pn/5P2/8/8 w - -,c5d7
8/R6p/5r1k/6p1/P6P/6P1/4RPK1/r7 w - g6,h4g5
r4rk1/pp3pb1/3p1qnp/2pP2p1/Pn6/2N1BPP1/1P3PBP/2RQR1K1 b - -,b7b6
r1bqr1k1/pppn1pbp/3p1np1/6B1/2PNP3/2N5/PP2BPPP/R2Q1RK1 w - -,f2f4
Q7/p4pPk/3p4/4p1p1/PPbp2P1/6K1/8/8 b - -,h7g7
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq -,g1f3:f1g2
4k3/1pK5/2p3P1/4Nn2/P4p2/1P6/8/8 w - -,c7b7
2kB3r/ppp2ppp/2n5/q2n4/1b4b1/2N2N2/PPP2PPP/R1Q2RK1 b - -,d5c3
8/4qpkp/6p1/8/8/5b1P/PQ4PK/8 b - -,f7f6
5nk1/p3r2p/1r2P1p1/4n3/3P2P1/4B3/P1R3KP/5R2 w - -,f1f8
3rr1k1/2q1bppp/p1bp4/1pp1n3/4PB2/P1N4P/1PPQBPP1/3RR1K1 w - -,c3d5
5rk1/2p2q1p/3pR1p1/1P1P2P1/p6P/P7/1P3p2/3K1Q2 w - -,e6e2
3rr1k1/5ppp/p5q1/2p5/P2bb3/1P1R3P/2Q1NPP1/2R1N1K1 w - -,e2d4
2r1k1r1/pN2p2p/5p2/3Rnp2/6n1/2B3P1/P1P2P1P/5RK1 w - -,d5c5
b4rk1/2q1b1pp/3p4/3Ppp2/8/3Q3P/1PPN1PP1/2B1K2R w K f6,c2c4
1rb1nrk1/3nqpbp/3p2p1/1ppP4/4PB2/2N2NPP/1P3PB1/R2QR1K1 w - -,f4g5
8/2Bk4/1P3p2/2P2P2/8/1P5p/1r5P/5K2 b - -,b2b3
r3k2r/p1qnbpp1/b1p1pn2/7p/2N4P/2P3N1/PP2BPP1/R1BQK2R b KQkq -,a8d8
bn6/4k3/p2ppPp1/Np6/1P1NPP2/P2PK3/8/8 b - -,e7f6
r2q2rk/pp1bbp1p/4p3/3pP2p/2nP4/2PB1NP1/P1Q2PK1/R1B4R b - -,h5h4
r4rk1/1bqnbppp/pp1ppn2/8/4PP2/1NNB3Q/PPPB2PP/4RRK1 b - -,g7g6
3rkb1r/1p1b1ppp/p3pn2/8/PqNP4/2N5/1P2BPPP/2RQ1RK1 w k -,b2b3
1r2r1k1/1pp1qppp/2n5/pR4b1/4p3/P1P1P3/2QPBPPP/2B2RK1 b - -,g5f6
1R6/5ppk/7p/p3Pq2/3p4/6nP/2rN1PK1/1Q6 w - -,g2g3
r1b1r1k1/1pq1bp1p/p1n1p1pB/8/3PN3/2PQ4/P1B2PPP/R3R1K1 w - -,a1d1
5k2/5p2/7p/4K2P/4B3/8/7r/6R1 w - -,e4f3
r4rk1/p4q1p/3R1bp1/2pn4/2Np4/3B4/PP3PPP/R2Q2K1 w - -,d3e4
6k1/6p1/7n/7K/8/7P/5R2/8 b - -,h6f7
8/8/5Rp1/5p1k/7p/7P/2r3P1/5K2 w - -,f6a6
r1bq1rk1/pp2ppbp/2n2np1/2Pp4/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,c8g4
8/6k1/8/4KP2/1p2P3/7R/8/1r6 w - -,e5e6
8/6bk/1B5p/5R2/2P4r/1P1K3P/5P2/8 b - -,h4h3
8/p4p1k/1p4p1/8/3PQ3/P6P/1P3qPK/8 w - -,b2b4
5rk1/p7/2pp1r2/4n3/2P1p2p/4P3/PN1R1PP1/2R3K1 w - -,g1f1
3rr1k1/pq2pp1p/1p4pb/3nB3/P2P4/5N1P/1P3PP1/R2QR1K1 b - -,a7a6
1r2rbk1/3R4/1pB1p1p1/p4p1p/2P4P/4P1P1/P4P2/3R2K1 b - -,f8c5
r3k2r/pp1b1pbp/1q2p3/3pP3/2p2p2/2P1P1P1/PPQ1BKP1/RN5R w kq -,g3f4
2r5/pn2p2k/1p2p1pb/4P3/P2P2RP/5N2/3B1P2/6K1 w - -,d2h6
2r3k1/5pp1/pB5p/P1N5/2q3b1/3R4/1bP2QPP/6K1 b - -,c8e8
3r4/1p1r1k1p/p1p1pppb/5P2/2PP2P1/2R2Q1P/1q4K1/3R2B1 w - -,g2h1
3r2k1/1p2bpp1/1qp1p2p/3r4/p2P4/P2NP1P1/1PRQ1PP1/2R3K1 w - -,d2e2
r3bk2/2Bn1pbp/pp3n2/2pP4/P1B5/7P/1PP2PP1/R3R1K1 b - -,a8a7
r2r2k1/4bppp/1qp1p3/p2nP3/8/1B6/PP2QPPP/2BR1RK1 w - -,b3c2
r2q1rk1/pp3ppp/2n1bn2/2bp2B1/8/2N2NP1/PP2PPBP/2RQ1RK1 b - -,c5e7:d5d4
rn1qk2r/p1pn1ppp/bp1b4/4p3/1PP1P3/P4NP1/3NQPBP/R1B2RK1 b kq b3,a6b7
2rq1r2/bp3pk1/p1npb1pp/3Np3/PPN1P3/1BP5/3Q1PPP/R4RK1 b - -,f7f5
r2q1rk1/pp2ppbp/2n3p1/3p4/4P1n1/1NN1B3/PPPQ3P/R3KB1R w KQ -,e4d5
rn1qk2r/5pp1/p3pn1p/3pNb2/Rb1P4/1PN1P2P/3BBPP1/3QK2R b Kkq -,b4c3
r1bqr1k1/p4pp1/2p2n1p/3p2B1/1b6/2NB1Q1P/PPP2PP1/R4RK1 w - -,g5h4
5rk1/4b1p1/pqp1pr1p/8/5B2/P3P3/1PR1QPPP/3R2K1 b - -,g8h8
4kb2/3r3p/p2prp2/2pR2p1/2p1PBP1/P1P2P1P/1P1R1K2/8 w - -,f4g3
r3r1k1/p2n1p1p/1p4pP/2pPb3/2P2PP1/1P1BB3/P3R3/2K4R b - -,e5d6
r1b1k1r1/p3pp1p/2pp1npB/q7/2P1P3/2P5/P3BPPP/R2Q1RK1 w q -,h6d2
1r1q3r/3nbkn1/pp1p1p1p/2pPp1pP/2P1P1P1/P1NQBPN1/1P3K2/R1R5 b - -,d8c7
7k/5p1p/5p2/2Kp1P2/2bP1P2/1R6/8/6R1 b - -,c4b3
4rrk1/1bqn2pp/p2bpn2/1p6/2p1P3/2N2N1P/PPBBQPP1/R3R1K1 b - -,d7e5
r1b1rnk1/4q1pp/1pp5/p3pP1Q/P3P3/6PP/1PP5/R2R1BK1 b - -,c8a6
b1q3k1/2p1bpp1/p1p1p2p/2P1P3/Q7/1N2B3/PP3PPP/6K1 b - -,c8b7
r4rk1/1bppqpbp/1n4p1/p1p1P3/2P5/1P1B1N2/PBKQ1PPP/4R2R w - a6,a2a4
7k/2p2Rrp/2pp4/p3p3/4P1b1/4P1N1/PPP4P/6K1 w - -,f7f6
rnbqk2r/ppp1ppb1/3p3p/6pn/3P3B/4P3/PPPNBPPP/RN1QK2R b KQkq -,g5h4:h5f4
2r1q1k1/1RQ2pp1/1p5p/2p5/3p4/3P1PPP/5PK1/8 w - -,c7b6
r3n2r/ppkn1pbp/2p3p1/4p1P1/2P2P2/2N1B3/PP1RBP1P/2K4R b - -,b7b6
3r2k1/1R3p2/Q4n2/P2r4/5q2/3pN2P/1P3PP1/6K1 b - -,d5d6
8/4k3/2R5/4Ppr1/3B4/2p4P/P2b1PK1/8 w - -,g2f1
4k3/1p2r3/p2Q4/3P4/7p/P5b1/KPP5/8 w - -,d6g6
4r1k1/2qn1pbp/3p2p1/1p1P4/2p1PPN1/5Q1P/1P3RP1/rB3R1K w - -,f4f5
r1b1k1nr/1p2b1pp/p1p2p2/2p5/2Q1PB2/2N5/PPPN1PqP/2KR2R1 b kq -,g2f2
8/8/N2b2bp/1p6/6p1/P2Nk3/1PP3K1/8 w - -,a6c5
8/8/3P2k1/3K2p1/4r3/8/R7/8 b - -,e4e8
r1bq1rk1/ppp1nppp/8/3p4/3P1B1b/2P5/PP3PPP/RN1QRBK1 w - -,d1h5
4r1rk/1q3n2/pp1p1p1b/7Q/P1PBPP2/1PN2K1P/8/1R2R3 b - -,e8e6
r3k2r/pp1qnpb1/4p1pp/3pP3/3P4/BPN2Q1P/P4PP1/R4RK1 w kq -,a1c1
r1bq1rk1/1pp2ppp/p2p1nn1/3P4/3NPp2/2PB4/P1P3PP/R1BQ1RK1 b - -,f8e8
3K4/3P4/4k3/8/5R2/2r1p3/8/8 w - -,d8e8
r2Qk2r/ppp2ppp/1n2b1n1/8/1bP5/2N3B1/PP3PPP/R3KBNR b KQkq -,a8d8
rn1q1rk1/1p2bppp/1n1pb3/p3p1P1/4PP1P/1NN1B3/PPPQB3/R3K2R b KQ f3,e5f4
bqrb1rk1/3n1pp1/pp1pp3/8/NPPNP2p/P4PnP/3QBBP1/2RR3K w - -,h1g1
8/2r5/4Kpk1/p3b3/2P4p/5R2/2B5/8 b - -,g6g5
4k3/R7/p3r1p1/8/5P2/8/5K1P/8 b - -,e8f8
8/8/4k3/1K6/1pP4p/pP1n4/P7/6N1 w - -,c4c5
r4rk1/pb1nq1pp/1p1pp3/2p2p2/1PPPnP2/P2NPB2/1BQ3PP/R4RK1 b - -,f8c8
4r3/ppq2kp1/1n2pp1p/3p4/3P1bP1/1R5P/PPP1QP2/1K2R3 b - -,b6c4
2rq1rk1/pb2bppp/1p2p3/2ppn3/3PNP2/PP1BP3/1BP3PP/R2Q1RK1 w - -,d4e5:e4c5
r3kr2/pp1n2pp/1n1p1q2/2pPpN1P/2P1PP2/1P6/P2QN3/2KR3R w - -,f4e5
2rrn1k1/ppp3pp/3qp3/2R1p1P1/QP1P4/3BPP2/P5P1/5RK1 w - -,c5e5
r3kb1r/p2p1ppp/2q1pn2/1p6/8/1P1Q2P1/P1P1PPKP/RNB2R2 w kq -,d3f3
r2qk2r/ppp2pp1/2n1bn1p/2b5/2Pp4/3P1N2/PP3PPP/RNBQRBK1 w kq -,b2b3
6k1/1q3pp1/r1p1pb1p/7P/2PPQ3/4B1P1/R4PK1/8 w - -,a2c2
r2q3r/2p2pk1/p2b1n1p/1pn1p3/4P2B/2P3RQ/PPB2PPP/R5K1 b - -,g7f8
r2k1n2/p1pn1pNr/2q1pP1p/3pP3/Pp6/2P5/1PQ3PP/R1B2RK1 w - -,c1f4
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P4/1P2PN2/PBP1BPPP/RN1QK2R w KQ c6,e1g1
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - d6,f3e5:b1c3:c4d5:b2b3:d1b3:d1a4:b1d2
r1b2rk1/pp3ppp/5n2/3p4/3q1B2/2N4P/PPQ2PP1/R3R1K1 w - -,f4e5
r2qr1k1/2pbn1bp/1p1p2p1/pP1Pp3/2P5/2N1B2P/P2QBPPN/R2R2K1 b - -,e8f8
1br3k1/pb3ppp/1p2pn2/8/1P1QP3/P3BP2/2q1N1PP/2N2RK1 b - -,b7a6
1q3rk1/1brn1pbp/pp1pp1p1/6Pn/2P3BQ/1PN1BN2/P3PP1P/2RR2K1 b - -,d6d5
2q5/3N1pk1/1p4p1/pP2rn2/8/5Q1P/P5P1/3R2K1 b - -,e5b5
rnb1nrk1/2q1bppp/p2pp2B/1p6/3NP3/1BN3Q1/PPP2PPP/R4RK1 w - -,a1d1:a2a4
