7R/1p2k3/p1p5/3rr3/1P4K1/4R3/8/8 w - -,e3e5
3r1rk1/1p4b1/1p4pp/4p3/1Nb5/2P4P/1P3PPN/3RR1K1 w - -,h2g4
1r2r1k1/2B2pp1/b1p2q1p/2b5/p1p1P3/1P1R1PQP/P3N1P1/3R3K w - -,b3c4
2r1k3/2qn1pR1/p1p1p3/3pP2p/2pP1P1P/P1N1B3/1PP2K2/7R b - -,c6c5
r4rk1/2pqbppp/p1n5/1p2P3/4p1b1/1BP1BN2/PP3PPP/R2QR1K1 w - -,d1d7
r2q1rk1/p1p1ppbp/2B1bnp1/8/2pP4/N5P1/PP2PP1P/R1BQ1RK1 b - -,a8b8
1rN2k1r/5pbp/1pp3p1/2p1p3/4P1P1/3QBq1P/1PP2P2/R3K2R b KQ -,f8e8
r4rk1/p1pnqpb1/1p2p1p1/3b2Pp/3P1P1P/3QBN2/PPP1B3/2KR3R w - -,c2c4
6k1/p4p1p/5p2/1p6/2b1BP2/P5P1/1r2PK1P/2R5 w - -,c1c2
2r3k1/5pp1/P2R4/4Pp2/2p1bP2/2p3K1/3r3P/R7 b - -,d2g2
7k/2R5/r5p1/4K1Np/5P1P/8/8/8 w - -,g5e6
rn2k2r/p3np2/1p2p1p1/3pP1Bp/3N3P/P1PP4/5PP1/R2K3R b kq -,e8d7
r2r2k1/pp2qpb1/2p2n2/P3p1p1/2B1P1b1/4Q3/1PPNNPP1/R2R2K1 b - -,f6h5
8/p4rk1/7p/R2N2n1/6P1/1P6/P5K1/8 w - -,d5e3
r4rk1/5p1p/3pb1p1/1Q6/PR6/2qB4/2P3PP/5R1K w - -,a4a5
r1bq1rk1/p4ppp/1pnppn2/2p3B1/2PPP3/P1PB1P2/4N1PP/R2QK2R b KQ -,g8h8
1r1q1rk1/2p2ppp/6n1/p1PPp3/2B1P1b1/P3BNb1/1PQ3P1/2KR3R w - -,c1b1
1k5r/3r4/5p2/7p/2p2N1P/1n4P1/5PK1/1RR5 b - -,h8c8
1r6/8/3b2k1/p2P1p1p/2r1p3/P5P1/1B1RR1KP/8 w - -,d2c2
2r2rk1/p2nqp1p/2pb1np1/1p1p4/8/1P2P2Q/PB1PBPPP/1NR2RK1 w - -,b2f6
3r1k2/3P1p1p/4p1p1/pPNb4/3R4/5P2/P2K4/8 w - -,d4a4
4k3/1R6/p5p1/P4p1p/3r3P/6P1/5PK1/8 w - -,b7b6
1r4k1/5p1p/r3p1p1/2p5/p1Pn1P1q/P1NR1P2/1P2R2P/3Q2K1 w - -,e2g2
3rr1k1/2qbbppp/p1pp1n2/8/3NP3/1P4P1/PB1Q1PBP/2R1R1K1 w - -,d2c2
rnbqkb1r/1p3p2/p2p3p/2pP2pn/P7/2N2NB1/1P2PPPP/R2QKB1R w KQkq -,e2e4
8/2p5/3kp3/4p3/PP2P2R/1K3Pr1/8/8 b - -,g3f3
r3r1k1/1p1bbppp/8/q2pP3/3N4/P7/R2NQPPP/2R3K1 b - -,a5b6
3R4/6kp/5r2/pbpnp3/1pP3q1/6P1/PP1Q4/3R2K1 w - -,d2d5
r2qk1nr/ppp2ppp/2nbp3/3p4/2PP1Bb1/4PN2/PP3PPP/RN1QKB1R w KQkq -,f4g3
r2qkb1r/1p3ppp/p1n1p3/4P3/5B2/PnNQ4/1P2NPPP/3R1RK1 w kq -,d3c2
rn1q1rk1/2pp1ppp/2b1pn2/p7/3P4/PPN2NP1/3QPPBP/R3K2R w KQ -,d2c2
7r/2k5/5p2/p3b2p/P1B5/2p3P1/2K4P/5R2 w - -,c4d5
r2qkb1r/1p3pp1/p1n1p3/3p1b2/3P1B2/2N2P2/PPP1N2P/2KR1B1Q w kq -,h1g1
rnb1kb1r/pp2pp2/1qp4p/3p2p1/3P4/4PNP1/PPP2PP1/RNQ1KB1R b KQkq -,f8g7
4r3/2pbrpk1/pp1p1Rpp/3Pn3/2P1P3/4N3/P1P1B1P1/5RK1 w - -,c2c3
r4rk1/2q2pp1/2p1b2p/Np6/1PpP1b1P/2P2N2/2Q2PP1/2K1R2R w - -,c1b2
4k2r/p2n1ppp/1b2p3/8/8/P1N1B3/2P2PPP/1R4K1 w k -,c3b5
r1bq1bk1/1ppprppp/p1n2n2/4p1N1/4PP2/1BPP3P/PP4P1/RNBQ1RK1 b - f3,d7d6
r2q1r1k/pp4bp/2pP2p1/8/4N3/1BP5/P4PPP/R1Q3K1 b - -,d8h4
4b3/8/3k1pp1/p7/1pBNP1P1/1Pp2K2/P1Pb4/8 w - -,c4b5
8/B2q1pkp/3p2p1/p3p3/1bB1P3/1P2QP2/P5PP/7K w - -,e3f2
r2qk2r/pp1nb1pp/5pb1/2pPp3/2P5/3B1P2/PPQBN1PP/R3K2R b KQkq -,g6d3
2brr1k1/5nb1/p2pp1p1/1p2p3/4P2q/P1BR2N1/BPPQ1PP1/3R2K1 w - -,d2e2
8/8/8/8/2bk4/R7/5r2/2K5 b - -,f2h2
1r5k/3nq2p/ppp2p1Q/2p1p3/P3P2P/1P1PNR2/2P3P1/7K b - -,b8g8
r2qk1nr/1p3ppp/p3p1b1/2bpP3/3N4/1PP5/1P2BPPP/R1BQ1RK1 b kq -,g8e7
1q4rk/1p1bn1bp/3n4/P2Pp3/1QP1Pp2/1N3B2/1R4PP/1R4K1 w - -,b3c5
2r2rk1/p3q1pp/Q1p1b3/2b2p2/P3p3/2P2N2/2PB1PPP/1R3RK1 w - -,f3d4
r1bqr1k1/pp3p2/1bn2n1p/1B1p2p1/7B/1N1Q1N2/PPP2PPP/R4RK1 w - g6,h4g3
r3k2r/ppqbn1pp/2n1p3/1B1pPp2/3p4/P1P3Q1/2P1NPPP/R1B2RK1 w kq -,c3d4
rnb2rk1/pp3ppp/5n2/q3p3/2P5/4P1P1/P1Q2PBP/RNBR2K1 b - -,b8c6
r2qkbnr/p3pppp/2pp4/2p4b/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,f1e1:e4e5
1r1rn1k1/1p2nppp/pN2p3/2Rp4/3P4/3NPP2/PP3KPP/2R5 b - -,f7f6
r3k2r/ppp1qp2/2nb2p1/5b2/3PP1p1/2PQ2P1/PP4BP/RNB1K2R b KQkq -,e8c8
8/4kp1p/5p2/p6r/2p5/R1K1PP1P/P4P2/8 w - -,c3c4
1r1qr1k1/3b2bp/pp6/2pPpp2/P1P5/3QB1PP/1P3PB1/R4RK1 w - -,d3d2
8/1p3kp1/2p3pp/B7/PPP2n2/4r2P/6P1/R5K1 w - -,a1f1
r1b1r1k1/pp3pp1/2p2n1p/7q/3Q4/2N3P1/PP2PPBP/R2R2K1 w - -,d1d2
r4r1k/2qnbppP/3pbn2/p3p2P/Np2P3/1N2BP2/PPPQ4/2KR1B1R w - -,f1b5
r5k1/p7/2rqP1p1/3p1pP1/2bb4/1P4P1/P2Q1PBN/4R1K1 w - -,d2d4
r3k2r/1p1bbp2/1qp1p2p/pn1nP1pQ/3PN3/P2B1NP1/1P1B1P1P/2R2RK1 w kq -,d2g5
r1bqrbk1/1pp2pp1/3p1n1p/2n5/p1P1P3/2N2B1P/PPQN1PP1/R1B2RK1 w - -,a1b1
1r1r2k1/2p1qp2/p3p1pp/1p6/1P1bN3/6P1/P1Q1PPBP/1R1R2K1 b - b3,d4b6
2k5/p2b4/1p4P1/3pp3/1Bn5/1Rp2N1r/2P3K1/8 b - -,h3f3
6k1/pp3p1p/3qb1p1/Q2p4/3N4/4P2P/PP3PP1/6K1 w - -,a5a7
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq c3,c5d4
2b5/1P5p/2Pk2p1/8/8/4pB2/2K3PP/8 b - -,c8f5
rn3rk1/1b3pp1/p3pn1p/1p2N3/P1pqPB2/5B2/2Q2PPP/3R1RK1 b - -,d4b6
8/5p2/4p2p/3p1k2/1N1P1P2/2P1K2P/P6b/8 b - -,h2f4
4r1r1/5p1k/1p1q1Pp1/p2Pp1Qp/P1P1R2P/1P1nR1PB/8/6K1 b - -,d3c5
4nrk1/3b3p/1pNp2p1/4pp2/2P5/1P4P1/4PPBP/5RK1 w - f6,g2d5
1n5r/4bppp/4k1b1/1p1pPp2/1P1P1P2/8/3B2PP/RR4K1 w - -,b1c1
8/2b1r2k/5R2/pp1p3p/3B3P/P1P5/1P3PK1/8 w - -,f6f5
1r2rbk1/1bq2pp1/pp1p1n1p/2nPp3/2P1P3/P1NNB2P/3QBPP1/2R2RK1 w - -,d3c5
3r4/6kp/2ppBp2/p3pRP1/P3P3/b1P5/3R1PKP/4r3 b - -,f6g5
4Rr1k/1p3B1p/p4p1P/2pP1P2/2P3PQ/2q5/P7/6K1 b - -,f8e8
8/1p5p/4bppk/2P5/1P1Q1PP1/7P/1rq2N2/3R2K1 w - -,h3h4
1k5r/pp1qrp2/4pQp1/3pP3/6P1/P4R2/1PP2P2/1K2R3 b - -,d7e8
8/2n5/1p2p1b1/3pP3/BPpP4/N1P1k3/1K6/8 b - -,e3d2
r3r1k1/p1qn1pp1/2p2n2/1p1p1P1p/1P1P1b2/P1QB1PP1/4N2P/4RRK1 w - -,e2f4
8/8/8/3p3R/4k3/6P1/3r1K2/8 w - -,f2e1
5rk1/6r1/1p1R2B1/p1pP2N1/1nPn1P1p/2Q5/q5PP/4R1K1 w - -,c3e3
3r1rk1/p1p2pp1/4bn1p/4p3/1q6/2N3PP/PPQ1PPB1/R2R2K1 b - -,c7c5
rnbqr1k1/1p3ppp/2pb1n2/3pp3/p3P3/2PP1NPP/PP1NQPB1/R1B2RK1 b - -,b8a6
3rr2k/2p2qpp/bp3pn1/p3P3/2P5/P1Q3B1/BP3RPP/4R1K1 b - -,f7e7
8/p4R2/r7/2Pp1p2/3Pk2P/4B3/4bPPK/8 w - -,f7e7
1r5k/p4b2/1p3q1p/4r1pP/3p2B1/P2R1P2/1PQ3P1/3R2K1 w - -,d3d4
r1b1kb1r/1p1n1qp1/p6p/1BppP3/8/5N2/PPP1QPPP/R3K2R w KQkq -,e5e6
rnbqkb1r/pppppp1p/5np1/8/5P2/6P1/PPPPP1BP/RNBQK1NR b KQkq f3,f8g7
3rr1k1/1pbn2p1/p3p1np/NqPpp3/1P6/Q2PP1PP/1B2RPB1/5RK1 w - -,e2c2
8/4kpQ1/4p3/3n1p1p/3R3P/5q2/5P2/6K1 w - h6,g7g5
3q1rk1/1pp1bppp/r5b1/n2nN3/8/2PP1Q2/P1B2PPP/RNB1R1K1 w - -,c1d2
8/6pp/8/1R3p2/P3k3/1P5P/2r3P1/6K1 w - -,a4a5
2r3k1/3bbppp/5n2/1P1pp3/B7/2P1B3/6PP/2R4K w - -,e3a7
3q2k1/1pp2ppp/6n1/r1P1nN2/p7/P1Q3PP/1P2PPB1/2R3K1 b - -,a5b5
2brr3/5pk1/3q1bp1/Rp1p3p/1PpN4/2P1PB2/1K1Q1PP1/3R4 b - -,c8g4
3rk2r/p1p1bpp1/1pb3n1/2p1P2p/4NPP1/1PN1B1KP/P1P5/3R1R2 w - -,d1d8
8/4k1pR/5pP1/1pN1p3/1Pb1P3/r4P2/2PK4/8 b - -,a3f3
r3r1k1/p4ppp/1p1bp3/8/2qPR3/2P2Q1P/P2B1PP1/R5K1 b - -,c4d5
5rk1/1pq3p1/pr2p2p/3b1p2/3P4/P1P1RP2/3Q2PP/1B2R1K1 b - -,c7c4
1r2k2r/p1ppbpp1/b7/2p1Pn1p/2P5/PP4P1/1B1N1PBP/R3R1K1 b k -,a6b7
r3q2k/pp1bb1p1/1n2pr1p/3p4/P1pP3P/1nP1BN1N/1PB2PP1/R2Q1RK1 w - -,a1a2
r3nrk1/1p1b1pb1/pq2p1p1/3p2N1/3p1B2/1B1P4/PPP1Q1PP/4RRK1 w - -,e2g4
7r/3k3p/2p5/3pbp2/r7/2P5/PK3PPP/3RR3 w - -,e1e5
2r1k2r/pp3ppp/2n1pn2/q2p1b2/1b1P1B2/1QNNP3/PP3PPP/2R1KB1R b Kk -,b4c3
6k1/4bpp1/7p/4Pp2/3r2P1/1Br4P/P2N4/3R2K1 w - -,g4f5
8/5kp1/R4p2/1p2pP2/4P3/2rP2P1/5PK1/8 b - -,c3d3
rnb1k1nr/pp2pp1p/3p2p1/2q5/2P1P3/2P2N2/P4PPP/R1BQKB1R w KQkq -,d1d4
r1b1r1k1/2p2pb1/ppn2qp1/2N1p2p/4Pn2/2P1B2P/PPQ2PPN/R2R1BK1 w - -,c5d3
r1bq1rk1/pp1nppbp/6p1/2p5/2BP4/B1P1PN2/P4PPP/R2Q1RK1 b - d3,b7b6
8/4kp2/p2p2p1/1pN1p1P1/4Pn2/P7/NPPR1P1r/1K6 b - -,h2h1
2r3k1/p3ppbp/1n4p1/4p3/2p1NP2/2P2P1P/PP2B3/2KR4 w - -,f4e5
8/3r4/4pk2/4n1p1/3pP2p/7P/4BP2/3R2K1 w - -,g1f1
r4rk1/5p1p/4bnpq/8/3R4/Q1P2N2/PPB3PP/1K2R3 w - -,d4a4
r7/4k1p1/2p2p1p/1pn1n2P/4P3/PBP1R1P1/1K6/R7 w - -,b2c2
r4rk1/p2q1pp1/1pp2b1p/3p1b2/3P1B1P/1QP1R1P1/PP3PB1/4R1K1 w - -,g1h2
1k1r4/pP2qpp1/4p2p/4n3/7P/6P1/PPQ2P2/1K2R3 w - -,e1e5
8/2p5/3p1kn1/pPpP2r1/P3Pp1p/5P2/1P3K2/5B1R w - -,f1h3
1rb5/p2p1pkp/6p1/Nr2P3/1P3P2/4K3/5P2/1RR5 b - -,c8a6
8/7p/3p3k/2bP3q/4bp2/5N2/6QP/2R2B1K w - -,f1e2
8/8/8/8/4K2n/1R4k1/8/8 b - -,g3g4
r1b1k2r/pppp1ppp/2nb4/1Nq1n3/2P2B2/1Q2PN2/PP3PPP/R3KB1R w KQkq -,b5d6
5rk1/N4ppp/6r1/3nn3/7P/1P2B1K1/1R3P2/5B1R w - -,g3h3
r1k4r/p1pbbpp1/1pp4p/4Pn2/4N3/1P3N2/PBP2PPP/R2R2K1 w - -,h2h3
rq3rk1/1p2bppp/p1np4/3Pp3/2P5/3nBN2/PP2QPPP/3R1RK1 w - -,d5c6
4k3/8/6K1/3PP3/8/8/p6r/R7 b - -,h2f2
2r5/pp4pk/4b1np/1P2P2q/1B1R4/5pP1/P4P1P/3Q1BK1 w - -,h2h4
r2q1rk1/pb1nbppp/1p2pn2/2Pp4/1P1P4/2N2N2/P1Q2PPP/1RB1KB1R w K -,f1d3
6k1/p4p2/6p1/4b3/2p1R3/8/2KB2PP/7r b - -,f7f6
r2qr1k1/pb2b1pp/1pp5/3pp3/8/1PQBP3/PB3PPP/R4RK1 w - -,d3f5
rn1qkb1r/pb1p1ppp/4pn2/2pP4/2B1P3/5Q2/PP1N1PPP/R1B1K1NR b KQkq -,e6d5
8/2b5/8/P3k3/1P6/2PK3P/8/8 b - -,e5d5
3r2k1/1p6/1P1P2p1/5p1p/5P1P/3R2P1/5P2/6K1 w - f6,d6d7
r1bq1rk1/pp1pnpbp/2n3p1/1Bp1p3/4P3/P1NP1N2/1PP2PPP/R1BQ1RK1 w - -,b5c4
5bk1/2p3pp/Q1p1b3/2PnNpq1/P2P4/4P2P/r5PB/1R2R1K1 w - -,e1e2
r5b1/q3b2k/2p5/p1P2NpB/Pn3p1p/R6P/1B2QPP1/3r2K1 w - -,e2d1
5r2/pp2pk1p/3pbp2/4nN1P/1P2PKP1/P5R1/8/R7 b - -,f8c8
