8/8/8/r4k1p/5N1P/1R4K1/8/8 b - -,f5e4
8/1R3p2/3pk1p1/2p4p/3nP1P1/4KP1P/8/8 b - g3,h5g4
2rqr1k1/pp3pp1/2n1bn1p/2bp4/5B2/P1NB1N1P/1PPQ1PP1/R3R1K1 w - -,a1d1
7k/1n4qp/p2p3b/2pPp2Q/2p1N3/5K2/P1B5/8 w - -,e4g3
7r/2p2p1N/2k1bN2/1pp1Pp1P/p1n2K1P/P1P5/1P2R3/8 b - -,b5b4
2b5/5pk1/pR3p1p/2r3p1/8/1B5P/P4PP1/6K1 b - -,a6a5
r4rk1/pp1nqppp/2p1b3/4p3/2P5/2NP1B2/PP2QPPP/R3R1K1 b - -,a8d8
1rR5/4rpkp/n3p1p1/pp1p4/P2P4/1P1NP3/5PPP/2R2K2 b - -,e7b7
rnbqk1nr/1p3ppp/p1pB4/3p4/3P4/2N1P3/PP3PPP/R2QKBNR b KQkq -,d8d6
R3kbnr/5ppp/4p3/1pnqP3/2p5/5N2/1P1NQPPP/2BR2K1 b kq -,d5a8
8/6k1/6P1/K5p1/1P5p/8/P7/8 w - -,b4b5
r6k/1n4p1/2q2p1p/2pRpN2/ppP1P3/1P6/P4PPP/3Q2K1 w - -,h2h3
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,f8d6
r4rk1/1pp1qppp/2n2n2/3P4/p1Np2b1/P1NBP3/1PQ2PPP/R3K2R w KQ -,d5c6
8/8/2p5/p4r2/Pp6/1P4k1/KP3p2/6R1 b - -,f2g1b
8/5pk1/2Np2p1/3Pp2p/4P2P/3n1P2/1rR3PK/8 w - -,c2b2
8/4k3/4p1p1/7p/5P1P/1p1R4/5KP1/1r6 b - -,e7f6
8/8/1R1kp3/p4pPK/8/6r1/P7/8 b - -,d6e5
r4rk1/2qn4/1pp3b1/3p1pb1/3Pp3/1P2P1pP/PBQ3P1/2KBRN1R w - -,b2c3
3b4/1p3pk1/p3p2p/8/P1BP2P1/2K1R1P1/2P3P1/1r6 w - -,c4b3
r1b1kb1r/1p2pp1p/1p4p1/2q5/8/2N5/PPQ1PPPP/R3KB1R w KQkq -,e2e3
6k1/3R4/2r3P1/1Bp4K/3p1b2/1P6/2P5/8 b - -,c6c7
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2P5/PP1N1PPP/R1BQKBNR b KQkq -,c5d4:b8c6:d5e4:g8f6
rnbq1rk1/pp3ppp/2pb1n2/3p4/3P4/2N2NB1/PP2PPPP/R2QKB1R w KQ -,d1c2
2r4k/6pp/p3p1q1/3p1bP1/3P4/BP5R/3R1QB1/4K3 b - -,f5h3
r1bqkb1r/pppn1ppp/3p1n2/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq -,d7c5
q2r1bk1/pb1r1pp1/1p2pnnp/3P4/1P2PP2/P1N4P/3NQ1PB/2R1RB1K b - -,e6d5
r2qk2r/pp5p/2pb1np1/3pn1BB/8/2P5/PP3PPP/RN1Q1RK1 w kq -,h5e2
2kr3r/1pq1bp1p/1n2b3/3pPB2/p1pP4/PnP1B1N1/1P5P/1R1QNRK1 w - -,d1h5
6k1/5p1p/3r2p1/prp1N3/4n3/4P2P/1P3PP1/R2R2K1 w - -,d1d6
2k2qrr/pb2b3/2n1p1np/3pP1pN/2pP2P1/2P1BN2/P4PB1/1R1QR1K1 b - -,g6f4
6B1/7p/3k2p1/p1p5/P3Kb2/7P/6P1/8 b - -,g6g5
rnk2b1r/ppp2p1p/4bp2/8/4Pp2/2N5/PPP1N1PP/R3KB1R w KQ -,e2f4
8/8/5k2/7R/4K2p/r7/8/8 w - -,e4f4
5q1r/1pk2pnr/p1p1pQp1/P1PpP1Pp/1P1P2PR/2K2P2/7R/2N5 b - -,c7d7
7r/1p1b2k1/3p1p2/q2Pn1pB/3QPpP1/5P2/3N2K1/R7 b - -,a5b5
2rqkbnr/1p1bpppp/p2p4/8/3QP3/2N2N2/PPP2PPP/R1B2RK1 b k -,e7e5
r2q1rk1/pp1b1npp/4p3/3pPp2/3Q4/2NBP3/PP3PPP/R4RK1 w - -,f1c1
3rr1k1/p6p/8/2pP1B2/2p5/PbP3KP/6P1/R4R2 b - -,d8d5
6k1/p5pp/3q4/2p3Nb/2Pp2n1/3P1Q2/P3nPBP/2B3K1 w - -,f3e2
r3r1k1/pp3ppp/1qn1bn2/3p2B1/8/P1NB1P2/1PP3PP/R2QR2K b - -,f6d7
1n1r1k2/2q3pp/2pb1p2/1r2pB2/1PQ1P3/4B3/5PPP/1RR3K1 b - -,c7f7
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/1P1P1N2/PBPNBPPP/R2Q1RK1 b - -,f6e8
2r3k1/1p2bpp1/r3p2p/3p1b2/2pP1B1P/P1P2PP1/1P2BK2/3RR3 w - -,e1h1
8/Rp6/b3pk1p/3p1p1P/1Pr5/P1P2r2/1K1R4/3N4 b - -,c4c7
8/4b3/4p3/3PP1p1/2P4p/3K3P/2N3k1/8 b - -,e6d5
rn2kb1r/pp2pppp/2p2n2/q7/2B5/2N2Q1P/PPPP1PP1/R1B1K2R w KQkq -,e1g1
r2q1rk1/1p3pbp/2b3p1/p1n1p3/8/1P2P3/P3BPPP/B1RQ1RK1 w - -,c1c5
1qr3k1/1r1nppbp/b2p2p1/2pP4/P4P2/1P2N1PP/2QBP1BK/1R2R3 b - -,g7d4
1r4k1/q4ppp/r7/n1RRQ3/4P3/P4P2/4NKPP/8 b - -,a5b7
8/r4kpp/1r6/p1Rpn2P/5N2/PPR5/1K6/8 w - -,c5d5
rn1q1rk1/ppp2pp1/3bpn1p/3p1b2/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 w - -,d2d3
r7/2p1k2p/6p1/p3p3/2NnP3/1r1P1P2/R2K2PP/7R b - -,b3b5
3r2k1/q4pp1/2Rp4/2nP3p/pp3P2/P1b2QP1/6BP/3R2K1 w - -,g1h1
2r3k1/1p3pb1/p1n1r1p1/3Rn1B1/2p1P3/2P2N2/PPB3P1/2KR4 b - -,c8e8
2rq3k/4n1b1/p2p3p/1p1Pp1pP/1P2PrN1/P4PN1/3QK3/2R3R1 b - -,d8d7
r1b1kb1r/pp1p1ppp/2B1pq2/8/8/2P3P1/P3PP1P/RN1QK1NR b KQkq -,b7c6
r3k1r1/1pqbb1p1/p2ppn1p/2p1n3/4PNP1/P1NPB2P/1PPQ2B1/R4RK1 b q -,g7g5
1Nb5/6p1/p4pkp/4p3/3p1P2/1P1PP1P1/P4K1P/8 b - -,d4e3
8/8/Q3p2k/7p/2B3p1/8/1q4K1/8 w - -,g2g1
8/8/6p1/P6b/P2KBk2/r7/7p/1R6 w - -,b1f1
3b4/2p2k2/3p4/1P1Pp2K/4P3/4B3/8/8 b - -,d8f6
rq5r/1N1nkppp/1p3n2/4p3/2P1P1P1/8/PP3PBP/R2QR1K1 b - -,h7h6
6k1/3R2p1/7p/5P2/6K1/r5PP/8/8 b - -,a3a4
5r2/1b2pp1k/p2p2pp/3P4/P5P1/3P1P2/1r1NK2P/RR6 b - -,b2b1
6k1/1p3p2/3q1n1p/6p1/2Pp2P1/3b1N1P/5PB1/Q5K1 w - -,f3d4
1r6/2r1kp2/4p1pp/pP2n3/1P3KPP/P3P3/2BR4/3R4 b - -,e5c4
r1b1r1k1/4bp1p/1q6/pp1p1p1Q/8/1P1BR3/P1P2PPP/5RK1 w - -,f1e1
rnbq1rk1/pp2ppbp/2p2np1/8/3PP3/2N1BN2/PPP1B1PP/R2QK2R b KQ -,b7b5
3q3k/6b1/1p3rp1/pQpPp2p/P3B2P/6P1/1PR2PK1/8 b - -,g7f8
8/p5bk/1p2B1pp/3p4/3P4/2Q3P1/1P1K2qP/8 w - -,d2d1
rn2k2r/pb2qp2/1p1p1n1p/2pP2p1/2P1p2P/P1P1PP2/3N1BP1/R2QKB1R b KQkq h3,h8g8
4r1k1/1p1b1ppp/5n2/p2p3q/4r3/P2QPNP1/1P3BP1/3R1RK1 b - -,d7g4
r1bq1rk1/6pp/p3pp2/1pp5/3nN3/1B1P2b1/PPP2PPP/R2QR1K1 w - -,h2g3
r4r1k/7p/p2p1q2/1ppPn3/2P1Pp2/5P1b/PP1QB2P/1K1N2RR w - b6,d1f2
8/3p1k2/p1bP1pp1/1pP1p2p/4P3/P1R2P1P/2Nr2PK/8 b - -,a6a5
8/p2b1pp1/3k1n1p/3p4/1P1N3P/3B4/P4PP1/5K2 w - -,f1e2
rnbq1rk1/pp2bppp/4pn2/6B1/2pP4/5N2/PP2BPPP/RN1Q1RK1 w - -,e2c4
2Q5/8/8/1p2K3/1P6/3bk3/8/8 b - -,d3c4
r1b1kbnr/pp2pppp/2n5/3q4/1p1P4/8/PBP2PPP/RN1QKBNR w KQkq -,c2c4
r5k1/rp2qp2/4n1p1/2p1N2p/P2PQ3/4P2P/1R3PP1/1R4K1 b - -,e6d8
r3kb1r/pp1bppp1/2np1nqp/8/2B1P3/P1NQ3P/1P3PPN/R1B2R1K w kq -,f2f4
r1bqk2r/ppp1bppp/2n2n2/8/2Pp4/N2P1N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
2k5/pp2bpp1/2p1p2p/5n1P/r1PNR3/7R/PP1B1PP1/KQ1q4 b - -,d1d2
1r4k1/5pp1/3n3p/p2PpP2/P1p1P3/4R1PN/R1K4P/1r6 w - -,h3f2
5bk1/5p1p/p2r1np1/Pp1PQ3/1P1B1NPq/2N2P2/2b4P/6RK b - g3,h7h6
r3brk1/p3q1pp/2pb1n2/3p1p2/N2B4/1P3PP1/P2QP1BP/R4RK1 w - -,a1c1
6R1/p2bk3/3pp3/2r4p/2pNPq2/8/PPP5/1K1Q4 w - -,d1g1
1r2nrk1/1pqn1p1p/p2p2p1/3Pp1b1/1BN1P1P1/3B1Q1P/2P2P2/RR5K w - -,b4a5
8/2p2kr1/1p1n2r1/p1pP4/P1P1pPp1/1P2N3/5KR1/6R1 w - -,g2g4
r4r2/p2qnpbk/bpn1p1pp/2ppP3/P4B1P/2PP1NP1/1P2QPB1/RN1R2K1 w - -,b1d2
r2q1rk1/1p5p/2p1p2b/p1PbPpp1/P4P2/2B3P1/1P1Q2BP/R2R2K1 w - -,g2d5
r3brk1/1pn3b1/2pp2p1/q1nPppPB/p1P1P3/P1N1B3/1P1N1P2/R2Q1K1R w - -,e4f5
4bk2/5ppp/4p3/p1N5/Pq6/4PPP1/2R2K1P/R7 b - -,f8e7
r4rk1/2p2qp1/1p1p1n1p/p2N4/2PPp3/1Q4P1/PP3P1P/4RRK1 b - -,f6d5
2r1r2k/1b2nppp/pq3P2/1p2pP2/4P3/PNpB1R1P/1PP1Q2K/3R4 b - -,b6f6
4k2R/r3P1p1/P1p3q1/1rN5/8/K1Q5/P7/8 b - -,e8e7
3r4/8/8/8/1kp5/7R/8/2K5 b - -,d8d4
1rb1nrk1/4qpbp/p2p2p1/PppPn3/5B2/2N1P2P/1P1NBPP1/R2QR1K1 w - b6,a5b6
2br1rk1/p3ppbp/2n3p1/qp2P1NP/3Pp3/1B2B3/PP3PP1/R2Q1K1R w - -,g5h7
r1bq2k1/pp3rb1/3p2pp/3Ppn2/1Q2N3/4BN1P/PP3PP1/2R2RK1 w - -,c1c3
8/8/8/4kp1R/4p1pP/2r5/5PKP/8 b - -,c3h3
r1bq2k1/p4ppp/2p2rn1/3p4/Nb1PP3/3B1N1P/P1Q2PP1/R4RK1 w - -,f3e5
2kr4/4qp2/1p1p1nr1/2pbp2p/2PPPn1B/2P2Q2/6PP/R3RB1K w - -,c4d5
r1bq1rk1/ppp1b2p/3p4/3P1RP1/2P1p1N1/4B3/PP1QB2P/R5K1 b - -,f8f5
r1q1k2r/1R1n1pp1/p1Np4/2bP1b1p/2P1pP2/2Q1B1P1/P3B2P/4K2R w Kkq -,c3g7
r1b1q1k1/pp3ppp/5n2/3P4/1b1p4/1Q1B1N2/PP3PPP/R1B3K1 b - -,a7a5
R7/3q1pk1/1p1p3p/3P3P/3n2n1/1N6/2P5/5RK1 w - -,b3d4
r2qk2r/pb1n1ppp/2pb1n2/1p2p3/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d4e5:c3e2
1n3rk1/3rbpp1/p6p/8/2QP1BP1/7P/1P3P2/4R1K1 b - -,a6a5
rr6/1q4bk/1n2bp1p/p1n1p1pP/4P3/1PB1N1P1/PQ1N1P2/3RRBK1 w - -,b2c2
8/8/4b3/p1k5/P7/1PK1N3/8/8 w - -,e3c4
8/1B6/8/8/3k1p2/1K6/4r1P1/8 b - -,e2e7
3qrbk1/5pp1/b2pP2p/2nP1P2/p2Q4/1p4P1/1B3NBP/R5K1 b - -,d8a5
r3kb1r/ppqbnppp/4p3/3pP3/8/3BBN2/PP3PPP/R2Q1RK1 w kq -,a1c1
1r1b1rk1/1bq2ppp/p2p4/2n1pP2/2PpP3/1P3NP1/P2Q1NBP/R3R1K1 w - -,e1e2
r1b1k2r/p1ppnppp/1bp5/8/P3P3/1N3P2/1PP2P1P/R1B1KB1R b KQkq a3,a7a5
r1bqk2r/4bppp/ppnppn2/8/P3PP2/1NN5/1PP1B1PP/R1BQ1RK1 b kq f3,c8b7
r6r/p4kp1/2p2b2/R7/6p1/1PP5/P1KP4/RNB5 b - -,g4g3
8/p2k4/1p1pp2p/2r3p1/2P5/1P2KP2/P2R2PP/8 w - -,d2d4
r1b1qr1k/p5b1/npp5/3p1pnp/3P4/1N2PNPp/1P2QP2/R1BR1BK1 b - -,g5f3
3r1rk1/pb1nqpbp/1p4p1/2pBp3/3PP3/1QP2NB1/P4PPP/3RR1K1 b - -,b7a8
rn1q1rk1/pp3ppp/2pb1p2/8/3P4/2PQ4/PP2NPPP/R1B2RK1 b - -,d8c7
6k1/6p1/8/1p6/2Nr1pR1/5P1P/6P1/6K1 b - -,b5c4
r2q1rk1/pb2bppp/1p2pn2/3n2N1/3P1P2/2N1B3/PP4PP/1BRQ1RK1 w - -,d1d3
1k1r2r1/1pp4p/p1b5/P1q1p3/2Pn2pP/3P2B1/1P2B2P/R2Q1RK1 w - -,g3f2
5rk1/ppp5/2nr3b/5p1p/3PpP1P/P3P2N/1P1B1P2/2KQ4 w - -,d1h5
r1b1nrk1/6b1/pnp2q1p/4ppp1/1P6/1NN1PPB1/P1Q1B1PP/3R1RK1 w - -,e3e4
3b1r2/1R3p2/1p4k1/6p1/1nNP3p/1B2P2P/5PP1/6K1 b - -,f7f6
R2N4/P7/5kpP/4p1n1/r7/8/6PK/8 b - -,e5e4
3rr3/pb1n1k1p/1p2q1pP/1P3pP1/R2p4/2PNP3/PQ3P2/3RK3 w - -,c3d4
6k1/3r1pb1/2p4p/pp2r3/P1p1NP2/2P2K2/1P3P1P/1B4R1 w - -,f4e5
2r5/5p2/r3p2k/2n5/N1P4P/Rn4P1/1R4K1/6B1 b - -,a6a4
5r2/4R3/8/p2k3b/P6P/1P1pB3/8/4K3 b - -,f8b8
r5k1/2R3pp/2B2n2/5P2/8/p5P1/r4P1P/1R4K1 b - -,a2b2
6k1/p4p1p/3q4/3p2p1/2p1rNP1/2P3QP/PP5K/5R2 b - -,g5f4
r4rk1/2q3pp/2p2p2/p4P2/RbPBn3/4N3/5PPP/Q4RK1 b - -,a8d8
r7/1p3p1k/1b2bBp1/p6p/8/P4P1P/1P4P1/2R1RK2 b - -,a5a4
r1bqk1nr/pp3pbp/3pp1p1/2p5/2BnPP2/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,f3d4
r1b1r1k1/1p3pbp/2p2np1/q7/p1P1P3/2N1BB2/PP3PPP/1R1QR1K1 b - -,c8e6
r1bbqrk1/ppp3pp/2nppn2/5p2/3P4/1P2PNP1/PBPNQPBP/R4RK1 b - -,f6g4
1k4r1/pp1bpp2/q2p4/2pPb3/8/P1PPNB2/1PQ2P2/1K5R b - -,b7b6
1k1r3r/1b2pp2/pq1p1n2/1p1Pn2p/4PPp1/7P/PP1QNNP1/1BR2R1K b - -,e5c4
1rb2r2/p3npkp/1qnpp1p1/2p5/1p2PP2/3P2P1/PPPQN1BP/R2N1R1K b - -,f7f5
1k1r3r/pp1nbpp1/2n1p1p1/q2pP3/3P2P1/N2RB2P/PP2QPB1/1R4K1 b - -,d8c8
3q2k1/pp1r1p2/2n3p1/6R1/3p3p/5Q1P/PP3PP1/4R1K1 w - -,g5g4
r2q1rk1/ppp1bpp1/1nnp3p/5b2/2PP1B2/2N2N1P/PP2BPP1/R2Q1RK1 b - -,e7f6
2r2rk1/p4pbp/1p4p1/8/PPbpB3/5QNP/1BPq2P1/R5K1 w - -,b2c1
3r2k1/1pq2pp1/7p/8/3p1P2/P2Q2P1/1P2R1KP/8 b - -,c7c6
2br1r2/pq2npk1/3p2p1/2p5/1pP2N1P/1P4P1/P2QBP2/R3R1K1 b - -,f8h8
r1b1kbnr/pp2pppp/2p5/8/2Pq4/2N5/PP1PBPPP/R1BQK2R b KQkq -,g8h6
r4rk1/pb2q1pp/1pn1pp2/2b5/2B5/2Q1PNB1/PP3PPP/R4RK1 w - -,a2a3
1rbq2k1/p1p1n1bp/1p1p2r1/4pp2/2P2P2/1P1PB1P1/P3N1BP/1R1Q1RK1 w - -,d3d4
r1bq2kr/ppb2ppp/2nNp3/3pP3/1P3P2/B1PB4/3Q2PP/R3K2R b KQ -,c6e7
2rq1rk1/p2nppbp/1pbp2p1/8/1PP1P3/2N1BP2/P2QB1PP/R4RK1 w - -,a1c1
8/b3n1k1/q3P1p1/p2pNp1P/Pp3P2/1Q6/1P2R1P1/2r1BK2 b - -,a6b6
r1q1k2r/pb2npbp/4p1p1/1p2N3/2pPpP2/P1P1P1BQ/1PB3PP/R4RK1 w kq -,g3h4
1R6/3b2p1/1p4k1/1pr3P1/5K2/P1B5/1P6/8 b - -,c5f5
2r2rk1/pp1bp2p/5pp1/n2P4/3QP3/2q2NP1/PR3PBP/5RK1 w - -,d4c3
3r2k1/1p2qppp/pP2p3/N1Pr4/b3Q3/P7/3RnPPP/5RK1 w - -,d2e2
8/4k1bp/1p2p1p1/pK3p2/5P2/2p3P1/N1P1P2P/8 b - -,g7d4
4R3/2p2pp1/3k3p/p1p2b2/2P5/1P6/r4PPP/3BK3 b - -,f5e6
8/8/8/5p1R/7P/4kPP1/6r1/2K5 b - -,f5f4
r2q1rk1/pppnbppp/3p1n2/4p3/2PPP3/2N1BB1P/PP3PP1/R2QK2R b KQ -,c7c6
7k/4pQbp/p1Bp2p1/1P6/8/1P3K2/5P1P/3q4 w - -,f3g2
8/8/2p5/8/2p2kP1/2R2P2/6r1/4K3 w - -,e1d1
4r1k1/ppq1r1p1/2n3pp/3p4/3Pn1P1/PN3B1P/1P3P2/2RQ1RK1 w - -,b3c5
r5k1/5pp1/2p1q2p/2Q4P/1R6/4P1P1/5PK1/8 w - -,b4c4
2rbn1k1/p4ppp/1pp3n1/4P3/5P2/2N1BBPP/PP6/3R2K1 b - -,d8e7
3r4/2p2ppp/1p2k3/p1n5/2P1p3/1P2P1P1/P1R1BP1P/4K3 w - -,c2d2
8/1p1R3P/2p2n2/4k1p1/2P2p2/pP6/P4K2/8 b - -,f6e4
2k5/2p1n3/pp3r2/8/2p1B1b1/2P3P1/PP1RN3/6K1 b - -,f6e6
r4rk1/1bq2ppp/pn2p3/Qpp5/4PB2/1P4P1/P4PBP/R2R2K1 b - -,e6e5
r1q4r/pppb4/5kB1/2Qn4/3P1B2/P7/1P3P2/2K1R2R w - -,c5d5
2r2rk1/1p1qbppb/4p2p/pNnpP3/Pn1N1P2/4B1PB/1P2Q2P/R2R2K1 w - -,d1d2
5r1k/pp2qrp1/3bb2p/3p3R/3P4/2QBP2P/PP2K3/3N2R1 w - -,c3e1
r1b2rk1/pp1nq1bp/2p3p1/4p3/1PP1Pp2/P3BN1P/2Q1NPP1/R2R2K1 w - -,e3c1
5r1k/p6p/1r1pq3/2pbbp2/P4R1P/2P1B3/3QNK2/6R1 w - -,a4a5
8/8/pk6/3p4/3Pp1p1/4K1P1/P4P2/8 w - -,e3f4
r1bqkb1r/pp1pnppp/2n1p3/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,a7a6
r4rk1/pppnq1bp/3n2p1/3Ppp2/4P3/PPN1BP2/3Q2PP/2NR1RK1 w - -,c1d3
2r2rk1/p5p1/bp2B2p/3p2N1/3P4/1P1n1PP1/P6P/R3R1K1 b - -,g8h8
4R3/1p3rqk/p1p3p1/2P2bBp/3P3P/2P1Q3/P4P2/6K1 w - -,e8b8
r1br2k1/p1q1bpp1/2nppn1p/8/PpP1PB2/3Q1N1P/1PBN1PP1/R4RK1 b - -,c6e5
5nk1/P1R4p/3N4/1p6/8/2p5/r5PP/6K1 w - -,d6b5
1k6/8/Pp6/4K3/P7/8/4B3/8 b - -,b8a7
8/8/3Q4/2pPp3/2P5/3q4/7k/3K4 w - -,d1e1
rr3bk1/n2q4/p3p1pp/PpPnPp2/4bP2/2P2N1N/3QBBPP/R2R2K1 b - -,b8c8
3r2k1/5p2/4p1p1/7q/2P1QP2/6P1/2R1R1K1/3r4 w - -,g2f2
2r5/8/1P1bk3/P7/3B1pp1/1K6/5P2/3R4 w - -,a5a6
r5r1/p1k2p1p/1pp1bN2/3p4/3P3P/3BP3/PP3PP1/2KR2b1 w - -,d1g1
r4rk1/pppb1pp1/1n1p2p1/3P4/2PB3b/1PN2PN1/P5PP/R4RK1 b - -,b6c8
2r5/p5k1/3np2p/2pbN3/5PPP/1P6/P4K2/1BR5 w - -,b1d3
3k4/1pq2r1p/p1p2Nn1/2Q5/1P2P3/8/2P3PP/3R2K1 b - -,d8c8
3r2k1/4rp2/P4np1/2p1q2p/2B1P3/2Q2P2/6PP/2R1R1K1 b - -,d8d4
8/2b5/7p/p5p1/1p6/1P2PK1k/PN3P2/8 w - -,b2d3
r1b1r1k1/ppqnbppp/2n1p3/2ppP3/5B2/3P1NP1/PPP2PBP/R2QRNK1 b - -,b7b5
1q1r2k1/pp1rbppp/2n1p1b1/8/N2P2P1/PN2PR1P/1P4B1/R2Q2K1 w - -,b3c5
