8/8/1P2k3/2P5/2K4P/6p1/7r/6R1 b - -,h2c2
8/p2b2k1/2nP1rp1/2p2p2/4p3/4Q3/P1P3PP/6K1 w - -,e3c5
r5k1/1p3p1p/5p2/5p2/2P5/2K2P1P/r5P1/1R2R3 b - -,a8a7
r4rk1/2pbq1b1/1p1p4/p1PPp1pp/1P2Pp2/P2B1P2/4QBPP/R4RK1 b - -,b6c5
1rR3k1/3r2bp/1B4p1/1b3p2/5P2/P3N1P1/1P5P/2R3K1 b - -,b8c8
8/6R1/2p1k1p1/p1P3r1/7P/6P1/6K1/8 b - -,e6f6
rnbq1rk1/pppp1pbp/6p1/5p2/3P4/4P1P1/PPP2PBP/RN1QK1NR w KQ -,g1e2
1r2k2r/bp2pp1p/p1np4/5q2/5P2/1N2N1P1/PPPQ3P/4RRK1 w k -,g1g2
3r1rk1/1Q3ppp/5q2/p1b5/8/5BP1/PP3P1P/R2R2K1 b - -,d8b8
1r6/1P6/3p4/8/1RP1Bpp1/4p1k1/r3K1P1/8 w - -,e2d3
3B4/6pp/B7/2bbkp2/8/5P1P/4K3/8 w - -,a6d3
r1bqr1k1/pp3ppp/2n2n2/2bpp3/8/2PBPNB1/PP1N1PPP/R2Q1RK1 w - -,e3e4
8/2n2k2/2PBn1pp/3p1p2/4pP2/1B2P2P/5KP1/8 w - -,g2g4
r2qk1nr/pbpn1pbp/1p1pp1p1/8/2PPP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,f1e1
2kr3r/2p2p2/p1p1pq2/4Nb1p/QP1P2p1/P1P3P1/5P1P/2R1R1K1 b - -,d8d6
r1b2rk1/pp3ppp/5q2/2bp4/P7/4P3/2RQBPPP/1N3RK1 b - -,f6d6
6r1/5pkp/1b3p2/p1q1pP2/1p4N1/5Q2/PPP3PP/1K2R3 w - -,f3h3
r1bq1rk1/2pnbppp/1p2p3/p1Pp4/1P1P1P2/P1N2N2/4BPPP/R2QK2R b KQ -,c7c6
r2q1rk1/5ppp/p2pbb2/3Np3/PP1nP3/4N3/1P3PPP/2RQKB1R w K -,f1d3
2r2b2/p4Npk/8/2pP4/3p1n2/1P6/PB2QP1P/6RK b - -,f4e2
r4rk1/3bbppp/pqn1pn2/1p1p4/3P1B2/P1NBPN1P/1P3PP1/2RQ1RK1 w - -,b2b4
2r2k2/R4p2/3pr3/2p4p/2P2p2/1P3P2/PK1R2PP/8 w - -,a7b7
1rQ1r2k/6pp/p7/1p1Rb3/N2n4/P2P2P1/1P2PRBP/6K1 b - -,b8c8
4r1kb/4r2p/p1q3pP/1pNp1pP1/1P1PnP2/P2R4/1B4Q1/5RK1 b - -,e4d6
2R2bk1/1P3p1p/6p1/1Q1rq3/6P1/4nP1P/5BB1/6K1 w - -,c8f8
5rk1/rB4b1/p2pqnpp/2p2p2/P4P2/2N1P2P/1P1Q2P1/3R1RK1 w - -,b7f3
r3k2r/1p1bqp2/2pb2pp/p1p1p2n/P3PP2/2NPB1PP/1PPNQ3/R3K2R w KQkq -,e2f2
4rk2/1R4p1/p2r2np/5p2/3Np3/2P1R1P1/PPK4P/8 b - -,d6f6
r1bq1rk1/ppp2pbp/2np1np1/4P3/4P3/2NBBN1P/PPP2PP1/R2QK2R b KQ -,d6e5:c6e5
2r2r2/5k2/4B1p1/pb1p3p/1p3P2/3Pn3/PP2R1PP/2R4K b - -,f7e6
1rbq1r2/pp2n1bk/3p1npp/1P2pp2/8/1QNP1NP1/P3PPBP/1RB2RK1 w - -,c1a3
2Q5/4q1bk/5np1/2pp3p/1p1n3P/1P1NNP2/P4BP1/5K2 b - -,d4e6
r2k1b1r/4nppp/p3N3/5b2/B7/p3B3/PP3PPP/2R1K2R b K -,f5e6
b2r2k1/p4pb1/1p1qp1p1/3nN2p/B2P3P/P5Q1/1P1B1PP1/4R1K1 w - -,e1c1
r1r5/3npkbp/p4pp1/1p1n2N1/3B4/2P5/PPN2PPP/3RR1K1 b - -,f7g8
4rr1k/1b4pp/p7/5p2/PpB1qP2/1P2R1Q1/1B5P/R5K1 b - -,e4e3
r2qk2r/1ppb1ppp/p1n1pn2/8/1bQP4/2N2NP1/PP2PPBP/R1B2RK1 b kq -,b4c3
r5k1/1p1nb1p1/p1rpp2p/4p3/2P1P3/BP3N2/P4PPP/3RR1K1 w - -,e1e2
r3k2r/pppqbppp/2n1b2n/3pP3/3P4/P1NB1N2/1P3PPP/R1BQ1RK1 w kq -,b2b4
8/6pp/2k2p2/b7/p1P5/2BK3P/2N2PP1/8 b - -,a5b6
r5k1/pp6/3p2p1/2pP1n1q/2P1p1n1/1PN4Q/P3N1B1/5RK1 b - -,h5g5
6k1/np4p1/1b2p2p/1qNpPp1b/pP1P1P1P/P5P1/1B5K/2Q3N1 b - -,b6c5
6rq/kp6/p1p1p2r/P1Pp1p2/1P1P1R1p/4P2P/4RQP1/7K b - -,g8g6
4r3/p4pkp/1P1q2p1/1R1n4/2p5/2P2N2/5PPP/3R2K1 b - -,a7b6
2R5/8/8/6p1/P2k1p2/8/rp6/3B2K1 w - -,d1c2
8/p4Rp1/2p1p2p/1kP1P1PP/1P3P2/1r6/8/2K5 b - -,h6g5
r2r2k1/1q2bppp/2ppb3/2P1p3/2P1P3/4BPP1/PR1Q2BP/3R2K1 b - -,b7a6
4r3/p4pkp/2r2bp1/8/1Bp5/2P3P1/P2RPP1P/3R2K1 w - -,e2e3
r1bqr1k1/1p1nbppp/2p1pn2/p2p4/2PP4/1P2PN2/PB1NBPPP/R2Q1RK1 w - a6,a2a3
rn1q1rk1/p4ppp/4pn2/2p3B1/4P3/P4N2/1PQ2PPP/R4K1R b - -,d8b6
2q1r1k1/1p1r2b1/1pp1b1p1/4ppP1/8/P1PP2Q1/1P3PBN/3RR1K1 b - -,c8d8
rnbqkb1r/pp3ppp/5n2/3p4/2pP4/2P2N2/PPB2PPP/RNBQK2R b KQkq -,c8g4
2rq1rk1/1p1np1np/p2p2p1/P2P1p2/2p1P1B1/2N5/1PPQ1PPP/R4RK1 w - f6,e4f5
r2qk2r/3nbppp/4pN2/1p6/3p4/3BPP2/1PQ2P1P/R1B2RK1 b kq -,g7f6
2k1br2/1p6/1q2pBp1/p2pPp1p/PN1P1Q1P/6R1/1P3PP1/6K1 b - -,b6b4
7r/2B1b1pp/B4k2/2pppb2/8/4PP2/PP2K1PP/2R5 w - -,a6b7
8/3k1p2/1p3p2/5P2/4b2P/4N3/3K4/8 b - -,e4f3
r3r1k1/pp3pbp/n4Bp1/q1pP4/2Q5/5N2/PP1RBPPP/4K2R b K -,g7f6
6k1/1p4pp/p7/2B5/2P5/P1Pb4/6PP/6K1 b - -,d3c4
3r2k1/3q1p1p/1p2nbp1/p1pr1p1P/P1P5/1P1P4/3Q1PP1/3RRK2 w - -,c4d5
8/3B4/8/p1b4p/5pP1/6k1/6P1/5K2 b - -,h5g4
8/2r5/p1P4R/PpK5/1Pp5/4P1p1/4k3/8 w - -,c5b6
3R4/8/5k2/5p2/6p1/4r1P1/6K1/8 w - -,d8f8
r1bqk1nr/1ppp1ppp/pbn5/8/P3P3/1N6/1PP2PPP/RNBQKB1R w KQkq -,b1c3:a4a5
rnbqk2r/1p1nbppp/p1p1p3/3pP3/3P4/3B1N1P/PPP1NPP1/R1BQ1RK1 b kq -,c6c5
r3qrk1/ppp3bp/3p1pp1/2nPp3/2P1P1bP/2N1B3/PP1Q1PP1/R3K1NR b KQ -,b7b6
4r1k1/b2R2pp/pqn1rp2/1pp2N2/4P3/1P2QPP1/PB4KP/3R4 b - -,c6e7
3r2k1/pb3p1p/1p4p1/1B2p3/1q1bP3/8/P3QPPP/1R3RK1 b - -,b4e7
3q1rk1/pb1n1p1p/1P1br1p1/2p1p3/2P1P3/1PQPN1P1/1B1N3P/R4RK1 b - -,a7b6
5r2/2Rpk1p1/p3p3/1p6/4BP2/1P2n1P1/P6P/7K w - -,h1g1
5b2/r6k/7p/5p2/p1Np1P2/Rr1PpKP1/4R2P/8 w - -,a3b3
1br1r1k1/pb2qpp1/1p3n2/1Ppp3p/Q2Pn3/4PNP1/P3NPBP/R1R1B1K1 w - -,a4b3
4k3/1R2n3/4p1p1/4Pp1p/5P1P/3K2P1/8/8 w - -,d3c4
2r3k1/pp5p/6p1/1P1p4/N2n4/4RP2/P3p1PP/7K w - -,h1g1
7k/1R6/5K1P/8/5P2/8/8/6r1 b - -,g1h1
2r1r1k1/pb2bppp/1qp1p3/1p4B1/3Pn3/4P2P/PP1N1PP1/2RQ1RK1 w - -,d2e4
r4k1r/ppp1n2p/3p1p2/3Pp2B/q4b1N/3P1Q2/PPP1KP1P/R5R1 w - -,e2f1
rnb1kb1r/pp3pp1/5n1p/2p1q3/3Np3/2N1P1P1/PP1P1PBP/R1BQK2R w KQkq -,d4e2
r4bk1/1b1nrp1p/ppq3p1/3pp3/P1BP4/2P1P1BP/1P1N2P1/R3RQK1 w - -,c4b3
6k1/p4pp1/2q1r2p/3bP3/8/P1BR3P/1P1Q2P1/6K1 b - -,d5e4
8/5pp1/1kn1p3/1p2b1pP/1P4P1/4P3/4B1K1/4B3 w - -,e2f3
r2q2k1/6pp/3p4/3P1b2/2P2Q2/1P2RN1P/5KP1/8 b - -,f5g6
r1bq1rk1/2p1bppp/p1pp1n2/4p3/4P3/2PP1N2/PP3PPP/R1BQKN1R w KQ -,f1g3
R7/8/8/1k6/5K2/p5P1/r7/8 b - -,b5b4
1r2qr1k/1p2p1bp/3p2p1/nP3b2/PQ3N2/4B1PP/5PB1/1R3RK1 b - -,e8d8
2k5/3n1r2/2n1Qp2/1p1N4/p1pP1B2/2P2p2/P1q5/4K3 b - -,c2b1
r4rk1/1ppqbppn/p3b2p/3pB3/3P4/P1NB3P/1PPQ1PP1/4RRK1 w - -,f2f4
6n1/5p1k/2r1b1p1/p2P2Pp/7P/P4P2/1P1QN3/7K b - -,c6d6
8/5k2/p2Pr3/P3pr1p/4R1p1/4R3/5PK1/8 w - -,e3d3
2kr1b1r/1p3pp1/2p1n1p1/6P1/2P5/4B2P/PP3P2/2KR1B1R b - -,d8d1
6k1/5r1p/4p1p1/p7/P2bP2P/1p4P1/1Pr2PK1/1R1N1R2 w - -,b1a1
r4bk1/1b3p2/p2q2pB/1p1np3/8/P4BQ1/1PP3PP/R4R1K w - -,h6f8
6rk/2p2rqp/1p1p1p2/p1nPpN1R/2P1P3/1P3QP1/P6P/5RK1 b - -,g7g6
4N3/5P2/4K1k1/6p1/6P1/b7/8/8 w - -,e8f6
rn2k1nr/ppq1Bppp/2p5/4p3/6Q1/2N4P/PPP2PP1/3RKB1R b Kkq -,g8e7
1r2r1k1/8/p7/2p1q2p/4p2Q/4P1P1/PpR2P2/1K5R b - -,e8d8
r2q1rk1/pb1nbp1p/2p1pnp1/1p6/3PP3/2NB1N2/PPQB1PPP/2KR3R w - -,h2h4
2r1nr2/p4pk1/3P2p1/2p1P2p/4q2P/2Q5/P2RN1P1/K6R b - -,c8b8
8/5pp1/1p2p3/3nPk1p/2P4P/5PP1/r2BK3/2N5 b - -,d5c3
3qbr1k/p1r1b1np/1p1p1np1/3Pp1N1/1P6/2NQB2B/P4PPP/2RR2K1 b - -,e8d7
8/p3k3/6p1/4p3/1pBp4/1P1P1r1n/8/1R2K3 w - -,b1a1
5qk1/2nB1ppp/2N5/4P3/3B4/b1Q2P2/6PP/6K1 b - -,c7b5
8/8/3k2p1/1p5p/2p1Pb2/2P2B1P/4K3/8 w - -,e2d1
6k1/5p1p/8/1r2b1Pp/2R4P/K1p5/4R3/8 b - -,g8g7
rr4k1/q3ppbp/b2p2p1/3Pn3/2p1N3/1P2P1P1/PBQ2PBP/1R1R2K1 b - -,c4b3
2r1bnk1/1pr3p1/pq2p2p/3pP2N/P5P1/3B4/1P2QP1P/R4R1K w - -,f2f4
4r1k1/1b1q1ppp/p2b1n2/8/PpBBn3/1P1QNN1P/5PP1/2R3K1 b - -,e4c5
2r3k1/r2q1ppp/p2P2n1/2p5/2P1N2b/P1BQ4/4R2P/5R1K w - -,d3d5
8/3k2Kp/3P2p1/1p4P1/1Pn5/8/7P/8 w - -,g7h7
3Q2q1/7k/p1p2B2/P2b3p/1P5P/8/6P1/6K1 w - -,d8e7:d8c7
r1bq1rk1/p2pppbp/np3np1/8/1PP5/P3PN2/1B1NBPPP/R2QK2R b KQ -,c8b7
7r/r3q2p/1k1b1p2/1Pp1pPp1/1Q2P3/3PB3/6PP/RR4K1 b - -,h8b8
8/5pp1/8/p2p1P2/P2b2P1/k1r1n2P/8/1Q1B3K w - -,b1a1
r1b1k2r/1p2nppp/p1n1p3/2ppP3/q2P3P/P1P2N2/2PB1PP1/RQ2KB1R w Kk -,a1a2
r3k2r/p4ppp/5n2/3bp3/3b4/6P1/PP3PBP/RNB2RK1 w kq -,b1d2
r1b2rk1/p1p1qppp/4pn2/8/2pP4/N5P1/PP2PP1P/R1BQ1RK1 b - -,c7c5
8/2k2p1p/6p1/8/3p4/5BPb/2p5/1rB1R1K1 b - -,h3f5
2r2rk1/pR3ppp/8/3Np3/3bP3/8/PP4PP/1K1R4 b - -,c8b8
5k2/r3p3/1p1p4/1B1P1P2/8/6p1/5bK1/1R6 w - -,b1c1
5bk1/p5pp/2R5/3n1p2/3P4/3N1PB1/PP1r1P1P/6K1 w - -,d3f4
8/8/8/1K6/4kb1R/8/2r5/8 b - -,e4e5
2r3k1/4rpb1/NB4pp/Pp6/8/2P5/1n4P1/3R1RK1 w - -,d1d5
r2qk2r/3bbpp1/p1nppn1p/1p6/4PP2/PNN1B3/1PP1B1PP/R2Q1RK1 b kq f3,e8g8
r2rb1k1/pp5p/3b2p1/3P2B1/3p2P1/3B3P/PP6/R3R1K1 b - -,d8c8
Qn2r1k1/p2b1pbp/1q4p1/3P4/8/4B1P1/PP2PPBP/R3K2R b KQ -,b6b4
7Q/3nkp2/1q2p2p/3pPn2/1p5P/1P3BP1/6K1/3R4 w - -,d1c1
2r1k2r/1pq1bpp1/p2pbn2/P3p3/4P3/2N1B1P1/1PPQ1PB1/R3R1K1 w k -,e3g5:e1c1
2r3k1/p4pp1/1p2p2p/8/3P4/nN2P3/P1r2PPP/R1R3K1 b - -,a7a5
2rnk2r/p1pbq2p/1p2pbpB/3p1p2/3Pn2P/2PN1NP1/PP2PPB1/R1Q1K2R w KQk -,f3e5
r2r2k1/3q2p1/bR1Npp1p/2B5/pQ1PP3/P4P1P/6P1/6K1 w - -,b4a5
r1b1r1k1/3q1ppp/2p1p3/p1BpP3/P2N1P2/3B4/6PP/1QR3K1 b - -,g7g6
5k2/8/8/Q7/2q5/4PNKp/8/8 b - -,c4e2
1r1r4/p1n1pkb1/4b1pp/1pp1Pp2/2P2P1N/P3BB1P/1P1R2P1/4R1K1 w - -,d2d8
r6k/pp1q1p1p/5pb1/4b3/2B1p2Q/7P/PP2RPP1/R5K1 b - -,a8c8
r3n1kq/2nbppb1/pr1p2p1/R1pP3p/2P5/1P1BP1BP/2QNNPP1/2R3K1 w - -,g3h4
8/5p2/4nk2/R5pp/8/4K1PP/5P2/8 w - -,e3e4
2b1r2k/p1q3p1/8/1rNQp1P1/1P4n1/P4N2/5PP1/2R1R1K1 w - -,g5g6
1r3q2/5k2/2R1bpp1/1BP1p1p1/1P2P1P1/5PP1/8/3Q2K1 w - -,c6c7
8/5p2/8/p1pkPp1p/P4P1P/2PK4/8/8 w - -,c3c4
8/8/2pk2pp/3p1b2/Pb1P3P/4K3/4B3/2R5 b - -,g6g5
2Q5/pp2r2p/1k1p2p1/8/4r3/7P/4nPPK/8 w - -,c8d8
8/1p2qrbk/1P4p1/p2p4/3PN3/3Q2P1/P3R1K1/8 w - -,e4d2
r4r2/1pR1Npk1/p2Pb1pb/4N3/P6R/8/1P4KP/8 w - -,c7b7
8/1p1b4/p2nkp2/4p1p1/P1P4p/1P3PP1/2BB1K1P/8 b - -,h4g3
6k1/5pbp/2N3p1/1pP1p3/r3PB2/6qP/P2n4/RNR2B1K b - -,g3f4
3R4/5pp1/4b1k1/r5N1/2p4P/2K2PP1/P7/8 w - -,d8d2
rn1q1rk1/pp2ppbp/2p3p1/3np3/3P2b1/1B3N2/PPPNQPPP/R1B2RK1 w - -,d4e5
5r2/3b4/1p1b1k1p/p2Pp3/P3P3/1P3P1p/7K/4R2B w - -,h2g3
3r1rk1/1p3pbp/p1qppnp1/8/N1P1P3/1P3Q2/PB3PPP/R3R1K1 b - -,f6e8
r2q1rk1/1ppbbppp/p1np4/4p3/B2PP2N/2P5/PP3PPP/R1BQRNK1 b - -,e7h4
r4rk1/ppqnbppp/2p1pn2/5b2/8/1QNP1NP1/PP2PPBP/R1B2RK1 w - -,c1d2
8/4r1kp/4p1n1/3p2p1/1Q6/1P4P1/1q4BP/5R1K w - -,f1e1
r2r2k1/1p2bppp/p1n1p3/2p5/P1BqPB2/8/1PP1QPPP/R4RK1 b - -,d4b2
4k3/8/4P3/3N4/6K1/8/5n1P/8 w - -,g4f3
8/8/8/6R1/3ppk1r/8/4K3/8 w - -,g5g8
4N3/pq3pkp/4n1p1/1Pb1p3/2Q1P3/2N2PP1/6KP/8 b - -,g7h6:g7f8
7r/3kb3/2pnp3/2Bp2pp/pPbPp1P1/P4r1P/2N2K2/2R1R3 w - -,f2g2
2k5/pR5p/4bb2/1pP5/1P1P1q2/2N1p3/P5BP/1R5K b - -,e6c4
rnbqk1nr/pp3ppp/2pb4/3p4/3P4/2NB3P/PPP2PP1/R1BQK1NR b KQkq -,h7h6
6R1/4k3/6p1/1p2NpP1/1Ppp1P2/P2P2K1/2r5/8 w - -,e5c6
r2q1rk1/3bp1bp/1n1p1pp1/p2p4/P2P1B2/1P2PN1P/B4PP1/2RQ1RK1 w - -,d1d2
r1bq1rk1/4ppbp/pnnp2p1/1pp5/4P3/P1NP1N1P/BPPB1PP1/1RQ2RK1 b - -,c8e6
5rk1/5pbp/p2p2p1/1bqPp3/3pP3/1P1P4/2BB1PPP/1Q1R2K1 w - -,d1c1
r2qr1k1/pp3pb1/3p2pp/4n3/4N3/1P2nPP1/P2Q1PBP/3R1RK1 w - -,f2e3
4r3/6k1/1p1P1b2/p1p1n3/P4B2/3N3P/5PBK/8 w - -,d3e5
2r2rk1/1b3pb1/p1pp1qpp/1p2n3/PP2Pn2/2P1BN1P/2QN1PP1/R2R1BK1 w - -,f3e5
1q4k1/6np/4pp2/1pBp2p1/1P1P3P/2P1QP2/6P1/6K1 b - -,h7h6
4q3/pp2r1k1/5n2/P1Rp4/2pP1Ppp/2P2P2/4r1PP/1RQ2KN1 b - -,e2e3
r1bq1rk1/ppp2ppp/2npn3/3BP3/4N3/P7/1BQ2PPP/R4RK1 w - -,e5d6
2b3k1/2n1n1b1/4p2r/2p2pN1/p2P1q2/P1P3R1/B1K1QPPP/4R3 w - -,g5h3
2r2rk1/pp3p2/q3pbp1/3p1b1p/3P1P1P/2P1RNN1/PP1Q1RP1/6K1 w - -,g3f5
8/5pk1/1p2p3/4P3/2R3p1/P3R1P1/1q3P2/6K1 b - -,b2b1
r2qkb1r/1ppnppp1/p3bn1p/3pN3/3P1B2/2PBPN1P/PP3PP1/R2QK2R b KQkq -,c7c6
1qrrb1k1/1p2bp1p/p1n1p1p1/8/1P1PN1n1/P2QBN2/B4PPP/3R1RK1 w - -,f1e1
3r2k1/p4ppp/2bq4/8/R4P2/6P1/1P4BP/2R4K w - -,g2c6
r6r/1pbbkppp/p1n1p3/8/1PN1n3/4PN2/P3BPPP/R1R1B1K1 b - b3,h8c8
8/b7/3N1p2/6p1/pk1pPpP1/3P1P2/KP6/8 b - -,a7b8
r1bqnr1k/p3npbp/1p1p2p1/2PPp1B1/2P1P3/2N5/P2NBPPP/1R1Q1RK1 b - -,b6c5
2kr1b1r/pp3p1p/2p2pb1/q3n3/5NP1/2P2P2/PP2Q1BP/R1B1K2R b KQ -,e5d3
8/1p5k/p5rq/Pb1Pp2Q/4B3/6PP/2P4K/8 w - -,e4g6
8/8/6K1/8/2k5/p6P/P7/8 b - -,c4c3
r3rbk1/p3qN1p/1p2P1p1/2pQ4/P7/6P1/1P3P1P/R4RK1 w - -,f1e1
q1rr2k1/pp2bpp1/4pn1p/4B3/1P6/6P1/PQ2PPNP/2R2RK1 b - -,b7b5
r1bqkb1r/2pp1ppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,e1g1:b1c3
r3r1k1/2q2pp1/2n4p/8/P1p1p3/2PbP3/3N1RPP/R1BQ2K1 w - -,d2f1
1r2k2r/3bbp2/p1pppn1p/q5p1/4P2B/1BN5/PPPQ1PPP/3R1RK1 w k g6,h4g3
3r2k1/rp3pp1/2p4p/3pPq2/P7/1RQ1P3/5PPP/5RK1 w - -,a4a5
6k1/1p1r2p1/1Bp4p/p4r2/1b3P2/1P6/P1R3PP/5RK1 w - -,g2g4
2r2r2/p2bppk1/3p2pp/1pq5/4P2P/1B3P2/PPPQ2P1/1K1R3R b - -,d7e6
r3qrk1/1p1bb1pp/pn2p3/B4p2/P2P1n2/2N2N2/1PB2PPP/R1R2QK1 b - -,b6c8
8/8/4ppp1/1r6/pk6/2R5/3K1PPP/8 w - -,c3c6
r5k1/2q2pb1/2Ppp3/p3n3/B4Bp1/1P6/2P1Q3/2KR4 b - -,e5c6
2r1k3/3bbp1p/Q1np2r1/4pq2/B7/3RB3/1PP2P1P/1K1R4 b - -,e8f8
6k1/6pp/n1N5/1p6/p2KN3/5r2/7P/2R5 w - -,c6e7
1r1q1rk1/pn4bp/1p1p2p1/1B1Ppp1n/1P2P3/4BP2/P2QN1PP/2R2RK1 b - -,h5f6
1r1r3k/5pbp/3P2p1/q3P1P1/1p3P2/1R2B2P/8/2RQ2K1 w - -,d1d4
2qr1rk1/p2bppbp/2n3p1/1p6/2pPPB2/2P2P2/P1BQN1PP/2R2RK1 b - -,b5b4
8/8/7r/1R3pk1/p7/P1P5/1PPK4/8 b - -,h6h2
r3b1k1/p3q1pp/1pp1P2r/3p1P2/4pR2/1Q2P2P/PP2N1P1/2R3K1 b - -,a8d8
8/7p/P2Bk3/1B1bnpp1/1P1b4/6P1/4K2P/8 w - -,d6b8
rnbq1rk1/ppp1ppbp/1n4p1/8/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - d3,c7c6:b8c6
r2q1rk1/1b2bpp1/np2p2p/1BppN3/N2PnB2/1P2P3/P1Q2PPP/2RR2K1 b - -,c5d4
5rk1/1p2npbp/4b1p1/q1p5/4PP2/2P1B3/1P2Q1BP/5RKN b - -,f8e8
8/3r1k2/1pN2p2/p4n2/6pp/P1R3P1/1P5P/4K3 b - -,h4h3
5r1k/1R6/5K2/5B1P/8/8/8/8 w - -,f6g5
r5k1/3q1pp1/p2p2p1/1p1Pr3/8/2P1bPP1/PPN3KP/3QR2R b - -,a8e8
2kr1q1r/pb1pbn2/1pp1n1p1/3NPp1p/PPP2P2/2B3PN/1KQ3BP/3RR3 b - -,h5h4
6k1/2b2pp1/2P3p1/8/3P4/2Q1N1P1/4KP1q/8 w - -,e3d5
2kr3r/1p2bpp1/p3p1b1/2p1q2p/2P5/1B2BP2/PP3QPP/R2R2K1 w - h6,g2g3
2r2kn1/p3bp2/4q2r/2ppP1p1/8/1N1pRQ1P/PP1B1PP1/2R3K1 w - -,e3d3
1r6/rP3ppk/3Np2p/4P3/3P4/6P1/1R3P1P/q4RK1 w - -,f1a1
r3kb1r/pQpq2p1/2npp1n1/7p/3PPp1P/2N2N2/PPP3P1/R1B1K2R b KQkq -,a8b8
5r1k/p5pp/1p6/3B4/1P6/6P1/P4n1P/5RK1 b - -,f2h3
3rr1k1/qp3pb1/p3bnpp/P7/3pPP2/P2P4/3B2BP/R2QNRK1 b - -,e6g4
2b2r1k/1p4pp/p3pq2/8/3rB3/P5P1/1P3PP1/R2Q1RK1 w - -,d1c2
