8/8/3p1k2/PR6/5p1P/5K2/r4P2/8 b - -,f6e6
6k1/p1q2pp1/1p3nnp/1Pr5/2B1p3/1Q2PPB1/1P4PP/2R3K1 b - -,g6e5
8/1q1r1b1k/4pPpP/3pP1P1/2pQ4/2P1RBK1/1r6/R7 w - -,e3e1
1r4k1/p1q3p1/5p2/6pQ/3B4/4P2P/P4PP1/6K1 w - -,h5g6
3rr2k/p1q1pp1p/2p1bnpP/4R3/B7/B1P3Q1/PP3PP1/4R1K1 w - -,g3h4
r3r1k1/p1q2pb1/1pppn1pp/4p3/P1PPPn2/2P2N1P/3Q1PPB/1BR1R2K w - -,d4d5
8/8/6p1/bp1kPp1p/3p1P1P/P2R2P1/3NK3/r7 w - -,d3b3
8/6k1/2R2p2/5P1p/7P/8/2p4K/2r5 b - -,g7f7
8/p6k/3p4/1Kp1bbQN/7R/2Pr4/Pr6/R7 w - -,h4b4
5k2/R4p2/6pp/8/3N1r2/PP3P2/2P1K2n/8 w - -,c2c3
r3k1r1/p3pp2/2pp3p/5P2/8/2P3P1/P1P2P1P/2KR3R b q -,e8c8
2r2k2/4bppp/8/pB6/2P5/3b2P1/NK1R3P/8 b - -,d3c4
r1b1kbnr/1p3p2/p3pp2/7p/q1P1NP2/PN2Q3/4B1PP/R4RK1 w kq -,e2f3
5rk1/2p1r1pp/1pp2n2/5q2/4NpR1/5P2/PP3PQP/3R3K w - -,g4g5
1k3b1r/1pq2p1p/2p5/p1n1nN2/P7/2N3P1/1PQ1PPB1/3R2K1 b - -,c5e6
rnbqkb1r/ppp1nppp/4p3/3p4/4P3/3P1N2/PPP1QPPP/RNB1KB1R b KQkq -,b7b6:c7c5
r1bqkb1r/1p1n1ppp/2p5/p2p4/3P1P2/1QNB1N2/PP3PPP/R3K2R b KQkq -,f8d6
8/5p2/8/6k1/3KP2p/5P2/4n2P/4N3 w - -,d4e3
8/8/8/8/2k5/p3R1p1/r7/6K1 w - -,e3g3
3r4/1p2k3/8/4P2p/PR2K3/8/8/8 b - -,d8d1
2r2rk1/1b3pbp/pp2pBp1/2q1N3/2P5/PQ5P/B4PP1/3RR1K1 b - -,g7f6
n5k1/3qppbp/r2p2p1/2nP4/4P3/2N3PP/2QN1PK1/1R2B3 w - -,b1b8
r1bqr1k1/pp1nbppp/2p5/3p2B1/3Pn3/2NBP3/PPQ1NPPP/R4RK1 w - -,d3e4:g5f4:g5e7
r5k1/p4npp/1p6/4p3/PNn4P/B3P3/5PP1/3R1K2 w - -,a3c1
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPN2/PPQ2PPP/R1B1K2R b KQkq -,d5c4:d8e7:e8g8:a7a6:h7h6
r1bqk2r/5pbp/2p2np1/p3n3/4P3/pN1BB2P/1PP1N1P1/R2Q1RK1 w kq -,a1a3
7k/p1R2pr1/1q2p1r1/3p1p1p/5Q2/1P4PP/P3RP2/5K2 w - -,e2c2
4k3/5pp1/1qnQp2p/8/2P3P1/1P6/8/1K1R4 w - -,b1b2
2r2rk1/1bq2ppp/pn2p3/1pnp4/3NPPPb/1P2B3/P1PQ1NBP/2R1R2K w - -,e4e5
7r/1p2kp1p/p2R4/8/4Pp2/8/PP1r2PP/6K1 w - -,d6d2
r1bqk2r/1p1n1ppp/p1pbpn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 w kq -,b1d2
q4r1k/1p1n1ppb/r1pNpb1p/p6P/Pn1PPBQ1/2N3P1/1P3PB1/2RR2K1 w - -,g2f1
r1bqk2r/2pnnpb1/p2pp1p1/1p4Np/3PP2P/2N1BP2/PPPQ2P1/2KR1B1R b kq -,c8b7
2r4k/Np6/3p3p/2pPb1p1/2P1p3/1P4P1/P3P2P/1R3qK1 w - -,g1f1
5r1k/4b1pp/3p4/3B1p1P/1P6/6R1/2K5/8 b - b3,f8b8
6k1/1pp2pb1/p2r1n1p/5Pp1/B4p2/2P4P/PP3PP1/4RNK1 w - -,e1e7
r1bqr1k1/ppbn1ppp/2p5/5p2/2NP4/4P1P1/PPQ1NPBP/R4RK1 b - -,d7f6
4r3/p4ppk/3p4/3P4/7P/2Rn1PP1/8/1rB2K1R w - -,f1g2
rn2kb1r/ppp1pppp/5n2/3q4/3P2b1/2N5/PPP1NPPP/R1BQKB1R b KQkq -,d5d7
5rk1/1p2bppp/2rpb3/qN4P1/p1nQPB1P/1P6/P1P5/1KNR3R w - -,f4d6
5k2/8/1pB3p1/6n1/1P2P3/6N1/6K1/8 b - -,f8e7
4k1n1/6R1/2N1N2p/4p1p1/2P1P3/2P2P2/7r/K5b1 w - -,c6e5
r1b2rn1/p1qnppkp/3p2p1/2pP1P2/2N5/2PB4/P2Q2PP/1RB2RK1 w - -,d2e2
r2qk2r/1pp1bppp/p1npb3/8/B4B2/2P2N2/PPPQ1PPP/R3K2R b KQkq -,e8g8
7k/3p1q1n/p3p2p/2p3r1/4P3/P2N3Q/2P5/4R2K w - -,e1f1
r1bq1rk1/1p2bppp/1npp4/p1n5/P2BP3/2N2N1P/BPP2PP1/R2QR1K1 w - -,d4c5:d1e2
8/1pk3pp/2p2p2/2n1pn2/2P5/1P2P1PN/N4PKP/8 w - -,a2c1
r2r2k1/4qp1p/p1p1pnp1/PnN1Q3/2BP3P/6R1/1P3PP1/3R2K1 b - h3,f6d7
r2q1rk1/pbpp1ppp/1pn5/4n3/1bP1PB2/2NB3P/PPQ1NPP1/R4RK1 b - -,b4c5
2r1r3/pp2kpbp/2p2np1/6q1/4P1P1/2P2Q1P/PP3B2/R3KB1R w KQ -,h3h4
r1bqk2r/1pp2ppp/2np1n2/p2Pp3/1bP1P3/2N2N2/PPQB1PPP/R3KB1R b KQkq -,c6d4
5k2/R7/5N2/4K2P/p7/8/5r2/3b4 b - -,f2h2
r1r3k1/p2q1pbp/1p2p1p1/n2P4/1Q1BP3/5N2/P4PPP/3R1RK1 b - -,c8c4
3qr1k1/3npp1p/2Bp2p1/B2N4/Q1P1P1b1/P5P1/1b3P1P/4R1K1 b - -,d8c8
2r1kbnr/1bqp1ppp/p3p3/1p6/4PP2/2NQBB2/PPP3PP/R4RK1 b k -,b5b4
7r/8/5k2/8/5PRP/5K2/8/8 b - -,h8a8
6r1/1p1kn1pp/p1bp1p2/2p5/4PN2/2NR4/PPP2PPP/6K1 w - -,d3h3
2rqnr2/pb1n1pkp/2p1p1p1/1pP5/3P4/3B1N1P/PP1NQPP1/R3R1K1 b - -,c8c7
r2q1rk1/ppp2ppp/2n1bn2/2bpp3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 b - -,a7a6:h7h6
r1b1k2r/ppqn1pp1/2pbpn1p/3p4/2PP3B/1QN1PN2/PP3PPP/R3KB1R w KQkq -,a1c1
7k/4Q2n/p4r2/8/8/1P6/6K1/8 w - -,g2g3
1r2kb2/8/2q1n1Qp/2ppP3/5P2/4P2P/6P1/B1R3K1 b - -,e8d7
r1rq2k1/3n1p1p/2p1b1p1/n2P4/2PP1B2/3B1N1P/2Q3P1/R3R1K1 b - -,c6d5
4r1k1/5pp1/q3rn1p/pp1p4/P1pP4/2R1PP2/1PQR1BPP/6K1 w - -,a4b5
8/pp3kpp/3r1n2/3p4/3P1N2/7P/PP2KPP1/4R3 w - -,f2f3
r1b2rk1/p2p1pbp/n1p1p1p1/q1P1P1B1/2P1N3/P2P1N2/5PPP/R2Q1K1R w - -,g5e7
r2q1rk1/1b1nbppp/pp1ppn2/8/2P1PP2/1NNB4/PP1BQ1PP/4RRK1 b - -,f8e8
2r1r1k1/pp3ppp/3q2b1/3p4/P2Pp3/1P2P1P1/1Q3PBP/R3R1K1 b - -,g6f5
8/2bP4/4k1pp/1B6/P3K1P1/7P/8/8 b - -,e6f6
2r5/6pp/3pkb2/4p3/R3P3/3K1P2/PrPB3P/2R5 w - -,a4a6
r1r4k/1p2q1pp/3pb3/5p2/1P1Qn3/4P1P1/5PBP/B1R1R1K1 b - -,e6g8
qbr1r1k1/1b3ppn/pp2p1n1/3p2P1/1PPNP3/2N1BP1Q/PR6/3R1BK1 w - -,e4d5
8/4rpk1/1p1q1b1p/p2B2pP/2Pp4/PP1Q1RP1/5PK1/8 b - -,d6e5
2rq1rk1/pb3ppp/1p2p3/4N1b1/P1BP4/2PQP3/6PP/3RR1K1 b - -,d8c7
3r4/p2rbkpp/bp3p2/1N2p3/P5P1/1P1PBP2/4K2P/2RR4 w - -,c1c4
r7/2pq1kp1/rp1p1pn1/3Pp3/P1P1P1p1/R5P1/R2N1P1P/3Q2K1 b - -,g6f8
2r1n1k1/4rpp1/1R6/1N3P1p/4P3/6PP/b1p3BK/2R5 w - -,b5a3
1r3rk1/p1b2pp1/1n1q1np1/8/1P1p1P2/1B3QNP/P2B2P1/R4R1K w - -,b4b5
8/8/1b2pk2/1n4p1/4KpP1/8/2N2P2/3N4 w - -,f2f3
8/1k6/8/KP6/P4B2/5b2/8/8 b - -,f3e2
2rqk2r/1p2bppp/p3p2n/1b1pP1NQ/1P5P/3BB3/P4PP1/R4RK1 w k -,g5e6
3rk3/1rp4p/3b2p1/4p3/2R1K2P/4B1P1/R3PP2/8 w - -,e4f3
r1bqnrk1/1p2bppp/p1p5/2npP3/5B2/2N1PN2/PP3PPP/1BRQK2R b K -,c5e6
r1b2rk1/1pqn1pbp/p5p1/2pnp3/P3P3/1B2BN1P/1PPQ1PP1/R4RK1 w - -,d2d5
r1b2rk1/pp1nqppp/2pb1n2/4p3/2BP4/1PN1PN2/PB3PPP/R2Q1RK1 w - -,f1e1
r1q2r2/pp1b2k1/6pp/2p2p2/n1P3nN/1Q1P4/PP2N1BP/4RR1K w - -,e2f4
8/8/pb4p1/1p1kPp1p/1P1p1P1P/PR4P1/3N4/3K2r1 w - -,d1e2:d1c2
r1b1k2r/5ppp/p1p1p3/1pn1P3/1bP2P2/2N5/PPBB2PP/R3K2R b KQkq -,c8b7
2r5/p5pp/4kn2/1pr5/8/2N3PP/PP1RPPK1/R7 w - -,g2f3
r3r1k1/2p2pp1/p1n1bq1p/1pb1p3/4P3/1BP2N2/PP2QPPP/R1B2RK1 w - -,c1e3
8/4rkpp/3p4/p1rPpp2/PpP5/1P3P2/2R2KPP/2R5 w - -,g2g3
8/2b2qkp/2b2nn1/2P1p3/3pP2P/B4P1Q/P6P/R3R2K b - -,c6d7
r1bqk2b/3npp2/p2p2p1/2pP4/Pp2P1n1/5N2/1PPN1PP1/R1BQKB2 w Qq -,a4a5
8/6pp/8/1p6/3k4/pP2p1PP/P2B4/3K4 b - -,e3d2
4rrk1/1p2q1b1/pN1p3p/Pb1Pn3/1B3Pp1/5P2/2RQP1BP/2R3K1 b - -,g4f3
2r1knr1/6q1/1pp1pR2/4P3/1P1P3B/PN2p2P/5Q1K/8 w - -,f2g3
2rq1rk1/p3n1bp/1pnp2p1/2p1pp2/4PP2/2PPBNPP/PP2Q1B1/R4RK1 b - -,f8e8
2r3k1/7p/6p1/p2Rbp2/R6P/5BK1/5PP1/4r3 w - -,a4f4
2b5/1p3rk1/p2R1pn1/3P3q/2PKPQp1/r2B2P1/4N3/3R4 w - -,f4c1
2r5/6p1/3kp3/5p2/1pbP1P2/2P5/2B2K1P/2R5 w - -,c1g1
r4rk1/3bqppp/3p4/p2p4/2Q1PpP1/5P2/PP3N1P/1K1R3R w - -,c4d5
8/4pk2/3p3p/2nP1Pp1/1p2P1P1/4K3/3N4/8 b - -,b4b3
r3k2r/3qbpp1/p2npn1p/1p1p4/3P4/2PB1P2/PPQ3PP/R1B1RNK1 w kq b6,f1g3
r2qkb1r/1bpnpp2/p2p1npp/1p6/3PP3/P1N1BP1N/1PPQ2PP/R3KB1R b KQkq -,c7c6
r1bq1rk1/ppp2ppp/2nb4/4p3/8/2P2NP1/P2PPPBP/R1BQ1RK1 w - -,d2d3
5rk1/3R1ppp/4p3/p1q5/5P2/P2QP3/3B1P1P/b5K1 w - -,h2h3
6k1/5Rb1/2n3pp/4P3/5P2/1B5P/2p3P1/6K1 b - -,c2c1q
r1bqk2b/ppp1p3/2np2p1/3P1p2/2P5/2n2N2/PP3PP1/R1BQKB2 w Qq -,b2c3
rqbr2k1/pp3pbp/3p1Pp1/2n3B1/1pP5/2N2P2/PP1QB1PP/R2R3K w - -,c3d5
r1b1r1k1/pp1q1pp1/2n4p/2pn1P2/2N2B2/2PP2P1/P2Q2BP/1R3RK1 b - -,d5f4
8/8/8/4k3/PR6/r7/1K6/8 b - -,a3h3
7k/4B1b1/p2np3/PpN4p/8/5r2/1P4KP/6R1 b - -,f3f5
8/1r2kppp/4p3/1pR5/p3b3/P3NP1P/6P1/6K1 b - -,e7d6
6N1/5B2/7p/4kb2/1P2n2P/p7/3K4/8 w - -,d2c1
r3k2r/ppqbnpR1/4p2p/3pP2P/3p4/P1PP1N2/3B1PP1/R1Q1K3 b Qkq -,e7f5
r2q1rk1/1bp1npb1/pn1p3p/1p4p1/3PP3/1PN2N1P/P1BQ1PPB/R4RK1 b - -,f7f5
2r2rk1/p4p1p/1p4p1/2N1p3/5q2/8/PP2K1P1/1Q4RR b - -,c8c5
8/p7/6p1/3bkp2/2pN3P/P1P1K1P1/1P6/8 w - -,d4f3
1rbr4/4pk1p/1p4p1/p1p1R3/P7/2P2B1P/1P3PP1/4R1K1 b - -,e7e6
3r2k1/1p3ppp/5p2/1rR1n3/RP6/4B2P/1P3PP1/6K1 b - -,b5c5
q4rk1/2n2ppp/3bpn2/1pppN3/3P1P2/1PP1P3/3N2PP/2BQ1RK1 w - -,c1b2
8/4Bp2/4p1k1/3bP3/p4KP1/2P5/8/8 w - -,f4e3
2r3k1/6pp/5p2/4pP2/4P3/1b4P1/1qpQB3/2R1K3 w - -,g3g4
r2r2k1/pp3ppp/2n3b1/8/2qp1B2/2P3N1/PP1Q1PPP/R3R1K1 b - -,d4c3
r1br2k1/ppb1qpp1/2p1p2p/8/3PQ3/1B2PN2/PP3PPP/2RR2K1 b - -,c8d7
1br1r1k1/pp3ppp/3qnn2/3p4/8/1PNQPN2/PB3PPP/2R2RK1 w - -,c3b5
4nrk1/5pbp/1q1p2p1/2pPp2P/1pP1P1P1/rP2BPN1/1K1Q4/3R3R b - -,b6a5
3r1rk1/2pn1qpp/bpBp4/3Ppp2/1PP5/2B1PP2/2Q3PP/1R1R2K1 w - -,c3b2
2r2rk1/p2q1p1p/1n2p1p1/1b1pP2P/1b1P4/P3R3/2B2PPN/R2Q2K1 w - -,a3b4
4r1k1/5p2/1q2p1p1/3pP2p/1p3P1P/1Pn3P1/P3Q1K1/3R1R2 w - -,e2d2
2r2rk1/p4p1p/bp2p3/5p2/1P2N3/P7/1KP2PPP/3R3R w - -,e4d6
r1bqkb1r/pp5p/3P2p1/1p2Q3/4n3/8/PPP2PPP/R1B2RK1 b kq -,e8f7
5r2/3bp1k1/3p4/pp1P1p1r/3R1R1p/PBP4P/1P4P1/7K b - -,f8h8
8/7p/p4B2/5p2/2kp2P1/2p5/b1K5/8 w - -,g4f5
r1b1r1k1/p1n2pb1/1p1p1qp1/2pPP3/P4Pp1/2N5/1P2B1PP/R1BQR1K1 b - -,f6d8
3q1rk1/1p4bp/1r4p1/3p4/3N4/4B1P1/3Q3P/3R1BK1 b - -,g8h8
8/ppr1k1p1/4pp1p/1b1n4/2NP4/P2BP1P1/3K1P1P/R7 w - -,c4b2
r6k/2n5/P4Q1p/1q5B/5P2/8/1P3b2/1K6 b - -,h8g8
r3k2r/pp2qppp/1npbpnb1/6B1/2BP3N/2P3N1/PP2QPPP/R3K2R w KQkq -,h4g6
8/8/4kp1p/5R1P/1PK2pP1/8/8/3r4 b - -,d1f1
8/8/1NP3p1/5p2/1P5P/2r2k2/8/6K1 w - -,b4b5
1q2r2k/4r1pp/5n2/1pP1NP2/3P1Q2/5R1P/1R4K1/8 b - -,b5b4
2k1r2r/pp1n1pb1/2p5/4PP1p/2P5/5B1P/P1PK3B/4R2R w - -,f5f6
r2qkb1r/1b1n1ppp/2p1p3/p2PP3/P7/6P1/3NPPBP/R1BQ1RK1 b kq -,c6d5
3r2k1/1bq2pb1/5npp/1pp5/4r3/1NP2NB1/1P3PPP/R3R1K1 w - -,g3c7
8/7k/6p1/4Q1P1/p2nP3/P2P2PK/8/5q2 w - -,h3g4
8/5pk1/2b3pp/8/7P/R5K1/8/8 b - -,h6h5
r1bqk2r/ppn1ppb1/2p2npp/3pP3/3P1P1B/2N2N2/PPPQ2PP/2KR1B1R b kq -,f6e4
4r1k1/5p2/3p1Qp1/2pq3p/3nb3/1P2R2P/P4RP1/6K1 b - -,d4f5
5rk1/1pqnr1bp/pnp1p1p1/1P1pp3/2P5/N2P2P1/PB1QPPBP/2R2RK1 b - -,e7f7
4b1k1/Rp1qPp1p/5Pp1/8/1n6/5QPP/P4P2/4bBK1 b - -,b4c6
4R3/2R3pk/4p2p/3pP2n/8/4PP1K/1r4PP/8 b - -,b2b6
8/N7/1n6/2p5/2P5/1Pk5/6Kp/8 b - -,c3b3
3q2k1/1bpn1ppp/1p1p4/3Pp3/1PP1P3/3Q1N2/5PPP/B5K1 w - -,d3a3
4r2r/2q3bk/p5pp/Pp2pn2/2p5/2P3BP/2P3P1/R2RQBK1 w - -,g3f2
1k5r/ppp3b1/3p4/3Ppq2/2P1N1pr/3R4/PPQ2PP1/1K2R3 w - -,d3d1
4q2k/1pb3n1/p1n3p1/P1p5/2B3P1/3Pp2P/1PP2Q2/5RK1 w - -,f2h4
2b1r3/1p1n1k1p/2pB1pp1/1p6/1P4P1/P1P2K1P/2N5/R7 b - -,d7b6
r3r1k1/4qp1p/pnp3p1/Pp1p3n/1P1P4/2NQP2P/3N1PP1/1R3RK1 b - -,b6c4
8/4Bpbk/4p2p/2P1P3/p4P2/2NK4/8/5r2 b - -,f1f3
3r4/p5kp/1p3r2/2p3pQ/2Pq4/3P2Np/PP3P2/3R2K1 w - -,g3e4
8/p7/P7/1K6/8/8/5k2/4q3 b - -,e1e3
r2r2k1/1p3p1p/5ppb/p2B4/Pq1N4/1Q5P/1P3PP1/3R1RK1 b - -,d8d7
1rr1n1k1/p2p1ppp/1qn1p3/1b6/P3P3/2NB2Q1/1PP2PPP/1R2K2R w K -,a4b5
rn3rk1/pp2ppb1/1q2b1pp/3pP3/3PnB2/3B1N1P/PP1N1PP1/R2Q1RK1 b - -,g6g5
8/6p1/1q1kp3/5pp1/8/3r2PP/2R3QK/8 w - -,c2a2
6k1/p1p2p1p/6p1/2P5/1Bb2P2/P3b2P/6P1/1r1BK2R w K -,h3h4
r4rk1/1b1n1ppp/pp2pn2/5q2/PbBP4/1PN1QN2/1B3PPP/2RR2K1 w - -,f3e5
3rr3/1b4kp/1p2p1p1/p1pPP1q1/P2P4/1PNBn2P/4Q1P1/R3R1K1 b - -,c5d4
r3kb1r/1p1n1ppp/1pp5/3np3/3P4/3BPP1P/PP1B1P2/RN2K2R w KQkq e6,d4e5
2krr3/pp3qp1/2p1pn1p/4Pp1P/2P5/2B5/PP2QPP1/1K1R3R b - -,f6e4
1B2b3/8/7p/6p1/Pb4P1/3k1KNP/8/8 w - -,g3f5
7Q/p2B4/3q1k1p/5p2/2p2p2/4b2K/7P/8 b - -,f6e7:f6f7
rn2k2r/p1pbq1pp/1p2pn2/5p2/QbP5/4PN2/PP1B1PPP/RN2KB1R w KQkq -,a4b4
1r2r3/3b1k2/3p1q2/1ppP1n1p/4pPpP/N3P1P1/1P3QBK/1R1R4 b - -,b8a8
8/8/6pk/p1P5/P7/2n1NK1p/6n1/1R6 b - -,c3b1
5k2/R7/5N1p/6p1/p7/r7/6PP/6K1 w - -,g1f2
r1b2rk1/1p5B/p2q1P1p/2pPp1p1/P1P1Q3/1P4P1/8/R4RK1 b - -,g8h8
r4r2/p5kp/1pPpb1p1/1NnB1p2/5P2/1P4P1/P1P4P/R4RK1 w - -,d5e6
rn2r1k1/1bp1q1p1/1p1ppb1p/p7/2P5/P1N1QNPB/1P2PP1P/R2R2K1 w - -,f3d4
2rqr1k1/p4pb1/1pn1p2p/5bp1/3Pp3/BP1NP1PP/P4PB1/2RQ1RK1 w - -,d3b2
6k1/1R6/6p1/4KpP1/Pp6/1r3P2/8/8 b - -,b3f3
r3r1k1/ppq2ppn/3p2np/2pPp3/4P2P/P1NPP1PB/1P5K/2RQ1R2 w - -,c1c2
r4rk1/pp1bppb1/2np1npp/7q/4P3/1BN1BN1P/PPP2PP1/R2QR1K1 w - -,c3e2
5rk1/1q1n2b1/7p/2nPpp2/1pN5/1P3QP1/1B1N3P/5R1K w - -,c4d6
r2r2k1/1p3pp1/p1n5/4pPpR/4P3/1P1B4/1PPR2P1/1K6 b - -,f7f6
r4rk1/ppq3pp/3b4/4pp2/8/2P1BQ1P/PP3PP1/R4RK1 w - f6,f3d5
2r2b1r/4kppp/2n1p1b1/1B6/6P1/1P2P2P/PB3P2/R4RK1 w - -,a1c1
8/8/4k1p1/2p5/2PpKBP1/1P6/2P5/4b3 b - -,e1a5
5k1r/3b1p2/2pq1npp/4p3/2BpP3/rP3QNP/P1P2PP1/3RR1K1 w - -,d1a1
3rkb1r/pp2pppp/1n2q3/8/3Q4/2P5/PP3PPP/RNB2RK1 w k -,d4h4
2br4/2p2k1p/p1p5/5pP1/2P5/1P1N2P1/5K1P/4R3 w - -,d3e5
5k2/1n3ppp/pq2b3/2pp4/8/P3P2P/1PBN1PP1/2KR3R b - -,b7d6
r2q1rk1/1b1n1ppp/p3pn2/1pb5/8/P1N1PN2/1PB2PPP/R1BQR1K1 b - -,d8c7
r2r4/5pk1/2q2bp1/p2BP2p/2Pp3P/1P4P1/P2Q1P2/3R2K1 b - -,d8d5
r5k1/ppp1qp1p/2b3pb/3n4/P7/2N3PP/1PP2PB1/3RQ1K1 w - -,g2d5
r5k1/pp1q2b1/7p/4p3/1PQnNr1B/P4P2/6PP/R4RK1 b - -,g8h8
r2r2k1/ppp1ppbp/1nn1b1p1/7q/3P1P1N/BPN1P1P1/PQ4BP/2RR2K1 b - -,g6g5
2r1r1k1/1p2qp1p/p1bp1pp1/8/3QP3/1P4P1/P1P2PBP/3R1RK1 w - -,f2f3
2rq1r1k/p3n1bp/1pnpb3/2p1pP2/5P1N/2PPB3/PP2N1BP/R2Q1RK1 b - -,e7f5
r2q2k1/3bb1np/6p1/1ppPB3/4P1P1/2P4P/1P2BQ2/5RK1 b - -,d8e8
3r4/pk1r1p2/1pp3p1/2n1Pq1p/2pP1P1P/2P2QR1/PP2N3/2KR4 b - -,c5d3
6Q1/6b1/p7/2pP3k/5rN1/3qRP2/P5K1/8 b - -,d3g6
7k/pR5p/1r4p1/8/3p1r2/P2R1P2/1P3P1P/6K1 w - -,b7a7
8/p4k2/1n6/3NKp2/1PP2Rb1/6P1/P2r4/8 w - -,a2a4
r1b1r2k/1p5p/p1p2pp1/2P1P3/P2R2P1/8/4BP1P/1Rb3K1 w - -,b1c1
rnb1rbk1/2q2p1p/pp1p1np1/2pP4/P1N2B2/2N1P2P/1P2BPP1/R2QK2R w KQ -,e1g1
1r6/5pk1/2Q1pbp1/2B4p/8/6P1/5PKP/8 w - -,c5d6
8/6pk/p7/2p5/R7/8/PPPK3r/8 w - -,d2d3
r1bq1rk1/p3ppb1/n1pp2pp/8/Pp1PP1nB/3B1N2/1PPQNPPP/R4RK1 b - -,g4f6
r2qk1nr/pp1n1ppp/2p1pb2/3p4/2P3b1/1PN2NP1/PB1PPPBP/R2Q1RK1 b kq -,g8e7
8/6p1/pr6/3k2p1/1P6/2NK2PP/5P2/8 b - -,d5e5
2rq1rk1/2pbbp1p/6p1/3pP3/p2P4/1p1B1N2/PPR2PPP/2RQ2K1 w - -,a2b3
8/5p2/B4kp1/4bb2/7p/5PPP/5R1K/1r3N2 b - -,b1b6
r1bq1rk1/bpp2ppp/p1np1n2/4p3/2B1P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 w - -,c4b3:f1e1
r5k1/2q2p1p/1p2p1p1/1Pnbb3/PR1N4/2Q1BP1P/6P1/3B3K w - -,c3c1
3rr1k1/1p3qpn/p2p3p/2pP3P/2P1pPn1/1P2P3/PB1Q4/2R1K1R1 w - -,g1g4
r1bqkb1r/pp1npppp/3p1n2/2pP2B1/8/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1c3
r1bqk2r/pp1pppbp/2nn2p1/1B1P4/8/5N2/PP3PPP/RNBQ1RK1 w kq -,b1a3
2b1rr1k/1pp3p1/1p1p3p/5p1q/2PpPPnP/PP1P2P1/3BQ1B1/R4R1K b - -,c8d7
2r2rk1/1b2ppbp/pq1p2p1/1p3P2/3PP3/3BQ3/PP2N1PP/2R2RK1 w - -,f5g6
r1b1r1k1/4qpp1/p1np3p/1pp1p3/4P1n1/2PP1N2/PPN2PPP/R2QRBK1 w - -,d3d4
r2r2k1/1bpnqp1p/p5p1/1p6/1P1NP3/P1N5/4QPPP/2RR2K1 w - -,d4b3
3rRr1k/1Q1P2pp/1pB2p2/8/2q2Bb1/6P1/5K1P/R7 b - -,c4d4
6rr/2p1k3/pp1pp3/5p2/2P4b/P2R2pP/1P2N1N1/2K4R w - -,b2b3
r1bqk1nr/pppnppbp/3p2p1/8/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3
r1b1r1k1/ppq2ppp/2p1pn2/2Pp4/3P4/P1QBPN2/1P3PPP/R3K2R w KQ -,e1g1
r4rk1/pp1nq1pp/2p1p3/3p1p2/2PPn3/1P1BPN2/PQ3PPP/R4RK1 w - -,b3b4
