8/8/1k2p1p1/R3P3/pK3P2/1b5p/7P/8 w - -,a5b5
8/6B1/6n1/2pr1kp1/8/2P1R3/4KPP1/8 w - -,g2g3
8/5R2/2k5/3p3r/1b1P4/2NKP3/8/8 w - -,f7f6
4R3/8/3kR1p1/P1p3P1/6n1/4r3/3K4/8 b - -,e3e6
r3rnk1/1bp1qpb1/pp4pp/4p2n/P1B1P2B/2P1RN1P/1PQ2PP1/R4NK1 b - -,h5f6
rn3rk1/1ppqb1pp/p2p2n1/3PpP2/2P5/2N1BN2/PP3PPP/R2Q1RK1 b - -,d7f5
r4rk1/1p2qp1p/1np2np1/5p2/Pb1P4/1BN1PQ2/3B1PPP/R2R2K1 w - -,h2h3
r4k2/5pbp/6p1/4N3/8/pP5P/2pq1PP1/Q3R1K1 w - -,g2g3
1qrbk3/6pp/Q1p1ppn1/1pPp4/1P1P1PP1/3NPN1P/8/R4K2 b - -,g6e7
7k/1p2r1p1/pb3q1p/3p4/1P1PrP1P/P1BR2P1/5RK1/3Q4 b - -,f6f5
1rr3k1/n3ppbp/3p2p1/qp1Pn3/8/PPN4P/1B1QBPP1/2R2RK1 b - -,b8b7
4r1k1/1R3pp1/8/p2P3Q/2q5/6P1/1P3PKP/8 b - -,c4e4
r3kb1r/p3pp1p/1qp2np1/2p5/Q7/2N3P1/PP2PP1P/R1B1K2R w KQkq -,e1g1
2r3k1/5p2/5np1/pprp4/3N4/2PR1P2/PP3K1P/3R4 w - -,a2a3
r1r4k/pbbQB1pp/6q1/1P2pp2/8/1B3P2/P5PP/3R1RK1 w - -,e7d6
1k1r3r/pp2qp2/2n5/6P1/Q2bpBB1/8/PP3P1P/R3K2R b KQ -,d4e5
r3rq2/ppp2ppk/2n2nb1/2b1pNp1/4P3/1BP3NP/PP1BQP2/2KR3R w - -,d2g5
rnb1k2r/pp3pp1/2pqpn1p/3p4/3P4/2PBPN2/PP3PPP/RN1QK2R w KQkq -,b1d2
r3k2r/4ppbp/p3Pnpn/qp4N1/3B4/2P2N2/PP4PP/R2QK2R b KQkq -,e8g8
8/Q4p2/P1kp4/5p2/5q2/8/8/5K2 w - -,f1g2
8/p3r3/1p1p1k1p/2PP4/4pKPP/P3P3/8/3R4 b - -,b6c5
5knQ/p4p2/1p6/8/4q3/2R3P1/5P1P/4n2K w - -,f2f3
8/6pp/5p2/p1k5/P3P3/1K3PP1/2N4P/3n4 w - -,f3f4
1qr1brk1/pp1n2p1/2n1p2p/1N1pNp2/3P1P2/P2QP3/1P4PP/1BR2RK1 b - -,a7a6
3r2k1/pp2rpp1/2p2bp1/8/2RP4/PR2P1P1/1P4BP/6K1 w - -,c4b4
8/8/8/1p1k2p1/1P3pP1/N2Pp3/3nP1K1/8 b - -,f4f3
6k1/5pp1/6np/P1R5/4P1P1/rp2N1K1/5P2/8 w - -,e3c4
5rk1/1ppr1q2/2n1b2b/1N1np2p/1P4pN/3P2P1/2Q2B1P/1R1R1BK1 b - -,c6b4
rn1qk2r/ppp1bppp/3p1n2/4p3/2B1PPb1/2NP1N2/PPP3PP/R1BQK2R b KQkq -,b8c6
8/4p2p/pr2kp2/1p4p1/PRP5/8/1P3PPP/5K2 b - -,e6d6
r1bq1rk1/p4pbp/5np1/3pp3/8/2N1BP2/PPP3PP/2KRQB1R w - -,e3g5
3r1r1k/ppq3pb/2p5/4pPb1/1PN3np/P3PN2/1B2Q1B1/2R2RK1 b - -,e5e4
r1bqk2r/ppp1ppbp/2n2np1/4P3/2B5/5N2/PPP1QPPP/RNB1K2R b KQkq -,f6g4
rnbq1rk1/ppb2ppp/2p1pn2/8/P1pP4/N4NP1/1PQ1PPBP/R1B2RK1 b - -,b8d7
2r2b2/3knp2/1q2p2p/p2pPn2/PppP1P2/4BN2/1P2NK2/3Q2R1 w - -,e2g3
8/2bk2p1/3p4/1p2p3/4P3/2RPK1P1/1P1N1P1r/8 w - -,d2f3
r3q1k1/1Q3ppp/2PBn3/3p4/8/5P2/6PP/1R4K1 w - -,b7a8
2q2rk1/4bppp/pr2pn2/2p1B3/8/5B2/PPP1QPPP/R4RK1 b - -,f6d7
8/P7/P1k5/6p1/3P1p1p/2K5/5PPP/8 b - -,c6b6
7R/5pk1/6p1/1P6/q4PP1/2R4P/3N4/2K5 b - -,a4a1
r1b2rk1/ppp2ppp/8/1P6/2q5/4B3/P4PPP/R2Q1RK1 w - -,a2a4
3r2k1/7p/4p1p1/2Pp4/1p2P3/1P1R3P/1r4PK/3R4 w - -,c5c6
8/5pkp/2R1r3/R5P1/8/4p3/4K3/8 b - -,e6c6
5Rk1/p4p1p/Qp1qp1p1/8/3bnP2/P3B3/1P4PP/5RK1 b - -,g8f8
r1b2r1k/pp1nQpp1/6qp/3p1NB1/3P2nP/P1N5/1Pp2PP1/2K1R2R w - -,f2f3
r1b2b1r/p4k1p/1qp3p1/3p2p1/3P4/4QN2/PP3PPP/R3R1K1 w - -,e3e8
8/5pkp/6p1/4p3/2r5/2P4P/2R2PPK/8 b - -,g7f6
7R/8/8/6b1/8/4k1P1/2r1r3/3R3K w - -,h8e8
5rk1/5p2/2p1bn1p/2P3p1/P7/4R3/3B2PP/4R1K1 w - -,e3e6
8/3r2k1/R5p1/4rn2/8/2P5/3K1R2/8 w - -,d2c1
3B2k1/3R1pb1/p1r1p2p/2p1P1pP/1pP1K1P1/1P3P2/8/8 b - -,g8f8
2kr1b1r/pp3ppp/4b2n/2p1P3/8/2P2P2/PP1NB1PP/R1B1K2R b - -,f8e7
3r2k1/3n1pp1/1p4qp/2pP4/8/P1N4P/1P2QPP1/3R2K1 w - -,e2e7
8/7p/2N1kbp1/1pBp1p2/1P3P2/4P1P1/3K3P/5b2 b - -,e6d7
r4rk1/p2q3n/1pnppb1p/2p2p2/1PP4p/P1NPPNP1/3BQP2/1R2R1K1 w - -,g3h4
3r1rk1/pp1qbpp1/2p4p/4BQ1P/2nP2n1/2N3N1/PP3PP1/R3R1K1 w - -,e5g7
8/8/8/3r1pk1/1R6/5K2/8/1B6 b - -,d5a5
8/4kr2/1pp5/p2p3p/P2P3P/1PP3K1/4R3/8 b - -,e7d6
8/8/pN6/2p2k2/2P3n1/1P2Pp1p/P4P2/6K1 w - -,b6d7
r3k3/1b1n1p2/p2pp2r/1p2n3/4P3/P1N2N2/1PP1R1BP/2KR4 b q -,e5f3
7R/8/7P/5p2/5N1k/8/1r4K1/8 w - -,g2f3
r2q1rk1/p2nbppp/1p1ppn2/7b/2PP4/1PN1BN1P/P2QBPP1/2R2RK1 w - -,f1e1
r2qkb1r/p2bpp1p/2pp1np1/8/2B1P3/2N5/PPP2PPP/R1BQ1RK1 w kq -,f2f4
rn1q1r2/p2bppbk/2pp1npp/p2P4/4P3/2N1BN1P/RPPQBPP1/5RK1 b - -,a5a4
1r4k1/2n2pp1/r1p4p/pP1pP3/3P4/2R1N1P1/1P3P1P/3R2K1 b - -,b8b5
6k1/pp1R1Rb1/8/8/3P4/1P1KN1P1/r5P1/r7 b - -,g7h6
6k1/1p1n1r1p/pq2p1p1/4p3/4P3/PPNQ3P/2P3P1/3R3K b - -,b6c6
2k5/1p2P3/2p3p1/p1P1Q2P/8/P4P1K/1P1r4/1q6 b - -,b1h1
5r2/6pk/p5p1/1p2Pr1n/3R4/1B3P1P/Pn4N1/R5K1 b - -,f5e5
r5k1/1p3p1p/6p1/3P4/pQ2R3/2P1P2P/Pq4P1/6K1 b - -,b2a2
6k1/6R1/1p6/5PpQ/3q2P1/3pr3/PP6/5R1K b - -,d4g7
R7/6bk/1p1p2p1/1PpPp3/2Pn1pP1/2BP1P2/1r4B1/6K1 b - -,d4e2
5k2/1p3p2/2p4p/4p1qP/4P1Q1/2P2R2/Pr4P1/7K w - -,g4g5
8/2r1kp2/1nBb2pp/5p2/pP6/P2NP1P1/3K1P1P/2R5 b - -,g6g5
r4r1k/4q1bp/b1p3p1/p3p3/P3Pp2/2P2N2/2B2PPP/R2RQ1K1 b - -,g6g5
8/p7/1ppkr3/3n3p/2NP1p2/PR1K3P/1P3P2/8 b - -,d6c7
3q1rk1/2n1ppbp/r2p2p1/2pPP1B1/5P2/2n2N2/PP1Q2PP/3R1RK1 w - -,b2c3
2rr3k/3q1Rb1/3P2p1/1p1Qp1Pp/4N2P/2P5/p7/1K1R4 w - -,b1a1
4r3/p2k1p2/1p1p4/5P2/P2P4/5P1P/1P1n4/3B2RK b - -,e8e3
3r4/2p2k1p/R7/4p1p1/2N1P3/3nKPP1/7P/8 b - -,f7g7
r1b1k2r/pp1nqpp1/3p1n1p/2pPp3/2P4B/2PBP3/P3NPPP/R2Q1RK1 b kq -,g7g5
1n1r1nk1/2p2ppp/4p3/4P1N1/3P2Pq/2P2Q2/3B1PBP/5K2 b - -,d8d7
3r2k1/Qp3ppp/5n2/8/2q1p3/2N4P/PP3PP1/5RK1 b - -,c4b4
7r/6b1/1k6/2R2pP1/2P5/KP4P1/6B1/8 w - -,c5c6
8/2q5/1nb1pkp1/1pp1p2p/4Pp2/QBPP1P2/1P1NK1PP/8 b - -,b6d7
3r2k1/p2q1pb1/1r4pp/2p5/8/2PP1P1N/P1Q1R2P/2BR3K b - -,d7h3
R7/4pk2/3p4/p2r3p/8/5KP1/PP3P2/8 b - -,d5e5
5nk1/2p2pp1/2p1r3/p6q/2P5/PP1QR1B1/4PP2/6K1 b - -,e6h6
3R4/1p3ppk/p1b4p/5Pn1/2N5/4Q3/PP5q/2K5 w - -,d8d1
k2r3r/1b1PNp2/pp6/6p1/2pn2Bq/6Q1/PPP3PP/R4R1K w - -,g3h4
1r1q1rk1/5pbp/p2p1p2/3bp3/2B1PP2/8/PPQ3PP/R4RK1 w - -,e4d5
r1b1rnk1/1p3pb1/1q1p1npp/p1pPp3/2P1P2N/1PNB2P1/P4P1P/1RBQR1K1 b - -,b6d8
r5k1/pp2q3/2p5/2PpP3/3Pp2R/4PpP1/PP1Q1Kb1/R7 b - -,g8g7
1r4k1/Rpp2p1p/6p1/2p2b2/8/2b2B2/P4PPP/5RK1 b - -,c7c6
rnbq1rk1/pp3pp1/4pn1p/2pp4/1bPP3B/P1N1PP2/1P4PP/R2QKBNR b KQ -,c5d4
3r2k1/b1nR2pp/p1B2p2/1pp5/4P3/2P1BN2/PP3PPP/6K1 b - -,d8d7
r7/pk3p1p/2p3p1/2brPp2/R1N5/1P4P1/2P2PKP/4R3 b - -,a7a6
7r/p4kp1/1p1p1r2/n1pPpP1p/q1P1P1pP/N1PK2P1/PQ6/1R5R b - -,f7e7
8/k7/8/1Q6/P5KP/2q5/8/8 b - -,c3d4
r1q1k2r/p5bp/2p1bnp1/2Bp4/Q4P2/2N3PP/PP4B1/2KR3R b kq -,e8f7
1r4k1/p1p2p1p/1nB1r1p1/2Q1pP1q/1P2R1P1/7P/P1P5/3R2K1 b - g3,h5h3
1r2r1k1/2q3bp/5np1/1p1npbN1/2p1N3/8/1PQBBRPP/4R1K1 w - -,g2g4
5r2/8/8/p6P/1k6/1P2R1P1/4K3/8 b - -,b4a3
r1bqr1k1/pp4bp/2pnn1p1/3p1p2/3P4/3BBN1P/PPPQNPP1/3RR1K1 b - -,d6e4
5rk1/4qp1p/4p1p1/Pb1p4/1p1b4/1P3QP1/R4P1P/2N2BK1 b - -,f8c8
r1bq1rk1/pp1pnpbp/4p1p1/8/B2pP3/3P4/PPPN1PPP/R1BQR1K1 w - -,d2f3
r1bq1rk1/pp3ppp/2p2nn1/3p3P/1b1P4/2NB1QP1/PPP1NP2/R1B1K2R b KQ -,c8g4
8/4K1k1/6R1/5PP1/8/8/8/5r2 b - -,g7h7
4N3/8/k2p4/1p1Pp3/1K2P3/2P2P2/3n4/8 b - -,d2c4
1r3rk1/1p1n1pbp/p2p2p1/2pPp3/P1P1P3/1Pn1B1PP/5PBK/1R3R2 w - -,b1c1
1r6/4kppp/4p3/1N2P3/5P2/8/P1K3PP/2R5 b - -,b8b5
8/8/8/7k/pR5r/1pK5/8/8 w - -,b4b5
8/p5kp/4K3/1p6/6pP/8/PPP5/4R3 w - -,a2a4
r1bqr1k1/pp2npbp/3pp1pB/2p5/2P1P3/2NP1nP1/PP1Q1PBP/R4RK1 w - -,g2f3
4k3/1Q6/8/q1P2ppp/3P4/8/5KP1/8 w - -,f2e2:b7b2
8/p7/8/5Q2/k1pP3P/4P3/P7/2q2NK1 w - -,f5c5
7R/p3kp1p/4p2P/p3P1P1/4r1K1/P5P1/8/8 w - -,g4h5
2r2k2/p4p2/1p2b1p1/n1b1p3/P1p1P1P1/2P1BP2/1PB2K2/R4N2 b - -,f8e7
1r4rk/2p4p/3p3B/1P1PpP2/PR2n2q/8/5P1p/4QR1K b - -,h4h3
1k1rr3/1ppq1pp1/p2pbb1p/8/3n4/2P1B2P/PPPQ1PP1/1K1RRB2 w - -,e3d4
5rk1/1pq1rnb1/p2p2p1/2pP1b1n/P6p/1RN1BP2/1P1QB1PP/3N1RK1 w - -,f3f4
5b2/5p1p/4p1k1/1R2P1p1/r7/4N1PP/5PK1/8 b - -,f8g7
r2qkb1r/pp1b1p2/4p2p/3p2p1/3n1P2/1NPQ4/PP1B2PP/R4RK1 w kq -,b3d4
3q4/p3k1p1/bpn1p2p/1Np1P3/P6P/5QP1/1PP2P2/6K1 w - -,f3c6
2bq1rk1/1p2ppbp/r1np1np1/1N6/N1P5/1B2B2P/PP2QPP1/R4RK1 b - -,c8e6
r5k1/1p3p1p/p1p3p1/2Pp2q1/1P4b1/1QN1r3/P5PK/2RR1B2 w - -,d1e1
r1bqkbnr/pp4pp/3p4/2pNp3/3np2N/3P2P1/PPP2P1P/R1BQKB1R w KQkq -,d3e4
r1bq1rk1/p4pbp/2np1np1/2p1p3/Pp2P3/2PP1NP1/1P3PBP/RNBQR1K1 w - -,b1d2
1qr5/4npkp/1p2p1p1/1P1pP3/3P4/1P4P1/Q1R1P1BP/6K1 w - -,g3g4
r1bq1k2/np3pp1/p2N3b/3pp2Q/P7/1P1PP3/1BP2P2/R3K2B b Q -,c8e6
r3r1k1/3qpp2/1p1p1npb/p1nP3p/3NPP2/1P3Q1P/P2N1BP1/4RRK1 w - -,f2h4
r4r2/3b1pk1/p1nbp3/3p1pNQ/1q1P4/2NB2P1/1P3P1P/2R2RK1 w - -,c3d5
5r1k/pp5p/5q2/2p1p3/6R1/1P1P3P/P3Q2K/8 w - -,h2g2
r5k1/pp2rpbp/6p1/2p2q2/2Pp4/P2N1PP1/1PQ2P1P/R3R1K1 b - -,a8e8
1k2R2r/ppp2qpp/5n2/8/1nPN1Q2/3B3P/PP3PP1/2KR4 b - -,h8e8
4R3/5pk1/3p1bp1/1P1P3p/5P2/1r1BBK1P/8/8 w - -,d3e2
r1bq1rk1/1p1n1ppp/p1pbpn2/3p4/2PP4/1PN1PN2/PB2BPPP/R2QK2R w KQ -,d1c2
r4rk1/1pp2pp1/2nqbn1p/p7/1bPp4/PP1P1NPP/3B1P2/RN1QRBK1 b - -,b4c5
1qr3k1/R1rbppbp/3p1np1/1p1P4/3B4/6PP/1PPQNPB1/R5K1 w - -,c2c3
2rqk2r/1b2bppp/p1nppn2/1p6/4PP2/P1NB1N2/1PPB2PP/R3QRK1 b k -,e8g8
5r2/1bp2pkp/1p4p1/P3p3/1P2Pb2/3Q3P/5qBK/R4R2 w - -,h2h1
8/1pr1r1bk/p5p1/P2RP2p/8/2B2R1P/6P1/7K b - -,e7e6
8/1p2kp2/bP1p3p/p2B2p1/5PP1/7P/1P3K2/8 w - -,f2g3
4rrk1/p3ppbp/3p1n2/3P3b/1N6/5N1P/P1B2PP1/3RR1K1 b - -,e8c8
b4r2/3qbp1k/2p2npp/1p2p3/nP2P2P/2P2QB1/B1NN1PP1/R5K1 w - -,g3e5
r4r2/1p4k1/2N1q1p1/p1p5/P3pP2/4P1Pp/1P2Q2P/1R3RK1 b - -,e6c6
r2q1rk1/ppp1b1pp/2n5/3p1p1b/3Pn3/2PB1N1P/PPQ2PP1/RNB1R1K1 w - -,f3h2
r1b4r/1p2kppp/p1nBpn2/2Pp4/8/2P2B2/P1N2PPP/3RK2R b K -,e7e8
r3nrk1/1bq2pbp/1p1p2p1/pPn5/4PP2/2N1B1P1/P3N1BP/2RQ1RK1 w - -,c3d5
rn1q1rk1/pb3pb1/1p1p1Bpp/4p3/3P4/2PB1N1P/PP1N1PP1/R2Q1RK1 b - -,d8f6
8/5k2/3R4/2pPp1p1/2P1Pp2/5P2/3r4/6K1 w - -,d6e6
r4rk1/pppqppbp/2np1np1/8/2PPPP2/2N3Pb/PP4BP/R1BQNRK1 b - f3,h3g2
8/6pk/7p/p2Pqp1P/2p1p3/2K1P1P1/P3QP2/8 w - -,c3c4
1rbq1rk1/5ppp/p1np3b/1p1Np3/4P2P/2P1N3/PP3PP1/R2QKB1R w KQ -,g2g3
3N4/2k2pp1/R2p4/8/4r1P1/P5b1/1P6/1K6 w - -,d8f7
r1r3k1/1p2ppbp/1q1p2p1/1bnP1P2/p3P1P1/P1N4P/1PBQN3/1K1R3R w - -,c3b5
rnbqkbnr/pp1ppppp/8/2p5/8/2N3P1/PPPPPP1P/R1BQKBNR b KQkq -,b8c6
rnbqk1nr/pp1pppbp/6p1/3N4/4P3/5N2/PPPB1PPP/R2QKB1R w KQkq -,d2c3
8/2k2p2/R7/1p1b4/6Pp/2P4P/P7/6K1 b - -,d5e6
8/4kn2/4pQp1/5pP1/2P5/1P6/1K3R2/4q3 b - -,e7e8
3r4/p4kb1/bp2p1p1/1q2Pp2/2p2B2/1PP1QBP1/P3P3/R3K3 w Q -,b3c4
r7/5p1k/2pqrnpp/pp6/3QP3/4RN1P/PP3PP1/2R3K1 b - -,d6d4
1rr3k1/2q1b1pp/3pbn2/p3p3/B3P3/1N1QBP2/PPP4P/1K1R2R1 w - -,b3c1
